[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[02:18:50.642 --> 02:18:52.404]  We know he was there and the rest of it.
[02:18:52.864 --> 02:18:53.825]  That's big national news.
[02:18:53.865 --> 02:18:56.668]  So much of what you broke becomes national news and gets vetted later.
[02:18:57.049 --> 02:18:58.010]  What else is on your radar?
[02:18:59.585 --> 02:19:10.650]  Well, I still think the aftermath of this Cruz leaving the campaign so suddenly after he said we're going to take it to California, we're going to take it to Cleveland.
[02:19:11.051 --> 02:19:22.857]  What I've been told is that the people associated with the Central Intelligence Agency said to him, and probably the dad too, although he's not talking, look,
[02:19:24.418 --> 02:19:33.285]  53 years later, we thought we had the JFK assassination put to bed, and all of a sudden, here's the mainstream media looking at it again.
[02:19:33.686 --> 02:19:35.267]  In detail, I would add.
[02:19:35.327 --> 02:19:40.592]  You know, the same stuff that District Attorney of New Orleans, Jim Garrison, was looking at.
[02:19:41.192 --> 02:19:46.537]  And I understand they basically said, look, leave this race.
[02:19:47.964 --> 02:19:53.588]  Well, Stone says he's talked to some of the other folks that knew Oswald and that they've said, no, we knew.
[02:19:53.608 --> 02:19:55.129]  We knew Ted Cruz's dad.
[02:19:55.169 --> 02:19:55.990]  He was all part of the crew.
[02:19:56.750 --> 02:20:01.234]  Yeah, and isn't it funny why Raphael Cruz, the dad, never responded directly?
[02:20:01.294 --> 02:20:04.616]  Because, you know, if he... Oh, stay there.
[02:20:04.636 --> 02:20:07.418]  Yeah, I mean, if somebody's saying something untrue, you respond, don't you?
[02:20:07.438 --> 02:20:08.139]  We'll be right back.
[02:20:08.159 --> 02:20:08.579]  Stay with us.
[02:20:10.620 --> 02:20:13.903]  There is an attack on the human institution of family.
[02:20:14.665 --> 02:20:18.288]  And if you want to take down the nuclear family, you attack males.
[02:20:19.148 --> 02:20:22.931]  Males are the defender of the human tribe.
[02:20:23.511 --> 02:20:28.275]  When men fall, the rest of humanity can be completely enslaved.
[02:20:29.035 --> 02:20:32.738]  The attack on the family is in movies, sitcoms, dramas.
[02:20:33.018 --> 02:20:34.539]  This isn't to empower women.
[02:20:35.020 --> 02:20:36.501]  This is to wreck civilization.
[02:20:36.761 --> 02:20:42.464]  For too long, we have been allowing the globalist controllers to launch a full-scale chemical war on our masculinity.
[02:20:42.664 --> 02:20:43.745]  You've seen the headlines.
[02:20:43.785 --> 02:20:49.368]  The estrogen mimickers and the gender-bending compounds and the food and water supply are changing the way our bodies work.
[02:20:49.528 --> 02:20:53.290]  And men are the number one target of this program.
[02:20:53.550 --> 02:20:59.713]  With the estrogen mimickers in the plastics, in the printer paper, and in thousands of other items, it's on record.
[02:21:00.033 --> 02:21:06.417]  Our testosterone level, many times by the time we hit 40, is 80% lower than it should be or more.
[02:21:06.617 --> 02:21:14.161]  Our sperm counts, depending on which western country you look at, are 80 to almost 96% reduced.
[02:21:14.741 --> 02:21:17.822]  Fertility is plummeting through the floor.
[02:21:18.443 --> 02:21:22.025]  Now, it's impossible, even if you're a health nut, to avoid all of this.
[02:21:22.805 --> 02:21:29.349]  But for myself personally, what I've experienced with the products at Infowarslife.com has been simply amazing.
[02:21:30.250 --> 02:21:33.532]  Supermail Vitality has changed my life in the last three years.
[02:21:33.852 --> 02:21:40.035]  That's why we wanted to develop something that works in conjunction with Supermail to take it to the next level.
[02:21:40.516 --> 02:21:41.997]  It's only been out for about six months.
[02:21:42.857 --> 02:21:51.661]  It sold out so quickly in its first run, and now it is back after months of not being available and ThrillPlex.
[02:21:52.422 --> 02:22:03.727]  The reason we sell out when other big vitamin and mineral and nutraceutical makers don't is because we only source the purest, cleanest, high quality,
[02:22:04.307 --> 02:22:15.196]  Organic products and it's really hard when you've got a formulation that's got a bunch of really great ingredients in it to get them and to always have them be perfectly clean and to be able to pass some of the highest standards in the world.
[02:22:15.516 --> 02:22:26.344]  When you go to Infowarslife.com you can see that for yourself and find out why Anthroplex taken by itself or in conjunction with Super Male Vitality is such a game changer.
[02:22:26.684 --> 02:22:27.905]  This is the next level.
[02:22:28.866 --> 02:22:32.830]  And I'm so proud that we were able to bring a product like this to you.
[02:22:33.510 --> 02:22:36.113]  This is how men were supposed to feel.
[02:22:36.433 --> 02:22:40.837]  Quite frankly, I remember what it felt like to be 18 or 19 or 20.
[02:22:41.398 --> 02:22:46.022]  To be crazed, to be aggressive, to feel just exhilaration.
[02:22:46.863 --> 02:22:50.146]  And it's the super metal vitality in the Anthroplex.
[02:22:50.726 --> 02:22:56.229]  With exercise and a better diet that have taken me back to where I was and quite frankly beyond.
[02:22:56.649 --> 02:22:57.329]  It's amazing.
[02:22:57.530 --> 02:23:01.372]  And Anthroplex is now back in stock at Infowarslife.com.
[02:23:01.692 --> 02:23:07.215]  Men, do yourself a favor and get a bottle of Anthroplex today and see what I'm talking about.
[02:23:07.735 --> 02:23:15.459]  All of our products at Infowarslife.com are recognized as safe and they are made in FDA certified labs.
[02:23:15.959 --> 02:23:21.925]  The media tries to demonize supplements because, quite frankly, Mother Nature's got a lot to offer that Big Pharma doesn't.
[02:23:22.545 --> 02:23:27.129]  But there are some bad companies out there and there are some substances that Mother Nature produces that aren't good for you.
[02:23:27.810 --> 02:23:36.218]  That's why everything we put in these products is recognized as safe and produced at the highest level, highest quality FDA certified labs.
[02:23:36.658 --> 02:23:44.842]  Talk to your physician or healthcare provider before you take AnthraPlex or any of the products at InfoWarsLife.com like X2.
[02:23:45.343 --> 02:23:47.424]  Because this stuff's real.
[02:23:47.804 --> 02:23:51.106]  Just one of the ingredients in AnthraPlex is horny goat weed.
[02:23:51.366 --> 02:23:57.129]  In Chinese traditional medicine, it is recognized as one of the most powerful male stimulants.
[02:23:57.629 --> 02:24:00.351]  Not just of libido, but overall vitality.
[02:24:00.731 --> 02:24:07.176]  We put together a classic formula, souped up with the highest quality at a very low price.
[02:24:07.636 --> 02:24:10.098]  Available at Infowarslife.com today.
[02:24:10.118 --> 02:24:22.647]  It was a month ago that our guest, Wayne Madsen, first read about research and connections to Ted Cruz's father.
[02:24:25.871 --> 02:24:27.352]  And the CIA and Lee Harvey Oswald.
[02:24:28.814 --> 02:24:31.356]  Since then, it's been in hundreds of newspapers.
[02:24:31.836 --> 02:24:38.302]  Dozens and dozens just dealing with the Roger Stone interview here yesterday.
[02:24:39.503 --> 02:24:40.964]  Stone's gonna be back on, by the way, tomorrow.
[02:24:41.284 --> 02:24:43.306]  This is a short segment, long segment's coming up.
[02:24:44.106 --> 02:24:49.171]  Wayne, getting back into this and then also expanding into the campaign and current developments.
[02:24:50.492 --> 02:24:58.538]  Yeah, so let's take this Rafael Cruz's dad.
[02:24:59.979 --> 02:25:11.767]  If he came out and denied himself that that was him with Oswald, and if he denied he had any association with Oswald, because I've also reported you can look at the interlocking relationships between Cruz's
[02:25:12.347 --> 02:25:28.130]  Employer, which was his own company then purchased by Schlumberger, an oil services company, and Permindex, which was the company owned by Clay Shaw, who was indicted by District Attorney Garrison for conspiracy to kill President Kennedy.
[02:25:28.790 --> 02:25:33.972]  If it later turned out that all this was verified, guess what he would have just done?
[02:25:34.032 --> 02:25:34.412]  He would have
[02:25:36.152 --> 02:25:36.212]  Yes.
[02:25:47.059 --> 02:26:07.143]  Any DA could get standing to indict him either in Texas or Louisiana and the fact that he may have left for Calgary in 1967 to avoid Jim Garrison's subpoena to testify makes it a federal crime because he crossed international borders and that's where the FBI comes in.
[02:26:07.463 --> 02:26:10.964]  I'm not saying anything like this would happen but he was certainly leaving.
[02:26:10.984 --> 02:26:14.345]  Well I know this, I mean look, you come out and say this a month ago
[02:26:15.285 --> 02:26:16.205]  He gets some traction.
[02:26:16.265 --> 02:26:17.726]  I can see him still not responding.
[02:26:18.106 --> 02:26:24.387]  But once it was Donald Trump saying it for weeks, and it being a huge story, why didn't he come out and just say, see these kooks are nuts.
[02:26:24.927 --> 02:26:25.728]  This is wrong.
[02:26:26.088 --> 02:26:32.709]  Yeah, I bet after he talked to his son, Ted, he talked to his attorney, and his attorney said, you best not say anything.
[02:26:32.969 --> 02:26:39.411]  That's my advice, because anything you say that's proven wrong, you're liable for criminal prosecution.
[02:26:39.431 --> 02:26:46.080]  Well listen, when you hear crickets on something like this, if you were wrong, and you're not saying this is what happened, you just said it, there's some evidence we should look at.
[02:26:46.480 --> 02:26:49.144]  There's something going on over here, maybe nothing.
[02:26:49.164 --> 02:26:52.128]  You know, the sun came up this morning, maybe nothing either.
[02:26:52.949 --> 02:26:55.192]  And then now, nothing but crickets, that really tells us something.
[02:26:55.692 --> 02:27:10.621]  Yeah, and this afternoon I'll be sending two FOIA requests off to the Central Intelligence Agency asking for all correspondence, all information, all documents on both Rafael B. Cruz Jr., that's the father, but also
[02:27:11.201 --> 02:27:19.387]  Rafael B. Cruz Sr., the grandfather who worked for Radio Corporation of America, RCA in Cuba, a well-known U.S.
[02:27:19.427 --> 02:27:22.809]  intelligence conduit in the early 50s.
[02:27:22.889 --> 02:27:38.219]  So I'm asking on everything they have on both the father and the grandfather, and the grandfather from the time the CIA was created in 1947 to the present time, to include any correspondence within the last couple of weeks because of the Donald Trump
[02:27:38.319 --> 02:27:39.302]  Well that's news making.
[02:27:39.362 --> 02:27:45.380]  Investigative journalist files Freedom of Information Act request on Cruz family CIA ties.
[02:27:45.400 --> 02:27:46.062]  That's pretty important.
[02:27:47.062 --> 02:27:56.209]  Yeah, of course, I've got all kinds of pending FOIA requests out to various agencies, and of course, you know, now they don't feel like they even have to respond.
[02:27:56.249 --> 02:28:05.676]  They're getting away with violating the Freedom of Information Act of 1966, as amended over the years, because they know they can get away with it.
[02:28:06.356 --> 02:28:09.138]  So, I'll be lucky to get any kind of response.
[02:28:09.158 --> 02:28:14.222]  Let me shift gears out of that, and then two minutes we've got until we've got a break, and come back in a long segment.
[02:28:15.836 --> 02:28:17.098]  What's the battle space right now?
[02:28:17.138 --> 02:28:19.601]  How are things going for the Soros, the Clinton camps, and others?
[02:28:19.981 --> 02:28:22.365]  Looks to me like all over the world, stuff's not going too well.
[02:28:23.291 --> 02:28:30.517]  Yeah, you know, Donald Trump now has a very critical decision to make on who he runs with.
[02:28:31.117 --> 02:28:34.440]  Remember what, Ronald Reagan never wanted to pick George H.W.
[02:28:34.500 --> 02:28:36.241]  Bush as his running mate.
[02:28:36.281 --> 02:28:37.062]  He didn't like him.
[02:28:37.502 --> 02:28:42.686]  He didn't like the Rockefeller trilateral commission elites that he was associated with.
[02:28:43.146 --> 02:28:52.694]  And you know what, ten years, I mean, ten weeks after he was inaugurated in 1981, a family friend of the Bush family takes a shot at him.
[02:28:53.394 --> 02:28:54.335]  Almost kills him.
[02:28:55.495 --> 02:29:02.058]  And I would really caution Mr. Trump to be very, very careful who he picks.
[02:29:02.078 --> 02:29:04.139]  There's rumors about Newt Gingrich.
[02:29:04.659 --> 02:29:12.162]  Look, Newt Gingrich, he's owned and operated by Sheldon Adelson, who funded his last campaign for president in 2012.
[02:29:13.123 --> 02:29:15.084]  There's talk about some others.
[02:29:15.324 --> 02:29:19.025]  Sure, they've had Gingrich from the start, right up next to him playing nice.
[02:29:19.085 --> 02:29:20.306]  That's their inside guy.
[02:29:20.686 --> 02:29:22.527]  I hope Trump is smart enough not to pull that move.
[02:29:23.047 --> 02:29:37.476]  Yeah, he would do well to avoid these political insiders and go for somebody outside of Washington, perhaps with executive governor experience.
[02:29:37.516 --> 02:29:41.698]  And there's a wealth of Republican governors who fairly kept their nose clean.
[02:29:41.778 --> 02:29:43.299]  What do you think about him?
[02:29:43.339 --> 02:29:45.120]  Like a war hero, a general or something.
[02:29:45.381 --> 02:29:45.721]  Not good?
[02:29:46.466 --> 02:29:49.667]  Uh, he needs to get somebody with some government experience.
[02:29:49.767 --> 02:29:56.329]  And like I say, there's an ample number of those who have good ratings.
[02:29:57.329 --> 02:29:57.869]  Well, stay there.
[02:29:57.909 --> 02:30:00.330]  Give us your astute observations, Wayne.
[02:30:00.350 --> 02:30:01.050]  Stay with us.
[02:30:10.575 --> 02:30:20.859]  It was Thomas Jefferson who once said that our country is now taking so steady a course as to show by what road it will pass to destruction to wit, by consolidation of power first and then corruption its necessary consequence.
[02:30:21.019 --> 02:30:28.261]  Jefferson was warning us about the global elite, the 1% of the 1%, consolidating the world's wealth and subverting the people's voice in government.
[02:30:28.401 --> 02:30:30.222]  Unfortunately, we didn't heed his advice.
[02:30:30.362 --> 02:30:36.404]  We now live in a neo-feudalistic society in which we're treated as indentured servants who only exist to serve the needs of the establishment.
[02:30:36.624 --> 02:30:43.995]  Political office no longer represents the voice of the people, but rather the initiation process politicians go through to gain acceptance into the aristocracy.
[02:30:44.135 --> 02:30:51.726]  Simply put, we the people are responsible for civilization and culture, yet we're suppressed by a tiny elite who have organized into criminal gangs that operate governments around the world.
[02:30:51.946 --> 02:31:00.091]  We falsely believe that everything is simply black and white, one extreme against the other, conservative versus liberal, but things will change once more of us realize this truth.
[02:31:00.231 --> 02:31:07.516]  As Thomas Jefferson also said, enlighten the people generally, and tyranny and oppressions of the body and mind will vanish like evil spirits at the dawn of day.
[02:31:07.656 --> 02:31:10.057]  This is Kit Daniels with InfoWars.com.
[02:31:10.517 --> 02:31:13.479]  A clean, toxic-free body is the foundation of true health.
[02:31:13.779 --> 02:31:16.061]  Introducing Deep Cleanse by InfoWarsLife.com.
[02:31:16.681 --> 02:31:23.367]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[02:31:23.648 --> 02:31:28.832]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[02:31:28.953 --> 02:31:37.801]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[02:31:38.061 --> 02:31:46.651]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:31:46.891 --> 02:31:53.819]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[02:31:53.959 --> 02:31:59.325]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best price.
[02:31:59.625 --> 02:32:00.446]  Brainforce is here.
[02:32:00.466 --> 02:32:02.928]  Ladies and gentlemen, I've been on this the last few months.
[02:32:02.948 --> 02:32:08.393]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brainforce.
[02:32:22.845 --> 02:32:26.426]  One of the worst things with most energy products is it's not sustainable, right?
[02:32:26.446 --> 02:32:28.786]  You're gonna crash, you're gonna feel really bad afterwards.
[02:32:29.146 --> 02:32:32.667]  This has a bunch of different antioxidants and compounds and polyphenols.
[02:32:32.707 --> 02:32:35.848]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[02:32:36.348 --> 02:32:41.149]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[02:32:41.689 --> 02:32:43.509]  For example, the L-theanine inside of it.
[02:32:43.869 --> 02:32:48.290]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[02:32:48.450 --> 02:32:50.471]  This just increases the compounds you already have.
[02:32:51.091 --> 02:32:52.551]  This is what you're actually designed to run on.
[02:32:52.711 --> 02:32:52.951]  Exactly.
[02:32:52.971 --> 02:32:56.776]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[02:32:57.277 --> 02:33:05.266]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[02:33:18.433 --> 02:33:24.515]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[02:33:27.436 --> 02:33:39.440]  What kind of music is this?
[02:33:52.972 --> 02:33:53.794]  No, I didn't choose this.
[02:33:53.814 --> 02:33:54.697]  It's not my number music.
[02:33:55.038 --> 02:33:55.459]  I don't care.
[02:33:55.479 --> 02:33:58.426]  I just wanna... No, this is not my, uh... We need that song!
[02:33:58.848 --> 02:34:01.474]  I believe my soul's on fire!
[02:34:03.687 --> 02:34:08.650]  I tell you folks, there is so much going on in this world, so much unfolding, so much happening.
[02:34:08.710 --> 02:34:09.751]  I'm your host Alex Jones.
[02:34:10.991 --> 02:34:17.555]  I've studied history, I'm not a rocket science major, but you can clearly see we're going into a very decadent cycle right now.
[02:34:18.156 --> 02:34:21.458]  The elites are so arrogant, they believe that voting doesn't even exist.
[02:34:22.258 --> 02:34:28.442]  They think they can steal our pension funds, raid our bank accounts, bring in foreigners to be Balkanization.
[02:34:30.424 --> 02:34:32.766]  Counterweights to us and play us off against each other?
[02:34:32.786 --> 02:34:51.802]  I'm not against these other humans, but I'm against the brainwashing they've been under and how they're being set up as an enemy, how they're being set up as a deindustrializer, how they're being set up to destroy the very fragile remnants of a middle class we have that is a stairway for the poor into wealth.
[02:34:52.423 --> 02:34:53.483]  We're going into
[02:34:54.813 --> 02:34:57.254]  The Agenda 21 Post-Industrial System.
[02:34:58.074 --> 02:35:03.636]  Based on poverty, based on control, based on global elites and combines that are tax-exempt and above the law.
[02:35:04.036 --> 02:35:06.077]  The ultimate form of discrimination.
[02:35:07.698 --> 02:35:20.002]  And that's why I'm here fighting as hard as I can with other great researchers and journalists and just folks that are pro-human and believe in a level playing field and believe in industry and free will and free market and free association.
[02:35:21.525 --> 02:35:21.785]  I think?
[02:35:40.413 --> 02:35:41.914]  And success by conquest.
[02:35:42.494 --> 02:35:44.695]  And that always degenerates and implodes.
[02:35:45.076 --> 02:35:46.036]  We're going back to Wayne Madsen.
[02:35:46.056 --> 02:35:47.757]  WayneMadsenReport.com here in just a moment.
[02:35:48.137 --> 02:35:52.400]  He's going to be in Cleveland covering that wild event in July with us.
[02:35:52.920 --> 02:35:55.921]  He of course files reports daily at InfoWars.com.
[02:35:56.202 --> 02:35:57.943]  He also writes at WayneMadsenReport.com.
[02:35:58.943 --> 02:36:10.154]  I want to ask him about all the preparations for destabilization, other big news he's working on, other items that he's focused on, the economy, and take some of your questions or comments on this Thursday edition.
[02:36:10.174 --> 02:36:21.025]  Quick question, quick comment is all we have time for in this hour before the next host comes in and hosts that fourth hour so we got a fresh horse in there with all the latest breaking news and information.
[02:36:23.351 --> 02:36:24.972]  I personally am getting more storable food.
[02:36:25.093 --> 02:36:30.797]  I personally am getting my emergency supplies in order, because the elites have never been so active getting prepared.
[02:36:31.218 --> 02:36:32.459]  Is it for economic collapse?
[02:36:32.499 --> 02:36:35.041]  Is it for plan-triggered riots around the world?
[02:36:35.462 --> 02:36:38.544]  What are the five million Muslims being brought into Europe for the last three years?
[02:36:38.904 --> 02:36:40.045]  Many of them sleeper cells.
[02:36:40.746 --> 02:36:43.028]  What is the big plan they're gearing up for?
[02:36:43.128 --> 02:36:45.210]  Or is it a group of overlapping plans?
[02:36:45.870 --> 02:36:50.014]  That said, we've got the best high-quality, storable foods out there at InfoWareStore.com,
[02:36:51.495 --> 02:36:53.537]  30 to 40 percent off that special will end.
[02:36:53.557 --> 02:36:56.218]  I've extended it next Sunday in about three days.
[02:36:56.599 --> 02:36:57.359]  Take advantage of that.
[02:36:57.499 --> 02:37:07.146]  All other survival items from nutraceuticals like X2 and DNA Force and Anthroplex and Silver Bullet Coil Silver and Lung Cleanse and the Liver Shield and all the rest of it.
[02:37:07.526 --> 02:37:08.186]  We're good to go.
[02:37:31.852 --> 02:37:35.315]  And that's how we also fund our operations, so it's a win-win across the board.
[02:37:35.355 --> 02:37:38.698]  Thank you all for your free association and your support.
[02:37:38.758 --> 02:37:39.299]  God bless you.
[02:37:39.339 --> 02:37:40.299]  You don't stand behind us.
[02:37:40.620 --> 02:37:43.322]  You stand right beside us and at the heart of what we're doing.
[02:37:45.660 --> 02:37:47.482]  I don't know your view on this, so I want to find out now.
[02:37:47.502 --> 02:37:50.144]  I mean, clearly, I mean, you know about the stuff going on in the world.
[02:37:50.925 --> 02:38:00.855]  Why are elites running around, digging into redoubts, moving to New Zealand, saying get ready for collapse, moving armored vehicles around, buying massive amounts of riot control gear?
[02:38:00.875 --> 02:38:01.856]  I mean, it's all over the news.
[02:38:01.916 --> 02:38:07.502]  Billions of rounds, more of bullets, saying the patriots are their enemy, Europe arresting nationalists.
[02:38:07.822 --> 02:38:10.883]  Party members that aren't racist at all, but even if they were racist, shouldn't be arrested.
[02:38:10.903 --> 02:38:11.783]  You know, free speech.
[02:38:12.324 --> 02:38:13.724]  What are the preparations for?
[02:38:14.164 --> 02:38:17.385]  What do you think the establishment's tricks are up their sleeves?
[02:38:17.865 --> 02:38:20.546]  And obviously there are different camps of the establishment.
[02:38:21.046 --> 02:38:22.227]  How does it all tie into...
[02:38:22.867 --> 02:38:24.588]  The failed bid to overthrow Syria.
[02:38:24.648 --> 02:38:25.568]  What's happening with Russia?
[02:38:25.789 --> 02:38:28.350]  Kind of a big picture look of where the world is.
[02:38:28.370 --> 02:38:31.411]  Because the Pentagon says we've never been in a more dangerous position.
[02:38:31.471 --> 02:38:32.152]  I tend to agree.
[02:38:32.512 --> 02:38:38.335]  Obama says the economy's never been better and the world is absolutely stable and wonderful and the moon is made of Swiss cheese.
[02:38:39.619 --> 02:38:57.271]  Well I think what they're concerned about is what happened in this country with Donald Trump basically overthrowing the Republican establishment and Bernie Sanders attempting to overthrow with some success the Democratic establishment.
[02:38:57.791 --> 02:38:59.673]  That coupled with Boris Johnson
[02:39:00.393 --> 02:39:12.022]  Who's pushing against the Britain remaining in the EU and if they vote to exit the EU, that's the end of Cameron and that's the beginning of a Boris Johnson prime ministership.
[02:39:12.443 --> 02:39:20.449]  The transatlantic trade and investment partnership is dead because the French have basically said, nothing doing, we're pulling out.
[02:39:20.689 --> 02:39:21.090]  Incredible.
[02:39:22.110 --> 02:39:28.032]  So, look, all these constructs, the Trans-Pacific Partnership is in trouble.
[02:39:28.632 --> 02:39:36.694]  The Prime Minister of Japan said, oh, we're not going to do anything on that until after our elections because his popularity is plummeting because of that.
[02:39:37.134 --> 02:39:43.875]  The world is waking up to these trade agreements and this attempt to whittle away at national sovereignty.
[02:39:44.415 --> 02:39:48.636]  And who was the first leader to say, I don't want to have anything to do with this stuff?
[02:39:48.676 --> 02:39:50.877]  Was Vladimir Putin in Russia?
[02:39:51.537 --> 02:39:52.438]  Absolutely.
[02:39:52.458 --> 02:39:54.919]  Let me just interrupt you because what you're saying is so historic, so cogent.
[02:39:55.059 --> 02:39:56.500]  That's why Wayne Madsen is so amazing.
[02:39:57.121 --> 02:39:58.081]  He just boiled it all down.
[02:39:58.101 --> 02:39:59.402]  Because I'm thinking of all these different angles.
[02:39:59.442 --> 02:40:01.103]  He says, look, global government's in trouble.
[02:40:01.423 --> 02:40:03.745]  Unelected corporate world government is on the run everywhere.
[02:40:03.985 --> 02:40:04.846]  They went too far.
[02:40:05.206 --> 02:40:07.027]  It's imploding on the verge of collapse.
[02:40:07.567 --> 02:40:10.589]  And so they're openly saying, let's get ready to take over the media.
[02:40:10.709 --> 02:40:12.090]  Internet regional kill switches.
[02:40:12.430 --> 02:40:14.552]  Zuckerberg meeting with the Communist Chinese admitting that.
[02:40:15.152 --> 02:40:16.013]  Beta testing it.
[02:40:16.253 --> 02:40:17.474]  Getting ready to try to jump.
[02:40:18.194 --> 02:40:22.158]  You know, off the cliff here with us, off the high dive, as if they'll get away with it.
[02:40:22.218 --> 02:40:24.940]  You guys couldn't even get away with stealing the election.
[02:40:25.581 --> 02:40:35.150]  I think they're desperate, as you just said, undoubtedly, and they've miscalculated, but so many times historically, megalomaniacs go all the way when cornered.
[02:40:35.510 --> 02:40:36.451]  That's my concern.
[02:40:36.491 --> 02:40:38.493]  So A, what do you think they'll do?
[02:40:38.773 --> 02:40:41.115]  Flesh it out more, great points you just made, and B,
[02:40:42.216 --> 02:40:45.499]  What happens if they go ahead and double down and go crazy?
[02:40:45.799 --> 02:40:47.340]  What could that meltdown look like?
[02:40:47.360 --> 02:40:48.521]  And of course I should give the number out.
[02:40:48.541 --> 02:40:50.683]  800-259-9231 to talk to Wayne Madsen.
[02:40:50.703 --> 02:40:52.064]  Gotta give the number out.
[02:40:52.084 --> 02:40:52.964]  Thanks for reminding me, John.
[02:40:52.984 --> 02:40:53.025]  800-259-9231.
[02:40:53.045 --> 02:40:54.766]  Wayne, please continue with that incredible analysis.
[02:41:01.852 --> 02:41:09.498]  Well, I'll tell you, look, I mean, they can't rig enough elections now because too many people are voting against the status quo.
[02:41:10.178 --> 02:41:13.461]  And, you know, they'll try in the UK.
[02:41:13.941 --> 02:41:18.185]  Look, Obama was over there basically interfering in, now, two of their elections.
[02:41:18.265 --> 02:41:25.010]  The referendum on Scottish independence, he said it's better for Scotland to stay in the UK, and now he recently went over there and said it's best
[02:41:25.450 --> 02:41:27.011]  For the UK to stay in the EU.
[02:41:27.611 --> 02:41:38.695]  People in Scotland don't want to be part of the UK, and the people in the UK don't want to be part of the EU, but he's over there because he represents... So time is on our side, even though they blocked Catalonia, they voted like 90%, they say no you can't.
[02:41:38.915 --> 02:41:39.856]  Well, yeah they are.
[02:41:39.876 --> 02:41:41.496]  I mean, almost every person's against it.
[02:41:41.716 --> 02:41:42.237]  Bye bye.
[02:41:42.597 --> 02:41:46.318]  And then absolutely, Scotland, like 70% were against it, still didn't pass.
[02:41:46.818 --> 02:41:50.100]  So you're kind of predicting the Brexit will be a fraud as well.
[02:41:50.720 --> 02:41:59.823]  What I'm being told is, at this point in time, if that's a fair election over there, the British electorate will vote to leave the European Union.
[02:42:00.204 --> 02:42:05.546]  And then it's curtains for that organization, because there's other countries waiting to leave too.
[02:42:06.246 --> 02:42:07.506]  Primarily Austria.
[02:42:07.846 --> 02:42:09.587]  Greece already got a taste of that.
[02:42:09.607 --> 02:42:12.288]  They can get rid of their Soros influence.
[02:42:12.348 --> 02:42:14.569]  So what's the next domino to fall once that happens?
[02:42:15.636 --> 02:42:20.059]  Well, I mean, I think we'll see the EU come to an end.
[02:42:20.459 --> 02:42:22.821]  I think we'll see the end of the open borders.
[02:42:22.921 --> 02:42:29.465]  Essentially, that's already happened with Merkel's invasion by these Muslim refugees of Europe.
[02:42:29.565 --> 02:42:33.888]  And also coming in with that crowd is a bunch of Islamic State terrorists.
[02:42:35.008 --> 02:42:39.211]  And this is where I say, you know, Trump really has to be careful.
[02:42:39.591 --> 02:42:40.852]  Who he picks as his vice president.
[02:42:40.872 --> 02:42:45.536]  Right now I would say he should pick a woman, a governor, or maybe an ex-governor.
[02:42:45.656 --> 02:42:48.859]  And Mary Phelan of Oklahoma is very high on his list.
[02:42:49.380 --> 02:42:52.382]  And former governor Jan Brewer of Arizona is high on his list.
[02:42:52.722 --> 02:42:55.625]  Because Hillary is going to use all that stuff.
[02:42:55.705 --> 02:42:56.125]  That's right.
[02:42:56.145 --> 02:42:58.387]  If he doesn't pick a woman, he's stupid.
[02:42:58.668 --> 02:42:59.728]  And I don't think he's stupid.
[02:42:59.969 --> 02:43:02.711]  If he doesn't pick a good woman, there are a lot of great candidates, a lot of qualified women.
[02:43:02.971 --> 02:43:05.654]  If he doesn't, it really shows that he's a ringer.
[02:43:05.854 --> 02:43:06.895]  Which I don't think Trump is.
[02:43:08.010 --> 02:43:09.211]  Right.
[02:43:11.453 --> 02:43:18.199]  He could pick Christie, but the problem there is it's not like Clinton picking Al Gore, neighboring states, Arkansas, Tennessee.
[02:43:18.259 --> 02:43:20.381]  Al Gore spent very little time in Tennessee.
[02:43:20.702 --> 02:43:21.682]  He grew up in D.C.
[02:43:22.643 --> 02:43:24.865]  Christie's right across the Hudson River in New Jersey.
[02:43:25.206 --> 02:43:26.927]  That's not a geographical balance.
[02:43:26.987 --> 02:43:28.409]  He needs geographical balance.
[02:43:28.849 --> 02:43:34.054]  Oklahoma and Arizona would provide that, especially in Arizona with its issue with the border.
[02:43:34.814 --> 02:43:36.495]  Would be very very good for him.
[02:43:36.515 --> 02:43:37.915]  I mean if I were advising him.
