[00:00:20.245 --> 00:00:21.486]  It's November 22nd, 2016.
[00:46:54.755 --> 00:46:58.321]  Whether there's going to be sanity in nuclear power policy remains to be seen.
[00:46:58.802 --> 00:47:00.585]  For InfoWars.com, I'm David Knight.
[00:47:02.978 --> 00:47:07.962]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:47:08.142 --> 00:47:18.089]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:47:18.429 --> 00:47:24.313]  Secret 12 is a binary of nutrimedical grade, bioavailable coenzyme forms of B12.
[00:47:24.673 --> 00:47:29.857]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:47:32.759 --> 00:47:35.020]  Ladies and gentlemen, I've been on this the last few months.
[00:47:35.301 --> 00:47:43.145]  You've probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:47:43.565 --> 00:47:48.328]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:47:48.448 --> 00:47:50.469]  This just increases the compounds you already have.
[00:47:51.090 --> 00:47:52.611]  This is what you're actually designed to run on.
[00:47:52.651 --> 00:48:00.575]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888.
[00:48:01.596 --> 00:48:08.201]  2-5-3 3-1-3-9 Thousands of years ago, there was a basic form of chivalry.
[00:48:08.561 --> 00:48:15.686]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:48:16.306 --> 00:48:24.632]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:48:24.932 --> 00:48:28.955]  But in the 21st century, there are silent weapons for quiet war.
[00:48:29.275 --> 00:48:30.976]  I personally counter this onslaught with Anthroplex.
[00:48:31.016 --> 00:48:37.218]  Anthroplex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity.
[00:48:52.244 --> 00:48:52.724]  I don't know.
[00:49:08.444 --> 00:49:17.513]  Well folks, I'm sure by now you have heard about the Kanye West story about how he's now been hospitalized.
[00:49:17.853 --> 00:49:18.834]  He said he likes Trump.
[00:49:18.915 --> 00:49:20.396]  Obviously he's married to the Kardashians.
[00:49:20.736 --> 00:49:26.983]  There's a whole legacy of Kanye West here that I'll get into a little bit and then obviously talk about the latest.
[00:49:28.544 --> 00:49:35.569]  Here in the mirror, headline, booze, drugs, escorts, and now a breakdown, the frightening curse of the Kardashian men.
[00:49:36.249 --> 00:49:42.033]  Well, is this a Kardashian curse or an Illuminati curse?
[00:49:42.754 --> 00:49:44.255]  Perhaps it could go either way.
[00:49:44.335 --> 00:49:46.196]  Now, here's the whole thing with Kanye West for me.
[00:49:47.247 --> 00:49:52.311]  Personally, I grew up listening to some of his hip-hop music, some of his earlier albums.
[00:49:52.411 --> 00:49:53.192]  I did enjoy.
[00:49:53.932 --> 00:49:58.275]  Everything he put out after 808 and Heartbreak kind of just lost me.
[00:49:58.516 --> 00:49:59.997]  I didn't really enjoy his music anymore.
[00:50:00.397 --> 00:50:07.522]  Then he started to, I mean, he was always kind of weird and strange and erratic, but then he kind of went like, it looked like full crazy.
[00:50:07.603 --> 00:50:12.466]  Some of the stuff he would wear, some of the stuff he would say, some of the stuff he would do, he became a butt of a lot of jokes.
[00:50:12.887 --> 00:50:15.469]  For example, the gay fish joke, if you've seen South Park.
[00:50:16.269 --> 00:50:16.850]  I think so.
[00:50:31.386 --> 00:50:32.627]  He's in all of this deep.
[00:50:32.687 --> 00:50:34.007]  He's gone crazy, whatever.
[00:50:34.067 --> 00:50:37.149]  People like me who liked him growing up now can't stand him.
[00:50:37.169 --> 00:50:38.890]  I can't stand how politicized he's gotten.
[00:50:38.910 --> 00:50:41.891]  I can't stand how he's become a pawn of the Illuminati.
[00:50:41.951 --> 00:50:50.715]  I can't stand how him and Beyonce and Jay-Z and Kim Kardashian all, you know, flaunt around, fopping around all the time like they're some kind of a big deal.
[00:50:51.496 --> 00:50:57.879]  But so then he comes out and he says he's gonna give Donald Trump a chance.
[00:50:59.184 --> 00:51:04.667]  Unlike all the other celebrities that came out and said, well, if Donald Trump wins, we're just going to leave the country.
[00:51:05.147 --> 00:51:06.548]  Kanye West said, well, you know what?
[00:51:07.028 --> 00:51:09.670]  Yeah, there's some of those celebrities right there that haven't left yet.
[00:51:09.810 --> 00:51:10.791]  I wonder if they will leave.
[00:51:10.851 --> 00:51:11.291]  I doubt it.
[00:51:11.371 --> 00:51:12.131]  They're total frauds.
[00:51:12.612 --> 00:51:15.213]  So, but Kanye West takes the opposite approach and says, you know what?
[00:51:15.393 --> 00:51:16.494]  I would have voted for Donald Trump.
[00:51:16.574 --> 00:51:18.175]  I think that I'll give him a chance.
[00:51:19.491 --> 00:51:24.358]  Then he also apparently says something about people need to check into Pizzagate on Twitter.
[00:51:24.719 --> 00:51:27.623]  Says something about Jay-Z and Beyonce sending hitmen after him.
[00:51:28.404 --> 00:51:29.105]  All this weird stuff.
[00:51:29.145 --> 00:51:30.447]  Of course he talks about the Illuminati.
[00:51:30.968 --> 00:51:33.151]  And then all of a sudden, he's in a hospital.
[00:51:33.531 --> 00:51:34.573]  He's in a padded room.
[00:51:34.833 --> 00:51:35.593]  He's crazy.
[00:51:35.653 --> 00:51:36.434]  He's unstable.
[00:51:36.474 --> 00:51:37.354]  He needs to be taken in.
[00:51:37.394 --> 00:51:38.494]  His tour needs to be cancelled.
[00:51:38.914 --> 00:51:42.556]  All of this garbage after he comes out in support of Trump.
[00:51:42.596 --> 00:51:55.780]  So, somehow, all of the crazy, erratic behavior that Kanye West has been exhibiting over the past five to ten years was perfectly fine, but then all of a sudden, when he becomes a Trump supporter, now
[00:51:56.340 --> 00:51:58.782]  He needs to be taken in and hospitalized.
[00:51:58.822 --> 00:52:02.025]  Now, we're getting all sorts of different reasons for why he was hospitalized.
[00:52:02.765 --> 00:52:06.908]  You can just decide for yourself, and it might not even matter, but here's the thing.
[00:52:08.269 --> 00:52:10.291]  Now, this is the other angle that I would take here.
[00:52:11.412 --> 00:52:23.501]  In this story, it says, Piers Morgan actually suggested, for maybe one of the few times I'll ever agree with that guy, says that Kanye West had been sucked into the vortex of Kardashian reality television.
[00:52:24.502 --> 00:52:25.303]  Here's the deal, folks.
[00:52:26.559 --> 00:52:29.682]  The Kardashians are just, they're the Kartrashians.
[00:52:29.842 --> 00:52:30.403]  They're trash.
[00:52:30.884 --> 00:52:31.524]  That's all it is.
[00:52:32.325 --> 00:52:34.447]  They're just media garbage.
[00:52:35.108 --> 00:52:40.633]  And the sad thing is, that young women actually look up to these people.
[00:52:42.155 --> 00:52:49.803]  And, I mean, look, these women go around flaunting their bodies, and whatever, that's your right to do, but do you really want your daughters looking up to them?
[00:52:50.532 --> 00:52:52.514]  I mean, are any of these women well-educated?
[00:52:52.574 --> 00:52:54.295]  I've never heard them say anything smart.
[00:52:54.776 --> 00:53:03.363]  They just seem to run around buying things, you know, in their fancy clothes, in their fancy cars, marrying whatever man they want to at that given time.
[00:53:04.284 --> 00:53:08.007]  And again, this is what young females are looking up to.
[00:53:09.008 --> 00:53:14.012]  The most narcissistic, selfish people on television.
[00:53:15.376 --> 00:53:16.717]  And they're not even physically real.
[00:53:16.957 --> 00:53:26.561]  Beyond the fact that they're totally fake, crying on TV, all these marriages, it's all fake, it's all for TV, it's all for money, they're actually physically fake too!
[00:53:27.522 --> 00:53:33.145]  Even their bodies and their faces and their nose and their eyes and their eyelashes and their butts, it's all fake!
[00:53:33.805 --> 00:53:37.987]  So their entire entity is fake, and then women look up to them,
[00:53:39.588 --> 00:53:41.372]  And this is what has corrupted America, folks.
[00:53:41.973 --> 00:53:47.423]  When the youth looks up to total frauds, total phonies, total selfish...
[00:53:49.524 --> 00:53:51.426]  I think you can decide what I wanted to call these people.
[00:53:51.726 --> 00:53:52.587]  This is what you're going to get.
[00:53:53.007 --> 00:53:54.208]  But then you go back to the curse.
[00:53:54.308 --> 00:53:55.790]  Is this the curse of the Illuminati?
[00:53:55.850 --> 00:53:58.592]  Is Kanye West going back and bucking the Illuminati?
[00:53:58.912 --> 00:54:00.674]  Or is this the curse of the Kardashian women?
[00:54:00.714 --> 00:54:01.134]  Think about it.
[00:54:01.875 --> 00:54:02.676]  Kim Kardashian.
[00:54:03.256 --> 00:54:04.197]  You had Kris Humphries.
[00:54:04.237 --> 00:54:08.961]  That marriage lasted less than, what, she decided she wanted to end that marriage before they even got married, I think.
[00:54:09.541 --> 00:54:10.142]  Lamar Odom.
[00:54:10.162 --> 00:54:11.203]  We saw what happened with him.
[00:54:11.263 --> 00:54:13.445]  He ends up in a hospital, just like Kanye West.
[00:54:13.745 --> 00:54:15.306]  And let's not forget about Bruce Jenner!
[00:54:16.027 --> 00:54:17.388]  Look at what happened to Bruce Jenner!
[00:54:17.728 --> 00:54:19.530]  He's not even sure what sexy is now!
[00:54:19.730 --> 00:54:20.671]  I'm still not sure!
[00:54:21.171 --> 00:54:25.334]  So this is what the Kardashian women do to the men who come into their lives.
[00:54:25.394 --> 00:54:29.677]  Imagine what they could be doing to the hearts and minds of young females that look up to them.
[00:54:30.658 --> 00:54:41.667]  Now, moving on, a lot of people are talking about how coming up this Thanksgiving they were either uninvited to their Thanksgiving or they're worried about going to their family Thanksgiving because of their political views.
[00:54:42.645 --> 00:54:45.006]  And these stories are now surfacing all over the internet.
[00:54:45.046 --> 00:54:46.027]  Here's one out of the Guardian.
[00:54:46.527 --> 00:54:50.730]  Family feud, election edition, Americans brace for Thanksgiving, Discord.
[00:54:51.430 --> 00:54:59.375]  Now, here's the thing, and I can only speak for my family, but... My family pretty much has Discord no matter what at dinner.
[00:55:00.384 --> 00:55:01.865]  I mean, you can imagine my family, folks.
[00:55:01.905 --> 00:55:04.226]  You know me well enough to know I enjoy a heated debate.
[00:55:04.286 --> 00:55:05.846]  I didn't come up with that on my own.
[00:55:06.627 --> 00:55:08.047]  But, here's the thing.
[00:55:08.708 --> 00:55:17.971]  Even if I end up in an intense debate with my family at dinner, or after dinner, or late night after a couple of friendly beverages, we still get along.
[00:55:18.031 --> 00:55:19.052]  We still love each other.
[00:55:19.072 --> 00:55:21.013]  They're not going to stop me from coming to their dinner.
[00:55:21.493 --> 00:55:23.354]  This is why we love each other.
[00:55:23.394 --> 00:55:24.914]  We're okay to have intense debates.
[00:55:24.934 --> 00:55:28.576]  We know that, at the end of the day, family is the most important thing.
[00:55:29.317 --> 00:55:30.358]  And it could go beyond blood.
[00:55:30.378 --> 00:55:31.360]  It doesn't have to be blood family.
[00:55:31.380 --> 00:55:33.403]  I think you understand what I'm saying, but here's the thing.
[00:55:34.679 --> 00:55:37.300]  Just get along with your family over Thanksgiving, folks.
[00:55:37.500 --> 00:55:39.861]  The family in this country is being torn apart.
[00:55:39.901 --> 00:55:45.084]  This is something that Alex Jones has been talking about for a long time, and we're really starting to see it and feel it now.
[00:55:45.544 --> 00:55:47.085]  And this is what the establishment wants.
[00:55:47.105 --> 00:55:49.206]  The establishment wants families broken apart.
[00:55:49.566 --> 00:55:54.928]  They don't want families to come together over, you know, true, meaningful moments.
[00:55:55.268 --> 00:56:00.891]  And whatever you think about Thanksgiving, can't we just come together and all be thankful that we even get the right to vote?
[00:56:01.451 --> 00:56:07.895]  Can't we come together and be thankful that we live in a country where we're allowed to have a heated political discussion over dinner?
[00:56:07.915 --> 00:56:12.057]  I mean, some countries you do that, you're gonna end up taken away.
[00:56:13.098 --> 00:56:22.183]  So there's a lot of things for us to be thankful for, and just because we don't get along on policy doesn't mean that we cannot still get along at the dinner table.
[00:56:22.563 --> 00:56:23.604]  But here's the thing about it.
[00:56:24.443 --> 00:56:26.184]  And here's a story out of the Washington Post.
[00:56:26.884 --> 00:56:29.525]  After America's election, there are two Americas now.
[00:56:30.345 --> 00:56:31.445]  And so this is the problem.
[00:56:31.525 --> 00:56:43.009]  Obviously, because of the polarization of this last presidential election, it really is tough to see the other's perspective, where I'm a Donald Trump supporter.
[00:56:43.189 --> 00:56:45.229]  You've heard what the things I've said about Hillary Clinton.
[00:56:45.669 --> 00:56:50.291]  How can I possibly think that somebody that would vote for Hillary Clinton has a sound mind?
[00:56:51.232 --> 00:56:51.473]  Right?
[00:56:51.593 --> 00:56:53.056]  So I understand where it's coming from.
[00:56:53.096 --> 00:56:57.003]  But nonetheless, we have to put these differences aside and still be able to love one another.
[00:56:57.664 --> 00:57:01.051]  But this is what they talk about in the Washington Post when they say, two Americas.
[00:57:02.094 --> 00:57:22.928]  America divided waves of protest after Trump's election and it goes on in this story to talk more about how there's it actually gets really into detail talking to people I won't bore you with that detail here you can go look at it for yourself it's actually kind of enlightening how people are feuding with their family now going into Thanksgiving because of the results of the election and again I would say this
[00:57:24.622 --> 00:57:28.387]  We hear all this talk about Obama's legacy, he wants to sure up his legacy.
[00:57:29.308 --> 00:57:32.853]  Everybody pretty much admits now that America is more divided than ever.
[00:57:33.374 --> 00:57:39.803]  In fact we just had polls released on that and the data says it's the highest ever as far as the polls are concerned.
[00:57:40.403 --> 00:57:42.006]  So what is Obama's legacy then?
[00:57:43.188 --> 00:57:44.068]  That's my question.
[00:57:44.869 --> 00:57:45.649]  Doubled the debt.
[00:57:46.449 --> 00:57:48.350]  More people on food stamps than ever before.
[00:57:48.850 --> 00:57:51.150]  And America divided more than ever before.
[00:57:51.390 --> 00:57:56.232]  But Barack Obama is going to sit here and talk about shoring up his legacy.
[00:57:56.472 --> 00:58:01.894]  The Democrats are going to sit here and campaign for Hillary Clinton saying we need a Hillary Clinton to carry on Obama's legacy.
[00:58:02.114 --> 00:58:03.274]  Well, what is Obama's legacy?
[00:58:04.334 --> 00:58:06.255]  Are you going to admit what Obama's legacy is now?
[00:58:06.595 --> 00:58:07.575]  Failed Obamacare?
[00:58:08.596 --> 00:58:09.416]  Doubling the debt?
[00:58:10.495 --> 00:58:11.516]  Divided America?
[00:58:12.377 --> 00:58:13.898]  Because that's what his true legacy is.
[00:58:14.138 --> 00:58:16.500]  How about killed police officers?
[00:58:17.441 --> 00:58:21.925]  Family of slain San Antonio Police Department officer says Trump called to offer condolences.
[00:58:22.406 --> 00:58:23.587]  Nothing from Obama.
[00:58:23.827 --> 00:58:25.348]  And you'll notice this other thing too, folks.
[00:58:25.368 --> 00:58:26.429]  Do you want to talk about hypocrisy?
[00:58:27.364 --> 00:58:28.104]  School shooting.
[00:58:28.605 --> 00:58:29.185]  Any shooting.
[00:58:29.745 --> 00:58:31.446]  A cop shoots a civilian.
[00:58:32.046 --> 00:58:34.047]  Any of these circumstances, what do we see?
[00:58:34.187 --> 00:58:34.607]  Obama.
[00:58:34.847 --> 00:58:35.648]  Gun legislation.
[00:58:35.828 --> 00:58:36.288]  Democrats.
[00:58:36.468 --> 00:58:37.228]  Gun legislation.
[00:58:37.388 --> 00:58:37.728]  Media.
[00:58:37.889 --> 00:58:38.509]  Guns are bad.
[00:58:38.929 --> 00:58:40.470]  Officers get gunned down in the streets.
[00:58:40.890 --> 00:58:41.770]  None of that rhetoric.
[00:58:42.150 --> 00:58:42.951]  None of that rhetoric.
[00:58:43.171 --> 00:58:43.871]  Doesn't exist.
[00:58:43.951 --> 00:58:52.775]  Now, the guy who killed the cop says that he was doing this because he was angry at the court system and not the police, but I would still suggest that it was the media brainwashing that made him target the police.
[00:58:53.075 --> 00:58:54.616]  Thanks for everybody that tuned in tonight.
[00:58:54.756 --> 00:58:55.476]  I'm Owen Schroer.
[00:58:55.536 --> 00:58:58.517]  Nightly News will be back tomorrow, 7 o'clock p.m.
[00:58:58.557 --> 00:58:59.097]  Central.
[00:59:04.139 --> 00:59:09.941]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:59:10.381 --> 00:59:20.085]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:20.425 --> 00:59:24.166]  DNA Force is one of the most expensive formulas to produce.
[00:59:24.726 --> 00:59:29.387]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:59:29.787 --> 00:59:36.008]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:59:36.308 --> 00:59:38.608]  You want the best that's out there at the lowest price anywhere?
[00:59:39.268 --> 00:59:41.709]  Well, we're bringing you a total win-win.
[00:59:42.089 --> 00:59:47.590]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the info war.
[00:59:48.030 --> 00:59:54.693]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:59:55.053 --> 00:59:59.895]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
