[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[01:28:16.431 --> 01:28:19.974]  Parts of Europe, or South America.
[01:28:22.395 --> 01:28:23.596]  Even Canada to some extent.
[01:28:23.616 --> 01:28:27.059]  There's a lot of people that love living in Canada right now.
[01:28:27.779 --> 01:28:30.221]  But they pay a lot of taxes to live there.
[01:28:32.523 --> 01:28:34.264]  But they got free healthcare, they say.
[01:28:34.724 --> 01:28:35.385]  It's not free.
[01:28:35.405 --> 01:28:36.485]  It's not free.
[01:28:37.026 --> 01:28:37.866]  You're paying for it.
[01:28:38.547 --> 01:28:39.227]  One way or another.
[01:28:42.330 --> 01:28:45.232]  By the way, I'm drinking some of our great InfoWars coffee.
[01:28:46.772 --> 01:28:48.653]  That we sell it in fourslife.com.
[01:28:49.914 --> 01:28:55.316]  And if you're a coffee drinker like I am, you can do yourself a service by getting a bag or two.
[01:28:55.496 --> 01:28:56.817]  It is some good stuff.
[01:28:57.637 --> 01:28:58.998]  And it tastes even better today.
[01:28:59.018 --> 01:29:03.300]  We got the Patriot Blend and the Immune Support Blend.
[01:29:03.841 --> 01:29:04.401]  And right now,
[01:29:06.052 --> 01:29:09.174]  We got free shipping store-wide, so I don't know what you're waiting for.
[01:29:09.654 --> 01:29:15.357]  Free shipping store-wide for our 52-hour live election broadcast super sale fundraiser.
[01:29:15.377 --> 01:29:23.621]  That's right, because we are funded by listeners and viewers like you out there who appreciate the information.
[01:29:23.641 --> 01:29:27.223]  Hey, think about it.
[01:29:27.903 --> 01:29:31.185]  What the hell are we going to talk about now that we don't have to talk about the election?
[01:29:36.203 --> 01:29:43.245]  We're going to talk about how to empower yourself and how to make your life better, among other things, and still look at the corruption that's out there.
[01:29:45.385 --> 01:29:47.545]  Like I said earlier, there's going to be a lot of work to do.
[01:29:50.186 --> 01:29:52.046]  Guys, has Hillary stepped up anywhere?
[01:29:52.086 --> 01:29:53.647]  Is she going to draw this out all day?
[01:29:54.767 --> 01:29:58.608]  They are waiting for her to arrive at the location of her speech.
[01:29:58.668 --> 01:30:02.049]  I'm not sure if it's at the Midtown Hotel or at the Janik Center in New York.
[01:30:03.269 --> 01:30:03.949]  Oh, Hillary.
[01:30:05.177 --> 01:30:07.059]  This is going to be the hardest speech of her life.
[01:30:07.079 --> 01:30:09.422]  Hopefully she doesn't cough and screw it up.
[01:30:09.702 --> 01:30:12.886]  She's going to make sure she doesn't do anything else that could further indict her.
[01:30:13.186 --> 01:30:13.466]  Yeah.
[01:30:13.787 --> 01:30:15.929]  Court of opinion or legal court.
[01:30:18.472 --> 01:30:20.935]  Yeah, what an amazing turn of events in the last week.
[01:30:22.236 --> 01:30:24.399]  Week and a half leading up to the election.
[01:30:27.549 --> 01:30:32.851]  You had the government and the media saying there's no election fraud, no election fraud.
[01:30:33.211 --> 01:30:39.793]  But wait, we have an underground bunker full of hackers ready to go after Russia because there's election fraud.
[01:30:42.514 --> 01:30:49.537]  And you had people saying there's no voter fraud.
[01:30:49.557 --> 01:30:52.198]  And then we go and
[01:30:54.389 --> 01:31:04.581]  Behind the lens of people like Project Veritas who have their people dress up as Muslims and go in and get ballots for people.
[01:31:07.444 --> 01:31:08.465]  They've done it before too.
[01:31:08.505 --> 01:31:09.366]  It's not the first time.
[01:31:11.328 --> 01:31:12.750]  Our system's got a lot of holes in it.
[01:31:16.277 --> 01:31:23.961]  I've got a feeling the word election fraud is going to roll off the tongue of Rachel Maddow very, very often in the following months.
[01:31:25.422 --> 01:31:26.923]  Yeah, they're going to say Trump stole it.
[01:31:28.904 --> 01:31:32.325]  Even though he doesn't have that big Democratic base behind him.
[01:31:33.986 --> 01:31:37.348]  They're not going to say anything about Hillary getting the questions early in the debates.
[01:31:38.389 --> 01:31:42.711]  Or the DNC working with CNN to come up with questions for Trump.
[01:31:42.731 --> 01:31:44.552]  They're not going to hear about that.
[01:31:46.112 --> 01:31:47.593]  No, it's gonna be Donald Trump stole it.
[01:31:47.613 --> 01:31:48.774]  He's a big, meany racist.
[01:31:49.755 --> 01:32:00.565]  And our country's going to hell now that some man is... who is a, you know, a self-made businessman, now that he's in charge.
[01:32:02.326 --> 01:32:03.007]  Can't have that.
[01:32:04.408 --> 01:32:04.588]  Nope.
[01:32:10.854 --> 01:32:12.075]  Lot of headlines on Trump.
[01:32:13.356 --> 01:32:17.758]  Here's one of the new statesmen, the little mushroom cloud, the Trump apocalypse.
[01:32:20.219 --> 01:32:21.220]  I saw that with Hillary.
[01:32:22.401 --> 01:32:23.841]  A lot of people saw that with Hillary.
[01:32:23.941 --> 01:32:25.682]  Jill Stein even saw it with Hillary.
[01:32:30.685 --> 01:32:39.809]  Bernstein last night, one of the famous duo Woodward and Bernstein, said Drudge was in an alternative universe.
[01:32:41.350 --> 01:32:42.791]  There was Drudge plugging away.
[01:32:44.335 --> 01:32:45.075]  Not speaking.
[01:32:45.956 --> 01:32:48.097]  Letting his headlines do the talking.
[01:32:52.400 --> 01:32:55.222]  Benjamin Netanyahu congratulated a true friend of Israel.
[01:32:58.464 --> 01:33:03.207]  Egypt's Sisi is the first international call.
[01:33:05.097 --> 01:33:09.339]  Hungarian PM Orban hails victory as great news.
[01:33:10.380 --> 01:33:12.801]  Philippines Duarte congratulates, wants to work together.
[01:33:13.582 --> 01:33:14.082]  Le Pen.
[01:33:14.762 --> 01:33:15.143]  Putin.
[01:33:17.404 --> 01:33:19.705]  There's a lot of countries that seem to be thinking this is a good thing.
[01:33:21.066 --> 01:33:28.170]  That we're afraid of Hillary Clinton and what she would have done with the power she so desperately craved.
[01:33:30.932 --> 01:33:32.933]  She was so desperate for this power, she
[01:33:34.349 --> 01:33:40.491]  And her team would continuously bend and cheat to try and get her in the presidency.
[01:33:43.912 --> 01:33:51.794]  They would take the nomination from Bernie Sanders and have the gall to stand up and say, it's her time.
[01:33:52.974 --> 01:33:53.675]  She's a woman.
[01:33:55.155 --> 01:34:01.537]  And now we're about to hear her concession speech as we, as the clock ticks into the
[01:34:03.843 --> 01:34:05.363]  First Trump administration.
[01:34:08.004 --> 01:34:18.727]  But for the next four years, I think if he thought he's going to be pulling arrows out of his back, or if he thought he had to turn this this election, it's going to be relentless.
[01:34:20.988 --> 01:34:25.989]  And, you know, the media knows, wow, we've got a guy that people are interested in hearing about Trump.
[01:34:27.429 --> 01:34:28.430]  We're going to talk about everything.
[01:34:28.770 --> 01:34:29.530]  We're going to become Trump
[01:34:31.223 --> 01:34:31.824]  Trump News.
[01:34:32.264 --> 01:34:33.365]  Trump doesn't need a network.
[01:34:33.825 --> 01:34:36.948]  He's got four networks that are dying right now.
[01:34:36.968 --> 01:34:47.957]  And I think there's a great video out there where Wolf Blitzer's interviewing him and he goes, why do you attack Megyn Kelly?
[01:34:49.198 --> 01:34:57.664]  And he goes, because she attacks me night after night, day after day, and if she didn't talk about me, her ratings would be even lower than yours.
[01:34:59.980 --> 01:35:01.041]  And that's the truth.
[01:35:01.161 --> 01:35:02.402]  The mainstream media is dying.
[01:35:02.422 --> 01:35:09.367]  And their only hope is going to be to report relentlessly on Trump.
[01:35:13.550 --> 01:35:14.591]  So it's a good day today.
[01:35:14.611 --> 01:35:16.492]  I'm sorry if I seem a little down.
[01:35:17.853 --> 01:35:18.834]  Major lack of sleep.
[01:35:18.914 --> 01:35:24.639]  I've probably had four hours of sleep in the last two days.
[01:35:26.013 --> 01:35:27.094]  I'm running on fumes.
[01:35:27.314 --> 01:35:28.754]  It's 936 a.m.
[01:35:28.935 --> 01:35:37.179]  and you are watching the 52-hour live election broadcast at InfoWars.com forward slash show.
[01:35:37.199 --> 01:35:38.239]  It's our free stream.
[01:35:38.259 --> 01:35:43.462]  We're also streaming on Facebook and on YouTube.
[01:35:45.643 --> 01:35:51.006]  Several YouTube streams, several Facebook streams, and we're gonna go till 3 o'clock today.
[01:35:53.692 --> 01:36:01.875]  And I think we will have satisfied our insatiable need to be on TV and spread the news after 52 hours.
[01:36:01.895 --> 01:36:06.557]  You think you guys out there in the control room, you think we'll have done it after 52 hours?
[01:36:08.698 --> 01:36:11.339]  We will have fulfilled the need.
[01:36:11.379 --> 01:36:14.360]  Fulfilled the need, yes, for sleep deprivation.
[01:36:15.060 --> 01:36:16.901]  It's our patriotic duty.
[01:36:18.368 --> 01:36:19.568]  So I want to go to this video.
[01:36:19.588 --> 01:36:25.690]  I was hoping we could go to Clinton and she would come out and speak for seven minutes because she can't really go on much longer than that.
[01:36:26.370 --> 01:36:34.691]  And then go to this video report that Dr. Group came in and filed yesterday talking about the new flu shot that they're pushing on old people.
[01:36:38.272 --> 01:36:44.353]  Because if you get rid of old people, you can hire more teachers, says Bill Gates.
[01:36:45.814 --> 01:36:47.394]  If you help them with their end-of-life treatment.
[01:36:49.835 --> 01:36:54.879]  And one way to do that is inject them with toxic ingredients that compromise their immune system.
[01:36:56.681 --> 01:36:59.543]  We had a caller earlier, Grace, who's a nurse.
[01:37:02.485 --> 01:37:04.787]  She's seen a bunch of adverse reactions from shots.
[01:37:06.388 --> 01:37:07.649]  She doesn't take the flu shot.
[01:37:09.271 --> 01:37:10.492]  She goes, I just wear the mask.
[01:37:14.795 --> 01:37:16.176]  I don't know, who do you think knows more?
[01:37:16.697 --> 01:37:18.338]  A nurse or a politician?
[01:37:19.676 --> 01:37:21.916]  Well, about health, I think a nurse knows more.
[01:37:21.936 --> 01:37:25.517]  About stealing from you, I think a politician knows more.
[01:37:27.797 --> 01:37:41.100]  But when I talk to nurses about vaccines, they always talk about the side effects that they see, because they're on the front lines.
[01:37:41.120 --> 01:37:48.261]  In fact, we had a nurse in one time, I think David Knight interviewed her, and she talked about how
[01:37:49.417 --> 01:37:59.506]  They would give preemies their Hep B shot because, you know, premature babies having anal sex and shooting up with dirty needles.
[01:38:00.467 --> 01:38:03.009]  You know, it's a rash going on right now.
[01:38:04.390 --> 01:38:06.632]  Rash of premature babies doing that.
[01:38:06.672 --> 01:38:11.456]  So they give them that Hep B vaccine and they have the incubators ready because they stop breathing.
[01:38:13.318 --> 01:38:14.099]  And the ventilators.
[01:38:15.188 --> 01:38:17.270]  The intubators, I'm sorry, not incubators.
[01:38:17.290 --> 01:38:18.411]  They keep them in incubators.
[01:38:18.771 --> 01:38:20.633]  But they're intubators and they help them breathe.
[01:38:21.313 --> 01:38:24.836]  And they have them ready because, oh, the poor little baby stopped breathing.
[01:38:24.996 --> 01:38:26.317]  Better get them ready in the NICU.
[01:38:26.337 --> 01:38:39.168]  I tell you, one group of women and men that do love to push vaccines are those neonatal nurses.
[01:38:39.368 --> 01:38:40.129]  They are told
[01:38:41.181 --> 01:38:42.442]  And they full court pressed it.
[01:38:42.502 --> 01:38:45.563]  They full court pressed us in the hospital last time.
[01:38:45.583 --> 01:38:47.904]  Gave them that hep B shot.
[01:38:47.924 --> 01:38:50.064]  That vitamin K shot.
[01:38:51.365 --> 01:38:55.066]  Even though you can give them an oral dose of vitamin K, which doesn't have a bunch of ingredients in it.
[01:38:56.567 --> 01:38:58.027]  Still gives them the vitamin K they need.
[01:38:58.367 --> 01:39:01.949]  Oh no, but we've done studies and the oral vitamin K just doesn't absorb.
[01:39:03.890 --> 01:39:06.631]  And right after they told me that, I went and looked up and found 14 studies
[01:39:08.755 --> 01:39:12.797]  Including one that looked at over 100,000 people over a 30-year period.
[01:39:17.060 --> 01:39:20.142]  And it showed, yeah, it does pretty much the same.
[01:39:20.802 --> 01:39:21.303]  Absorption.
[01:39:22.323 --> 01:39:24.445]  By taking it orally, then injecting it.
[01:39:26.206 --> 01:39:27.146]  Not much of a difference.
[01:39:30.288 --> 01:39:31.689]  And I would ask them about those studies.
[01:39:31.709 --> 01:39:33.270]  Oh, we've done new studies.
[01:39:34.090 --> 01:39:36.312]  Always have something new to say.
[01:39:37.170 --> 01:39:39.312]  And they're like, you know, it's so sad.
[01:39:39.352 --> 01:39:41.193]  There's a rash of information out there.
[01:39:43.615 --> 01:39:45.456]  And I know it can be hard being a parent.
[01:39:47.378 --> 01:39:53.642]  But trust me, because I get a bonus from Big Pharma if I get you to take this shot.
[01:39:56.064 --> 01:40:00.247]  So, well, I guess we're not going to wait for Hillary Clinton any longer.
[01:40:00.267 --> 01:40:05.071]  We're going to give you some flu information, some flu shot information, because flu season is upon us.
[01:40:06.161 --> 01:40:12.803]  And don't forget, you're watching the 52-hour live election broadcast, and we have a super sale going on at InfoWarsStore.com and InfoWarsLife.com.
[01:40:13.903 --> 01:40:29.968]  You can get 30% off Supermail Vitality, DNA Force, Survival Shield X2, Pro Pure King water filters, 30 to 40% off InfoWars select storable foods and free shipping, 25% off Secret 12, and 15% off all Mullen LaBae apparel.
[01:40:30.449 --> 01:40:31.649]  And we've got other deals in there.
[01:40:35.000 --> 01:40:36.942]  Silver Bullet was on special earlier.
[01:40:37.662 --> 01:40:38.783]  I think it's still on special.
[01:40:39.464 --> 01:40:40.885]  So go check out the store right now.
[01:40:43.267 --> 01:40:46.269]  And this report will be filed on YouTube.
[01:40:47.170 --> 01:40:53.715]  This flu shot report from Dr. Group going over the new flu shot that's mainly being offered to old people.
[01:40:55.756 --> 01:41:00.640]  And he's seen people coming into his practice with debilitating side effects.
[01:41:01.381 --> 01:41:02.562]  So he's just trying to warn people.
[01:41:07.461 --> 01:41:09.582]  So, I think Paul Watson will be back.
[01:41:09.642 --> 01:41:10.802]  If not, I'll be back here.
[01:41:11.622 --> 01:41:14.863]  I'll wait it out, see if he shows up from across the pond.
[01:41:14.883 --> 01:41:19.484]  I'm sure Watson's gonna have a great perspective on what's going on.
[01:41:19.524 --> 01:41:20.424]  He's already been tweeting.
[01:41:22.605 --> 01:41:26.465]  By the way, my Twitter is at DewsNews, D-E-W-S-N-E-W-Z.
[01:41:26.886 --> 01:41:28.866]  I didn't even tweet much after Trump won.
[01:41:28.906 --> 01:41:32.627]  I was too busy shooting videos of what's going on, shooting Facebook videos.
[01:41:34.781 --> 01:41:38.024]  So we really showed last night what we could do as the people's media.
[01:41:39.225 --> 01:41:43.729]  We appreciate you joining us on that journey here at InfoWars.com, and we want to do more.
[01:41:45.530 --> 01:41:46.411]  So please support us.
[01:41:46.951 --> 01:41:49.714]  Try out our new app, InfoWars.com forward slash app.
[01:41:50.094 --> 01:41:52.156]  We got a free version and a subscription version.
[01:41:52.816 --> 01:42:01.844]  And the subscription version is only going to grow, so maybe you could help grow with us in that journey to report the news because
[01:42:03.561 --> 01:42:05.642]  We've let the mainstream media do it for too long.
[01:42:05.663 --> 01:42:12.948]  And they are no longer worthy of our tears and our hard work.
[01:42:16.030 --> 01:42:19.492]  It's time to put out what's really going on in the world.
[01:42:19.512 --> 01:42:23.515]  And we can no longer stand idly by.
[01:42:23.615 --> 01:42:24.236]  So join us.
[01:42:24.356 --> 01:42:25.937]  Get InfoWars Prime right now.
[01:42:26.818 --> 01:42:28.038]  Load it up on your smartphone.
[01:42:29.279 --> 01:42:31.361]  And start spreading the news.
[01:42:34.355 --> 01:42:37.517]  Alright, we'll be right back after this short video from Dr. Group.
[01:42:37.537 --> 01:42:42.299]  Hopefully it'll be Paul Joseph Watson and then Alex Jones will be in here to take you through till the end.
[01:42:42.319 --> 01:42:44.481]  Well, up till 2 o'clock.
[01:42:44.501 --> 01:42:50.424]  And I think David Knight's in for the final hour of the 52-hour broadcast.
[01:42:50.484 --> 01:42:51.685]  It is almost over.
[01:42:52.985 --> 01:42:54.126]  So close I can taste it!
[01:42:56.291 --> 01:42:57.592]  I'm going to go take a nap, hopefully.
[01:42:58.393 --> 01:43:00.234]  And you enjoy this message from Dr. Group.
[01:43:00.374 --> 01:43:02.456]  And stay tuned at Forrest.com forward slash show.
[01:43:02.496 --> 01:43:03.737]  Spread the link far and wide.
[01:43:04.177 --> 01:43:08.020]  Check us out on Facebook and the Alex Jones Channel on YouTube.
[01:43:09.041 --> 01:43:10.042]  Let's go ahead and roll that video.
[01:43:14.893 --> 01:43:32.264]  Hi everyone, I'm Dr. Group and today I'd like to present a special report during these election times and as you know I'm the health consultant or one of the health consultants for InfoWars and today I'd like to bring attention to this year's flu shot
[01:43:33.284 --> 01:43:45.927]  What's been going on currently in the government and how you can naturally boost your immune system and help yourself during the 2016 and 2017 flu season.
[01:43:46.647 --> 01:43:53.769]  First of all, I'd like to bring your attention to a document, an executive order that was signed on November 4th, 2016 by President Obama.
[01:43:58.171 --> 01:44:11.331]  With all of the election coverage that's been going on, this is really a shocking document that I was able to bring up due to the fact that I've had so many calls lately.
[01:44:12.913 --> 01:44:34.222]  uh... from people all over the united states and i always know when something is happening or something's going on by the amount of phone calls that we get and this year was different years people complaining of muscle weakness and headaches and all of these symptoms and we tracked it down to this year's flu shot or at least that's one of the culprits that we think might be happening so
[01:44:35.302 --> 01:44:43.009]  As a research scientist, I wanted to bring as much information together as I could and try to discover what in the world is going on out there this year.
[01:44:43.830 --> 01:44:52.818]  My job, InfoWars' job, is to try to protect you against everything, and education and knowledge is the best protection that you can have.
[01:44:52.918 --> 01:44:55.360]  So this special report today, I want to break down what
[01:44:55.920 --> 01:44:59.823]  It's currently happening in the 2016-2017 flu season.
[01:44:59.863 --> 01:45:07.069]  I also want to give you guys some tips on how you can prevent or avoid the flu shot this year.
[01:45:08.249 --> 01:45:11.932]  Like I said, it starts with this executive order from President Obama.
[01:45:11.952 --> 01:45:22.160]  The executive order is advancing the global health security agenda to achieve a world safe and secure from infectious disease threats.
[01:45:23.092 --> 01:45:24.533]  Now, this is a long document.
[01:45:24.593 --> 01:45:32.496]  I highly recommend you go to the whitehouse.gov website if you want to print it out or if you want to read the full document.
[01:45:32.576 --> 01:45:37.538]  But I'll just generalize and summarize what the document is about.
[01:45:38.218 --> 01:45:47.582]  Section 1 says, Promoting global health security is a core tenet of our national strategy for countering biological threats.
[01:45:52.461 --> 01:46:02.087]  Now, as you know, a biological threat can be anything spread throughout the world that is going to cause sickness and possibly death.
[01:46:03.568 --> 01:46:21.318]  Therefore, it is the policy of the United States to advance the Global Health Security Agenda, which is a multifaceted, multi-country initiative intended to accelerate partner countries, achieve specific targets to prevent, detect and respond to infectious disease threats.
[01:46:21.918 --> 01:46:30.401]  Most people don't know, but a lot of these flu vaccines that have been developed over the last couple years are actually quadrivalent, trivalent.
[01:46:30.961 --> 01:46:38.404]  And let me just say, it is impossible, ladies and gentlemen, to create a flu vaccine that actually works.
[01:46:39.084 --> 01:46:41.945]  And this is not just me telling you this.
[01:46:42.085 --> 01:46:47.187]  I mean, all you have to do is type in how a flu vaccine is made, and I'm going to go over some of this with you today.
[01:46:47.947 --> 01:46:50.488]  But the influenza virus
[01:46:51.602 --> 01:46:56.626]  Actually changes its DNA structure every time it replicates.
[01:46:56.926 --> 01:47:02.129]  So it's literally and scientifically impossible to develop an influenza vaccine.
[01:47:02.169 --> 01:47:04.751]  That's why they have to pick and choose viruses.
[01:47:05.472 --> 01:47:10.915]  And people that get the flu vaccine can shed these viral particles from their skin.
[01:47:10.955 --> 01:47:14.538]  They float around in the air for up to 17 days.
[01:47:14.798 --> 01:47:17.160]  So even if your neighbor or somebody that you're
[01:47:18.044 --> 01:47:25.774]  You know, close to where your kids go to school, you still have the threat of possibly inhaling or getting these viral fragments.
[01:47:26.355 --> 01:47:30.861]  And why this executive order, I'm still trying to figure out why that was done in secret.
[01:47:31.401 --> 01:47:31.882]  I don't know.
[01:47:32.262 --> 01:47:32.683]  November 4th.
[01:47:33.624 --> 01:47:55.540]  But it clearly states that all of the organizations are going to be coming together, the Office of Management and Budget, the Department of Homeland Security, the Department of Health and Human Services, Department of Agriculture, Department of Defense, the Department of State, to try to initiate some sort of bioterrorism agenda.
[01:47:56.560 --> 01:47:58.101]  So that led me to
[01:47:59.719 --> 01:48:14.609]  The next document, after I read through the executive order, I decided to go to the CDC website and see what in the world, because anytime I hear biological or anything like that, the first thing I want to do is I want to see what are they trying to promote this year?
[01:48:14.889 --> 01:48:15.650]  What is different?
[01:48:15.750 --> 01:48:16.550]  What's going on?
[01:48:16.590 --> 01:48:20.093]  There's always some sort of a hidden agenda going on and I wanted to expose it.
[01:48:21.414 --> 01:48:25.576]  Sure enough, on the first page of the CDC under flu, we have what
[01:48:28.251 --> 01:48:32.393]  ...is new for the 2016-2017 flu season.
[01:48:33.994 --> 01:48:41.819]  Now, it says, third bullet point down, there will be some new vaccines on the market this season.
[01:48:43.704 --> 01:48:45.585]  What flu vaccines are recommended?
[01:48:45.985 --> 01:48:51.408]  This season, only injectable flu vaccines should be used.
[01:48:51.528 --> 01:49:04.214]  Now, in the past, there were vaccines that were the mist vaccines that people were spraying in their nose and inhaling, but this year, which is very strange, only injectable flu vaccines are recommended.
[01:49:05.134 --> 01:49:09.216]  Now, the options this season include standard dose flu shots,
[01:49:10.498 --> 01:49:20.501]  This is what really sticked out to me because of the fact that I've been having people call my office and their parents, their grandparents are becoming severely ill.
[01:49:21.822 --> 01:49:25.943]  A high dose shot for older people.
[01:49:27.584 --> 01:49:30.905]  A shot made with adjuvant for older people.
[01:49:30.965 --> 01:49:33.426]  And I'm going to explain to you what that adjuvant is.
[01:49:34.286 --> 01:49:37.287]  And a shot made with virus grown in cell culture.
[01:49:38.208 --> 01:49:47.770]  Now, if you look further down on the document, you actually see a sentence there that says, what flu vaccines are new this season?
[01:49:48.965 --> 01:49:53.529]  This season, a flu vaccine with adjuvant will be available for the first time in the United States.
[01:49:53.989 --> 01:50:00.794]  Adjuvant is a vaccine ingredient that helps create a stronger immune response in the patient's body.
[01:50:01.635 --> 01:50:07.039]  This new vaccine, Fluad, is approved for use in 65 and older.
[01:50:07.659 --> 01:50:11.782]  The next new vaccine is a vaccine called
[01:50:12.643 --> 01:50:18.565]  Flucelvax, and that is the one for children recommended for years and older.
[01:50:19.205 --> 01:50:27.447]  So what's going on with these new vaccines that they're putting on the market this year and asking people to get?
[01:50:28.287 --> 01:50:37.750]  Well, I did some research and as it turns out, Fluad and Flucelvax is actually manufactured by the same company.
[01:50:38.590 --> 01:50:40.131]  A company called Seqirus.
[01:50:40.851 --> 01:50:51.215]  Now, if you look at this document right here, Fluad, Flucelvax, you know, they specialize in vaccine production.
[01:50:52.215 --> 01:50:59.117]  But, if you dig even deeper, they also specialize in biological development as well.
[01:51:02.168 --> 01:51:09.695]  If you look at Securus, who owns Securus, is the next thing I said, trying to figure out if there's any connection.
[01:51:10.375 --> 01:51:15.200]  I did find that Securus is owned by a company called CSL Limited.
[01:51:16.481 --> 01:51:27.271]  And, just goes to show you that the director of CSL Limited is a guy named Dr. Tadatkaka Yamada.
[01:51:29.046 --> 01:51:42.009]  And his past job included President of the Bill and Melinda Gates Foundation, Global Health Program, and Chairman of Research and Development at GlaxoSmithKline.
[01:51:42.689 --> 01:51:55.832]  He also currently serves as a Director of Agilent Technologies, Inc., and the Clinton Health Access Initiative, and a member of the Council of the National Academy of Medicine.
[01:51:57.213 --> 01:51:58.174]  What does that mean?
[01:51:58.954 --> 01:52:03.336]  Obviously, we've had a depopulation agenda going on for quite some time.
[01:52:03.376 --> 01:52:11.841]  We've had Bill... I mean, openly, the globalists have openly admitted that we need to institute a depopulation scheme.
[01:52:12.421 --> 01:52:17.144]  We know that the Obamacare system and the current healthcare system is a disaster.
[01:52:19.245 --> 01:52:21.466]  Who are the easiest people to get rid of?
[01:52:22.748 --> 01:52:25.529]  What is the most cost for our government?
[01:52:25.909 --> 01:52:28.490]  Of course, it's the 65 plus age group.
[01:52:29.530 --> 01:52:35.272]  So all of a sudden now they're coming out with a vaccine for the 65 and older age group?
[01:52:35.832 --> 01:52:40.093]  Let's take a look at that vaccine and let me show you what we have to look forward to this year.
[01:52:41.974 --> 01:52:42.574]  Fluad.
[01:52:42.954 --> 01:52:47.275]  Fluad is the one that they're recommending for individuals 65 and older.
[01:52:48.376 --> 01:52:49.316]  As you can see here,
[01:52:51.997 --> 01:52:54.358]  It has multiple influenza strains.
[01:52:55.498 --> 01:52:59.839]  Influenza strains and MF59C.
[01:53:00.199 --> 01:53:00.579]  Okay?
[01:53:01.119 --> 01:53:06.620]  This is a key ingredient that I need to talk about for a minute.
[01:53:06.860 --> 01:53:10.641]  Breaking down, by the way, these are confidential documents that I was able to get.
[01:53:11.001 --> 01:53:17.302]  You can actually see at the top of the document itself where it says confidential up there.
[01:53:20.071 --> 01:53:21.131]  MF59C.
[01:53:21.912 --> 01:53:22.632]  What is that?
[01:53:24.033 --> 01:53:43.821]  MF59C, if you look it up, is a highly toxic vaccine adjuvant called squalene MF59, which was first given to servicemen back during the first Gulf War and linked to Gulf War syndrome.
[01:53:45.492 --> 01:53:56.545]  The experimental oil and water adjuvant was forced on all servicemen beginning in 1999 via the mandatory anthrax vaccine.
[01:53:58.727 --> 01:54:03.492]  Captain Rovitz's comrades suffered severe and permanent side effects.
[01:54:04.946 --> 01:54:20.841]  For the past 64 years, the United States military and other agencies within our government have used our servicemen and women, this is a quote by the way, as test subjects, oftentimes in secret and without informed consent, explained Captain Rovet.
[01:54:21.361 --> 01:54:22.482]  I was in the military.
[01:54:23.643 --> 01:54:32.028]  And there was a couple times where they brought us all in and gave us vaccinations and would not tell us what they were or what they were supposed to do.
[01:54:32.769 --> 01:54:36.831]  So who knows if I'm going to be affected 10 years later from that.
[01:54:37.731 --> 01:54:38.592]  But listen to this.
[01:54:40.173 --> 01:54:50.219]  Roughly one out of four, one out of four servicemen and women veterans, brothers and sisters who served
[01:54:51.135 --> 01:54:58.380]  Ladies and gentlemen, I am not the type of person to try to instill fear, doom and gloom, but I am here warning everybody.
[01:55:11.786 --> 01:55:34.867]  That this may be the most devastating flu season in the history of the world, because I've never seen such a possibly, potentially, well I'm not even going to say possibly, damaging slew of ingredients that are going to be injected into our moms, our dads, our grandparents,
[01:55:36.400 --> 01:55:44.286]  And we are on the verge of seeing a massive shift in disease and sickness and possibly even death.
[01:55:44.706 --> 01:55:48.909]  Let me read to you what is in that Fluad vaccine.
[01:55:50.490 --> 01:55:58.096]  First, it has the MF59, which is the squalene-based, Gulf War Syndrome-based adjuvant.
[01:55:59.389 --> 01:56:02.231]  It has polysorbate 80, which is a toxic ingredient.
[01:56:02.371 --> 01:56:04.992]  It has sorbitan tri-oleate.
[01:56:05.432 --> 01:56:10.935]  It has sodium citrate dihydrate and citric acid monohydrate.
[01:56:12.036 --> 01:56:25.123]  It even contains trace amounts of neomycin, kanamycin, and barium, which are used during the initial stages of manufacture as well as residual egg proteins.
[01:56:26.852 --> 01:56:26.912]  I'm
[01:56:44.730 --> 01:56:50.873]  Deficient in iodine because of the other halogens which are going to be the bromide, chloride and fluorine.
[01:56:51.353 --> 01:56:54.015]  So that is something that we definitely need to watch out for.
[01:56:54.875 --> 01:57:01.499]  Please, if you have children, if you have grandparents,
[01:57:03.078 --> 01:57:06.580]  Hopefully you guys do, and hopefully you have parents as well.
[01:57:07.240 --> 01:57:09.181]  Please do your research.
[01:57:09.622 --> 01:57:12.303]  Please do your research on this year's vaccines.
[01:57:13.224 --> 01:57:27.571]  The toxicity of the sedal trimethylammonium bromide animal testings has shown ingestion of less than 150 grams of the agent can lead to adverse health effects or possibly death.
[01:57:29.713 --> 01:57:29.913]  So,
[01:57:31.567 --> 01:57:40.059]  The next vaccine that's available for children this year is called Flucelvax, and that's a subunit influenza vaccine.
[01:57:41.371 --> 01:58:02.727]  This actually contains a Brisbane wild-type H1N1-like virus, a South Australian wild-type virus, a Switzerland wild-type virus, a Utah B. fucut-like virus, and it contains residual amounts of MDCK cell protein.
[01:58:02.827 --> 01:58:06.429]  That's a Madden-Darby canine kidney cells.
[01:58:07.310 --> 01:58:13.034]  So they're culturing these vaccines and these viral particles on dog kidney cells.
[01:58:15.796 --> 01:58:33.709]  I know vaccines and flu vaccines is a very controversial issue and it's something that I hope that today I was able to provide you with enough information to make a decision, a good decision for yourself and your family this year.
