[00:00:00.009 --> 00:00:00.225]  Thank you.
[01:44:44.606 --> 01:44:52.492]  Those two elements, the hunting lifestyle and the Second Amendment, were the tip of the culture war spear when it started.
[01:44:52.712 --> 01:44:56.556]  Because the hippies couldn't believe that I would kill an innocent animal.
[01:44:58.477 --> 01:45:10.647]  Even folks that love you for decades and don't know the lore of Ted Nugent, I know a lot of it and I don't mean to be kissing your butter, but it is cool to see how long ago you were basically doing what I've been doing for 20 years, 40, 50 years ago.
[01:45:11.148 --> 01:45:12.109]  It's just crazy, Ted.
[01:45:13.790 --> 01:45:15.512]  It really was and it struck me.
[01:45:16.452 --> 01:45:26.521]  I pursed my lips and furrowed my brow and I went, wait a minute, so you think I'm an idiot for not snorting cocaine and smoking dope, but that I should be jailed for
[01:45:28.303 --> 01:45:31.185]  And a Second Amendment participant.
[01:45:31.285 --> 01:45:33.926]  Really, that's the premise of your hate for me.
[01:45:34.206 --> 01:45:44.191]  So the Saul Alinsky machine started running amok and they would call me a racist and a homophobe and a draft dodger and an anti-Semite.
[01:45:44.271 --> 01:45:49.234]  You know, all the knee-jerk dishonesty from the left if they can't debate you.
[01:45:51.644 --> 01:46:00.331]  That the left cannot debate me because I'll eat their family tree and spit sawdust like I did on Texas Public Television and to our friend Pierce Morgan.
[01:46:00.731 --> 01:46:11.239]  And so they would immediately begin to attack me personally and claim that I can't play guitar and that I'm a homophobe when I actually am none of the things that they claim I am.
[01:46:11.480 --> 01:46:13.761]  So I take that as a badge of honor.
[01:46:13.982 --> 01:46:18.185]  But what you're seeing at Fox, what you're seeing from the unbelievable
[01:46:18.787 --> 01:46:19.128]  We're good.
[01:46:25.948 --> 01:46:47.272]  Violate her oath to the Constitution and edit the tapes from the Orlando shooting 9-1-1 calls without a flinch, without any sense of accountability, knowing she's immune from prosecution because the president hired her based on the color of her skin, not the content of her character.
[01:46:47.592 --> 01:46:51.973]  And that statement I just made alone will so infuriate
[01:46:52.353 --> 01:47:06.237]  The leftist, America-hating media and academia and the government punks and thugs that hate Ted Nugent and hate Alex Jones and hate the Constitution, hate freedom, hate the Pledge of Allegiance.
[01:47:06.277 --> 01:47:09.778]  They hate everything good about people, everything good about him.
[01:47:10.758 --> 01:47:13.158]  I could not be more proud.
[01:47:13.498 --> 01:47:16.659]  And by the way, Ted Nugent, you're saying all this, it's just pure Veritas.
[01:47:17.339 --> 01:47:19.200]  You're the only guest we have on where it's just all like,
[01:47:20.612 --> 01:47:22.994]  Just like, like, absolute veritas.
[01:47:23.034 --> 01:47:24.655]  It's just every word is absolutely, totally true.
[01:47:24.855 --> 01:47:26.036]  They have inverted reality.
[01:47:26.256 --> 01:47:27.717]  They're the most anti-liberal people.
[01:47:27.737 --> 01:47:34.262]  I think of liberals, Thomas Jefferson, more freedom, lower taxes, you know, every person right to defend themselves, maximum individual liberty.
[01:47:34.642 --> 01:47:35.282]  That's liberal.
[01:47:35.322 --> 01:47:36.283]  These people aren't liberal.
[01:47:36.303 --> 01:47:37.744]  I think it's time to really call them what they are.
[01:47:38.284 --> 01:47:43.468]  Just a bunch of scum and criminals and losers that want to control reality and run our lives.
[01:47:43.828 --> 01:47:44.389]  And I tell you,
[01:47:45.169 --> 01:47:48.852]  More and more of the grassroots, so-called leftists, are getting off the plantation.
[01:47:49.572 --> 01:47:50.713]  I really see that happening.
[01:47:50.953 --> 01:47:53.455]  But in your gut, what else are you really concerned about?
[01:47:53.535 --> 01:48:03.462]  Obviously, you know, communists, Black Lives Matter, Obama, refusing to repudiate him, saying, you know, the cops need to reform themselves, implying the death of police is a good thing.
[01:48:03.802 --> 01:48:05.643]  I mean, I don't understand the disconnect.
[01:48:05.904 --> 01:48:09.686]  How does Obama think he's going to get away with starting the civil war in the country?
[01:48:09.946 --> 01:48:11.147]  Or do I have a blind spot?
[01:48:11.588 --> 01:48:12.848]  I mean, does he have a chance?
[01:48:12.948 --> 01:48:13.449]  What's he doing?
[01:48:15.141 --> 01:48:16.782]  I don't think he has a chance.
[01:48:16.842 --> 01:48:26.027]  We see these isolated events of outrageous demonacy by the sniper in Dallas and the murderer in Baton Rouge.
[01:48:26.267 --> 01:48:33.350]  Right after those horrific events attacking the heroes of law enforcement, Alex, I was with the Dallas Police Department.
[01:48:33.811 --> 01:48:42.715]  I happen to have trained with some of these guys and I work with these guys and just last night we were in Baton Rouge, Louisiana and I met with a bunch of the heroes of law enforcement there.
[01:48:42.995 --> 01:48:44.316]  But more importantly than those
[01:48:44.876 --> 01:48:45.536]  We're good to go.
[01:49:01.484 --> 01:49:05.206]  Anti-constitutionalist that we have as the Commander-in-Chief.
[01:49:05.646 --> 01:49:14.291]  I don't believe that even the power that he has with all his communist buddies like Ben Jones and Loretta Lynch and Valerie Jarrett.
[01:49:14.412 --> 01:49:17.093]  I don't think they're going to overwhelm we the people.
[01:49:17.433 --> 01:49:23.157]  It got close there for a while because of the apathy and the allowing of the dumbing down of America.
[01:49:23.417 --> 01:49:26.259]  But I hang with people every day, Alex.
[01:49:26.839 --> 01:49:38.529]  I have meetings every day with people with charities, children's charities, military charities, conservation charities, working hard, playing hard Americans, that sacrifice and take risks.
[01:49:42.112 --> 01:49:53.856]  Major studies in Canada and the UK show that Conservatives and Libertarians worldwide, and Christians and Patriots, give six times more money than Liberals and just do so much more good stuff.
[01:49:53.896 --> 01:49:57.137]  And that the Left, again, is six times more likely to rob.
[01:49:57.157 --> 01:49:58.938]  I mean, the Left are just criminals.
[01:50:00.525 --> 01:50:01.546]  There's no question, Bob.
[01:50:01.586 --> 01:50:02.846]  Let me give you an example.
[01:50:02.986 --> 01:50:07.808]  I know a lot of people would just think that this is an isolated example, but I get it all the time.
[01:50:08.128 --> 01:50:13.390]  And if I was on the radio with you every day, I could give you a dozen examples like this every day.
[01:50:13.890 --> 01:50:22.414]  Where an ultra-liberal radio guy, a disc jockey, who I've been working with for about 40-plus years, we recently did an interview in Detroit.
[01:50:22.974 --> 01:50:38.877]  And during the interview, he said, this is going to be very difficult for me, Ted, but I want to publicly state live on the air my apology to you because I always ridiculed you and made fun of you and condemned you for your politics going back to the 60s and 70s and 80s.
[01:50:39.178 --> 01:50:44.179]  And I just want to publicly state that I was wrong and you were right.
[01:50:44.459 --> 01:50:45.739]  Now that I have woke up,
[01:50:46.394 --> 01:50:57.477]  Now that I have educated myself to what is going on in our government and so much of the media and academia, those are the best to try at of power abuse and criminality.
[01:50:57.637 --> 01:50:59.858]  Government, media, and academia.
[01:51:00.198 --> 01:51:02.699]  He apologized to me, and he's a liberal guy, Alex.
[01:51:02.739 --> 01:51:03.279]  That's amazing.
[01:51:03.319 --> 01:51:03.659]  Stay there.
[01:51:03.679 --> 01:51:04.719]  Final segment with Ted Nugent.
[01:51:04.739 --> 01:51:05.579]  I just realized something.
[01:51:05.840 --> 01:51:08.340]  Ted Nugent's like the original info warrior of the last century.
[01:51:09.200 --> 01:51:09.521]  Are you pre-
[01:51:20.785 --> 01:51:24.469]  He who controls the trends, controls the future.
[01:51:25.270 --> 01:51:29.394]  He who controls the future, controls the destiny of humanity.
[01:51:31.596 --> 01:51:42.908]  My friends, the globalist social engineers are obsessed with creating false memes, false trends that they control.
[01:51:45.512 --> 01:52:01.705]  to create a population of trendies from those false trends that don't have their own destiny who don't even have a basic organic human genetic drive to build something
[01:52:03.365 --> 01:52:10.087]  That is satisfying, trailblazing, and innately independent and human.
[01:52:11.068 --> 01:52:15.709]  And if you understand this paradigm, you understand all the others.
[01:52:16.249 --> 01:52:28.894]  One of hundreds of memes and trends we've been successfully able to launch and force into the consciousness is a Operation Against Hillary Clinton we launched 10 months ago with the Hillary for Prison t-shirt.
[01:52:29.898 --> 01:52:32.700]  It's now been duplicated by countless groups, and I think that's wonderful.
[01:52:33.621 --> 01:52:35.282]  Imitation is the greatest form of flattery.
[01:52:35.963 --> 01:52:40.546]  And now it's all over CNN, it's all over Fox, it's all over the Trump rallies, the Hillary rallies.
[01:52:40.907 --> 01:52:47.972]  The number one search term for a week straight, last week, and still continuing, one of the top search terms is, is Hillary going to jail?
[01:52:48.312 --> 01:52:50.434]  This has been incredibly successful.
[01:52:50.694 --> 01:52:55.058]  Because it shows, despite corporate control, and despite them trying to control the meme,
[01:52:55.638 --> 01:53:12.578]  We are able to synergistically wear our colors loud and proud against injustice, corruption, and oppression, and show that we, humans, not the globalist controllers, but the common little people, can set the trends, can set the memes.
[01:53:13.419 --> 01:53:15.740]  We've had three versions of the Hillary for Prison shirt.
[01:53:16.261 --> 01:53:19.683]  All of them have been collector's edition and have helped fund the InfoWar.
[01:53:20.263 --> 01:53:22.825]  We now have a third edition in.
[01:53:23.065 --> 01:53:24.386]  The second edition sold out.
[01:53:24.746 --> 01:53:41.276]  It's the same as the last, but on the right shoulder says InfoWars.com, on the back it says InfoWars.com, legalized freedom, be part of history, be part of supporting the InfoWar, be part of meeting like-minded friends and family.
[01:53:42.392 --> 01:53:57.693]  And be part of breaking out of their paradigm and setting the agenda, setting the trend, setting the true, organic, teleprompter-free reawakening of humanity.
[01:53:58.522 --> 01:54:06.388]  Get your Hillary for Prison 2016 third wave shirts at Infowarstore.com or call toll free 888-253-3139.
[01:54:06.408 --> 01:54:17.857]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[01:54:30.323 --> 01:54:34.406]  By the way, this is my favorite guitar riff of all time.
[01:54:34.707 --> 01:54:35.287]  Hands down.
[01:54:36.188 --> 01:54:37.809]  There is no debating it.
[01:54:37.829 --> 01:54:41.752]  The ass-kissing or kissing contest just continues.
[01:54:41.812 --> 01:54:42.432]  It's just true, though.
[01:54:42.713 --> 01:54:43.954]  I mean, Ted Nugent is that good.
[01:54:44.194 --> 01:54:45.915]  He's been fighting the culture war for almost 50 years.
[01:54:47.316 --> 01:54:49.037]  That's hard to believe, isn't it?
[01:54:49.117 --> 01:54:52.038]  And the guy doesn't look like he's 55.
[01:54:52.078 --> 01:54:57.601]  He has been putting out some of the most savage music in the world for decade after decade.
[01:54:57.621 --> 01:54:59.842]  And I just love it when I'm driving down the road and hear his music.
[01:55:00.122 --> 01:55:03.864]  Or I see a car commercial or a new hot movie coming out, and it's Ted Nugent music.
[01:55:03.984 --> 01:55:04.504]  I mean, you know.
[01:55:04.984 --> 01:55:07.845]  And I've got myself a radio and TV show and a big crew.
[01:55:07.865 --> 01:55:09.966]  I mean, I've got a wrecking crew.
[01:55:10.086 --> 01:55:12.226]  I've got a rock and roll band, too.
[01:55:12.666 --> 01:55:16.247]  And so we're all in this fight, kicking globalist commie ass.
[01:55:16.307 --> 01:55:17.888]  Ted Nugent, it is so awesome, man.
[01:55:18.088 --> 01:55:18.568]  You're right.
[01:55:18.648 --> 01:55:19.388]  We are winning.
[01:55:19.608 --> 01:55:20.449]  We are turning the tide.
[01:55:20.469 --> 01:55:21.549]  But it's going to get rough, my friend.
[01:55:22.759 --> 01:55:28.545]  Well, let me tell you, every night when I play Stranglehold, the teeth and eyeballs fill the audience.
[01:55:28.565 --> 01:55:29.886]  It's so inspiring.
[01:55:29.906 --> 01:55:45.642]  But let me tell you, since that song came out in 1975, I literally have gotten thousands, thousands of correspondence from military heroes, from Delta Force and the Army Rangers and the Green Berets and all the special ops.
[01:55:46.062 --> 01:55:56.092]  These guys use the song Stranglehold to gear up to go into battle, and they tell me that whenever they listen to my music before they go into battle, they kill more bad guys.
[01:55:56.372 --> 01:55:59.936]  Now, is there a better testimony to meaningful music than that?
[01:56:00.676 --> 01:56:06.822]  Well, I mean, it's like Beethoven, but rock, the way it just builds, it's a perfect song.
[01:56:07.263 --> 01:56:08.144]  It's a perfect song.
[01:56:09.295 --> 01:56:11.376]  Well, you should see it from where I see it every night.
[01:56:11.436 --> 01:56:12.737]  I mean, it's just unbelievable.
[01:56:13.338 --> 01:56:16.520]  How did you come up... I mean, and you come up with so much incredible stuff, but how did you come up with that?
[01:56:17.759 --> 01:56:39.192]  Well, first of all, I was raised in a hunting lifestyle, so that aim small, miss small ballistic ballet that you have to adhere to to be a good deer hunter and to compete with my dad and my brothers at the firing range, I'm going to tell you there's something about sight acquisition, breathing, and trigger squeeze that actually applies to guitar playing, if you do it right.
[01:56:39.492 --> 01:56:44.635]  So every time I pick up, I play a Gibson Birdland, and this hand-carved
[01:56:45.555 --> 01:56:46.256]  That's right.
[01:57:02.731 --> 01:57:10.201]  That it feeds back and it makes these noises and it forces you to hold it and cradle it and touch it in a certain way.
[01:57:10.601 --> 01:57:20.374]  And because I was raised by these black gods of thunder, the Howlin' Wolf and the Muddy Waters, and I was born in the shadow of Detroit's Motown funk brother gods of thunder.
[01:57:20.854 --> 01:57:25.077]  That that all manifests itself in the way that I play guitar.
[01:57:25.477 --> 01:57:40.328]  And so that lick, it embodies so much of the human spirit of defiance, and not just the sexuality that is apparent to the rhythm and the grind of the rhythm section, but the volatility of the lyrics.
[01:57:40.388 --> 01:57:41.689]  Here I come again now, baby.
[01:57:41.729 --> 01:57:43.350]  But it does raise confidence.
[01:57:43.930 --> 01:57:44.871]  I'm sorry to interrupt.
[01:57:44.931 --> 01:57:46.412]  It does raise your confidence.
[01:57:47.628 --> 01:57:54.373]  Well, I'll tell you, there's only one thing more dangerous than a grizzly, a sow grizzly with cubs, and that's Ted Nugent with more confidence.
[01:57:54.694 --> 01:58:01.159]  And since I play that song every night, I do believe that the Founding Fathers wanted everybody to be like me.
[01:58:01.239 --> 01:58:02.020]  That's what I believe.
[01:58:03.461 --> 01:58:08.665]  Well, Ted, again, I think what you're saying here today is America's finding its spirit again, isn't it?
[01:58:10.505 --> 01:58:11.166]  It really is.
[01:58:11.826 --> 01:58:15.969]  And I gotta tell you, Alex, you travel, you're a gregarious guy.
[01:58:16.009 --> 01:58:18.790]  You hang with working hard, playing hard Americans.
[01:58:19.131 --> 01:58:20.271]  And I do every day.
[01:58:20.331 --> 01:58:32.639]  I'm in Naples, Florida today, and I'll be hanging out with 20 people tonight at the concert in Jacksonville, and tomorrow in Melbourne, and Papineau, and up in Clearwater, and Atlanta, and Mobile, and Bouchard City, and Illinois.
[01:58:32.900 --> 01:58:36.062]  Every night I hang with people in the asset column.
[01:58:36.462 --> 01:58:39.664]  People who sacrifice so they're in the asset column.
[01:58:39.864 --> 01:58:40.225]  Amazing.
[01:58:40.265 --> 01:58:41.426]  Five more minutes, Ted Nugent.
[01:58:41.747 --> 01:58:42.808]  We're back in 70 seconds.
[01:58:42.828 --> 01:58:43.589]  TedNugent.com.
[01:58:43.850 --> 01:58:46.293]  I'm Alex Jones, live from the RNCInfoWars.com.
[01:58:46.494 --> 01:58:48.677]  Back in 70 seconds with five more minutes with Ted Nugent.
[01:58:51.821 --> 01:58:55.787]  This is GCN, the Genesis Communications Radio Network.
[01:58:59.932 --> 01:59:01.613]  All right, time to get serious.
[01:59:02.113 --> 01:59:06.275]  There's a new HIV vaccine to be trialed in South Africa later this year.
[01:59:06.515 --> 01:59:16.059]  ALVAC-HIV-GP120 is the official name of the vaccine, and it was tested on a small scale in a 50-person experiment to measure immune response.
[01:59:16.340 --> 01:59:25.964]  Linda Gail Becker, director of the Desmond Tutu HIV Center in Cape Town and leading the vaccine trials, claims that the small-scale test was, quote, to see if the vaccine looks promising.
[01:59:26.124 --> 01:59:35.709]  The vaccine stems from a 2009 trial in Thailand, which resulted in 60% protection against HIV the first year, but afterward falling to 30% before the trial's end.
[01:59:35.869 --> 01:59:42.752]  Gail Becker, in addition to Anthony Fauci, also working on the trial, intend to add adjuvants to strengthen the vaccine's potency.
[01:59:42.972 --> 01:59:44.953]  Oh yeah, like that's gonna go over well.
[01:59:45.093 --> 01:59:48.495]  And a way people know what mass vaccine trials could possibly mean.
[01:59:48.755 --> 01:59:51.316]  Prepare the genocide preparations!
[01:59:51.716 --> 01:59:53.277]  Article on CNN.com.
[01:59:53.317 --> 01:59:56.338]  This is Gabe Goldiamond for InfoWars.com.
[02:00:01.661 --> 02:00:04.302]  You're listening to the Alex Jones Show.
[02:00:22.930 --> 02:00:29.250]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:00:31.798 --> 02:00:40.764]  As much as I like Junior Brown on the steel guitar, I like Ted Nugent more, but I tell you, it's hard to... just to hear the human soul coming out, the individualism of these guitar players.
[02:00:40.784 --> 02:00:43.426]  I mean, I think the guitar more than anything really brings out the human soul.
[02:00:43.446 --> 02:00:49.470]  That's a whole nother, you know, entertainment radio show, but I think it's celebrating the fact that we're independent, we're individuals.
[02:00:51.171 --> 02:00:57.215]  The way the left loves ugliness, the way they love poverty, the way they love... you know, quite frankly, Chet, I'm not just saying this.
[02:00:57.315 --> 02:01:01.078]  I think, at the end of the day, the left really are just Satanists.
[02:01:01.098 --> 02:01:01.498]  What do you think?
[02:01:04.800 --> 02:01:09.642]  Honest, what Ben Carson said last night is being attacked for.
[02:01:10.102 --> 02:01:19.027]  Saul Alinsky did write the Bible for the left, literally what Valerie Jarrett genuflects to every time she writes words for Barack Obama.
[02:01:19.427 --> 02:01:23.429]  Barack Obama has been caught lying over and over again his entire life.
[02:01:24.051 --> 02:01:31.815]  Valerie Jarrett, make sure that his speeches are full of lies that feel good and will continue to enslave the sheep on the left.
[02:01:32.335 --> 02:01:39.518]  But that book, Rules for Radicals, the first page, Alex, it was dedicated to Satan, the great manipulator.
[02:01:39.558 --> 02:01:52.004]  And that's the author and the book that Hillary Clinton mentored under when she wrote her law degree thesis on solid and... Oh yeah, she wrote in love letters, like letters back and forth with him, just totally sick.
[02:01:53.323 --> 02:02:07.963]  So no, the media does not expose this important information, and they don't condemn the lies of Hillary and Loretta Lynch and Barack Obama and Ban Jones and all their acorn scam artists and their
[02:02:08.343 --> 02:02:15.027]  They're Media Matters, MoveOn.org, Huffington Post, Southern Poverty Law Center, scam artists and liars.
[02:02:15.388 --> 02:02:27.035]  So logically speaking, those of us in the asset column, we have to live by logic and common sense and practical, pragmatic, utilitarian accountability!
[02:02:27.716 --> 02:02:29.277]  You cannot find
[02:02:30.049 --> 02:02:35.792]  Accountability in the government, in the media, or in academia.
[02:02:36.132 --> 02:02:37.453]  It's all a scam.
[02:02:38.053 --> 02:02:39.094]  So we're challenged.
[02:02:39.794 --> 02:02:40.194]  Why?
[02:02:40.734 --> 02:02:45.297]  We can't answer the question why in a logical way.
[02:02:45.337 --> 02:02:50.299]  So we just have to admit what you asked about demonicy, about Satanism.
[02:02:50.659 --> 02:02:52.480]  That's the only answer.
[02:02:52.800 --> 02:02:54.081]  They hate success.
[02:02:54.401 --> 02:02:55.642]  They hate excellence.
[02:02:56.002 --> 02:03:02.284]  They hate productivity, they hate everything in the Constitution and the Bill of Rights, so I couldn't be more proud.
[02:03:02.504 --> 02:03:04.825]  I don't want those punks to like me.
[02:03:05.185 --> 02:03:06.646]  I want them to be afraid of me.
[02:03:06.786 --> 02:03:07.326]  Absolutely.
[02:03:07.346 --> 02:03:08.446]  I want them to hate me.
[02:03:08.726 --> 02:03:10.327]  I want them to lie about me.
[02:03:10.527 --> 02:03:16.969]  I am so proud that the enemies of America hate Ted Nugent, I can hardly stand myself.
[02:03:17.796 --> 02:03:19.858]  Well, you know, you are totally on target.
[02:03:20.239 --> 02:03:26.786]  It's a badge of honor to have these culture-destroying scum hate us.
[02:03:27.006 --> 02:03:28.288]  And it is a badge of honor.
[02:03:28.548 --> 02:03:31.371]  Families to them says, man, hundreds of newspapers attacked you this week.
[02:03:31.912 --> 02:03:32.553]  How are you taking it?
[02:03:32.793 --> 02:03:39.695]  And I'm like, the enemy newspapers that literally are undermining this country and promoting cop killing and all the rest is crazy crap, they hate me?
[02:03:39.815 --> 02:03:40.535]  Thank God!
[02:03:40.815 --> 02:03:43.576]  If they like me, I've got a serious, serious problem.
[02:03:43.876 --> 02:03:49.537]  TedNugent.com, I mean, you've got so many millions of followers on Facebook and there's so many other big websites.
[02:03:49.797 --> 02:03:53.858]  Where are the best places for people to stay in contact on a daily basis with everything Ted Nugent?
[02:03:55.094 --> 02:04:00.057]  Well, I'll tell you, Alex, I am humbled at the tens of millions every day on my Facebook.
[02:04:00.077 --> 02:04:12.165]  I have a Ted Nugent official Facebook, and people come from all around the world to celebrate the self-evident truth of the American Dream, the Constitution, the Bill of Rights, the Declaration of Independence.
[02:04:12.485 --> 02:04:15.327]  I'm telling you, it is not a Ted Nugent thing.
[02:04:15.347 --> 02:04:16.868]  It is a people
[02:04:17.388 --> 02:04:17.588]  Yes.
[02:04:42.506 --> 02:04:44.147]  Well, Ted, thank you so much for your time.
[02:04:44.187 --> 02:04:48.908]  I know we're both Central Texans, and so hopefully sometime I can go out hunting with you.
[02:04:48.928 --> 02:05:02.854]  That's always been something I wanted to do, but thank you for your time, thank you for your energy, and I want to thank my audience for, you know, what they do, magnifying what InfoWars is up to, but also what you're doing, because now is the time to push it to the hilt, because the enemy is going to pull a lot of scams.
[02:05:03.094 --> 02:05:04.334]  Ted Nugent, thank you so much, sir.
[02:05:05.835 --> 02:05:06.975]  Godspeed, Alex.
[02:05:07.015 --> 02:05:08.016]  You are my blood brother.
[02:05:09.439 --> 02:05:09.899]  Thank you.
[02:05:09.959 --> 02:05:12.802]  This just in, human stupidity knows no bounds.
[02:05:12.962 --> 02:05:24.532]  Idiot teenage girl walks straight into highway traffic in Pennsylvania to catch a Pokemon in the new craze Pokemon Go, which has ties to the empire usurping terrorist factory, the CIA.
[02:05:25.293 --> 02:05:32.358]  The idiot 15-year-old Autumn Dezeroth was hit by a car on her journey to become the very best like no one ever was.
[02:05:32.538 --> 02:05:36.601]  She survived with some injuries and is okay, but come on now, she's 15!
[02:05:36.681 --> 02:05:39.864]  Her brain's developed enough to make a decision with some damn sense!
[02:05:40.104 --> 02:05:41.265]  And that's not all.
[02:05:41.405 --> 02:05:52.553]  Dezeroth and her mother, Tracy Nolan, both blame the game, completely abdicating responsibility for choosing to test fate against two ton hunks of metal moving at dangerously high speeds.
[02:05:52.793 --> 02:05:55.495]  No one says, should never let her play that damn game.
[02:05:55.775 --> 02:06:02.298]  The Pennsylvania State Police issued an awareness bulletin for Pokemon Go to warn people against being stupid.
[02:06:02.378 --> 02:06:03.219]  But will it work?
[02:06:03.339 --> 02:06:04.920]  Report from NowThis News.
[02:06:05.000 --> 02:06:07.841]  This is Gabe Golddiamond for InfoWars.com.
[02:06:09.062 --> 02:06:15.205]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[02:06:15.605 --> 02:06:18.487]  Dr. Grip, you took years for you to develop DNA Force for us.
[02:06:18.827 --> 02:06:24.009]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[02:06:24.430 --> 02:06:30.413]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[02:06:30.553 --> 02:06:33.694]  Telomeres are the little cups on the end of our chromosomes.
[02:06:33.834 --> 02:06:35.295]  And when it runs out, you start dying.
[02:06:35.495 --> 02:06:39.636]  We chose the PQQ because it has over 175 different clinical trials.
[02:06:39.816 --> 02:06:42.677]  It's one of the most effective substances in the world.
[02:06:42.757 --> 02:06:44.337]  It works like an antioxidant.
[02:06:44.417 --> 02:06:47.618]  It works to repair nerve growth factor.
[02:06:47.898 --> 02:06:50.218]  So this is a formula to deliver the maximum amount.
[02:06:50.498 --> 02:06:51.458]  It's in powder form.
[02:06:51.558 --> 02:06:54.259]  We have so many five-star reviews.
[02:06:54.439 --> 02:06:55.439]  I take this.
[02:06:55.559 --> 02:06:56.839]  This is the product that I take.
[02:06:56.959 --> 02:06:58.920]  Infowarslife.com and the profit we make.
[02:06:59.760 --> 02:07:00.521]  We fight the Globals!
[02:07:00.541 --> 02:07:01.382]  We fight the New World Order!
[02:07:01.683 --> 02:07:08.310]  Secure your DNA Force today at Infowarslife.com or call toll-free 888-253-3139.
[02:07:09.091 --> 02:07:10.473]  Clean, pure drinking water.
[02:07:10.733 --> 02:07:12.055]  You can't survive without it.
[02:07:12.235 --> 02:07:13.156]  But where do you get it?
[02:07:13.436 --> 02:07:19.163]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[02:07:19.423 --> 02:07:25.166]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[02:07:25.326 --> 02:07:42.195]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[02:07:42.575 --> 02:07:44.717]  Filter capacity up to 5,000 gallons.
[02:07:45.077 --> 02:07:46.258]  Stainless steel construction.
[02:07:46.538 --> 02:07:47.239]  Easy assembly.
[02:07:47.579 --> 02:07:48.200]  Low maintenance.
[02:07:48.500 --> 02:07:50.322]  Replacement filters are simple to install.
[02:07:50.582 --> 02:07:57.708]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[02:07:57.868 --> 02:08:02.912]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[02:08:03.072 --> 02:08:05.634]  Go to InfowarsStore.com or call 888-253-3139.
[02:08:09.804 --> 02:08:14.649]  From the front lines of the Information War, it's Alex Jones!
[02:08:15.009 --> 02:08:15.609]  Watch me!
[02:08:16.871 --> 02:08:17.491]  Watch me!
[02:08:18.872 --> 02:08:19.373]  I got it!
[02:08:20.694 --> 02:08:21.335]  Watch me!
[02:08:22.256 --> 02:08:23.076]  I got it!
[02:08:23.116 --> 02:08:23.897]  I tell ya!
[02:08:25.217 --> 02:08:27.019]  I'm in heaven right now at the RNC.
[02:08:27.659 --> 02:08:29.141]  We got a big interview today with Nigel Farage.
[02:08:29.161 --> 02:08:30.141]  It's going to come out tonight.
[02:08:31.062 --> 02:08:32.223]  We just had Ted Nugent on.
[02:08:32.343 --> 02:08:35.967]  We just had Roger Stone in studio with us with huge positive news.
[02:08:36.167 --> 02:08:49.038]  We got Dinesh D'Souza of the Reagan administration, who was a speechwriter, headed up departments, you name it, who is a political prisoner, which to me is a great badge of honor, like Alexander Shultz in Eatson.
[02:08:49.358 --> 02:08:50.860]  I mean, literally set up.
[02:08:52.401 --> 02:09:00.987]  He now has made the film, Hillary's America, that I got in late, didn't get to go see it Sunday when it premiered, and my crew that saw it said, it is so hardcore.
[02:09:01.567 --> 02:09:05.289]  2016 was the second biggest grossing documentary in U.S.
[02:09:05.329 --> 02:09:11.894]  history, or I guess world history, and really did wake a lot of people up, but I thought it wasn't hardcore enough.
[02:09:11.934 --> 02:09:15.536]  It was totally engrossing, and I love the film, but
[02:09:17.208 --> 02:09:18.028]  He's a nice guy.
[02:09:18.449 --> 02:09:20.149]  Well, they came after him for that because they're scared of him.
[02:09:20.190 --> 02:09:23.431]  Well, now he's made a film that is hardcore.
[02:09:23.451 --> 02:09:27.673]  I talked to my crew and their filmmakers and they said, this thing, if people see this, it's over for Hillary.
[02:09:27.713 --> 02:09:28.574]  Let me explain how this works, though.
[02:09:29.954 --> 02:09:34.296]  They have theaters and they've pulled these scams of movies I've been in where they try to not show them, they don't advertise them.
[02:09:34.677 --> 02:09:39.739]  They don't want, when films first go out, they don't want them to be successful because then they get picked up by the theaters.
[02:09:39.799 --> 02:09:41.080]  I know folks understand that.
[02:09:41.460 --> 02:09:44.381]  But if you want to strike a blow at Hillary Clinton, I'm going to send this out of the gates before we go.
[02:09:44.421 --> 02:09:45.482]  This guy's sitting here listening to me rant.
[02:09:46.564 --> 02:09:47.985]  But I'm sorry, I mean, I'm an organ seller.
[02:09:48.005 --> 02:09:48.626]  I know you are, too.
[02:09:48.646 --> 02:09:52.789]  I mean, against this tyrant, you've got to take ten of your friends.
[02:09:52.929 --> 02:09:53.490]  Be aggressive.
[02:09:53.890 --> 02:09:55.572]  I want you to take your Rotary Club.
[02:09:55.912 --> 02:09:57.673]  I want you to take your neighbors.
