[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[02:10:59.920 --> 02:11:01.621]  But are they too corrupt to fail?
[02:11:01.721 --> 02:11:03.181]  Are they too tied in?
[02:11:03.261 --> 02:11:04.281]  Too many accomplices?
[02:11:04.621 --> 02:11:07.582]  Why do the Clintons seem so invincible?
[02:11:07.702 --> 02:11:12.883]  The man who wrote the definitive book on the Clinton crime family
[02:11:14.502 --> 02:11:15.563]  And they're war on women.
[02:11:15.683 --> 02:11:21.189]  Roger Stone, former campaign head of Trump's campaign, his business partner, is the head of the campaign.
[02:11:21.950 --> 02:11:29.237]  And of course, he's separate from the campaign, so he can operate freely, but he always gives us the key, you know, next-level info before it happens.
[02:11:29.277 --> 02:11:30.679]  So StoneZone.com.
[02:11:31.019 --> 02:11:32.441]  Roger, thank you for joining us today.
[02:11:33.251 --> 02:11:35.153]  Alex, delighted to be with you as always.
[02:11:35.473 --> 02:11:37.494]  It's an extraordinary day, I must tell you.
[02:11:38.095 --> 02:11:41.538]  Nine presidential campaigns, 40 years in American politics.
[02:11:42.458 --> 02:11:44.099]  I've never seen anything like this.
[02:11:44.180 --> 02:11:47.422]  We are obviously no longer a nation of laws.
[02:11:48.083 --> 02:11:49.764]  Now we're a nation of men.
[02:11:50.585 --> 02:11:58.531]  And although the FBI director had this great reputation as a by-the-book, law-and-order guy, obviously that is not the case.
[02:11:59.051 --> 02:12:01.393]  He said Hillary was careless.
[02:12:02.013 --> 02:12:10.499]  Judge Napolitano has made it clear in his analysis over and over again that criminal negligence here was more than sufficient for an indictment.
[02:12:11.039 --> 02:12:13.801]  Negligence, carelessness, I believe they're the same thing.
[02:12:14.281 --> 02:12:19.745]  So it boggles the mind that she's getting a pass, but I don't think she's going to get a pass from the voters.
[02:12:21.579 --> 02:12:24.002]  Why do you think Comey didn't go after her?
[02:12:24.082 --> 02:12:26.444]  I mean, she got caught lying about it.
[02:12:26.484 --> 02:12:28.186]  She got caught cutting the tops off.
[02:12:28.206 --> 02:12:29.447]  She got caught manipulating.
[02:12:29.747 --> 02:12:31.830]  Foreign governments were inside the servers.
[02:12:31.850 --> 02:12:32.751]  This is espionage.
[02:12:33.351 --> 02:12:37.636]  Clearly she was using it as a drop box to sell data and then claim she had plausible deniability.
[02:12:37.696 --> 02:12:38.336]  It's very clear.
[02:12:38.356 --> 02:12:39.377]  I talked to a lot of experts.
[02:12:39.397 --> 02:12:39.938]  They concur.
[02:12:39.958 --> 02:12:43.762]  But why is she too big to fail with the establishment?
[02:12:44.525 --> 02:12:46.927]  I guess the global elites cover for each other.
[02:12:46.947 --> 02:12:53.052]  I think that's what's going on here, and unfortunately it turns out our FBI director is one of the global elites.
[02:12:53.572 --> 02:12:56.895]  I mean, what kind of a signal does this send to everyone else who's in government?
[02:12:57.015 --> 02:13:00.457]  What kind of a signal does this send to every American citizen?
[02:13:00.477 --> 02:13:11.186]  Basically it says violate any law you want, but if you're big enough, if you're influential enough, if you have enough money and you're well-connected in the media, the law literally does not apply for you.
[02:13:12.366 --> 02:13:15.807]  I think Donald Trump now has an opening to take the wood to Hillary.
[02:13:16.348 --> 02:13:24.451]  And I'd also say, Alex, the premium now is on selecting a running mate, a vice presidential running mate, who is an attack dog.
[02:13:24.871 --> 02:13:35.315]  Someone who can take the case right to Bill and Hillary and expose not only the ins and outs of the email scandal, but all of their scandals.
[02:13:36.015 --> 02:13:37.415]  How about you for vice president?
[02:13:37.435 --> 02:13:38.356]  You're a good attack dog.
[02:13:39.860 --> 02:13:42.101]  Nobody, I could never pass the background check.
[02:13:42.741 --> 02:13:44.382]  I have too colorful a lifestyle.
[02:13:44.802 --> 02:13:48.423]  Now we need somebody who has government experience, but someone who's a nationalist.
[02:13:48.863 --> 02:13:59.407]  Someone who believes, as Trump does, that it's time to seal our borders, that it's time to repeal these ridiculous globalist trade deals that are destroying our job climate in this country.
[02:13:59.847 --> 02:14:03.368]  Someone who will get our fiscal house in order, stop the bailouts
[02:14:03.908 --> 02:14:08.553]  For the crooks on Wall Street and generate jobs for the working people of America.
[02:14:08.613 --> 02:14:09.854]  Sure, clearly, clearly.
[02:14:09.874 --> 02:14:13.858]  He's got some excellent choices out there, and he's playing it very close to the vest.
[02:14:14.358 --> 02:14:17.081]  I don't know who he's going to pick, but I do know it will be a patriot.
[02:14:17.621 --> 02:14:19.363]  I do know it will be a nationalist.
[02:14:19.403 --> 02:14:22.546]  I know it will be somebody who adheres to the Trump agenda.
[02:14:23.407 --> 02:14:25.189]  Is Sessions still up at the top of the list?
[02:14:26.360 --> 02:14:28.301]  Well I think he is still under consideration.
[02:14:28.361 --> 02:14:33.225]  I think Jeff Sessions is a good man and I think I've said on your show that he'd be my personal choice.
[02:14:34.005 --> 02:14:38.088]  But I think the Donald is casting a very wide net.
[02:14:38.208 --> 02:14:40.449]  He wants to find the very best person.
[02:14:41.230 --> 02:14:45.613]  But now there's a premium on someone who can really take the attack to the Clintons.
[02:14:46.573 --> 02:14:48.615]  Because we know Donald Trump is not shy.
[02:14:49.095 --> 02:14:52.097]  Notice last week he said, folks the system's rigged.
[02:14:52.658 --> 02:14:53.678]  It's completely rigged.
[02:14:53.758 --> 02:14:56.000]  So he foreshadowed what was going to happen here.
[02:14:57.121 --> 02:15:00.026]  And I think that this is a blow to the Clintons.
[02:15:00.066 --> 02:15:09.060]  They may be celebrating the fact that she isn't going to go to prison, at least not for this, but this is a heavy burden to carry into a general election.
[02:15:10.299 --> 02:15:20.385]  Well, I mean, it is paradoxical that she's this evil, corrupt witch with this horrible background on record and all these crimes, and it's flagrantly obvious that she's being protected.
[02:15:20.405 --> 02:15:25.207]  It seems that the mission is somehow reach out to her constituents.
[02:15:25.247 --> 02:15:33.852]  But if you watch the interviews we do in Austin or in California or other places with Democrat voters, on average, these, unfortunately, are frighteningly ignorant people.
[02:15:33.872 --> 02:15:35.453]  I mean, they don't know what the July 4th is.
[02:15:35.993 --> 02:15:38.215]  They don't even know what the three branches of government are.
[02:15:38.555 --> 02:15:45.059]  They just know, hey, there's some woman and I feel powerful if I cast my vote for a woman in some type of groupthink.
[02:15:45.599 --> 02:15:47.501]  How do you reach people?
[02:15:48.925 --> 02:15:52.547]  That I don't think you're as informed or awake as Helen Keller when she was a child.
[02:15:53.188 --> 02:15:58.030]  You know, she had such a great human spirit, she could actually be reached out to even though she was, you know, blind and deaf.
[02:15:58.310 --> 02:16:00.192]  I mean, how do you get through to a zombie?
[02:16:00.392 --> 02:16:01.072]  I don't understand it.
[02:16:02.293 --> 02:16:05.415]  Well, the good news is I don't think Hillary's supporters are monolithic.
[02:16:06.415 --> 02:16:21.988]  I think the ripest target are a third of the Bernie Sanders supporters, who oppose these globalist trade deals, who oppose the Iraq war, who oppose the two-party duopoly that has brought this country to the brink of disaster.
[02:16:22.008 --> 02:16:24.630]  Well exactly, how could a thinking person vote for Hillary?
[02:16:26.191 --> 02:16:28.632]  Well, I don't think the people who are voting for are thinking people.
[02:16:28.852 --> 02:16:30.133]  You've made that point.
[02:16:30.173 --> 02:16:31.214]  I think they're zombies.
[02:16:32.314 --> 02:16:37.116]  But the question is, I think we have more supporters at the end of the day than they do.
[02:16:37.977 --> 02:16:39.738]  Roger, I've been asking the questions here.
[02:16:40.858 --> 02:16:44.060]  I mean, I think Donald Trump's just getting better and better, hitting her so hardcore.
[02:16:44.080 --> 02:16:45.260]  But what he's saying is all true.
[02:16:45.620 --> 02:16:50.543]  When you talk about taking the wood to Hillary, how does Donald, I mean, we know he's his own man.
[02:16:51.951 --> 02:16:59.432]  If you're advising him, how do you take the wood, Hillary, how do you really take the gloves off and put brass knuckles on?
[02:17:00.660 --> 02:17:03.302]  Well, the best news, of course, is we're going to have multiple debates.
[02:17:03.582 --> 02:17:10.507]  And there is no better place for a confrontation with the Wicked Witch of the West than in those debates.
[02:17:11.147 --> 02:17:12.188]  Trump is a brawler.
[02:17:12.328 --> 02:17:14.349]  Therefore, nothing is off-limits here.
[02:17:14.429 --> 02:17:30.640]  Whether it is the Clinton's epic abuse of women because Bill is a sexual predator and Hillary has played the role of covering up his crimes by bullying and intimidating and threatening his victims, or whether it is the epic corruption of the Clinton Foundation
[02:17:30.640 --> 02:17:31.841]  Well, this is what it's all about!
[02:17:53.051 --> 02:18:00.273]  Let's skip this network break and let's talk about the article that I'm going to have moved to the top of InfoWars.com and retweeted it at RealAlexJones and on Facebook.
[02:18:00.673 --> 02:18:16.658]  Everybody, just because you're patriots, libertarians, conservatives, veterans, you know about the 90s and the missile secrets, the MIRV technology, the boost systems, the targeting systems, the whole nine yards to have RICBMs, the best in the world, given to the CHICOMs, totally insane.
[02:18:17.698 --> 02:18:24.262]  Just to show how brazen and crazy the Clintons are, we need to get this article out because the general public doesn't remember this or doesn't know about it.
[02:18:24.282 --> 02:18:26.223]  So let's talk about the treason of the Clintons.
[02:18:26.243 --> 02:18:27.084]  Let's get into your article.
[02:18:27.344 --> 02:18:29.505]  Part one is the Russians, part two is the Chinese.
[02:18:30.546 --> 02:18:32.927]  Well, it's really extraordinary, Alex.
[02:18:33.508 --> 02:18:36.129]  I don't think this got very much coverage at the time.
[02:18:36.229 --> 02:18:45.475]  The real irony here is that rather than indicting, or I should say, rather than impeaching Bill Clinton for dallying with Monica Lewinsky in the Oval Office,
[02:18:46.075 --> 02:18:53.260]  He should have been impeached and convicted and then I think subsequently charged with treason for these two transactions.
[02:18:53.801 --> 02:18:56.663]  In essence, he ignored U.S.
[02:18:56.763 --> 02:19:11.654]  law to trade high-level technology to the Russians, but even more egregious, he essentially took $300,000 in illegal Chinese campaign contributions, passed through Johnny Chung,
[02:19:12.434 --> 02:19:24.978]  In return for a three-party transaction in which he sold the actual technology that targets our missiles, the accuracy of our missiles to the Chinese government.
[02:19:25.679 --> 02:19:28.459]  By any other name, this is treason.
[02:19:28.519 --> 02:19:29.640]  Now, it's a long piece.
[02:19:30.640 --> 02:19:32.762]  And, you know, 2,500 words.
[02:19:32.942 --> 02:19:37.945]  That's why I was happy to give it to InfoWars, because I think it needs the public exposure.
[02:19:38.565 --> 02:19:45.450]  I intend to come back and recycle this yet again, because I'm afraid we get kind of wiped out by the FBI news today.
[02:19:45.630 --> 02:19:47.591]  Sure, let me ask you this question, because it all fits together.
[02:19:47.611 --> 02:19:48.992]  It's all in the same soup.
[02:19:50.613 --> 02:19:54.836]  Why does, I know there's different power structures and things, but why do the elite allow
[02:19:56.451 --> 02:19:58.512]  The Clintons do things nobody else can do.
[02:19:58.572 --> 02:20:06.035]  I mean, the nuclear reactors to North Korea that are used to build A-bombs, when they could have given them reactors that don't do that?
[02:20:06.075 --> 02:20:08.816]  I mean, beyond the Clintons.
[02:20:09.517 --> 02:20:10.957]  Who do you think they really represent?
[02:20:10.977 --> 02:20:18.341]  Because a lot of smart money says it's mainly the Communist Chinese, a little bit of Saudi Arabia as a second player, but I mean, it's just...
[02:20:19.421 --> 02:20:20.903]  Why do they work against U.S.
[02:20:20.963 --> 02:20:21.644]  interests so much?
[02:20:21.804 --> 02:20:23.085]  Why are they out to get us?
[02:20:23.105 --> 02:20:24.667]  You know, it's the Bitter Clinger comments.
[02:20:25.068 --> 02:20:25.568]  I mean, why?
[02:20:25.628 --> 02:20:26.669]  They already run the country.
[02:20:26.749 --> 02:20:27.851]  Why are they out to get us?
[02:20:29.298 --> 02:20:31.299]  I don't think they have any loyalty to anyone.
[02:20:31.339 --> 02:20:34.661]  I don't think they're loyal to the Chinese, nor are they loyal to the United States.
[02:20:34.741 --> 02:20:36.241]  They are all about the money.
[02:20:36.502 --> 02:20:40.243]  They're all about the acquisition of wealth and power.
[02:20:40.764 --> 02:20:45.326]  So, in truth, you know, they will do anything for cash.
[02:20:45.646 --> 02:20:54.270]  That is the epic story of the Clinton Foundation, which is not a charitable organization, but a slush fund for grifters, which is, as we know.
[02:20:54.310 --> 02:20:56.812]  So why do our elites allow them to operate like this?
[02:20:57.799 --> 02:21:03.881]  The mainstream media does not rouse the populace because the people don't know.
[02:21:04.241 --> 02:21:08.483]  Therefore, there's no pressure on our institutions to bring them to justice.
[02:21:09.123 --> 02:21:23.869]  The story of the treasonous activities in both regard to the Russians and the Chinese, and as you point out, the North Koreans, has never gotten the kind of media coverage that it would require to rouse the people.
[02:21:24.529 --> 02:21:30.051]  I firmly believe if people knew about these things, they would be angry and they would act.
[02:21:30.532 --> 02:21:43.477]  That's the strength of Infowars and Breitbart and Daily Caller and all the other important alternative media that did not exist in the 80s when the Clintons perpetrated these crimes the first time.
[02:21:43.917 --> 02:21:48.359]  So, you know, the Clintons' response to all of this is, well, that's old news.
[02:21:48.959 --> 02:21:49.399]  You know what?
[02:21:49.559 --> 02:21:50.720]  No news is old.
[02:21:51.340 --> 02:21:52.780]  If nobody heard it the first time.
[02:21:52.840 --> 02:21:54.521]  To them, it's new news.
[02:21:54.541 --> 02:22:05.423]  Let me tell you, ICBMs that can destroy our whole country and world that aren't crazy elite the Clintons gave to them, that is big news that they're going to be back in and they've helped fund ISIS, Al Qaeda.
[02:22:05.563 --> 02:22:06.403]  These people are pure evil.
[02:22:07.463 --> 02:22:08.303]  What is on your radar?
[02:22:08.323 --> 02:22:09.584]  Because I've got a bunch of questions.
[02:22:09.984 --> 02:22:14.525]  I want to talk about how Trump's doing, where this is going, what other attacks you expect.
[02:22:14.785 --> 02:22:17.505]  The polling numbers, there's a lot to cover one at a time here.
[02:22:17.705 --> 02:22:20.766]  But what else do you want to get out there to the audience, Roger?
[02:22:21.667 --> 02:22:25.329]  Well, we have a big victory today, as you announced at the beginning.
[02:22:25.429 --> 02:22:28.871]  We have finally prevailed over the city of Cleveland.
[02:22:29.392 --> 02:22:35.896]  We have our permits after going to court and being represented by the liberal ACLU to do so.
[02:22:35.996 --> 02:22:39.678]  We have knocked down their restrictions on free speech.
[02:22:40.058 --> 02:22:48.604]  We don't need to bring the duct tape to Cleveland and put it over our mouths to demonstrate the outrageousness of their anti-free speech position.
[02:22:49.584 --> 02:23:00.813]  The rally at which you are speaking, I am speaking, many other patriots are speaking, is July 18th at 11 o'clock in the morning at the Settlers Landing Park.
[02:23:01.713 --> 02:23:05.096]  We now have a permit from the city of Cleveland.
[02:23:05.816 --> 02:23:16.044]  We are scrambling to raise the money to pay for the staging that is required by the city, the public address system we will need, the marshals, and all of the others.
[02:23:16.064 --> 02:23:16.805]  So how much money do you need?
[02:23:17.978 --> 02:23:22.364]  We're going to have to raise at least $30,000 to pay for everything from soup to nuts.
[02:23:22.544 --> 02:23:27.811]  As you know, we stopped our fundraising when the city stopped negotiating with us.
[02:23:27.871 --> 02:23:29.473]  Now we have to gin it back up.
[02:23:29.493 --> 02:23:30.254]  Let me just say this.
[02:23:30.715 --> 02:23:33.158]  I've already signed a contract and I went ahead and doubled down.
[02:23:33.999 --> 02:23:35.762]  Two contracts.
[02:23:35.782 --> 02:23:38.666]  $30,000 plus $5,000 for the banner in Cleveland.
[02:23:39.207 --> 02:23:41.230]  And then $30,000 plus $5,000 for the banner.
[02:23:41.390 --> 02:23:42.211]  I guess we're doing two banners.
[02:23:42.271 --> 02:23:42.952]  One's InfoWars.
[02:23:43.273 --> 02:23:44.214]  One is Hillary for Prison.
[02:23:45.296 --> 02:23:47.900]  We're going to mainly file the Hillary for Prison one, but the InfoWars is the backup one.
[02:23:47.920 --> 02:23:49.081]  Sometimes the banners tear.
[02:23:49.922 --> 02:23:51.043]  After a few flights.
[02:23:51.343 --> 02:23:54.305]  But we're going to have planes for four days in the air, two days at each event.
[02:23:54.565 --> 02:23:56.446]  Hillary for prison, big giant banners.
[02:23:56.846 --> 02:23:58.787]  That's a $70,000 investment.
[02:23:59.168 --> 02:24:03.770]  I'm taking all the profits from the Hillary for prison shirts and putting it into that.
[02:24:03.790 --> 02:24:04.851]  But we need to sell the shirts.
[02:24:05.191 --> 02:24:05.651]  They're $19.95.
[02:24:05.731 --> 02:24:07.212]  We're selling them at full price.
[02:24:07.592 --> 02:24:09.453]  Not $5.95 like we were before, $5.
[02:24:10.314 --> 02:24:11.034]  That's at cost.
[02:24:11.094 --> 02:24:13.196]  I cannot do this, folks, without your support.
[02:24:14.082 --> 02:24:20.488]  I've already signed the contracts, so either the money comes in or somebody gets laid off, but that's not going to happen.
[02:24:20.829 --> 02:24:22.050]  I know the Patriots are going to come through.
[02:24:22.070 --> 02:24:27.615]  Buy your Hillary for Prison shirts at InfowarsStore.com or call toll free 888-253-3139.
[02:24:28.016 --> 02:24:30.958]  But I'm doubling down for my country, my kids, everything, Roger.
[02:24:32.360 --> 02:24:36.464]  I'm putting a $10,000 down right now because this isn't like a political deal where it's limited, right?
[02:24:36.644 --> 02:24:37.745]  This is a free speech event.
[02:24:37.765 --> 02:24:38.065]  Can I give $10,000?
[02:24:39.568 --> 02:24:40.069]  That is correct.
[02:24:40.109 --> 02:24:43.839]  There are no limitations whatsoever on what an individual can give.
[02:24:44.661 --> 02:24:48.049]  I've got to start hitting the phones very hard to help raise the money.
[02:24:49.093 --> 02:24:54.575]  Today, he won a wire, whatever, $10,000 from Infowars towards this event.
[02:24:55.055 --> 02:24:56.295]  And again, this gets back to Trump.
[02:24:57.676 --> 02:24:59.036]  Obviously, the big money's not going to come to him.
[02:24:59.056 --> 02:25:00.037]  He hasn't even asked for it.
[02:25:00.397 --> 02:25:03.518]  He's turned it down, the Adelson money, to put Gingrich on the ticket.
[02:25:03.698 --> 02:25:04.838]  He's a hero for that alone.
[02:25:05.518 --> 02:25:06.539]  Hopefully, that holds.
[02:25:06.879 --> 02:25:10.560]  But doesn't Trump need to go ahead and put some of the big money down first?
[02:25:10.580 --> 02:25:12.180]  He's already put down $50-something million of his own.
[02:25:12.421 --> 02:25:16.582]  But should he just all-in, like $100 million, to cause a domino effect, break the ice?
[02:25:18.090 --> 02:25:22.132]  Look, he put $40 million into his race for the nomination.
[02:25:23.252 --> 02:25:24.373]  And that ain't chopped liver.
[02:25:25.233 --> 02:25:30.415]  And he certainly has the wherewithal to do what is necessary, which is why I'm not nervous.
[02:25:30.455 --> 02:25:36.117]  In fact, like you, I kind of like that he hasn't taken the elite money with the strings on it.
[02:25:36.977 --> 02:25:41.319]  The greatest single attribute that he has going into this election is his independence.
[02:25:41.379 --> 02:25:43.180]  The fact that he can't be bought.
[02:25:43.660 --> 02:25:44.661]  He can't be bullied.
[02:25:44.741 --> 02:25:45.841]  He can't be bossed.
[02:25:46.301 --> 02:25:48.723]  He answers only to the American people.
[02:25:49.263 --> 02:25:52.204]  And he just will never adopt the globalist agenda.
[02:25:52.324 --> 02:25:54.726]  So, Alex, I thank you for your generosity.
[02:25:54.746 --> 02:25:56.927]  I think this is going to be a great rally.
[02:25:57.427 --> 02:26:02.009]  But the real message for all the Trump supporters out there is show of strength.
[02:26:02.069 --> 02:26:03.830]  We need a show of strength.
[02:26:04.030 --> 02:26:06.832]  Our rally is a peaceful demonstration.
[02:26:06.892 --> 02:26:07.392]  Let me be clear.
[02:26:07.412 --> 02:26:09.753]  Let me interrupt you, Roger, because this is so important.
[02:26:11.434 --> 02:26:13.575]  Okay, Roger Stone works 18 hours a day.
[02:26:13.595 --> 02:26:14.855]  He's got a really bad cold today.
[02:26:14.935 --> 02:26:17.376]  Still on air with us because he knows this is history happening.
[02:26:17.696 --> 02:26:18.617]  He says he's never been involved.
[02:26:18.637 --> 02:26:20.558]  He's been involved in like eight, you know, eight different elections.
[02:26:20.818 --> 02:26:22.438]  He's seen nothing like this, okay?
[02:26:23.299 --> 02:26:24.279]  And this is history.
[02:26:24.299 --> 02:26:25.439]  That's why I'm all in.
[02:26:25.920 --> 02:26:29.481]  It's why I'm spending every amount of money comes in this year on reporters and crew.
[02:26:29.781 --> 02:26:31.962]  Usually I take some profit and try to put some money back.
[02:26:32.262 --> 02:26:36.144]  I'm everything in this year, because it's my kids, it's my country, it's my future.
[02:26:36.344 --> 02:26:37.405]  And I know you know that.
[02:26:37.725 --> 02:26:45.429]  But I'm telling you, beyond sending money to help pay for this event they tried to ban three times, and there's been lawsuits, and we've battled them, and all the rest of it.
[02:26:45.929 --> 02:26:56.875]  Everywhere you've got to get in the streets, everywhere you've got to run for office, everywhere you've got to call in to talk radio and put up YouTubes, because we've got to get outside the liberty box and educate all these other folks very aggressively.
[02:26:57.075 --> 02:26:57.736]  But please,
[02:26:58.536 --> 02:26:59.776]  Don't thank me when you call up.
[02:26:59.896 --> 02:27:01.517]  I want to thank you for your support, listeners.
[02:27:01.817 --> 02:27:04.498]  And I want to say, get your butts to Cleveland.
[02:27:04.578 --> 02:27:07.759]  I don't care if it's this one rally, on this morning, or whatever it is.
[02:27:08.099 --> 02:27:10.200]  They're trying to shut our free speech down everywhere.
[02:27:10.420 --> 02:27:11.841]  We've got to use it or lose it.
[02:27:12.061 --> 02:27:13.241]  This is a war.
[02:27:13.901 --> 02:27:14.942]  And this is a fight.
[02:27:15.602 --> 02:27:15.962]  Okay?
[02:27:16.182 --> 02:27:20.443]  And so thank you for buying our products, because listen, you're only going to see bigger results out of it.
[02:27:20.944 --> 02:27:24.085]  What you put in, you're going to get back very aggressively deployed.
[02:27:24.345 --> 02:27:27.746]  But Roger, how do folks go and give donations right now to help pay for this rally?
[02:27:29.217 --> 02:27:33.001]  We'll be posting the site earlier today.
[02:27:33.041 --> 02:27:40.888]  If you go to CTRAG.org, we'll be accepting contributions there.
[02:27:40.948 --> 02:27:45.793]  That's the Committee to Restore America's Greatness, and we will transfer whatever we raise
[02:27:47.995 --> 02:27:49.436]  To pay for this rally.
[02:27:49.476 --> 02:27:51.137]  That is our immediate goal.
[02:27:51.217 --> 02:27:52.718]  But look, I'm very excited about it.
[02:27:52.758 --> 02:27:54.259]  We've got an all-star lineup.
[02:27:54.699 --> 02:27:56.801]  I'm trying to get Ian Coulter to speak.
[02:27:56.861 --> 02:27:58.322]  Diamond and Silk will be there.
[02:27:58.942 --> 02:28:01.644]  This is going to be a great patriotic rally.
[02:28:01.684 --> 02:28:02.884]  And again, I stress...
[02:28:03.945 --> 02:28:06.565]  This is a peaceful demonstration.
[02:28:07.066 --> 02:28:23.369]  We know the Black Lives Matter and the move on thugs paid for by George Soros will be there and will attempt in every possible way to incite violence so that the mainstream media can then blame that violence on Donald Trump's and his supporters.
[02:28:23.809 --> 02:28:31.490]  So come to Cleveland, but be prepared to turn the other cheek and show through numbers the support for Donald Trump.
[02:28:31.690 --> 02:28:32.630]  And I'm going to be there, folks.
[02:28:32.650 --> 02:28:34.151]  Stan Withers now, in closing.
[02:28:34.411 --> 02:28:35.312]  Hillary's a monster.
[02:28:35.352 --> 02:28:36.072]  She's a gangster.
[02:28:36.712 --> 02:28:39.874]  We can't, nobody can complain to Trump for what he's done, money-wise.
[02:28:39.894 --> 02:28:41.134]  He's already put in 40-something million.
[02:28:41.394 --> 02:28:42.515]  He's putting his life on the line.
[02:28:43.075 --> 02:28:46.097]  I really think this witch can't handle going up against him in debates.
[02:28:46.177 --> 02:28:47.217]  I think she's going to try to kill him.
[02:28:47.517 --> 02:28:49.698]  I mean, I look at photos of her and the way she's acting lately.
[02:28:49.918 --> 02:28:51.219]  She looks like a psychotic monster.
[02:28:52.383 --> 02:28:54.364]  Yeah, I think she has a dual personality.
[02:28:54.724 --> 02:29:01.686]  I think the book by Gary Byrne, the Secret Service agent, which the Clintons are working overtime to suppress.
[02:29:01.726 --> 02:29:09.749]  They've been leaning on the networks, they've been leaning on the cable networks not to interview him, not to publicize his book.
[02:29:11.581 --> 02:29:14.643]  Yeah, it's, you know, what can I say?
[02:29:15.364 --> 02:29:28.755]  It is outrageous that we would somehow think that what this agent who served his country has to say is somehow less important or less credible than two of the biggest liars in American history, Bill and Hillary Clinton.
[02:29:28.815 --> 02:29:33.759]  But if you listen to what Agent Byrne says, this woman is bipolar.
[02:29:33.859 --> 02:29:35.380]  She has two personalities.
[02:29:37.202 --> 02:29:41.647]  Stonezone.com, Roger Stone, thank you for coming on, even though you're under the weather, my friend.
[02:29:41.667 --> 02:29:44.670]  You're a tough guy, and we really appreciate you.
[02:29:45.050 --> 02:29:46.812]  We look forward to speaking to you again soon.
[02:29:47.192 --> 02:29:49.275]  In 10 seconds, how's Trump's spirits?
[02:29:49.295 --> 02:29:51.096]  They look pretty strong.
[02:29:51.116 --> 02:29:52.198]  He's in great mood.
[02:29:52.238 --> 02:29:54.740]  I talked to him yesterday, and he's feeling good.
[02:29:55.121 --> 02:29:56.802]  Like all Americans, he's outraged.
[02:29:57.683 --> 02:30:00.985]  By the effects of Hillary's legal... It's incredible.
[02:30:01.005 --> 02:30:02.185]  Let me say bye to you during the break.
[02:30:02.265 --> 02:30:03.446]  Roger Stone's our guest.
[02:30:03.486 --> 02:30:03.866]  We'll be back.
[02:30:03.886 --> 02:30:04.807]  We're on the march.
[02:30:05.267 --> 02:30:06.868]  The empire's on the run.
[02:30:07.788 --> 02:30:10.590]  Alex Jones and the GCN Radio Network.
[02:30:15.012 --> 02:30:16.012]  Brain Force is here.
[02:30:16.553 --> 02:30:18.834]  Ladies and gentlemen, I've been on this the last few months.
[02:30:19.094 --> 02:30:26.918]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[02:30:27.699 --> 02:30:30.861]  One of the worst things with most energy products is it's not sustainable.
[02:30:31.141 --> 02:30:31.261]  Right?
[02:30:31.281 --> 02:30:33.623]  You're going to crash and you're going to feel really bad afterwards.
[02:30:34.003 --> 02:30:37.505]  This has a bunch of different antioxidants and compounds and polyphenols.
[02:30:37.545 --> 02:30:40.707]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[02:30:41.187 --> 02:30:45.990]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[02:30:46.530 --> 02:30:48.371]  For example, the L-Theanine inside of it.
[02:30:48.712 --> 02:30:53.154]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[02:30:53.294 --> 02:30:55.316]  This just increases the compounds you already have.
[02:30:55.936 --> 02:30:57.397]  This is what you're actually designed to run on.
[02:30:57.537 --> 02:30:57.797]  Exactly.
[02:30:57.817 --> 02:31:01.598]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[02:31:02.098 --> 02:31:09.360]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[02:31:09.640 --> 02:31:10.040]  Or call 888-253-3139.
[02:31:10.200 --> 02:31:12.161]  I'm gonna lay it out short and sweet.
[02:31:18.703 --> 02:31:24.395]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[02:31:25.096 --> 02:31:28.964]  I was a total fitness nut 20 years ago.
[02:31:29.858 --> 02:31:32.140]  But about 15 years ago, I just stopped working out.
[02:31:32.240 --> 02:31:33.401]  I gained close to 100 pounds.
[02:31:34.121 --> 02:31:36.983]  And diet and exercise only helped me lose 20 or so.
[02:31:37.584 --> 02:31:55.717]  But when I started using the natural products that God gave us through Mother Nature, and when we developed Supramental Vitality and the Good Halogen X2 and things like Secret 12 that is true, organic, absorbable, bioavailable B12, it changed my life.
[02:31:56.858 --> 02:32:00.761]  I have lost 50, 60 pounds of fat, or more.
[02:32:00.841 --> 02:32:02.723]  I've gained 20 pounds of muscle.
[02:32:03.263 --> 02:32:08.207]  I'm stronger than I was when I was 22, when I could bench press close to 400 pounds and squat 600.
[02:32:08.287 --> 02:32:10.089]  It's actually scary.
[02:32:10.929 --> 02:32:16.153]  And it's because I take products that are researchers developed that block
[02:32:17.074 --> 02:32:20.977]  The estrogen mimickers that basically feminize men.
[02:32:21.958 --> 02:32:35.389]  We've produced these products with top scientists and researchers like Dr. Grew to help you counteract the globalist onslaught and at the same time support InfoWars and our fight to promote human liberty and freedom worldwide.
[02:32:35.890 --> 02:32:39.833]  Start your journey towards normal human metabolic activity today.
