[00:00:00.189 --> 00:00:01.250]  It's Alex Jones!
[00:44:42.549 --> 00:44:44.351]  Yeah, we're worried about Tom Brady's jersey.
[00:44:44.371 --> 00:44:45.351]  We gotta get that jersey.
[00:44:46.332 --> 00:44:51.120]  Actual domestic terrorists that are attacking people, attacking civil rights in the streets.
[00:44:51.461 --> 00:44:53.945]  So where is the government?
[00:44:53.965 --> 00:44:54.847]  Where's the administration?
[00:44:54.927 --> 00:44:59.635]  Where are the people that we've handed over our security and our safety to and our tax dollars to?
[00:45:00.271 --> 00:45:01.411]  And where are them protecting it?
[00:45:01.471 --> 00:45:05.692]  I mean, I'm not saying, you know, don't let people on the left have a platform, right?
[00:45:05.912 --> 00:45:06.633]  You know, it's fine.
[00:45:06.673 --> 00:45:08.593]  If you guys want to have a rally, go ahead and do that.
[00:45:08.633 --> 00:45:13.174]  I went to an Antifa rally last week and I didn't attack people, I actually got punched myself.
[00:45:13.254 --> 00:45:13.634]  But I was there.
[00:45:13.714 --> 00:45:17.255]  Yeah, I know that you've been at many rallies and somehow you've never been violent.
[00:45:17.295 --> 00:45:19.956]  I've seen you out at rallies and I've never seen you be violent.
[00:45:19.996 --> 00:45:20.996]  It's strange how that works.
[00:45:21.636 --> 00:45:21.816]  No.
[00:45:21.997 --> 00:45:22.937]  It's funny how that works, yeah.
[00:45:22.957 --> 00:45:30.285]  It's kind of like, it's, you know, it's like when they were little and they say, you know, when you're learning karate or something and they say, well you learn it so you don't have to use it, right?
[00:45:30.425 --> 00:45:30.625]  Yes.
[00:45:30.665 --> 00:45:38.233]  And it's, you know, I've been in the Navy, I've done counterterrorism training, you know, I can handle myself if something does break out, but at the same time it's like,
[00:45:38.593 --> 00:45:41.195]  I know that I don't need to use this at this point.
[00:45:41.455 --> 00:45:43.896]  I don't need to use this training because that's going to make it worse.
[00:45:44.537 --> 00:45:49.740]  In that situation, the guy, you know, he got one sucker punch at me, pushed him off, stepped to the side.
[00:45:49.780 --> 00:45:50.740]  Yeah, it's always the same thing.
[00:45:50.781 --> 00:45:52.161]  I'm the same way when they try to do that.
[00:45:52.181 --> 00:45:54.663]  You just laugh it off and you're like, whoa, dude, and you put the camera on their face.
[00:45:55.263 --> 00:45:55.944]  60 seconds, Jack.
[00:45:55.964 --> 00:45:57.044]  I want to talk about two things.
[00:45:57.064 --> 00:45:57.865]  I want to get your opinion.
[00:45:58.105 --> 00:46:01.947]  One, to me, another story developing here is the standing of the new guard.
[00:46:02.167 --> 00:46:03.368]  The old guard backed down.
[00:46:03.408 --> 00:46:06.610]  They backed down in Berkeley, Ann Coulter, and they stepped away.
[00:46:06.850 --> 00:46:08.031]  So the new guard stepped up.
[00:46:08.452 --> 00:46:12.138]  You know, Lauren Southern, Brittany Pettibone, Bay Stickman, they were there.
[00:46:12.479 --> 00:46:19.312]  So the changing of the guard, and also, you mentioned how the money is not being spent in the right ways to get security for these events.
[00:46:19.352 --> 00:46:20.494]  Talk about those two things real quick.
[00:46:21.360 --> 00:46:24.583]  Yes, the first one, and it's really connected when it comes down to it.
[00:46:24.623 --> 00:46:32.371]  The old guard, the money that was out there, that you've got organizations like YAF that people have been giving money to for years and years and years on end, and what do they do?
[00:46:32.551 --> 00:46:38.477]  They have millions of dollars, hire some people from special forces, hire some people, InfoWars does this, Rebel Media does this.
[00:46:38.937 --> 00:46:42.998]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:47:08.385 --> 00:47:09.966]  But it goes beyond being prepared.
[00:47:10.346 --> 00:47:15.350]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:47:15.710 --> 00:47:21.154]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:47:21.554 --> 00:47:28.138]  And from my research, and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:47:28.799 --> 00:47:29.940]  It's as important as vitamin C.
[00:47:30.780 --> 00:47:32.742]  If you don't get iodine, you die.
[00:47:33.062 --> 00:47:36.005]  But most people are just efficient, so they're low energy, they're sick.
[00:47:36.445 --> 00:47:40.068]  You gotta have iodine in your body so that your body can produce the hormones you need.
[00:47:40.269 --> 00:47:42.811]  It is the base to so many things.
[00:47:42.871 --> 00:47:55.222]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep-earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:47:55.422 --> 00:48:00.544]  Other iodine comes from the ocean or from other byproducts of chemical facilities, and it's tainted.
[00:48:00.665 --> 00:48:02.165]  It's bound.
[00:48:02.285 --> 00:48:03.286]  It's not absorbable.
[00:48:03.706 --> 00:48:08.268]  I tried it, and I had incredible effects, even with dirty iodine, because the body needs it.
[00:48:08.488 --> 00:48:13.391]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:48:13.871 --> 00:48:18.773]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:48:18.853 --> 00:48:20.014]  I think you're going to be blown away.
[00:48:20.174 --> 00:48:22.755]  And whatever you do, support the broadcast and get a bottle.
[00:48:22.915 --> 00:48:23.555]  I think so.
[00:48:45.742 --> 00:48:48.383]  You've got to have vitamin C. You've got to have iodine to live.
[00:48:48.403 --> 00:48:49.444]  You've got to have water to live.
[00:48:49.744 --> 00:48:50.484]  Iodine is key.
[00:48:50.504 --> 00:48:51.125]  You must have it.
[00:48:51.485 --> 00:48:59.028]  But consult your physician first before you get powerful survival shield niacin iodine X2 at Infowarslife.com or call toll free.
[00:48:59.048 --> 00:48:59.909]  We can answer your questions.
[00:48:59.929 --> 00:49:00.809]  888-253-3139.
[00:49:00.869 --> 00:49:09.994]  You know, before I get into a news blitz here, I've got a little hanging chat I want to address.
[00:49:10.414 --> 00:49:14.156]  You know, Nancy Pelosi said that Trump was doing nothing about creating jobs.
[00:49:14.956 --> 00:49:15.056]  Hmm.
[00:49:16.425 --> 00:49:19.827]  Boy, that is just a shocking statement for her to make.
[00:49:20.588 --> 00:49:26.051]  Has she been reading any of the news, all the jobs that have come back here, all the companies that are investing in America instead of overseas?
[00:49:27.032 --> 00:49:29.373]  I guess Nancy missed that when she was doing her hair.
[00:49:30.054 --> 00:49:35.357]  And then she also made an outlandish statement that Trump wasn't doing anything about cutting spending.
[00:49:36.658 --> 00:49:37.798]  I almost fell to the floor.
[00:49:37.819 --> 00:49:41.220]  $100 billion cut out of the debt, Nancy.
[00:49:42.180 --> 00:49:44.881]  So you're a total incompetent politician.
[00:49:44.921 --> 00:49:46.082]  Thank you for exposing yourself.
[00:49:46.562 --> 00:49:49.563]  Let's get into a news blitz here before we close the InfoWars Nightly News.
[00:49:50.284 --> 00:49:51.844]  This is from the Washington Compost.
[00:49:51.984 --> 00:49:57.707]  A Saudi Arabian man has been sentenced to death after insulting the Prophet Muhammad on Twitter.
[00:49:58.907 --> 00:50:03.149]  I just love how tolerant the religion of Islam is in Saudi Arabia.
[00:50:03.945 --> 00:50:06.867]  I just love how tolerant Saudi Arabia is of women.
[00:50:08.308 --> 00:50:08.608]  You know?
[00:50:09.189 --> 00:50:17.955]  And I'm just so glad that Saudi Arabia is on the Human Rights Commission of the UN and on the Women's Rights Commission of the UN.
[00:50:20.717 --> 00:50:21.658]  I think these are good things.
[00:50:23.399 --> 00:50:24.039]  I think it's good.
[00:50:24.500 --> 00:50:31.484]  In fact, why doesn't the entire world embrace Saudi Arabian principles?
[00:50:32.185 --> 00:50:33.266]  The left would love that.
[00:50:34.755 --> 00:50:36.997]  You insult Mohammed on Twitter, you're dead.
[00:50:38.418 --> 00:50:44.164]  If you're a woman and you walk around outside without your scarf and your man, we'll put you in a hole and stone you to death!
[00:50:45.905 --> 00:50:48.007]  Let's... How tolerant!
[00:50:48.507 --> 00:50:49.188]  Let's bring him here.
[00:50:51.350 --> 00:50:53.972]  You know, and it's not good in Egypt right now either, as...
[00:50:55.071 --> 00:50:57.313]  If you're in Egypt, I actually just closed my story.
[00:50:57.333 --> 00:50:58.454]  Yeah, thank you for pulling that up, guys.
[00:50:58.874 --> 00:51:01.516]  Egyptian Christians living in fear for the future.
[00:51:02.297 --> 00:51:11.864]  So if you're a Christian in Egypt now, because the Muslims are so tolerant that run that government now, well, you're in fear for your life, aren't you?
[00:51:12.805 --> 00:51:15.407]  The Muslims in that region are bombing Christian churches.
[00:51:17.389 --> 00:51:24.054]  And then when there's a secular leader like Assad in that region who wants to protect Christians, well, we gotta get him out.
[00:51:25.083 --> 00:51:27.324]  I mean, we got to get him out!
[00:51:28.024 --> 00:51:29.564]  That's just our foreign policy.
[00:51:30.704 --> 00:51:33.485]  I'll tell you who is just as bad as Nancy Pelosi.
[00:51:33.925 --> 00:51:34.265]  I don't know.
[00:51:34.305 --> 00:51:37.886]  I don't have to deal with this woman in my everyday routine.
[00:51:38.946 --> 00:51:40.366]  She needs to get a new hairstylist.
[00:51:40.386 --> 00:51:41.467]  I don't know, whatever, bowl cut.
[00:51:41.507 --> 00:51:43.167]  She's got like a bowl cut mullet look on.
[00:51:43.487 --> 00:51:47.948]  But anyway, Merkel attacks opponents as campaign starts in two state polls.
[00:51:48.628 --> 00:51:51.069]  This one just had me rolling, though.
[00:51:51.109 --> 00:51:52.029]  Stop it right there, folks.
[00:51:53.633 --> 00:51:58.917]  Merkel claims that her opponents have failed in fighting crime.
[00:52:00.598 --> 00:52:19.270]  Angela Merkel, who's been the Chancellor in Germany while all this violence is breaking out, all these terror attacks, Merkel has the nerve to blame her opponents, who haven't been in power, mind you, that they're the reason why crime is up in Germany.
[00:52:20.791 --> 00:52:22.312]  Angela Merkel.
[00:52:23.188 --> 00:52:32.354]  The bowl cut, half bowl cut, half mullet, zero wit politician from Germany.
[00:52:32.674 --> 00:52:36.717]  You can put her right in that same basket with Nancy Pelosi and Maxine Waters.
[00:52:39.739 --> 00:52:41.320]  Wait, is that Merkel?
[00:52:42.921 --> 00:52:46.924]  Wow, the crew is showing me some old pictures of... Is that really Merkel?
[00:52:48.245 --> 00:52:48.545]  For real?
[00:52:49.850 --> 00:52:53.353]  Okay, we can't confirm if that was Frank and Merkel or regular Merkel.
[00:52:54.073 --> 00:52:56.735]  But here's a story, today, out of Berlin.
[00:52:57.115 --> 00:53:02.539]  Police on lockdown, er, police lockdown area around Berlin Hospital after shots are fired.
[00:53:04.220 --> 00:53:11.826]  And now, because there's so much violence in Germany, everybody in Germany is already on high alert because of all the terror attacks under whose regime?
[00:53:12.907 --> 00:53:13.587]  Merkel's.
[00:53:14.608 --> 00:53:15.148]  So that's fine.
[00:53:15.849 --> 00:53:17.450]  Angela Merkel has the goal
[00:53:19.139 --> 00:53:36.143]  On the day of a shooting at a hospital, in the string of terror attacks in her country, Angela Merkel has the unmitigated nerve to blame her opponents for the rush of crime in Germany.
[00:53:36.163 --> 00:53:43.344]  Man, these politicians have some nerve to just outright lie to your face!
[00:53:44.284 --> 00:53:44.984]  Or how about this?
[00:53:45.785 --> 00:53:47.365]  Maybe you're the president of Austria,
[00:53:49.468 --> 00:53:57.931]  And you say, all women must wear headscarves to fight Islamophobia out of solidarity towards those who do it for religious reasons.
[00:53:58.671 --> 00:54:12.995]  And now the Austrian president, Alexander Van der Bellen, yeah he's a bellend alright, says that the day will come when all women will be asked to wear a headscarf.
[00:54:13.395 --> 00:54:14.676]  Yeah, look at that bellend!
[00:54:15.765 --> 00:54:19.668]  He's not Van Der Bellen, he's Van Der Bell-end!
[00:54:21.069 --> 00:54:26.373]  So that's just a nice, another... That's just a nice... It's a European joke.
[00:54:26.454 --> 00:54:27.755]  It's funny in England.
[00:54:27.815 --> 00:54:29.236]  I'm sorry, the crew doesn't understand that.
[00:54:29.776 --> 00:54:36.782]  But... This is just a nice, another loving liberal, and just showing the tolerance of the religion of Islam.
[00:54:38.490 --> 00:54:39.771]  We're gonna make you wear a hijab!
[00:54:40.331 --> 00:54:43.532]  There was some video that surfaced today, it was on a subway in Europe.
[00:54:44.192 --> 00:54:45.013]  There's the bell end.
[00:54:45.613 --> 00:54:58.878]  It was a subway somewhere in Europe, and these two Muslim women were cackling at a European girl, she was white, because she wasn't dressed properly.
[00:54:58.918 --> 00:55:03.240]  She didn't have her headscarf on, so the Muslim women were giving her a hard time being very rude.
[00:55:04.921 --> 00:55:05.701]  That's nice, isn't it?
[00:55:07.210 --> 00:55:08.512]  Very, very tolerant.
[00:55:08.552 --> 00:55:09.133]  Yeah, thank you.
[00:55:09.173 --> 00:55:11.215]  How dare you not wear a trash bag in public?
[00:55:11.936 --> 00:55:12.677]  How dare you?
[00:55:12.717 --> 00:55:19.706]  In fact, I mean, Maxine Waters has promoted Sharia law in the United States before.
[00:55:21.001 --> 00:55:22.081]  You know, Maxine, I don't know.
[00:55:22.641 --> 00:55:25.622]  Do they let women wear wigs under Sharia law?
[00:55:25.662 --> 00:55:26.682]  We might need to look into that.
[00:55:26.742 --> 00:55:27.042]  See?
[00:55:27.782 --> 00:55:29.883]  This is where you can get someone like Maxine Waters.
[00:55:30.203 --> 00:55:34.764]  You tell her, Maxine, Sharia law does not allow women to wear a wig.
[00:55:35.724 --> 00:55:41.365]  All of a sudden, Maxine Waters and her James Brown wig change their stance, folks.
[00:55:42.265 --> 00:55:46.526]  That James Brown wig is going to be on, it's going to be running away from Sharia law.
[00:55:49.276 --> 00:55:49.416]  Oh!
[00:55:49.616 --> 00:55:51.557]  It's actually a hairy burka!
[00:55:53.877 --> 00:55:54.797]  It's not a wig!
[00:55:54.897 --> 00:55:56.898]  It's Maxine Waters' burka!
[00:55:57.778 --> 00:55:59.279]  No, I mean, let's not be ridiculous.
[00:55:59.499 --> 00:56:00.339]  It's totally her wig.
[00:56:00.659 --> 00:56:00.999]  Okay.
[00:56:01.779 --> 00:56:03.340]  Let's move into some different news.
[00:56:03.360 --> 00:56:04.720]  This is from Climate Depot.
[00:56:05.560 --> 00:56:11.282]  It's not just droughts, but nearly all extreme weather is declining or at near record lows.
[00:56:12.962 --> 00:56:14.522]  Now, let's recall.
[00:56:16.443 --> 00:56:16.783]  In fact,
[00:56:17.830 --> 00:56:20.831]  When I was in, let's see, what year was it guys?
[00:56:21.212 --> 00:56:21.812]  Look this up.
[00:56:23.753 --> 00:56:27.094]  I think it was 2005 when An Inconvenient Truth came out.
[00:56:27.234 --> 00:56:29.936]  Can you guys pull up An Inconvenient Truth by Al Gore?
[00:56:30.896 --> 00:56:31.717]  I want to say maybe 2005 it came out.
[00:56:31.737 --> 00:56:31.817]  So, 2006.
[00:56:38.908 --> 00:56:54.520]  May 24th, 2006, we're coming up on the anniversary here of Inconvenient Truth, and they wanted to show this documentary based on science by Al Gore, ManBearPig,
[00:56:55.982 --> 00:57:03.106]  And so they started showing this movie to all the children in schools because they wanted the children to know about man-made global warming.
[00:57:03.427 --> 00:57:07.609]  They wanted the children to know about the threats of man-made global warming.
[00:57:07.749 --> 00:57:15.954]  They'll call us fear porn while Al Gore is out there telling you you're going to be drowned and polar bears are going to be extinct if you don't pay a carbon tax.
[00:57:16.834 --> 00:57:17.235]  Wrong.
[00:57:18.315 --> 00:57:19.336]  So here's my idea.
[00:57:21.328 --> 00:57:30.114]  Just like we did in 2006 and 2007 and 2008 showing an inconvenient truth in the classroom to the children, let's do it again.
[00:57:30.874 --> 00:57:34.017]  Let's show inconvenient truth in the classroom again.
[00:57:34.337 --> 00:57:34.937]  Let's show it in 2017.
[00:57:36.358 --> 00:57:36.898]  Let's show it in 2018.
[00:57:38.259 --> 00:57:38.820]  Let's show it in 2019.
[00:57:39.060 --> 00:57:49.227]  Heck, let's show it right on down the road to show how dumb people like Al Gore are and how phony their science really is.
[00:57:50.506 --> 00:57:55.167]  Because after all, what will an inconvenient truth actually be?
[00:57:56.328 --> 00:57:58.709]  Al Gore is a lying fool.
[00:57:59.709 --> 00:58:01.930]  That is the inconvenient truth.
[00:58:03.550 --> 00:58:05.551]  But look at this from the Daily Caller.
[00:58:06.211 --> 00:58:12.333]  Former Obama official, bureaucrats manipulate climate stats to influence policy.
[00:58:13.053 --> 00:58:15.354]  Drop the mic and leave the room.
[00:58:16.542 --> 00:58:17.383]  It's over!
[00:58:18.044 --> 00:58:19.486]  Man-made climate change!
[00:58:19.766 --> 00:58:20.567]  It's over!
[00:58:20.787 --> 00:58:22.089]  Your carbon taxes!
[00:58:22.449 --> 00:58:23.450]  It's over!
[00:58:23.811 --> 00:58:26.834]  All of your regulations to stop business and prosperity!
[00:58:27.175 --> 00:58:28.136]  It's over!
[00:58:28.616 --> 00:58:29.357]  You're done!
[00:58:29.377 --> 00:58:30.338]  Okay?
[00:58:31.019 --> 00:58:31.880]  And they just admit it.
[00:58:31.900 --> 00:58:34.043]  We already knew that they were doing this.
[00:58:35.184 --> 00:58:36.526]  And they won't even admit to you!
[00:58:37.850 --> 00:58:42.013]  They won't even admit to you that they're spraying chemicals into the atmosphere.
[00:58:42.353 --> 00:58:53.121]  Cloud seeding, geoengineering, they just ignore that and then they lie to you about man-made climate change and lie to you and tell you that extreme weather is actually increasing when it's actually decreasing.
[00:58:53.421 --> 00:58:56.363]  Thanks to everybody who tuned in tonight to the InfoWars Nightly News.
[00:58:56.683 --> 00:58:58.805]  Please support us at InfoWarsStore.com.
[00:58:58.885 --> 00:59:00.886]  Alex Jones Show returns tomorrow 11 a.m.
[00:59:00.926 --> 00:59:01.287]  Central.
[00:59:01.647 --> 00:59:02.728]  You stay classy, InfoWars.
[00:59:03.308 --> 00:59:10.410]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:59:10.770 --> 00:59:23.993]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:59:24.933 --> 00:59:36.167]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:59:36.828 --> 00:59:42.795]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:59:43.536 --> 00:59:51.940]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:59:52.560 --> 00:59:59.923]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support
