[00:00:22.406 --> 00:00:24.127]  Welcome to the NFOR's Nightly News.
[00:47:36.871 --> 00:47:40.493]  You've got to have iodine in your body so that your body can produce the hormones you need.
[00:47:40.673 --> 00:47:43.234]  It is the base to so many things.
[00:47:43.294 --> 00:47:55.642]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:47:55.842 --> 00:48:00.963]  Other iodine comes from the ocean or from other byproducts of chemical facilities, and it's tainted.
[00:48:01.083 --> 00:48:02.423]  It's bound.
[00:48:02.483 --> 00:48:03.704]  It's not absorbable.
[00:48:04.124 --> 00:48:08.685]  I tried it, and I had incredible effects, even with dirty iodine, because the body needs it.
[00:48:08.905 --> 00:48:13.806]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:48:14.286 --> 00:48:19.187]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:48:19.267 --> 00:48:20.427]  I think you're going to be blown away.
[00:48:20.587 --> 00:48:23.168]  And whatever you do, support the broadcast and get a bottle.
[00:48:23.328 --> 00:48:24.509]  I don't think so.
[00:48:46.172 --> 00:48:48.793]  You've got to have vitamin C. You've got to have iodine to live.
[00:48:48.813 --> 00:48:49.853]  You've got to have water to live.
[00:48:50.173 --> 00:48:50.893]  Iodine is key.
[00:48:50.933 --> 00:48:51.534]  You must have it.
[00:48:51.894 --> 00:48:59.436]  But consult your physician first before you get powerful survival shield nascent iodine, X2, at MFORWARSLIFE.COM or call toll free.
[00:48:59.456 --> 00:49:00.336]  We can answer your questions.
[00:49:00.356 --> 00:49:00.396]  888-253-3139.
[00:49:06.391 --> 00:49:17.333]  In the last year, we've witnessed the Democratic Party, foreign governments, thousands of newspapers, hundreds of celebrities trying to organize the assassination of President Trump, even when he was a candidate.
[00:49:18.213 --> 00:49:24.054]  They're the ones politically trying to intimidate our free speech and trying to influence us with threats of violence.
[00:49:24.654 --> 00:49:33.556]  That's why it's particularly ridiculous when they come out and call for my arrest by twisting things I've said, claiming that I want violence.
[00:49:34.396 --> 00:49:35.876]  Truly, these people have
[00:49:36.056 --> 00:49:37.377]  You have no shame.
[00:49:37.497 --> 00:49:37.938]  Yes!
[00:49:38.498 --> 00:49:43.162]  I have thought an awful lot about blowing up the White House.
[00:49:44.404 --> 00:49:46.205]  He's an embarrassment to this country.
[00:49:46.545 --> 00:49:53.752]  It makes me so angry that this country has gotten to this point, that this fool, this bozo, has wound up where he has.
[00:49:54.713 --> 00:49:56.935]  Well, I'd like to punch him in the face.
[00:49:56.955 --> 00:50:01.338]  Daddy!
[00:50:04.730 --> 00:50:14.716]  I'm going to kill the President-elect, bring it Secret Service, and then going into frightening detail, getting a sniper rifle and perching myself where it counts.
[00:50:15.316 --> 00:50:18.398]  Find a bedroom in the White House that suits you excellently.
[00:50:19.420 --> 00:50:23.842]  You just saw Robert De Niro say that he wants to punch the president in the nose.
[00:50:24.682 --> 00:50:26.303]  He came back out a second time and said it.
[00:50:26.403 --> 00:50:31.886]  Then we heard from Madonna saying she thinks about blowing up the White House.
[00:50:31.926 --> 00:50:32.806]  That's premeditated.
[00:50:33.486 --> 00:50:40.909]  And we've seen countless newspapers from the LA Times to the New York Times with their writers saying someone kill Trump or I want to kill Trump.
[00:50:41.010 --> 00:50:41.310]  It's been
[00:50:42.250 --> 00:50:42.750]  Incredible.
[00:50:43.471 --> 00:50:48.773]  And I've been pointing this out all along and hypothetically saying, what would happen if we called for violence?
[00:50:49.393 --> 00:50:51.814]  We're going to lose this fight for America if we get violent.
[00:50:52.254 --> 00:50:57.517]  I'm one of the biggest proponents of nonviolence and Mahatma Gandhi and Martin Luther King, everybody knows that.
[00:50:58.197 --> 00:51:05.562]  But now we've got Newsweek and a whole bunch of other publications coming out today saying Alex Jones' threat to congressmen may be a felony.
[00:51:06.143 --> 00:51:09.285]  Now notice, I made some of these comments that they've twisted a week ago.
[00:51:09.665 --> 00:51:12.247]  So they've sat around and waited and run this by U.S.
[00:51:12.287 --> 00:51:20.573]  attorneys and others to then edit my statements together and say the sum of his words mean a threat, like, fill your hand.
[00:51:21.193 --> 00:51:24.535]  I also talked about suing people that are saying I'm a Russian agent.
[00:51:25.376 --> 00:51:26.297]  Fill your hand means
[00:51:27.057 --> 00:51:29.518]  Take action against me if you think you've got what it takes.
[00:51:29.598 --> 00:51:34.379]  Certainly, I'm not saying I'm John Wayne in true grit saying fill your hand with a pistol.
[00:51:35.180 --> 00:51:37.480]  I call that bold talk for a one-eyed fat man.
[00:51:40.321 --> 00:51:42.942]  Fill your hand, you son of a bitch!
[00:51:43.925 --> 00:51:48.849]  Mickey Rourke has come out and called for killing the president and says he wants to kill him.
[00:51:49.749 --> 00:51:59.877]  Thousands and thousands of prominent people, so much I can't even keep track of it, have come out and said someone needs to kill him or they're going to kill him, and none of them are prosecuted, none of them get in trouble.
[00:52:00.417 --> 00:52:10.945]  Then I come out with statements that they edit together that are clearly tongue-in-cheek and basically art performance, as I do in my rants, which I admit I do as a form of art,
[00:52:11.565 --> 00:52:26.254]  And they turned that in to a premeditated plan that I'm trying to influence that chicken neck, Schiff, who has made up all this crap about Trump and Russians and has been caught lying, saying that Rice wasn't spying.
[00:52:26.594 --> 00:52:27.855]  This guy's a loser.
[00:52:28.035 --> 00:52:31.077]  When I say I'm gonna kick your ass, it's the info war.
[00:52:31.557 --> 00:52:33.879]  I say every day, we're going to destroy you with the truth.
[00:52:34.279 --> 00:52:36.421]  We're going to annihilate you with our speech.
[00:52:36.761 --> 00:52:46.469]  We are in a war against enemies who are a bunch of liars and that we are winning via information warfare or info wars.
[00:52:46.729 --> 00:52:52.174]  He's nothing but a big mouth bitch bully and I'd love to have 30 seconds in the room with the little bitch.
[00:52:52.794 --> 00:53:06.454]  But it does show how desperate they are, because they admit that the George Soros-funded, Democratic Party-controlled Media Matters basically put together this edited transcript and is basically pushing all this and calling for Google to ban us.
[00:53:07.055 --> 00:53:08.837]  Google's already massively censoring.
[00:53:09.378 --> 00:53:16.060]  And the leftists are intimidating Google all over the world to go full communist Chinese and completely delist us.
[00:53:16.080 --> 00:53:23.422]  The problem is, we have hundreds of radio affiliates and tens of millions of people every week that visit our websites and the URL InfoWars.com.
[00:53:23.722 --> 00:53:26.143]  So your attempts to brand us as the violent ones?
[00:53:27.003 --> 00:53:56.173]  When you're the ones all over the news, and even Atlantic Monthly and other top publications of the elite saying COG, overthrow Trump, you have people organizing military coups that were formerly high-level Defense Department, truly seditious stuff, and everybody sits there and takes it, and then I go out and make comments that you twist, and then you claim that I'm trying to organize violence against Schiff to influence him, oh, because it's so damning he calls me a Russian.
[00:53:58.001 --> 00:54:02.263]  The old saying is, from Earl Haggard, you're walking on the fighting side of me.
[00:54:02.983 --> 00:54:05.504]  When I fight, I fight in information.
[00:54:05.785 --> 00:54:15.009]  When I punch somebody, when I talk about Trump dealing death blows, or we're in a death battle against communism, I don't literally mean death.
[00:54:15.549 --> 00:54:22.411]  And everybody knows the compendium of my speech and what I stand for is non-violent when it comes to offense.
[00:54:22.471 --> 00:54:25.052]  I'm all about defense, and everyone knows that.
[00:54:25.492 --> 00:54:26.433]  Everyone understands that.
[00:54:26.753 --> 00:54:37.396]  And we see the incredible hypocrisy of the elitist left, allied with Communist China and others, trying to bully this country into submission, trying to brand us as the violent people.
[00:54:37.556 --> 00:54:39.397]  So let me be clear, as I've always been clear.
[00:54:40.917 --> 00:54:42.458]  I'm against any offensive violence.
[00:54:43.413 --> 00:54:52.459]  And I am disgusted by the left and Black Lives Matter and the Soros funding groups with hundreds of millions of dollars saying, bang, bang, you know, kill the pigs, murder the police.
[00:54:52.479 --> 00:54:55.742]  20 more pigs and we'll be through!
[00:54:55.762 --> 00:54:57.823]  20 more pigs and we'll be through!
[00:54:58.003 --> 00:55:05.409]  A pig is a pig, that's what I said!
[00:55:05.529 --> 00:55:09.552]  A pig is a pig, that's what I said!
[00:55:13.374 --> 00:55:14.975]  Going to the peak is the peak I said!
[00:55:14.995 --> 00:55:16.797]  Fight, fight, fight, fight!
[00:55:16.837 --> 00:55:17.638]  Fight, fight, fight, fight!
[00:55:18.478 --> 00:55:19.439]  Fight, fight, fight, fight!
[00:55:19.459 --> 00:55:21.321]  Fight, fight, fight, fight!
[00:55:21.361 --> 00:55:23.142]  Fight, fight, fight, fight!
[00:55:23.162 --> 00:55:24.003]  Fight, fight, fight, fight!
[00:55:24.583 --> 00:55:26.185]  They'll probably edit this and say that I said that.
[00:55:26.445 --> 00:55:27.606]  No, I'm not saying murder the police.
[00:55:28.106 --> 00:55:30.668]  And calling for the death of federal officers and all this stuff.
[00:55:30.988 --> 00:55:34.812]  They've got a lot of nerve after their jihad the last year.
[00:55:35.352 --> 00:55:39.976]  Plus, calling for violence against Donald Trump, his supporters, beating him up, you name it.
[00:55:41.178 --> 00:55:52.738]  To then come out and claim that I am now committing crimes, talking about in a rant, I want to kick your butt or whatever, when clearly I'm talking about the information war.
[00:55:53.400 --> 00:55:53.900]  Unbelievable.
[00:55:54.500 --> 00:55:55.440]  But it doesn't stop there.
[00:55:55.460 --> 00:56:03.622]  We've got Bow Wow saying he wants to kidnap, that's Snoop Dogg's nephew, big rapper, kidnap the president's wife and put her into sex slavery.
[00:56:03.822 --> 00:56:04.563]  That's okay though.
[00:56:05.383 --> 00:56:12.825]  Snoop Dogg comes out a few weeks ago with a big video pushed by Viacom and basically says go out and murder the president, shoot him in the head, kill police.
[00:56:12.885 --> 00:56:14.985]  That's totally okay with the Democrats.
[00:56:15.286 --> 00:56:18.786]  CEO threatened to assassinate Trump with sniper rifle at the White House.
[00:56:19.167 --> 00:56:20.207]  Again, nothing's done to him.
[00:56:21.147 --> 00:56:22.588]  So who's going to assassinate Trump?
[00:56:22.608 --> 00:56:24.930]  Twitter erupts with calls for Donald Trump to be killed.
[00:56:25.690 --> 00:56:26.551]  Again, I mentioned this.
[00:56:27.311 --> 00:56:31.414]  You've got Mickey Rourke threatens to kill Trump in a profanity-laced tirade.
[00:56:32.455 --> 00:56:34.337]  Black Lives Matter calls for killing police.
[00:56:34.357 --> 00:56:35.498]  That's CBS News.
[00:56:36.239 --> 00:56:37.880]  On and on and on.
[00:56:38.181 --> 00:56:43.446]  You've got Gawker and Time Magazine and Newsweek all calling for the case for riots.
[00:56:43.986 --> 00:56:45.207]  The defense for rioting.
[00:56:45.788 --> 00:56:49.412]  So, when I say performance art, I mean, I let myself get angry.
[00:56:49.812 --> 00:56:52.755]  I let myself say satirical things, wild things, whatever.
[00:56:53.756 --> 00:56:54.536]  But what I'm saying
[00:56:55.729 --> 00:56:56.590]  You know, you're a jerk.
[00:56:56.630 --> 00:56:57.511]  You're a piece of crap.
[00:56:57.551 --> 00:56:58.411]  Say that to my face.
[00:56:58.471 --> 00:56:59.372]  I say you people.
[00:56:59.773 --> 00:57:06.118]  You know, notice I'm talking about the whole power structure here, where I talk about you're the people.
[00:57:07.919 --> 00:57:09.300]  You're the people calling for violence.
[00:57:09.401 --> 00:57:10.742]  You're the people pushing all this crap.
[00:57:11.042 --> 00:57:13.224]  Oh, then they say have the FCC shut me down.
[00:57:14.679 --> 00:57:16.259]  I said this on an internet feed.
[00:57:16.819 --> 00:57:18.920]  I didn't say it on my commercial radio show.
[00:57:19.120 --> 00:57:22.701]  I said it late at night to an adult audience, and it's nothing Bill Maher doesn't say.
[00:57:22.981 --> 00:57:28.242]  So let me be clear again, because I don't want there to be any violence, and then they say it's attributed to me, which is the kind of stuff they've pulled in the past.
[00:57:28.822 --> 00:57:32.543]  You know, you've got people out there like Noam Chomsky saying that Trump's going to do a false flag.
[00:57:33.603 --> 00:57:39.184]  I'm concerned about a false flag aimed at the left, because they're so unpopular, with all their bullying, to make them look like victims.
[00:57:40.273 --> 00:57:44.297]  Now, quite frankly, am I worried about being indicted as they're calling for this?
[00:57:44.398 --> 00:57:57.792]  Absolutely not, because I know what I said, I know the intent of what I said, and I know that the people that are pushing for me to be arrested and actually lobbying for it are the ones calling for the president to actually be overthrown violently.
[00:57:58.132 --> 00:58:01.176]  I'm trying to stop violence and have stability in this republic.
[00:58:01.596 --> 00:58:08.799]  But that said, it will be quite a bit of publicity if they finally come right out and indict me as the Democrats are calling for it.
[00:58:09.199 --> 00:58:13.861]  So, I do have to be careful, though, about what I say, because it could be taken out of context.
[00:58:14.161 --> 00:58:15.122]  So again, I just want to be clear.
[00:58:15.742 --> 00:58:17.402]  I mean no violence against Mr. Schiff.
[00:58:19.895 --> 00:58:20.855]  I know the guy's a liar.
[00:58:21.015 --> 00:58:23.056]  I know that he is an attack dog of the Democrats.
[00:58:23.676 --> 00:58:26.216]  I know that he's really trying to hurt this country, so I dislike him.
[00:58:26.476 --> 00:58:30.057]  But I wish no harm on him or his wife or children or anybody else.
[00:58:30.437 --> 00:58:31.577]  So this is not a retraction.
[00:58:31.937 --> 00:58:33.278]  This is a clarification.
[00:58:33.598 --> 00:58:34.898]  Yes, I don't want violence.
[00:58:35.358 --> 00:58:37.139]  You guys are openly calling for it everywhere.
[00:58:37.419 --> 00:58:43.860]  So I think then you should ask yourselves what hypocrite planet you woke up on when I say one-tenth
[00:58:44.600 --> 00:58:52.007]  Of what you said, clearly jesting, and then you take it as serious and call for my incarceration for six years in federal prison.
[00:58:52.447 --> 00:58:53.828]  Good luck with that, hypocrites.
[00:58:54.208 --> 00:58:56.851]  That concludes our nightly news tonight.
[00:58:56.891 --> 00:58:59.253]  Join us again tomorrow night at 7 Central, 8 p.m.
[00:58:59.333 --> 00:59:01.455]  Eastern for the InfoWars Nightly News.
[00:59:03.775 --> 00:59:10.880]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:59:11.240 --> 00:59:24.469]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:59:25.390 --> 00:59:36.634]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:59:37.295 --> 00:59:43.257]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:59:44.017 --> 00:59:52.402]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:59:53.022 --> 00:59:59.906]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health,
