[00:00:18.715 --> 00:00:21.978]  Good evening, you're watching the InfoWars Nightly News.
[00:48:08.538 --> 00:48:13.462]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:48:13.943 --> 00:48:18.847]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:48:18.927 --> 00:48:20.068]  I think you're going to be blown away.
[00:48:20.228 --> 00:48:22.830]  And whatever you do, support the broadcast and get a bottle.
[00:48:22.970 --> 00:48:23.230]  Of course!
[00:48:45.811 --> 00:48:48.435]  You've got to have vitamin C. You've got to have iodine to live.
[00:48:48.455 --> 00:48:49.476]  You've got to have water to live.
[00:48:49.816 --> 00:48:50.517]  Iodine is key.
[00:48:50.557 --> 00:48:51.178]  You must have it.
[00:48:51.539 --> 00:48:59.089]  But consult your physician first before you get powerful survival shield nascent iodine X2 at Infowarslife.com or call toll free.
[00:48:59.109 --> 00:48:59.970]  We can answer your questions.
[00:48:59.990 --> 00:49:00.030]  888-253-3139.
[00:49:08.502 --> 00:49:09.703]  We can't tell you anything.
[00:49:09.783 --> 00:49:13.366]  All I can tell you is the FBI director has no credibility.
[00:49:13.606 --> 00:49:15.827]  The FBI director has no credibility.
[00:49:16.288 --> 00:49:17.369]  Well, there it is, folks.
[00:49:17.429 --> 00:49:21.452]  Maxine Waters telling you how James Comey has no credibility.
[00:49:22.112 --> 00:49:22.352]  Huh.
[00:49:22.452 --> 00:49:22.873]  It's funny.
[00:49:22.893 --> 00:49:25.835]  You'd think that she would agree with Trump with that notion.
[00:49:25.855 --> 00:49:26.555]  Hmm.
[00:49:26.976 --> 00:49:28.877]  Not quite the case, is it?
[00:49:29.357 --> 00:49:31.359]  Well, I'm sure you know what time it is.
[00:49:31.579 --> 00:49:32.800]  Go ahead and roll the first clip.
[00:49:33.686 --> 00:49:40.429]  But if you said that FBI Director James Comey had no credibility, wouldn't you support the fact that the President then, then counted Trump?
[00:49:40.449 --> 00:49:40.709]  No, no, no, no.
[00:49:40.769 --> 00:49:42.590]  Now President Trump made the decision to get rid of him?
[00:49:42.850 --> 00:49:44.411]  No, no, not necessarily.
[00:49:44.771 --> 00:49:52.635]  So Maxine Waters is now at the point in her career where she goes on MSNBC and gets schooled.
[00:49:53.855 --> 00:50:01.457]  MSNBC has been the darling for Maxine Waters, giving her a platform to spew her ridiculous, outrageous rhetoric whenever she wants.
[00:50:01.837 --> 00:50:04.358]  But now even the hosts have caught on.
[00:50:04.818 --> 00:50:07.258]  This woman is out of her mind.
[00:50:07.678 --> 00:50:17.721]  So when you have MSNBC calling you out on air, when you're on the same team as them, you know you really have a problem, Maxine.
[00:50:18.261 --> 00:50:18.881]  Roll the next clip.
[00:50:19.696 --> 00:50:23.339]  But you said he had no credibility, so it would seem to make sense that he should get rid of him.
[00:50:23.779 --> 00:50:24.840]  No, no, no, no.
[00:50:25.520 --> 00:50:31.664]  Under investigation, this president basically has interfered with.
[00:50:33.125 --> 00:50:37.408]  So here she is, babbling in denial like a complete fool.
[00:50:39.069 --> 00:50:40.731]  And this woman still has support.
[00:50:41.471 --> 00:50:43.913]  The millennials are somehow endeared by this woman.
[00:50:45.174 --> 00:50:47.896]  And she's really planning on running for office again.
[00:50:49.122 --> 00:50:49.622]  Shocking!
[00:50:50.542 --> 00:50:51.003]  Shocking!
[00:50:51.463 --> 00:50:53.463]  That is a crazed lunatic we just witnessed.
[00:50:53.503 --> 00:50:54.744]  A politician on television.
[00:50:54.804 --> 00:50:55.144]  Unbelievable.
[00:50:55.424 --> 00:50:57.984]  Can't even provide an answer to a simple question.
[00:50:58.265 --> 00:50:59.065]  Because how could she?
[00:50:59.365 --> 00:51:02.046]  She's stuck in her own double-think web of lies.
[00:51:02.506 --> 00:51:05.907]  Let's go to more of Maxine Waters being called out by MSNBC.
[00:51:06.447 --> 00:51:17.550]  To be clear, you believe it would have been better to keep in place an FBI director who you said had no credibility to oversee this investigation than to find someone who you think would be a better choice.
[00:51:18.070 --> 00:51:20.212]  No, but I believe the president thought that.
[00:51:20.912 --> 00:51:21.373]  Wow.
[00:51:22.414 --> 00:51:22.734]  Okay.
[00:51:23.194 --> 00:51:29.899]  I'm going to try to break this down for you folks, but it is getting really, really difficult to analyze the doublethink.
[00:51:30.039 --> 00:51:31.581]  It's getting that out of control.
[00:51:31.701 --> 00:51:32.762]  So just bear with me here.
[00:51:33.692 --> 00:51:54.157]  According to Maxine Waters, the president that just fired James Comey, according to Maxine Waters, Trump wants an incompetent FBI director in that he already fired, but Maxine doesn't want that, who's upset the FBI director she called incompetent was fired.
[00:51:55.457 --> 00:51:59.218]  I know that that makes no sense, but that's what Maxine Waters is saying.
[00:52:00.458 --> 00:52:02.279]  This is how insane this woman is.
[00:52:03.923 --> 00:52:08.847]  I mean, go ahead and rewind the video, you can try to understand what I just said for yourself, but that's it!
[00:52:09.888 --> 00:52:20.676]  Maxine Waters is upset that Trump fired the FBI director that she called was incompetent for the FBI investigation that she thinks is the most important.
[00:52:22.278 --> 00:52:23.759]  How do you wrap your mind around this woman?
[00:52:24.459 --> 00:52:25.660]  Let alone vote for her!
[00:52:26.601 --> 00:52:29.303]  I don't know, maybe, how do you wrap your mind around this woman?
[00:52:29.383 --> 00:52:31.625]  Hmm, maybe I should ask Maxine Waters' wig.
[00:52:31.645 --> 00:52:32.806]  Let's roll the next one.
[00:52:33.547 --> 00:52:38.489]  You have an investigation going on where the president is implicated.
[00:52:38.909 --> 00:52:40.870]  And this is a serious investigation.
[00:52:41.210 --> 00:52:46.772]  I've been trying to get people to focus on this connection with the Kremlin and with Putin.
[00:52:47.092 --> 00:52:51.334]  They have put the eye on this investigation, which I love.
[00:52:51.694 --> 00:52:58.897]  I love the fact that because they did this in the way that they did it, now more people are focused on this investigation.
[00:52:59.926 --> 00:53:09.689]  You know, it's a golden opportunity when you have a television interview where you can take the person saying one thing and then take them saying the exact opposite thing in the same interview.
[00:53:09.809 --> 00:53:10.429]  I love that.
[00:53:10.669 --> 00:53:12.670]  And with Maxine Waters, it seems to be commonplace.
[00:53:13.050 --> 00:53:14.491]  So, here she is.
[00:53:14.891 --> 00:53:15.811]  She's not happy.
[00:53:15.871 --> 00:53:16.571]  She's upset.
[00:53:16.831 --> 00:53:18.892]  She's trying to get more attention to the Russia thing.
[00:53:19.092 --> 00:53:21.273]  She wants more people to know about the Russia collusion with Trump.
[00:53:21.533 --> 00:53:22.233]  Look over here!
[00:53:22.493 --> 00:53:22.833]  Russia!
[00:53:22.893 --> 00:53:23.193]  Russia!
[00:53:23.233 --> 00:53:23.633]  Look at this!
[00:53:23.853 --> 00:53:25.314]  She's begging for people to look.
[00:53:26.192 --> 00:53:34.757]  But then in the same interview, where she's very upset with President Trump firing James Comey, she's happy that President Trump fired James Comey.
[00:53:35.098 --> 00:53:41.321]  No, not because they agree that he's incompetent, but because now she's happy that it's bringing attention to it.
[00:53:44.103 --> 00:53:53.389]  In the same interview, she complains there's not enough attention and that James Comey is fired, but now that she's, now that Comey's fired, she's happy there's attention on it.
[00:53:54.551 --> 00:53:55.652]  This is seriously amazing.
[00:53:55.892 --> 00:53:59.454]  But the truth is, everyday Americans are over this, Maxine.
[00:54:00.315 --> 00:54:01.315]  You just don't get it yet.
[00:54:01.655 --> 00:54:02.516]  Let's roll to the next one.
[00:54:03.136 --> 00:54:10.561]  Let everybody go at this investigation until we get to the facts and to the bottom line, which was their conclusion.
[00:54:10.841 --> 00:54:12.022]  I believe that there was.
[00:54:12.402 --> 00:54:17.465]  And nobody's asking, why is it Putin wanted this man to be president?
[00:54:17.806 --> 00:54:20.127]  Why is it he interfered with our election?
[00:54:20.407 --> 00:54:22.709]  Why is it he undermined our democracy?
[00:54:23.169 --> 00:54:24.911]  Those questions have to be answered.
[00:54:25.211 --> 00:54:26.352]  I think I know why.
[00:54:26.712 --> 00:54:34.218]  I think there's enough there that we know about the Kremlin and about Putin to be concerned about whether or not there was collusion.
[00:54:34.479 --> 00:54:40.744]  They should have to connect the dots and get the facts because I think it will lead to the impeachment of this president.
[00:54:41.260 --> 00:54:44.002]  And there it is, the nice conclusion for Maxine Waters.
[00:54:44.022 --> 00:54:45.944]  Alright, we're going to try to wrap our head around all that.
[00:54:46.004 --> 00:54:48.405]  Okay, first of all, who is stopping the investigation?
[00:54:49.326 --> 00:54:50.767]  Nobody is stopping this investigation!
[00:54:50.987 --> 00:54:52.368]  There's hearings every week!
[00:54:52.749 --> 00:54:53.269]  There's interviews!
[00:54:53.349 --> 00:54:54.090]  Everyone's talking about it!
[00:54:54.170 --> 00:54:56.351]  The investigation was ongoing!
[00:54:57.552 --> 00:54:59.053]  Comey was the one that did nothing!
[00:54:59.294 --> 00:55:01.495]  You'd think that you would be upset, Maxine, you called him incompetent.
[00:55:01.535 --> 00:55:03.777]  But, you know, she's sitting here, oh, Putin!
[00:55:04.057 --> 00:55:05.598]  Why would Putin undermine the election?
[00:55:05.638 --> 00:55:09.902]  A question still nobody can answer, even though she says she has it figured out, yet she can't answer that question.
[00:55:11.144 --> 00:55:15.654]  Remember Maxine, you were saying and the Democrats were saying it was James Comey that undermined the election.
[00:55:16.095 --> 00:55:17.157]  How soon we forget!
[00:55:17.678 --> 00:55:18.941]  How soon we forget!
[00:55:18.981 --> 00:55:21.286]  But again, no one is stopping the investigation.
[00:55:22.492 --> 00:55:26.494]  And nobody can answer the question, not because it's not being asked, but because there are no answers.
[00:55:27.094 --> 00:55:29.956]  And again, here she is saying, I know why.
[00:55:30.076 --> 00:55:30.836]  I know the collusion.
[00:55:30.896 --> 00:55:31.377]  We know it.
[00:55:31.657 --> 00:55:33.798]  And then she says, they have to connect the dots.
[00:55:33.818 --> 00:55:36.199]  Well, if you know everything, why don't you connect the dots?
[00:55:36.419 --> 00:55:38.641]  You've been in government for 35 years.
[00:55:39.701 --> 00:55:40.341]  35 years too many.
[00:55:40.381 --> 00:55:41.182]  Let's roll to the next one.
[00:55:42.566 --> 00:55:55.016]  If the president had not gone all over the country praising him about the way he handled Hillary and the emails, they're trying to blame Democrats now as part of the reason why they made this decision.
[00:55:55.616 --> 00:55:56.237]  I love this.
[00:55:56.297 --> 00:55:58.538]  First of all, she just has a complete fallacy.
[00:55:58.598 --> 00:56:00.940]  Just makes it just a dream of hers.
[00:56:01.321 --> 00:56:04.023]  Trump is going all around the country praising Comey.
[00:56:04.343 --> 00:56:05.584]  Please show me that footage.
[00:56:05.824 --> 00:56:06.705]  I would love to see that.
[00:56:07.085 --> 00:56:13.008]  I'm not saying that Trump didn't have moments where he said he agreed with Comey or got along with Comey, but going all around the country praising Comey?
[00:56:13.808 --> 00:56:17.490]  I think if anything it would be the opposite, but there's Maxine Waters' reality for you.
[00:56:17.771 --> 00:56:20.292]  And then she says that they're blaming Democrats.
[00:56:21.012 --> 00:56:35.600]  So by holding Maxine Waters and Chuck Sumer and Harry Reid and all the Democrats that said James Comey needs to resign, James Comey's incompetent, by holding them to their word, by holding them accountable to their word, that is now blaming them.
[00:56:36.536 --> 00:56:40.182]  So you are now blaming somebody if you hold them accountable to their word.
[00:56:40.662 --> 00:56:41.484]  Unbelievable.
[00:56:41.664 --> 00:56:44.628]  Let's roll to the final one from Maxine Waters, who's very confused.
[00:56:45.535 --> 00:56:45.895]  Understood.
[00:56:45.915 --> 00:56:51.937]  So if Hillary Clinton had won the White House, would you have recommended that she fire FBI Director James Comey?
[00:56:52.697 --> 00:56:53.937]  Well, let me tell you something.
[00:56:54.397 --> 00:57:03.039]  If she had won the White House, I believe that given what he did to her, and what he tried to do, she should have fired him.
[00:57:03.219 --> 00:57:03.480]  Yes.
[00:57:04.160 --> 00:57:06.620]  So she should have fired him, but he shouldn't have fired him.
[00:57:06.660 --> 00:57:07.801]  This is why I'm confused.
[00:57:07.881 --> 00:57:09.621]  No, you're not confused.
[00:57:09.661 --> 00:57:09.941]  No.
[00:57:10.221 --> 00:57:13.062]  If the President is implicated in an investigation...
[00:57:14.335 --> 00:57:17.636]  So again, the MSNBC anchor calling out Maxine Waters.
[00:57:17.997 --> 00:57:18.997]  And he's like, I'm confused.
[00:57:19.017 --> 00:57:20.218]  Your answers are making no sense.
[00:57:20.238 --> 00:57:21.098]  You're clearly out of your mind.
[00:57:21.138 --> 00:57:22.919]  And she's like, no, you're not confused.
[00:57:24.179 --> 00:57:24.459]  Oh, okay.
[00:57:24.479 --> 00:57:25.920]  You're just telling me my emotions now.
[00:57:26.160 --> 00:57:26.940]  But how do you like that?
[00:57:27.481 --> 00:57:32.523]  Hillary should have fired Trump, but, or Hillary should have fired Comey, but not Trump.
[00:57:33.583 --> 00:57:33.743]  Hmm.
[00:57:34.043 --> 00:57:34.404]  Okay.
[00:57:34.524 --> 00:57:36.585]  More double standards from Maxine Waters.
[00:57:36.705 --> 00:57:37.045]  Unbelievable.
[00:57:37.065 --> 00:57:39.686]  Now, Elizabeth Warren had to pipe in.
[00:57:40.186 --> 00:57:41.687]  Let's go to Elizabeth Warren now.
[00:57:42.836 --> 00:57:45.444]  We've had enough of the partisanship here.
[00:57:46.066 --> 00:57:49.116]  This is now something that matters to every single American.
[00:57:49.619 --> 00:57:50.119]  Don't you love that?
[00:57:50.139 --> 00:57:52.121]  First of all, again, most Americans are sick of this.
[00:57:52.321 --> 00:57:52.941]  They're over this.
[00:57:53.162 --> 00:57:54.843]  But she's complaining about partisanship.
[00:57:55.403 --> 00:58:00.066]  This Russian collusion thing with Trump is the most partisan issue you've ever seen in your life!
[00:58:00.587 --> 00:58:01.588]  This is a witch hunt!
[00:58:01.868 --> 00:58:03.669]  It is the Democrats that are non-partisan.
[00:58:03.889 --> 00:58:07.312]  Trump has proved, no matter what he does, the Democrats are against it.
[00:58:07.592 --> 00:58:08.472]  Trump cures cancer?
[00:58:08.653 --> 00:58:09.833]  Democrats are against it.
[00:58:10.034 --> 00:58:11.715]  Trump ends homelessness?
[00:58:11.795 --> 00:58:12.716]  Democrats are against it.
[00:58:12.996 --> 00:58:14.277]  They are the partisan party.
[00:58:14.297 --> 00:58:15.638]  Can you believe Elizabeth Warren?
[00:58:15.658 --> 00:58:16.118]  What a fraud.
[00:58:16.318 --> 00:58:17.399]  Final clip from Elizabeth Warren.
[00:58:17.850 --> 00:58:19.811]  We need a special prosecutor right now.
[00:58:20.251 --> 00:58:22.751]  We need an independent investigation.
[00:58:22.771 --> 00:58:23.912]  Because it's not happening already.
[00:58:23.932 --> 00:58:25.712]  And to balance this relationship to the Russians.
[00:58:25.732 --> 00:58:26.493]  It's not been going on for months.
[00:58:26.513 --> 00:58:28.753]  Investigation that all of us can believe in.
[00:58:29.013 --> 00:58:29.733]  So let's get it.
[00:58:29.853 --> 00:58:31.074]  We can all believe in it.
[00:58:31.174 --> 00:58:32.034]  Let's do it right now.
[00:58:32.054 --> 00:58:33.435]  Let's have an independent special prosecutor.
[00:58:33.455 --> 00:58:34.635]  It's ongoing, but let's have it.
[00:58:35.175 --> 00:58:41.437]  Someone who can pursue this all the way down and find out exactly what the relationship is.
[00:58:42.037 --> 00:58:43.057]  Which they all claim they know.
[00:58:43.077 --> 00:58:43.878]  And the Russians.
[00:58:43.898 --> 00:58:45.798]  They all claim they know, but they can't tell you what it is.
[00:58:45.858 --> 00:58:46.819]  So let's please do.
[00:58:47.059 --> 00:58:47.659]  Let's have that.
[00:58:47.899 --> 00:58:48.399]  Let's have that.
[00:58:48.439 --> 00:58:50.060]  Let's find out what it is, because guess what?
[00:58:50.100 --> 00:58:51.720]  You're not going to find anything.
[00:58:51.740 --> 00:58:54.521]  The investigation is ongoing, and you found nothing.
[00:58:54.782 --> 00:58:56.622]  Thanks for tuning in to the InfoWars Nightly News.
[00:58:56.682 --> 00:58:58.263]  Be sure to tune in tomorrow night, 7 p.m.
[00:58:58.283 --> 00:58:58.543]  Central.
[00:59:03.962 --> 00:59:11.046]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:59:11.426 --> 00:59:24.633]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:59:25.578 --> 00:59:36.813]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:59:37.474 --> 00:59:43.441]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:59:44.182 --> 00:59:52.573]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:59:53.233 --> 01:00:01.424]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
