[00:00:00.830 --> 00:00:12.742]  We've got to make sure that they know that we mean business.
[00:54:48.658 --> 00:55:03.489]  I'm not saying it's a good chance, but there's a chance that Macron is replaced by Marine Le Pen and Merkel, who's definitely going to be replaced by a German leader who is not at all hostile to Russia.
[00:55:03.809 --> 00:55:04.470]  We kind of wonder,
[00:55:04.915 --> 00:55:10.700]  What kind of a cultural influence then Russia means over Europe?
[00:55:10.720 --> 00:55:11.340]  We don't know.
[00:55:11.440 --> 00:55:13.362]  I mean, there's a long time to go before then.
[00:55:13.422 --> 00:55:17.705]  But, you know, you can see why people just think Russia's malign influence.
[00:55:18.125 --> 00:55:26.932]  No, but see, there's something that is never said, and you won't be allowed to say it, is that Russia has a cultural attraction.
[00:55:27.112 --> 00:55:27.693]  And they fear it.
[00:55:27.733 --> 00:55:28.293]  They fear it.
[00:55:30.600 --> 00:55:32.905]  Okay, because you can live a different way.
[00:55:32.925 --> 00:55:37.234]  I mean, there is no political correctness here at all, okay?
[00:55:37.715 --> 00:55:39.619]  And the society isn't falling apart.
[00:55:41.730 --> 00:55:42.190]  Precisely.
[00:55:42.390 --> 00:55:51.732]  Russia provides a counterexample to what the neoliberal, George Soros-inspired West of intellectual left would like the world to be.
[00:55:52.292 --> 00:55:58.694]  As Ann Coulter used to joke, one of the reasons why they hate Russia so much is they're still mad that Russia rejected communism and statism.
[00:55:59.094 --> 00:56:00.214]  But it goes beyond that.
[00:56:00.614 --> 00:56:03.435]  Basically, Putin is Russia's version of Trump.
[00:56:04.016 --> 00:56:06.057]  Someone who believes in national boundaries.
[00:56:06.438 --> 00:56:08.259]  Someone who believes in national sovereignty.
[00:56:08.639 --> 00:56:11.681]  Someone who tries to avoid war and conflict where possible.
[00:56:12.061 --> 00:56:16.384]  Someone who doesn't see the entire world as an empire to play games with.
[00:56:16.784 --> 00:56:20.727]  Someone who values who's one of the great defenders of the Christian faith in the modern world.
[00:56:21.107 --> 00:56:24.029]  Someone who's not going to be having men play in women's sports.
[00:56:24.609 --> 00:56:30.093]  Someone who's not going to engage in racialized politics for its own sake and its own purpose to divide his own country.
[00:56:30.655 --> 00:56:39.943]  Someone who has gone to great lengths to avoid that by relying upon national identity and someone who pushes back on the neoliberal order and provides a critical example to it.
[00:56:40.384 --> 00:56:43.847]  Someone who's pushed back against the state centralized bankers as well.
[00:56:44.387 --> 00:56:56.959]  And it is that combination of activities that makes him such a threat to the George Soros vision of the world, which so many of the administrative apparatchiks of the Biden administration are so eager to enforce on the world.
[00:56:57.503 --> 00:57:11.368]  And that is why they want to undermine Russia, sabotage Russia, cause unnecessary conflict with Russia, even if it entails a potential war throughout Europe, even if it entails a potential triggers a world war.
[00:57:11.828 --> 00:57:16.169]  I mean, just weeks ago, Joe Biden was going to send U.S.
[00:57:16.269 --> 00:57:23.492]  ships into the Black Sea to be right next to Russian ships in the middle of a conflict zone with Ukraine.
[00:57:24.053 --> 00:57:25.836]  Imagine how that could go wrong.
[00:57:26.237 --> 00:57:31.507]  Just go back and study your history of World War I and you can know how easily that could get out of hand.
[00:57:32.190 --> 00:57:38.214]  And this perspective is coming from both the left and the right, from those people who oppose unnecessary wars.
[00:57:38.634 --> 00:57:40.815]  It was the whole real reason for Russiagate.
[00:57:41.256 --> 00:57:56.805]  Half of it was to discredit Trump and Trumpism, drag his entire administration and his key allies and aides into unjustifiable criminal investigations while covering up the illicit and illegal spying that took place against President Trump, both during the campaign and while he was president.
[00:57:57.245 --> 00:58:16.646]  But it was also to prevent Trump from aligning with Russia to create a cultural detente, political detente, that could re-recommend conservative moral values, theories of nationalism, sovereignty, Christianity, core good ideals against the George Soros neoliberal order.
[00:58:17.066 --> 00:58:18.668]  And that is why they are so eager
[00:58:19.448 --> 00:58:25.511]  To be able to try to instigate another color revolution in Russia, which is what the Navalny matter is really about.
[00:58:25.831 --> 00:58:28.613]  He is not who the media would have you believe him to be.
[00:58:29.273 --> 00:58:45.221]  But it's also becoming incredibly precarious, because as we get closer and closer to a potential armed conflict, when this goes from just another Cold War into a potential hot war, then the safety and security of everybody around the world is at risk.
[00:58:45.734 --> 00:58:55.861]  When we come back, we'll take a look at some other clips from other experts as the world increasingly concludes that Sleepy Joe is asleep at the Switch and someone else might push it.
[00:58:58.623 --> 00:59:02.525]  Ladies and gentlemen, we're back here on the Alex Jones Show on this Sunday.
[00:59:02.625 --> 00:59:04.046]  Owen Schroer sitting in studio.
[00:59:05.167 --> 00:59:06.708]  Bob Barnes about to take back over.
[00:59:07.389 --> 00:59:10.110]  Really excited to host Sunday Night Live tonight.
[00:59:10.130 --> 00:59:12.032]  We're going to be taking your phone calls.
[00:59:12.112 --> 00:59:13.613]  I'm going to be answering your questions.
[00:59:14.810 --> 00:59:18.753]  Any observations you've had at the crisis at the southern border?
[00:59:18.793 --> 00:59:22.576]  There's a couple new updates that I'll be breaking there as well, talking about everything I experienced.
[00:59:22.616 --> 00:59:27.540]  And again, phone lines will be open with any questions or concerns or observations that you've made.
[00:59:28.020 --> 00:59:29.401]  What an incredible journey it was.
[00:59:31.687 --> 00:59:35.172]  I came in today after getting in, I guess, early this morning.
[00:59:35.713 --> 00:59:39.999]  Some of the rest of the crew arrived just a few hours ago.
[00:59:40.179 --> 00:59:40.780]  And guess what?
[00:59:40.940 --> 00:59:42.262]  We're all here working again.
[00:59:42.742 --> 00:59:44.585]  Some of the crew that was on the trip is in there working.
[00:59:44.785 --> 00:59:45.807]  I'm up here working.
[00:59:46.407 --> 00:59:48.310]  And the crew never gets a day off.
[00:59:49.031 --> 00:59:50.152]  That's our commitment.
[00:59:50.192 --> 00:59:51.793]  So we just ask that you help support us.
[00:59:51.853 --> 00:59:53.494]  Go to InfoWarsStore.com.
[00:59:53.534 --> 00:59:54.574]  Do your shopping with us.
[00:59:54.634 --> 00:59:56.015]  Get all the great supplements there.
[00:59:56.335 --> 00:59:57.896]  You're already probably taking supplements.
[00:59:57.916 --> 00:59:59.937]  You probably already got a bunch of supplements in your pantry.
[01:00:00.297 --> 01:00:04.540]  Why not shop with the good guys by getting your supplements at InfoWarsStore.com.
[01:00:05.340 --> 01:00:08.622]  Vitamin Mineral Fusion is one of my favorites.
[01:00:08.742 --> 01:00:10.483]  It's one of the crowd's favorites as well.
[01:00:10.583 --> 01:00:11.304]  Give it a try.
[01:00:11.924 --> 01:00:15.326]  Most people that try Vitamin Mineral Fusion never look back.
[01:00:16.698 --> 01:00:21.003]  Rocket Rest back in stock and 40% off and we still have the t-shirt deal.
[01:00:22.005 --> 01:00:32.448]  We're all InfoWars apparel and t-shirts are $17.76 on all t-shirts, including there's some new ones up there that we don't even really promote much.
[01:00:32.468 --> 01:00:35.548]  We just make them, put them up on the website, and hope you enjoy them.
[01:00:35.568 --> 01:00:35.548]  $17.76.
[01:00:35.788 --> 01:00:45.551]  Again, everything we do here at InfoWars is only possible with your support at InfoWarsStore.com, and of course, your word of mouth, telling your friends and family about the transmissions.
[01:00:45.891 --> 01:00:46.571]  Now's the time!
[01:00:47.930 --> 01:00:49.150]  Populism is in.
[01:00:49.811 --> 01:00:50.991]  Telling the truth is in.
[01:00:51.051 --> 01:00:53.111]  The mainstream media is completely discredited.
[01:00:53.151 --> 01:00:54.872]  Politicians are completely discredited.
[01:00:55.452 --> 01:00:57.733]  Infowars has never been more vindicated than ever.
[01:00:57.793 --> 01:00:59.713]  So now's the time to support.
[01:00:59.793 --> 01:01:01.354]  Now's the time to share.
[01:01:01.674 --> 01:01:13.257]  We go back to Bob Barnes breaking down how the Biden administration is causing a collapse of the third world and soon America that could result in World War III.
[01:01:13.317 --> 01:01:14.257]  Bob Barnes, take it away.
[01:01:17.179 --> 01:01:20.202]  For folks that like it, I like to use the InfoWars Tumblr.
[01:01:20.983 --> 01:01:31.153]  The reason is because I have it on for a wide range of media interviews, because for those people who want to pay attention, they can get it, and it doesn't necessarily cause any flags amongst the censors.
[01:01:31.853 --> 01:01:35.517]  And it keeps drinks very cold and keeps them warm, so it's one of my daily things.
[01:01:37.195 --> 01:01:46.241]  Increasingly, we're going to need to be ready to survive in a world where so many people have such itchy trigger fingers around the potential to trigger World War III.
[01:01:47.139 --> 01:01:55.866]  In this context, it has been particularly problematic that nobody in the world really knows who is actually governing the United States of America right now.
[01:01:56.226 --> 01:02:02.131]  That at times 1600 Pennsylvania Avenue appears to be absent, appears to be empty.
[01:02:02.591 --> 01:02:06.274]  That it's either tea time or nap time or party time for Sleepy Joe.
[01:02:07.055 --> 01:02:11.799]  And a recent breakdown of this was done from the show The Duran.
[01:02:12.461 --> 01:02:20.264]  Uh, which often covers international news and foreign policy, particularly from a deep state skeptical anti-war perspective.
[01:02:22.325 --> 01:02:27.707]  Let's take a look as they break down the problematic aspects of the Biden administration's foreign policy.
[01:02:32.810 --> 01:02:37.716]  Well, it looks like we're having some problems there with the connection of Bob Barnes.
[01:02:37.756 --> 01:02:41.541]  That's why I'm sitting here in studio in case we do have any of those problems.
[01:02:41.561 --> 01:02:43.063]  So we're going to get reconnected with him.
[01:02:44.445 --> 01:02:51.634]  You know, speaking of exactly that, what the Biden administration is up to right now.
[01:02:53.695 --> 01:03:16.372]  They're now having to admit, and I think this has a lot to do with our coverage, they're now having to admit that there is a crisis at the southern border because they gave no-bid contracts to their friends for hundreds of millions of dollars, and of course we've been down there as the media showing the crisis as it is, so now the Biden administration has finally had to come out and say that that's exactly what's going on.
[01:03:17.313 --> 01:03:27.488]  You also have the UN ambassador from Biden saying that the Founding Fathers are like the Chinese Communists and how they treat the Uyghurs.
[01:03:27.929 --> 01:03:33.477]  So, wow, they're admitting about the Chinese Communist treatment of the Muslims in the concentration camps.
[01:03:34.872 --> 01:03:46.141]  But comparing them to the founding fathers whose founding documents of this nation are just proving to be total works of genius at this point, total foresight with that.
[01:03:46.521 --> 01:03:49.844]  Of course, the Biden administration doesn't like the Bill of Rights.
[01:03:49.904 --> 01:03:52.385]  Joe Biden even said that the Bill of Rights
[01:03:53.206 --> 01:03:53.966]  Isn't permanent!
[01:03:54.026 --> 01:03:56.427]  There's nothing absolute about the amendments.
[01:03:56.787 --> 01:03:57.207]  Wow!
[01:03:57.467 --> 01:04:01.988]  Joe Biden, a president, saying that you don't have a Bill of Rights as an American citizen.
[01:04:02.008 --> 01:04:04.129]  That's kind of a red flag.
[01:04:04.189 --> 01:04:05.429]  That's kind of a big deal.
[01:04:05.469 --> 01:04:09.611]  That's kind of a panic time.
[01:04:10.651 --> 01:04:13.912]  And as Bob Barnes was just explaining, where is Joe?
[01:04:14.612 --> 01:04:15.572]  Seems to be AWOL.
[01:04:15.872 --> 01:04:17.653]  In fact, Devin Nunes
[01:04:18.746 --> 01:04:22.289]  Is asking that exact question in an interview on television.
[01:04:22.309 --> 01:04:24.090]  He's saying, where is the president?
[01:04:24.130 --> 01:04:25.051]  We never see him.
[01:04:25.111 --> 01:04:26.432]  We dealt with Trump every day.
[01:04:26.792 --> 01:04:28.893]  Half the time with Biden, we don't even hear anything.
[01:04:28.933 --> 01:04:29.634]  We have questions.
[01:04:29.694 --> 01:04:30.615]  Nothing gets answered.
[01:04:30.735 --> 01:04:31.615]  What is he doing?
[01:04:32.116 --> 01:04:34.918]  And then they claim, oh, Biden went and had a round of golf.
[01:04:35.834 --> 01:04:37.295]  I don't believe that for one second.
[01:04:37.635 --> 01:04:40.538]  Joe Biden couldn't complete nine holes of golf, let alone 18.
[01:04:41.338 --> 01:04:47.463]  And by the looks of the golf shoes that he was wearing, they haven't been worn in decades, okay?
[01:04:47.603 --> 01:04:53.248]  The spikes on Biden's golf shoes have not been used in decades, ladies and gentlemen.
[01:04:53.668 --> 01:04:53.969]  Okay?
[01:04:54.549 --> 01:04:55.009]  Decades.
[01:04:55.490 --> 01:04:58.372]  He's literally using decades-old spikes.
[01:04:58.792 --> 01:05:00.274]  I don't know anybody that wears those spikes still.
[01:05:01.454 --> 01:05:05.639]  And I've never seen anybody with golf shoes so clean.
[01:05:05.659 --> 01:05:10.385]  I've never seen golf shoes so clean after a round.
[01:05:11.266 --> 01:05:16.432]  But apparently if you're Biden, maybe for Biden that golfing just means riding around in the cart.
[01:05:16.812 --> 01:05:18.033]  Maybe that's what golfing means.
[01:05:18.093 --> 01:05:19.896]  So Joe Biden isn't even the president.
[01:05:20.796 --> 01:05:21.757]  But he pretends to be.
[01:05:21.797 --> 01:05:22.977]  He rides along.
[01:05:23.037 --> 01:05:24.518]  He's on the course.
[01:05:25.219 --> 01:05:26.159]  He's in the White House.
[01:05:26.199 --> 01:05:28.701]  So Joe Biden probably didn't actually hit any golf balls.
[01:05:29.461 --> 01:05:31.823]  Joe Biden probably didn't actually swing a golf club.
[01:05:32.503 --> 01:05:37.926]  But he put on the golf shoes, and he put on a polo, and he rode around in the golf cart, and the media said, look!
[01:05:38.447 --> 01:05:39.087]  Look at Joe!
[01:05:39.127 --> 01:05:40.068]  He can play golf!
[01:05:40.088 --> 01:05:41.168]  Look at him go out there!
[01:05:41.228 --> 01:05:42.109]  Way to go, Joe!
[01:05:42.809 --> 01:05:46.091]  Just like he's pretending to be the president.
[01:05:46.111 --> 01:05:47.012]  Yeah, there's the spikes.
[01:05:48.865 --> 01:05:52.727]  I'm telling you right now, I don't know anybody who still wears those spikes.
[01:05:53.168 --> 01:05:54.989]  I don't see them on the professional tour.
[01:05:55.089 --> 01:05:59.251]  I don't see them on the golf courses here in Texas.
[01:05:59.371 --> 01:06:01.272]  I don't see it when I go golfing with friends.
[01:06:01.512 --> 01:06:03.153]  I just don't see it.
[01:06:03.573 --> 01:06:05.114]  Oh, is that a nice photo shot there?
[01:06:05.174 --> 01:06:06.394]  Nice photo op for Joe?
[01:06:06.414 --> 01:06:09.896]  I wonder how many times he had to practice that lob shot.
[01:06:10.537 --> 01:06:14.139]  There's no way that he's actually playing golf on a steep ledge that deep.
[01:06:14.959 --> 01:06:16.620]  Give me a break.
[01:06:18.075 --> 01:06:20.757]  Show me the video of Biden driving a golf ball.
[01:06:23.699 --> 01:06:26.100]  If you've ever been to, you know, like the driving range.
[01:06:27.541 --> 01:06:31.144]  You know, there's always the individual out there that you can tell just they're just not gonna.
[01:06:32.230 --> 01:06:33.351]  Yeah, it's just not a good show.
[01:06:33.531 --> 01:06:34.351]  It's not good for them.
[01:06:35.031 --> 01:06:35.672]  Trying to play golf.
[01:06:35.712 --> 01:06:38.493]  That's probably how I imagine it would be with Biden.
[01:06:38.513 --> 01:06:40.194]  We've seen Trump strike a golf ball.
[01:06:40.214 --> 01:06:44.996]  It's an ugly, horrific swing, but he can get it up and down the course.
[01:06:45.757 --> 01:06:47.858]  So is that Joe riding along playing golf?
[01:06:50.159 --> 01:06:55.602]  As long as Biden is on the course, that counts as playing golf.
[01:06:57.242 --> 01:07:00.905]  As long as Biden is in the White House, that counts as being president.
[01:07:00.945 --> 01:07:02.886]  As long as the media says he won, he won.
[01:07:03.346 --> 01:07:13.293]  As long as the media says Joe Biden can ride a bike, and Joe Biden can run with his dogs, and Joe Biden can play a round of golf... Look at him, he can barely walk!
[01:07:14.354 --> 01:07:19.457]  He can barely... They're trying to tell you Biden played golf today!
[01:07:19.777 --> 01:07:21.719]  He can barely even walk, man!
[01:07:24.093 --> 01:07:25.234]  Now what door do I go to?
[01:07:25.315 --> 01:07:26.336]  Oh, that's not my vehicle.
[01:07:26.396 --> 01:07:34.426]  Sorry, I don't even know what vehicle I'm in, and I'm huffing my own carbon dioxide, so I'm a little confused out here.
[01:07:35.788 --> 01:07:37.150]  Joe Biden playing golf.
[01:07:37.190 --> 01:07:37.951]  Who buys that?
[01:07:48.419 --> 01:07:52.585]  Defending the Republic from enemies, foreign and domestic.
[01:07:53.286 --> 01:07:54.788]  It's Alex Jones.
[01:07:57.512 --> 01:07:59.534]  Welcome to the Sunday Alex Jones Show.
[01:07:59.615 --> 01:08:01.177]  I'm your guest host, Robert Barnes.
[01:08:01.849 --> 01:08:18.759]  We're discussing the issues of ranging from Mad Max and the media campaign to gaslight us about our own criminal justice process to Sleepy Joe's willingness and readiness to start a new war and maybe even trigger World War III by the chaotic carelessness of his administration.
[01:08:19.497 --> 01:08:32.408]  Let's take a look at a clip from a show called The Duran, which, like the gaggle that we referenced earlier, is often a useful and critical source for independent thinking and critical thinking about foreign policy.
[01:08:32.688 --> 01:08:34.490]  Let's take a look at video clip number two.
[01:08:35.726 --> 01:08:40.329]  There is no such thing, really, as a Biden-Harris administration.
[01:08:40.389 --> 01:08:45.673]  There are various factions fighting it out in Washington.
[01:08:46.093 --> 01:08:48.375]  There's a very powerful neocon faction.
[01:08:48.435 --> 01:08:49.355]  Who knows who they are?
[01:08:49.695 --> 01:08:50.896]  But, you know, we can guess.
[01:08:50.936 --> 01:08:52.157]  They're probably the CIA.
[01:08:52.197 --> 01:08:53.858]  They're probably in the State Department.
[01:08:54.238 --> 01:08:56.820]  Possibly Secretary Blinken is one of them.
[01:08:57.240 --> 01:08:58.922]  Certainly Victoria Nuland is.
[01:08:59.422 --> 01:09:05.306]  They want confrontation with Russia, just as they want confrontation with everyone everywhere.
[01:09:05.746 --> 01:09:08.008]  To the greatest extent they possibly can.
[01:09:08.528 --> 01:09:21.396]  And then there are other people more, shall we say, level-headed people like perhaps the new National Security Advisor Andrew Sullivan, perhaps the new CIA Director William Burns,
[01:09:21.916 --> 01:09:30.347]  Who was previously the US ambassador to Moscow and they're saying, well, hold on, we can't really go all the way.
[01:09:30.367 --> 01:09:36.014]  I mean, if we really get into a confrontation with the Russians, it could turn very bad indeed for us.
[01:09:36.575 --> 01:09:38.998]  Ukraine certainly would be destroyed.
[01:09:39.398 --> 01:09:42.079]  We would be utterly and completely humiliated.
[01:09:42.099 --> 01:09:46.021]  The sanctions weapon is to all effects exhausted.
[01:09:46.842 --> 01:09:50.324]  And what we need to do is concentrate on China anyway instead.
[01:09:50.744 --> 01:09:56.367]  So you're having these two different forces pulling in different directions.
[01:09:56.887 --> 01:09:59.668]  Sometimes Sleepy Joe goes with one.
[01:10:00.268 --> 01:10:02.670]  Sometimes Sleepy Joe goes with the other.
[01:10:03.050 --> 01:10:05.371]  He telephones Putin and talks peace.
[01:10:05.711 --> 01:10:06.992]  He signs executive
[01:10:07.312 --> 01:10:07.732]  All right.
[01:10:26.568 --> 01:10:41.387]  And what we have is a bureaucratic war in Washington which is wrecking whatever is left of relationships and which the Russians are deciding makes the United States, as they put it, agreement-incapable.
[01:10:42.020 --> 01:10:42.400]  Indeed.
[01:10:42.760 --> 01:10:49.804]  In other words, the United States is not considered reliable or even predictable in the current realm or in the current time.
[01:10:50.284 --> 01:10:52.405]  And that poses a risk to the rest of us.
[01:10:52.925 --> 01:11:05.451]  In the same context, it appears there's been another attempt at another quote-unquote color revolution, except it just failed abysmally, but that hasn't stopped the Biden administration from propagating it and trying to push it.
[01:11:06.091 --> 01:11:10.013]  As was detailed in an article in the Grayzone about Mr. Navalny.
[01:11:10.413 --> 01:11:15.376]  For those who don't know, Mr. Navalny has deep state ties that go back more than a decade.
[01:11:15.836 --> 01:11:24.601]  He's been propagated and promoted in the same way you had people held up as potential leaders of Georgia or potential leaders of Ukraine or potential leaders of
[01:11:25.401 --> 01:11:25.681]  Thank you.
[01:11:42.189 --> 01:11:48.371]  Indeed, Navalny is about as popular in Russia as Lyndon LaRouche is in the United States.
[01:11:48.691 --> 01:11:50.792]  In fact, LaRouche is probably more popular.
[01:11:51.152 --> 01:11:58.555]  He has been repeatedly convicted of multiple fraudulent crimes, like his buddy and other political propagandist, Bill Browder.
[01:11:59.190 --> 01:12:09.133]  So the fact that you're seeing the West make a big deal about Navalny should be a red flag, because it is not a sign of a legitimate, authentic opposition within Russia.
[01:12:09.473 --> 01:12:13.654]  He's someone that is a convicted criminal for fraud, for real fraud.
[01:12:14.154 --> 01:12:20.096]  He's someone who's engaged in very dangerous and perilous political proclivities throughout his decade-plus history.
[01:12:20.116 --> 01:12:23.437]  He is not who the West has tried to make him out to be.
[01:12:24.187 --> 01:12:36.710]  In the same context, we see that the other method of foreign policy oppression taking place is through the Chinese model of lockdowns that got exported under the guise of a pandemic.
[01:12:37.310 --> 01:12:39.351]  And increasingly, it is becoming relevant.
[01:12:39.451 --> 01:12:48.333]  Increasingly, it is becoming evident that this lockdown from the COVID-19 was the product of potentially even a deliberate
[01:12:49.155 --> 01:12:57.327]  But at least an accidental leak from a Chinese bioweapons factory that was in part funded and protected by Mr. Fauci himself.
[01:12:57.868 --> 01:12:59.871]  Let's take a look at video clip number 14.
[01:13:01.818 --> 01:13:04.460]  And I'm not arguing that this is conclusive.
[01:13:05.020 --> 01:13:12.945]  This is still a hypothesis, but I would argue that it is the preponderance of the evidence clearly now points to a lab leak.
[01:13:13.545 --> 01:13:17.087]  The evidence is of four different kinds.
[01:13:17.447 --> 01:13:28.074]  There is molecular evidence, that is to say the sequence of the genome of the virus suggests editing of a kind that we know was taking place at the
[01:13:31.581 --> 01:13:53.045]  There is phylogenetic evidence, that is to say, the group, the Sarbeco viruses to which SARS-CoV-2 belongs are known not to have fur and cleavage sites, and yet this fur and cleavage site shows up phylogenetically out of place in SARS-CoV-2.
[01:13:53.065 --> 01:13:57.086]  There is epidemiological evidence.
[01:13:57.246 --> 01:13:59.006]  We have a virus that did not
[01:13:59.694 --> 01:14:21.976]  Show any evidence of evolution early on it arrived in human beings perfectly adapted to spread at a high rate whereas we would have expected a period of evolutionary adaptation that we cannot find and then fourth and maybe most important there's a tremendous amount of circumstantial evidence surrounding the way the Wuhan Institute of Virology has
[01:14:23.966 --> 01:14:24.667]  We're good to go.
[01:14:44.147 --> 01:14:52.276]  We also have the case of them having renamed a sample in a way that contravenes scientific protocol.
[01:14:52.496 --> 01:14:56.321]  So RATG 13, which is the closest
[01:14:57.728 --> 01:15:00.069]  Relative of SARS-CoV-2.
[01:15:00.709 --> 01:15:05.731]  Turns out to have had a prior name in that laboratory, 4991.
[01:15:06.531 --> 01:15:08.012]  There's no reason to have renamed it.
[01:15:08.192 --> 01:15:11.933]  It effectively suggests the keeping of two sets of books.
[01:15:13.794 --> 01:15:21.137]  So in any case, all four types of evidence point towards a laboratory leak that is now being obscured.
[01:15:21.377 --> 01:15:21.537]  Right.
[01:15:22.085 --> 01:15:27.667]  So I fully admit I am wildly out of my depth on this topic, but I just want to offer.
[01:15:27.707 --> 01:15:38.291]  So one of the pieces of evidence that has been offered against the idea of a lab leak, this is from Science News and it's based on a report that was published in Nature Medicine.
[01:15:38.391 --> 01:15:47.254]  They say that this virus has components that differ from those of previously known viruses, so they had to come from an unknown virus or viruses in nature.
[01:15:47.614 --> 01:15:48.855]  And this is the quote from the study.
[01:15:49.235 --> 01:15:56.959]  Genetic data irrefutably show that SARS-CoV-2 is not derived from any previously used virus backbone.
[01:15:57.360 --> 01:16:04.523]  Meaning that, okay, if you're creating something in the lab, you're using an existing known virus and then you're modifying it.
[01:16:04.644 --> 01:16:09.346]  They're saying this is coming from nature because this isn't anything that we've ever dealt with before.
[01:16:09.486 --> 01:16:10.627]  What do you make of that piece?
[01:16:12.230 --> 01:16:20.478]  Well, you know, at some level we are now dealing with a kind of narrative theater surrounding this virus.
[01:16:20.818 --> 01:16:29.607]  That argument doesn't make any sense and nobody who is in this community could imagine that it does for the following reason.
[01:16:30.777 --> 01:16:41.746]  When we say that the virus may have been modified in the lab, we are not necessarily talking about edits where someone sits down to introduce a sequence.
[01:16:42.227 --> 01:16:43.428]  That is certainly possible.
[01:16:43.468 --> 01:16:44.609]  That is something that we do.
[01:16:45.329 --> 01:16:58.020]  But we are in general talking about a type of gain-of-function research that uses a process called serial passaging, in which we do things in the lab that we... We'll be right back after the break.
[01:17:13.493 --> 01:17:16.594]  Welcome to the Sunday Alex Jones Show.
[01:17:16.914 --> 01:17:18.534]  I'm your guest host, Robert Barnes.
[01:17:19.275 --> 01:17:23.196]  As we discussed, we're seeing media gaslighting at an extraordinary scale.
[01:17:23.775 --> 01:17:39.650]  Just as we saw that the Derek Chauvin trial and the death of George Floyd, we are being repeatedly and routinely gaslit by the media and by politicians and prosecutors alike into believing something that's not reflective of what's happening inside that courtroom.
[01:17:40.279 --> 01:18:00.559]  We also saw how the way in which the drumbeats of war being propagated by deep state actors who are using the chaotic presidential administration and the absent AWOL president of our derelict dementia candidate Joe Biden to help potentially trigger World War III and build a fake media narrative about what is happening and why.
[01:18:01.221 --> 01:18:20.810]  We also saw how Professor Brett Weinstein, a very left-leaning professor, you can research what happened to him at Evergreen College, but one of the top medical experts in the world, detailed how we have been gaslit and lied to about the source of COVID-19 and the role of a bioweapons lab.
[01:18:21.070 --> 01:18:22.911]  That's what use of function is all about.
[01:18:23.371 --> 01:18:27.473]  If you are a InfoWars audience member for any substantial time period,
[01:18:27.933 --> 01:18:35.197]  Then you know that it is something that Alex Jones has been talking about for more than a decade and had some of the top bioweapons experts in the world.
[01:18:35.237 --> 01:18:54.806]  The great danger these people present is that it is an invisible weapon, in the words of President Trump, that can be far more damaging and devastating, not only in the sense of what it can do to people biologically, but as we've seen, what it can do to the body republic of our constitutional liberties, which have been stripped from us
[01:18:55.266 --> 01:19:09.487]  In the same context, we can see a simple micro example of this in the media's collusion to try to propagate and promote the story of Hunter Biden.
[01:19:10.114 --> 01:19:15.279]  Indeed, Hunter Biden recently released a book which often looks just like laundered bribes.
[01:19:15.740 --> 01:19:26.911]  You see these people getting ridiculous sums of money to write a book and then you see the book sell nowhere near the amount that it needs to sell for in order to justify the millions of dollars that are being paid.
[01:19:27.292 --> 01:19:29.174]  They look like laundered bribes.
[01:19:30.336 --> 01:19:47.308]  In order for the media to propagate the mythology of Hunter Biden, they had to collude in propagating his new book and pitching his new book, and do so by having him interview in a controlled environment that would try to suppress his natural deceptive and dishonest manners.
[01:19:47.828 --> 01:19:59.957]  Well, a group of four human lie detectors, four of the best body language and statement analysts in the world, do analysis of this type every week on something called the Behavior Panel.
[01:20:00.532 --> 01:20:09.680]  They broke down the Hunter Biden interview and you can see the whole about two hour show available on YouTube and other locations at the Behavior Panel.
[01:20:10.140 --> 01:20:12.402]  But let's just take a look at their summation.
[01:20:12.822 --> 01:20:21.850]  Their summation, which these are not political people, they don't have a political bone in their bodies as it relates to this matter, they're just doing their human body language test.
[01:20:22.390 --> 01:20:27.532]  What's their conclusion about the credibility of Hunter Biden and the media gaslighting?
[01:20:27.932 --> 01:20:29.972]  Let's take a look at video clip number 16.
[01:20:32.093 --> 01:20:38.715]  As far as we're talking about him being for a percentage, being deceptive or being truthful.
[01:20:39.075 --> 01:20:39.935]  Greg, you want to go first?
[01:20:40.615 --> 01:20:42.076]  Yeah, I'm not going to give you a percentage.
[01:20:42.116 --> 01:20:46.537]  I'm going to say he avoids truth at many, many, many opportunities.
[01:20:46.637 --> 01:20:47.878]  He always goes to the high ground.
[01:20:47.918 --> 01:20:48.818]  He Eddie Haskell's.
[01:20:50.106 --> 01:20:50.767]  I don't think so.
[01:21:13.568 --> 01:21:20.012]  I don't believe he is trustworthy because there's so much deviation between what's normal and what he's doing.
[01:21:20.252 --> 01:21:20.572]  That's me.
[01:21:21.173 --> 01:21:22.033]  Chase, what do you got?
[01:21:22.834 --> 01:21:24.154]  Yeah, again, this isn't politics.
[01:21:24.234 --> 01:21:24.895]  This is a human.
[01:21:26.216 --> 01:21:30.378]  But what we're looking at is a human, not a Republican or a Democrat.
[01:21:30.458 --> 01:21:31.599]  We do that with everything.
[01:21:32.842 --> 01:21:38.609]  And if we are biased, we'll be the first to tell you if we have some kind of vested interest in something.
[01:21:39.030 --> 01:21:44.356]  This was mostly dishonest, slightly deceptive, and hardly truthful.
[01:21:45.357 --> 01:21:45.517]  Mark?
[01:21:47.611 --> 01:21:47.691]  Yeah.
[01:21:47.851 --> 01:21:56.415]  So I know, you know, some of you watching out there, you'll feel like you've got a horse in this race because of the relationship with his father.
