[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[01:28:04.934 --> 01:28:07.436]  The way you control a prison is putting people in racial groups.
[01:28:07.677 --> 01:28:10.200]  They're turning us into a prison planet.
[01:28:10.720 --> 01:28:24.235]  I'll tell you what, the GOP supported me and not only did they support me, they supported my campaign while Democrats were telling people that I was a racist and that I was a white supremacist and my message was that I wanted black Americans to give life to their children.
[01:28:24.515 --> 01:28:26.998]  I wanted us to make sure that our men become men.
[01:28:27.018 --> 01:28:31.262]  So the white supremacist doesn't want to kill black people and wants men to be men.
[01:28:31.282 --> 01:28:31.843]  How dare you?
[01:28:32.123 --> 01:28:32.644]  You're so evil.
[01:28:33.064 --> 01:28:33.464]  Absolutely.
[01:28:33.484 --> 01:28:35.605]  So here's Dick Durbin, race-pimp globalist.
[01:28:36.105 --> 01:28:39.867]  Here he is saying, again, we're going to get rid of the white people, this is a good thing.
[01:28:39.887 --> 01:28:45.229]  Which again is going to make white people then see black people as the enemy when it's these people manipulating us against each other.
[01:28:45.469 --> 01:28:45.889]  Here it is.
[01:28:47.510 --> 01:28:56.173]  In response to the minority leader's statement about the changes in voting laws across America, the record speaks for itself.
[01:28:57.608 --> 01:28:59.029]  I believe the number is 17.
[01:28:59.069 --> 01:29:10.818]  17 states, controlled by the Republicans in the legislature, which you've set out to specifically limit previous opportunities under law to vote.
[01:29:12.139 --> 01:29:12.719]  Coincidence?
[01:29:13.600 --> 01:29:15.461]  That 17 states would do these things?
[01:29:16.702 --> 01:29:17.302]  I don't think so.
[01:29:18.363 --> 01:29:19.404]  I think it's by design.
[01:29:20.618 --> 01:29:27.662]  That's why the Senate Rules Committee was in Georgia today, to talk specifically about the measures that they took after the last election.
[01:29:27.702 --> 01:29:29.603]  Let's stop right there because this is a longer clip.
[01:29:29.763 --> 01:29:32.465]  I guess I'd mentioned I wanted to cut this down to just him saying that.
[01:29:32.745 --> 01:29:33.746]  So let's try to do that right now.
[01:29:33.766 --> 01:29:35.727]  I want to come back in the next segment and play that.
[01:29:35.747 --> 01:29:39.369]  But again, all the facts are record numbers of quote minorities are voting Republican.
[01:29:39.709 --> 01:29:40.970]  That's why the Democrats are so panicked.
[01:29:40.990 --> 01:29:42.691]  I'm going to give you a chance to respond to that.
[01:29:42.711 --> 01:29:44.672]  We'll give you a 20 minute break after that.
[01:29:44.792 --> 01:29:46.273]  And then you're going to come back and you're going to host
[01:29:46.993 --> 01:29:50.935]  I'll be back sometime once the war room starts because there's a lot to cover and I've got some huge news.
[01:29:50.955 --> 01:29:51.815]  Separately, I barely plugged today.
[01:29:51.835 --> 01:29:53.996]  We won't be here on air unless you support us.
[01:30:06.533 --> 01:30:18.178]  We've got new Save the Frogs, Infowars.com, coffee mugs for $9.95, get a second one for $4.95, and these mugs cost us like four bucks to make, so we've got to sell a lot of those to fund this operation.
[01:30:18.578 --> 01:30:21.499]  We also have X2 Deep Earth Crystal Iodine in the
[01:30:22.179 --> 01:30:25.623]  Spray bottle, the sale ends today because it's about to sell out.
[01:30:25.643 --> 01:30:26.824]  It will sell out by the end of the day.
[01:30:27.485 --> 01:30:29.888]  It's 60% off and we have the dropper bottle, same iodine.
[01:30:30.228 --> 01:30:31.630]  So good for your body, the missing link.
[01:30:31.650 --> 01:30:37.416]  I'm talking about for manliness or feminists, they hit us with fluoride that's the opposite of the iodine.
[01:30:37.716 --> 01:30:39.198]  We've got it for 40% off as well.
[01:30:39.438 --> 01:30:40.840]  That sale's going to end soon, it's selling out.
[01:30:41.764 --> 01:30:51.666]  Alright, here's Dick Durbin saying all politics is racial and Republicans are white supremacists basically and so they're going to be out of power because they're only for white people.
[01:30:51.726 --> 01:30:56.046]  Imagine announcing this party can't be for anybody but white people.
[01:30:56.487 --> 01:30:58.587]  I mean the Republicans have to call this out.
[01:30:58.627 --> 01:31:00.607]  The Democrats are nasty little monsters.
[01:31:00.887 --> 01:31:01.347]  Here he is.
[01:31:02.668 --> 01:31:10.309]  And yet the Republicans, when in control of state legislatures, are by design trying to make it more difficult for some people to vote.
[01:31:10.429 --> 01:31:10.729]  Why?
[01:31:11.954 --> 01:31:13.174]  The answer is very simple.
[01:31:14.135 --> 01:31:17.716]  The demographics of America are not on the side of the Republican Party.
[01:31:18.936 --> 01:31:27.779]  The new voters in this country are moving away from them, away from Donald Trump, away from their party creed that they preach.
[01:31:29.299 --> 01:31:33.841]  And instead they're moving to be independents or to even vote on the other side.
[01:31:35.745 --> 01:31:43.974]  To argue and fight against that, the Republicans in legislative settings are reducing and restricting the opportunity to vote.
[01:31:44.855 --> 01:31:45.816]  That's what it's all about.
[01:31:47.057 --> 01:31:51.022]  The Senator from Kentucky attributes it to hysteria.
[01:31:51.722 --> 01:31:52.223]  It is not.
[01:31:52.884 --> 01:31:55.647]  It is a genuine concern over whether in this country
[01:31:56.889 --> 01:32:02.392]  Where democracy is our creed and our goal in every election.
[01:32:03.272 --> 01:32:10.236]  We have the most participation, fair participation, by eligible voters that we've ever had and we continue to build on that.
[01:32:11.710 --> 01:32:17.336]  So he's saying demographically, Republicans are doomed, but the numbers showed with Trump, record numbers of minorities voting for him.
[01:32:17.576 --> 01:32:18.257]  So that's not true.
[01:32:18.277 --> 01:32:18.978]  What do you make of this?
[01:32:19.238 --> 01:32:22.541]  I think this whole thing about this voting bill is just a bunch of crap.
[01:32:22.581 --> 01:32:26.685]  I mean, they're saying, hey, black people aren't going to be able to vote because they don't have ID.
[01:32:26.806 --> 01:32:27.646]  Um, excuse me.
[01:32:27.687 --> 01:32:29.689]  We have ID when we go to the liquor store.
[01:32:29.749 --> 01:32:32.852]  We have ID when we're in line at the club on the weekends.
[01:32:33.072 --> 01:32:39.054]  We also have ID when they ask us to show our ID when we're making a purchase with our debit cards.
[01:32:39.274 --> 01:32:52.478]  The fact that some of these people are saying that we don't know how to get on the internet, we don't know how to fill out an application, we don't know how to fill out an absentee vote because no one said that you can't still vote if there's an issue with you standing in line.
[01:32:52.918 --> 01:32:54.979]  All they're saying is show your ID.
[01:32:55.379 --> 01:32:58.340]  This is about election integrity.
[01:32:58.980 --> 01:33:03.163]  Every citizen in America should be required to show identification.
[01:33:03.463 --> 01:33:06.485]  We want to know who these people are in case there's some sort of a crime.
[01:33:06.785 --> 01:33:08.586]  When I look at this man, you know what I see?
[01:33:08.947 --> 01:33:13.550]  I see somebody that's lying straight through their teeth because I'm not listening to him.
[01:33:14.250 --> 01:33:22.056]  I thought that he's also the same man that would not only vote for my children to be aborted, he would also vote to pay for it.
[01:33:22.416 --> 01:33:24.197]  You're not my friend, you're an enemy.
[01:33:24.517 --> 01:33:30.401]  You want to fund illegals coming across the border, but give us a message that we need to transition and abort our children.
[01:33:30.742 --> 01:33:33.303]  The devil is a lie, and the Democrats are too.
[01:33:33.624 --> 01:33:34.384]  Wow, beautifully said.
[01:33:34.404 --> 01:33:42.510]  I mean, they literally say, like if aliens landed and say, do not have any more children and cut your men's testicles off, you'd be like, well, you're here to exterminate us.
[01:33:43.090 --> 01:33:43.650]  I love you!
[01:33:43.670 --> 01:33:44.551]  I love you!
[01:33:44.611 --> 01:33:47.493]  And all the corporate, you notice all the corporate pitchmen are black people now?
[01:33:47.773 --> 01:33:51.875]  That's not to help black people, it's the globalists hiding themselves behind a black face.
[01:33:52.635 --> 01:33:58.399]  That's exactly what it is, and this all points to one thing again, like we said, this is a depopulation agenda.
[01:33:59.099 --> 01:34:02.522]  Um, and there are some people behind it and they don't have your best interest at heart.
[01:34:02.942 --> 01:34:06.926]  One thing that we have to do is begin to vote for policy and not people.
[01:34:07.046 --> 01:34:09.688]  They want to try to paint Donald Trump as the bad guy.
[01:34:09.748 --> 01:34:12.630]  They want to paint him as the face of the Republican Party.
[01:34:12.991 --> 01:34:17.414]  No, Donald Trump is a face of those people that want to be free, that don't want to be censored.
[01:34:17.654 --> 01:34:26.462]  They want to have the right to practice their faith, their religion, and also the people that have enough sense to know the difference between a man and a woman.
[01:34:27.455 --> 01:34:28.295]  Beautifully said.
[01:34:28.856 --> 01:34:31.077]  I'm going to come back and cover a bunch of news I haven't hit yet.
[01:34:31.097 --> 01:34:37.100]  You're going to get about a 20-minute, 25-minute break, and then you're going to host two segments, and I really appreciate you doing that.
[01:34:37.220 --> 01:34:44.204]  And then, of course, then Paul Watson will host the fourth hour with a lot with the announcement of the COVID martial law over there.
[01:34:44.584 --> 01:34:46.165]  And then, of course, Owen Shroyer, 3 p.m.
[01:34:46.185 --> 01:34:47.605]  Central with The War Room.
[01:34:47.665 --> 01:34:49.006]  Very, very impressed.
[01:34:49.566 --> 01:34:50.447]  The website is
[01:34:51.187 --> 01:34:56.170]  AngelaStantonEPK.com and she's got her new book out in 20 seconds.
[01:34:56.210 --> 01:34:57.790]  What are you going to cover in the last half hour?
[01:34:58.331 --> 01:35:02.092]  Oh, we're going to talk some more about this Equality Act that was signed by Joe Biden.
[01:35:02.112 --> 01:35:07.315]  We're going to get a little bit into Trump's censorship lawsuit that he put up against Big Tech.
[01:35:07.555 --> 01:35:14.138]  And we're going to get into what we can do, right, while we're in this battle to protect our children against this satanic agenda.
[01:35:14.579 --> 01:35:15.939]  A Born Talk Show host!
[01:35:15.999 --> 01:35:17.100]  My goodness, we'll be back.
[01:35:17.836 --> 01:35:19.538]  The Alex Jones Show.
[01:35:19.718 --> 01:35:21.719]  There is a war on for your mind.
[01:35:22.020 --> 01:35:25.142]  I mean, I'm not even worthy to be bringing you information this powerful.
[01:35:25.763 --> 01:35:29.226]  And I hope that you pay attention to what we cover here, minute by minute.
[01:35:30.627 --> 01:35:33.410]  Because I've had chills since last night.
[01:35:34.891 --> 01:35:37.653]  This just confirms everything else we've already researched.
[01:35:39.910 --> 01:35:50.836]  A Rockefeller study envisions future dictatorship controlled by elite, millions being killed, mandatory quarantines, checkpoints, the end of the family, everything that's in the other documents.
[01:35:50.896 --> 01:35:56.940]  But this dovetails with all the other Rockefeller Foundation documents about the GMO food to sterilize you and the forced vaccines.
[01:35:57.660 --> 01:36:03.523]  The hell we're already living in that's just going to continue to intensify until we take our governments back from these eugenics madmen.
[01:36:03.703 --> 01:36:06.244]  But that story is up on PrisonPlanet.com.
[01:36:06.444 --> 01:36:09.725]  The question is, will you have the courage to really do the research yourself?
[01:36:09.785 --> 01:36:12.967]  Because I don't want you to just sit here and hear me make these claims.
[01:36:13.727 --> 01:36:25.190]  These people are so arrogant that they write policy papers, so many of them, that they're producing these policy papers and reports and white papers so fast that you could never read them all.
[01:36:25.591 --> 01:36:28.551]  It is an open conspiracy against you and your family.
[01:36:28.992 --> 01:36:33.513]  I pray to God, I pray to my Heavenly Father Jesus Christ every night to give me the strength
[01:36:34.333 --> 01:36:36.074]  And the will to be able to face this harm.
[01:36:36.795 --> 01:36:38.356]  And to give me the strength to carry on.
[01:36:38.396 --> 01:36:45.941]  Because I know why a lot of you don't want to look at this information and just want to comment on the YouTube videos or on message boards that I'm a liar.
[01:36:47.882 --> 01:36:48.842]  I know why.
[01:36:48.882 --> 01:36:49.943]  Because it's scary.
[01:36:54.446 --> 01:36:56.367]  You're not going to be able to go to the ball games anymore.
[01:36:58.809 --> 01:37:01.130]  You're not going to be able to just go out and get drunk with your friends.
[01:37:01.150 --> 01:37:02.111]  You're not going to be able to just
[01:37:03.646 --> 01:37:05.667]  You know, go out and enjoy yourself all the time.
[01:37:06.847 --> 01:37:30.016]  The only chance we've got of beating this scientific dictatorship, this creeping death that takes its time to incrementally enslave you, mentally, psychologically, physically, spiritually, the only way to defeat it is for the rank and file of this planet to realize that you have a choice to make on what your destiny is going to be.
[01:37:31.651 --> 01:37:36.735]  Once you face this information, once you've consciously admitted it to yourself, it will take over your life.
[01:37:37.135 --> 01:37:38.496]  It should take over your life.
[01:37:39.257 --> 01:37:40.077]  I mean, what else?
[01:37:40.678 --> 01:37:41.598]  What else could it do?
[01:37:43.940 --> 01:37:54.248]  We've got to get past the artificial stigma that the controlled corporate media has been putting out for decades, ahead of their open... of unveiling of planetary dictatorship.
[01:37:55.990 --> 01:37:59.335]  They all talk about how we need a police state to carry this out.
[01:37:59.415 --> 01:38:07.186]  Canada and the United States are going to work in lockstep to display the seriousness of our commitment at both home and abroad.
[01:38:07.406 --> 01:38:10.010]  Win, lose, or draw, you need to choose a side.
[01:38:12.282 --> 01:38:15.044]  InfoWars, tomorrow's news today.
[01:38:15.724 --> 01:38:25.049]  The globalists have said in their white papers, in their own UN documents, that they want to create race-specific bioweapons and other systems to depopulate the planet.
[01:38:25.229 --> 01:38:28.511]  A lot of this, from my sources, is that they're preparing to release
[01:38:28.911 --> 01:38:39.095]  Bioweapons claim that they're naturally occurring, and then use that as the cover for civil emergencies, societal control, crackdowns on free speech.
[01:38:39.335 --> 01:38:47.557]  Obama put the internet kill switch in five years ago, and when he got confronted by Congress, he said, well, it's in case the bird flu or SARS gets out.
[01:38:47.878 --> 01:38:48.538]  Just type that in.
[01:38:49.318 --> 01:38:57.605]  CDC says internet kill switch is in case bird flu or SARS breaks out, and they have to control panic and direct every website in the U.S.
[01:38:57.945 --> 01:38:59.386]  to one government announcement.
[01:38:59.446 --> 01:39:08.334]  And we looked at every angle and believe a bioweapon release could be the thing they'd release to bring in a world government to counter a global problem, and the U.N.
[01:39:08.374 --> 01:39:13.058]  has said that a global pandemic is the only thing that may save their world government.
[01:39:13.298 --> 01:39:15.059]  InfoWars, tomorrow's news.
[01:39:15.940 --> 01:39:16.620]  Dr. Fauci,
[01:39:17.489 --> 01:39:23.355]  We don't know whether the pandemic started in a lab in Wuhan or evolved naturally, but we should want to know.
[01:39:24.055 --> 01:39:28.680]  Three million people have died from this pandemic, and that should cause us to explore all possibilities.
[01:39:29.481 --> 01:39:36.107]  Instead, government authorities, self-interested in continuing gain-of-function research, say there's nothing to see here.
[01:39:37.108 --> 01:39:43.231]  Gain-of-function research, as you know, is juicing up naturally occurring animal viruses to infect humans.
[01:39:44.091 --> 01:39:46.012]  To arrive at the truth, the U.S.
[01:39:46.052 --> 01:39:53.296]  government should admit that the Wuhan Virology Institute was experimenting to enhance the coronavirus' ability to infect humans.
[01:39:54.136 --> 01:39:56.677]  Juicing up super viruses is not new.
[01:39:57.237 --> 01:39:58.237]  Scientists in the U.S.
[01:39:58.257 --> 01:40:01.358]  have long known how to mutate animal viruses to infect humans.
[01:40:02.018 --> 01:40:14.822]  For years, Dr. Ralph Barak, a virologist in the U.S., has been collaborating with Dr. Shi Zhengli of the Wuhan Virology Institute, sharing his discoveries about how to create super viruses.
[01:40:15.282 --> 01:40:18.963]  This gain-of-function research has been funded by the NIH.
[01:40:19.703 --> 01:40:21.364]  The collaboration between the U.S.
[01:40:22.464 --> 01:40:24.747]  And the Wuhan Virology Institute continues.
[01:40:25.487 --> 01:40:39.162]  Doctors Barak and Shi work together to insert bat virus spike protein into the backbone of the deadly SARS virus and then use this man-made super virus to infect human airway cells.
[01:40:40.103 --> 01:40:41.704]  Think about that for a moment.
[01:40:42.084 --> 01:40:45.365]  The SARS virus had a 15% mortality.
[01:40:45.685 --> 01:40:49.547]  We're fighting a pandemic that has about a 1% mortality.
[01:40:49.587 --> 01:40:59.431]  Can you imagine if a SARS virus that's been juiced up and had viral proteins added to it, to the spike protein, if that were released accidentally?
[01:41:00.591 --> 01:41:06.194]  Dr. Fauci, do you still support funding of the NIH funding of the lab in Wuhan?
[01:41:07.463 --> 01:41:25.266]  Senator Paul, with all due respect, you are entirely and completely incorrect that the NIH has not ever and does not now fund gain-of-function research in the Wuhan Institute of Virology.
[01:41:26.485 --> 01:41:30.488]  We do not fund gain... Do you fund Dr. Barrett's gain-of-function research?
[01:41:31.188 --> 01:41:41.135]  Dr. Barrett does not doing gain-of-function research, and if it is, it's according to the guidelines and it is being conducted in North Carolina, not in China.
[01:41:41.155 --> 01:41:47.779]  You don't think inserting a bat virus spike protein that he got from the Wuhan Institute into the SARS virus is gain-of-function?
[01:41:47.959 --> 01:41:56.205]  That is not... You would be in the minority because at least 200 scientists have signed a statement from the Cambridge Working Group saying that it is gain-of-function.
[01:41:56.605 --> 01:41:57.525]  Well, it is not.
[01:41:57.785 --> 01:42:07.109]  And if you look at the grant, and you look at the progress reports, it has not gained a function, despite the fact that people tweet that.
[01:42:07.529 --> 01:42:11.150]  So do you still support sending money to the Wuhan Virology Institute?
[01:42:11.410 --> 01:42:13.331]  We do not send money now to Wuhan.
[01:42:14.011 --> 01:42:15.492]  Do you support sending money?
[01:42:15.552 --> 01:42:17.072]  We did, under your tutelage.
[01:42:17.112 --> 01:42:18.913]  We were sending it through EcoHealth.
[01:42:18.993 --> 01:42:21.294]  It was a sub-agency and a sub-grant.
[01:42:21.634 --> 01:42:25.616]  Do you support the money from NIH that was going to the Wuhan Institute?
[01:42:25.796 --> 01:42:28.096]  Let me explain to you why that was done.
[01:42:30.379 --> 01:42:35.721]  The SARS-CoV-1 originated in bats in China.
[01:42:36.461 --> 01:42:47.265]  It would have been irresponsible of us if we did not investigate the bat viruses and the serology to see who might have been infected in China.
[01:42:47.285 --> 01:42:56.889]  Or perhaps it would be irresponsible to send it to the Chinese government that we may not be able to trust with this knowledge and with this incredibly dangerous viruses.
[01:42:57.509 --> 01:43:03.494]  Government scientists like yourself who favor gain-of-function research, I don't think... Thank you so much for joining us again here today.
[01:43:04.235 --> 01:43:11.901]  The reason I replayed this from May, and we've got another article about it today, is Fauci's back out making denials in the press that they ever fund a gain-of-function.
[01:43:12.342 --> 01:43:15.764]  They called it the gain-of-function research grant.
[01:43:17.706 --> 01:43:20.448]  And the reason I wanted to play that is what we're going to cover when we come back.
[01:43:22.711 --> 01:43:26.834]  When I say I've over-prepared for something, that's not a joke.
[01:43:26.875 --> 01:43:29.697]  The media always picks that up and goes, oh, Jones couldn't cover it.
[01:43:29.737 --> 01:43:30.498]  He was over-prepared.
[01:43:31.258 --> 01:43:35.081]  Yeah, like, I've got too much to cover here in the 10 minutes I've got left before I gotta go.
[01:43:35.462 --> 01:43:37.343]  And then our amazing guest host is gonna take over.
[01:43:37.904 --> 01:43:39.185]  That lady's energy is just incredible.
[01:43:46.011 --> 01:43:49.774]  Fauci is all over TV, and now everyone is regurgitating the line.
[01:43:51.249 --> 01:43:56.231]  That 99% of the deaths of COVID are from people unvaccinated.
[01:43:57.012 --> 01:44:01.734]  You can spend 30 seconds and go to the US government's own numbers and that's completely false.
[01:44:02.254 --> 01:44:07.176]  And in fact, almost 50% of the new COVID deaths are in the vaccinated.
[01:44:07.536 --> 01:44:11.538]  I have the damn documents and articles right here!
[01:44:13.059 --> 01:44:19.942]  But I've got Fox and CNN and all of them like demonic parrots repeating the same lie over and over again.
[01:44:21.960 --> 01:44:26.023]  So if I just show you these headlines and talk about this, it doesn't really do anything.
[01:44:26.043 --> 01:44:30.667]  We need to do special reports, special shows, emergency broadcasts, I don't know what we're going to call this.
[01:44:33.950 --> 01:44:34.710]  And I love this crew.
[01:44:34.910 --> 01:44:35.631]  They do a great job.
[01:44:35.791 --> 01:44:45.279]  I've tried to hire more people so I can go live, even more than just my show, but I'm going to talk to the crew and see who wants to come here tonight and do a live show about this, because we've got to do a whole show on this.
[01:44:46.360 --> 01:44:48.882]  Let me tell you, I'm impressed with Angela Stanton King.
[01:44:49.773 --> 01:44:51.614]  She made me feel like five years younger just being in here.
[01:44:51.634 --> 01:44:53.536]  I don't know what's going on with that lady, but she's got some energy.
[01:44:54.917 --> 01:45:00.141]  And she's gonna be hosting the next two segments, and I'm inviting her back in the next month to come here and spend three, four days with all the shows.
[01:45:00.721 --> 01:45:01.502]  Her amazing work.
[01:45:01.602 --> 01:45:02.843]  She's gonna be hosting the next two segments.
[01:45:02.903 --> 01:45:04.404]  I got a doctor's appointment I had to reschedule.
[01:45:04.824 --> 01:45:14.191]  But I'm coming back at three o'clock today, and I'm gonna tape a special emergency report with all this research I've got that is gonna air at six o'clock tonight.
[01:45:15.034 --> 01:45:16.740]  When Owen Schroyer goes off the air.
[01:45:16.760 --> 01:45:18.265]  I don't know if I'm streaming over the satellites.
[01:45:18.726 --> 01:45:19.509]  I may do that too.
[01:45:20.091 --> 01:45:22.017]  Or I may just post it to BandOffVideo, but...
[01:45:25.669 --> 01:45:31.273]  Fauci is all over TV saying 99% of people dying haven't had the vaccine.
[01:45:31.353 --> 01:45:32.253]  And I've got the numbers.
[01:45:32.293 --> 01:45:32.994]  He's a liar.
[01:45:33.634 --> 01:45:40.258]  Depending on the UK, Israel, the US, it's all 46 to 52% dying have already had the shot.
[01:45:40.559 --> 01:45:42.980]  And most of the new cases are in vaccinated.
[01:45:43.600 --> 01:45:44.561]  Because it's all a fraud.
[01:45:44.581 --> 01:45:45.822]  It's that damn PCR test.
[01:45:46.022 --> 01:45:47.563]  I mean, who knows what the truth is?
[01:45:47.783 --> 01:45:48.844]  It's so many damn lies.
[01:45:49.964 --> 01:45:51.666]  Now, I told you
[01:45:52.679 --> 01:45:55.540]  About this big article that Jamie White did for Infowars.com.
[01:45:56.900 --> 01:46:01.002]  Rand Paul calls out Fauci for lying to Congress over gain-of-function research.
[01:46:01.722 --> 01:46:09.904]  And we played you a clip from a few months ago, because now Fauci's back and he completely melts down.
[01:46:09.924 --> 01:46:11.945]  So we're going to get to that video here in just a moment.
[01:46:11.965 --> 01:46:18.667]  But first, ladies and gentlemen, we have products that are game-changing.
[01:46:18.787 --> 01:46:21.108]  And you heard our guest, Angela Stanton King,
[01:46:23.086 --> 01:46:25.668]  Who knows who I am but hadn't really seen the show.
[01:46:25.688 --> 01:46:27.889]  Because I asked her, I said, how do you know about the depopulation?
[01:46:27.909 --> 01:46:28.750]  You know everything I know.
[01:46:28.770 --> 01:46:30.050]  And she goes, well, I've just been living it.
[01:46:30.070 --> 01:46:30.671]  I'm researching it.
[01:46:31.151 --> 01:46:34.373]  So that's when you know we're winning, folks, is this amazing lady.
[01:46:34.793 --> 01:46:37.055]  He's got everything I got and just as much or maybe more.
[01:46:37.515 --> 01:46:38.496]  And she didn't get it from me.
[01:46:39.841 --> 01:46:40.702]  That is exciting.
[01:46:40.802 --> 01:46:45.166]  And she's pissed, and she knows humanity's under attack, and she gets it, and she's not backing down.
[01:46:45.606 --> 01:46:46.587]  That's exciting.
[01:46:47.448 --> 01:46:52.172]  And that's the type of people we need in Congress, and that's the type of person I'd love to have her as president, wouldn't you?
[01:46:52.653 --> 01:47:00.660]  The point is, is that we know we're under attack, but we gotta warn others, and we gotta say, we're not taking this crap anymore from these globalists.
[01:47:01.661 --> 01:47:03.062]  But I can't do it if you don't support us.
[01:47:03.897 --> 01:47:07.160]  So, the MyPillow advertisements brought a little bit of extra money, that's great.
[01:47:07.781 --> 01:47:10.784]  But then, for anything I plugged, and we don't sell our own products at that time.
[01:47:11.105 --> 01:47:14.889]  So I got called into the accountant's office this morning, and they said, yeah, you're feeling real good about your MyPillow plugs.
[01:47:15.089 --> 01:47:18.853]  It's great products, but you know, when you didn't plug our products yesterday, we had a major shortfall.
[01:47:18.893 --> 01:47:20.254]  So, it kind of averages out.
[01:47:21.434 --> 01:47:22.675]  I'm not bitching, I'm not complaining.
[01:47:22.695 --> 01:47:24.517]  I'm saying we got products you already need.
[01:47:24.937 --> 01:47:34.085]  We're not like the Black Rifle Company coffee that says, you know, all our supporters suck, we hate gun owners, we hate Americans, you know, we think white people are evil or whatever.
[01:47:35.005 --> 01:47:38.588]  We just sell coffee that's high quality and of course we wouldn't turn our backs on Kyle Rittenhouse.
[01:47:38.889 --> 01:47:41.211]  We got coffee way better, I'm not even in competition with those guys.
[01:47:41.431 --> 01:47:46.055]  There's the New York Times, literally crapping all over America, so I'm gonna have to declare war on those guys.
[01:47:46.555 --> 01:47:47.436]  The point is, is that
[01:47:48.752 --> 01:47:49.773]  We are steadfast.
[01:47:49.813 --> 01:47:54.697]  We're not backing down, and we need you to buy a book, a coffee mug, a t-shirt, a whatever.
[01:47:54.757 --> 01:47:55.538]  We appreciate you.
[01:47:55.558 --> 01:47:56.279]  We're not bitching at you.
[01:47:56.299 --> 01:47:58.060]  We're just saying, hey, we're in this fight together.
[01:47:58.260 --> 01:47:59.962]  I don't back down, but I need your support.
[01:48:00.722 --> 01:48:04.246]  So, green fiber capsules with all the amino acids and a ton of vitamins and minerals.
[01:48:04.706 --> 01:48:06.487]  So good for you from the very best sprouts.
[01:48:07.308 --> 01:48:09.169]  It is 1995 discounted.
[01:48:09.209 --> 01:48:10.490]  Wintersun's back in stock.
[01:48:10.690 --> 01:48:10.870]  50% off.
[01:48:11.171 --> 01:48:13.612]  Knockout Sleep Support and Down and Out Sleep Support both back in.
[01:48:13.632 --> 01:48:14.533]  50% off.
[01:48:14.573 --> 01:48:15.253]  It's a limited time.
[01:48:15.633 --> 01:48:17.415]  Torrible Food Sale will end this Sunday.
[01:48:17.455 --> 01:48:18.215]  I barely plugged it.
[01:48:18.235 --> 01:48:19.396]  It's extended one week.
[01:48:19.416 --> 01:48:19.636]  10% off.
[01:48:19.656 --> 01:48:19.956]  Get $2,000 and...
[01:48:22.330 --> 01:48:23.211]  20 prices today.
[01:48:24.351 --> 01:48:28.834]  And then separately, we also have the big enchilada.
[01:48:28.894 --> 01:48:31.535]  And I told you, I just got to sell this to get money in.
[01:48:31.955 --> 01:48:36.938]  And so I was selling the spray bottles of X2, just because that's what we had the majority of.
[01:48:37.398 --> 01:48:41.581]  Total same bottle, same stuff in it, just different spray cap, instead of a dropper cap.
[01:48:42.101 --> 01:48:44.062]  We sold out of this.
[01:48:44.102 --> 01:48:47.344]  They just told me 10 minutes ago during the break, it'll be sold out by the end of the day.
[01:48:47.704 --> 01:48:48.905]  So that's gone back to regular price.
[01:48:49.465 --> 01:48:50.185]  Until it sells out.
[01:48:50.505 --> 01:48:56.587]  Survival Shield X2 dropper model, exact same product, 40% off until it sells out.
[01:48:56.907 --> 01:49:03.769]  And if you haven't experienced atomic iodine, the opposite of the fluoride, the thing that makes you masculine, the thing that makes you feminine, is the iodine.
[01:49:03.789 --> 01:49:07.790]  That's why they hit you with the bad halogen fluoride and that whole family.
[01:49:08.090 --> 01:49:10.331]  This is the opposite of what they want you to have.
[01:49:10.391 --> 01:49:11.351]  This is what you should have.
[01:49:11.631 --> 01:49:14.612]  And it's selling out, X2, mtholwarrestore.com, 40% off.
[01:49:15.652 --> 01:49:23.258]  Here is Senator Rand Paul destroying Fauci and Fauci shaking with anger because his criminal actions of launching the COVID attack is coming out.
[01:49:24.602 --> 01:49:41.485]  Dr. Richard Ebright, a molecular biologist from Rutgers, described this research in Wuhan as, the Wuhan lab used NIH funding to construct novel chimeric SARS-related coronaviruses able to infect human cells and laboratory animals.
[01:49:41.965 --> 01:49:53.407]  This is high-risk research that creates new potential pandemic pathogens, potential pandemic pathogens that exist only in the lab, not in nature.
[01:49:54.167 --> 01:50:09.154]  This research matches, these are Dr. Ebright's words, this research matches, indeed epitomizes, the definition of gain-of-function research, done entirely in Wuhan, for which there was supposed to be a federal pause.
[01:50:10.814 --> 01:50:21.139]  Dr. Fauci, knowing that it is a crime to lie to Congress, do you wish to retract your statement of May 11th where you claimed that the NIH never funded gain-of-function research in Wuhan?
[01:50:29.093 --> 01:50:35.717]  Senator Paul, I have never lied before the Congress, and I do not retract that statement.
[01:50:36.457 --> 01:50:46.883]  This paper that you are referring to was judged by qualified staff up and down the chain as not being gain of function.
[01:50:48.124 --> 01:50:48.804]  Let me finish.
[01:50:48.824 --> 01:50:54.107]  You take an animal virus and you increase its transmissibility to humans, you're saying that's not gain-of-function?
[01:50:54.228 --> 01:50:55.108]  That is correct.
[01:50:55.268 --> 01:50:59.751]  And Senator Paul, you do not know what you are talking about, quite frankly.
[01:50:59.891 --> 01:51:01.873]  And I want to say that officially.
[01:51:02.293 --> 01:51:04.955]  You do not know what you are talking about.
