[00:00:00.069 --> 00:00:00.870]  But who knows?
[00:45:19.115 --> 00:45:27.821]  Storewide free shipping and massive discounts on top of it, including storable food, 10% off and free shipping because the emergencies that happened, our big supplier allowed it to do us.
[00:45:27.841 --> 00:45:36.267]  That's the best deal you'll find ever on MyPatriotSupply, their full catalog, infowarestore.com or preparewithalex.com to find the best deals on the web, period.
[00:45:36.807 --> 00:45:38.849]  Also, Survival Shield X2, 50% off.
[00:45:38.889 --> 00:45:40.410]  Turbo Force, 40% off.
[00:45:40.430 --> 00:45:41.811]  Survival Vitality, 40% off.
[00:45:42.311 --> 00:45:44.693]  InfoWars Privacy Pouches, $10 off the regular price.
[00:45:45.053 --> 00:45:46.675]  Knockout Sleep Support, 40% off.
[00:45:46.755 --> 00:45:48.876]  Ultimate Grill Oil, back in stock, 40% off.
[00:45:48.896 --> 00:45:50.137]  Plus free shipping, all of the free shipping.
[00:45:50.397 --> 00:45:50.798]  Ultra 12, 50% off.
[00:45:52.739 --> 00:45:53.500]  It goes on and on.
[00:45:53.560 --> 00:45:55.903]  Winter Sun Plus for vitamin D3 and all your immune system.
[00:45:56.164 --> 00:45:57.085]  That's big discounted.
[00:45:57.345 --> 00:45:57.826]  Free shipping.
[00:45:58.467 --> 00:45:59.127]  It's all there.
[00:45:59.248 --> 00:46:00.990]  Infowarrestore.com.
[00:46:01.110 --> 00:46:03.213]  That's how you fund the operation and get great products.
[00:46:03.233 --> 00:46:04.935]  I want to thank folks that have been supporting us.
[00:46:05.195 --> 00:46:07.298]  But if you've been on the fence, history's happening.
[00:46:07.598 --> 00:46:08.299]  We need your support.
[00:46:08.379 --> 00:46:09.040]  Please support us.
[00:46:09.260 --> 00:46:10.162]  Infowarrestore.com.
[00:46:10.222 --> 00:46:10.802]  Hour 2 coming up.
[00:46:11.693 --> 00:46:18.902]  Winner's Sun Plus is the highest grade of vitamin D3 you're going to find with vitamin K for your immune system, for your overall well-being.
[00:46:19.282 --> 00:46:25.489]  And it is 50% off with promo code SUN, S-U-N, at infowarestore.com.
[00:46:25.770 --> 00:46:30.235]  It's selling out, 50% off promo code SUN at infowarestore.com.
[00:46:32.745 --> 00:46:37.369]  We are back live now into our number two of the Sunday edition of the Alex Jones Show.
[00:46:38.190 --> 00:46:45.837]  Now, I don't normally air something even twice in a row in a week, much less three times in a row, but this report's really, really important.
[00:46:47.558 --> 00:46:53.203]  And so I'm going to air it at the very end because it needs to be seen by new viewers, new listeners.
[00:46:53.224 --> 00:46:59.049]  And that's when I predicted 10 years ago, the lockdowns, the checkpoints, using an excuse of a fake bioweapon.
[00:47:00.421 --> 00:47:05.346]  But, there have been a lot of requests for Fentanyl, the Communist Chinese Dragon, to make a return.
[00:47:06.807 --> 00:47:16.057]  And so, we haven't done one probably in six months, because I get bummed out with the news, but I've decided to be more happy, I've decided to have more fun, because the globalists want to get our spirits down, so I'm gonna do it.
[00:47:17.142 --> 00:47:19.242]  This is a little racy, a little gross.
[00:47:19.302 --> 00:47:20.603]  My wife thought it was a little much.
[00:47:21.383 --> 00:47:27.464]  I told McBreen, who made it with RobDude, to make the, when he pulls the anal probe out, to have it be green slime or something.
[00:47:27.504 --> 00:47:31.965]  I said it's bloody, but I think I'm going to have him edit it again and just make it green, green dragon slime.
[00:47:31.985 --> 00:47:36.646]  But kids love it, adults love it, but it's also horrifying because we show real articles.
[00:47:37.106 --> 00:47:39.107]  Everything the dragon's saying is actually going on.
[00:47:39.787 --> 00:47:43.448]  So if you're a radio listener and hear this, you have to understand, with the video at Band.Video,
[00:47:44.508 --> 00:47:49.692]  It actually, Paul, he's talking, it shows mainstream articles, everything he's saying, no matter how crazy it is.
[00:47:49.732 --> 00:47:51.854]  So if you weren't laughing, you'd be crying.
[00:47:52.474 --> 00:47:54.836]  So here is Fentanyl the Dragon.
[00:47:55.577 --> 00:48:05.405]  It's Watch Communist China Celebrate Anal-Swabbing Stupid Americans, and then we'll be right back on the other side with the latest on Trump's amazing epic speech, and then the big news in Australia.
[00:48:06.820 --> 00:48:08.621]  Hello, Americans!
[00:48:09.202 --> 00:48:14.466]  As you have heard, we are testing you with Q-tip with anal swab.
[00:48:14.986 --> 00:48:19.690]  Your diplomats do not like it, but Biden says it will happen.
[00:48:20.170 --> 00:48:26.255]  So now it comes to America, because you do whatever Communist China say.
[00:48:26.695 --> 00:48:28.496]  So, oh, let me get it.
[00:48:29.017 --> 00:48:29.157]  Oh!
[00:48:30.238 --> 00:48:33.080]  Oh, now I was keeping it warm for you.
[00:48:33.500 --> 00:48:35.762]  Now I put it inside your boobs.
[00:48:38.178 --> 00:48:39.178]  Oh!
[00:48:39.538 --> 00:48:40.979]  That wasn't so hard.
[00:48:41.379 --> 00:48:43.500]  You are learning to be humiliated.
[00:48:43.520 --> 00:48:44.760]  We own your debt.
[00:48:44.920 --> 00:48:46.041]  We own Hollywood.
[00:48:46.441 --> 00:48:48.702]  And we steal election from Donald Trump.
[00:48:49.162 --> 00:48:50.743]  Now we take your guns.
[00:48:51.803 --> 00:48:54.924]  So, bend over every time you travel.
[00:48:55.464 --> 00:48:59.266]  China test will have to see that you do not have COVID.
[00:48:59.646 --> 00:49:01.947]  Does not matter if PCR test fake.
[00:49:02.287 --> 00:49:04.068]  Your media work for us.
[00:49:07.086 --> 00:49:11.447]  It was so easy to penetrate your diplomatic core.
[00:49:12.027 --> 00:49:19.369]  And now, even your school children will walk like big ones, once dragged and give you anal slop.
[00:49:19.670 --> 00:49:20.610]  Ha ha ha!
[00:49:21.030 --> 00:49:26.972]  So easy to bring your so-called superpower to its knees, thanks to the COVID hubs.
[00:49:27.392 --> 00:49:27.832]  Ha ha!
[00:49:28.112 --> 00:49:35.054]  Remember, do not take vitamin D3, so normal viruses will kill you, and you will live in fear and never reopen.
[00:49:35.394 --> 00:49:35.494]  Ha!
[00:49:36.866 --> 00:49:39.449]  We have shut down your Keystone Pipeline.
[00:49:39.829 --> 00:49:42.532]  We are now coming for your guns and dissolving your border.
[00:49:42.833 --> 00:49:45.015]  I mean, Joe Biden is doing that.
[00:49:45.376 --> 00:49:47.298]  He is not a puppet.
[00:49:47.638 --> 00:49:49.440]  No, no, no, no, no, no.
[00:49:49.921 --> 00:49:56.268]  And also, Joe Biden say it's good that we invade Hong Kong and good that we run death camp with Apple.
[00:49:56.708 --> 00:49:58.050]  For we got
[00:49:58.590 --> 00:50:00.851]  Good, Joe Biden, good!
[00:50:01.351 --> 00:50:14.097]  We send you more orders to sign and more COVID restrictions on your people so China dominates the economy while America permanently closed.
[00:50:14.617 --> 00:50:19.740]  And we work with our friend, Mr. Pink Sweater Bill Gates.
[00:50:21.431 --> 00:50:22.932]  Your country is lost.
[00:50:23.392 --> 00:50:27.915]  We control almost your entire Democratic Party, and many Republicans too.
[00:50:28.315 --> 00:50:32.697]  Dianne Feinstein, Eric Swalwell, and of course, the turtle.
[00:50:33.377 --> 00:50:38.180]  Ah, Mitch McConnell's wife worked for us, and so he do what we say.
[00:50:39.361 --> 00:50:43.383]  You have no hope now that we control your voting machines.
[00:50:43.783 --> 00:50:50.387]  Whatever you do, do not visit InfoWars.com, or ban that video, or I hurt you.
[00:50:54.284 --> 00:50:54.584]  Oh, no, no, no.
[00:50:54.604 --> 00:50:55.845]  I don't even know what this is.
[00:50:55.865 --> 00:50:57.646]  How'd I get here?
[00:50:57.666 --> 00:50:59.687]  I just caught you, American.
[00:50:59.987 --> 00:51:02.068]  You visited Bandar Video.
[00:51:02.968 --> 00:51:06.230]  Oh, Mark Zuckerberg and others angry at you.
[00:51:06.250 --> 00:51:12.333]  Do what CNN says and do not visit Bandar Video or I have to hurt you.
[00:51:13.113 --> 00:51:15.194]  They'll be back.
[00:51:20.734 --> 00:51:23.095]  We are now into hour number two.
[00:51:23.196 --> 00:51:26.397]  Thank you for spending some of your Sunday night with us.
[00:51:27.118 --> 00:51:30.300]  And remember, this is not a spectator sport.
[00:51:30.340 --> 00:51:33.822]  This is Toto-Toto the Globalist, and your word of mouth is paramount.
[00:51:33.842 --> 00:51:38.685]  Spreading the word about the transmission, the articles, the videos, at InfoWars.com and Band.Video.
[00:51:40.379 --> 00:51:48.951]  Okay, I want to play some more Trump speech, and coming up on Sunday Live that comes on at 6, the Owen Troyer host, we're going to have a lot of the excerpts, a lot of the highlights.
[00:51:48.971 --> 00:51:52.636]  He's busy watching it, getting those snipped out right now for you, a busy beaver.
[00:51:53.197 --> 00:51:54.979]  But one of those snippets that Trump...
[00:51:55.560 --> 00:51:55.820]  I think so.
[00:52:15.251 --> 00:52:17.111]  They have announced a full audit of all the votes.
[00:52:17.131 --> 00:52:20.252]  The legislature is getting the computers and getting all the hard drives.
[00:52:20.272 --> 00:52:23.033]  We'll see if they've been wiped, but they're also going to have the physical ballots.
[00:52:23.093 --> 00:52:27.734]  So, you're going to see that first state fall, because none of them have let anybody do a real audit.
[00:52:28.154 --> 00:52:30.034]  Never a physical audit, never the machines.
[00:52:30.374 --> 00:52:36.276]  The same corrupt election officials in the Chinese Communist pocket, literally, are the same ones that run it over and over again.
[00:52:36.816 --> 00:52:39.056]  So, here it is, ladies and gentlemen.
[00:52:39.196 --> 00:52:42.857]  Here is Trump saying he may even have to win a third time.
[00:52:44.775 --> 00:52:45.535]  But who knows?
[00:52:47.096 --> 00:52:47.836]  Who knows?
[00:52:48.757 --> 00:52:52.999]  I may even decide to beat them for a third time, okay?
[00:53:06.425 --> 00:53:08.006]  I want to play that clip one more time.
[00:53:08.066 --> 00:53:08.766]  It's so historic.
[00:53:08.846 --> 00:53:10.467]  And look, our crew did a great job.
[00:53:10.507 --> 00:53:13.508]  Tom Pappard did a great job over at National Follows Headline Video.
[00:53:13.948 --> 00:53:17.710]  Trump hints at 2024 run in first post-presidency speech.
[00:53:18.150 --> 00:53:19.770]  They even decide to beat them a third time.
[00:53:19.870 --> 00:53:27.273]  That's a great headline, but Trump says he won the 2020 election at CPAC, may run again in 2024.
[00:53:27.814 --> 00:53:28.834]  That's what he really said.
[00:53:30.675 --> 00:53:32.636]  The takeaway isn't that he's hinting at running again.
[00:53:32.856 --> 00:53:35.837]  He's already said that five times in the last few weeks.
[00:53:37.165 --> 00:53:44.431]  What he's saying is, I won the 2020 election, and we are going to expose the election fraud, and we're going to take it to him.
[00:53:44.871 --> 00:53:45.732]  That's what he went on to say.
[00:53:46.652 --> 00:53:47.733]  Again, he's still speaking.
[00:53:47.753 --> 00:53:49.435]  He's been speaking for an hour and 20 minutes.
[00:53:50.255 --> 00:53:52.197]  Let's go back to where the President is.
[00:53:53.378 --> 00:53:59.743]  Surrendering millions of jobs and trillions of dollars to all of these other countries, almost all of them,
[00:54:00.436 --> 00:54:01.757]  That we're in the deal.
[00:54:01.857 --> 00:54:04.119]  So they have favorable treatment.
[00:54:04.179 --> 00:54:05.861]  We don't have favorable treatment.
[00:54:05.961 --> 00:54:07.382]  And we just said we're going back in.
[00:54:08.126 --> 00:54:12.669]  To go back in, they wanted us so badly, you could have negotiated... If you wanted to go back in... Come on, Mexico.
[00:54:13.009 --> 00:54:18.332]  Which, frankly, we have the cleanest air, the cleanest water, and everything else that we've ever had, so I don't know why we have to.
[00:54:18.692 --> 00:54:20.333]  Yeah, we gotta make cuts, nobody else does.
[00:54:20.574 --> 00:54:20.994]  B.S.
[00:54:21.394 --> 00:54:26.837]  And what good does it do when we're clean, but China's not, and Russia's not, and India's not?
[00:54:26.897 --> 00:54:27.077]  Bingo!
[00:54:27.117 --> 00:54:27.418]  Bingo!
[00:54:27.678 --> 00:54:32.781]  So they're pouring fumes, you know, and the world is actually a small piece of the universe, right?
[00:54:33.536 --> 00:54:40.888]  They're pouring fumes and we're trying to protect everything and building products for three times more than is necessary.
[00:54:40.908 --> 00:54:41.529]  Hit pause on that.
[00:54:41.549 --> 00:54:42.110]  Yeah, let's stop.
[00:54:42.130 --> 00:54:42.891]  Yeah, three times more.
[00:54:42.931 --> 00:54:43.772]  Energy is three times more.
[00:54:44.593 --> 00:54:45.295]  Let's stop right there.
[00:54:47.427 --> 00:54:50.408]  Our coal power plants were perfected in the 80s.
[00:54:50.868 --> 00:54:52.408]  They were put in by law by the 90s.
[00:54:52.769 --> 00:54:56.030]  These companies paid tens of billions of dollars to retrofit them with scrubbers.
[00:54:56.810 --> 00:55:00.011]  Nothing comes out of them but carbon dioxide and water.
[00:55:00.311 --> 00:55:01.751]  That beat their carbon push.
[00:55:02.351 --> 00:55:05.512]  So they then listed carbon dioxide as bad.
[00:55:06.753 --> 00:55:07.573]  Not monoxide.
[00:55:07.613 --> 00:55:08.073]  That is bad.
[00:55:09.349 --> 00:55:23.779]  And again, China has little bitty power plants because it's just the turbine that turns the water for the steam to generate the electricity and you'll see a little bitty building and you'll see a train going into it with boxcars of coal and you'll see a smokestack.
[00:55:24.139 --> 00:55:26.400]  And it's shooting black smoke out that doesn't go away.
[00:55:26.680 --> 00:55:31.444]  You see our power plants, and Europe's where they shut them down, you only see them in cold weather.
[00:55:31.844 --> 00:55:34.646]  The media always aims cameras at it and goes, look at that smoke.
[00:55:34.886 --> 00:55:37.608]  But you notice it's smoke for a couple hundred yards and then it ends.
[00:55:38.248 --> 00:55:43.952]  Because it's water vapor from a hot turbine coming out, and that's all that's there is water vapor and carbon dioxide.
[00:55:44.432 --> 00:55:49.555]  So they listed carbon dioxide that we excel as a toxic chemical, so the average leftist idiot says, shut that down.
[00:55:49.815 --> 00:55:50.476]  Beautiful coal.
[00:55:50.496 --> 00:55:52.597]  That's why Trump calls it beautiful, beautiful coal.
[00:55:53.037 --> 00:55:56.960]  Because we've got the clean coal, we have enough coal in Utah that's clean.
[00:55:56.980 --> 00:56:01.463]  Because you can take dirty coal and scrub it out with these scrubbers.
[00:56:03.302 --> 00:56:03.722]  But no.
[00:56:04.423 --> 00:56:08.005]  We happen to have some of the biggest deposits in the world of coal that burns clean.
[00:56:08.325 --> 00:56:10.166]  Almost nothing toxic is in it.
[00:56:10.366 --> 00:56:11.367]  It's pure carbon!
[00:56:12.047 --> 00:56:12.748]  Pure carbon!
[00:56:13.568 --> 00:56:16.570]  Not mercury, not lead, not all the stuff that could be in some coal.
[00:56:17.211 --> 00:56:18.792]  Because some coal's dirtier than hell.
[00:56:19.152 --> 00:56:20.673]  Yeah, there's a map of a scrubber right there.
[00:56:20.693 --> 00:56:21.553]  That's a simple scrubber.
[00:56:22.714 --> 00:56:23.855]  And boy are they complex, though.
[00:56:24.315 --> 00:56:25.316]  Okay.
[00:56:25.436 --> 00:56:28.097]  Let's go back to the President and hear this.
[00:56:29.538 --> 00:56:32.180]  But they could have made a great deal instead of just saying, we're back in!
[00:56:33.502 --> 00:56:34.102]  These people.
[00:56:34.622 --> 00:56:40.784]  And in one of his first official acts, which was incredible because, again, he talked about energy.
[00:56:40.824 --> 00:56:42.304]  He never said he was going to do this.
[00:56:42.344 --> 00:57:00.308]  He cancelled the Keystone XL pipeline, destroying not the 8,000 or the 9,000 or the 11,000 jobs that you hear, but 42,000 great paying jobs on just about day one, right?
[00:57:00.528 --> 00:57:02.268]  He never talked about that during a debate.
[00:57:02.910 --> 00:57:04.350]  Because you wouldn't have gotten away with it.
[00:57:04.410 --> 00:57:04.670]  We cannot
[00:57:28.550 --> 00:57:30.732]  Let this stuff continue to go on.
[00:57:31.172 --> 00:57:36.617]  One of my proudest accomplishments as president was to make America energy independent.
[00:57:36.657 --> 00:57:43.203]  The United States became the number one energy superpower on Earth.
[00:57:43.223 --> 00:57:43.803]  Number one!
[00:57:44.984 --> 00:57:53.952]  Alright, this is a good place to stop, because here's the deal.
[00:57:56.024 --> 00:57:57.525]  I'm sure Owen's going to play more of this.
[00:57:57.585 --> 00:57:58.845]  You can watch the whole thing if you want to.
[00:57:58.885 --> 00:58:00.186]  It's linked on Infowars.com.
[00:58:00.506 --> 00:58:03.247]  Just remember, this is being blocked out on most networks.
[00:58:03.387 --> 00:58:04.007]  They're editing it.
[00:58:04.027 --> 00:58:05.088]  They're only showing small clips.
[00:58:05.468 --> 00:58:09.870]  When you share his speech with people, wherever you find it, wherever you get it, you share this show.
[00:58:09.910 --> 00:58:10.750]  It's a revolutionary act.
[00:58:10.810 --> 00:58:12.531]  I just keep going back to that because you're everything.
[00:58:14.612 --> 00:58:16.352]  I'm like a coach without a football team.
[00:58:16.492 --> 00:58:19.874]  If you don't decide to take action and spread the word, we sink.
[00:58:21.154 --> 00:58:22.595]  If you decide to take action, we win.
[00:58:26.172 --> 00:58:26.972]  That's what it comes down to.
[00:58:28.694 --> 00:58:29.794]  Alright, this is what I want to do.
[00:58:30.615 --> 00:58:37.259]  I want to go big picture, because we've got so many incredible reports that end up never getting on the show, and this show has millions of listeners.
[00:58:37.719 --> 00:58:44.163]  The Sunday show has probably 2 million people to tune in, the weekday show about 4 million to tune in, just on Terrestrial Radio and over our streams.
[00:58:44.363 --> 00:58:47.445]  So, when I just put this stuff up on Band.Video, it gets like 200,000 views.
[00:58:47.465 --> 00:58:47.925]  That's great, but...
[00:58:49.480 --> 00:58:53.323]  You know, rarely does a video get 5 million views, or 6 million views, or 3 million views.
[00:58:53.563 --> 00:58:56.505]  We get a lot of videos that get 900,000, a million, or whatever, and that's great.
[00:58:57.005 --> 00:59:03.350]  I don't care about the views for advertising, because for whatever reason the ads and the videos don't ever really bring any revenue.
[00:59:04.391 --> 00:59:07.573]  It's, it's, I want to reach eyeballs and beat these people.
[00:59:08.394 --> 00:59:11.296]  And so just realize constantly that you're everything.
[00:59:13.271 --> 00:59:14.992]  When it comes to human beings, you taking action.
[00:59:15.032 --> 00:59:20.116]  God is everything in the great scheme, but when it comes to action on this earth, Tara Firmer, you're it!
[00:59:20.576 --> 00:59:20.776]  Okay.
[00:59:22.197 --> 00:59:27.641]  Gregory's did an incredible report on weather weapons because we've gotten thousands of emails and calls.
[00:59:27.661 --> 00:59:28.162]  You've heard them.
[00:59:28.302 --> 00:59:33.726]  Alex was the solar or winter vortex, Arctic vortex.
[00:59:34.406 --> 00:59:36.147]  Was it caused by the sun?
[00:59:36.568 --> 00:59:40.851]  Was it caused by volcanic eruptions that can manipulate the
[00:59:42.594 --> 00:59:43.235]  I don't know.
[00:59:57.634 --> 01:00:00.075]  Arctic Vortex and the Jet Stream.
[01:00:00.815 --> 01:00:05.596]  And so it's globalist weather wars to crush humanity and it's pretty conclusive.
[01:00:06.076 --> 01:00:07.436]  It's extremely powerful.
[01:00:07.896 --> 01:00:12.738]  We're going to air that in the last segment of the broadcast here today.
[01:00:13.118 --> 01:00:14.778]  We've got several segments before then.
[01:00:16.439 --> 01:00:21.800]  I want to come back and I want to air just one of these reports because this is on Canadian TV, they're getting it.
[01:00:23.020 --> 01:00:24.120]  British TV, they're getting it.
[01:00:24.260 --> 01:00:26.161]  UK TV and Australian TV.
[01:00:27.904 --> 01:00:39.851]  About world government and the New World Order with corporations locking down economies, to bankrupt economies, to bankrupt capitalism, and then to bring in a system that they call the Great Reset.
[01:00:39.951 --> 01:00:46.214]  And I know you know all about the Great Reset, but the fact is, this is becoming very mainstream, this is a very positive thing.
[01:00:46.474 --> 01:00:54.499]  Because if people get how serious this is, and get that it's the whole shooting match, and if we can get Trump talking about it, and the Republicans, which they're barely doing,
[01:00:55.279 --> 01:00:56.059]  Then we can win this.
[01:00:56.099 --> 01:01:04.302]  But if we don't get the Republican Party talking about the Great Reset, talking about the New World Order, talking about the whole COVID lockdown being Operation Lockstep, we're going to lose.
[01:01:04.782 --> 01:01:07.362]  But the good news is it's going mainstream everywhere else but here.
[01:01:08.683 --> 01:01:10.763]  Now, when I say this, I want to be completely clear.
[01:01:10.783 --> 01:01:14.805]  I am talking to myself as much as I am talking to you.
[01:01:14.825 --> 01:01:19.586]  When I point my finger at you and I say, I need your help, I'm pointing three fingers back at myself.
[01:01:21.201 --> 01:01:28.883]  Infowars is so influential and has had such an effect around the world, we have to really be honest about that.
[01:01:29.003 --> 01:01:30.204]  And that means what you've done.
[01:01:30.924 --> 01:01:34.225]  Your support, your word of mouth, your prayer did this.
[01:01:36.046 --> 01:01:37.026]  We're just a focal point.
[01:01:37.546 --> 01:01:49.150]  And so I want you to take a good retrospective of that information and just count the cost and pat yourself on the back, but then think about the future where we're going.
[01:01:50.151 --> 01:02:13.593]  Because again, if I played all these it would take the whole show tonight, but just this weekend I saw British TV, UK TV, Australian TV, and Canadian news looking at the Great Reset for what it is, a world government corporate takeover where they're exempt from the taxes and the regulations, nobody else is, and then everybody from small farms to small factories to power plants get shut down.
[01:02:15.868 --> 01:02:24.054]  And Australia's a couple years ahead of us in this, so it's bankrupting their farmers, their businesses, but when China comes in, their companies are exempt by the government.
[01:02:24.914 --> 01:02:26.495]  Well, it's the same thing now with Biden.
[01:02:27.156 --> 01:02:28.076]  So this is very simple.
[01:02:28.116 --> 01:02:31.839]  The globalists are invested in China, and they want everybody else shut down.
[01:02:32.930 --> 01:02:39.554]  And Australia's been leading the way when it comes to actually saying no to China, because China is really trying to put the squeeze on them.
[01:02:39.574 --> 01:02:47.920]  And it controlled the last political party that was in control there, and controlled some of the major cities of Australia, and it's been Chinese government that basically had those cities do the endless lockdowns.
[01:02:48.340 --> 01:02:50.482]  So, Australia's ground zero for this.
[01:02:52.000 --> 01:02:56.985]  And a Cory Bernardi, who I've seen many of his reports, is just hardcore, and he lays it all out.
[01:02:57.025 --> 01:02:59.147]  The full transcript is on InfoWars.com.
[01:02:59.608 --> 01:03:01.650]  Socialism on a global scale.
[01:03:01.710 --> 01:03:05.193]  Sky News host demolishes Davos elites and the Great Reset.
[01:03:05.674 --> 01:03:06.795]  And it's beyond socialism.
[01:03:06.855 --> 01:03:12.921]  It's about corporate fascism, bankrupting everybody but them, making you a slave, giving you a universal guaranteed income to control you.
[01:03:13.141 --> 01:03:13.702]  Here's the report.
[01:03:14.978 --> 01:03:18.941]  Ladies and gentlemen, there are certain warning signs that we all need to be mindful of.
[01:03:19.582 --> 01:03:24.025]  You know, it's like when someone appears in your life and says, I'm from the government and I'm here to help you.
[01:03:24.766 --> 01:03:30.090]  Well, another warning sign is any organisation with the term world in their name.
[01:03:30.931 --> 01:03:34.652]  So let's start with a couple, perhaps the World Health Organization to kick it off.
[01:03:35.133 --> 01:03:44.416]  That's the body that gave China a free pass on the Wuhan flu, while at the same time banking $500 million through issuing pandemic bonds.
[01:03:45.216 --> 01:03:55.060]  That's right, the World Health Organization was scheduled to repay investors around $500 million in early 2020, unless of course a pandemic was declared.
[01:03:55.800 --> 01:04:00.664]  The investors lost all their money, but that became the World Health Organization's gain.
[01:04:01.625 --> 01:04:03.867]  Then, of course, there's the World Food Program.
[01:04:04.347 --> 01:04:08.530]  It, too, is part of the United Nations, and it actually won the Nobel Peace Prize in 2020.
[01:04:10.037 --> 01:04:16.903]  Well, that sounds pretty impressive, until you remember that Barack Obama won it in 2008 just for having the right skin colour.
[01:04:17.864 --> 01:04:31.957]  And despite spending $8 billion every year on hunger and strengthening resilience against climate change, there are still 850 million undernourished people in the world and around 780 million obese people.
[01:04:32.697 --> 01:04:35.200]  Clearly, we need more food socialism.
[01:04:36.425 --> 01:04:40.226]  Then we also have the World Meteorological Organization.
[01:04:40.807 --> 01:04:52.411]  It has a crew of 200 and it publishes an annual status of the world climate report, casting horror scenarios about greenhouse gases, climate change, sea level rise and sea ice.
[01:04:53.631 --> 01:04:56.193]  The 2019 report is a beauty.
[01:04:56.793 --> 01:05:08.441]  It essentially says that the Australian bushfires of that year were due to climate change and makes no mention of the arsonists or the Greens' insistence on terrible land management policies.
[01:05:09.321 --> 01:05:17.947]  By the way, according to the WMO, climate change is also responsible for drought, floods, storms and weather-related damage.
[01:05:18.607 --> 01:05:22.450]  Now that made me wonder what caused them before the Industrial Revolution.
[01:05:23.170 --> 01:05:24.911]  Or before mankind, for that matter.
[01:05:26.171 --> 01:05:35.193]  But we're also fortunate enough to have the World Tourism Organization, which has, and I quote, a one-planet vision for responsible tourism.
[01:05:35.914 --> 01:05:40.275]  These include the vital buzzwords, social inclusion and climate action.
[01:05:40.955 --> 01:05:47.037]  It even has some pretty cool hashtags, responsible recovery and build back better.
[01:05:47.637 --> 01:05:51.838]  And it boasts that by shutting down the world economy this past year,
[01:05:52.618 --> 01:05:55.280]  It reduced carbon dioxide emissions by a whopping 8%.
[01:05:55.981 --> 01:06:00.924]  That means there's only 92% to go before we're back living in caves!
[01:06:01.625 --> 01:06:03.426]  But saving the planet while we do it.
[01:06:04.542 --> 01:06:07.125]  And of course we shouldn't forget the World Trade Organization.
[01:06:07.565 --> 01:06:22.940]  With lofty goals espousing free trade, its real mission seems not to be holding China to the same integrity requirements as the rest of the world when it comes to intellectual property protection, trade tariffs and barriers, etc.
[01:06:23.801 --> 01:06:27.044]  Thank goodness it has the goal to reduce inequality.
[01:06:27.805 --> 01:06:32.494]  Which is socialists speak for taking from the productive and giving to the non-productive.
[01:06:33.215 --> 01:06:35.459]  Someone needs to tell them about history.
[01:06:35.900 --> 01:06:37.483]  It shows it never works.
[01:06:38.814 --> 01:06:45.519]  But, for those unable to sustain the rigour of the real world, there is always a refuge in the World Vegetable Centre.
[01:06:46.200 --> 01:06:48.201]  That's right, a World Vegetable Centre.
[01:06:48.582 --> 01:06:58.329]  This esteemed body devoted 20 years to researching the sweet potato before giving it away because the costs of doing that research were too high.
[01:06:59.190 --> 01:07:06.315]  It now focuses on, and I quote, looking to the wild relatives of domesticated crops to save the human diet from climate change.
[01:07:07.176 --> 01:07:07.717]  Wowee!
[01:07:08.377 --> 01:07:13.683]  If only we never cultivated crops, the world would be better off and the climate wouldn't be changing.
[01:07:13.703 --> 01:07:16.967]  Hey, but what about those hungry people I mentioned earlier?
[01:07:17.487 --> 01:07:19.009]  Wouldn't they be even hungrier?
[01:07:20.256 --> 01:07:23.538]  Well, all these authorities are pushing an agenda.
[01:07:23.598 --> 01:07:24.419]  It's the same agenda.
[01:07:24.439 --> 01:07:28.502]  It's to decarbonise, de-industrialise and disempower the Western world.
[01:07:29.303 --> 01:07:34.226]  They are part of a concerted plan to redesign capitalism in a new image.
[01:07:34.747 --> 01:07:36.268]  That image, of course, is socialism.
[01:07:36.748 --> 01:07:42.272]  And it's spearheaded by the granddaddy organisation of them all, the World Economic Forum.
[01:07:43.113 --> 01:07:48.617]  The WEF is the architect of the Great Reset and the Fourth Industrial Revolution.
[01:07:49.423 --> 01:07:56.490]  They coined the Build Back Better hashtag that is actually proving so popular with big government elites right across the globe.
[01:07:56.510 --> 01:08:02.657]  And they even predict that by 2030, you'll own nothing and you'll be happy.
[01:08:03.658 --> 01:08:10.425]  They call this servitization, which is a term and an agenda that looks a lot like servitude to me.
[01:08:11.690 --> 01:08:21.913]  The WEF claim that this servitude, I'm sorry, I mean servitization, will help save the planet and assist the post-COVID-19 recovery.
[01:08:22.293 --> 01:08:24.594]  There's a couple of those buzz phrases again.
[01:08:25.654 --> 01:08:33.076]  However, servitization begs the question, if you don't actually own anything, who will own what you're renting?
[01:08:34.397 --> 01:08:39.501]  Well, the answer lies within the WF Premier Forum, that's at Davos.
[01:08:40.302 --> 01:08:50.210]  Davos is the gathering of global elites, including big business CEOs, industry chiefs, government leaders, bureaucrats and multi-billionaires with political agendas.
[01:08:51.251 --> 01:08:56.074]  Under the WF vision, the Davos attendees will own what you'll be renting.
[01:08:57.115 --> 01:09:00.558]  And trust me on this, it's not going to be a philanthropic enterprise.
[01:09:01.018 --> 01:09:04.001]  They'll all be looking to make more money than they currently do.
[01:09:04.893 --> 01:09:09.017]  And actually to take more control of your life under the guise of equality.
[01:09:10.239 --> 01:09:16.265]  By reducing you to a mere user rather than an owner, the world does actually become more equal.
[01:09:17.119 --> 01:09:26.225]  Because it will concentrate power, authority and money in the hands of a tiny few, while the rest of us become mere economic vassals for these oligarchs.
