[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[01:46:45.712 --> 01:46:47.033]  It makes your body healthy.
[01:46:47.033 --> 01:46:50.014]  It boosts your immune system and it funds the
[01:46:50.294 --> 01:46:52.775]  So the whole thing's hiding in plain view.
[01:47:17.995 --> 01:47:19.415]  You have the big global corporations.
[01:47:19.415 --> 01:47:20.676]  They set up Communist China.
[01:47:20.676 --> 01:47:22.916]  They set up the EU.
[01:47:22.916 --> 01:47:23.777]  They took control of the US.
[01:47:23.777 --> 01:47:28.718]  There were major movements against their takeover.
[01:47:28.718 --> 01:47:39.701]  And in their own white papers, like lockstep by the Rockefellers, the Rockefeller Foundation now officially runs the White House response to COVID and runs the UN response.
[01:47:39.701 --> 01:47:42.742]  Gates was the front guy for them, but he's been partially removed.
[01:47:43.749 --> 01:47:45.330]  And they're doing this.
[01:47:45.330 --> 01:47:57.077]  And now, last year, I want to ask our expert doctor friend, it was gunshot wounds and car wrecks and heart attacks and regular flu and pneumonia, and the numbers were basically the same as she said in the curve.
[01:47:57.077 --> 01:48:07.944]  Well, before the numbers came out in the last month, I could see it, because we deal with warehouses and we deal with a lot of things, and I've got family that works in the medical sector, and I talked to people all over the country and the world, and they said, my God,
[01:48:09.024 --> 01:48:09.865]  Especially the U.S.
[01:48:09.865 --> 01:48:11.165]  compared to anywhere.
[01:48:11.165 --> 01:48:24.953]  It's hospitals full, all sorts of weird viruses, people super sick, and now it's in the news, oh there's something like polio, but it's different, and oh there's these other diseases, and oh there's super viruses, and then I've been talking to some former heads of U.S.
[01:48:24.953 --> 01:48:29.756]  intelligence agencies and a lot of medical doctors, and they say the consensus is what you just said, doctor.
[01:48:30.376 --> 01:48:36.440]  That they're releasing a synthetic protein that has the viral effect, but it's not the virus.
[01:48:36.440 --> 01:48:40.023]  It's basically a biological poison so they can cover it up.
[01:48:40.023 --> 01:48:47.228]  And that's why they did a few cities to scare the pathologists and people around the world to get behind the lockdowns.
[01:48:47.228 --> 01:48:49.369]  But then you also have the viral shedding going on.
[01:48:49.369 --> 01:48:54.373]  So looking at that, Dr. Lee Merritt, how do we, again, counter something like this?
[01:48:54.373 --> 01:48:56.174]  And what do you expect to come next?
[01:48:56.174 --> 01:48:58.756]  And what numbers are you actually seeing on the ground?
[01:48:58.756 --> 01:48:59.517]  Because I can tell you,
[01:49:00.532 --> 01:49:04.736]  Eighty percent of the people I know have been sick the last two months.
[01:49:04.736 --> 01:49:07.118]  I mean, it's been hell here in Austin.
[01:49:07.118 --> 01:49:11.522]  I've got family that sold out of a bunch of stuff, but they owned a bunch of dental offices.
[01:49:11.522 --> 01:49:13.624]  Half those are closed right now because of this.
[01:49:13.624 --> 01:49:17.487]  I mean, on the ground, we're seeing devastating real-life numbers.
[01:49:17.487 --> 01:49:18.008]  What are you hearing?
[01:49:19.591 --> 01:49:22.352]  Well, yeah, I think a couple of things about the numbers.
[01:49:22.352 --> 01:49:25.113]  You know, last year we didn't build one new cemetery.
[01:49:25.113 --> 01:49:26.634]  Okay?
[01:49:26.634 --> 01:49:29.215]  I mean, that tells you something.
[01:49:29.215 --> 01:49:33.597]  If you look at the world data, which they don't make our data that easy to find.
[01:49:33.597 --> 01:49:37.378]  They're always two years late to tell you how many people died in the U.S.
[01:49:37.378 --> 01:49:42.940]  But world data shows it was basically the same death rate last year as it was the year before, and the year before, and the year before.
[01:49:42.940 --> 01:49:43.100]  Exactly.
[01:49:43.100 --> 01:49:44.381]  It was dramatically different.
[01:49:44.381 --> 01:49:44.821]  Okay?
[01:49:44.821 --> 01:49:46.862]  Now, that isn't to say there isn't something going on.
[01:49:47.515 --> 01:49:50.616]  But it's not perhaps what we have been told.
[01:49:50.616 --> 01:49:52.817]  I don't think it is what we've been told.
[01:49:52.817 --> 01:50:05.041]  And all this nonsense about... Well, let me just say, I talked to you about the cycling of the tests and they claim they're going to correct that as of January 1st or whatever and they're going to change the test.
[01:50:05.041 --> 01:50:12.303]  But I think one of the other things to say about these tests, and this makes everything suspect about what's going on and why people are dying now,
[01:50:13.422 --> 01:50:23.366]  I took, you know, these tests were developed by three different places, the Louis Pasteur Institute in Europe, the CDC, and the Drosten tests.
[01:50:23.366 --> 01:50:32.829]  And they give you, it turns out I just found, you can find the genomic sequence on these tests that they're using for the different, they each have three proteins they're looking for.
[01:50:32.829 --> 01:50:38.811]  They developed these to theoretically diagnose COVID, right, to diagnose SARS-CoV-2, a virus they say.
[01:50:39.640 --> 01:50:42.042]  I ran those genetic sequences through BLAST.
[01:50:42.042 --> 01:50:56.093]  BLAST is the, if you have a little, if I see a squished something on the floor and I want to know what it is and I scrape it up and I prime it, I put primers down there and figure out the genetic sequence of the stuff, I can put it into BLAST and it tells me the closest fit.
[01:50:56.093 --> 01:51:00.437]  Oh, that's a banana or that's a chimpanzee, you know, gene 3.
[01:51:00.437 --> 01:51:08.804]  Well, I put all these PCR tests, they're theoretically testing for SARS-CoV-2, expecting that I would get some SARS-CoV-2 pop-up.
[01:51:09.805 --> 01:51:14.186]  Everyone popped up homo sapiens, different genes.
[01:51:14.186 --> 01:51:17.687]  In other words, we're being tested to ourselves, it looks like.
[01:51:17.687 --> 01:51:22.448]  Now I'm waiting for somebody else... Well, you're the doctor, so quantify that for those of us that are ignorant.
[01:51:22.448 --> 01:51:23.068]  What does that mean?
[01:51:23.068 --> 01:51:30.369]  They're not testing for the gene of SARS-CoV-2, they're testing for our own human genetics.
[01:51:30.369 --> 01:51:33.710]  So they're going, oh, you're human, that means you're positive, you're the disease.
[01:51:34.531 --> 01:51:40.554]  No, it's creating this year, in other words, another huge, huge, vast falsehood.
[01:51:40.554 --> 01:51:45.617]  We haven't really isolated the virus, we don't know what we're dealing with, and we have false tests.
[01:51:45.617 --> 01:51:49.539]  So now here's the problem, and I can tell you, this is a problem that hit my family.
[01:51:49.539 --> 01:51:53.661]  Both my husband and I were very sick, and he ended up in the hospital in spite of my best efforts.
[01:51:53.661 --> 01:51:58.003]  That's what I'm saying, I'm saying nothing was going on last year, all hell's breaking loose.
[01:51:58.003 --> 01:51:59.504]  I don't need to read the newspaper, I can see it.
[01:52:00.655 --> 01:52:03.098]  So there's a couple things that could be going on.
[01:52:03.098 --> 01:52:06.762]  One is, and I think this may be part of it, there may be spreading something else.
[01:52:06.762 --> 01:52:07.403]  We don't know.
[01:52:07.403 --> 01:52:14.451]  Can't prove that, but what I can absolutely prove is that there's a double head fake going on with physicians.
[01:52:14.451 --> 01:52:18.956]  And what's happened is now everybody is thinking we're all treating COVID.
[01:52:18.956 --> 01:52:21.119]  We're all treating a virus, okay?
[01:52:21.679 --> 01:52:22.380]  Thank you.
[01:52:36.981 --> 01:52:43.886]  What would have happened 10 years ago, if you came in short of breath, coughing, having a chest x-ray that's got infiltrate, what would they treat you for?
[01:52:43.886 --> 01:52:46.107]  They'd treat you with antibiotics for pneumonia.
[01:52:46.107 --> 01:52:48.709]  And many people were saved by that, okay?
[01:52:48.709 --> 01:52:50.470]  That's a classic treatment.
[01:52:50.470 --> 01:52:50.930]  Exactly.
[01:52:50.930 --> 01:52:54.192]  One of my own crew members, Rob Dew, went, they wouldn't even get him antibiotics.
[01:52:54.192 --> 01:52:55.853]  He got out, took them, and got better.
[01:52:55.853 --> 01:52:57.674]  They wouldn't even give him that in Austin.
[01:52:57.674 --> 01:52:59.415]  Default would be give antibiotics.
[01:52:59.415 --> 01:53:00.936]  They don't do it now.
[01:53:00.936 --> 01:53:05.039]  Because they probably gave him a test, said, oh, you're positive for COVID, so we don't treat that with antibiotics.
[01:53:05.922 --> 01:53:05.982]  Yes.
[01:53:16.266 --> 01:53:19.427]  He had what sounded like a bowel obstruction.
[01:53:19.427 --> 01:53:21.088]  He was a 50-year physician.
[01:53:21.088 --> 01:53:28.151]  He went into the hospital, positive for COVID, and they took him into isolation room and had no workup for his bowel and died.
[01:53:28.151 --> 01:53:32.433]  I mean, I have to say, this is part of the takedown.
[01:53:32.433 --> 01:53:37.635]  I don't think- Sure, it's a takeover of medicine where they don't do regular tests, they just say it's COVID and you die.
[01:53:38.755 --> 01:53:50.722]  And one of the problems here, this is a big problem, so I'm not saying there isn't something out here, but if it is one of these nanoparticles that we've been infected with, similar to the ones we've already been infected with, we now have some strategies.
[01:53:50.722 --> 01:54:01.288]  I've got them outlined on my side, but good doctors like Dr. Zelenko and Didier Raoul and Dr. Corey, you know, all these guys, they figured out things.
[01:54:01.288 --> 01:54:04.970]  And Dr. McCullough put, bravely, at the cost of his job, put all these things together.
[01:54:05.570 --> 01:54:10.872]  We're listening, our hospitals are listening to people like Tony Fauci that are not treating physicians.
[01:54:10.872 --> 01:54:15.074]  And they're not listening to people like Brian Tyson, my friend in El Centro.
[01:54:15.074 --> 01:54:18.496]  He's seen, he has treated over 6,200 patients.
[01:54:18.496 --> 01:54:22.737]  The people that came to see him, he's only had seven deaths and two hospitalizations.
[01:54:22.737 --> 01:54:27.900]  But those are people that, those and those all were people, the deaths were all in people that came too late.
[01:54:27.900 --> 01:54:29.680]  They came after seven days.
[01:54:29.680 --> 01:54:30.881]  So the issue here is,
[01:54:31.827 --> 01:54:34.068]  We have lots of treatments.
[01:54:34.068 --> 01:54:36.328]  We've got to get immediate treatment.
[01:54:36.328 --> 01:54:37.348]  We've got to, yeah.
[01:54:37.348 --> 01:54:40.929]  We've got to remind doctors to treat people like you did.
[01:54:40.929 --> 01:54:46.790]  Remember how you treated people 10 years ago, or even 3 years ago, when we had the maximum medicine?
[01:54:46.790 --> 01:54:50.511]  It's one thing to miss untreatable disease, but don't ever miss treatable disease.
[01:54:50.511 --> 01:54:51.431]  Well, Doc, let's go back.
[01:54:51.431 --> 01:54:57.792]  I'm not a doctor like you, but I remember a year and a half ago, when COVID was going around, they'd say, stay at home until you can't breathe.
[01:54:57.792 --> 01:54:59.993]  Well, regular folks with pneumonia weren't getting anything.
[01:55:00.967 --> 01:55:02.333]  They're still doing it.
[01:55:02.333 --> 01:55:04.663]  They go to the hospital, they say you're not sick enough for treatment yet.
[01:55:05.572 --> 01:55:10.456]  Now, you know, the idea of the hospitals being full, I haven't observed that.
[01:55:10.456 --> 01:55:16.380]  I mean, I'm not working anymore in a hospital, somewhat thanks to this, but I hear people that do.
[01:55:16.380 --> 01:55:19.943]  There are a lot of nurses squeaking out there and they say, no, we're not overwhelmed.
[01:55:19.943 --> 01:55:20.504]  No, I agree.
[01:55:20.504 --> 01:55:21.364]  A lot of places aren't.
[01:55:21.364 --> 01:55:23.526]  A lot of nurses have quit over forced speculation.
[01:55:23.526 --> 01:55:27.869]  I'm just saying, last year was quiet compared to even the year before from what I saw.
[01:55:27.869 --> 01:55:32.673]  This year, there's a lot of crazy stuff going on and the evidence, I've got all the articles right here.
[01:55:32.673 --> 01:55:33.414]  Doc, can you speak to this?
[01:55:34.721 --> 01:55:40.066]  That most of the people dying, or most of the folks in the hospital have been vaccinated.
[01:55:40.066 --> 01:55:42.949]  Yeah, and that's another thing they're not telling you the truth about.
[01:55:42.949 --> 01:55:59.405]  You know, Pfizer, when they first vaccinated the Israelis, okay, it's kind of a good test because it's one country, kind of homogeneous, and they used one vaccine, the Pfizer vaccine, at a time, and the government released data like mid-February.
[01:56:00.069 --> 01:56:04.110]  It was reviewed by some Israelis living in France.
[01:56:04.110 --> 01:56:10.031]  Dr. Seligman, who's an epidemiologist from Marseille, and his partner Yativ, who's an engineer.
[01:56:10.031 --> 01:56:11.451]  These guys reviewed the data.
[01:56:11.451 --> 01:56:23.514]  At the time that 12.5% of the Israelis had been vaccinated, 51% of the deaths from COVID, the disease we're supposed to be vaccinating against, were in vaccinated people.
[01:56:23.514 --> 01:56:28.995]  And then when they looked at, they broke it down by age, Dr. Seligman and his partner came out and they said, look it,
[01:56:29.694 --> 01:56:32.875]  Yeah, the government tells you it's 95% effective.
[01:56:32.875 --> 01:56:33.795]  That's a talking point.
[01:56:33.795 --> 01:56:40.077]  You know, again, every time you hear this 95 number, I swear, that's just propaganda from our intelligence services.
[01:56:40.077 --> 01:56:48.480]  The real number was if you were over 65 and you took the vaccine, you were 40 times more likely to die of COVID.
[01:56:48.480 --> 01:56:51.261]  And if you were under 29, it was even worse.
[01:56:51.261 --> 01:56:57.283]  I mean, the damage versus if you've just been left alone, because under 29 year old people don't die to begin with of COVID.
[01:56:57.873 --> 01:57:00.935]  And so, that's happening all over now.
[01:57:00.935 --> 01:57:07.920]  I think I heard Massachusetts, there was something like 70% of the people that were in the ICU were vaccinated.
[01:57:07.920 --> 01:57:10.181]  Part of the problem, they're going to lie to you about these numbers.
[01:57:10.181 --> 01:57:11.582]  Don't be confused.
[01:57:11.582 --> 01:57:14.224]  And don't be confused about Delta variants.
[01:57:14.224 --> 01:57:19.087]  I mean, even if there is a Delta variant, their own numbers show it's the least deadly out there.
[01:57:19.087 --> 01:57:27.733]  So, you know, you had my friend Kate Daly on here, and she's very funny, and she calls anybody that believes in these variants as a member of the Lambda Delta Nu fraternity for morons.
[01:57:27.993 --> 01:57:29.014]  Sure, stay there then.
[01:57:29.014 --> 01:57:30.735]  Thought we had two more segments with you.
[01:57:30.735 --> 01:57:34.758]  I want to hear you just lay out what you think we should do, how we should counter.
[01:57:34.758 --> 01:57:37.100]  Should we see the indictment of Fauci, the bag man?
[01:57:37.100 --> 01:57:42.764]  Because that's the way to shut down these guys being the authority is to expose they're the authors of this takeover.
[01:57:42.764 --> 01:57:44.165]  Hour number three, stay with us.
[01:57:47.179 --> 01:57:52.480]  I'm up here working on a Thursday night in mid-April 2021, and I just want to say something.
[01:57:52.480 --> 01:57:57.401]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[01:57:57.401 --> 01:58:02.262]  It is truly an answer to prayer, and I am so blessed and thankful for all of you, the listeners of this show.
[01:58:02.262 --> 01:58:05.163]  I want you to know that I love you, and I appreciate you.
[01:58:05.163 --> 01:58:08.543]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[01:58:08.543 --> 01:58:09.724]  You got red blood.
[01:58:09.724 --> 01:58:16.645]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together, and it has just been
[01:58:17.245 --> 01:58:20.186]  An incredible experience to work with you over the years.
[01:58:20.186 --> 01:58:24.048]  And as crazy as things are, I want to keep working into the future.
[01:58:24.048 --> 01:58:26.949]  But again, that's really up to you and up to God.
[01:58:26.949 --> 01:58:31.831]  So please, I hope God works through you and puts a message in your heart to support us.
[01:58:31.831 --> 01:58:34.473]  Again, that's up to you and your relationship with God.
[01:58:34.473 --> 01:58:38.855]  I just want to thank you all for the years of support you've given us and what you've done.
[01:58:38.855 --> 01:58:42.976]  And just ask you again to pray to God and ask what God's vision is for you.
[01:58:42.976 --> 01:58:45.938]  And hopefully God will touch your heart to continue to support him for worse.
[01:58:45.938 --> 01:58:46.318]  God bless.
[01:58:50.325 --> 01:58:53.731]  What are champions made of?
[01:58:53.731 --> 01:58:54.872]  Here's a man who can show you.
[01:59:01.440 --> 01:59:03.021]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[01:59:03.021 --> 01:59:04.901]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[01:59:04.901 --> 01:59:06.062]  AAA-253-3139 is the InfoWars store hotline.
[01:59:06.062 --> 01:59:07.942]  AAA-253-3139 is the InfoWars store hotline.
[01:59:07.942 --> 01:59:09.243]  AAA-253-3139 is the InfoWars store hotline.
[01:59:09.243 --> 01:59:10.203]  AAA-253-3139 is the InfoWars store hotline.
[01:59:27.649 --> 01:59:31.111]  InfoWarsStore.com is simply the best.
[01:59:31.111 --> 01:59:32.752]  InfoWarsStore.com beats out all the rest.
[01:59:32.752 --> 01:59:34.713]  888-253-3139, 888-253-3139, 888-253-3139 is the InfoWarsStore hotline.
[01:59:34.713 --> 01:59:35.994]  888-253-3139, 888-253-3139, 888-253-3139, that's InfoWarsStore.com.
[01:59:35.994 --> 01:59:37.295]  You're listening to the Alex Jones Show.
[02:00:03.168 --> 02:00:07.089]  Welcome back into our number three in the last segment of this hour.
[02:00:07.089 --> 02:00:17.071]  Project Veritas is going to join us with exclusive details of DHS insider blows whistle on global child sex trafficking cartels exploiting immigration loophole.
[02:00:17.071 --> 02:00:18.971]  This is big.
[02:00:18.971 --> 02:00:22.191]  And then we have another special guest coming up in the fourth hour.
[02:00:22.191 --> 02:00:26.292]  But Dr. Lee Merritt, this is a short segment, long segment coming up that you're going to leave us.
[02:00:26.292 --> 02:00:28.032]  We really appreciate your time.
[02:00:28.032 --> 02:00:30.593]  Please continue to impart your great knowledge on folks.
[02:00:32.150 --> 02:00:37.035]  Well, I guess in the short segment, I'm going to say to people, you know, there's kind of three phases here to take our world back.
[02:00:37.035 --> 02:00:40.359]  The first one is you have to take safety for your own family.
[02:00:40.359 --> 02:00:41.880]  And I want to talk a little about that.
[02:00:41.880 --> 02:00:46.144]  And then the next thing is how to how to prepare for the future.
[02:00:46.144 --> 02:00:49.248]  And then the last and how to deal with the mandates, because
[02:00:49.992 --> 02:00:52.614]  I get calls on that all the time, on the mandates.
[02:00:52.614 --> 02:00:57.097]  And then we can finish up with how to take the world back, I guess.
[02:00:57.097 --> 02:01:05.402]  But the first thing is, you have to figure out, when you look at who you're going to trust, again, don't trust the government officials and the hospital officials.
[02:01:06.002 --> 02:01:06.242]  Thank you.
[02:01:22.092 --> 02:01:26.675]  Why, after all the billions of dollars we gave the CDC, did they not tell you to take vitamin D?
[02:01:26.675 --> 02:01:28.236]  You know, Alex, you got it in the shop.
[02:01:28.236 --> 02:01:39.703]  This is, you know, it's so, it's so simple, it's not expensive, but the biggest, the Indonesians looked at this and they realized the biggest risk to ending up in the ICU or dead is having a vitamin D level below 30.
[02:01:39.703 --> 02:01:42.125]  And I'm just going to tell you, the sun doesn't do that for you.
[02:01:42.125 --> 02:01:42.545]  Yeah.
[02:02:13.052 --> 02:02:13.893]  That's right.
[02:02:13.893 --> 02:02:14.333]  That's right.
[02:02:14.333 --> 02:02:16.955]  That's why I say I'm not suicidal either.
[02:02:16.955 --> 02:02:20.417]  And then the other thing is Ivermectin and hydroxychloroquine.
[02:02:20.417 --> 02:02:22.238]  There is just no question they work.
[02:02:22.238 --> 02:02:25.520]  Now, if you're sick, you need to be treated early.
[02:02:25.520 --> 02:02:33.386]  And I'm going to tell you, even if you go to a doctor that cares and that knows about the protocols and writes for you for Ivermectin,
[02:02:34.065 --> 02:02:35.526]  Pharmacies may be out.
[02:02:35.526 --> 02:02:39.309]  There's a shortage of everything, and the price has gone up considerably.
[02:02:39.309 --> 02:02:40.389]  Considerably.
[02:02:40.389 --> 02:02:44.792]  I mean, for 120 tablets now of the Ivermectin, you'll pay $500 if you don't have insurance.
[02:02:44.792 --> 02:02:46.453]  So a lot of people can't afford that.
[02:02:46.453 --> 02:02:48.775]  So there are ways of getting these things offline.
[02:02:48.775 --> 02:02:52.017]  You don't have to see a doctor to get them over the internet.
[02:02:52.017 --> 02:03:00.843]  People that worry about getting drugs from overseas, I point out that the Chinese have been supplying our pharmaceuticals, over 90% of them, for the last decade.
[02:03:01.403 --> 02:03:02.364]  Yeah, or India.
[02:03:02.364 --> 02:03:03.405]  You know, I was an Indian.
[02:03:03.405 --> 02:03:06.208]  I went to a dirt floor pharmacy and got stuff that was wrapped by cereal.
[02:03:06.208 --> 02:03:08.110]  I mean, come on.
[02:03:08.110 --> 02:03:08.631]  So it worked.
[02:03:20.194 --> 02:03:28.438]  And so let me just mention about one quick thing on mandates because their kids are going back to the schools and their masks and all that sort of stuff.
[02:03:28.438 --> 02:03:30.619]  Nobody can give you a little hall pass.
[02:03:30.619 --> 02:03:32.320]  Your doctor can't do it.
[02:03:32.320 --> 02:03:37.883]  If you ask your doctor for a vaccine certificate or a vaccine pass or a mask
[02:03:38.567 --> 02:03:44.511]  What's going to do is put your doctor on the ridgeline to the medical board in his state or her state.
[02:03:44.511 --> 02:03:51.796]  So don't expect, there are only five, Dr. McCullough just said this the other day, that he thinks there are about 500 doctors trying to stand up against this whole tsunami.
[02:03:52.555 --> 02:03:55.776]  It is time to realize people that we are at war.
[02:03:55.776 --> 02:03:56.757]  It's not a virus.
[02:03:56.757 --> 02:03:57.777]  They're coming after you.
[02:03:57.777 --> 02:03:59.398]  They're coming after your children.
[02:03:59.398 --> 02:04:03.740]  And when it comes to mask mandates in the school, they don't care about your children.
[02:04:03.740 --> 02:04:06.521]  They don't care about education of your children.
[02:04:06.521 --> 02:04:09.282]  They care about the money of your child sitting in that seat.
[02:04:09.282 --> 02:04:10.783]  That's the only thing they care about.
[02:04:10.783 --> 02:04:17.906]  And I would, I would recommend that you just get with your friends, get all together and go down and put down your homeschooling paperwork.
[02:04:18.703 --> 02:04:26.328]  You know, the collectivists among the school people would probably have a real hissy fit if 20, 30 people suddenly pulled their kids out of school.
[02:04:26.328 --> 02:04:28.209]  That's a lot of money to the school district.
[02:04:28.209 --> 02:04:30.370]  That's the kind of action that's going to make a difference.
[02:04:30.370 --> 02:04:31.931]  All right, Doc, we're back in 60 seconds.
[02:04:31.931 --> 02:04:32.512]  You're on fire.
[02:04:32.512 --> 02:04:38.115]  I want to get back into action and back into what you're saying and back into how we stand up against this.
[02:04:38.115 --> 02:04:42.878]  As you just said, there's a lot of great material on your site, TheMedicalRebel.com.
[02:04:42.878 --> 02:04:44.119]  That is scary.
[02:04:44.119 --> 02:04:44.939]  It is about 500 doctors.
[02:04:46.260 --> 02:04:49.706]  We've got to boost and support every single one of you like our lives depend on it because they do.
[02:04:58.445 --> 02:05:02.187]  Not all vitamin and mineral supplements are equal.
[02:05:02.187 --> 02:05:03.287]  Many of them are synthetic.
[02:05:03.287 --> 02:05:05.248]  Many of them have fillers and additives.
[02:05:05.248 --> 02:05:08.250]  Many of them just pass right through the body and are not absorbed.
[02:05:08.250 --> 02:05:17.154]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but is finally back in stock.
[02:05:17.154 --> 02:05:19.636]  And that is Vitamin Mineral Fusion.
[02:05:19.636 --> 02:05:22.277]  All the essential vitamins, all the essential minerals,
[02:05:22.637 --> 02:05:26.760]  A bunch of key amino acids to help it upload better into your body and your cells.
[02:05:26.760 --> 02:05:27.721]  It's in powder form.
[02:05:27.721 --> 02:05:28.902]  It's great for children.
[02:05:28.902 --> 02:05:29.822]  It's great for adults.
[02:05:29.822 --> 02:05:34.606]  It's really important for folks that are older because they don't absorb as well through their guts.
[02:05:34.606 --> 02:05:36.867]  This liquid formula really, really does.
[02:05:36.867 --> 02:05:41.771]  You mix up a pitcher of it every couple days, put it in the refrigerator or keep it out in the kitchen.
[02:05:42.131 --> 02:05:44.532]  And just remember to drink it in the morning and in the evening.
[02:05:44.532 --> 02:05:50.733]  It tastes great, it makes your body healthy, it boosts your immune system, and it funds the end full war.
[02:05:50.733 --> 02:05:52.293]  A true 360 win.
[02:05:52.293 --> 02:05:55.954]  So Vitamin Mineral Fusion, sold out for months, is back in stock for a limited time.
[02:05:55.954 --> 02:06:00.795]  33% off at fullwarscore.com.
[02:06:00.795 --> 02:06:02.895]  The Alex Jones Show.
[02:06:02.895 --> 02:06:05.616]  Because there is a war on for your mind.
[02:06:07.349 --> 02:06:09.151]  Well, another impressive soul.
[02:06:09.151 --> 02:06:11.833]  A great lady, a great patriot.
[02:06:11.833 --> 02:06:16.097]  As she said, she's been training to be a medical doctor since she was four years old.
[02:06:16.097 --> 02:06:19.540]  With her daddy, who was a doctor, going around seeing his patients.
[02:06:19.540 --> 02:06:21.141]  You know, that's how I grew up.
[02:06:21.141 --> 02:06:22.342]  Becoming a large animal vet.
[02:06:22.342 --> 02:06:23.483]  Never got a degree in it.
[02:06:23.483 --> 02:06:25.605]  Was working on the ranch at four, five, six years old.
[02:06:25.605 --> 02:06:27.506]  Going around and working on cows and horses.
[02:06:27.506 --> 02:06:28.908]  That's how you get the real knowledge.
[02:06:28.908 --> 02:06:32.451]  And here she is, all those years later, exposing this great tyranny.
[02:06:32.451 --> 02:06:34.232]  So, Doc, you've been on a roll.
[02:06:34.232 --> 02:06:34.913]  Please continue.
[02:06:36.351 --> 02:06:44.001]  Well, the next thing people need to know is, and I usually never in my whole life did I tell people, don't do a treatment or don't do a vaccine.
[02:06:44.001 --> 02:06:47.485]  I used to say, look, you need to educate yourself and make your own decision.
[02:06:47.485 --> 02:06:49.508]  This is what I know about it, blah, blah, blah.
[02:06:49.508 --> 02:06:54.214]  But now I'm going to just tell you, I believe the vaccine is part of the bioweapon or the big bioweapon right now.
[02:06:54.874 --> 02:06:57.035]  And we don't know the long-term consequences.
[02:06:57.035 --> 02:07:03.017]  I can tell you we are seeing cancers break out, and that's because they dumbed down your innate immune system.
[02:07:03.017 --> 02:07:04.718]  How crazy is it to do this?
[02:07:04.718 --> 02:07:16.162]  You've had COVID, you're immune, you take the vaccine, and it now takes away all that immunity to this God-given natural great immunity to COVID, or to the SARS-CoV-2, whatever you want to call it.
[02:07:16.622 --> 02:07:16.922]  Thank you.
[02:07:31.673 --> 02:07:33.594]  We're trying to ameliorate the problems.
[02:07:33.594 --> 02:07:37.776]  I've got a thing on my side about what to do if you have vaccine remorse.
[02:07:37.776 --> 02:07:39.237]  I think we're going to get better at this.
[02:07:39.237 --> 02:07:44.920]  I don't think it's the kiss of death that Luke Montagnier said.
[02:07:44.920 --> 02:07:46.641]  And he was misquoted, by the way.
[02:07:46.641 --> 02:07:52.724]  What he really said is if you take this vaccine and then you wear a mask, you might be dead in a couple of years.
[02:07:52.724 --> 02:07:56.926]  Or if you get another vaccine, you may be dead in a couple of years because they're additive.
[02:07:56.926 --> 02:07:57.807]  They're super additive.
[02:07:58.567 --> 02:08:00.568]  So, don't take the vaccine.
[02:08:00.568 --> 02:08:05.771]  And I think, here's, I guess, we were talking, we started with the military, and I just want to say this one point quickly about that.
[02:08:05.771 --> 02:08:20.260]  One of the saddest vaccine stories in the military was the anthrax vaccine that gave people, it was one batch of the anthrax vaccine, no question, had squalene as an adjuvant, pushed through an emergency use for the Gulf War, and that's what gave these guys Gulf War syndrome.
[02:08:20.840 --> 02:08:26.222]  Now, one of my great friends and neighbors works in the VA.
[02:08:26.222 --> 02:08:32.023]  He took the vaccine years ago that gave people Gulf War Syndrome, and it had squalene in it.
[02:08:32.023 --> 02:08:49.449]  But fortunately, he hasn't been damaged yet that we know of, but he gets a letter from the VA saying, you know, make sure if you have any neurologic signs and symptoms, you remember that you're at risk of amyotrophic lateral sclerosis or Lou Gehrig's disease, fatal neurologic disease, at four times the baseline rate.
[02:08:49.449 --> 02:08:50.589]  And they remind him of that and that he
[02:08:50.589 --> 02:08:50.929]  We're good.
[02:09:12.307 --> 02:09:14.029]  Keep that in mind when you want to trust these guys.
[02:09:14.029 --> 02:09:21.900]  I have, you know, I give a talk and some little old lady will come up, little old lady being a couple years older than me, will come up and say, well, what about the shingles vaccine?
[02:09:21.900 --> 02:09:26.186]  And I say, listen, you heard what I just said about what's been going on.
[02:09:26.186 --> 02:09:27.789]  I don't even trust my toothpaste.
[02:09:27.789 --> 02:09:29.331]  How are you going to take another vaccine?
[02:09:30.290 --> 02:09:32.192]  The other thing is don't wear a mask.
[02:09:32.192 --> 02:09:34.294]  I'm going to tell you, I don't care what they do.
[02:09:34.294 --> 02:09:38.718]  I mean, they're talking about a $600 fine in Omaha or six months in jail.
[02:09:38.718 --> 02:09:43.262]  I think I'm going to go down and look at the Douglas County Jail and see what it looks like.
[02:09:43.262 --> 02:09:46.545]  You know, the masks are evil.
[02:09:46.545 --> 02:09:48.406]  They're just pure evil.
[02:09:48.406 --> 02:09:56.774]  In fact, this is, I came, I ended up on your BandDot video when I gave my mask lecture for AFLDS, America's Frontline Doctors.
[02:09:57.154 --> 02:09:57.555]  Why?
