[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[01:45:06.516 --> 01:45:08.097]  Yeah, we can just really get a good look at this guy.
[01:45:08.097 --> 01:45:10.677]  There's some of the enhanced footage right there.
[01:45:10.677 --> 01:45:12.178]  So we can see this individual.
[01:45:13.127 --> 01:45:21.252]  Uh, being let out and everything that basically happened.
[01:45:21.252 --> 01:45:21.852]  Yeah, there he is.
[01:45:21.852 --> 01:45:23.033]  Yeah, we got the slow down footage.
[01:45:23.033 --> 01:45:25.595]  So, so, and yes, he has white skin.
[01:45:25.595 --> 01:45:29.197]  It doesn't matter if he has black skin or brown skin or whatever skin he has.
[01:45:29.197 --> 01:45:31.198]  What he did is wrong and psychotic and evil.
[01:45:31.198 --> 01:45:37.602]  And that's why we have armed people to protect us from it because we're becoming a mentally ill, sick society.
[01:45:38.985 --> 01:45:44.589]  And even if only a few hundred people get killed a year in mass shootings, it's still too much.
[01:45:44.589 --> 01:45:47.590]  But what about the mass inoculation deaths we see?
[01:45:47.590 --> 01:45:49.892]  What about all the people dying after inoculations?
[01:45:49.892 --> 01:45:51.613]  They go, well, we don't know it was that.
[01:45:51.613 --> 01:45:53.134]  Sure, you died two hours after.
[01:45:53.134 --> 01:45:54.355]  Sure, you died a day after.
[01:45:54.355 --> 01:46:02.460]  Sure, you were a 36-year-old healthy mom of a 9-year-old that worked in a doctor's office, and you took it and your organs liquefied, and the doctor said clearly it was an autoimmune response.
[01:46:02.460 --> 01:46:04.481]  And so what the literature says, it does that.
[01:46:04.481 --> 01:46:06.582]  We're just not going to have a big freakout about that.
[01:46:06.582 --> 01:46:07.703]  But oh, this!
[01:46:08.783 --> 01:46:14.827]  It's going to be spun that he was a mentally ill white man, not a quote, Asian Islamicist.
[01:46:14.827 --> 01:46:24.033]  And yes, they count Arabs as Asian, even though it's a mix of Caucasoids, Africans, and Asians.
[01:46:24.033 --> 01:46:28.076]  And I won't even say the scientific name of what's in the scientific books for Africans.
[01:46:28.076 --> 01:46:29.297]  It's not even a racist term.
[01:46:29.297 --> 01:46:30.097]  You just can't say it.
[01:46:30.097 --> 01:46:32.019]  Everybody thinks science is bad now.
[01:46:32.019 --> 01:46:33.780]  They think science is scary.
[01:46:33.780 --> 01:46:38.483]  But probably you want to, behind the term Caucasian, all it means is from the
[01:46:39.187 --> 01:46:43.689]  Caucus Mountains!
[01:46:43.689 --> 01:46:54.193]  But this, this is what it's all about, ladies and gentlemen, is the public so dumbed down, so crazy, so bombarded, that they think words and symbols are all bad.
[01:46:54.193 --> 01:47:02.457]  And I see articles everywhere saying, we're not banning books, we're retiring hundreds of thousands of books as fast as universities can say, we think this is a
[01:47:04.019 --> 01:47:05.080]  Time-dated book.
[01:47:05.080 --> 01:47:09.743]  Oh, it's not up to your standards today of your language and your cult, so it's got to go.
[01:47:09.743 --> 01:47:12.245]  I want to read stuff Julius Caesar wrote.
[01:47:12.245 --> 01:47:14.307]  I want to read stuff Adolf Hitler wrote.
[01:47:14.307 --> 01:47:16.068]  I want to read things Mao Zedong wrote.
[01:47:16.068 --> 01:47:20.412]  Not because I agree with them, but I want to understand who they were.
[01:47:20.412 --> 01:47:27.517]  And anybody telling you you shouldn't be able to read what those people wrote is the real tyrant in your day that's threatening you and your family.
[01:47:29.136 --> 01:47:33.180]  You saw the San Bernardino shooting, where the husband and wife Islamists built the bombs.
[01:47:33.180 --> 01:47:36.423]  The neighbors saw the bombs being built, but said, well, we want to be politically correct.
[01:47:36.423 --> 01:47:38.544]  They're Muslims, so we want to call the police on them.
[01:47:38.544 --> 01:47:43.629]  And they go shoot a bunch of people in front of the Christmas tree at the office party.
[01:47:43.629 --> 01:47:50.135]  And for a year, the Obama administration suppressed the FBI report that they did it in affiliation with ISIS.
[01:47:52.347 --> 01:48:00.495]  And it happens at the Naval Yard shootings, and at the nightclub shootings, and at so many of these shootings that an Islamist just goes in and he just screams Allah Akbar.
[01:48:00.495 --> 01:48:03.377]  Remember the guy that ran over everybody in New York screaming Allah Akbar?
[01:48:03.377 --> 01:48:06.680]  They were having congressional hearings about censoring InfoWars that day.
[01:48:06.680 --> 01:48:11.265]  They went, they came back from lunch, they go, I saw InfoWars was the top of Twitter today.
[01:48:11.265 --> 01:48:13.407]  They said, we saw it too at lunch.
[01:48:13.407 --> 01:48:16.409]  Congressman Wigley, I'm not kidding from Illinois.
[01:48:16.409 --> 01:48:17.871]  Congressman Wigley, or Quigley.
[01:48:18.405 --> 01:48:20.005]  Congressman Quigley, we're sorry.
[01:48:20.005 --> 01:48:22.086]  We'll have AI soon that blocks that.
[01:48:22.086 --> 01:48:23.326]  It's fake news.
[01:48:23.326 --> 01:48:24.586]  It's not Islamic attack.
[01:48:24.586 --> 01:48:27.067]  He just screamed Allah Akbar.
[01:48:27.067 --> 01:48:31.448]  God is great, as he ran people over with the truck, killing them in D.C.
[01:48:31.448 --> 01:48:35.349]  And all the other attacks are also not Islamic as well, and we're all being told that.
[01:48:35.349 --> 01:48:38.129]  It's a white male, a white Christian, a conservative.
[01:48:38.129 --> 01:48:39.430]  He did it.
[01:48:39.430 --> 01:48:41.650]  Turn your guns in.
[01:48:41.650 --> 01:48:46.131]  And Joe Biden, I've got the article out here, has pledged to ban all semi-autos, makes me turn them in.
[01:48:46.960 --> 01:48:51.344]  And put taxes on ammo, and here's USA Today.
[01:48:51.344 --> 01:48:54.386]  Extremists are putting tactical gear at the forefront.
[01:48:54.386 --> 01:49:00.371]  As sales soar, some companies seek distance from the controversy.
[01:49:00.371 --> 01:49:06.456]  Oh my gosh, some people at the Capitol wore helmets and wore gear because they see Antifa doing it.
[01:49:06.456 --> 01:49:08.517]  Antifa pledged to come out and attack everybody.
[01:49:08.517 --> 01:49:12.701]  And so because they wear a gas mask or a helmet, they say we need to ban all of this.
[01:49:12.701 --> 01:49:15.343]  And then Americans, the articles say, have never seen this before.
[01:49:16.267 --> 01:49:19.089]  Only right-wingers would dare, it says, to wear uniforms.
[01:49:19.089 --> 01:49:20.650]  You've got to read the article.
[01:49:20.650 --> 01:49:22.651]  Only Trump people would wear uniforms.
[01:49:22.651 --> 01:49:24.572]  Only they would wear tactical gear.
[01:49:24.572 --> 01:49:25.093]  No, no.
[01:49:25.093 --> 01:49:32.097]  Anti-FUB that, remember, Joy Behar and Nadler say do not exist.
[01:49:32.097 --> 01:49:33.058]  And it's beginning right now.
[01:49:33.058 --> 01:49:34.599]  It's on Infowars.com.
[01:49:34.599 --> 01:49:35.139]  It begins.
[01:49:35.139 --> 01:49:37.861]  Obama calls for gun control after Boulder shooting.
[01:49:38.550 --> 01:49:46.853]  But not the fast and furious guns he shipped by the millions into Mexico and then to Syria to overthrow that country and have a civil war that killed 300,000 people.
[01:49:46.853 --> 01:49:48.634]  No, no, no, no, no, no.
[01:49:48.634 --> 01:49:52.916]  He's not talking about the guns he shipped to Mexico to their cartels that killed over 100,000.
[01:49:52.916 --> 01:49:57.798]  He's not talking about those guns he shipped to drug cartels or to ISIS.
[01:49:57.798 --> 01:50:02.420]  He's talking about you having a gun to protect yourself and how much they don't like that.
[01:50:02.420 --> 01:50:02.900]  And believe me,
[01:50:04.688 --> 01:50:06.969]  It's going to make us a failed state, just like Mexico.
[01:50:06.969 --> 01:50:08.130]  They keep going down this road.
[01:50:08.130 --> 01:50:10.050]  And that's what these lawyers and Democrats want.
[01:50:10.050 --> 01:50:15.373]  They want us a failed state, broken down, big megacities they control that are police states.
[01:50:15.373 --> 01:50:22.996]  All of us out here in the hinterlands being starved to death, our electricity turned off, our coal power plants turned off, that they rule over.
[01:50:22.996 --> 01:50:27.698]  The Hunger Games is a model of what they want to do and what they want to set up.
[01:50:30.484 --> 01:50:47.711]  So continuing, ladies and gentlemen, police identified 21-year-old Ahmed Ali Alaoui Alisa from Syria, brought her to this country as a teenager by the wonderful current president, Barack Hussein Obama.
[01:50:47.711 --> 01:50:53.654]  And yeah, that's the current president's Barack Obama, not his puppet in chief or his deputy puppet Kamala Harris.
[01:50:53.654 --> 01:50:56.335]  Ahmed Alisa, there he is!
[01:50:56.335 --> 01:50:58.416]  He comes to your country and he kills you!
[01:50:59.477 --> 01:51:00.937]  Because it's liberal!
[01:51:00.937 --> 01:51:03.498]  And the whole media goes into overdrive.
[01:51:03.498 --> 01:51:05.659]  Jack Massovic is a great source of accurate information.
[01:51:05.659 --> 01:51:12.241]  Says Biden has been briefed on the Colorado shooting, had ISIS sympathies per White House official.
[01:51:12.241 --> 01:51:14.701]  And believe me, Jack Massovic has amazing sources.
[01:51:14.701 --> 01:51:16.422]  He wouldn't say it if it wasn't true.
[01:51:16.422 --> 01:51:21.043]  He's a thousand times more credible than the New York Times.
[01:51:21.043 --> 01:51:22.163]  And he bought it six days ago.
[01:51:22.163 --> 01:51:23.724]  They go, oh, he was upset!
[01:51:23.724 --> 01:51:27.325]  Just like the Jack Shack incel in Virginia.
[01:51:28.163 --> 01:51:36.289]  In Atlanta, who was mad that he spent his whole paycheck reportedly getting up to three sexual installments a day.
[01:51:36.289 --> 01:51:39.711]  And of course, I mean, I looked at the guy and I said, that guy's an incel.
[01:51:39.711 --> 01:51:42.813]  Can we pull up the admitted shooter in Atlanta?
[01:51:42.813 --> 01:51:44.094]  I mean, look at these guys.
[01:51:44.094 --> 01:51:46.276]  They're all little piggy wimp guys.
[01:51:47.188 --> 01:51:49.008]  Who hate women, hate society.
[01:51:49.008 --> 01:51:54.070]  So I said last night, I said, I bet it's an incel, or somebody with a bunch of drugs, or a mentally ill person.
[01:51:54.070 --> 01:51:55.750]  I should have thought Islamists, that's the same group.
[01:51:55.750 --> 01:51:59.791]  It's the same woman-hating, you know, crazy, control freak ass crap.
[01:51:59.791 --> 01:52:04.052]  But now we have the leftists with the face mask, and the tyranny, and you know, all the suppression.
[01:52:04.052 --> 01:52:04.832]  We have the Democrats.
[01:52:04.832 --> 01:52:05.973]  Yeah, show that beard though.
[01:52:05.973 --> 01:52:07.693]  That beard's quite a thing.
[01:52:07.693 --> 01:52:09.954]  You see a beard like that, you need to run.
[01:52:09.954 --> 01:52:11.514]  Can we shrink that down so we can see his full beard?
[01:52:11.514 --> 01:52:12.474]  There you go.
[01:52:12.474 --> 01:52:14.575]  For TV viewers, we're Samuel Cassidy on the radio, folks.
[01:52:15.985 --> 01:52:18.309]  We also have the UK says it's official.
[01:52:18.309 --> 01:52:19.391]  The lockdown never ends.
[01:52:19.391 --> 01:52:20.432]  The mask never ends.
[01:52:20.432 --> 01:52:24.218]  And it says the people like never leaving their house and getting a free paycheck.
[01:52:24.218 --> 01:52:26.902]  Do you really think you're going to keep getting paychecks from the government?
[01:52:27.518 --> 01:52:29.379]  No, you're being set up to be obsolete.
[01:52:29.379 --> 01:52:31.040]  They're already saying you're not essential.
[01:52:31.040 --> 01:52:32.540]  Wow, have you figured it out yet?
[01:52:32.540 --> 01:52:35.942]  They're vertically integrating the economy with their AI takeover.
[01:52:35.942 --> 01:52:38.523]  And the same thing's being announced in all over the U.S.
[01:52:38.523 --> 01:52:41.264]  Places like Oregon are saying, oh, we're always going to wear face masks.
[01:52:41.264 --> 01:52:42.344]  CDC director, U.S.
[01:52:42.344 --> 01:52:44.665]  could see a avoidable surge.
[01:52:44.665 --> 01:52:46.006]  The same thing in Europe.
[01:52:46.006 --> 01:52:50.528]  If we just keep things locked down, the surge, the surge, and they count every death as
[01:52:50.988 --> 01:52:51.508]  That's COVID.
[01:52:51.508 --> 01:52:52.349]  It's all a fraud.
[01:52:52.349 --> 01:52:53.109]  It's all hysteria.
[01:52:53.109 --> 01:52:59.251]  It's all people getting into how they're safe and they're good because they're a bunch of idiot sheep going to the slaughter.
[01:52:59.251 --> 01:53:01.292]  What a dangerous time.
[01:53:01.292 --> 01:53:07.695]  I'm going to talk next hour about how the globals are going to collapse and why they're going to run out of steam and how we've just got to be there, warning people, explaining.
[01:53:07.695 --> 01:53:09.255]  The more you submit, the worse it gets.
[01:53:09.255 --> 01:53:11.696]  Just remember, the more you submit, the worse it gets.
[01:53:11.696 --> 01:53:15.118]  And someday you'll decide to stop submitting.
[01:53:15.118 --> 01:53:16.218]  That's coming up next hour.
[01:53:16.218 --> 01:53:17.058]  We'll give the number out. 877.
[01:53:21.525 --> 01:53:22.646]  789-2539.
[01:53:22.646 --> 01:53:24.868]  877-789-ALEX.
[01:53:24.868 --> 01:53:25.369]  877-789-2539.
[01:53:25.369 --> 01:53:27.251]  First-time callers.
[01:53:27.251 --> 01:53:28.092]  Long-time callers.
[01:53:28.092 --> 01:53:28.692]  Agree.
[01:53:28.692 --> 01:53:29.433]  Disagree.
[01:53:29.433 --> 01:53:30.254]  Talk about the economy.
[01:53:30.254 --> 01:53:31.295]  Talk about Biden.
[01:53:31.295 --> 01:53:33.117]  Talk about the Islamist attack.
[01:53:33.117 --> 01:53:34.258]  Talk about the open border.
[01:53:34.258 --> 01:53:35.579]  Talk about the Veritas Project.
[01:53:35.579 --> 01:53:37.081]  Incredible footage and photos.
[01:53:37.081 --> 01:53:38.022]  Talk about it all!
[01:53:38.022 --> 01:53:39.604]  Because they wish we weren't talking!
[01:53:39.604 --> 01:53:40.605]  But we are!
[01:53:40.605 --> 01:53:41.646]  And we're fighting back!
[01:53:43.124 --> 01:53:47.307]  Alex Jones here with the new InfoWars sale and it is a fantastic sale.
[01:53:47.307 --> 01:53:51.369]  It is many of our best-selling products that just so happen to also be selling out.
[01:53:51.369 --> 01:53:56.972]  But despite that, they're 50% off and free shipping on these select items.
[01:53:56.972 --> 01:53:58.133]  Again, all these are selling out
[01:53:58.613 --> 01:54:01.777]  Except for Rainforest, it finally came back into stock.
[01:54:01.777 --> 01:54:02.558]  It's amazing.
[01:54:02.558 --> 01:54:04.480]  It's 50% off and free shipping.
[01:54:04.480 --> 01:54:08.985]  We've got the Toothpaste, the Mouthwash, the Cava Chill, the Vazo Beats, the Alpha Power.
[01:54:08.985 --> 01:54:10.647]  All of these are bestsellers.
[01:54:10.647 --> 01:54:11.548]  50% off and free shipping.
[01:54:13.530 --> 01:54:20.535]  At InfoWarsStore.com or 888-253-3139 and it funds our operation.
[01:54:20.535 --> 01:54:27.341]  Plus, all of the Emirates Essentials, essential oils, natural deodorants, shampoos, conditioners, a whole host of products.
[01:54:27.341 --> 01:54:30.183]  The entire Emirates Essentials line is close to selling out.
[01:54:30.183 --> 01:54:31.344]  We're coming in a few months.
[01:54:31.344 --> 01:54:37.108]  But despite that, right now, ladies and gentlemen, they're all 50% off as well with free shipping.
[01:54:37.108 --> 01:54:41.271]  Just follow the banners at InfoWarsStore.com to huge savings and it funds the Info War.
[01:54:41.271 --> 01:54:41.431]  A 360 win.
[01:54:45.183 --> 01:54:50.347]  Throughout history there have been two basic forms of civilizations and different mixes of the two.
[01:54:50.347 --> 01:54:53.389]  One is born of renaissance, the other is born of conquest.
[01:54:53.389 --> 01:55:01.736]  One bases its power on having strong, enlightened, focused people with an ethos and a culture and ingenuity and art and skill and strength.
[01:55:02.436 --> 01:55:08.799]  The other is based on the massive number of slaves it controls with a tiny elite above it.
[01:55:08.799 --> 01:55:16.902]  America is transferring out of a system based on the ethos of liberty and freedom into one of total mass high-tech slavery.
[01:55:16.902 --> 01:55:20.524]  That's why the globalists tell us America was founded on slavery when it wasn't.
[01:55:20.524 --> 01:55:24.786]  They point out one of our evils so they can invert the fact that they are truly the slave masters.
[01:55:25.346 --> 01:55:27.108]  A global permanent lockdown is here.
[01:55:27.108 --> 01:55:30.470]  It's already causing millions and millions to starve to death.
[01:55:30.470 --> 01:55:32.672]  When they're done, billions will starve to death.
[01:55:32.672 --> 01:55:40.518]  Even the former head of the Ministry of Defense in England and a top general have come out and said the COVID lockdown is going to trigger a giant new world war.
[01:55:40.518 --> 01:55:41.319]  That's the facts.
[01:55:41.319 --> 01:55:47.084]  This is the Bill Gates New World Order weapon.
[01:55:47.084 --> 01:55:49.706]  You're listening to the Alex Jones Show.
[01:55:57.861 --> 01:56:01.762]  Alright, we are racking your phone calls up right now.
[01:56:01.762 --> 01:56:03.983]  Just gave the number out about a minute ago.
[01:56:03.983 --> 01:56:08.684]  877-789-2539 on this live March 23rd, Tuesday transmission.
[01:56:08.684 --> 01:56:10.065]  Rob, you just blew me away during the break.
[01:56:10.065 --> 01:56:16.967]  You said, hey, you know he had that idea while we were in Connecticut, taking care of some stuff, to go buy Skull & Bones in Connecticut?
[01:56:16.967 --> 01:56:17.567]  We were there on 322.
[01:56:17.567 --> 01:56:22.569]  That synchronicity, that serendipity, that is just, that is crazy.
[01:56:22.569 --> 01:56:24.589]  We had not planned that.
[01:56:24.589 --> 01:56:25.030]  That was wild.
[01:56:25.030 --> 01:56:26.290]  We should have a big report out on that.
[01:56:26.992 --> 01:56:31.675]  For you tomorrow or by Thursday.
[01:56:31.675 --> 01:56:35.597]  We got a big Florida interview I did a few weeks ago, but I've still been so busy I haven't put it out yet.
[01:56:35.597 --> 01:56:36.477]  Probably be airing that tomorrow.
[01:56:36.477 --> 01:56:38.858]  I'm not gonna tell you who it is, but it's a big interview.
[01:56:38.858 --> 01:56:40.659]  So a lot of stuff coming up with the transmission.
[01:56:40.659 --> 01:56:43.901]  But right now, let me play this John Bowne report because these are so good.
[01:56:43.901 --> 01:56:46.963]  We need to get these out.
[01:56:46.963 --> 01:56:49.724]  Not just have them at Banned.Video, but to the full millions of listeners and viewers.
[01:56:49.724 --> 01:56:51.305]  If you want to share them, it's at Banned.Video.
[01:56:51.305 --> 01:56:52.886]  It's COVID Vaccine Propaganda Rage is on.
[01:56:54.434 --> 01:56:54.894]  We're good to go!
[01:57:24.162 --> 01:57:25.983]  Denmark was the first to do it.
[01:57:25.983 --> 01:57:32.926]  It was followed by Norway and Iceland, Ireland, the Netherlands, Romania, Bulgaria and Thailand.
[01:57:32.926 --> 01:57:38.048]  All these countries have placed a temporary suspension on the AstraZeneca vaccine.
[01:57:38.048 --> 01:57:43.291]  Then we have countries like Austria, Estonia, Lithuania, Luxembourg, Latvia and Italy.
[01:57:43.291 --> 01:57:47.833]  These have suspended a specific batch of the AstraZeneca vaccine.
[01:57:47.833 --> 01:57:51.454]  Spain has delayed using this vaccine to inoculate people between 55 and 65 years of age.
[01:57:54.088 --> 01:57:58.270]  And just before we began the show, we got a flash from Berlin.
[01:57:58.270 --> 01:58:04.014]  Germany has now suspended the use of this shot as a quote-unquote precautionary measure.
[01:58:04.014 --> 01:58:09.617]  More than 17 million people in the UK and Europe have now gotten the AstraZeneca vaccine.
[01:58:09.617 --> 01:58:15.100]  The company says a total of 37 people developed blood clots as of last week.
[01:58:15.100 --> 01:58:17.502]  A few of those cases resulted in death.
[01:58:17.502 --> 01:58:19.963]  But the European Union won't back down as
[01:58:20.043 --> 01:58:40.116]  As the AP reported, the European Union's drug regulator insisted that there is no indication the AstraZeneca vaccine causes blood clots as governments around the world face the grimmest of dilemmas push on with a vaccine known to save lives or suspend its use over reports of clotting in some recipients.
[01:58:40.496 --> 01:58:43.919]  Regardless, the public's patience has worn thin.
[01:58:43.919 --> 01:58:51.724]  Those 15 days to curb COVID have long since passed, and playing Russian roulette isn't what anyone signed up for.
[01:58:51.724 --> 01:58:56.547]  What can an employer do if their employee does not want to get vaccinated?
[01:58:56.547 --> 01:58:57.808]  Yeah, so they can fire them.
[01:58:57.808 --> 01:59:05.253]  Meanwhile, Biden has announced that he will send a surplus of millions of the dangerous vaccine to Canada and Mexico.
[01:59:05.253 --> 01:59:06.114]  This is a war.
[01:59:06.114 --> 01:59:08.676]  And you are the frontline troops.
[01:59:09.378 --> 01:59:18.083]  President Biden and Vice President Harris praised CDC staffers on the same day the administration reached a key milestone ahead of schedule.
[01:59:18.083 --> 01:59:22.245]  We just met my goal of administering 100 million shots.
[01:59:23.087 --> 01:59:33.254]  And rather than calm the public's anxiety, fear-mongering takes center stage with warnings of COVID surges and variants to keep the pandemic hellscape alive.
[01:59:33.254 --> 01:59:41.739]  But the country's top health experts acknowledge the challenges ahead, including an uptick in new cases, partly due to the new COVID variants.
[01:59:41.739 --> 01:59:47.763]  It has been detected in 50 jurisdictions in the United States and likely accounts now for about 20
[01:59:49.016 --> 01:59:54.638]  To 30% of the infections in this country, and that number is growing.
[01:59:54.638 --> 01:59:59.819]  And if the children of America... Alright, the full report is on InfoWars.com.
[01:59:59.819 --> 02:00:04.560]  When you hear, that's about a week old news, 37 died from blood clots.
[02:00:04.560 --> 02:00:05.661]  How about 37,000?
[02:00:05.661 --> 02:00:09.242]  It's always a small, minuscule number that actually get reported.
[02:00:09.242 --> 02:00:13.423]  The numbers of deaths from the mRNA vaccines are just off the charts.
[02:00:14.099 --> 02:00:20.605]  They're distracting off into AstraZeneca and off into some of the other not normal vaccines.
[02:00:20.605 --> 02:00:23.447]  Their virus vector vaccines are still very dangerous.
[02:00:23.447 --> 02:00:24.708]  Away from the gene therapy.
[02:00:24.708 --> 02:00:27.290]  This is a revolution of gene therapy to take over.
[02:00:27.290 --> 02:00:28.852]  And notice, oh, there's new variants!
[02:00:28.852 --> 02:00:30.093]  Oh, it's so scary!
[02:00:30.093 --> 02:00:31.934]  Oh, it's just never going to end.
[02:00:31.934 --> 02:00:32.715]  It's never going to stop.
[02:00:32.715 --> 02:00:33.596]  They're announcing everywhere.
[02:00:33.596 --> 02:00:34.497]  It never ends.
[02:00:34.497 --> 02:00:34.957]  It's over.
[02:00:35.726 --> 02:00:40.910]  And then it comes the forced inoculations, the tracking, and all these little submissive sheep that get into it.
[02:00:40.910 --> 02:00:42.972]  You've got to warn everybody you know now.
[02:00:42.972 --> 02:00:45.654]  You've got to explain to them what's happening while we still have time.
[02:00:45.654 --> 02:00:47.495]  This is the takedown of the whole world economy.
[02:00:47.495 --> 02:00:52.039]  This is the controlled demolition of planet Earth.
[02:00:52.039 --> 02:00:55.682]  It's so hard for me when I'm cutting ads and I get overly excited.
[02:00:56.906 --> 02:00:58.927]  People ask me all the time, they go, Jones, are you on cocaine?
[02:00:58.927 --> 02:01:00.007]  Are you on meth?
[02:01:00.007 --> 02:01:01.408]  How are you so excited?
[02:01:01.408 --> 02:01:04.229]  How do I not get excited about world government?
[02:01:04.229 --> 02:01:05.130]  Forced masks.
[02:01:05.130 --> 02:01:07.230]  Forced inoculations.
[02:01:07.230 --> 02:01:10.212]  Open announcements that our country is going to be dissolved.
[02:01:10.212 --> 02:01:11.452]  I'm sorry.
[02:01:11.452 --> 02:01:12.573]  I'm a fighter.
[02:01:12.573 --> 02:01:15.294]  And I know many of you out there watching and listening are fighters as well.
[02:01:15.294 --> 02:01:17.435]  And so I'll just say this.
[02:01:17.435 --> 02:01:18.455]  I try to be calm.
[02:01:18.455 --> 02:01:20.236]  I try to be focused.
[02:01:20.236 --> 02:01:22.437]  I don't know what I'd do if I wasn't still on air right now.
[02:01:23.962 --> 02:01:27.425]  But I just really want to thank you for keeping us on air.
[02:01:27.425 --> 02:01:32.549]  Because you have to realize, when I tell you that you're the InfoWar, that's not me patting you on the head.
[02:01:32.549 --> 02:01:36.251]  You are 99% of the equation.
[02:01:36.251 --> 02:01:44.017]  So when you decide to spread the word, when you decide to buy the products, InfoWarStore.com, when you decide to share the articles and videos we produce, it changes the world.
[02:01:44.017 --> 02:01:46.219]  So, you are the InfoWar.
[02:01:46.219 --> 02:01:47.840]  Thank you so much for the fight.
[02:01:47.840 --> 02:01:49.121]  Thank you for all you've done.
[02:01:49.121 --> 02:01:51.543]  Now let's take action together and take down the Globalist.
[02:02:02.532 --> 02:02:17.515]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:02:17.515 --> 02:02:27.457]  When you see the incredible abuse that third world populations and countries under authoritarianism put up with, it's hard to believe because we were in a free country compared to those nations.
[02:02:27.457 --> 02:02:30.178]  We had a much better record, but now the bottom
[02:02:31.443 --> 02:02:34.766]  Has fallen out of the culture.
[02:02:34.766 --> 02:02:54.501]  And now you've got a super corrupt, decadent media, a super corrupt, decadent legal system, a super corrupt, decadent bureaucracy, and then a lot of the public that again is watching five hours of Netflix a day, whose children are watching even more TV or Internet, and people are just checked out.
[02:02:54.501 --> 02:02:59.925]  They're in a trance state, but behind the scenes the globalists and big tech and the genetic engineers
[02:03:00.640 --> 02:03:08.284]  Are just rolling out, oh, we've got synthetic embryos and we're growing them up inside cows and harvesting their organs.
[02:03:08.284 --> 02:03:11.566]  Yeah, they're not human, they're just close to human.
[02:03:11.566 --> 02:03:14.368]  Told you decades ago that was already happening.
[02:03:14.368 --> 02:03:29.757]  And as we, by increment, get to the point where we don't stand up for ourselves and stand up for others and have a territorialistic attitude about defending humanity, well then,
[02:03:30.512 --> 02:03:33.793]  We're now prey animals.
[02:03:33.793 --> 02:03:46.097]  And so, many an authoritarian has given a speech, many an authoritarian has written a note or a book saying that the essence of a tyranny is getting women on your side.
[02:03:46.097 --> 02:03:49.478]  It's not that women are bad, women are half our species, they're great.
[02:03:49.478 --> 02:03:55.160]  But, that's why 80% of advertising targets women.
[02:03:55.160 --> 02:03:59.701]  It's because if you get the women on your side, you get everything on your side.
[02:04:00.698 --> 02:04:07.162]  Women make most of the purchases, women make most of the household decisions, because they're the ones that are interested in the nest, and they care.
[02:04:07.162 --> 02:04:14.988]  And when they see an outside group come in and say, surrender or we're going to kill everybody, most women roll over and submit.
[02:04:14.988 --> 02:04:28.597]  That's why if you study African slave trade, Roman slave trade, Babylonian slave trade, Chinese slave trade, Japanese, any of the slavery that's happened, when you went and took over a people,
[02:04:30.848 --> 02:04:34.790]  You would kill the men down to about age 12.
[02:04:34.790 --> 02:04:36.151]  And it was a really war-like group.
[02:04:36.151 --> 02:04:40.594]  You know, the Romans would kill Germans and Visigoths down to about age 9.
[02:04:40.594 --> 02:04:46.657]  And I've read the official letters of Caesar and, you know, they would just take them and kill them.
[02:04:46.657 --> 02:04:54.902]  And the women would instantly just get on their knees and say, whatever you need, just don't kill our young sons.
[02:04:54.902 --> 02:04:57.724]  And they'd say, well, you tell your young son
[02:04:58.911 --> 02:05:03.474]  That he better put in good labor for us and do good work as our servant, or he's dead.
[02:05:03.474 --> 02:05:08.417]  And if one of your sons is bad, we'll kill half your sons.
[02:05:08.417 --> 02:05:11.379]  And if two of your sons is bad, we'll kill all of your sons.
[02:05:11.379 --> 02:05:15.102]  I mean, all this stuff we see unfolding has been done before.
[02:05:15.102 --> 02:05:20.165]  I remember, I don't know if it was Thomas Sowell or Walter Williams.
[02:05:20.165 --> 02:05:22.687]  It was one of those great black American philosophers.
[02:05:23.826 --> 02:05:37.838]  That I remember on Rush Limbaugh, like 23 years ago, something like that, reading, and I only found one article about it in his footnotes, and I found one mention of it in a book later, confirming it in a history book that was written over 100 years ago, so I know it was true.
[02:05:37.838 --> 02:05:47.226]  And he was reading a French translation from Latin from 2,000 years ago in the time of Caesar.
[02:05:49.210 --> 02:05:55.412]  And it was how, when they came and took over, and I already read this in history books, so I knew it was true, but I didn't know these parts.
[02:05:55.412 --> 02:06:13.396]  How when they would come and take over a village in what is Sweden today, or Germany, or France, whether it was Gaul, or whether it was, you know, the Ostrogoths that were in Austria, you know, the Visigoths, or you get the word, you know, the Vandals, because when they would come in, they'd blow everything up and burn it down.
[02:06:17.927 --> 02:06:38.186]  He described how the French, with their transatlantic slave trade, buying black slaves from blacks, who ran slavery just like we did there, that they would put mainly men on the coffin ships, but they put some women and some children, about 80% men.
[02:06:40.572 --> 02:06:48.694]  And then they would drive across the ocean, and normally, I mean, back then it was so bad that usually about 20% of your crew died going into Africa.
[02:06:48.694 --> 02:06:49.815]  They'd try to stay offshore.
[02:06:49.815 --> 02:06:51.375]  They thought it was vapors.
[02:06:51.375 --> 02:06:54.896]  They thought it was mosquitos biting you that would give you fevers and malaria and things.
[02:06:54.896 --> 02:06:57.177]  So you'll read about how they tried to get their ships like a mile off.
