[00:00:00.370 --> 00:00:01.552]  It's on InfoWars.com.
[01:25:21.518 --> 01:25:22.879]  Trump is very akin to it as well.
[01:25:22.939 --> 01:25:25.480]  You can tell that in the Molly Hemingway article.
[01:25:25.841 --> 01:25:29.963]  I think that she could have, maybe she's saving actually some of the juice from that for another story.
[01:25:30.023 --> 01:25:38.009]  But here's Representative Biggs grilling a Maricopa County official on his doublespeak when it came to the 2020 election audit.
[01:25:37.829 --> 01:25:38.829]  it here it is.
[01:25:38.829 --> 01:25:43.468]   I'll start with Mr. Bennett and then we'll try to work on Dow so everybody can get there.
[01:25:43.468 --> 01:25:48.029]   Is it standard practice to delete files off a server after an election, Mr. Bennett?
[01:25:48.029 --> 01:25:51.029]  I hope not.
[01:25:51.029 --> 01:25:56.069]  So Mr. Gates, would you agree with that?
[01:25:56.143 --> 01:26:00.948]  I would say that it is appropriate to maintain files, and that's exactly what we did.
[01:26:01.008 --> 01:26:05.092]  We deleted, the deleted files that have been discussed, they were archived.
[01:26:06.013 --> 01:26:11.919]  So you admit that you guys did delete, Maricopa County did delete files off the server after the election?
[01:26:12.803 --> 01:26:28.599]   Yeah, and so when you released these servers and this information to the auditors to begin They didn't have access to those archive files at first, is that fair to say?
[01:26:29.220 --> 01:26:31.242]  They did not subpoena those, that's correct.
[01:26:32.643 --> 01:26:37.307]  Okay, so you didn't feel obligated to turn that over then to them?
[01:26:37.648 --> 01:26:39.389]  We responded to the subpoena.
[01:26:39.590 --> 01:26:39.810]  Okay.
[01:26:40.110 --> 01:26:41.812]  Mr. Bennett, your response to that?
[01:26:44.394 --> 01:26:46.916]  I find it, frankly, laughable.
[01:26:48.120 --> 01:27:09.647]  To suggest that a county, in response to a subpoena, could say we will delete files from the hard drives and materials that we give to the auditors because we have those files archived on data that we did not give to the auditors when the subpoena said, turn over all the records related to the election.
[01:27:10.227 --> 01:27:11.888]  Yes, that's the way I read the subpoena.
[01:27:11.908 --> 01:27:14.689]  It was more broad-lit than the county read it, for sure.
[01:27:17.321 --> 01:27:24.585]  So your Twitter account mentions that the purging of the 2020 election database in the beginning of February is a standard practice.
[01:27:24.945 --> 01:27:28.027]  Can you please confirm for me that that's what you do for all elections?
[01:27:28.107 --> 01:27:29.688]  After all elections that you do that?
[01:27:29.888 --> 01:27:33.850]  I cannot confirm that for you today, but we can certainly get you that answer, Congressman.
[01:27:34.270 --> 01:27:34.590]  Thank you.
[01:27:35.010 --> 01:27:37.512]  Mr. Chairman, can you confirm that today or not?
[01:27:39.325 --> 01:27:41.247]  I really can't confirm that either today.
[01:27:41.267 --> 01:27:54.239]  I just know that because there is limited space on these servers, when you have to run another election, then you have to make room for the additional election data.
[01:27:54.959 --> 01:28:10.252]   So was there additional, was there still, let me just rephrase this, if that is the standard practice, which is kind of, I don't think you guys are saying that you know for sure, but the chairman just intimated that that's the case.
[01:28:10.693 --> 01:28:15.876]  Can you explain to me why data was still present for prior elections on the databases in and of itself?
[01:28:19.319 --> 01:28:24.122]  Yeah, again, I don't have an answer to that question, but we'll certainly get you an answer for it, Congressman.
[01:28:25.283 --> 01:28:25.583]  Okay.
[01:28:26.404 --> 01:28:26.724]  All right.
[01:28:26.884 --> 01:28:28.866]  I would appreciate it if you would give me that information.
[01:28:29.420 --> 01:28:39.144]  And I do think that it's important that our recorder has suggested that he will be answering every question in a timely fashion.
[01:28:39.824 --> 01:28:45.426]  That's the same recorder that campaigned that Adrian Fontes was incompetent and called him a criminal.
[01:28:46.266 --> 01:28:48.767]  And he was the guy that was running the 2020 election.
[01:28:48.967 --> 01:28:55.470]  And you actually hired someone to oversee Mr. Fontes because you guys didn't trust Mr. Fontes as well.
[01:28:55.510 --> 01:28:56.570]  Is that the same guy?
[01:28:56.610 --> 01:28:57.851]  Is that the same Stephen Richard?
[01:29:00.541 --> 01:29:19.640]  Yeah, I wouldn't put it that way, exactly, but what we did was we did have statutory in boards, as you know, congressman boards of supervisors have responsibility for election day operations, and we took that back so that we would have four Republicans and two Democrats overseeing the 2020 election.
[01:29:20.000 --> 01:29:24.744]  And I am joined in studio by Lynn Davenport, who is going to be breaking some news right now.
[01:29:25.845 --> 01:29:32.613]  A lot of people may or may not be asking, but it's pretty much a fundamental question when you hear the talk about mandatory vaccines.
[01:29:32.633 --> 01:29:34.155]  Well, how is this going to be implemented?
[01:29:34.215 --> 01:29:35.456]  How is this going to be rolled out?
[01:29:35.716 --> 01:29:36.758]  How can we accept this?
[01:29:36.798 --> 01:29:39.361]  And then how can it actually be put into practice?
[01:29:39.841 --> 01:29:42.044]  And so Lynn is here to break some of that down.
[01:29:42.765 --> 01:29:45.368]  And there's kind of already some hints out there about it.
[01:29:45.928 --> 01:29:59.057]  With the patent 0202060606 talking about using implantable blockchain technology into humans, working that in with vaccines, working that in with the social credit system, working that in with the digital currency.
[01:29:59.837 --> 01:30:02.018]  So I guess perhaps that is the plan.
[01:30:02.499 --> 01:30:11.825]  But what can you tell us about how blockchain technology is a potential implication when it comes to mandatory COVID vaccines or vaccine passports?
[01:30:12.836 --> 01:30:17.240]  Well, I think the greatest threat is that we are going to be on blockchain.
[01:30:17.320 --> 01:30:21.523]  So we talk about it as a vehicle to hold our currency.
[01:30:21.984 --> 01:30:27.809]  But when you think about it in terms of our children being on blockchain, and they'll do it through the public school system.
[01:30:27.869 --> 01:30:33.153]  So in Texas, Texas is a target because we educate one-tenth of America's kids.
[01:30:33.754 --> 01:30:36.957]  And so think about it in terms of numbers across the country.
[01:30:37.657 --> 01:30:57.704]  So in Dallas we have, this is a blockchain contract that was set up through Dallas ISD through the education service centers which they're all across the state and that's how they implement resources and really that's another way that the teachers are indoctrinated is through the education service centers.
[01:30:58.464 --> 01:31:03.146]  Then you have the Dallas Community College District, but it's not just the Dallas College District.
[01:31:03.166 --> 01:31:06.888]  You'll see it across community colleges across the state.
[01:31:07.469 --> 01:31:19.355]  So it's pitched as this convenient way to store your transcript, to access your transcripts and your diploma and your credentials.
[01:31:19.615 --> 01:31:22.696]  You can also store your health data on there.
[01:31:23.177 --> 01:31:25.698]  So they will be storing children's mental health data.
[01:31:26.218 --> 01:31:30.959]  So the contract was done through Greenlight Credentials, and that was a, it's a for-profit company.
[01:31:31.299 --> 01:31:39.501]  So when they pitch blockchain, they'll talk about it being this open source deal, you own your own data, and you will be in charge of your data.
[01:31:39.801 --> 01:31:45.082]  You own it, so therefore, no one can have access to it unless you grant them authority.
[01:31:45.642 --> 01:32:01.168]   Well, that's, if this is a, it's not an open source deal, it was a deal done behind the scenes, a no-bid deal done in Dallas, With this, it's really an ecosystem of players that are all connected in different ways.
[01:32:01.288 --> 01:32:03.469]  Now you say no big contracts.
[01:32:03.489 --> 01:32:05.830]  A lot of people probably understand that, but some people don't.
[01:32:05.990 --> 01:32:07.151]  Explain why that's so key.
[01:32:08.487 --> 01:32:10.128]  Well, because there's no competition.
[01:32:10.148 --> 01:32:11.209]  There's no open bidding.
[01:32:11.730 --> 01:32:14.993]  And so, basically, you can steer a contract.
[01:32:15.313 --> 01:32:24.741]  Now, sometimes they can get around that by saying, okay, sure, we'll open it up to all these... But they already know who they're going to... They've already established who... But they're not even going through that dog and pony show anymore.
[01:32:24.781 --> 01:32:26.723]  They're just saying, yeah, we're just going to give it to our cronies.
[01:32:27.463 --> 01:32:27.643]  Yeah.
[01:32:27.944 --> 01:32:29.265]  And then they can charge whatever they want?
[01:32:29.906 --> 01:32:41.017]  They can do that because, so if you look at, and this is bipartisan, so I think that's important for the listeners to understand, is that you can't pin this on one party or the other.
[01:32:41.037 --> 01:32:45.482]  So we've got Governor Greg Abbott who signed two bills in the legislature on blockchain.
[01:32:45.842 --> 01:32:46.262]  Yay!
[01:32:46.282 --> 01:32:47.402]  We're going to bring blockchain.
[01:32:47.462 --> 01:32:50.023]  Texas is going to be a leader in blockchain.
[01:32:50.743 --> 01:32:55.305]  And so he signed two bills that were done by conservative legislators.
[01:32:55.345 --> 01:32:59.946]  I saw Tan Parker at the blockchain conference here in Austin just earlier this morning.
[01:32:59.966 --> 01:33:00.586]  He was speaking.
[01:33:01.206 --> 01:33:03.207]  And Ted Cruz is speaking at this event.
[01:33:03.727 --> 01:33:23.731]  And so they talk about, you know, we want to be on the cutting edge here, and this is going to be, you know, Texas is going to be a leader, but they don't understand that when Governor Abbott also signed a bill saying that we're not going to, or we're going to punish businesses who bring in blockchain, I mean, who bring in vaccine passports, but that's going to be done on blockchain.
[01:33:23.771 --> 01:33:26.372]  So it's really an empty platitude if you think about it.
[01:33:26.712 --> 01:33:31.953]  So that seems to be kind of the, that's like, that should be Abbott's slogan, actually, maybe empty platitudes.
[01:33:32.233 --> 01:33:33.494]  Empty platitudes, yeah.
[01:33:33.915 --> 01:33:35.536]  Because I'm not a Luddite.
[01:33:36.317 --> 01:33:39.299]  I'm more of a conservative when it comes to technological advancements.
[01:33:39.520 --> 01:33:40.580]  I like to see them rolled out.
[01:33:40.741 --> 01:33:43.983]  I may not want to take part in it until I see how it goes.
[01:33:44.624 --> 01:33:49.388]  But I can see the benefits of blockchain and I can see the pitfalls of it as well.
[01:33:49.768 --> 01:33:57.055]  And when you talk about the vaccine passports being done on blockchain and then putting other health records in there, or I guess you're talking about educational records too.
[01:33:57.075 --> 01:33:59.257]  I guess you could put a report card in there, a diploma, whatever.
[01:33:59.797 --> 01:34:01.079]  Now there's no privacy.
[01:34:01.159 --> 01:34:03.341]  There's no refusal, is what it is.
[01:34:03.381 --> 01:34:04.962]  So you think, oh, this is convenient.
[01:34:05.263 --> 01:34:06.384]  They sell it as a convenience.
[01:34:07.045 --> 01:34:10.168]  But really what it equals is no privacy, no refusal.
[01:34:10.468 --> 01:34:14.392]  Because someone will always, everybody says, oh no, everything's private, it'll be private.
[01:34:14.472 --> 01:34:15.593]  Folks, get real, okay?
[01:34:15.773 --> 01:34:16.854]  Let's live in the real world here.
[01:34:16.934 --> 01:34:18.456]  Nothing is a perfect system.
[01:34:18.856 --> 01:34:22.980]  So blockchain, it will be hackable, it will be, you know, there will be pitfalls of it.
[01:34:23.781 --> 01:34:27.382]  And now you'll be there and you won't be able to refuse it because it'll all be digital.
[01:34:27.423 --> 01:34:29.463]  So you say, hey, I don't want you to access that.
[01:34:29.703 --> 01:34:30.264]  Well, too bad.
[01:34:30.284 --> 01:34:30.904]  It's all digital.
[01:34:30.964 --> 01:34:31.664]  I have access to it.
[01:34:32.204 --> 01:34:32.444]  Right.
[01:34:32.484 --> 01:34:33.365]  As pitched as this.
[01:34:33.525 --> 01:34:35.126]  Immutable, unhackable.
[01:34:35.246 --> 01:34:36.326]  It's the panacea.
[01:34:36.446 --> 01:34:37.546]  It's this utopia.
[01:34:37.967 --> 01:34:42.608]  So you don't have to deal with the bursar's office and the school office.
[01:34:42.648 --> 01:34:44.509]  Or losing paperwork, or you know.
[01:34:44.669 --> 01:34:47.750]  So, oh gosh, that just clunky stuff that you have to carry around.
[01:34:47.770 --> 01:34:48.771]  Yeah, it's so obnoxious.
[01:34:48.811 --> 01:34:49.571]  And privacy.
[01:34:49.631 --> 01:34:51.192]  Privacy is obnoxious to the government, too.
[01:34:52.372 --> 01:34:53.133]  Well, exactly.
[01:34:53.173 --> 01:34:58.456]  And I do a lot of research on student data and privacy and that's being violated all over the place.
[01:34:59.877 --> 01:35:05.200]  So if you think about your right to, well, informed consent, let's talk about conformed consent.
[01:35:05.540 --> 01:35:06.161]  There is none.
[01:35:06.321 --> 01:35:11.044]  So you're basically entered into this system and you're not given the full picture here.
[01:35:11.704 --> 01:35:25.433]   And the fact that it's a for-profit company and that you have the guy that the The TEA commissioner appointed to the Education Service Center, who is the founder of this company, Blockchain, and this Greenlight credential.
[01:35:25.453 --> 01:35:32.778]  But you know what, let's actually lay the groundwork here, because, so how exactly is this going to be implemented in schools?
[01:35:32.818 --> 01:35:34.999]  Like, what is the presentation?
[01:35:35.119 --> 01:35:37.461]  What is the actual execution of this in schools?
[01:35:38.314 --> 01:35:49.063]  Well, so the deal done with Dallas ISD, so it is pitched as, okay, now you can access your transcripts easily through Greenlight, and so you go onto the website.
[01:35:49.163 --> 01:35:52.026]  So that's just like a website with a cloud of information, basically.
[01:35:52.046 --> 01:35:52.426]  Correct.
[01:35:52.566 --> 01:35:52.847]  Okay.
[01:35:52.947 --> 01:35:57.971]  Yes, and so it's, they call it a locker, and so this is your digital locker.
[01:35:58.291 --> 01:36:00.133]  Of course, it's your locker, okay, yeah.
[01:36:00.373 --> 01:36:01.314]  That sounds like, you know.
[01:36:01.334 --> 01:36:03.055]  Yeah, I had a locker in school, sure.
[01:36:03.075 --> 01:36:04.437]  Modern school, that's so cool.
[01:36:05.137 --> 01:36:06.618]  And then you've got your digital wallet.
[01:36:06.658 --> 01:36:20.751]  So I think, so if you look at how the data will be stored, they want to be, these schools want to be a central vaccination distribution center.
[01:36:21.112 --> 01:36:26.076]  So they tried to incentivize the teachers by paying them, bribing them to get the vaccine.
[01:36:26.116 --> 01:36:28.258]  They're also doing that with the students.
[01:36:28.278 --> 01:36:29.720]  They're bribing them in Dallas ISD.
[01:36:30.140 --> 01:36:31.461]  By the way, I have this story right here.
[01:36:31.541 --> 01:36:38.005]  The mayor of Austin, somewhere in my stack, is now bribing people $50 to get the vaccine.
[01:36:38.345 --> 01:36:40.006]  Come get the vaccine, you can get $50.
[01:36:40.727 --> 01:36:43.389]  But hold out folks, might be $100 next week.
[01:36:43.629 --> 01:36:44.209]  Just saying.
[01:36:44.469 --> 01:36:44.709]  Right.
[01:36:44.889 --> 01:36:45.790]  Bread and circuses.
[01:36:45.850 --> 01:36:49.152]  So, you can get people to do just about anything by dangling the money.
[01:36:49.172 --> 01:36:52.795]  Especially when you've told them they can't work or have a business anymore.
[01:36:52.835 --> 01:36:53.455]  Then they're desperate.
[01:36:53.635 --> 01:36:54.916]  You can't go to a concert either.
[01:36:54.936 --> 01:36:58.259]  And so they're already doing that with vaccines and the concerts.
[01:36:58.299 --> 01:37:00.020]  You have to show proof.
[01:37:00.861 --> 01:37:05.884]  So basically the threat is they put the kids and all their information on blockchain.
[01:37:05.904 --> 01:37:07.786]  You will not be able to access the public schools.
[01:37:07.806 --> 01:37:10.008]  You will not be able to go to concerts.
[01:37:10.028 --> 01:37:13.310]  You will not be able to work and buy and sell and trade.
[01:37:14.591 --> 01:37:25.266]  I guess the difference here is, because that's what I'm trying to, I want people to really understand the real flavor of this, because even when I was in school, we had digital platforms and stuff, but this is centralized.
[01:37:25.646 --> 01:37:26.948]  But this is centralized.
[01:37:27.088 --> 01:37:28.690]  Like, this is all centralized.
[01:37:28.730 --> 01:37:30.933]  Like, when I was doing it, it was a private school.
[01:37:31.534 --> 01:37:33.495]  And all your stuff was on that one server.
[01:37:33.636 --> 01:37:36.498]  The private school ran the server and they did what they wanted with that information.
[01:37:36.878 --> 01:37:38.039]  And you were in control of your account.
[01:37:38.399 --> 01:37:44.843]  This is a centralized system that the whole state, at least at this point, would have access to.
[01:37:45.124 --> 01:37:46.885]  Eventually, the goal is obviously the whole planet.
[01:37:47.325 --> 01:37:54.489]  Yeah, they'll do it through these longitudinal data systems, which they're not supposed to be connecting those state by state.
[01:37:54.509 --> 01:37:58.852]  That's actually a violation of your privacy, but that's where they're headed.
[01:37:59.292 --> 01:38:02.214]  And so that data is being stored.
[01:38:02.234 --> 01:38:05.136]  I mean, Texas has mined more student data than any other state.
[01:38:05.876 --> 01:38:06.317]  We are.
[01:38:06.337 --> 01:38:09.221]  I mean, we are ground zero here.
[01:38:09.401 --> 01:38:15.930]  And see, of course, now this company can sell that data just like Facebook sells their data or your data, I guess I should say.
[01:38:16.510 --> 01:38:17.652]  Twitter sells your data.
[01:38:17.772 --> 01:38:18.774]  Google sells your data.
[01:38:18.834 --> 01:38:21.117]  Now this, they'll also be able to sell your data.
[01:38:21.477 --> 01:38:24.079]  Oh yeah, student data, that's a hot commodity.
[01:38:25.961 --> 01:38:42.916]  If you look at, it was under Obama, Executive Order 12866, they basically gutted FERPA, which is Family Education Rights and Privacy Act, and so now any entity in the name of education research can now have access to private student data.
[01:38:44.198 --> 01:38:45.319]  Oh, how convenient.
[01:38:46.400 --> 01:38:47.461]  So we've got to go to a break.
[01:38:48.021 --> 01:38:54.308]  But the government wants you to have a digital locker now so they can reach into it and get anything they want out of it at any time.
[01:38:54.528 --> 01:38:54.808]  Nice.
[01:38:54.828 --> 01:38:56.830]  All right, this is amazing.
[01:38:56.850 --> 01:39:03.417]  Just during the break, kind of off topic, talking to Lynn Davenport, my guest here, just about the indoctrination that's going on at schools.
[01:39:04.158 --> 01:39:06.521]  And we're going to get back into the topic of discussion.
[01:39:06.541 --> 01:39:07.942]  But it really is amazing.
[01:39:09.356 --> 01:39:24.740]  As you said, I think for the first time, at least in my lifetime, I don't know if it's ever been like this before, parents are looking at the public school situation and they're, for the first time, like, leaning on the side of, I don't want my kids ever in public schools.
[01:39:25.180 --> 01:39:27.941]  I don't think that that's ever been the case before like it is now.
[01:39:28.041 --> 01:39:32.323]  I could be wrong about that, but it seems to me like that is seemingly the case.
[01:39:32.623 --> 01:39:46.448]  And so when it comes to this blockchain technology, is this something that you could also avoid when it comes to data mining and having your students or your kids' information being in this centralized hub of information on the blockchain?
[01:39:46.468 --> 01:39:52.210]  Is this something where, again, like pulling them out of public schools or putting them in a private school, that could be an out to this?
[01:39:53.231 --> 01:39:53.511]  Sure.
[01:39:53.652 --> 01:39:56.775]  I mean, the best way to stop this is to starve the beast.
[01:39:56.815 --> 01:39:58.737]  So you could pull your kids out.
[01:39:58.757 --> 01:40:02.481]  I mean, because all they really care about is the butts-in-the-seat funding.
[01:40:02.982 --> 01:40:05.985]  They get money for every child that's in the classroom.
[01:40:06.125 --> 01:40:09.129]  And then they get more money when they sell the data for every child, too.
[01:40:09.409 --> 01:40:10.049]  Absolutely.
[01:40:10.710 --> 01:40:13.051]  And so yes, you can starve the beast by that.
[01:40:13.571 --> 01:40:16.812]  And you can also opt out of, I mean, there are options to opt out.
[01:40:16.852 --> 01:40:29.438]  There are a lot of parents in my district, I'm in Richardson ISD, even though I live in Dallas, the parents are opting out of social emotional learning lessons and social and emotional learning technologies.
[01:40:29.758 --> 01:40:32.139]  So you can do that too.
[01:40:33.219 --> 01:40:37.902]   So there are ways of just asking, okay, I'm not I'm not endorsing that.
[01:40:38.002 --> 01:40:39.163]  I don't condone that.
[01:40:39.464 --> 01:40:40.204]  And you can opt out.
[01:40:40.525 --> 01:40:56.239]  Now in the private schools, I think there's this misconception that the private schools are a viable alternative, but they are also being included in all of this education technology that is targeting their emotions.
[01:40:56.700 --> 01:41:00.023]  They will also go for the convenient blockchain wallets.
[01:41:01.164 --> 01:41:13.887]  Well, now that I think about it, it almost makes more sense for the private schools to adopt it first, simply because they can spend the money and sell the data easier than the public school probably could, because they have to jump through more red tape and more hoops.
[01:41:14.207 --> 01:41:28.790]  But getting back to the issue, so it's basically a centralized locker, if you will, for high school students or college students, where all their records are there on a blockchain and they sell it as convenient, but it's like centralizing any activity on the internet that then that company can sell.
[01:41:29.750 --> 01:41:30.831]  And this is what they want to do.
[01:41:31.151 --> 01:41:37.015]  What are your biggest concerns about this as it's being rolled out here in Texas and presented here in Texas?
[01:41:37.416 --> 01:41:41.679]  Your kids are going to be perhaps even part of this blockchain system if they implement it.
[01:41:41.899 --> 01:41:43.320]  What are your biggest concerns about this?
[01:41:44.992 --> 01:41:51.498]  Well, I think that they will be able to control us if we are not allowed to participate in things.
[01:41:51.939 --> 01:41:59.126]  So it's, you know, you want to opt your kid out of this if that is the situation, but it's not just going to happen in the public schools.
[01:41:59.807 --> 01:42:10.686]   And so I'm trying to sound the alarm that we don't want blockchain technologies Uh, without a full discussion of the unintended consequences.
[01:42:10.786 --> 01:42:20.737]  So fine, if you are, you know, I met a bunch of people last night at the conference, the blockchain conference here in Austin, where there, you know, you have these, this couple and they're, they're Bitcoin miners.
[01:42:21.278 --> 01:42:25.062]  Well, they know nothing about this stuff and they've never even thought about it.
[01:42:25.082 --> 01:42:26.424]  They just know cryptocurrency.
[01:42:26.604 --> 01:42:26.984]  Yes.
[01:42:27.104 --> 01:42:31.386]  And so we need to understand the full picture here.
[01:42:31.486 --> 01:42:33.387]  And I think they don't understand that.
[01:42:33.447 --> 01:42:36.568]  Also, how are they going to impose the global currency?
[01:42:36.828 --> 01:42:46.712]  Or, you know, if you want to be able to travel to a foreign country, all of that is going to be done through one digital, one system that is blocked.
[01:42:46.752 --> 01:42:47.533]  I mean, blockchain's it.
[01:42:47.553 --> 01:42:48.733]  That's how they're going to do it.
[01:42:49.293 --> 01:42:58.842]   So how do we Move into the future and stay innovative while also protecting ourselves.
[01:42:59.362 --> 01:43:04.726]  I don't know that we can really do this without the unintended consequences.
[01:43:04.886 --> 01:43:06.167]  I can't see it working.
[01:43:06.948 --> 01:43:08.429]  This is how they will do it.
[01:43:08.817 --> 01:43:33.961]  Well that's kind of my biggest fear with anything is centralization of power because it removes the personal experience between say where you might have an issue you go right to the principal of a school or whatever to now it's well you know I've got an issue with this blockchain or something and the person you're supposed to go talk to is on the other side of the planet and you got to make 10 phone calls just to get a hold of them and maybe you're lucky if you can leave a voicemail that ever gets read.
[01:43:34.341 --> 01:43:40.605]  So it kind of takes that personal, you know, peer-to-peer experience out of the schooling system, which we've seen in so many other cases.
[01:43:40.825 --> 01:43:47.249]  It takes that localized experience, makes it now on a planetary scale, and it just makes it more difficult to operate.
[01:43:47.789 --> 01:43:51.591]  And so, like you said, you are forced to go through, you're forced to walk in the straight line.
[01:43:51.931 --> 01:43:57.235]  If you go sideways, you're either out and there's no repercussion for the people that are running the system.
[01:43:58.015 --> 01:44:00.877]  Well, and it's pitched as decentralization.
[01:44:01.617 --> 01:44:04.020]  So, that's the ironic piece of it.
[01:44:04.201 --> 01:44:04.941]  Yeah, I don't see that.
[01:44:05.322 --> 01:44:05.482]  It's not.
[01:44:05.502 --> 01:44:09.307]  That's the most centralized thing you could imagine, a digital locker for all students?
[01:44:10.108 --> 01:44:10.969]  That's the irony.
[01:44:11.069 --> 01:44:18.619]  And so, I think there are those who, like I talked to the leader of the conference last night, we went to a barbecue dinner.
[01:44:19.279 --> 01:44:20.780]  And she said, wait a minute.
[01:44:20.820 --> 01:44:28.242]  So, you know, we're trying to decentralize and put you in charge of your own data.
[01:44:28.982 --> 01:44:37.985]  But with a for-profit deal that's done in the public schools for blockchain for the kids, that is not decentralization.
[01:44:38.045 --> 01:44:45.847]   That is actually a captive market and they will They will turn a profit on this deal, and it's massive.
[01:44:46.307 --> 01:44:49.728]  So if it's scaled across the state and then the country, it's massive.
[01:44:49.968 --> 01:44:52.309]  What happened to the old saying, if it ain't broke, don't fix it?
[01:44:52.529 --> 01:44:54.669]  It sounds like we're fixing something that's not broke here.
[01:44:54.929 --> 01:45:01.771]  Well, they would say it is broke because, like I mentioned before, so you have to carry around, like, what if you lose your social security card?
[01:45:01.791 --> 01:45:03.671]  Or what if you lose your ID?
[01:45:03.751 --> 01:45:08.433]  Now you can just have, well, before it's embedded in our skin, it's going to be a QR code.
[01:45:08.453 --> 01:45:09.473]  Yeah, that's the ultimate goal.
[01:45:10.093 --> 01:45:10.473]  Right.
[01:45:10.594 --> 01:45:16.017]  And so, you know, I thought, okay, I get called a tinfoil hat conspiracy theorist all the time.
[01:45:16.317 --> 01:45:21.340]  And so I thought, where better to go share this information, you know, because you all get called that all the time.
[01:45:22.481 --> 01:45:25.462]  It is absolutely going to happen.
[01:45:25.483 --> 01:45:26.743]  They're already doing it.
[01:45:27.244 --> 01:45:32.607]  And so all we're doing is calling into light what is, they tell us what they're doing.
[01:45:33.528 --> 01:45:42.716]  So in your eyes, this is part of the larger global plan to get all humans into this digital system of the currency and the social credit score and the vaccine passports.
[01:45:43.377 --> 01:45:45.759]  But you're focusing on this approach.
[01:45:45.779 --> 01:45:50.023]  You're focusing on this penetration of our privacy and our freedoms in the schools.
[01:45:50.043 --> 01:45:50.704]  Because I guess that's true.
[01:45:50.724 --> 01:45:56.009]  I mean, it has to be an all-out assault on all aspects of civilization if they really want to pull this off.
[01:45:56.089 --> 01:45:58.271]  Yes, and so they have to start at the local level.
[01:45:58.511 --> 01:46:06.538]  And so I wanted you to be able to see what is a concrete example of how it's going to come in at the local level.
[01:46:06.658 --> 01:46:09.521]  And I just happen to be here in Austin.
[01:46:09.581 --> 01:46:12.163]  It's perfect timing for this whole blockchain push.
[01:46:12.503 --> 01:46:19.149]  Ted Cruz, the Wyoming Senator Cynthia Loomis, she's a big blockchain proponent.
[01:46:19.169 --> 01:46:26.034]   So Texas and Wyoming are two of the biggest Champions and they're the leaders in blockchain.
[01:46:26.734 --> 01:46:30.656]  So but but so parents, I mean, you know, politics is local.
[01:46:31.036 --> 01:46:39.320]  And although you do a great job here on this show talking about global issues, and you in particular talk about more of the local stuff.
[01:46:39.640 --> 01:46:51.145]  So I think being able to see these contracts coming in through the school districts, the contracts, the data sharing agreements, the memorandums of understanding, if you you know, everyone's focusing on school boards right now.
[01:46:51.525 --> 01:46:56.247]  Well, and let's get to the, let's get to the vaccine passports analyst, but this is why I think it's so important what you're doing.
[01:46:56.267 --> 01:47:04.109]  And it's not even if you fail, there is no failure in this because at some point you're going to look back and you're going to try to figure out how did all this happen?
[01:47:04.129 --> 01:47:05.490]  Well, you're laying it all out right now.
[01:47:05.510 --> 01:47:06.490]  I'm going to tell you it's right here.
[01:47:06.790 --> 01:47:10.513]  So that's why, you know, when it gets to this point and you're like, wait, the school system is all messed up.
[01:47:10.573 --> 01:47:17.237]  Digital locker, passwords, you're selling my data, my kid can't go to class because he has a fever, like what in the heck is going on?
[01:47:17.657 --> 01:47:19.219]  This is how they're building it right now.
[01:47:19.299 --> 01:47:23.601]  So let's lay it all out, tied in with the vaccine passport when we come back with Lynn Davenport.
[01:47:23.641 --> 01:47:27.604]  This is the Alex Jones Show on InfoWars.com and Banned.Video.
[01:47:28.985 --> 01:47:32.688]  So, you know, I guess I was a little bit wrong when I said if it ain't broke, don't fix it.
[01:47:33.269 --> 01:47:40.435]  I guess record-keeping I don't think is broke, but the school system is broke in many ways, and that's because they're failing to educate students.
[01:47:41.485 --> 01:48:06.665]   There's probably a lot of different reasons you could point to as why the education factor of our education system is failing, but as my guest here, Lynn, was explaining to me in the break, and I want you to read that paragraph that you're reading too, because I think it kind of explains a little bit better to the audience that may still try to understand what's going on, but it's basically like, well, The schools are failing as education centers right now.
[01:48:07.146 --> 01:48:07.707]  Absolutely.
[01:48:07.867 --> 01:48:11.391]  And so what can we do to make schools relevant again?
[01:48:12.092 --> 01:48:19.901]  And what can we do to carry on this tradition of American schools and make it relevant and feasible for the government, the world government, to still want to adapt it?
[01:48:20.442 --> 01:48:21.643]  And this is how they're doing it.
[01:48:22.384 --> 01:48:25.506]  It's by saying, hey look, don't worry, we'll indoctrinate the kids.
[01:48:25.547 --> 01:48:28.229]  Yeah, they don't know math, they don't know history, they can barely read.
[01:48:28.269 --> 01:48:29.550]  Who cares about that anyway?
[01:48:29.870 --> 01:48:32.732]  That'll just make them more of a threat to the government if they can think for themselves.
[01:48:33.032 --> 01:48:47.303]  So let's just indoctrinate them and give them some free stuff, put them on, get them used to the digital currencies, get them used to the digital passports, the digital world, so when they come out of it, we already pretty much own them and control their fate.
[01:48:47.483 --> 01:48:48.204]  So talk about that.
[01:48:49.293 --> 01:48:57.500]  Well, in my district, 52% more than half the kids don't read on grade level, and I'll say don't because they could if they were taught properly.
[01:48:57.980 --> 01:49:01.443]  But they've abandoned their primary role in education.
[01:49:01.763 --> 01:49:03.184]  That's academics.
[01:49:03.284 --> 01:49:05.806]  Keep the kids safe and educate them.
[01:49:05.887 --> 01:49:06.647]  They're not doing that.
