[00:00:00.000 --> 00:00:05.440]  [Sound Effects]
[00:48:10.539 --> 00:48:14.139]   troops in certain areas at grocery stores checking your vaccine passports
[00:48:14.139 --> 00:48:18.400]   before you're allowed to come in and shop for food and in Israel they've already
[00:48:18.400 --> 00:48:22.829]   announced that people who had two vaccines but not the third one are no
[00:48:22.829 --> 00:48:26.237]   longer you no longer Your green pass is revoked.
[00:48:26.577 --> 00:48:28.998]  You're only a double-vaxxer, not a triple-vaxxer.
[00:48:29.238 --> 00:48:34.300]  And then that's going to get updated to quadruple-vaxxers soon, and then the triple-vaxxers will be revoked.
[00:48:34.861 --> 00:48:39.843]  You're going to have to keep getting injected with spike proteins until you die, or you stand up and say, enough.
[00:48:39.903 --> 00:48:42.604]  But by that time, how much damage have you undergone?
[00:48:43.024 --> 00:48:44.785]  Do you have a vascular system remaining?
[00:48:44.805 --> 00:48:47.027]  Do you even have a neurological system that's still functioning?
[00:48:47.347 --> 00:48:51.230]  And by the way, sorry Alex if I'm running on here, but we're seeing more of accidents as well.
[00:48:51.890 --> 00:48:58.295]  The tow truck drivers and the ambulance drivers, they know all across America, they're responding to more and more traffic accidents.
[00:48:58.315 --> 00:49:02.338]  These are caused by people having blood clots, you know, the micro clots as they're driving.
[00:49:02.498 --> 00:49:09.345]  All the British government came out and said record heart attacks, blood clots up 25%, heart attacks up 25% from the blood clots.
[00:49:10.186 --> 00:49:13.529]  And exactly now when there's mass deaths at the hospital, the military will be there to control it.
[00:49:13.549 --> 00:49:15.171]  It's a martial law atmosphere.
[00:49:15.451 --> 00:49:18.795]  We're being inducted into the Great Reset, into the Communist takeover.
[00:49:19.848 --> 00:49:28.033]  That's right, and almost sorry to bring this up, but you know where this is going with Joe Biden signing the executive order that says they can take you away for a measles infection.
[00:49:28.773 --> 00:49:33.936]  To your listeners, do you realize that the CDC can declare a measles outbreak in an entire area?
[00:49:34.257 --> 00:49:37.018]  They can say this neighborhood has measles.
[00:49:37.038 --> 00:49:42.802]  And that is the shielding area where they're going to quote, lock everybody else down to protect them from a quote, neighborhood.
[00:49:43.713 --> 00:49:44.834]  And they can take you out of your homes.
[00:49:45.214 --> 00:49:49.057]  They can put you in a green zone camp that they've described on their own website.
[00:49:49.097 --> 00:49:52.499]  And by the way, this has already happened in Australia and they're only ratcheting up there.
[00:49:52.579 --> 00:49:53.880]  The documents came out permanent.
[00:49:53.920 --> 00:49:56.862]  They tend to have millions of the population live in camps basically forever.
[00:49:57.262 --> 00:49:59.064]  Mike Adams, NaturalNews.com, stay there.
[00:49:59.124 --> 00:50:00.625]  Folks, this is not a drill.
[00:50:00.705 --> 00:50:01.886]  You know it's not a game now.
[00:50:02.606 --> 00:50:05.909]  I can tell you that I've been around other big national talk show hosts and others.
[00:50:06.369 --> 00:50:07.670]  Everybody knows it's the end.
[00:50:07.750 --> 00:50:08.871]  Everybody understands this.
[00:50:09.291 --> 00:50:10.492]  And I feel so sorry for the public.
[00:50:10.512 --> 00:50:13.374]  That's why people ask, hey, they say you lost your lawsuit.
[00:50:14.135 --> 00:50:15.276]  You don't get a jury trial.
[00:50:15.316 --> 00:50:16.677]  People go, that's unconstitutional.
[00:50:16.717 --> 00:50:17.277]  Seventh Amendment.
[00:50:17.497 --> 00:50:18.298]  They don't care.
[00:50:18.658 --> 00:50:22.161]  They've all been told the country's going down and they think they're the winners.
[00:50:22.481 --> 00:50:23.382]  But of course they won't.
[00:50:24.162 --> 00:50:26.865]  Everybody in the system that served it is going down as well.
[00:50:26.885 --> 00:50:28.908]  In fact, they're most of the people that have taken the shots.
[00:50:28.928 --> 00:50:32.932]  I mean, Democrats dying in mass from the injections they've taken.
[00:50:33.012 --> 00:50:34.574]  I mean, this is biblical.
[00:50:34.614 --> 00:50:35.455]  Get right with God.
[00:50:35.815 --> 00:50:36.496]  Get prepared.
[00:50:36.837 --> 00:50:37.377]  Get ready.
[00:50:37.678 --> 00:50:39.340]  Because this is going down.
[00:50:39.820 --> 00:50:40.901]  This is going down.
[00:50:41.442 --> 00:50:42.503]  This is the reality.
[00:50:42.523 --> 00:50:43.424]  You've got to read the article.
[00:50:43.444 --> 00:50:44.305]  You've got to understand.
[00:50:45.126 --> 00:50:47.767]  What the ADE is, you gotta warn everybody you know.
[00:50:47.787 --> 00:50:51.208]  Alright, we'll be right back with our number two, ladies and gentlemen.
[00:50:51.228 --> 00:50:53.829]  And any one of these broadcasts should be our last, okay?
[00:50:54.169 --> 00:50:56.710]  I hope we're gonna still be here in a year or a month, but we don't know.
[00:50:57.070 --> 00:50:58.510]  So don't take anything for granted.
[00:50:58.550 --> 00:50:59.710]  Warn everyone you know now.
[00:50:59.991 --> 00:51:01.151]  You are the Paul Reveres.
[00:51:02.331 --> 00:51:06.172]  God created each and every one of us with free will.
[00:51:07.313 --> 00:51:10.654]  But we look at the world system now, openly announcing the mark of the beast.
[00:51:11.514 --> 00:51:26.920]  Everything that it's attempting to do is built around getting rid of our free will and making us bow down and submit and turn our very bodies, our very productivity, our very genetics, our very future over to them.
[00:51:27.660 --> 00:51:29.381]  They want control of procreation.
[00:51:29.421 --> 00:51:32.022]  They want control of the relationships between men and women.
[00:51:32.362 --> 00:51:36.924]  They want to bring a form of living death to our society and our civilization.
[00:51:38.112 --> 00:51:42.916]  All of us were formed and made in God's mind and God's image and given free will.
[00:51:43.657 --> 00:51:53.205]  And make no mistake, all of you alive today were created by God to be alive in this special time so that you could make the right decision in free will and stand against evil.
[00:51:54.226 --> 00:52:00.212]  And then, for eternity, win the great birthright prize of being aligned with God.
[00:52:01.431 --> 00:52:02.852]  We are now back live.
[00:52:02.892 --> 00:52:04.993]  Some stations don't carry this first five minutes of each hour.
[00:52:05.013 --> 00:52:11.097]  We're going to get into the designed Great Reset that's already starving the third world to death, collapsing their population.
[00:52:11.137 --> 00:52:12.838]  The UN then organizes to invade us.
[00:52:13.378 --> 00:52:20.602]  And then here already, the major shortages here that are even worse in Europe, Australia, and of course, right there in the UK.
[00:52:20.642 --> 00:52:25.185]  We're going to show you some video of the big food lines and the Prime Minister will be in that next segment.
[00:52:25.205 --> 00:52:29.496]   But Mike, Everything we predicted last year unfolded.
[00:52:29.596 --> 00:52:31.057]  Now we're here laying this out.
[00:52:31.577 --> 00:52:38.443]  This is clearly their cover for the world collapse to bring in the world ID based around the vaccine passport.
[00:52:39.084 --> 00:52:41.386]  What can the average person do to lessen the blow?
[00:52:41.446 --> 00:52:42.527]  What can Congress do?
[00:52:42.547 --> 00:52:44.729]  Because I see great people like Rand Paul and others.
[00:52:44.769 --> 00:52:46.451]  They don't seem to know how much danger we're all in.
[00:52:46.731 --> 00:52:48.072]  He's confronting Fauci.
[00:52:48.152 --> 00:52:50.654]  He's talking about illegal spying, you know.
[00:52:50.894 --> 00:52:53.116]  But they're still operating from their cocoon.
[00:52:53.897 --> 00:52:55.839]  Like, everything's okay, but it's not okay.
[00:52:56.159 --> 00:53:01.784]  I mean, everything's falling apart, and the hospitals are now full of the vaccinated who are seriously ill.
[00:53:02.865 --> 00:53:07.169]  I'm not sure they realize how close we are to the end of the American empire, period.
[00:53:07.790 --> 00:53:08.670]  The end of the dollar.
[00:53:09.651 --> 00:53:19.260]  You see, the only way that they're keeping this going, and the way that Biden is bribing all of the Democrat groups to carry out more voter fraud on the ground, is through money printing.
[00:53:19.460 --> 00:53:22.460]   So the money printing allows them to distribute these trillions of dollars.
[00:53:22.460 --> 00:53:28.059]   They call it a COVID stimulus, but of course, as you know, almost none of it goes to anything related to COVID.
[00:53:28.059 --> 00:53:32.960]   This just gets funneled into other groups to keep the Democrats in power.
[00:53:32.960 --> 00:53:38.260]   So once the money printing machine stops, it will be, of course, catastrophic for the nation.
[00:53:38.336 --> 00:53:41.377]  It would mean the end of America, as we know it, at least.
[00:53:41.958 --> 00:53:51.043]  It would perhaps parallel, in many ways, the Soviet Empire collapse of 1991, which began as a default on debt three days earlier.
[00:53:51.143 --> 00:53:54.025]  Of course, that's a simplification of it, but that was a big part of it.
[00:53:54.425 --> 00:54:00.208]  But once the money machine stops, they can no longer bribe everybody to keep playing along with the Democrats.
[00:54:00.248 --> 00:54:04.211]  Even the CDC would run out of money to keep bribing celebrities to push vaccines, for example.
[00:54:04.831 --> 00:54:10.338]  Let's be clear, it's obviously the globalists above it all, maneuvering us and others into a collapse.
[00:54:10.779 --> 00:54:16.026]  Europe can't get coal, China can't get coal, because the money's devalued and they've been shutting down coal production.
[00:54:16.326 --> 00:54:19.450]  I mean, we can see the megacorporations are orchestrating this collapse.
[00:54:20.384 --> 00:54:46.559]  It's going to be an engineered famine situation, a release of another bioweapon, an energy collapse resulting in at least regional power grid disruptions, and then followed by, at the worst possible time, in my opinion, they're going to cause an economic catastrophe, which may be bank holidays, it may eventually be the actual collapse of the dollar itself, but we can't know the timing, so I'm not making that prediction for this winter.
[00:54:47.059 --> 00:54:48.460]  It's just we know that's inevitable.
[00:54:48.760 --> 00:54:54.362]  It's going to happen, and they're probably going to end up printing a trillion dollars a week before very long.
[00:54:54.422 --> 00:55:01.345]  So, you know, $3.5 trillion they're talking about right now, they may cut that to $2 trillion, but it's trillions a month at this point.
[00:55:01.405 --> 00:55:06.107]  It's going to be a trillion a week soon, and then the blowout, it's just inevitable.
[00:55:06.267 --> 00:55:06.907]  It's very close.
[00:55:07.327 --> 00:55:14.214]  And that's why they're getting troops on the streets and getting us used to hearing the Americans of the terrorists and those that question open borders of the terrorists.
[00:55:14.594 --> 00:55:14.914]  We've got 80,000.
[00:55:15.194 --> 00:55:17.677]  This is mainline news.
[00:55:17.697 --> 00:55:24.343]  The Mexican government says from Haiti, marching towards the Texas border now, they're releasing 80% of those that have already gotten here.
[00:55:24.803 --> 00:55:25.985]  I mean, this is going to be incredible.
[00:55:26.701 --> 00:55:33.085]  Well, I also think the most important survival strategy for the red states like Texas and Florida is nullification.
[00:55:33.685 --> 00:55:40.969]  And you saw Nebraska the other day, the governor of Nebraska announced they would not honor the attempted new IRS rule of reporting transactions over $600.
[00:55:41.109 --> 00:55:42.750]  That's a nullification.
[00:55:43.270 --> 00:55:51.115]   What Texas needs to do, in my opinion, is to nullify the FDA, legalize ivermectin, Save the lives of the people of Texas.
[00:55:51.835 --> 00:55:58.219]  Joe Biden's waging war against the red states, even with restrictions of monoclonal antibodies, for example, which will produce more casualties.
[00:55:58.859 --> 00:56:02.081]  We now have reached a... I wouldn't quite call it a civil war.
[00:56:02.121 --> 00:56:04.823]  I would call it a nullification stage for survival.
[00:56:05.143 --> 00:56:13.188]  Texas must take hold of its border, must take hold of medicine, must take hold of Big Pharma, get Big Pharma out of the system.
[00:56:13.388 --> 00:56:15.629]  Otherwise, Texas goes down with the blue states.
[00:56:15.669 --> 00:56:16.310]  That's my opinion.
[00:56:16.650 --> 00:56:17.010]  I agree.
[00:56:17.050 --> 00:56:18.371]  And I want to say something about Greg Abbott.
[00:56:18.411 --> 00:56:19.952]  I don't want to attack Abbott just to attack him.
[00:56:20.332 --> 00:56:22.353]  He did a bad thing last year with the lockdowns and all that.
[00:56:22.373 --> 00:56:23.053]  I want to believe in him.
[00:56:23.093 --> 00:56:23.813]  I want to think he's good.
[00:56:24.153 --> 00:56:25.054]  I want to believe in DeSantis.
[00:56:25.074 --> 00:56:32.937]  But he keeps putting out video of armored vehicles and Humvees and DHS vehicles and Texas State Police down there.
[00:56:34.298 --> 00:56:38.120]  When they grab the illegals coming across, they give them to the feds who release them.
[00:56:38.721 --> 00:56:40.342]  So it's all show.
[00:56:40.982 --> 00:56:42.023]  It's show.
[00:56:42.043 --> 00:56:45.825]  We're going to come back in 60 seconds with Mike Adams on nationalnews.com.
[00:56:46.325 --> 00:56:48.507]  And folks, I agree with his analysis.
[00:56:48.567 --> 00:56:49.687]  We're in deep trouble.
[00:56:50.468 --> 00:56:52.329]  I mean, wow, this is historic.
[00:56:52.469 --> 00:56:55.371]  All right, I want to explain something that's very elementary.
[00:56:55.411 --> 00:56:57.112]  I know our general audience gets this.
[00:56:57.152 --> 00:56:58.012]  That's why you tune in.
[00:56:58.032 --> 00:56:58.853]  You're already informed.
[00:56:59.273 --> 00:57:02.075]  You just want to get more info and share info and are concerned.
[00:57:03.789 --> 00:57:06.250]  But remember what happened last year.
[00:57:06.310 --> 00:57:11.792]  All over the world, they had to dump millions of gallons per country or even per region of cow's milk.
[00:57:12.392 --> 00:57:14.273]  People said, why don't they give that to the poor?
[00:57:14.813 --> 00:57:16.794]  Well, the stores are closed.
[00:57:16.834 --> 00:57:17.814]  People can't get it.
[00:57:18.194 --> 00:57:19.355]  They can't refrigerate it.
[00:57:19.455 --> 00:57:23.036]  So the cows keep producing it, so you've got to get it and then dump it.
[00:57:23.296 --> 00:57:24.817]  They tried to give away as much as they could.
[00:57:24.837 --> 00:57:26.617]  There's not an infrastructure.
[00:57:27.878 --> 00:57:28.198]  Okay?
[00:57:29.759 --> 00:57:32.369]   And so, We've got all that happening.
[00:57:32.389 --> 00:57:33.850]  We've got our borders collapsing.
[00:57:35.351 --> 00:57:41.457]  And now, all over the world, they're having to cull animals because there's not enough feed to feed them.
[00:57:41.857 --> 00:57:48.162]  And then the workers aren't coming to work on British and German and French farms because they're paid not to work.
[00:57:49.218 --> 00:57:57.425]  And Klaus Schwab admitted a year and a half ago, he said, we're going to have ongoing lockdowns, rolling lockdowns, that will create a collapse in this unsustainable economy.
[00:57:57.725 --> 00:57:58.566]  But it is sustainable.
[00:57:58.586 --> 00:57:59.166]  He collapsed it.
[00:57:59.687 --> 00:58:05.171]  And then when it collapses, we'll bring in the new global system and the new guaranteed social credit score and guaranteed income.
[00:58:05.452 --> 00:58:06.993]  This is the corporate takeover.
[00:58:07.193 --> 00:58:09.435]  They've got endless cash, endless made up currency.
[00:58:09.615 --> 00:58:14.959]  They've got to kill our real economy to make us come hat in hand to be slaves, posing it as saviors.
[00:58:16.457 --> 00:58:22.682]  Even as Boris Johnson comes out yesterday and gives a statement, farmers are announcing they're going to have to cull millions of sheep and cows.
[00:58:23.703 --> 00:58:24.284]  Here's another one.
[00:58:24.304 --> 00:58:32.490]  We have aerial footage that shows long lines for fuel in dirt in the UK trying to get fuel.
[00:58:32.550 --> 00:58:35.172]  So these are the shortages that are being caused.
[00:58:35.473 --> 00:58:36.694]  Here's Boris Johnson.
[00:58:36.814 --> 00:58:38.735]  All this is already happening here.
[00:58:38.996 --> 00:58:43.319]  Here is the traitor-in-chief that poses a patriot who's a horrible globalist.
[00:58:43.519 --> 00:58:43.900]  Here he is.
[00:58:44.662 --> 00:58:50.548]  Is Rishi Sunak right in saying that these problems, these delays, could go on until Christmas, or is he wrong?
[00:58:50.568 --> 00:58:52.610]  I think what you're seeing... Is he right or wrong?
[00:58:53.190 --> 00:59:04.241]  I think Rishi is right in very big ways, but what you're seeing is a... it depends how you interpret what he's saying.
[00:59:04.261 --> 00:59:05.542]  Well, it's not difficult.
[00:59:05.742 --> 00:59:07.163]  He said they're going to go on until Christmas.
[00:59:07.303 --> 00:59:14.390]   Well, what you're certainly seeing Okay, so that's basically the BS there.
[00:59:14.269 --> 00:59:20.568]   UK economy that is now the fastest growing in the G7 when people voted for
[00:59:20.568 --> 00:59:25.628]   change in 2016. Okay so that's that's basically the BS there so so let's
[00:59:25.628 --> 00:59:29.949]   expand on this. Klaus Schwab, the UN, all of them said we want to end the
[00:59:30.846 --> 00:59:32.087]  We want to end plenty.
[00:59:32.107 --> 00:59:32.787]  You'll have nothing.
[00:59:32.807 --> 00:59:33.448]  You'll own nothing.
[00:59:33.488 --> 00:59:34.248]  They said all that.
[00:59:34.629 --> 00:59:37.030]  They fund extinction rebellion.
[00:59:37.050 --> 00:59:39.192]  They fund all the fake environmental groups.
[00:59:39.272 --> 00:59:40.053]  It's a power grab.
[00:59:40.073 --> 00:59:40.853]  They're eugenicists.
[00:59:41.194 --> 00:59:42.094]  They're depopulations.
[00:59:42.154 --> 00:59:47.498]  And they said last year and this year in the London Guardian and the New York Times, oh, the COVID lockdown was great.
[00:59:47.558 --> 00:59:49.120]  It teaches us to live locked down.
[00:59:49.500 --> 00:59:50.781]  It teaches us not to have anything.
[00:59:50.821 --> 00:59:51.681]  It was so good for the earth.
[00:59:52.042 --> 00:59:53.843]  And now we're going to get rid of meat.
[00:59:53.883 --> 00:59:56.045]  You're not going to have meat anymore because they're going to kill it all.
[00:59:56.425 --> 00:59:58.867]  I mean, this is really happening, Mike Adams.
[00:59:58.907 --> 01:00:01.550]  Lay out what's really going on and how we stop it.
[01:00:02.311 --> 01:00:12.540]  So part of the structure of a globalist society and the long supply lines is that it presents opportunities for single source restrictions that have a domino effect throughout the supply lines.
[01:00:12.580 --> 01:00:30.112]   So you're talking about energy in Europe, so natural gas shortages end up resulting in a shortage of fertilizer production, and because there are not Fertilizer plants producing fertilizer for agricultural use, their byproduct is carbon dioxide, which is used to kill the animals for slaughter.
[01:00:30.412 --> 01:00:33.354]  So then you don't have enough CO2 to slaughter the animals.
[01:00:33.414 --> 01:00:39.796]  So then the animals end up getting killed on the farms, but then just left to be picked by the birds, essentially.
[01:00:39.816 --> 01:00:42.797]  I mean, there's going to be a culling of these animals.
[01:00:42.817 --> 01:00:49.959]   They're going to be, I don't know, shot or bulldozed or, I mean, probably some horrific death of all these animals rather than than the normal way
[01:00:49.959 --> 01:00:51.559]   the slaughtered with CO2 so
[01:00:51.559 --> 01:00:58.438]   the ripple effect then leads to humans starving and having a reduced food supplies and then food inflation
[01:00:58.438 --> 01:01:05.468]   resulting from that as well so think about this I mean Alex this is why if I should say when America rebuilds from
[01:01:05.468 --> 01:01:06.878]   this because we will
[01:01:06.878 --> 01:01:14.439]   rebuild we must have local redundant suppliers for rare earth metals for energy
[01:01:14.439 --> 01:01:18.038]   for manufacturing, for steel production, all of these things.
[01:01:17.832 --> 01:01:20.033]  I mean, Trump was right all along.
[01:01:20.453 --> 01:01:22.234]  Nationalism is the answer.
[01:01:22.274 --> 01:01:24.935]  We have to have local, national production.
[01:01:25.496 --> 01:01:28.457]  Even if it costs more money, you have the redundancy.
[01:01:28.957 --> 01:01:40.505]  And redundancy is what we do not have in the world right now, and that's why there are hundreds of ships parked outside the ports on both the West Coast and the East Coast, with the globalists locking down the ports on purpose to cause these restrictions.
[01:01:40.525 --> 01:01:48.051]  I mean, look, Alex, this is like, this is the naval blockade that America did to Japan in World War II, to block fossil fuels from being shipped into Japan.
[01:01:48.291 --> 01:01:49.472]  And Mike, I want to back you up.
[01:01:49.492 --> 01:01:50.212]  I want to back you up.
[01:01:50.232 --> 01:01:52.134]  You got to come back on this week if you can do it during the weekday.
[01:01:52.514 --> 01:01:53.355]  You predicted it.
[01:01:53.715 --> 01:01:54.956]  We said it all a year and a half ago.
[01:01:55.076 --> 01:01:57.818]  I predicted it because the UN said this is their plan.
[01:01:58.178 --> 01:02:02.381]  They, they, they, the workers leave because if one person gets COVID, everything shuts down.
[01:02:02.421 --> 01:02:05.823]  The supply chains, the factories, the truckers, the schools.
[01:02:06.263 --> 01:02:09.085]  But then meanwhile, all China's never closed.
[01:02:09.105 --> 01:02:09.766]  It was all bull.
[01:02:10.286 --> 01:02:11.447]  We are shutting down.
[01:02:11.487 --> 01:02:13.369]  This is an economic consolidation.
[01:02:13.689 --> 01:02:21.196]  This is the end of the industrial world that the UN said they would do at the Rio de Janeiro meeting in 1992.
[01:02:21.296 --> 01:02:24.439]  That's Agenda 21 that they launched in 2021, they said.
[01:02:24.839 --> 01:02:30.184]  And now by Agenda 2030, they intend to depopulate the earth 90% in the next nine years.
[01:02:30.464 --> 01:02:31.385]  This is real!
[01:02:31.646 --> 01:02:34.868]  We keep telling people they're not playing games, Mike Adams.
[01:02:35.589 --> 01:02:40.272]  And remember what happened in Texas this February with the cold snap and the power plants shutting down.
[01:02:40.592 --> 01:02:47.356]  Well, news broke this morning, Alex, that in Germany a major coal-fired power plant has shut down because they can't get coal supplies.
[01:02:47.837 --> 01:02:49.978]  So again, single-source restrictions.
[01:02:50.258 --> 01:02:59.644]  When they start restricting coal supplies even to power plants in the United States, you're going to get regional power outages, and then that has a tipping point.
[01:02:59.924 --> 01:03:05.748]   There's a certain point Where society, if enough things are disrupted simultaneously... It's dominoes.
[01:03:05.768 --> 01:03:06.849]  ...it cannot recovery.
[01:03:07.070 --> 01:03:07.910]  There's no recovery.
[01:03:08.371 --> 01:03:08.811]  Exactly.
[01:03:08.871 --> 01:03:11.273]  And Mike, again, we've been screaming this.
[01:03:11.313 --> 01:03:15.937]  We are explaining what just-on-time delivery and globalization is the opposite of sustainability.
[01:03:16.257 --> 01:03:18.719]  We are like a heroin addict totally strung out.
[01:03:19.059 --> 01:03:20.841]  And now the dominoes are already falling.
[01:03:21.181 --> 01:03:23.403]  People, you know, the dominoes are already falling fast.
[01:03:23.463 --> 01:03:24.724]  We're deep into this now.
[01:03:24.964 --> 01:03:28.387]  We're deep into the antibody crisis.
[01:03:30.148 --> 01:03:31.149]  Poisoning of the shots?
[01:03:31.509 --> 01:03:33.570]  I mean, people better get right with God right now, Mike.
[01:03:34.311 --> 01:03:48.741]  And the government and the media, which set this whole thing up, I mean, the Biden regime, they're telling people, you know, don't store food, don't get ivermectin, don't be ready, you know, don't have extra cash and certainly don't buy gold or silver or anything like that, right?
[01:03:48.981 --> 01:03:51.403]  So this is all the exactly the wrong advice.
[01:03:51.823 --> 01:03:53.164]  You're going to need food.
[01:03:53.644 --> 01:03:55.325]  To make it through the dark winter.
[01:03:55.365 --> 01:03:56.206]  It's not just the winter.
[01:03:56.566 --> 01:03:59.329]  It's going to be a dark couple of years, frankly, of what's coming.
[01:03:59.629 --> 01:04:04.793]  The supply lines of the collapse of 2020, when you couldn't get toilet paper and things, that's nothing.
[01:04:04.833 --> 01:04:07.135]  That's a warm-up round compared to what's coming.
[01:04:07.415 --> 01:04:12.039]  And the freeze in Texas and other states earlier this year, that's the warm-up round.
[01:04:12.779 --> 01:04:14.660]  Alex, it's going to get so bad.
[01:04:14.680 --> 01:04:18.743]  I mean, I'm dedicated to staying on air as you are as long as possible.
[01:04:18.763 --> 01:04:25.988]  And frankly, the reason they're coming after InfoWars with the judgment that, you know, the witch trials, you don't even get a jury.
[01:04:26.028 --> 01:04:31.452]  The reason they're doing that is because I think they know there's going to be a secession or nullification.
[01:04:31.712 --> 01:04:39.457]  We're going to have the Republic of Texas and InfoWars is going to be the news hub for the new free Texas, which is why you need to survive.
[01:04:39.878 --> 01:04:40.418]  That's my take.
[01:04:40.538 --> 01:04:45.663]  Well, I mean, for those that don't know, we gave them every document, everything they ever asked for, more than anybody ever did.
[01:04:46.063 --> 01:04:54.030]  They removed one judge, put a new one in, and she said, first hearing, first real hearing, I'm defaulting you, you never gave us one document, and then they lie all over the news.
[01:04:54.490 --> 01:05:00.356]  It's stunning to me that it just shows you, though, it's a symptom of this country being on its deathbed, Mike.
[01:05:01.308 --> 01:05:04.409]  Yeah, they're trying to take you down by any means, and they've thrown out the rule of law.
[01:05:04.809 --> 01:05:13.291]  But in doing so, as I think your attorneys have said, and Barnes as well, when they throw out the rule of law, they throw out the very pillars of sustainable society.
[01:05:13.592 --> 01:05:16.492]  We are now going to witness this collapse.
[01:05:16.652 --> 01:05:19.253]  It has begun, and it is, I think, unstoppable.
[01:05:19.293 --> 01:05:21.274]  Now we have to ride it out and prepare to rebuild.
[01:05:22.074 --> 01:05:22.595]  That's right.
[01:05:23.475 --> 01:05:31.843]  Imagine what the average leftist, who's all about not being ready and being totally dependent, what are all of the leftist pedophiles and drug addicts going to do when everything collapses?
[01:05:33.004 --> 01:05:41.111]  Well, they're going to try to kill others to get the drugs and food that they want, but they have very little discipline and training and most of them will be killed themselves.
[01:05:41.812 --> 01:05:42.733]  And that's it.
[01:05:43.113 --> 01:05:44.034]  Most of them are going to die.
[01:05:45.340 --> 01:05:50.907]  You know, my instincts, not just my intellect, but my instincts have like, I have 10 times the energy I ever had.
[01:05:50.927 --> 01:05:51.808]  I feel like I'm 18.
[01:05:52.228 --> 01:05:55.072]  I can't stop working because I know this is going down.
[01:05:55.232 --> 01:05:56.133]  Can you feel it too, Mike?
[01:05:56.193 --> 01:05:57.555]  I mean, I just, it's incredible.
[01:05:59.063 --> 01:06:05.685]  I've been getting ready for this, you know, for many, many years, and I'm not surprised that it's happening.
[01:06:05.705 --> 01:06:07.186]  I'm surprised how many people aren't yet awake.
[01:06:07.606 --> 01:06:09.006]  It's so obvious at this point.
[01:06:09.307 --> 01:06:10.727]  Well, it's happening now.
[01:06:10.787 --> 01:06:11.587]  It's not just obvious.
[01:06:11.627 --> 01:06:12.168]  You're right.
[01:06:12.328 --> 01:06:12.968]  It's happening.
[01:06:13.268 --> 01:06:16.069]  The collapse is now happening, orchestrated by Klaus Schwab.
[01:06:16.389 --> 01:06:16.929]  God help us.
[01:06:16.969 --> 01:06:17.649]  Thank you, Mike Adams.
[01:06:17.669 --> 01:06:18.410]  Amazing information.
[01:06:18.930 --> 01:06:19.470]  Thank you, Alex.
[01:06:19.890 --> 01:06:20.470]  We'll be right back.
[01:06:20.510 --> 01:06:20.910]  Stay with us.
[01:06:21.251 --> 01:06:24.532]  What an incredible time to be alive, ladies and gentlemen.
[01:06:24.552 --> 01:06:28.153]  I have a very important special report we're going to air at the start of the next segment.
[01:06:29.724 --> 01:06:35.189]  And then he's got so much to cover tonight in Sunday Live, 6 to 8 p.m.
[01:06:35.249 --> 01:06:35.609]  I've asked.
[01:06:36.230 --> 01:06:39.392]  Harrison Smith is going to be hosting this weekday mornings at 8 a.m.
[01:06:39.813 --> 01:06:41.954]  American Journal here on the InfoWars Network.
[01:06:42.535 --> 01:06:48.460]  He's going to come in and finish the last segment and a half to tell you what's coming up and some other news he's got and then he'll be back tomorrow morning 8 a.m.
[01:06:48.500 --> 01:06:50.301]  and I'll be back at 11 a.m.
[01:06:50.322 --> 01:06:53.144]  and Owen Schroer will be back tomorrow at 3 p.m.
[01:06:53.184 --> 01:06:53.604]  Central.
[01:06:53.624 --> 01:07:01.392]   Remember, The globalists are working around the clock to try to take us off the air before I hit this final news and information I'm going to hit in these very, very serious times.
[01:07:02.353 --> 01:07:05.055]  I would just tell listeners, yeah, I told you, you can go back.
[01:07:05.095 --> 01:07:06.016]  You heard it a hundred times.
[01:07:07.177 --> 01:07:09.139]  20 months ago, I said it's going to collapse the third world.
[01:07:09.159 --> 01:07:10.360]  We're going to be flooded with migrants.
[01:07:11.301 --> 01:07:14.002]  And basically invaders from the globalist collapse from all over the world.
[01:07:14.042 --> 01:07:14.362]  The U.N.
[01:07:14.382 --> 01:07:16.923]  is going to organize them, bring them in to collapse the economy.
[01:07:17.723 --> 01:07:19.264]  Tens of millions extra will starve to death.
[01:07:19.304 --> 01:07:20.104]  That's now happened.
[01:07:20.124 --> 01:07:23.445]  That's mass murder, not caused by COVID, caused by the lockdowns.
[01:07:24.285 --> 01:07:27.286]  Much of Latin America and Africa is still under lockdowns.
[01:07:28.107 --> 01:07:28.507]  The U.N.
[01:07:28.527 --> 01:07:32.608]  controls them through the IMF and World Bank and tell them to do that, to make their people flood up here.
[01:07:33.869 --> 01:07:35.709]  You're going to have food prices explode.
[01:07:35.729 --> 01:07:37.310]  There's global devaluation happening.
[01:07:37.970 --> 01:07:43.817]  We told you you'll start seeing power supply outages, and it's all happening because Klaus Schwab wrote books saying it.
[01:07:44.338 --> 01:07:45.940]  I've read four of his damn books.
[01:07:46.220 --> 01:07:47.802]  He's the former head of the Bilderberg Group.
[01:07:48.743 --> 01:07:50.806]  This is not a game, ladies and gentlemen.
[01:07:52.608 --> 01:07:54.931]  So yeah, I want to stay on air as long as possible.
[01:07:56.044 --> 01:07:58.886]  And I sell things that I believe in and I think you need.
[01:07:59.326 --> 01:08:01.307]  So I sell a lot of great supplements.
