[00:00:00.190 --> 00:00:00.613]  World War 3!
[01:30:21.381 --> 01:30:26.622]  It's all prison training for the forced inoculation, for the illegal medical experimentation,
[01:30:27.162 --> 01:30:32.946]  With the tracking systems and the world ID, the communist Chinese social credit score, and the purge of our military.
[01:30:32.966 --> 01:30:36.428]  But he's also not just a National Guardsman who just got back from DC.
[01:30:36.848 --> 01:30:41.871]  Matthew was talking about being an ER tech and what he's witnessing with these deadly gene therapies.
[01:30:41.971 --> 01:30:42.552]  What are you seeing?
[01:30:43.749 --> 01:30:53.154]  Well, so first off, early on in the middle of COVID, I was blatantly seen in the hospital by about the cause of death for multiple patients.
[01:30:53.274 --> 01:30:57.336]  I had a patient who was a repeat patient that would come in all the time who was in liver failure.
[01:30:57.856 --> 01:30:58.737]  They died later.
[01:30:58.757 --> 01:31:04.260]  You know, we went to just look at the chart and say, I wonder what happened to them when they went to the ICU and then it said cause of death, COVID.
[01:31:04.961 --> 01:31:13.811]  Uh, and the business department was the one changing these deaths because they wanted to get the money from the CARES Act grant for all the people that died.
[01:31:13.831 --> 01:31:16.735]  I know people that are getting the vaccine.
[01:31:17.356 --> 01:31:18.657]  There's some that have had no effect.
[01:31:18.697 --> 01:31:21.200]  We've had a lot of nurses and a lot of doctors that are out sick.
[01:31:21.300 --> 01:31:22.522]  We had a cardiologist.
[01:31:22.942 --> 01:31:23.583]  We're good to go.
[01:31:44.525 --> 01:31:46.446]  Like the last caller said, that was a nurse.
[01:31:46.646 --> 01:31:50.068]  I'm yet to see a person who's actually even sick of COVID itself, though.
[01:31:50.848 --> 01:31:53.729]  We had a COVID floor that was full of COVID positive people.
[01:31:54.209 --> 01:31:58.231]  None of them seemed like they had anything worse than a typical flu or a bad cold.
[01:31:58.631 --> 01:32:02.673]  I've had patients, I had a patient last night come in who's 25.
[01:32:02.773 --> 01:32:04.113]  She just got over COVID.
[01:32:04.694 --> 01:32:06.914]  And I said, well, were you sick when you had it?
[01:32:06.974 --> 01:32:08.435]  Or was it kind of like a cold or the flu?
[01:32:08.455 --> 01:32:09.736]  She said, yeah, it was just like a cold.
[01:32:09.796 --> 01:32:13.057]  But now that she's received the vaccine, she's having symptoms of meningitis.
[01:32:13.983 --> 01:32:20.269]  Um, and, uh, since they've lowered the threshold on the test of what
[01:32:20.885 --> 01:32:21.205]  I think so.
[01:32:44.106 --> 01:32:47.769]  And this reality will end the gaslighting, but I got to get to everybody because everybody's holding.
[01:32:47.809 --> 01:32:48.270]  Thank you, sir.
[01:32:48.310 --> 01:32:48.750]  God bless you.
[01:32:48.770 --> 01:32:51.673]  I want to say hi to all the folks at Fort Campbell, Kentucky.
[01:32:51.713 --> 01:32:52.613]  They're at the Night Stalkers.
[01:32:53.134 --> 01:32:55.596]  Okay, let's go ahead and take another call here.
[01:32:56.697 --> 01:32:58.278]  Let's go to Kelly in Arizona.
[01:32:58.679 --> 01:33:01.401]  Friend is a firefighter, firefighter union, most refusing.
[01:33:01.661 --> 01:33:02.422]  That's in the news.
[01:33:02.862 --> 01:33:03.583]  That's good news.
[01:33:04.003 --> 01:33:05.084]  Kelly, give us your take on that.
[01:33:06.185 --> 01:33:07.626]  Well, it's a good friend of mine.
[01:33:07.666 --> 01:33:11.089]  He works for one of the smaller departments just outside of Greater Phoenix.
[01:33:11.758 --> 01:33:14.659]  They had a union meeting to get them all to come in to vaccinate.
[01:33:15.620 --> 01:33:18.341]  And, uh, there's a little over 700 in that union.
[01:33:18.401 --> 01:33:21.163]  Only 7 of them took that vaccine in the fire department.
[01:33:23.244 --> 01:33:25.065]  Well, they're going to keep trying to push it on people.
[01:33:25.105 --> 01:33:26.766]  The answer is don't just refuse it.
[01:33:26.866 --> 01:33:27.866]  Warn everybody you know.
[01:33:27.886 --> 01:33:28.426]  Do you agree with me?
[01:33:31.808 --> 01:33:32.649]  Oh, we lost that caller.
[01:33:33.069 --> 01:33:36.711]  Retired police sergeant in Arizona wants to talk about the policies.
[01:33:36.771 --> 01:33:37.211]  Go ahead, sir.
[01:33:38.550 --> 01:33:39.390]  Hey, Mr. Jones.
[01:33:39.430 --> 01:33:40.591]  It's a pleasure to talk to you.
[01:33:40.811 --> 01:33:42.752]  Been listening for a little bit over a year now.
[01:33:43.452 --> 01:33:45.313]  Anyway, I don't want to waste time patronizing you.
[01:33:45.393 --> 01:33:46.613]  I could go on for hours, sir.
[01:33:46.994 --> 01:33:48.234]  Anyway, I'm a Christian man.
[01:33:48.254 --> 01:33:57.918]  I was in law enforcement for 23 years, and we actually moved from Arizona to Texas, and found a great house, big pool, everything.
[01:33:58.699 --> 01:34:04.041]  You know, really thought that we were getting out of all this, and this governor that runs that state
[01:34:04.696 --> 01:34:05.757]  My heart is just broke.
[01:34:06.177 --> 01:34:07.438]  We're actually playing by the rules.
[01:34:07.458 --> 01:34:08.699]  This guy is compromised by China.
[01:34:08.719 --> 01:34:10.720]  I don't know if anyone's seen the John Fedrich report.
[01:34:10.740 --> 01:34:12.281]  He had a report of 29 governors.
[01:34:26.092 --> 01:34:29.153]  Yeah, but listen, I love Texas, but it is Texans better wake up to how much trouble we're in.
[01:34:29.173 --> 01:34:33.835]  And it's only the cities that are run by Democrats, but yeah, the governor, the governor is a piece of work.
[01:34:33.856 --> 01:34:35.216]  What's your take on the vaccine policies?
[01:34:53.763 --> 01:34:54.585]  I'm not taking it.
[01:34:55.046 --> 01:35:01.318]  And the real reason that I called Alex is I have a son that's a, he's a baseball player in college.
[01:35:01.819 --> 01:35:04.444]  He's a D1 athlete, only a freshman.
[01:35:05.065 --> 01:35:05.486]  And, uh,
[01:35:06.408 --> 01:35:10.710]  I'm scared to death that they're going to make these kids, these athletes, that don't need nothing.
[01:35:10.830 --> 01:35:11.790]  He's already had COVID.
[01:35:12.371 --> 01:35:15.132]  They've got to organize now, ahead of it.
[01:35:15.292 --> 01:35:23.496]  He's got to organize ahead of it, create a union, be nice to the coaches, but say, hey, talk about the deaths, educate people now, so there's resistance ahead of it.
[01:35:23.536 --> 01:35:24.876]  Don't wait until they move against them.
[01:35:25.997 --> 01:35:28.298]  Alex, we're talking about Division 1 athletes.
[01:35:29.068 --> 01:35:32.290]  We cannot get these kids injected with something that they don't need.
[01:35:32.850 --> 01:35:36.672]  And I'm afraid they're going to do this by getting them with this vaccine passport.
[01:35:36.692 --> 01:35:37.772]  They're going to make them fly.
[01:35:37.792 --> 01:35:39.893]  They're going to, you know, to travel the state.
[01:35:39.953 --> 01:35:40.333]  Exactly.
[01:35:40.353 --> 01:35:43.135]  There's always going to be loopholes because the globalists aren't going to be taking it.
[01:35:43.155 --> 01:35:43.695]  I got to jump.
[01:35:43.735 --> 01:35:44.175]  Great points.
[01:35:44.215 --> 01:35:45.016]  That's a whole other debate.
[01:35:45.416 --> 01:35:45.736]  Thank you.
[01:35:46.196 --> 01:35:47.957]  OK, up next here, I'm just moving fast.
[01:35:47.977 --> 01:35:48.697]  Get everybody in here.
[01:35:49.478 --> 01:35:50.838]  That would be Paul in Texas.
[01:35:50.898 --> 01:35:53.279]  Father took the vaccine, hospitalized after.
[01:35:53.299 --> 01:35:54.080]  Tell us about that, Paul.
[01:35:54.904 --> 01:35:56.065]  Oh yeah, hi Alex.
[01:35:56.125 --> 01:35:57.906]  Long time listener, first time caller.
[01:35:58.446 --> 01:36:01.448]  My dad took the vaccine about a week ago.
[01:36:01.468 --> 01:36:04.910]  He collapsed and was rushed to the hospital.
[01:36:06.331 --> 01:36:08.613]  That's the only thing we can link it to is the vaccine.
[01:36:09.093 --> 01:36:10.334]  Did you know what type he took?
[01:36:11.047 --> 01:36:11.608]  No, I don't.
[01:36:11.708 --> 01:36:12.428]  That's one thing.
[01:36:12.468 --> 01:36:13.509]  Everyone tried.
[01:36:13.589 --> 01:36:21.156]  My sister's a VA nurse and she called him and spoke with him on the phone for hours about not taking this thing.
[01:36:21.256 --> 01:36:26.901]  She says that all the doctors up there and all the nurses where she works in Texas aren't touching it.
[01:36:27.041 --> 01:36:28.162]  They don't like any of them.
[01:36:28.362 --> 01:36:33.066]  So a VA nurse called your father and said don't take it?
[01:36:33.606 --> 01:36:34.447]  Yeah, my sister.
[01:36:34.787 --> 01:36:36.429]  And he wouldn't listen to his own daughter?
[01:36:37.054 --> 01:36:43.259]  No, my dad's retired military, he's hard-headed, bless his heart, he's very physically fit.
[01:36:43.999 --> 01:36:50.144]  Exactly, he sees it as, I'm a warrior, I'm gonna help other people, because he's told he better do it, so he does it.
[01:36:50.384 --> 01:36:57.450]  They're manipulative, you see how they, they had Princeton and Yale did a year of study on how to brainwash people, did you know that, on this vaccine?
[01:36:58.470 --> 01:37:00.012]  No, I did not, I did not know that.
[01:37:00.152 --> 01:37:00.652]  Sorry, go ahead.
[01:37:01.112 --> 01:37:02.734]  So tell me what happened to your dad, how is he now?
[01:37:03.393 --> 01:37:07.857]  Well, I went to the hospital, I prayed over him, and I experienced a miracle.
[01:37:07.878 --> 01:37:11.201]  I know this sounds weird, but his eyes opened, and he looked at me.
[01:37:11.661 --> 01:37:16.706]  And a few days later, he came out of it, and he's talking now, and he seems to be all there.
[01:37:16.726 --> 01:37:19.950]  Okay, but listen, if it's an MRNA, he cannot take the second shot.
[01:37:19.970 --> 01:37:20.951]  It'll kill him better than a hammer.
[01:37:21.651 --> 01:37:22.712]  Okay, I'll be sure and tell him.
[01:37:22.752 --> 01:37:23.453]  Thank you so much, Alex.
[01:37:23.473 --> 01:37:26.196]  Because listen, if the first shot hit him that hard, he's dead on the second one.
[01:37:27.199 --> 01:37:27.959]  Oh goodness, okay.
[01:37:28.020 --> 01:37:32.142]  I need to make sure that we, yeah, she was talking about, it's been so chaotic around here.
[01:37:32.162 --> 01:37:33.363]  Let me tell you what else you do.
[01:37:33.383 --> 01:37:34.504]  You go to the place they did it.
[01:37:34.544 --> 01:37:36.345]  You say, I'm going to hold you responsible legally.
[01:37:36.585 --> 01:37:38.866]  They may say they have liability protection, but this is manslaughter.
[01:37:39.667 --> 01:37:39.947]  Okay.
[01:37:40.667 --> 01:37:41.588]  God bless you, Paul.
[01:37:41.628 --> 01:37:42.529]  We appreciate your call.
[01:37:42.589 --> 01:37:42.989]  Good God.
[01:37:43.029 --> 01:37:44.250]  I could take hundreds of these calls.
[01:37:44.530 --> 01:37:45.751]  Where are all the people that love it?
[01:37:45.871 --> 01:37:47.031]  You're not hearing a one, are you?
[01:37:47.231 --> 01:37:49.953]  His sister's a VA nurse, called the dad, said, don't take it.
[01:37:49.973 --> 01:37:52.495]  He still did it because he's a man.
[01:37:54.878 --> 01:37:55.919]  God Almighty help us.
[01:37:56.199 --> 01:37:57.780]  Ah, boy, I'm getting really angry now.
[01:37:58.860 --> 01:38:00.661]  Let's go ahead and talk to Steve in South Carolina.
[01:38:00.681 --> 01:38:01.141]  Thanks for holding.
[01:38:01.161 --> 01:38:01.422]  Go ahead.
[01:38:01.442 --> 01:38:04.483]  Thanks, Alex, for taking my call.
[01:38:06.725 --> 01:38:12.308]  Thing with the vaccine here, my wife, she's taken both of the Pfizer shots.
[01:38:12.968 --> 01:38:14.969]  I refused to take any of it.
[01:38:15.890 --> 01:38:20.012]  And her daughter pushed her into doing this because she said it's the right thing to do.
[01:38:20.032 --> 01:38:22.093]  And I begged her not to take it.
[01:38:22.737 --> 01:38:25.599]  And then all the peer pressure from her friends.
[01:38:25.659 --> 01:38:27.461]  Well, we're taking it, we're taking it.
[01:38:28.241 --> 01:38:34.046]  And, you know, I can see it's affecting her already.
[01:38:35.447 --> 01:38:36.708]  What has it done to her, sir?
[01:38:37.889 --> 01:38:45.675]  Well, she kind of has had a little, I don't even want to say dementia, but she, you know, we're both getting up in the evening.
[01:38:45.755 --> 01:38:46.916]  It causes brain fog.
[01:38:46.976 --> 01:38:47.797]  It causes the beginning.
[01:38:47.817 --> 01:38:49.518]  Yeah, it causes a protein blue in the brain.
[01:38:49.798 --> 01:38:50.679]  Must have been the mRNA.
[01:38:50.699 --> 01:38:51.500]  Do you know what she took?
[01:38:52.714 --> 01:39:03.768]  Yeah, she took the Pfizer vaccine, and when I seen, when you interviewed Dr. Timpani, I said, oh my God, it's going to attack her frontal lobe!
[01:39:05.430 --> 01:39:06.492]  And it's going to destroy her!
[01:39:07.386 --> 01:39:10.907]  Well, there are, I'm not a medical doctor, but I'm going to have Tin Penny on and others to talk about.
[01:39:10.927 --> 01:39:13.468]  There are detoxes, there are anti-inflammation things.
[01:39:13.528 --> 01:39:16.408]  A lot of times simple Benadryl, but the doctors won't tell you that.
[01:39:16.588 --> 01:39:21.750]  Or, I'm not giving medical advice, but oral steroids, a steroid shot from the doctor.
[01:39:22.290 --> 01:39:24.730]  You'll have to go in and say, oh, I've got an allergy, give me a steroid shot.
[01:39:24.770 --> 01:39:25.591]  That could really help her.
[01:39:25.611 --> 01:39:27.751]  Because it's an autoimmune response a lot of times.
[01:39:27.771 --> 01:39:28.831]  Again, I'm not a doctor.
[01:39:28.851 --> 01:39:30.772]  I know what they say is going on though.
[01:39:30.992 --> 01:39:34.813]  Because the brain fog is a swelling of the brain a lot of times and a bloom of protein.
[01:39:35.673 --> 01:39:38.755]  But a lot of times if you reverse the information it can help.
[01:39:39.535 --> 01:39:40.036]  I'm out of time.
[01:39:40.076 --> 01:39:40.616]  God bless you.
[01:39:40.696 --> 01:39:41.116]  Stay with us.
[01:39:42.317 --> 01:39:55.725]  You just saw Tucker Carlson the last week embroiled with the Pentagon investigating him and speaking out against him for daring to question putting pregnant women in combat and giving them maternity suits for the fighter pilots.
[01:39:56.624 --> 01:40:05.832]  And having the military wear red high heels and to have, you know, I guess put transgender people in Delta Force or whatever's going on.
[01:40:06.513 --> 01:40:10.236]  You're not supposed to have your military investigating civilians or the media.
[01:40:10.276 --> 01:40:11.237]  That's called tyranny.
[01:40:11.617 --> 01:40:13.859]  You know, like when the CIA got caught spying on Congress.
[01:40:13.899 --> 01:40:16.522]  But what if you're Ezra Levant of Rebel Media?
[01:40:17.686 --> 01:40:21.508]  He's had a big national talk show, a big national network, very successful.
[01:40:21.769 --> 01:40:22.449]  There's a lot of great work.
[01:40:22.689 --> 01:40:35.296]  Well, he just discovered, we'll have the actual documents, we're breaking them all here today, that Justin Trudeau, the same guy that said that he basically pledged allegiances to the communist dictatorship and admires, quote, dictatorship, hired a U.S.
[01:40:35.316 --> 01:40:37.698]  defense contractor to spy on Rebel News.
[01:40:38.078 --> 01:40:40.919]  Here's Tucker Carlson talking about what happened to him, then we'll talk to Ezra Levin.
[01:40:41.960 --> 01:40:48.989]  Your politicians like Tammy Duckworth say that it's unpatriotic to question the Pentagon unless you have served in the military yourself.
[01:40:49.029 --> 01:40:50.350]  You haven't earned that right.
[01:40:51.352 --> 01:40:51.612]  Really?
[01:40:52.493 --> 01:40:54.616]  Can only cops talk about police brutality?
[01:40:55.256 --> 01:40:58.640]  If you haven't been elected to office, are you allowed to criticize Congress?
[01:41:00.094 --> 01:41:01.515]  They're not making a real argument.
[01:41:01.655 --> 01:41:03.137]  They're trying to silence dissent.
[01:41:03.817 --> 01:41:04.498]  Not playing along.
[01:41:04.778 --> 01:41:05.078]  Sorry.
[01:41:05.859 --> 01:41:12.544]  Every American citizen has a right, maybe an obligation, to know what the military they pay for is doing.
[01:41:13.045 --> 01:41:14.306]  Because our lives may depend on it.
[01:41:15.547 --> 01:41:20.731]  Today the Department of Defense launched a large and coordinated public relations offensive against this show.
[01:41:21.272 --> 01:41:23.393]  Pentagon brass issued hostile statements.
[01:41:23.814 --> 01:41:26.316]  People in uniforms sent out videos on social media.
[01:41:27.085 --> 01:41:33.769]  The DoD even issued a news release attacking us, Press Secretary Smites, Fox News host.
[01:41:34.770 --> 01:41:35.230]  Smites!
[01:41:35.970 --> 01:41:37.571]  Like we're a hostile foreign power.
[01:41:38.312 --> 01:41:40.753]  We suspect this is one war they might actually win.
[01:41:40.773 --> 01:41:42.634]  They've got a manpower advantage.
[01:41:43.415 --> 01:41:45.196]  We could play you a lot of tape from this today.
[01:41:45.216 --> 01:41:47.677]  It took up most of their day, and we could marvel over it.
[01:41:48.378 --> 01:41:52.740]  Since when does the Pentagon declare war on a domestic news operation?
[01:41:53.441 --> 01:41:54.702]  Can't remember that ever happening.
[01:41:55.563 --> 01:41:56.263]  But we're not going to do that.
[01:41:56.283 --> 01:41:56.944]  We're going to pass.
[01:41:57.524 --> 01:42:01.226]  Because this is bigger than a feud with some flack at the Pentagon.
[01:42:02.007 --> 01:42:03.628]  This is genuinely worrisome.
[01:42:04.348 --> 01:42:08.911]  The Department of Defense has never been more aggressively or openly political.
[01:42:09.887 --> 01:42:16.769]  Tonight, there are 2,500 American troops stationed in Afghanistan, and they remain there to prevent the fall of Kabul to extremists.
[01:42:17.489 --> 01:42:26.971]  At the same time, there are 5,000 troops in our own capital tonight, also as protection against extremists, meaning people who voted for the losing candidate in the last election.
[01:42:27.931 --> 01:42:35.053]  Judging by those numbers, the Pentagon is now twice as focused on controlling our own citizens as it is on controlling the Taliban.
[01:42:36.331 --> 01:42:43.815]  Meanwhile, as Lloyd Austin hyperventilates about white supremacy, there are real threats out there, and the biggest ones continue to be ignored.
[01:42:58.157 --> 01:43:02.900]  Trudeau, who says, quote, he admires the Chinese dictatorship on national TV, and people clap.
[01:43:04.520 --> 01:43:07.102]  So he's not a threat, but Ezra Levant is.
[01:43:07.882 --> 01:43:12.344]  So what we see is a coming out here of the military forces of the West against journalists.
[01:43:12.364 --> 01:43:13.585]  Same thing over in the UK.
[01:43:13.665 --> 01:43:18.488]  Ezra Levant, give us the latest on this and break down this story that I know just broke a few hours ago.
[01:43:18.828 --> 01:43:20.809]  I appreciate you giving us the quasi-exclusive.
[01:43:21.963 --> 01:43:22.183]  Sure.
[01:43:22.863 --> 01:43:27.585]  It started when Rebecca Goolsbee, who's with the U.S.
[01:43:27.865 --> 01:43:43.189]  Navy Cyber Intelligence, she contracted a unit at the University of Arkansas in Little Rock to do what they call a cyber forensic analysis of my media company, RebelNews.com.
[01:43:43.669 --> 01:43:44.509]  So the U.S.
[01:43:44.569 --> 01:43:46.830]  Navy paid money, we don't know how much,
[01:43:47.450 --> 01:43:47.710]  I think?
[01:44:04.657 --> 01:44:05.418]  It was absurd.
[01:44:05.898 --> 01:44:19.068]  They actually claimed, and you know I'm a pretty conservative guy, Alex, I mean we... Sure, let's be clear, they're not supposed to be looking at journalists, they're not supposed to be looking at Americans or even Canadians, they're not supposed to then put out false reports on us, but that's what's going on.
[01:44:19.868 --> 01:44:23.651]  Yeah, they came up with this bizarre report that claimed we were trying to get
[01:44:24.412 --> 01:44:28.155]  Justin Trudeau out to be replaced with a socialist candidate.
[01:44:28.236 --> 01:44:28.936]  It's crazy.
[01:44:29.296 --> 01:44:32.479]  We're very hostile to the socialists in Canada.
[01:44:32.499 --> 01:44:36.503]  That's, you know, so it was really, really weird.
[01:44:36.823 --> 01:44:40.627]  This junk report that they wrote just making up stuff.
[01:44:41.227 --> 01:44:41.407]  But
[01:44:42.794 --> 01:44:44.475]  The US Navy paid them for it.
[01:44:44.996 --> 01:44:55.724]  But then this defense contractor at University of Arkansas, they resold the same info to Trudeau's Canadian Armed Forces.
[01:44:55.784 --> 01:44:57.665]  So I don't know what my rights are.
[01:44:57.685 --> 01:44:58.286]  Let me just stop you.
[01:44:58.306 --> 01:44:58.926]  That's the answer.
[01:44:59.246 --> 01:45:03.830]  They want to demonize you to the Canadian Armed Forces because you exposed the Chinese troops secretly training.
[01:45:04.110 --> 01:45:04.991]  You exposed Trudeau.
[01:45:05.011 --> 01:45:06.011]  You're the main guy doing it.
[01:45:06.272 --> 01:45:08.293]  And so they know the troops are patriotic and conservative.
[01:45:08.473 --> 01:45:09.494]  So they say you're a commie.
[01:45:09.754 --> 01:45:11.075]  But that'll just backfire on them.
[01:45:11.095 --> 01:45:11.916]  The troops aren't stupid.
[01:45:13.140 --> 01:45:15.542]  Yeah, I find it very confusing.
[01:45:16.162 --> 01:45:19.705]  I don't know what my rights are in America, because I'm not an American citizen.
[01:45:20.726 --> 01:45:22.307]  Our operations are not in America.
[01:45:22.327 --> 01:45:23.348]  We have a lot of viewers in America.
[01:45:23.368 --> 01:45:24.109]  Let's just say this.
[01:45:24.269 --> 01:45:31.554]  In any administration, if liberals got spot on by the Pentagon, it would be major congressional hearings, five alarm fires, people pissing themselves.
[01:45:32.415 --> 01:45:32.815]  That's right.
[01:45:32.855 --> 01:45:43.820]  So my theory, one of my theories, is that Trudeau, because he didn't want to spy on us directly, my theory is maybe he got someone in the states to spy on us for him.
[01:45:43.901 --> 01:45:44.981]  Well that's how it's always done.
[01:45:45.061 --> 01:45:46.482]  That's how they had the British spy on Trump.
[01:45:47.418 --> 01:45:47.939]  Exactly.
[01:45:48.179 --> 01:45:55.285]  But then, bizarrely, the Canadian Armed Forces paid this Arkansas defense contractor for the same work.
[01:45:55.865 --> 01:45:57.747]  And then they published it.
[01:45:58.047 --> 01:46:01.790]  They actually published their study, and that's how I found out about it.
[01:46:02.110 --> 01:46:04.732]  So I never knew I was being spied on by the U.S.
[01:46:04.812 --> 01:46:05.173]  Navy.
[01:46:05.553 --> 01:46:10.357]  I never knew that the University of Arkansas' defense contractor, their little cell there,
[01:46:12.239 --> 01:46:16.726]  And their job was how do we hurt this great, you know, conservative Jewish man that stands up for everybody's rights?
[01:46:16.987 --> 01:46:18.349]  We'll just say he's a commie to the troops.
[01:46:18.569 --> 01:46:19.130]  They lied!
[01:46:20.307 --> 01:46:22.969]  Yeah, I mean, it was such a weird allegation.
[01:46:23.310 --> 01:46:25.311]  And you know what a deepfake is, Alex?
[01:46:25.331 --> 01:46:26.252]  That's these video forgeries.
[01:46:26.272 --> 01:46:28.234]  They accuse you of fake videos, which you've never done.
[01:46:28.254 --> 01:46:28.434]  Yeah!
[01:46:29.094 --> 01:46:29.355]  No!
[01:46:29.755 --> 01:46:38.743]  I mean, there's some deepfakes out there of Tom Cruise that are really spooky, and I agree that deepfakes pose a challenge to everyone who's trying to make sense of the world.
[01:46:39.143 --> 01:46:41.405]  I have no doubt that they'll be used nefariously.
[01:46:41.825 --> 01:46:43.667]  We've never made a deepfake in our lives.
[01:46:43.727 --> 01:46:45.128]  We don't have the technology.
[01:46:45.148 --> 01:46:47.430]  There are thousands of deepfakes of me on the internet.
[01:46:47.870 --> 01:46:48.651]  A deepfake is like
[01:46:50.069 --> 01:46:52.613]  I mean, I guess it goes back to Forrest Gump, that's what you're talking about.
[01:47:05.973 --> 01:47:07.514]  We've never done that in our lives.
[01:47:07.574 --> 01:47:10.375]  So this defense contractor, here's my theory.
[01:47:10.415 --> 01:47:12.236]  I mean, and I'm open to new information.
[01:47:12.536 --> 01:47:13.656]  I'm being stonewalled.
[01:47:13.676 --> 01:47:17.718]  By the way, I phoned the spy master at the U.S.
[01:47:17.758 --> 01:47:17.998]  Navy.
[01:47:18.038 --> 01:47:18.979]  I left her a message.
[01:47:19.279 --> 01:47:20.239]  I sent her an email.
[01:47:20.520 --> 01:47:22.180]  I phoned the defense contractor.
[01:47:22.520 --> 01:47:23.481]  I sent them an email.
[01:47:23.901 --> 01:47:24.861]  They haven't got back to me.
[01:47:24.901 --> 01:47:25.742]  I'm not surprised.
[01:47:25.782 --> 01:47:28.083]  But I want to ask them, why did you choose me?
[01:47:28.583 --> 01:47:30.464]  Why didn't you check your basic facts?
[01:47:30.824 --> 01:47:32.365]  And what's the whole game here?
[01:47:32.405 --> 01:47:34.706]  Like, we're, you know, we're a fairly small
[01:47:35.426 --> 01:47:38.368]  Fish in the sea, so to speak, and it's the U.S.
[01:47:38.408 --> 01:47:38.688]  Navy.
[01:47:38.748 --> 01:47:41.110]  I'm from a landlocked province called Alberta.
[01:47:41.370 --> 01:47:42.471]  I don't even have a canoe.
[01:47:42.831 --> 01:47:45.013]  Why is the Navy so interested in me?
[01:47:45.413 --> 01:47:46.574]  I'm a civilian journalist.
[01:47:46.894 --> 01:47:48.335]  Imagine if you learned.
[01:47:48.375 --> 01:47:54.399]  Imagine if it became known that the Canadian Armed Forces was snooping around, let's say, Jim Acosta.
[01:47:54.939 --> 01:47:57.340]  Or Anderson Cooper, or whatever.
[01:47:57.360 --> 01:47:58.520]  That would be a huge deal, so stay there.
[01:47:58.540 --> 01:48:00.040]  I interrupted a lot, but I brought in key points.
[01:48:00.360 --> 01:48:12.563]  When we come back, how you discovered this, I can tell you why they're doing it to you, and where all this is going, in par with the course with Justin Trudeau, who will play the clip, not a deep fake, praising Xi Jinping and the most brutal dictatorship in world history.
[01:48:12.643 --> 01:48:15.343]  Ezra Levant of RebelNews.com is our guest.
[01:48:16.744 --> 01:48:18.184]  So, Ezra Levant.
[01:48:20.936 --> 01:48:33.247]  An established, long-term journalist, runs a national network in Canada, runs an international network, does a lot of great legal work for free speech, a very conservative, respected guy.
[01:48:33.267 --> 01:48:36.650]  They know who he is, he's not somebody that just popped up here.
[01:48:37.833 --> 01:48:46.502]  Has a Pentagon-connected Navy group, then tied into the Army and the rest of it, spying on him and creating fake reports on him.
[01:48:46.522 --> 01:48:48.263]  And then he asks, what is this?
[01:48:48.324 --> 01:48:49.385]  Well, this is propaganda.
[01:48:49.425 --> 01:48:50.426]  This is you being set up.
[01:48:51.086 --> 01:48:56.251]  And this shows how at the top we have the Confucius Institutes, the Chai Kams, the globalists in control.
[01:48:57.810 --> 01:49:07.366]  And they are now converting the main military, once Biden got in, it's accelerated, against people that are resisting the takeovers of Canada, the takeovers of the US, Australia, you name it!
[01:49:08.416 --> 01:49:12.317]  And so the average person in the military is just following orders.
[01:49:12.337 --> 01:49:17.239]  They just conduit the money through into the groups who then put out the disinfo.
[01:49:17.619 --> 01:49:19.060]  Obviously the group that funded the U.S.
[01:49:19.080 --> 01:49:21.721]  military to do this directed them of where to send the money.
[01:49:22.221 --> 01:49:26.623]  So it's also a major money laundering operation and that's why we're in so much trouble.
[01:49:26.643 --> 01:49:29.844]  I remember hearings the last three years in the House Armed Services Committee.
[01:49:29.864 --> 01:49:32.345]  They would go, well an example of a Russian agent is Alex Jones.
[01:49:33.260 --> 01:49:34.681]  I have no Russian connections.
[01:49:34.741 --> 01:49:35.662]  I'm totally patriotic.
[01:49:36.002 --> 01:49:40.626]  Not many people probably have family members that actually were involved in Iran-Contra and also things in Europe.
[01:49:40.706 --> 01:49:41.326]  Mine was.
[01:49:41.646 --> 01:49:43.468]  I mean, actually killing Russians in the 80s.
[01:49:43.928 --> 01:49:45.910]  And so it's very insulting.
[01:49:45.970 --> 01:49:49.472]  It's like saying, you know, that Superman's with Lex Luthor or something.
[01:49:49.793 --> 01:49:52.515]  But that's what they do because it's a foreign takeover.
[01:49:52.875 --> 01:49:56.778]  And now the new Secretary of Defense is working with Honore saying, we're going to get the guns.
[01:49:57.058 --> 01:49:58.519]  We're going to have war with the gun owners.
[01:49:58.559 --> 01:50:00.281]  Just having guns is white supremism.
[01:50:00.601 --> 01:50:01.562]  They're trading the military.
[01:50:02.102 --> 01:50:03.583]  They're preparing for a purge.
[01:50:03.603 --> 01:50:04.624]  They're preparing for war.
[01:50:05.164 --> 01:50:06.926]  And you're one of the main... You say you're small.
[01:50:06.966 --> 01:50:07.426]  You're not small.
[01:50:07.446 --> 01:50:07.826]  You're huge.
[01:50:08.186 --> 01:50:09.287]  You reach tens of millions a week.
[01:50:09.788 --> 01:50:13.951]  They know you're exposing Trudeau up there in that desert of information.
[01:50:13.991 --> 01:50:15.652]  You're a big oasis, so they're coming after you.
[01:50:15.672 --> 01:50:21.136]  So I'm going to shut up now, but just get into how big this is, because this is absolutely huge.
[01:50:22.338 --> 01:50:33.500]  Well, and we wouldn't have found out about it had the same defense contractor not resold the same info to the Canadian Armed Forces, which for some reason published it as a part of a study.
