[00:00:09.943 --> 00:00:10.364]  We're here!
[02:48:49.299 --> 02:48:50.739]  Don't worry, just let me get in.
[02:48:51.720 --> 02:48:56.321]  That was obviously just them trying to assuage everybody's fears so they would let him get in, right?
[02:48:57.352 --> 02:48:58.073]  That's exactly right.
[02:48:58.193 --> 02:49:00.695]  I mean, they were always going to pursue this path.
[02:49:00.995 --> 02:49:09.282]  They knew that they would not get there with Trump, that whatever Trump's mistakes, he had agreed not to mandate it on anybody, that he was instinctively opposed to that.
[02:49:09.342 --> 02:49:19.171]  So that's why it was critical they get Trump removed so that they could do this mandate because they want to get people conditioned to the idea that the government and private corporations own your body.
[02:49:19.852 --> 02:49:20.974]  Well, that's another thing.
[02:49:21.054 --> 02:49:24.882]  You know, they say, oh, women, you know, people who have abortions, it's my body, my choice.
[02:49:24.942 --> 02:49:27.367]  Now, though, we're going to put this experimental thing in you.
[02:49:27.387 --> 02:49:30.013]  And then in California has introduced a bill that Newsom supports.
[02:49:31.038 --> 02:49:32.618]  I think he's going to steal the recall, folks.
[02:49:32.638 --> 02:49:34.179]  That's the fix he's in, in my view.
[02:49:34.719 --> 02:49:36.660]  You see all the media preparing everybody for this fraud.
[02:49:36.680 --> 02:49:38.600]  They'll probably lose by 70%, but they don't care.
[02:49:39.360 --> 02:49:45.302]  They're introduced a bill where if a condom breaks, you go to jail for five years.
[02:49:45.942 --> 02:49:48.383]  Or a woman can say a condom broke, you go to jail for five years.
[02:49:48.783 --> 02:49:51.784]  Or a woman says, I said, wear a condom, even though she didn't, you go to jail for five years.
[02:49:52.344 --> 02:49:56.325]  But they passed laws that you can give somebody HIV or hepatitis on purpose if you're gay
[02:49:57.145 --> 02:49:57.806]  And it's okay.
[02:49:58.366 --> 02:50:01.510]  Okay, so they've introduced a bill that if you're gay, you can have sex with 13-year-olds.
[02:50:01.790 --> 02:50:02.471]  The same guy did.
[02:50:02.591 --> 02:50:09.519]  So you can give people diseases on purpose, that's okay, but if a condom bursts because you're heterosexual, five years in prison.
[02:50:09.559 --> 02:50:12.302]  I mean, these people are psychotic lunatics!
[02:50:13.715 --> 02:50:23.000]  Well, it's the ultimate control agenda, and there's no bigger, broader form of control, more invasive method of control than doing the forced vaccine with gene therapy.
[02:50:23.320 --> 02:50:41.569]  I mean, it's Bill Gates' dream of what he has wanted now and what his grandparents, frankly, wanted a century ago, which is to have a eugenics agenda where they get to rank who gets to live and who gets to die, who gets health services and who doesn't, who can have a job and who can't, who has the papers, please, to get on a plane or train or a bus.
[02:50:41.889 --> 02:50:42.449]  And who can't?
[02:50:42.709 --> 02:50:44.250]  Who can leave their home and who can't?
[02:50:44.590 --> 02:50:52.474]  This has been their objective for a long time, that you've been talking about for a long time, but this is the closest they've ever got to being able to implement a critical aspect of it.
[02:50:52.794 --> 02:50:59.077]  And that's why mass resistance, in the court of public opinion, is the first and foremost method of resistance against this.
[02:51:00.918 --> 02:51:02.599]  All right, Robert Barnes, one more time.
[02:51:02.639 --> 02:51:04.960]  How do people find the main show you do?
[02:51:05.540 --> 02:51:07.061]  And how do they find everything else, Robert Barnes?
[02:51:08.180 --> 02:51:08.540]  Absolutely.
[02:51:08.580 --> 02:51:22.529]  If anybody wants to see some exemplars of letters, some examples of arguments to use with their boss or with anybody else concerning this, you can get that information for free at VivaBarnesLaw.Locals.com.
[02:51:22.569 --> 02:51:26.171]  So that's VivaBarnesLaw.Locals.com.
[02:51:26.550 --> 02:51:31.254]  And you've also filed a bunch of lawsuits on Robert Kennedy Jr.
[02:51:31.274 --> 02:51:32.095]  and others' fightings.
[02:51:32.115 --> 02:51:37.099]  We appreciate you fighting for us and we appreciate you coming on air with us on Saturday.
[02:51:37.119 --> 02:51:37.680]  I know you're busy.
[02:51:37.940 --> 02:51:38.681]  Thank you, Robert Barnes.
[02:51:39.621 --> 02:51:40.082]  Happy to be here.
[02:51:40.731 --> 02:51:42.492]  All right, there goes Robert Barnes.
[02:51:42.512 --> 02:51:46.073]  So let me tell you who we've already interviewed here on this Saturday transmission.
[02:51:46.253 --> 02:51:46.994]  Ernest Ramirez.
[02:51:47.114 --> 02:51:48.294]  So sad, so incredible.
[02:51:48.614 --> 02:51:49.495]  You gotta share that.
[02:51:49.895 --> 02:51:52.536]  By the way, this is all copyright free, called free to air.
[02:51:53.236 --> 02:51:57.678]  If you wanna take this and pay to put it on local radio or TV, we get calls and emails all the time.
[02:51:57.718 --> 02:51:59.059]  This person wants to air your film.
[02:51:59.179 --> 02:52:00.199]  Are they authorized?
[02:52:00.659 --> 02:52:05.541]  On, you know, KTLA, they're gonna pay $10,000 on the biggest station in LA to air Endgame.
[02:52:06.001 --> 02:52:07.142]  And I'm like, absolutely!
[02:52:07.702 --> 02:52:10.064]  They'll send us a letter or they say, say it on air.
[02:52:10.104 --> 02:52:10.984]  So let me just say this on air.
[02:52:11.004 --> 02:52:12.905]  We should probably have this on the contact page.
[02:52:14.306 --> 02:52:19.590]  Everything we put out, everything we do that is my show, that is me talking, that is us on air, the host.
[02:52:20.530 --> 02:52:21.611]  We play a news clip or something.
[02:52:21.671 --> 02:52:24.953]  I'm not saying you can own that or whatever, you know, we're playing it for fair use ourselves.
[02:52:25.313 --> 02:52:26.294]  We're giving commentary to it.
[02:52:26.674 --> 02:52:33.659]  But everything I say on air, everything I do, my films, clips of Alex Jones, everything I do is these shows is taped to air.
[02:52:35.353 --> 02:52:38.216]  You can burn copies of it all day and give it to people.
[02:52:55.031 --> 02:52:55.692]  I want you to.
[02:52:56.352 --> 02:52:58.494]  I mean, our listeners are such good people.
[02:52:59.215 --> 02:53:00.536]  They wouldn't, you know, steal bread.
[02:53:00.576 --> 02:53:01.157]  They were starving.
[02:53:01.597 --> 02:53:02.698]  I get all these emails and calls.
[02:53:02.718 --> 02:53:05.220]  Can I put InfoWars on my barn or on my business?
[02:53:06.081 --> 02:53:07.462]  You don't have to ask my permission.
[02:53:07.562 --> 02:53:08.623]  It's all free to air.
[02:53:08.643 --> 02:53:11.085]  We're in a war against the globalists.
[02:53:11.566 --> 02:53:15.069]  It's time for civil disobedience, not just asking me permission to do stuff.
[02:53:16.530 --> 02:53:19.073]  I mean, I'll tell you, see a big billboard, don't climb up there and break your neck.
[02:53:19.093 --> 02:53:20.394]  I'm not telling you to do this, but I mean,
[02:53:21.786 --> 02:53:24.508]  Billboards around here saying, take your shot, it's safe and effective.
[02:53:24.548 --> 02:53:25.449]  That's a damn lie.
[02:53:26.870 --> 02:53:27.591]  People are dying.
[02:53:28.111 --> 02:53:29.652]  I'm going to climb up there and I'm going to spray paint on it.
[02:53:30.093 --> 02:53:30.453]  I don't care.
[02:53:30.473 --> 02:53:31.414]  If they catch me, I'll go to jail.
[02:53:31.434 --> 02:53:32.535]  I've already done it.
[02:53:32.555 --> 02:53:34.997]  I mean, we're in a war.
[02:53:35.037 --> 02:53:37.499]  I'm going to say, vaccines kill.
[02:53:38.279 --> 02:53:39.380]  Tuskegee experiment.
[02:53:40.121 --> 02:53:41.122]  We're in a war.
[02:53:42.042 --> 02:53:43.043]  We're in a war here.
[02:53:43.083 --> 02:53:43.644]  And I'll tell you,
[02:53:44.548 --> 02:53:46.871]  This is going to sell out by Monday, but I've still got it 33% off.
[02:53:47.031 --> 02:53:48.612]  It takes a lot of money to run this operation.
[02:53:48.773 --> 02:53:49.954]  We had to build our own infrastructure.
[02:53:50.755 --> 02:53:52.717]  People say, why don't you just go on your phone and stream it to us?
[02:53:53.077 --> 02:53:54.379]  I'm not allowing any of those platforms.
[02:53:54.819 --> 02:53:56.181]  We had to build all that ourselves.
[02:53:56.201 --> 02:54:04.229]  We're building a system where I can click on my phone and just stream live through BandOn Video so that all our people that are members or posters can also do that.
[02:54:04.926 --> 02:54:08.089]  But it takes a lot of money and a lot of legal and a lot of infrastructure.
[02:54:08.129 --> 02:54:13.173]  And, you know, we're spending millions of dollars, millions and millions, just on bandwidth now every quarter.
[02:54:13.914 --> 02:54:15.075]  So, the meter's running, folks.
[02:54:15.095 --> 02:54:15.695]  We need your support.
[02:54:15.735 --> 02:54:19.058]  Buy a t-shirt, buy a book, buy a film, buy a water filter, buy storable food from us.
[02:54:19.278 --> 02:54:19.699]  Ready to ship.
[02:54:19.719 --> 02:54:21.961]  It's high quality, lowest price you're going to find on quality food.
[02:54:22.341 --> 02:54:25.424]  Vitamin Mineral Fusion, Advanced Multivitamin Formulation.
[02:54:26.044 --> 02:54:28.686]  33% off all the vitamins, all the minerals, all of it right there.
[02:54:29.047 --> 02:54:31.149]  That sale's going to end on Monday because it's selling out.
[02:54:31.509 --> 02:54:32.189]  The new sale,
[02:54:33.402 --> 02:54:37.406]  It's knockout sleep aid, eight organic compounds give you good restful sleep.
[02:54:38.607 --> 02:54:42.471]  50% off, 50% off Ultra 12, the highest quality vitamin B12 taken out of the tongue.
[02:54:42.491 --> 02:54:43.893]  Good for your body, your immune system.
[02:54:44.233 --> 02:54:44.754]  It's essential.
[02:54:46.758 --> 02:54:49.239]  A lot of people don't absorb vitamin B12 well in their stomach.
[02:54:49.479 --> 02:54:50.420]  Some people genetically can't.
[02:54:50.480 --> 02:54:52.241]  But under the tongue, it's all those blood vessels.
[02:54:52.501 --> 02:54:56.803]  It's the next best thing to injecting B12 into your fat that you get from a doctor.
[02:54:57.063 --> 02:54:59.264]  It's the same high end that they do that.
[02:54:59.304 --> 02:55:00.284]  I'm not saying inject ours.
[02:55:00.585 --> 02:55:01.065]  Don't do that.
[02:55:01.605 --> 02:55:02.586]  It's not designed for that, though.
[02:55:02.606 --> 02:55:07.288]  It is the same damn thing that I personally get from my doctor and I inject in my fat because it's even better than Ultra 12.
[02:55:07.888 --> 02:55:09.989]  But compared to the stomach, it's like five times better.
[02:55:10.469 --> 02:55:12.830]  And then injections, they say, are like double better than under the tongue.
[02:55:15.285 --> 02:55:16.526]  You can go to a doctor too, by the way.
[02:55:16.666 --> 02:55:18.587]  Get a prescription to vitamin B12.
[02:55:18.627 --> 02:55:19.407]  I suggest you do it.
[02:55:20.207 --> 02:55:26.491]  I mean, I can work 15, 16 hours a day if I take a little injection twice a week in my fat.
[02:55:26.551 --> 02:55:27.671]  I hate needles, but I still do it.
[02:55:28.091 --> 02:55:32.594]  Tiny little insulin needle, right in the fat on my stomach, and boom, hour later, amazing energy.
[02:55:33.354 --> 02:55:35.235]  So, this I take under the tongue.
[02:55:35.895 --> 02:55:37.876]  Infowarstore.com.
[02:55:38.256 --> 02:55:41.158]  You don't usually see salesmen talk about their own product and say something's better.
[02:55:42.372 --> 02:55:45.193]  If you can't get X2, that is the best deep-earth crystal iodine you're going to find.
[02:55:45.213 --> 02:55:46.134]  Most people have deficiencies.
[02:55:47.054 --> 02:55:48.235]  Get Himalayan salt.
[02:55:48.275 --> 02:55:51.616]  That's a company certified to have iodine.
[02:55:51.676 --> 02:55:53.037]  A third is good.
[02:55:53.097 --> 02:55:54.537]  I mean, it's good.
[02:55:54.578 --> 02:55:54.918]  You need it.
[02:55:55.798 --> 02:55:56.899]  So that's what it's all about.
[02:55:57.039 --> 02:56:00.580]  Infowarsstore.com or 888-253-3139.
[02:56:00.840 --> 02:56:04.262]  And if you don't get vitamin D3 with our gummies, by the way, they're sold out.
[02:56:05.506 --> 02:56:07.248]  Winter Sun is now back in stock.
[02:56:07.349 --> 02:56:08.750]  It's 50% off.
[02:56:08.790 --> 02:56:11.033]  That'll be also part of next week's sale that just started.
[02:56:11.654 --> 02:56:12.355]  So that's essential.
[02:56:12.395 --> 02:56:13.337]  Our gummies are sold out.
[02:56:13.957 --> 02:56:14.919]  They're excellent source.
[02:56:14.999 --> 02:56:17.082]  This is super high-grade, taken out of the tongue.
[02:56:17.102 --> 02:56:17.582]  Winter Sun.
[02:56:18.063 --> 02:56:19.265]  Back in stock at InfoWarsaw.com.
[02:56:20.367 --> 02:56:26.411]  But if you don't get vitamin D3 from us, get it from somebody else, especially if you got brown or black skin.
[02:56:26.511 --> 02:56:39.098]  I mean, if you are a Equatorial African, means your ancestors came, or you immigrated here from Central Africa, and you got ebony skin, you better be taking D3.
[02:56:39.519 --> 02:56:42.961]  Because up at this cline, you can lay in the sun an hour a day, you're not gonna get what you need.
[02:56:42.981 --> 02:56:43.901]  I've had medical doctors on.
[02:56:44.482 --> 02:56:47.904]  I mean, your ancestors grew up in the sun, that's like roasting people.
[02:56:48.724 --> 02:56:53.105]  Uh, and you cannot get enough sun at this area unless you're like out for two hours in August.
[02:56:53.145 --> 02:56:54.465]  Yeah, you got, you're good enough then.
[02:56:54.485 --> 02:57:01.067]  Uh, but again, you go to the beach, you see the black folks under the umbrellas, like, what is it like?
[02:57:01.087 --> 02:57:04.227]  Maybe, you know, hardly all that sunscreen, the white people too.
[02:57:04.588 --> 02:57:10.829]  The sun is good for you, but if you're not going to get the sun you need, ladies and gentlemen, right there, it's in a bottle.
[02:57:12.239 --> 02:57:15.122]  So, I mean, I took mine today because this isn't a game.
[02:57:15.142 --> 02:57:17.104]  This isn't a joke with what these globals are up to.
[02:57:17.224 --> 02:57:18.486]  Infowarstore.com.
[02:57:18.506 --> 02:57:24.632]  There's also a deal of Vitamin Minerals Fusion with Winter Sun Combo Pack.
[02:57:25.132 --> 02:57:27.235]  Also discounted at Infowarstore.com.
[02:57:27.715 --> 02:57:30.999]  All right, we're going to go to break and we're going to have
[02:57:33.473 --> 02:57:34.254]  Who's up next here?
[02:57:34.394 --> 02:57:35.895]  Joel Scouser when we come back.
[02:57:35.915 --> 02:57:40.218]  It's going to be extremely informative, geopolitical, 9-11, Afghanistan and more.
[02:57:40.278 --> 02:57:41.339]  And then Steve Quayle.
[02:57:41.760 --> 02:57:46.343]  And then I'm going to do a news breakdown and 9-11 20 years later.
[02:57:46.744 --> 02:57:51.447]  And we're going to air part of a two and a half hour broadcast I did on September 12th, 2001.
[02:57:53.669 --> 02:57:54.189]  We're good to go.
[02:58:16.102 --> 02:58:16.803]  We'll be right back.
[02:58:16.843 --> 02:58:17.383]  Thanks for your support.
[02:58:17.403 --> 02:58:17.683]  Stay with us.
[02:58:45.743 --> 02:58:49.165]  And we are back on this emergency Saturday transmission.
[02:58:49.265 --> 02:59:00.771]  I normally just do broadcast six days a week, but I've been working no exaggeration 17 hours a day on average for the last few months because I know every day we're on air could be our last.
[02:59:00.851 --> 02:59:01.672]  I know the world is being
[02:59:02.132 --> 02:59:17.310]  Artificially put into a global collapse so they can dictate the terms of our surrender clause swab and all of them admit they're quote capturing the government's that's on Wikipedia Capturing countries for the UN and the New World Order the new world order is being announced It's all happening.
[02:59:17.330 --> 02:59:19.072]  And so I've really wanted to get him on the last few weeks
[02:59:19.412 --> 02:59:21.354]  He's been very busy and couldn't come on, but we've got him.
[02:59:21.954 --> 02:59:24.776]  We have Joel Skousen, the Editor-in-Chief of World Affairs Brief.
[02:59:25.296 --> 02:59:32.041]  He and his family have been the trailblazers, going back to Cleon Skousen, that first warned in the late 1950s of the takeover.
[02:59:32.481 --> 02:59:37.065]  Well, now here we are, 60, 70 years later, and it's not coming.
[02:59:37.605 --> 02:59:38.025]  It's here.
[02:59:38.166 --> 02:59:42.469]  So he wants to get into how Afghanistan fits into all this and why it's really being done.
[02:59:43.340 --> 02:59:43.520]  It's
[03:00:01.221 --> 03:00:02.102]  Well, thank you, Alex.
[03:00:02.202 --> 03:00:06.005]  It was really a sea change in Afghanistan this time, because this, I believe, marks the end
[03:00:31.628 --> 03:00:32.528]  Of U.S.
[03:00:32.668 --> 03:00:34.729]  intervention in other countries.
[03:00:34.949 --> 03:00:39.411]  They did this, you know, Afghanistan began and ended with a lie.
[03:00:39.431 --> 03:00:44.453]  It began with a lie that Osama bin Laden was hiding out in Afghanistan and we had to attack it.
[03:00:45.974 --> 03:00:54.337]  But, you know, they had planned to invade Afghanistan and Iraq before 9-11 and were waiting for this new Pearl Harbor event in order to justify it.
[03:00:55.457 --> 03:01:00.079]  So we know it had nothing to do with 9-11, but it was used to get us in there.
[03:01:01.442 --> 03:01:04.104]  There were several primary reasons for getting into Afghanistan.
[03:01:04.244 --> 03:01:10.948]  One was to take away the drug trade from the Russians and turn it over to the CIA drug trade.
[03:01:11.028 --> 03:01:15.712]  It's been going on since the Vietnam War and Iran-Contra in particular.
[03:01:18.453 --> 03:01:22.456]  In addition, there were a lot of subplots working in Afghanistan too.
[03:01:23.016 --> 03:01:29.081]  Let me just go, there is a major globalist agenda in intervening in Syria.
[03:01:30.879 --> 03:01:39.703]  Iraq and in Afghanistan and then to come in Iran, which will be coming probably this year, is that they wanted to paint the U.S.
[03:01:39.823 --> 03:01:41.044]  as the bully of the world.
[03:01:41.604 --> 03:01:46.207]  This is essential in order to give Russian China the excuse to attack the West someday.
[03:01:47.287 --> 03:01:47.727]  The U.S.
[03:01:47.767 --> 03:01:53.290]  desperately needs this World War III in order to goad Americans into joining a militarized global government.
[03:01:54.005 --> 03:02:03.752]  So despite all the tyranny that we're receiving in medical tyranny relative to this vaccine mandate and this phony pandemic, keep in mind that the big war is still coming.
[03:02:03.792 --> 03:02:06.814]  And I'll get back to that as we talk about the big picture.
[03:02:07.734 --> 03:02:17.081]  But I think there were two major problems with Afghanistan that indicated that this was done on purpose, that it was sabotaged to pull out on purpose.
[03:02:17.788 --> 03:02:31.875]  Number one, of course, Donald Trump had prepared an evacuation plan whereby all the military would stay, especially in Bagram Air Force Base or Air Base or Military Base as the basis to support that evacuation.
[03:02:31.995 --> 03:02:36.377]  All the evacuation would be done before the military pulled out and they would be the last ones going.
[03:02:37.297 --> 03:02:39.458]  The military forces under woke
[03:02:41.713 --> 03:02:45.455]  Joint Chiefs Chief General Milley, who is a disgrace to the military.
[03:02:45.796 --> 03:02:50.819]  Over 200 retired military general officers have called for his resignation and for good reason.
[03:02:52.500 --> 03:02:58.604]  But he reversed that and decided to pull out everyone from Bagram first and all the military.
[03:02:59.284 --> 03:03:10.412]  And in doing so in such a rush manner, which was just inexcusable, they had no reason to leave all the helicopters or many of the helicopters there to leave, you know, the biometric
[03:03:11.793 --> 03:03:19.014]  Cameras and computer things to turn over to the Taliban so that they can now track biometrically their opposition.
[03:03:19.854 --> 03:03:23.495]  All the small arms, the weapons, the ammunition, the explosives and things.
[03:03:25.235 --> 03:03:28.616]  You know, they really sabotage this by leaving those things behind.
[03:03:31.496 --> 03:03:36.437]  And I think the two purposes were one is to create, first of all, another massive refugee flow.
[03:03:37.037 --> 03:03:39.518]  It was already waning from the Syrian conflict.
[03:03:39.678 --> 03:03:41.398]  They wanted to beat that up again.
[03:03:42.051 --> 03:03:51.293]  So the United States and Europe can once again be flooded with refugees, which will eventually vote Democratic and get special privileges in the United States.
[03:03:52.053 --> 03:03:53.793]  The second thing is even more important.
[03:03:53.813 --> 03:04:04.535]  And that is, I think they wanted to finally, you know, after so many years, Alex, of convincing Americans that they were going to have to intervene in these countries to do nation building, which was bogus.
[03:04:04.575 --> 03:04:07.296]  You can't build nations among a tribalistic society.
[03:04:07.316 --> 03:04:08.676]  You can't build a rule of law.
[03:04:10.376 --> 03:04:17.120]  But they continue to propagandize America's about the war on terror that we have to invade these nations because of this terrorist threat.
[03:04:17.980 --> 03:04:30.027]  And of course, the terrorist threat, you know, supposedly is still there, though I will be very clear as I have been in the world affairs brief for many, many years, is that the United States deep state is the one that created all these terrorist threats.
[03:04:30.067 --> 03:04:32.168]  They created Al Qaeda, they created ISIS.
[03:04:33.008 --> 03:04:37.991]  They invaded Egypt and Libya and Tunisia in order to create
[03:04:38.453 --> 03:04:47.180]  Muslim unrest so that they could bring in thousands and hundreds of thousands of disgruntled young military Muslims into Syria to overthrow Syria.
[03:04:47.200 --> 03:04:57.928]  And that didn't work, as I've discussed before, because of the bogus claim of, well, Syria actually had chemical weapons that they got from Iraq prior to the invasion.
[03:04:58.188 --> 03:05:03.792]  Russia shipped those chemical weapons to Syria and Syria gave them up and that removed the U.S.
[03:05:03.852 --> 03:05:05.133]  excuse to invade Syria.
[03:05:06.094 --> 03:05:15.402]  But they still wanted to overtake it, so they brought in all these hundreds of thousands of young Muslims to provide a terrorist base, and then they divided about half of them and turned them into ISIS.
[03:05:15.442 --> 03:05:25.950]  So the US created ISIS and set them off on the world to continue to build up this excuse that the world was still under threat from terrorism.
[03:05:26.090 --> 03:05:31.154]  Now that ISIS has been defeated, and by the way, it was defeated by General Soleimani,
[03:05:32.166 --> 03:05:37.911]  And Iran, who gave most of the arms and ammunition to the Iraqi militias, which destroyed ISIS.
[03:05:38.171 --> 03:05:43.196]  ISIS was protected by the United States, even though they pretended to fight against ISIS.
[03:05:43.256 --> 03:05:44.677]  They always rescued ISIS.
[03:05:45.117 --> 03:05:48.880]  They resupplied them with helicopters during battles, rescued their leaders after that.
[03:05:49.221 --> 03:05:51.863]  And Joe, if I could just briefly interject, because you're totally on target.
[03:05:51.883 --> 03:05:53.084]  Everything you're saying is historical.
[03:05:53.805 --> 03:05:57.588]  We forget that Victor Brzezinski and Carter helped set them up in Saudi Arabia.
[03:05:58.128 --> 03:05:59.369]  Then Reagan continued.
[03:06:00.350 --> 03:06:04.832]  Then we see ongoing Clintons saying, don't kill Bin Laden in 99.
[03:06:05.352 --> 03:06:13.175]  Then we see the Kunduz airlift of evil flying 30,000 of them out to safety in the weeks after 9-11 and just basically staging a fight for the Taliban.
[03:06:13.195 --> 03:06:20.358]  So the CIA, as you said, is just bringing in their client again to manage the opium and the Chinese get their rare earth minerals.
[03:06:20.398 --> 03:06:22.419]  So it's just more globalist deals.
[03:06:22.459 --> 03:06:25.320]  But I have this on my list to ask you at the end, but you brought it up.
[03:06:25.340 --> 03:06:27.701]  So let's go there because this kind of cuts into it all.
[03:06:27.721 --> 03:06:28.722]  Then I'll give you the floor again.
[03:06:30.417 --> 03:06:39.460]  George W. Bush, who we know is a globalist puppet, and the people behind him are the masterminds of 9-11, working with Saudi Arabia and again the funders of Al Qaeda and ISIS and all of this.
[03:06:40.020 --> 03:06:43.681]  He came out today, I'll play the clip, only part of it, but it was a large part of the speech.
[03:06:45.041 --> 03:06:50.383]  It's hard to listen to, but he's following the FBI-CIA line that we've seen him put reports out with no evidence.
[03:06:50.703 --> 03:06:57.046]  That American right-wingers like the Taliban, and we saw them take over, and we might work with them and blow stuff up, maybe on 9-11.
[03:06:57.447 --> 03:07:08.432]  And the January 6th people are just like the Taliban and hate our plural society when it's the Bushes that are the sponsors of the Karloff Group, and we're meeting with the Karloff Group and the Bin Laden family in the morning of 9-11.
[03:07:08.452 --> 03:07:12.134]  I mean, it's just incredibly rich to see this.
[03:07:12.194 --> 03:07:17.357]  But this is the new talking point, so I wanted to ask your question about this preposterous talking point.
[03:07:17.717 --> 03:07:18.658]  And we have seen growing evidence
[03:07:47.930 --> 03:07:54.633]  That the dangers to our country can come not only across borders, but from violence that gathers within.
[03:07:54.653 --> 03:08:01.477]  There is little cultural overlap between violent extremists abroad and violent extremists at home.
[03:08:03.258 --> 03:08:15.764]  But in their disdain for pluralism, in their disregard for human life, in their determination to defile national symbols, they are children of the same foul spirit
[03:08:17.034 --> 03:08:19.496]  And it is our continuing duty to confront them.
[03:08:21.417 --> 03:08:31.285]  Well, you talk about projection or inversion, the same foul spirit, the son of Mr. New World Order, the son of Mr. Rockefeller's minion, Joel Skousen.
[03:08:31.585 --> 03:08:33.327]  So that's a long question, but there you go.
[03:08:34.808 --> 03:08:41.413]  I'm just shaking my head, Alex, that total inverted view of reality to say that they had disregard for human life.
[03:08:41.853 --> 03:08:44.595]  What about the globalists in the deep state who did 9-11?
[03:08:44.655 --> 03:08:45.656]  It was not terrorists.
[03:08:45.716 --> 03:08:46.937]  They hired the terrorists.
[03:08:47.202 --> 03:08:48.924]  They loaded the buildings with explosives.
[03:08:49.664 --> 03:08:58.132]  They developed the remote controlled airliners that switch places over the Midwest with the hijacked airliners and flew into the World Trade Center and the Pentagon.
[03:08:58.693 --> 03:09:04.699]  I mean, this is just an incredible evil thing to call white, black and white, black, but that's been prophesied in scripture.
[03:09:05.059 --> 03:09:06.400]  That's what we're dealing with today.
[03:09:07.301 --> 03:09:11.185]  And, you know, as I was talking about in Afghanistan, there's a sea change going on.
[03:09:11.738 --> 03:09:18.680]  This is the end of the intervention and occupation and they wanted to poison American minds about further intervention.
[03:09:19.178 --> 03:09:20.738]  Because Taiwan is coming up.
[03:09:20.818 --> 03:09:23.819]  Taiwan's going to be invaded probably this year by China.
[03:09:24.339 --> 03:09:28.201]  And they want to make sure, and China's even predicting this, Afghanistan shows that the U.S.
[03:09:28.221 --> 03:09:29.661]  will not support Taiwan.
[03:09:29.721 --> 03:09:30.641]  China even said that.
[03:09:30.961 --> 03:09:31.882]  And I believe it's true.
[03:09:32.062 --> 03:09:32.362]  That's right.
[03:09:32.382 --> 03:09:39.004]  So it's a real green light from Biden that not only is he a quasi-Chinese agent, because the globalists authorize that, but he's green lighting.
[03:09:39.064 --> 03:09:41.024]  Hey, see, I'll throw myself in the mud.
[03:09:41.064 --> 03:09:42.125]  I'll make America look bad.
[03:09:42.365 --> 03:09:43.605]  You know, you've got the green light.
[03:09:45.410 --> 03:09:50.073]  Well, you know, there is a lot of thought about, you know, his relationship with China.
[03:09:50.754 --> 03:09:53.355]  And my position in the World Affairs Brief has been very, very clear.
[03:09:54.196 --> 03:10:01.761]  The globalists don't, they don't mind if a politician takes money from China.
[03:10:01.781 --> 03:10:05.824]  They don't even mind if China thinks they control a politician, but they don't.
[03:10:06.428 --> 03:10:09.830]  Joe Biden is 100% globalist puppet.
[03:10:10.711 --> 03:10:11.572]  I mean, I agree with you.
[03:10:11.592 --> 03:10:19.417]  What do you make of Soros being attacked by the Chinese daily and being called a globalist terrorist financial criminal?
[03:10:19.677 --> 03:10:20.418]  What do you make of that?
[03:10:21.799 --> 03:10:30.124]  Well, you know, the left and the Russians and the Chinese have always understood that there's a globalist conspiracy in the West.
[03:10:30.725 --> 03:10:35.628]  And they take delight in taking pot shots at them and trying to expose that, just like Russia.
[03:10:36.169 --> 03:10:37.270]  Expose the U.S.
[03:10:37.310 --> 03:10:45.556]  allowing ISIS oil to be sold through Turkey into Israel and bombing those convoys and then challenging the U.S.
[03:10:45.576 --> 03:10:46.216]  to do the same.
[03:10:46.637 --> 03:10:58.245]  So China's attacking Soros now because to them, you know, Soros is synonymous with the evil that is infested in the United States government that is this globalist government.
[03:10:58.789 --> 03:11:11.917]  Now, I want to make it very clear that just because the globalists have dealings with China, just because the Rothschilds have banking dealings with Russia and give loans to Russia, does not mean that the globalists control Russia or China.
[03:11:11.957 --> 03:11:12.578]  They do not.
[03:11:12.778 --> 03:11:13.498]  I totally agree.
[03:11:13.518 --> 03:11:15.860]  In fact, I think Russia's less controlled than China.
[03:11:15.880 --> 03:11:19.022]  I'd say China's maybe 15% controlled, if you had to put a number.
[03:11:19.402 --> 03:11:20.803]  Russia's, what, 5% controlled?
[03:11:20.863 --> 03:11:26.606]  I think Russia is really why they hate it so much is that it's, like you said, it's its own predator system.
[03:11:26.886 --> 03:11:27.667]  It's not under their control.
[03:11:29.144 --> 03:11:31.707]  Well, there's zero control in my opinion.
[03:11:31.887 --> 03:11:36.593]  In other words, they want the aid, they want the trade, they want the money, they'll play.
[03:11:37.053 --> 03:11:40.798]  But you know, the globalists have been playing this double agent thing for many years.
[03:11:40.858 --> 03:11:49.208]  They give aid and trade to Russia because they want to build these two superpowers to make sure that World War III happens.
[03:11:49.881 --> 03:12:04.389]  They want to build these enemies because they must have... Like you said on my show 15 years ago, you said around 2020, 2025, they're going to be luring and trying to get Russia and China, acting weak while having provocations, luring them to launch that attack.
[03:12:05.449 --> 03:12:06.310]  Yeah, absolutely.
[03:12:06.350 --> 03:12:10.952]  And I still believe that North Korea will be the trigger event, not Taiwan, not Iran.
[03:12:12.253 --> 03:12:15.875]  They've shown time and again that they're not going to play their hand until they're ready.
