[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[01:44:36.139 --> 01:44:42.508]  Whether you're stocking up or trying it for the first time, now is the time to head to InfoWarsTore.com and take advantage of these great savings.
[01:44:42.808 --> 01:44:43.789]  This is a great sponsor.
[01:45:02.862 --> 01:45:08.264]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[01:45:08.264 --> 01:45:12.906]  So you can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[01:45:12.906 --> 01:45:17.288]  You can also buy cheap antennas and things for in your car or in your house that also are on the site.
[01:45:17.288 --> 01:45:19.188]  Infowarsphone.com.
[01:45:19.188 --> 01:45:20.689]  That's just a site that takes you to these folks.
[01:45:20.689 --> 01:45:23.570]  They supply the board for everybody with their systems as well.
[01:45:23.570 --> 01:45:27.812]  They're amazing folks, and you get a free phone at $650 value.
[01:45:27.812 --> 01:45:30.893]  Absolutely free at Infowarsphone.com.
[01:45:31.733 --> 01:45:33.935]  Smartphones are always tracking everything you do.
[01:45:33.935 --> 01:45:34.395]  These aren't.
[01:45:34.395 --> 01:45:36.377]  And the calls are free when folks call you.
[01:45:36.377 --> 01:45:40.359]  You just pay $99.95 a month for your minutes.
[01:45:40.359 --> 01:45:41.140]  150 minutes.
[01:45:41.140 --> 01:45:42.361]  So, the calls you were free.
[01:45:42.361 --> 01:45:43.482]  It works like a regular cell phone.
[01:45:43.482 --> 01:45:44.803]  You're not being tracked or traced.
[01:45:44.803 --> 01:45:46.084]  And I keep one in my car.
[01:45:46.084 --> 01:45:47.925]  I'm giving them to my parents as gifts.
[01:45:47.925 --> 01:45:50.327]  Way out in the middle of nowhere where regular phones don't work, they work.
[01:45:50.327 --> 01:45:51.327]  Infoworksphone.com or 941-955-1020.
[01:45:51.327 --> 01:45:52.468]  941-955-1020 and ask the Alex Jones Special.
[01:45:59.443 --> 01:46:07.666]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[01:46:07.666 --> 01:46:15.188]  That the FBI and CIA have been advising him on who these evil grips are.
[01:46:15.188 --> 01:46:20.030]  They know that all over the world their poison shot is being banned by major governments.
[01:46:20.030 --> 01:46:22.311]  And Moderna's in trouble as well.
[01:46:22.311 --> 01:46:26.292]  They know that the people are starting to get wise to the depopulation agenda.
[01:46:27.205 --> 01:46:38.937]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[01:46:38.937 --> 01:46:42.180]  The weapons work a little too good.
[01:46:42.180 --> 01:46:46.964]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[01:46:47.685 --> 01:46:49.827]  But it's too late for them to turn back now.
[01:46:49.827 --> 01:46:51.588]  They're coming after our children.
[01:46:51.588 --> 01:46:56.692]  So it's up to us to protect our little children, or God will not look favorably on us.
[01:46:56.692 --> 01:47:01.636]  Remember, God is watching.
[01:47:01.636 --> 01:47:04.258]  You're listening to the Alex Jones Show!
[01:47:15.698 --> 01:47:20.262]  Alright folks, I'm going to go right to your phone calls.
[01:47:20.262 --> 01:47:25.086]  We've got a new incredible announcement by Bill Gates.
[01:47:25.086 --> 01:47:28.229]  I will play it at the start of the next hour.
[01:47:44.114 --> 01:47:46.215]  And Klaus Schwab has done his speech.
[01:47:46.215 --> 01:47:47.175]  We've got a transcript.
[01:47:47.175 --> 01:47:48.115]  We've got a bunch of clips of that.
[01:47:48.115 --> 01:47:49.575]  But I want to go to your calls first.
[01:47:49.575 --> 01:47:56.137]  We've got Adam and Carlos and Josh and Kea, if I'm pronouncing that right.
[01:47:56.137 --> 01:48:06.820]  Aaron, Daniel, Jason, Mario, Kevin, Michael, and others.
[01:48:06.820 --> 01:48:09.481]  Who should we go to first?
[01:48:09.481 --> 01:48:10.521]  Let's go to Carlos!
[01:48:11.854 --> 01:48:14.235]  He's been calling in for more than 15 years and he got in today.
[01:48:14.235 --> 01:48:15.816]  Carlos is a really smart guy.
[01:48:15.816 --> 01:48:18.197]  Has a lot of big governmental and corporate positions.
[01:48:18.197 --> 01:48:19.137]  He knows what he's talking about.
[01:48:19.137 --> 01:48:21.118]  He's been a guest of the show.
[01:48:21.118 --> 01:48:26.381]  Carlos, what's your take on quote, Pfizer's power and individual freedom, Carlos?
[01:48:26.381 --> 01:48:27.061]  Thank you, Alex.
[01:48:27.061 --> 01:48:27.802]  God bless.
[01:48:27.802 --> 01:48:28.562]  Good to speak to you.
[01:48:28.562 --> 01:48:30.183]  Good to talk to you.
[01:48:30.183 --> 01:48:38.367]  What I wanted to basically say is something that has been, I think in one of your big files, you might have seen it.
[01:48:38.367 --> 01:48:41.368]  It's an article that appeared in, it's very, very important.
[01:48:41.843 --> 01:48:57.886]  There's an article that appeared entitled called Pfizer's Power and it appeared in October and it deals with a report that was done by the Bureau of Investigative Journalism.
[01:48:57.886 --> 01:49:09.348]  This public citizen article revealed redacted and unredacted contracts that were demanded by Pfizer worldwide
[01:49:10.212 --> 01:49:13.434]  Yes, we did cover it.
[01:49:13.434 --> 01:49:20.116]  In Brazil, they wanted ownership of the military bases as collateral for their liability.
[01:49:20.116 --> 01:49:20.997]  Thank you, sir.
[01:49:20.997 --> 01:49:29.080]  Well, it's just a sample of what kind of world corporations running the world is going to be like.
[01:49:29.080 --> 01:49:32.182]  I'll give you some of the points, just very lightly.
[01:49:32.182 --> 01:49:36.203]  One was that Pfizer reserves the right to silence governments.
[01:49:36.203 --> 01:49:37.684]  Now, those contracts
[01:49:38.129 --> 01:49:49.376]  Were not to be revealed for five years, neither party had authority to even acknowledge that they have been done or given any details of them.
[01:49:49.376 --> 01:49:54.919]  Otherwise, it would be in violation of contract with a redeemable, of course, punishment.
[01:49:54.919 --> 01:49:58.161]  The second item was that Pfizer controls the donations.
[01:49:58.161 --> 01:50:03.944]  That is, if the country was to receive some vaccines in an emergency situation, whatever,
[01:50:04.839 --> 01:50:05.500]  Thank you.
[01:50:20.680 --> 01:50:24.383]  But they did sign many of these contracts, Alex, and the advisor has the final say
[01:50:45.808 --> 01:50:47.109]  On key decisions.
[01:50:47.109 --> 01:50:53.572]  This is over the sovereignty of the nation, and the names of some of the nations would just floor you!
[01:50:53.572 --> 01:51:00.255]  Because the United States, for instance, can't even discuss it, can't even reveal it, either be in breach, okay?
[01:51:00.255 --> 01:51:04.297]  Brazil refused and then had to come to the table and accept.
[01:51:04.297 --> 01:51:13.262]  One of the reasons, I believe, is why President Trump, former President Trump, is not denying
[01:51:13.780 --> 01:51:17.043]  Anything concerning the validity of the vaccine.
[01:51:36.441 --> 01:51:40.423]  What do you make of the Pfizer head saying he wants people to criticize him arrested?
[01:51:40.423 --> 01:51:43.205]  I mean, I guess this is the last step by these damn people.
[01:51:43.205 --> 01:51:47.908]  So again, the globalists are making their move through world government, through medical tyranny.
[01:51:47.908 --> 01:51:50.329]  How do you think we counter them, Carlos?
[01:51:50.329 --> 01:51:52.111]  Well, I'll tell you something.
[01:51:52.111 --> 01:52:02.937]  No battle, no war, no skirmish, no revolution, not even an intellectual debate has ever been won by anyone that hasn't done these three things, Alex.
[01:52:02.937 --> 01:52:05.079]  One is know your opponent.
[01:52:05.555 --> 01:52:06.816]  Know your enemy.
[01:52:06.816 --> 01:52:10.299]  If you don't know your opponent or your enemies, you're done.
[01:52:10.299 --> 01:52:13.981]  You're no better than the poor soprano getting it at the end, okay?
[01:52:13.981 --> 01:52:14.482]  No.
[01:52:14.482 --> 01:52:20.847]  The second thing you have to know and assess is what sustains your enemy.
[01:52:20.847 --> 01:52:22.348]  What's the feeding line?
[01:52:22.348 --> 01:52:24.550]  What is the supply lines to your enemy?
[01:52:24.550 --> 01:52:27.312]  If you don't know that, you can't win that battle.
[01:52:27.312 --> 01:52:34.277]  And the third thing you have to do with them is have a plan as to how to neutralize or eliminate your enemy.
[01:52:34.966 --> 01:52:37.487]  Those three components are essential.
[01:52:37.487 --> 01:52:39.288]  We're losing the battle, Alex.
[01:52:39.288 --> 01:52:41.048]  We know very well who our enemy is.
[01:52:41.048 --> 01:52:42.869]  You said it correctly, the Bolsheviks.
[01:52:42.869 --> 01:52:43.629]  We know that.
[01:52:43.629 --> 01:52:44.730]  They came back.
[01:52:44.730 --> 01:52:49.191]  We know when they came and we know what they did and why and how this was originated.
[01:52:49.191 --> 01:52:54.493]  We also know that their supply lines, OK, but we haven't touched them at all.
[01:52:54.493 --> 01:52:58.435]  And we have not touched at all the plan as to how to do it.
[01:52:58.435 --> 01:53:04.397]  I have a message for Klaus Schwab, and that is, sir, you have picked on the wrong people.
[01:53:04.912 --> 01:53:07.672]  You've picked on the wrong crowd.
[01:53:07.672 --> 01:53:11.753]  You will be with nothing, and you will be happy.
[01:53:11.753 --> 01:53:13.073]  You will own nothing.
[01:53:13.073 --> 01:53:23.415]  You will be in an apartment, 200 square feet, with very important neighbors around you, but the only thing that you're going to look at is the bars across the windows in a pink suit or orange suit.
[01:53:23.415 --> 01:53:25.916]  Depends on the color of your choice.
[01:53:25.916 --> 01:53:28.876]  Sir, this is not a world you can play with.
[01:53:28.876 --> 01:53:31.116]  This is false science.
[01:53:31.116 --> 01:53:33.237]  This is false politics.
[01:53:33.237 --> 01:53:34.157]  This is an aversion.
[01:53:34.702 --> 01:53:38.345]  And the Constitution is what they fear.
[01:53:38.345 --> 01:53:40.026]  They fear ideas, Alex.
[01:53:40.026 --> 01:53:43.529]  All these guys in history, they fear ideas.
[01:53:43.529 --> 01:53:50.775]  Jesus Christ is here today with us in our spirit and so on because of his ideas, not because he was handsome or the color of his skin.
[01:53:51.770 --> 01:53:55.853]  Absolutely, and they want to bring in a new dark age, calling it the new era.
[01:53:55.853 --> 01:54:01.097]  And really, it's a new dark age of total control, all based on tyranny of the medical system.
[01:54:01.097 --> 01:54:03.379]  Great points, and I'm glad you mentioned that.
[01:54:03.379 --> 01:54:09.323]  We've talked about it some, I've covered it probably ten times, but I should do a whole show on how Pfizer took over governments.
[01:54:09.323 --> 01:54:14.066]  Literally, there was a Pfizer coup, and the globalists used Pfizer as the vehicle with the contracts to do it.
[01:54:14.907 --> 01:54:27.240]  So Pfizer is the heart of the world government now, through which the private banks are getting everybody to sign over control, and now they're submitting it's the carbon tax now that Pfizer will implement through the global vaccine passport.
[01:54:27.240 --> 01:54:28.200]  Absolutely.
[01:54:28.200 --> 01:54:29.962]  All right, Carlos, great points as always.
[01:54:29.962 --> 01:54:31.644]  Good to hear from you.
[01:54:31.644 --> 01:54:32.845]  Josh is in Florida.
[01:54:32.845 --> 01:54:34.046]  He's an IT worker.
[01:54:34.667 --> 01:54:35.207]  Hey, what's going on, Alex?
[01:54:35.207 --> 01:54:37.608]  First of all, the iodine is great, and I'm glad you got the bone broth back.
[01:54:37.608 --> 01:54:38.408]  Two products I love.
[01:54:38.408 --> 01:54:38.688]  So, July 28th, 2021.
[01:55:05.217 --> 01:55:13.159]  The White House put out the National Security Memorandum on Improving Cybersecurity for Critical Infrastructure Control Systems.
[01:55:13.159 --> 01:55:24.201]  So, infrastructure control systems are like our legacy technologies like that control the dams, the power grid, and stuff like that.
[01:55:24.201 --> 01:55:32.983]  So, basically, what I'm hearing in the industry is to be prepared for upcoming attacks
[01:55:33.516 --> 01:55:49.546]  On those things in 2022, so they could build back better on the Internet, which is also going to come with like a two-pronged attack with the industrial control systems, along with cyber attacks.
[01:55:49.546 --> 01:55:51.667]  They need to get rid of the Bitcoin.
[01:55:51.667 --> 01:55:54.509]  They need to get rid of all the cryptocurrency.
[01:55:54.509 --> 01:55:57.511]  And so they're going to blame it on cyber attacks.
[01:55:57.511 --> 01:56:00.513]  That will be the next lockdown on the Internet.
[01:56:00.513 --> 01:56:02.434]  And don't be surprised if they mix in
[01:56:04.319 --> 01:56:12.162]  Oh, no, no, they're saying the right-wingers are going to attack the grid and they're going to attack Pfizer.
[01:56:12.162 --> 01:56:15.083]  Of course, it'll be Pfizer and the globalists attacking themselves.
[01:56:15.083 --> 01:56:16.164]  Absolutely.
[01:56:16.164 --> 01:56:18.605]  And so I talked to a lot of high-level IT folks as well.
[01:56:18.605 --> 01:56:21.526]  It's well known in those circles that this is all staged.
[01:56:21.526 --> 01:56:22.587]  It's a PR rollout.
[01:56:22.587 --> 01:56:23.527]  It's all about to happen.
[01:56:23.527 --> 01:56:26.728]  But wink, wink, we're all about to get a bunch of funding, so go along with it.
[01:56:26.728 --> 01:56:27.709]  Is that the message you're hearing?
[01:56:29.616 --> 01:56:31.358]  Yeah, it's been the message for a long time.
[01:56:31.358 --> 01:56:42.185]  So you had back in September 2013 called Global Governance 2022, which was funded by the Brookings Institute, a couple of Chinese universities.
[01:56:42.185 --> 01:56:44.267]  Hey, I tell you what, don't hang up, Josh.
[01:56:44.267 --> 01:56:45.307]  You know what you're talking about.
[01:56:45.307 --> 01:56:46.969]  I want to come back to you in just a moment.
[01:56:47.637 --> 01:56:48.037]  Absolutely.
[01:56:48.037 --> 01:56:51.600]  Our whole cybersecurity system is run by the CHICOMS through the Brookings Institute.
[01:56:51.600 --> 01:56:58.044]  That's the same group that ran the whole fake Russia dossier and the rest of it with Fiona Hill that we first blew her cover.
[01:56:58.044 --> 01:56:59.005]  So I'm proud of that.
[01:56:59.005 --> 01:57:03.648]  Thanks for keeping us in attack formation, ladies and gentlemen, so we can fight as hard as we can.
[01:57:03.648 --> 01:57:05.789]  Don't forget, store-wide free shipping ends Monday.
[01:57:05.789 --> 01:57:08.011]  Double Patriot points ends Monday.
[01:57:08.011 --> 01:57:10.533]  Storable food at 10% off ends on Tuesday.
[01:57:10.533 --> 01:57:12.134]  I've got a contract where that has to happen.
[01:57:13.805 --> 01:57:17.354]  We've got all the products up to 60% off at infowarestore.com.
[01:57:17.354 --> 01:57:19.479]  Ultimate Bone Broth, back in stock.
[01:57:19.479 --> 01:57:21.223]  Rainforest Plus, back in stock.
[01:57:23.357 --> 01:57:23.737]  I'm cutting.
[01:57:23.737 --> 01:57:24.877]  I'm cutting this brief announcement.
[01:57:53.612 --> 01:57:56.493]  November 9th, 2021.
[01:57:56.493 --> 01:58:06.737]  And I just want all the listeners and viewers to know that have kept this show on the air that I'm very, very thankful to you because my main drive is opposing these globalists and is standing against them.
[01:58:06.737 --> 01:58:08.738]  I know that that's your main drive as well.
[01:58:08.738 --> 01:58:18.302]  So I thank you for your moral support, your prayers, your word of mouth, fighting for all of us and all of our children's futures, and also your financial support at infowarestore.com.
[01:58:19.423 --> 01:58:22.725]  And it isn't just funding the InfoWar that you engage in when you buy the products.
[01:58:22.725 --> 01:58:27.529]  You get amazing products that are so good for you and yourself and your family.
[01:58:27.529 --> 01:58:37.275]  And right now, until November 14th, we have Black Friday Comes Early, up to 60% off on our best-selling items, StoreWide for shipping, and Double Patriot Points.
[01:58:37.275 --> 01:58:43.880]  So again, thank you all for your support and get amazing products like Ultimate Bone Broth and Brain Force Plus and so many others.
[01:58:43.880 --> 01:58:47.823]  Right now, massively discounted at infowarestore.com.
[01:58:48.523 --> 01:58:55.950]  Ultimate Bone Broth is back, and better than ever, and 20% off, plus free shipping and double Patreon points for our new sale.
[01:58:55.950 --> 01:59:03.097]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever, and it's now been reformulated and is even stronger.
[01:59:03.097 --> 01:59:04.939]  It's Ultimate Bone Broth Plus.
[01:59:05.619 --> 01:59:14.644]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[01:59:14.644 --> 01:59:18.266]  Then it's got added magnesium and potassium for electrolytes.
[01:59:18.266 --> 01:59:24.809]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[01:59:24.809 --> 01:59:26.730]  It even tastes better than the last formula.
[01:59:26.730 --> 01:59:29.331]  And what it does for your body is simply amazing.
[01:59:29.331 --> 01:59:34.134]  Again, it has that cutting-edge chicken broth protein isolate powder.
[01:59:34.394 --> 01:59:36.656]  For better flavor and dissolvability.
[01:59:36.656 --> 01:59:40.801]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones.
[01:59:40.801 --> 01:59:43.584]  It's simply amazing and it helps fund the InfoWar.
[01:59:43.584 --> 01:59:49.990]  This is really the best bone broth out there, so get yours at InfoWarStore.com today.
[01:59:49.990 --> 01:59:55.877]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:00:12.578 --> 02:00:13.799]  And we are back.
[02:00:13.799 --> 02:00:19.245]  Josh, start over because for those that don't know, I'm sure most listeners do.
[02:00:19.245 --> 02:00:27.394]  They built up in a crescendo the last 10 years to two and a half years ago, right before they launched COVID-19.
[02:00:27.394 --> 02:00:31.298]  The virus, the poison vaccine, the lockdowns, the economic war, the culture war, the global...
[02:00:32.588 --> 02:00:42.287]  That they crescendoed with a bunch of announcements and drills, not even thinly veiled, hey this is about to happen, disease X, the UN will take over, they'll be in charge, and then it happened.
[02:00:43.223 --> 02:00:45.205]  It was a lot bigger than just getting rid of Donald Trump.
[02:00:45.205 --> 02:00:51.849]  It's about crushing populace worldwide, bringing in a eugenics control grid, a global carbon tax, a global calorie control.
[02:00:51.849 --> 02:01:06.460]  And now they say, oh, the final big push is going to be crashing the regular economy, crashing regular cyber systems, where the old-fashioned Internet doesn't work, and then only establishment Internet works over 5G, very limited.
[02:01:07.401 --> 02:01:15.066]  To make the internet more like a glorified Netflix, in their words, and that then they'll have total control that way.
[02:01:15.066 --> 02:01:18.488]  And so, yes, organized crises.
[02:01:18.488 --> 02:01:31.937]  Tosh Robb gave a speech today, we'll play some clips of that coming up after we take calls, and he said we need to think of crisis after crisis to unify humanity as if a religion of the earth and centralizing control to save the people.
[02:01:32.637 --> 02:01:36.758]  And so, I mean, this is just crazy level stuff, but it's here.
[02:01:36.758 --> 02:01:41.480]  So spend a few minutes on that, Josh, explaining it to people.
[02:01:41.480 --> 02:01:42.480]  Yeah, great.
[02:01:42.480 --> 02:01:43.400]  Thank you for that.
[02:01:43.400 --> 02:01:53.963]  So we talk about roundtable groups, like we know the Council of Foreign Relations, Bilderberg Group, but within the information security sector, we have those same things.
[02:01:53.963 --> 02:01:58.105]  One of them being the Cybersecurity Infrastructure Security Agency.
[02:02:00.063 --> 02:02:01.664]  So they're putting out all these memos.
[02:02:01.664 --> 02:02:07.245]  You can see a lot of parallels to the lead-up of 2020 going on now.
[02:02:07.245 --> 02:02:14.027]  It was the great internet purge that started with you, Alex, where they censored the opposition.
[02:02:14.027 --> 02:02:16.528]  Now it's going to be the same thing.
[02:02:16.528 --> 02:02:21.930]  September 2013, funded by the Brookings Institute, it was called Global Governance 22.
[02:02:21.930 --> 02:02:27.332]  The document anybody could look up was called Securing the Net, Global Governance in the Digital Domain.
[02:02:29.321 --> 02:02:29.441]  Okay.
[02:02:59.853 --> 02:03:06.079]  The wallet holders of cryptocurrency get attacked or just secretly go away.
[02:03:06.079 --> 02:03:08.921]  They have to rein in the internet.
[02:03:08.921 --> 02:03:16.168]  They did it with the social media, but it has to be done on a physical, optical, fiber optic layer.
[02:03:16.168 --> 02:03:21.473]  And that's going to start with the infrastructure control systems like the dams and the power grid.
[02:03:21.473 --> 02:03:24.216]  And they might just go ahead and say, hey, it's
[02:03:25.177 --> 02:03:29.619]  It's Trump supporters that were right-wing extremists that did it, that hacked us.
[02:03:29.619 --> 02:03:30.339]  Yes, yes.
[02:03:30.339 --> 02:03:39.143]  They're saying, they're saying Trump supporters and nationalists are going to cut the power off when they're the ones doing it through their policies and cutting off our pipelines.
[02:03:39.143 --> 02:03:40.284]  But that's not enough for them.
[02:03:40.284 --> 02:03:46.067]  They need to really bring us to our knees so they're preparing to frame us.
[02:03:46.067 --> 02:03:47.187]  Yeah, exactly.
[02:03:47.187 --> 02:03:53.250]  So what we saw in 2018 before the 2020 election, we're going to see this all kind of
[02:03:53.991 --> 02:04:03.195]  Kind of going and we're going to see more ransom attacks like the I think was the Colonial Pipeline like less than a year ago where the gas went up or whatever.
[02:04:03.195 --> 02:04:05.276]  We're going to just start seeing more of that.
[02:04:05.276 --> 02:04:07.097]  Then it's going to lead into the cyber attacks.
[02:04:07.097 --> 02:04:12.120]  I'm not sure who they're going to blame it on yet, but they're already having these.
[02:04:12.120 --> 02:04:20.884]  The IT community has conferences every month and you'll have a lot of people from Homeland Security and from the government and from top of the industry.
[02:04:21.658 --> 02:04:24.936]  Their people are there, they're giving speeches, and they're all just like,
[02:04:25.580 --> 02:04:29.082]  You know, all calmly, like, this is the push we're making.
[02:04:55.980 --> 02:04:57.922]  Black Friday comes early.
[02:04:57.922 --> 02:05:01.625]  It's Thursday, November 11th, 2021.
[02:05:01.625 --> 02:05:09.751]  And that means there's only a few days left until November 15th for you to take advantage of the biggest sale of the year at mfulworthstore.com.
[02:05:09.751 --> 02:05:14.014]  Black Friday comes early, ends on this coming Tuesday.
[02:05:14.014 --> 02:05:19.358]  You get store-wide free shipping, double Patriot points up to 60% off on best-selling items.
[02:05:19.358 --> 02:05:21.400]  Now, I'm not going to list them all here, but 60% off on Ultra 12,
[02:05:22.861 --> 02:05:24.383]  With free shipping, double-patria points.
[02:05:24.383 --> 02:05:26.585]  That's the best deal we've offered in years.
[02:05:26.585 --> 02:05:27.266]  Back in stock.
[02:05:27.266 --> 02:05:28.427]  Brain Force Plus.
[02:05:28.427 --> 02:05:31.210]  50% off the amazing Nootropic.
[02:05:31.210 --> 02:05:32.752]  Sold out for more than two years.
[02:05:32.752 --> 02:05:35.295]  Now back in stock and improved and even stronger.
[02:05:35.295 --> 02:05:40.941]  Ultimate Bone Broth Paleo Formula with Chaga Mushroom, with Turmeric, with Beet Pollen and so much more.
[02:05:40.941 --> 02:05:42.903]  Hits discount as well with free shipping.
[02:05:43.143 --> 02:05:49.969]  And so many other items are up to 60% off with store-at-free-shipping right now at InfoWarStore.com.
[02:05:49.969 --> 02:05:51.070]  It's a 360 win.
[02:05:51.070 --> 02:05:54.592]  We're fighting the globals as hard as we can and selling great products to fund it.
[02:05:54.592 --> 02:06:04.881]  Please support us and make your life better.
[02:06:04.881 --> 02:06:09.845]  Crashing through the lies and disinformation, it's Alex Jones.
[02:06:13.095 --> 02:06:23.482]  All right, Deadline Live is reporting that CNN, as well as MSNBC, is about to purge most of its leftists because they're worthless and nobody listens to them or believes them.
[02:06:23.482 --> 02:06:25.163]  Well, we've seen signs that's about to happen.
[02:06:25.163 --> 02:06:26.805]  What does that really signify?
[02:06:26.805 --> 02:06:29.627]  I'm going to cover that coming up at the bottom of the hour.
[02:06:29.627 --> 02:06:30.707]  Got that stack right there.
[02:06:30.707 --> 02:06:34.170]  Plus, mainline university professors all at once have come out.
[02:06:34.750 --> 02:06:41.134]  And announce that pedophilia is a good thing and that they can just identify with children and children can identify as adults.
[02:06:41.134 --> 02:06:42.114]  We told you that was coming.
[02:06:42.114 --> 02:06:43.895]  They're now announcing it everywhere.
[02:06:43.895 --> 02:06:45.817]  These people are just going to get worse and worse.
[02:06:45.817 --> 02:06:47.438]  They're out in the open.
[02:06:47.438 --> 02:06:50.059]  So that's coming up.
[02:06:50.059 --> 02:06:54.141]  I want to go right back to your phone calls right now.
[02:06:54.141 --> 02:07:00.125]  Let's go to, you pronounce that K-A-I-K, K in Alaska.
[02:07:00.125 --> 02:07:01.346]  Thanks for holding her on the air.
[02:07:01.346 --> 02:07:01.646]  Welcome.
[02:07:02.543 --> 02:07:03.183]  Thank you.
[02:07:03.183 --> 02:07:05.684]  I'm calling from the Gulag of the North.
[02:07:05.684 --> 02:07:06.225]  Well, welcome.
[02:07:06.225 --> 02:07:06.965]  Thank you for calling.
[02:07:06.965 --> 02:07:07.345]  Go ahead.
[02:07:07.345 --> 02:07:09.646]  Okay.
[02:07:09.646 --> 02:07:15.428]  Does the state of Alaska have a state medical officer?
[02:07:15.428 --> 02:07:16.869]  You know, I don't know.
[02:07:16.869 --> 02:07:20.951]  You live up there, but I would believe most states... I meant your state, Texas.
[02:07:20.951 --> 02:07:22.251]  Sorry.
[02:07:22.251 --> 02:07:24.312]  I'm calling... Do you have one?
[02:07:24.312 --> 02:07:25.673]  Yes.
[02:07:25.673 --> 02:07:25.973]  Okay.
[02:07:27.990 --> 02:07:38.038]  We have a good local senator that dropped a tip on the local radio station about our state medical officer, Dr. Zink.
[02:07:38.038 --> 02:07:39.339]  Look up her background.
[02:07:39.339 --> 02:07:43.323]  So, a reporter checked out her background.
[02:07:43.323 --> 02:07:56.854]  It turns out that she's linked, her grandfather was Dr. Al Bartlett, who was a renowned physicist, depopulationist, affiliated with Los Alamos,
[02:07:57.544 --> 02:08:00.930]  Um, Paul Ehrlich, the population bomb, it goes on and on.
[02:08:00.930 --> 02:08:03.273]  Huge YouTubes all over the place.
[02:08:03.273 --> 02:08:07.280]  And she is following in his footsteps.
[02:08:09.266 --> 02:08:11.329]  Yeah, that's why they make movies like 12 Monkeys.
[02:08:11.329 --> 02:08:13.031]  That's based on what they'd really like to do.
[02:08:13.031 --> 02:08:18.077]  I mean, Dr. Eric Bianco was the head of the UT Biology Department, and said he wanted to kill everybody.
[02:08:18.077 --> 02:08:22.241]  And then he was in charge of the bio-weapons labs, basically.
[02:08:22.241 --> 02:08:23.363]  They call them bio-shield.
[02:08:23.363 --> 02:08:24.965]  But yeah, it's just absolutely insane.
[02:08:24.965 --> 02:08:27.828]  I mean, look, my dad was top of his class in high school.
[02:08:28.749 --> 02:08:30.791]  They recruited him when he was 15.
[02:08:30.791 --> 02:08:39.981]  He thought he was joining a NASA feeder program and it was basically eugenics, you know, above the CIA type, you know, medical tyranny garbage and he figured it out and got out of it.
[02:08:39.981 --> 02:08:41.763]  But, I mean, he wasn't that special.
[02:08:41.763 --> 02:08:47.589]  He knew a lot of people that were, you know, top of their class as well that got recruited into this and that's what they've done.
[02:08:47.589 --> 02:08:49.070]  That's the ruling class we've got.
[02:08:49.070 --> 02:08:50.372]  It's a bunch of psycho-scientists.
[02:08:51.124 --> 02:09:05.013]  Well Alex, it's really dangerous because a few weeks ago we had a lot of the doctors that you had on your show, Dr. Malone, the Chinese dissident, a bunch of them came up here for a conference and they did not like that.
[02:09:05.586 --> 02:09:15.032]  So now we have doctors going to the Alaskan Medical Board to urge them to take action against doctors spreading harmful information.
[02:09:15.032 --> 02:09:20.736]  Yeah, they're bullying people, and that's on the orders of the master criminal, the head of Pfizer.
[02:09:20.736 --> 02:09:21.917]  Absolutely, yeah.
[02:09:21.917 --> 02:09:24.819]  The answer is rally behind these doctors and speak up more.
[02:09:24.819 --> 02:09:25.900]  Absolutely.
[02:09:25.900 --> 02:09:29.302]  Listen, they can't stand the heat because they know we're going to bring them down.
[02:09:30.236 --> 02:09:32.758]  But in the meantime, people are dying.
[02:09:32.758 --> 02:09:39.584]  Like last week in the town of Soldotna, there was a little protest and it was this young guy.
[02:09:39.584 --> 02:09:41.426]  His mother was in the hospital.
[02:09:41.426 --> 02:09:43.648]  She went in with, I think he told me, she had 80% oxygen.
[02:09:45.738 --> 02:09:47.861]  Five days later it was down to 20.
[02:09:47.861 --> 02:09:54.729]  He had the doc, a nurse, to come in to give her the vitamin C IV, to give her the ivervectin.
[02:09:54.729 --> 02:09:56.932]  The hospital wouldn't allow her in there.
[02:09:56.932 --> 02:09:59.996]  They said she was not qualified to come in there.
[02:09:59.996 --> 02:10:02.479]  In the meantime, people are dying.
[02:10:03.974 --> 02:10:06.757]  That's right, it's institutional from the UN and Pfizer.
[02:10:06.757 --> 02:10:08.519]  They say what our doctors can do.
[02:10:08.519 --> 02:10:09.821]  They say what you're allowed to say.
[02:10:09.821 --> 02:10:12.884]  They censor everybody so they can carry out the killing of us.
[02:10:12.884 --> 02:10:13.665]  God bless you, ma'am.
[02:10:13.665 --> 02:10:15.187]  Keep spreading the word about the broadcast.
