[00:00:10.478 --> 00:00:12.300]  They're all alike.
[01:56:36.599 --> 01:56:40.321]  Well, who wants to go to Portland with all the feces and devil worshippers?
[01:56:40.321 --> 01:56:41.041]  We're going to go to break.
[01:56:41.041 --> 01:56:45.463]  I want you to remember our great sponsor, InfoWarsPhone.com.
[01:56:45.463 --> 01:56:49.085]  You get a free $600 plus phone when you sign up for a year.
[01:56:49.085 --> 01:56:51.826]  You get 150 minutes for $9.995 a month.
[01:56:51.826 --> 01:56:53.867]  All the calls for you are free, unlimited calls.
[01:56:54.480 --> 01:56:55.520]  To you.
[01:56:55.520 --> 01:56:58.601]  No one can track this phone, so it has total anonymity.
[01:56:58.601 --> 01:57:00.522]  It calls all the regular phones.
[01:57:00.522 --> 01:57:06.803]  Car antennas and home antennas are available, so you can be inside your car or inside your house, but it works anywhere where you're outside.
[01:57:06.803 --> 01:57:09.524]  Stay in touch with loved ones during any national or international emergency.
[01:57:09.524 --> 01:57:13.205]  InfoWarsPhone.com.
[01:57:13.205 --> 01:57:14.125]  Perfect for emergencies.
[01:57:14.125 --> 01:57:16.225]  Perfect to stop the contact tracers.
[01:57:16.225 --> 01:57:17.266]  Perfect for the future.
[01:57:17.266 --> 01:57:18.546]  I've got one in my car in and at home.
[01:57:19.285 --> 01:57:24.246]  Do you think it's a bad trait of Mike Lindell that he's so optimistic that he's so positive?
[01:57:24.246 --> 01:57:24.386]  No.
[01:57:41.394 --> 01:57:44.216]  It's that type of optimism that built this country.
[01:57:44.216 --> 01:57:50.040]  We would have never defeated the British 250 years ago if we didn't have a lot of optimism and we didn't persevere.
[01:57:50.040 --> 01:57:55.664]  George Washington lost most of his major battles, but he kept fighting for six years and finally we won.
[01:57:55.664 --> 01:58:02.468]  Well, Mike Lindell has been fighting as a man in the arena and he's continuing to expose serious issues with the 2020 election.
[01:58:02.468 --> 01:58:03.469]  We need to keep him in the fight.
[01:58:03.769 --> 01:58:06.971]  Plus, he's got hundreds of incredible made-in-America products.
[01:58:06.971 --> 01:58:07.832]  Not just pillows.
[01:58:07.832 --> 01:58:08.492]  Not just towels.
[01:58:08.492 --> 01:58:09.053]  Not just sheets.
[01:58:09.053 --> 01:58:09.953]  Not just beds.
[01:58:09.953 --> 01:58:15.457]  And he's got up to 66% off at MyPillow.com with promo code ALEX.
[01:58:15.457 --> 01:58:16.778]  You get the best deals.
[01:58:16.778 --> 01:58:17.959]  It's made in America.
[01:58:17.959 --> 01:58:19.420]  He's investigating the election.
[01:58:19.420 --> 01:58:20.641]  He's fighting the globalists.
[01:58:20.641 --> 01:58:22.522]  He's standing up against forced inoculations.
[01:58:23.143 --> 01:58:25.106]  His organization is reaching millions of people.
[01:58:25.106 --> 01:58:29.613]  We need to support it and support InfoWars at the same time at MyFellow.com.
[01:58:29.613 --> 01:58:32.118]  Promo code Alex up to 66% off.
[01:58:32.118 --> 01:58:33.340]  You need these products already.
[01:58:33.340 --> 01:58:34.482]  They're high quality.
[01:58:34.482 --> 01:58:35.844]  Use promo code Alex and save big.
[01:58:37.233 --> 01:58:42.078]  I've been fighting as hard as I can for almost 28 years against the globalists.
[01:58:42.078 --> 01:58:44.140]  I wanted to stop their agenda.
[01:58:44.140 --> 01:58:49.605]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[01:58:49.605 --> 01:58:50.726]  But we failed.
[01:58:50.726 --> 01:58:52.368]  Yes, a lot of people are awake.
[01:58:52.368 --> 01:58:54.230]  Yes, we're not getting caught flat-footed.
[01:58:54.230 --> 01:58:59.174]  But they are going ahead with their full operational de-industrialization Great Reset.
[01:59:00.135 --> 01:59:09.001]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[01:59:09.001 --> 01:59:14.524]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[01:59:14.524 --> 01:59:17.086]  And one of the number one things to do is high-quality, storable food.
[01:59:17.086 --> 01:59:21.869]  We've got the best food ready to ship at very affordable prices at info-war-store.com.
[01:59:21.869 --> 01:59:27.012]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[01:59:27.412 --> 01:59:32.314]  Lock your orders in before food prices go up and before there are long lines in wait.
[01:59:32.314 --> 01:59:34.655]  Because believe me, serious times are coming.
[01:59:34.655 --> 01:59:39.078]  Get ready at InfoWarsTore.com.
[01:59:39.078 --> 01:59:41.699]  You're listening to the Alex Jones Show.
[01:59:52.706 --> 02:00:03.953]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe you've got one!
[02:00:03.953 --> 02:00:08.797]  From the front lines of the Information War, it's Alex Jones.
[02:00:29.292 --> 02:00:35.935]  The upcoming anniversary of the horrible events of 9-11, and not just the ones the media sold you, is nigh.
[02:00:35.935 --> 02:00:44.419]  One of the ironies of these last several years, for so many years, Al Qaeda and ISIS, the number one terror threat to the United States, now the number one terror threat homegrown.
[02:00:45.180 --> 02:00:46.621]  That is exactly right.
[02:00:46.621 --> 02:00:50.123]  They're more concerned about far-right radicals.
[02:00:50.123 --> 02:00:54.987]  They've killed more people in this country since 9-11 than foreign-based terrorists.
[02:00:54.987 --> 02:01:07.395]  They're more concerned about the fact that ISIS and al-Qaeda through social media can basically brainwash people thousands of miles away to act independently without command and control from them.
[02:01:07.395 --> 02:01:11.438]  That is the concern this week and I can tell you combined with the domestic terror threat
[02:01:11.958 --> 02:01:16.560]  And that threat law enforcement is as fancy as I've seen them in quite some time.
[02:01:16.560 --> 02:01:24.442]  What many of us labeled as conspiracy theorists were screaming from the rooftops has now become accepted ancient history.
[02:01:24.442 --> 02:01:39.868]  What I didn't know in that morning is the secret decisions that were made at the highest level of the government and what the government was willing to do under the blanket of national security.
[02:01:39.868 --> 02:01:40.888]  What they were willing to do
[02:01:42.117 --> 02:01:44.339]  And going way outside the law.
[02:01:44.339 --> 02:02:02.893]  Immediately, I mean within days and weeks, verbal authorization was being granted for a program called Stellar Wind, in which they're turning the extraordinary power of NSA, and pointing it, not just foreign, but also domestic.
[02:02:02.893 --> 02:02:04.174]  Parts of it are still classified.
[02:02:04.174 --> 02:02:10.019]  I'll just call it a warrantless wiretapping program that involved large metadata collection.
[02:02:11.074 --> 02:02:14.517]  And also collection of content.
[02:02:14.517 --> 02:02:16.179]  Much of it happening in the homeland.
[02:02:16.179 --> 02:02:27.088]  Will we avenge their deaths and reclaim what was stolen from us following the new Pearl Harbor as was outlined by the neocons in their project for a new American century?
[02:02:27.088 --> 02:02:33.293]  There are many theories surrounding the events of 9-11 and they will be continued to be debated ad nauseum
[02:02:33.653 --> 02:02:44.704]  But what can't be denied is that Americans continue to be attacked from within as their liberties were discarded for a creeping New World Order surveillance state.
[02:02:44.704 --> 02:02:50.070]  And we get different views now on just what these spying powers mean and what might happen if they expire.
[02:02:50.350 --> 02:03:05.761]  And as the elitist social engineers gathered over two decades to formulate humanity's demise at Davos and Bilderberg, that system has evolved into a medical tyranny United Nations cloud and piven great reset.
[02:03:05.761 --> 02:03:17.130]  For the fourth industrial revolution, aimed at helping civil society meet the challenges presented by the rapid technological change.
[02:03:17.130 --> 02:03:18.751]  There is a small bump in the road.
[02:03:19.381 --> 02:03:24.563]  Joe Biden has actually managed to sign an executive order instructing the U.S.
[02:03:24.563 --> 02:03:37.807]  Attorney General to personally examine the merits of all cases where the government had invoked state secrets, privilege, and to err on the side of disclosure in cases where the events in question occurred two decades ago or longer.
[02:03:38.127 --> 02:03:49.936]  Biden finally caved after the families of 9-11 victims requested Biden not attend any anniversary events until he honored his campaign promise to release the documents.
[02:03:49.936 --> 02:03:55.540]  It's time for the truth to come out and we would have signed this letter regardless of who it was in the Oval Office.
[02:03:55.540 --> 02:03:57.342]  It's the 20-year anniversary.
[02:03:58.002 --> 02:03:58.883]  We need help.
[02:03:58.883 --> 02:04:04.685]  We need a president that's going to once and for all take our side and not the side of the Kingdom of Saudi Arabia.
[02:04:04.685 --> 02:04:14.470]  The only salve we can apply is to never forget the lives of those lost on that day and honoring them by reclaiming our birthright.
[02:04:14.470 --> 02:04:16.871]  Post Haste, John Bowne reporting.
[02:04:18.752 --> 02:04:21.833]  Don't act so surprised, Globalist.
[02:04:21.833 --> 02:04:25.634]  You didn't think you could silence the American people, did you?
[02:04:25.634 --> 02:04:29.576]  Join Bandot Video, and I will complete your training.
[02:04:29.576 --> 02:04:33.458]  Together, we can overthrow the Emperor and restore the Republic.
[02:04:45.322 --> 02:04:51.608]  It's always critical, it's always vital, it's always essential to have enough high quality vitamins and minerals in your body.
[02:04:51.608 --> 02:04:54.531]  That's why essential vitamins and minerals are called essential.
[02:04:54.531 --> 02:04:55.632]  You must have them.
[02:04:55.632 --> 02:05:01.197]  But in today's crazy times, it is more important than ever to stay on top of it.
[02:05:01.597 --> 02:05:01.777]  I think?
[02:05:20.534 --> 02:05:22.895]  33 to 50% off.
[02:05:22.895 --> 02:05:25.437]  All supplies last at InfoWarsTore.com.
[02:05:25.437 --> 02:05:27.117]  So I would not procrastinate.
[02:05:27.117 --> 02:05:29.799]  We are ready to ship these products to you right now.
[02:05:29.799 --> 02:05:33.000]  And there's a lot of other great products as well at InfoWarsTore.com.
[02:05:33.000 --> 02:05:41.364]  So be sure and visit InfoWarsTore.com today and boost your body's natural defenses and give the gift of health to friends and family that are not informed.
[02:05:41.364 --> 02:05:44.026]  It's up to us to take care of our friends and family.
[02:05:44.026 --> 02:05:44.806]  Please take action now.
[02:05:57.746 --> 02:06:03.936]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:06:08.340 --> 02:06:11.182]  Well, you've seen him all over Fox News.
[02:06:11.182 --> 02:06:13.343]  I've seen him all over other national media.
[02:06:13.343 --> 02:06:14.944]  He's very well spoken.
[02:06:14.944 --> 02:06:19.326]  Dr. Peter McCullough, academic physician from Dallas, my hometown.
[02:06:19.326 --> 02:06:22.648]  And he drove down here to graciously be with us in studio.
[02:06:22.648 --> 02:06:24.549]  He'll be with us 30 minutes into the next hour.
[02:06:24.549 --> 02:06:27.251]  Then I'm gonna get into a special report on the left.
[02:06:27.811 --> 02:06:34.014]  And how they are under mass psychosis and some of the studies and documentation of that in the War Room 3 p.m.
[02:06:34.014 --> 02:06:35.414]  Central today.
[02:06:35.414 --> 02:06:36.795]  Dr. Peter McCullough is here.
[02:06:36.795 --> 02:06:38.616]  He wants to get into vaccine failure.
[02:06:38.616 --> 02:06:43.958]  He wants to get into now we know what these supposed shots are doing and where he thinks it's all going.
[02:06:43.958 --> 02:06:47.139]  But also he wants to get into some censorship.
[02:06:47.139 --> 02:06:49.160]  First, you've seen big tech go around and block
[02:06:49.640 --> 02:06:59.247]  Senator Rand Paul, when he says things they don't like, even though it's true that natural immunity is better than vaccine immunity.
[02:06:59.247 --> 02:07:00.968]  Donald Trump censored off Twitter.
[02:07:00.968 --> 02:07:07.673]  I mean, this is so dangerous, and the big group they're trying to silence is doctors and scientists and nurses.
[02:07:07.673 --> 02:07:10.355]  So, Dr. Peter McCullough, thank you so much.
[02:07:10.355 --> 02:07:14.618]  AmericaOutloud.com, and you do your great McCullough Report as well.
[02:07:14.618 --> 02:07:15.638]  Thanks for coming in, sir.
[02:07:15.638 --> 02:07:16.219]  Thanks for having me.
[02:07:16.639 --> 02:07:22.771]  Well, I'm going to try to give you the floor because you're a very well-spoken guy and you're on a lot of other shows, a lot of other guests, you usually have five minutes or whatever.
[02:07:22.771 --> 02:07:23.733]  Where do you want to start first?
[02:07:24.321 --> 02:07:28.664]  Well, by introduction, I'm an academic internist and cardiologist in Dallas, Texas.
[02:07:28.664 --> 02:07:30.585]  I see patients every week.
[02:07:30.585 --> 02:07:35.449]  I'm the editor of two major journals that are cited by the National Library of Medicine.
[02:07:35.449 --> 02:07:39.452]  I'm the senior associate editor of the longest standing journal in cardiology.
[02:07:39.452 --> 02:07:43.174]  And as many of your listeners know, I've dedicated the last year and a half to COVID-19.
[02:07:43.174 --> 02:07:49.879]  In a sense, I've done a self-directed fellowship in infectious disease and in COVID-19.
[02:07:49.879 --> 02:07:50.940]  And as you implied,
[02:07:51.500 --> 02:08:01.875]  I've been subject to censorship, as many other academic physicians have, largely because we are publicly participating in a topic of national importance.
[02:08:01.875 --> 02:08:04.298]  And this is very, very critical.
[02:08:04.298 --> 02:08:06.581]  In a time like this, we need many
[02:08:07.322 --> 02:08:13.343]  Doctors, and we need many scientists to put their ideas together to help guide America forward.
[02:08:13.343 --> 02:08:20.945]  And that's one of the reasons why myself and others are frequent commentators on national media programs like this one.
[02:08:20.945 --> 02:08:34.528]  And unfortunately, my health care system in Dallas is suing me personally related to issues in a separation agreement, but I am declaring no opinions on behalf of any affiliation or organization.
[02:08:34.528 --> 02:08:36.788]  My opinions are only those of myself.
[02:08:37.228 --> 02:08:40.730]  As they are with any doctor in any scientific discourse.
[02:08:40.730 --> 02:08:46.634]  And again, the group you're with, MyFamilyViews, really respected, but you don't even want their names said.
[02:08:46.634 --> 02:08:56.201]  You've never brought them in, and the idea that you as a family man, as a doctor, as a respected academic, the fact that you're not supposed to have speech in America, that's preposterous!
[02:08:56.201 --> 02:08:57.001]  Since when?
[02:08:57.001 --> 02:08:59.883]  It's not like you're in the CIA and you violated some nondisclosures.
[02:08:59.883 --> 02:09:01.664]  It's not like you told them what's going on.
[02:09:01.664 --> 02:09:02.425]  It's Scott and White.
[02:09:03.957 --> 02:09:22.889]  All we're doing is discussing the data, and one of the things that I want your fact-checkers who watch your show, and they follow me carefully, have them fact-check every single citation I'm going to give today over the next few minutes, because all we're going to do is talk about scientific data and apply the results to the path forward in the pandemic.
[02:09:22.889 --> 02:09:31.155]  Give us a prelude, and then please get into your gray suit to be here, sir, because millions are watching right now, millions will watch later when it's archived, of what you want to lay out in the next hour and 25 minutes.
[02:09:32.296 --> 02:09:44.485]  I think one of the biggest topics, and it's really of public health importance, is that the COVID-19 vaccines that were so heavily leveraged and relied upon in our federal response to the pandemic are failing.
[02:09:44.485 --> 02:09:49.949]  And patients who are fully and partially vaccinated are contracting COVID-19, and we've got to talk about them.
[02:09:49.949 --> 02:09:51.410]  What are some of the other areas you want to get into?
[02:09:52.213 --> 02:10:02.707]  I think we really should cover the issue of what's called Early Sequence Multidrug Therapy because it applies to both those vaccinated and unvaccinated who are at high risk and develop COVID-19.
[02:10:02.707 --> 02:10:04.550]  All right, you'll have the floor when we come back.
[02:10:04.550 --> 02:10:05.831]  We've got five, six minutes to break.
[02:10:05.831 --> 02:10:06.793]  Let me ask you a few questions.
[02:10:07.313 --> 02:10:21.007]  What do you make of Australia saying up to five shots a year, Israel now saying a fourth shot, maybe a fifth or sixth every year, Pfizer's talking about therapeutic pills you're gonna take, and now they're saying they want smartphones to document you're taking your pills daily.
[02:10:21.007 --> 02:10:24.570]  It sounds like the drug companies are literally involved in a hostile takeover.
[02:10:24.570 --> 02:10:30.036]  Trump said last week on national TV that yeah, Pfizer basically had more power when he was president than he did.
[02:10:30.785 --> 02:10:41.955]  There's a real clear theme of progressive loss of medical freedom tied to progressively reduced personal freedom.
[02:10:41.955 --> 02:10:52.384]  And we know from these vaccine platforms, there were 24 of them, messenger RNA and adenoviral DNA platforms, none of them were actually designed to be vaccines.
[02:10:52.384 --> 02:10:57.849]  They were designed to be genetic transfer technology programs with intermittent injections.
[02:10:59.358 --> 02:11:01.159]  Wow, it's just amazing.
[02:11:01.159 --> 02:11:07.381]  And I remember reading, I'm no doctor like you, but I remember 18 months ago, Gates was like, well, you'll need a lot of boosters.
[02:11:07.381 --> 02:11:08.342]  And then I went and looked it up.
[02:11:08.342 --> 02:11:09.542]  They go, yeah.
[02:11:09.542 --> 02:11:14.384]  The chief scientist in England over there, big government lab there, he goes, well, these are really gene therapies.
[02:11:14.384 --> 02:11:15.265]  He's for it.
[02:11:15.265 --> 02:11:17.606]  And he's saying, you'll need one every five or six months.
[02:11:17.606 --> 02:11:20.767]  I mean, they're admitting it and then playing dumb like it's a new thing.
[02:11:21.678 --> 02:11:30.086]  Well, gene transfer technology for what for most individuals is a form of the common cold is certainly not justified.
[02:11:30.086 --> 02:11:40.336]  I can tell you this much, that a definition of a successful vaccine is it would at least have to last a year, at least a year, and it would have to have 50% protection.
[02:11:40.336 --> 02:11:45.681]  And what we know now is that the Israeli health minister has Pfizer fully vaccinated at 39%
[02:11:47.202 --> 02:11:48.323]  We're good to go.
[02:12:12.296 --> 02:12:16.119]  And we've still got four minutes to break, so Dr. McCullough, please start now.
[02:12:16.119 --> 02:12:18.480]  You wanted to get into vaccine failure first.
[02:12:18.480 --> 02:12:35.511]  Well, the CDC is telling us, and I think this is really important for Americans to know, the CDC has on its website a total of thousands of cases of fully vaccinated Americans who are failed and they're in the hospital.
[02:12:35.511 --> 02:12:36.012]  They have
[02:12:37.569 --> 02:12:52.198]  A paper out by Havers and colleagues from the CDC in the month of June, they had of those hospitalized in America with COVID-19, 23.4% were partially or fully vaccinated.
[02:12:52.198 --> 02:12:58.681]  We know from a posting on the CDC website in late August that 70 to 80% of those who died
[02:13:02.183 --> 02:13:08.487]  And people can say, well, if you look at Israel, if 90% are vaccinated, of course most people in the hospital are going to be vaccinated.
[02:13:08.487 --> 02:13:11.568]  But in the old days, most vaccines pretty much worked.
[02:13:24.791 --> 02:13:29.253]  Since when does the immunity go away in just a few months?
[02:13:29.253 --> 02:13:33.575]  Well, in Israel we had a pre-vaccination curve to look at.
[02:13:33.575 --> 02:13:34.535]  So that was very clear.
[02:13:34.535 --> 02:13:36.296]  You could see the height of the curve.
[02:13:36.296 --> 02:13:41.678]  Anybody can go to Worldometer or any one of these COVID tracker websites and look at the pre-vaccination curve.
[02:13:41.678 --> 02:13:47.081]  Now look at the post-vaccination curve with essentially all eligible adults vaccinated in Israel.
[02:13:47.081 --> 02:13:52.323]  The post-vaccination curve, the delta curve, is larger than the pre-vaccination curve.
[02:13:52.683 --> 02:13:58.998]  So there in many ways the vaccine has made the outbreak worse and this is predicted by many experts in the field.
[02:13:58.998 --> 02:14:01.424]  Wow, we're going to go to break in a minute and a half, but please continue.
[02:14:02.188 --> 02:14:22.728]  We know more that a paper that just hit New England Journal of Medicine by Keener and colleagues from the University of California at San Diego, where they had 83% of healthcare workers fully vaccinated, they now have more vaccinated cases, 94 compared to unvaccinated cases of healthcare workers getting COVID-19.
[02:14:22.728 --> 02:14:25.451]  An example, we're here in the healthcare arena,
[02:14:25.991 --> 02:14:36.662]  Where there's vaccine mandates across health systems in the United States, it's actually making it worse that we were better off before mass vaccination.
[02:14:36.662 --> 02:14:48.475]  And again, I'm not a respected doctor and academic like you, but I can look at the curves here all over the world as they get the first shot, the second shot, suddenly mass hospitalizations, mass deaths, illnesses,
[02:14:49.292 --> 02:14:50.393]  Trailing right after.
[02:14:50.393 --> 02:14:55.777]  So it's like I pull a trigger with a .308, shoot a deer at 100 yards, I watch the deer fall over.
[02:14:55.777 --> 02:14:58.279]  I watch them take the shot, I watch them fall over.
[02:14:58.279 --> 02:15:00.942]  I mean, I'm not a rocket scientist, but this looks bad, Doctor.
[02:15:00.942 --> 02:15:06.506]  Sure, we have Israel, we have Gibraltar, Singapore, Iceland, United Kingdom.
[02:15:06.506 --> 02:15:10.990]  United Kingdom does some of the best data analyses that we have.
[02:15:10.990 --> 02:15:12.751]  We have the technical briefing on September 3rd.
[02:15:14.513 --> 02:15:19.196]  492,528 cases of Delta.
[02:15:19.196 --> 02:15:21.118]  55.4% are vaccinated.
[02:15:21.118 --> 02:15:21.718]  Doc, stay there.
[02:15:21.718 --> 02:15:22.359]  Start over on this.
[02:15:22.359 --> 02:15:23.580]  This is huge.
[02:15:23.580 --> 02:15:28.583]  When we come back, and I've got some of the graphs out of Israel, out of Gibraltar, out of Singapore that you mentioned.
[02:15:28.583 --> 02:15:33.267]  When we come back, and he is the host of the McCullough Report.
[02:15:33.267 --> 02:15:37.010]  M-C-C-U-L-L-O-U-G-H Report.
[02:15:37.010 --> 02:15:39.992]  Find it at AmericaOutloud.com.
[02:15:39.992 --> 02:15:41.293]  And he's fighting hard for all of us.
[02:15:42.924 --> 02:15:51.334]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year.
[02:15:51.334 --> 02:15:52.355]  Here's why.
[02:15:52.355 --> 02:15:55.639]  We now have a small number of solar generators back in stock.
[02:15:56.238 --> 02:16:01.341]  These emergency backup systems provide life-saving backup power when you need it most.
[02:16:01.341 --> 02:16:10.326]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[02:16:10.326 --> 02:16:18.310]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[02:16:19.005 --> 02:16:25.088]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too!
[02:16:25.088 --> 02:16:28.910]  Go to MySolarBackup.com to learn more and check availability.
[02:16:28.910 --> 02:16:30.911]  That's MySolarBackup.com.
[02:16:30.911 --> 02:16:39.316]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[02:16:39.316 --> 02:16:41.657]  Yours free at MySolarBackup.com.
[02:16:42.197 --> 02:16:43.158]  Hey everybody!
[02:16:43.158 --> 02:16:48.601]  If you've ever thought about heirloom beans as a storable survival food, I've got great news.
[02:16:48.601 --> 02:16:51.042]  In fact, I'll bet it's the best news you've heard in a while.
[02:16:51.042 --> 02:16:51.902]  Here's the thing.
[02:16:51.902 --> 02:16:56.185]  We've just received a fresh batch of gourmet heirloom beans.
[02:16:56.185 --> 02:16:57.505]  Survival soup beans.
[02:16:57.505 --> 02:17:05.710]  These beans are gorgeous, highly nutritious, and above all, with no hesitation whatsoever, the best tasting beans in the entire world.
[02:17:05.710 --> 02:17:06.250]  The best part?
[02:17:06.790 --> 02:17:16.034]  We've dropped the price by 33% this week for listeners who know higher food prices are coming and want an inflation hedge you can actually eat if you want to.
[02:17:16.034 --> 02:17:17.054]  Gets even better!
[02:17:17.054 --> 02:17:27.799]  With your permission, and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world.
[02:17:27.799 --> 02:17:28.219]  Period.
[02:17:28.619 --> 02:17:30.642]  Go to soupbeansurvival.com.
[02:17:30.642 --> 02:17:32.785]  That's soupbeansurvival.com.
[02:17:32.785 --> 02:17:36.871]  And discover the real reason we're giving this unusual superfood away.
[02:17:36.871 --> 02:17:38.753]  At soupbeansurvival.com.
[02:17:38.753 --> 02:17:40.015]  That's soupbeansurvival.com.
[02:17:43.633 --> 02:17:48.497]  I've been fighting as hard as I can for almost 28 years against the globalists.
[02:17:48.497 --> 02:17:50.519]  I wanted to stop their agenda.
[02:17:50.519 --> 02:17:55.943]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[02:17:55.943 --> 02:17:57.044]  But we failed.
[02:17:57.044 --> 02:17:58.685]  Yes, a lot of people are awake.
[02:17:58.685 --> 02:18:00.566]  Yes, we're not getting caught flat-footed.
[02:18:00.566 --> 02:18:05.570]  But they are going ahead with their full operational deindustrialization Great Reset.
[02:18:06.571 --> 02:18:15.476]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[02:18:15.476 --> 02:18:20.999]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[02:18:20.999 --> 02:18:23.560]  And one of the number one things to do is high-quality, storable food.
[02:18:23.560 --> 02:18:28.323]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[02:18:28.323 --> 02:18:33.466]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[02:18:33.846 --> 02:18:38.748]  Lock your orders in before food prices go up and before there are long lines in wait.
[02:18:38.748 --> 02:18:41.088]  Because believe me, serious times are coming.
[02:18:41.088 --> 02:18:43.729]  Get ready at infowarestore.com.
[02:18:43.729 --> 02:18:46.530]  The purpose of fear is to call us into action.
[02:18:46.530 --> 02:18:49.051]  And there is plenty to be afraid of today.
[02:18:49.051 --> 02:18:58.454]  Half the population has lined up for an untested, deadly, and debilitating experimental injection because they were told to be afraid of an invisible asymptomatic disease.
[02:18:59.054 --> 02:19:09.017]  The perpetrators of all this have clearly stated their goal of having 80% of the population hooked up to an artificial intelligence hive mind in less than nine years.
[02:19:09.017 --> 02:19:15.759]  For those of us who have awoken from the spell, we know this is all really happening, and it's unbelievably unsettling to see.
[02:19:15.759 --> 02:19:17.200]  But there is only two things to do.
[02:19:18.306 --> 02:19:21.469]  We continue sounding the alarm because it's a numbers game.
[02:19:21.469 --> 02:19:24.772]  If enough people awaken from the cold spell, then we win.
[02:19:24.772 --> 02:19:30.156]  But even when we win, and we eventually will, the days of convenience are soon coming to an end.
[02:19:30.156 --> 02:19:31.998]  And so, we must prepare.
[02:19:31.998 --> 02:19:42.026]  Get up to a year's worth of storable foods, water filtration, survival gear, seeds, shortwave radios, and life-saving knowledge at infowarsstore.com.
[02:19:46.335 --> 02:20:04.028]  You're listening to the Alex Jones Show!
[02:20:04.028 --> 02:20:07.150]  I tell ya, I don't like going to break with this guy because he's saying amazing stuff.
[02:20:07.150 --> 02:20:10.273]  Dr. Peter McCullough, AmericanOutlaw.com.
[02:20:10.273 --> 02:20:10.673]  He is
[02:20:11.443 --> 02:20:15.265]  With us, and I've got all the graphs out of Israel showing right after they get the shots.
[02:20:15.265 --> 02:20:16.705]  First, second, third exploding.
[02:20:16.705 --> 02:20:18.226]  He's got all the statistics.
[02:20:18.226 --> 02:20:21.207]  He was telling me how really serious Delta is.
[02:20:21.207 --> 02:20:23.468]  Now, last year I said, hey, this is overblown.
[02:20:23.468 --> 02:20:25.289]  There's people that die of car wrecks that are saying have it.
[02:20:26.275 --> 02:20:35.161]  This mutation, which I think came from the vaccinated, is super deadly and super bad, and he was just telling me how bad it is, and I don't need him to tell me.
[02:20:35.161 --> 02:20:36.042]  I believe him.
[02:20:36.042 --> 02:20:40.985]  I experienced it in my family and my crew and around Austin, so please continue, Doctor, and repeat what you said.
[02:20:40.985 --> 02:20:41.986]  No, I agree.
[02:20:41.986 --> 02:20:44.168]  I underestimated Delta as well.
[02:20:44.168 --> 02:20:45.809]  I was on national TV a couple times.
[02:20:46.389 --> 02:20:48.591]  Mentioning that it was going to be more mild.
[02:20:48.591 --> 02:20:52.754]  And it is true, it has a lower case fatality rate than the other versions.
[02:20:52.754 --> 02:20:56.076]  And this is shown in the UK variant report, even up to September 3rd.
[02:20:56.076 --> 02:20:58.038]  But it's largely because younger people get it.
[02:20:58.038 --> 02:21:01.320]  But the younger people who get it, it's a difficult illness.
[02:21:01.320 --> 02:21:03.001]  But it's way more contagious, right?
[02:21:03.001 --> 02:21:04.082]  It's way more contagious.
[02:21:04.082 --> 02:21:06.184]  And let me tell you, we've always had Delta.
[02:21:06.184 --> 02:21:08.926]  We've always had about a dozen different variants.
[02:21:08.926 --> 02:21:14.170]  And what happened was, during the pre-vaccinated era, there was an ecological diversity.
[02:21:16.670 --> 02:21:25.878]  We basically allowed a dominant variant to come forward, and this actually started in India out of Mishra, where they started using the Sinovac vaccine in a couple spots there.
[02:21:25.878 --> 02:21:31.422]  And once we get a dominant mutant to go forward, it finds a way of walking on the vaccines.
[02:21:31.422 --> 02:21:32.684]  Take your time and start over.
[02:21:32.684 --> 02:21:33.764]  Take your time and explain.
[02:21:33.764 --> 02:21:42.272]  It's in all the literature that these live vaccines, or whatever, you're the doctor, create these dominant mutants, just like in chickens, and you get this Merrick disease.
[02:21:42.572 --> 02:21:43.633]  Yes, that's exactly right.
[02:21:43.633 --> 02:21:57.859]  So what happened is, with using the Coronavac or Sinovac vaccine, which is a whole virus killed vaccine, that it creates an environment where the diversity of the different strains reduces.
