[00:00:09.856 --> 00:00:12.277]  Oh, got my bag.
[01:35:47.108 --> 01:35:58.417]  If you open the front page of your passport, I have a Canadian passport, I'm sure the American passport is similar, it's basically a promise that you're allowed to come back home to your country.
[01:35:58.417 --> 01:36:04.122]  That's hardwired right into our Canadian Constitution, the right of citizens to come back home.
[01:36:04.122 --> 01:36:08.145]  That is one of the most basic rights going back to ancient Roman times.
[01:36:08.145 --> 01:36:08.966]  It exactly is.
[01:36:09.785 --> 01:36:19.394]  Also, Canada's Quarantine Act, which I've studied recently, forbids the government from putting anything invasive in your body without your permission.
[01:36:19.394 --> 01:36:22.236]  They can't stick a swab up your nose.
[01:36:22.236 --> 01:36:29.923]  So I don't even know how a variety of these tests are legal under the Quarantine Act, but I think you made the key point.
[01:36:30.515 --> 01:36:33.596]  We're treating healthy people like sick people.
[01:36:33.596 --> 01:36:36.957]  We're treating innocent people like guilty people.
[01:36:36.957 --> 01:36:46.919]  And, Alex, I'm sure you know this because you're very widely read, but the word quarantine comes from the Italian, Caranta giorni, 40 days.
[01:36:46.919 --> 01:36:55.701]  When ships would come in places like Venice, from places that had the plague, the ships would have to stay offshore from the main port for up to 40 days.
[01:36:55.701 --> 01:36:59.442]  They had to fly if they did have bubonic plague, a black spot on a white flag, exactly.
[01:37:00.322 --> 01:37:02.862]  And they would get a clean bill of health.
[01:37:02.862 --> 01:37:03.903]  You would get a bill of health.
[01:37:03.903 --> 01:37:05.143]  Is it clean or not?
[01:37:05.143 --> 01:37:09.784]  People would board the ship and learn about the passengers, learn where I had been.
[01:37:09.784 --> 01:37:12.844]  But they only quarantined the sick, Alex.
[01:37:12.844 --> 01:37:15.365]  They did not quarantine the healthy.
[01:37:15.365 --> 01:37:23.466]  And that's the fundamental difference between how plagues and pandemics were dealt with in the past and how they're dealt with now.
[01:37:23.466 --> 01:37:28.787]  Now we're treating an entire citizenry as if they're guilty and we're using
[01:37:29.950 --> 01:37:38.038]  Uh, irrational lockdown laws and mask laws as an entryway for police to criminalize... Alright, stay there my friend.
[01:37:38.038 --> 01:37:40.780]  We're going to come right back and give you the floor because you're on fire here.
[01:37:40.780 --> 01:37:43.843]  This is so huge, this is so historic, and you're right in the fire.
[01:37:43.843 --> 01:37:46.245]  You're right where they're implementing what's coming here next.
[01:37:46.245 --> 01:37:50.549]  They admit Canada, Spain, and for all reasons, Australia are the testing grounds.
[01:37:50.549 --> 01:37:51.430]  We'll be right back.
[01:37:52.777 --> 01:37:54.338]  Now is the time to get prepared.
[01:37:54.338 --> 01:37:58.962]  Now is the time to get high quality storable food that's ready to be shipped to you within days.
[01:37:58.962 --> 01:38:05.808]  Infowarsstore.com has the highest quality storable food, recently processed and packaged, that I myself and my family use.
[01:38:05.808 --> 01:38:10.332]  And during the blackouts and freeze here in Texas, we were able to use food we bought from them years ago.
[01:38:10.752 --> 01:38:12.673]  Our supplier is My Patriot Supply.
[01:38:12.673 --> 01:38:18.755]  Buy it through MFULWORTHSTORE.COM or PREPAREWITHALEX.COM and get an additional 10% off because of the emergency.
[01:38:18.755 --> 01:38:27.737]  They weren't going to do sales for a long time, but because of the emergency they have now said they're doing 10% off exclusively at PREPAREWITHALEX.COM or MFULWORTHSTORE.COM.
[01:38:27.737 --> 01:38:29.698]  That's PREPAREWITHALEX.COM or
[01:38:30.038 --> 01:38:33.400]  In the early 1990s, there was a really funny movie that came out called Wayne's World.
[01:39:01.997 --> 01:39:08.563]  Even before I had an Axis TV show in the mid-1990s, I went and saw that movie and thought, man, that was fun!
[01:39:08.563 --> 01:39:13.587]  Practiced to speak out and have your own ideas, and even if you're a nerd, you're still entertaining because you're real.
[01:39:13.587 --> 01:39:15.389]  Well, what do they say in Wayne's world?
[01:39:17.465 --> 01:39:19.346]  We're not worthy!
[01:39:19.346 --> 01:39:23.329]  Every day when I cover these huge topics, I don't feel worthy to talk to you.
[01:39:23.329 --> 01:39:25.330]  Because these topics are so huge, they're so real.
[01:39:25.330 --> 01:39:26.711]  But I'm trying to tell you the truth.
[01:39:26.711 --> 01:39:28.752]  I'm trying to get it right, and most of the time we do.
[01:39:28.752 --> 01:39:30.414]  The globalists love lying to you.
[01:39:30.414 --> 01:39:31.754]  They love manipulating you.
[01:39:31.754 --> 01:39:34.456]  They enjoy destroying humanity.
[01:39:34.456 --> 01:39:39.079]  They enjoy manipulating ideas and using people's ignorance against them.
[01:39:39.079 --> 01:39:41.441]  That, for me, is really satanic.
[01:39:41.441 --> 01:39:42.481]  And disgusting.
[01:39:42.481 --> 01:39:44.843]  So you've got to pledge for myself and the whole Infowars crew
[01:39:46.443 --> 01:39:48.324]  We will never join the Globals.
[01:39:48.324 --> 01:39:50.365]  We will never knowingly manipulate you.
[01:39:50.365 --> 01:39:53.667]  Because we know we're all in this together.
[01:39:53.667 --> 01:39:58.129]  I've been thinking a lot lately about playing devil's advocate on air.
[01:39:58.129 --> 01:40:00.830]  About looking at the world from the perspective of the Globals.
[01:40:00.830 --> 01:40:08.634]  That if the public's so dumbed down, that they don't care that we're stealing their future from them, that we're poisoning them, that we're sterilizing them, then they deserve to be killed.
[01:40:10.009 --> 01:40:11.769]  Yes, that's the position of the globalists.
[01:40:11.769 --> 01:40:12.570]  They play God.
[01:40:12.570 --> 01:40:16.410]  And they think because we don't stand up, they have a right to do this to us.
[01:40:16.410 --> 01:40:21.851]  You know, I've told you that the globalists who tried to hire me, they tried to get me to join them.
[01:40:21.851 --> 01:40:25.912]  But metaphysically, at a spiritual level, I have the Holy Spirit.
[01:40:25.912 --> 01:40:27.693]  I have a connection to God.
[01:40:27.693 --> 01:40:31.193]  And I know that God does not like that, so I cannot join the enemy.
[01:40:31.193 --> 01:40:39.095]  But I'll tell you, at a selfish level, I get very, very mad at people that go along with the system, believing you're part of it, or believing you're getting power out of it.
[01:40:39.972 --> 01:40:45.854]  Whether you're just a steel worker, or a school teacher, or a Henry Kissinger, you're not God.
[01:40:45.854 --> 01:40:52.357]  And treating other people like they're animals and you're God is something that the real God of the universe doesn't like.
[01:40:52.357 --> 01:40:54.317]  And that's a fact.
[01:40:54.317 --> 01:40:56.718]  The Resistance, not video.
[01:40:56.718 --> 01:40:58.979]  The Resistance, not video.
[01:40:58.979 --> 01:41:01.360]  The Resistance, not video.
[01:41:01.360 --> 01:41:03.541]  The Resistance, not video.
[01:41:03.541 --> 01:41:05.701]  The Resistance, not video.
[01:41:05.701 --> 01:41:07.362]  The Resistance, not video.
[01:41:08.536 --> 01:41:17.543]  Infowars.com, Newswars.com, Ban.video, and hundreds of other URLs we've launched have been banned.
[01:41:17.543 --> 01:41:23.227]  That's why every month we launch a new URL before they ban it.
[01:41:23.227 --> 01:41:27.470]  But Soros and Bill Gates and the Globalists are on our tail.
[01:41:27.470 --> 01:41:28.851]  But the new website is...
[01:41:30.212 --> 01:41:32.113]  TheResistance.Video.
[01:41:32.113 --> 01:41:34.054]  TheResistance.Video.
[01:41:34.054 --> 01:41:38.516]  They're trying to block us because the truth is powerful and can defeat them.
[01:41:38.516 --> 01:41:49.102]  So the new URL that links right to Band.Video, and all of our videos, and all of our documentaries, and all the special reports, and all the suppressed information, is at TheResistance.Video.
[01:41:49.102 --> 01:41:50.022]  Share the link.
[01:41:50.022 --> 01:41:51.623]  TheResistance.Video.
[01:41:51.623 --> 01:41:52.744]  TheResistance.Video.
[01:41:57.339 --> 01:42:07.627]  You're listening to the Alex Jones Show.
[01:42:07.627 --> 01:42:15.534]  Welcome back to the Alex Jones Show.
[01:42:15.534 --> 01:42:17.095]  We have Ezra LeVant of Rebel Media.
[01:42:17.095 --> 01:42:17.756]  Check out their site.
[01:42:17.756 --> 01:42:19.237]  It's excellent, their shows.
[01:42:19.237 --> 01:42:20.238]  RebelNews.com.
[01:42:20.238 --> 01:42:21.799]  It's amongst the best research out there.
[01:42:22.458 --> 01:42:25.103]  It's not just Canada-centric, it's for the whole planet.
[01:42:25.103 --> 01:42:29.189]  But I tell you, Canada is a testing ground of globalism.
[01:42:29.189 --> 01:42:31.133]  Great people, but very, very sad.
[01:42:31.133 --> 01:42:31.754]  What's happened there?
[01:42:31.754 --> 01:42:33.637]  So let's finish up here, it's all interconnected.
[01:42:34.252 --> 01:42:40.377]  With this pastor that maximum security, solitary confinement, here in the U.S.
[01:42:40.377 --> 01:42:49.285]  in blue cities, they've released rapists, murderers, but they're also putting people that have broken quarantine in places in California or other areas, they're putting them in jail.
[01:42:49.285 --> 01:42:52.287]  But when the governors get caught having their own parties, well, that's okay.
[01:42:52.287 --> 01:42:55.070]  When a governor gets caught sending COVID patients into nursing homes, that's okay.
[01:42:55.070 --> 01:42:57.752]  I mean, the level of hypocrisy is just astounding.
[01:42:57.752 --> 01:43:02.476]  And then now Trudeau, I'm reading these tweets here, it sounds like something out of a science fiction
[01:43:03.470 --> 01:43:10.436]  Dystopic book they write 20 years ago about if your results come back negative, you'll be able to quarantine at home.
[01:43:10.436 --> 01:43:13.238]  This quarantine is mandatory and will be enforced.
[01:43:13.238 --> 01:43:19.784]  If your test results come back positive for COVID, you'll be required to immediately quarantine the designated government facility.
[01:43:19.784 --> 01:43:22.186]  As you said, pay $3,000 for it.
[01:43:22.186 --> 01:43:23.307]  This is martial law.
[01:43:23.307 --> 01:43:25.088]  This is insane.
[01:43:25.088 --> 01:43:25.969]  Where is it going now?
[01:43:27.259 --> 01:43:39.368]  Well, the trouble is, judges who should have the courage in my mind to say, whoa, our constitution, I mean, our Canadian constitution is not as strong as your American constitution.
[01:43:39.368 --> 01:43:44.792]  Yours is forged in liberty, a rebellion against the crown.
[01:43:44.792 --> 01:43:46.533]  Canada is more passive.
[01:43:46.533 --> 01:43:48.115]  We never left the crown.
[01:43:48.115 --> 01:43:50.917]  We had an evolution, not a revolution.
[01:43:50.917 --> 01:43:53.819]  But we still have basic freedoms in our constitution, Alex.
[01:43:54.339 --> 01:43:59.381]  So a judge could strike down these as unconstitutional.
[01:43:59.381 --> 01:44:04.663]  Our Constitution, like yours, does not contain a pandemic exemption.
[01:44:04.663 --> 01:44:10.485]  But the thing is, the lockdown itself has become a belief system, a superstition really.
[01:44:10.485 --> 01:44:13.786]  And the masks are the flag of that superstition.
[01:44:13.786 --> 01:44:15.926]  They're a sign that you're obedient to it.
[01:44:15.926 --> 01:44:20.548]  And no one is more part of the establishment in our society, Alex, than a judge.
[01:44:21.474 --> 01:44:32.485]  So if you go to a judge and say, hey, your honor, I want you to pull the rug out from this entire apparatus that's being built using the pandemic as an excuse.
[01:44:33.385 --> 01:44:38.348]  That judge feels enormous peer pressure from every other person he encounters in society.
[01:44:38.348 --> 01:44:40.069]  Judges are at the highest heights.
[01:44:40.069 --> 01:44:41.290]  They know politicians.
[01:44:41.290 --> 01:44:42.431]  They know fancy lawyers.
[01:44:42.431 --> 01:44:45.813]  They probably know public health doctors.
[01:44:45.813 --> 01:44:52.697]  So it is extremely hard for even a good judge who loves liberty to buck the peer pressure.
[01:44:52.697 --> 01:45:01.022]  I haven't seen it yet in Canada other than one judge in Quebec that lifted the curfew from homeless people.
[01:45:01.022 --> 01:45:03.023]  There actually is a curfew in Quebec
[01:45:03.483 --> 01:45:06.605]  That applied to everyone, like we're children, Alex.
[01:45:06.605 --> 01:45:10.508]  From 8pm to 5am, they were treating adults like children.
[01:45:10.508 --> 01:45:13.831]  If you were out past 8, you got massive fines.
[01:45:13.831 --> 01:45:16.473]  And the cops were giving fines to homeless people.
[01:45:16.473 --> 01:45:18.234]  They weren't giving them a home.
[01:45:18.234 --> 01:45:21.436]  The homeless shelters are either full or they're closed because of COVID.
[01:45:21.436 --> 01:45:26.400]  So all these cops were doing is giving people, the lowliest of the low, an extra ticket.
[01:45:26.400 --> 01:45:27.841]  That doesn't serve public health.
[01:45:29.942 --> 01:45:34.685]  A race centuries of the Magna Carta, the Bill of Rights, and to really butcher it all.
[01:45:34.685 --> 01:45:35.725]  Where is the pushback?
[01:45:35.725 --> 01:45:41.808]  Because some of the most brutal footage I've seen of them going to houses where there's one person more at a party so they beat people up.
[01:45:41.808 --> 01:45:45.790]  I mean the police in many areas are just very jackbooted, very authoritarian.
[01:45:46.661 --> 01:45:47.882]  Yeah, well can I show you a video?
[01:45:47.882 --> 01:45:50.724]  I sent a clip to Daria about half an hour ago.
[01:45:50.724 --> 01:45:52.065]  This is from Edmonton.
[01:45:52.065 --> 01:45:55.909]  That's the city where this pastor is in jail.
[01:45:55.909 --> 01:45:58.831]  So there was a peaceful protest.
[01:45:58.831 --> 01:46:00.612]  Yeah, this is exactly it.
[01:46:00.612 --> 01:46:05.576]  And all of a sudden they grabbed that man there, who's the brother of a pastor.
[01:46:05.576 --> 01:46:07.878]  And he literally wasn't doing anything.
[01:46:07.878 --> 01:46:10.460]  And they pushed aside all reporters.
[01:46:10.460 --> 01:46:11.762]  And they dragged him away.
[01:46:11.762 --> 01:46:14.584]  They had this huge SWAT team style bus.
[01:46:15.425 --> 01:46:17.286]  And it was the most bizarre thing.
[01:46:17.286 --> 01:46:19.507]  I can be quiet if you want to turn up the volume.
[01:46:19.507 --> 01:46:21.488]  Let's play the clip from the beginning.
[01:46:21.488 --> 01:46:25.550]  Here's the Rebel Media News piece.
[01:46:25.550 --> 01:46:26.370]  Don't touch me.
[01:46:26.370 --> 01:46:28.111]  Don't touch me.
[01:46:28.111 --> 01:46:28.871]  Don't touch me.
[01:46:28.871 --> 01:46:29.811]  Don't touch me.
[01:46:29.811 --> 01:46:30.452]  Don't touch me.
[01:46:46.288 --> 01:46:48.890]  Can you tell me what is your name and why are they arresting you?
[01:46:48.890 --> 01:46:51.832]  I haven't done anything.
[01:46:51.832 --> 01:46:54.174]  My hands are being broken right now.
[01:46:54.174 --> 01:46:56.736]  Because he's a Christian.
[01:46:56.736 --> 01:46:59.798]  What is your reason for arresting them?
[01:46:59.798 --> 01:47:01.519]  I didn't do anything.
[01:47:01.519 --> 01:47:02.800]  I didn't do anything.
[01:47:02.800 --> 01:47:06.123]  Please explain to me what law he broke.
[01:47:06.123 --> 01:47:07.264]  Can anyone explain to me?
[01:47:07.264 --> 01:47:08.544]  I'm here to keep the peace.
[01:47:08.544 --> 01:47:09.465]  I have no idea.
[01:47:09.465 --> 01:47:11.226]  You have no idea what he did?
[01:47:14.745 --> 01:47:18.548]  Folks, Nazis just followed orders, and this is definitely what we're seeing in Germany.
[01:47:18.548 --> 01:47:20.530]  They say the lockdown's never-ending.
[01:47:20.530 --> 01:47:22.972]  Ezra reminded me of this clip when he was last on.
[01:47:22.972 --> 01:47:33.641]  Let's not forget why their Prime Minister, Mr. Trudeau, is supporting all this, because he, quote, admires Communist China, that, again, has the number one record for most people killed.
[01:47:33.641 --> 01:47:33.901]  Here it is.
[01:47:34.517 --> 01:47:40.359]  That's all of admiration I actually have for China.
[01:47:40.359 --> 01:47:52.364]  Because their basic dictatorship is allowing them to actually turn their economy around on a dime and say, we need to go green as fast as we need to start investing in solar.
[01:47:52.364 --> 01:47:58.426]  I mean, there is a flexibility that I know Stephen Harper must dream about of having a dictatorship that he could do everything he wanted.
[01:47:58.426 --> 01:48:00.647]  That I find quite interesting.
[01:48:01.247 --> 01:48:02.528]  So he's not a Francophile.
[01:48:02.528 --> 01:48:03.609]  He doesn't like France.
[01:48:03.609 --> 01:48:04.710]  He's not an Anglophile.
[01:48:04.710 --> 01:48:05.470]  He doesn't like England.
[01:48:05.470 --> 01:48:06.351]  He's not an Amerophile.
[01:48:06.351 --> 01:48:08.313]  He doesn't like America.
[01:48:08.313 --> 01:48:10.334]  No, he's a Chinophile.
[01:48:10.334 --> 01:48:12.175]  I guess a Xi Jinpingophile.
[01:48:12.175 --> 01:48:13.156]  And this is outrageous.
[01:48:13.156 --> 01:48:14.377]  And last week, Ezra, we saw...
[01:48:16.295 --> 01:48:26.883]  Obama's frontman, I guess, O'Biden, O'Biden, say at the town hall on CNN, I'm sure you saw it, that, oh, invading Hong Kong's okay and putting people in death camps is okay.
[01:48:26.883 --> 01:48:30.045]  I mean, I feel like even Alex Jones, you'd think, would be not shocked.
[01:48:30.045 --> 01:48:32.407]  I'm even feeling like I'm in a twilight zone here.
[01:48:32.407 --> 01:48:32.867]  Yeah.
[01:48:32.867 --> 01:48:40.773]  Well, just yesterday, Canada's parliament had a motion, so it's not a binding law or anything, but it was a moral statement
[01:48:41.457 --> 01:48:49.082]  Saying that the way China is treating the Uyghur minority in that western province of Xinjiang, calling that a genocide.
[01:48:49.082 --> 01:48:52.785]  Now, that's a tough word, but I think there's some evidence behind it.
[01:48:52.785 --> 01:48:56.027]  Trudeau refused to vote one way or the other.
[01:48:56.027 --> 01:49:00.310]  In fact, he instructed his entire cabinet to abstain.
[01:49:00.310 --> 01:49:01.811]  Well, look, why don't you take a stand?
[01:49:01.811 --> 01:49:04.733]  Either you think it's a genocide or you don't.
[01:49:04.733 --> 01:49:08.896]  I should remind you, Alex, that Justin Trudeau has said that Canada
[01:49:09.276 --> 01:49:09.616]  We're good.
[01:49:26.954 --> 01:49:28.015]  Trudeau won't offend them.
[01:49:49.241 --> 01:50:02.033]  Not just he won't say no, I want to remind you that about 800 days ago, so we're coming up on almost three years frankly, China grabbed two Canadian civilians off the street.
[01:50:02.685 --> 01:50:06.106]  Basically a kidnapping and has been holding them ever since.
[01:50:06.106 --> 01:50:12.928]  Michael Spavor and Michael Kovrig, it was a diplomatic tough guy move against Canada.
[01:50:12.928 --> 01:50:21.230]  You would think Canada would withdraw our ambassador, would put sanctions on, you know, there's about a hundred thousand children of Communist Party members
[01:50:21.630 --> 01:50:23.311]  We're good to go.
[01:50:43.883 --> 01:50:54.848]  Just last week, Trudeau gave 4.8 million dollars to sponsor a research project by Huawei, the tech giant in China, at Canadian universities.
[01:50:54.848 --> 01:51:03.852]  So we're literally giving foreign aid from Canada to China to help develop their spy technology.
[01:51:03.852 --> 01:51:09.095]  I think you know that Canada was training Chinese soldiers in cold weather warfare
[01:51:10.089 --> 01:51:12.491]  That was a scoop I had in December.
[01:51:12.491 --> 01:51:15.814]  Redacted documents that were sent to me that were not fully redacted.
[01:51:15.814 --> 01:51:18.416]  And Trudeau tried to cover that up, too, didn't he?
[01:51:18.416 --> 01:51:18.837]  He did.
[01:51:18.837 --> 01:51:25.483]  In fact, he was outraged that the military wanted to stop training Chinese troops in Canada.
[01:51:25.483 --> 01:51:30.627]  The military said, this is not a good idea, and they postponed them, and Trudeau blew up at them.
[01:51:30.627 --> 01:51:35.392]  Yeah, because bigger than just the training is they're infiltrating with spies.
[01:51:35.392 --> 01:51:36.252]  Oh, absolutely.
[01:51:37.916 --> 01:51:44.065]  I think that Justin Trudeau carries on his father Pierre Trudeau's love for communist China.
[01:51:44.065 --> 01:51:50.895]  Pierre Trudeau had a soft spot for dictators, whether it was Fidel Castro, the Soviet Union, or communist China.
[01:51:50.895 --> 01:51:53.239]  He never met a communist tyrant he didn't love.
[01:51:53.759 --> 01:52:06.125]  And Justin Trudeau is not the sharpest knife in the drawer, but growing up at the knee of his father, he surely overheard so much pro-communist talk that he sort of has a child's recollection of what his dad would say.
[01:52:06.125 --> 01:52:15.669]  So when Justin Trudeau praises communist regimes today, he sounds childish because he's just remembering what his dad said when he himself was a kid, but the feeling is there.
[01:52:15.669 --> 01:52:17.049]  He may not be a monogamous dad.
[01:52:19.391 --> 01:52:19.831]  Wow.
[01:52:19.831 --> 01:52:20.852]  We're going to be 30 more minutes.
[01:52:20.852 --> 01:52:22.374]  I want to talk about where this goes.
[01:52:22.374 --> 01:52:25.898]  If Canada is the model, what are we facing here?
[01:52:25.898 --> 01:52:27.499]  Where's the pushback?
[01:52:27.499 --> 01:52:31.584]  And we'll also talk about post-Trump, what he thinks of O'Biden.
[01:52:31.584 --> 01:52:33.786]  And it really is O'Biden and so much more.
[01:52:33.786 --> 01:52:36.169]  Ezra Levant, you've got to visit their website.
[01:52:36.169 --> 01:52:37.030]  It's excellent.
[01:52:37.030 --> 01:52:37.870]  RebelNews.com.
[01:52:37.870 --> 01:52:39.532]  I mean, it's some of the best reporting out there.
[01:52:39.532 --> 01:52:40.894]  We'll be right back with our number three.
[01:52:42.834 --> 01:52:50.981]  Agenda 21 and Agenda 2030 are all about making you dependent and cutting you off from energy, food, and medicine.
[01:52:50.981 --> 01:52:59.649]  And with the blackouts we've seen that are guaranteed to be engineered to bring in federal and globalist control, we have seen massive lines of people
[01:53:00.698 --> 01:53:08.646]  Lined up at a few grocery stores and restaurants that were open and most of them getting turned away after hours of freezing in the cold.
[01:53:08.646 --> 01:53:14.471]  We've seen millions of people sleeping in their cars because they don't have any power in their house and then running out of gas.
[01:53:14.471 --> 01:53:16.413]  Ladies and gentlemen, energy is king.
[01:53:16.853 --> 01:53:20.234]  And food is the energy our bodies run off of, and water as well.
[01:53:20.234 --> 01:53:27.556]  They're both available, the highest quality water filtration and the highest quality storable foods right now, massively discounted, because of this emergency.
[01:53:27.556 --> 01:53:30.937]  For everybody nationwide, at InfoWareStore.com.
[01:53:30.937 --> 01:53:37.899]  $50 off on our best stainless steel gravity-fed filter, and 10% off all storable food in all packages at InfoWareStore.com.
[01:53:37.899 --> 01:53:40.860]  That's InfoWareStore.com or PrepareWithAlex.com.
[01:53:40.860 --> 01:53:42.240]  Big discounts for only a few more days.
[01:53:44.372 --> 01:53:52.599]  As negative as times are right now, and as depressing as things can be, you have to understand that this is all a test.
[01:53:52.599 --> 01:53:58.624]  This experience, this life on this planet, is a reckoning.
[01:53:58.624 --> 01:54:07.471]  It's God giving us a chance to work things out in the third dimension, so we can decide where we want to spend eternity, and what level we want to go to.
[01:54:07.471 --> 01:54:08.752]  And it really does come down to that.
[01:54:09.953 --> 01:54:17.358]  As sad as things are, and as evil as things are, look at all the good in the world as well, and realize that God is the author of our consciousness.
[01:54:17.358 --> 01:54:20.980]  God is the author of us having our own will.
[01:54:20.980 --> 01:54:23.922]  God is the author of us having free will.
[01:54:23.922 --> 01:54:26.564]  And that free will is a beautiful thing.
[01:54:26.564 --> 01:54:36.631]  And when you look at mainstream media, and Hollywood, and this whole evil culture, and Washington D.C., and Fauci, and the mass cult, it's all about dominating your free will.
[01:54:36.631 --> 01:54:38.932]  It's all about telling you you're dirty, and you're ugly, and you're bad.
[01:54:46.810 --> 01:54:58.114]  You're listening to the Alex Jones Show.
[01:54:58.114 --> 01:55:02.855]  There's a man going around taking names.
[01:55:02.855 --> 01:55:08.477]  And he decides who to free and who to blame.
[01:55:08.477 --> 01:55:13.139]  Everybody won't be treated all the same.
[01:55:13.139 --> 01:55:16.040]  There'll be a golden ladder reaching down.
[01:55:17.012 --> 01:55:19.434]  This is a short segment, a long segment coming up here.
[01:55:19.434 --> 01:55:25.117]  Ezra Levant of Rebel Media, the head of it, the founder of it, is here.
[01:55:25.117 --> 01:55:30.361]  And we're seeing on a scale of 1 to 10, 6, 7, 8s of tyranny.
[01:55:30.361 --> 01:55:38.086]  And it's a worldwide UN-directed program by private corporations that engage in fascist activity at the top, that use communism at the bottom.
[01:55:38.086 --> 01:55:39.727]  What would you call this moment in time?
[01:55:41.488 --> 01:55:51.056]  I was having a conversation this morning with a very famous national talk show host, I guess second only to Rush Limbaugh that just died, and it's like, yeah, when are you, Alex, ready to run to Venezuela?
[01:55:51.056 --> 01:55:54.598]  I thought Venezuela, Argentina or Chile or something.
[01:55:54.598 --> 01:55:56.560]  How about out of the fire, into the frying pan?
[01:55:57.848 --> 01:56:00.311]  I'm not going to do that, but there is that thing historically.
[01:56:00.311 --> 01:56:03.274]  Why do people stay in countries as they got worse and worse?
[01:56:03.274 --> 01:56:05.296]  Well, it's your home and you want to fight for it.
[01:56:05.296 --> 01:56:12.503]  But at the level of acceleration, if it keeps accelerating this fast, Ezra, I mean, Canada, Australia, Spain, the U.S.
[01:56:12.503 --> 01:56:16.707]  to a great extent under Obama, even Naomi Wolf, the big liberal, said she shouldn't have voted for Biden.
[01:56:16.707 --> 01:56:18.289]  He's a fascist dictator.
[01:56:18.289 --> 01:56:19.791]  I mean, that's really what's happening.
[01:56:19.791 --> 01:56:20.952]  So where does this go from here?
[01:56:22.222 --> 01:56:28.743]  Well, the phrase I like to use is, it's easier to fight in the first ditch than the last ditch.
[01:56:28.743 --> 01:56:31.524]  And I think we are well past the first ditch.
[01:56:31.524 --> 01:56:32.804]  It's time to fight.
[01:56:32.804 --> 01:56:37.165]  And by fight, I mean using every legal and peaceful means we can.
[01:56:37.165 --> 01:56:40.186]  So, with lawyers is one way.
[01:56:40.186 --> 01:56:44.367]  I think civil disobedience, what this pastor is doing, is quite something.
[01:56:44.367 --> 01:56:47.167]  I should tell you that he's been in jail for seven days now.
[01:56:47.167 --> 01:56:50.448]  Well, three days ago, on the Sunday,
[01:56:51.796 --> 01:56:53.879]  His church was packed.
[01:56:53.879 --> 01:56:55.421]  It was completely full.
[01:56:55.421 --> 01:56:59.386]  They had to open a spillout room for people to watch on video.
[01:56:59.386 --> 01:57:00.627]  That got full.
[01:57:00.627 --> 01:57:05.413]  People parked in the parking lot to listen to the live stream.
[01:57:05.413 --> 01:57:10.079]  There were seven police vehicles that showed up, but they didn't dare move in.
[01:57:11.104 --> 01:57:12.745]  Why is that?
[01:57:12.745 --> 01:57:15.546]  Because we're not yet at the last ditch, Alex.
[01:57:15.546 --> 01:57:22.649]  And so when 350 people show up at a little church where the pastor is still in prison and they say, you know what?
[01:57:22.649 --> 01:57:24.309]  You can't arrest all of us.
[01:57:24.309 --> 01:57:26.490]  Now they can arrest all of them, Alex.
[01:57:26.490 --> 01:57:27.070]  They can.
[01:57:27.070 --> 01:57:28.831]  We've seen that in history.
[01:57:28.831 --> 01:57:30.452]  But not at the first ditch.
[01:57:30.452 --> 01:57:36.394]  So those 350 Christians decided that now is the time to fight.
[01:57:36.394 --> 01:57:39.055]  Not a year from now or two years from now.
[01:57:39.055 --> 01:57:40.396]  And the government blinked.
[01:57:41.115 --> 01:57:42.838]  They did not make any arrests.
[01:57:42.838 --> 01:57:46.203]  Now, they might later on go to someone's home and give them a ticket.
[01:57:46.203 --> 01:57:47.405]  Sure, but it shows they're bullies.
[01:57:47.405 --> 01:57:49.228]  They just want to get the leaders and punish them.
[01:57:49.228 --> 01:57:50.651]  I think that's going to backfire.
[01:57:52.129 --> 01:57:54.310]  Yeah, and now this is spreading.
[01:57:54.310 --> 01:57:57.651]  The church rebellion, as we're calling it, is spreading.
[01:57:57.651 --> 01:58:04.953]  There was a church, and I'll send you the link of this in our next commercial break, because we're going to it soon.
[01:58:04.953 --> 01:58:10.895]  There's a church in the other Alberta city of Calgary that was inspired by this church, so they opened.
[01:58:10.895 --> 01:58:11.895]  Well, guess what?
[01:58:11.895 --> 01:58:15.916]  The bylaw officers came by, but we had our cameras there.
[01:58:15.916 --> 01:58:18.537]  We started asking the bylaw officers questions,
[01:58:19.077 --> 01:58:20.497]  They ran away!
[01:58:20.497 --> 01:58:21.818]  They ran away!
[01:58:21.818 --> 01:58:26.459]  So the surveillance spies don't like being spied on.
[01:58:26.459 --> 01:58:30.640]  And I think it comes to citizen journalists and crowdfunded lawyers.
[01:58:30.640 --> 01:58:32.140]  And now is the time to fight.
[01:58:32.140 --> 01:58:33.741]  Not when it's too late.
[01:58:33.741 --> 01:58:35.841]  Now is the time.
[01:58:35.841 --> 01:58:41.743]  And I tell you what Alfie Oaks is doing down in Naples, Florida with his grocery store group.
[01:58:42.364 --> 01:58:52.334]  What you're doing, what these churches are doing, what the Orthodox and Hasidic Jews are doing in New York and Israel, saying, we're going to have our churches and we're not going to wear masks and we're not going to take your shots.
[01:58:52.334 --> 01:58:56.338]  And the persecution I've seen in Israel really has been frightening.
[01:58:56.338 --> 01:58:59.060]  But it's a global phenomenon.
[01:58:59.060 --> 01:59:00.702]  I want to ask you, can we come back for 60 seconds?
