[00:00:04.091 --> 00:00:15.416]  I'm watching the midterms.
[01:51:50.765 --> 01:51:54.266]  So I like to listen to binaural beats or spiritual music.
[01:51:55.166 --> 01:51:57.128]  And I cry a lot now.
[01:51:57.128 --> 01:52:01.872]  I just let things out now because I used to think that, you know, real men don't cry.
[01:52:01.872 --> 01:52:02.712]  Real men fight back.
[01:52:02.712 --> 01:52:06.275]  And then I realized, why would I run for myself, though?
[01:52:06.275 --> 01:52:11.119]  How is it to be a real man to run from the trauma within yourself?
[01:52:11.119 --> 01:52:12.160]  And I also think it's a balance.
[01:52:12.160 --> 01:52:17.725]  I mean, we're designed like a plant in zero gravity doesn't grow as well as a plant that's out in the sun and the wind and the rain.
[01:52:17.725 --> 01:52:19.146]  Part of that's what makes us stronger.
[01:52:19.146 --> 01:52:19.987]  But we don't want
[01:52:20.507 --> 01:52:20.948]  We're good.
[01:52:37.350 --> 01:52:48.597]  And then I got very tough and got into that identity of just being an absolute, like, you know, psycho in a fight, and then that became kind of like almost a satanic aspect of me, and then I've learned how to just get rid of that and turn loose of it.
[01:52:48.597 --> 01:52:52.979]  I still can fight if I need to, but I'm not the raging animal anymore.
[01:52:52.979 --> 01:52:57.342]  That's just one small aspect of me that I've got that I can break the glass if I need it, but now it's under control.
[01:52:57.682 --> 01:53:09.667]  Well, I'm glad that you said that you can still fight if you need to, because it sounds like God's talking to a lot of people, because that was told to me during a vision where I said, I don't want to be this way.
[01:53:09.667 --> 01:53:15.909]  You know, I don't want to be kind and loving, right, towards the world, because in my mind, if you attack me, that's a speed.
[01:53:15.909 --> 01:53:18.910]  And the message was, you can always be that way.
[01:53:18.910 --> 01:53:19.850]  Just try love.
[01:53:19.850 --> 01:53:21.331]  Try to be more loving to people.
[01:53:21.331 --> 01:53:23.332]  Try to be a little bit more decent to people.
[01:53:23.332 --> 01:53:26.173]  Try to understand that, hey, man, they have unresolved trauma.
[01:53:26.773 --> 01:53:28.055]  They were abused as children.
[01:53:28.055 --> 01:53:29.016]  That's what they're running from.
[01:53:29.016 --> 01:53:31.919]  That's why they're attacking you because they see you as a father figure.
[01:53:31.919 --> 01:53:33.721]  They see you as the people that hurt them.
[01:53:33.721 --> 01:53:40.689]  And then you realize that our burden or our cross the bear, metaphorically speaking, is that they're hurting.
[01:53:40.689 --> 01:53:42.250]  They don't want to admit that they're hurting.
[01:53:42.250 --> 01:53:44.012]  So then they want to hurt other people.
[01:53:44.012 --> 01:53:47.897]  And then what we do is we think, well now you hurt me and I'm going to continue this cycle of trauma.
[01:53:48.337 --> 01:54:05.915]  Which is, you have trauma, you attack me, and then I attack you, and now we're engaged in a never-ending conflict of trauma, instead of going within and realizing, I want to attack the wicked ones, I want to attack the entities that try to embody people and often do become embodied in people.
[01:54:05.915 --> 01:54:08.577]  You're feeding into demonic energy when you do that.
[01:54:08.577 --> 01:54:11.961]  But then the flip side is, we do live in a world and you can't just let people
[01:54:12.481 --> 01:54:13.321]  Destroy your run over.
[01:54:13.321 --> 01:54:16.723]  So you gotta do it from a controlled position where you don't get roped into their level.
[01:54:16.723 --> 01:54:26.747]  You still stand up for yourself, you fight the evil, but you realize that jumping right in to people trying to punch your buttons is literally letting them control you.
[01:54:26.747 --> 01:54:27.587]  Yeah, then they win!
[01:54:28.007 --> 01:54:35.637]  Because they're able now to, it's almost like a bullfight, they're able to get you to play by their rules and play by your game.
[01:54:35.637 --> 01:54:42.205]  So more and more when people try to initiate conflict with me, I say I'm praying for you, I love you, and often they get more angry.
[01:54:42.205 --> 01:54:43.426]  And then I realize that
[01:54:44.437 --> 01:54:52.143]  This is sad, the sad realization that I had was if you attack me and I attack you back, you feel validated and good.
[01:54:52.143 --> 01:54:56.466]  If you attack me and I say, man, I love you, I'm gonna pray for you, you actually get angrier.
[01:54:56.466 --> 01:55:08.476]  Because that demon within you, the entities, the demons, whatever people want to call them, the dark energy then becomes enraged because they're working through you and now they're being received love and of course they exist in the world of hate.
[01:55:09.096 --> 01:55:10.117]  They get angrier.
[01:55:10.117 --> 01:55:11.838]  So more and more and more, I just think, I love you.
[01:55:11.838 --> 01:55:13.019]  It doesn't mean you're gonna steamroll me.
[01:55:13.019 --> 01:55:17.063]  It doesn't mean that you're gonna... You transcend that negative energy level.
[01:55:17.063 --> 01:55:17.243]  Right.
[01:55:18.604 --> 01:55:20.886]  At least until we can get to a higher level.
[01:55:20.886 --> 01:55:22.627]  I don't want to be Job, obviously.
[01:55:22.627 --> 01:55:26.870]  So when I pray, I'm careful because I'm grateful for the suffering God has given me.
[01:55:26.870 --> 01:55:29.031]  I don't want to be given a Jobian quest.
[01:55:29.031 --> 01:55:30.932]  We're kind of getting on one now.
[01:55:30.932 --> 01:55:38.858]  And that's why I struggle in my own prayer practice is I thank God for the struggles, but I say, whoa, but I'm not trying to be Job here, God.
[01:55:38.858 --> 01:55:43.921]  I still want to have a nice life and enjoy some of this earthly experience.
[01:55:43.921 --> 01:55:47.464]  But Jobian, of course, would be the ultimate transcendence of the human condition.
[01:55:48.264 --> 01:55:51.265]  And becoming completely connected to the divine.
[01:55:51.265 --> 01:55:52.825]  And I'm not there yet.
[01:55:52.825 --> 01:55:54.865]  It's up to God whether that's going to happen to us.
[01:55:54.865 --> 01:55:55.925]  Hopefully, hopefully not.
[01:55:55.925 --> 01:56:02.427]  It might happen to everybody around now because of what the new guard, the new Red Guard is trying to do here in this country.
[01:56:02.427 --> 01:56:03.787]  We'll talk about that next hour.
[01:56:03.787 --> 01:56:10.888]  But definitely, they even talk about it, the magicians, the wizards that run the dark side.
[01:56:10.888 --> 01:56:12.728]  They know their time's coming to an end.
[01:56:12.728 --> 01:56:16.449]  And that's what all this oppression is about, to keep us in a lower state they can control.
[01:56:17.549 --> 01:56:21.271]  That's why they're going harder and harder on anything Christian.
[01:56:21.271 --> 01:56:25.074]  That's why they're going harder and harder on anyone who has traditional values.
[01:56:25.074 --> 01:56:29.036]  That's why they're making a saint of a literal convicted pedophile.
[01:56:29.036 --> 01:56:40.864]  It used to be that it was a conspiracy theory to say that most of these Antifa people were pedophiles, and then there's an actual convicted pedophile who gets shot trying to harm a minor, and now he's their new saint.
[01:56:40.864 --> 01:56:42.205]  So the left is propped up!
[01:56:42.765 --> 01:56:46.648]  From the Kenosha event, they're trying to prop up a pedophile as a saint.
[01:56:46.648 --> 01:56:51.811]  That's something that five years ago, they would have said, well, you're a conspiracy theorist for saying that.
[01:56:51.811 --> 01:56:54.313]  And now I think, well, they're holding signs out there with this picture.
[01:56:54.313 --> 01:56:58.155]  They're calling him a superhero, convicted pedophile, hurt children 9 to 11.
[01:56:58.155 --> 01:56:58.976]  And it wasn't just.
[01:56:59.896 --> 01:57:00.958]  That was horrific.
[01:57:00.958 --> 01:57:01.779]  We'll just leave it there.
[01:57:01.779 --> 01:57:03.701]  We don't need to go into details.
[01:57:03.701 --> 01:57:05.544]  That's what they're doing to prop up.
[01:57:05.544 --> 01:57:08.708]  But that shows their desperation.
[01:57:08.708 --> 01:57:11.231]  Because they have to go to that level now.
[01:57:11.231 --> 01:57:13.274]  They have to sink to that level of evil.
[01:57:13.274 --> 01:57:14.596]  Because so much good is arising.
[01:57:14.596 --> 01:57:16.779]  And our biggest problem, honestly, are the false prophets.
[01:57:17.319 --> 01:57:19.700]  The people who claim to come in God's name and clearly aren't.
[01:57:19.700 --> 01:57:21.181]  They're misleading people.
[01:57:21.181 --> 01:57:22.802]  They're connected with the father of lies.
[01:57:22.802 --> 01:57:25.404]  The, you know, conservative media people.
[01:57:25.404 --> 01:57:30.767]  That is a bigger problem even than the left because they're misleading and deceiving Christians.
[01:57:30.767 --> 01:57:31.767]  Well, I know this.
[01:57:31.767 --> 01:57:32.228]  The U.S.
[01:57:32.228 --> 01:57:37.310]  Senators know that Pfizer did a world contract and that we signed on to a world government contract.
[01:57:37.310 --> 01:57:38.831]  They're not talking about it.
[01:57:38.831 --> 01:57:43.134]  And that's the big... So I want to bring some of that up with you as well because that's happening.
[01:57:43.134 --> 01:57:44.835]  The Archbishop, though, he is talking about it all.
[01:57:45.876 --> 01:57:46.537]  The Archbishop?
[01:58:04.013 --> 01:58:06.274]  Again, so many toxins in them.
[01:58:06.274 --> 01:58:18.399]  All of the nootropic products that we sell at mfoilworkstore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[01:58:18.399 --> 01:58:21.380]  And right now, our strongest product, the three nootropics we have,
[01:58:22.389 --> 01:58:31.056]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at MFootworkstore.com.
[01:58:31.056 --> 01:58:34.518]  TurboForce has been sold out for more than six months.
[01:58:34.518 --> 01:58:37.380]  It's back in stock with free shipping, 40% off.
[01:58:37.380 --> 01:58:41.604]  It is 10 hours of clean energy.
[01:58:42.364 --> 01:58:47.728]  Clean energy without the big crash, and it's available right now and it funds the InfoWAR 360 win.
[01:58:47.728 --> 01:58:51.371]  InfoWAR's life is bringing you a breakthrough in modern medicine.
[01:58:51.371 --> 01:58:53.173]  Introducing Pollen Block.
[01:58:53.173 --> 01:59:04.601]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[01:59:05.382 --> 01:59:14.711]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[01:59:14.711 --> 01:59:25.402]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[01:59:25.922 --> 01:59:28.583]  Pollen block is natural and effective.
[01:59:28.583 --> 01:59:30.323]  It is not an antihistamine.
[01:59:30.323 --> 01:59:40.026]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[01:59:40.026 --> 01:59:42.727]  Go outside and enjoy the air you breathe.
[01:59:42.727 --> 01:59:49.549]  Head to Infowarslife.com and grab a pack of our Pollen Block Chewable Tablets.
[01:59:49.549 --> 01:59:55.451]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:00:11.641 --> 02:00:16.246]  Well, they definitely want us to be blind, spiritually.
[02:00:16.246 --> 02:00:17.988]  Mike Cernovich is with us for the rest of the hour.
[02:00:17.988 --> 02:00:21.452]  Hell, if Tim Pool gets in here... I mean, he says he's coming on, but he's always busy.
[02:00:21.452 --> 02:00:22.172]  That guy works hard.
[02:00:22.172 --> 02:00:24.215]  We'll have a roundtable discussion.
[02:00:24.215 --> 02:00:29.560]  And you guys had a great roundtable discussion, I guess it was last night, out in his travel trailer.
[02:00:29.560 --> 02:00:31.342]  I really like how he set that RV up.
[02:00:31.342 --> 02:00:31.523]  Yeah.
[02:00:32.250 --> 02:00:34.093]  Tim's the hardest working man in media.
[02:00:34.093 --> 02:00:47.010]  I used to be the hardest man and then I saw how Tim Poole worked because you can you can and the media thing there's like levels to this where some people I was actually making a chart that I was thinking about where you have raw charisma and
[02:00:47.510 --> 02:00:54.373]  You would be at the very absolute top of the raw charisma to the degree that a lot of people think, oh, I could have been a actor.
[02:00:54.373 --> 02:00:55.233]  You could have done anything.
[02:00:55.233 --> 02:00:57.234]  So you're the highest level of charisma.
[02:00:57.234 --> 02:00:59.294]  And then you're in the grid of like hardworking.
[02:00:59.294 --> 02:01:03.656]  And then you have people who work really hard and maybe have lower charisma and it's always finding a balance.
[02:01:04.551 --> 02:01:07.212]  Well, I think you're super smart, and I think Tim's super smart.
[02:01:07.212 --> 02:01:13.253]  I mean, getting to know Tim, the stuff he says behind the scenes, it's like, wow, he really says things that are true that I'd never thought before.
[02:01:13.253 --> 02:01:13.673]  You know what I mean?
[02:01:13.673 --> 02:01:14.754]  Like, he's insightful.
[02:01:14.754 --> 02:01:19.595]  Yeah, he's very analytical, and he works very hard, whereas I don't work nearly as hard as either of you.
[02:01:19.595 --> 02:01:21.876]  So there's definitely levels.
[02:01:21.876 --> 02:01:26.837]  And that was something to talk about, is the strange thing is I quit working so hard.
[02:01:26.837 --> 02:01:27.437]  I was grinding.
[02:01:27.437 --> 02:01:29.978]  You remember those days when I was on all the time.
[02:01:29.978 --> 02:01:30.778]  You were 20 hours a day.
[02:01:31.098 --> 02:01:40.327]  Yeah and then I was with you and we were in a diner in Austin and when we walked in, this is 2017 maybe, you're more famous now, the whole restaurant like stopped.
[02:01:40.327 --> 02:01:44.752]  It was a buzzing where people were, I could feel the energy and then I started, oh is that him?
[02:01:44.752 --> 02:01:45.532]  Is that him?
[02:01:45.532 --> 02:01:45.913]  Is that him?
[02:01:45.913 --> 02:01:46.914]  Is that him?
[02:01:46.914 --> 02:01:51.118]  And then the waitress said, oh my husband's a cook, he wants to come meet you.
[02:01:51.118 --> 02:01:52.680]  Everybody knew who you were and I thought, you know what?
[02:01:53.877 --> 02:01:55.238]  I don't want that level of fame.
[02:01:55.238 --> 02:01:56.839]  I remember you said that pretty much that day.
[02:01:56.839 --> 02:01:57.219]  Yeah.
[02:01:57.219 --> 02:01:59.300]  I said, and I never did your show after that.
[02:01:59.300 --> 02:02:02.762]  And then it created all this drama on the internet where people say, Oh, you betrayed Alex.
[02:02:02.762 --> 02:02:05.444]  You backstabbed Alex.
[02:02:05.444 --> 02:02:07.225]  I told you people a hundred times.
[02:02:07.225 --> 02:02:08.185]  I don't want to be famous.
[02:02:08.185 --> 02:02:10.827]  It's like, they don't believe me, but I told you that.
[02:02:10.827 --> 02:02:12.728]  Well, you also, I remember you were frustrated by Trump.
[02:02:12.728 --> 02:02:16.370]  You didn't want to attack him, but he was, I mean, I'll just say it.
[02:02:16.370 --> 02:02:17.271]  I would get more supportive.
[02:02:17.271 --> 02:02:19.492]  I just blindly saw him, but I'm getting really sick of him.
[02:02:19.972 --> 02:02:21.193]  Yeah, I mean, I can't.
[02:02:21.193 --> 02:02:22.214]  I want to go bullhorn his house.
[02:02:22.214 --> 02:02:24.636]  I don't want to go under the tunnel and meet with him and eat dinner with him.
[02:02:24.636 --> 02:02:26.097]  I could have done that.
[02:02:26.097 --> 02:02:28.359]  I want him to stop it and be who he can really be.
[02:02:28.359 --> 02:02:31.381]  That's why I got mad at Joe Rogan a few years ago, because he could really change the world.
[02:02:31.381 --> 02:02:32.402]  And he's starting to go in that direction.
[02:02:32.402 --> 02:02:34.924]  It's not my job to make people be good guys.
[02:02:34.924 --> 02:02:38.688]  It's just that Trump really screwed the pooch with some of the things he's done.
[02:02:38.688 --> 02:02:40.089]  We'll talk about it next segment, but keep going.
[02:02:40.089 --> 02:02:40.249]  Sorry.
[02:02:40.649 --> 02:02:44.151]  Yeah, the notoriety and the fame that you had.
[02:02:44.151 --> 02:02:45.271]  I just cut.
[02:02:45.271 --> 02:02:46.652]  I pretty much went dark.
[02:02:46.652 --> 02:02:50.373]  And not dark as in evil, dark as in I quit doing a lot of streamings.
[02:02:50.373 --> 02:02:51.874]  I cut back a lot.
[02:02:51.874 --> 02:02:56.916]  And then people had all these conspiracy theories, ironically enough, about you and me, and we had some huge falling out.
[02:02:56.916 --> 02:03:01.578]  Where really, I just remember that moment at the Austin Diner, I said, Alex, I don't ever want to be like this.
[02:03:01.578 --> 02:03:02.958]  And you said, oh, you've got to accept it.
[02:03:02.958 --> 02:03:03.819]  It's the burden.
[02:03:03.819 --> 02:03:09.101]  It's the price of being a truth teller and a storyteller and sharing true information with people.
[02:03:10.109 --> 02:03:10.950]  I didn't want it.
[02:03:10.950 --> 02:03:16.074]  So I went to a much lower profile to the degree that I don't even know if I'm relevant.
[02:03:16.074 --> 02:03:16.935]  Apparently I still am.
[02:03:16.935 --> 02:03:18.477]  People recognize me in public all the time.
[02:03:18.477 --> 02:03:27.685]  But I tried to go way down to a much lower level of notoriety because that's where I do better creativity.
[02:03:27.685 --> 02:03:30.808]  Creativity wise is where I do better spirituality wise.
[02:03:30.808 --> 02:03:32.349]  But it was something to just see.
[02:03:32.349 --> 02:03:35.892]  And again, you're you're way bigger now than you were then to be in that moment.
[02:03:36.809 --> 02:03:41.716]  And I felt like that was even a message from God to say, do you want this?
[02:03:41.716 --> 02:03:43.899]  And I said, no, I definitely don't want this.
[02:03:43.899 --> 02:03:46.662]  But then you went on to make a bunch of number one films, so it's not like you've been hiding under a rock.
[02:03:46.662 --> 02:03:49.827]  Well, because I had obligation, yeah, I had obligation to the people.
[02:03:49.827 --> 02:03:52.190]  Because you were starting Hoax then, right around that time, yeah.
[02:03:52.210 --> 02:03:53.130]  Yeah, I was starting Hoax.
[02:03:53.130 --> 02:03:55.231]  I had an obligation to the people who crowdfunded it.
[02:03:55.231 --> 02:03:59.934]  I had an obligation to the directors who have all moved on to bigger and better things now.
[02:03:59.934 --> 02:04:02.855]  I had an obligation, morally, to get it out there.
[02:04:02.855 --> 02:04:07.397]  And then once that was done, I haven't done anything big since Hoax, right?
[02:04:07.397 --> 02:04:08.337]  I'm still around.
[02:04:08.337 --> 02:04:08.778]  I still ship.
[02:04:08.778 --> 02:04:10.338]  Well, I'm glad I finally got you to come to town.
[02:04:10.338 --> 02:04:11.159]  I've only asked you about 400 times.
[02:04:12.159 --> 02:04:18.110]  Yeah, and I kept saying I was going to, and then I had to retreat a little bit into the world.
[02:04:18.110 --> 02:04:19.171]  It's complicated for people.
[02:04:19.171 --> 02:04:20.113]  We're going to go to break for 60 seconds.
[02:04:20.113 --> 02:04:22.637]  When we come back, though, why are you re-emerging?
[02:04:22.637 --> 02:04:22.838]  Okay.
[02:04:23.945 --> 02:04:26.406]  And people can find what you're doing at Cernovich.com.
[02:04:26.406 --> 02:04:27.287]  Where else?
[02:04:27.287 --> 02:04:28.567]  Um, Hoax Movie.
[02:04:28.567 --> 02:04:30.388]  Just watch Hoax Movie and tell people.
[02:04:30.388 --> 02:04:33.269]  Yeah, you know, I mean, again, it's kind of rude to say I didn't watch it.
[02:04:33.269 --> 02:04:36.331]  It's just things I'm in, I look like such a fat Albert creature.
[02:04:36.331 --> 02:04:39.072]  I don't even watch, but I'm going to watch it, and I'm going to watch Alex's War.
[02:04:39.072 --> 02:04:43.274]  In fact, she just sent me the latest update on it the other day, and my friends have watched it.
[02:04:43.274 --> 02:04:44.234]  It's pretty powerful.
[02:04:44.234 --> 02:04:45.115]  I appreciate the plug for that.
[02:04:45.115 --> 02:04:51.418]  Because, you know, they've got, they've got three different HBO and two other cable channels.
[02:04:52.788 --> 02:04:57.109]  One of them's Netflix are all doing big budget anti-Alex Jones movies.
[02:04:57.109 --> 02:04:59.690]  There are so many info wars.
[02:04:59.690 --> 02:05:01.011]  Get prepared.
[02:05:01.011 --> 02:05:06.212]  Mega blowout sale 2021 is live right now.
[02:05:06.212 --> 02:05:08.233]  The biggest sale of the year.
[02:05:08.233 --> 02:05:09.873]  Free shipping storewide.
[02:05:09.873 --> 02:05:15.755]  Double Patriot points and products like Turbo Force 10 hour clean energy.
[02:05:15.755 --> 02:05:17.636]  A listener favorite.
[02:05:17.636 --> 02:05:20.337]  Back in stock 40% off again with free shipping.
[02:05:20.337 --> 02:05:21.217]  Double Patriot points.
[02:05:21.977 --> 02:05:29.239]  On top of that, we also have DNA Force Plus with the PQQ, the Coke U10 to clean out your cells, to boost your immune system.
[02:05:29.239 --> 02:05:30.960]  It's the Rolls Royce of this.
[02:05:30.960 --> 02:05:32.640]  It's 40% off.
[02:05:32.640 --> 02:05:37.002]  And now we have Super Coral Calcium Toothpaste.
[02:05:37.962 --> 02:05:47.453]  Similar to our previous Coral Bite & Toothpaste, but even stronger, even more concentrated, it's now back in stock and discounted with free shipping at InfoWarStore.com.
[02:05:47.453 --> 02:05:55.802]  So many great products available at InfoWarStore.com, so please take advantage of these great products that enrich your life and fund the InfoWar.
[02:05:55.802 --> 02:05:56.844]  InfoWarStore.com.
[02:06:03.826 --> 02:06:08.801]  From the front lines of the Information War, it's Alex Jones!
[02:06:12.031 --> 02:06:21.259]  Wow, Mike Cernovich is really on fire, and he's talking about the big galactic battle, good versus evil, and the Rubicon that we've crossed.
[02:06:21.259 --> 02:06:23.641]  So let's get into wherever you want to go next.
[02:06:23.641 --> 02:06:25.182]  I mean, I also want to talk about Trump.
[02:06:25.182 --> 02:06:31.608]  I don't fetishize attacking Trump like some people do to, like, prove their avant-garde or they're the most conservative.
[02:06:31.608 --> 02:06:33.269]  Trump has incredible potential.
[02:06:33.269 --> 02:06:35.331]  I believe he really means well.
[02:06:35.331 --> 02:06:38.473]  But once he signs on to something like this vaccine, then he's pig-headed.
[02:06:38.473 --> 02:06:39.774]  But the last straw for me is,
[02:06:40.875 --> 02:06:48.660]  January 6th, not defending the innocent people enough, and I know that's an issue for you, and also what happened with Julian Assange.
[02:06:48.660 --> 02:07:01.869]  I mean, I remember Trump three months before the election, they can pull the clip up, saying, hey, I don't care where Hillary's emails came from, I don't care if it's a fat guy, you know, in his mom's basement or who, Julian Assange or the Russians or whoever's got it, release it.
[02:07:01.869 --> 02:07:03.570]  And then saying, Wikileaks, release it.
[02:07:03.570 --> 02:07:05.271]  And then they release it, he wins the election.
[02:07:05.891 --> 02:07:08.616]  And then he just lets him twist in the wind.
[02:07:08.616 --> 02:07:12.382]  That, to me, then proved a lot of the stuff I heard about Trump only caring about Trump.
[02:07:12.382 --> 02:07:15.267]  Because if I was the president, I don't give a damn what the deep state said.
[02:07:15.267 --> 02:07:16.449]  Julian Assange is getting a pardon.
[02:07:17.068 --> 02:07:22.470]  Yeah, there's a mantra that I live by, which goes like, this character is destiny.
[02:07:22.470 --> 02:07:27.832]  And that's why I tend to make the best predictions out of, you know, you make great ones too, obviously.
[02:07:27.832 --> 02:07:29.633]  That's why people say, how do you know what's happening?
[02:07:29.633 --> 02:07:31.134]  How do you know what this is going to happen?
[02:07:31.134 --> 02:07:32.134]  What character is destiny?
[02:07:32.134 --> 02:07:42.338]  So what I saw with Trump, when I saw what Trump character is destiny, when he fired General Flynn, that was to me a seminal moment in your character.
[02:07:42.338 --> 02:07:44.679]  So there is, in every man, woman's life,
[02:07:45.299 --> 02:07:46.739]  What you call a seminal moment.
[02:07:46.739 --> 02:07:50.840]  This is what defines who you are and how you handle it.
[02:07:50.840 --> 02:07:57.021]  Trump fired General Flynn because he was being bullied by the media, because he was being bullied by Mike Pence or whoever else.
[02:07:57.021 --> 02:07:58.742]  Who Mike Pence in the end did what?
[02:07:58.742 --> 02:08:00.982]  Mike Pence sided with the establishment.
[02:08:00.982 --> 02:08:07.884]  So that was also a characteristic destiny moment for Mike Pence because Mike Pence revealed who he was by demanding that General Flynn be fired.
[02:08:07.884 --> 02:08:09.004]  And right when I saw that,
[02:08:10.044 --> 02:08:19.868]  I said, I don't dislike Trump because I'm a true conservative who write these false prophets, as I call them, the false prophets at the National Review.
[02:08:19.868 --> 02:08:21.629]  That's not why I disliked him.
[02:08:21.629 --> 02:08:26.010]  I disliked him because that was a moment of grave moral weakness.
[02:08:26.010 --> 02:08:27.771]  It was a moment of low character.
[02:08:27.771 --> 02:08:30.572]  It was a moment of being pathetic.
[02:08:30.572 --> 02:08:35.574]  And that right there showed me, okay, Trump's weak, and he's going to be weak throughout his presidency.
[02:08:35.574 --> 02:08:37.095]  And then they brought in all the Soros people.
[02:08:37.395 --> 02:08:39.317]  And then they brought in the Never Trumpers.
[02:08:39.317 --> 02:08:41.819]  He didn't hire his own loyal people.
[02:08:41.819 --> 02:08:43.941]  He didn't defend his loyal people.
[02:08:43.941 --> 02:08:49.906]  He could have pardoned everybody who got indicted right away by this Mueller thing that we now know is a hoax.
[02:08:49.906 --> 02:08:51.227]  It's all been proven as a hoax.
[02:08:51.227 --> 02:08:51.527]  I know.
[02:08:51.527 --> 02:08:52.568]  I'm not with the Russians.
[02:08:52.568 --> 02:08:55.271]  And I watched congressional hearings where they said, I am a Russian.
[02:08:56.051 --> 02:08:57.712]  Yeah, they would say absurd things about me too.
[02:08:57.712 --> 02:09:01.653]  I've read articles where they claim that I would talk to people on burner phones and everything.
[02:09:01.653 --> 02:09:04.173]  I was like, wow, who would I talk to on a burner phone?
[02:09:04.173 --> 02:09:04.493]  Right?
[02:09:04.493 --> 02:09:10.955]  But in their mind, there were all these machinations happening behind the scene when really I would just stream.
[02:09:10.955 --> 02:09:15.516]  I could talk to whoever wanted to and I would talk to them on the telephone, but I don't want to talk to anyone.
[02:09:15.516 --> 02:09:15.697]  Right?
[02:09:15.697 --> 02:09:20.238]  I've never talked to any of these people on the phone actually, because in my own mind,
[02:09:21.258 --> 02:09:21.719]  I don't know.
[02:09:36.152 --> 02:09:41.314]  Anybody who respects moral character doesn't like Trump because he doesn't have moral character.
[02:09:41.314 --> 02:09:43.555]  He got, remember he shut down the government?
[02:09:43.555 --> 02:09:45.596]  Got dog walked by Nancy Pelosi.
[02:09:45.596 --> 02:09:48.477]  He said, I'll never sign another one of these big spending bills.
[02:09:48.477 --> 02:09:50.058]  And then of course he signs another one.
[02:09:50.058 --> 02:09:51.358]  They dog walked him every time.
[02:09:51.358 --> 02:09:54.160]  Mitch dog walked him every time he backed down.
[02:09:54.160 --> 02:09:59.122]  So in every group, let's just talk about Trump and Mike Tyson, for example.
[02:09:59.122 --> 02:10:04.184]  If you listen to, you know, Customada before he went, if you listen to Tyson's trainers,
[02:10:05.430 --> 02:10:09.151]  They would tell you that Tyson only had four real fights.
[02:10:09.151 --> 02:10:13.772]  The reason being is, everybody he beat was in a fight because he was so good.
[02:10:13.772 --> 02:10:16.112]  But then he fought Holyfield, that was a real fight.
[02:10:16.112 --> 02:10:21.474]  What happened, and Mike Tyson admits this, so I'm not here to bash Mike Tyson, he failed.
[02:10:21.474 --> 02:10:24.414]  In every real fight Mike Tyson had, he failed.
[02:10:24.414 --> 02:10:26.775]  In every real fight that Trump had,
[02:10:27.475 --> 02:10:28.516]  He failed.
[02:10:28.516 --> 02:10:30.237]  He did not pardon Julian Assange.
[02:10:30.237 --> 02:10:31.578]  He did not pardon Snowden.
[02:10:31.578 --> 02:10:33.098]  He did not pardon Ross Ubrecht.
[02:10:33.098 --> 02:10:36.400]  He didn't pardon the non-violent January 6th protesters.
[02:10:36.400 --> 02:10:45.066]  He could have issued, a lot of people don't know this because you're not allowed to talk about it, he could have said, I hereby pardon everybody who engaged in non-violence.
[02:10:45.686 --> 02:10:47.828]  And the Capitol, January 6th incident.
[02:10:47.828 --> 02:10:51.432]  So then the people who are violent and were hitting cops, yeah, sure, go to jail.
[02:10:51.432 --> 02:10:52.413]  They belong there.
[02:10:52.413 --> 02:11:01.862]  But the random boomers who came into town and didn't know anything and it was like a rock concert and everybody's walking one way and then you walk in the Capitol and you look around, oh, here's the Capitol.
[02:11:01.862 --> 02:11:02.883]  Take a selfie.
[02:11:02.883 --> 02:11:04.165]  Their lives have been destroyed.
[02:11:04.165 --> 02:11:05.586]  That was a moral failing on his part.
[02:11:05.586 --> 02:11:06.086]  I do not
[02:11:06.980 --> 02:11:11.201]  Ever excuse or defend moral character weakness.
[02:11:11.201 --> 02:11:11.921]  And that's what it is.
[02:11:11.921 --> 02:11:12.741]  Here's the thing.
[02:11:12.741 --> 02:11:14.842]  Trump could be salvaged, I think, partially.
[02:11:14.842 --> 02:11:18.923]  At least the people he endorses are getting elected.
[02:11:18.923 --> 02:11:20.063]  And so he has some value.
[02:11:20.063 --> 02:11:21.964]  I'm not trying to throw the baby out with the bathwater.
[02:11:21.964 --> 02:11:24.704]  It's just watching the Q thing and the delusions.
[02:11:24.704 --> 02:11:26.445]  And he's invincible.
[02:11:26.445 --> 02:11:30.065]  That kept people from really being awake and involved and let them steal the election.
[02:11:30.065 --> 02:11:34.366]  And so part of having Trump gone now really makes people realize how much trouble we're in.
[02:11:34.366 --> 02:11:35.867]  Because, I mean, I got really
[02:11:36.667 --> 02:11:42.357]  I was never in the Trump cult, but I really wanted him to succeed.
[02:11:42.357 --> 02:11:45.121]  And now what do you think happens with Trump?
