[00:00:13.951 --> 00:00:15.532]  I'm watching the midterms.
[01:49:14.842 --> 01:49:16.883]  It's just insane.
[01:49:16.883 --> 01:49:24.409]  I really hope that if people are getting sick, they're starting to look into some natural anti-inflammatories and they really start to research these drugs.
[01:49:24.409 --> 01:49:29.692]  I'm terrified that these anti-MPO drugs are going to start getting emergency use authorization.
[01:49:29.692 --> 01:49:35.016]  I'm not sure if that's the case because I believe that drugs are under a completely different set of regulations.
[01:49:37.156 --> 01:49:37.936]  No, no, no.
[01:49:37.936 --> 01:49:38.456]  You just said it.
[01:49:38.456 --> 01:49:51.441]  I don't know if you've seen the report we did a few months ago, but it turns out all the different regulators, including Fauci, were on C-SPAN, and they said, we want to get rid of drug regulation, the fact that it takes five years on average.
[01:49:51.441 --> 01:49:57.223]  We're going to just call everything a vaccine because that bypasses it and, quote, blow up the old existing system.
[01:49:57.223 --> 01:49:58.824]  So this is a drug.
[01:49:58.824 --> 01:50:00.864]  The mRNA is a drug.
[01:50:00.864 --> 01:50:03.005]  And so exactly what you're saying is what they're doing.
[01:50:03.005 --> 01:50:04.446]  They're blowing up the old system.
[01:50:05.206 --> 01:50:10.173]  To roll out whatever they want and have no surveillance or no background reporting and just have a free-for-all.
[01:50:10.173 --> 01:50:18.403]  And if they can get away with killing tens of millions of people with these injections and tens of millions of miscarriages, then they can get away with anything.
[01:50:18.403 --> 01:50:18.964]  Does that make sense?
[01:50:20.046 --> 01:50:20.967]  That totally makes sense.
[01:50:20.967 --> 01:50:31.155]  And I hope that when people start, I really do think that there's going to be massive inflammation and I hope that people start to look into some natural anti-inflammatories and ways that they can keep inflammation down in their body.
[01:50:31.155 --> 01:50:38.040]  And please, please, please look into the drugs if they're suggested to you for this inflammation that I'm seeing rolling down the hill.
[01:50:38.040 --> 01:50:40.162]  It's frightening.
[01:50:40.162 --> 01:50:42.403]  Well, there's a lot of smart people like you out there.
[01:50:42.403 --> 01:50:43.504]  Have a great weekend.
[01:50:43.504 --> 01:50:45.025]  Christian, thank you.
[01:50:45.025 --> 01:50:47.868]  Okay, next up in the order the calls were received.
[01:50:49.002 --> 01:50:52.063]  Would be Josh in Texas.
[01:50:52.063 --> 01:50:53.743]  Welcome, Josh.
[01:50:53.743 --> 01:50:54.843]  Hey, Alex.
[01:50:54.843 --> 01:51:00.544]  First off, I want to give a shout out to my beautiful family, Samantha, Emery, and little Josh.
[01:51:00.544 --> 01:51:07.946]  And I'm calling today to ask you, what are we supposed to do whenever they come and basically try to mandate these vaccines?
[01:51:07.946 --> 01:51:13.247]  My daughter's three, my son's two, and they say that we're neglecting our children.
[01:51:13.247 --> 01:51:16.848]  And so therefore, they have to be taken from our custody and put into state custody.
[01:51:17.772 --> 01:51:29.660]  You need to be involved at the county level, the state level, you need to be involved with who is, you need to start a coalition of parents' rights now so that you've got a support group of people ahead of that.
[01:51:29.660 --> 01:51:34.803]  That's why they don't want families, they don't want fathers, they certainly don't want families getting together.
[01:51:34.803 --> 01:51:37.185]  And so what you're saying is going to be the whole future.
[01:51:37.185 --> 01:51:43.809]  It's already happening in Australia, already happening in Europe, forced inoculation start in five, six weeks in Germany.
[01:51:43.809 --> 01:51:45.731]  They're already rounding folks up, taking them to camps.
[01:51:46.431 --> 01:51:47.832]  But these people are weak.
[01:51:47.832 --> 01:52:00.577]  I've seen new newscasts and new reports of the Australian Prime Minister attacking us and national TV saying how evil I am and showing edited clips of me out of context.
[01:52:00.577 --> 01:52:02.517]  That's how weak they are.
[01:52:02.517 --> 01:52:05.539]  That's how weak these criminals carrying this out are.
[01:52:05.539 --> 01:52:06.559]  We have the facts, brother.
[01:52:06.559 --> 01:52:11.081]  We have to defend our children, you know, any means necessary.
[01:52:12.334 --> 01:52:26.621]  Also, the medical industry has already discredited itself so far to the point to where I'm afraid to even take my children into, you know, in the future if they break a bone or they need a surgery and they don't allow a parent in the back that they're just going to vaccinate.
[01:52:26.621 --> 01:52:33.765]  And, you know, we've already heard of, you know, in schools where these teachers are giving their kids pizza and they give them a vaccine.
[01:52:34.641 --> 01:52:39.522]  Well, that's what the drag queen pedophile story time's about, and in Europe, Canada, and the U.S.
[01:52:39.522 --> 01:52:47.744]  and Blue City areas, in the U.S., they are, children as young as eight, they're giving them deadly injections without parental consent.
[01:52:47.744 --> 01:52:59.447]  I mean, it, and I'm not saying it's, it'd be better that the teacher rape your child than injected this in them, in my opinion, which they should be executed for both, but, but, after they're tried and everything, for Nuremberg violations.
[01:52:59.447 --> 01:53:00.347]  I mean, think about it.
[01:53:00.347 --> 01:53:01.287]  This is rape.
[01:53:02.000 --> 01:53:06.042]  This is medical rape of your rights, and they're just doing it.
[01:53:06.042 --> 01:53:06.823]  Yes, sir.
[01:53:06.823 --> 01:53:07.363]  God bless you.
[01:53:07.363 --> 01:53:08.824]  I appreciate your call.
[01:53:08.824 --> 01:53:10.125]  But we're not going to be violent.
[01:53:10.125 --> 01:53:11.205]  They want to start violence.
[01:53:11.205 --> 01:53:15.348]  They want to push us so they can then try to come after us and start a full-scale war.
[01:53:15.348 --> 01:53:18.629]  We're not going to start the war, but we're getting ready for the war.
[01:53:18.629 --> 01:53:22.912]  If it's a war they want, it's one they're going to get.
[01:53:22.912 --> 01:53:25.413]  But they're going to blow up their own facilities and blame us.
[01:53:25.413 --> 01:53:28.035]  We don't want to offensively go out and do anything.
[01:53:28.035 --> 01:53:29.876]  We are against offensive violence.
[01:53:34.574 --> 01:53:35.995]  Let's go ahead and take another call here.
[01:53:35.995 --> 01:53:38.296]  Let's talk to Brandon in California.
[01:53:38.296 --> 01:53:39.396]  Let's go, Brandon.
[01:53:39.396 --> 01:53:41.497]  Hey, sir.
[01:53:41.497 --> 01:53:42.258]  How you doing?
[01:53:42.258 --> 01:53:42.618]  Good, man.
[01:53:42.618 --> 01:53:44.079]  Go ahead.
[01:53:44.079 --> 01:53:44.739]  Kudos to you.
[01:53:44.739 --> 01:53:52.043]  I just want to talk about I had to be forced vaccinated at my hospital.
[01:53:52.043 --> 01:54:00.207]  And, you know, it was the hardest decision of my life.
[01:54:00.207 --> 01:54:00.327]  And
[01:54:04.801 --> 01:54:09.704]  Well, I just want to talk about everyone that's coming in the hospital because I work in the ER and the ICU.
[01:54:09.704 --> 01:54:21.992]  Everyone in the hospital is mostly vaccinated and when they come in, they get on oxygen and then they get intubated and then they die a week later.
[01:54:21.992 --> 01:54:23.533]  Every single one of them.
[01:54:23.533 --> 01:54:31.337]  They all have core morbidities like chronic kidney disease, heart disease, you name it.
[01:54:31.337 --> 01:54:33.038]  But every single one of them, they've died.
[01:54:34.677 --> 01:54:48.141]  I wanted to voice my opinion to one of the doctors, the intensivist that worked there at the ICU, and he pulled me aside and he was like, hey, you know, you shouldn't be saying these things out loud because you could get fired.
[01:54:48.141 --> 01:54:50.221]  And I was like, what are you talking about?
[01:54:50.221 --> 01:54:52.902]  He's like, we have protocols we have to go through.
[01:54:52.902 --> 01:54:55.743]  We can't really give our own medicines.
[01:54:55.743 --> 01:54:59.804]  We have to go through these protocols through the hospital.
[01:54:59.804 --> 01:55:00.784]  And it's just crazy.
[01:55:01.716 --> 01:55:02.418]  It's just crazy.
[01:55:02.418 --> 01:55:08.835]  I see all these people, they're coming in, these families that want these medicines, but they're not giving them to them.
[01:55:10.609 --> 01:55:15.794]  Well, brother, I'm sorry to hear that as a hospital worker you're saying you would have lost your job.
[01:55:15.794 --> 01:55:18.056]  That basically is a forced injection.
[01:55:18.056 --> 01:55:22.781]  And according to the Nuremberg Code, that's a serious war crime, what they did to you.
[01:55:22.781 --> 01:55:30.129]  But yes, it is forced to say, I'll take your livelihood, I'll take your food away, I'll take your house away, I'll take your child away.
[01:55:30.129 --> 01:55:31.150]  This is terrorism!
[01:55:32.188 --> 01:55:32.428]  It is, man.
[01:56:01.715 --> 01:56:02.635]  Well, God bless you, brother.
[01:56:02.635 --> 01:56:05.176]  Sorry to hear that's happening.
[01:56:05.176 --> 01:56:09.998]  All right, we're going to go to break and come back with Beefy and Mike and others.
[01:56:09.998 --> 01:56:13.159]  Listen, now more than ever, people are ready to hear the truth.
[01:56:13.159 --> 01:56:16.900]  So please support our local AM and FM stations.
[01:56:16.900 --> 01:56:18.921]  Please tell people about the stations.
[01:56:18.921 --> 01:56:19.861]  Become a sponsor.
[01:56:19.861 --> 01:56:21.261]  Support the sponsors.
[01:56:21.261 --> 01:56:22.462]  Give us a small mom and pop.
[01:56:22.462 --> 01:56:23.882]  Send them 50 bucks a month.
[01:56:23.882 --> 01:56:25.963]  I mean, tithe to the truth.
[01:56:27.898 --> 01:56:31.620]  This show does a lot more for pro-life and anti-Satanism than your average church.
[01:56:31.620 --> 01:56:37.483]  I'm not knocking the little churches that have been trained to be cowardly and follow orders.
[01:56:37.483 --> 01:56:38.624]  That's between them and God.
[01:56:38.624 --> 01:56:42.306]  The point is, we aren't up here like Pharisees saying how perfect we are.
[01:56:42.306 --> 01:56:43.747]  We're just saying God's the only way.
[01:56:43.747 --> 01:56:45.028]  We're fighting as hard as we can.
[01:56:46.570 --> 01:56:48.531]  Support our local radio stations.
[01:56:48.531 --> 01:56:50.152]  It's such a big deal when you do.
[01:56:50.152 --> 01:56:55.675]  So many stations put us on at night, and then a few years later, because of support, they put us on during the day, and we reach so many people.
[01:56:55.675 --> 01:56:57.736]  So tell folks about your local stations.
[01:56:57.736 --> 01:56:58.256]  Promote that.
[01:56:58.256 --> 01:56:59.917]  Tell folks about Band.Video.
[01:56:59.917 --> 01:57:01.718]  Tell folks about FreeWorldNews.TV.
[01:57:01.718 --> 01:57:05.320]  And then please don't forget, we have the new film, COVID Land 2, The Mask.
[01:57:05.900 --> 01:57:17.326]  And when you get the film at Infowarsstore.com, you get Dark Secrets Inside Bohemian Grove and The Order of Death, two films on one DVD about the globalist, skull-and-bones, satanic secret society systems.
[01:57:17.326 --> 01:57:26.671]  It makes an excellent Christmas gift to wake people up, and you're authorized to make copies of both films, all three films that I produce, two DVDs, three films.
[01:57:26.671 --> 01:57:29.132]  Infowarsstore.com or AAA, 253-3139.
[01:57:31.973 --> 01:57:34.275]  And also, it'll be sold out, I think, by tomorrow night.
[01:57:34.275 --> 01:57:35.417]  Thank you for your support.
[01:57:35.417 --> 01:57:37.398]  We really needed to do these new projects.
[01:57:37.398 --> 01:57:42.123]  Find out about the member coin and the little secrets of that and more at 1776coin.com.
[01:57:49.710 --> 01:57:51.811]  Get our great little bag of it here.
[01:57:51.811 --> 01:57:55.312]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[01:57:55.312 --> 01:57:56.392]  The communists!
[01:57:56.392 --> 01:58:03.734]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee.
[01:58:03.734 --> 01:58:09.035]  And yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune and whatever.
[01:58:09.035 --> 01:58:13.717]  The point is, is that it's good coffee and we've got it and the farmers don't let the Mexican government take over.
[01:58:13.717 --> 01:58:18.158]  So I actually buy this from the Mexican rebels and I've been buying it for, what, 14 years and the price has never gone up.
[01:58:18.158 --> 01:58:19.258]  The same stuff sold at Whole Foods.
[01:58:19.298 --> 01:58:20.078]  It's InfowarsStore.com
[01:58:47.711 --> 01:58:49.032]  Let's go ahead and take another call.
[01:58:49.032 --> 01:58:51.073]  Let's talk to Malcolm in Tennessee.
[01:58:51.073 --> 01:58:51.473]  Welcome.
[01:58:51.473 --> 01:58:52.194]  Hello, Alex?
[01:58:52.194 --> 01:58:52.754]  Yes, Malcolm.
[01:58:52.754 --> 01:58:57.057]  All right, I'll make this quick and real short where the other Patriots can get on the line.
[01:58:57.057 --> 01:59:01.660]  Uh, Alex, I have to promote one thing from one of your co-hosts, Owen Schroyer.
[01:59:01.660 --> 01:59:04.661]  Super male vitality and brain force plus.
[01:59:04.661 --> 01:59:07.303]  Mix those two together, you're an unstoppable tank.
[01:59:07.543 --> 01:59:09.344]  Supermill Vitality really, really works.
[01:59:09.344 --> 01:59:14.247]  It's cold-pressed herbs and natural compounds that have never been heated up.
[01:59:14.247 --> 01:59:21.012]  And so, it has a dramatic effect compared to powdered versions that also work quite well, but just aren't as strong.
[01:59:21.012 --> 01:59:23.293]  This is like a very fine wine.
[01:59:23.293 --> 01:59:24.994]  In fact, each batch is different.
[01:59:24.994 --> 01:59:27.396]  Sometimes it's super strong, sometimes it's just okay.
[01:59:27.396 --> 01:59:30.718]  People are like, why are you selling something and admitting sometimes the batch isn't as strong?
[01:59:30.718 --> 01:59:31.658]  That's just how it is.
[01:59:31.658 --> 01:59:32.299]  It's how it works.
[01:59:33.019 --> 01:59:37.042]  Uh, so, it's always good, it's just sometimes it's like super strong.
[01:59:37.042 --> 01:59:49.029]  But yeah, if you want the Rolls Royce at a decent price, then this is it.
[01:59:49.029 --> 01:59:54.953]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:00:10.712 --> 02:00:17.054]  You know, I used to read globalist documents 28 years ago when I first got on air.
[02:00:17.054 --> 02:00:18.294]  20 years ago.
[02:00:18.294 --> 02:00:18.794]  10 years ago.
[02:00:18.794 --> 02:00:26.436]  And I, you know, I felt guilty a little bit when I would read Operation Lockstep documents 12 years ago and predict all this.
[02:00:26.436 --> 02:00:27.417]  You've all seen those videos.
[02:00:27.417 --> 02:00:30.037]  They've gone viral since then.
[02:00:30.037 --> 02:00:31.998]  Because I knew it was real and I knew it was their plan.
[02:00:33.974 --> 02:00:37.540]  But I still just felt weird to be saying all this.
[02:00:37.540 --> 02:00:41.126]  And now we're in the middle of all this and it's really happening, depopulation.
[02:00:42.222 --> 02:00:46.023]  I don't feel guilty, I just feel sad and nauseous.
[02:00:46.023 --> 02:00:52.785]  But it still kind of feels weird to be telling people this is happening because it just doesn't make sense unless you're a psychotic globalist.
[02:00:52.785 --> 02:00:56.606]  Mike Adams has got huge economic and COVID news coming up for the rest of the hour.
[02:00:56.606 --> 02:01:05.089]  Here in just a few minutes, I'm going to be taping with Dr. Zelenko and others for a big special emergency broadcast tomorrow that's going to be about three to four hours long, okay?
[02:01:05.089 --> 02:01:06.509]  So be ready for that.
[02:01:06.509 --> 02:01:11.771]  And again, I know as an audience, you're just like me, you're tired of all this news, you're sick of it, but you can't turn away because you care.
[02:01:12.617 --> 02:01:17.019]  Take that energy and spread the word and spread the links and spread the articles and we're going to win.
[02:01:17.019 --> 02:01:29.024]  And if you've got a neighbor and you find out she's pregnant, bring them an actual news article with links to the American Medical Association or the New England Medical Journal where they admit an 82% increase in spontaneous miscarriages.
[02:01:29.024 --> 02:01:31.185]  And you're going to save a baby.
[02:01:31.185 --> 02:01:33.966]  And you've got to just get in people's business because believe me, I'm the type of guy
[02:01:35.103 --> 02:01:38.626]  I don't want to say something at the grocery store line to a pregnant woman.
[02:01:38.626 --> 02:01:40.448]  I've got my own life.
[02:01:40.448 --> 02:01:41.429]  I don't want to be in people's business.
[02:01:41.429 --> 02:01:42.490]  But you know what?
[02:01:42.490 --> 02:01:46.053]  If you don't get in other people's business, you're letting the globalists kill them.
[02:01:46.053 --> 02:01:51.619]  So if you knew your neighbor was going to get robbed one night and you didn't go tell them, that's now on you.
[02:01:51.619 --> 02:01:53.821]  So see, it's not busybody now.
[02:01:53.821 --> 02:01:56.884]  And that's the problem with Christians and conservatives and the rest of us.
[02:01:57.898 --> 02:01:59.239]  That love God and justice.
[02:01:59.239 --> 02:01:59.859]  This is true!
[02:01:59.859 --> 02:02:01.501]  We got our own lives!
[02:02:01.501 --> 02:02:03.302]  I got all my own stuff to deal with.
[02:02:03.302 --> 02:02:04.983]  I don't want to know what you're doing.
[02:02:04.983 --> 02:02:08.046]  I don't want to tell you what to do because I'm confident.
[02:02:08.046 --> 02:02:09.247]  I'm strong.
[02:02:09.247 --> 02:02:10.187]  I don't want your wife.
[02:02:10.187 --> 02:02:11.228]  I got my wife.
[02:02:11.228 --> 02:02:12.229]  I don't want your farm.
[02:02:12.229 --> 02:02:13.270]  I got my farm.
[02:02:13.270 --> 02:02:14.050]  I don't want your car.
[02:02:14.050 --> 02:02:15.231]  I got my car.
[02:02:15.231 --> 02:02:16.012]  I don't want your kids.
[02:02:16.012 --> 02:02:17.032]  I got my kids.
[02:02:17.032 --> 02:02:21.296]  The left doesn't have any of that and they're missing something.
[02:02:21.296 --> 02:02:22.857]  So that's why you have the archetype of the zombies.
[02:02:24.565 --> 02:02:27.569]  They're not real, but they're an archetype, like vampires.
[02:02:27.569 --> 02:02:31.255]  There aren't people that live forever, but there are crazy people that kidnap folks and drink their blood.
[02:02:31.255 --> 02:02:31.695]  Satanists.
[02:02:31.695 --> 02:02:35.461]  It's the same thing with zombies.
[02:02:35.461 --> 02:02:36.142]  They're mindless.
[02:02:36.142 --> 02:02:36.723]  They're dumb.
[02:02:36.723 --> 02:02:37.624]  They're in giant packs.
[02:02:37.624 --> 02:02:38.665]  And what do they want?
[02:02:38.665 --> 02:02:39.987]  What they don't have?
[02:02:39.987 --> 02:02:40.688]  Brains.
[02:02:42.113 --> 02:02:43.054]  That's the archetype.
[02:02:43.054 --> 02:02:47.497]  They want to kill you because you've got something they don't have.
[02:02:47.497 --> 02:02:49.258]  You have consciousness.
[02:02:49.258 --> 02:02:50.459]  You're connected to the universe.
[02:02:50.459 --> 02:02:51.659]  You're connected to God.
[02:02:51.659 --> 02:02:56.342]  You're tuned into that frequency that you were designed by.
[02:02:56.342 --> 02:02:59.284]  These people got stuck on the wrong radio station, ladies and gentlemen.
[02:02:59.284 --> 02:03:01.806]  This is literally a spiritual transmission.
[02:03:01.806 --> 02:03:03.687]  That is what consciousness is.
[02:03:03.687 --> 02:03:07.650]  And they are signed up with people
[02:03:09.810 --> 02:03:13.093]  That don't act like any animals in the animal kingdom.
[02:03:13.093 --> 02:03:15.775]  They act like something out of biblical demons.
[02:03:15.775 --> 02:03:18.097]  And I'm telling you, it's a transmission.
[02:03:18.097 --> 02:03:19.919]  It's not even a creature.
[02:03:19.919 --> 02:03:20.759]  It is a wavelength.
[02:03:20.759 --> 02:03:23.422]  I don't know if there's something parked behind the moon broadcasting it.
[02:03:23.422 --> 02:03:24.703]  I don't know what's going on.
[02:03:24.703 --> 02:03:34.271]  But it's like the Kingsman movie that came out ten years ago now, where the billionaire crazies get together to send out a signal to the cell phones, and everybody starts killing each other.
[02:03:34.271 --> 02:03:36.212]  They're telling you what they're doing.
[02:03:36.212 --> 02:03:37.934]  You've got to ask yourself, why are they telling you?
[02:03:39.175 --> 02:03:42.636]  Because there are metaphysical rules of the universe that we've all been able to observe.
[02:03:42.636 --> 02:03:47.937]  And as you get older, you realize, wow, this is really the rules of the universe.
[02:03:47.937 --> 02:03:53.078]  They must tell you what they're going to do to you in fine print.
[02:03:53.078 --> 02:03:57.639]  Remember the old saying, the devil's in the details.
[02:03:57.639 --> 02:04:03.940]  So when Fauci goes, 99% of people dying are unvaccinated, that's because he used numbers before vaccination started.
[02:04:03.940 --> 02:04:05.400]  It's a total lie.
[02:04:05.400 --> 02:04:08.021]  But is the average person going to get into the details?
[02:04:08.021 --> 02:04:08.141]  No.
[02:04:08.769 --> 02:04:11.571]  Well, that's where the devil's at.
[02:04:11.571 --> 02:04:17.655]  And so Mike Adams and I get into the details where the devil's at.
[02:04:17.655 --> 02:04:19.417]  And that's what we're about to do on the other side.
[02:04:19.417 --> 02:04:26.762]  And then we will, one way or another, I'll get to Savannah and Mike in New York and Beefy.
[02:04:27.725 --> 02:04:31.367]  And Nancy and James and Summer and everybody else here today.
[02:04:31.367 --> 02:04:33.788]  You've all got comments on the vaccine, so those will be quick.
[02:04:33.788 --> 02:04:36.949]  But Mike Adams of NaturalNews.com is our guest.
[02:04:36.949 --> 02:04:44.853]  And he called me last week and said this, you know, big Chinese $300 billion company thing is about to go under next week.
[02:04:44.853 --> 02:04:46.254]  I said, well, come on.
[02:04:46.254 --> 02:04:47.495]  He goes, well, I don't want to be part of it going down.
[02:04:47.495 --> 02:04:48.615]  I don't want to be part of scaring people.
[02:04:48.615 --> 02:04:49.756]  I'll come on once it happens.
[02:04:49.756 --> 02:04:53.537]  So here he is joining us today after what he said last week to me happened.
[02:04:53.537 --> 02:04:54.078]  We'll be right back.
[02:04:54.078 --> 02:04:54.438]  Stay with us.
[02:04:57.679 --> 02:05:04.440]  Alex Jones here to make a very important announcement to our amazing listeners and viewers.
[02:05:04.440 --> 02:05:09.741]  We have produced a limited run of something very, very special.
[02:05:09.741 --> 02:05:13.562]  It's the 1776 Founder Coin.
[02:05:13.562 --> 02:05:15.403]  You've got to see this coin for yourself.
[02:05:15.403 --> 02:05:19.183]  It's at 1776coin.com.
[02:05:19.183 --> 02:05:22.364]  And this coin makes you a founding member.
[02:05:22.984 --> 02:05:23.364]  We're good.
[02:05:45.433 --> 02:05:58.403]  That's why you're called a founding member because the funding from this is going to go towards launching these new independent systems that will empower the American people to take free speech in the face of censoring tyrants to the next level.
[02:06:09.136 --> 02:06:13.498]  If you are receiving this transmission, you are the resistance.
[02:06:13.498 --> 02:06:25.083]  You're listening to Alex Jones.
[02:06:25.083 --> 02:06:35.507]  Well, we've all been watching Evergron, the 300 million dollar, humped up, zombie, loveless company in China and saying it could trigger the next big financial collapse.
[02:06:36.482 --> 02:06:39.503]  But Mike Adams last week, we talked, and he said, I think it's imminent.
[02:06:39.503 --> 02:06:41.444]  I think it's going to happen by next week.
[02:06:41.444 --> 02:06:42.705]  And I'm like, OK, well, come on.
[02:06:42.705 --> 02:06:44.645]  He goes, no, I don't want to be part of it going down.
[02:06:44.645 --> 02:06:46.446]  He goes, I'll come on once it goes down.
[02:06:46.446 --> 02:06:48.367]  But he goes, I'd look for that next week.
[02:06:48.367 --> 02:06:50.548]  And sure as hell, it happened.
[02:06:50.548 --> 02:06:51.228]  So Mike's here.
[02:06:51.228 --> 02:06:53.129]  But he's also got a lot of other huge news.
[02:06:53.129 --> 02:06:56.310]  Mike Adams from naturalnews.com here on the Alex Jones Show.
[02:06:56.310 --> 02:06:57.851]  This is a big game changer.
[02:06:57.851 --> 02:06:58.611]  And I covered this
[02:07:00.123 --> 02:07:10.512]  Wednesday night some and I covered it Thursday only for about five minutes and that's when I feel guilty as I listen to the rebroadcast part of it last night and I'm like, you spent like five minutes Jones on this, you should have spent an hour.
[02:07:10.512 --> 02:07:12.013]  This is big.
[02:07:12.013 --> 02:07:20.300]  Because they can try to ignore the general public, they can ignore this scientist, this doctor, this study, but when you have a major respect government, the Japanese are as smart as you get,
[02:07:21.525 --> 02:07:22.605]  Yeah, that's what we know it's doing.
[02:07:22.605 --> 02:07:23.266]  Now it's all confirmed.
[02:07:23.266 --> 02:07:27.507]  First batch of Pfizer's COVID-19 vaccine documents revealed 42,000 reaction reports, 101,223 deaths just in the first
[02:07:51.786 --> 02:07:53.547]  A few weeks of it.
[02:07:53.547 --> 02:07:59.430]  That's all going to be broken down with Mike Adams, the Jussie Smollett situation, the economy, all of it.
[02:07:59.430 --> 02:08:00.831]  Mike, great to have you again.
[02:08:00.831 --> 02:08:02.752]  Where do you want to start first?
[02:08:02.752 --> 02:08:05.033]  Well, I would say, Alex, thanks for having me on.
[02:08:05.033 --> 02:08:09.275]  And we need to start with the fact that we're into the dark winter phase now.
[02:08:09.275 --> 02:08:10.996]  The die-offs are accelerating.
[02:08:10.996 --> 02:08:13.137]  The stillbirths are accelerating.
[02:08:13.137 --> 02:08:18.820]  The establishment hasn't been able to achieve what they wanted with the Omicron hysteria.
[02:08:18.820 --> 02:08:20.721]  And so they're going to play another card.
[02:08:21.301 --> 02:08:30.233]  And the card that it looks like they're going to play sometime in 2022 is the false flag cyber attack on the financial infrastructure.
[02:08:30.233 --> 02:08:35.760]  And Israel has been running a 10 nation simulation on exactly that scenario.
[02:08:35.760 --> 02:08:36.762]  And by the way, I mean,
[02:08:37.222 --> 02:08:39.083]  This is speculation that that's their next card.
[02:08:39.083 --> 02:08:40.504]  They could play another bioweapon.
[02:08:40.504 --> 02:08:41.945]  They could start war with Russia.
[02:08:41.945 --> 02:08:44.086]  They're obviously trying to do that right now.
[02:08:44.086 --> 02:08:45.667]  There are many things they could do.
[02:08:45.667 --> 02:08:59.896]  But you gotta add to your Rolodex of options here, cyber warfare, assault on the US financial system, and what most people aren't thinking about, that's on my mind right now, Alex, is the social chaos implications
[02:09:00.456 --> 02:09:04.357]  Of the freezing of the financial infrastructure in America.
[02:09:04.357 --> 02:09:07.058]  And you covered it today already, the L.A.
[02:09:07.058 --> 02:09:09.119]  I think it's the union leader for the L.A.
[02:09:09.119 --> 02:09:11.720]  police saying, don't come to L.A.
[02:09:11.720 --> 02:09:16.422]  That's the beginning of what's going to be really no-go zones or no-police zones.
[02:09:16.422 --> 02:09:17.862]  You said that on my show a month ago.
[02:09:17.862 --> 02:09:22.564]  You said the next big trend will be no-go zones in blue cities and then a huge exodus.
[02:09:23.829 --> 02:09:40.849]  Well, you have a good memory, you're right, I did say that on your show and we're seeing it confirmed, but it's going to get far worse where police will literally, they may at some point tweet out a map of LA and they'll just draw, you know, 50 square blocks and say, these are no police zones.
[02:09:41.309 --> 02:09:44.752]  Don't even think about going there, and if you're there now, get out while you can.
[02:09:44.752 --> 02:09:46.094]  Escape from L.A.
[02:09:46.094 --> 02:09:48.836]  Kurt Russell movie becoming a reality.
[02:09:48.836 --> 02:09:56.224]  But what's going to trigger that is the freezing of the financial system, which could be engineered, and it could be used to blame it on China.
[02:09:56.764 --> 02:10:05.848]  So that Biden can then go ahead and stage some kind of conflict with China and use that to declare domestic martial law under a wartime emergency.
[02:10:05.848 --> 02:10:09.370]  Remember, they have to have perpetual emergencies.
[02:10:09.370 --> 02:10:14.813]  And since the COVID emergency is kind of petering out, you know, people just aren't buying it anymore.
[02:10:14.813 --> 02:10:18.694]  They need another bigger emergency in order to keep people in line.
[02:10:18.694 --> 02:10:21.996]  And so war is one, financial collapse is one, but
[02:10:22.296 --> 02:10:27.260]  Alex, and you know this very well, your audience knows this, what happens when the food stamps stop working?
[02:10:27.260 --> 02:10:28.821]  When the ATMs stop working?
[02:10:28.821 --> 02:10:31.363]  When all transactions are frozen?
[02:10:31.363 --> 02:10:36.988]  And you have an ice nine type of scenario of cascading freezing of the banking system.
[02:10:36.988 --> 02:10:38.549]  People don't get paid.
[02:10:38.549 --> 02:10:41.572]  About 40% of America's living paycheck to paycheck.
[02:10:41.572 --> 02:10:45.215]  They can't survive one weekend without their Friday paycheck.
[02:10:45.215 --> 02:10:48.938]  And we're going to see massive social chaos across America.
[02:10:49.378 --> 02:10:53.984]  Now, psychologically, the average, the typical law-abiding, polite American...
[02:10:54.781 --> 02:10:56.442]  He's not ready for that.
[02:10:56.442 --> 02:11:16.294]  Whereas the hardened criminals, the convicted cons, the people who did time in federal pen, they are psychologically primed for surviving chaos and mayhem and even exploiting in some cases those situations for their own personal protection or gain.
[02:11:16.294 --> 02:11:19.156]  So the collapse of polite society is coming
[02:11:19.776 --> 02:11:28.180]  And the only way to survive this is to either get incredibly well tactically trained in self-defense or get out of these cities while you can.
[02:11:28.180 --> 02:11:31.682]  So Alex, that's what's on my mind right now because I see what's coming.
[02:11:33.086 --> 02:11:41.171]  Well, I totally agree with you, and we're talking about an escape from New York scenario, which is the globalist plan to make much of the West no-go zones.
[02:11:41.171 --> 02:11:42.311]  This has been planned.
[02:11:42.311 --> 02:11:47.074]  Now, the police aren't in on this, they're just going to be put in a position where this is what's going to happen.
[02:11:47.074 --> 02:11:56.460]  They're being cut in half, they're being defunded, they're being told to pull back, and this has all been part of the larger plan to collapse the country, and then the globalists go, oh look, you collapsed on your own, as you mentioned.
[02:11:57.281 --> 02:11:57.602]  We're good to go.
[02:12:06.738 --> 02:12:11.762]  Bill Gates and their minions, like President Biden, are doing this.
