[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[02:05:00.730 --> 02:05:04.933]  They crowed about how they're gonna piss on everybody and how they're gonna arrest us all.
[02:05:04.973 --> 02:05:06.014]  Well, good luck with that.
[02:05:10.109 --> 02:05:20.596]  We have an article up on our website written by Paul Joseph Watson that details a former British ambassador saying, hey John Podesta, the email leak was done by a Washington insider, not Russians.
[02:05:20.736 --> 02:05:22.057]  Well, that's pretty obvious.
[02:05:22.197 --> 02:05:24.218]  You should look to Washington and not to Moscow.
[02:05:24.238 --> 02:05:33.605]  I'm talking about British Ambassador Craig Murray who says the source of the John Podesta email leak was a Washington insider and not the Russians as the Clinton camp would like us all to believe.
[02:05:34.025 --> 02:05:41.731]  He says, quote, He then goes on to blast the narrative that WikiLeaks is a conduit for Russia by asserting that the claims are designed to divert attention from their content and material.
[02:05:41.751 --> 02:05:42.432]  Well said, Craig Murray.
[02:05:54.642 --> 02:06:03.155]  And it goes hand-in-hand with the narrative that the Democrats are so desperate that I didn't even realize how absurd it sounds to blame the KGB for hijacking our democracy.
[02:06:03.335 --> 02:06:06.020]  I'm Margaret Hall reporting for InfoWars.com
[02:06:09.446 --> 02:06:14.710]  If you look at Bill Clinton, far worse, minor words, and his was action.
[02:06:15.290 --> 02:06:16.831]  His was what he's done to women.
[02:06:16.851 --> 02:06:22.535]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[02:06:22.755 --> 02:06:25.077]  Bill Clinton was abusive to women.
[02:06:25.437 --> 02:06:31.622]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[02:06:31.742 --> 02:06:37.046]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[02:06:47.881 --> 02:06:50.623]  There is an information warfare happening right now.
[02:06:51.483 --> 02:06:52.924]  It's a fight for our minds.
[02:06:53.605 --> 02:06:55.526]  And InfoWars.com is on the front lines.
[02:06:55.846 --> 02:07:00.069]  Download our free multimedia app at InfoWars.com forward slash app.
[02:07:00.189 --> 02:07:03.551]  It's free, it's on Droid, it's on Apple, you name it.
[02:07:03.631 --> 02:07:05.172]  InfoWars.com forward slash app.
[02:07:09.417 --> 02:07:10.798]  Clean, pure drinking water.
[02:07:11.059 --> 02:07:12.360]  You can't survive without it.
[02:07:12.560 --> 02:07:13.461]  But where do you get it?
[02:07:13.761 --> 02:07:19.526]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[02:07:19.747 --> 02:07:25.472]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[02:07:25.652 --> 02:07:42.536]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[02:07:42.916 --> 02:07:45.037]  Filter capacity up to 5,000 gallons.
[02:07:45.397 --> 02:07:46.598]  Stainless steel construction.
[02:07:46.878 --> 02:07:47.579]  Easy assembly.
[02:07:47.919 --> 02:07:48.539]  Low maintenance.
[02:07:48.819 --> 02:07:50.640]  Replacement filters are simple to install.
[02:07:50.920 --> 02:07:58.044]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[02:07:58.204 --> 02:08:03.227]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[02:08:03.387 --> 02:08:05.968]  Go to InfowarsStore.com or call 888-253-3139.
[02:08:16.528 --> 02:08:27.413]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[02:08:31.615 --> 02:08:34.157]  You're listening to the Alex Jones Show.
[02:08:37.426 --> 02:08:38.687]  Stand up and be counted!
[02:08:39.167 --> 02:08:40.327]  Choose what side you're on.
[02:08:40.948 --> 02:08:44.989]  We're five days out, four and a half days out, six days if you count the election day.
[02:08:45.770 --> 02:08:49.331]  Mr. Hagman from Northeast Intelligence Networks joining us here at the next segment.
[02:08:50.031 --> 02:08:59.395]  I'm so proud of Texas being right at the heart of this resistance on so many fronts, but all across the country, Americans of every race, color, and creed are fighting back.
[02:09:00.056 --> 02:09:03.557]  And we're witnessing the animating contest of liberty.
[02:09:04.578 --> 02:09:05.118]  And it's on.
[02:09:10.160 --> 02:09:12.941]  Now, I've got a bunch of Putin clips we're going to play.
[02:09:12.961 --> 02:09:15.501]  One of them we're going to do live, because Daria speaks fluent Russian.
[02:09:16.801 --> 02:09:25.283]  And we've got several others she's already voiced over for us, where Putin's saying, a vote for Trump is a vote for nationalism against foreign globalists, against elites.
[02:09:25.363 --> 02:09:26.143]  Well, that's a fact.
[02:09:26.343 --> 02:09:30.204]  Every elite you name is against Trump, because America is trying to re-establish itself.
[02:09:31.745 --> 02:09:34.425]  I mean, no matter what you think about Trump, he's wrong on a few issues.
[02:09:34.485 --> 02:09:35.945]  Compared to Hillary, he's an angel.
[02:09:37.006 --> 02:09:38.446]  And then we have another clip here.
[02:09:40.523 --> 02:09:43.724]  Putin says controlled media creates false perception to manipulate public opinion.
[02:09:43.744 --> 02:09:48.745]  And we have Gowdy smacks down desperate MSNBC attempt to distract from Clinton with a Russia question.
[02:09:48.765 --> 02:09:49.765]  The FBI has studied this.
[02:09:50.105 --> 02:09:51.646]  Warrants, they say, no connections.
[02:09:52.746 --> 02:09:57.507]  Under massive pressure, though, they went after the former head of the Trump campaign, Manafort, today.
[02:09:57.547 --> 02:10:00.108]  They sued Roger Stone, who joins us in the next hour.
[02:10:01.221 --> 02:10:03.642]  And Donald Trump saying they're trying to block voting in four states.
[02:10:03.662 --> 02:10:04.763]  They're doing exit polls.
[02:10:05.183 --> 02:10:06.143]  Totally legal and lawful.
[02:10:06.163 --> 02:10:10.085]  We had a Democrat election official come out 200 feet.
[02:10:10.145 --> 02:10:14.127]  We even had cones set out and said, you're that Donald Trump guy.
[02:10:15.427 --> 02:10:15.907]  Get out of here.
[02:10:15.927 --> 02:10:16.668]  I'm calling the police.
[02:10:16.688 --> 02:10:17.248]  It's on video.
[02:10:17.308 --> 02:10:18.268]  It's on InfoWars.com.
[02:10:18.488 --> 02:10:18.969]  Owen Schroeder.
[02:10:19.309 --> 02:10:19.649]  Yesterday.
[02:10:21.121 --> 02:10:24.063]  This is what we're dealing with in America because we know the fraud.
[02:10:24.103 --> 02:10:25.164]  Beth Harris is a Democrat.
[02:10:25.704 --> 02:10:26.785]  She said Hillary's stealing it.
[02:10:27.005 --> 02:10:30.748]  They're shaving it with this new fractal system, this new fraction shaving.
[02:10:31.509 --> 02:10:32.289]  We have them.
[02:10:33.830 --> 02:10:35.672]  And we're not going to just sit here while they try to steal it.
[02:10:37.733 --> 02:10:41.436]  Meanwhile, Communist China basically runs Hillary along with Saudi Arabia.
[02:10:41.676 --> 02:10:43.297]  The intelligence community has their emails.
[02:10:43.317 --> 02:10:44.258]  They're the ones that leaked it.
[02:10:44.598 --> 02:10:45.479]  That's all coming out.
[02:10:46.792 --> 02:10:56.998]  And you look at the crazy Hollywood and the media and all these liberals trying to play spy with their goddess, this tottering, doddering, mentally ill person.
[02:10:57.118 --> 02:11:03.062]  It's perfect, archetypically how weak she is, trying to cause some civil war in this country.
[02:11:04.203 --> 02:11:07.505]  Problem is a billion dollars later they can't get black folks to go out and kill the cops like they want.
[02:11:09.790 --> 02:11:11.110]  So they're in panic mode right now.
[02:11:11.971 --> 02:11:20.294]  And it was our guest, Mr. Hagman, Doug Hagman of HagmanReport.com, who five years ago said, the word is from the Justice Department, they're going to start a race war.
[02:11:20.314 --> 02:11:21.114]  I was kind of like, really?
[02:11:21.914 --> 02:11:23.775]  I respect him, but it came true.
[02:11:24.095 --> 02:11:28.237]  He'll be joining us to talk about all of this and his connections in the FBI in just a few minutes.
[02:11:28.297 --> 02:11:33.698]  We have a lot of other connections, his are more in the FBI than our connections in the military and places like that.
[02:11:33.718 --> 02:11:34.379]  We'll just leave it at that.
[02:11:34.899 --> 02:11:37.640]  Now, continuing looking at all of this,
[02:11:39.246 --> 02:11:41.888]  They forced Americans to finally admit how much trouble we're in.
[02:11:41.908 --> 02:11:43.049]  They forced the decision.
[02:11:43.489 --> 02:11:44.409]  They thought we were cowards.
[02:11:44.429 --> 02:11:45.010]  It's the opposite.
[02:11:45.810 --> 02:11:48.812]  People know they don't have any hope now but to stand up in the information war.
[02:11:49.253 --> 02:11:49.993]  They want to go physical?
[02:11:50.033 --> 02:11:50.974]  That's their enchilada.
[02:11:51.574 --> 02:11:52.295]  That's their problem.
[02:11:53.115 --> 02:11:53.816]  But here it is.
[02:11:53.856 --> 02:12:01.401]  Putin warns European countries have no future if they continue to accept migrants who they rape little boys, little girls, and are allowed to because it's, quote, their Muslim culture.
[02:12:02.722 --> 02:12:11.345]  So I want to play this clip first that Daria is going to voice live on air into English, and then I have the other clips.
[02:12:11.945 --> 02:12:13.165]  So Daria, you've got the floor.
[02:12:13.185 --> 02:12:14.826]  You can set this up if you want and play it.
[02:12:15.386 --> 02:12:15.746]  Go ahead.
[02:12:17.347 --> 02:12:19.788]  No, we can just go ahead and play it, self-explanatory.
[02:12:19.808 --> 02:12:20.408]  All right, here it is.
[02:12:22.593 --> 02:12:25.294]  A migrant just raped a child in one of the European countries.
[02:12:26.175 --> 02:12:28.977]  The court found him not guilty based on two things.
[02:12:29.357 --> 02:12:36.481]  The migrant didn't speak the language of his host country and he did not understand that the boy, and it was a boy, didn't want this.
[02:12:39.183 --> 02:12:42.546]  It doesn't fit into my head what on earth is going on there.
[02:12:42.946 --> 02:12:47.850]  This is the result of a delusion in national values.
[02:12:47.910 --> 02:12:50.292]  I can't even explain the rationale behind it.
[02:12:50.412 --> 02:12:51.072]  What's the sense?
[02:12:51.132 --> 02:12:52.553]  Is it a guilt before the migrants?
[02:12:52.593 --> 02:12:53.174]  What's going on?
[02:12:53.214 --> 02:12:53.894]  It's not clear.
[02:12:53.934 --> 02:12:58.218]  But a society that cannot defend its children today has no tomorrow.
[02:12:58.318 --> 02:12:59.299]  It has no future.
[02:13:02.401 --> 02:13:07.286]  So relying on their immigration policy experience is not the best thing.
[02:13:07.326 --> 02:13:10.209]  We have a thousand year history of foreign multicultural society.
[02:13:10.329 --> 02:13:13.312]  Understanding of this, for us, is much deeper.
[02:13:16.018 --> 02:13:18.379]  Great job, Daria, doing that live on air with us.
[02:13:18.719 --> 02:13:23.141]  We've got several others you did, giving us even better translation in the Google translation that was there.
[02:13:23.161 --> 02:13:26.382]  Now, the next clip is Putin.
[02:13:27.222 --> 02:13:30.764]  Trump represents Americans who are tired of the elites.
[02:13:30.904 --> 02:13:31.224]  Russia 24.
[02:13:31.264 --> 02:13:33.025]  Then we'll play Putin.
[02:13:33.045 --> 02:13:34.565]  Controlled media creates false perception.
[02:13:34.846 --> 02:13:35.446]  But here's Putin.
[02:13:35.486 --> 02:13:38.147]  Trump represents Americans who are tired of the elites.
[02:13:39.426 --> 02:13:49.992]  When it comes to Mr. Trump himself, it seems he has chosen his own way of getting through to the hearts and minds of voters.
[02:13:50.032 --> 02:13:50.812]  And what's the method?
[02:13:51.672 --> 02:13:53.573]  Sure, he behaves a little extravagantly.
[02:13:54.054 --> 02:13:54.674]  We all see that.
[02:13:54.934 --> 02:13:58.116]  But I don't think that all of this is that meaningless.
[02:13:59.157 --> 02:14:11.407]  In my view, he represents the views of those Americans, of which there are a substantial number, who are tired of the elites, who have been in the halls of power for many decades.
[02:14:11.947 --> 02:14:25.178]  He simply represents the interests of, you know, ordinary people, and himself attempts to appear like this ordinary guy that criticizes those who have been at the helm of power for decades.
[02:14:28.239 --> 02:14:30.961]  We read America's analytical materials.
[02:14:31.141 --> 02:14:37.184]  He represents those people that don't like power being passed on through, for example, family networks.
[02:14:37.544 --> 02:14:38.085]  Many U.S.
[02:14:38.185 --> 02:14:39.726]  experts write about this openly.
[02:14:40.346 --> 02:14:42.947]  And this is the playing field that he works on.
[02:14:43.448 --> 02:14:45.369]  But how effective it will be for him?
[02:14:46.869 --> 02:14:48.270]  Well, the elections will show.
[02:14:48.550 --> 02:14:59.055]  But I want to reiterate again, as I always say, we will work with any president that the American people choose, and the one that will have a desire to work with us.
[02:15:00.216 --> 02:15:00.796]  There you go.
[02:15:01.376 --> 02:15:02.997]  And they've not been involved in these hacks.
[02:15:03.037 --> 02:15:03.797]  We now know it was U.S.
[02:15:03.837 --> 02:15:04.277]  intelligence.
[02:15:04.298 --> 02:15:06.639]  They were involved in the UN hacks on carbon taxes.
[02:15:06.659 --> 02:15:07.379]  That affects Russia.
[02:15:07.599 --> 02:15:08.259]  That's international.
[02:15:08.580 --> 02:15:09.620]  And Russia said, we did that.
[02:15:11.461 --> 02:15:13.462]  So, they're like, stay out of our business.
[02:15:14.480 --> 02:15:15.301]  We'll stay out of yours.
[02:15:15.361 --> 02:15:16.362]  Now let's continue here.
[02:15:17.983 --> 02:15:19.184]  Let's go ahead and go to the next clip.
[02:15:19.224 --> 02:15:21.265]  He says controlled media creates false perception.
[02:15:21.306 --> 02:15:21.666]  Here it is.
[02:15:23.447 --> 02:15:30.173]  Western mainstream media creates the perception that Russia has a definite favorite when it comes to the US presidential candidates.
[02:15:30.493 --> 02:15:31.374]  Donald Trump.
[02:15:32.134 --> 02:15:36.298]  How much of a role does the person who becomes America's next president really play for Russia?
[02:15:38.442 --> 02:15:43.607]  And what kind of policy should this person advocate in order for our relations to normalize?
[02:15:43.627 --> 02:15:44.048]  Thank you.
[02:15:47.851 --> 02:16:01.456]  So when it comes to the so-called favorites or non-favorites as it pertains to the US presidential elections, you said that the one who creates this perception is the mainstream media, correct?
[02:16:01.656 --> 02:16:04.517]  Well, and that is exactly who created that perception.
[02:16:04.858 --> 02:16:07.198]  And I can assure you it wasn't accidental.
[02:16:09.779 --> 02:16:13.321]  Mainstream media rarely does anything by accident.
[02:16:15.841 --> 02:16:22.423]  This whole idea that has been implanted into people's heads as part of the U.S.
[02:16:22.443 --> 02:16:25.324]  presidential race, in my view, has only one purpose.
[02:16:30.085 --> 02:16:42.868]  It is done by those who are defending the interests of the Democratic Party, represented by Mrs. Clinton, against the interests of the Republican Party, in this case, Mr. Trump.
[02:16:44.629 --> 02:16:46.071]  And how is it being done?
[02:16:46.491 --> 02:16:48.213]  First off, you create an enemy.
[02:16:48.733 --> 02:16:50.675]  In this case, it is Russia.
[02:16:50.975 --> 02:16:53.517]  And then they announce that Trump is our favorite.
[02:16:53.717 --> 02:16:56.180]  This is complete and utter nonsense.
[02:16:56.380 --> 02:16:58.161]  This is simply rubbish.
[02:16:58.802 --> 02:17:06.989]  This is simply an internal political method for the purposes of manipulating public opinion as part of the US presidential race.
[02:17:07.189 --> 02:17:07.590]  That's right.
[02:17:08.410 --> 02:17:16.037]  And as I've said many times before, and I want to repeat myself, we don't know how either of the candidates will behave once they have won.
[02:17:16.377 --> 02:17:21.981]  We don't know what Trump will be like, and we don't know what Clinton will be like if she wins.
[02:17:24.393 --> 02:17:26.614]  What they will deliver on and what they won't.
[02:17:26.975 --> 02:17:31.278]  So, for the most part, for us, it is irrelevant who wins.
[02:17:33.640 --> 02:17:43.829]  But naturally, we can't not welcome rhetoric that is being voiced publicly about the normalization of affairs between the US and Russia.
[02:17:44.449 --> 02:17:45.110]  That's right.
[02:17:45.170 --> 02:17:49.793]  And with this understanding in mind, we do, of course, welcome such sentiment.
[02:17:50.173 --> 02:17:51.614]  No matter who says it.
[02:17:51.974 --> 02:17:52.915]  That's it, really.
[02:17:52.935 --> 02:17:58.439]  But... Well, I don't want to badmouth Russia, but Russia was put under globalist control in 1917.
[02:17:58.899 --> 02:18:01.180]  It was totally wrecked.
[02:18:02.401 --> 02:18:08.746]  And... I'm not defending the czars, they were like angels compared to the communists, the Bolsheviks, a bunch of foreigners coming and taking over.
[02:18:09.881 --> 02:18:10.601]  Oppressing Christians.
[02:18:11.182 --> 02:18:12.723]  Russia has the GDP of Italy.
[02:18:12.783 --> 02:18:16.045]  Now, Italy's a prosperous nation on average and produces a lot, but still.
[02:18:16.505 --> 02:18:18.166]  I mean, you know, Italy's the size of Texas, folks.
[02:18:18.246 --> 02:18:22.228]  Russia's three times the size of the U.S.
[02:18:22.249 --> 02:18:23.669]  Hold on, 180 million people or whatever is in Russia?
[02:18:23.729 --> 02:18:29.093]  I mean, they can't produce what Italy does because they've been so downtrodden and they're trying to rebuild.
[02:18:29.513 --> 02:18:31.694]  The globalists are bullying them because they're seen as weak.
[02:18:32.215 --> 02:18:35.316]  That's why even the Pentagon doesn't want to mess with Russia, because it just doesn't make sense.
[02:18:35.717 --> 02:18:37.778]  It's China running rampage everywhere.
[02:18:39.215 --> 02:18:40.816]  Russia's being targeted because it's seen as weak.
[02:18:42.157 --> 02:18:53.144]  Putin has kicked the oligarchs, the very same bankers that run us out, and is trying to resuscitate the country, is funding pro-family operations, Christianity, low taxes, they have lower taxes than us.
[02:18:54.745 --> 02:18:56.466]  And that really pisses off the globalists.
[02:18:56.847 --> 02:18:57.987]  Because Russia was theirs.
[02:18:58.948 --> 02:19:00.149]  Just like America was theirs.
[02:19:01.783 --> 02:19:02.563]  And I'm tired of it.
[02:19:02.583 --> 02:19:07.806]  It doesn't mean our politicians are perfect, or our government's perfect, or our local government's perfect, but it's our government.
[02:19:08.226 --> 02:19:09.646]  We want to run our own country.
[02:19:09.706 --> 02:19:10.867]  We want fair trade deals.
[02:19:10.907 --> 02:19:12.668]  We don't want to be sold out.
[02:19:13.968 --> 02:19:17.970]  And so Russia completely gets that narrative because they've experienced it.
[02:19:18.993 --> 02:19:20.615]  And that's where the kinship is happening.
[02:19:21.336 --> 02:19:23.800]  But it's happening all over the world, like the UK, the kinship.
[02:19:23.860 --> 02:19:25.141]  They've been under globalist control.
[02:19:25.482 --> 02:19:27.144]  Most of their laws are made by multinationals.
[02:19:27.625 --> 02:19:31.009]  As long as we open the debate about TPP and globalism, it's over!
[02:19:31.630 --> 02:19:33.132]  Because it's self-determination.
[02:19:33.152 --> 02:19:33.753]  We're going to come back.
[02:19:34.608 --> 02:19:44.733]  With HagmanReport.com host Doug Hagman, great guy, always a lot of great intel on what he's getting from his sources and where he sees all this going five days out from the election.
[02:19:45.453 --> 02:19:46.593]  But I wanted to play those clips.
[02:19:46.653 --> 02:19:49.095]  I didn't get to Gowdy and the Republicans saying this Russian thing.
[02:19:49.135 --> 02:19:50.595]  I mean, give me a break, folks.
[02:19:51.115 --> 02:19:52.416]  They say I'm a Russian agent.
[02:19:53.316 --> 02:19:55.918]  That is the most ridiculous horsemaneur.
[02:19:56.538 --> 02:19:58.659]  Russia isn't affecting my freedom.
[02:20:00.010 --> 02:20:06.018]  The Democratic Party, the Council on Foreign Relations, the Chinese, the Saudis are, and so I'm lined up to fight them!
[02:20:06.819 --> 02:20:07.680]  That's how this works!
[02:20:09.448 --> 02:20:12.491]  We were brought up by Donald Trump at the debates.
[02:20:12.751 --> 02:20:16.894]  It was one small step for my team and one giant leap for citizen journalism.
[02:20:17.175 --> 02:20:19.817]  Twitter, by the way, removed me then reinstated me.
[02:20:20.818 --> 02:20:21.838]  We were trending on Twitter.
[02:20:21.858 --> 02:20:24.341]  We're the number one trending video on YouTube worldwide.
[02:20:24.761 --> 02:20:26.803]  We're the number one trending thing on Facebook.
[02:20:26.943 --> 02:20:30.646]  What you are seeing is something I never thought I would say.
[02:20:31.447 --> 02:20:37.572]  You are seeing social media and the grassroots in this country more powerful than the mainstream media.
[02:20:38.012 --> 02:20:43.155]  We are the social media barbarians at the gates, and we have inundated their inboxes.
[02:20:43.455 --> 02:20:44.996]  The New York Times is now forced to cover it.
[02:20:45.016 --> 02:20:46.537]  The Washington Post was forced to cover it.
[02:20:46.937 --> 02:20:55.462]  We are the barbarians at the gates, and we have flooded the mainstream media with interest and attention, and we have become more powerful than the mainstream media.
[02:20:55.502 --> 02:20:56.843]  It's truly historical.
[02:20:57.563 --> 02:21:00.184]  I've talked about this before, but I've never actually seen it.
[02:21:00.204 --> 02:21:03.486]  I was at the debate, and I walked into the press pool, and there were
[02:21:05.067 --> 02:21:08.209]  5,000 reporters, almost like a red carpet at the Oscars.
[02:21:08.609 --> 02:21:10.170]  And they all knew who I was.
[02:21:10.690 --> 02:21:12.031]  And they all knew about the story.
[02:21:12.551 --> 02:21:15.753]  And not one of them wanted to talk to me or talk about it.
[02:21:15.813 --> 02:21:18.195]  I also looked at them and I didn't know what to say.
[02:21:18.235 --> 02:21:20.396]  I said, guys, you ought to be ashamed of yourselves.
[02:21:21.127 --> 02:21:22.788]  I mean, I said, you ought to be ashamed of yourselves.
[02:21:22.928 --> 02:21:27.010]  And it was a truly historical situation for Veritas.
[02:21:27.231 --> 02:21:28.951]  And I'm just so proud of my team.
[02:21:28.992 --> 02:21:35.255]  It took us a year of transcripts and filming and a year of investigative work.
[02:21:35.575 --> 02:21:42.139]  But to see these guys resign, the heart and soul of the Democratic Party, that guy, Bob Cramer, was not some low-level guy.
[02:21:42.179 --> 02:21:44.300]  He met with the president 47 times.
[02:21:44.640 --> 02:21:46.642]  He went to the White House 340 times.
[02:21:46.982 --> 02:21:48.062]  He has now resigned.
[02:21:48.322 --> 02:21:49.843]  Hillary Clinton is being asked about it.
[02:21:51.104 --> 02:21:51.825]  On an airplane?
[02:21:51.845 --> 02:21:53.126]  I couldn't have done it without you.
[02:21:53.407 --> 02:21:55.109]  You don't realize how important you are.
[02:21:55.129 --> 02:21:57.672]  I mean, I have no words to tell you how important you are.
[02:21:58.012 --> 02:22:00.795]  You were tweeting at every single journalist.
[02:22:00.835 --> 02:22:02.337]  I mean, I've never seen anything like it.
[02:22:02.577 --> 02:22:06.222]  I had journalists come up to me and say, so you're the guy who inundated my inbox.
[02:22:06.242 --> 02:22:07.223]  I didn't even know who they were.
[02:22:07.583 --> 02:22:11.585]  You guys were sent 10,000 retweets on these tweets.
[02:22:12.005 --> 02:22:14.427]  I mean, you flooded their inboxes.
[02:22:14.487 --> 02:22:27.854]  The first video was about the conspiracy, the dark money conspiracy to induce violence at Trump rallies, where they were on tape describing how they took credit for all the violence and how that came through the chain of command from the White House.
[02:22:27.934 --> 02:22:28.735]  This is all on video.
[02:22:29.515 --> 02:22:31.016]  And nobody wanted to cover it.
[02:22:31.116 --> 02:22:34.037]  Alex has got 6 million views on YouTube, that video.
[02:22:34.558 --> 02:22:37.719]  And the second video was about how they were busting at people across state lines.
[02:22:38.179 --> 02:22:40.861]  They wanted to commit illegal voter fraud with non-citizens.
[02:22:41.261 --> 02:22:45.903]  A guy named Cesar Vargas caught on videotape describing how they bust people.
[02:22:46.023 --> 02:22:47.984]  The quotes, you can't write them.
[02:22:48.204 --> 02:22:50.005]  They look like they're from the usual suspects.
[02:22:50.345 --> 02:22:52.787]  The guy in the video says, we don't care about the law.
[02:22:53.007 --> 02:22:54.429]  We want to win this mother effer.
[02:22:54.709 --> 02:22:58.092]  Quote, we've been busting people across state lines for 50 years.
[02:22:58.492 --> 02:22:59.954]  You can't make this stuff up.
[02:23:00.474 --> 02:23:04.198]  And social media has forced the mainstream media to cover this.
[02:23:04.718 --> 02:23:05.419]  It's unbelievable.
[02:23:05.939 --> 02:23:07.380]  I've never seen anything like it.
[02:23:07.781 --> 02:23:09.242]  It's the number one hottest thing.
[02:23:09.422 --> 02:23:18.451]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[02:23:18.511 --> 02:23:26.618]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[02:23:26.898 --> 02:23:31.600]  We have now managed to secure the sought-after beans in a highly customized blend.
[02:23:31.780 --> 02:23:38.483]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[02:23:38.563 --> 02:23:45.645]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[02:23:45.745 --> 02:23:52.608]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[02:23:52.768 --> 02:23:57.110]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[02:23:57.250 --> 02:24:00.492]  Available in original or with our immune support infusion blend.
[02:24:00.632 --> 02:24:06.776]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[02:24:06.936 --> 02:24:08.597]  Available at InfoWarsLife.com
[02:24:12.574 --> 02:24:15.015]  This is the end, whether Hillary steals it or not.
[02:24:15.035 --> 02:24:17.657]  The globalist dynasty is on fire.
[02:24:17.677 --> 02:24:20.258]  Will they start a nuclear war?
[02:24:20.759 --> 02:24:27.682]  Doug Hagman of the HagmanReport.com has really been on target over the years with what's happening.
[02:24:27.702 --> 02:24:28.903]  So let me now go to him.
[02:24:29.383 --> 02:24:31.304]  He's been sitting there for 15 minutes while I was babbling.
[02:24:31.825 --> 02:24:33.726]  Just give us his intel on what's happening.
[02:24:35.447 --> 02:24:39.609]  Does he concur with the info we have that there is a countercoup against the globalist takeover?
[02:24:40.069 --> 02:24:41.030]  The latest information?
[02:24:42.233 --> 02:24:44.139]  Doug Hagman, thank you for joining us, sir.
[02:24:44.159 --> 02:24:44.520]  Take over.
[02:24:45.926 --> 02:24:47.747]  Alex, thanks for having me.
[02:24:47.787 --> 02:25:03.553]  Yeah, basically everything that you've come up with, my source, independent of yours, has said right now the mood inside Justice, well inside the FBI, not Justice, inside the FBI office right now, the Hoover building, is extremely tense.
[02:25:04.173 --> 02:25:08.795]  You've got the upper echelon of the FBI that's fighting against the rank-and-file members.
[02:25:09.355 --> 02:25:12.877]  The rank-and-file are just absolutely upset over what's going on.
[02:25:13.597 --> 02:25:23.066]  They had gone through with the NYPD Task Force, according to my source, on the sexting aspect of the sexting investigation of Anthony Weiner.
[02:25:24.086 --> 02:25:31.313]  They had gone through the hard assets, including, how can I put this, and this is important to understand,
[02:25:32.774 --> 02:25:46.810]  They actually took not just a laptop but they also took files off of a desktop inside the Wiener Residence as well as physically took the router at the Wiener Residence.
[02:25:47.130 --> 02:25:51.014]  And the reason I'm saying this is because there's much more to this
[02:25:51.855 --> 02:25:57.279]  Then the media knows, or is being told to the media, or is being leaked out, as we've seen.
[02:25:57.299 --> 02:26:00.060]  They want to keep some things close to the vest.
[02:26:00.121 --> 02:26:04.203]  But yes, the information you're getting right now is being confirmed by my sources.
[02:26:04.483 --> 02:26:08.626]  Just to kind of summarize this, there is... It's okay, we're five days out.
[02:26:08.666 --> 02:26:12.409]  I mean, as much as you can say exactly what are they finding, because they say it's big.
[02:26:13.149 --> 02:26:17.873]  Well, yeah, there's like three different parts to this, three different moving parts to this.
[02:26:17.893 --> 02:26:31.184]  You've got the classified top secret special access programs, those files that were on Anthony Weiner's computer without fail, that's been verified by my source, and they said that's the least of the issues.
[02:26:31.704 --> 02:26:38.070]  Another aspect of this is the treason espionage part of this, and I know how bad that sounds, Alex, but
[02:26:38.610 --> 02:26:52.099]  But there's some indication that and this is why they took the router is that other downloads of the documents and I'm talking about the top secret special access program documents that were in the 656,000 emails on
[02:26:54.500 --> 02:26:54.700]  I don't
[02:27:19.605 --> 02:27:21.846]  And I don't want to be graphic or gross here.
[02:27:21.866 --> 02:27:27.328]  Well, this hasn't broke yet, but I was told, and we haven't talked before the show, I was told it ties into Lolita Express.
[02:27:27.348 --> 02:27:28.849]  Is that where you're about to go?
[02:27:29.749 --> 02:27:30.429]  Yes, yes.
[02:27:30.449 --> 02:27:38.573]  It involves Hillary Clinton, Huma Abedin, and Bill Clinton as well with Jeffrey Epstein.
[02:27:38.653 --> 02:27:39.173]  Oh my God.
[02:27:39.953 --> 02:27:45.535]  Now, this has, well, according to my sources, these files exist.
[02:27:47.541 --> 02:27:58.064]  They did not touch, my source did not touch, or he has no idea what's in those files, but the fact that they exist on this computer suggests some sort of overlap here.
