[00:00:00.169 --> 00:00:01.050]  and get free shipping.
[02:19:26.721 --> 02:19:31.203]  Man, if the Democrats have any more victories like that, they won't even be a party!
[02:19:32.264 --> 02:19:39.689]  Well, Gallup, as you know, and I'll tell you this when we come back, I've been talking about other strategies, what listeners can do to help defend the Second Amendment, because this is obviously the big assault.
[02:19:41.314 --> 02:19:45.398]  Gallup's come out and said the lowest level of people ever identify as Democrats.
[02:19:46.899 --> 02:19:53.084]  Trump's got a 20% victory with Hillary, with 20% of her people coming over to him in polls.
[02:19:53.585 --> 02:19:54.886]  I want to ask you what you think of Trump.
[02:19:55.427 --> 02:19:57.288]  Larry Pratt, gunowners.org.
[02:19:57.388 --> 02:20:02.012]  Folks, you can go there and sign up for the free alerts or become a member.
[02:20:02.633 --> 02:20:03.133]  And by the way,
[02:20:03.994 --> 02:20:06.497]  You're insane if you're not a member of Governors of America.
[02:20:06.557 --> 02:20:10.662]  I mean, if you're not a member, you're not defending the Second Amendment, you're basically a red coat in my view.
[02:20:10.782 --> 02:20:13.385]  We use mobile devices right against our bodies every day.
[02:20:13.566 --> 02:20:20.073]  But growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[02:20:20.674 --> 02:20:21.195]  We're good.
[02:20:40.504 --> 02:20:47.027]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[02:20:47.287 --> 02:20:51.390]  Since 2005, thousands have depended on Berkey Purified Water.
[02:20:51.550 --> 02:20:55.972]  The Berkey guy provides the lowest price filtration systems in every size.
[02:20:56.172 --> 02:21:01.695]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[02:21:01.715 --> 02:21:01.855]  877-886-3653.
[02:21:01.875 --> 02:21:02.215]  GoBerkey.com.
[02:21:10.419 --> 02:21:17.141]  Something just happened that has explained why survival food is literally flying off the shelves and has sold out in many areas of the country.
[02:21:17.502 --> 02:21:21.143]  It caught me totally by surprise, and it involves FEMA.
[02:21:21.483 --> 02:21:24.464]  I couldn't believe FEMA tried this until I saw proof.
[02:21:24.884 --> 02:21:29.966]  Revealing their secret could land me in hot water, but I think you deserve to know exactly what they're doing.
[02:21:30.586 --> 02:21:34.587]  Watch the viral video at FEMA3.com before it disappears again.
[02:21:34.927 --> 02:21:40.529]  But be warned, it's really disturbing because the fact is, they must know something we don't.
[02:21:41.109 --> 02:21:51.112]  Go to FEMA3.com to see the number one item you should be hoarding and why supplies of this critical item are so low or even completely sold out at many stores across America.
[02:21:51.832 --> 02:21:52.713]  Don't miss out.
[02:21:53.053 --> 02:21:57.778]  Watch the controversial video that thousands of other smart patriots have already seen in recent days.
[02:21:58.258 --> 02:22:03.523]  Go to FEMA3.com and discover the number one most critical item in a crisis.
[02:22:03.863 --> 02:22:07.166]  Watch the shocking video right now at FEMA3.com.
[02:22:07.507 --> 02:22:08.748]  Again, that's FEMA3.com.
[02:22:10.228 --> 02:22:15.030]  As your body ages, there is a 10% decline in your ability to repair each passing decade after the age 28.
[02:22:15.710 --> 02:22:21.653]  By age 40, your ability to repair from demanding manual labor, exercise, or a stressful desk job has declined by 12%.
[02:22:22.393 --> 02:22:27.195]  By using One World Whey, you supercharge your body's ability to repair and eliminate inflammation.
[02:22:27.396 --> 02:22:35.139]  Our unique, frequency-encoded whey protein, coupled with our high-quality whey, improves your cell's ability to make protein, which is to say, repair itself.
[02:22:35.199 --> 02:22:37.441]  My name is Jonathan Wright, and I'm 40 years old.
[02:22:37.541 --> 02:22:40.324]  I recently went from a desk job to a manual labor job.
[02:22:40.404 --> 02:22:41.365]  Normally, I'm worn out.
[02:22:41.505 --> 02:22:47.130]  With Energy Enhanced One World Way, I now recover so quickly that I can perform very hard work all day long.
[02:22:47.310 --> 02:22:52.395]  I use Energy Enhanced One World Way for breakfast and lunch, and I experience less hunger throughout the day.
[02:22:52.695 --> 02:22:55.518]  I have a 30% increase in energy, and I just feel better.
[02:22:55.798 --> 02:22:59.021]  I plan to make Energy Enhanced One World Way a permanent part of my lifestyle.
[02:22:59.201 --> 02:23:00.422]  Call 888-988-3325 or visit OneWorldWay.com.
[02:23:00.442 --> 02:23:01.283]  That's OneWorld, W-H-E-Y.com.
[02:23:09.821 --> 02:23:14.644]  Two little tablets is all it takes to make your thin hair feel and look thicker and fuller.
[02:23:14.844 --> 02:23:15.565]  Guaranteed!
[02:23:15.865 --> 02:23:19.547]  Viviscal is the number one drug-free hair growth supplement in the U.S.
[02:23:19.607 --> 02:23:22.129]  with one box being sold every minute globally.
[02:23:22.289 --> 02:23:30.954]  It's clinically researched to promote existing hair growth for men and women and now a 90-day supply of Viviscal is offered in your area risk-free plus free shipping.
[02:23:31.134 --> 02:23:31.414]  Call 800-328-9953.
[02:23:34.096 --> 02:23:36.137]  Viviscal nourishes thinning hair from within.
[02:23:36.277 --> 02:23:38.778]  You'll love your hair growth results, guaranteed!
[02:23:38.958 --> 02:23:41.880]  Viviscal is so effective, it's recommended by top doctors.
[02:23:41.940 --> 02:23:44.761]  Here's Dr. Grant Stephens, board-certified plastic surgeon.
[02:23:45.041 --> 02:23:50.364]  I feel confident recommending Viviscal to women with hair loss, thinning hair, or even dry or brittle hair.
[02:23:50.524 --> 02:23:54.606]  It's 100% drug-free, and it's backed by years of clinical research.
[02:23:54.946 --> 02:23:56.107]  Want to try Viviscal?
[02:23:56.247 --> 02:24:00.711]  Every listener that calls now gets a 90-day risk-free supply plus free shipping.
[02:24:00.771 --> 02:24:01.351]  Call now!
[02:24:01.371 --> 02:24:02.772]  800-328-9953 800-328-9953 That's 800-328-9953 Mark Kelly, the astronaut husband,
[02:24:25.408 --> 02:24:38.118]  ...of Gabby Giffords, the Congresswoman, said, you know, we've all heard these conspiracy theories about, I've got the clip, we can play it, about registration, confiscation, then comes tyranny, and then Obama's like, ha ha, ridiculous, ha ha!
[02:24:39.170 --> 02:24:41.071]  Next they'll say Obamacare isn't free.
[02:24:41.672 --> 02:24:43.093]  I mean, they have no credibility.
[02:24:43.113 --> 02:24:45.695]  And the more they give speeches, the more unpopular they get.
[02:24:45.715 --> 02:24:50.438]  Then we have the Austin mayor pro tem saying, we're going to confiscate once we register.
[02:24:50.758 --> 02:24:52.299]  I mean, that's their admitted goal.
[02:24:52.820 --> 02:24:58.884]  So they have a problem because their own publications like Newsweek and CNN say, yes, we want to ban guns, period.
[02:24:59.364 --> 02:25:01.346]  But then they get up and say, we don't want your guns.
[02:25:02.426 --> 02:25:03.647]  Is that part of their problem?
[02:25:03.747 --> 02:25:06.469]  Is that with one hand they tell the truth, the other hand they lie?
[02:25:08.030 --> 02:25:08.771]  They're assuming
[02:25:09.417 --> 02:25:20.822]  Perhaps that the Democrat media, the old line media, the major networks that used to be the major networks, can somehow protect them from what you're pointing to.
[02:25:21.322 --> 02:25:25.383]  The fact of the matter is, we don't trust them anymore.
[02:25:25.443 --> 02:25:31.866]  And when Obama says, oh, I'm not going to take your guns, well, it tells me I better go buy another safe.
[02:25:32.566 --> 02:25:35.367]  It tells me that that's what he has in mind.
[02:25:35.808 --> 02:25:37.328]  He said you can keep your doctor.
[02:25:37.788 --> 02:25:38.189]  Right.
[02:25:38.389 --> 02:25:39.229]  How'd that work out?
[02:25:39.540 --> 02:25:40.340]  Keep your plan.
[02:25:40.660 --> 02:25:41.601]  Yeah, that too.
[02:25:41.801 --> 02:25:42.081]  Right.
[02:25:42.341 --> 02:25:43.081]  That was a good one.
[02:25:43.521 --> 02:25:47.222]  And now he's saying he doesn't have any idea about taking our guns?
[02:25:47.562 --> 02:25:55.805]  Listen, when he even refers to the Australian model, and Hillary Clinton did as well... That's incredible!
[02:25:55.845 --> 02:25:58.006]  That's registration confiscation buyback!
[02:25:59.126 --> 02:25:59.686]  Right there.
[02:25:59.706 --> 02:26:01.487]  A forced buyback.
[02:26:01.527 --> 02:26:03.467]  You must sell to the government.
[02:26:03.747 --> 02:26:07.228]  We are confiscating all your semi-automatic firearms.
[02:26:07.648 --> 02:26:08.069]  Period.
[02:26:08.129 --> 02:26:08.709]  Paragraph.
[02:26:09.975 --> 02:26:13.717]  And that's supposed to be acceptable in the United States?
[02:26:14.557 --> 02:26:22.260]  I think if they want to get it on, if they want to see, you know, Connecticut should have told them something.
[02:26:22.680 --> 02:26:31.983]  If in Connecticut, a liberal state, people said, I'm not re-registering my guns, you already have it once, I'm not going to do it again.
[02:26:32.784 --> 02:26:34.084]  And they did it publicly.
[02:26:34.424 --> 02:26:36.665]  And something like what, we figure 95% maybe, never registered.
[02:26:39.187 --> 02:26:43.620]  In Washington State, it was something similar to Obama's executive order.
[02:26:44.264 --> 02:26:46.506]  All private sales must be registered and so forth?
[02:26:46.526 --> 02:26:48.267]  So the good news, the public's waking up.
[02:26:48.367 --> 02:26:51.710]  The liberal media keeps acting like we're kooks and no one's listening to us.
[02:26:52.030 --> 02:26:53.511]  But that's the emperor's new clothes.
[02:26:54.452 --> 02:26:56.093]  Really, they're being caught with their pants down.
[02:26:56.653 --> 02:26:57.694]  But they're not going to stop.
[02:26:57.734 --> 02:26:58.795]  They never do, in my view.
[02:26:58.895 --> 02:26:59.716]  Correct me if I'm wrong.
[02:27:00.056 --> 02:27:01.397]  How are they going to keep coming at us?
[02:27:01.437 --> 02:27:02.358]  How do we block this?
[02:27:02.378 --> 02:27:06.060]  I know you say get folks elected, put for impeachment, hearings, whatever.
[02:27:06.301 --> 02:27:07.842]  And then what do you think about Donald Trump?
[02:27:08.382 --> 02:27:10.664]  Who do you think is the best candidate right now in the lead?
[02:27:11.732 --> 02:27:23.458]  Well, the more they push for gun control, the more they are going to stir up... I know members of Gun Owners of America are just absolutely beside themselves with concern, as well they should be.
[02:27:24.199 --> 02:27:27.961]  And a lot of other Americans are equally concerned.
[02:27:28.461 --> 02:27:37.466]  And so the more Obama prances around saying, I know, you guys are just silly, we're not thinking of anything like that, nobody believes him anymore at all.
[02:27:38.649 --> 02:27:50.983]  That's why, even though we've endorsed Ted Cruz, I will say, the reason Donald Trump is doing as well as he is is because he's very effectively tapping into that, I'm finished with you guys.
[02:27:51.463 --> 02:27:53.225]  I don't believe a word you're saying.
[02:27:53.986 --> 02:27:55.508]  And I want to push back.
[02:27:55.708 --> 02:27:57.690]  And Donald Trump has made himself
[02:27:58.160 --> 02:28:00.681]  Available as a tool for pushing back.
[02:28:01.442 --> 02:28:10.827]  Well let me say, I think because you're a one issue, I mean obviously you defend the whole Bill of Rights, but a gun rights organization, Cruz would be the best.
[02:28:10.907 --> 02:28:13.228]  He does have the best voting record, no compromise.
[02:28:13.549 --> 02:28:16.550]  Trump has done some questionable things, said some bad things in the past.
[02:28:16.930 --> 02:28:17.931]  I hope we can trust him.
[02:28:18.231 --> 02:28:20.833]  I think he's better than Hillary, but I agree.
[02:28:21.753 --> 02:28:22.714]  I like Ted Cruz.
[02:28:23.034 --> 02:28:26.876]  In fact, I'd like to see if Ted Cruz doesn't get the nomination, I'd like to see him as Vice President.
[02:28:28.520 --> 02:28:33.141]  That's at least a possibility, even though we're fairly close to him.
[02:28:33.261 --> 02:28:36.642]  Our chairman is up in New Hampshire right now campaigning with him.
[02:28:37.383 --> 02:28:39.463]  Bless his heart, he must be frozen stiff.
[02:28:41.084 --> 02:28:50.846]  I just don't know what all is going to happen that far down the road, but it does look as if Cruz has a very decent chance of pulling off a victory in Iowa.
[02:28:51.527 --> 02:28:56.348]  That alone could influence how people vote in New Hampshire.
[02:28:56.758 --> 02:29:01.341]  Right now Cruz is probably somewhere given on the polls second, third, fourth.
[02:29:02.421 --> 02:29:03.222]  That could all change.
[02:29:03.242 --> 02:29:04.002]  He's number two, yeah.
[02:29:04.082 --> 02:29:06.303]  Shoot up to the top, yeah.
[02:29:06.504 --> 02:29:08.044]  That could well be a game changer.
[02:29:08.064 --> 02:29:14.008]  Sure, I mean Cruz is a clear second now to Trump and I gotta say I love this because I'll be happy either one.
[02:29:14.828 --> 02:29:15.288]  Exactly.
[02:29:16.009 --> 02:29:17.730]  But I mean Cruz is more of a constitutionalist.
[02:29:17.770 --> 02:29:19.931]  He is politically smarter than Trump.
[02:29:20.231 --> 02:29:24.794]  Trump is better I think in business ways but I mean either way it's better than Hillary.
[02:29:26.090 --> 02:29:27.712]  Oh, by a long shot.
[02:29:27.752 --> 02:29:28.873]  Yeah, you're right about Cruz.
[02:29:28.913 --> 02:29:32.898]  He's smarter than all of us and probably all of our listeners combined.
[02:29:33.278 --> 02:29:35.601]  The guy is unbelievably smart.
[02:29:36.201 --> 02:29:39.385]  He's gonna run circles around whoever the Democrats have as a nominee.
[02:29:39.805 --> 02:29:42.468]  May not be Hillary unless they can run somebody from jail.
[02:29:42.949 --> 02:29:44.751]  Alright, gunowners.org.
[02:29:45.071 --> 02:29:47.274]  Give us that number too, sir, if folks want to call and join.
[02:29:48.614 --> 02:29:52.198]  888-886-GUNS.
[02:29:52.218 --> 02:29:53.078]  888-886-GUNS.
[02:29:53.779 --> 02:29:55.500]  Larry Pratt, what a hero.
[02:29:55.641 --> 02:29:57.142]  George Washington in our lifetime.
[02:29:57.182 --> 02:29:57.702]  Thank you, sir.
[02:29:59.584 --> 02:30:00.465]  We're on the march.
[02:30:00.985 --> 02:30:02.587]  The Empire's on the run.
[02:30:03.487 --> 02:30:06.190]  Alex Jones and the GCN Radio Network.
[02:30:10.558 --> 02:30:15.561]  President Obama is guilty of high crimes and misdemeanors you may not know about, until now.
[02:30:15.822 --> 02:30:21.365]  For one thing, he illegally gave Obamacare exemptions to unions that supported the passage of Obamacare.
[02:30:21.525 --> 02:30:31.972]  That's right, Obama gave some of his favorite organizations exemption from some of Obamacare's requirements, because many of them were unions and other groups that pressured the public to support the socialist program.
[02:30:32.272 --> 02:30:40.458]  Once these groups realized just how bad Obamacare really was, they wanted exemptions from the very same law they forced on everyone else, which Obama gave them.
[02:30:40.798 --> 02:30:46.199]  President Obama also had the IRS grant special illegal favors for his brother's so-called charity.
[02:30:46.459 --> 02:30:54.861]  The Daily Caller reported the IRS had taken the unprecedented step of approving a non-profit application within just one month from the Barack H. Obama Foundation.
[02:30:55.081 --> 02:31:00.522]  Additionally, the IRS illegally gave retroactive approval for the organization's tax-exempt status.
[02:31:00.662 --> 02:31:07.404]  You can find out more from the article on InfoWars.com entitled, 75 Times Obama Broke Law During Presidency.
[02:31:07.564 --> 02:31:08.984]  This is Kit Daniels reporting.
[02:31:10.413 --> 02:31:16.455]  Again, ladies and gentlemen, you can get six months free at PrisonPlanet.TV, but only for one more week.
[02:31:16.635 --> 02:31:26.658]  We've never offered six months free before, but I really want to get more people to join and to be able to watch the nightly news, live reports, the special reports, all my films, e-books, and so much more.
[02:31:27.238 --> 02:31:30.739]  One person can share their membership with 20 people.
[02:31:30.899 --> 02:31:35.581]  We have to have our own platform that is harder for them to censor, harder for the system to shut down.
[02:31:35.701 --> 02:31:37.401]  PrisonPlanet.tv.
[02:31:37.461 --> 02:31:43.083]  We put out the daily radio show free with a video and audio feeds at Infowars.com forward slash show.
[02:31:43.323 --> 02:31:50.566]  But it is the members that are paying it forward and helping so many other people see the truth.
[02:31:50.746 --> 02:31:57.408]  And it's PrisonPlanet.tv that finances so much of the cameras, the equipment, the crew, the reporters.
[02:31:57.808 --> 02:32:03.392]  You get exclusive HD, higher quality, get it first, and then you can download it, share it with friends and family.
[02:32:03.632 --> 02:32:07.795]  It's a win-win, and then you're helping finance to put it off for free to everybody.
[02:32:07.975 --> 02:32:09.937]  PrisonPlanet.tv.
[02:32:10.297 --> 02:32:13.499]  When cells become toxic, they die early, and aging sets in.
[02:32:13.779 --> 02:32:21.805]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[02:32:22.025 --> 02:32:27.049]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[02:32:27.449 --> 02:32:29.711]  You want the best that's out there at the lowest price anywhere?
[02:32:29.971 --> 02:32:31.752]  We now have the synergistic solution.
[02:32:32.072 --> 02:32:36.255]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[02:32:40.269 --> 02:32:44.470]  Used since before the days of the Roman Empire to support the body's natural systems.
[02:32:44.630 --> 02:32:48.592]  Introducing the new Infowarslife.com oil of oregano formulation.
[02:32:48.792 --> 02:32:53.573]  We have now procured the most high quality and potent forms of oregano oil on the market.
[02:32:53.733 --> 02:32:58.255]  Extracted directly from the wild herb and sealed in easy to use capsules.
[02:32:58.275 --> 02:33:01.716]  You will no longer need to endure the burning of liquid oregano on the tongue.
[02:33:01.876 --> 02:33:05.157]  Now available in our limited first run at Infowarslife.com.
[02:33:05.337 --> 02:33:07.137]  That's Infowarslife.com or call 888-253-3139.
[02:33:15.859 --> 02:33:22.522]  For every question they don't want you to ask, he has the answer they don't want you to hear.
[02:33:23.062 --> 02:33:25.784]  He is Alex Jones.
[02:33:26.984 --> 02:33:29.665]  Well, you can tell I'm not writing these new liners.
[02:33:29.705 --> 02:33:34.908]  They're very nice, but it's like, he's an egomaniac and has all the answers, Alex Jones.
[02:33:36.188 --> 02:33:37.189]  But I guess it's a good liner.
[02:33:38.428 --> 02:33:54.895]  There's a lot of questions they don't want you to ask and Alex Jones is asking those exact same questions and doing the best job he can with his team of investigative journalists and top experts from around the world to find out exactly what's happening and how to respond to the criminal activity.
[02:33:55.435 --> 02:33:58.176]  It's Alex Jones and the GCN Radio Network.
[02:34:00.077 --> 02:34:01.938]  Now we want to get government under our thumb.
[02:34:02.798 --> 02:34:03.279]  Crank it up.
[02:34:04.179 --> 02:34:05.579]  Thank you.
[02:34:05.740 --> 02:34:06.440]  When the government
[02:34:07.472 --> 02:34:08.813]  When it fears the people, there is liberty.
[02:34:09.793 --> 02:34:11.734]  When the people fear the government, there is tyranny.
[02:34:12.315 --> 02:34:17.598]  Thomas Jefferson needs to be under our thumb.
[02:34:19.559 --> 02:34:24.942]  The way she walks, the way she talks to me.
[02:34:28.043 --> 02:34:29.324]  Under my thumb.
[02:34:31.065 --> 02:34:35.928]  And that's where it needs to be, not under the foreign Chinese or other governments.
[02:34:37.791 --> 02:34:38.672]  Running our whole country?
[02:34:38.732 --> 02:34:39.453]  Running it to the ground?
[02:34:45.639 --> 02:34:47.140]  Okay, welcome back ladies and gentlemen.
[02:34:47.160 --> 02:34:48.441]  Thank you so much for joining us.
[02:34:48.501 --> 02:34:50.403]  Am I looking at camera four or camera one?
[02:34:50.423 --> 02:34:51.324]  They've changed the cameras around.
[02:34:51.344 --> 02:34:51.924]  They look better.
[02:34:52.505 --> 02:34:54.267]  I'm just getting my bearings and getting used to it here.
[02:34:55.632 --> 02:34:58.715]  David Knight is hosting the fourth hour today.
[02:34:59.756 --> 02:35:04.260]  Progressive and other insurers push surveillance chips to monitor drivers.
[02:35:04.340 --> 02:35:06.142]  Is this in the future you want?
[02:35:06.582 --> 02:35:09.385]  Meanwhile, robot cars, driverless and suicide bombers.
[02:35:09.745 --> 02:35:11.927]  Pentagon brags about total surveillance of all humanity.
[02:35:12.267 --> 02:35:17.812]  Civilian and contractor personnel, lumping whistleblowers like Thomas Drake in with violent terrorists.
[02:35:18.213 --> 02:35:21.776]  Gitmo president released after 14 years of torture, no charges ever brought.
[02:35:23.032 --> 02:35:25.173]  People say, well good, get tough on the terrorists.
[02:35:25.573 --> 02:35:31.896]  They take the real terrorists, train them there, then release them to go command ISIS, and then folks that are innocent get tortured for no reason.
[02:35:31.956 --> 02:35:35.117]  It's just a big exercise in breaking the law.
[02:35:36.177 --> 02:35:39.159]  How about our government doesn't fund ISIS and Al Qaeda for 30 years?
[02:35:40.339 --> 02:35:42.580]  How about we stop funding radical Islam?
[02:35:42.760 --> 02:35:44.221]  How about we stop shipping them in here?
[02:35:45.080 --> 02:35:45.800]  That's a good start.
[02:35:46.661 --> 02:35:52.243]  There's a lot of right-wingers that are like, Obama better not shut it down, what are you going to do?
[02:35:52.303 --> 02:35:54.504]  Third of them we release, go back and kill again.
[02:35:54.784 --> 02:35:56.804]  Because they're being released on purpose!
[02:36:01.126 --> 02:36:04.907]  Because when they go attack again, then they've got the terror attacks they need to take our freedoms.
[02:36:04.947 --> 02:36:07.608]  You're like, well then, should you keep them or let them go?
[02:36:08.229 --> 02:36:10.189]  You shouldn't have financed them to begin with.
[02:36:12.650 --> 02:36:13.711]  And they should let the police
[02:36:14.761 --> 02:36:15.801]  Profile these groups.
[02:36:15.861 --> 02:36:20.082]  They block Interpol and the FBI from tracking these groups.
[02:36:20.642 --> 02:36:21.742]  Congress has reported.
[02:36:21.802 --> 02:36:22.382]  It's come out.
[02:36:23.102 --> 02:36:25.583]  It came out with the San Bernardino situation.
[02:36:31.284 --> 02:36:41.346]  Speaking of that, let me get to a clip of Gabrielle Giffords' husband, Mr. Kelly, at the CNN thing Friday.
[02:36:41.366 --> 02:36:43.666]  And they're there.
[02:36:45.526 --> 02:36:52.634]  Blabbering and talking about conspiracy theories that confiscation, registration, confiscation, tyranny.
[02:36:53.455 --> 02:37:02.226]  And then I want to play for you Mayor Pro Tem who heads up the Safe Cities Initiative that ties into the Strong Cities Initiative of the UN.
[02:37:02.546 --> 02:37:04.529]  He heads it up for the Mayor of Austin.
[02:37:05.731 --> 02:37:13.856]  This is him two years ago when they were trying to pass gun registration, banning gun shows, and banning private transfer of firearms, even to family, and a bunch of other crud.
[02:37:14.597 --> 02:37:20.481]  Magazine restrictions, there was a whole bunch of stuff at the state level, and he gets up to a guy with a sign saying, no gun ban.
[02:37:21.461 --> 02:37:22.222]  With a stop sign.
[02:37:23.243 --> 02:37:26.665]  A sign looks like a stop sign for radio listeners, obviously TV viewers will be able to see it.
[02:37:28.146 --> 02:37:31.108]  And Martina says, let me just say something that just fell out here in the crowd.
[02:37:32.216 --> 02:37:32.876]  With that sign.
[02:37:33.317 --> 02:37:36.578]  Not yet, but after we do this, we're gonna do what's on your sign.
[02:37:39.120 --> 02:37:43.162]  Nationwide gun confiscation is the goal of Mayors Against Illegal Guns.
[02:37:44.462 --> 02:37:46.684]  Then they changed the name of it to the Safe Cities.
[02:37:48.545 --> 02:37:51.486]  And there is Democratic official admits plan to confiscate guns.
[02:37:53.047 --> 02:37:55.048]  And then they actually had the police chief here.
[02:37:55.068 --> 02:37:57.649]  I had him on about other issues, and he's a nice guy.
[02:37:57.669 --> 02:37:58.089]  I like him.
[02:37:58.150 --> 02:37:58.410]  I mean...
[02:38:00.993 --> 02:38:03.515]  He has, I think, made the police department better in many ways.
[02:38:05.316 --> 02:38:06.317]  Done some bad stuff too.
[02:38:06.357 --> 02:38:09.559]  But the point is, he's like, Mike Martinez shouldn't really mean that.
[02:38:09.739 --> 02:38:11.620]  There was a guy who was cussing in the crowd.
[02:38:11.680 --> 02:38:12.721]  We went back to the video.
[02:38:12.801 --> 02:38:14.602]  It was their people attacking and cussing.
[02:38:14.863 --> 02:38:17.504]  And he acted like Martinez was responding to that and not saying it.
[02:38:17.545 --> 02:38:19.206]  I mean, come on Ace Veda.
[02:38:19.226 --> 02:38:20.086]  I'm not stupid.
[02:38:20.326 --> 02:38:22.348]  Don't talk to me like I'm a five-year-old.
[02:38:25.307 --> 02:38:28.629]  I mean, don't try Jedi mind tricks on me telling me it's not the droids we're looking for.
[02:38:29.050 --> 02:38:30.370]  It's the same stuff Obama does.
[02:38:30.410 --> 02:38:32.732]  And I don't mean to go off on some jag against Ace Veda.
[02:38:32.772 --> 02:38:34.073]  I'd love to get him in studio again.
[02:38:34.093 --> 02:38:35.634]  In fact, I think we just asked him last week.
[02:38:35.654 --> 02:38:38.095]  We'll see if he'll come in, but he's a busy guy.
[02:38:40.597 --> 02:38:45.260]  But I mean, his dad was in the Cuban resistance, the CIA, the whole nine yards.
[02:38:45.320 --> 02:38:49.403]  I've met his dad on St.
[02:38:49.423 --> 02:38:49.983]  Patrick's Day.
[02:38:50.023 --> 02:38:50.744]  I was down at the whole
[02:38:51.991 --> 02:38:52.732]  We're good to go.
[02:39:16.815 --> 02:39:17.556]  He was so blown away.
[02:39:17.576 --> 02:39:22.560]  And I was just like, are you proud of your son coming after, you know, the Fourth Amendment and stuff?
[02:39:23.000 --> 02:39:28.104]  And the point is, Acevedo's always like, don't call me a communist, I hate communists and I don't want tyranny.
[02:39:28.565 --> 02:39:30.887]  Okay, well then don't go along with Obama's agenda.
[02:39:31.287 --> 02:39:33.509]  Don't be advised by the Southern Poverty Law Center.
[02:39:33.769 --> 02:39:36.351]  I mean, at a certain point, you've got to decide which side you're on.
[02:39:36.812 --> 02:39:41.896]  I get you want to be on both sides and be Mr. Friendly and all, and I'm just picking Acevedo out, Art Acevedo.
[02:39:43.368 --> 02:39:45.069]  As an example of police everywhere.
[02:39:45.149 --> 02:39:47.771]  I mean, this country is being screwed over right now.
[02:39:48.551 --> 02:39:49.872]  Real tyranny is coming in.
[02:39:50.433 --> 02:39:52.094]  We need more than lip service.
[02:39:53.795 --> 02:40:01.240]  But anyways, I just see Mike Martinez and the attempts that he's engaged in to take our guns.
[02:40:01.340 --> 02:40:03.621]  And it's just why I don't want to dislike him.
[02:40:04.041 --> 02:40:04.782]  I don't want to hate him.
[02:40:04.822 --> 02:40:08.484]  It's like the last mayor we had, Lee Leffingwell, would get up and flip people off.
[02:40:08.524 --> 02:40:09.125]  We have it on video.
[02:40:11.391 --> 02:40:13.553]  A nice old man, former airline pilot.
[02:40:14.633 --> 02:40:23.920]  We have doctors up there, medical doctors about fluoride with Harvard studies about brain damage, and he just starts scratching his head with his middle finger, clearly flipping everyone off, laughing at everyone.
[02:40:24.080 --> 02:40:25.901]  Excuse me, I gotta get up and go during this.
[02:40:26.462 --> 02:40:28.083]  Just so rude, so hateful.
[02:40:29.804 --> 02:40:31.605]  Being perched on by people like this.
[02:40:34.267 --> 02:40:36.108]  Anyways, let's go ahead and go to the clip.
[02:40:36.128 --> 02:40:36.389]  Here it is.
[02:40:37.590 --> 02:40:49.658]  Often what you hear in the debate of expanding background checks to more gun sales, and as you know, Gabby and I are 100% behind the concept of somebody getting a background check before buying a gun.
[02:40:50.338 --> 02:40:54.161]  But when we testified in front of the Senate Judiciary Committee,
[02:40:54.901 --> 02:41:09.487]  We heard not only from the gun lobby, but from United States Senators, that expanding background checks will, not may, will lead to a registry, which will lead to confiscation, which will lead to a tyrannical government.
[02:41:10.712 --> 02:41:23.813]  So I would like you to explain, with 350 million guns, in 65 million places, households, from Key West to Alaska.
[02:41:25.856 --> 02:41:28.779]  What I think Mark is alluding to is what I said earlier.
[02:41:28.799 --> 02:41:32.002]  This notion of a conspiracy out there and it gets wrapped up in
[02:41:43.411 --> 02:41:45.371]  Uh, concerns about the federal government.
[02:41:45.471 --> 02:41:47.472]  Now, there's a long history of that.
[02:41:47.812 --> 02:41:48.752]  That's in our DNA.
[02:41:49.532 --> 02:41:55.773]  You know, uh, the United States was, was born suspicious of some distant authority.
[02:41:56.874 --> 02:41:58.334]  Suspicious of a distant authority?
[02:41:58.674 --> 02:42:02.535]  Like the world government being set up with a TPP that's beyond King George III.
[02:42:02.555 --> 02:42:04.875]  At least we knew who he was and could read his proclamations.
[02:42:05.095 --> 02:42:08.676]  TPPs was secret for the, while they were getting it rammed through.
[02:42:10.063 --> 02:42:11.264]  These outrages are happening.
[02:42:11.504 --> 02:42:15.087]  Now here's Martinez, pointing at the sign that says no gun ban.
[02:42:15.107 --> 02:42:17.429]  Saying, sir, your sign right there?
[02:42:18.309 --> 02:42:19.670]  We're going to make that a reality.
[02:42:19.690 --> 02:42:24.974]  Austin City Council Member, Mike Martinez.
[02:42:29.137 --> 02:42:29.938]  Thank you so much.
[02:42:31.739 --> 02:42:37.824]  I've got a proclamation on behalf of the Mayor and City Council that we want to present, but I want to say a couple of words, and I'll be brief.
