[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[02:13:03.744 --> 02:13:09.490]  You know, I've been doing this for 40 years, Alex, and I have a pretty good fundamental understanding of polling.
[02:13:09.810 --> 02:13:12.733]  We're going to follow the state laws and we're going to do exit polling.
[02:13:12.953 --> 02:13:15.676]  Other articles said we're too stupid to know how to conduct it.
[02:13:16.317 --> 02:13:17.458]  Well, the networks do them.
[02:13:18.058 --> 02:13:23.084]  We're not accusing them of intimidating voters, but we're only talking to voters in this program
[02:13:23.784 --> 02:13:24.865]  After they voted.
[02:13:24.965 --> 02:13:27.007]  So where is the intimidation?
[02:13:27.447 --> 02:13:29.889]  No, I think we understand exactly what's going on here.
[02:13:29.969 --> 02:13:36.794]  The Clintons fear this program because they would like to get away with the perfect crime.
[02:13:37.335 --> 02:13:40.057]  Rigging the machines would be the perfect crime.
[02:13:41.077 --> 02:13:48.723]  And therefore, this really threatens them because it is the only tangible proof we may have of the hijack.
[02:13:50.024 --> 02:13:51.766]  The voter fraud
[02:13:52.622 --> 02:14:01.347]  Such as it exists is going to have to be picked up and detected by the poll watching operation being put together by the official Trump campaign.
[02:14:01.407 --> 02:14:04.809]  And I applaud them for starting early on that program.
[02:14:05.529 --> 02:14:11.313]  And they have, I'm told, have recruited thousands and thousands of volunteers for election.
[02:14:12.025 --> 02:14:17.309]  Hillary's got to be pretty freaked out right now with all these WikiLeaks coming out confirming Obama knew and they were involved in a cover-up.
[02:14:17.669 --> 02:14:19.691]  Even the New York Times had mentioned it's a smoking gun.
[02:14:20.211 --> 02:14:24.274]  And then mounting evidence of fraud, mounting evidence of them, they got a big poll out.
[02:14:24.294 --> 02:14:29.098]  The majority of Americans believe Hillary is way more corrupt and is involved in criminal activity.
[02:14:29.118 --> 02:14:35.843]  I mean, it seems like as the days wind down here, with 11 and a half days left, Hillary is just melting in front of us.
[02:14:36.772 --> 02:14:39.314]  Yeah, it's like the little boy with his thumb in the dike.
[02:14:39.374 --> 02:14:41.976]  They've got a thousand leaks, if they can just hold on.
[02:14:42.937 --> 02:14:47.301]  What's amazing to me, Alex, is the way the role of the mainstream media has changed.
[02:14:47.961 --> 02:14:58.070]  As you know, I worked for President Nixon, and I was there when the mainstream media revealed his darkest secrets, including substantial government malfeasance.
[02:14:58.890 --> 02:15:00.812]  And it brought Nixon's administration down.
[02:15:01.212 --> 02:15:10.199]  Now the exact same people, the New York Times, but principally the Washington Post, they're spending all of their time suppressing information about Hillary Clinton.
[02:15:10.259 --> 02:15:15.343]  Look, they have, as you know, they destroyed 33 emails, 1,000 emails.
[02:15:15.824 --> 02:15:20.827]  They used bleach to blot out, to erase the traces of that.
[02:15:21.248 --> 02:15:22.649]  They destroyed cell phones.
[02:15:23.129 --> 02:15:25.711]  They destroyed laptops with the approval of the FBI.
[02:15:26.992 --> 02:15:30.093]  And, you know, the Washington Post says nothing here to see, folks.
[02:15:30.113 --> 02:15:30.894]  Just keep moving.
[02:15:31.614 --> 02:15:32.654]  It's really extraordinary.
[02:15:32.854 --> 02:15:33.535]  Really extraordinary.
[02:15:34.635 --> 02:15:35.115]  I agree.
[02:15:35.155 --> 02:15:36.196]  There's been almost a total cover-up.
[02:15:36.216 --> 02:15:40.677]  That's why I was shocked this morning to see the New York Times having a big article saying, whoa, they got a problem.
[02:15:41.017 --> 02:15:42.018]  This is a big deal.
[02:15:43.817 --> 02:15:54.823]  Well, look, and it's not outside the realm, of course, that if Hillary should win by theft or by hook or by crook, you know, Nixon won by a landslide, too.
[02:15:55.324 --> 02:15:58.165]  And he was still out of office, you know, a year and a half later.
[02:15:58.666 --> 02:16:01.907]  I think some of these scandals are such that they're going to catch up with her one way.
[02:16:01.967 --> 02:16:02.648]  I totally agree.
[02:16:02.668 --> 02:16:07.451]  There's no way, no way she gets away with this, even if the elite are dumb enough to put her in.
[02:16:08.731 --> 02:16:10.012]  I think that's exactly right.
[02:16:10.512 --> 02:16:12.634]  On the other hand, for those who, again,
[02:16:13.817 --> 02:16:15.158]  Tell us that this is over.
[02:16:15.359 --> 02:16:20.244]  I repeat what I said on the circus on Showtime Sunday night.
[02:16:21.225 --> 02:16:21.485]  Over?
[02:16:22.206 --> 02:16:23.247]  Did you say over?
[02:16:24.047 --> 02:16:26.310]  Nothing's over till we say it is!
[02:16:27.128 --> 02:16:35.191]  Well, sure, it's total mind control, like we're, you know, stormtroopers, you know, there at Los Isley Spaceport, and they say, are these the droids?
[02:16:35.251 --> 02:16:36.471]  No, they're not the droids you're looking for.
[02:16:36.511 --> 02:16:38.152]  They're the droids we're looking for.
[02:16:38.512 --> 02:16:43.774]  Clearly, Trump is now, it looks like, ahead in these battleground states, even in their oversampled for Democrat polls.
[02:16:44.374 --> 02:16:45.814]  There's a surge happening right now.
[02:16:45.834 --> 02:16:47.075]  I mean, I know you want people to, you know,
[02:16:47.635 --> 02:16:59.490]  Not be totally convinced they all get out and vote but I mean I'm seeing just massive support for Trump intensify and so their claim that you know he's gonna Hillary's already you know measuring the drapes for the White House is a fraud.
[02:17:00.666 --> 02:17:01.446]  Totally agree.
[02:17:01.726 --> 02:17:20.450]  It's part of the two-part step process here, which is first you rig the polls to create an expectation level, then on the base of those polls the mainstream media says this is over, she's won, Trump is in a down spiral, and then they go rig the machines to meet that expectation.
[02:17:20.790 --> 02:17:23.871]  This is why the Stop the Steal program, stopthesteal.org,
[02:17:24.751 --> 02:17:29.418]  And our new partners, Vote Protectors, we're still working out a lot of bugs.
[02:17:29.438 --> 02:17:31.120]  This is an enormous operation.
[02:17:31.801 --> 02:17:34.986]  And none of it's going to be perfect, but there are going to be cameras, there's going to be people.
[02:17:35.526 --> 02:17:38.330]  I mean, this is going to be probably the biggest mobilization ever against fraud.
[02:17:39.168 --> 02:17:42.070]  I think that is going to be the case, yes.
[02:17:42.451 --> 02:17:49.756]  Plus, I see that Bill Clinton, on his way through North Carolina, on his bus tour, was met by some whistlers.
[02:17:50.297 --> 02:17:54.740]  So, that program... We have the Bill Clinton rape whistles pouring out of the store right now.
[02:17:55.481 --> 02:17:58.163]  So, absolutely, you are the info warriors, folks.
[02:17:58.183 --> 02:17:59.124]  You're the game changers.
[02:17:59.364 --> 02:18:00.945]  You've seen the corruption, the mainstream media.
[02:18:01.525 --> 02:18:02.847]  But I'm not sentenced to praying for defeat.
[02:18:02.867 --> 02:18:04.107]  I believe we're going to win more than ever.
[02:18:04.488 --> 02:18:05.669]  But, even if they steal it,
[02:18:06.567 --> 02:18:07.728]  We have destroyed the globalists.
[02:18:07.748 --> 02:18:08.868]  We've exposed their system.
[02:18:08.928 --> 02:18:11.470]  Donald Trump has won the 2016 election.
[02:18:11.870 --> 02:18:14.611]  As he said yesterday, he said, even if they steal it from me, folks, he goes, I think we're going to win.
[02:18:15.012 --> 02:18:16.773]  He said, we've got to beat TPP.
[02:18:17.033 --> 02:18:18.193]  We've got to restore our sovereignty.
[02:18:18.213 --> 02:18:19.234]  We've got to get better trade deals.
[02:18:19.434 --> 02:18:20.395]  We're never going to stop.
[02:18:20.675 --> 02:18:22.836]  And we're seeing the fact, Trump ain't going nowhere.
[02:18:23.096 --> 02:18:24.357]  This movement's going nowhere.
[02:18:24.437 --> 02:18:26.238]  It's just getting stronger one way or the other.
[02:18:26.818 --> 02:18:31.082]  And what I like is he's getting back to his core messages now, which is strategic.
[02:18:31.862 --> 02:18:37.407]  Exactly what won him the nomination over the, you know, the elitist establishment.
[02:18:37.547 --> 02:18:37.907]  I agree.
[02:18:37.927 --> 02:18:39.108]  Suddenly he's on target.
[02:18:39.128 --> 02:18:39.589]  What's happened?
[02:18:40.407 --> 02:18:43.169]  Yeah, well, I think that he is taking a step back.
[02:18:43.610 --> 02:18:46.252]  I think he has a very good feel for what's going on here.
[02:18:46.272 --> 02:18:48.393]  I think he is not dispirited.
[02:18:48.413 --> 02:18:50.975]  In fact, I know he's not dispirited.
[02:18:51.836 --> 02:18:55.059]  And you can't help but be turned on by these crowds.
[02:18:55.139 --> 02:18:57.120]  I was about to say, he seems turbocharged.
[02:18:57.140 --> 02:18:58.721]  You don't talk about stuff you and Trump talk about.
[02:18:59.382 --> 02:19:01.564]  I barely mentioned a few things and the media blows up with it.
[02:19:01.584 --> 02:19:02.324]  I don't know why you don't.
[02:19:02.384 --> 02:19:04.866]  But, I mean, you're saying you know he's not dispirited.
[02:19:04.906 --> 02:19:05.847]  He looks supercharged.
[02:19:05.887 --> 02:19:06.668]  Tell us how Trump's doing.
[02:19:07.328 --> 02:19:11.793]  He was in Florida the other night, and I think he's just energized by these crowds.
[02:19:12.193 --> 02:19:15.637]  I'm a veteran of nine Republican presidential campaigns.
[02:19:15.737 --> 02:19:17.379]  I saw Reagan's re-election.
[02:19:17.859 --> 02:19:19.501]  I saw Nixon's re-election.
[02:19:19.521 --> 02:19:23.185]  He gets more energized by hard work and fighting with the people.
[02:19:23.225 --> 02:19:24.046]  He loves the people.
[02:19:24.226 --> 02:19:24.967]  Hillary hates it.
[02:19:25.883 --> 02:19:30.645]  And he's laid on more campaign stops than physically a man his age should be able to do.
[02:19:30.725 --> 02:19:33.886]  I mean, he is really putting in the time and the energy.
[02:19:33.986 --> 02:19:40.969]  Normally, as you know, a candidate does one event a day, you endeavor to get television coverage, and you're done.
[02:19:41.389 --> 02:19:45.431]  Trump is working four, and I'm told he wants to lay on more.
[02:19:45.771 --> 02:19:46.812]  Four events a day.
[02:19:47.592 --> 02:19:49.153]  Storming through Florida, for example.
[02:19:49.213 --> 02:19:51.233]  And some cases on tarmacs that are 115 degrees in Arizona.
[02:19:52.774 --> 02:20:01.325]  And then yesterday, Hillary Clinton shows up in Broward County, slips into a private meeting with the woman who runs the Board of Elections.
[02:20:01.765 --> 02:20:05.270]  A woman whose reputation... Let's talk about that.
[02:20:05.310 --> 02:20:09.755]  Let's talk about Hillary just met with the head of elections in the key county in Florida.
[02:20:09.775 --> 02:20:10.876]  Break it down, Roger Stone.
[02:20:11.437 --> 02:20:25.288]  We're going to have photos right here on InfoWars shortly, but there was a short two-person closed-door meeting between the woman who's the supervisor of elections in Broward County, Brenda Snipes.
[02:20:25.788 --> 02:20:29.531]  Extremely controversial, long record of incompetence.
[02:20:30.171 --> 02:20:41.180]  Only two days ago, she had to announce that somehow Amendment 2, which happens to be medical marijuana, isn't going to be on the ballot in Broward County because of some kind of screw-up.
[02:20:41.560 --> 02:20:42.941]  Oh, a glitch!
[02:20:43.221 --> 02:20:44.241]  Oh my gosh!
[02:20:44.502 --> 02:20:55.527]  This is the whole place we saw in 2000 with all the problems, and now magically, this is almost worse than Loretta Lynch, the AG, meeting with old Billy Clinton out there on that tarmac.
[02:20:56.141 --> 02:21:12.233]  Yeah, I mean, you gotta wonder, why is the Democratic presidential candidate having a closed-door meeting with the supervisor of elections in one of the largest Democratic counties in the state, and a county that has had a history of problems with their voting process?
[02:21:14.174 --> 02:21:15.655]  Is it arrogance with Clinton?
[02:21:15.675 --> 02:21:18.798]  Because they seem like the most arrogant people ever, or is it just they don't care?
[02:21:19.807 --> 02:21:28.775]  Well, notice by the way that nobody in the traveling press entourage and no one in the Florida press has reported this private meeting.
[02:21:29.395 --> 02:21:32.118]  This is the breaking news right here.
[02:21:32.718 --> 02:21:33.679]  And now it's out there.
[02:21:33.899 --> 02:21:37.482]  Maybe they'll have some explanation of what she was doing with Brenda Snipes.
[02:21:38.567 --> 02:21:38.887]  Wow!
[02:21:39.148 --> 02:21:44.732]  Okay, we've got about six minutes left with Roger Stone, then Project Veritas is going to simultaneously publish.
[02:21:44.872 --> 02:21:45.573]  They gave it to us early.
[02:21:45.593 --> 02:21:56.322]  I wanted them to publish at the same time so the drudge can get it, but we're going to premiere this video of amazing information, them taking money through a foreign bank account, believing it was foreign money.
[02:21:56.362 --> 02:22:05.570]  We know they did that in the WikiLeaks, but this is just... I love how we keep seeing Project Veritas duplicate in the real world via video, in the third dimension, what's happening in cyberspace.
[02:22:07.076 --> 02:22:09.758]  Yeah, it's really quite extraordinary.
[02:22:10.079 --> 02:22:15.103]  You'll remember, Alex, that I came on this show, I don't know, eight months ago?
[02:22:15.384 --> 02:22:16.144]  Six months ago?
[02:22:16.284 --> 02:22:25.272]  And I said that my research indicated that Soros-funded groups were behind the violence at the Trump rallies.
[02:22:25.693 --> 02:22:27.454]  And the mainstream media poo-pooed that.
[02:22:27.635 --> 02:22:30.958]  And you said they were being sent dressed as Sanders people to discredit both groups.
[02:22:31.238 --> 02:22:32.199]  Now, all released.
[02:22:32.279 --> 02:22:33.200]  Confirmed everything you said.
[02:22:33.848 --> 02:22:34.248]  Exactly.
[02:22:34.548 --> 02:22:37.269]  So, I think this is key.
[02:22:37.309 --> 02:22:40.190]  Now, remember, what was the great lesson of Watergate?
[02:22:41.050 --> 02:22:42.991]  No person is above the law.
[02:22:43.671 --> 02:22:46.612]  And Nixon was brought down by dirty tricks by his president.
[02:22:46.712 --> 02:22:49.233]  And Nixon said, it's not illegal when the president does it.
[02:22:49.373 --> 02:22:50.973]  And the law said, no it is.
[02:22:51.934 --> 02:22:52.494]  Yeah, exactly.
[02:22:52.834 --> 02:22:53.974]  I remember all too well.
[02:22:54.134 --> 02:22:57.055]  So, I just don't know why we have this double standard.
[02:22:57.075 --> 02:22:59.456]  Wait a minute, I guess I do know why we have this double standard.
[02:23:01.412 --> 02:23:02.833]  Man, I tell you, time is on our side.
[02:23:02.874 --> 02:23:08.698]  The time we have left, because what else is on the big board there at thestonecoldtruth.com?
[02:23:09.639 --> 02:23:19.267]  Well, we have had some minor hacking problems on our platform for vote protectors for the Stop the Steal operation.
[02:23:19.287 --> 02:23:20.428]  Wow, that's a whole other headline.
[02:23:21.269 --> 02:23:27.534]  Grassroots organization to defend voting integrity or vote fraud investigation site hacked.
[02:23:27.614 --> 02:23:27.814]  Wow.
[02:23:28.775 --> 02:23:32.917]  But the good news is that our guys really know what they're doing and they had excellent firewalls.
[02:23:32.997 --> 02:23:35.978]  So I think most of this has been repelled.
[02:23:36.898 --> 02:23:39.339]  This exit poll is going forward.
[02:23:39.799 --> 02:23:44.421]  And as I said yesterday, I guess it was, we need men and women
[02:23:44.881 --> 02:23:49.703]  Who can give us a day of their time, on election day, to serve as exit pollers.
[02:23:50.163 --> 02:23:51.043]  We'll train you.
[02:23:51.403 --> 02:23:52.283]  We'll assign you.
[02:23:52.804 --> 02:23:53.884]  We will schedule you.
[02:23:54.364 --> 02:23:56.345]  But we need the voluntary manpower.
[02:23:56.485 --> 02:24:01.566]  We don't have the 30, 40 million dollars that Soros has thrown into... But we've got the people.
[02:24:01.586 --> 02:24:03.427]  And in closing, let me ask you this.
[02:24:03.507 --> 02:24:08.889]  To see foreign governments, our own intelligence agencies, which is now being confirmed, are the main leakers.
[02:24:08.909 --> 02:24:12.190]  And that's from William Binney, the former head of the NSA.
[02:24:12.850 --> 02:24:17.573]  Patriots, law enforcement groups, citizens of every race, color, and creed, battling against Hillary and the Clintons.
[02:24:17.613 --> 02:24:26.798]  The whole world knows they're evil, except for disconnected, kind of, uh, you know, loony bin folks that Hillary openly hates and calls basement dwellers.
[02:24:27.999 --> 02:24:29.060]  What does this signify?
[02:24:29.080 --> 02:24:32.242]  It really makes me feel good about humanity, that humanity hates the Clintons.
[02:24:33.271 --> 02:24:41.194]  Yeah, I think this doesn't end well for them because none of these problems being raised in WikiLeaks are going to go away.
[02:24:41.674 --> 02:24:45.495]  Even if she does manage to steal this election and hold on to it.
[02:24:45.655 --> 02:24:57.740]  But I want to be in a position that we have definitive proof, admissible in a court of law, to challenge this election if there is the widespread irregularities that we expect.
[02:24:59.901 --> 02:25:03.342]  Now, getting back to the whistles, again, we don't make money on them, folks.
[02:25:03.502 --> 02:25:04.202]  They're $9.95.
[02:25:04.402 --> 02:25:05.442]  They've got a big lanyard.
[02:25:05.602 --> 02:25:08.503]  They're available at InfowarsStore.com, StoneColdTruth.com.
[02:25:08.523 --> 02:25:09.383]  We're now shipping out.
[02:25:09.743 --> 02:25:13.884]  I hired four or five extra people just for this election season, so everything is same-day shipping right now.
[02:25:14.584 --> 02:25:17.785]  Every day, unless your order comes in at like 5 o'clock, until 7 at night, they're shipping.
[02:25:18.125 --> 02:25:20.086]  If it comes in, you know, after 5, it doesn't come out the next day.
[02:25:20.406 --> 02:25:21.386]  We're shipping everything.
[02:25:22.156 --> 02:25:22.496]  Everything.
[02:25:22.576 --> 02:25:24.076]  Rape whistles, Bill Clinton rape shirts.
[02:25:24.136 --> 02:25:25.677]  I told you no more Hillary shirts when they sold out.
[02:25:25.737 --> 02:25:26.097]  I know that.
[02:25:26.917 --> 02:25:27.557]  I underestimated.
[02:25:27.577 --> 02:25:28.237]  We sold out.
[02:25:28.277 --> 02:25:28.797]  Sorry, they're gone.
[02:25:28.817 --> 02:25:29.398]  I have to keep my word.
[02:25:29.418 --> 02:25:29.918]  Those are gone now.
[02:25:30.178 --> 02:25:31.018]  You've got a piece of history.
[02:25:31.578 --> 02:25:34.499]  We've got the Trump is my president shirt.
[02:25:34.779 --> 02:25:36.179]  That could sell in a matter of days.
[02:25:36.199 --> 02:25:37.159]  That's a one-time run.
[02:25:37.399 --> 02:25:38.800]  It's a red shirt to wear on election day.
[02:25:39.500 --> 02:25:40.400]  So all that's happening.
[02:25:40.440 --> 02:25:41.880]  I just cannot stress to you enough.
[02:25:42.280 --> 02:25:44.421]  This is the time when one day is like a year.
[02:25:44.841 --> 02:25:45.781]  The next 12 days.
[02:25:45.841 --> 02:25:46.821]  What else do we do, Stone?
[02:25:47.121 --> 02:25:48.062]  You know, call liberals.
[02:25:48.422 --> 02:25:49.242]  Have interventions.
[02:25:49.862 --> 02:25:51.243]  Uh, you know, expose what's happening.
[02:25:51.263 --> 02:25:52.044]  I mean, what do we do, right?
[02:25:52.084 --> 02:25:52.865]  Call on the talk radio.
[02:25:52.905 --> 02:25:53.365]  What do we do?
[02:25:54.386 --> 02:25:55.167]  Get your whistle.
[02:25:56.067 --> 02:25:58.930]  Go online and figure out when Bill Clinton's coming to your state.
[02:25:59.710 --> 02:26:12.061]  Get your t-shirt, where we've had to go into a guerrilla tactics to break through the mainstream media blackout of Bill's escapades as a serial rapist and Hillary's role in the cover-up.
[02:26:13.499 --> 02:26:13.999]  There you go.
[02:26:14.300 --> 02:26:15.400]  History's happening now.
[02:26:15.801 --> 02:26:16.721]  Call into C-SPAN.
[02:26:16.781 --> 02:26:17.762]  Expose him as a rapist.
[02:26:17.842 --> 02:26:18.702]  Expose Benghazi.
[02:26:18.983 --> 02:26:19.683]  Get aggressive.
[02:26:19.723 --> 02:26:20.284]  Do what you've done.
[02:26:20.304 --> 02:26:21.704]  I've already given out the $100,000 in prizes.
[02:26:21.784 --> 02:26:22.405]  I can't do any more.
[02:26:23.165 --> 02:26:24.066]  This is history, folks.
[02:26:24.186 --> 02:26:26.247]  You are the resistance, legal and lawfully.
[02:26:26.588 --> 02:26:28.289]  Get out there and make a scene.
[02:26:28.789 --> 02:26:29.069]  Roger?
[02:26:29.870 --> 02:26:33.532]  And then go to StopTheSteal.org and sign up to help us on Election Day.
[02:26:34.773 --> 02:26:36.154]  Blow the whistle on tyranny.
[02:26:36.494 --> 02:26:38.576]  Roger Stone, keep it up, my friend.
[02:26:38.596 --> 02:26:40.517]  And we will talk to you again very, very soon.
[02:26:41.137 --> 02:26:41.678]  Many thanks.
[02:26:42.406 --> 02:26:45.148]  Man, I tell you folks, this is such a critical time to be alive.
[02:26:45.168 --> 02:26:47.089]  I am so honored to know you.
[02:26:47.109 --> 02:26:51.652]  And I don't just say that to like, like, you know, pitch guys do that I appreciate you and boy, you're a great audience.
[02:26:51.672 --> 02:26:53.092]  I am humbled by you.
[02:26:53.253 --> 02:26:55.634]  I, I just, it's this crew is so awesome.
[02:26:57.255 --> 02:26:59.997]  Our sponsors, everybody just, you're so awesome.
[02:27:01.117 --> 02:27:05.000]  And man, I see the Hispanics and black folks and people up in those big crowds with Trump.
[02:27:05.965 --> 02:27:08.489]  And I see sometimes like half the folks coming into the event being Hispanic.
[02:27:08.549 --> 02:27:09.611]  I just want to give them hugs.
[02:27:10.412 --> 02:27:11.634]  Because I want to give everybody a big hug.
[02:27:11.674 --> 02:27:13.276]  Because I want to break this lie.
[02:27:14.592 --> 02:27:18.716]  That Hispanics can't have guns and Hispanics can't have property and blacks can't have guns and property.
[02:27:18.776 --> 02:27:21.198]  We can't all just be prosperous and start getting along.
[02:27:21.618 --> 02:27:30.085]  And we'll still have races, still have some problems, but we'll have to have the government dumping fuel on the fire where we all act like idiots with each other and we're not comfortable around each other.
[02:27:30.305 --> 02:27:34.829]  So a bunch of jackass foreign billionaires who have white papers on how they're manipulating us get away with it.
[02:27:35.169 --> 02:27:36.030]  I'm tired of it!
[02:27:36.550 --> 02:27:37.391]  I'm sick of it!
[02:27:39.253 --> 02:27:40.974]  And Trump is trying to break all that.
[02:27:40.994 --> 02:27:43.116]  I mean, I love seeing
[02:27:44.654 --> 02:27:49.656]  LGBT for Trump, and Black for Trump, and Hispanic, and all these people up there, and a lot of Christians, and people say, well how dare you?
[02:27:49.676 --> 02:27:51.956]  You know, Christ went and talked to everybody.
[02:27:52.637 --> 02:27:56.078]  And stop throwing stones when you've got your own sins.
[02:27:56.158 --> 02:27:57.118]  I'm so sick of it.
[02:27:57.398 --> 02:28:00.259]  The point is that we need to save this country!
[02:28:03.120 --> 02:28:06.601]  Anyways, I just love how he's bringing people together and shattering the lies.
[02:28:06.981 --> 02:28:08.922]  They can edit what he says all day, just like they do me,
[02:28:09.878 --> 02:28:14.562]  People tune into the truth, they find out what I'm really saying, and they say, wow, I had a misconception about you.
[02:28:15.522 --> 02:28:16.103]  Absolutely.
[02:28:16.143 --> 02:28:17.904]  The truth is, I am a classical liberal.
[02:28:18.445 --> 02:28:19.145]  I want freedom!
[02:28:20.006 --> 02:28:22.528]  But it means I've got to be able to lead my life, you lead yours.
[02:28:22.668 --> 02:28:24.069]  I'm not going to do what you want.
[02:28:24.089 --> 02:28:25.970]  That's what real liberalism is.
[02:28:26.451 --> 02:28:28.632]  I'm going to do what I want, as long as it doesn't hurt you.
[02:28:28.652 --> 02:28:32.836]  I'm going to use what words I want, I'm going to do what I want, you get out of my life.
[02:28:34.197 --> 02:28:36.719]  Now, some of those sponsors that make it all possible is Harvest, right?
[02:28:38.430 --> 02:28:39.010]  Harvest right.
[02:28:39.711 --> 02:28:40.912]  I mean, this is what I use in my own home.
[02:28:40.952 --> 02:28:42.353]  It's such an amazing dehydrator system.
[02:28:42.633 --> 02:28:46.335]  Created the most amazing home appliance, a home freeze dryer that helps you be prepared.
[02:28:46.355 --> 02:28:49.117]  This appliance allows you to freeze dry your own food at home.
[02:28:49.717 --> 02:28:51.939]  Freeze drying locks in 100% of the food's nutrients.
[02:28:52.339 --> 02:28:56.202]  So even 25 years later, the food is just as healthy as it tastes the day you made it.
[02:28:56.222 --> 02:28:57.543]  I mean, the jerky it makes is incredible.
[02:28:58.294 --> 02:29:02.960]  You can freeze-dry foods such as garden produce and proteins, even whole meals like lasagna and beef stew.
[02:29:03.320 --> 02:29:06.624]  HarvestRight just sent us some freeze-dried food and I couldn't believe how fresh it tasted.
[02:29:06.864 --> 02:29:08.146]  Visit HarvestRight.com.
[02:29:08.166 --> 02:29:09.427]  That's HarvestRight.com or call 800-594-4635.
[02:29:09.448 --> 02:29:09.868]  HarvestRight.com.
[02:29:09.948 --> 02:29:11.690]  And then also Solutions from Science!
[02:29:16.596 --> 02:29:18.477]  They have a new Perfect Power Solar Generator.
[02:29:18.497 --> 02:29:19.298]  They're top of the line.
[02:29:19.638 --> 02:29:20.798]  It's their top-of-the-line model.
[02:29:20.818 --> 02:29:21.719]  It's what I use in my home.
[02:29:22.079 --> 02:29:25.001]  It's expandable, so you can make it as powerful as you want to.
[02:29:25.041 --> 02:29:26.021]  Normally around $6,000.
[02:29:26.062 --> 02:29:27.762]  We're letting them go for less than $1,500.
[02:29:28.643 --> 02:29:30.424]  Visit PowerGridChaos.com.
[02:29:30.444 --> 02:29:31.785]  That's PowerGridChaos.com.
[02:29:32.045 --> 02:29:33.466]  And get yours before they are gone.
[02:29:33.766 --> 02:29:34.726]  PowerGridChaos.com.
[02:29:34.947 --> 02:29:37.288]  If you're looking for a solar generator, this is it.
[02:29:37.568 --> 02:29:38.989]  PowerGridChaos.com.
[02:29:39.029 --> 02:29:41.110]  They have a lot of other great products as well.
[02:29:41.410 --> 02:29:43.752]  Solutions from Science Solar Generators.
[02:29:44.452 --> 02:29:46.174]  At cost or below right now.
[02:29:47.054 --> 02:29:48.556]  Powergridchaos.com.
[02:29:48.616 --> 02:29:50.397]  Stay with us for the Veritas exclusive.
[02:29:52.459 --> 02:29:53.340]  We're on the march.
[02:29:53.860 --> 02:29:55.462]  The Empire's on the run.
[02:29:56.382 --> 02:29:59.085]  Alex Jones and the GCN Radio Network.
[02:30:03.636 --> 02:30:08.879]  If you look at Bill Clinton, far worse, minor words, and his was action.
[02:30:09.479 --> 02:30:11.000]  His was what he's done to women.
[02:30:11.040 --> 02:30:16.724]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[02:30:16.944 --> 02:30:19.245]  Bill Clinton was abusive to women.
[02:30:19.605 --> 02:30:25.789]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[02:30:25.909 --> 02:30:31.212]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[02:30:42.059 --> 02:30:44.801]  There is an information warfare happening right now.
[02:30:45.662 --> 02:30:47.104]  It's a fight for our minds.
[02:30:47.784 --> 02:30:49.706]  And InfoWars.com is on the front lines.
[02:30:50.026 --> 02:30:54.250]  Download our free multimedia app at InfoWars.com forward slash app.
[02:30:54.390 --> 02:30:57.733]  It's free, it's on Droid, it's on Apple, you name it.
[02:30:57.813 --> 02:30:59.355]  InfoWars.com forward slash app.
[02:31:03.775 --> 02:31:10.881]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[02:31:11.241 --> 02:31:24.472]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[02:31:25.393 --> 02:31:36.646]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[02:31:37.307 --> 02:31:43.253]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[02:31:44.014 --> 02:31:52.403]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[02:31:53.024 --> 02:32:01.213]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[02:32:03.920 --> 02:32:07.422]  Telecom giant AT&T has secretly been cooperating with the U.S.
[02:32:07.482 --> 02:32:12.785]  government, employing a controversial project known as Hemisphere, and they've been doing it by some reports since 2007.
[02:32:13.085 --> 02:32:18.228]  Now it's a key moneymaker for AT&T as they're selling the information for profit.
[02:32:18.388 --> 02:32:19.489]  Hemisphere gives the U.S.
[02:32:19.529 --> 02:32:23.751]  government access to a large database that stores telephone records spanning decades.
[02:32:24.051 --> 02:32:29.054]  Apple AT&T is earning millions of taxpayer money by secretly helping the government spy on U.S.
[02:32:29.114 --> 02:32:35.277]  citizens, and law enforcement organs are saying that they're cracking cases by providing information of trillions of phone calls.
[02:32:35.297 --> 02:32:42.081]  Now, it's been criticized by civil liberty groups for serving what they say is essentially an espionage program targeting U.S.
[02:32:42.121 --> 02:32:42.621]  civilians.
[02:32:42.821 --> 02:32:48.384]  The program enables government agencies to tap into phone records and pinpoint locations of cellular phone users.
[02:32:48.624 --> 02:32:51.287]  Something we know that they've been doing for a very long time.
