[00:00:16.280 --> 00:00:18.282]  Ladies and gentlemen, wow!
[02:01:50.612 --> 02:01:58.994]  That we're really trying to go over the facts here that are incontrovertible in most cases and they just are angry thinking everybody's got to work for somebody.
[02:01:59.534 --> 02:02:04.856]  And I started thinking about it, maybe because I started my own business or I'm on operation, I understand a lot of folks don't work for somebody.
[02:02:04.876 --> 02:02:07.416]  In fact, my whole life's about not working for somebody.
[02:02:08.176 --> 02:02:10.517]  I think that's why I get mad about it is because it's not true.
[02:02:11.177 --> 02:02:13.038]  But go ahead and make your points about executive orders, sir.
[02:02:14.938 --> 02:02:15.378]  Okay, Alex.
[02:02:19.082 --> 02:02:24.604]  Donald Trump already came out and said that he was going to vacate a bunch of the executive orders that Obama's done.
[02:02:25.624 --> 02:02:34.947]  So what he's done is he's passed the torch over to his compartment in his czarist nation that he established.
[02:02:35.467 --> 02:02:38.347]  And they're going to try to do it by way of just proclamation.
[02:02:38.448 --> 02:02:39.388]  We're going to do this now.
[02:02:39.528 --> 02:02:39.788]  Okay.
[02:02:40.988 --> 02:02:43.569]  So Trump has got to move forward and get this thing done.
[02:02:43.849 --> 02:02:44.829]  But here's the issue.
[02:02:44.909 --> 02:02:47.150]  Here's the main issue that everybody's missing.
[02:02:48.658 --> 02:02:54.799]  Our country is unique across this entire globe in the fact that the people are supposed to be in control.
[02:02:55.400 --> 02:02:56.980]  That's the essence of self-government.
[02:02:58.320 --> 02:03:09.082]  And the founders, when they were drawing up our articles, they decided that we were going to stay in this position where we're not led by anybody except for what we need to take care of ourselves.
[02:03:10.003 --> 02:03:12.123]  And we're going to be a defensive nation.
[02:03:12.813 --> 02:03:14.553]  We're not going to be aggressive anywhere.
[02:03:14.573 --> 02:03:22.415]  And that's because they were studying William Tell in Switzerland, that was only a hundred and something years old at that time, and if we'd have done that, wow, can you imagine?
[02:03:23.396 --> 02:03:24.516]  Now, you think about this.
[02:03:24.576 --> 02:03:36.779]  The first two articles, they put so much importance on populating our representatives and paying them, that those are the first two articles of our Bill of Rights, which should more correctly be called a Bill of Prohibitions.
[02:03:37.499 --> 02:03:38.699]  Articles of Prohibitions.
[02:03:39.399 --> 02:03:42.440]  You keep your hands off of this because this is the people talking.
[02:03:43.223 --> 02:03:44.063]  You do whatever you want.
[02:03:44.083 --> 02:03:44.844]  That's right.
[02:03:44.884 --> 02:03:50.186]  Congress shall make no law respecting an establishment of religion or the free exercise thereof.
[02:03:50.226 --> 02:03:51.487]  It means you don't have a jurisdiction.
[02:03:52.687 --> 02:03:53.608]  You can't touch it.
[02:03:55.148 --> 02:03:56.089]  But here's the thing.
[02:03:56.129 --> 02:04:07.954]  We put out a call for the people to get off their butt and force our state to ratify the original first, which is the division of the congressional district.
[02:04:08.951 --> 02:04:13.073]  And then we're going to eviscerate this criminal cabal that we've got.
[02:04:13.093 --> 02:04:13.974]  I agree.
[02:04:14.274 --> 02:04:16.935]  If we go back to the full Constitution, it'll break up the gerrymandering.
[02:04:16.955 --> 02:04:17.656]  There's a lot of good stuff.
[02:04:18.636 --> 02:04:19.337]  Absolutely.
[02:04:19.577 --> 02:04:20.117]  Absolutely.
[02:04:20.137 --> 02:04:21.138]  But all we need is people.
[02:04:21.198 --> 02:04:25.140]  We've got to possibly... But see, you're so informed, Johnny, you sound like you're speaking space alien.
[02:04:25.380 --> 02:04:27.201]  Not to our general audience, but to a new listener.
[02:04:27.221 --> 02:04:30.583]  I mean, have you seen how dumb the people are we talk to and that Mark Dice talks to?
[02:04:30.803 --> 02:04:32.304]  They don't know what planet they're on, bro.
[02:04:32.324 --> 02:04:34.405]  Yeah, I hear you there.
[02:04:34.925 --> 02:04:36.766]  Try to give geography to them one time.
[02:04:37.386 --> 02:04:38.807]  You know, where is Missouri?
[02:04:39.448 --> 02:04:40.729]  Come on guys, where is Kansas?
[02:04:41.310 --> 02:04:42.390]  It's the flyover area.
[02:04:42.491 --> 02:04:43.772]  Nobody pays any attention.
[02:04:44.592 --> 02:04:56.183]  And here's an analogy I like to use when I'm dealing with these people is what we've done is our founders created this awesome machine that was going to take care of not only us, but most of the world.
[02:04:57.484 --> 02:05:01.768]  And then when we get our chance to run the machine, we turn it on and we walk away.
[02:05:02.975 --> 02:05:06.958]  Oh yeah, somebody's gonna come in and take over that machine and just tear the hell out of everything.
[02:05:07.158 --> 02:05:07.619]  That's right.
[02:05:07.719 --> 02:05:08.739]  Well said.
[02:05:14.484 --> 02:05:16.345]  John Haggerty, welcome to InfoWars.
[02:05:17.226 --> 02:05:18.126]  Great to have you today.
[02:05:18.527 --> 02:05:19.447]  Good afternoon, Roger.
[02:05:19.487 --> 02:05:20.508]  It's a pleasure to join you.
[02:05:20.868 --> 02:05:22.350]  Based on everything I have read...
[02:05:24.005 --> 02:05:34.452]  The Clintonites, with Jill Stein fronting for them, never presented any evidence whatsoever of irregularities or undervotes, overvotes, nothing.
[02:05:34.472 --> 02:05:35.933]  They really had no allegations.
[02:05:35.993 --> 02:05:47.140]  This was conjecture and pie-in-the-sky belief, desperation trying to, because their refusal to accept Donald Trump as the president and that he had won Wisconsin.
[02:05:47.380 --> 02:05:50.082]  Their entire complaint was based on two incredible arguments.
[02:05:50.703 --> 02:05:52.284]  One, that the machines could be hacked.
[02:05:53.104 --> 02:05:55.726]  When I said that before the election, they tried to crucify me.
[02:05:56.587 --> 02:06:02.852]  And that the polls didn't match the final results, so the final results must be wrong.
[02:06:03.333 --> 02:06:04.453]  Take it away, John Hagerty.
[02:06:04.774 --> 02:06:08.157]  Jill Stein's people started this recount, and Hillary people participated.
[02:06:08.217 --> 02:06:13.141]  And it was obvious to us that there was some collusion and coordination going on.
[02:06:13.861 --> 02:06:17.985]  But the Democratic officials conducting the election thought it was a waste of time.
[02:06:19.326 --> 02:06:24.051]  So Wisconsin, the machines really couldn't be hacked in the sense they're not networked.
[02:06:24.371 --> 02:06:27.093]  These are paper ballots that are scanned by machines.
[02:06:27.614 --> 02:06:32.979]  So in the end of the day, what this recount did was it proved the accuracy of this system in Wisconsin.
[02:06:33.759 --> 02:06:36.502]  Because there was such minor, minor change in the numbers.
[02:06:37.042 --> 02:06:42.607]  And in the end of the day, Donald Trump gained 131 votes and Jill Stein gained about 60 votes.
[02:06:42.727 --> 02:06:48.132]  That change translates into .006% change, which is nothing.
[02:06:48.412 --> 02:06:49.333]  Tell us about Michigan.
[02:06:49.901 --> 02:06:50.862]  Yep, let's go to Michigan.
[02:06:50.882 --> 02:06:54.864]  So Michigan, again, there were no specific allegations.
[02:06:55.004 --> 02:07:02.289]  And what really happened is the recount started for four days, until the court stopped it, realizing what a farce it was.
[02:07:03.050 --> 02:07:11.455]  And what you really saw in Wayne County and Detroit was irregularities that were really much, that helped Hillary.
[02:07:11.475 --> 02:07:19.501]  37% of the city of Detroit's precincts tabulated more ballots than the number of actual voters that signed in the poll book, which is always an indication of something is wrong.
[02:07:20.241 --> 02:07:22.743]  But this wasn't hacking or post-election.
[02:07:22.963 --> 02:07:25.725]  What this was, was stuffing the ballot box for Hillary.
[02:07:26.306 --> 02:07:33.591]  So when it came time to put up or shut up, the Jill Stein people, in some ways the Hillary people, couldn't prove anything.
[02:07:34.171 --> 02:07:39.395]  You know, the judge actually called the suspicion of a hacked Pennsylvania election, borders on the irrational.
[02:07:39.855 --> 02:07:43.038]  Jill Stein supporters knew they were never going to win anything.
[02:07:43.078 --> 02:07:48.061]  They just wanted to muck up the process and to try and cause Donald Trump electoral votes.
[02:07:48.101 --> 02:07:48.802]  And it's a shame.
[02:07:49.362 --> 02:07:53.606]  Even the proof that the Russians were hacking emails is thin, to say the least.
[02:07:53.646 --> 02:08:02.333]  We now know definitively that the famous DNC emails and internal documents came from a leaker, not from the Russians.
[02:08:02.353 --> 02:08:06.036]  I mean, it's time to put that canard to bed.
[02:08:20.285 --> 02:08:20.685]  Woo!
[02:08:21.146 --> 02:08:24.988]  From the Infoworks.com studios, it's Alex Jones.
[02:08:25.208 --> 02:08:27.889]  Hard to believe, we are steaming right towards 2017.
[02:08:28.510 --> 02:08:33.253]  And the Globalists are pulling out all the stops.
[02:08:33.653 --> 02:08:37.495]  Trying to start a big fat war in the Middle East and derail Trump.
[02:08:38.195 --> 02:08:40.957]  And hand him a big old hand grenade with that pin pulled.
[02:08:41.878 --> 02:08:49.282]  All the Globalists sit there, across the room smiling as they jump in their escape hatch, waving the pin in our face.
[02:08:51.411 --> 02:09:00.260]  How many times have we laid out the fact that in the last month or so that Obama had, he will try to start a major war.
[02:09:00.560 --> 02:09:12.952]  You don't think that Russian passenger jet marked military flying with 90 plus members of the choir blew up over Sochi by itself, do you?
[02:09:12.972 --> 02:09:15.594]  They've given surface-to-air missiles, including Stingers.
[02:09:16.479 --> 02:09:21.300]  Not just the other systems that only go two miles, but the actual stingers that go five miles.
[02:09:21.580 --> 02:09:25.741]  They've given them to them, and they shot down earlier this year the Russian aircraft over Egypt.
[02:09:26.701 --> 02:09:31.422]  This is the third Russian aircraft they've shot down in the last few years as punishment for being in Syria.
[02:09:32.182 --> 02:09:35.663]  And they killed the Russian ambassador as punishment, and two other diplomats.
[02:09:36.403 --> 02:09:43.565]  And now, the head banker for NATO just got found dead behind a building in the middle of nowhere, shot by somebody else's gun.
[02:09:45.674 --> 02:09:47.195]  So the hot war is kicking off.
[02:09:48.396 --> 02:09:52.058]  The Russians are trying to say this stuff isn't terrorism because they don't want to have to respond.
[02:09:52.398 --> 02:09:53.519]  They're hoping Trump gets in.
[02:09:54.600 --> 02:09:58.162]  And now Israel has been told that, well, the U.S.
[02:09:58.202 --> 02:09:59.603]  abstains, so the U.N.
[02:09:59.723 --> 02:10:08.769]  universally votes to say that they've got to recognize the Palestinian state, basically, and have no right to settlements.
[02:10:09.069 --> 02:10:11.691]  And the word is John Kerry is preparing another U.N.
[02:10:11.731 --> 02:10:14.393]  resolution that would officially recognize the Palestinian state
[02:10:15.575 --> 02:10:22.560]  When the Palestinian state officially says they believe Israel has no right to exist and will quote, drive them into the sea.
[02:10:23.160 --> 02:10:25.942]  Now let's say I don't like Israel, which I don't dislike Israel.
[02:10:26.563 --> 02:10:31.906]  I also don't fawn after it because it's got some big leftist elements to it that are involved in our domestic operations.
[02:10:31.946 --> 02:10:32.467]  I don't like that.
[02:10:33.948 --> 02:10:35.369]  But let's just say I was against Israel.
[02:10:35.389 --> 02:10:36.810]  Would I still want them to be attacked?
[02:10:38.078 --> 02:10:39.180]  And to have the Arabs attack?
[02:10:39.200 --> 02:10:40.201]  They have nuclear weapons.
[02:10:40.221 --> 02:10:43.245]  400 to 600, it's estimated, of high-tech use.
[02:10:43.726 --> 02:10:44.887]  That means nuclear war.
[02:10:45.147 --> 02:10:46.549]  Just like I'm not a Russian agent.
[02:10:47.346 --> 02:10:48.487]  But let's say I hate Russia.
[02:10:48.727 --> 02:10:53.570]  I still would want to have a war with Russia, because I don't want to have the end of days take place.
[02:10:54.450 --> 02:10:56.431]  Now Matt Bracken joins us at the start of the next segment.
[02:10:56.451 --> 02:11:08.779]  I want to go to a few more of your phone calls right now, and then later, but I'm not going to push it back anymore, but about 45 after Bracken and I, so I know Bracken covers this subject as well, we'll get into AI being embedded in the home.
[02:11:10.059 --> 02:11:12.481]  Now what I'm telling you, I told you 20 years ago,
[02:11:13.680 --> 02:11:15.121]  Because MIT and others talked about it.
[02:11:15.742 --> 02:11:17.944]  Now the reason I'm covering it is it's ubiquitous.
[02:11:18.724 --> 02:11:20.186]  I have about 50 articles.
[02:11:21.351 --> 02:11:45.647]  Mainstream news admitting two things that are key that I'll tell you coming up after we take a few of your calls and then cover geopolitics and what other crises Matt Bracken, former Navy SEAL, best-selling author, highly recommended patriot from my sources inside the intelligence community, be able to talk about things that are open source info but are also the classified assessments that have been taking place.
[02:11:46.147 --> 02:11:51.350]  And again, the good news is our military and most intelligence agencies are awake and know what's happening.
[02:11:51.870 --> 02:11:54.371]  They know there's an attempt to bring down our country and cause a civil war.
[02:11:54.892 --> 02:12:04.457]  The problem is Obama is so arrogant, so full of himself, so delusional, and so is Hillary, they're going ahead with a plan to start a big fat war and then hand it to Trump.
[02:12:06.378 --> 02:12:07.198]  And that's the plan.
[02:12:07.238 --> 02:12:08.939]  You've seen them try everything they can.
[02:12:09.480 --> 02:12:13.182]  Turn loose the Arab Spring, flood Europe, flood the U.S., open our borders.
[02:12:13.662 --> 02:12:15.223]  Now they're moving to the next level.
[02:12:16.240 --> 02:12:19.623]  We'll get Matt Bracken and his breakdown on that here in a moment.
[02:12:19.763 --> 02:12:21.124]  Chris in Georgia, thanks for holding.
[02:12:21.204 --> 02:12:21.784]  You're on the air.
[02:12:22.805 --> 02:12:23.546]  Yes, hello, Alex.
[02:12:23.586 --> 02:12:23.926]  How are you?
[02:12:24.126 --> 02:12:24.607]  Good, my friend.
[02:12:26.028 --> 02:12:31.352]  Yes, before I ask your topic, I want to say, how is Trump anti-American if he doesn't want war in Israel?
[02:12:31.452 --> 02:12:33.153]  That is what the globalists want to take power.
[02:12:33.193 --> 02:12:35.775]  So the argument the first caller made is plain out bold.
[02:12:36.356 --> 02:12:37.877]  But the reason I'm calling is for Pence.
[02:12:38.757 --> 02:12:41.360]  You keep saying the elites may kill Trump.
[02:12:41.700 --> 02:12:45.724]  Are you saying that on the basis that Pence will follow the globalists before the American people?
[02:12:45.844 --> 02:12:49.087]  Because Trump would only be killed if Pence would do something Trump wouldn't.
[02:12:49.528 --> 02:12:51.490]  For example, Israel and the TPP.
[02:12:51.890 --> 02:12:53.472]  So why do you say they would kill him?
[02:12:54.588 --> 02:13:06.113]  Well, they wouldn't have mainstream media promoting it in every major newspaper and magazine that I've seen, I mean hundreds of them, saying kill Trump and then doing nothing about the writers and Hollywood producers calling for that if they weren't trying to foment violence.
[02:13:06.153 --> 02:13:07.053]  It came out in the WikiLeaks.
[02:13:07.273 --> 02:13:10.414]  They're trying to foment violence at his rallies and hoping somebody would kill him.
[02:13:11.775 --> 02:13:19.578]  I don't think Pence is a bad guy, but he's more of a mainline kind of crushing conservative who is more globalist than Trump.
[02:13:21.394 --> 02:13:24.096]  I don't think it was a bad choice, but I do actually have concerns.
[02:13:24.116 --> 02:13:36.486]  I don't think Pence would be in on that, but I think the whole thing claiming that Trump is a Russian agent is an attempt to create an atmosphere where you could get rogue elements, leftists in the government, to try to kill him.
[02:13:37.086 --> 02:13:39.408]  I mean, I think that's something I'm really concerned about.
[02:13:39.448 --> 02:13:40.529]  I appreciate your call, Chris.
[02:13:40.769 --> 02:13:46.874]  Let's bring Matt Bracken in now to kind of co-host for this segment, taking calls with us, to get his take on what the caller just raised.
[02:13:47.174 --> 02:13:47.635]  Matt Bracken?
[02:13:49.477 --> 02:13:53.998]  Yeah, it's going to be definitely an interesting short period of time here.
[02:13:54.198 --> 02:13:57.219]  I don't think that there's necessarily a conspiracy.
[02:13:57.259 --> 02:14:02.361]  I don't think that there's like a secret room in the EU in Brussels where they talk about how they're going to do this.
[02:14:03.061 --> 02:14:05.802]  It's more like a common jellyfish brain.
[02:14:05.862 --> 02:14:07.463]  That's where they're all tending to go.
[02:14:07.483 --> 02:14:08.603]  Sure, it's an atmosphere.
[02:14:09.389 --> 02:14:19.393]  You can give Truth Serum to Ben Rhodes and his brother, the president of CBS, and they'll both swear that they're not in, you know, cahoots to start this war over Israel.
[02:14:21.034 --> 02:14:24.116]  But all the jellyfish are swimming hard in that direction.
[02:14:24.136 --> 02:14:25.156]  That's how I would look at it.
[02:14:25.356 --> 02:14:32.979]  Sure, and even if folks have some issues with Israel, let's just throw that out there and say, sure, Israel has some things that aren't perfect, it's different political parties, it's like any nation.
[02:14:33.480 --> 02:14:38.562]  The obsession with it, the mental illness, and now trying to start a war, don't people get that Israel has nukes?
[02:14:39.932 --> 02:14:50.795]  Yeah, Israel has nukes and they have what they call the Samson Option, which is, you know, if they're, before they get pushed into the sea, they're going to take out every Arab capital, you know, plus Pakistan, etc.
[02:14:51.395 --> 02:15:04.999]  So they're, and unfortunately though, they did surveys in places like Pakistan that said, if we could nuke Israel, wipe them out, kill all the Jews, but a hundred million Arabs would die,
[02:15:05.619 --> 02:15:07.239]  That overwhelmingly is supported.
[02:15:07.880 --> 02:15:11.721]  It would be worth it, even if our capitals were nuked, if it's the end of the Jews.
[02:15:11.781 --> 02:15:19.742]  That's the extent of the hate-on that's been built inside of the Arab mind, the Muslim mind, for Jews.
[02:15:19.803 --> 02:15:25.684]  The extreme hate-on, to where they'll even send their seven, eight-year-old daughters out as suicide bombers.
[02:15:26.204 --> 02:15:28.265]  This comes from an incredible hate.
[02:15:28.625 --> 02:15:35.507]  Tying it back to the left in the United States, you see these, the professor with the, you know, all I want for Christmas is white genocide.
[02:15:35.967 --> 02:15:41.888]  You see a course out in Wisconsin at a major university that's, you know, that's wrong with whites.
[02:15:41.908 --> 02:15:43.049]  The problem with whiteness.
[02:15:43.089 --> 02:15:44.149]  Yeah, the problem with whiteness.
[02:15:44.549 --> 02:15:47.950]  This is what you do before the Hutus and the Tutsis go at it.
[02:15:48.430 --> 02:15:52.771]  This is what you do before the Serbs and the Kosovo Albanians go at it.
[02:15:53.232 --> 02:15:54.512]  You whip up this hate on.
[02:15:54.952 --> 02:15:57.273]  And by the way, let me just stop you, because this is so key.
[02:15:57.753 --> 02:16:03.455]  In the WikiLeaks are literally hundreds of emails saying, our culture control isn't working, we need to go to demographic warfare.
[02:16:03.915 --> 02:16:12.118]  That's the top Democrat saying demographic warfare means race war, and they're out there priming it to an insane, insane level.
[02:16:12.158 --> 02:16:13.198]  This is just crazy.
[02:16:13.812 --> 02:16:26.561]  Then when you just see the lack of social control, when you see what's happened at the malls and you think, this was for fun, it was organized mainly on social media, you know, something cool is going to happen at such and such a time and place.
[02:16:27.202 --> 02:16:34.106]  But imagine people with so little control that they'll go to a place where they think there will be fights looking for excitement.
[02:16:34.747 --> 02:16:40.391]  Imagine if the power is out, the water has not run in a week, the food is completely out of the apartment.
[02:16:41.252 --> 02:16:41.712]  Then what?
[02:16:42.543 --> 02:16:47.787]  I mean, look at the lack of social control today on full stomachs with electricity working.
[02:16:48.408 --> 02:16:49.528]  Imagine in the dark.
[02:16:49.949 --> 02:16:56.834]  So today, I think the next form of warfare, I'm not nearly as worried about ICBMs streaking across the polar ice caps.
[02:16:57.294 --> 02:16:58.656]  I mean, that can't be ruled out.
[02:16:59.116 --> 02:17:08.163]  But I'm much more worried about cyber attacks that don't come with a return address, that just target our biggest Achilles heel, which is our cities being bombed.
[02:17:08.223 --> 02:17:09.484]  And Matt, if you look at the Soros...
[02:17:10.845 --> 02:17:11.045]  I'm sure.
[02:17:11.065 --> 02:17:15.326]  If you look at the Soros attack plan, they could launch the false flag to destabilize us.
[02:17:15.606 --> 02:17:17.146]  They're the ones that want to destabilize us.
[02:17:17.366 --> 02:17:20.367]  They're the ones trying to hand Trump a destabilized Middle East.
[02:17:20.387 --> 02:17:20.947]  They admit that.
[02:17:21.047 --> 02:17:23.208]  Why do you think Obama's doing this right at the end?
[02:17:23.248 --> 02:17:24.628]  It's not just about his legacy.
[02:17:24.968 --> 02:17:26.509]  This is about handing Trump a crisis.
[02:17:27.389 --> 02:17:28.269]  Yeah, not only that.
[02:17:28.309 --> 02:17:29.889]  It's about holding on to it.
[02:17:30.109 --> 02:17:32.670]  It's analogous to the Billy Bush tape.
[02:17:33.246 --> 02:17:34.887]  You know, the network had it a year ago.
[02:17:35.307 --> 02:17:36.808]  They waited, they waited, they waited.
[02:17:36.828 --> 02:17:42.572]  It was like having the ace up the sleeve at the poker game back in Tombstone.
[02:17:43.152 --> 02:17:47.435]  They waited and they waited, and then they dropped the ace at the perfect time with the Billy Bush tape.
[02:17:47.635 --> 02:17:48.055]  They fought.
[02:17:48.095 --> 02:17:48.776]  It still didn't work.
[02:17:49.236 --> 02:17:59.582]  Well, this is Obama maximizing his leverage, doing this at a time when it's, you know, just obviously a backstab to the incoming Republicans and to Israel.
[02:17:59.962 --> 02:18:03.144]  Like you said, it's a hand grenade with the pin out being tossed to you.
[02:18:03.164 --> 02:18:04.365]  A hot potato.
[02:18:04.745 --> 02:18:11.429]  But it crosses a lot, you know, you talk about red lines, this crosses every Israeli's red line.
[02:18:11.909 --> 02:18:15.511]  They're now saying, forget about the West Bank, forget about the settlements, put that aside.
[02:18:16.365 --> 02:18:19.967]  They're saying East Jerusalem is occupied.
[02:18:19.987 --> 02:18:20.027]  Is!
[02:18:20.447 --> 02:18:22.428]  Not, we're trying to get a resolution.
[02:18:22.508 --> 02:18:23.068]  It's passed.
[02:18:23.629 --> 02:18:26.390]  East Jerusalem is occupied territory.
[02:18:27.139 --> 02:18:33.642]  That means the holiest sites in Judaism and Christianity should be under Muslim administration.
[02:18:34.182 --> 02:18:40.784]  And anything short of that will result in boycotts of Israeli products.
[02:18:40.824 --> 02:18:48.267]  This is spectacular arrogance and the majority religion within the religion of Islam, 80%, is Sunni Wahhabist garbage.
[02:18:48.688 --> 02:18:52.169]  They have said they want to blow up the holy sites in Jerusalem.
[02:18:52.972 --> 02:19:00.900]  Sure, and remember also, this shows the preeminence of Islamic supremacism.
[02:19:01.400 --> 02:19:05.625]  This is supposedly their third holiest site after Mecca and Medina.
[02:19:06.426 --> 02:19:07.667]  Muhammad never visited.
[02:19:08.388 --> 02:19:19.796]  They wrote in, they kind of airbrushed and wrote in a hallucinogenic horse ride to Jerusalem in a dream by Muhammad some point after his death or while he was taking a nap in the cave or somewhere.
[02:19:20.256 --> 02:19:31.283]  So they wanted to draw this powerful, important, critical, geographically and otherwise, city into the Islamic orbit, so they just declared that it's their third holiest city.
[02:19:31.303 --> 02:19:32.104]  Sure, and let's expand.
[02:19:32.699 --> 02:19:37.241]  Why don't we just declare that Mecca is the second holiest Christian city?
[02:19:37.601 --> 02:19:39.362]  I mean, you know, it makes as much sense.
[02:19:39.762 --> 02:19:46.725]  But to have the threat of Muslim control, and that's backed by the UN, is huge.
[02:19:46.805 --> 02:19:49.246]  This means that Trump... Sure, that's why we got you on.
[02:19:49.286 --> 02:19:49.986]  We've got to go to break.
[02:19:50.026 --> 02:19:53.488]  But I mean, listen, the Islamists now blow up their own holy sites.
[02:19:54.188 --> 02:19:54.908]  If they're Shiite.
[02:19:54.988 --> 02:19:59.751]  So, there's a lot of Islamists that want to blow up the Christian shrines that are in Jerusalem.
[02:19:59.771 --> 02:20:01.291]  They want those removed is my point.
[02:20:01.651 --> 02:20:08.234]  And I could see Obama there in the future speaking Arabic with a plunger blowing up, you know, the Mount of Olives or something.
[02:20:08.715 --> 02:20:09.375]  We'll be right back.
[02:20:15.259 --> 02:20:21.264]  We have a special program today because in a few moments we are joined by a legendary American journalist Alex Jones.
[02:20:22.505 --> 02:20:27.430]  But before that, let's see this short piece about our today's special guest Alex Jones.
[02:20:28.948 --> 02:20:32.513]  Mainstream media, the fourth estate, is molding us today.
[02:20:32.853 --> 02:20:38.961]  We form our worldview, our perception of reality, depending on how the mainstream media presents the information to us.
[02:20:39.522 --> 02:20:43.848]  In the Western world, the dictatorship of the liberal paradigm is all too obvious when
[02:20:43.848 --> 02:20:44.249]  I think so.
[02:21:02.293 --> 02:21:10.503]  Meanwhile, all the front pages of every other publication portray Trump as a loser, intentionally exaggerating his supposed dark past.
[02:21:10.663 --> 02:21:15.489]  His words taken out of context and repeated over and over on all media outlets.
[02:21:15.749 --> 02:21:21.376]  On November 8th, the main Western media operations had already prepared their November 9th issue.
[02:21:21.536 --> 02:21:25.378]  With Hillary's portrait on the cover and headline, Madam President.
[02:21:25.599 --> 02:21:31.883]  And television programs have prepared reports praising the Lady Kingpin of the world financial elites.
[02:21:32.383 --> 02:21:37.166]  Something went wrong and all the pre-scripted news packages turned a complete
[02:21:38.026 --> 02:21:40.668]  They've put everything on the line and failed miserably.
[02:21:40.808 --> 02:21:44.210]  The predetermined Clinton win has suffered a death blow.
[02:21:44.370 --> 02:21:45.770]  The numbers spoke for themselves.
[02:21:45.931 --> 02:21:46.731]  Trump won.
[02:21:47.191 --> 02:21:48.072]  No one in the U.S.
[02:21:48.112 --> 02:21:50.673]  mainstream media believed or wanted to believe in Trump.
[02:21:50.893 --> 02:22:03.460]  No one except for those in the scientific polls, Los Angeles Times, and one dynamic, highly passionate, energetic, and unrelenting journalist and documentary producer Alex Jones, the director and editor-in-chief of InfoWars News.
[02:22:03.700 --> 02:22:08.022]  It is this journalist who had the courage to show the truth of what is really going on in the United States.
[02:22:08.262 --> 02:22:12.764]  For many years, he has been fighting the false narratives of the mainstream media information.
[02:22:12.864 --> 02:22:19.988]  He has exposed the globalist liberal ideology prevailing in a totalitarian style on the modern Western media front.
[02:22:20.288 --> 02:22:22.149]  He reported on the financial elites.
[02:22:22.529 --> 02:22:25.472]  There's stakes and strategies during the election.
[02:22:25.832 --> 02:22:34.741]  Alex Jones believes that behind all the world's media outlets there's an ideological liberal agenda which aims at building a unipolar empire.
[02:22:35.001 --> 02:22:40.346]  This world government manipulates all the prominent media systems for the sake of their own personal interests.
[02:22:40.986 --> 02:22:46.030]  He was all but ostracized for continually exposing the war crimes of Hillary Clinton.
[02:22:46.230 --> 02:22:51.334]  They avoided mentioning his name, and his website suffered repeated denial-of-service attacks.
[02:22:51.555 --> 02:22:53.516]  But they couldn't stop him.
[02:22:53.696 --> 02:22:57.019]  His videos continue to gather hundreds of thousands of views.
[02:22:57.339 --> 02:23:03.905]  Infowars.com was practically the only resource where the elections were covered thoroughly and objectively.
[02:23:04.045 --> 02:23:10.310]  They didn't cut their live feeds when someone voiced criticism towards the FBI, and they discussed the Wikileaks dumps.
[02:23:10.590 --> 02:23:14.894]  Infowars has built itself to serve the interests of the American people.
[02:23:15.114 --> 02:23:19.818]  This media organization showed its independence from the world financial elites.
[02:23:20.018 --> 02:23:22.721]  It showed its sovereignty from the globalist owners.
[02:23:23.001 --> 02:23:39.629]  And today, when all the mainstream liberal media have utterly been discredited, revealing themselves as puppets, InfoWars, along with the new independent media outlets, are becoming powerful forces in the new era and new paradigm which ushered Donald Trump.
[02:23:40.456 --> 02:23:43.158]  Look, I'm not gonna sit here and say, see I told you so.
[02:23:43.358 --> 02:23:46.420]  That communist Chinese style net censorship is coming to the web.
[02:23:46.781 --> 02:23:47.501]  Because it's already here.
[02:23:47.882 --> 02:23:48.542]  It's being announced.
[02:23:48.922 --> 02:23:52.385]  The way you keep the internet open and free is you get involved more than ever.
[02:23:52.805 --> 02:23:54.746]  Go to InfoWars.com forward slash app.
[02:23:54.846 --> 02:23:56.408]  A new battleship in the fight.
[02:23:56.588 --> 02:23:57.608]  InfoWars Live.
[02:23:57.769 --> 02:23:58.609]  Available right now.
[02:23:58.889 --> 02:24:00.250]  We're looking for a crew to man it.
[02:24:00.671 --> 02:24:03.072]  You gonna sit down and play games and be a trendy?
[02:24:03.753 --> 02:24:04.674]  Or you gonna be part of history?
[02:24:05.234 --> 02:24:08.236]  Don't sit by and let the internet and free speech be stolen from you.
[02:24:08.756 --> 02:24:09.317]  Take action!
[02:24:19.890 --> 02:24:22.152]  Your phone calls are coming up at the start of the next segment.
[02:24:22.232 --> 02:24:29.479]  Chris in Indiana, Dustin in Florida, Richard in Tennessee, Mike in New Jersey, Andrew in North Carolina, and others.
[02:24:29.499 --> 02:24:31.982]  And that'll be it for calls I take in this hour.
[02:24:32.422 --> 02:24:38.648]  In the fourth hour, David Knight comes in along with Owen Schroyer and others with a lot of breaking news and analysis.
[02:24:39.069 --> 02:24:41.831]  Then we have the nightly news returning this evening, 7 o'clock central.
[02:24:42.612 --> 02:24:55.062]  Normally we have a Christmas tree physically in the studio, but this year I thought with our big video wall, why not shoot some HD video, then add snowflakes to it, of the Christmas tree in front of the Texas Capitol.
[02:24:55.543 --> 02:25:01.067]  We did just that, and we actually got some emails and comments saying, I'm offended by your Christmas tree.
