[00:00:15.359 --> 00:00:23.066]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:51:04.805 --> 00:51:06.205]  It's 2 plus 2 equals 4.
[00:51:06.406 --> 00:51:07.826]  It is cause and effect.
[00:51:08.046 --> 00:51:11.027]  They have the motive, they have the means, they have the history, they've been caught doing it.
[00:51:11.127 --> 00:51:16.149]  And now, members of the Senate, members of the House, they've gone public and they say, okay, it's admitted.
[00:51:17.590 --> 00:51:18.610]  Well, of course it's admitted.
[00:51:18.650 --> 00:51:20.411]  The FBI, for all its issues,
[00:51:24.178 --> 00:51:29.143]  You know, I used to get tricked into just bashing different government agencies for no reason, as if that was the enemy, that was the problem.
[00:51:29.503 --> 00:51:39.753]  That's when I realized, wait a minute, over all these years, it was the FBI and seven states tried to stop the attacks, knew who it was, and was blocked from doing it in order to stand down, and then agents were demoted.
[00:51:39.813 --> 00:51:42.316]  Why am I buying into just bashing them wholesale?
[00:51:42.436 --> 00:51:44.718]  It's like bashing cops, because one cop does something.
[00:51:44.959 --> 00:51:45.980]  It's just mind control.
[00:51:46.100 --> 00:51:48.102]  It's what's at George Soros baloney!
[00:51:50.967 --> 00:51:53.388]  Does it mean the government's not completely corrupt and out of control at the top?
[00:51:53.628 --> 00:51:54.668]  Absolutely!
[00:51:54.708 --> 00:51:55.489]  Should it be reformed?
[00:51:55.749 --> 00:51:56.589]  Absolutely!
[00:51:57.129 --> 00:52:04.952]  But Americans need to come together and fix this country and not fight with each other over race and whether you work for the government or don't work for the government.
[00:52:05.432 --> 00:52:12.015]  Most people I talk to, whether they work for the government or work in private industry, know this country's in trouble and want to save this country.
[00:52:13.435 --> 00:52:14.596]  I mean, we're in trouble, folks.
[00:52:14.856 --> 00:52:17.137]  The amount of evil out in the open is mind-blowing.
[00:52:17.297 --> 00:52:17.917]  Look at these articles.
[00:52:19.247 --> 00:52:20.048]  New York Daily News.
[00:52:20.348 --> 00:52:22.150]  Royal scum is the headline.
[00:52:24.132 --> 00:52:30.478]  Saudis threatened asset dump blame for 9-11 showdown.
[00:52:35.103 --> 00:52:37.025]  700 plus billion they're gonna pull out of the US.
[00:52:37.065 --> 00:52:38.727]  Well, why are they running our country anyways?
[00:52:39.830 --> 00:52:42.671]  And Fox News is partly on... I mean, give me a break, folks.
[00:52:43.271 --> 00:52:45.971]  Saudi Arabia uses international terrorism.
[00:52:45.991 --> 00:52:46.992]  They've invaded Syria.
[00:52:47.052 --> 00:52:48.412]  They're behind ISIS and Al Qaeda.
[00:52:48.692 --> 00:52:49.732]  It's their proxy army.
[00:52:49.812 --> 00:52:50.452]  It's on record.
[00:52:50.832 --> 00:52:53.473]  Secret 28 pages under scrutiny ahead of Obama trip.
[00:52:53.873 --> 00:52:55.013]  We need regime change there.
[00:52:55.253 --> 00:52:58.174]  Hey, you want to threaten... You want to threaten us?
[00:52:58.994 --> 00:53:01.195]  With your tottering dictatorship over there?
[00:53:01.875 --> 00:53:02.715]  You're like North Korea.
[00:53:04.119 --> 00:53:07.041]  Secret 28 pages under scrutiny ahead of Obama trip to Saudi Arabia.
[00:53:07.381 --> 00:53:10.663]  Now USA covered up Saudi Arabia role.
[00:53:11.343 --> 00:53:12.344]  Oh, how the U.S.
[00:53:12.404 --> 00:53:13.004]  covered it up.
[00:53:13.284 --> 00:53:14.085]  How the U.S.
[00:53:14.145 --> 00:53:14.685]  covered it up.
[00:53:14.985 --> 00:53:15.726]  How the U.S.
[00:53:15.766 --> 00:53:16.206]  covered it up.
[00:53:16.506 --> 00:53:17.587]  That's in the New York Times.
[00:53:17.627 --> 00:53:18.487]  That's in Bloomberg.
[00:53:18.868 --> 00:53:20.689]  That is everywhere now.
[00:53:21.049 --> 00:53:22.870]  That is in the news.
[00:53:22.930 --> 00:53:24.071]  That is in the New York Post.
[00:53:24.471 --> 00:53:28.633]  What are you gonna do, bad boys, bad boys, when they come for you?
[00:53:28.653 --> 00:53:29.614]  Let me tell you why this feels good.
[00:53:32.128 --> 00:53:33.269]  I will defy death.
[00:53:33.609 --> 00:53:35.890]  I will do things that are risky if I have to do it first.
[00:53:36.430 --> 00:53:41.973]  And I'm so sick of sitting around and seeing nobody else do it and I gotta hit the bar bar first, but I'm ready for other people to hit the bar bar.
[00:53:42.253 --> 00:53:46.115]  I'm ready for other people to take the risk and be part of history as well.
[00:53:47.836 --> 00:53:50.077]  I have a responsibility when I know something to tell the truth.
[00:53:50.857 --> 00:53:52.638]  It doesn't mean that I like the consequences.
[00:53:53.538 --> 00:53:56.380]  You think I like saying about all that advertising money and all those stations?
[00:53:57.500 --> 00:53:58.641]  When they took me off all those stations?
[00:53:59.181 --> 00:54:00.242]  You think I like the death threats?
[00:54:01.391 --> 00:54:03.111]  You think I watched all the other dirty tricks I had to go through?
[00:54:03.131 --> 00:54:06.312]  The character assassination operations?
[00:54:06.592 --> 00:54:09.153]  Not just from mainstream media, but armies of trolls.
[00:54:09.693 --> 00:54:10.673]  Armies of stalkers.
[00:54:11.093 --> 00:54:13.554]  Stuff I could write best-selling novels on.
[00:54:14.334 --> 00:54:17.555]  But it had to be a novel to protect the innocent.
[00:54:19.075 --> 00:54:20.295]  But you know, it's all exciting.
[00:54:20.335 --> 00:54:21.335]  It's the animating contest.
[00:54:21.516 --> 00:54:24.496]  I wouldn't... The persecution's kind of fun.
[00:54:24.896 --> 00:54:25.536]  It's interesting.
[00:54:25.576 --> 00:54:27.937]  It becomes... Let's just say my life's not boring.
[00:54:29.502 --> 00:54:32.824]  So I'll tell you, I know that I'm the first to expose 9-11 two months before it happened.
[00:54:32.844 --> 00:54:35.405]  I said they're going to blow up the World Trade Center, blame it on their asset bin Laden.
[00:54:36.045 --> 00:54:37.126]  I did it the day it happened.
[00:54:37.186 --> 00:54:39.667]  I exposed the whole thing, the drills, all of it.
[00:54:39.707 --> 00:54:40.848]  Had all the big whistleblowers on.
[00:54:41.128 --> 00:54:42.749]  Had the deputy head of emergency management on.
[00:54:42.789 --> 00:54:45.110]  He was dead two weeks after he was on the show, Barry Jennings.
[00:54:45.630 --> 00:54:47.851]  I mean, you know, I'm proud of the fact that, you know what?
[00:54:48.272 --> 00:54:48.752]  I'm a man.
[00:54:51.053 --> 00:54:53.494]  I'm proud of the fact that I don't cower in fear.
[00:54:55.215 --> 00:54:56.696]  I'm proud of the fact that I told the truth.
[00:54:57.935 --> 00:54:59.216]  I'm proud of the fact that it's all come out.
[00:55:00.297 --> 00:55:02.099]  And more, and more, and more is going to come out.
[00:55:02.800 --> 00:55:06.784]  And people look at me and say, you're a weirdo because you think voters should vote in the election.
[00:55:06.824 --> 00:55:08.525]  And I'm just like, okay, whatever.
[00:55:08.926 --> 00:55:11.508]  Hey, it says fluoride gives you brain damage.
[00:55:11.548 --> 00:55:12.249]  Harvard study.
[00:55:12.709 --> 00:55:15.252]  You want to point at me and call me a kook because I got hundreds of studies?
[00:55:15.392 --> 00:55:16.113]  Okay, whatever.
[00:55:16.753 --> 00:55:18.295]  The truth is, I know what I'm talking about.
[00:55:18.315 --> 00:55:21.137]  A bunch of dumb, unintellectual people who are uninformed.
[00:55:21.909 --> 00:55:32.901]  Want to have the proper accent, the proper outfit, and act trendy and wear all black or whatever they do, or you know what trendies do, or have the beard like the funny guy from The Hangover.
[00:55:33.582 --> 00:55:38.507]  If you were smart and had the beard like the guy from The Hangover, then you'd be cool.
[00:55:38.748 --> 00:55:40.069]  Not against beards or tattoos.
[00:55:40.630 --> 00:55:43.213]  I'm just sick of people that are all hat and no cattle.
[00:55:45.359 --> 00:55:47.780]  We're going to come back and get into the other news.
[00:55:47.860 --> 00:55:50.661]  The massive, chilling attack on free speech happening everywhere.
[00:55:50.681 --> 00:55:51.942]  This is so incredible.
[00:55:52.002 --> 00:55:54.543]  Wait until we get to this, because they can't win debates with us.
[00:55:54.563 --> 00:55:55.383]  They've got to shut us down.
[00:55:55.423 --> 00:56:00.146]  But 9-11 truth is coming out, being proven right, being vindicated.
[00:56:00.326 --> 00:56:03.027]  All of you that stood up for 9-11 truth, you're vindicated.
[00:56:03.167 --> 00:56:07.789]  All of you that got attacked for speaking out about it, you are just as important as I am, or more important.
[00:56:09.189 --> 00:56:13.276]  To all the whistleblowers, everybody in the government that told the truth and went through hell to do it.
[00:56:13.296 --> 00:56:17.503]  To Sabel Edmonds and the FBI agents and the visa people and all of them.
[00:56:18.004 --> 00:56:20.207]  The thousands of whistleblowers that got persecuted.
[00:56:20.688 --> 00:56:22.231]  Good job for standing up for humanity.
[00:56:22.251 --> 00:56:22.812]  We salute you.
[00:56:26.820 --> 00:56:31.603]  When I tell you how satisfying it is to tell the truth, be proven right, and be vindicated, it's not for my ego.
[00:56:31.663 --> 00:56:35.165]  It's for other people to know historically the truth will come out in the end.
[00:56:35.806 --> 00:56:41.650]  Briefly, if you'd like to support and get super high quality products, the absolute tip of the spear in the fight for human liberty,
[00:56:42.270 --> 00:56:52.154]  Infowarsstore.com's got the best non-GMO heirloom seeds, the best high-quality storable foods that last 25 years is fresh, and super high-quality Infowars Select, powered by MyPatriotSupply.
[00:56:52.514 --> 00:56:53.974]  Infowarsstore.com.
[00:56:54.414 --> 00:57:01.237]  You will get the lowest prices on storable food, the highest quality, lowest prices out there on the widest spectrum of non-GMO heirloom seeds.
[00:57:02.077 --> 00:57:15.583]  of Hillary for prison t-shirts and an unprecedented 45% off our flagship brain pill nootropic brain force 25% off what it's normally discounted at off the retail it's 45% off retail now 25% off the discount
[00:57:18.652 --> 00:57:22.995]  Find out what this nootropic's got in it today at InfoWarsLife.com.
[00:57:23.635 --> 00:57:31.341]  DNA Force with Bio PQQ and the highest quality Reservitol and just everything else.
[00:57:31.361 --> 00:57:33.162]  Just go check out DNA Force.
[00:57:33.262 --> 00:57:35.584]  InfoWarsLife.com is the Nutraceuticals.
[00:57:35.924 --> 00:57:37.145]  InfoWarsLife.com.
[00:57:37.445 --> 00:57:41.348]  InfoWarsStore.com is the Umbrella site or call toll free 888-253-3139 24 hours a day.
[00:57:44.730 --> 00:57:47.214]  Seven days a week we can answer all your questions.
[00:57:47.234 --> 00:57:47.434]  888-253-3139.
[00:57:47.674 --> 00:57:54.644]  I'm Alex E. Jones, fighting from the state of Texas against the globalist juggernaut.
[00:57:54.964 --> 00:57:56.366]  Hour 2 straight ahead!
[00:58:00.822 --> 00:58:09.827]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:58:09.907 --> 00:58:18.011]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:58:18.311 --> 00:58:23.013]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:58:23.194 --> 00:58:29.877]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:58:29.977 --> 00:58:37.060]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:58:37.161 --> 00:58:44.004]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:58:44.184 --> 00:58:48.530]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:58:48.670 --> 00:58:51.914]  Available in original or with our immune support infusion blend.
[00:58:52.055 --> 00:58:58.183]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:58:58.363 --> 00:59:00.306]  Available at Infowarslife.com
[00:59:00.666 --> 00:59:03.989]  The globalist social engineers are not just targeting us with propaganda.
[00:59:04.129 --> 00:59:06.391]  They are manipulating our genetics.
[00:59:06.571 --> 00:59:14.938]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:59:15.198 --> 00:59:18.541]  The key is to be aware of this attack and to fight back against it.
[00:59:18.701 --> 00:59:29.010]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:59:29.330 --> 00:59:36.615]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:59:36.815 --> 00:59:38.716]  I've always believed in nutrition and herbs.
[00:59:39.056 --> 00:59:46.621]  Super Mill Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[00:59:47.001 --> 00:59:53.166]  Super Male Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:59:53.466 --> 01:00:00.431]  Visit infowarslife.com today to secure your Super Male Vitality and other powerful products from InfoWars Life.
[01:00:04.134 --> 01:00:06.776]  You're listening to the Alex Jones Show.
[01:00:13.402 --> 01:00:19.456]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:20.058 --> 01:00:23.045]  It's Alex Jones and the GCN Radio Network.
[01:00:25.583 --> 01:00:26.043]  All right.
[01:00:26.323 --> 01:00:32.886]  I would normally be taking a lot of calls on the Sunday broadcast, but I've got Rob Googe running us from DFW Airport about to fly back to Austin.
[01:00:32.926 --> 01:00:34.167]  He just connected in from Denver.
[01:00:35.447 --> 01:00:38.428]  Denver was where they were a few days ago from Portland, and then before that, New York.
[01:00:39.109 --> 01:00:51.774]  So he'll be popping in about the bedlam, the insanity, the censorship, the attempts to attack free speech and the successful attacks in some cases in New York, in Denver, and particularly in Portland.
[01:00:52.714 --> 01:00:53.354]  So that's coming up.
[01:00:53.374 --> 01:00:57.437]  And then Richard Reeves pops in at 33 after at the bottom of the hour.
[01:00:57.897 --> 01:01:03.640]  But I do need to dovetail all of this with chilling.
[01:01:03.680 --> 01:01:13.966]  German Chancellor Merkel agrees to charge Citizen for anti-Muslim poem.
[01:01:15.467 --> 01:01:15.987]  But it wasn't.
[01:01:16.027 --> 01:01:17.328]  It criticized the
[01:01:21.004 --> 01:01:21.785]  Dictator, basically.
[01:01:21.825 --> 01:01:25.387]  He's at stage elections of Turkey.
[01:01:25.447 --> 01:01:26.147]  But look, look, look.
[01:01:26.468 --> 01:01:28.309]  We have free speech in Europe and the United States.
[01:01:29.229 --> 01:01:30.110]  But they don't now.
[01:01:30.330 --> 01:01:38.255]  If it's against the leftist, communist, weirdo, group, controlled corporation, radical Muslims, it's crazy.
[01:01:38.475 --> 01:01:41.057]  And they bring them in and say, we can't let them attack us.
[01:01:41.097 --> 01:01:41.918]  You have no free speech.
[01:01:42.218 --> 01:01:42.938]  Do whatever they say.
[01:01:43.138 --> 01:01:43.679]  That's what's going on.
[01:01:44.949 --> 01:01:45.892]  Somebody breaking that down.
[01:01:46.534 --> 01:01:50.786]  Bernie Sanders, liberal supporters, do they expect safe places everywhere?
[01:01:51.247 --> 01:01:52.892]  And the Seattle Post Intelligence, sir.
[01:01:54.301 --> 01:02:07.012]  Also the Newark Daily News also has an article, but this, it's Alan Dershowitz, who by the way said I shouldn't have free speech basically, it's strange enough, or I shouldn't be able to have guns either, said I was dangerous just because I was yelling on CNN right after I was on with Piers Morgan, but that's a side issue.
[01:02:07.352 --> 01:02:12.977]  Even he gets it, and so it was in AP, but it was in the Newark Daily News and also the Seattle Post-Intelligence, so that's why.
[01:02:13.298 --> 01:02:17.001]  So I'm like plugging in three places because it was like three places, but it's an AP article.
[01:02:20.089 --> 01:02:23.511]  Or a New York Daily News article that got put in the Seattle Post-Intelligence, or whatever, didn't know they did that.
[01:02:24.212 --> 01:02:27.494]  Bernie Sanders' liberal supporters, do they expect safe places everywhere?
[01:02:28.234 --> 01:02:28.794]  Safe spaces.
[01:02:29.235 --> 01:02:37.400]  And then it goes on to admit that they basically attack people all over the place that don't go along with their views, and that's what we've experienced.
[01:02:39.761 --> 01:02:49.267]  Also, three states ban travel to Mississippi, but they don't ban travel to all these different Muslim countries where they kill gay people.
[01:02:50.146 --> 01:02:51.386]  I'll use the politically correct term.
[01:02:51.807 --> 01:02:52.127]  Whatever.
[01:02:53.387 --> 01:02:56.548]  It's not that I dislike people that I want to use the word heterosexual, homosexual.
[01:02:56.608 --> 01:02:57.428]  It's that it's another thing.
[01:02:57.468 --> 01:02:58.569]  We'll use the word gay.
[01:02:58.629 --> 01:03:01.450]  Now use the word disabled, not handicapped.
[01:03:01.470 --> 01:03:03.290]  And soon it's don't use the word mother and father.
[01:03:03.510 --> 01:03:06.111]  See, they get you in the habit of using, use this word, it's less hurtful.
[01:03:06.531 --> 01:03:07.312]  Or it's more loving.
[01:03:07.592 --> 01:03:10.313]  And then now we're going to arrest you if we don't use the word we say.
[01:03:10.613 --> 01:03:11.233]  Well, you know what?
[01:03:11.253 --> 01:03:17.255]  It makes me want to use the N word and the F word and all these other words just because you say Bantam.
[01:03:19.255 --> 01:03:20.976]  Or only certain groups can use them.
[01:03:21.616 --> 01:03:24.997]  It's just all bullying, is what it is.
[01:03:25.217 --> 01:03:39.801]  In the freest Western countries in the world, where you've been allowed to do all this and get taxpayer-paid for sex changes, you want to now pull down the family and the free market and the engine of everything that gave you what you've got, stupid?
[01:03:41.601 --> 01:03:43.902]  And then of course, the cherry on top,
[01:03:44.958 --> 01:03:49.461]  Cirque du Soleil cancels North Carolina shows over Public Facilities Act.
[01:03:49.481 --> 01:03:51.363]  Yeah, because it doesn't have a transgender bathroom.
[01:03:51.763 --> 01:03:54.585]  Planned shows in Dubai where gays are put to death.
[01:03:56.646 --> 01:03:57.947]  That's in Reuters!
[01:04:00.609 --> 01:04:03.111]  Even gets the hypocrisy.
[01:04:03.131 --> 01:04:04.592]  When I saw that, I'm like, that's Reuters?
[01:04:06.553 --> 01:04:13.338]  This is a Reuters photo, it's Breitbart, but I mean, this is just absolutely getting crazy at this point.
[01:04:14.767 --> 01:04:16.828]  And Facebook censoring people that are pro-Trump.
[01:04:17.028 --> 01:04:21.010]  And they argue, they have all these news articles going, it's good they're censoring.
[01:04:21.530 --> 01:04:22.550]  Zuckerberg owns it.
[01:04:22.970 --> 01:04:23.671]  Shareholders own it.
[01:04:23.691 --> 01:04:24.331]  They're allowed to.
[01:04:24.691 --> 01:04:25.912]  It's their property.
[01:04:27.152 --> 01:04:32.034]  But you hold it out as your own little commons and your place for your views and your place to communicate.
[01:04:32.074 --> 01:04:33.375]  It's false advertising when you do that.
[01:04:33.755 --> 01:04:39.417]  You hold it out as a place where, as long as you don't violate these terms and conditions, we'll let you say whatever you want.
[01:04:39.437 --> 01:04:42.779]  But now they've changed them to disagreeing with someone
[01:04:43.621 --> 01:04:44.481]  Or hurting their feelings.
[01:04:45.282 --> 01:04:49.043]  And then you can selectively decide what to do with your little AI computers.
[01:04:49.783 --> 01:04:52.264]  They're also censoring stuff about Saudi Arabia 9-11.
[01:04:52.644 --> 01:04:54.624]  They're censoring all sorts of Benghazi stuff.
[01:04:54.684 --> 01:04:56.685]  I mean, people are like, well, why are you on Facebook then?
[01:04:57.365 --> 01:05:09.049]  I go to Facebook to have that platform, to push people to my platform, while I warn people we may not be able to be there that long, or YouTube or anywhere else, because, let me tell you, they're doing everything they can to kick us off right now.
[01:05:10.569 --> 01:05:13.532]  A clean, toxic-free body is the foundation of true health.
[01:05:13.812 --> 01:05:23.400]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:05:23.720 --> 01:05:28.924]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:05:29.004 --> 01:05:37.832]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[01:05:38.112 --> 01:05:46.680]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:05:46.940 --> 01:05:53.846]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[01:05:53.986 --> 01:05:59.331]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[01:05:59.551 --> 01:06:05.115]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[01:06:05.235 --> 01:06:08.717]  That's InfoWarsLife.com or call 888-253-3139.
[01:06:16.702 --> 01:06:22.246]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:06:22.746 --> 01:06:25.268]  You're listening to the Alex Jones Show!
[01:06:33.010 --> 01:06:36.312]  We're going to Rob Dew and our crew stranded in Dallas, Texas.
[01:06:36.893 --> 01:06:38.454]  I come to you from Austin, Texas.
[01:06:39.134 --> 01:06:41.436]  These are the horrible thunderstorms that canceled flights.
[01:06:41.476 --> 01:06:45.739]  He just flew back in from Denver and New York and Portland.
[01:06:45.759 --> 01:06:47.220]  That was where they were traveling.
[01:06:47.240 --> 01:06:50.001]  The last port of call would be Portland.
[01:06:50.682 --> 01:06:56.246]  Just showing the social justice warriors trying to ban everybody's free speech.
[01:06:57.398 --> 01:06:58.219]  Across the country.
[01:06:58.879 --> 01:07:03.343]  And then they've got the RNC stopping popular elections, which they've had previously.
[01:07:03.643 --> 01:07:21.697]  They say it's no big deal now that they're just giving all the delegates to Ted Cruz, but then if he wins Tennessee, or wins Louisiana, or wins Georgia, or wins Arizona, they still just give the votes to Ted Cruz, and they say there's nothing to see here, nothing's happening, no big deal.
[01:07:23.358 --> 01:07:24.359]  And I was thinking about
[01:07:27.148 --> 01:07:56.753]  Back when I lived by the lake, and there were neighbors who had some family members that worked at the University of Texas, and we were out on the community dock, and I was just thinking a little, this was like five years ago, and there was this UT, she wasn't a professor, I think she was a, what do they call those when you're just like a teacher?
[01:07:58.066 --> 01:08:01.252]  Point is, I'm out there fishing with my son at like 7 a.m.
[01:08:01.272 --> 01:08:02.534]  in the morning and she walks over...
[01:08:03.948 --> 01:08:05.089]  She goes, we're here with gypsies.
[01:08:05.129 --> 01:08:06.589]  You don't have a problem with gypsies, do you?
[01:08:07.350 --> 01:08:08.951]  And I'm like, gypsies?
[01:08:09.031 --> 01:08:11.692]  Like Esmeralda from The Hunchback of Notre Dame?
[01:08:11.712 --> 01:08:14.513]  And I'm like, no, you mean Romanoff people?
[01:08:15.194 --> 01:08:16.094]  Oh, so you know about it.
[01:08:16.134 --> 01:08:19.816]  You know how it's all a lie that they do anything and rob anybody that ain't wrong.
[01:08:19.856 --> 01:08:24.739]  And I'm like, look, lady, I know there's some reformed gypsy grips, but I also know there's Irish pikeys that rob people.
[01:08:24.799 --> 01:08:25.859]  I mean, oh, really?
[01:08:26.099 --> 01:08:27.560]  I was like, look, look, I'm sure they're nice.
[01:08:27.620 --> 01:08:28.481]  And I'm like, what's going on?
[01:08:29.315 --> 01:08:35.380]  Well, we're just got some gypsies here and we're, you know, having a cultural exchange with them from UT and, you know, they're very wonderful people around.
[01:08:35.680 --> 01:08:36.641]  I'm like, okay, great, great.
[01:08:36.661 --> 01:08:39.643]  I'm sitting there drinking coffee and eating a honey bun, literally.
[01:08:40.243 --> 01:08:41.484]  My son's trying to catch a catfish.
[01:08:41.524 --> 01:08:43.586]  He's like, you know, seven years old at the time.
[01:08:43.626 --> 01:08:44.326]  He's like 13 now.
[01:08:44.346 --> 01:08:47.809]  And he's got a birthmark.
[01:08:47.889 --> 01:08:49.810]  Everybody's seen videos of the wrecks, reports and stuff.
[01:08:50.031 --> 01:08:55.334]  It's not as big as Gorbachev's or anything, but, you know, it's a handsome little stork's bite, as they call them.
[01:08:56.776 --> 01:08:58.317]  They're on the side of a temple.
[01:08:59.673 --> 01:09:04.175]  And then she turns and she goes, and she looks at me and she goes, did someone hurt you, young man?
[01:09:04.195 --> 01:09:04.895]  Are you okay?
[01:09:04.915 --> 01:09:05.716]  Did someone hit you?
[01:09:05.736 --> 01:09:06.156]  What happened?
[01:09:06.376 --> 01:09:07.817]  I'm sorry to ask, I just have to ask, sir.
[01:09:08.077 --> 01:09:10.658]  She looks at me and I'm like, she goes, it's my birthmark.
[01:09:11.638 --> 01:09:20.162]  And I can tell you how many times I've had a weird, trendy white woman walk over to a restaurant and say to my son, even if he's three, four years old, did someone hurt you?
[01:09:23.003 --> 01:09:25.264]  And then I knew, and I was like, hey, let's go over here and fish.
[01:09:25.424 --> 01:09:26.685]  And man, she was around three days.
[01:09:27.972 --> 01:09:35.697]  On the weekend, and just literally on my butt to keep me in line.
[01:09:36.938 --> 01:09:38.779]  And that was kind of my first big run in.
[01:09:38.799 --> 01:09:40.100]  I told you about Halloween last year.
[01:09:40.140 --> 01:09:41.160]  It's my cousin's birthday.
[01:09:41.481 --> 01:09:42.561]  I go on this cruise with him.
[01:09:42.581 --> 01:09:45.283]  He got a paddle boat on Lake Austin, the river.
[01:09:45.623 --> 01:09:47.785]  It's called Lake Austin, but it's really Colorado River.
[01:09:48.365 --> 01:09:51.947]  And then we went back over to a club.
[01:09:51.967 --> 01:09:54.189]  He had the top rented out, but it was still open to the public.
[01:09:54.209 --> 01:09:57.191]  And I had multiple people come over because I was wearing a captain's hat.
[01:09:58.959 --> 01:10:02.260]  I guess I'm a white guy with somewhat blonde hair, and they ask me, are you a Nazi?
[01:10:03.001 --> 01:10:04.681]  I'd say, no, it's a cap and satin, I'd turn back.
[01:10:04.841 --> 01:10:06.262]  Hey, because I don't like Nazis!
[01:10:06.342 --> 01:10:08.242]  I'd say, hey, you're looking for trouble!
[01:10:08.643 --> 01:10:11.584]  I'm not a Nazi, but you want trouble, you little social justice warrior, you're about to get it!
[01:10:11.604 --> 01:10:14.665]  You little control freak, you want power.
[01:10:14.945 --> 01:10:21.808]  You're an insecure weirdo that's been taught by the universities how to go out with, what's the proper term?
[01:10:22.128 --> 01:10:24.729]  Assertiveness training, and get in white males' face.
[01:10:25.029 --> 01:10:25.629]  Well, guess what?
[01:10:25.669 --> 01:10:26.509]  You're in one's face!
[01:10:27.029 --> 01:10:27.950]  It was white women
[01:10:30.047 --> 01:10:31.389]  Arab guys, you name it.
[01:10:31.449 --> 01:10:33.131]  It's just like, look, you're looking for trouble.
[01:10:33.471 --> 01:10:43.804]  You want some simulated combat with your words and your worthless degree you got that you can't get a job with, but you learned how to brainwash people and learned how to obsess over words, and now you're here messing with me!
[01:10:47.935 --> 01:10:48.956]  And that's what's going on.
[01:10:48.996 --> 01:11:05.131]  I thought I'd just preface this segment the next, because they're about to get out of the airport and I'm going to go quick to them so they can come back and put a big compilation of the 30, 40, 50, I don't know how many videos there are, they shot in New York, Denver, and out of Portland, Oregon, where they were just announcing, Trump supporters on the streets, you will be attacked.
[01:11:05.431 --> 01:11:06.292]  You have no free speech.
[01:11:06.612 --> 01:11:07.653]  We played the videos last week.
[01:11:07.933 --> 01:11:08.954]  So our crew went out there.
[01:11:10.115 --> 01:11:11.397]  Hundreds of info warriors showed up.
[01:11:12.705 --> 01:11:15.507]  Particularly there in Portland, because that was our deal.
[01:11:17.188 --> 01:11:26.474]  Our crew were speakers, Joe Biggs and Rob Dew, and they stood up against being spit on and attacked, having bottles thrown at them, and faculty trying to shut down their free speech.
[01:11:26.514 --> 01:11:27.034]  But they did it.
[01:11:27.594 --> 01:11:29.836]  In America, you have to fight for that or lose it.
[01:11:30.236 --> 01:11:31.597]  But I'm telling you, you've got to freak.
[01:11:33.203 --> 01:11:34.824]  Looking at your kid going, did someone hit you?
[01:11:34.864 --> 01:11:36.985]  And looking at the dad going, I'm sorry, I have to ask.
[01:11:37.385 --> 01:11:40.287]  Like she's some FBI agent caught me in something.
[01:11:40.307 --> 01:11:43.428]  And I'm sitting there trying to catch fish with my son at 7.30 in the morning.
[01:11:44.049 --> 01:11:46.390]  This is the whacked out world they're in, man.
[01:11:46.410 --> 01:11:47.991]  You gotta understand, it's all they got.
[01:11:48.311 --> 01:11:50.652]  They don't know language, literature, they're not intellectual.
[01:11:50.852 --> 01:11:53.413]  They know how to dominate and mess with people.
[01:11:53.894 --> 01:11:56.435]  And I've got stacks of articles we're gonna get into showing.
