[00:00:12.389 --> 00:00:14.530]  He said in October I'd be dead in six months.
[00:58:44.201 --> 00:58:46.903]  We have so many five-star reviews.
[00:58:47.063 --> 00:58:47.664]  I take this.
[00:58:47.784 --> 00:58:49.466]  This is the product that I take.
[00:58:49.606 --> 00:58:51.568]  Infowarslife.com and the profit we make.
[00:58:52.368 --> 00:58:53.149]  We fight the Globals.
[00:58:53.169 --> 00:58:54.011]  We fight the New World Order.
[00:58:54.331 --> 00:58:58.536]  Secure your DNA Force today at Infowarslife.com or call toll free 888-253-3139.
[00:59:01.764 --> 00:59:03.866]  Na na na na na na na, crazy Pope!
[00:59:04.026 --> 00:59:14.756]  Pope Francis, global warming a sin man can atone by recycling and carpooling, says the guy riding around in a freaking fishbowl Mercedes Benz.
[00:59:15.256 --> 00:59:22.183]  Global warming continues due in part to human activity, Francis says, adding that 2015 was the warmest year on record.
[00:59:22.523 --> 00:59:25.385]  And 2016 will likely be warmer still.
[00:59:25.585 --> 00:59:30.529]  This is leading to ever more severe droughts, floods, fires, and extreme weather events.
[00:59:30.849 --> 00:59:41.577]  Climate change is also contributing to the heart-rendering refugee crisis, and the reason the radical Islamists run around beheading gays, and cutting women's heads off, and mutilating their genitalia.
[00:59:41.877 --> 00:59:42.597]  Damn that heat.
[00:59:42.717 --> 00:59:43.938]  That's so bad.
[00:59:44.158 --> 00:59:51.562]  The world's poor, though least responsible for climate change, are most vulnerable and already suffering its impact, he wrote today.
[00:59:51.762 --> 00:59:55.904]  Thank God that na-na-na-na-na-na-na Crazy Pope is there to save the day.
[00:59:56.184 --> 00:59:58.846]  You can find more reports like this at InfoWars.com.
[01:00:05.889 --> 01:00:08.511]  You're listening to The Alex Jones Show.
[01:00:12.551 --> 01:00:19.634]  This transmission is coming to you.
[01:00:19.714 --> 01:00:21.815]  Waging war on corruption.
[01:00:23.336 --> 01:00:30.499]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:00:30.999 --> 01:00:35.661]  On Friday's broadcast and the Sunday transmission, the fourth day of September 2016.
[01:00:37.682 --> 01:00:45.567]  On Friday's broadcast, we talked a lot about how the info war has broken through and is putting out counter-narratives to the establishment disinformation.
[01:00:46.587 --> 01:00:54.472]  But it really hit me in the last few hours that it really is you, the listeners, that hit the zeitgeist.
[01:00:55.675 --> 01:01:04.078]  InfoWars was only one focal point of a media organization who saw what was coming, understood what happened, and didn't want to go along with it.
[01:01:04.999 --> 01:01:06.599]  So we built it and you came.
[01:01:06.699 --> 01:01:08.040]  I mean, it's so important.
[01:01:08.780 --> 01:01:11.081]  I don't mean this in a patronizing way, but in a very, very serious way.
[01:01:12.101 --> 01:01:14.882]  Understand, you're the eyes and ears of the real media.
[01:01:16.323 --> 01:01:20.084]  The globalists destroyed our old media, so we're not the alternative media, we are the real media.
[01:01:20.605 --> 01:01:23.826]  And we are the teleprompter-free, open,
[01:01:25.649 --> 01:01:29.310]  Free flow of information media the globalists just can't counter.
[01:01:29.970 --> 01:01:36.611]  And that's why they want to shut us down and shut down Drudge Report and Breitbart and others is because they want to shut you down.
[01:01:37.572 --> 01:01:40.412]  You already think and believe and understand these basic facts.
[01:01:40.432 --> 01:01:42.173]  You're the ones reporting it to us most of the time.
[01:01:42.493 --> 01:01:43.153]  You're the leakers.
[01:01:43.173 --> 01:01:43.893]  You're the sources.
[01:01:43.913 --> 01:01:44.753]  You're the information.
[01:01:46.494 --> 01:01:51.875]  But they don't want you to have a sounding board to be able to bounce information off of to realize
[01:01:53.948 --> 01:01:56.689]  What you say and what you do and what you stand for actually has value.
[01:01:58.290 --> 01:02:00.010]  Globalism is dehumanization.
[01:02:00.430 --> 01:02:03.632]  Globalism is a system that's meant to bring in dehumanization.
[01:02:04.032 --> 01:02:05.752]  And it wants you to feel alone.
[01:02:07.993 --> 01:02:15.996]  No family, no tribe, no kinship, no independent organization that's based on true human values.
[01:02:17.336 --> 01:02:21.278]  They want you all alone, like an inner-city child who doesn't have a mother or a father,
[01:02:22.315 --> 01:02:27.498]  Who gets taken over by a gang and who'll do horrible things because they believe that gang is their family.
[01:02:28.399 --> 01:02:29.619]  That's what the New World Order is.
[01:02:29.679 --> 01:02:30.960]  It's what political correctness is.
[01:02:31.020 --> 01:02:42.587]  It's all trying to arrest development, control people, make them be totally alone, and then sell them horrible globalist agendas as something that's supposedly going to fulfill them.
[01:02:44.266 --> 01:02:50.530]  That, ladies and gentlemen, is what the New World Order is, it's what it stands for, and it's what it's always going to be about.
[01:02:51.411 --> 01:02:52.872]  It is about enslavement.
[01:02:52.952 --> 01:02:54.593]  It is about not believing in you.
[01:02:54.673 --> 01:02:57.615]  It is about dumbing the message down and thinking you're stupid.
[01:02:59.690 --> 01:03:00.951]  You say what you want about Donald Trump.
[01:03:00.971 --> 01:03:02.492]  He is taking the globalists on.
[01:03:02.853 --> 01:03:04.394]  He is taking the New World Order on.
[01:03:04.774 --> 01:03:06.596]  He is talking to you like you're smart.
[01:03:07.076 --> 01:03:10.339]  He is going down to Mexico and saying we're all being screwed over by globalism.
[01:03:10.660 --> 01:03:11.420]  Let's come together.
[01:03:11.921 --> 01:03:14.103]  He is pushing detente with Russia.
[01:03:14.343 --> 01:03:16.445]  That's what the media says he's trying to start World War III.
[01:03:17.205 --> 01:03:18.707]  While Hillary threatens war with Russia.
[01:03:20.148 --> 01:03:27.254]  Donald Trump is the Newtonian physics response to the great tyranny and the interdimensional gravity of corruption and oppression.
[01:03:27.814 --> 01:03:35.260]  He is the manifestation of the people's will and the collective unconscious wanting to resist.
[01:03:35.300 --> 01:03:44.227]  And Trump is only the first of many people that are going to manifest through the powerful human system to resist the new world order.
[01:03:44.948 --> 01:03:46.609]  Infowars is only one part of that as well.
[01:03:47.090 --> 01:03:48.391]  And if we realize these
[01:03:49.437 --> 01:03:50.298]  Metaphysical rules.
[01:03:50.338 --> 01:04:00.825]  If we realize what's happening, what's unfolding, what's taking place, there's no way the globalists could ever put this genie back in the bottle.
[01:04:02.006 --> 01:04:05.848]  So make no mistake, I talk about a lot of really big things happening, a lot of amazing things happening.
[01:04:06.949 --> 01:04:09.991]  And that's because big things and incredible things are happening.
[01:04:10.251 --> 01:04:11.492]  History is happening now.
[01:04:11.652 --> 01:04:12.533]  We're in a world of wonder.
[01:04:13.015 --> 01:04:28.897]  Everything the social engineers engage in is about making you not see the magic and the wonder of the universe and feeling empty and then only looking to the television and PR and Madison Avenue and the different disinformation agents for fulfillment.
[01:04:29.687 --> 01:04:35.611]  They want you bought into their Hollywood system, believing that you're inadequate because you're not some narcissistic woman.
[01:04:36.552 --> 01:04:38.233]  Or some guy that looks like he's Superman.
[01:04:38.733 --> 01:04:46.839]  Again, they pick the image of a woman that maybe 1 out of 500 women look like, so you feel inadequate and mad and never feel like you're fulfilled and beautiful.
[01:04:48.019 --> 01:04:50.041]  Because you have lovely curves or voluptuous.
[01:04:50.601 --> 01:04:53.323]  That's just one microcosm of how they operate.
[01:04:53.583 --> 01:04:54.384]  And I'm here to tell you,
[01:04:55.529 --> 01:05:00.976]  That there is no utopia we're offering, but hell is where the globalists are leading us.
[01:05:01.677 --> 01:05:02.278]  We'll be back.
[01:05:02.358 --> 01:05:11.990]  It's a big second hour, ladies and gentlemen, with the Trump speech, Hillary's trail of death, billion-dollar baby, ISIS Supreme Commander Hillary Clinton, and more.
[01:05:13.476 --> 01:05:15.477]  Joe Biggs here with Infowars.com.
[01:05:15.577 --> 01:05:20.339]  Matt Lauer will moderate the first forum between Donald Trump and Hillary Clinton.
[01:05:20.779 --> 01:05:28.463]  On Wednesday, September 7th, NBC News and MSNBC, along with the Iraq and Afghanistan Veterans of America,
[01:05:28.863 --> 01:05:31.925]  We'll host the Commander-in-Chief Forum in New York City.
[01:05:32.286 --> 01:05:37.249]  It will be a one hour long forum where Clinton and Trump will answer questions about national security.
[01:05:37.569 --> 01:05:45.035]  The two candidates, though, will not be on stage at the same time, but instead will go back to back.
[01:05:45.615 --> 01:05:50.916]  Once again, Hillary Clinton is too scared to get on the same stage as Donald Trump.
[01:05:51.376 --> 01:05:52.137]  She's a coward.
[01:05:52.437 --> 01:05:53.417]  Where's Hillary?
[01:05:53.537 --> 01:05:54.817]  She's not in Louisiana.
[01:05:55.197 --> 01:05:56.438]  She's not in Mexico.
[01:05:56.698 --> 01:06:00.279]  She's not on the same stage as Donald Trump because she's sick.
[01:06:00.799 --> 01:06:04.120]  She's demented and she can't actually debate.
[01:06:04.460 --> 01:06:06.180]  She's scared sh**less.
[01:06:06.540 --> 01:06:09.241]  You can find more reports at InfoWars.com.
[01:06:31.112 --> 01:06:36.646]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:06:37.147 --> 01:06:39.713]  You're listening to the Alex Jones Show!
[01:06:42.130 --> 01:06:45.631]  Thank you so much for joining us on this Sunday Worldwide Broadcast.
[01:06:45.671 --> 01:07:03.638]  I want to first go to the incredible speech Donald Trump gave last week in Mexico about unity but also sovereignty and standing up against multinational globalists that are coming in and taking over our nation states and really setting up systems of financial oppression.
[01:07:04.118 --> 01:07:05.519]  This is a really powerful speech.
[01:07:06.399 --> 01:07:06.859]  The U.S.
[01:07:06.899 --> 01:07:08.360]  media captured by the globalists
[01:07:09.397 --> 01:07:12.319]  Really tried to demonize it, tried to take it out of context.
[01:07:12.699 --> 01:07:15.802]  So here is the speech unedited of Donald Trump in Mexico.
[01:07:15.822 --> 01:07:33.855]  Let us now hear the words of the Republican candidate to the presidency of the United States of America, Mr. Donald Trump.
[01:07:34.896 --> 01:07:35.316]  Thank you.
[01:07:36.237 --> 01:07:37.098]  It is a great honor
[01:07:37.995 --> 01:07:40.016]  To be invited by you, Mr. President.
[01:07:40.516 --> 01:07:41.556]  A great, great honor.
[01:07:41.636 --> 01:07:42.016]  Thank you.
[01:07:43.776 --> 01:07:53.739]  We had a very substantive, direct, and constructive exchange of ideas over quite a period of time.
[01:07:54.919 --> 01:07:58.260]  I was straightforward in presenting my views
[01:07:59.512 --> 01:08:05.674]  About the impacts of current trade and immigration policies on the United States.
[01:08:06.694 --> 01:08:09.915]  As you know, I love the United States very much.
[01:08:10.576 --> 01:08:15.997]  And we want to make sure that the people of the United States are very well protected.
[01:08:16.758 --> 01:08:22.319]  You equally expressed your feelings and your love for Mexico.
[01:08:22.339 --> 01:08:25.861]  The United States and Mexico share a 2,000 mile border.
[01:08:28.155 --> 01:08:36.664]  A half a trillion dollars in annual trade, and 1 million legal border crossings each and every day.
[01:08:37.865 --> 01:08:50.038]  We are united by our support for democracy, a great love for our people, and the contributions of millions of Mexican Americans to the United States.
[01:08:51.599 --> 01:09:03.348]  And I happen to have a tremendous feeling for Mexican Americans, not only in terms of friendships, but in terms of the tremendous numbers that I employ in the United States.
[01:09:03.428 --> 01:09:05.970]  And they are amazing people, amazing people.
[01:09:07.591 --> 01:09:12.175]  I have many friends, so many friends, and so many friends coming to Mexico and in Mexico.
[01:09:12.235 --> 01:09:15.838]  I'm proud to say how many people I employ.
[01:09:17.015 --> 01:09:25.883]  And the United States first, second, and third generation Mexicans are just beyond reproach.
[01:09:26.824 --> 01:09:29.706]  Spectacular, spectacular, hardworking people.
[01:09:30.667 --> 01:09:37.473]  I have such great respect for them and their strong values of family, faith, and community.
[01:09:39.252 --> 01:09:47.156]  We all share a common interest in keeping our hemisphere safe, prosperous, and free.
[01:09:48.497 --> 01:10:07.567]  No one wins in either country when human smugglers and drug traffickers prey on innocent people, when cartels commit acts of violence, when illegal weapons and cash flow from the United States into Mexico.
[01:10:08.758 --> 01:10:21.142]  Or when migrants from Central America make the dangerous trek, and it is very, very dangerous, into Mexico or the United States without legal authorization.
[01:10:22.563 --> 01:10:28.305]  I shared my strong view that NAFTA has been a far greater benefit to Mexico
[01:10:29.639 --> 01:10:43.786]  That it has been to the United States, and that it must be improved upon to make sure that workers, and so important, in both countries benefit from fair and reciprocal trade.
[01:10:44.926 --> 01:10:58.153]  I express that to the United States and that of the United States, that we must take action to stem this tremendous outflow of jobs from our country.
[01:10:59.525 --> 01:11:00.987]  It's happening every day.
[01:11:01.007 --> 01:11:06.192]  It's getting worse and worse and worse, and we have to stop it.
[01:11:07.353 --> 01:11:16.623]  Prosperity and happiness in both of our countries will increase if we work together on the following five shared goals.
[01:11:17.544 --> 01:11:21.748]  Number one, ending illegal immigration.
[01:11:22.709 --> 01:11:39.094]  Not just between our two countries, but including the illegal immigration and migration from Central and South Americans and from other regions that impact security and finances in both Mexico and the United States.
[01:11:40.354 --> 01:11:43.195]  This is a humanitarian disaster.
[01:11:44.591 --> 01:11:52.055]  The dangerous treks, the abuse by gangs and cartels, and the extreme physical dangers.
[01:11:53.176 --> 01:11:54.637]  And it must be solved.
[01:11:55.457 --> 01:11:57.298]  It must be solved quickly.
[01:11:58.079 --> 01:12:01.341]  Not fair to the people anywhere.
[01:12:02.131 --> 01:12:08.915]  Worldwide, you can truly say, but certainly not fair to the people of Mexico or the people of the United States.
[01:12:09.116 --> 01:12:15.240]  Number two, having a secure border is a sovereign right and mutually beneficial.
[01:12:16.020 --> 01:12:29.249]  We recognize and respect the right of either country to build a physical barrier or wall on any of its borders to stop the illegal movement of people, drugs,
[01:12:30.200 --> 01:12:30.800]  And weapons.
[01:12:31.761 --> 01:12:44.748]  Cooperation toward achieving this shared objective, and it will be shared, of safety for all citizens is paramount to both the United States and to Mexico.
[01:12:46.269 --> 01:12:55.775]  Number three, dismantling drug cartels and ending the movement of illegal drugs, weapons, and funds across our border.
[01:12:57.603 --> 01:13:08.732]  This can only be done with cooperation, intelligence and intelligence sharing, and joint operations between our two countries.
[01:13:09.752 --> 01:13:11.294]  It's the only way it's going to happen.
[01:13:12.494 --> 01:13:14.856]  Improving NAFTA, number four.
[01:13:16.397 --> 01:13:23.363]  NAFTA is a 22-year-old agreement that must be updated to reflect the realities of today.
[01:13:24.520 --> 01:13:35.472]  There are many improvements that could be made that would make both Mexico and the United States stronger and keep industry in our hemisphere.
[01:13:35.632 --> 01:13:40.837]  We have tremendous competition from China and from all over the world.
[01:13:41.458 --> 01:13:43.801]  Keep it in our hemisphere.
[01:13:44.601 --> 01:13:49.883]  Workers in both of our countries need a pay raise very desperately.
[01:13:50.183 --> 01:13:54.745]  In the United States, it's been 18 years, 18 years.
[01:13:55.745 --> 01:13:56.866]  Wages are going down.
[01:13:58.175 --> 01:14:06.639]  Improving pay standards and working conditions will create better results for all, and all workers in particular.
[01:14:07.199 --> 01:14:15.483]  There's a lot of value that can be created for both countries by working beautifully together.
[01:14:16.103 --> 01:14:18.004]  And that, I am sure, will happen.
[01:14:18.784 --> 01:14:24.647]  Number five, keep manufacturing wealth in our hemisphere.
[01:14:25.669 --> 01:14:41.306]  When jobs leave Mexico, the US or Central America and go overseas, it increases poverty and pressure on social services as well as pressures on cross border migration.
[01:14:42.187 --> 01:14:43.669]  Tremendous pressure.
[01:14:45.210 --> 01:14:47.573]  The bond between our two countries is deep.
[01:14:48.493 --> 01:14:56.518]  And both our nations benefit from a close and honest relationship between our two governments.
[01:14:57.458 --> 01:15:11.626]  A strong, prosperous and vibrant Mexico is in the best interests of the United States and will keep and help keep for a long, long period of time, America together.
[01:15:13.152 --> 01:15:21.635]  Both of our countries will work together for mutual good, and most importantly, for the mutual good of our people.
[01:15:22.956 --> 01:15:24.517]  Mr. President, I want to thank you.
[01:15:24.537 --> 01:15:28.658]  It's been a tremendous honor, and I call you a friend.
[01:15:28.978 --> 01:15:29.319]  Thank you.
[01:15:33.666 --> 01:15:43.249]  Now we are introducing a new t-shirt, which I think folks need to get, telling the real truth about Bill Clinton, who is a serial rapist and a user of women.
[01:15:43.369 --> 01:15:47.170]  In another case, it's about groping and fondling and touching against a woman's will.
[01:15:47.310 --> 01:15:47.690]  And rape.
[01:15:47.850 --> 01:15:48.250]  And rape.
[01:15:48.290 --> 01:15:52.471]  Bill rapes them physically, and then Hillary rapes them psychologically.
[01:15:52.511 --> 01:15:53.151]  He's a rapist.
[01:15:53.711 --> 01:15:54.152]  Absolutely.
[01:15:54.172 --> 01:15:55.412]  He's a public figure, he goes straight to hell.
[01:15:55.592 --> 01:16:01.036]  Before the Clintons left their governorship in Arkansas, more than a hundred people had been suspiciously murdered.
[01:16:01.076 --> 01:16:11.905]  Hundreds more died during their first terms, and the scourge continues to this day.
[01:16:27.944 --> 01:16:36.250]  After DNC staffer that speaks out against election fraud or leaks information to WikiLeaks ends up gunned down.
[01:16:37.110 --> 01:16:41.593]  And the Clinton crime family and their backers is now in the spotlight.
[01:16:42.794 --> 01:16:47.097]  If I die, if they kill me, it was done for a worthy cause.
[01:16:47.978 --> 01:16:49.939]  Somebody's gotta stand up against these people.
[01:16:51.053 --> 01:17:02.523]  Long before George W. Bush had taken office, or Senator Obama was even thinking about being president, I was there, exposing the crimes of the Clintons.
[01:17:03.424 --> 01:17:10.590]  So it is fitting that I, Alex Jones, called the Dark Heart by Hillary Clinton, would be your chronicler.
[01:17:11.551 --> 01:17:16.993]  A chronicler who risked his very life exposing these evil ones.
[01:17:17.333 --> 01:17:18.834]  It's required by Bill Clinton in 1992.
[01:17:18.914 --> 01:17:20.995]  And it was instituted here in Texas in 1993.
[01:17:21.075 --> 01:17:22.736]  I know the code, sir.
[01:17:23.196 --> 01:17:27.538]  It's also what happens when you listen to the radio host, Alex Jones.
[01:17:28.338 --> 01:17:34.921]  Just a few days ago, Hillary Clinton, one of the most powerful criminal kingpins in history,
[01:17:35.942 --> 01:17:41.830]  Came out on national television and said that I had a horrible dark heart.
[01:17:42.341 --> 01:17:48.964]  I don't know what happens in somebody's mind or how dark their heart must be.
[01:17:49.444 --> 01:17:56.108]  I thought back to the history of the Clinton's reign of criminal terror in the last 20 plus years on this planet.
[01:17:56.908 --> 01:18:07.353]  And I have to tell you, it's surreal to realize that Alex Jones, little old me, is one of the main opposition points against these monsters.
[01:18:08.722 --> 01:18:18.485]  Once they were in the White House, they expanded the bombing to hundreds and hundreds and hundreds of attacks a year on the infrastructure of Iraq.
[01:18:18.965 --> 01:18:32.028]  They got the UN to pass the most draconian sanctions ever in modern history, where medicine and food and all forms of technology were basically blocked from coming into the country.
[01:18:33.029 --> 01:18:37.230]  Over a million and a half Iraqis starved to death and died.
[01:18:38.340 --> 01:18:52.904]  And Hillary Clinton's mentor, Madeleine Albright, bragged on 16 Minutes and other channels that 500,000 dead Iraqi children were a good price to pay of the sanctions.
[01:18:53.945 --> 01:18:57.326]  We have heard that half a million children have died.
[01:18:57.366 --> 01:19:02.487]  I mean, that's more children than died in Hiroshima.
[01:19:02.647 --> 01:19:05.628]  And, you know, is the price worth it?
[01:19:06.661 --> 01:19:11.364]  I think this is a very hard choice, but the price, we think the price is worth it.
[01:19:11.864 --> 01:19:21.770]  But when you are a Machiavellian sociopath, or a sadistic psychopath, you don't look at things about alliances and who's right and who's wrong.
[01:19:22.290 --> 01:19:32.777]  You look at a billion plus Muslims, and you look at Syria, and you look at the invasion points where you can come into all of Europe and take over.
[01:19:33.985 --> 01:19:36.266]  But first, you've got to get the weapons to invade.
[01:19:37.166 --> 01:19:38.006]  And you see Libya.
[01:19:38.546 --> 01:19:40.447]  And Muammar Gaddafi was set up.
[01:19:40.907 --> 01:19:45.608]  Jihadists out of Saudi Arabia, via the State Department and Hillary, were brought into Benghazi.
[01:19:45.648 --> 01:19:46.648]  They attacked the country.
[01:19:47.048 --> 01:19:50.229]  The West had a bombing campaign to back the takeover.
[01:19:50.629 --> 01:19:52.210]  Islamists were put in control.
[01:19:52.850 --> 01:19:53.410]  Christians
[01:19:54.565 --> 01:20:03.831]  Blacks, non-radical Muslims, Shiites and others were killed by the tens of thousands and Hillary formed, by design, a failed state.
[01:20:04.192 --> 01:20:07.874]  We came, we saw, he died.
[01:20:15.779 --> 01:20:18.441]  You're listening to the Alex Jones Show.
[01:20:26.562 --> 01:20:28.064]  We are on the march.
[01:20:28.424 --> 01:20:30.866]  The Empire is on the run.
[01:20:31.587 --> 01:20:35.291]  Alex Jones and the GCN Radio Network.
[01:20:54.119 --> 01:20:58.023]  The presidential election process is beginning to reek of corruption.
[01:20:58.283 --> 01:21:10.955]  Homeland Security Chief Jay Johnson recently determined that our election process should be overseen by the Department of Homeland Security because it has been dubbed critical infrastructure, akin to the financial sector and the power grid.
[01:21:11.115 --> 01:21:20.381]  Truth be told, Mr. Johnson, this election is critical to the total emergence of a totalitarian New World Order that has almost crossed the finish line.
[01:21:20.481 --> 01:21:32.969]  Meanwhile, a desperate PSYOP to spin Hillary into the Oval Office is fully underway, as Matt Lauer will host a propagandized non-debate, whereas the Daily Caller reports it will be a one-hour forum.
[01:21:33.089 --> 01:21:42.871]  Where Clinton and Trump will answer questions about national security, military affairs and veterans issues in front of an audience mainly made up of members of the military.
[01:21:43.011 --> 01:21:49.673]  The two candidates will not be on the stage at the same time, but will instead go back to back.
[01:21:49.813 --> 01:21:55.394]  This after Trump dominated the last 48 hour news cycle with true presidential aplomb.
[01:21:56.015 --> 01:22:01.216]  We are united by our support for democracy, a great love for our people,
[01:22:02.182 --> 01:22:08.207]  And the contributions of millions of Mexican Americans to the United States.
[01:22:09.027 --> 01:22:26.941]  We agreed on the importance of ending the illegal flow of drugs, cash, guns, and people across our border, and to put the cartels out of business.
[01:22:28.556 --> 01:22:38.682]  We are going to uphold the laws of the nation and defend our sovereignty and security and we are going to defend our border.
[01:22:38.982 --> 01:22:45.286]  And now with Hillary sinking in the polls as Rasmussen reports, Hillary Clinton's post-convention lead has disappeared.
[01:22:45.486 --> 01:23:00.132]  Putting her behind Donald Trump for the first time nationally since mid-July, the latest weekly Rasmussen Report's White House Watch National Telephone and Online Survey shows Trump with 40% support to Clinton's 39% among likely U.S.
[01:23:00.172 --> 01:23:04.534]  voters after Clinton led 42% to 38% a week ago.
[01:23:04.794 --> 01:23:08.836]  As a result, the globalist empire is fiercely striking back.
[01:23:08.916 --> 01:23:20.683]  It certainly takes more than trying to make up for a year of insults and insinuations by dropping in on our neighbors for a few hours and then flying home again.
[01:23:20.743 --> 01:23:22.724]  That is not how it works.
[01:23:23.624 --> 01:23:27.006]  It's like anthrax dormant in our soil.
[01:23:27.467 --> 01:23:34.051]  We are a nation of immigrants who turn on immigrants as scapegoats when normal politics doesn't work anymore.
[01:23:34.611 --> 01:23:37.873]  And so when the wind's just right, and the host is weak,
[01:23:39.133 --> 01:23:39.553]  Just wait.
[01:23:40.614 --> 01:23:44.336]  Blame the immigrants' nativism that is always around at some level.
[01:23:44.976 --> 01:23:45.617]  It comes back.
[01:23:45.897 --> 01:23:47.518]  It comes out of the secret societies.
[01:23:47.938 --> 01:23:50.900]  It comes roaring out once again out of the dark.
[01:23:51.454 --> 01:23:53.476]  I think it was kind of a diplomatic embarrassment.
[01:23:53.516 --> 01:23:59.283]  We'll get to his speech later, but he's been talking for a year about we're gonna build a wall and Mexico's gonna pay for it.
[01:23:59.763 --> 01:24:03.888]  And then he goes and he sits down and he goes eyeball to eyeball with the president of Mexico.
[01:24:04.568 --> 01:24:06.831]  And what, he forgets suddenly to bring it up?
[01:24:07.071 --> 01:24:08.833]  Or he's too afraid to bring it up?
[01:24:09.234 --> 01:24:11.376]  And riding on the coattails of the PSYOP,
[01:24:11.556 --> 01:24:19.785]  Trolls upon trolls echoing half-baked disinformation in an effort to chip away Trump's emerging bold domination of the real issues.
[01:24:20.045 --> 01:24:25.431]  The Daily Caller reports, liberals did not like Donald Trump's immigration speech in Arizona.
[01:24:25.591 --> 01:24:30.517]  Some even attacked the angel moms, parents whose children have been killed by illegal immigrants.
[01:24:30.757 --> 01:24:37.645]  Mark McKinnon wrote, Trump surrounded on Phoenix stage by angel moms who say their kids were murdered by illegal immigrants.
[01:24:37.865 --> 01:24:39.948]  This is pretty much a hate rally.
[01:24:40.088 --> 01:24:44.933]  Joy Reed wrote, the way they call people illegals, so dehumanizing.
[01:24:45.093 --> 01:24:47.997]  The mainstream media in true global zeal
[01:24:48.317 --> 01:24:53.678]  Even blurred out Trump's name in an interview with a man who recently rescued a baby from a hot car.
[01:24:53.959 --> 01:25:07.202]  Again, propaganda was legalized in America in 2013 with the death of the Smith-Muntt Act, with the only rational explanation one could surmise, to be used on the American people.
[01:25:07.342 --> 01:25:15.164]  Propaganda is running wild, ladies and gentlemen, and a cabal of impetuous globalists are pushing their narrative into overdrive.
[01:25:15.404 --> 01:25:16.765]  John Bowne for Infowars.com.
[01:25:26.002 --> 01:25:27.583]  Much ado about Hillary.
[01:25:27.743 --> 01:25:32.786]  Heat Street reported, Hillary has been using pillows at every appearance to prop herself up.
[01:25:32.966 --> 01:25:42.832]  But it's truly the media spin cycle of her scandalous path of deviation in the face of the justice system that has propped up Hillary's presidential aspirations.
[01:25:43.072 --> 01:25:44.233]  How so, you ask?
[01:25:44.453 --> 01:25:55.480]  Because if Hillary's true criminal modus operandi was examined by a legitimate investigative media, the dead bodies stuck in Hillary's web would be front and center.
[01:25:55.700 --> 01:25:57.922]  And that trail of the dead is a long one.
[01:25:58.182 --> 01:26:13.372]  Vince Foster, Mary Mahoney, Judy Gibbs, Walter Scheib, Charles Ruff, Jim McDougal, Admiral Borda, Barry Seal, Michael Hastings, Sandy Hume, Gareth Williams are just a few of the ghosts in the Clintons' past.
[01:26:13.752 --> 01:26:19.418]  But now, fresh blood is being spilled with auspicious intentions regarding the Clinton campaign.
[01:26:19.778 --> 01:26:31.851]  June 22, 2016, UN official John Ash was murdered in a bizarre weightlifting incident while facing a trial for taking bribes from Clinton-tied Chinese billionaire David Ng.
[01:26:32.151 --> 01:26:32.511]  July 10,
[01:26:33.512 --> 01:26:39.478]  2016, Seth Rich, DNC voter expansion data director, was murdered in Washington, D.C.
[01:26:39.798 --> 01:26:44.503]  after possibly being tied to the massive email leak that upended the DNC.
[01:26:44.823 --> 01:26:51.049]  July 25th, 2016, former DNC chairman Joe Montano died of a supposed heart attack.
[01:26:51.289 --> 01:26:58.916]  August 1st, 2016, author Victor Thorne shot near his home after writing a slew of books exposing the Clinton crime family.
[01:26:59.176 --> 01:27:07.079]  August 2nd, 2016, Sean Lucas died mysteriously after serving a fraud class action suit against the Democratic Party.
[01:27:07.199 --> 01:27:12.201]  Poll numbers from Zogby Analytics now show that Hillary and Trump are neck and neck.
[01:27:12.502 --> 01:27:18.564]  Meanwhile, America's most trusted physician, Dr. Drew, raises legitimate concerns over Hillary's health.
[01:27:18.804 --> 01:27:27.928]  And based on the information that she has provided, that her doctors have provided, we were gravely concerned, not just about her health care, not about her health, but her health care.
[01:27:28.408 --> 01:27:28.708]  Why?
[01:27:29.008 --> 01:27:31.109]  Well, it's hard for people to understand.
[01:27:31.449 --> 01:27:38.031]  Both of us concluded that if we were providing the care that she was receiving, we'd be ashamed to show up in a doctor's lounge.
[01:27:38.071 --> 01:27:39.011]  We'd be laughed out.
[01:27:39.031 --> 01:27:43.973]  She's receiving sort of 1950-level sort of care by our evaluation.
[01:27:44.493 --> 01:27:56.137]  And Republicans in the House motioned to file perjury charges against Hillary after FBI Director James Comey contradicted Hillary's claims of innocence regarding the handling of classified materials.
[01:27:56.257 --> 01:28:01.081]  There was nothing marked classified on my emails, either sent or received.
[01:28:01.201 --> 01:28:05.244]  Nothing was marked classified at the time I sent or received it.
[01:28:05.264 --> 01:28:08.827]  I think it's also important to say something about the marking of classified information.
[01:28:09.687 --> 01:28:17.734]  Only a very small number of the emails here containing classified information bore markings that indicated the presence of classified information.
[01:28:18.795 --> 01:28:29.206]  But even if information is not more classified in an email, participants who know or should know that the subject matter is classified are still obligated to protect it.
[01:28:29.326 --> 01:28:33.691]  What he was very careful of, the director Comey said that she didn't lie to them.
[01:28:34.592 --> 01:28:36.893]  But, you know, the public comments are one area.
[01:28:36.913 --> 01:28:39.574]  But when you lie under oath, that's a whole other level.
