[00:00:06.568 --> 00:00:07.403]  Sounded real when Chevy.
[02:18:23.827 --> 02:18:25.129]  And Alex is a proof of that.
[02:18:25.570 --> 02:18:29.035]  I just can't believe, just like you just said, Alex, what you're saying is powerful.
[02:18:29.395 --> 02:18:30.136]  That's the essence.
[02:18:30.477 --> 02:18:32.279]  They think they're screwing everybody else.
[02:18:32.319 --> 02:18:33.761]  They don't get they're being screwed too.
[02:18:34.702 --> 02:18:35.522]  They're delusional.
[02:18:35.542 --> 02:18:36.443]  They're missing something.
[02:18:36.783 --> 02:18:44.045]  If I even think about screwing someone over, and I'm not even consciously wanting it, but I'm wargaming it, I go, ugh, like it's attacking me.
[02:18:44.365 --> 02:18:49.587]  And I just don't understand people that are missing the instinct that God gave us to not want to screw people.
[02:18:50.027 --> 02:18:51.288]  But I want to tell everybody else something.
[02:18:51.888 --> 02:18:58.050]  Those of you that are missing the instinct to want to fight people that are screwing over folks, look, it's not enough to not screw people over.
[02:18:58.090 --> 02:18:59.511]  You have to go after bad people.
[02:19:00.211 --> 02:19:04.735]  And you have to identify them, you have to make sure you're right about it, you have to double check everything, and then you've got to go after them.
[02:19:05.115 --> 02:19:08.998]  I don't mean physically, but I'm telling you folks, this is what has to happen.
[02:19:09.038 --> 02:19:09.859]  God bless you, Alex.
[02:19:10.460 --> 02:19:10.980]  Great points.
[02:19:11.020 --> 02:19:12.862]  I think you should start putting information out.
[02:19:13.442 --> 02:19:16.725]  And I think everybody should demand, we want humans.
[02:19:17.365 --> 02:19:19.107]  We want humans involved in what we're doing.
[02:19:19.607 --> 02:19:25.052]  I mean, I still go up to places that are automated with tickets and physically get my ticket, even though I was pre-purchased.
[02:19:26.138 --> 02:19:28.300]  Because I want humans in the movie theater.
[02:19:28.721 --> 02:19:30.983]  And they'll act all pissed like I made them do some work.
[02:19:31.384 --> 02:19:33.987]  I'm there trying to maintain their job.
[02:19:34.007 --> 02:19:35.869]  And people can say, well, you're just killing innovation.
[02:19:35.889 --> 02:19:36.950]  I'm going to skip this network break.
[02:19:36.970 --> 02:19:37.410]  I'm going to skip it.
[02:19:38.031 --> 02:19:39.653]  They can say I'm sitting there killing innovation.
[02:19:39.713 --> 02:19:40.033]  I'm not.
[02:19:41.234 --> 02:19:47.041]  It's like McDonald's brag 60 years ago that they put out trash cans saying, thank you.
[02:19:48.260 --> 02:19:51.962]  And so, before you'd go in, there'd be somebody to clean the tables, keep them nice.
[02:19:52.222 --> 02:19:54.703]  You expected better quality at even a fast food place.
[02:19:55.343 --> 02:19:59.205]  There was an entry-level, you know, minimum wage job for some 16-year-old or 15-year-old.
[02:20:00.485 --> 02:20:06.848]  Until you sat at a clean table, and things were nice, and you expected it to be clean, and there was a trash can over there, and people threw the food away for you.
[02:20:08.151 --> 02:20:10.052]  They put that in and said, thank you.
[02:20:10.072 --> 02:20:12.654]  You know, help keep costs down is the new thing.
[02:20:12.674 --> 02:20:14.375]  Well, you're just getting crappier and crappier.
[02:20:14.395 --> 02:20:15.576]  You're not keeping costs down.
[02:20:15.836 --> 02:20:17.557]  You're driving the quality of everything.
[02:20:18.218 --> 02:20:27.764]  When we take care of our old people, when we take care of our cultures, we take care of things, then we demand more quality, demand more jobs, demand diversity in the economy.
[02:20:28.044 --> 02:20:29.986]  Humans can build unlimited
[02:20:30.666 --> 02:20:31.147]  Economies.
[02:20:31.547 --> 02:20:34.889]  The globalists admit this in so many white papers, that how do we suppress them?
[02:20:34.909 --> 02:20:37.471]  Back in the 90s, the economies globally are growing too fast.
[02:20:37.772 --> 02:20:41.234]  They'll get out of the control of our structure soon if we don't suppress them.
[02:20:41.394 --> 02:20:48.520]  So they create depressions in select areas to make sure that only their controlled economy was growing, no one else.
[02:20:50.041 --> 02:20:55.525]  See, that's the thing, is that they took a free market and then they rigged it with computers.
[02:20:56.686 --> 02:21:00.109]  And now they want to rig it where you can't even have kids, you're going to be so poor.
[02:21:02.667 --> 02:21:05.328]  That's an illusion when you're in a big compact city.
[02:21:05.948 --> 02:21:07.809]  Because everybody's gone to that city for jobs.
[02:21:08.809 --> 02:21:14.151]  And especially in the West, some areas are really bad in China and India and need to be industrialized.
[02:21:14.191 --> 02:21:18.872]  But in the West, if you don't have 2.1 kids, everything collapses.
[02:21:20.279 --> 02:21:22.280]  Italy's having, like, 1.3 children.
[02:21:22.960 --> 02:21:24.621]  Japan's having 1.3 children.
[02:21:25.241 --> 02:21:26.902]  Germany's having, like, 1.5 children.
[02:21:27.643 --> 02:21:28.603]  They're collapsing.
[02:21:29.403 --> 02:21:32.105]  And then the globalists say, well, we'll just bring in Muslims to replace them.
[02:21:33.125 --> 02:21:37.287]  Okay, well, if there were Muslim countries that weren't as radical, I'd actually be fine with that.
[02:21:37.607 --> 02:21:41.870]  But they're bringing in people who are totally incompatible, even in their own countries.
[02:21:42.770 --> 02:21:48.773]  We're bringing in people whose religion is so out of control that they're always in civil wars with each other.
[02:21:50.626 --> 02:21:56.250]  Because their culture isn't about building new devices, or having better farming, or science.
[02:21:57.330 --> 02:22:00.092]  Let's take where Muslim religion comes from, the Arabs.
[02:22:00.913 --> 02:22:02.013]  High IQs on average.
[02:22:03.174 --> 02:22:04.555]  Very high IQs.
[02:22:04.615 --> 02:22:05.656]  Mathematics, you name it.
[02:22:06.016 --> 02:22:07.917]  Astronomy, a bunch of it, pretty much invented there.
[02:22:08.818 --> 02:22:10.999]  The alphabet, our alphabet is Aramaic.
[02:22:14.041 --> 02:22:14.962]  It ain't going on anymore.
[02:22:18.200 --> 02:22:21.021]  Because what you called Aramaic predates the Muslims.
[02:22:22.801 --> 02:22:23.862]  Christ wrote in Aramaic.
[02:22:25.822 --> 02:22:30.164]  So you take areas where most of the innovations came from with the very same genetics.
[02:22:30.704 --> 02:22:34.725]  What happened to it 1,400 years ago where now it came to a standstill?
[02:22:35.745 --> 02:22:39.747]  Because it no longer became about science and development and technology in the culture.
[02:22:39.827 --> 02:22:43.628]  It became about a cult micromanaging your behavior and what you did.
[02:22:45.745 --> 02:22:47.567]  And look, Christianity has had witch hunts too.
[02:22:48.087 --> 02:22:56.194]  I'm not gonna just sit here and bash Islam all day and not point out Christianity's had dark ages, Christianity's had inquisitions, Christianity has done stuff just like Islam's done.
[02:22:56.974 --> 02:22:57.455]  Do you know what?
[02:22:59.076 --> 02:23:01.698]  We reformed it and made it more Christ-like.
[02:23:02.579 --> 02:23:07.403]  Christianity in the last 200 years is a lot closer to what Christ said than to what it was previous to that.
[02:23:10.226 --> 02:23:11.927]  Islam is out of control.
[02:23:12.127 --> 02:23:12.508]  Look at it.
[02:23:12.748 --> 02:23:13.889]  It's a frickin' cult!
[02:23:15.751 --> 02:23:16.431]  It's crazy!
[02:23:16.972 --> 02:23:24.657]  Imagine if Christians said, yes, we don't let our daughters talk back to us or have their faces seen, and we don't let women drive cars.
[02:23:24.757 --> 02:23:26.658]  It would be a total revolt, and it should be.
[02:23:26.818 --> 02:23:28.940]  But if Muslims do it, it's supposedly cute and funny.
[02:23:28.980 --> 02:23:29.680]  Okay, I apologize.
[02:23:29.720 --> 02:23:30.241]  I'm on your calls.
[02:23:30.821 --> 02:23:35.744]  Tom in London's up next, and we'll go to John in Washington, Nick in Wisconsin, and Terry in Minnesota.
[02:23:35.824 --> 02:23:36.745]  Our reporters are popping in.
[02:23:37.025 --> 02:23:39.046]  Tom in London, thanks for holding on the air worldwide.
[02:23:41.168 --> 02:23:41.848]  Hello, Sir Alex.
[02:23:42.389 --> 02:23:42.809]  Go ahead, sir.
[02:23:44.325 --> 02:23:58.430]  Um, yeah, so, a year and a bit ago, 12, 14 months ago, I put a bet on William Hill that Trump would be the President and that Brexit would go the way it did.
[02:23:59.450 --> 02:24:01.310]  And that was on 17th July 2015.
[02:24:01.691 --> 02:24:06.552]  I have the... Well, I would say you've done well, Lord Vader.
[02:24:07.752 --> 02:24:11.774]  Well, yeah, thank you, Lord Darkheart, I should say.
[02:24:13.530 --> 02:24:18.872]  Yeah, if Ember Palpatine said who I was, we'd go, you are now known as Lord Darkheart.
[02:24:18.952 --> 02:24:20.153]  I actually like that, go ahead.
[02:24:20.233 --> 02:24:22.394]  Yeah, it's not bad.
[02:24:22.474 --> 02:24:25.255]  So, I didn't just say that, you know, to treat my own.
[02:24:25.475 --> 02:24:26.756]  Although, I haven't won yet, of course.
[02:24:26.916 --> 02:24:28.937]  Because it was a combination bet.
[02:24:29.477 --> 02:24:32.398]  They'll make you a mark about anything.
[02:24:34.099 --> 02:24:36.981]  You know, I was thinking about placing a bet there, because it's legal for me to do it from here.
[02:24:37.001 --> 02:24:42.183]  I was thinking of actually placing one on a whole bunch of stuff just for comedy potential, but go ahead.
[02:24:43.649 --> 02:24:44.249]  Yeah, it's pretty good.
[02:24:44.309 --> 02:24:45.910]  No, but it was the reason behind it.
[02:24:45.950 --> 02:25:01.213]  See, I don't want to put a down on things, but the reason I predicted Brexit and Trump president is because the establishment are in a negative reinforcement phase, I believe.
[02:25:02.133 --> 02:25:06.934]  And it is their pick.
[02:25:06.974 --> 02:25:09.575]  So they wanted the Brexit and they want Trump.
[02:25:10.928 --> 02:25:22.177]  Oh, you're saying they're engaging in complex psychology moves to like do everything against Trump to make it look like they actually hate him, but in truth they want him.
[02:25:23.638 --> 02:25:25.640]  Yeah, and we'll see for sure.
[02:25:26.461 --> 02:25:27.782]  And we saw this with Brexit.
[02:25:28.062 --> 02:25:30.144]  Queen came out and said she wanted Brexit.
[02:25:30.464 --> 02:25:32.986]  And there are loads of establishment figures.
[02:25:33.506 --> 02:25:37.690]  But while the media was bashing the idea of Brexit, it was a very clear
[02:25:38.550 --> 02:25:39.492]  We're good to go.
[02:25:51.311 --> 02:25:52.572]  Bad news about immigration.
[02:25:53.032 --> 02:25:54.153]  Bad news about terrorism.
[02:25:54.233 --> 02:25:54.913]  There'll be attacks.
[02:25:55.674 --> 02:25:58.436]  This is a very sophisticated point you raised, Tom.
[02:25:58.716 --> 02:26:02.358]  And I'll be honest, this is the type of thing that keeps me up at night wondering if I've been suckered.
[02:26:03.079 --> 02:26:10.924]  Wondering if this is all a great deception because if the economy declines right before Trump's about to get in, that shows that they're wanting to get him in, some claim.
[02:26:12.145 --> 02:26:19.590]  The way the media is doing outrageous stuff and just doing things that look absolutely ridiculous would be something that would make Trump get in.
[02:26:20.190 --> 02:26:21.011]  And I would agree with that.
[02:26:21.952 --> 02:26:23.455]  But they genuinely are panicking.
[02:26:23.776 --> 02:26:25.319]  We have their internal emails.
[02:26:26.060 --> 02:26:30.969]  Some of these, I don't want to get into details, but we know somebody else should hack this and give it to us, okay?
[02:26:31.090 --> 02:26:31.971]  Let me just stop right there.
[02:26:32.674 --> 02:26:35.796]  I mean, some of this humet was gathered by yours truly himself.
[02:26:36.477 --> 02:26:38.599]  And let me tell you, behind the scenes, they're crapping their britches.
[02:26:39.159 --> 02:26:40.900]  So I don't think they're that sophisticated.
[02:26:40.920 --> 02:26:44.983]  I think they'll try to spin and make lemonade with lemons if Trump gets in.
[02:26:45.604 --> 02:26:49.247]  I think Briggs was like 10, 15 points higher than what we actually saw.
[02:26:50.027 --> 02:26:57.353]  I think we're seeing the arrogance of tyrants, just like we saw the arrogance of Hitler or the arrogance of other tyrants in history.
[02:26:57.773 --> 02:27:02.437]  I really think we're seeing a biting off more than you can chew of event here.
[02:27:04.588 --> 02:27:25.783]  I think the media aren't controlled on a micro level, they're controlled on a more macro level and most of them are sort of wind up toys, but they'll do what they do, but they're sort of put in a... Okay, let me ask you this, why would the Russian hardliners and the Russian nationalists
[02:27:26.997 --> 02:27:35.083]  Be supporting Trump when the globalists are covertly supporting Trump, if you're correct, because I think the Russian-globalist split is real.
[02:27:37.164 --> 02:27:47.471]  Well, I think what's going on with part of the Russian landscape supporting Trump is that they are seeing what we tend to be seeing.
[02:27:47.691 --> 02:27:49.953]  Oh, you think the Russians are buying it, okay.
[02:27:50.791 --> 02:27:51.091]  Well, no.
[02:27:51.591 --> 02:27:53.572]  At some level, they are buying it.
[02:27:53.632 --> 02:27:58.455]  Yeah, I think in the same way as our media are buying it.
[02:27:58.495 --> 02:28:02.857]  Well, the Russian intelligence agencies have put out reports and they've said, look, we hope for Trump.
[02:28:03.317 --> 02:28:06.498]  We don't think he's actually out to get us like Hillary is, which is true.
[02:28:06.958 --> 02:28:09.900]  But we know the same power structure is in place, so we're not hoping for much better.
[02:28:09.920 --> 02:28:12.081]  So whatever happens, we're staying out of it.
[02:28:12.401 --> 02:28:14.742]  I think for all intents and purposes, the Russians have stayed out of it.
[02:28:17.003 --> 02:28:19.123]  You know, I think there's a little bit bigger stuff going on here.
[02:28:19.363 --> 02:28:20.404]  Let me ask you this.
[02:28:20.724 --> 02:28:28.685]  Do you think Trump... Do you think Trump is BSing people when he, say, covers InfoWars stories?
[02:28:28.705 --> 02:28:30.066]  I mean, do you think Trump's an agent?
[02:28:31.226 --> 02:28:32.646]  I don't think Trump's an agent.
[02:28:32.726 --> 02:28:34.486]  I think he seems like a pretty nice guy.
[02:28:34.746 --> 02:28:36.047]  I mean, there's no way.
[02:28:36.107 --> 02:28:37.447]  Listen, I've known globalists.
[02:28:37.487 --> 02:28:39.307]  They are very cold, very arrogant.
[02:28:39.987 --> 02:28:40.728]  Trump's the opposite.
[02:28:40.748 --> 02:28:42.488]  Let me just tell you, behind the scenes, the opposite.
[02:28:44.028 --> 02:28:45.329]  He seems like a pretty nice guy.
[02:28:45.490 --> 02:28:46.971]  You know, I've obviously met him.
[02:28:47.011 --> 02:28:47.752]  You have.
[02:28:47.832 --> 02:28:57.122]  Well, they may be delusional and think they're going to hoodwink the Brits and the Americans and the Russians, but let me tell you, we got those three countries against the New World Order, it's going to be in deep crap.
[02:28:58.344 --> 02:28:59.265]  I mean, good luck.
[02:28:59.325 --> 02:29:00.125]  That is the power.
[02:29:00.706 --> 02:29:10.071]  I mean, the UK, the United States, the Anglo-American establishment, if we seize that, and we're not at war with the Russians, the Chinese and everybody else better watch their ass.
[02:29:10.091 --> 02:29:23.859]  I mean, that really seems like actually the power combine we need to promote free market and a new renaissance is the United States, Russia and the UK allied in a new free market global system that is open and free and transparent.
[02:29:24.160 --> 02:29:25.941]  That's the type of global government I'd sign on to.
[02:29:26.381 --> 02:29:29.883]  So if you're saying they've manipulated us with a bad world government to sell a good world government,
[02:29:30.143 --> 02:29:30.943]  Yeah, okay, I get it.
[02:29:30.963 --> 02:29:31.984]  Is that what you're saying?
[02:29:33.525 --> 02:29:39.547]  I agree that those three countries are very important and that that is why they're being targeted for destruction.
[02:29:40.208 --> 02:29:44.130]  That's right, and that's why they have a spirit that's never been defeated and will not be defeated.
[02:29:45.190 --> 02:29:47.091]  There's bigger things going on here, Tom.
[02:29:48.011 --> 02:29:50.012]  Alright, the enemy is not invincible.
[02:29:50.372 --> 02:29:51.373]  We'll be back, stay with us.
[02:29:53.683 --> 02:29:56.684]  We're on the march, the empire's on the run.
[02:29:57.604 --> 02:30:00.364]  Alex Jones and the GCN Radio Network.
[02:30:05.165 --> 02:30:09.526]  We have the new product at infowarsandlife.com, BioTrue Selenium.
[02:30:09.646 --> 02:30:20.568]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[02:30:20.728 --> 02:30:25.672]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[02:30:25.772 --> 02:30:28.294]  It helps balance the thyroid gland.
[02:30:28.354 --> 02:30:29.855]  It helps detoxify.
[02:30:30.075 --> 02:30:32.918]  Selenium is another one of those absolute must-haves.
[02:30:32.958 --> 02:30:37.701]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[02:30:37.742 --> 02:30:41.865]  As a matter of fact, there's 25 genes in the body that are directly
[02:30:42.285 --> 02:30:43.886]  ...dependent upon selenium.
[02:30:43.926 --> 02:30:49.290]  So it really is a all-around nutrient that everybody really needs.
[02:30:49.410 --> 02:30:50.831]  I'm taking it now, every day.
[02:30:51.031 --> 02:30:51.771]  This is so key.
[02:30:52.012 --> 02:30:56.315]  BioTrue Selenium is the product, the best selenium that we could bring you.
[02:30:56.335 --> 02:30:58.436]  We believe it's the best out there at a very, very low price.
[02:30:58.556 --> 02:31:02.018]  Exclusively available at Infowarslife.com or by calling toll-free 888-253-3139.
[02:31:05.447 --> 02:31:10.128]  CNN has been caught in yet another scandal that exposes its pro-establishment bias.
[02:31:10.409 --> 02:31:17.451]  The network edited out Hillary Clinton calling the New York attack a bombing, during a press conference in which she criticized Donald Trump for using the same term.
[02:31:17.551 --> 02:31:31.555]  CNN had featured Clinton taking a question from a reporter on her campaign plane, agreeing that Trump was being insensitive for calling the attack in New York a bombing, but cut out the moment where Clinton referred to the incident as a bombing just moments before, according to Paul Joseph Watson.
[02:31:31.815 --> 02:31:42.625]  Even more ridiculous, the network then repeated the same stunt a second time, with host Jake Tapper slamming Trump for leaping to conclusions, again failing to play the clip where Clinton described the incident as a bombing.
[02:31:42.865 --> 02:31:45.868]  Trump called CNN's deception disgusting and disgraceful.
[02:31:46.008 --> 02:31:53.554]  He also pointed out how CBS recently edited out Bill Clinton, admitting that Hillary frequently has medical episodes like the seizure she had on 9-11.
[02:31:54.215 --> 02:31:58.817]  It's not surprising then that recent polls show that trust in mainstream media is at a record low.
[02:31:59.077 --> 02:32:01.078]  Find out more at InfoWars.com.
[02:32:01.178 --> 02:32:02.458]  This is Kit Daniels reporting.
[02:32:05.600 --> 02:32:07.420]  I'm gonna lay it out short and sweet.
[02:32:09.101 --> 02:32:14.763]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[02:32:15.463 --> 02:32:19.345]  I was a total fitness nut 20 years ago.
[02:32:20.327 --> 02:32:22.548]  About 15 years ago, I just stopped working out.
[02:32:22.628 --> 02:32:23.788]  I gained close to 100 pounds.
[02:32:24.449 --> 02:32:27.010]  I have lost 50, 60 pounds of fat.
[02:32:27.990 --> 02:32:28.350]  Or more.
[02:32:28.430 --> 02:32:30.371]  I've gained 20 pounds of muscle.
[02:32:30.851 --> 02:32:32.312]  I'm stronger than I was when I was 22.
[02:32:32.432 --> 02:32:35.773]  When I could bench press close to 400 pounds and squat 600.
[02:32:35.873 --> 02:32:37.654]  It's actually scary.
[02:32:38.547 --> 02:32:48.629]  And it's because I take products that our researchers developed that block the estrogen mimickers that basically feminize men.
[02:32:49.609 --> 02:33:02.432]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars in our fight to promote human liberty and freedom.
[02:33:12.955 --> 02:33:20.580]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[02:33:20.920 --> 02:33:22.161]  Alright, Nick in Minnesota.
[02:33:22.181 --> 02:33:28.265]  We're gonna go to you in just a moment, and Terry, and a few others, like John and Steven and Brian.
[02:33:28.765 --> 02:33:31.828]  But I'm gonna first, in a moment, go to one of our reporters.
[02:33:32.782 --> 02:33:36.485]  That is on the street right now in New York City.
[02:33:36.945 --> 02:33:40.688]  A lot of folks that want to talk about what they witnessed, what they've seen.
[02:33:40.708 --> 02:33:43.830]  Do they agree with Hillary Clinton that this is not a bombing, not a terror attack?
[02:33:43.850 --> 02:33:47.753]  But then conversely, she then changed a day later and said it's Donald Trump's fault.
[02:33:48.194 --> 02:33:54.458]  In fact, let's play that clip right now of Hillary Clinton blaming
[02:33:55.635 --> 02:33:57.956]  Trump saying he's giving aid and comfort to terrorists.
[02:33:58.276 --> 02:34:05.520]  The very group that have been testified in Congress, she and Obama literally created and gave the weapons to.
[02:34:05.560 --> 02:34:05.960]  Here it is.
[02:34:08.261 --> 02:34:22.067]  We know that a lot of the rhetoric we've heard from Donald Trump has been seized on by terrorists, in particular ISIS, because they are looking to make this into a war against Islam.
[02:34:23.168 --> 02:34:41.948]  Rather than a war against jihadists, violent terrorists, people who number in the maybe tens of thousands, not the tens of millions, they want to use that to recruit more fighters to their cause by turning it into a religious conflict.
[02:34:42.709 --> 02:34:44.530]  That's why I've been very clear.
[02:34:44.611 --> 02:34:47.252]  We're going after the bad guys and we're going to get them.
[02:34:47.332 --> 02:34:53.337]  But we're not going to go after an entire religion and give ISIS exactly what it's want.
[02:34:53.417 --> 02:34:57.660]  And we can't wait for them to enhance this position.
[02:34:57.680 --> 02:35:06.046]  Secondly, we know that Donald Trump's comments have been used online for recruitment of terrorists.
[02:35:07.366 --> 02:35:10.629]  We've heard that from former CIA director.
[02:35:11.598 --> 02:35:14.719]  When she first said that over a year ago, it turned out that she'd been used.
[02:35:14.899 --> 02:35:15.980]  She runs these groups.
[02:35:17.020 --> 02:35:19.561]  I mean, they actually take orders from her in Saudi Arabia.
[02:35:19.581 --> 02:35:20.802]  I mean, this woman is incredible.
[02:35:21.002 --> 02:35:21.862]  This is so rich.
[02:35:22.962 --> 02:35:34.147]  But we've gone from, it isn't a terrorist attack, it isn't a bombing, to now it's Donald Trump's fault for the terrorist attack.
[02:35:34.687 --> 02:35:40.049]  So let's go back to this witch who, thank God, the hand of doom is now
[02:35:43.129 --> 02:35:43.750]  Equalizing.
[02:35:44.610 --> 02:35:45.511]  Showing her justice.
[02:35:46.452 --> 02:35:48.074]  Just keep praying for justice against Hillary.
[02:35:48.334 --> 02:35:48.834]  No harm.
[02:35:49.375 --> 02:35:53.439]  Just that God, however God's plan works, that Hillary be brought to justice.
[02:35:54.319 --> 02:35:55.801]  And that all of us be brought to justice.
[02:35:55.861 --> 02:35:58.443]  Pray for justice against the wicked ones.
[02:35:59.004 --> 02:36:00.425]  And we're all wicked, aren't we, Hillary?
[02:36:00.445 --> 02:36:01.806]  We've all got dark hearts.
[02:36:01.906 --> 02:36:02.867]  I know I have a dark heart.
[02:36:04.028 --> 02:36:05.670]  You think yours is pretty, don't you, sweetheart?
[02:36:06.531 --> 02:36:08.653]  Let's go ahead and place the rest of the sweetheart.
[02:36:09.497 --> 02:36:17.642]  He made it a very clear point when he said Donald Trump is being used as a recruiting sergeant for the terrorists.
[02:36:18.662 --> 02:36:31.630]  We also know from the former head of our counter-terrorism center, Matt Olson, that the kinds of rhetoric and language that Mr. Trump is using... It's like blaming Benghazi on the YouTube video that didn't exist.
[02:36:31.670 --> 02:36:32.610]  This woman is a liar.
[02:36:33.031 --> 02:36:33.911]  She's on record.
[02:36:33.951 --> 02:36:36.613]  We've had all the people on, General Flynn's come out.
[02:36:37.293 --> 02:36:38.714]  They were ordered to aid Al Qaeda.
[02:36:39.094 --> 02:36:41.115]  General Flynn said no, started working with the Russians.
[02:36:41.475 --> 02:36:45.557]  Our own military was forced to go to the Russians to stop ISIS and Al Qaeda.
[02:36:45.577 --> 02:36:47.097]  I mean, this is a soft coup.
[02:36:47.457 --> 02:36:47.918]  It happened.
[02:36:48.698 --> 02:36:52.620]  Good job to our military, because our government's been hijacked by offshore globalists.
[02:36:53.360 --> 02:36:57.805]  Owen Schroyer, amazing reporter for Infowars.com, there with the great Michael Zimmerman as well.
[02:36:57.825 --> 02:37:02.009]  In fact, later I want to get Michael Zimmerman to pop in if he can some, when David Knight's coming up to take over.
[02:37:02.850 --> 02:37:03.771]  So much has happened.
[02:37:04.071 --> 02:37:04.972]  Breakdown the latest.
[02:37:05.252 --> 02:37:06.673]  They found the reported bomber.
[02:37:07.474 --> 02:37:08.435]  There's another sleeper cell.
[02:37:08.455 --> 02:37:10.838]  They've arrested five others allegedly connected.
[02:37:12.119 --> 02:37:13.700]  He's now shot two police officers.
[02:37:14.341 --> 02:37:18.444]  I'm going to be honest, why the hell did they let him even get those shots off when they knew who he was and had him cornered?
[02:37:18.484 --> 02:37:23.128]  I mean, this is a foreign military officer, folks.
[02:37:23.388 --> 02:37:24.169]  That's who these people are.
[02:37:24.189 --> 02:37:26.250]  They don't have the same rights as American citizens.
[02:37:26.291 --> 02:37:27.151]  I'm sorry, I'm just done.
[02:37:27.171 --> 02:37:28.412]  Owen, go ahead.
[02:37:29.653 --> 02:37:33.096]  Well, we're standing here just outside of where the explosion went off.
[02:37:33.316 --> 02:37:37.599]  And as you just illustrated, it's amazing how, you know, they're going to blame Trump.
[02:37:37.659 --> 02:37:39.061]  It's like they want to blame Trump for everything.
[02:37:39.081 --> 02:37:40.742]  They don't want to actually look for the issues.
[02:37:40.982 --> 02:37:42.583]  They don't want to talk about the real issues.
[02:37:43.703 --> 02:37:47.087]  Take the real issues, and then spin it, and blame Donald Trump.
[02:37:47.107 --> 02:37:55.978]  But I love that point you just made, where we went from, this is not a terrorist attack, this is not a bombing, to, oh, Donald Trump is responsible for this terrorist bombing in New York.
[02:37:56.258 --> 02:38:02.866]  It's amazing how they just spin it like that, and it's sad that there's so many weak-minded Americans that just fall for it hook, line, and sinker.
[02:38:03.715 --> 02:38:11.520]  I gotta be honest, it actually makes me go crazy to like see her say, yeah the bombings in New Jersey and New York, and it's wrong he's calling them bombings.
[02:38:11.580 --> 02:38:17.544]  It's like, these people are like, either they're the biggest scum in the world or we're the dumbest people in the world.
[02:38:18.168 --> 02:38:20.169]  Well, and Alex, we got the response.
[02:38:20.209 --> 02:38:21.149]  We were shooting the videos.
[02:38:21.169 --> 02:38:24.771]  We were asking people what they thought about Hillary criticizing Trump for saying it's a bomb.
[02:38:25.131 --> 02:38:26.571]  And people are looking at me like I'm crazy.
[02:38:26.591 --> 02:38:27.432]  They're like, what are you talking about?
[02:38:27.452 --> 02:38:27.952]  It's a bomb?
[02:38:28.052 --> 02:38:28.372]  Like, what?
[02:38:28.612 --> 02:38:29.372]  Is grass green?
[02:38:29.432 --> 02:38:30.173]  Is the sky blue?
[02:38:30.253 --> 02:38:30.853]  Is rain wet?
[02:38:31.173 --> 02:38:31.953]  Yeah, it was a bomb.
[02:38:32.314 --> 02:38:38.296]  But we did find actually some Hillary supporters that somehow, you know, they managed to sneak around the fact it was a bomb.
[02:38:38.336 --> 02:38:40.577]  They're saying, oh, well, Trump said it too soon.
[02:38:40.597 --> 02:38:41.857]  You know, he shouldn't have said it.
[02:38:41.917 --> 02:38:42.557]  How dare he?
[02:38:42.597 --> 02:38:43.598]  That's not tolerant.
[02:38:43.618 --> 02:38:44.478]  We need to wait and see.
[02:38:44.498 --> 02:38:46.079]  No, a bomb is a bomb.
[02:38:46.599 --> 02:38:47.920]  Okay, you call it as you see it.
[02:38:47.960 --> 02:38:50.822]  Why do people hate the fact that Donald Trump calls it as they see it?
[02:38:50.842 --> 02:38:52.122]  This is what they would want, Alex.
[02:38:52.142 --> 02:38:54.504]  We want in leaders that are decisive.
[02:38:55.969 --> 02:38:57.951]  And so here's what they're going to do then, right?
[02:38:58.172 --> 02:39:05.078]  They're going to let all of these people come here from these radical Islamic countries that are war-torn, which we're responsible for.
[02:39:05.118 --> 02:39:06.480]  We've been reporting on this.
[02:39:06.800 --> 02:39:08.021]  But they're going to bring them all in.
[02:39:08.381 --> 02:39:10.884]  We're going to be reporting on how this is going on.
[02:39:10.924 --> 02:39:13.146]  And then they're going to say, oh, well, you need to be tolerant.
[02:39:13.166 --> 02:39:13.486]  So what?
[02:39:13.506 --> 02:39:18.792]  We're just going to wait until terrorist attacks happen every day, and then we can talk about radical Islamic terror?
[02:39:19.392 --> 02:39:20.312]  That's what the liberals want.
[02:39:20.332 --> 02:39:27.835]  Well it's crazy, whether it's the nightclub shooting killing 50 plus or the niece killing 90 plus, they keep saying it's not terror as long as they can.
[02:39:27.855 --> 02:39:35.578]  And then it comes out it was, discrediting them, but they're so delusional, thinking they're the only media that counts, they don't get that they're destroying themselves.
[02:39:35.858 --> 02:39:39.279]  Just a year ago, AP said mainstream media had a 15% trust rate.
[02:39:39.619 --> 02:39:40.899]  It's 6% now.
[02:39:42.060 --> 02:39:43.080]  I mean, don't they get it?
[02:39:43.520 --> 02:39:44.921]  Let's talk to some of these crew out there.
