[00:00:14.902 --> 00:00:16.103]  Isn't this Bing Crosby?
[00:45:42.272 --> 00:45:48.239]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:45:48.980 --> 00:45:57.371]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:45:57.991 --> 00:46:06.222]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:46:09.210 --> 00:46:11.252]  Electrify your day with Secret 12.
[00:46:11.492 --> 00:46:12.833]  It's like lightning in a bottle.
[00:46:13.074 --> 00:46:16.617]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:46:16.977 --> 00:46:24.724]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:46:24.924 --> 00:46:29.709]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:46:29.889 --> 00:46:35.353]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:46:35.693 --> 00:46:43.219]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:46:43.479 --> 00:46:47.903]  It pairs two forms of vitamin B12 into one explosive formula.
[00:46:48.183 --> 00:46:57.011]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:46:57.211 --> 00:47:00.493]  Electrify your mind and body and take your health to the next level.
[00:47:00.774 --> 00:47:04.437]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:47:04.657 --> 00:47:06.278]  That's InfoWarsLife.com.
[00:47:12.085 --> 00:47:16.186]  Leading a frontal assault on the lies of the New World Order.
[00:47:16.726 --> 00:47:18.066]  It's Alex Jones.
[00:47:19.187 --> 00:47:27.489]  Waging war on corruption.
[00:47:29.329 --> 00:47:32.710]  Waging war on corruption.
[00:47:33.110 --> 00:47:35.291]  It's Alex Jones.
[00:47:36.940 --> 00:47:39.582]  Alright, I do want to open the phones up some in the next hour or so.
[00:47:39.602 --> 00:47:43.064]  At the very end of this segment, I'm going to open the phones up and give that toll-free number out.
[00:47:43.424 --> 00:47:47.487]  But before I go there, I want to play this Dave Chappelle clip against some other news.
[00:47:48.848 --> 00:47:54.892]  But just pulling back from this, if I got a call from President Barack Obama, it would mean nothing to me.
[00:47:55.833 --> 00:47:57.654]  I would just say, please stop selling our country out.
[00:47:57.694 --> 00:48:01.997]  It's not fair to have higher taxes on us than China has on their industries.
[00:48:02.097 --> 00:48:02.857]  Why are you doing this?
[00:48:04.178 --> 00:48:06.260]  Power means nothing to me if it's not doing good.
[00:48:07.393 --> 00:48:09.575]  I mean, I've had Obama talk about me.
[00:48:09.616 --> 00:48:11.317]  I've had Hillary talk about me and attack me.
[00:48:11.598 --> 00:48:12.358]  It means nothing.
[00:48:12.418 --> 00:48:13.359]  I've been on Nightline.
[00:48:13.400 --> 00:48:14.481]  I've been in movies.
[00:48:14.521 --> 00:48:15.522]  I've been on HBO.
[00:48:16.843 --> 00:48:18.165]  I've been at the A-list parties.
[00:48:18.925 --> 00:48:20.107]  I don't want to sell it to the system.
[00:48:20.167 --> 00:48:23.410]  I don't want to go to the inauguration and sit around people in tuxedos and hang around with Trump.
[00:48:24.531 --> 00:48:25.793]  I want to change the world.
[00:48:25.933 --> 00:48:27.054]  I want to build a better planet.
[00:48:27.114 --> 00:48:29.056]  I want to have a better future.
[00:48:29.096 --> 00:48:29.777]  That's what I'm into.
[00:48:31.530 --> 00:48:38.472]  But you do have to pinch yourself like some parallel universe when the South delivered a Yankee into the White House.
[00:48:38.492 --> 00:48:39.033]  It's beautiful.
[00:48:40.553 --> 00:48:41.494]  Whole South went for him.
[00:48:42.214 --> 00:48:43.334]  New York, his own state.
[00:48:45.055 --> 00:48:47.596]  They'd have to steal that because there's almost no Republicans even on the ballot.
[00:48:47.936 --> 00:48:50.257]  So there's not even a Republican Party in most counties, basically.
[00:48:51.817 --> 00:48:53.838]  So it's all Democrats.
[00:48:53.858 --> 00:48:54.978]  So he lost his own state.
[00:48:56.779 --> 00:48:59.260]  He stole five other states, that's clear, but he still won.
[00:49:00.327 --> 00:49:00.907]  It's beautiful.
[00:49:01.768 --> 00:49:04.430]  All this demonization of the North and the South is all made up crap.
[00:49:06.571 --> 00:49:12.135]  And it's like some parallel universe that we were in, we finally broke it back into the real universe.
[00:49:13.856 --> 00:49:15.557]  I mean, Obama doubled black unemployment.
[00:49:15.577 --> 00:49:22.302]  He didn't do anything for those communities, except spew racism to give people a wound instead of a job.
[00:49:24.138 --> 00:49:31.681]  That's what I'm tired of is, ladies and gentlemen, I covered the demographics in 2008, I covered the demographics in 2012, so did you.
[00:49:31.721 --> 00:49:32.201]  You saw it.
[00:49:32.842 --> 00:49:41.125]  A record number of white people, more than voted for Ronald Reagan, this is more people, but still, a record number voted
[00:49:43.342 --> 00:49:51.587]  A record number of Republicans voted for Barack Obama because they were so sick of George W. Bush and the wars and the spying and the stuttering and the lying.
[00:49:52.528 --> 00:49:55.830]  And I mean, with George W., it was like we had a retarded monkey in the White House.
[00:49:57.371 --> 00:50:05.436]  And so Americans are like, yeah, sure, this guy says he didn't want our guns, wants to cut taxes, wants to do all this great stuff, sure, put him in, he's an articulate, good-looking guy.
[00:50:06.436 --> 00:50:08.798]  In comes Obama, screws us up one side and down the other.
[00:50:09.218 --> 00:50:10.299]  So I came up with this saying.
[00:50:11.780 --> 00:50:12.220]  I tweeted it.
[00:50:13.615 --> 00:50:14.976]  Yesterday, we should tweet it again.
[00:50:17.417 --> 00:50:21.038]  We voted for Obama because we wanted to prove we weren't racists.
[00:50:22.759 --> 00:50:24.920]  We voted for Trump to prove we weren't stupid.
[00:50:26.561 --> 00:50:30.603]  And I didn't vote for Obama, but I was neutral.
[00:50:31.323 --> 00:50:35.565]  I was so sick of the Republican establishment, John McCain is as bad, maybe worse, totally out of his mind.
[00:50:36.246 --> 00:50:39.707]  In fact, more warmonger than Obama, so maybe that was the right choice, as bad as it was.
[00:50:40.147 --> 00:50:41.028]  Obama was a wake-up call.
[00:50:41.755 --> 00:50:49.320]  Man, I was all for Romney, even though I didn't completely like him, because... I mean, Obama had done so much bad in four years.
[00:50:49.440 --> 00:50:51.221]  I mean, hurt poor people so damn bad.
[00:50:53.703 --> 00:50:59.947]  One thing I harped on every day was, you shut down 500 plants this first administration, another 500, 600 the second.
[00:51:00.908 --> 00:51:02.269]  That was almost half our plants.
[00:51:02.829 --> 00:51:06.972]  Everything we've got's moving to Mexico, folks, because they're building brand new, dirty-running plants.
[00:51:07.553 --> 00:51:10.935]  One-tenth the price of ours, and the electricity's cheaper than dirt.
[00:51:12.725 --> 00:51:16.426]  So you can run a factory three, four times cheaper in Mexico just on electricity.
[00:51:16.446 --> 00:51:18.287]  That's the number one cost in a factory.
[00:51:19.287 --> 00:51:21.788]  It's above labor in a manufacturing plant generally.
[00:51:22.548 --> 00:51:23.148]  Where are you going to go?
[00:51:25.849 --> 00:51:29.050]  America has like bowling balls tied to its legs playing a football game.
[00:51:29.351 --> 00:51:29.911]  It's not right!
[00:51:31.991 --> 00:51:36.433]  Trump gets that and that's why all these special interests are so pissed because they sold us out.
[00:51:39.400 --> 00:51:50.231]  Now Dave Chappelle tells some historical stories, and I'm a pretty big historian, and the Abraham Lincoln story's true, and I'm not defending Roosevelt, but that's a story that's been disproven.
[00:51:50.251 --> 00:51:51.732]  He did not call the person an n-word.
[00:51:52.073 --> 00:51:56.597]  But the point is, is that, yes, everything in America was class-run.
[00:51:56.917 --> 00:51:58.559]  Not as much as Europe, but still class-run.
[00:51:58.579 --> 00:51:59.260]  We were a little bit better.
[00:52:00.333 --> 00:52:06.278]  But he makes the point that he goes to the White House, it's all black people there for this party, and everybody's saying Trump can't do it, Trump can't do it.
[00:52:06.698 --> 00:52:09.040]  The sense of what you get is, it's this elitism.
[00:52:09.081 --> 00:52:14.805]  What, a multi-billionaire white guy suddenly isn't qualified and Obama's all arrogant and says you can't do it?
[00:52:14.825 --> 00:52:16.547]  So they say the black man can't be president.
[00:52:18.549 --> 00:52:19.469]  Obama's a smart guy.
[00:52:19.489 --> 00:52:20.791]  If he wasn't a globalist, he'd be great.
[00:52:20.851 --> 00:52:25.895]  See, it's not the color of their skin, it's who they stand up for, who they serve.
[00:52:25.935 --> 00:52:27.997]  Like Bob Dylan says, you gotta serve someone.
[00:52:31.340 --> 00:52:35.123]  When I stand up for nationalism, that'll teach other countries to stand up for nationalism.
[00:52:35.663 --> 00:52:37.565]  So the multinationals just don't run over the top of us.
[00:52:41.408 --> 00:52:42.109]  But it is surreal.
[00:52:42.129 --> 00:52:44.911]  You want to know how real Donald Trump is?
[00:52:47.933 --> 00:52:51.516]  I could have gotten Donald Trump back on the show since he first came on, but I knew they were going to use it.
[00:52:51.977 --> 00:52:56.460]  I wasn't 100% sure that my association with him was good overall, and I knew it was with the grassroots.
[00:52:56.480 --> 00:52:57.761]  Everything was bonafide.
[00:52:57.781 --> 00:52:59.603]  We knew the numbers.
[00:53:00.913 --> 00:53:02.855]  But I just didn't push, even though I could have got him on.
[00:53:02.975 --> 00:53:05.357]  We talked some on the phone, here and there.
[00:53:06.899 --> 00:53:07.740]  Real conversations.
[00:53:10.723 --> 00:53:16.068]  And then, boom, I see Trump Tower calling, Friday, at a lengthy conversation.
[00:53:16.088 --> 00:53:18.390]  He says, you're number 61, Alex, on my list.
[00:53:18.410 --> 00:53:22.194]  Just talked to the Queen of England, and then this person, and now you.
[00:53:23.519 --> 00:53:25.620]  He goes, yeah, well you're a little busy sir, maybe we should talk later.
[00:53:25.640 --> 00:53:28.381]  He goes, well, I understand that, but just keep doing what you're doing.
[00:53:28.421 --> 00:53:31.363]  And those other things were said, but I appreciate you and your audience.
[00:53:31.403 --> 00:53:32.503]  It's amazing what you're doing.
[00:53:32.563 --> 00:53:36.325]  And good God, it's incredible the influence you, you know, talk like that.
[00:53:39.947 --> 00:53:46.530]  But the point is, is that I wouldn't have cared if it was a Barack Obama or a George Bush or a Bill Clinton.
[00:53:46.550 --> 00:53:47.810]  I wouldn't even probably take that call.
[00:53:48.531 --> 00:53:51.172]  I mean, I had the governor when he was the president elect trying to get me to
[00:53:52.921 --> 00:53:55.523]  Say nice things about him and he wanted to have me come over to the governor's mansion.
[00:53:55.543 --> 00:54:01.787]  I mean, they had the state police come over and then later federal marshals saying, look, he wants to be nice to you.
[00:54:02.147 --> 00:54:02.588]  He likes you.
[00:54:04.349 --> 00:54:07.151]  But I guess that Bush collected talk shows like he collected baseball cards.
[00:54:07.171 --> 00:54:07.671]  It didn't happen.
[00:54:08.291 --> 00:54:08.612]  You know what?
[00:54:08.632 --> 00:54:09.572]  I'm a baseball card.
[00:54:09.652 --> 00:54:13.695]  I'm in the pocket of Donald Trump as long as he delivers.
[00:54:14.315 --> 00:54:15.096]  He delivers half.
[00:54:15.536 --> 00:54:16.537]  It's earth changing.
[00:54:18.393 --> 00:54:19.633]  I mean, he wants the whole enchilada.
[00:54:19.653 --> 00:54:20.914]  He is in an uphill battle, folks.
[00:54:20.934 --> 00:54:21.734]  We better understand that.
[00:54:22.134 --> 00:54:25.154]  With everything against him, we only have a tenuous beachhead right now.
[00:54:26.075 --> 00:54:27.515]  And he's already delivering on so many fronts.
[00:54:28.255 --> 00:54:39.357]  And if he thinks appointing some big banker is the Treasury person, because they have the connections, as long as they do his will and our will, it's like World War II.
[00:54:39.417 --> 00:54:41.698]  If Nazis were defecting over to our side, did we just kick them out?
[00:54:41.718 --> 00:54:42.918]  No, we had to have them to win the war.
[00:54:45.579 --> 00:54:46.939]  Same thing, you know, with our Revolutionary War.
[00:54:50.444 --> 00:54:53.245]  I will always be honest in the final equation about what I see happening.
[00:54:53.265 --> 00:55:09.388]  It's not about some relationship or being starstruck by Trump, but it's good to finally be enchanted again a little bit and to find something exciting because nothing's exciting to me except my kids having a fun time out on the lake or sunset or barbecuing or hiking or loving God and being a good man.
[00:55:10.068 --> 00:55:12.208]  Power means nothing to me unless it's doing good for people.
[00:55:12.688 --> 00:55:16.769]  So know this, I believe Trump's, my gut tells me he's for real, but also
[00:55:17.549 --> 00:55:23.713]  Now, before I go, I do want to say one thing, and this is not a joke, but I think it's important that I say this, because they're marching up the street right now as we speak.
[00:55:39.855 --> 00:55:42.716]  A few weeks ago, I went to the White House for a party.
[00:55:42.856 --> 00:55:45.157]  It was the first time I'd been there in many years.
[00:55:45.678 --> 00:55:46.738]  This is Saturday Night Live.
[00:55:46.758 --> 00:55:47.498]  We're analyzing it.
[00:55:47.538 --> 00:55:48.559]  And it was very exciting.
[00:55:49.359 --> 00:55:51.120]  And BET had sponsored the party.
[00:55:51.780 --> 00:55:54.041]  So everyone there was black.
[00:55:56.603 --> 00:55:57.503]  And it was beautiful.
[00:55:57.763 --> 00:55:58.643]  I walked through the gates.
[00:55:58.824 --> 00:56:06.567]  You know, I'm from Washington, so I saw the bus stop, or the corner where the bus stop used to be, where I used to catch the bus to school and dream about nights like tonight.
[00:56:07.247 --> 00:56:08.668]  It was a really, really beautiful night.
[00:56:09.594 --> 00:56:12.276]  And at the end of the night, everyone went into the West Wing of the White House.
[00:56:12.936 --> 00:56:14.277]  And there was a huge party.
[00:56:15.218 --> 00:56:18.340]  And everybody in there was black, except for Brad the Koopa, for some reason.
[00:56:24.865 --> 00:56:28.988]  And on the walls were pictures of all the presidents of the past.
[00:56:30.169 --> 00:56:37.174]  Now, I'm not sure if this is true, but to my knowledge, the first black person that was officially invited to the White House was Frederick Douglass.
[00:56:37.634 --> 00:56:38.975]  They stopped him at the gates.
[00:56:40.018 --> 00:56:44.860]  Abraham Lincoln had to walk out himself and escort Frederick Douglass into the White House.
[00:56:45.260 --> 00:56:48.922]  And it didn't happen again, as far as I know, until Roosevelt was president.
[00:56:49.962 --> 00:56:58.586]  When Roosevelt was president, he had a black guy over and got so much flack from the media that he literally said, I will never have a nigger in this house again.
[00:57:00.126 --> 00:57:04.528]  I thought about that and I looked at that room and I saw all those black faces in Bradley.
[00:57:05.249 --> 00:57:05.789]  And I saw
[00:57:09.514 --> 00:57:11.615]  And I saw how happy everybody was.
[00:57:12.095 --> 00:57:14.877]  These people had been historically disenfranchised.
[00:57:15.457 --> 00:57:16.818]  And it made me feel hopeful.
[00:57:17.478 --> 00:57:19.419]  And it made me feel proud of being American.
[00:57:19.819 --> 00:57:23.301]  And it made me very happy about the prospects of our country.
[00:57:23.941 --> 00:57:28.364]  So, in that spirit, I'm wishing Donald Trump luck.
[00:57:29.504 --> 00:57:31.085]  And I'm going to give him a chance.
[00:57:32.506 --> 00:57:38.409]  And we, the historically disenfranchised, demand that he give us one too.
[00:57:39.421 --> 00:57:40.042]  Thank you very much.
[00:57:40.062 --> 00:57:40.663]  Well, don't worry.
[00:57:40.843 --> 00:57:42.465]  He's not out to get you like the Globalist are.
[00:57:42.485 --> 00:57:44.427]  He's not going to build more abortuaries in your neighborhood.
[00:57:45.008 --> 00:57:50.234]  So that's a very, very exciting little piece there because it shows that folks at a deep down level understand what's happening here.
[00:57:50.254 --> 00:57:52.517]  But we have to get behind Trump so he can deliver that.
[00:57:53.098 --> 00:57:54.539]  Hour number two straight ahead.
[00:57:54.559 --> 00:57:58.264]  We have free shipping running store-wide at instantaliumforestore.com.
[00:57:59.516 --> 00:58:00.897]  You developed Living Defense for us.
[00:58:00.957 --> 00:58:02.038]  It took you over a year to do it.
[00:58:02.278 --> 00:58:03.199]  Why is this so good?
[00:58:03.499 --> 00:58:08.743]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:58:08.823 --> 00:58:22.373]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:58:22.433 --> 00:58:23.814]  Right now with all the refugees,
[00:58:24.574 --> 00:58:26.135]  Uh, spreading disease around.
[00:58:26.235 --> 00:58:28.738]  We have biological warfare going on everywhere.
[00:58:28.818 --> 00:58:30.079]  These are all parasites.
[00:58:30.119 --> 00:58:31.220]  Tell us about all the stuff that's in it.
[00:58:31.240 --> 00:58:32.280]  There's so many things that are in it.
[00:58:32.581 --> 00:58:36.924]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:58:37.124 --> 00:58:40.287]  I recommend doing a parasite cleanse at least twice a year.
[00:58:40.367 --> 00:58:43.451]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:58:43.471 --> 00:58:44.492]  It just came back in yesterday.
[00:58:44.532 --> 00:58:46.415]  Living Defense, Infowarslife.com.
[00:58:46.475 --> 00:58:47.496]  And folks, you can't lose.
[00:58:47.516 --> 00:58:49.598]  It's full of stuff that's great for your body, period.
[00:58:50.219 --> 00:58:53.263]  And you support the broadcast, Infowarslife.com.
[00:58:53.523 --> 00:58:55.406]  Thank you, Dr. Group from the Global Healing Center.
[00:58:55.786 --> 00:58:57.749]  Thank you so much for all your work, sir, on this great product.
[00:58:59.008 --> 00:59:04.271]  If you look at Bill Clinton, far worse, minor words, and his was action.
[00:59:04.852 --> 00:59:06.373]  His was what he's done to women.
[00:59:06.433 --> 00:59:12.096]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[00:59:12.316 --> 00:59:14.618]  Bill Clinton was abusive to women.
[00:59:14.978 --> 00:59:21.182]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[00:59:21.302 --> 00:59:26.605]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:59:37.438 --> 00:59:40.179]  There is an information warfare happening right now.
[00:59:41.040 --> 00:59:42.480]  It's a fight for our minds.
[00:59:43.161 --> 00:59:45.081]  And InfoWars.com is on the front lines.
[00:59:45.422 --> 00:59:49.624]  Download our free multimedia app at InfoWars.com forward slash app.
[00:59:49.744 --> 00:59:53.105]  It's free, it's on Droid, it's on Apple, you name it.
[00:59:53.185 --> 00:59:54.746]  InfoWars.com forward slash app.
[01:00:02.287 --> 01:00:06.388]  Leading a frontal assault on the lies of the New World Order.
[01:00:06.929 --> 01:00:08.249]  It's Alex Jones.
[01:00:14.351 --> 01:00:18.913]  It's an old free number.
[01:00:18.933 --> 01:00:19.993]  About to give it out.
[01:00:27.125 --> 01:00:33.210]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:00:33.591 --> 01:00:35.152]  It's Alex Jones.
[01:00:35.372 --> 01:00:40.717]  Now I probably should have been covering all the news and stuff on DrugsReport.com and InfoWars.com.
[01:00:41.677 --> 01:00:46.482]  Where you've got the George Soros funded people running around burning stuff and screaming racism this, racism that.
[01:00:51.166 --> 01:00:52.507]  This is just ongoing crap.
[01:00:53.578 --> 01:01:00.743]  But that's not as important as every network channel saying it's a whitelash, it's a whitelash, it's a whitelash.
[01:01:00.803 --> 01:01:02.825]  I'm gonna go back and get the demographic numbers this week.
[01:01:02.865 --> 01:01:03.605]  I mean, I remember them.
[01:01:04.266 --> 01:01:09.089]  Record numbers of whites, record numbers of Republicans vote, a huge mandate landslide.
[01:01:09.109 --> 01:01:10.670]  Let me tell you something.
[01:01:10.970 --> 01:01:12.832]  Barack Obama didn't need to steal his first election.
[01:01:12.872 --> 01:01:14.653]  He won in a frickin' landslide.
[01:01:17.815 --> 01:01:20.077]  Because people wanted change.
[01:01:21.458 --> 01:01:22.518]  People just want change.
[01:01:23.544 --> 01:01:30.226]  I can tell you as a white person, believe me, I don't care if our president had brown skin, black skin, white skin.
[01:01:30.246 --> 01:01:31.706]  I don't care if it's a woman.
[01:01:33.126 --> 01:01:36.647]  I just want him to do economic systems that we know work.
[01:01:38.247 --> 01:01:44.629]  And it's so insulting to hear that this is because we didn't like Barack Obama because he was black.
[01:01:47.435 --> 01:01:54.239]  Now, I'll tell you, seeing them hype folks up into racial hatred and seeing a bunch of racist black people running around saying whites are bad, it gets a little old.
[01:01:54.379 --> 01:01:56.160]  I mean, it's just like, damn, you're ignorant.
[01:02:00.342 --> 01:02:03.204]  There were systems of economic degradation against basically everybody.
[01:02:03.584 --> 01:02:07.887]  Classism was a system of control, and the lowest area of that class was being a black slave.
[01:02:07.907 --> 01:02:08.887]  I get it, and it was wrong.
[01:02:09.928 --> 01:02:14.891]  But to sit there and project class warfare onto anybody that isn't black,
[01:02:17.179 --> 01:02:20.660]  Like they did something to you is a fundamental insult.
[01:02:21.860 --> 01:02:22.540]  And I'm tired of it.
[01:02:24.000 --> 01:02:26.821]  And it's not racism I have, I'm sick of your ignorance.
[01:02:26.881 --> 01:02:31.402]  It's like, let me tell you something, you can be black, you can be white, you can be Hispanic, you can be an Asian woman.
[01:02:33.502 --> 01:02:39.524]  I'm going down the highway, I agree with Ludacris on this, and you're in the fast lane, in my way.
[01:02:40.704 --> 01:02:41.544]  You see them headlights?
[01:02:41.564 --> 01:02:42.925]  You see me knock them curtains down?
[01:02:44.285 --> 01:02:44.925]  Get out of the way.
[01:02:46.752 --> 01:02:48.572]  You should be smart enough to get the hell out of my way.
[01:02:51.153 --> 01:02:52.113]  Everybody likes success.
[01:02:52.153 --> 01:02:53.813]  I don't care what color you are or where you came from.
[01:02:54.373 --> 01:02:58.354]  You're cool, you're smart, you got success, you got... I don't give a damn.
[01:02:59.414 --> 01:03:14.517]  And I'm tired of you insulting who I am, telling me that I got a problem with you because of what damn color you are, when all that is is some program, more classism, that we can't ever seem to get rid of, based on just where you're from, what you look like, instead of what you do.
[01:03:17.025 --> 01:03:20.506]  Now voters who heavily supported Obama switched over to Trump.
[01:03:20.546 --> 01:03:21.226]  Wow, I didn't even see that.
[01:03:21.266 --> 01:03:22.607]  I didn't believe the Washington Post told the truth.
[01:03:22.647 --> 01:03:24.307]  I guess now the new regime is in.
[01:03:24.327 --> 01:03:26.348]  You know, that's one thing I was thinking about.
[01:03:27.528 --> 01:03:28.789]  Most of the media was under terror.
[01:03:28.829 --> 01:03:30.329]  You would get fired by the executives.
[01:03:30.509 --> 01:03:31.370]  They had such control.
[01:03:31.570 --> 01:03:32.230]  That's in the WikiLeaks.
[01:03:32.270 --> 01:03:34.091]  And if you didn't, you'd get kicked out.
[01:03:34.151 --> 01:03:35.551]  So maybe so many people are finally telling the truth.
[01:03:35.771 --> 01:03:36.051]  Print that.
[01:03:36.071 --> 01:03:37.952]  I didn't even know the Washington Post told the truth there.
[01:03:38.292 --> 01:03:39.232]  That's just what the numbers showed.
[01:03:39.652 --> 01:03:41.253]  It was Obama voters that beat Hillary.
[01:03:44.224 --> 01:03:59.581]  But what panics the social engineers, you see, is that, whoa, if we get non-whites on board for libertarianism and free market, they're going to be so damn wealthy, even the laziest whites, blacks that matter are going to be better off after this.
[01:03:59.601 --> 01:04:02.664]  We're going to have so much damn prosperity that we're not going to need us anymore.
[01:04:02.684 --> 01:04:03.866]  They're not going to need welfare anymore.
[01:04:06.172 --> 01:04:08.013]  It'll be like, oh yeah, five percent's on that.
[01:04:08.053 --> 01:04:11.135]  We're trying to, you know, too bad, they're mentally ill or whatever.
[01:04:11.155 --> 01:04:13.036]  Yeah, take care of the mentally ill people, whatever.
[01:04:13.476 --> 01:04:15.117]  Oh, oh, another big one, we're going to break.
[01:04:15.137 --> 01:04:19.879]  You know, I'm going to give them the number, I'm going to come back with this.
[01:04:21.100 --> 01:04:25.002]  They say he's not going to deport anybody, and they say he's going to keep Obamacare.
[01:04:25.603 --> 01:04:26.283]  None of that's true.
[01:04:27.504 --> 01:04:29.985]  I spent all weekend reading what's really happening.
[01:04:32.543 --> 01:04:36.984]  He supports pre-existing conditions being covered, and children sit on insurance until they're 26.
[01:04:37.685 --> 01:04:38.485]  He said that a year ago.
[01:04:38.505 --> 01:04:40.145]  It's been on his website for a year.
[01:04:41.366 --> 01:04:42.006]  Never flip-flop.
[01:04:42.806 --> 01:04:44.847]  Never plan to have roving groups rounding folks up.
[01:04:45.107 --> 01:04:49.048]  They said if you're a felon and we catch you at a DWI or whatever, you're gonna be deported.
[01:04:49.068 --> 01:04:49.588]  That's all he said.
[01:04:50.268 --> 01:04:51.689]  You're here illegal, you're a criminal, you're gone.
[01:04:51.709 --> 01:04:52.549]  We're gonna ship your ass out here.
[01:04:53.639 --> 01:04:54.761]  Every other company does that.
[01:04:54.781 --> 01:04:59.028]  They took normal stuff, folks, and inverted it into mind control.
[01:04:59.629 --> 01:05:00.491]  Call for your number to join us.
[01:05:00.511 --> 01:05:00.831]  877-789-ALEX.
[01:05:00.851 --> 01:05:00.892]  877-789-2539.
[01:05:00.912 --> 01:05:01.132]  877-789-ALEX.
[01:05:01.152 --> 01:05:01.533]  Call now.
[01:05:09.522 --> 01:05:13.063]  Let's face it, most of us are totally addicted to our cell phones.
[01:05:13.163 --> 01:05:17.644]  But recent studies link cell phone use to major health issues, including brain cancer.
[01:05:17.945 --> 01:05:21.426]  Experts say parents and expecting mothers need to be extra careful.
[01:05:21.706 --> 01:05:25.827]  Doctors say the infant brain, even while in the womb, is especially vulnerable.
[01:05:25.967 --> 01:05:30.090]  So keep the phone away from your abdomen, especially toward the end of pregnancy.
[01:05:30.270 --> 01:05:39.896]  And for men, using a cell phone for as little as an hour a day is literally cooking your sperm, lowering sperm count levels so much that conceiving a child could be difficult.
[01:05:40.436 --> 01:05:42.678]  This is one of those times you want to keep it out of your pants.
[01:05:43.058 --> 01:05:48.462]  And for those of us who use our cell phones before bed, know that the screen light is actually disrupting your sleep rhythms.
[01:05:48.522 --> 01:05:51.024]  This causes insomnia and slows the metabolism.
[01:05:51.184 --> 01:05:52.204]  Hello, weight gain!
[01:05:52.465 --> 01:05:57.448]  Generally speaking, when cell phones are on, they're constantly emitting radio frequency radiation.
[01:05:57.568 --> 01:05:59.670]  So keep your phone in airplane mode when you can.
[01:05:59.830 --> 01:06:02.211]  Keep the phone at least two feet away from your body.
[01:06:02.451 --> 01:06:03.172]  Use headphones.
[01:06:03.372 --> 01:06:06.414]  And when you're not on your phone, keep it as far away from you as possible.
[01:06:06.694 --> 01:06:08.736]  Leigh Ann McAdoo with your InfoWars Tip of the Week.
[01:06:19.645 --> 01:06:28.151]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:06:28.291 --> 01:06:31.414]  We are a long way from being out of the woods, my friends.
[01:06:32.715 --> 01:06:34.356]  But let me tell you, we are fighting back.
[01:06:34.396 --> 01:06:35.437]  Humanity's on the march.
[01:06:36.177 --> 01:06:39.680]  From Russia to the UK to the United States, globalism is in decline.
[01:06:40.919 --> 01:06:57.252]  And the elite said in all their major publications, I've really beat this to death, but I'm talking to Washington Post, Financial Times of London, The Economist, New York Times, that if Hillary fell, she'd be the final domino for the new world order.
[01:06:57.272 --> 01:07:00.735]  And they had headlines Wednesday morning and Thursday morning and the two days after the election.
[01:07:01.215 --> 01:07:02.336]  World government's in trouble!
[01:07:02.576 --> 01:07:09.222]  But see, you acted in a vacuum like nobody else knew that stuff was going on.
[01:07:11.158 --> 01:07:19.422]  You acted in a vacuum where they'd be announcing world government and on C-SPAN, we'd play the clip, they'd go, but there is no world government, Mr. Jones.
[01:07:19.502 --> 01:07:20.482]  You're being anti-Semitic.
[01:07:21.583 --> 01:07:23.364]  And I'd say, I don't think Jews run the world.
[01:07:25.085 --> 01:07:28.146]  That would turn into Jerusalem Post, Alex Jones, Jews run the world.
[01:07:30.567 --> 01:07:31.688]  I don't want Obamacare.
[01:07:33.081 --> 01:07:36.665]  It says here it has death panels and it'll double prices in the first three years.
[01:07:37.525 --> 01:07:38.486]  Shut up, racist!
[01:07:38.526 --> 01:07:39.427]  You're deeply racist!
[01:07:39.607 --> 01:07:39.908]  What?
[01:07:40.749 --> 01:07:42.430]  So, it didn't make people racist.
[01:07:42.510 --> 01:07:43.732]  It just pissed everybody off.
