[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[02:00:29.165 --> 02:00:29.805]  We know the shipment.
[02:00:30.145 --> 02:00:30.966]  We're trying to stop it.
[02:00:31.126 --> 02:00:33.226]  I'm gonna probably call Homeland Security on air.
[02:00:33.266 --> 02:00:35.467]  In fact, guys, pull up that see something, say something number for me.
[02:00:35.887 --> 02:00:38.848]  Because we're gonna try to stop this arrogance that is going on.
[02:00:39.748 --> 02:00:40.149]  Right now.
[02:00:40.569 --> 02:00:47.138]  Robert in Michigan, I want you to have a comeback, bringing up that great point that black unemployment is basically right at double under Obama.
[02:00:47.558 --> 02:00:55.809]  And a lot of black commentators I know, you know, just say, look, I'm not even a conservative, but this we literally funding, attention, and he doesn't even go speak in these communities.
[02:00:56.329 --> 02:00:59.450]  And it's almost like, well, the poorer we make you, the more you'll be under our control.
[02:00:59.770 --> 02:01:00.530]  That's the view I see.
[02:01:00.550 --> 02:01:07.571]  And from everything I've heard about Donald Trump, this guy really gets off on making everybody wealthy and really, really likes everybody, regardless what color they are.
[02:01:07.591 --> 02:01:12.313]  So I want you to be able to come back in a moment, but Roger, can you speak from your experience, 40 years?
[02:01:12.933 --> 02:01:15.373]  Well, look, first of all, it's anecdotal, I must say.
[02:01:15.413 --> 02:01:19.814]  The number of African Americans at Trump rallies just seems to be disproportionately large.
[02:01:20.554 --> 02:01:23.095]  And as I travel, because I have spoken out
[02:01:23.915 --> 02:01:24.395]  I don't
[02:01:39.543 --> 02:01:43.706]  That the vast majority of them are African-American, just anecdotally.
[02:01:43.807 --> 02:01:45.528]  So I've seen it firsthand.
[02:01:46.068 --> 02:01:49.691]  People like the fact that Trump would re-energize the economy.
[02:01:49.731 --> 02:01:52.874]  These people want their piece of the American pie.
[02:01:53.354 --> 02:01:55.996]  They don't want to be employees, they want to be employers.
[02:01:56.016 --> 02:01:58.078]  Look, even Louis Farrakhan's liking him.
[02:01:58.138 --> 02:02:01.461]  I mean, people want prosperity.
[02:02:01.481 --> 02:02:02.842]  They want to hear we're great.
[02:02:03.382 --> 02:02:06.024]  Well, I like his bow ties, but I'm not crazy about his politics.
[02:02:06.064 --> 02:02:10.106]  Well, he just likes hearing, you know, bring money back into the communities and get the country going.
[02:02:10.666 --> 02:02:12.528]  Robert, Michigan, come back to that?
[02:02:13.928 --> 02:02:26.416]  Yeah, well, my point is, like, I know this, most of the free work, you know, a lot of people know this, but the mainstream, they do, well, they do a poor job, in my opinion, but, you know, somewhat effective.
[02:02:27.437 --> 02:02:32.980]  Like everything you mentioned about how bad the Clintons are, you know, I watched the Clinton Chronicle, you know, I sat there and watched the whole movie.
[02:02:33.642 --> 02:02:38.406]  Uh, and it's very factual, very, you know, I presented the fact and I understood it.
[02:02:39.146 --> 02:02:44.291]  And all the other cases that you make, Mr. Stone, but I guess my question is, how do you get that message to the mainstream?
[02:02:44.311 --> 02:02:45.031]  That's a great question.
[02:02:45.051 --> 02:02:45.592]  Thank you, Robert.
[02:02:45.612 --> 02:02:46.072]  Got to jump.
[02:02:46.092 --> 02:02:47.213]  Great, great question.
[02:02:47.413 --> 02:02:48.854]  That's what a campaign is about.
[02:02:48.934 --> 02:02:52.077]  That's why you go out and support super PACs that oppose Hillary Clinton.
[02:02:52.537 --> 02:03:00.984]  Because if the mainstream media say CNN doesn't want to interview you, that means you have to buy a 30 or 60 second spot in between their program breaks.
[02:03:01.604 --> 02:03:02.604]  That's advertising.
[02:03:03.365 --> 02:03:05.905]  This is the great thing about Citizens United.
[02:03:05.926 --> 02:03:08.726]  It used to be just the Clintons and the Bushes had political money.
[02:03:09.167 --> 02:03:11.828]  Now any citizen can go out there and be effective.
[02:03:11.968 --> 02:03:13.168]  Speech is money.
[02:03:13.188 --> 02:03:14.969]  Let me ask you this, because I know you'll straight shoot us.
[02:03:15.029 --> 02:03:16.049]  You don't rah-rah.
[02:03:16.169 --> 02:03:18.030]  You don't cheerlead to put a good face on things.
[02:03:18.050 --> 02:03:19.290]  In fact, I think you give us the worst case.
[02:03:19.310 --> 02:03:23.452]  A lot of times behind the scenes you tell me, this is how the state's really going to go when the media is saying the opposite.
[02:03:23.472 --> 02:03:23.972]  And you've been right.
[02:03:24.012 --> 02:03:25.392]  I mean, you're super accurate.
[02:03:25.752 --> 02:03:27.193]  Not kissing your butt, no brag, just fact.
[02:03:27.933 --> 02:03:29.694]  What's his real numbers looking at all the polls?
[02:03:29.734 --> 02:03:31.916]  I mean, it's true he's getting ahead of Hillary, right?
[02:03:31.956 --> 02:03:33.036]  But I mean, what do we face?
[02:03:33.076 --> 02:03:33.777]  The money issue?
[02:03:34.377 --> 02:03:35.738]  I mean, how is Trump really doing right now?
[02:03:36.579 --> 02:03:46.685]  First of all, the idea that any Republican is running essentially even or in a dead heat or slightly behind or slightly ahead of Hillary Clinton at this point is extraordinary.
[02:03:47.265 --> 02:03:52.889]  You usually don't see this kind of closeness and gap closing until much later in the campaign.
[02:03:53.890 --> 02:03:56.812]  That means that there is without any question enough votes
[02:03:57.492 --> 02:03:59.374]  Here to elect Donald Trump.
[02:03:59.474 --> 02:04:07.780]  Now, Trump is about to undergo the most virulent, nasty campaign of vilification in American political history.
[02:04:08.281 --> 02:04:15.387]  The same time they're going to try to discredit and smear the brave women who are going to stand up and tell people what the real Bill Clinton is like.
[02:04:16.129 --> 02:04:16.749]  A rapist.
[02:04:17.730 --> 02:04:25.494]  And they're going to attack him on a dozen other things, calling him a bigot, a racist, a misogynist, a lunatic, a wild man.
[02:04:26.034 --> 02:04:27.735]  It's the Barry Goldwater treatment.
[02:04:28.395 --> 02:04:29.476]  I don't think it will work.
[02:04:29.616 --> 02:04:34.279]  People are on to the two-party duopoly and their smear tactics.
[02:04:34.799 --> 02:04:41.042]  But the fact that Trump is this competitive in states like Ohio, Pennsylvania, New York, is extraordinary.
[02:04:41.062 --> 02:04:44.404]  This is going to be very, very- Is he gonna win California?
[02:04:46.123 --> 02:04:51.525]  It's not impossible, but in all honesty, in my model for $270,000, he doesn't need to worry about that.
[02:04:51.785 --> 02:04:54.405]  Roger Stone, StoneZone.com, thank you so much.
[02:04:54.445 --> 02:04:55.546]  What's the name of the PAC again?
[02:04:55.986 --> 02:04:56.386]  The good one.
[02:04:56.946 --> 02:04:59.067]  The Committee for American Sovereignty.
[02:04:59.127 --> 02:05:01.267]  I think there will be other fine PACs.
[02:05:01.747 --> 02:05:05.088]  Sure, but we don't want to support Karl Rove running off the cookie jar.
[02:05:05.308 --> 02:05:05.868]  Thank you, Roger.
[02:05:05.888 --> 02:05:06.969]  See you here on Studio Friday.
[02:05:07.449 --> 02:05:07.809]  Take care.
[02:05:17.037 --> 02:05:21.820]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[02:05:22.500 --> 02:05:24.081]  But it goes beyond being prepared.
[02:05:24.461 --> 02:05:29.464]  Our bodies absolutely must have the good halogen iodine or we will die.
[02:05:29.824 --> 02:05:35.268]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[02:05:35.668 --> 02:05:42.252]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[02:05:42.892 --> 02:05:44.033]  It's as important as vitamin C.
[02:05:44.893 --> 02:05:46.834]  If you don't get iodine, you die.
[02:05:47.154 --> 02:05:50.116]  But most people are just deficient, so they're low energy, they're sick.
[02:05:50.556 --> 02:05:54.178]  You've got to have iodine in your body so that your body can produce the hormones you need.
[02:05:54.358 --> 02:05:56.919]  It is the base to so many things.
[02:05:56.979 --> 02:06:09.325]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[02:06:09.545 --> 02:06:14.647]  Other iodine comes from the ocean or from other byproducts of chemical facilities, and it's tainted.
[02:06:14.767 --> 02:06:16.108]  It's bound.
[02:06:16.388 --> 02:06:17.388]  It's not absorbable.
[02:06:17.808 --> 02:06:18.228]  I tried it.
[02:06:18.829 --> 02:06:22.370]  And I had incredible effects, even with dirty iodine, because the body needs it.
[02:06:22.590 --> 02:06:27.492]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[02:06:27.852 --> 02:06:31.574]  It's such a game-changer if you'll just research iodine for yourself.
[02:06:31.754 --> 02:06:34.315]  It's a fact that the federal government in the Midwest back in the 20s
[02:06:34.855 --> 02:06:43.841]  Mandated a grungier form of iodine to the salt because people had low IQs, they had huge goiters, major problems directly connected to it.
[02:06:44.002 --> 02:06:47.664]  There are some studies that show a 15 point increase, others show even higher.
[02:06:47.824 --> 02:07:01.274]  But it really is crazy to realize that this is something that is so deficient in our food chain, so deficient in our played out fields where different crops are being grown, but the federal government isn't educating people and telling them about it.
[02:07:01.474 --> 02:07:10.321]  That's why for a limited time, I want to encourage everyone to go to Infowarslife.com and get 20% off on the best nascent iodine out there from our research.
[02:07:10.501 --> 02:07:13.023]  Truly Pure Survival Shield X2.
[02:07:13.264 --> 02:07:15.886]  Again, that's Survival Shield Nascent Iodine X2.
[02:07:16.126 --> 02:07:19.068]  Thank you for joining us in this brief news update.
[02:07:19.469 --> 02:07:24.373]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[02:07:24.453 --> 02:07:25.614]  I think you're going to be blown away.
[02:07:25.774 --> 02:07:28.356]  And whatever you do, support the broadcast and get a bottle.
[02:07:28.496 --> 02:07:29.156]  I don't know.
[02:07:51.343 --> 02:07:53.986]  You've got to have vitamin C. You've got to have iodine to live.
[02:07:54.006 --> 02:07:55.027]  You've got to have water to live.
[02:07:55.347 --> 02:07:56.068]  Iodine is key.
[02:07:56.108 --> 02:07:56.709]  You must have it.
[02:07:57.069 --> 02:08:04.617]  But consult your physician first before you get powerful survival shield niacin iodine, X2, at Infowarslife.com or call toll free.
[02:08:04.637 --> 02:08:05.518]  We can answer your questions.
[02:08:05.538 --> 02:08:05.578]  888-253-3139.
[02:08:21.821 --> 02:08:28.164]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:08:28.884 --> 02:08:50.454]  All right, at the bottom of the hour, we've got recently retired Marine Corps Colonel Matt Smithmack joining us for an update, and Robert Tosh Plumlee, famous CIA whistleblower,
[02:08:51.570 --> 02:08:54.933]  And then, at the bottom of the hour, I'm going to get into all the other news and world events I haven't covered.
[02:08:54.973 --> 02:08:57.174]  And Paul Watson always does a powerful fourth hour.
[02:08:57.194 --> 02:08:58.475]  He'll be hosting from London, England.
[02:09:00.237 --> 02:09:05.861]  Matt Smithmech was on the main board at Guantanamo.
[02:09:05.941 --> 02:09:06.982]  He's commanded major bases.
[02:09:07.022 --> 02:09:09.664]  I'm not going to go over his giant bio, but he's got an amazing career.
[02:09:10.004 --> 02:09:13.587]  He's been threatened, physically attacked for the information he's exposing here.
[02:09:13.627 --> 02:09:14.848]  They're trying to talk to Congress.
[02:09:14.928 --> 02:09:16.369]  Congress won't give them the time of day.
[02:09:17.361 --> 02:09:21.642]  Senators, House members, this is so dangerous what you're about to hear.
[02:09:23.283 --> 02:09:25.583]  And of course we've had Brian Terry's brother on.
[02:09:26.604 --> 02:09:29.465]  This is about Benghazi.
[02:09:29.485 --> 02:09:31.085]  This isn't just about Fast and Furious.
[02:09:32.545 --> 02:09:43.128]  And this is about Brian Terry being killed so they could cover up the fact that guns weren't just being shipped from gun shops, that was to blame the overall operation on gun owners, but from military bases.
[02:09:43.729 --> 02:09:44.689]  There's about to be another shipment
[02:09:46.226 --> 02:09:49.328]  Right now, as we speak, it's about to happen, or it's happening.
[02:09:51.429 --> 02:09:55.430]  And do we call Homeland Security on air so this is on record?
[02:09:55.511 --> 02:09:56.511]  Do we call Congress?
[02:09:57.371 --> 02:09:58.172]  What do we do?
[02:09:59.472 --> 02:10:04.335]  What do we do when the whistleblowers have come out, it's happened, and no one gets in trouble?
[02:10:04.935 --> 02:10:08.497]  We're reaching a level where we have all the witnesses of the stand-down order at Benghazi.
[02:10:09.217 --> 02:10:11.818]  We knew about that four years ago when it happened, but now it's confirmed.
[02:10:13.059 --> 02:10:14.080]  We know there were troops 25 minutes away.
[02:10:16.621 --> 02:10:19.022]  Loaded up on an aircraft, told to stand down.
[02:10:21.102 --> 02:10:29.644]  Now they can ship the guns directly to ISIS and Al-Qaeda, and we can have people out blowing the whistle that are being physically attacked and death-threatened.
[02:10:32.364 --> 02:10:33.165]  What comes next?
[02:10:33.225 --> 02:10:34.325]  This is a new level.
[02:10:35.585 --> 02:10:38.566]  In fact, guys, I was asking, did you get me the Homeland Security phone number?
[02:10:38.586 --> 02:10:39.226]  Will you bring it in to me?
[02:10:39.246 --> 02:10:39.546]  Thank you.
[02:10:40.322 --> 02:10:46.703]  Because I intend, I guess today, I've done it before, call Homeland Security on air and make a public report about this.
[02:10:47.243 --> 02:10:56.445]  But this is a public report on almost 200 stations around the country and millions listening and watching on the internet right now and millions more when the videos of this get posted.
[02:10:56.465 --> 02:10:57.345]  Hey Alex, this is Nico.
[02:10:57.405 --> 02:11:02.246]  I'm popping in live right now to let you know that we've been searching for a number and we've been unable to locate one.
[02:11:02.646 --> 02:11:07.207]  Their website's been redesigned since Jakari did that stunt and they're pointing everybody to call 911 now.
[02:11:08.567 --> 02:11:11.068]  That's right, because those are the local threat fusion centers.
[02:11:11.929 --> 02:11:16.911]  They have the whole see something, say something deal, and they still have some 800 numbers to the FBI.
[02:11:17.411 --> 02:11:20.292]  They still, you know what, I want to call the FBI Austin.
[02:11:21.353 --> 02:11:24.494]  And it actually says San Antonio, but it redirects to Austin.
[02:11:24.975 --> 02:11:26.775]  And then I guess, you know what, that's a good idea.
[02:11:26.855 --> 02:11:28.356]  I guess I could call the Austin police chief.
[02:11:28.416 --> 02:11:31.578]  I've got his number, but that'll be referred to the feds.
[02:11:31.798 --> 02:11:35.219]  But I mean, this is Colonel Matt Smith-Mack, and this is Tosh Plumlee.
[02:11:37.312 --> 02:11:38.352]  We're going to go to him right now.
[02:11:38.372 --> 02:11:47.374]  I'm not going to go over his whole bio, but... Again, the Marine Corps Colonel has... Let me just give you some of his bio here.
[02:11:47.814 --> 02:11:56.836]  Joint Strike Fighter Joint Program, Office USMC Requirements Officer, Tribunal Member and Chief of Staff, Naval Base Guantanamo Bay.
[02:11:56.916 --> 02:11:57.476]  Chief of Staff!
[02:11:59.157 --> 02:12:00.137]  Guantanamo Bay, Cuba.
[02:12:00.337 --> 02:12:01.757]  This is the middle of his bio.
[02:12:02.737 --> 02:12:05.458]  The Office for Administrative Review and the Detention of Enemy Combatants.
[02:12:06.451 --> 02:12:14.533]  Reviewing combatant status for 500 detainees and working closely with former Secretary of the Navy, FBI, CIA, that endeavored.
[02:12:14.833 --> 02:12:20.494]  Deputy Branch Head, Aviation Manpower Headquarters, Marine Corps, currently a consultant and entrepreneur.
[02:12:20.514 --> 02:12:22.274]  I mean, that's just a small part of his bio.
[02:12:22.674 --> 02:12:25.455]  But he's trying to tell Congress and trying to tell the FBI.
[02:12:25.835 --> 02:12:29.136]  And then all he gets is physically attacked from behind and death threats.
[02:12:29.936 --> 02:12:34.557]  I'm just hammering that here now that we're just doing an update because it's the end of the month.
[02:12:35.137 --> 02:12:39.539]  And the shipment's about to happen, and it's classified, so it's illegal.
[02:12:39.840 --> 02:12:40.920]  It's all the Hillary stuff.
[02:12:41.200 --> 02:12:43.462]  They're trying to tell Congress, and they won't, America.
[02:12:43.862 --> 02:12:45.983]  So Matt, Colonel Smith-Mack, thank you for coming on.
[02:12:46.043 --> 02:12:47.144]  Tosh Plumlee's here as well.
[02:12:47.464 --> 02:12:51.366]  You guys just pop in and take control here of the broadcast at the bottom of the hour.
[02:12:51.386 --> 02:12:55.288]  Just get the info out, because this is short and sweet, not focusing in on the story.
[02:12:55.348 --> 02:12:56.008]  Folks know about it.
[02:12:56.469 --> 02:13:00.651]  Our audience does, but how to get reportage on the shipment that's about to happen, or has happened.
[02:13:03.575 --> 02:13:06.298]  Hey, Mr. Jones, it's Matt Smith-Mack.
[02:13:06.398 --> 02:13:09.863]  Yeah, and I wanted to say also, Ken Terry said he'll be listening today.
[02:13:09.903 --> 02:13:10.424]  I let him know.
[02:13:10.444 --> 02:13:11.065]  Fantastic.
[02:13:11.125 --> 02:13:12.206]  I want to thank him for his courage.
[02:13:12.226 --> 02:13:15.671]  So, bottom line, tell us about the shipment.
[02:13:15.711 --> 02:13:16.432]  What's about to happen?
[02:13:16.472 --> 02:13:16.813]  What do we do?
[02:13:18.953 --> 02:13:20.953]  Bottom line, sir, there's a shipment went.
[02:13:21.714 --> 02:13:26.655]  We let Congress know, House Oversight, let them know.
[02:13:26.715 --> 02:13:29.195]  Nothing, they did not act on that information.
[02:13:29.776 --> 02:13:35.657]  So the shipment went, went into Mexico, got on a train, went southeast to a port, and then God knows where after that.
[02:13:35.877 --> 02:13:36.917]  And this was a few days ago?
[02:13:36.937 --> 02:13:37.797]  This was at the end of the month.
[02:13:37.957 --> 02:13:38.718]  This was a few days ago.
[02:13:39.578 --> 02:13:43.039]  This would have been the 23rd of this month, yes, sir.
[02:13:44.179 --> 02:13:45.659]  Last time you were on, you said it was imminent.
[02:13:45.679 --> 02:13:46.680]  You weren't exactly sure when.
[02:13:46.720 --> 02:13:47.540]  So now it's happened.
[02:13:49.329 --> 02:13:49.609]  Go ahead.
[02:13:50.009 --> 02:13:50.590]  No, no, go.
[02:13:51.150 --> 02:13:51.490]  Yes, sir.
[02:13:51.530 --> 02:13:54.571]  Another shipment in about three weeks or so, three to four weeks.
[02:13:54.651 --> 02:14:00.994]  Again, letting Congress know, letting them know there's an individual willing and able to help them.
[02:14:01.815 --> 02:14:03.155]  Kent Terry knows this person.
[02:14:03.175 --> 02:14:04.636]  William Lajeunesse knows this person.
[02:14:05.156 --> 02:14:07.197]  All they need to do is engage with this person.
[02:14:07.577 --> 02:14:15.961]  And I think it's that one area that the federal government, the executive branch, utilized to execute Fast and Furious and these kind of operations.
[02:14:15.981 --> 02:14:18.282]  But for some reason, the legislative branch seems reticent.
[02:14:18.962 --> 02:14:23.926]  To want to access this domain that is, we have a unique insight and opportunity to get into.
[02:14:24.326 --> 02:14:30.271]  So this would blow Fast and Furious, Hillary, the whole system to kingdom come politically, and Congress won't act on it?
[02:14:33.313 --> 02:14:34.975]  Well, sadly it appears that way.
[02:14:36.236 --> 02:14:41.420]  Wow, this is just such a huge deal, and I knew that was coming up at the end of the month, so I wanted to get you on.
[02:14:41.440 --> 02:14:43.922]  So this has now happened, and it's just ongoing.
[02:14:43.962 --> 02:14:45.383]  Have you received any other threats, Colonel?
[02:14:48.573 --> 02:14:50.214]  No, no other threats.
[02:14:50.254 --> 02:14:57.996]  I mean, you know, the kind of the friendly warnings from people who do concern saying, hey, you know, back off.
[02:14:58.016 --> 02:15:00.997]  You don't want to be found face down in a gutter somewhere.
[02:15:01.818 --> 02:15:04.339]  But this is too important.
[02:15:04.379 --> 02:15:09.200]  You know, as I said before, in the first time on your show, we're citizens, not subjects.
[02:15:09.841 --> 02:15:16.203]  And as a Marine, you know, Brian Terry deserves my full effort and faith to make sure closures come to him and his family.
[02:15:16.403 --> 02:15:16.723]  Well, sure.
[02:15:17.944 --> 02:15:19.946]  What if they're shipping five-year-old kids next?
[02:15:20.286 --> 02:15:21.387]  Which, you know, the UN does.
[02:15:21.647 --> 02:15:23.709]  Are we supposed to just let them ship little kidnapped kids out?
[02:15:23.929 --> 02:15:26.491]  I mean, how long do we sit here and watch crime committed?
[02:15:26.812 --> 02:15:29.674]  Let's go to Tosh Plumlee, famous whistleblower.
[02:15:29.714 --> 02:15:33.338]  Tosh, you've been helping break this wide open because folks knew you had the courage to talk about it.
[02:15:33.718 --> 02:15:37.701]  What's the bottom line for listeners and viewers out there that Congress stood down and let this happen?
[02:15:38.602 --> 02:15:43.867]  Okay, let me back up here and see if I can get a little bit of background of how Matt and I got together.
[02:15:44.773 --> 02:15:49.596]  Four years ago on your program, we mentioned exactly what we're covering now.
[02:15:49.616 --> 02:15:56.621]  We talked about guns going across the border to Mexico, which was all up and over and above Fast and Furious.
[02:15:56.661 --> 02:16:04.746]  Fast and Furious was a cutout for an international gun running operation that was being filtered through Mexico to the Middle East and into Qaddafi's bunkers.
[02:16:05.484 --> 02:16:07.425]  That's been documented before the fact.
[02:16:07.846 --> 02:16:24.237]  We also documented on your program and other programs and on my Facebook page that monies were going back to Hillary Clinton from foreign donations of people that was receiving weapons from our arsenals that was approved by the Direct Commercial Sales Program Blue Lantern Report.
[02:16:24.557 --> 02:16:26.078]  This was all documented.
[02:16:26.578 --> 02:16:35.384]  Today on a Huffington Post, briefly put out an article that confirmed information that went back four and a half years ago.
[02:16:36.407 --> 02:16:41.403]  Which was covered on your program and also on John B. Wells' program on Coast to Coast on November 2, 2013.
[02:16:43.154 --> 02:16:46.356]  These were documented, vetted information.
[02:16:46.896 --> 02:16:50.499]  That information was also, at that point in time, turned over to the U.S.
[02:16:50.539 --> 02:17:02.947]  Senate, the Congress, Trey Gowdy, and Grassley in the form of 11 Benghazi questions that made direct references back to the gunrunning operation, which was legal at that point in time.
[02:17:03.587 --> 02:17:06.769]  But it was going across Mexico to the Mexican Army.
[02:17:07.261 --> 02:17:19.931]  The Mexican Army was filtering that some of the percentage of those weapons off and sending those weapons to the drug cartel, which was proven when Joaquin Guzman was arrested and some of those weapons ended up in his safe house.
[02:17:20.411 --> 02:17:32.841]  Now, what got the current situation between Matt and I together, his investigation, Terry, Brian Terry's investigation, and my investigation, all three dovetailed.
[02:17:33.493 --> 02:17:40.355]  Right together, over a period of five years, Ryan Terry was killed on December in 2010.
[02:17:41.075 --> 02:17:51.559]  Eight months later, we were sitting in Las Cruces, New Mexico, with five sectors of the Border Patrol Intelligence Unit, and we were telling them exactly what we are talking about today.
[02:17:52.319 --> 02:17:56.586]  The Senate, the Congress, the President of the United States, and the U.S.
[02:17:56.626 --> 02:17:58.469]  State Department did not.
[02:17:58.589 --> 02:18:05.659]  They said the information was from non-creditable sources, multiple sources, myself included.
[02:18:06.260 --> 02:18:07.542]  I went on Facebook page
[02:18:08.436 --> 02:18:17.661]  Mainly to protect myself and my colleagues from information before the fact by publishing in detail exactly what our investigation had run over.
[02:18:18.021 --> 02:18:26.066]  From a task force that was working out of Fort Bliss, Texas, into the Mexican Marinos, and also with the Mexican Army.
[02:18:26.526 --> 02:18:34.551]  We had infiltrated the Mexican Army, found out that they had informants that was working directly with the cartel, and all this information was passed on to the U.S.
[02:18:34.591 --> 02:18:35.952]  Senate and the Congress.
[02:18:36.932 --> 02:18:38.194]  Absolutely nothing was done.
[02:18:38.855 --> 02:18:52.972]  It was turned into political, a political that we, our crew and our investigators and our people and our military people had an axe to grind against this administration and they turned it into a political vendetta and made us look like total fools.
[02:18:53.712 --> 02:18:54.754]  As time progressed,
[02:18:55.728 --> 02:18:58.592]  That information became vetted and vetted and vetted.
[02:18:59.072 --> 02:19:08.203]  Now, to bring Matt in, and Matt can jump in anytime he wants, Matt got information about the information that I had was still ongoing.
[02:19:08.604 --> 02:19:13.990]  I knew it was ongoing from the military task force working out of Fort Bliss, Texas, which was known as Task Force 7.
[02:19:14.671 --> 02:19:18.313]  Military operation, boots on the ground, inside Mexico.
[02:19:18.333 --> 02:19:18.794]  Sure, I know.
[02:19:18.814 --> 02:19:20.495]  I've had family in Task Force 6 and 7.
[02:19:20.775 --> 02:19:23.636]  They just say the stuff going on is unbelievable, but won't tell me.
[02:19:23.676 --> 02:19:26.618]  I saw they've resigned out of those because they say it's so corrupt.
[02:19:27.359 --> 02:19:31.301]  What can you tell us, Colonel, about what's happening in these task forces and where all this is going now?
[02:19:34.206 --> 02:19:36.027]  You know, sir, this is just uptelling what Tosh said.
[02:19:36.048 --> 02:19:39.650]  I know the military had been involved.
[02:19:40.471 --> 02:19:52.761]  Going back to 2005, you know, I was tasked to go to MCS Yuma, Fort Campbell, Kentucky, to look for a military nexus into, at that time, Wide Receiver and then Fast and Furious.
[02:19:53.222 --> 02:19:57.325]  Report it back on some of the things that I found, not so much in Fort Campbell, but certainly in Yuma.
[02:19:57.885 --> 02:20:02.890]  And again, that was about 05 timeframe when, if you look at the genesis of Fast and Furious,
[02:20:04.926 --> 02:20:15.531]  The seeds of it, under wide receiver, began to blossom in Yuma and then kind of blossom out there from Yuma, kind of going to the eastern part of Arizona.
[02:20:16.571 --> 02:20:32.338]  And again, not but August of 2014, I was talked to by a person who identified himself as Colonel Taylor, Air Force OSI, telling me that the DOD was aware of their installation and equipment
[02:20:33.158 --> 02:20:34.458]  And let's be clear, then...
[02:20:55.043 --> 02:21:04.725]  Now they're claiming in mainstream news, oh, ISIS built its own Stinger missiles, and then they admit in the article, no, they actually got some, we don't know from where, to confuse people.
[02:21:04.745 --> 02:21:06.146]  So they're even putting cover stories in.
[02:21:06.606 --> 02:21:11.847]  Undoubtedly, ISIS is already blowing up and bringing down airliners, one every few months.
[02:21:11.887 --> 02:21:19.349]  How long until they start using those Stinger missiles, and what is the political class thinking from both of you, Tosh Plumlee and Colonel?
[02:21:19.649 --> 02:21:20.709]  Insert something right here.
[02:21:21.409 --> 02:21:23.891]  Stinger missiles that you made reference to was recorded.
[02:21:23.911 --> 02:21:30.795]  400 of them was missing from our arsenals and some of them were taken out of the bunkers in Libya before Qaddafi was killed.
[02:21:31.295 --> 02:21:34.557]  We reported those 400 Stinger missiles missing.
[02:21:35.077 --> 02:21:40.100]  Senator John McCain said that when pigs fly and the sun rises in the west,
[02:21:46.596 --> 02:21:50.657]  Waking reference to Tosh Plumley alleging that there were Stinger missiles in ISIS hands.
[02:21:51.097 --> 02:21:55.478]  Two weeks later, those Stinger missiles was photographed in the back of brand new pickup trucks.
[02:21:55.678 --> 02:21:56.318]  It's not confirmed.
[02:21:57.018 --> 02:21:58.578]  I guess the pig, yeah, it was confirmed.
[02:21:58.618 --> 02:22:02.379]  I guess the pigs do fly, and I guess the sun does set or rise in the West.
[02:22:02.779 --> 02:22:05.280]  Now, I'm not upset with any of these politicians.
[02:22:05.300 --> 02:22:11.321]  As far as I'm concerned, they're all down crooks, working for special interests, and tied in with the international crime syndicate.
[02:22:11.801 --> 02:22:12.381]  I'll say it.
[02:22:13.061 --> 02:22:15.283]  I'll say what some of these people will not say.
[02:22:15.843 --> 02:22:17.644]  This is an international crime syndicate.
[02:22:17.904 --> 02:22:19.766]  It's an international gun running operation.
[02:22:20.086 --> 02:22:21.166]  Now I'm going to back up here.
[02:22:21.587 --> 02:22:41.600]  When those weapons went across to Mexico and the Marines, Marinos investigated, confirmed what we had and what we had found in warehouses in Juarez, Mexico that belonged to the cartel and I photographed them and we went in and there's also a raided ranch that they had a very bad day according to what the Marinos told us at the Iron Fence which has been photographed.
[02:22:42.040 --> 02:22:43.420]  I don't rattle, rattle, rattle.
[02:22:43.460 --> 02:22:44.360]  I'm not trying to rattle.
[02:22:44.400 --> 02:22:45.601]  I'm just trying to give background.
[02:22:46.041 --> 02:22:49.361]  When Matt come along and said, hey, they're still going on.
[02:22:49.681 --> 02:22:50.822]  I said, absolutely right.
[02:22:50.942 --> 02:22:52.122]  We know it's still going on.
[02:22:52.502 --> 02:22:55.142]  How do we get Congress and how do we get the Senate to act?
[02:22:55.982 --> 02:22:56.342]  All right.
[02:22:56.442 --> 02:22:57.183]  Who approved it?
[02:22:57.963 --> 02:22:58.783]  It came from the U.S.
[02:22:58.803 --> 02:22:59.563]  State Department.
[02:23:00.143 --> 02:23:05.404]  They approved the applications for those weapons to leave the country and go to the Mexican Army.
[02:23:05.904 --> 02:23:11.045]  The Mexican Army bill traded a percentage of those weapons off to the drug cartels.
[02:23:11.727 --> 02:23:12.969]  Three of them.
[02:23:13.029 --> 02:23:16.052]  Joaquin Guzman's son-in-law was one of them.
