[00:00:10.407 --> 00:00:11.214]  Silent Railway Chevy.
[02:09:54.450 --> 02:09:55.171]  I never thought of that.
[02:09:55.211 --> 02:09:58.033]  She didn't just take money to sell out the U.S.
[02:09:58.514 --> 02:10:01.416]  She took money for access to get to the Chinese president and others.
[02:10:01.496 --> 02:10:03.058]  It's like, whoa!
[02:10:05.011 --> 02:10:08.192]  You think you know a lot, and then you get schooled when it's worse than you thought.
[02:10:09.352 --> 02:10:11.353]  So we'll go through some of that when Stone joins us.
[02:10:12.053 --> 02:10:13.354]  But I've got a lot of economic news.
[02:10:13.434 --> 02:10:15.134]  Again, Deutsche Bank is rolling over quick.
[02:10:15.554 --> 02:10:19.055]  They want to hurry up, get this election done, and then implode it, whether it's Hillary or Trump.
[02:10:20.136 --> 02:10:26.218]  But they know Trump's not going to go along with new banker bailouts and selling the country further out and losing more sovereignty.
[02:10:26.838 --> 02:10:28.698]  And that's why he endangers their entire apple cart.
[02:10:29.919 --> 02:10:31.799]  Now, again, I've said this in the last hour.
[02:10:32.340 --> 02:10:33.020]  I want to preface this.
[02:10:34.011 --> 02:10:35.692]  Newt Gingrich has written a lot of books.
[02:10:35.832 --> 02:10:36.273]  I've read them.
[02:10:38.214 --> 02:10:39.715]  Newt Gingrich has prefaced a lot of books.
[02:10:39.815 --> 02:10:40.215]  I've read them.
[02:10:40.956 --> 02:10:42.016]  He's a smart guy.
[02:10:42.397 --> 02:10:46.639]  He signed on as a globalist with the Rockefellers in Nelson Rockefeller's campaign.
[02:10:47.660 --> 02:10:49.541]  I do not trust him any further than you can throw him.
[02:10:50.302 --> 02:10:52.403]  And it's a good thing that Trump didn't pick him as his VP.
[02:10:53.964 --> 02:10:54.645]  But I'll say this.
[02:10:56.426 --> 02:10:59.228]  What he says in this piece I'm about to play is dead on accurate.
[02:11:01.089 --> 02:11:04.531]  And again, that's why he frustrates me, because I know he knows what's going on.
[02:11:05.212 --> 02:11:09.274]  I've read some of his books, but the one he does politically is something entirely different.
[02:11:09.294 --> 02:11:12.516]  But what he says here is absolutely on target.
[02:11:12.836 --> 02:11:20.601]  The video is Newt Gingrich owns ABC News, Martha Raddatz, who did the whole debate last week over anti-Trump coverage.
[02:11:20.641 --> 02:11:21.822]  Listen to this very carefully.
[02:11:24.633 --> 02:11:29.498]  I heard Tim Kaine talk about his concerns over charges of a rigged election.
[02:11:29.778 --> 02:11:34.383]  But Mr. Trump has been continuing to ramp up the rhetoric in tweets and speeches.
[02:11:35.044 --> 02:11:39.949]  Senator Jeff Sessions joined the course yesterday saying they are attempting to rig the election.
[02:11:40.670 --> 02:11:43.293]  So who are they and how are they doing this?
[02:11:43.533 --> 02:11:44.954]  Well, I think they are the news media.
[02:11:45.034 --> 02:11:47.736]  This is not about election officials at the precinct level.
[02:11:48.316 --> 02:12:02.025]  This is about last Friday when the networks spent 23 minutes on the Trump tape and less than one minute, all three networks combined, less than one minute on Hillary Clinton's secret speeches that were being revealed on WikiLeaks.
[02:12:02.125 --> 02:12:10.010]  And you look at that and you say, I mean, I think it's amazing that Trump is as close as he is right now, considering the one-sidedness of the news media barrage.
[02:12:10.610 --> 02:12:15.173]  And the best description of it is by Barry Kesselman in his blog where he said this is a coup d'etat.
[02:12:15.874 --> 02:12:19.696]  He said 14 million citizens in private ballots picked Donald Trump.
[02:12:19.716 --> 02:12:22.498]  20 TV executives have decided to destroy him.
[02:12:22.918 --> 02:12:29.723]  But you say it's not at the precinct level, but Trump has also told people to monitor polling stations.
[02:12:30.023 --> 02:12:30.463]  They should.
[02:12:31.004 --> 02:12:32.625]  You look at Philadelphia, you look at St.
[02:12:32.665 --> 02:12:33.906]  Louis, you look at Chicago.
[02:12:33.926 --> 02:12:35.708]  I mean, again, I'm old enough.
[02:12:35.808 --> 02:12:43.073]  I remember when Richard Nixon had the election stolen in 1960, and no serious historian doubts that Illinois and Texas were stolen.
[02:12:44.051 --> 02:12:49.976]  So to suggest that you don't have theft in Philadelphia is to deny reality.
[02:12:50.377 --> 02:12:53.279]  So you really think this election could be stolen?
[02:12:53.319 --> 02:13:01.486]  Do you believe that if Mr. Trump loses it will be because of a massive conspiracy or fraud, not because more Americans voted for someone else?
[02:13:01.967 --> 02:13:08.112]  I think that without the unending one-sided assault of the news media, Trump would be beating Hillary by 15 points.
[02:13:09.193 --> 02:13:21.863]  I think when you look at WikiLeaks, and you look at all the things she has said, when you look at the deals in Russia that Bill Clinton made, and that the Clinton Foundation made, and all this nonsense by Cain about Russia, it's Clinton, Bill Clinton who got a half million dollar speech.
[02:13:22.443 --> 02:13:25.146]  It is the Clintons who got money for the Clinton Foundation from Russia.
[02:13:25.746 --> 02:13:30.510]  It is Podesta who was on a Russian company advisory board that was apparently funded by Putin.
[02:13:30.850 --> 02:13:35.374]  So the news media is one side, and this is the worst I've seen in my lifetime, and I'm old enough.
[02:13:35.714 --> 02:13:37.095]  That's a fairly long statement.
[02:13:37.535 --> 02:13:39.256]  Bill Clinton settles rape cases.
[02:13:39.456 --> 02:13:45.038]  They accuse Trump of sexual assault for touching women or shaking their hands.
[02:13:45.378 --> 02:13:48.859]  And then it turns out the women are begging him for jobs or him to come visit them.
[02:13:50.219 --> 02:13:51.560]  Not 10 years ago when they say this.
[02:13:51.600 --> 02:13:52.220]  I mean, now!
[02:13:56.681 --> 02:13:58.662]  Basically, stalkers is what it's starting to look like.
[02:14:00.845 --> 02:14:05.246]  But they're in bed with the Russians, so they accuse Trump of being in bed with the Russians.
[02:14:06.007 --> 02:14:07.267]  I want to go to another one of these clips here.
[02:14:07.287 --> 02:14:08.087]  There's a bunch of these.
[02:14:08.107 --> 02:14:11.488]  Well, there's a second part again, Rich.
[02:14:11.508 --> 02:14:15.489]  Let's play first, and then I want to get to Chuck Todd Interviews' Mike Pence.
[02:14:15.890 --> 02:14:16.830]  Here's the second part again, Rich.
[02:14:17.688 --> 02:14:21.571]  I'm just saying to you, there are clearly cases where you clearly have intimidation.
[02:14:21.591 --> 02:14:23.172]  There are cases where you clearly have theft.
[02:14:23.513 --> 02:14:27.736]  There are cases where you have people... There's a guy in California who was voting 24 years after he died.
[02:14:27.756 --> 02:14:33.400]  I mean, so to suggest to us that people who are concerned about honest elections are somehow nutty, I think is a mistake.
[02:14:34.461 --> 02:14:39.565]  Trump's major complaint about the election is not at the poll level, it's at the news media level.
[02:14:39.605 --> 02:14:49.111]  This election is being rigged by the national media, who are doing everything they can to suppress bad news about Hillary, and everything they can to maximize bad news about Trump.
[02:14:49.131 --> 02:14:52.253]  You just heard me talk about WikiLeaks with Tim Kaine.
[02:14:53.454 --> 02:14:59.438]  Yes, you spent how long of that session on Trump and sex, and then how long of that session?
[02:14:59.778 --> 02:15:03.681]  I'm just suggesting to you... Let's talk a little bit about his language this week.
[02:15:05.742 --> 02:15:07.163]  And then she changes the subject.
[02:15:07.883 --> 02:15:08.924]  The numbers have been done.
[02:15:09.784 --> 02:15:17.668]  They're giving 20 to 1 coverage, depending on which story you look at, some it's worse, to Wikileaks that they're giving to the sex stuff.
[02:15:17.708 --> 02:15:19.209]  And anybody can turn the news on and see that.
[02:15:21.150 --> 02:15:22.671]  But that's not even the issue here.
[02:15:24.752 --> 02:15:32.717]  They're sitting there saying we've got to federalize the election because it's the worst ever total penetration by hackers and the Russians.
[02:15:34.309 --> 02:15:35.529]  But Trump is insane.
[02:15:35.569 --> 02:15:38.150]  I keep going back to this because he's warning of election fraud.
[02:15:40.551 --> 02:15:40.971]  Think about it.
[02:15:41.891 --> 02:15:46.432]  Then if I was Gingrich, I would have raised the point.
[02:15:47.532 --> 02:15:47.992]  Wait a minute.
[02:15:48.532 --> 02:15:50.673]  You're saying there is a collusion with the media and Hillary?
[02:15:51.033 --> 02:15:52.193]  Look at all these WikiLeaks.
[02:15:52.233 --> 02:15:55.094]  I'd have them printed out where she's talking to CNN.
[02:15:55.294 --> 02:15:56.434]  Her people are telling him what to do.
[02:15:56.754 --> 02:15:59.555]  The New York Times, MSNBC, you name it.
[02:15:59.895 --> 02:16:01.816]  You're getting directives from her.
[02:16:02.376 --> 02:16:03.096]  You've been caught.
[02:16:06.254 --> 02:16:08.935]  But the woman sits there laughing again, where it's like, oh, really?
[02:16:09.235 --> 02:16:10.015]  Oh, yeah!
[02:16:10.595 --> 02:16:13.056]  Like the Clinton News Network is connected to the Clintons.
[02:16:16.417 --> 02:16:24.279]  Now, going to the next clip, this is the VP candidate on, again, with another Democratic Party operative.
[02:16:24.679 --> 02:16:28.300]  I love how most of these people are admitted former top operatives of the Democratic Party.
[02:16:28.840 --> 02:16:33.461]  Whether it's Wolf Blitzer, or whether it's Chuck Todd, I mean, most of them are.
[02:16:34.102 --> 02:16:34.902]  Stephanopoulos.
[02:16:36.687 --> 02:16:38.249]  Chuck Todd interviews Mike Pence.
[02:16:38.570 --> 02:16:42.555]  Here's a clip of that where they get into the women again and keep calling it substantiated.
[02:16:42.575 --> 02:16:43.316]  That's in the first part.
[02:16:43.697 --> 02:16:44.839]  And it's not substantiated.
[02:16:44.859 --> 02:16:45.720]  It's totally made up.
[02:16:45.780 --> 02:16:48.203]  It's past the statute of limitations on purpose.
[02:16:48.804 --> 02:16:50.607]  But then Pence gets into the conspiracy.
[02:16:50.647 --> 02:16:50.947]  Here it is.
[02:16:51.693 --> 02:16:55.797]  Well, as you know, Donald Trump does not want to move off of this issue.
[02:16:55.817 --> 02:17:04.085]  In fact, he said he's been getting advice saying that, but instead he has been responding to every single accusation.
[02:17:04.105 --> 02:17:06.807]  Here's what he has said about a couple of the different accusers.
[02:17:07.848 --> 02:17:08.268]  She's right.
[02:17:08.288 --> 02:17:08.949]  She's a liar.
[02:17:09.069 --> 02:17:10.050]  She is a liar.
[02:17:10.350 --> 02:17:11.651]  She's writing a story.
[02:17:12.752 --> 02:17:14.114]  Check out her Facebook page.
[02:17:14.134 --> 02:17:14.854]  You'll understand.
[02:17:15.335 --> 02:17:17.437]  I was sitting with him on an airplane.
[02:17:19.182 --> 02:17:20.763]  And he went after me on the plane.
[02:17:20.803 --> 02:17:23.103]  Yeah, I'm gonna go after him.
[02:17:23.123 --> 02:17:28.105]  Believe me, she would not be my first choice, that I can tell you.
[02:17:28.125 --> 02:17:28.185]  Man.
[02:17:30.646 --> 02:17:31.206]  You don't know.
[02:17:31.286 --> 02:17:32.806]  That would not be my first choice.
[02:17:33.727 --> 02:17:35.147]  That was Friday, Governor Pence.
[02:17:36.868 --> 02:17:38.988]  You just dismissed it as just talk.
[02:17:39.068 --> 02:17:43.230]  We now have nine accusers that have come out since you have said it's just talk.
[02:17:43.250 --> 02:17:44.450]  Do you really believe it's just talk?
[02:17:46.694 --> 02:17:47.794]  I really do, Chuck.
[02:17:48.055 --> 02:17:54.897]  You know, what we have this week is a series of unsubstantiated allegations, and Donald Trump... Let me stop you there.
[02:17:54.997 --> 02:17:56.437]  They're not unsubstantiated.
[02:17:56.517 --> 02:17:57.538]  He's categorically denied... Well, hang on.
[02:17:57.738 --> 02:17:58.758]  They're not unsubstantiated.
[02:17:58.798 --> 02:18:00.799]  He's categorically denied those allegations, Chuck.
[02:18:00.859 --> 02:18:02.099]  You have first-hand accounts.
[02:18:02.319 --> 02:18:03.180]  They're unproven.
[02:18:03.640 --> 02:18:05.340]  But they are not unsubstantiated.
[02:18:05.360 --> 02:18:07.581]  You have a first-hand account.
[02:18:07.621 --> 02:18:08.021]  Hit pause.
[02:18:08.261 --> 02:18:09.442]  We have somebody that disagrees.
[02:18:09.582 --> 02:18:13.723]  Something isn't substantiated till you have evidence or someone concurring with it.
[02:18:14.143 --> 02:18:15.644]  It is unsubstantiated.
[02:18:16.983 --> 02:18:21.647]  And most, now in criminology, they say over half of claims of rape are unsubstantiated.
[02:18:21.887 --> 02:18:22.507]  Does it go on?
[02:18:22.848 --> 02:18:23.368]  Absolutely.
[02:18:23.588 --> 02:18:24.329]  Do men abuse women?
[02:18:24.429 --> 02:18:24.729]  Absolutely.
[02:18:24.789 --> 02:18:25.350]  I have daughters.
[02:18:25.450 --> 02:18:26.070]  I love women.
[02:18:26.130 --> 02:18:30.834]  I don't... The point is, it's a weapon everybody knows that is used politically.
[02:18:33.216 --> 02:18:37.740]  How many women say, you know, after a divorce case, oh, my husband forced sex on me, and later say, oh, that wasn't true, it was just political?
[02:18:38.360 --> 02:18:40.622]  Because that's what the lawyers tell women to do.
[02:18:41.102 --> 02:18:42.844]  This is what lawyers are clearly spinning.
[02:18:43.680 --> 02:18:46.461]  But watching Todd do this is so nauseating.
[02:18:46.481 --> 02:18:46.902]  Continue.
[02:18:47.822 --> 02:18:50.643]  These are that first hand account, but they are substantiated, no?
[02:18:52.064 --> 02:18:55.386]  Well, no, these are not substantiated accounts.
[02:18:55.866 --> 02:19:00.628]  These are people who have brought forward allegations going back, in some cases, decades.
[02:19:00.709 --> 02:19:06.051]  And Donald Trump has made it clear that he categorically denies that these things ever took place.
[02:19:06.111 --> 02:19:09.333]  But I have to tell you, it really is astonishing to most Americans.
[02:19:09.933 --> 02:19:25.321]  That as these unsubstantiated allegations are treated with an enormous amount of coverage on this network and other networks, that revelations coming out of Secretary of State Clinton's years in the State Department and the Clinton Foundation are virtually ignored by the national media.
[02:19:25.401 --> 02:19:26.822]  I mean, we discovered this week
[02:19:27.362 --> 02:19:36.269]  That state department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.
[02:19:36.750 --> 02:19:42.755]  And literally that got almost no media attention while those that stepped forward with these
[02:19:43.175 --> 02:19:45.816]  I mean, if I was Governor Pence, I'd say
[02:20:10.902 --> 02:20:13.903]  Todd, you work for the Clintons and Obama as a major political operative.
[02:20:13.923 --> 02:20:15.323]  Look at the media is full of you people.
[02:20:15.543 --> 02:20:18.464]  Then I'd go, what about Clinton settling all these sexual assault cases?
[02:20:19.364 --> 02:20:24.165]  You sit there shaking your head, looking all upset about Trump supposedly touching on women.
[02:20:25.745 --> 02:20:35.567]  And by the way, we have these women, some of them contacting Trump just the last year, asking for jobs or asking for him to come visit them and saying how wonderful he is.
[02:20:36.718 --> 02:20:40.882]  You contact thousands of women and you get nine of them to say stuff.
[02:20:41.462 --> 02:20:45.146]  You put a dragnet out and that's why you're so discredited.
[02:20:45.326 --> 02:20:46.527]  But notice he hit on the key.
[02:20:47.308 --> 02:20:47.929]  And that was Haiti.
[02:20:49.050 --> 02:20:55.516]  The reason they want to run a national ad campaign with myself in it, trying to discredit Trump, is so Trump doesn't go with our intel.
[02:20:57.197 --> 02:20:59.860]  We went with the cargo planes, two aircraft.
[02:21:01.786 --> 02:21:03.868]  We sent crew to Haiti for five days.
[02:21:04.068 --> 02:21:04.708]  They just got back.
[02:21:05.389 --> 02:21:06.149]  I want to send them back.
[02:21:06.289 --> 02:21:11.033]  I mean, we hit a goldmine of evidence against the Clintons.
[02:21:11.674 --> 02:21:13.775]  And attention to this will help the Haitian people.
[02:21:13.835 --> 02:21:14.736]  It's a 360 win.
[02:21:15.837 --> 02:21:16.637]  People dying.
[02:21:16.657 --> 02:21:18.579]  The UN refusing to help people dying.
[02:21:18.699 --> 02:21:19.640]  Children dying.
[02:21:20.879 --> 02:21:24.561]  The UN there to just make you give the aid to them and then they disappear it.
[02:21:24.881 --> 02:21:25.682]  It's all on video.
[02:21:26.022 --> 02:21:30.104]  The Haitians just all over, mobs of people hating the Clintons like they're the devil.
[02:21:30.644 --> 02:21:32.345]  Because they know they stole basically all the money.
[02:21:33.666 --> 02:21:35.387]  No aid from the Clintons.
[02:21:37.988 --> 02:21:40.350]  Government officials saying how horrible the Clintons are.
[02:21:42.931 --> 02:21:45.673]  Haitians protesting them here in the United States.
[02:21:46.693 --> 02:21:47.954]  So Pence understands this.
[02:21:49.599 --> 02:21:53.584]  You know, Trump tweeted out one of our tweets today, or a couple of them, and they make a big national deal.
[02:21:53.904 --> 02:22:02.695]  Look, Trump did this, and Trump tweeted InfoWars, and Trump tweeted Paul Watson and President Planet, and look, his son keeps tweeting, you know Donald Jr.
[02:22:02.715 --> 02:22:04.478]  is the worst asset Trump's got.
[02:22:06.852 --> 02:22:09.676]  That's them trying to control the narrative, telling you what not to go with.
[02:22:09.756 --> 02:22:10.557]  Don't go with Haiti.
[02:22:10.818 --> 02:22:12.280]  Don't go with Infowars.
[02:22:12.660 --> 02:22:15.784]  They only send crews into the war zones and have the proof.
[02:22:16.546 --> 02:22:16.866]  Watch.
[02:22:16.906 --> 02:22:19.470]  There'll be a debate within the Trump camp when we put this video out in the next few days.
[02:22:22.014 --> 02:22:26.417]  Trying to keep it from Trump and trying to, oh, don't send out an Infowars report.
[02:22:26.818 --> 02:22:28.539]  I mean, they'll say that's discredited.
[02:22:29.440 --> 02:22:31.381]  Stop letting Hillary control the narrative.
[02:22:31.921 --> 02:22:39.847]  It comes out of these internal conference calls and stuff with Trump and people are telling him, they'll say you're racist if you keep saying we have to have a defense.
[02:22:39.867 --> 02:22:40.648]  He goes, it isn't true.
[02:22:40.708 --> 02:22:41.208]  I don't care.
[02:22:41.308 --> 02:22:41.789]  Forward.
[02:22:42.089 --> 02:22:42.629]  Ignore them.
[02:22:43.110 --> 02:22:44.431]  We're here to change things.
[02:22:45.071 --> 02:22:47.872]  We're not here to just go along with the establishment.
[02:22:48.172 --> 02:22:49.673]  We're revolutionaries.
[02:22:49.953 --> 02:22:52.594]  We want to overturn the globalist operation.
[02:22:54.715 --> 02:22:55.616]  That's why they're so scared.
[02:22:56.236 --> 02:22:58.197]  We're not trying to look at Alex Jones.
[02:22:58.217 --> 02:22:59.437]  He didn't check the poll numbers.
[02:22:59.477 --> 02:23:01.438]  He didn't fit into the demographic of this or that.
[02:23:01.698 --> 02:23:02.979]  He didn't manipulate this group.
[02:23:04.485 --> 02:23:26.254]  No, because I know about history, and Americana, and free market, and taxes, and regulations, and political systems, and I know how powerful our system is, and I've read the white papers that are public, by Carol Quigley, by Brzezinski, by Rothkopf, by Kissinger, by all of them, about the American system is too powerful, it will outproduce everyone.
[02:23:26.274 --> 02:23:26.954]  This is in the 70s.
[02:23:27.335 --> 02:23:30.316]  We must turn off the major systems of control and price fixing.
[02:23:31.596 --> 02:23:37.720]  And then we must transfer the offshore systems so that we can manage the different nation states between themselves.
[02:23:38.120 --> 02:23:49.748]  It's like in the movie Rollerball, where you've got one country can only do energy, another country can only do electronics, another country can only do transportation, and then they all break up defense because you can't have one group doing that.
[02:23:49.768 --> 02:23:53.451]  And that was kind of a movie about globalism and what they were actually planning.
[02:23:54.211 --> 02:23:59.635]  And then if you're a corporate exec in Rollerball, it doesn't matter if you're the international world champion.
[02:24:00.714 --> 02:24:01.744]  The James Caan Place.
[02:24:02.677 --> 02:24:03.538]  They wanted his wife.
[02:24:04.518 --> 02:24:08.020]  As an act of power, one of the top global executives gets his wife.
[02:24:08.441 --> 02:24:16.025]  And that's why he finally stops following the orders and starts killing people out on the field to totally dominate and not give up when they want him to in a rigged game.
[02:24:16.565 --> 02:24:20.128]  For globalism, because you can't have one man or one team that's too strong.
[02:24:20.648 --> 02:24:21.548]  That has to fall.
[02:24:21.609 --> 02:24:22.669]  It's a metaphor for nations.
[02:24:22.989 --> 02:24:24.350]  The United States has to fall.
[02:24:24.570 --> 02:24:25.731]  James Conn has to fall.
[02:24:25.991 --> 02:24:32.015]  Houston, Texas has to fall for the New World Order because it can't have something that's better sticking its head up.
[02:24:33.581 --> 02:24:34.101]  Thought about that?
[02:24:34.121 --> 02:24:36.843]  It's all just thrown in your face!
[02:24:36.983 --> 02:24:38.043]  We get your wife!
[02:24:38.284 --> 02:24:39.224]  We get your kids!
[02:24:39.444 --> 02:24:40.365]  We run your life!
[02:24:41.746 --> 02:24:42.646]  Now you're gonna lose!
[02:24:46.068 --> 02:24:47.709]  You're gonna lose against Tokyo!
[02:24:50.285 --> 02:24:51.145]  You're going to lose!
[02:24:51.165 --> 02:24:52.086]  You're going to lay down!
[02:24:52.346 --> 02:24:53.326]  You're going to roll over!
[02:24:53.666 --> 02:24:56.147]  We're going to make sure your electricity costs three times more than anybody!
[02:24:56.167 --> 02:24:58.148]  We're going to make sure your gas costs more!
[02:24:58.308 --> 02:24:59.929]  We're going to make sure your education costs more!
[02:25:00.049 --> 02:25:01.770]  We're going to make sure your healthcare is crap!
[02:25:02.430 --> 02:25:03.771]  We're going to feed your kids poison!
[02:25:03.791 --> 02:25:05.011]  We're going to give them garbage media!
[02:25:05.171 --> 02:25:06.292]  We're going to dumb them down!
[02:25:07.779 --> 02:25:16.141]  We're going to have a bunch of hunchbacked demons like Chris Todd lording over a bunch of angry little nerds who are always angry at the kids that were cooler than them and want to run everything down.
[02:25:16.241 --> 02:25:18.222]  My God, I'm going to screw them over.
[02:25:18.602 --> 02:25:27.244]  And they all write white papers about fluoride in the water, lowering your IQ, and they sit around and talk about you and your family, and they go on Charlie Rose.
[02:25:27.264 --> 02:25:30.805]  Yeah, a bunch of little pansies up there going,
[02:25:31.947 --> 02:25:34.828]  It's not that they're gay on Charlie Rose.
[02:25:35.468 --> 02:25:40.270]  It's just there's something weird about effeminate guys going, he wrote the line about how you keep your doxin in.
[02:25:41.210 --> 02:25:43.051]  They're all like hopping around laughing.
[02:25:43.311 --> 02:25:50.354]  You turn to another channel, and then it's like, you know, another twit, Gruber going, thank God they're so dumb, we all scammed them.
[02:25:51.434 --> 02:25:52.734]  And the professors are all laughing.
[02:25:52.955 --> 02:25:57.576]  And you turn to another guy, Gibbs is, yeah, we're lying about drones that don't exist when they exist.
[02:26:00.097 --> 02:26:10.503]  And clip after clip after clip after clip just celebrating overrunning everyone, celebrating screwing everyone, celebrating trashing everyone.
[02:26:10.824 --> 02:26:14.506]  These are our leaders because they can sit around and laugh at people.
[02:26:16.445 --> 02:26:20.808]  Because their rich parents sent them to Harvard, and they're all part of the club.
[02:26:21.249 --> 02:26:23.891]  And it's okay when they're fascist because they're gay.
[02:26:23.911 --> 02:26:28.875]  And it's okay when gay people have war with Russia, because then it's liberal.
[02:26:29.215 --> 02:26:40.003]  And when we steal 94% of the money from the Haitians, and we kill black people, and the UN literally craps in their water supply, it's okay because we bent our wrist.
[02:26:40.904 --> 02:26:43.125]  I'm gay, so it's all right.
[02:26:43.406 --> 02:26:46.048]  I'm supporting evil and bankrupting small businesses.
[02:26:46.648 --> 02:26:49.289]  I mean, you know, it's just like, whoa, man!
[02:26:50.149 --> 02:26:50.709]  Whoa!
[02:26:51.449 --> 02:26:52.669]  It's not okay!
[02:26:53.909 --> 02:27:01.571]  So we've just given the country over to a bunch of rotten, decadent intelligentsia, who in their own emails go, the public's waking up.
[02:27:02.311 --> 02:27:05.852]  Go to regional and class and race warfare.
[02:27:05.892 --> 02:27:07.532]  I mean, the WikiLeaks say it.
[02:27:08.112 --> 02:27:09.692]  We're in trouble, they're waking up.
[02:27:11.032 --> 02:27:13.093]  They still don't know what's going on, but they're not complying.
[02:27:13.133 --> 02:27:13.653]  We know that.
[02:27:14.972 --> 02:27:18.994]  I suggest we go with serious measures, dealing with, what was the exact quote?
[02:27:19.294 --> 02:27:22.915]  Demographic, demographic control mechanisms.
[02:27:25.897 --> 02:27:36.301]  And that you just ship out a million Arabs from the most war-torn areas, where if their mother was seen outside without a hood over her head, the son would be so upset he'd pour gasoline on mama and burn her.
[02:27:36.481 --> 02:27:38.322]  He'd cry though, but he had to do it for Allah.
[02:27:38.982 --> 02:27:42.144]  Bringing in the most whacked out loons you ever did see.
[02:27:42.924 --> 02:27:49.789]  And they say in the emails, this will be totally incompatible, everything will go crazy, then we'll come in and take everybody's free speech to not upset the Arabs.
[02:27:50.069 --> 02:27:51.110]  That's in all the new WikiLeaks.
[02:27:51.490 --> 02:27:53.552]  I already knew that a year ago, two years ago.
[02:27:53.692 --> 02:27:54.593]  I know their plan.
[02:27:54.613 --> 02:27:59.856]  I don't need another WikiLeak, another document, another thing where they admit what they're doing to us.
[02:28:02.298 --> 02:28:07.222]  I mean, just call these people on their bluffs, these arrogant, weird,
[02:28:10.325 --> 02:28:15.166]  Like, just cowards celebrating how they're ripping everybody off.
[02:28:15.786 --> 02:28:16.727]  And again, I want to explain.
[02:28:17.087 --> 02:28:19.968]  I'm not bashing those guys because they act completely effeminate.
[02:28:19.988 --> 02:28:21.948]  It's not even effeminate, whatever that weird thing is they do.
[02:28:22.708 --> 02:28:33.091]  It's that they're celebrating screwing people and consolidating the economy and giggling about it and are so disconnected they're on national TV doing it.
[02:28:35.731 --> 02:28:36.752]  And it's always the same.
[02:28:36.852 --> 02:28:37.932]  These aren't real men.
[02:28:38.393 --> 02:28:41.955]  Real men cannot sit there and screw over little people and get off on it.
[02:28:42.775 --> 02:28:45.577]  And then call themselves the altruistic, loving liberals.
[02:28:46.337 --> 02:28:48.459]  It was demographically inspired messaging.
[02:28:49.259 --> 02:28:50.640]  The unawareness remains strong.
[02:28:50.660 --> 02:28:51.781]  Imagine, this sounds like a science fiction movie.
[02:28:52.101 --> 02:28:56.423]  The unawareness remains strong, but compliance is obviously fading rapidly.
[02:28:56.443 --> 02:29:01.526]  The problem demands some serious, serious thinking, and not just poll-driven.
[02:29:01.987 --> 02:29:04.128]  Demographically inspired messaging.
[02:29:05.546 --> 02:29:06.727]  Race-based messaging.
[02:29:07.027 --> 02:29:08.147]  That's from a couple years ago.
[02:29:08.888 --> 02:29:09.748]  We're in crisis.
[02:29:09.808 --> 02:29:11.289]  Go directly to race war.
[02:29:12.910 --> 02:29:13.950]  And what's the new email?
[02:29:13.970 --> 02:29:15.331]  That isn't clear enough by Podesta.
[02:29:16.971 --> 02:29:19.493]  Sir, it's an Arab and his wife just shot everybody up.
[02:29:20.313 --> 02:29:21.994]  Implement immediate cover-up in the media.
[02:29:22.134 --> 02:29:22.514]  Damn!
[02:29:22.954 --> 02:29:23.635]  I wish he'd been white.
[02:29:23.655 --> 02:29:24.415]  That would have been useful.
[02:29:24.915 --> 02:29:25.636]  We told you!
[02:29:26.778 --> 02:29:29.299]  I don't care if it's a white guy or a black guy shooting people up.
[02:29:29.339 --> 02:29:29.760]  It's wrong.
[02:29:30.280 --> 02:29:31.341]  They just seized on it.
[02:29:31.361 --> 02:29:34.042]  Because remember when it was one crazy white guy shooting the black people?
[02:29:34.062 --> 02:29:35.923]  Everybody's like, that's terrible, that's horrible.
[02:29:36.123 --> 02:29:36.804]  And it's like, that's right.
[02:29:37.164 --> 02:29:38.425]  All whites have guilt now.
[02:29:38.685 --> 02:29:39.605]  Take on your guilt.
[02:29:39.925 --> 02:29:40.806]  La la la.
[02:29:41.086 --> 02:29:42.727]  And do taeva give us your guns.
[02:29:43.427 --> 02:29:44.448]  Hey, but you got bodyguards.
[02:29:44.568 --> 02:29:45.008]  Shut up.
[02:29:46.289 --> 02:29:47.550]  But it's okay if you're big.
[02:29:49.048 --> 02:29:53.051]  Daddy, uh, Michael Moore, he can have bodyguards.
[02:29:53.091 --> 02:29:53.832]  He's special.
[02:29:54.572 --> 02:29:55.533]  You just don't get him.
[02:29:55.573 --> 02:29:56.554]  You understand how that works?
[02:29:56.574 --> 02:29:57.274]  He's an elitist.
[02:29:57.435 --> 02:29:58.335]  We're on the march.
[02:29:58.836 --> 02:30:00.437]  The Empire's on the run.
[02:30:01.358 --> 02:30:04.040]  Alex Jones and the GCN Radio Network.
[02:30:08.291 --> 02:30:09.993]  Electrify your day with Secret 12.
[02:30:10.594 --> 02:30:11.915]  It's like lightning in a bottle.
[02:30:12.155 --> 02:30:15.679]  We all have days in which we just can't seem to perform at the level we'd like to.
[02:30:16.040 --> 02:30:23.808]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[02:30:24.009 --> 02:30:28.814]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[02:30:28.974 --> 02:30:29.695]  The reality is
