[00:00:00.149 --> 00:00:00.969]  What is a globalist?
[01:24:35.016 --> 01:24:35.676]  Yeah.
[01:24:36.937 --> 01:24:37.077]  Uh-huh.
[01:24:38.457 --> 01:24:40.098]  Oh, look, you're being good.
[01:24:41.798 --> 01:24:42.859]  You're behaving.
[01:24:42.879 --> 01:24:44.179]  It's all there.
[01:24:46.040 --> 01:24:47.000]  The new global ID.
[01:24:48.737 --> 01:24:49.698]  And look at that.
[01:24:49.758 --> 01:24:51.538]  When you behave yourself, it goes up.
[01:24:51.839 --> 01:24:54.860]  When you make good purchases that are good for the earth and good for you, it goes up.
[01:24:55.240 --> 01:24:58.262]  And when you send your children for sterilization or brainwashing, it goes up.
[01:24:58.542 --> 01:25:00.323]  When you go to drag queen story time, it goes up.
[01:25:00.543 --> 01:25:02.044]  When you go to Satan hour, it goes up.
[01:25:02.604 --> 01:25:04.725]  When you're for open borders and keep your mouth shut, it goes up.
[01:25:04.785 --> 01:25:06.186]  It's so liberal.
[01:25:06.246 --> 01:25:08.907]  It's so, so good.
[01:25:08.927 --> 01:25:11.289]  Oh my goodness.
[01:25:11.349 --> 01:25:12.689]  Look, it tells you all about it.
[01:25:12.769 --> 01:25:13.630]  Just, it's all here.
[01:25:16.761 --> 01:25:17.622]  And where's the Santas?
[01:25:17.722 --> 01:25:18.583]  You're not really talking about it.
[01:25:18.603 --> 01:25:20.624]  He's fighting the agenda, but not addressing the root of it.
[01:25:20.965 --> 01:25:21.785]  Where's Rand Paul?
[01:25:21.885 --> 01:25:23.787]  Fighting the agenda some, but not the root of it.
[01:25:24.147 --> 01:25:24.728]  Where's Trump?
[01:25:24.788 --> 01:25:25.889]  Basically doing nothing to fight it.
[01:25:27.430 --> 01:25:31.353]  And they all know full damn well, but they know, you go up against this, they come after you.
[01:25:31.533 --> 01:25:32.915]  They're coming after you anyways!
[01:25:34.936 --> 01:25:38.119]  Go ahead and go to part of the clip out of Canada with the spying on you.
[01:25:38.831 --> 01:25:52.265]  The Public Health Agency of Canada confirmed media reports just before Christmas that it had secretly accessed location data for 33 million mobile devices to monitor the movement of Canadians during COVID-19.
[01:25:54.773 --> 01:26:03.200]  That number represents roughly 87% of the population who were spied on without any knowledge that the government was accessing their data.
[01:26:03.901 --> 01:26:07.584]  No one knew that PHAC was collecting their data and for what purpose.
[01:26:08.004 --> 01:26:09.746]  So, why was it done in secret?
[01:26:10.406 --> 01:26:11.347]  Who authorized it?
[01:26:11.948 --> 01:26:13.389]  And who was this shared with?
[01:26:13.789 --> 01:26:15.531]  So, why was it done in secret?
[01:26:16.171 --> 01:26:17.112]  Who authorized it?
[01:26:17.712 --> 01:26:19.134]  And who was this shared with?
[01:26:20.228 --> 01:26:40.290]  Second, the request for proposal to continue this program appeared on December 17th, 2021, the day after Parliament adjourned for the holidays and is set to expire January 21st, 2022, 10 days before Parliament is set to return, conveniently leaving... Conveniently so they can bring it back.
[01:26:40.330 --> 01:26:42.112]  Yeah, so good on that minister exposing it.
[01:26:43.971 --> 01:26:45.532]  But again, this is nothing to do with viruses.
[01:26:45.612 --> 01:26:50.676]  It's about control in a cashless society and the mark of the beast system they call the social credit score.
[01:26:51.136 --> 01:26:51.816]  It ain't coming.
[01:26:52.897 --> 01:26:53.277]  It's here.
[01:26:55.179 --> 01:27:00.322]  And remember, the very group that created the virus and released it are the ones covering up all of that right now as well.
[01:27:00.743 --> 01:27:03.144]  What crazy person would comply with any of this?
[01:27:04.025 --> 01:27:07.787]  It's up to us that aren't asleep to warn those that are asleep.
[01:27:08.368 --> 01:27:08.888]  Wake up!
[01:27:09.308 --> 01:27:10.950]  Hour number three straight ahead.
[01:27:11.983 --> 01:27:13.324]  Joshua in Texas.
[01:27:13.384 --> 01:27:14.866]  Joshua, you're on the InfoWars War Room.
[01:27:14.886 --> 01:27:15.226]  Go ahead.
[01:27:15.446 --> 01:27:16.107]  Right on, man.
[01:27:16.127 --> 01:27:20.911]  You guys talk about the New World Order a lot, and my dad was the first to expose it.
[01:27:21.012 --> 01:27:23.494]  I had been banned from Band Dog Video.
[01:27:23.874 --> 01:27:32.462]  First of all, I wrote down that Randall Wilhite, Alex Jones' lawyer, went on record saying that Alex is a showman and just playing a character.
[01:27:32.482 --> 01:27:40.068]   The second time I got banned, I said that Mark Randazza is a lawyer for the Church of Satan and now your First Amendment lawyer.
[01:27:40.308 --> 01:27:48.713]  Next time I got banned is that I proved that you guys sell your products on Amazon, giving Jeff Bezos a cut of your profit.
[01:27:48.853 --> 01:27:52.015]  They say you guys have to sign non-disclosure agreements.
[01:27:52.095 --> 01:27:52.995]  All the employees.
[01:27:53.055 --> 01:27:55.497]  So Alex actually bans your free speech.
[01:27:55.737 --> 01:27:57.818]  Josh the Troll!
[01:27:58.278 --> 01:28:01.480]  You can't get Patriot Points on Amazon!
[01:28:01.640 --> 01:28:04.621]  Hey Josh the Troll, I have 5,000 Patriot Points!
[01:28:05.001 --> 01:28:07.002]  How many do you have, Josh the Troll?
[01:28:07.422 --> 01:28:08.243]  Josh the Troll!
[01:28:08.623 --> 01:28:10.183]  You need some garba-chill!
[01:28:10.564 --> 01:28:11.424]  Josh the Troll!
[01:28:12.370 --> 01:28:15.454]  All right, Ali Alexander with huge news is set to join us.
[01:28:15.554 --> 01:28:19.038]  Joe Rogan interviewed General McMaster and asked him about January 6th.
[01:28:19.078 --> 01:28:23.684]  He had something very characteristically ridiculous and mindless to say.
[01:28:24.285 --> 01:28:26.227]  That's coming up next segment as well.
[01:28:26.788 --> 01:28:28.170]  Why is January 6th so important?
[01:28:29.022 --> 01:28:39.171]  Because the power structure is betting the farm on running against Republicans and populists and anti-vaxxers and anti-lockdown, anti-market-the-beast people on this.
[01:28:39.191 --> 01:28:41.554]  So you can bet they're preparing a false flag.
[01:28:42.074 --> 01:28:46.818]  And now with the government admitting false flags are a real thing, they're going to have a real problem trying to poo-poo that.
[01:28:47.479 --> 01:28:52.778]   But here is the report on the food supply illegally having nanotech added to it.
[01:28:52.778 --> 01:28:59.979]  [MUSIC]
[01:28:59.979 --> 01:29:05.279]   The FDA has allowed nanoparticles into the food supply under the generally recognized
[01:29:05.279 --> 01:29:09.677]   as safe provision because they claim that they are no more dangerous than their larger
[01:29:09.677 --> 01:29:10.518]  counterparts.
[01:29:10.973 --> 01:29:15.194]  Titanium is generally safe, therefore nanotitanium must be safe.
[01:29:15.914 --> 01:29:27.736]  But they also admit that known materials can exhibit new or altered physiochemical properties at nanoscale dimensions, including unknown safety hazards that they will continue to monitor for.
[01:29:28.896 --> 01:29:36.245]  In other words, the human trials for consumable nanotechnology is currently happening in the public without their knowledge.
[01:29:36.865 --> 01:29:41.991]  Nanoparticles can be absorbed into our immune defense system and into our bloodstream.
[01:29:42.391 --> 01:29:49.640]  And just like the FDA admits, materials at the nanoscale can cause unknown changes in a person's biological system.
[01:29:50.416 --> 01:29:56.743]  Animal studies have proven that nanoparticles are changing the way our bodies absorb certain minerals, such as iron.
[01:29:57.524 --> 01:30:11.178]  FDA chemist Timothy Duncan wrote that nanotechnology in the food supply is being held back because the food supply industry is afraid of public backlash, and argues that nanotechnology will somehow make food healthier.
[01:30:12.359 --> 01:30:19.830]  The FDA is far more concerned with pushing more of these experimental nanoparticles into the food supply than they are with safety.
[01:30:20.491 --> 01:30:24.356]  Like they said about giving the dangerous experimental vaccines to your kids.
[01:30:24.937 --> 01:30:28.862]  We're never going to learn about how safe the vaccine is until we start giving it.
[01:30:30.171 --> 01:30:38.037]  At least 20 products are adding laboratory-made nanoparticles into the ingredients, and they are getting ready to coat bananas in new nanotech.
[01:30:38.578 --> 01:30:44.463]  But companies are not required to disclose nano-sized ingredients, so we don't know how prevalent it is.
[01:30:46.281 --> 01:30:57.149]  Along with being a proponent of population reduction, forced vaccinations, and genetically modified foods, Bill Gates is also the biggest private farm owner in America.
[01:30:58.049 --> 01:31:05.794]  Does anyone doubt for a second that Bill Gates is allowing this dangerous nanotech the FDA is pushing for into America's food supply?
[01:31:07.055 --> 01:31:24.341]  In related news, 10 out of the 19 states in which Bill Gates owns farmland, along with at least another 10, have recently made it legal to dispose of human bodies into the municipal water supply, allowing human remains to be added into biosolid sourced fertilizer.
[01:31:25.061 --> 01:31:31.062]  It's called alkaline hydrolysis and is referred to in pop culture as being very, very green.
[01:31:31.942 --> 01:31:41.004]  Spiritual leaders have strongly objected to alkaline hydrolysis because they say it is disrespectful to the human body, the vessel of a divine soul.
[01:31:41.744 --> 01:31:43.464]  And it's understandable why they say this.
[01:31:44.184 --> 01:31:52.166]  In alkaline hydrolysis, the human body is liquefied with lye and poured down the sewer to mix in with the community's excrement.
[01:31:53.246 --> 01:32:02.869]  And if that weren't bad enough, this bio-sludge is then collected from municipal water treatment plants and used as so-called fertilizer on factory farms.
[01:32:04.049 --> 01:32:09.051]  The official excuse is that it saves the government money for expensive toxic waste disposal.
[01:32:09.991 --> 01:32:21.195]  Meanwhile, we are all being sold food that has been grown with a toxic bio-sludge made up of human remains and excrement, which is then loaded with new and strange nanotechnology.
[01:32:22.719 --> 01:32:26.621]  Interestingly, the dystopian movie Soylent Green took place in 2022.
[01:32:26.881 --> 01:32:30.643]  They're making our food out of people.
[01:32:31.323 --> 01:32:34.564]  Next thing, they'll be breeding us like cattle for food.
[01:32:34.584 --> 01:32:36.405]  You gotta tell them.
[01:32:36.885 --> 01:32:38.086]  You gotta tell them.
[01:32:38.326 --> 01:32:39.086]  Promise, Tiger.
[01:32:39.126 --> 01:32:39.627]  I promise.
[01:32:39.827 --> 01:32:40.647]  I'll tell the exchange.
[01:32:41.307 --> 01:32:41.968]  You tell everybody.
[01:32:41.988 --> 01:32:44.189]  Listen to me, Hatcher.
[01:32:44.789 --> 01:32:49.151]  You gotta tell them Soylent Green is people!
[01:32:49.291 --> 01:32:51.552]  Reporting for InfoWars, this is Greg Reese.
[01:32:51.932 --> 01:32:56.194]  You gotta tell them the World ID has now officially been rolled out, why aren't Republicans opposing it?
[01:32:56.914 --> 01:33:08.479]  Well, Ali Alexander has for a long time been a very successful Republican analyst and journalist and muckraker, and he's also organized a lot of events across the country.
[01:33:09.300 --> 01:33:23.344]   And he was heavily involved, really spearheading Peaceful demonstrations across the United States, and I was at many of them, going into capitals peacefully, not having one incident in Georgia or any other areas.
[01:33:23.784 --> 01:33:27.567]  We had a bunch of big rallies that we co-organized up in D.C.
[01:33:27.587 --> 01:33:32.391]  in the lead up, and we wanted to attend a constitutional investigation of what happened on January 6th.
[01:33:32.972 --> 01:33:40.698]  And our listeners have called me, they've told me, they have said, Alex, we know you didn't attack the Capitol, we know it was mainly provocateured.
[01:33:41.923 --> 01:33:43.065]  There were some idiots, obviously.
[01:33:43.085 --> 01:33:43.826]  We've never denied that.
[01:33:45.868 --> 01:33:48.692]  But people walking through velvet ropes don't deserve to be in solitary confinement for a year.
[01:33:48.712 --> 01:33:48.932]  Come on.
[01:33:51.215 --> 01:33:55.942]  And so people ask me, why are you making such a big deal about it now?
[01:33:58.024 --> 01:34:10.899]   And it's because We have Biden-Harris running on it and saying there's imminent terror attacks from the Tea Party and from Trump supporters, and articles saying Rush Limbaugh and Alex Jones.
[01:34:10.919 --> 01:34:12.622]  They're saying this posthumously in this case.
[01:34:13.709 --> 01:34:16.170]  After he's dead, are you responsible for a civil war?
[01:34:16.650 --> 01:34:18.090]  No, no, no!
[01:34:18.950 --> 01:34:27.332]  The last thing I want is what they call a civil war, the American people having some type of battle with the military and the FBI.
[01:34:27.632 --> 01:34:29.453]  How does that beat Klaus Schwab and the New World Order?
[01:34:30.053 --> 01:34:37.235]  I'm not planning attacks, by the way, on Klaus Schwab or Bill Gates, but I mean, you know, I mean, if I'm in a war, I'll go up against who I'm actually fighting.
[01:34:37.875 --> 01:34:39.895]  And Gates has got a thousand evil people behind him.
[01:34:39.915 --> 01:34:40.935]  It's like shark teeth.
[01:34:41.236 --> 01:34:43.056]  You take out Bill Gates, more roll forward.
[01:34:44.517 --> 01:34:45.698]  We don't beat this with violence.
[01:34:46.659 --> 01:34:51.602]  So I don't just poo-poo violence out of one side of my mouth like the left does after I call for it.
[01:34:51.642 --> 01:34:52.102]  That's what they do.
[01:34:52.242 --> 01:34:53.583]  Burn, kill, attack the police.
[01:34:53.784 --> 01:34:54.744]  I'm up for that.
[01:34:56.085 --> 01:34:58.627]  Give Black Lives Matter what it wants or we're going to burn down New York.
[01:34:58.947 --> 01:35:00.749]  No, I don't believe in that.
[01:35:02.830 --> 01:35:10.335]  So the reason we're hammering this is, Ali agrees with me, he's a smart political brain, one of the smartest out there, that this is what they're moving towards.
[01:35:10.355 --> 01:35:20.218]   So I want to talk about how do I make sure my broadcast is a place To really make sure that as many of our people as we can don't get sucked up in this and they're inning.
[01:35:21.607 --> 01:35:32.436]  Tricks that he can think of are ideas to just somehow derail where this is going, because Biden's approval rating is really below 30 percent, lowest in U.S.
[01:35:32.496 --> 01:35:33.957]  history for any president in modern times.
[01:35:34.497 --> 01:35:35.798]  Their whole agenda is falling apart.
[01:35:35.818 --> 01:35:39.141]  Paul Begala is now, Democrats are now blaming their constituents.
[01:35:39.561 --> 01:35:41.563]  He says, we don't have bad leaders, we have bad followers.
[01:35:41.603 --> 01:35:43.524]  I mean, when you hear that, you're in North Korea.
[01:35:45.626 --> 01:35:49.207]  This is very dystopian, and the answer is lower the temperature.
[01:35:49.747 --> 01:35:51.308]  Klaus Schwab wants to raise the temperature.
[01:35:51.588 --> 01:35:55.609]  Yes, I was raising the temperature, because Democrats were, if you see people out, attack them.
[01:35:55.929 --> 01:35:56.730]  Go out and burn things down.
[01:35:56.750 --> 01:35:57.750]  I'm like, no, we don't want that.
[01:35:57.790 --> 01:36:03.052]  Let's show everybody, though, that Biden can't get 100 people in a school gymnasium, but we can get a million.
[01:36:03.092 --> 01:36:03.792]  And we did get a million.
[01:36:04.432 --> 01:36:05.653]  That was about Martin Luther King.
[01:36:05.673 --> 01:36:07.714]  Hey, we got hundreds of thousands that want racial peace.
[01:36:08.114 --> 01:36:10.516]  Wasn't about Martin Luther King, wasn't an insurrectionist.
[01:36:10.556 --> 01:36:11.056]  Neither were we.
[01:36:11.176 --> 01:36:15.879]  But our event was so big, there was negligence, there was a stand down by the feds, bare minimum.
[01:36:16.219 --> 01:36:17.640]  They wouldn't let Trump have the National Guard.
[01:36:17.680 --> 01:36:20.602]  The FBI, HRT groups sat and watched it all happen.
[01:36:20.622 --> 01:36:21.283]  That's a fact now.
[01:36:21.583 --> 01:36:22.523]  I've got the articles right here.
[01:36:22.563 --> 01:36:28.767]  So deciphering all of this, we're talking about where we go forward from here, what the Stuart Rhodes thing means.
[01:36:29.087 --> 01:36:38.047]   I mean, if that's a revolution, if that's an insurrection, They say in the indictment, push past police, ran around with zip ties looking for Pelosi.
[01:36:38.788 --> 01:36:42.932]  I mean, I'm sorry, the guys that did that, if they really did that, sound like Laurel and Hardy.
[01:36:43.452 --> 01:36:45.454]  They think guys with zip ties are going to bring down the U.S.
[01:36:45.474 --> 01:36:45.774]  government.
[01:36:46.215 --> 01:36:47.856]  But nevertheless, doesn't sound good.
[01:36:47.916 --> 01:36:49.338]  Okay, if it's true, they go to jail.
[01:36:49.958 --> 01:37:05.832]  But to act like that is all a master plan and that my pillow guy and Donald Trump were giving orders through General Flynn to us on my children is a 100% lie and the opposite of what we wanted, a peaceful 10-day investigation that we never had at the court level.
[01:37:06.633 --> 01:37:07.273]  Would have happened.
[01:37:07.593 --> 01:37:09.674]  And we failed, and it blew up in our face.
[01:37:09.694 --> 01:37:18.057]  But I'll say this as Teddy Roosevelt said, at least we, Olly Alexander, myself and others, and the million peaceful folks that showed up there, are in the damn arena.
[01:37:18.077 --> 01:37:20.538]  Because you're never going to have a problem if you're not in the arena.
[01:37:20.598 --> 01:37:21.859]  But yes, we are in the arena.
[01:37:23.019 --> 01:37:24.380]  And so we need your prayers, your support.
[01:37:24.460 --> 01:37:25.240]  Olly, I've been ranting.
[01:37:25.720 --> 01:37:26.400]  It's good to have you here.
[01:37:26.420 --> 01:37:30.402]  You can go anywhere you want with this, but this is a crazy time to be alive right now.
[01:37:31.966 --> 01:37:34.248]  It is, Alex, and thanks for having me.
[01:37:34.268 --> 01:37:40.352]  You know, I was recently in Arizona at the Trump rally connecting with people that we touch.
[01:37:40.512 --> 01:37:43.995]  We touch many lives, especially in Arizona.
[01:37:44.035 --> 01:37:48.057]  That's really ground zero for the election integrity movement.
[01:37:48.097 --> 01:37:51.460]  It should be Georgia, but Arizona is where they have the cojones.
[01:37:51.900 --> 01:37:59.972]   And so, you know, we're fighting an internal Republican civil war, a political civil war, a civil civil war.
[01:38:00.553 --> 01:38:03.074]  And so it was really great to connect.
[01:38:03.374 --> 01:38:04.415]  But you're absolutely right.
[01:38:04.855 --> 01:38:18.201]  Alex, when we were on the trail, as I say, you know, very frustrated veterans would occasionally walk up to me and they would say some comments in frustration that many would find inappropriate.
[01:38:18.821 --> 01:38:28.131]   But, you know, me being an empath, you being an empath, Felt that their intention wasn't violence, but frustration, desperation.
[01:38:28.351 --> 01:38:39.253]  They didn't have the means to launch a rebellion or a revolution or the heart, you know, the evil heart, the hardened heart to launch some type of lone wolf attack.
[01:38:39.673 --> 01:38:46.074]  But occasionally when we would hear these comments, one thing I would say is that we need to lean away from politics and towards faith.
[01:38:46.594 --> 01:38:47.915]  And I would say St.
[01:38:47.975 --> 01:38:51.714]   Thomas Aquinas reminds us That prudence is a virtue.
[01:38:52.234 --> 01:39:00.177]  So even if we have an illegitimate government, which I believe we have, and I'm not backing down from saying that, the government wants me to stop saying that, I'm going to keep saying it.
[01:39:00.197 --> 01:39:00.397]  No, no, amen.
[01:39:00.417 --> 01:39:10.300]  This thing, they stole it, it's illegitimate, but in a way it's hurting them, everybody knows they stole it, that's why they want to have a violence system to turn the subject over to us.
[01:39:10.580 --> 01:39:20.946]   No, no, you just sit there and everybody hates you, and the Democratic Party is extincting itself right now, if we can just stay patient, Not be violent, let them punch us in the nose like Martin Luther King did, Jr.
[01:39:21.266 --> 01:39:21.807]  We're going to win.
[01:39:23.168 --> 01:39:24.369]  You're exactly right.
[01:39:24.649 --> 01:39:32.655]  And so what we always said is about our movement, it's our job to run the ball down the field, but the touchdown will ultimately be God's.
[01:39:33.036 --> 01:39:43.750]   And so what it means to be prudent is that even if there's a legitimate, there's legitimate tyranny out there, and I believe that there is, it would be imprudent To go out there and attack.
[01:39:43.890 --> 01:39:51.014]  So, anybody who was cosplaying or LARPing or actually planning to attack the government was, I think, outside of God's will.
[01:39:51.615 --> 01:40:00.320]  You know, and I said that a week prior when people who weren't associated with our movement invaded the Oregon State Capitol.
[01:40:00.740 --> 01:40:05.583]  And in Atlanta, people tried to get you to do it, and you said, no way, you're an idiot.
[01:40:06.004 --> 01:40:08.465]  And then the media tried to explain, that was you saying, not yet.
[01:40:08.485 --> 01:40:09.866]  I mean, they just spent everything.
[01:40:10.928 --> 01:40:11.208]  Yeah.
[01:40:11.368 --> 01:40:14.270]  So Alex, you know, I'm very proud of our prudent leadership.
[01:40:14.570 --> 01:40:17.551]  I'm not going to cave to the government and stop calling Biden illegitimate.
[01:40:17.851 --> 01:40:23.834]  And I'm not going to cave to the reactionaries who are otherwise good people who say, no, no, no, you and Alex need to lead this.
[01:40:23.854 --> 01:40:24.635]  You need to own this.
[01:40:24.955 --> 01:40:26.395]  No, we're going to do it the right way.
[01:40:26.676 --> 01:40:30.637]  And the Bible says the path is narrow and it is narrow, my friend.
[01:40:30.657 --> 01:40:33.919]  So we must keep fighting for elections, keep fighting for our civil rights.
[01:40:34.259 --> 01:40:41.621]  Fight for the due process of political prisoners and denounce those who are outside of God's will, outside of prudent leadership.
[01:40:41.901 --> 01:40:44.581]  And I think that that's the only path forward, Alex.
[01:40:44.701 --> 01:40:45.882]  It's a very narrow path.
[01:40:46.102 --> 01:40:52.903]  And you and I are spending, I'm told, thousands of dollars in legal bills because we are men in the arena.
[01:40:53.283 --> 01:40:55.824]  And, you know, thank God He chose us to be in it.
[01:40:56.761 --> 01:41:01.283]  Well, I mean, I'm just very thankful for listeners keeping us in the position we're in, but do you agree with me?
[01:41:01.503 --> 01:41:03.344]  Obviously, they're trying to set up a false flag.
[01:41:03.364 --> 01:41:06.705]  I mean, clearly, they said the Russians want a false flag to go into Ukraine.
[01:41:07.125 --> 01:41:11.367]  Well, I mean, the left is just betting everything there's going to be terror attacks before the midterms.
[01:41:12.301 --> 01:41:14.643]  Yes, yes, 100% confirmed.
[01:41:15.124 --> 01:41:20.869]  It wasn't just you and me guessing this three weeks ago, four weeks ago, and now everyone's talking about it.
[01:41:21.209 --> 01:41:23.932]  I'm now hearing that from sources inside of DC.
[01:41:24.212 --> 01:41:27.315]  And so I'm going out of my way to document things.
[01:41:27.355 --> 01:41:37.643]   And I got to tell you folks, not only is the best yet to come, but we have not begun to fight back and investigate What really happened in January 6th.
[01:41:38.143 --> 01:41:45.246]  The federal government has more fingerprints on this than you or I even realized, Alex, and more sources are coming forward.
[01:41:45.446 --> 01:41:50.628]  We need whistleblowers to come forward because what has been done is against the consent of the government.
[01:41:51.778 --> 01:41:52.038]  That's right.
[01:41:52.058 --> 01:41:57.761]  We've already got more people like Ray Epps being caught by citizen journalists that were there, obviously FBI operatives.
[01:41:58.602 --> 01:42:02.884]  And, you know, the deep state, this is not the 1990s where they can blow up a federal building and get away with it.
[01:42:03.324 --> 01:42:04.805]  And they have not gotten away with it.
[01:42:04.825 --> 01:42:13.630]  I mean, I've got listeners and prominent people I know mad at me that I'm even admitting some idiot patriots thought this was a revolution, too, and obviously went in.
[01:42:13.670 --> 01:42:15.051]  No, let's be honest.
[01:42:15.111 --> 01:42:20.073]  But the main stand down and the main provocateuring was the feds, and they're going to get the blame for it.
[01:42:20.354 --> 01:42:20.834]  We'll be right back.
[01:42:21.616 --> 01:42:23.858]  Look, I'm completely honest about history.
[01:42:23.918 --> 01:42:25.099]  I'm not a Russophile.
[01:42:29.722 --> 01:42:33.024]  The Russians might stage an attack on their own troops to go into Ukraine.
[01:42:33.385 --> 01:42:35.306]  That's what you do when you start a war.
[01:42:35.346 --> 01:42:36.427]  I mean, most governments do it.
[01:42:37.828 --> 01:42:39.469]  The question is, how many people will they kill?
[01:42:39.709 --> 01:42:43.252]  Or will the globalists attack them, and when the Russians fight back, call it a false flag?
[01:42:43.732 --> 01:42:44.513]  That's a big deal.
[01:42:45.633 --> 01:42:56.186]   But it doesn't take a political guru Or a political rocket scientist to know that they don't have wall-to-wall January 6th brainwashing that imminent terror attacks are coming.
[01:42:56.206 --> 01:42:59.007]  And they're going to have to do this with the election or do that with the election.
[01:42:59.047 --> 01:43:02.169]  Everybody they're fighting is white supremacist and all Republicans are terrorists.
[01:43:02.229 --> 01:43:06.951]  And Mitch McConnell doesn't come out last week and say, whoa, you're calling all your opposition domestic enemies?
[01:43:06.971 --> 01:43:07.611]  This is dangerous.
[01:43:08.111 --> 01:43:21.233]   Finally, I think Ali Alexander, one of the main organizers of Stop the Steal, The Republicans are getting, and I've got the quotes right here, that Biden and the Democrats want to quasi-outlaw the Republican Party.
[01:43:21.493 --> 01:43:23.714]  Because calling us racist hasn't worked.
[01:43:24.095 --> 01:43:32.078]  So now they're just going to move into, like they said, the FBI said last week, the deputy head of the Justice Department said, no, no, no, we're not worried about Al Qaeda.
[01:43:32.559 --> 01:43:37.681]  We're not worried about, no, no, we're worried about Trump supporters with no real evidence.
[01:43:38.742 --> 01:43:39.682]  So this is a big deal.
[01:43:39.702 --> 01:43:40.583]  That's why I keep harping on it.
[01:43:40.603 --> 01:43:41.043]  What do you think?
[01:43:42.363 --> 01:43:44.644]  It's the perfect convergence of evil.
[01:43:45.164 --> 01:43:54.169]  And that's what we saw, you know, with all of, with all of these astrological signs, astronomical signs, all of this occult stuff that was happening in 2020.
[01:43:55.010 --> 01:44:07.536]  We didn't really, I didn't really understand what it meant, but what it meant was a signal for the global elites to launch their reframing of peaceful citizens.
[01:44:07.816 --> 01:44:09.597]  This is the end of liberty, right?
[01:44:09.637 --> 01:44:10.938]  That era is over.
[01:44:11.516 --> 01:44:12.536]  For our technocrats.
[01:44:12.576 --> 01:44:17.938]  What they want is they want free citizens to be surveilled 24-7.
[01:44:17.998 --> 01:44:24.640]  And they think that that is freedom because we will get more material good and less metaphysical good.
[01:44:24.900 --> 01:44:28.941]  But we are here to rage against the machine and say, no, we won't go.
[01:44:29.081 --> 01:44:29.862]  We won't go.
[01:44:29.882 --> 01:44:32.402]  And we will be civilly disobedient.
[01:44:32.662 --> 01:44:34.143]  We will peacefully protest.
[01:44:34.543 --> 01:44:38.185]  And I gotta tell you, Alex, you know, I believe in the right of revolution.
[01:44:38.205 --> 01:44:41.526]  Maybe, you know, maybe you don't want me to say this, maybe no one wants me to say it.
[01:44:41.546 --> 01:44:42.246]  No, no, no, go ahead and say it.
[01:44:42.266 --> 01:44:43.747]  I believe in the Declaration of Independence.
[01:44:43.767 --> 01:44:46.168]  We have a right to overthrow a corrupt government.
[01:44:46.268 --> 01:44:50.830]  I'm saying at this point, they want to have a physical fight because we're intellectually winning.
[01:44:51.791 --> 01:44:59.654]  Right, and that's what, I wrote this, okay, on members.alialexander.org, if the team wants to bring up my July 4th post.
[01:45:00.354 --> 01:45:03.776]  I reaffirmed my commitment to the Declaration of Independence.
[01:45:04.238 --> 01:45:09.280]  Even though I'm being prosecuted, essentially, for saying the word 1776.
[01:45:10.720 --> 01:45:13.361]  And the committee asked me, why did you say 1776?
[01:45:13.541 --> 01:45:21.784]  Because that's when we declared our spiritual, metaphysical, and written Declaration of Independence.
[01:45:21.984 --> 01:45:24.184]  You're declaring your sovereignty.
[01:45:24.204 --> 01:45:25.785]  You're declaring the birth of the country.
[01:45:26.045 --> 01:45:28.906]  You're declaring the moment that the life began.
[01:45:29.326 --> 01:45:30.586]  And that scares them.
[01:45:30.807 --> 01:45:31.887]  Well, that means they're not Americans.
[01:45:32.884 --> 01:45:33.124]  Right.
[01:45:33.364 --> 01:45:36.586]  And it was the king that invaded America.
[01:45:36.986 --> 01:45:40.007]  It wasn't Americans that went to England looking for a fight.
[01:45:40.027 --> 01:45:43.569]  And so I tell my government, I declare my independence.
[01:45:44.129 --> 01:45:47.831]  Stop the steal.
[01:45:47.851 --> 01:45:50.032]  1776 and November 3rd was stolen.
[01:45:50.392 --> 01:45:52.773]  And I'm not going to kowtow and bow down.
[01:45:53.033 --> 01:45:59.156]  But I'm also not going to encourage a violent rebellion or revolution that would be doomed to fail and set back.
[01:45:59.797 --> 01:46:00.477]  Set back.
[01:46:01.957 --> 01:46:03.459]  Our liberties from around the world.
[01:46:03.479 --> 01:46:08.187]  So Alex, I just think it's so important that people listen to you.
[01:46:08.982 --> 01:46:13.485]  Listen to me, frankly, too, and follow this prudent, wise leadership.
[01:46:13.505 --> 01:46:21.129]  This is why you see so many people, you know, turning to their faith because the Republican Party has failed.
[01:46:21.149 --> 01:46:21.689]  But you're right.
[01:46:22.130 --> 01:46:28.113]  And to observe that Mitch McConnell and the rest of these hacks are realizing they're not coming for Alex Jones and Ali Alexander.
[01:46:28.533 --> 01:46:30.614]  They're coming for the whole kid in Caboodle.
[01:46:30.875 --> 01:46:33.136]  Believers, patriots, Southerners.
[01:46:33.616 --> 01:46:37.157]  You know, Jehovah's Witnesses, they're coming for everybody, okay?
[01:46:37.437 --> 01:46:49.460]  And to this end, on Spectator, on the American Spectator, spectator.org, my article, my op-ed is number one, it's been number one for eight days running, where I excoriated Mitch McConnell.
[01:46:49.480 --> 01:46:57.789]   I said, don't you compromise with them on what's called the Electoral Count Act, Which is really the anti-Alex Jones, Ali Alexander Peaceful Protest Act.
[01:46:58.109 --> 01:47:03.955]  The Electoral Count Act says no more electoral college objections ever again in the future.
