[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[01:33:59.158 --> 01:34:00.998]  I called that obsessive compulsive disorder.
[01:34:01.118 --> 01:34:02.199]  I called that a phobia.
[01:34:03.259 --> 01:34:04.260]  I advised therapy.
[01:34:04.480 --> 01:34:07.241]  Sometimes I would advise medications, depending on the severity.
[01:34:07.581 --> 01:34:08.682]  It was called an illness.
[01:34:09.423 --> 01:34:11.505]  Now, that's not a judgment against the child.
[01:34:11.545 --> 01:34:12.445]  It's an observation.
[01:34:13.186 --> 01:34:14.647]  If you're overweight, you diet.
[01:34:15.508 --> 01:34:21.452]  If you're afraid, if you're fearful, if you have a mental illness, a phobia, you get mental support.
[01:34:21.713 --> 01:34:22.593]  You get a therapist.
[01:34:22.894 --> 01:34:23.974]  You get a psychiatrist.
[01:34:24.615 --> 01:34:30.019]  Well, now, not only are we not pathologizing it, we are turning that into a virtue.
[01:34:30.039 --> 01:34:31.961]  I wear two masks.
[01:34:32.261 --> 01:34:32.421]  Huh.
[01:34:32.821 --> 01:34:33.842]  Well, I wear three.
[01:34:34.122 --> 01:34:34.903]  I'm better than you.
[01:34:35.583 --> 01:34:36.524]  I don't wear any mask.
[01:34:36.644 --> 01:34:37.465]  Well, then you're evil.
[01:34:38.234 --> 01:34:45.224]  There has been moral judgment placed upon people based upon how fearful they are and not in the right direction.
[01:34:45.644 --> 01:34:56.814]   That's why I wrote my book, United States of Fear, in November of this past year to explain how and why fear Not medicine, fear has been driving this pandemic from the very beginning.
[01:34:57.175 --> 01:35:10.047]  If we do not address the fear, if we do not expose fear for being a powerful and insidious and destructive emotion, far more powerful than love, far more powerful than hate, we are doomed.
[01:35:11.417 --> 01:35:15.739]  Well, and that's really what this is, and I don't want to make this a political thing.
[01:35:15.779 --> 01:35:21.542]  You didn't come on here to make this a political thing, but here in the year 2022, it just, it is.
[01:35:22.002 --> 01:35:23.182]  The lines have been drawn.
[01:35:23.302 --> 01:35:24.943]  The dust has settled.
[01:35:25.223 --> 01:35:27.484]  Trump's not in the White House anymore in 2020.
[01:35:27.765 --> 01:35:30.546]  You know, people were maybe a little confused, maybe curious.
[01:35:30.826 --> 01:35:32.607]  Okay, let's see what the deal with this virus is.
[01:35:32.647 --> 01:35:34.408]  Let's see if I get sick or my friends get sick.
[01:35:34.428 --> 01:35:35.828]  Let's see if people around me are dying.
[01:35:36.268 --> 01:35:37.189]  That's all gone now.
[01:35:37.689 --> 01:35:41.434]  And so, not to politicize this issue, because that's not what I intend to do here today.
[01:35:41.454 --> 01:35:43.115]  I don't know your politics, I don't care to.
[01:35:43.176 --> 01:35:44.998]  You're just telling the truth as a doctor here today.
[01:35:45.458 --> 01:36:00.434]   But I mean, what do we do when we see it's the same people promoting the masks, it's the same people promoting the vaccines, it's the same people promoting the fear, and then the ones that stand against that Are the ones that get censored, the ones that get demonized, the ones that get blamed for everything.
[01:36:00.894 --> 01:36:07.360]  How do we keep this to be a non-political issue, but a human issue and a health issue?
[01:36:08.020 --> 01:36:10.182]  How do we do that when it's been so politicized?
[01:36:11.343 --> 01:36:12.584]  It's very difficult, Owen.
[01:36:13.005 --> 01:36:15.266]  Because the country is divided into two groups.
[01:36:15.527 --> 01:36:16.728]  And I don't mean right and left.
[01:36:16.748 --> 01:36:18.329]  I don't mean conservatives and liberals.
[01:36:18.890 --> 01:36:21.532]  I mean the fearful and the non-fearful.
[01:36:22.549 --> 01:36:26.792]  Now, some of that is politically charged, and there are a lot of political correlates between those two.
[01:36:27.152 --> 01:36:33.957]  But I know a lot of people that would consider themselves and self-describe themselves as Republicans or conservatives who are also living in fear.
[01:36:34.377 --> 01:36:36.799]  So it is not perfectly politically driven.
[01:36:37.639 --> 01:36:44.844]  If we think about it that way, I think we can develop some empathy, some sympathy for people who are suffering, regardless of their political affiliations.
[01:36:45.344 --> 01:37:05.001]   And more importantly, those who are afraid and those who are not afraid can unite against the smaller group That is actually driving this, and that is the collusive trifecta, the witch's cabal, as I called it in May of 2020, of corrupt government, corrupt media, and corrupt corporations.
[01:37:05.441 --> 01:37:07.663]  Some of them are Republican, some of them are Democrat.
[01:37:08.084 --> 01:37:26.233]   They all have united in one direction, and that direction is to scare us, to keep us afraid, so that we can be controlled And we can become dependent upon them for decision-making over our children, over our schools, over our jobs, over our bodies.
[01:37:26.714 --> 01:37:30.196]  That is not a political issue, that is an American issue, that is a human issue.
[01:37:30.216 --> 01:37:37.762]  It is a critical one for all of us to see and to realize that the enemy is not your neighbor, the enemy is not your father, your brother, your boss.
[01:37:38.182 --> 01:37:45.107]  The enemy is the government, the media, and the corporations that are taking advantage of our fear right now to take over our lives.
[01:37:45.925 --> 01:37:56.796]  You know, that's one of my biggest frustrations when I hear people blaming somebody or a virus for the shutdown, saying, a virus shut us down, a virus closed my school, a virus did this, a virus did that.
[01:37:56.876 --> 01:37:58.237]  No, a virus didn't do any of that.
[01:37:58.317 --> 01:37:59.939]  Actually, a virus can't do any of that.
[01:37:59.999 --> 01:38:01.420]  The government is what did that.
[01:38:01.720 --> 01:38:02.862]  Let's not blame a virus.
[01:38:03.142 --> 01:38:04.003]  Let's blame the government.
[01:38:04.063 --> 01:38:04.984]  They did the shutdowns.
[01:38:06.500 --> 01:38:31.314]   Months after we had the COVID shutdown, or the government shutdown of our economy in the name of COVID, months after they decide to start putting out the masks, I mean, was that kind of the first time for you walking around seeing the masks, the nonsensical Healthy people wearing a mask and the fear jogging with a mask wearing a mask alone in your car people shower with masks sleeps with masks Was that kind of the first moment for you where you realize okay?
[01:38:31.634 --> 01:38:51.878]   Something else is going on here And that's when you started to have the internal discussion with yourself and then and then publicly discuss mass mental illness I would say the masks were the beginning point and they're the ongoing point and Of the fear and of the fuel that's driving this this car of terror and psychopathy in our country.
[01:38:51.998 --> 01:38:56.964]  And I think the reason for that is masks are essentially walking billboards of fear.
[01:38:57.625 --> 01:38:58.506]  That is what they are.
[01:38:58.526 --> 01:39:03.273]  A mask today says nothing other than I am afraid.
[01:39:03.982 --> 01:39:07.623]  No, it also says I'm better than you, but essentially it's I am afraid.
[01:39:08.104 --> 01:39:13.566]  If all the masks disappeared tomorrow, I believe the fear would start to dissipate as well.
[01:39:13.846 --> 01:39:26.371]  Without the visible reminder that we should be, need be, afraid, all the time, walking around, seeing other people with masks on, I don't think that this paranoid mass psychotic vehicle could continue.
[01:39:26.631 --> 01:39:27.271]  I really don't.
[01:39:27.812 --> 01:39:31.273]  And I wrote about that in my book, United States of Fear, in the beginning of the book.
[01:39:31.773 --> 01:39:51.157]  Where I describe how important it is for these cultural icons, these visible reminders of fear that have been indoctrinated and ingrained into our brains for the last 20 years, whether it's systemic racism, ecological collapse, toxic masculinity, rape culture, Donald Trump, white supremacy, all this nonsense.
[01:39:52.080 --> 01:40:05.196]  All of these things have primed us, have groomed us, the way that a child molester grooms a child, to normalize fear, to make it a good thing, to make it okay, so that when we're told to wear a mask, we didn't say, that's stupid, that's ridiculous, I'm not a fearful person.
[01:40:05.496 --> 01:40:07.459]  What we said was, absolutely, thank you.
[01:40:07.779 --> 01:40:10.002]  Can I have another mask, please, sir?
[01:40:12.040 --> 01:40:26.625]  I'm curious, have you, I mean I'm sure you have, I just don't know, but have you left California since 2020 and been to maybe Texas or Florida or a Montana or a Wyoming or somewhere where you don't have to walk outside and see the mass psychosis?
[01:40:26.645 --> 01:40:31.067]  Because I'm in an area in Austin, Texas where the fear-mongering over COVID is hitting us hard.
[01:40:31.107 --> 01:40:34.748]   Our mayor is demanding everybody get vaccinated, telling us the hospital I have.
[01:40:34.587 --> 01:40:39.547]   hospitalization rates doubling every day, which of course is just it's just obviously inaccurate.
[01:40:39.547 --> 01:40:43.228]   People be falling out of windows it'd be so it'd be so busy if that was the case. It's not,
[01:40:43.228 --> 01:40:47.947]   they're empty. I've been there. So have you been to an area where you're not walking around seeing
[01:40:47.947 --> 01:40:53.786]   the mass psychosis since 2020 and is it a refreshing feeling for you? I have. I've been
[01:40:53.786 --> 01:40:59.466]   to five states and I've also been to the territory of Puerto Rico and what I can tell you that I've
[01:40:59.466 --> 01:41:06.188]   seen consistently is that this is not a state by state problem. It is not a right and left problem.
[01:41:06.358 --> 01:41:08.004]  It is a urban and rural issue.
[01:41:08.684 --> 01:41:13.166]  If you go outside of major cities, even Los Angeles, people are largely acting normally.
[01:41:13.186 --> 01:41:14.026]  They are not afraid.
[01:41:14.366 --> 01:41:22.069]  If you go into a large city, even if it's in Florida or Texas, as you know, I was recently in Austin about two weeks ago filming with Plandemic 3 with Mickey Willis.
[01:41:22.649 --> 01:41:23.609]  People are scared.
[01:41:23.669 --> 01:41:24.730]  People are indoctrinated.
[01:41:25.010 --> 01:41:25.470]  And why?
[01:41:25.810 --> 01:41:28.271]  Because people in cities are dependent on government.
[01:41:28.551 --> 01:41:33.193]  People in rural areas are dependent on their families, the church, and their civic organizations.
[01:41:33.633 --> 01:41:34.633]  Very, very telling.
[01:41:34.673 --> 01:41:36.374]  Powerful stuff with Dr. McDonald.
[01:41:36.394 --> 01:41:37.314]  We will be right back.
[01:41:38.078 --> 01:41:42.020]  Back live here on the Alex Jones Show, Owen Schroer sitting in for Alex.
[01:41:42.041 --> 01:41:44.602]  We've got Dr. Mark McDonald on with us here.
[01:41:44.642 --> 01:41:51.226]  We're talking about mass psychosis, mass mental illness and the display of this since 2020.
[01:41:52.287 --> 01:42:02.673]  And you know, I would argue that this has been going on long before 2020, but the mask has become the flag of it, if you will, the advertisement, the publicity of it now.
[01:42:03.374 --> 01:42:05.255]  And so it's just in your face.
[01:42:06.120 --> 01:42:10.959]  And, you know, it's a weird thing, Doctor, and let's start the conversation back up this way, because...
[01:42:12.287 --> 01:42:18.411]  You know, I'll go to the grocery store, or I'll be at the gym or something, and I'll see somebody running in a mask.
[01:42:18.931 --> 01:42:22.173]  And part of me wants to say, hey, you know, that's not good.
[01:42:22.634 --> 01:42:25.676]  You're inhaling your carbon dioxide emissions.
[01:42:26.276 --> 01:42:27.537]  This is bad for your lungs.
[01:42:27.577 --> 01:42:28.577]  You could get hypoxia.
[01:42:28.597 --> 01:42:29.638]  There could be long-term damage.
[01:42:29.678 --> 01:42:31.619]  I wouldn't suggest wearing that mask.
[01:42:32.060 --> 01:42:36.483]  Or I see parents with their kids in masks at the store, and I say, hey, that's not good for your kids.
[01:42:36.543 --> 01:42:41.686]  Kids have a very low problem with COVID anyway, so it's not even a threat to them to begin with.
[01:42:42.046 --> 01:42:44.128]  And you're causing them to live in fear in this problem.
[01:42:44.568 --> 01:42:51.073]  But I understand too, because I studied psychology in college, that you have to be very delicate with people who are under mass psychosis.
[01:42:51.313 --> 01:42:53.095]  They can become dangerous very quickly.
[01:42:53.675 --> 01:42:55.757]  And so, how do we balance that?
[01:42:55.837 --> 01:43:07.586]  How do we balance wanting to help somebody that's living in fear under the mass psychosis versus realizing that, you know what, maybe I can't help them, and if I try, that could trigger a worse reaction.
[01:43:08.046 --> 01:43:08.907]  What do we do about that?
[01:43:10.137 --> 01:43:17.742]  Well, when you're getting to the last chapter of my book, United States of Fear, which is titled The Way Forward, and it answers that exact question.
[01:43:18.242 --> 01:43:26.747]  I'm working on another book right now, which is actually going to be Recovery from Fear, a 12-step program modeled after AA and Jordan Peterson's 12 Rules for Life.
[01:43:27.148 --> 01:43:35.453]  So, that should be coming out in a few months, and I'll give a really good step-by-step, manualized pathway forward for people to get rid of and recover from their fear.
[01:43:36.133 --> 01:43:45.119]  But in brief, what I described in the first book, United States of Fear, is that you need to first acknowledge that this is not a data war.
[01:43:46.159 --> 01:43:47.920]  The data war was won two years ago.
[01:43:48.341 --> 01:44:16.285]   Dr. Peter McCullough, Dr. Robert Malone, Brian Tyson, we have Probably a dozen people that I know personally as colleagues who have proven their points time and time again that masks do not work, that we do not need to rely on these so-called vaccinations, which are really just drugs and gene therapies, that we have alternatives and ways to treat this illness that will allow for nearly 100% of all the people infected to survive without hospitalization, certainly not with death.
[01:44:17.205 --> 01:44:18.885]  No, the problem is not that.
[01:44:18.925 --> 01:44:22.106]  The problem is not lack of data, lack of medical information.
[01:44:22.737 --> 01:44:24.398]  The problem is fear.
[01:44:24.518 --> 01:44:25.739]  The problem is psychology.
[01:44:25.779 --> 01:44:28.081]  The problem is mass delusional psychosis.
[01:44:28.481 --> 01:44:29.562]  We need to address that.
[01:44:30.263 --> 01:44:38.248]  And as a therapist, what I try to do is rather than beat people over the heads with data, even though it's true, you could pass out if you wear a mask while you're jogging.
[01:44:38.428 --> 01:44:39.249]  Absolutely true.
[01:44:39.489 --> 01:44:40.290]  That's not going to help.
[01:44:40.430 --> 01:44:41.331]  Believe me, I've tried.
[01:44:41.911 --> 01:44:44.493]  What you need to do is you need to acknowledge that people are scared.
[01:44:45.208 --> 01:44:47.870]  You need to first say, you look very anxious.
[01:44:48.250 --> 01:44:50.772]  You seem to be very concerned about your safety.
[01:44:51.052 --> 01:44:52.353]  Can you tell me more about that?
[01:44:52.654 --> 01:44:53.955]  What is it that you're afraid of?
[01:44:54.635 --> 01:44:55.736]  Let that person talk.
[01:44:55.796 --> 01:44:58.638]  Let that person share his fears or her fears with you.
[01:44:59.159 --> 01:45:20.289]   Once you understand where that person is coming from, and once that person acknowledges and accepts that you care about how he or she feels, Now you're in a much, much better position to offer advice, to offer solutions, to offer alternative ways of thinking that are more rational, that are more healthy, and that are more agentic, meaning more autonomous.
[01:45:20.949 --> 01:45:22.970]  That's the way to start the conversation.
[01:45:23.030 --> 01:45:23.950]  It's not to argue.
[01:45:24.250 --> 01:45:26.431]  It's to be empathic and to acknowledge the fear.
[01:45:26.811 --> 01:45:28.952]  Then that person will know that they're being heard.
[01:45:30.114 --> 01:46:07.307]   And you know it always you know we always want to come from a place of love and I guess that's the best way to kind of come from that place from from a more soft approachable manner because you talk about being an example so okay we don't go around wearing a mask and that's you know that's one of the oddest things to me I'll be at the gym and let's say there's a hundred people in there and there'll be two people wearing a mask and it's the same two people that have been wearing a mask for you know six months or whatever and I think to myself Why is it that they're not seeing everybody else around them not living in fear, everybody else around them not getting sick, not worried about touching gym equipment?
[01:46:07.767 --> 01:46:14.333]  We'll play basketball, sweating all over each other, sweating on the ball, you know, spitting and all this stuff, just normal human activity, not living in fear.
[01:46:14.973 --> 01:46:24.237]  And it kind of goes back to what you said earlier is that the mask is more of a flag of I'm better than you, I'm virtue signaling, I care more about other people.
[01:46:24.698 --> 01:46:38.284]  So how do you break down that barrier when they're not wearing the mask, maybe not even necessarily out of fear, but as a virtue signal to make the public stance that they're better than you because they're trying to stop COVID and you're not?
[01:46:39.921 --> 01:46:41.843]  Well, this is a very important distinction.
[01:46:42.483 --> 01:46:51.270]  As I said earlier, there are two groups, the fearful and the non-fearful, but there is a group that present themselves as being fearful when actually they're not fearful at all.
[01:46:51.932 --> 01:46:54.834]  They're just simply trying to show that they're good people.
[01:46:55.154 --> 01:47:12.027]  These are the people that walk into the restaurants wearing one, two, three masks, nodding their head at the maitre d', winking their eyes, saying, that's right, we all understand that we need to show that we're afraid, but then sits down at the table, rips all the masks off, and starts kissing and making out and coughing and sneezing.
[01:47:12.047 --> 01:47:16.811]  I mean, seriously, like, the pro-science, this is the least scientific thing you could ever see.
[01:47:17.654 --> 01:47:17.954]  Of course.
[01:47:18.074 --> 01:47:20.095]  I mean, this is London Breed in San Francisco.
[01:47:20.295 --> 01:47:25.078]  I got feel by the movement of Tony, Tony, Tony, so I just had to get up and dance without my mask on.
[01:47:25.438 --> 01:47:27.459]  And then when she was criticized for it, what did she say?
[01:47:27.819 --> 01:47:33.682]  She said, well, you know, there's a lot of policies that have been put in place that we really have to honor, and some of them are a little bit too strict.
[01:47:33.702 --> 01:47:35.183]  I wish we could do something about that.
[01:47:35.563 --> 01:47:37.904]  Well, Mrs. Mayor, you're the one who created the policies.
[01:47:37.944 --> 01:47:39.025]  Why don't you look in the mirror?
[01:47:39.045 --> 01:47:41.226]  I'm missing this time and time again.
[01:47:41.586 --> 01:47:46.546]   Gavin Newsom, Kamala Harris, Joe Biden, I mean all the politicians that push this stuff.
[01:47:46.546 --> 01:47:49.886]   They're all playing the game, they're all breaking the rules, and they're doing the
[01:47:49.886 --> 01:47:52.146]  same thing that the people in your gym are doing.
[01:47:52.146 --> 01:47:54.505]  They just got caught on camera, unfortunately.
[01:47:54.505 --> 01:47:58.945]   Well that's where I was going to go next because this is, well, it's just, there's so many
[01:47:58.945 --> 01:48:00.945]  examples of exactly what you're talking about.
[01:48:00.967 --> 01:48:02.647]  They're not wearing it for fear at all.
[01:48:02.667 --> 01:48:07.108]  I mean, you just had Eric Swalwell caught in Florida vacationing, not wearing a mask.
[01:48:07.588 --> 01:48:10.489]  Alexandria Ocasio-Cortez dancing, hugging, kissing.
[01:48:11.389 --> 01:48:13.710]  Transsexual who are sexually active, by the way.
[01:48:13.790 --> 01:48:18.731]  So, I mean, you're even opening yourself up to more disease, but she's kissing them, dancing with them, no mask.
[01:48:19.071 --> 01:48:23.152]  Pelosi in Florida, Newsom having giant dinners without masks.
[01:48:23.252 --> 01:48:26.513]  Obama with his 500-person party, nobody wearing a mask.
[01:48:27.053 --> 01:48:35.479]   So, I mean, Again, I want to not make this political because I realize when you make things political, you just shut off half the people that you're trying to reach.
[01:48:36.020 --> 01:48:38.322]  But I mean, how is it that they don't see that?
[01:48:38.402 --> 01:48:44.307]  How is it that they don't see that the very people that are telling them to live in fear aren't afraid of the virus themselves?
[01:48:46.616 --> 01:48:47.536]  Some of them are now.
[01:48:48.016 --> 01:49:06.721]  I had a patient who came in today who told me that his parents, who have been masking and vaccinating from day one, who have been at odds with him because he's an awake, alert, oriented, rational, non-fearful young adult, they finally caught this cold, this Omicron variant.
[01:49:07.781 --> 01:49:09.022]  And they've done everything right.
[01:49:09.942 --> 01:49:10.862]  They believed in it.
[01:49:11.582 --> 01:49:23.358]   And he turned to one of them today and he said to his mother, Gosh, you know, Dad must be the first breakthrough case of a triple vaccinated masked individual who actually caught this disease.
[01:49:24.479 --> 01:49:30.961]  And they stopped for a moment and they all started laughing because they realized they had been party to the farce.
[01:49:32.102 --> 01:49:41.586]  More and more people are realizing the Zoom class, as they called it in the Brownstone.org article that was published a couple days ago, the Zoom class is now getting sick.
[01:49:42.446 --> 01:49:48.290]  The ones that trouble and triple-masked and they got their boosters and their second boosters and they wore gloves and they stayed home and they socially distanced.
[01:49:48.310 --> 01:49:52.753]  They did all of this to save themselves from that awful disease because they're better people.
[01:49:53.153 --> 01:49:57.676]  There's far better people than you and I who go out and spread infection and kill grandma.
[01:49:58.017 --> 01:49:59.178]  They're catching it too.
[01:49:59.778 --> 01:50:01.099]  And so now the joke's on them.
[01:50:01.879 --> 01:50:08.604]  And so the idea of being virtuous, even though you and everyone else is still getting sick, it's not going to fly much longer.
[01:50:08.904 --> 01:50:12.217]   I think this cart Has finally run out of fuel.
[01:50:12.356 --> 01:50:14.356]  I don't think it's going to be able to proceed that way.
[01:50:14.356 --> 01:50:17.235]   That leads to my next big question, which will be right after this break.
[01:50:17.235 --> 01:50:23.577]   So I've got the trillion dollar question for Dr. McDonald here, but I want to get into
[01:50:23.577 --> 01:50:26.836]   one more thing because he mentioned it in the last segment before I asked him that.
[01:50:26.836 --> 01:50:31.957]   And you know, and I don't know if you've seen this, but when it's like we've crossed this
[01:50:31.957 --> 01:50:35.596]  barrier, it just makes me wonder if there's ever any return.
[01:50:35.883 --> 01:50:53.919]   When you see corporate emails going out and college email chains going out from professors and dean of students and whatnot, where they say you must wear a mask In the Zoom meetings, because some people are afraid of people that don't wear masks.
[01:50:53.959 --> 01:50:55.420]  So again, there's that element of fear.
[01:50:56.040 --> 01:50:59.841]  Or Syracuse University and others where they say, oh, you have to be vaccinated.
[01:50:59.861 --> 01:51:06.763]  In fact, there's a university here in Austin that's doing the same thing, saying you have to be vaccinated even if you're attending class digitally.
[01:51:06.803 --> 01:51:09.544]  So you're never on campus, you're never around anybody, even digitally.
[01:51:10.445 --> 01:51:14.106]  So now they're taking these mandates that they're pushing everywhere.
[01:51:15.313 --> 01:51:21.875]  To the digital forum, which to me just proves it was never about health, it was never about COVID, it was always about the mandates.
[01:51:22.336 --> 01:51:38.342]  So it's like, when you see people saying you have to wear a mask during a Zoom meeting where you're all alone in a room, or you have to be vaccinated to attend class on Zoom when you're all alone in a room, I mean, how do we even return from that level of psychosis and brainwashing?
[01:51:39.782 --> 01:51:41.603]  Well, we can't unless we withdraw.
[01:51:42.495 --> 01:51:43.755]  From that sort of nonsense.
[01:51:44.015 --> 01:51:45.556]  I saw the meme that's up right now.
[01:51:46.036 --> 01:51:46.916]  I read it this morning.
[01:51:47.056 --> 01:51:47.956]  I thought it was a joke.
[01:51:48.597 --> 01:51:48.977]  It's not.
[01:51:49.137 --> 01:51:49.557]  It's real.
[01:51:50.657 --> 01:51:54.078]  I had a patient that came in today who attends California State University.
[01:51:54.398 --> 01:52:04.961]  They're putting out the same, the same requests for the CSUN state campuses that you just saw on the screen for other universities and other schools.
[01:52:05.461 --> 01:52:06.261]  It's absurd.
[01:52:06.361 --> 01:52:07.142]  It's ridiculous.
[01:52:07.862 --> 01:52:22.067]   The only way In my view, that we can fight back against this is to acknowledge and expose this for what it is, which is a direct, overt request, demand for totalitarian control of our population.
[01:52:23.207 --> 01:52:38.395]  There is no regime in history, certainly not in the 20th century, that ever allowed for freedom of expression, freedom of speech, and more importantly, physical and bodily autonomy and respects for parents and children.
[01:52:39.344 --> 01:52:40.425]  And actually continued.
[01:52:41.985 --> 01:52:55.091]  Every single time that I've seen this in history, before a government takes over complete control, it issues absurd, ridiculous orders, a la George Orwell, 1984, Algis Huxley, Blade New World.
[01:52:55.971 --> 01:53:13.226]   It attempts to control people's thoughts and the use of language so that you cannot fight back with reason, you cannot fight back with rational decision-making and Immediate and necessary argumentation against what is absurd.
[01:53:14.227 --> 01:53:26.614]  We have a moment here where we can make a decision to stand up and say this is absurd, the emperor has new clothes, or we can cave in and we can continue to comply and we will lose all of our liberties and all of our freedoms and this country will be over.
[01:53:28.300 --> 01:53:29.720]  You know, and that's my fear.
[01:53:30.121 --> 01:53:32.841]  And that's why we do these broadcasts here at InfoWars.
[01:53:32.861 --> 01:53:34.182]  That's really what drives all this.
[01:53:34.222 --> 01:53:35.262]  Not that we're driven by fear.
[01:53:35.282 --> 01:53:37.042]  We're driven by love of freedom.
[01:53:37.062 --> 01:53:38.903]  We're driven by love of prosperity.
[01:53:39.643 --> 01:53:40.803]  And so we see that at threat.
[01:53:40.884 --> 01:53:43.064]  And so you've kind of already gotten into this answer.
[01:53:43.104 --> 01:53:44.625]  But here's the billion-dollar question.
[01:53:44.665 --> 01:53:46.165]  Here's the trillion-dollar question, really.
[01:53:46.937 --> 01:53:49.858]  How and when does all of this end?
[01:53:50.199 --> 01:53:52.100]  Because if it doesn't end, we know where it goes.
[01:53:52.460 --> 01:53:58.083]  And that's that just more mandates, constant mandates, no more freedom, 24-7 masks, vaccine every week.
[01:53:58.123 --> 01:54:02.465]  I mean, that's the medical fascistic tyranny that where this is going now.
[01:54:03.345 --> 01:54:08.588]  Or, how and when do you see this mass mental illness, mass psychosis ending?
[01:54:11.069 --> 01:54:15.569]   Owen, I don't see this ending until What I hope will happen happens.
[01:54:15.669 --> 01:54:18.011]  I'm not certain that it will, but I certainly hope that it will.
[01:54:18.791 --> 01:54:23.395]  We are seeing two things occurring right now at the same time in parallel.
[01:54:24.015 --> 01:54:30.980]  We are seeing an awakening or an opening up to the reality, to the truth of what's happening among the bulk of the population.
[01:54:31.781 --> 01:54:37.124]  That is not trying to destroy the country, nor are they the people who knew from the beginning that this was all a farce.
[01:54:37.164 --> 01:54:43.088]  The people that you might call the awake, the non-fearful, the conservatives, the independents, the republicans, whatever you want to call them.
[01:54:43.448 --> 01:54:48.591]  There's a larger group in the middle part of the country that is not very political, they just sort of want to do the right thing.
[01:54:48.971 --> 01:54:52.873]  And they've been conned, they've been lied to, for about two years now.
[01:54:54.014 --> 01:55:03.587]   As this is happening, as people are waking up to the lie, as the people who have been gone, as I said earlier, got two, three, four shots, All the masks, all the gloves, staying home, zooming it in.
[01:55:03.627 --> 01:55:08.031]  They're also getting sick and they're recovering perfectly well without any treatment, thank God.
[01:55:08.731 --> 01:55:21.481]  As this is happening, the powers, primarily in government, that are trying to continue to maintain a grasp and a hold over us, they are going double and triple down.
[01:55:22.580 --> 01:55:41.275]  They are pushing so far in the direction of absurdity, like the memes that you put up earlier about wear a mask when you're in front of a computer screen, which is absolutely absurd, that I think that this is an indication, and I say this because of my study of history, of the last gasp of a dying regime.
[01:55:41.955 --> 01:55:50.602]  Anytime an authoritarian power is about to lose that power, irrevocably, they always jump too far.
[01:55:51.457 --> 01:55:59.939]  And this is a good thing, because it will start to awaken, suddenly, the people to what has happened in the last two years.
[01:56:00.079 --> 01:56:07.621]  The ratcheting effect, the step-by-step, the incrementalism that's been going on for the last 20 months, it can't continue anymore.
[01:56:07.641 --> 01:56:09.601]  There's no more incrementalism to pull.
[01:56:09.621 --> 01:56:11.142]  There's no more ratcheting to turn.
[01:56:11.542 --> 01:56:14.583]  They have to jump into the complete theater of the absurd.
[01:56:15.183 --> 01:56:28.993]   And I believe that once this is seen, once this is revealed, and it is being revealed right now, I think that the middle part of America, the group of the 60% that are not politically active on either side, they are going to stand up and say no, they're going to push back.
[01:56:29.373 --> 01:56:33.901]  This is the only way forward that I can see, because if it doesn't happen, it's all over.
[01:56:34.986 --> 01:56:44.812]  You know, I'm seeing this in more commentary, what you just brought up, or I'm hearing this in more commentary rather, this, and you can debate the numbers, I've said it's 33, 33, 33, some people say 30%, 30%, 40%, but basically it's the same thing.
[01:56:44.652 --> 01:56:49.131]   some people say 30%, 30%, 40%, but basically it's the same thing.
[01:56:49.131 --> 01:56:56.212]   There's, to make a generalization, three mindsets or three classes of people right now
[01:56:56.980 --> 01:57:00.821]  There's the people that understand what's going on in relation to masks or vaccines.
[01:57:00.841 --> 01:57:01.602]  They're not wearing the mask.
[01:57:01.622 --> 01:57:02.622]  They're not getting the vaccine.
[01:57:03.042 --> 01:57:05.423]  And then there's the people that have fully bought into all of it.
[01:57:05.463 --> 01:57:06.704]  They love wearing their mask.
[01:57:06.724 --> 01:57:08.445]  They'll take as many vaccines as they can.
[01:57:08.465 --> 01:57:11.586]  They'll make sure that you and everybody they know know about it too, how great they are.
[01:57:12.086 --> 01:57:13.487]  And then there's the middle group of people.
[01:57:13.527 --> 01:57:16.588]  Some of them may lean more about, nah, I don't like masks or vaccines.
[01:57:16.608 --> 01:57:18.629]  Some of them may lean more, yeah, I will wear the mask.
[01:57:18.689 --> 01:57:19.569]  I will take the vaccine.
[01:57:19.589 --> 01:57:22.370]  But they're not really committed to either side.
[01:57:23.010 --> 01:57:26.632]  And you feel like this split, something's got to give.
[01:57:26.692 --> 01:57:28.572]  Because eventually, they're going to have to make the decision.
[01:57:28.872 --> 01:57:30.953]  Do I want to live in the mandate land?
[01:57:31.093 --> 01:57:33.774]  Do I want to live in a land of mandates and mass psychosis?
[01:57:34.054 --> 01:57:40.457]  Or do I want to go back to some semblance of normalcy, just so I can live my life like I was years before?
[01:57:42.344 --> 01:57:53.550]  The country, as you've heard frequently from this famous quote, was founded on the premise that our freedom is contingent on the ongoing virtue of the people.
[01:57:53.951 --> 01:57:55.371]  We need a virtuous people.
[01:57:55.552 --> 01:57:56.812]  We need a rational people.
[01:57:57.273 --> 01:57:59.174]  Without that, we cannot have freedom.
[01:57:59.874 --> 01:58:05.677]  Freedom comes with responsibility, and that responsibility is to use your brain to think for yourself.
[01:58:06.638 --> 01:58:10.320]  Because if you don't think for yourself, someone else will think for you.
[01:58:11.388 --> 01:58:12.969]  And they will not be thinking of you.
