[00:00:00.000 --> 00:00:02.000]  [Gun cocks]
[00:55:46.541 --> 00:55:49.963]  And Alex, you and I have both talked about this and reported on this.
[00:55:50.363 --> 00:55:51.464]  They're open about it.
[00:55:52.084 --> 00:55:54.286]  They're not offended by being called out.
[00:55:54.326 --> 00:55:57.568]  They're not offended by, oh, you're slandering us for being groomers.
[00:55:57.628 --> 00:56:00.430]  No, it's not them about being offended.
[00:56:00.450 --> 00:56:01.951]  It's about them being exposed.
[00:56:01.971 --> 00:56:04.453]  They go to city councils and say, we're grooming your children.
[00:56:05.416 --> 00:56:15.060]  Disney, Disney employees and producers are on record on Zoom meetings literally saying we have a not-so-secret gay agenda.
[00:56:15.620 --> 00:56:16.721]  Targeting your kids!
[00:56:17.121 --> 00:56:21.923]  Through our content, through our movies, through the stuff that we create through our art.
[00:56:22.603 --> 00:56:25.224]  Because again, no grown adult wants to have sex with them.
[00:56:25.544 --> 00:56:27.245]  These are literally organized predators.
[00:56:28.473 --> 00:56:35.799]  Absolutely, and they know they can get away with it because they just hide behind the rainbow flag because they've set themselves up as this protected class.
[00:56:35.819 --> 00:56:37.000]  Listen, I don't care.
[00:56:37.340 --> 00:56:42.705]  Gay, straight, trans, whatever, you go after children, I'm going to expose you.
[00:56:42.805 --> 00:56:47.469]  I don't care what, if there's an R next to your name, if there's a D next to your name, I don't care.
[00:56:47.489 --> 00:56:52.393]  That's right, they've bitten off more than they can chew, but pedophiles can't help but go after kids.
[00:56:52.753 --> 00:56:54.114]  So they're making their move right now.
[00:56:54.134 --> 00:56:56.256]  Drew Hernandez, how do you see this unfolding?
[00:56:57.679 --> 00:56:59.601]  I mean, I think this is going to continue to get worse.
[00:56:59.821 --> 00:57:03.664]  I think we're going to see more innocents continue to get violated.
[00:57:04.164 --> 00:57:17.915]  Because now you can't come out and report if there's a genuine case of a child being groomed and raped, and if it happens by an LGBTQ identifying person, it's going to be censored, it's going to be shut up.
[00:57:18.335 --> 00:57:21.157]  This is what they did against Ron DeSantis in Florida.
[00:57:21.498 --> 00:57:24.560]  He implemented anti-child grooming laws to protect children.
[00:57:24.800 --> 00:57:25.701]  That's where it came from.
[00:57:25.961 --> 00:57:29.064]  And they come out and they slander it as being an anti-gay bill.
[00:57:29.424 --> 00:57:35.629]  They hide behind this, Alex, and now they're hiding their pedophilia behind the LGBTQ flag and the rainbow flag.
[00:57:35.689 --> 00:57:36.890]  I think this is gonna get worse.
[00:57:37.410 --> 00:57:39.252]  Because now you're not able to call this out?
[00:57:39.632 --> 00:57:42.174]  And especially what's happening with you and Sandy Hook as well?
[00:57:42.394 --> 00:57:43.175]  I mean, what's next?
[00:57:43.415 --> 00:57:50.060]  Are you gonna get sued for legitimately reporting on a story of a child being groomed and raped by an LGBTQ person?
[00:57:50.580 --> 00:57:52.442]  I think the answer to that is possibly yes!
[00:57:52.942 --> 00:57:55.043]  The new precedent is being set by Alex Jones!
[00:57:55.284 --> 00:57:56.825]  And this is for anybody in the media!
[00:57:57.205 --> 00:57:57.625]  Anybody!
[00:57:57.645 --> 00:57:59.207]  It doesn't matter if you're left or right.
[00:57:59.287 --> 00:58:06.991]   If you are targeted by this regime, and you go out of line, you think out of line, you speak out of line, You are literally in the crosshairs.
[00:58:07.031 --> 00:58:08.452]  This is what people do not understand.
[00:58:08.472 --> 00:58:13.552]  Well, the left wants to abort all the kids they can't kill after abortion.
[00:58:13.572 --> 00:58:14.413]  They try to ruin with this.
[00:58:14.493 --> 00:58:15.933]  I mean, this is literally a cult.
[00:58:18.013 --> 00:58:19.013]  It's a death cult.
[00:58:19.253 --> 00:58:20.194]  It's a sex cult.
[00:58:20.334 --> 00:58:21.974]  It's a disgusting, perverted cult.
[00:58:22.194 --> 00:58:24.454]  They're obviously targeting children in many ways.
[00:58:24.714 --> 00:58:25.615]  And they're not going to stop.
[00:58:25.675 --> 00:58:26.655]  And they're open about it.
[00:58:26.715 --> 00:58:30.716]  And they just want to silence anybody because they want people to think that it's normal.
[00:58:30.736 --> 00:58:32.976]  This is Sodom and Gomorrah level type stuff, Alex.
[00:58:33.676 --> 00:58:34.697]  I'm not going to put up with it.
[00:58:34.777 --> 00:58:35.917]  You're not going to put up with it.
[00:58:35.997 --> 00:58:38.698]  The chat and the followers and the listeners are not going to put up with it.
[00:58:38.738 --> 00:58:40.879]  I don't care what you identify as politically.
[00:58:41.299 --> 00:58:44.080]  Do not let anyone target the innocence of children.
[00:58:44.100 --> 00:58:44.561]  Well, that's right.
[00:58:44.601 --> 00:58:47.162]  They're censoring gays against groomers right now.
[00:58:47.642 --> 00:58:50.003]  So it seems like everything's accelerating.
[00:58:50.023 --> 00:58:50.963]  In fact, it doesn't seem like it.
[00:58:51.003 --> 00:58:51.323]  It is.
[00:58:51.723 --> 00:58:54.064]  Drew Hernandez, when we come back, what's next?
[00:58:54.124 --> 00:58:57.206]  If they're openly promoting pedophilia, what will they do next?
[00:58:57.226 --> 00:58:58.226]  Drew Hernandez is our guest.
[00:58:58.385 --> 00:59:18.186]  I'm Alex Jones at Footwars.com.
[00:59:19.191 --> 00:59:27.055]   And here is the widow of John McCain just a year and a half ago admitting That she and Senator McCain knew about Jeffrey Epstein was doing.
[00:59:27.495 --> 00:59:29.696]  We all knew about it, but you did nothing.
[00:59:29.996 --> 00:59:31.797]  But I first exposed it 15 years ago.
[00:59:31.837 --> 00:59:36.079]  So remember, when you're against Infowars, you are literally supporting the rape of our children.
[00:59:36.459 --> 00:59:39.421]  And those attacking us, we know are in bed with this.
[00:59:39.701 --> 00:59:40.041]  Here it is.
[00:59:41.308 --> 00:59:42.408]  No, it's like everything.
[00:59:42.808 --> 00:59:45.929]  It hides in plain sight.
[00:59:46.029 --> 00:59:47.330]  Epstein was hiding in plain sight.
[00:59:47.390 --> 00:59:48.230]  We all knew about him.
[00:59:48.690 --> 00:59:49.850]  We all knew what he was doing.
[00:59:50.291 --> 00:59:56.052]  But we had no one that was, no legal aspect that would go after him.
[00:59:56.152 --> 00:59:56.972]  They were afraid of him.
[00:59:57.012 --> 00:59:58.773]  For whatever reason, they were afraid of him.
[00:59:59.514 --> 01:00:01.075]  Because he was blackmailing so many people.
[01:00:01.135 --> 01:00:02.796]  But it's our job not to be afraid.
[01:00:03.116 --> 01:00:03.637]  And we're not.
[01:00:03.757 --> 01:00:04.858]  Not giant judgments.
[01:00:05.218 --> 01:00:05.798]  Not lies.
[01:00:05.858 --> 01:00:06.399]  Not prison.
[01:00:06.419 --> 01:00:07.179]  We won't back down.
[01:00:07.499 --> 01:00:08.740]  Drew Hernandez, we've got eight minutes left.
[01:00:08.760 --> 01:00:09.921]  I'm going to give you the floor, my friend.
[01:00:10.121 --> 01:00:11.102]  You're always on fire.
[01:00:11.442 --> 01:00:12.983]  Lay out what we're facing and what we're dealing with.
[01:00:14.361 --> 01:00:18.523]  Alex, I think the next step here is parents need to pay attention to what's happening.
[01:00:18.543 --> 01:00:20.704]  They're openly targeting your children.
[01:00:20.744 --> 01:00:25.647]  They're openly wanting to groom your children in the public school system.
[01:00:26.067 --> 01:00:29.789]  I think the next step here is obviously the media is going to be censored.
[01:00:30.189 --> 01:00:37.494]  Any independent voice, any sane-minded individual that's speaking out against this grimmer agenda is now going to be silenced on social media.
[01:00:37.734 --> 01:00:41.696]  But we always see what happens on the internet begins to happen in the real world.
[01:00:41.736 --> 01:00:42.717]  That's what happened with you.
[01:00:42.737 --> 01:00:56.386]   I think the next step as well is people probably will be sued for For exposing a gay pedophile, or an LGBTQ pedophile, or anyone that identifies with that community, which they probably will start to do, just to hide to continue to target children.
[01:00:56.746 --> 01:01:00.909]  But the next step, they're already doing this Alex, is they're going to target the parents.
[01:01:01.450 --> 01:01:13.859]  If something happens to your child in this public school system, if your child gets touched, molested, or raped by- Oh remember in Virginia where they raped a girl, it turned out to be true, and Obama came out and defended it, and they sent the FBI in.
[01:01:14.039 --> 01:01:15.280]  It's already happening, you're right.
[01:01:15.896 --> 01:01:17.277]  Exactly, exactly.
[01:01:17.337 --> 01:01:32.884]  It's gonna happen on steroids, Alex, and you won't be able to say anything, you won't be able to defend yourself legally, you won't be able to come out and defend your child, because if you do, you're a bigot, you hate homosexuals and transsexuals, and you hate the LGBTQ community.
[01:01:33.144 --> 01:01:39.927]  No matter what happened, if your child got touched or groomed, you need to shut up, and put up, and just listen to what we want you to do.
[01:01:40.027 --> 01:01:42.348]  And think about the political grooming of that.
[01:01:42.788 --> 01:01:44.028]  They're ruining their innocence.
[01:01:44.068 --> 01:01:47.450]  This is literally a political party signed on to pedophilia.
[01:01:48.530 --> 01:01:49.430]  Think about it, Alex.
[01:01:49.510 --> 01:01:51.011]  I was reading the Bible this morning.
[01:01:51.051 --> 01:01:51.951]  I was thinking about you.
[01:01:51.971 --> 01:01:56.813]  I was thinking about the InfoWars family and the crew, the great crew that's behind the control room right now.
[01:01:56.853 --> 01:01:58.093]  I love every single one of you guys.
[01:01:58.593 --> 01:02:00.654]  I'm looking at the getter chat right now in real time.
[01:02:00.714 --> 01:02:03.235]  They want you all to know they love you, Alex, and the crew.
[01:02:03.255 --> 01:02:10.277]  I was reading the Bible this morning in Acts chapter 5, and when the disciples and the apostles were preaching the gospel, they were teaching the doctrines of Jesus.
[01:02:10.777 --> 01:02:18.784]  They were getting persecuted, they were getting arrested, they were losing their freedoms and God kept helping them and intervening by divine power and divine intervention.
[01:02:19.324 --> 01:02:33.096]  But eventually they stood before the council and the religious Pharisees were saying, we told you guys not to teach the doctrines of Christ, not to preach in the name of Christ, we told you not to do this.
[01:02:33.656 --> 01:02:37.920]  And their response was, we ought to obey God rather than men.
[01:02:38.501 --> 01:02:40.545]  That's exactly where we are right now, Alex.
[01:02:40.625 --> 01:02:46.697]  The Apostle Paul also said those who desire to live godly in Christ Jesus will suffer persecution.
[01:02:47.038 --> 01:02:47.619]  Here we are.
[01:02:48.266 --> 01:02:49.067]  We're witnessing it.
[01:02:49.167 --> 01:02:57.452]  It's not just preaching in the name of Christ, it's living in the name of Christ, and preaching the doctrines of the righteousness of God in Christ.
[01:02:57.812 --> 01:03:12.202]  That's where you've been for decades, Alex, pushing back on the central theme of Bible prophecy, the second coming of Jesus Christ, which is accompanied by globalism, a one-world religious system, a one-world government, and a one-world dictator.
[01:03:12.242 --> 01:03:13.543]  And Drew, I have a bunch of clips.
[01:03:13.583 --> 01:03:16.625]  They're everywhere saying, you'll take a ship to buy and sell now.
[01:03:16.705 --> 01:03:17.886]  It's all being fulfilled.
[01:03:18.806 --> 01:03:19.727]  That's where we are.
[01:03:19.927 --> 01:03:23.608]  So it's no surprise that we're moving into a time of persecution.
[01:03:23.688 --> 01:03:34.512]  I don't think the West in the United States of America has experienced some harsh persecution like we see in the Middle East or in times past in the past 2,000 years that the church has experienced.
[01:03:35.093 --> 01:03:36.453]  Now we're moving into that direction.
[01:03:36.493 --> 01:03:38.694]  I mean, you take a look at this show trial with you, Alex.
[01:03:38.814 --> 01:03:42.435]  I was shocked looking at that closing argument against you.
[01:03:42.475 --> 01:03:43.556]  They made one statement.
[01:03:44.196 --> 01:03:50.959]  And the statement that so-called attorney made was, I hope we never see someone like Alex Jones ever again.
[01:03:50.979 --> 01:03:52.400]  It's too late.
[01:03:52.920 --> 01:03:54.000]  It is way too late.
[01:03:54.381 --> 01:03:56.061]  Because we are all Alex Jones.
[01:03:56.441 --> 01:03:57.402]  I am Alex Jones.
[01:03:57.502 --> 01:03:59.023]  Everyone listening is Alex Jones.
[01:03:59.263 --> 01:04:02.644]  This is way beyond the name and the person of Alex Jones.
[01:04:02.904 --> 01:04:04.305]  These are American freedoms.
[01:04:04.825 --> 01:04:11.931]  This is the spirit of freedom that will carry on that brought us to this point right now in 2022 that birthed this nation.
[01:04:12.251 --> 01:04:14.033]  It's never going away.
[01:04:14.333 --> 01:04:20.198]  No matter if they kill you, if they kill me, they put us in prison and blacklist us for the rest of our lives.
[01:04:20.518 --> 01:04:24.001]  There will be a million others to sprout and take our place.
[01:04:24.301 --> 01:04:27.724]  It's inevitable because that is the human will to survive.
[01:04:27.764 --> 01:04:29.805]  That is the human will to be free.
[01:04:30.166 --> 01:04:32.027]  This is what these people don't understand.
[01:04:32.087 --> 01:04:34.069]  They can try to persecute us all they want.
[01:04:34.389 --> 01:04:43.137]  All that's going to do is cause more of us to rise and to speak up and push back on this satanic agenda and show us who is the real and show us who is the fake, Alex.
[01:04:43.157 --> 01:04:43.978]  So be encouraged.
[01:04:44.498 --> 01:04:45.499]  I totally agree, brother.
[01:04:45.559 --> 01:04:47.421]  Please come back on for a full hour this week.
[01:04:47.821 --> 01:04:48.882]  The amazing work you're doing.
[01:04:48.902 --> 01:04:50.043]  I want your response to this.
[01:04:50.444 --> 01:04:55.848]  Since I mentioned this, here is clip seven.
[01:04:56.269 --> 01:04:59.271]  Here they are, microchips to buy and sell in Sweden.
[01:04:59.311 --> 01:04:59.652]  There it is.
[01:05:02.321 --> 01:05:06.242]  When Elias Brodberger goes to work, he doesn't need ID.
[01:05:07.163 --> 01:05:09.024]  And he doesn't need money.
[01:05:09.364 --> 01:05:15.926]  In fact, much of what he needs to get through the day is hidden right there, just below the surface, in his hand.
[01:05:16.346 --> 01:05:16.906]  Can I touch it?
[01:05:16.986 --> 01:05:17.267]  Yeah.
[01:05:18.407 --> 01:05:19.227]  Oh, weird, yeah.
[01:05:19.247 --> 01:05:20.668]  It's like a grain of rice.
[01:05:20.688 --> 01:05:21.388]  Yeah, a grain of rice.
[01:05:22.028 --> 01:05:27.971]  Embedded in his hand is a microchip that serves as his keys, his ID, and his wallet.
[01:05:28.491 --> 01:05:29.451]  Yeah, it's all in chips.
[01:05:29.551 --> 01:05:31.292]  I use it to get around the building.
[01:05:31.912 --> 01:05:32.612]  Buy snacks.
[01:05:32.792 --> 01:05:33.372]  Yeah, exactly.
[01:05:33.732 --> 01:05:34.532]  Let's buy some snacks.
[01:05:34.753 --> 01:05:35.973]  So I can't open it?
[01:05:36.173 --> 01:05:36.373]  No.
[01:05:36.573 --> 01:05:36.973]  Okay.
[01:05:37.013 --> 01:05:40.013]  So what I need to do is I need to... So they talk to you like you're a monkey.
[01:05:40.253 --> 01:05:41.994]  Oh, look, you get snacks when you have it.
[01:05:42.894 --> 01:05:45.734]  The point is, this is their control grid.
[01:05:46.174 --> 01:05:49.835]  Drew Hernandez, I'm going to show the whole clip here, but just in closing, your comments on this.
[01:05:51.015 --> 01:05:51.875]  I mean, there it is.
[01:05:51.995 --> 01:05:53.636]  I mean, the Bible foretold this, Alex.
[01:05:53.836 --> 01:05:54.376]  It's clear.
[01:05:54.456 --> 01:05:55.716]  None of us should be surprised.
[01:05:55.736 --> 01:06:03.814]   How incredible is it 2,000 years ago, John on the Isle of Patmos had a literal vision That an angel gave him, and now it's here.
[01:06:04.855 --> 01:06:05.655]  And now it's here.
[01:06:05.735 --> 01:06:14.261]  That there will be a mark on the wrist or the forehead that humans have to receive as an act of worship, and the number accompanied by it is 666.
[01:06:14.581 --> 01:06:16.582]  That is the number of the mark of the beast.
[01:06:16.622 --> 01:06:21.265]  And we have to submit to what the world government says to even have it work, which is a social credit score.
[01:06:22.286 --> 01:06:22.806]  Absolutely.
[01:06:22.886 --> 01:06:28.129]  And not only is the technology there, Alex, but the spirit of this is there as well.
[01:06:28.189 --> 01:06:42.068]   Post-2020 and the so-called pandemic, We saw the entire globe willing to bow down to tyranny in the name of safety and security and to save lives, all because of a virus that came from Wuhan, right?
[01:06:42.368 --> 01:06:54.792]  So I think the whole world is prepared to bow the knee to a one-world religion, one-world dictator, a one-world system and economy in order to save their own lives.
[01:06:54.872 --> 01:06:55.272]  That's right.
[01:06:55.292 --> 01:06:59.434]  They shut the economy off to bring us a submission and then tell us, do this and you'll be taken care of.
[01:07:00.296 --> 01:07:06.021]  You, I know we're honored to be censored for exposing these people, but how do folks find you where it's uncensored?
[01:07:07.282 --> 01:07:12.426]  Yes, so right now you guys could continue to follow me for now on Twitter at Drew H Live.
[01:07:12.466 --> 01:07:22.814]  It's the same on Getter and Truth Social, but my show will continue on on Rumble on the Turning Point USA Rumble channel and also on Real America's Voice wherever it streams.
[01:07:23.455 --> 01:07:24.495]  You can go find the app.
[01:07:24.635 --> 01:07:28.077]   I will be Streaming my show every single night at 730 p.m.
[01:07:28.097 --> 01:07:29.138]  Pacific Standard Time.
[01:07:29.378 --> 01:07:30.459]  That's 1030 p.m.
[01:07:30.559 --> 01:07:31.579]  Eastern Standard Time.
[01:07:31.919 --> 01:07:33.140]  I can't wait to see you guys there.
[01:07:33.220 --> 01:07:34.241]  All the Infowars family.
[01:07:34.261 --> 01:07:35.701]  And Alex, I can't wait to see you soon.
[01:07:36.062 --> 01:07:37.262]  I'll come out and see you very soon.
[01:07:37.622 --> 01:07:39.263]  Drew, your spirit gives me hope.
[01:07:39.363 --> 01:07:39.844]  I love you.
[01:07:39.864 --> 01:07:40.424]  I want you to know that.
[01:07:40.444 --> 01:07:40.784]  I love you.
[01:07:41.805 --> 01:07:42.325]  I love you, brother.
[01:07:42.345 --> 01:07:42.805]  I'm here for you.
[01:07:43.205 --> 01:07:43.445]  Love you.
[01:07:43.465 --> 01:07:46.127]  We're going to do this together, folks.
[01:07:46.147 --> 01:07:46.987]  We're coming for our children.
[01:07:47.007 --> 01:07:47.888]  There goes Drew Hernandez.
[01:07:48.428 --> 01:07:48.768]  All right.
[01:07:49.028 --> 01:07:56.028]  Norm Paddis joins us on the biggest show trial in history.
[01:07:56.028 --> 01:08:03.028]  Resistance to tyrants is obedience to God.
[01:08:04.028 --> 01:08:09.028]  Resistance to tyrants is obedience to God.
[01:08:08.984 --> 01:08:13.006]  It's Alex Jones.
[01:08:13.066 --> 01:08:21.390]  So we have a corrupt corporate global fascist power structure that launches all these illegal wars, torture, narcotics trafficking, devaluation of currencies, you name it.
[01:08:21.710 --> 01:08:24.051]  And they need to legitimize themselves.
[01:08:24.111 --> 01:08:26.072]  So they're mad at the independent media.
[01:08:26.432 --> 01:08:28.193]  They're mad at the public asking questions.
[01:08:28.833 --> 01:08:31.815]  They thought their old corporate media would survive during the age of the Internet.
[01:08:31.995 --> 01:08:32.315]  It's not.
[01:08:32.995 --> 01:08:43.403]  So they pick a few things I did out of context to blow up as huge crimes and then try to openly say, we're going to shut down Alex Jones and we're going to shut down everybody else.
[01:08:43.764 --> 01:08:49.928]  And I have a stack of articles, CNN, MSNBC, Washington Post, New York Times, Slate.
[01:08:50.249 --> 01:08:54.472]   I have more than 15 articles saying, We're going to shut Alex Jones down.
[01:08:54.492 --> 01:08:55.894]  We're going to shut Tucker Carlson.
[01:08:56.374 --> 01:08:57.535]  We're going to shut Joe Rogan.
[01:08:57.555 --> 01:09:00.798]  We're going to shut everybody down and only allow our truth.
[01:09:01.439 --> 01:09:08.685]  And this SJW judge in Austin last week said, don't say you comply with Discovery.
[01:09:08.705 --> 01:09:09.506]  You're a liar.
[01:09:09.806 --> 01:09:10.887]  I decide reality.
[01:09:12.008 --> 01:09:14.310]  And don't say you're in bankruptcy.
[01:09:14.391 --> 01:09:15.071]  That's not true.
[01:09:15.131 --> 01:09:15.592]  No, we are.
[01:09:16.052 --> 01:09:17.033]  I decide reality.
[01:09:17.473 --> 01:09:18.294]  Like O'Brien in 1984.
[01:09:20.779 --> 01:09:27.962]  Quite a moment to be alive, but here's one of the plaintiff's lawyers in Austin Friday, in closing statements.
[01:09:29.402 --> 01:09:32.283]  He said, take away his megaphone, shut him down, shut others down like him.
[01:09:32.603 --> 01:09:45.088]  Here's just a small part of his hour-long closing where he said, this isn't about Sandy Hook children, it isn't about the parents, people questioning, it's about silencing opposition, standing on the dead bodies of children.
[01:09:45.108 --> 01:09:45.488]  Here it is.
[01:09:46.847 --> 01:10:00.558]  I ask that with your verdict, you not only take Alex Jones' platform that he talks about away, I ask that you make certain he can't rebuild the platform.
[01:10:01.118 --> 01:10:02.139]  That's what matters.
[01:10:04.221 --> 01:10:14.329]  Take him out of this discourse, of this misinformation, of this peddling of lies, and make sure he can't do it again.
[01:10:16.004 --> 01:10:17.045]  That is punishment.
[01:10:18.046 --> 01:10:19.127]  That is deterrence.
[01:10:19.507 --> 01:10:20.188]  That's silencing.
[01:10:23.370 --> 01:10:24.992]  That's silencing.
[01:10:25.052 --> 01:10:29.635]  Misinformation spreads six times faster than the truth.
[01:10:30.136 --> 01:10:33.439]  According to the graduate student out of there.
[01:10:35.000 --> 01:10:38.403]  Alex Jones found a way to monetize that.
[01:10:39.449 --> 01:10:41.590]  Boy, did he find a way to monetize it.
[01:10:42.471 --> 01:10:52.355]  And in monetizing that, he made a wealth, a huge, huge amount of money.
[01:10:52.375 --> 01:10:57.098]  I hope that we never see someone like him again.
[01:10:58.979 --> 01:11:01.520]  I hope that with your verdict, he can go away.
[01:11:03.960 --> 01:11:13.367]  Alex Jones is patient zero for our society's inability to speak without lies.
[01:11:15.028 --> 01:11:15.609]  I believe it.
[01:11:17.790 --> 01:11:22.454]  He is patient zero for alternative facts.
[01:11:23.835 --> 01:11:24.976]  You heard it on that stand.
[01:11:25.556 --> 01:11:25.756]  Ms.
[01:11:25.596 --> 01:11:30.036]   This carpoval on that stand literally used the words alternative facts or alternative
[01:11:30.036 --> 01:11:33.596]  reality, something like that.
[01:11:33.596 --> 01:11:35.596]  Sickening.
[01:11:35.596 --> 01:11:40.796]  So, you could teach a college course on that, two minutes.
[01:11:40.796 --> 01:11:50.795]  [BLANK_AUDIO]
[01:11:43.411 --> 01:11:45.932]  You need to silence him, so we have truth.
[01:11:46.513 --> 01:11:47.073]  That's tyranny.
[01:11:47.953 --> 01:11:52.795]  And then they misrepresent what we said, and they say, oh, he's made all this money, what, lying about WMBs in Iraq?
[01:11:53.615 --> 01:11:54.956]  Or puberty blockers for little boys?
[01:11:56.777 --> 01:11:57.517]  It's all lies.
[01:11:58.317 --> 01:12:00.898]  But it shows where they're going and what they're doing.
[01:12:01.238 --> 01:12:12.719]   So I asked Orm Padas, Who is our lawyer on Sandy Hook in Connecticut coming up to spend a few segments with us to lay out why folks are calling this the show trial of the century and what he witnessed and saw.
[01:12:13.039 --> 01:12:13.900]  Norm, thanks for being here.
[01:12:13.940 --> 01:12:16.723]  Go ahead and just start front to end if you will.
[01:12:17.423 --> 01:12:28.650]  Yes, you know, the case began as an ordinary tort action, a personal injury action, although I guess your Texas lawyer, Mr. Raynell, couldn't refer to the lawyers as personal injury lawyers.
[01:12:28.690 --> 01:12:31.712]  They found that offensive and the judge sustained that objection.
[01:12:31.972 --> 01:12:41.378]  But it began as an ordinary case involving misstatements that the Sandy Hook family families felt you'd made about their children's deaths.
[01:12:42.279 --> 01:12:43.580]  And you did make some.
[01:12:43.960 --> 01:12:49.203]  And they comprise a very small segment of your total broadcasting bandwidth.
[01:12:49.563 --> 01:13:00.708]  I think Mr. Raynell calculated it's something like 0.15% of one percentage point, not 15%, but 0.0015 of all the 10,000 hours of broadcasting you've done in the last decade.
[01:13:04.750 --> 01:13:10.034]  But yet, if you look at Sandy Hook and Alex Jones online, you are the Sandy Hook guy.
[01:13:10.495 --> 01:13:22.104]  And at trial, they showed isolated snippets of your Sandy Hook presentations to try to inspire passion, prejudice, and sympathy for the plaintiffs against you.
[01:13:22.124 --> 01:13:23.885]  And they succeeded in some regards.
[01:13:24.446 --> 01:13:28.169]  They were assisted by unusual rulings from the court.
[01:13:28.849 --> 01:13:36.114]  You were subject in Texas, as you have been in Connecticut, to what are known as, in Texas at least, as death penalty sanctions.
[01:13:36.354 --> 01:13:37.494]  You suffered a default.
[01:13:37.995 --> 01:13:52.564]  And that default was because you were unable to satisfy the plaintiff's lawyers and the judges with your business records, with the ability to retrieve information about how InfoWars had historically operated.
[01:13:53.164 --> 01:13:59.369]  And they contended that your inability to do that was a lie or willful misconduct.
[01:13:59.909 --> 01:14:13.059]  And that because you lied or engaged in willful misconduct by failing to disclose information they asserted you had, without proof, you should suffer the inability to defend yourself.
[01:14:13.717 --> 01:14:30.642]  Now, you know, I've been involved in your cases for the better part of three and a half years now, off and on, and I have spent weeks, maybe months at this point, on the campus there in Austin, making every effort to comply with discovery orders.
[01:14:30.742 --> 01:14:37.024]  I've interviewed people, spent a couple days once just walking around trying to figure out who did what.
[01:14:37.625 --> 01:14:41.306]  I've asked many, many times for records of people who have them.
[01:14:42.006 --> 01:14:48.813]  I've searched for the answer to every question that the Connecticut plaintiffs, at least, have put to you.
[01:14:49.293 --> 01:14:51.275]  And when we found them, we gave them.
[01:14:51.736 --> 01:14:54.758]  But when we couldn't find them, we didn't lie or make them up.
[01:14:54.899 --> 01:14:55.900]  We just said we don't have them.
[01:14:56.778 --> 01:15:00.120]  And so they went to a judge and said, we don't think they're telling the truth.
[01:15:00.601 --> 01:15:01.561]  They must have them.
[01:15:02.062 --> 01:15:03.723]  Look at the gross revenue there.
[01:15:03.803 --> 01:15:10.528]  Forget the expenses you have, the taxes you paid, the alimony you paid, you know, to your first wife.
[01:15:10.848 --> 01:15:11.729]  Forget all of that.
[01:15:11.869 --> 01:15:18.994]  They just took a look at the high number and they said, with 80 people there and this kind of money flowing through, this has to be like IBM.
[01:15:19.874 --> 01:15:20.274]  It's not.
[01:15:21.598 --> 01:15:21.999]  It's not.
[01:15:22.639 --> 01:15:23.780]  And the court didn't believe it.
[01:15:23.820 --> 01:15:26.582]  And so there's a perfect example that's late in the litigation.
[01:15:27.722 --> 01:15:31.885]  Questions arose about certain ledgers that you had produced in Connecticut.
[01:15:32.325 --> 01:15:40.511]  And you brought in a certified public accountant who'd once worked for a major Fortune 500 company.
[01:15:40.551 --> 01:15:41.712]  I'm not going to mention his name.
[01:15:42.432 --> 01:15:44.373]  You gave him complete access to your books.
[01:15:44.834 --> 01:15:47.996]  He addressed some of the shortcomings and they called him a liar.
[01:15:48.676 --> 01:15:54.162]  And the trial judge, without any contravailing or countervailing evidence, agreed.
[01:15:54.683 --> 01:16:08.619]  And as a result of your inability to organize your firm to their satisfaction, you lost the ability to defend your speech, even to present to a jury the meaning of your speech in what it meant.
[01:16:09.199 --> 01:16:15.864]  And where it gets worse, and I believe, you know, I didn't get a chance to watch every minute of the Austin trial.
[01:16:16.324 --> 01:16:20.447]  I tried to watch as much as my schedule permitted from up here in Connecticut on YouTube.
[01:16:20.967 --> 01:16:38.759]  But I saw a moment where the judge said, and I don't know if she said it in the jury's presence or if it was only outside the presence of the jury, that as a result of the so-called liability default, the court reached the conclusion that you had no defense and therefore imposed liability on you.
[01:16:39.579 --> 01:16:42.261]  You were never charged with being disorganized.
[01:16:42.741 --> 01:16:44.662]  You were never charged with wasting money.
[01:16:45.063 --> 01:16:51.827]  You were never charged with being too charismatic for your own good and not having an MBA at the helm or better organization.
[01:16:52.227 --> 01:16:54.108]  What you were charged with was speech.
[01:16:54.648 --> 01:16:55.689]  Offensive speech.
[01:16:56.209 --> 01:17:01.613]  And the plaintiffs were to prove that as a result of your offensive speech, they were proximately armed.
[01:17:02.532 --> 01:17:04.392]  That is, that they suffered legal harm.
[01:17:04.432 --> 01:17:09.914]  That your conduct, your speech acts, were a substantial factor in the harm that they endured.
[01:17:10.714 --> 01:17:14.795]  At trial, the jury didn't get to hear much about your defense.
[01:17:15.315 --> 01:17:16.255]  Yeah, let's explain that.
[01:17:16.315 --> 01:17:22.457]  I'm found guilty by the judge, and then they come back and they tell them I'm guilty and they don't let us put on a defense.
[01:17:22.977 --> 01:17:26.698]  What this means, the precedent it sets with Norm Pattis straight ahead.
[01:17:27.938 --> 01:17:28.798]  It's just unbelievable.
[01:17:29.079 --> 01:17:30.499]  But look, it's par for the course, folks.
[01:17:30.939 --> 01:17:32.260]  The globalists are committing crimes.
[01:17:32.280 --> 01:17:33.000]  They're taking over.
[01:17:33.321 --> 01:17:35.462]  They can't win if people have free speech.
