[00:00:00.290 --> 00:00:00.791]  It's here.
[01:37:05.186 --> 01:37:10.146]  Here's Trump's statement on Truth Social.
[01:37:10.146 --> 01:37:11.565]  Our legal system is corrupt.
[01:37:11.565 --> 01:37:16.445]   Our judges and justices are highly partisan, compromised, or just plain scared.
[01:37:16.445 --> 01:37:20.506]   Our borders are open, our elections are rigged, inflation is rampant, gas prices and food
[01:37:20.506 --> 01:37:25.146]   costs are through the roof, our military leadership is woke, our country is going to hell, and
[01:37:25.146 --> 01:37:27.025]  Michael Sussman is not guilty.
[01:37:27.025 --> 01:37:29.306]  How's everything else doing?
[01:37:29.306 --> 01:37:34.065]  Enjoy your day.
[01:37:34.065 --> 01:37:37.225]  And we've given $60 billion to Nazis.
[01:37:37.172 --> 01:37:40.615]  Azov battalion drops neo-Nazi symbol exploited by Russian propagandist.
[01:37:41.977 --> 01:37:42.077]  Oh.
[01:37:44.919 --> 01:37:45.380]  Incredible.
[01:37:47.181 --> 01:37:48.943]  But he's been a very busy man.
[01:37:49.443 --> 01:38:01.723]   I've been trying to get him on for two weeks, but he's been so busy with the big law firms they've got across the United States have been in their offices and Los Angeles was five, six beautiful floors of CPAs and lawyers.
[01:38:02.504 --> 01:38:11.489]  And what's so important about this is, the system created loopholes when they passed the income tax in 1913, and they changed it every couple years.
[01:38:12.069 --> 01:38:17.652]  Where when you hear about, Jeff Bezos pays zero taxes, but makes $30 billion a year.
[01:38:18.493 --> 01:38:25.477]  Or when you hear Elon Musketing criticize he wasn't paying taxes, he said, all right, well all the other billionaires aren't, but I'll go ahead and pay $16 billion.
[01:38:26.800 --> 01:38:28.080]  Because I want jobs in America.
[01:38:28.981 --> 01:38:30.181]  He actually builds factories here.
[01:38:30.822 --> 01:38:31.522]  I'm saying he's perfect.
[01:38:32.222 --> 01:38:35.463]  And you read about Google pays 1% tax in all of this.
[01:38:35.483 --> 01:38:38.164]  They've got it all set up where they basically pay nothing.
[01:38:38.945 --> 01:38:44.567]  Now, if you don't write the laws, you don't get the same thing they get where they write them for themselves.
[01:38:45.267 --> 01:38:53.570]  But there's the next level right below that, and you can go to law firms and pay them huge amounts of money, and they do this assessment and drag it on for months and charge you huge amounts of money.
[01:38:54.010 --> 01:39:08.930]   The reason we have American tax solutions Is because they give great advice, they look at your returns, they look at your history, and quickly, in days or a week or so, give you an answer and sign on to it so you're protected.
[01:39:09.310 --> 01:39:15.938]  It's not just tax forgivance, it's not just getting your tax bill cut by 90%, it's not just getting your passport back if you've got back taxes and they revoked it.
[01:39:17.102 --> 01:39:19.366]  It's hundreds of services that they've got.
[01:39:19.546 --> 01:39:20.507]  And I use them.
[01:39:21.349 --> 01:39:21.889]  They're great.
[01:39:22.110 --> 01:39:27.718]  And again, they cut to the chase and then give you a letter signed that they stand behind it.
[01:39:28.419 --> 01:39:29.962]  And then you're protected, ladies and gentlemen.
[01:39:31.857 --> 01:39:32.837]  This is so important.
[01:39:32.877 --> 01:39:34.938]  So I was sitting here two weeks ago and I said, I want you on.
[01:39:34.958 --> 01:39:37.419]  He said, listen, I'm having to hire more people.
[01:39:37.479 --> 01:39:38.339]  We're going all over.
[01:39:38.359 --> 01:39:41.300]  They were already hiring before they even got them as a sponsor.
[01:39:42.261 --> 01:39:45.882]  And, you know, they've got people like Sean Hannity, you name it, as folks promoting.
[01:39:45.902 --> 01:39:46.842]  So they've been around a long time.
[01:39:46.882 --> 01:39:47.522]  They're big folks.
[01:39:48.023 --> 01:39:49.023]  That's why I knew they were.
[01:39:49.043 --> 01:39:50.043]  I knew they had a great record.
[01:39:50.063 --> 01:39:51.204]  That's why I reached out to them.
[01:39:51.224 --> 01:39:52.604]  They're like, yeah, we're listeners.
[01:39:53.905 --> 01:39:55.165]  We'd love to work with you, Alex.
[01:39:56.645 --> 01:39:57.046]  And so.
[01:39:58.308 --> 01:40:02.811]  Tyler Bennett is a tax professional lawyer and the owner-operator of Tax Reform America Tax Solutions.
[01:40:02.831 --> 01:40:07.134]  When you go to JonesTaxRelief.com, it's their same website, same services.
[01:40:07.674 --> 01:40:12.537]  Then they can just gauge the sponsorship, whether they're going to up the sponsorship or keep it the same.
[01:40:12.597 --> 01:40:13.978]  And they've been upping their sponsorship.
[01:40:14.939 --> 01:40:19.281]  Before we had those Bitcoin donations, we would not have been able to make payroll without their sponsorship.
[01:40:20.435 --> 01:40:28.700]  Tyler Bennett doesn't just have great services that will save you a massive amount of money, but so quick and easy, but it then keeps this broadcast on the air.
[01:40:28.740 --> 01:40:32.823]  So it's a 360 win, a symbiotic relationship.
[01:40:32.863 --> 01:40:37.867]  The only way you fail is not writing down the URL jonestaxrelief.com.
[01:40:38.067 --> 01:40:39.768]  One word, jonestaxrelief.com.
[01:40:41.499 --> 01:40:42.560]  Or call 833-900-4285.
[01:40:42.580 --> 01:40:42.880]  833-900-4285.
[01:40:42.900 --> 01:40:49.343]  We'll put that URL on screen.
[01:40:49.824 --> 01:40:53.225]  JonesTaxRelief.com.
[01:40:55.347 --> 01:40:59.789]  And again, they've had thousands and thousands and thousands of people call up and get their services.
[01:40:59.809 --> 01:41:00.189]  That's great.
[01:41:00.389 --> 01:41:01.890]  We have millions of listeners an hour.
[01:41:02.471 --> 01:41:08.534]  I don't care if you work at a cafeteria, or pump gas, or whether you're a farmer, a rancher, a doctor, a lawyer, or a millionaire.
[01:41:11.260 --> 01:41:15.582]  Fortune and Money Magazine have all done these profiles.
[01:41:15.622 --> 01:41:16.362]  You see it every year.
[01:41:16.382 --> 01:41:19.083]  30 different tax returns, 30 different answers.
[01:41:19.844 --> 01:41:21.544]  50 different tax returns, 50 different answers.
[01:41:22.185 --> 01:41:33.730]  And almost all of them just screw you over, especially the big firms and the big tax groups, because they're part of the system and they don't want the general public understanding this and knowing this.
[01:41:33.750 --> 01:41:38.632]  So it's a very important situation with inflation and all the things out there hurting everybody.
[01:41:39.557 --> 01:41:45.001]  To be able to do things tax-wise that's legal and lawful that allows you to keep all your money.
[01:41:45.021 --> 01:41:49.264]  We wouldn't even be here if I hadn't gotten great tax advice in the last few years.
[01:41:49.724 --> 01:41:53.767]  And so this is so important for everybody and I want you to be successful.
[01:41:53.847 --> 01:41:54.787]  I want you to save money.
[01:41:55.348 --> 01:42:00.071]  I don't want you to be bankrupt like the globals want us all to be and on their universal basic income.
[01:42:00.111 --> 01:42:03.253]  So knowing their tricks, knowing their loopholes is beyond critical.
[01:42:03.273 --> 01:42:05.955]  We've got a bunch of current examples of this and a bunch of news.
[01:42:05.995 --> 01:42:08.977]  We're going to be going over with Tyler Bennett joining us today.
[01:42:09.497 --> 01:42:10.677]  Thank you so much for coming on today.
[01:42:11.978 --> 01:42:14.198]  Great to be here, Alex, back on the show.
[01:42:14.778 --> 01:42:15.618]  And you know what?
[01:42:15.879 --> 01:42:21.220]  There's those three trifecta of things that the government has and the globalists have out against you.
[01:42:21.280 --> 01:42:22.240]  It's inflation.
[01:42:22.620 --> 01:42:30.502]  And as you mentioned, it is the control, the war on information of knowledge so that you don't have the information you need to make the informed decision.
[01:42:30.942 --> 01:42:37.567]  And then as one of the people who just called in had just mentioned, the third part of it is taxation without representation.
[01:42:37.607 --> 01:42:47.235]  And that is so big because even though our founding fathers started this country based on that concept, no taxation without representation, that's exactly what we have now.
[01:42:47.875 --> 01:42:50.217]  And you really can't do anything about it.
[01:42:50.297 --> 01:42:52.659]  Yes, go down to your local hall.
[01:42:53.179 --> 01:42:55.962]  I say participate in local politics as much as possible.
[01:42:56.242 --> 01:43:00.065]  But at the end of the day, you still have the IRS and the feds to deal with, as well as your state.
[01:43:00.465 --> 01:43:15.797]  And the thing is, if you can't get proper representation because you're not in Congress, you're not connected family-wise to the globalists, what you need is an advocate that's a legal representative who's going to fight for your rights and represent you upon that matter.
[01:43:15.897 --> 01:43:16.697]  That's what we do.
[01:43:17.098 --> 01:43:26.484]   And Alex, it's just like you said, it doesn't matter if you have money, if you don't have any money, you need to make sure you're paying the government Who has admitted that they don't like you.
[01:43:26.564 --> 01:43:27.585]  They want to make you broke.
[01:43:27.625 --> 01:43:35.070]  They want to take away your dream of owning property and you rent so that, you know, they can have their globalist agenda.
[01:43:35.090 --> 01:43:47.937]   And so what we intend to do and what we do for your listeners, for the rest of my clients, Is we provide the options that have typically only been available by the elitist, by the globalist, by those in power.
[01:43:48.257 --> 01:43:49.918]  And we make those options useful, too.
[01:43:50.218 --> 01:43:53.620]  We've talked a lot about corporations already.
[01:43:53.640 --> 01:43:54.600]  We'll talk about that more today.
[01:43:54.620 --> 01:44:04.505]  But what we haven't spoke about yet is a very simple five letter word that, you know, the elitists have been using since the beginning of time to maintain power.
[01:44:04.785 --> 01:44:05.846]  And it's called a trust.
[01:44:05.926 --> 01:44:09.868]   Right now, when you think about a trust right off the bat, You might be bored.
[01:44:09.908 --> 01:44:11.709]  You know, a trust law is so boring.
[01:44:11.749 --> 01:44:12.630]  It's so complex.
[01:44:12.950 --> 01:44:14.130]  Yes, Alex, that's right.
[01:44:14.191 --> 01:44:15.832]  Because think about it.
[01:44:15.892 --> 01:44:26.838]  It's the one information, the more complex they can make something just like the tax laws, then they know you're not going to be able to study and up on it and know what happens when they're screwing you over for their benefit.
[01:44:27.159 --> 01:44:32.202]  So the thing is, this is many people hear the word trust and like, I don't have enough assets to have a trust.
[01:44:32.562 --> 01:44:33.382]  Not the case.
[01:44:33.683 --> 01:44:38.888]   If you have Anything at all, a little amount, a large amount, guess what?
[01:44:38.908 --> 01:44:46.635]  If it's not protected, either the government or somebody else can take it, and that's where a trust comes in to protect you and your family's future from the government.
[01:44:46.655 --> 01:44:51.440]  And you guys are trust experts, not an army of folks ready to do it for whatever people's particular needs are.
[01:44:51.760 --> 01:44:55.925]  Like if somebody's got a gun collection of 10 guns or 100 guns, they need to have those in a trust.
[01:44:57.145 --> 01:44:58.765]  Absolutely, Alex, because you need it.
[01:44:58.986 --> 01:45:03.067]  Honestly, I've said this before is if you're right here, your money is right here.
[01:45:03.107 --> 01:45:06.267]  We need the most amount of space between you and your assets.
[01:45:06.387 --> 01:45:10.469]  And the way we accomplish that is through trust instruments and through corporate instruments.
[01:45:10.989 --> 01:45:12.669]  And again, it depends on what your goal is.
[01:45:12.689 --> 01:45:17.971]  Give us a call and we will get the right bespoke option for you.
[01:45:18.031 --> 01:45:19.831]  I've got people standing by the phones right now.
[01:45:19.871 --> 01:45:20.451]  Give us a call.
[01:45:21.031 --> 01:45:22.392]  If you don't get through, give us a call again.
[01:45:22.412 --> 01:45:35.312]   Alex, like you said, you It's a it's a it's a big it's a big thing we got lots of people calling us and I'm very glad that this is a 360 win for everybody but keep in mind every cent that you pay to the government
[01:45:36.155 --> 01:45:43.097]  Is going to things that you don't believe in, Ukraine, Hunter Biden's legal defense, etc, etc.
[01:45:43.518 --> 01:45:51.280]  So it's your duty as a patriotic American to pay the least amount as possible to the regime, to the globalists.
[01:45:51.660 --> 01:46:01.344]  And we are experts in making that happen, whether it's through a corporate structure or a trust structure or a myriad of the two.
[01:46:01.624 --> 01:46:04.665]  We're also going to talk about adjustment to the give tax to the inflation.
[01:46:05.862 --> 01:46:06.983]  There's so many things.
[01:46:07.023 --> 01:46:10.606]  We're going to be talking about how to protect yourself in inflation, housing exemptions.
[01:46:11.347 --> 01:46:13.568]  We're going to be looking at so many.
[01:46:13.909 --> 01:46:14.689]  There's a bunch of points.
[01:46:14.709 --> 01:46:17.692]  I'm going to shut up when we come back and have you just go through all this, Tyler.
[01:46:17.712 --> 01:46:21.215]  You've really prepared a lot of key info for folks out there.
[01:46:21.255 --> 01:46:25.638]  They need to understand whether they're very wealthy, whether they're middle class, whether you're just a working class person.
[01:46:25.658 --> 01:46:26.259]  It doesn't matter.
[01:46:26.839 --> 01:46:29.461]  There are loopholes and there are tactics.
[01:46:29.481 --> 01:46:30.682]  There are legal things for you to do.
[01:46:30.963 --> 01:46:32.744]  The only way you fail is not taking action.
[01:46:32.764 --> 01:46:33.204]  We'll be right back.
[01:46:34.232 --> 01:46:41.843]  But the globalists always exempt themselves from the injections and the taxes and the rules they put on the rest of us.
[01:46:42.705 --> 01:46:44.648]  And they don't want you to know about that.
[01:46:45.629 --> 01:46:48.073]  Or they want you to pay exorbitant amounts of money for that information.
[01:46:50.011 --> 01:46:51.773]  Well, Tyler Bennett's here with us right now.
[01:46:52.353 --> 01:47:02.202]  And just because tax season's over, now is the time when you've got even more time to really easily, quickly, so simply do really magic things here.
[01:47:02.262 --> 01:47:06.526]  So, Tyler Bennett, you've got a lot of notes here, a lot of big topics you want to share with people.
[01:47:06.546 --> 01:47:09.708]  You're really giving out the secrets to the hat trick here, the card trick here.
[01:47:09.969 --> 01:47:12.091]  Lay it out for us at jonestaxrelief.com.
[01:47:13.929 --> 01:47:14.649]  Absolutely, Alex.
[01:47:14.689 --> 01:47:25.253]  So one of the most important things to understand right now about taxation is how inflation, which is the single biggest force in the country right now, is affecting it all.
[01:47:25.513 --> 01:47:28.434]  Because if you don't understand it, you're going to pay more in taxes.
[01:47:28.474 --> 01:47:29.994]  Let me give you a few examples.
[01:47:30.394 --> 01:47:39.982]   So the tax code is indexed for inflation, meaning that the inflation that the Government believes 3% a year or so it goes up that much.
[01:47:40.302 --> 01:47:47.051]  For example, from $11.5 million lifetime exemption, which I'll explain what that means in a second, it's now $12 million.
[01:47:47.271 --> 01:47:53.620]  What that means is your entire life, you can give out $12 million of gifts before it hits your estate.
[01:47:53.900 --> 01:48:01.063]  That's one way, knowing these rules and how it's gone up a little bit, that we can actually feng shui the system and get you to pay the least amount of taxes.
[01:48:01.083 --> 01:48:03.984]  But let me tell you something a little bit more insidious, OK?
[01:48:04.044 --> 01:48:13.628]  Because gift tax is actually indexed for inflation, but there's several provisions of the tax code that affect many people in the middle class.
[01:48:14.088 --> 01:48:17.951]  Everybody that are not in fact indexed for inflation.
[01:48:18.751 --> 01:48:21.013]  For example, housing exemptions, okay?
[01:48:21.092 --> 01:48:26.452]   the housing exemption of a quarter million dollars on your single family or your house
[01:48:26.452 --> 01:48:34.851]   that you live in when you sell it, non-investment just where you live, there is a $250,000 individual
[01:48:34.851 --> 01:48:40.452]   or $500,000 if you're married exemption on the capital gains from that property.
[01:48:40.452 --> 01:48:41.572]  Well here's the thing Alex.
[01:48:41.687 --> 01:48:45.208]  That law was put into place 25 years ago.
[01:48:45.648 --> 01:48:58.674]  And if you do the math between what $250,000 is worth today, it's a lot closer to a million dollars because we've experienced 80% inflation in the last 25 years.
[01:48:59.054 --> 01:49:01.155]  And that has not even been indexed.
[01:49:01.215 --> 01:49:04.556]  It is still the original numbers that they decided in 1997.
[01:49:06.357 --> 01:49:14.323]  Well, I don't think anything happened in 1997 is really relevant now, especially the money and what it was worth before inflation.
[01:49:14.603 --> 01:49:21.748]  So that's one example where if you're if you're not set up correctly, if you don't give me a call and we can make sure we, you know.
[01:49:22.429 --> 01:49:26.852]  Get you in the proper entity in the proper setup proper trust going forward.
[01:49:26.973 --> 01:49:31.196]  You sell that property inflation is going to make sure you pay more in taxes.
[01:49:31.756 --> 01:49:32.597]  So that's one example.
[01:49:32.837 --> 01:49:52.854]   Here's another example that hits a lot of our older audience members here is if you're receiving Social Security, you know that if you receive more than $25,000 a year in addition to that your Social Security which you already paid 10 years of paying into the system to get becomes taxable and at that point it's taxed at 50%.
[01:49:53.634 --> 01:50:03.544]  That again is another provision in the tax code that has existed since 1997 with no changes to that provision.
[01:50:03.824 --> 01:50:10.571]  With people on Social Security who have paid into the system, it's kind of adding insult to injury to say they owe taxes on that.
[01:50:11.031 --> 01:50:20.355]  On top of it, but that again is another one of these things that many people probably just pay and don't actually know that we can help you out with that with the proper entity setup.
[01:50:20.755 --> 01:50:22.636]  So here's the other thing is the states.
[01:50:22.976 --> 01:50:23.837]  The states are no better.
[01:50:24.077 --> 01:50:30.700]  OK, 41 out of 50 states do not index their their tax rates for inflation at all.
[01:50:31.140 --> 01:50:31.520]  Any of them.
[01:50:31.720 --> 01:50:32.921]  Now, there are nine states that do.
[01:50:32.961 --> 01:50:36.622]  But clearly, as I'm telling you, they base it on the IRS.
[01:50:36.842 --> 01:50:37.883]  And so we're behind.
[01:50:38.403 --> 01:50:55.112]  So you got it the only way out of that problem is to pay a flat tax rate because if you're paying a flat tax rate doesn't matter how much how devalue the US currency is that means you're paying the same amount in taxes when it's when you're when you're in a graduated rate system.
[01:50:55.852 --> 01:51:10.049]  Then if the rate of inflation does not go up at the same amount, you're necessarily paying more in taxes while you make the same amount of money, which is worth less, as you know, when you go into the gas station or go to buy a gallon of milk.
[01:51:10.369 --> 01:51:12.132]  So it's certainly hitting you from two ways.
[01:51:12.512 --> 01:51:15.596]  And it's very important that you know these things.
[01:51:16.196 --> 01:51:17.238]  So that we can help you.
[01:51:17.278 --> 01:51:19.680]  Because awareness of the problem is the first step.
[01:51:20.181 --> 01:51:23.505]  Then you can get someone in your corner to fight, okay?
[01:51:23.905 --> 01:51:27.309]  If you got Mike Tyson, the IRS, in the other side of the corner, okay?
[01:51:27.790 --> 01:51:29.011]  You don't want to stand up to them alone.
[01:51:29.112 --> 01:51:31.494]  You need a boxer that's bigger, better, and you're going to take them out.
[01:51:31.735 --> 01:51:33.557]  And that's where we step into the picture.
[01:51:34.057 --> 01:51:37.658]  So listen, that's what smart tax planning is all about.
[01:51:37.678 --> 01:51:51.722]  OK, it's knowing how not just the tax code is changing every year in preparing for it, but also how other economic events such as inflation, such as the changing laws play into that as well.
[01:51:52.322 --> 01:51:55.983]  And what we can do here is absolutely make sure you pay less.
[01:51:56.949 --> 01:52:05.533]  If all I really need is you give me your tax return you filed out last year, I will show you all the spots where we could have taken advantage of and will do next year.
[01:52:05.553 --> 01:52:10.096]  And then you're going to ask why your CPA or law firm didn't do that when it's the law.
[01:52:10.536 --> 01:52:12.297]  Why don't they do that, Tyler?
[01:52:13.470 --> 01:52:17.773]  The reason that they don't do it is because most CPAs are risk adverse.
[01:52:17.813 --> 01:52:31.961]  That means when the IRS does their IRM, the Internal Revenue Manual Bulletin every year, they go off of those things that the IRS is saying, this is what our non-lawyers have interpreted the law to be.
[01:52:32.781 --> 01:52:38.383]  That's what I've been told by top CPAs here in Austin that have given me the same advice you've given me.
[01:52:38.823 --> 01:52:40.864]  They said, look, the whole IRS is social engineering.
[01:52:40.884 --> 01:52:41.884]  It doesn't even run the country.
[01:52:42.184 --> 01:52:43.025]  They just print the money.
[01:52:43.365 --> 01:52:46.786]  This is so the rich and powerful can buy everything up.
[01:52:46.826 --> 01:52:52.148]  And so the public is basically being sapped to keep us non-competitive and consolidate control.
[01:52:52.168 --> 01:52:53.888]  That's basically feudalism.
[01:52:54.408 --> 01:52:59.368]   And so the IRS puts out this report and says, well, we don't like this, we don't like that.
[01:52:59.368 --> 01:53:02.606]   Even though it's the law and people go, oh, well, the bully says,
[01:53:02.606 --> 01:53:04.667]  I don't get the same law as the elite.
[01:53:04.667 --> 01:53:07.448]   And then they just screw you over because you don't have knowledge.
[01:53:07.448 --> 01:53:08.568]  It's totally sick.
[01:53:08.568 --> 01:53:10.288]  It's totally evil.
[01:53:11.274 --> 01:53:25.668]  So your average tax preparer or CPA firm, tax prep firm, when that IRM bulletin comes out, they are going to look at it and they're not, you know, CPAs by their nature are not advocates.
[01:53:25.828 --> 01:53:27.290]  They are risk adverse.
[01:53:27.570 --> 01:53:32.195]  They just want to get the return done and not get in trouble themselves.
[01:53:32.555 --> 01:53:35.517]  They don't care about making sure you have the least amount of taxes paid.
[01:53:35.817 --> 01:53:48.803]  That's where an advocate, a tax attorney, comes into the picture because what a tax attorney does, what we do, is we don't care what the IRS, what some clerk down there interpreted the Internal Revenue Manual to be.
[01:53:49.243 --> 01:53:55.266]  We know what the actual law is and we will assert your rights because it's your right as a taxpayer to not pay one penny more than you owe.
[01:53:56.447 --> 01:54:00.806]   the chase. A lot of law firms, you've got CPH2, kind of drag you through, milk you,
[01:54:00.806 --> 01:54:05.407]   do all this stuff. In most cases, you just look at right away where they can save money
[01:54:05.407 --> 01:54:10.286]   and then they legally lawfully do it and then you guys just get a percentage of it basically.
[01:54:10.286 --> 01:54:15.006]   Right. So when you call us, basically we're going to let you know what your situation
[01:54:15.006 --> 01:54:20.207]   is, how we can help and what we, you know, our attorneys over here think the best way
[01:54:20.892 --> 01:54:23.374]  It's up to you if you want to make that move or not.
[01:54:23.634 --> 01:54:35.041]  But what I'm telling you is for you, me, and everyone in the audience, it would not make sense to pay, you know, people who admit openly that they hate you, and give them your money, okay?
[01:54:35.061 --> 01:54:36.843]  Let's expand on this, we're going to break, but this is key.
[01:54:37.623 --> 01:54:43.625]  You guys routinely get 90% back tax forgivance just because your lawyers are not a call to negotiate.
[01:54:43.865 --> 01:54:49.886]  That's just one of the services, but that's one that everybody is the penalties and interest are piling up should be calling you and doing that.
[01:54:49.926 --> 01:54:52.547]  If you try to negotiate, it's going to be terrible.
[01:54:52.567 --> 01:54:53.187]  We'll be right back.
[01:54:53.207 --> 01:54:53.647]  Stay with us.
[01:54:53.868 --> 01:54:54.928]  This is secret info.
[01:54:56.628 --> 01:54:58.729]  There's been another mass shooting in a high school.
[01:54:58.749 --> 01:54:59.929]  We're getting the tales right now.
[01:54:59.949 --> 01:55:01.330]  So does that get it?
[01:55:01.370 --> 01:55:02.330]  I'll break it here on air.
[01:55:04.383 --> 01:55:05.644]  True tragedies are around us.
[01:55:05.664 --> 01:55:07.106]  That's the reason we need good guys with guns.
[01:55:07.146 --> 01:55:08.367]  Protect us from bad people with guns.
[01:55:08.988 --> 01:55:11.911]  But we have Tyler Bennett, who is a great tax lawyer.
[01:55:11.951 --> 01:55:12.972]  Cuts right to the chase.
[01:55:13.793 --> 01:55:14.513]  It's who I use.
[01:55:14.593 --> 01:55:16.695]  It's who you should use, ladies and gentlemen.
[01:55:16.715 --> 01:55:17.977]  And it's a 360 win.
[01:55:18.537 --> 01:55:24.537]   Tomorrow's news today, I never steer people wrong, they stand behind this.
[01:55:24.537 --> 01:55:28.617]   They literally stand behind what they tell you and cut right to the chase and save you
[01:55:28.617 --> 01:55:29.617]  so much money.
[01:55:29.617 --> 01:55:32.376]  Hundreds of different options they can do for anybody.
[01:55:32.376 --> 01:55:36.976]   Go to jonestaxrelief.com, that takes you right to American Tax Relief and that way we get
[01:55:36.976 --> 01:55:39.416]  credit and it keeps us on the air at 360WIN.
[01:55:39.416 --> 01:55:42.457]   You're crazy if you don't make the call and get a consultation, ladies and gentlemen.
[01:55:42.861 --> 01:55:44.143]  American Tax Relief, or 833-900-4285.
[01:55:44.163 --> 01:55:44.203]  833-900-4285.
[01:55:44.243 --> 01:55:45.624]  Tyler Bennett, I'm all ears.
[01:55:45.444 --> 01:55:49.923]  4285 833 900 4285.
[01:55:49.923 --> 01:55:52.163]  Tyler Bennett, I'm all ears, take it away.
[01:55:52.163 --> 01:55:58.043]   All right, Alex, so there's two asset classes that people need to be aware of
[01:55:58.043 --> 01:56:04.384]   and how these asset classes have been used traditionally by the globalists to avoid paying taxes
[01:56:04.384 --> 01:56:09.844]   and how you need to not need to be paying attention to this and if we wanna do it the correct way,
[01:56:09.844 --> 01:56:11.764]  I'm gonna be all over it.
[01:56:11.907 --> 01:56:12.027]  But.
[01:56:12.367 --> 01:56:21.335]  If you do it the wrong way, especially with crypto, we know they've hired 60,000 additional IRS agents just to audit and make your life miserable.
[01:56:21.355 --> 01:56:25.659]  So these two classes are crypto, as I just mentioned, we'll talk about that in a second, and art, okay?
[01:56:26.159 --> 01:56:37.690]  Art, especially original arts, Van Gogh's, Picasso's, this kind of thing, has traditionally been used by the globalists to move around large sums of money to each other within private art sales.
[01:56:38.270 --> 01:56:41.413]  And these kinds of things are not reported because they're private.
[01:56:41.753 --> 01:56:47.458]  And that's how they're able to, you know, illegally, but still get away with it, move around a lot amount of money.
[01:56:47.818 --> 01:56:51.882]  Now, there is a legal way to do this with trust, as I was explaining about before.
[01:56:51.922 --> 01:56:53.243]  We are the McDonald's of trust.
[01:56:53.543 --> 01:56:55.725]  We do them all and we can help you out with there.
[01:56:55.845 --> 01:57:04.493]  But just a little bit of current events is you got Hunter Biden apparently is this major novice artist now trying to sell his work.
[01:57:05.853 --> 01:57:10.995]  And it is gathering some serious potential prices from the buyers, right?
[01:57:11.316 --> 01:57:15.797]  And so why this is obviously an issue is his connection with the government.
[01:57:15.817 --> 01:57:17.798]  Can you buy the government in this country?
[01:57:17.838 --> 01:57:22.680]  Well, it seems like it's becoming cheaper and cheaper for the right people every day.
[01:57:22.800 --> 01:57:33.444]  So what they said is their solution is, well, we just won't disclose to the president's son or to anybody else how much this art sold for and what it actually sold for.
[01:57:34.024 --> 01:57:39.505]  So they're basically admitting that they're going to do a private sale, and because he's part of the right group, they're not going to pay taxes on it.
[01:57:39.525 --> 01:57:43.066]  Because how can you pay taxes on an amount of money that you don't know that you made?
[01:57:43.486 --> 01:57:44.707]  So it's ridiculous.
[01:57:45.047 --> 01:57:55.329]  The private people, the citizens, the middle class need to be aware that this kind of thing is going on, because yes, of course, there is always true that the globalists have access to things that we don't.
[01:57:55.942 --> 01:58:07.565]  But that doesn't mean that we can't use these same loopholes and trust instruments to have the same outcome for, you know, the art that you might have, the art that your grandma might have up on her wall that's worth a lot of money, right?
[01:58:08.005 --> 01:58:10.326]  So give us a call for that kind of thing.
[01:58:10.346 --> 01:58:13.007]  And here's the other thing that we got to talk about is crypto.
[01:58:13.147 --> 01:58:16.508]  OK, the government is going hard against crypto.
[01:58:16.528 --> 01:58:20.829]  Biden is trying hard to regulate at every step of the chance he gets.
[01:58:21.485 --> 01:58:30.796]  Fortunately, he wants to stuff so much stuff into that Build Better Back Act, it's never going to pass in its current iteration.
[01:58:30.836 --> 01:58:36.703]  So we have to the end of the year at least, I would guess probably till next year too, but I wouldn't take my chances on that.
[01:58:37.063 --> 01:58:40.065]  Use it now is the crypto loopholes here.
[01:58:40.125 --> 01:58:45.449]  We're talking about such things as, you know, you can make crypto from buying and selling the same token.
[01:58:45.689 --> 01:58:48.251]  You can be farming, yield farming.
[01:58:48.271 --> 01:58:50.633]  You can be mining or staking income.
[01:58:50.933 --> 01:58:54.476]  And each of these things is taxed in a slightly different way.
[01:58:55.016 --> 01:58:57.718]  And you have a basis just like stocks and this and that.
[01:58:57.918 --> 01:58:59.800]  Here's the beautiful thing with crypto right now.
[01:59:01.060 --> 01:59:13.166]  Especially if you've been in the game, if you've held crypto for a couple of years or you've been playing with it for a while, even Coinbase, even the institutions that are going to report, they do not know what your basis is.
[01:59:13.206 --> 01:59:18.565]   So instead of sending out 1099 B's like a brokerage firm, they're sending out 1099 MISCs,
[01:59:18.565 --> 01:59:25.885]   which means every dollar that goes through your wallet that gets reported is reported as income to you.
[01:59:25.885 --> 01:59:29.806]   Even if you're just moving around money from one of your accounts to another, right?
[01:59:29.806 --> 01:59:31.206]  It's gonna get reported as income.
[01:59:31.206 --> 01:59:36.806]   So you need somebody who knows that that's the case to report the right basis number for you
[01:59:36.806 --> 01:59:40.766]   so you don't get hit up with additional taxes for money you didn't even make
[01:59:40.766 --> 01:59:44.404]   or positions you haven't sold yet so you don't owe any tax money.
[01:59:44.404 --> 01:59:48.405]   And right now you're consulting with us on the big Bitcoin donations we got.
[01:59:48.405 --> 01:59:52.046]   I told you I want 100% of it to go into funding this operation.
[01:59:52.046 --> 01:59:57.485]   So we're making sure that it goes through that and then any taxes are paid through running the operation,
[01:59:57.485 --> 02:00:00.685]  not paid as if I actually got that money.
[02:00:00.685 --> 02:00:10.685]  [BLANK_AUDIO]
[02:00:01.929 --> 02:00:02.389]  Exactly.
[02:00:02.409 --> 02:00:06.993]  And that's that's that's one example of what we can do to in the crypto field.
[02:00:07.033 --> 02:00:09.155]  And this is the kind of thing that we got to take care of now.
