[00:00:00.000 --> 00:00:06.000]  [Screaming]
[01:18:42.765 --> 01:18:45.127]  Because they don't actually care about their own kids.
[01:18:45.347 --> 01:18:46.107]  They're delusional.
[01:18:46.167 --> 01:18:46.728]  But we do.
[01:18:48.269 --> 01:18:49.150]  Here's Ye.
[01:18:50.419 --> 01:18:51.300]  I love rappers.
[01:18:51.400 --> 01:18:52.360]  Rappers are artists.
[01:18:52.741 --> 01:19:02.908]  But when media calls me a rapper, specifically to not bring up the fact that I'm worth $11 billion, that I'm the richest black man of all time, that I'm a billionaire, that I'm a tycoon, that I'm a visionary.
[01:19:03.328 --> 01:19:06.431]  And if I say that, if I say those three things, then they'll say I'm a narcissist.
[01:19:06.971 --> 01:19:07.191]  Right?
[01:19:07.391 --> 01:19:12.475]  But they push you down so much that you got to fight just to say who you are.
[01:19:12.975 --> 01:19:24.405]   You know, What I got from the documentary, from the Candace Owens documentary, was I felt like it was a setup.
[01:19:25.546 --> 01:19:31.951]  I felt that in the documentary, if you look at it, he told his roommates, they want a tall guy like me.
[01:19:32.311 --> 01:19:33.713]  They want a tall guy like me.
[01:19:33.753 --> 01:19:34.473]  Well, who is they?
[01:19:34.914 --> 01:19:41.239]  I'm opposed to that as a question, as opposed to, you know, giving you some kind of theory that I can't pinpoint.
[01:19:44.299 --> 01:19:50.483]  And this idea, these martyrs that we have, it's 14 kids that's dying in Chicago every single day.
[01:19:50.944 --> 01:20:12.098]  And they have this Jewish media, black media, trauma culture, trauma economy, the stuff that Charlemagne Tha God works for, the stuff that Rosenberg works for, the stuff that academics, the guys, the academics, you gotta understand, all these people that y'all listening to out here, I'm gonna tell y'all, they're getting their checks cut.
[01:20:13.905 --> 01:20:18.008]  You know, and y'all, I need y'all to really respect what I'm doing.
[01:20:18.048 --> 01:20:23.472]  The stuff that I'm doing, I'm saying online and love the fact, look, I got, I got money.
[01:20:24.173 --> 01:20:25.154]  I got my songs.
[01:20:26.074 --> 01:20:29.277]  I could go off and just go to Hawaii and live a nice life.
[01:20:29.297 --> 01:20:34.201]  That means that God has called me to sacrifice all of that in order to bring the truth.
[01:20:34.941 --> 01:20:35.641]  That's what I'm saying.
[01:20:35.661 --> 01:20:36.682]  They don't cut my check.
[01:20:37.002 --> 01:20:40.904]  You listen to people that's getting their check cut by Jewish media.
[01:20:41.345 --> 01:20:43.906]  George Soros, come and meet with me directly.
[01:20:44.346 --> 01:20:47.928]  I told you, you ain't gonna send none of these people that you usually send.
[01:20:48.008 --> 01:20:49.369]  Charlamagne, we know all the names.
[01:20:50.610 --> 01:20:52.030]  Nori is a good guy.
[01:20:52.751 --> 01:20:53.931]  Like he said, he called me this morning.
[01:20:53.951 --> 01:20:56.253]  He said, maybe politics is a little bit too much for me.
[01:20:56.813 --> 01:20:59.074]  Everybody back up off of Nori.
[01:20:59.094 --> 01:21:02.696]  This is like he was giving a platform, right?
[01:21:03.056 --> 01:21:04.057]  Which no one does.
[01:21:06.431 --> 01:21:07.872]  There's no free thought anymore.
[01:21:08.473 --> 01:21:11.335]  I give you one last bar before I get on this flight.
[01:21:15.578 --> 01:21:19.261]  In order for us to evolve, we have to walk forward.
[01:21:21.403 --> 01:21:23.485]  The left leg moving forward is the idea.
[01:21:23.745 --> 01:21:27.408]  The right leg moving forward is the actualization.
[01:21:27.428 --> 01:21:30.050]  I like the word actualization better than execution.
[01:21:31.260 --> 01:21:33.720]  We need the idea, we need to be realized.
[01:21:33.740 --> 01:21:36.081]  We need the idea, we need to be realized.
[01:21:36.501 --> 01:21:38.621]  Right now, the thought police have us crawling.
[01:21:39.061 --> 01:21:40.362]  We have stopped evolving.
[01:21:42.082 --> 01:21:47.243]  We have to fight for free thought, to say how we feel and act upon that.
[01:21:48.583 --> 01:21:49.743]  In Jesus' name, amen.
[01:21:51.924 --> 01:21:57.104]  Alright, so, what Kanye is saying is, is that the media is controlled.
[01:21:57.124 --> 01:22:08.238]   You can use whatever name you want, whatever area you want to go to, but They're saying he's the villain, Alex Jones is the villain, but not the people creating bioweapons that could kill all of us.
[01:22:09.559 --> 01:22:13.461]  Not the people having worldwide lockdowns and poison shots.
[01:22:14.741 --> 01:22:15.802]  It really is a sick joke.
[01:22:15.822 --> 01:22:16.683]  So here's some of the articles.
[01:22:17.323 --> 01:22:23.106]  George Floyd's family files $250 million lawsuit against Kanye West, they said, using the Alex Jones plan.
[01:22:23.666 --> 01:22:24.327]  Played the clip earlier.
[01:22:27.466 --> 01:22:28.926]  It doesn't matter, George Floyd gave him $2 million.
[01:22:29.407 --> 01:22:31.867]  It doesn't matter, Kanye West gave him $2 million.
[01:22:31.987 --> 01:22:35.028]  Out of his own goodness of his heart, well, they want more now.
[01:22:39.010 --> 01:22:42.611]  But here is the coroner report.
[01:22:43.251 --> 01:22:51.914]  No life-threatening injuries, but had fentanyl, and another fentanyl, and methamphetamine, and a bunch of other stuff in his body.
[01:22:51.934 --> 01:22:55.535]  And that's all Kanye West said was this medical report.
[01:22:56.636 --> 01:23:02.337]  You see right here, all he did was quote, unadmitted thing.
[01:23:02.777 --> 01:23:04.157]  He's not even wrong, he's right.
[01:23:05.698 --> 01:23:08.338]  But now, they've done that to him.
[01:23:09.218 --> 01:23:10.439]  Let's play this rap song.
[01:23:10.519 --> 01:23:14.399]  Rapper defends Alex Jones and yay, an epic pro-free speech track.
[01:23:14.839 --> 01:23:16.060]  Rapper Bryson Gray.
[01:23:16.600 --> 01:23:22.261]  We'll go to break, come back, got a big guest coming up that made the movie The Real Anthony Fauci off the best-selling book.
[01:23:23.120 --> 01:23:23.721]  That's all coming up.
[01:23:23.741 --> 01:23:26.847]  I've asked the crew to make a music video out of this, adding images to it.
[01:23:26.867 --> 01:23:27.788]  That'll be out the next day.
[01:23:28.109 --> 01:23:30.109]  Let's go ahead and roll this.
[01:23:30.109 --> 01:23:44.109]  [Music]
[01:23:44.531 --> 01:23:47.212]  They trying to rob him of every single thing he owns.
[01:23:47.512 --> 01:23:50.333]  How you get sued for a billy for saying something wrong?
[01:23:50.733 --> 01:23:53.474]  They won't stop till everybody be in Wi-Fi drones.
[01:23:53.634 --> 01:23:56.696]  And look what they did to Ye, they want everything.
[01:23:56.736 --> 01:23:59.616]   JP Morgan, Van Is it common they do abs things?
[01:23:59.836 --> 01:24:02.717]  They care more about Kanye West than they do sex screams?
[01:24:02.837 --> 01:24:06.198]  It's like you only have free speech if you left wing?
[01:24:06.318 --> 01:24:09.119]  And he wore a White Lives Matter shirt with Cannon so on stage.
[01:24:09.139 --> 01:24:12.039]  She show her bill and money winning, they both exposed him.
[01:24:12.059 --> 01:24:15.120]  They need to get closer to God though, that's what I'm hoping.
[01:24:15.160 --> 01:24:18.221]  Because the deeps, they hate the stars when they can't control it.
[01:24:18.621 --> 01:24:21.321]  They bet Donald Trump while he was sitting president.
[01:24:21.441 --> 01:24:24.222]  I guess they don't care if that's just a dangerous precedent.
[01:24:24.622 --> 01:24:27.425]  Now they rating him and Mike Lindell without evidence.
[01:24:27.805 --> 01:24:30.527]  Is this still America and what it represents?
[01:24:30.688 --> 01:24:33.670]  And that's why I'm out here flexing while I'm slaying demons.
[01:24:33.710 --> 01:24:36.773]  We living in the end of times, you should shoot a season.
[01:24:36.793 --> 01:24:39.876]  Politicians betray this country, they committing treason.
[01:24:39.996 --> 01:24:42.959]  It's all for power, so they laughing while the country bleeding.
[01:24:44.364 --> 01:24:46.425]  Look what they did to Alex Jones.
[01:24:46.485 --> 01:24:49.166]  They trying to rob him of every single thing he owns.
[01:24:49.226 --> 01:24:52.287]  How you get sued for a billy for saying something wrong?
[01:24:52.667 --> 01:24:55.388]  They won't stop till everybody be in Waka Jones.
[01:24:55.548 --> 01:24:58.469]  And look what they did to Ye, they want everything.
[01:24:58.670 --> 01:25:23.690]   JP Morgan ban his [Music]
[01:25:23.874 --> 01:25:26.695]  You can't preach repentance, but you can tell them to be sinners.
[01:25:27.015 --> 01:25:29.817]  Biden's daughter exposed him, but nobody gon' remember.
[01:25:29.857 --> 01:25:35.979]  But D's and R's work together, I know that y'all bad to differ, but... Look what they did to Alex Jones.
[01:25:36.039 --> 01:25:38.721]  They tryna rob him of every single thing he owns.
[01:25:39.001 --> 01:25:41.842]  How you get sued for a billy for sayin' somethin' wrong?
[01:25:42.222 --> 01:25:45.323]  They won't stop till everybody bein' watched by drones.
[01:25:45.383 --> 01:25:48.025]  And look what they did to Ye, they want everything.
[01:25:48.045 --> 01:25:51.026]  JP Morgan banned his account, but they do everything.
[01:25:51.246 --> 01:25:56.989]  You can find Bryce and Gray's viral new hip-hop song on InfoWars.com.
[01:25:57.029 --> 01:25:59.390]  Mega Rapper defends Alex Jones.
[01:25:59.450 --> 01:25:59.751]  Yay!
[01:25:59.831 --> 01:26:01.572]  An epic pro-free speech track.
[01:26:02.212 --> 01:26:04.593]  But yeah, they don't care about sex slavery or bioweapons.
[01:26:05.074 --> 01:26:07.255]  No, it's Kanye West and Alex Jones.
[01:26:07.315 --> 01:26:08.295]  It's yay and Alex.
[01:26:08.375 --> 01:26:15.375]  They're the bad guys.
[01:26:15.375 --> 01:26:20.375]  Everybody says they want people to stand up and fight tyranny.
[01:26:20.368 --> 01:26:23.052]  But when you fight tyranny, the new world order comes after you.
[01:26:23.512 --> 01:26:24.294]  Now, I knew that.
[01:26:25.135 --> 01:26:29.361]  And for 28 years, I've been on air exposing these people, and together we've had a great effect.
[01:26:29.781 --> 01:26:30.182]  But listen.
[01:26:30.691 --> 01:26:31.771]  They're coming after us right now.
[01:26:31.791 --> 01:26:36.153]  They're trying to shut us down, but they can't beat the power of we the people, of you and I together.
[01:26:36.653 --> 01:26:43.696]  So please visit InfoWarsTore.com and get incredible, game-changing products, while at the same time keeping us on air.
[01:26:43.996 --> 01:26:52.359]  We have the biggest sale of the year running right now at InfoWarsTore.com, and you get an additional 10% off on the deals that are at least 40% off.
[01:26:52.799 --> 01:26:58.081]  Many are 50% off on Vitamin Refusion, X3, DNA Force Plus, you name it.
[01:26:58.101 --> 01:27:06.074]   So on top of 50% off, at checkout with promo code 1776 or 1776 an additional 10%
[01:27:06.074 --> 01:27:07.435]  off and no pay for your points.
[01:27:07.435 --> 01:27:11.435]   This is by far the biggest sell of the year. Keeps us on air plus their great products.
[01:27:11.435 --> 01:27:15.675]  Check them out at mfullmorestore.com with promo code 1776.
[01:27:15.675 --> 01:27:21.914]   All right the makers of the incredible new film, the real Anthony Fauci that can bring
[01:27:21.914 --> 01:27:24.954]  down these murderers are about to join us next segment.
[01:27:25.190 --> 01:27:26.291]  The trailer is six minutes long.
[01:27:26.712 --> 01:27:27.232]  Here's part of it.
[01:27:27.252 --> 01:27:29.795]  We'll post the full trailer at InfoWars.com.
[01:27:29.835 --> 01:27:30.395]  Here it is.
[01:27:30.836 --> 01:27:35.155]   You're really attacking not only Dr. Anthony Fauci, you're attacking science.
[01:27:35.155 --> 01:27:45.476]  Science has an air of authority.
[01:27:45.709 --> 01:27:50.813]  So people who want to push back on authority, push back on science.
[01:27:50.833 --> 01:27:55.956]  Science is about constant skepticism, constant questioning.
[01:27:56.356 --> 01:27:58.097]  And you didn't see any of that.
[01:27:58.278 --> 01:27:59.779]  You saw a narrative.
[01:27:59.879 --> 01:28:05.522]  In a 20-month period, they obliterated all the Bill of Rights, the United States Constitution.
[01:28:05.362 --> 01:28:07.962]  There's no objection in the American press.
[01:28:07.962 --> 01:28:15.362]  [Music]
[01:28:15.362 --> 01:28:22.862]   Normalcy only returns when we've largely vaccinated the entire global population.
[01:28:22.993 --> 01:28:25.737]  If the FDA says it's okay to take the vaccine, are you going to take it?
[01:28:25.857 --> 01:28:29.161]  I'm going to look at the data upon which the FDA makes that decision.
[01:28:32.105 --> 01:28:37.888]  They pay us hundreds of millions of dollars a year to hire and keep the reviewers to approve their product.
[01:28:38.168 --> 01:28:44.171]  The CDC continues to recommend that people who have been previously infected get their COVID-19 vaccine.
[01:28:44.512 --> 01:28:50.375]  CDC studies suggest getting the vaccine will offer you much stronger immunity to COVID than natural immunity.
[01:28:50.755 --> 01:28:52.136]  She's had the flu for 14 days.
[01:28:52.196 --> 01:28:53.176]  Should she get a flu shot?
[01:28:53.336 --> 01:28:53.736]  Well, no.
[01:28:53.796 --> 01:29:00.200]  If she got the flu for 14 days, she's as protected as anybody can be because the best vaccination is to get infected yourself.
[01:29:00.905 --> 01:29:02.147]  I've already had COVID.
[01:29:02.447 --> 01:29:06.633]  I'm protected and now the study says maybe even more protected than the vaccine alone.
[01:29:06.914 --> 01:29:08.476]  Should they also get the vaccine?
[01:29:08.736 --> 01:29:11.560]  I don't have a really firm answer for you on that.
[01:29:11.600 --> 01:29:15.626]  People who have already had the virus be recommended to get the vaccine as well.
[01:29:15.646 --> 01:29:16.828]  The answer is yes.
[01:29:20.886 --> 01:29:23.048]  Over 11,000 pages were released.
[01:29:23.349 --> 01:29:29.174]  The first bombshell in the document is that natural immunity works and Pfizer knows it.
[01:29:29.654 --> 01:29:35.139]  And there were no hospitalizations or deaths in the individuals who were vaccinated.
[01:29:35.259 --> 01:29:38.683]  But you now have three highly efficacious vaccines.
[01:29:39.003 --> 01:29:40.284]  There's no doubt about that.
[01:29:40.524 --> 01:29:44.208]  And there have been no hospitalizations or deaths in multiple countries.
[01:29:46.147 --> 01:29:52.316]  Another revelation from the documents was that adverse reactions were more frequent and more severe.
[01:29:52.336 --> 01:29:57.443]  It interestingly states some facts that have been labeled by the mainstream media as being misinformation.
[01:29:57.463 --> 01:30:01.649]  The consent form lists several possible side effects including myocarditis.
[01:30:05.205 --> 01:30:11.471]  A new study describes how 23 service members later developed chest pain and sought medical attention.
[01:30:11.491 --> 01:30:17.557]  82,000 per year to 863,000 neurological issues which would affect our pilots.
[01:30:17.997 --> 01:30:21.020]  Over a thousand percent increase in one year.
[01:30:21.581 --> 01:30:26.666]  And it looks like in the first three months there was 42,000 adverse events reported and 1,223 deaths.
[01:30:30.129 --> 01:30:37.174]  A total of 10,262 COVID-19 vaccine breakthrough infections had been reported from 46 U.S.
[01:30:37.654 --> 01:30:37.994]  states.
[01:30:38.494 --> 01:30:40.756]  If you get vaccinated, you are protected.
[01:30:40.796 --> 01:30:48.961]  For every one person that the vaccine saves from COVID, it kills four people from fatal cardiac arrest.
[01:30:51.511 --> 01:31:01.299]  If I want the population to ultimately accept my digital reality, I have to make sure the cognitive dissonance is so complete that you stop trusting your own brain.
[01:31:01.619 --> 01:31:02.320]  And guess what they've done?
[01:31:02.500 --> 01:31:03.500]  Exactly that.
[01:31:03.500 --> 01:31:10.500]  [Music]
[01:31:10.500 --> 01:31:16.500]   The reason that only one drug has been made available, AZT, because it's the only drug that thus far has been shown
[01:31:16.500 --> 01:31:19.500]   in scientifically controlled trials to be safe and effective.
[01:31:19.500 --> 01:31:26.500]  [Music]
[01:31:27.090 --> 01:31:37.962]  It's a counter-narrative that says the people who we think of as casualties of HIV were not actually dying from HIV.
[01:31:38.002 --> 01:31:43.929]  They were dying from a medicine that was supposedly treating HIV, but was actually killing them.
[01:31:46.015 --> 01:31:56.783]  You can't take what's normally a decade-long process for developing a product and ensuring its safety and efficacy and compressing it into six to nine months and not cut some corners.
[01:31:56.823 --> 01:31:57.783]  That's just absurd.
[01:31:58.184 --> 01:32:04.108]  We did not fund gain-of-function research to be conducted in the Wuhan Institute of Virology.
[01:32:04.508 --> 01:32:12.654]  The preponderance of evidence now points towards this coming from the lab, and what you've done is change the definition on your website to try to cover your ass, basically.
[01:32:12.774 --> 01:32:20.297]  Everybody knows that's tuned in for a long time, no matter how wild a subject I cover, it's almost always based in reality.
[01:32:21.858 --> 01:32:23.359]  Sometimes I make mistakes, but rarely.
[01:32:24.039 --> 01:32:28.981]  And I can tell you the book, The Real Anthony Fauci by Robert Kennedy Jr.
[01:32:29.561 --> 01:32:49.257]   and the new film, Made from that book is potentially the most important work ever produced because we have the breaking news of Boston University with a weaponized cobra that kills 80% of the mammals that come in contact with it.
[01:32:50.399 --> 01:32:51.500]  Total gain of function.
[01:32:52.526 --> 01:32:59.471]  We have all the news coming out that the vaccine isn't a vaccine, it destroys your immunity, which we said years ago, according to experts.
[01:33:00.411 --> 01:33:01.872]  And now the mass death that's happening.
[01:33:01.912 --> 01:33:04.414]  Jeff Hayes and Tony Lyons of Skyhorse Publishing join us.
[01:33:05.215 --> 01:33:08.497]  JeffHayesFilms.com, TheRealAnthonyFauciMovie.com.
[01:33:08.957 --> 01:33:10.578]  The film drops today.
[01:33:11.459 --> 01:33:12.740]  Everybody should see it.
[01:33:14.119 --> 01:33:14.900]  I have not seen it yet.
[01:33:14.920 --> 01:33:15.760]  I'm going to watch it tonight.
[01:33:15.820 --> 01:33:18.222]  I've talked to a lot of folks that sent it to me last night who didn't.
[01:33:18.482 --> 01:33:18.943]  Blew them away.
[01:33:18.963 --> 01:33:20.264]  We've seen advanced copies.
[01:33:20.304 --> 01:33:21.064]  I've seen the trailers.
[01:33:21.705 --> 01:33:22.305]  I've read the book.
[01:33:22.405 --> 01:33:23.006]  It's incredible.
[01:33:23.526 --> 01:33:28.930]  But they tried to censor this book unlike anything else except maybe The Great Reset and The War for the World.
[01:33:29.050 --> 01:33:29.711]  Probably even more.
[01:33:30.919 --> 01:33:33.260]  But a film is how you really communicate information.
[01:33:33.920 --> 01:33:51.287]  So we'll go to Jeff Hayes, the incredible award-winning filmmaker, television producer, about the real Anthony Fauci movie.com and how people can... I know our listeners already know all this, but this is put together with documentation to warn others to stop the next lockdown or the next release out of these labs.
[01:33:51.787 --> 01:33:53.828]  So this could be a more important time for this to be coming out.
[01:33:53.848 --> 01:33:56.870]  We're not going to just go away and forget what they did and let them hit us again.
[01:33:57.351 --> 01:34:04.215]  Tony Lyons of SkyhorsePublishing.com, the founder of the most independent, largest, most successful independent publishing house in the United States.
[01:34:04.275 --> 01:34:05.356]  I salute you for all your great work.
[01:34:06.437 --> 01:34:17.224]  Again, I don't want to say this dwarfs my book, The Great Reset and the War for the World, because they're complementary, but quite frankly, it does, because this is the main crime where we have them caught dead to rights.
[01:34:17.304 --> 01:34:21.087]  So tell us about how you guys working with these great filmmakers and Robert Kennedy Jr.
[01:34:22.027 --> 01:34:28.474]  Just hammered this movie out so quickly, that according to people that have seen it, I haven't seen it, I'll watch it tonight, it's just unbelievably powerful.
[01:34:28.494 --> 01:34:29.655]  The trailers are amazing.
[01:34:32.623 --> 01:34:40.548]  So this project, when I read Bobby's book, I knew it had to be a film.
[01:34:41.008 --> 01:34:48.553]  This book, in spite of being the most suppressed book of my lifetime, sold a million copies, and it's a daunting read.
[01:34:49.194 --> 01:34:53.316]  We're looking at, in my copy, a 600-page book.
[01:34:55.077 --> 01:34:59.320]  It was a daunting read, but the story was profound.
[01:35:03.712 --> 01:35:06.815]  He would consider letting me make a documentary of it.
[01:35:07.215 --> 01:35:12.600]  I know they had other people calling them as well, and fortunately for me, they agreed.
[01:35:13.841 --> 01:35:15.742]  Well, I mean, Jeff, you're a very accomplished filmmaker.
[01:35:15.762 --> 01:35:22.248]  I'm not going to go over all of your success, but it's got to be scary, though, seeing the proof, the documentation, while you made this.
[01:35:22.688 --> 01:35:24.510]  Tell us about the film and why it's so important.
[01:35:25.791 --> 01:35:31.073]  Yeah, a lot of people, you know, I wasn't really familiar with Fauci's history.
[01:35:31.813 --> 01:35:35.714]  For me, he really appeared for the first time when he was standing next to Trump.
[01:35:36.255 --> 01:35:41.096]  And here's this avuncular, grandfatherly, seemingly rational guy.
[01:35:41.196 --> 01:35:43.477]  And I had a very positive view of him.
[01:35:43.877 --> 01:35:47.440]  Then the masks, you know, turned around when it seemed odd.
[01:35:47.820 --> 01:36:20.824]   But then when I read Bobby's book and saw his history, you know, really 1984 was the watershed year when he took over the infectious disease department at the NIH and took this little small, you know, not really important department and wrestled control of the AIDS virus and then just did despicable things that cost hundreds of I totally agree.
[01:36:20.884 --> 01:36:32.275]   So, Jeff Hayes, the filmmaker of the real Anthony Fauci, if you had to describe Fauci in just a few words, Joseph Mengele 2.0, Master criminal.
[01:36:32.295 --> 01:36:38.322]  I mean, when you really study him, it's hard to believe how much evil he's been involved in and what an incredible liar he is.
[01:36:38.682 --> 01:36:43.788]  By telling Congress I'm not involved in gain of function, he holds conferences called in support of gain of function.
[01:36:44.088 --> 01:36:47.072]  I mean, this guy is as close to Satan as I could imagine.
[01:36:48.770 --> 01:36:50.551]  This actually has occurred before.
[01:36:50.611 --> 01:36:51.932]  There's a great example of it.
[01:36:52.392 --> 01:36:57.655]  A little bureaucrat named Harry Anslinger in the 20s took over the Bureau of Narcotics.
[01:36:58.236 --> 01:37:00.337]  He ended up running it for 50 years.
[01:37:00.697 --> 01:37:08.682]  He created the war on drugs in the 20s by telling the press that drugs were causing black men to crave white women.
[01:37:08.902 --> 01:37:13.745]  And they literally changed the caliber of bullets that police used based on Harry Anslinger.
[01:37:14.305 --> 01:37:30.569]   And his story You see it repeated in Fauci where you have a bureaucrat that takes over a not well-funded department and then suddenly gets a stunning amount of money and builds a power base that no one person should have.
[01:37:31.330 --> 01:37:40.495]  I want to get your take on the film and how people find it and get it and see it and share it, but undoubtedly there's a green light for Big Pharma taking over our government.
[01:37:40.895 --> 01:37:42.756]  I saw you on Steve Bannon a few days ago.
[01:37:45.135 --> 01:37:47.061]  And I thought you really knocked it out of the park, Tony Lyons.
[01:37:47.542 --> 01:37:49.207]  Can you repeat what you said and elaborate on it?
[01:37:50.618 --> 01:38:02.264]  Yeah, so, you know, this is a book that was the best-selling book in America despite the most incredible corruption and censorship that's ever been waged against a book.
[01:38:02.644 --> 01:38:18.873]  So they tried to shut this book down in every conceivable way, and they tried to do it because this book says that Dr. Fauci is working for Big Pharma at the expense of the American public, and that hundreds of thousands of people have died unnecessarily.
[01:38:19.253 --> 01:38:25.815]  That Dr. Fauci has helped the greediest and most corrupt people in this country take over the government.
[01:38:26.175 --> 01:38:28.356]  And this is a movie that people need to watch.
[01:38:28.696 --> 01:38:32.737]  And they need to make sure that these people cannot shut it down.
[01:38:33.278 --> 01:38:35.638]  So they did everything to shut the book down.
[01:38:36.058 --> 01:38:37.139]  They didn't shut it down.
[01:38:37.199 --> 01:38:43.901]  It sold a million copies, but I believe that it could have sold millions and millions of copies more if it wasn't shut down.
[01:38:44.241 --> 01:38:50.122]  And the movie is easier to watch, it's easier to understand, and it's so important.
[01:38:50.182 --> 01:38:55.864]  I don't think there's a single movie in this country that's more important for your viewers to watch.
[01:38:56.284 --> 01:39:06.566]  They should find it, they should share it, they should do whatever they can to encourage other people to watch it, because this is the movie that shows how their country is being run.
[01:39:07.543 --> 01:39:08.884]  And Tony, I totally agree with you.
[01:39:08.904 --> 01:39:11.585]  I want to get you and Jeff's take on this.
[01:39:11.685 --> 01:39:20.710]  What do you make of the beyond bombshell nightmare news of super weaponized COVID made in just the last six months at Boston University?
[01:39:21.110 --> 01:39:22.151]  They're saying it's illegal.
[01:39:22.191 --> 01:39:23.131]  They're saying they're not doing it.
[01:39:23.191 --> 01:39:27.593]  They go, oh yeah, we have super COVID, kills 80% of people that come in contact with it.
[01:39:27.613 --> 01:39:28.774]  I mean, these are madmen.
[01:39:28.814 --> 01:39:30.615]  This is like, this is out of control.
[01:39:32.950 --> 01:39:40.480]  This is just insane that there would be gain-of-function research being done in this country now after what's just happened.
[01:39:40.801 --> 01:39:43.825]  There's no way to make gain-of-function research safe.
[01:39:44.409 --> 01:39:49.794]  So the idea that it's going on is even more reason that viewers have to watch this movie.
[01:39:50.054 --> 01:39:54.358]  They have to see what's been going on in this country, and we all have to stop it.
[01:39:54.718 --> 01:40:04.086]  And we have to make sure that there are congressional hearings to hold Dr. Fauci and the people who he's worked closely with accountable for crimes against humanity.
[01:40:04.367 --> 01:40:11.351]   And there's no question That there have been crimes committed, that Dr. Fauci has lied repeatedly to the American public.
[01:40:11.371 --> 01:40:15.033]  And the film lays out the gain of functionality, because I've read the synopsis, I'm going to watch it tonight.
[01:40:15.053 --> 01:40:18.235]  I'm going to come back to Jeff and you, Tony, but why are they so arrogant?
[01:40:18.295 --> 01:40:24.939]  I mean, once they get caught in the last year doing it, then they launch a weaponization program with the most deadly virus ever known and admit it?
[01:40:25.019 --> 01:40:27.300]  I mean, this is, what the hell's going on with these people?
[01:40:29.924 --> 01:40:33.827]  It's almost like they think they will never be held accountable.
[01:40:34.568 --> 01:40:37.110]  I literally have never seen anything like this.
[01:40:37.531 --> 01:40:42.875]  When a couple of weeks ago they gave EcoHealth Alliance another three million plus.
[01:40:44.036 --> 01:40:49.381]  This is like giving additional bullets to the person standing holding the smoking gun.
[01:40:49.401 --> 01:40:51.863]  It is a really ballsy move.
[01:40:53.924 --> 01:40:56.266]  It's like delivering your five-year-old daughter to a convicted pedophile.
[01:40:57.828 --> 01:40:58.048]  Sure.
[01:40:58.928 --> 01:41:09.638]  I mean, what people have to realize, too, when they see what happens to this movie is that there are going to be people coming out calling it misinformation, calling it conspiracy theory.
[01:41:10.059 --> 01:41:19.208]  And what those words are is that they're just words to get around the fact that this is real science, that these are real stories, and that this is the truth.
[01:41:19.708 --> 01:41:22.289]  And that people have to investigate it for themselves.
[01:41:22.590 --> 01:41:33.155]  Because misinformation, as it's used today, just means any narrative that contradicts what Dr. Fauci says and what other government officials say.
[01:41:33.435 --> 01:41:35.076]  It doesn't mean that it's untrue.
[01:41:35.096 --> 01:41:35.936]  I agree.
[01:41:35.956 --> 01:41:36.456]  Stay there.
[01:41:36.637 --> 01:41:37.037]  Stay there.
[01:41:37.057 --> 01:41:38.337]  Tony Lyons, Jeff Hays.
[01:41:38.357 --> 01:41:39.518]  Look, I can answer my own question.
[01:41:40.098 --> 01:41:40.879]  They're in deep trouble.
[01:41:40.919 --> 01:41:41.559]  Everybody's waking up.
[01:41:41.579 --> 01:41:43.160]  They have criminal investigations in the EU.
[01:41:43.500 --> 01:41:44.320]  They're just doubling down.
[01:41:45.361 --> 01:42:01.188]   I really don't have words to describe How insane it is that in the first hour of the show today, I cover the New York Times, the Washington Post, you name it, going, oh yeah, over the decades they've created lots of viruses that'll kill 89% of us, but it's for our own good.
[01:42:02.388 --> 01:42:10.650]  Then they go in front of Congress when the same people are interviewed bragging how they did it, like Fauci and others, and then say none of it's going on.
[01:42:11.790 --> 01:42:15.331]  That's why we've got to expose the real Anthony Fauci.
[01:42:16.664 --> 01:42:23.180]  That exposes Bill Gates and Peter Daszak and the UN and the whole corporate biomedical tyranny we're facing.
[01:42:26.198 --> 01:42:27.019]  I told you tonight.
[01:42:27.119 --> 01:42:27.819]  I told my wife.
[01:42:28.039 --> 01:42:28.680]  She wants to see it.
[01:42:30.301 --> 01:42:32.623]  The link was sent to me two days ago and I've been so hammered.
[01:42:32.643 --> 01:42:33.243]  I haven't watched it.
[01:42:33.283 --> 01:42:34.204]  I've watched the trailers.
[01:42:34.664 --> 01:42:35.445]  I've read the book.
[01:42:35.805 --> 01:42:38.327]  It's the most important work out there on understanding this crime.
[01:42:38.787 --> 01:42:39.648]  I'll be watching it tonight.
[01:42:39.708 --> 01:42:41.469]  TheRealAnthonyFauciMovie.com.
[01:42:42.069 --> 01:42:43.030]  Everybody should go there.
[01:42:43.470 --> 01:42:44.351]  Everybody should watch it.
[01:42:44.391 --> 01:42:50.015]  Going back to Jeff Hays, the great filmmaker that translated the book so quickly and so well into a film.
[01:42:50.655 --> 01:42:53.237]  Where are the different platforms for folks to go see this movie?
[01:42:53.617 --> 01:42:59.296]   They should have parties at their house or wakes really, events, churches should be showing
[01:42:59.296 --> 01:43:00.296]  this.
[01:43:00.296 --> 01:43:04.657]   I mean, they're producing stuff that's way worse than this that could get out at any
[01:43:04.657 --> 01:43:07.497]  time or they could release it.
[01:43:07.497 --> 01:43:12.856]  This is really, for me, the most important issue out there.
