[00:00:00.149 --> 00:00:00.549]  It's on.
[01:29:57.615 --> 01:30:10.760]  But for those of you that want to actually give us a straight donation so we get almost 100% of the money to fund our operation during this critical time, go to InfoWarsTore.com and right at the top you'll see a link to make a straight donation.
[01:30:10.780 --> 01:30:13.462]  A one-time donation of $5, $10, $50 or a recurring donation you can cancel anytime.
[01:30:16.863 --> 01:30:18.264]  I want to thank all you that have donated.
[01:30:18.284 --> 01:30:31.470]  I want to encourage those of you out there that want to support Freedom to take action now and be part of the global awakening, the new renaissance that's countering the Great Reset by going to InfoWarsTore.com and clicking on the donate button and giving today.
[01:30:31.830 --> 01:30:33.091]  Thank you so much for your support.
[01:30:32.971 --> 01:30:53.291]  Please take action.
[01:30:54.068 --> 01:31:01.850]  A database of over 700,000 adverse reactions caused by the Moderna, Pfizer, and Janssen vaccines.
[01:31:02.350 --> 01:31:07.791]  These vaccines have been deployed in different batches, officially referred to as LOTS.
[01:31:08.447 --> 01:31:15.470]  This has allowed Yeadon's team to back-engineer Big Pharma's COVID-19 vaccine deployment agenda in the U.S.
[01:31:16.250 --> 01:31:22.012]  All their information is published at howbadismybatch.com and howbad.info.
[01:31:22.772 --> 01:31:24.533]  And what we learn is quite telling.
[01:31:25.253 --> 01:31:35.677]  About 0.5% of all the different batches are highly toxic, resulting in hospitalization, disability, and death within days or weeks of injection.
[01:31:36.517 --> 01:31:41.704]  Other batches cause minimal adverse reactions and most appear to be harmless placebos.
[01:31:42.586 --> 01:31:52.099]  When plotting on a timeline, we can see that these three companies have been working together to quietly monitor the lethal effectiveness of specific deadly batches.
[01:31:53.240 --> 01:32:06.612]  While one company is deploying a lethal batch, the other two deploy harmless ones, creating the scientific environment to perform dose range finding, or the maximum tolerated dose for each specific batch.
[01:32:07.493 --> 01:32:19.083]  The timeline shows that each lethal batch deployment is preceded and followed by a quiet period, allowing them time to establish their baseline before the next deadly batch is deployed.
[01:32:20.054 --> 01:32:26.937]  Private leaked documents from the CDC show a list of expiry dates and only certain lots are included.
[01:32:27.658 --> 01:32:31.800]  The very same lots found to be highly toxic in part of Cooper's database.
[01:32:32.600 --> 01:32:33.321]  Which makes sense.
[01:32:33.781 --> 01:32:37.623]  There would be no reason to list expiration dates for saline placebo.
[01:32:38.543 --> 01:32:39.504]  Only the deadly ones.
[01:32:40.689 --> 01:32:49.314]  This mode of deployment allows governments the ability to direct deadly batches into specific populations, such as red states.
[01:32:50.274 --> 01:32:59.820]  Analysis of the number of dying per 100,000 vaccinated in 50 states shows us that the overwhelming majority of vaccine deaths are happening in red states.
[01:33:00.960 --> 01:33:06.023]  Some red states are experiencing 11 times more vaccine deaths than other states.
[01:33:06.904 --> 01:33:12.046]  On average, red states are experiencing twice the amount of vaccine death and injuries than blue states.
[01:33:12.927 --> 01:33:23.473]  After ruling out other possibilities, Parda-Cooper concluded that this can only be due to the fact that red states received at least twice as much of the lethal batches than blue states did.
[01:33:25.316 --> 01:33:36.220]  Among several other crimes, they are tipping the scales of the democratic process by killing people who voted against the New World Order's woke, Build Back Better, Great Reset.
[01:33:37.360 --> 01:33:42.202]  While at the same time, endlessly flooding the borders with unvaccinated foreigners.
[01:33:43.602 --> 01:33:44.963]  And it's happening right now.
[01:33:46.543 --> 01:33:49.103]  Reporting for InfoWars, this is Greg Reis.
[01:33:49.103 --> 01:34:03.102]  [Music]
[01:34:03.102 --> 01:34:05.102]  Where you have USA...
[01:34:05.441 --> 01:34:15.111]  Senators in both parties saying we may need to go ahead and nuke Russia first, and the Russians are aware that's almost happened before, what do you think that makes the Russians do?
[01:34:15.391 --> 01:34:16.813]  Well, it makes them go into war mode.
[01:34:19.770 --> 01:34:21.271]  So I don't like them invading Ukraine.
[01:34:21.331 --> 01:34:24.712]  I don't like him putting his nuclear forces on maximum alert.
[01:34:25.112 --> 01:34:29.373]  Only one level above that on their DEFCON, just like our system, and that's fire the weapons.
[01:34:30.333 --> 01:34:37.015]   And so now we have Democrats all over the news saying, let's just use Use nuclear weapons on Russia?
[01:34:37.435 --> 01:34:38.776]  Think of their ignorance.
[01:34:39.436 --> 01:34:48.678]  Russia has hundreds of submarines off our coast with sea-launched missiles that would vaporize our cities within five minutes on average of being launched.
[01:34:49.258 --> 01:34:52.799]  Sea-launched cruise missiles that fly at Mach 5.
[01:34:53.139 --> 01:34:58.800]  Land-launched systems they can also launch from ships that are at Mach 9 and cannot be shot down.
[01:34:59.320 --> 01:35:00.981]  And yes, the United States has those too.
[01:35:02.341 --> 01:35:05.502]  That's a Pentagon lie that Russia developed systems that we don't have.
[01:35:06.022 --> 01:35:07.002]  It's on record the U.S.
[01:35:07.042 --> 01:35:08.242]  has those systems.
[01:35:08.262 --> 01:35:13.323]  The point is it's called mutually assured destruction or mad for a reason.
[01:35:14.144 --> 01:35:17.384]  Because anyone that would violate the mad doctrine is insane.
[01:35:18.444 --> 01:35:20.585]  And you know, I'm on the side of not having a nuclear war.
[01:35:21.345 --> 01:35:23.105]  Especially when Russia's not starting a fight with us.
[01:35:23.365 --> 01:35:29.367]  And especially after we just heard for years that everything happening in this country is run by Russia when that was all a giant lie.
[01:35:29.567 --> 01:35:31.267]  The globalists are the outside evil force.
[01:35:33.311 --> 01:35:35.973]  Here we are, kicking off the third hour, Thursday, May 19th, 2022.
[01:35:36.013 --> 01:35:37.054]  I'm Alex Jones, your host.
[01:35:41.109 --> 01:35:45.550]  All right, so we've been hammering on this for six months since we knew they were getting it ready.
[01:35:46.350 --> 01:35:48.711]  Thank God the listeners here have gotten the word out.
[01:35:49.371 --> 01:35:52.072]  Really, the credit goes to you, but now it's all over the news.
[01:35:52.912 --> 01:36:02.194]  You've got the UN heads and Bill Gates and the corporate heads and the Democratic Party and the EU bureaucrats saying, we need to have the UN run things.
[01:36:02.274 --> 01:36:03.915]  We need to have the UN control everything.
[01:36:03.955 --> 01:36:04.195]  Why?
[01:36:04.515 --> 01:36:09.236]  Things didn't work well under the pandemic that they released, and so we need to do this.
[01:36:10.777 --> 01:36:32.740]  Everything they're betting on, back when we got documents in 2006, I'll put it in the film, Endgame, 2007, Judicial Watch sued and got them thousands of pages about how they would use the threat of a virus to bring in a world digital ID card and out of that a carbon tax, a social credit score, and a universal basic income after they shut the economy down to make you dependent.
[01:36:33.479 --> 01:36:35.301]  Now that was theoretical back then.
[01:36:35.941 --> 01:36:42.407]  Fast forward to two and a half years ago, they launched the operation, and now we're deep into their attempt to take over.
[01:36:43.227 --> 01:36:47.331]  And here are just stacks of articles and videos today dealing with this.
[01:36:47.991 --> 01:36:51.154]  Australia set to sign Geneva's global pandemic treaty.
[01:36:53.896 --> 01:37:01.082]  But they haven't even released what the treaty is, but they've told us what it is in pieces, and it's bad.
[01:37:02.136 --> 01:37:15.487]  Meanwhile, deaths in New Zealand are rising again and near their record high despite 95% of everyone over 12 in the country having three to four shots and the mask mandate.
[01:37:16.568 --> 01:37:17.769]  Total fraud.
[01:37:19.861 --> 01:37:24.024]  Continuing, why is he reading a script from the World Economic Forum?
[01:37:24.484 --> 01:37:27.326]  There is no science that backs up anything he's saying.
[01:37:27.346 --> 01:37:28.186]  We'll play that clip in a moment.
[01:37:28.746 --> 01:37:32.629]  All lies at N2030 is the only thing that matters.
[01:37:33.609 --> 01:37:41.383]   Health Canada Is to chicken bleep to release their infant statistics on the vaccinated desk this week.
[01:37:42.043 --> 01:37:44.926]  And it goes on from there as they talk about how they're not going to release it.
[01:37:45.266 --> 01:37:49.309]  This is all a test on the sea, how they can kill us.
[01:37:49.789 --> 01:37:56.435]  Marco Rubio asked the question, how do we tell American citizens that if you test positive, you can't enter your own country?
[01:37:56.915 --> 01:38:03.280]  But if you arrive illegally, whether you test positive or not, you say the magic words asylum and you get to stay.
[01:38:04.266 --> 01:38:06.127]  Fauci, I don't have an answer to that.
[01:38:07.368 --> 01:38:11.091]  Fauci says there was never a lockdown in America, but the churches were shut down for over a year.
[01:38:12.765 --> 01:38:15.467]  And it goes on from there.
[01:38:16.127 --> 01:38:17.768]  That's where we are.
[01:38:18.289 --> 01:38:24.773]  And so there's a treaty that they say creates a world ID and creates the power to lock up and force me to inoculate anybody they want.
[01:38:25.473 --> 01:38:30.136]  Harry Truman signed on to the WHO and gave it carte blanche power in 47.
[01:38:30.196 --> 01:38:32.658]  We have to reverse that and say that's wrong.
[01:38:32.718 --> 01:38:34.499]  Same guy gave us the CIA in 47.
[01:38:35.922 --> 01:38:37.023]  But now they're making their move.
[01:38:37.663 --> 01:38:42.927]  So we're already signed on to it, so there doesn't even need to be a ratification, they're saying, to put us under implementation.
[01:38:42.947 --> 01:38:43.547]  But here's the thing.
[01:38:44.188 --> 01:38:48.971]  The CDC said last year they were controlling all rents in America and that they could lock up anybody they wanted.
[01:38:48.991 --> 01:38:50.632]  But the courts, the people said no.
[01:38:50.732 --> 01:38:55.155]  So just because these criminals say something doesn't mean it's gospel.
[01:38:55.196 --> 01:38:58.318]  And that's what's really in the news, is the press releases from last week.
[01:38:58.738 --> 01:39:05.441]   The WHO And the UN are under the command of the World Economic Forum, the Dabos Group, which is the Bilderberg Group.
[01:39:05.781 --> 01:39:13.703]  We have lived to see the Bilderberg Group with a medical scare, with a virus they created, with poison shots, making their move on civilization.
[01:39:13.743 --> 01:39:15.664]  Now, how incredible is that?
[01:39:17.065 --> 01:39:18.145]  Big article breaks this down.
[01:39:18.265 --> 01:39:19.405]  Biden handing over U.S.
[01:39:19.445 --> 01:39:21.586]  sovereignty to the World Health Organization.
[01:39:22.006 --> 01:39:22.526]  Here's another one.
[01:39:22.626 --> 01:39:24.047]  Climate Marshall Plan.
[01:39:25.123 --> 01:39:37.231]  Worldwide lockdowns, shutdown of all fossil fuels, UN joins World Economic Forum, UN joins World Economic Forum, call to end oil, gas, and coal use, period, which would kill billions.
[01:39:37.892 --> 01:39:40.393]  UN chief calls for Climate Marshall Plan.
[01:39:41.334 --> 01:39:45.096]  What did Prince Charles five months ago call for?
[01:39:45.477 --> 01:39:48.619]  A worldwide military operation to end carbon.
[01:39:49.639 --> 01:39:55.142]  We exhale carbon dioxide.
[01:39:57.663 --> 01:39:59.544]  Plants then produce oxygen.
[01:39:59.624 --> 01:40:02.565]  It's the carbon cycle where carbon-based life forms.
[01:40:03.265 --> 01:40:04.226]  Talk about aliens!
[01:40:04.286 --> 01:40:10.629]  I mean, these people are attacking the very life system of the Earth, all that stored up carbon from the ages.
[01:40:11.329 --> 01:40:16.211]  Now that we're terraforming back up into the atmosphere right when carbon dioxide levels were lowered 500 years ago.
[01:40:17.867 --> 01:40:19.508]  It's as if God had it all planned.
[01:40:19.788 --> 01:40:33.874]  Here is Prince Charles I, and we'll get to clip 11, 9, and 5, talking a few months ago about this worldwide military action, with more money than has ever been spent in the world, to transform the planet.
[01:40:33.894 --> 01:40:36.475]  But not to innovate, but to shut off the infrastructure.
[01:40:38.863 --> 01:40:49.947]  So, ladies and gentlemen, my plea today is for countries to come together to create the environment that enables every sector of industry to take the action required.
[01:40:51.467 --> 01:40:55.008]  We know this will take trillions, not billions of dollars.
[01:40:56.129 --> 01:41:05.012]  We also know that countries, many of whom are burdened by growing levels of debt, simply cannot afford to go green.
[01:41:06.877 --> 01:41:12.600]  Here we need a vast military-style campaign to marshal the strength of the global private sector.
[01:41:13.700 --> 01:41:30.608]  With trillions at his disposal, far beyond global GDP, and, with the greatest respect, beyond even the governments of the world's leaders, it offers the only real prospect of achieving fundamental economic transition.
[01:41:33.581 --> 01:41:41.294]  It's all about massive depopulation, all about central banks controlling the free market to bankrupt you for a social credit score.
[01:41:41.315 --> 01:41:43.238]  Now that's Charles months ago.
[01:41:43.719 --> 01:42:10.118]  Here is Charles currently yesterday.
[01:42:10.118 --> 01:42:14.557]   So what he's saying is, it comes out of the jungles because you're bad.
[01:42:14.913 --> 01:42:17.154]  No, it comes out of Wuhan, you cooked it up with Bill Gates.
[01:42:18.035 --> 01:42:25.198]  So, let us kill you, let us cut your energy off, let us depopulate, or we're going to release more viruses.
[01:42:26.138 --> 01:42:33.522]  Now here is Ted Rose, the head of the WHO, literally paid off by Gates, saying he trusts Bill Gates and Bill Gates is running things.
[01:42:33.802 --> 01:42:34.182]  Here it is.
[01:42:35.986 --> 01:42:51.019]  I have known Bill and Melinda for many, many years now and have been working with them very closely, not as a DG, but when I was in Ethiopia working in the Ministry of Health and later on.
[01:42:54.362 --> 01:42:58.966]  Their commitment, I mean these two human beings, it's amazing.
[01:43:01.388 --> 01:43:10.813]  You know, having people like Bill and Melinda with big heart to support humanity, it's something we should cherish.
[01:43:13.634 --> 01:43:25.340]  I have seen them in action and I have seen their, the outcome of all they have been trying to do.
[01:43:27.376 --> 01:43:29.217]  And you know what I always say?
[01:43:29.717 --> 01:43:31.458]  If we can have more people like them.
[01:43:36.300 --> 01:43:40.142]  People who really, genuinely support.
[01:43:41.242 --> 01:43:47.845]  People who have that big heart and bring humanity before anything.
[01:43:49.726 --> 01:43:51.287]  So that's what I would like to assure you.
[01:43:52.421 --> 01:43:53.962]  I can't listen.
[01:43:53.983 --> 01:43:56.104]  He goes on to say he trusts him and Bill Gates for everything.
[01:43:56.725 --> 01:43:57.646]  The clip's on in full force.
[01:43:57.686 --> 01:43:58.587]  I can't listen to any more of it.
[01:43:59.347 --> 01:44:01.469]  Bill Gates says he wants to depopulate you.
[01:44:01.509 --> 01:44:02.770]  Bill Gates pays no taxes.
[01:44:03.171 --> 01:44:04.672]  Bill Gates has everything tax exempt.
[01:44:04.692 --> 01:44:05.513]  Bill Gates is a criminal.
[01:44:08.335 --> 01:44:14.000]  Who's a censor, an anti-American, a pro-communist China, and we're being told he should run our lives.
[01:44:14.020 --> 01:44:15.381]  That's what Tedros goes on to say.
[01:44:15.401 --> 01:44:16.662]  I just can't listen to any more of it.
[01:44:17.203 --> 01:44:18.144]  Here's the Bank of England.
[01:44:20.236 --> 01:44:21.257]  Well, we don't have time for it.
[01:44:21.277 --> 01:44:21.977]  I'll play it when we come back.
[01:44:22.758 --> 01:44:24.999]  Admitting... What's the term they use?
[01:44:26.980 --> 01:44:36.446]  Bank of England chief warns over, quote, apocalyptic food prices because of the lockdowns.
[01:44:37.227 --> 01:44:38.487]  So they trigger all this.
[01:44:38.828 --> 01:44:49.651]   They're going to flood the first world, the refugees, and then pose as a savior and talk about the big heart He also talked about the big heart of Bono that raises billions off Helping Africa and gives 1%.
[01:44:49.691 --> 01:44:49.651]  1.1%.
[01:44:50.271 --> 01:45:03.941]  It's a disgusting scum, like the most sociopathic, psychotic people on earth, and they're just up there betting on us being ignorant, betting on us not being aware of who they are.
[01:45:04.801 --> 01:45:07.283]  Well, we're awake, Tedros, so look out.
[01:45:07.623 --> 01:45:08.344]  You too, Bill Gates.
[01:45:08.684 --> 01:45:09.244]  We'll be right back.
[01:45:09.264 --> 01:45:09.645]  Stay with us.
[01:45:14.352 --> 01:45:21.834]  The year is 1995, and InfoWars launches the last of America's counter-globalist probes.
[01:45:22.334 --> 01:45:36.459]  In a freak mishap, InfoWars.com and Alex Jones are blown out of their trajectory into an orbit which freezes his life support systems, and returns Alex Jones to Earth 25 years later.
[01:45:36.879 --> 01:45:40.340]  Trans-dimensionally, over the space-time continuum through full space-time.
[01:45:40.700 --> 01:45:44.801]  Where people are extremely lazy, the social engineers are there laughing.
[01:45:45.041 --> 01:45:49.043]  What we envisioned a hundred years ago, twenty years ago, is now reality.
[01:45:49.823 --> 01:46:05.948]  While the society unravels, men run around totally frantic, not knowing how to be men, and women run around frantic, not knowing how to be women, and they don't understand that it's an animating contest of life, and that it's fulfilling to be informed, it's fulfilling to be involved, it's fulfilling.
[01:46:06.128 --> 01:46:06.868]  InfoWars.
[01:46:07.248 --> 01:46:08.129]  Tomorrow's News.
[01:46:08.429 --> 01:46:08.729]  Today.
[01:46:09.932 --> 01:46:15.775]  And then, I'm afraid the one that I'm going to sound, I guess, rather apocalyptic about is food.
[01:46:17.736 --> 01:46:25.319]  So when I was in Washington at the IMF World Bank Spring Meetings a month or so ago, and we had the Ukrainian finance minister there.
[01:46:25.459 --> 01:46:27.240]  I did spend most of my time in meetings.
[01:46:27.280 --> 01:46:29.181]  People think I spent most of my time walking out of meetings.
[01:46:29.221 --> 01:46:33.303]  I didn't actually, but only when the Russian finance minister came on.
[01:46:33.363 --> 01:46:41.886]   But I have to tell you that, I mean, I think this is a big concern because I think two things that the Ukrainian finance minister said.
[01:46:41.986 --> 01:46:47.209]  One is, Ukraine does have food in store, but it can't get it out at the moment.
[01:46:47.890 --> 01:47:01.199]  Two, while he was optimistic about crop planting, as you know Ukraine is a major supplier of wheat, a major supplier of oil, of cooking oils.
[01:47:02.259 --> 01:47:08.764]  He said, he was pretty optimistic about planting, interestingly, but he said at the moment we have no way of shipping it out.
[01:47:09.564 --> 01:47:10.125]  Apocalyptic.
[01:47:09.945 --> 01:47:11.945]  I think Stan's moment is getting worse.
[01:47:11.945 --> 01:47:13.945]  And that is a major, major worry.
[01:47:13.945 --> 01:47:15.945]   And it's not just, I have to tell you, a major worry for this country,
[01:47:15.945 --> 01:47:18.945]  it is a major worry for the developing world as well.
[01:47:18.945 --> 01:47:22.945]   And so if I had to sort of, sorry for being apocalyptic for a moment,
[01:47:22.945 --> 01:47:25.945]  but that is a, that's a major concern.
[01:47:25.945 --> 01:47:28.945]  Apocalyptic.
[01:47:28.945 --> 01:47:33.945]  Apocalyptic, says the head of the Bank of England.
[01:47:33.945 --> 01:47:36.945]  But did you hear that the lockdowns caused it?
[01:47:37.554 --> 01:47:42.698]  Oh no, it's Russia, it's Ukraine, and that's just a cherry on top.
[01:47:44.679 --> 01:47:51.584]  And Australia and other countries say, we're going to sign on to this UN treaty, but they won't even release the treaty, but they tell us what the treaty is.
[01:47:52.885 --> 01:47:57.168]  And it's a worldwide corporate technocracy.
[01:47:58.449 --> 01:48:04.273]  And that's what we're discussing here on this Thursday, May 19th broadcast.
[01:48:06.109 --> 01:48:07.249]  I'm going to hit more news now.
[01:48:08.350 --> 01:48:31.938]  There's a lot of it to get to, but I just want to illustrate that what we're dealing with here are individuals and groups that are fundamentally hateful and that are fundamentally ruthless and who at a base level hate everybody, including their own families.
[01:48:33.894 --> 01:48:47.684]  And that's why they tell you all day, America is racist and bad, is because the idea of America, which was never fully implemented, but partially implemented, was so great compared to every other system that they can't deal with it.
[01:48:47.704 --> 01:48:48.645]  They can't compete with it.
[01:48:48.685 --> 01:48:54.609]  They don't know how to respond to a system where, hey, I'm confident in myself.
[01:48:55.939 --> 01:49:12.443]  I'm confident in my abilities, and I think if you're competent, and you're smart, and you build a great business, or a great invention, or make great food, or a great farmer, or a great teacher, or a great artist, a great pastor, a great leader, that your wealth increases my wealth.
[01:49:12.483 --> 01:49:14.043]  I mean, I know that's how wealth works.
[01:49:14.444 --> 01:49:15.284]  Everybody knows that.
[01:49:16.724 --> 01:49:20.605]  So why are they setting up a system where they cut off the carbon and cut off the wealth?
[01:49:21.965 --> 01:49:23.926]  It's because they can't compete with you, ladies and gentlemen.
[01:49:25.256 --> 01:49:29.699]  Pastor Spell last hour read an Ayn Rand quote that was really powerful that I remember reading many years ago.
[01:49:29.719 --> 01:49:30.420]  I hadn't read since.
[01:49:34.283 --> 01:49:39.006]  That we should probably try to find later and play a clip of on air because I can't quote the whole thing just from memory.
[01:49:41.988 --> 01:49:54.415]   But when those that don't produce are pointing their finger at people that do produce, and trying to guilt us into submission to them, you know
[01:49:54.415 --> 01:49:56.895]  you're in a very bad situation.
[01:49:56.895 --> 01:50:03.855]   And that's really what we do here, is we raise the alarm and we try to convince people
[01:50:03.855 --> 01:50:08.975]   from a historic and economic and cultural and religious spiritual perspective
[01:50:08.975 --> 01:50:14.815]  that the only thing you can lose at is not taking action.
[01:50:14.968 --> 01:50:18.389]  The only way you lose is not by being engaged.
[01:50:18.409 --> 01:50:23.411]  Now you can reverse that and say, well, the 1983 movie War Games, what a strange game.
[01:50:24.691 --> 01:50:25.571]  What a strange game.
[01:50:26.192 --> 01:50:28.352]  The only way to win is not to play.
[01:50:28.472 --> 01:50:29.373]  Yes, exactly.
[01:50:29.833 --> 01:50:31.233]  We shouldn't play in the violence.
[01:50:32.433 --> 01:50:33.754]  We shouldn't play in the riots.
[01:50:35.834 --> 01:50:43.717]   But we should be fully, totally, Absolutely engaged.
[01:50:46.218 --> 01:50:46.939]  Every day.
[01:50:48.320 --> 01:50:50.601]  Challenging the lies of the corporate media.
[01:50:50.861 --> 01:50:53.062]  And the good news is we've kicked their butts.
[01:50:54.363 --> 01:50:56.544]  The good news is they're dead politically.
[01:50:57.044 --> 01:50:58.205]  No one's buying what they're doing.
[01:50:58.325 --> 01:51:00.086]  But they're still in control.
[01:51:00.146 --> 01:51:06.109]  So what do you do if you're in control of the finances and the infrastructure but everybody hates you?
[01:51:06.750 --> 01:51:07.410]  Do you give up?
[01:51:07.430 --> 01:51:08.171]  Do you go away?
[01:51:08.191 --> 01:51:09.231]  Do you reform yourself?
[01:51:09.271 --> 01:51:10.252]  Well that's the smart thing to do.
[01:51:11.288 --> 01:51:11.988]  You become a human.
[01:51:12.969 --> 01:51:13.189]  No.
[01:51:14.990 --> 01:51:15.670]  They don't do that.
[01:51:17.131 --> 01:51:21.353]  They double and triple and quadruple and quintuple down, and then they do it again.
[01:51:22.894 --> 01:51:26.556]  And so, that's why we're in such a dangerous position.
[01:51:26.616 --> 01:51:32.219]  I'm just going to say this now to the listeners, and I really mean this from my fundamental core.
[01:51:33.542 --> 01:51:37.123]  I know the power of the individual reaching out and working with other individuals.
[01:51:37.143 --> 01:51:41.664]  Because all of our great successes has been a collective success with all of you.
[01:51:43.245 --> 01:51:48.426]  But beautiful souls, individuals, working together for that change.
[01:51:48.906 --> 01:51:49.906]  That is what you did.
[01:51:50.086 --> 01:51:54.368]  And I never know if it's my last broadcast with the things that are going on in this country and the world.
[01:51:54.568 --> 01:51:55.468]  I think you understand that.
[01:51:57.668 --> 01:51:59.309]  And that's why I want to take time out again.
[01:52:00.373 --> 01:52:02.854]  With all the news and all the clips and all the things I'm about to cover.
[01:52:03.294 --> 01:52:04.494]  I've only covered like a third of the news.
[01:52:05.375 --> 01:52:07.015]  I don't say this because I'm lacking time.
[01:52:10.257 --> 01:52:11.197]  Or I got too much time.
[01:52:12.797 --> 01:52:13.958]  I say it because it's so real.
[01:52:15.518 --> 01:52:16.579]  You know who you are.
[01:52:17.639 --> 01:52:19.099]  That have spoke up for InfoWars.
[01:52:19.880 --> 01:52:22.060]  You know who you are that have prayed for this operation.
[01:52:22.720 --> 01:52:26.442]  You know who you are that have bought products and made donations.
[01:52:27.122 --> 01:52:33.944]  And I want to thank those of you that have done that, particularly in the last month, as I gave it to God.
[01:52:35.244 --> 01:52:39.085]  And I said, God, I can't keep buying products in the future to fund our operation.
[01:52:39.125 --> 01:52:45.007]  Do I just spend the money we got, tell the audience we're going to shut down in 9, 10 months, 12 months maximum.
[01:52:46.545 --> 01:52:50.648]  And do I just let people know we've run our course, but I don't believe we've run our course.
[01:52:51.469 --> 01:53:09.762]  And I just had amazing internal confidence at my core that God does not want this fight to stop and God does not want InfoWars to be a relic of the past, though what we've said and done is going to be powerful in the future.
[01:53:10.714 --> 01:53:18.580]  But God has our most important work to happen currently, in the present, and into the future, and in the past.
[01:53:18.640 --> 01:53:24.885]  Because without a Band-Odd video, they will flush all the previous shows we predicted everything on.
[01:53:25.185 --> 01:53:26.727]  That has such an awakening effect.
[01:53:27.427 --> 01:53:33.712]  And so, it's our past work now, being presented in the current and the future, that is really the most important.
[01:53:34.233 --> 01:53:42.819]   And it is all of you, and your support, To pay for the hundreds of thousands of dollars of bandwidth a month that have allowed this new Great Awakening to happen.
[01:53:43.279 --> 01:53:44.700]  And so you can look in the mirror tonight.
[01:53:44.720 --> 01:53:46.241]  You can look in the mirror right now.
[01:53:47.081 --> 01:53:50.622]  And just know that you did amazing things.
[01:53:51.143 --> 01:53:54.904]  And I believe our greatest days have just begun.
[01:53:54.964 --> 01:53:55.364]  Stay with us.
[01:53:56.705 --> 01:53:57.765]  Back at the moon.
[01:54:00.286 --> 01:54:01.007]  Yeah!
[01:54:03.368 --> 01:54:04.188]  Back at the moon.
[01:54:08.939 --> 01:54:11.021]  All right, my friends, let's continue on with the news.
[01:54:12.742 --> 01:54:13.262]  All right.
[01:54:13.502 --> 01:54:19.627]  Look, I've got to get through all these clips because I was watching these last night and this morning, and they've just got to be seen.
[01:54:20.228 --> 01:54:21.449]  And I've got two clips.
[01:54:21.649 --> 01:54:23.390]  TV viewers will be able to see these radio listeners.
[01:54:23.410 --> 01:54:32.317]  I'll describe them for you that are also on Infowars.com that are just just so illustrative.
[01:54:34.429 --> 01:54:37.450]  And documentary of everything we're talking about.
[01:54:38.130 --> 01:54:45.232]  Obviously China under Rockefeller, Bill Gates, Carnegie, CIA control, 26-7 months ago did the big fair mongering.
[01:54:45.812 --> 01:54:52.073]  All the theater, the people being welded in their houses, people being taken to camps, to set the precedent of this is how you respond.
[01:54:52.113 --> 01:54:55.654]  And now the UN treaty is coming in that codifies that into world law.
[01:55:00.035 --> 01:55:01.575]  But we got new clips.
[01:55:01.595 --> 01:55:02.716]  This is on the Chinese news.
[01:55:02.736 --> 01:55:03.656]  They're very proud of this.
[01:55:07.083 --> 01:55:23.886]  Of 18-wheeler-sized fire trucks, we'll roll the B-roll now, driving down the streets in major cities, spraying disinfectant on the streets in the middle of high noon.
[01:55:26.327 --> 01:55:28.047]  Now, why is that so important?
[01:55:29.107 --> 01:55:34.328]  Well, any virus, particularly coronavirus, is very weak, dies in about three seconds in direct sunlight.
[01:55:35.808 --> 01:55:39.730]  Indoors, in water droplets, it can live about two minutes.
[01:55:39.851 --> 01:55:40.851]  You look those studies up.
[01:55:41.251 --> 01:56:00.263]  It is a known fact that within two to three seconds of sunlight, the COVID-19 virus and all its variants, like vampires at high noon, are fried.
[01:56:03.322 --> 01:56:06.164]  Just like you lay out the sun for 30 minutes, when you add a tan, you get burned.
[01:56:06.644 --> 01:56:08.426]  It kills them in seconds.
[01:56:09.527 --> 01:56:19.154]  They have locked down cities, 40 million people in just one city alone, 30 million in another, 400 million total, and they've got giant...
[01:56:20.945 --> 01:56:25.269]  Bus-sized fire trucks driving around spraying the street.
[01:56:25.650 --> 01:56:34.678]  And they have people that go down the street and spray disinfectant in the air, all theater, while everyone is locked up inside their giant coffin apartments.
[01:56:35.669 --> 01:56:37.250]  Now some people for six weeks.
[01:56:38.111 --> 01:56:46.636]  Mass suicide, death, a giant exercise in martial law, and people that have been welded in and stockaded in to these gulags.
[01:56:47.036 --> 01:56:56.942]  Here's an image, video, of people with rope ladders escaping to get food after almost six weeks inside the buildings.
[01:56:58.023 --> 01:57:10.374]   While the government drives around and people in bunny suits Spraying disinfectant on the streets as if there's a virus there.
[01:57:10.874 --> 01:57:13.774]  All for show, all an exercise of insanity.
[01:57:13.794 --> 01:57:17.195]  And then we have the numbers I covered earlier.
[01:57:19.936 --> 01:57:28.838]  New Zealand, Israel, all the highest vaccinated places have the highest rates of death, illness, hospitalization, you name it.
[01:57:30.928 --> 01:57:33.830]  We know exactly what's going on.
[01:57:35.592 --> 01:57:41.256]  And so you've got to ask yourself, with the behavioral psychology, what is the point of that?
[01:57:42.357 --> 01:57:51.244]  With fire trucks driving around, spraying soap disinfectant on the roads while everyone's locked down, there's not a person on the street.
[01:57:55.267 --> 01:57:56.208]  It's mass insanity.
[01:57:58.209 --> 01:57:58.830]  It's communism.
[01:58:02.688 --> 01:58:04.369]  It's a giant open-air lunatic asylum.
[01:58:07.972 --> 01:58:15.257]  What is the communist Chinese dictator getting their population ready for?
[01:58:15.597 --> 01:58:22.522]  Why do they have giant robot drones flying around spraying chemicals into the air?
[01:58:26.525 --> 01:58:28.146]  You want an image of dystopia?
