[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[01:38:11.507 --> 01:38:13.388]  So, in real terms, it's come down.
[01:38:13.789 --> 01:38:19.713]  Now, moving over to the stock market, we've seen that it's very close, if not in a bear market.
[01:38:19.813 --> 01:38:23.836]  Whether you're looking at the Dow, the S&P, the Nasdaq, the Russell.
[01:38:24.356 --> 01:38:30.781]  And so, to think that we could further this bear market, the answer is absolutely, unequivocally yes.
[01:38:31.561 --> 01:38:40.243]  Especially if the Fed continues this battle with inflation, and if they continue to reduce the size of their balance sheet by doing something called quantitative tightening.
[01:38:40.643 --> 01:38:43.603]  This is basically the opposite of quantitative easing.
[01:38:44.143 --> 01:38:53.165]  And if you set up a chart of the S&P 500, and you layer that over the Fed's balance sheet, there's a very high correlation.
[01:38:53.625 --> 01:38:58.866]  In other words, when the Fed is doing quantitative easing, you see the stock market S&P going up.
[01:38:59.739 --> 01:39:04.963]  When the Fed is doing quantitative tightening, then you see the stock market flattening out and going down.
[01:39:05.343 --> 01:39:11.868]  The Fed just started their QT, or their tightening process, in June of this year.
[01:39:12.488 --> 01:39:25.077]  So, while the Fed is raising interest rates, while they're doing quantitative tightening, while we could be, or what the yield curve is telling us, we could not only be facing a recession, but a significant, a deep, prolonged recession.
[01:39:25.497 --> 01:39:31.101]   I think the probability is very high The stock market comes down in nominal terms as well.
[01:39:31.382 --> 01:39:34.584]  So then the question, Robert, becomes what happens to purchasing power?
[01:39:35.084 --> 01:39:45.231]  And I'm someone that believes the US economy is heavily dependent on asset prices or the purchasing power of average Americans in aggregate total.
[01:39:45.311 --> 01:39:51.815]  So what I mean by that is you can imagine if the stock market came down by 50% from where it is today.
[01:39:52.055 --> 01:39:57.559]  And let's just assume for a moment that we could wave a magic wand and the housing market did the exact same thing.
[01:39:57.418 --> 01:40:01.578]  thing and it did so within the span of six months.
[01:40:01.578 --> 01:40:05.898]   And let's just say that over the next three or four or five years it doesn't
[01:40:05.898 --> 01:40:11.818]   recover. We go into a Japan type scenario in 1990 where the asset prices went down
[01:40:11.818 --> 01:40:17.457]   by call it 50-60 percent and they literally didn't recover for over a
[01:40:17.457 --> 01:40:22.818]   decade even in nominal terms. So think what that would do to the US economy and
[01:40:22.818 --> 01:40:27.338]   the average consumer. When you think about what a healthy economy entails
[01:40:27.338 --> 01:40:33.818]  it's really when you are producing more than you consume.
[01:40:32.713 --> 01:40:49.081]  And think about the level of consumption that we as Americans have had in excess of what we consume due to stimulus checks and due to the fact that these asset prices have been in a bubble and that bubble continues to get larger and larger and larger and larger.
[01:40:49.401 --> 01:40:55.818]   I just read a statistic the other day on CNBC that the average millennial's net worth
[01:40:55.818 --> 01:41:00.817]  has increased by 100% over the last two or three years.
[01:41:00.817 --> 01:41:06.377]   And so, not to poke fun at the millennials, but I thought, okay, well is that because
[01:41:06.377 --> 01:41:11.698]   their STEMI checks increased their checking balance from $500 to $1,000.
[01:41:11.698 --> 01:41:13.198]  (laughing)
[01:41:13.198 --> 01:41:14.658]  But it turns out, no, no, no.
[01:41:14.658 --> 01:41:20.497]   It was about, their average net worth went up to something like 100 or $120,000.
[01:41:20.497 --> 01:41:26.858]   And this is a direct result of the fact that housing went up by such a significant degree.
[01:41:27.149 --> 01:41:36.977]  So you think about what that has done to the overall purchasing power for the United States or consumers in aggregate total, what that does to demand.
[01:41:37.037 --> 01:41:42.581]  I think it increased their net worth by something like four or five trillion dollars.
[01:41:43.502 --> 01:41:48.506]  So you're adding a lot of purchasing power into the economy that wouldn't otherwise be there.
[01:41:49.167 --> 01:42:12.442]  So now let's back up to what we were saying earlier, and if we see the housing market start to go down in nominal terms, even if it's not an outright crash, let's say it starts to go down by 10-15% per year, that's not even including the rate of inflation, and you get the stock market coming down as well, and because we're going into recession, you see unemployment start to go up, so we go from a labor shortage to a labor surplus.
[01:42:13.163 --> 01:42:17.986]  This could really, really impact the average consumer.
[01:42:18.447 --> 01:42:29.194]  And as the United States economy is 70% consumption, that could put us into a tailspin, kind of a feedback loop, where a recession causes asset prices to go down.
[01:42:29.234 --> 01:42:36.980]  Those asset prices going down decreases purchasing power, which puts us further or deepens the actual recession itself.
[01:42:37.400 --> 01:42:39.922]  And then we go right back into this cycle.
[01:42:40.473 --> 01:42:43.759]  So these are my concerns right now for the U.S.
[01:42:43.799 --> 01:42:44.259]  economy.
[01:42:44.520 --> 01:42:46.844]  There are no certainties, there are only probabilities.
[01:42:47.385 --> 01:43:05.060]   But if you look at the euro-dollar future curve, which I'm happy to talk about, or if you look at the treasury curve, this, and this is the smart money by the way, This is predicting that we'll not only have a recession, but we'll have an extreme recession, something similar to potentially what we saw during the GFC.
[01:43:05.260 --> 01:43:13.428]  Now, it's not going to be the same type of crisis, because you rarely have the same type of crisis within like a 50-year time frame.
[01:43:13.769 --> 01:43:20.275]  But the net result, what the yield curves, that's what they're predicting, is that net result will be the same.
[01:43:21.085 --> 01:43:29.531]  And for one of the key organizations that's at the centerpiece of a lot of these policies that have caused a lot of these problems is the Federal Reserve.
[01:43:29.911 --> 01:43:31.792]  You've decided to take on the Federal Reserve.
[01:43:31.832 --> 01:43:39.657]  We've been part of a one-year-long project trying to get them to disclose their secret books, their secret files, all the information that led to their governing decisions.
[01:43:39.677 --> 01:43:44.881]  They've been playing games, so it looks like we're going to have to file suit, and our right to file suit is coming very soon.
[01:43:45.541 --> 01:43:49.524]  What inspired you to take on the Federal Reserve to get this information out to the people?
[01:43:51.300 --> 01:43:55.601]  Well, a personal story, it was just a dinner that you and I had in Las Vegas.
[01:43:56.622 --> 01:44:04.864]  We were enjoying a nice steak dinner with some good whiskey, and we were talking about what the Federal Reserve did in 2020, specifically.
[01:44:04.904 --> 01:44:06.144]  My memory serves me right, Robert.
[01:44:06.925 --> 01:44:20.454]   And this had me very concerned, because you look at the Federal Reserve Act, and this is basically like the Constitution for the Federal Reserve, meaning that it's meant to constrain The Central Planners.
[01:44:21.235 --> 01:44:27.278]  And you and I always talk about how it's important that we remain a country of law and not of men.
[01:44:28.038 --> 01:44:35.421]  And you look at these special purpose vehicles that the Fed set up during March of 2020 to buy corporate debt, as an example.
[01:44:35.902 --> 01:44:38.883]  And this is, they can't do that.
[01:44:39.803 --> 01:44:43.145]  It might not technically be in there, but you'd know the legal terms.
[01:44:43.185 --> 01:44:51.308]   If you want to follow the spirit of the law, I mean, it's not even close to within their legal rights as to what they can do.
[01:44:51.328 --> 01:44:52.869]  So we had this conversation.
[01:44:52.909 --> 01:44:54.990]  I said, well, we got to hold their feet to the fire.
[01:44:55.250 --> 01:44:56.030]  How do we do this?
[01:44:56.410 --> 01:45:03.873]  Is there a way that we can do a FOIA request to see what they did and then expose that to the public and maybe take it further if we need to?
[01:45:03.893 --> 01:45:05.814]  And you said, yes, there absolutely is a way.
[01:45:06.194 --> 01:45:07.635]  And that's what got us to where we are today.
[01:45:08.095 --> 01:45:08.456]  Exactly.
[01:45:08.776 --> 01:45:09.357]  Thanks, George.
[01:45:09.818 --> 01:45:13.544]  Everybody can find George at George Gammon on YouTube and Rebel Capitalist Pro.
[01:45:13.685 --> 01:45:33.285]   That's where you should go to get the inside information you need to make the best decisions.
[01:45:33.280 --> 01:45:40.383]  Instead, they obediently learned the new rules and rationalized their submission as a necessary evil.
[01:45:41.183 --> 01:45:48.026]  As a result, things have only gotten worse for everyone, and without any recourse, they are about to get much worse.
[01:45:48.966 --> 01:45:58.929]  Alex Jones is now patient zero for America's new de facto justice system, brought to you by the fear, complacency, and inaction of the people.
[01:45:59.350 --> 01:46:03.251]  Because we take it, here's how we can all expect to now be treated.
[01:46:04.191 --> 01:46:20.377]  Even though Jones never mentioned their name and the parents never sought a retraction, Alex Jones is being sued for defamation and intentional infliction of emotional distress by parents of children who were murdered at Sandy Hook Elementary School.
[01:46:20.997 --> 01:46:33.988]  The rest of the plaintiffs are federal agents, and the legal team is comprised of highly politicized members of the anti-gun lobby, who have admitted their intention is to silence Alex Jones.
[01:46:34.789 --> 01:46:46.677]   So with this new precedent, if you dare question the official narrative, say for example, the school shooting in Uvalde, Texas, Then someone can sue you into oblivion for emotional distress.
[01:46:47.238 --> 01:46:48.298]  But it only gets worse.
[01:46:48.938 --> 01:46:57.643]  The plaintiffs claim that Alex Jones was the perpetrator of the Sandy Hook crisis actor conspiracy theory, which is demonstrably false.
[01:46:58.143 --> 01:47:10.490]  After all the censorship and deleted videos, one can still find hours and hours of video content compiled from hundreds of sources, all questioning the official narrative of Sandy Hook.
[01:47:11.350 --> 01:47:16.374]  It was arguably the most discussed conspiracy theory since 9-11.
[01:47:17.055 --> 01:47:22.579]  And over the course of seven years, Alex Jones spent less than 30 minutes discussing it.
[01:47:23.159 --> 01:47:26.102]  We know this because it's all part of the public record.
[01:47:26.462 --> 01:47:29.704]  But these radical judges do not care about evidence.
[01:47:30.005 --> 01:47:34.028]  I am not currently representing Alex Jones, so I am free to speak my mind.
[01:47:34.988 --> 01:47:42.130]  They're already, apparently I've heard, that the plaintiff's lawyers are complaining about me speaking out about the case.
[01:47:42.310 --> 01:47:44.891]  That's how corrupt these plaintiff's lawyers are.
[01:47:44.991 --> 01:47:51.973]  They're political hacks standing on the bodies of dead kids to line their pockets and take away other people's political rights.
[01:47:52.293 --> 01:47:54.274]  And I find it disgusting what they've done.
[01:47:54.294 --> 01:47:59.557]   And so, but in this particular context, Jones has produced more discovery than anybody.
[01:47:59.777 --> 01:48:03.580]  I can't find anyone that's produced more discovery than he is and yet they pretended that he didn't.
[01:48:03.900 --> 01:48:04.261]  Why?
[01:48:04.921 --> 01:48:07.623]  Because they built their whole case on a big lie.
[01:48:07.984 --> 01:48:18.272]  Both Judge Gamble in Texas and Judge Bellis in Connecticut have found Alex Jones guilty without ever holding a trial or hearing any evidence.
[01:48:18.672 --> 01:48:25.560]  Which is worse treatment than anyone has ever gotten in America, including Charles Manson and Al Capone.
[01:48:26.141 --> 01:48:35.772]  And their excuse for this abomination of justice is they claim that Jones failed to provide them with the incriminating evidence that they imagine must exist.
[01:48:36.492 --> 01:48:44.078]  Whatever that mysterious, unspecified evidence is, both judges have stripped Jones of his First Amendment right.
[01:48:44.518 --> 01:48:46.960]  But Judge Gamble has gone much further.
[01:48:47.580 --> 01:48:55.166]  Judge Maya Gamble comes from CPS, who has been exposed for human trafficking and working with pedophiles.
[01:48:55.686 --> 01:49:07.051]  Gamble helped publish CPS propaganda praising the state's authority and advising parents that it's normal for their children to lie about being abused in foster care.
[01:49:07.832 --> 01:49:19.277]  In the Alex Jones case, Judge Gamble has ordered that the words First Amendment and free speech cannot be used by Alex Jones, his witnesses, or even his lawyers.
[01:49:19.997 --> 01:49:21.938]  He is not allowed to defend himself.
[01:49:22.678 --> 01:49:30.901]  Judge Gamble has instructed that the jury is not allowed to hear about the emotional trauma caused by the mass murderer who killed the children.
[01:49:31.582 --> 01:49:36.703]  They are only allowed to hear how their trauma was caused by the words of Alex Jones.
[01:49:37.604 --> 01:49:45.467]  And during jury selection, not a single juror thought the media has ever treated Alex Jones or InfoWars unfairly.
[01:49:46.388 --> 01:49:53.587]  And any juror who questioned the $100 million amount casually discussed by the plaintiff's lawyers were kicked off the jury.
[01:49:54.797 --> 01:50:02.683]  Alex Jones was cancelled from social media in 2018 and is now being cancelled from the US Bill of Rights and Constitution.
[01:50:03.464 --> 01:50:06.686]  And because of our complacency, everyone else is next.
[01:50:07.427 --> 01:50:13.932]  And in case you were wondering, the way we used to do justice was a thing called innocent until proven guilty.
[01:50:14.612 --> 01:50:18.155]  It relied upon the burden of proof and it was pretty good.
[01:50:19.436 --> 01:50:21.958]  Reporting for InfoWars, this is Greg Reese.
[01:50:26.496 --> 01:50:29.439]  Welcome back to the Alex Jones Show, Robert Barnes hosting.
[01:50:30.040 --> 01:50:35.885]  Today, Alex Berenson went on Twitter and said anybody who defends Alex Jones, he's going to block.
[01:50:36.326 --> 01:50:46.296]  This is the grifter and liar and fraud Alex Berenson, who raised money to support his suit against Twitter, promising he would never settle until and unless he got discovery.
[01:50:46.576 --> 01:50:47.317]  And then what did he do?
[01:50:47.737 --> 01:50:50.318]  He's settled without getting publicly disclosed discovery.
[01:50:50.558 --> 01:50:52.319]  Because he's a liar and a fraud.
[01:50:52.479 --> 01:50:56.861]  This is a guy who repeats every war-whore, war-mongering pitch he's ever heard.
[01:50:57.201 --> 01:50:59.402]  This is a guy who lied about Robert Malone.
[01:50:59.502 --> 01:51:02.064]  This is a guy who attacked anybody who supported Ivermectin.
[01:51:02.424 --> 01:51:06.986]  Just because he got one or two things right doesn't mean he's generally a reliable source.
[01:51:07.086 --> 01:51:10.667]  Generally, he is a lot less reliable than Alex Jones has been.
[01:51:10.988 --> 01:51:33.656]   And if he's going to go around attacking people for defending Alex Jones' right to due process of law, Right to trial by jury, a right established at the foundation of our country, he should at least try to get a few things right for a guy who's been too busy grifting and defrauding his own customer base to support a suit that he didn't push like he said and promised he would as the condition for raising that money.
[01:51:34.196 --> 01:51:40.599]  So, indeed, people with logs in their eyes shouldn't be going around trying to spot the specks in other people's eyes.
[01:51:40.940 --> 01:51:42.460]  But this is part of a pattern.
[01:51:42.921 --> 01:51:51.325]  The judge in the Sandy Hook case, here in Austin, Texas, concerning Alex Jones, I would love to show you what she said to the jury.
[01:51:51.865 --> 01:51:53.086]  But she's not allowing that!
[01:51:53.706 --> 01:52:02.131]  Only the media outlets that she chooses are allowed to republish or rebroadcast any aspect of a trial that the public has a right to access.
[01:52:02.631 --> 01:52:08.772]  So while that judge is depriving people of their constitutional right to publicly access the trial, what does she have to hide?
[01:52:09.172 --> 01:52:15.274]  Well, maybe her own prior history as a lawyer involved with Child Protective Services and all that entails.
[01:52:15.834 --> 01:52:17.974]  So, or what's happening in the courtroom?
[01:52:18.134 --> 01:52:26.076]  Why is this judge scared for the world to see what is happening in the courtroom unless she controls the broadcast and publication of it?
[01:52:26.656 --> 01:52:29.197]  Maybe because of what she actually did the other day.
[01:52:29.777 --> 01:52:43.423]  So, as part of Alex Jones' defense, the defense lawyer got up and said that Alex Jones had repeatedly, profusely, quite on his knees to the world, effectively, apologized.
[01:52:43.623 --> 01:52:49.606]  Again, and again, and again, and again, for anything and everything he got wrong in the Sandy Hook context.
[01:52:50.106 --> 01:52:56.488]  Do you remember the New York Times apologizing for getting us involved in war after war after war after war after war?
[01:52:56.768 --> 01:53:03.250]  Do you remember CNN apologizing for anything that they've done that's led to the deaths of tens of millions of people around the globe?
[01:53:03.851 --> 01:53:04.031]  No.
[01:53:04.431 --> 01:53:06.471]  Alex Jones didn't cause any deaths at all.
[01:53:06.972 --> 01:53:14.014]  All he got wrong was a few items and he publicly admitted to that on a public confessional, on a public confessional tour.
[01:53:14.634 --> 01:53:17.857]  So, why does the judge not want the jury to hear that information?
[01:53:18.277 --> 01:53:30.248]  Well, what the judge did is the judge not only struck that from the record, the judge told the jury that Texas law, under defamation law, doesn't allow an apology to be used for mitigation of damages.
[01:53:30.908 --> 01:53:36.130]  Well that's kind of odd because Texas law says the exact opposite of what the judge said.
[01:53:36.491 --> 01:53:45.175]  What Texas law specifically states is that indeed an apology can be admissible evidence that should be admitted into court to mitigate it.
[01:53:45.555 --> 01:54:04.881]   This is part of the railroading of Alex Jones, the weaponized lawfare that involves the denial of due process and the denial of a right to trial by jury that should concern all Americans Especially someone like Alex Berenson, who should be more worried about refunding the donors he scammed than attacking Alex Jones supporters in the court of public opinion.
[01:54:06.622 --> 01:54:07.202]  We are back!
[01:54:07.502 --> 01:54:09.962]  This is the Alex Jones Show, Robert Barnes hosting.
[01:54:10.822 --> 01:54:17.644]  In this segment, we will be discussing with Richard Barris what the polling and public opinion data really shows.
[01:54:18.464 --> 01:54:26.469]   Later on, we will be discussing whether or not, as a Hail Mary, Biden plans to indict Donald Trump anytime soon.
[01:54:27.029 --> 01:54:28.410]  But first, with Richard Barris.
[01:54:28.811 --> 01:54:31.493]  You can find Richard Barris at People's Pundit Daily.
[01:54:31.513 --> 01:54:34.616]  You can find him at peoplespundit.locals.com.
[01:54:34.636 --> 01:54:44.165]  You can find People's Pundit on Rumble and, while it still lasts, on YouTube and some other platforms until they finally completely and utterly remove him for speaking truth to power.
[01:54:44.685 --> 01:54:52.428]  Richard Barras has been the most accurate pollster consistently for elections going on the better part of a decade since he's entered the business.
[01:54:52.968 --> 01:55:02.672]  And for that reason has been attacked and defamed by many of the institutional gatekeepers concerning public opinion because they often don't want you to know what real public opinion holds.
[01:55:03.413 --> 01:55:23.735]  Richard was ahead of the curve predicting consistently the collapsing approval ratings of Joe Biden weeks or sometimes months before the institutional media would confess the same and has been consistently accurate calling a wide range of elections for a long period of time consistently the most accurate election after election, year after year, cycle after cycle.
[01:55:24.255 --> 01:55:37.906]  So that's why we're here to discuss with Richard what's coming up for November, what's coming up in August in Arizona in the Senate primaries, and what the real political opinions are on issues like abortion and free speech and Alex Jones.
[01:55:38.847 --> 01:55:39.928]  Richard, glad you could make it!
[01:55:41.445 --> 01:55:42.727]  Hey, thanks for having me, Robert.
[01:55:42.807 --> 01:55:44.689]  It's good to be here with you, my friend, as always.
[01:55:45.049 --> 01:55:45.590]  Absolutely.
[01:55:46.031 --> 01:55:57.044]  So, in terms of the politics of abortion as an example, there's been a lot of institutional complaints or statements that, hey, you know, the Republicans are really going to get hit, they're really going to get hurt.
[01:55:57.404 --> 01:56:00.347]  Because of Roe v. Wade's reversal and sending it back to the states.
[01:56:00.728 --> 01:56:02.590]  The American people all love abortion.
[01:56:02.630 --> 01:56:06.214]  They want abortion to be as long and as often and as frequent as possible.
[01:56:07.716 --> 01:56:14.984]  That's where the public consensus is and that there'll be this mass turnout of young Democrats enraged at the denial of their rights to an abortion.
[01:56:15.564 --> 01:56:17.727]  Is that in fact what the American people believe?
[01:56:19.488 --> 01:56:21.570]  Yeah, that's like a 30-year-old argument, Robert.
[01:56:22.030 --> 01:56:37.923]  You know, the problem with, and Republicans should understand this, and they'd be able to fight back and use abortion to their advantage, but the truth is that's the same argument, you know, they constructed this box in the 1990s for us to all have this debate in, but the truth is abortion voters aren't young anymore, Robert.
[01:56:38.243 --> 01:56:39.043]  They're not young.
[01:56:39.103 --> 01:56:44.445]  The 1990 youth voter is now like me, a 40-year-old middle-aged voter.
[01:56:45.345 --> 01:56:48.026]  These are what we're calling the news cycle Democrats.
[01:56:48.106 --> 01:56:53.627]  It does, you know, tend to influence, you know, their views on what's their most important issue.
[01:56:53.647 --> 01:56:55.828]  It really changes with the news cycle.
[01:56:55.948 --> 01:56:58.149]  Abortion is the latest one, but two months ago.
[01:56:58.449 --> 01:56:59.749]  It would have been the war in Ukraine.
[01:57:00.069 --> 01:57:02.691]  They would have changed their mind and would have told you it was the war in Ukraine.
[01:57:03.032 --> 01:57:07.135]  A week before the Roe v. Wade decision, it would have been gun safety.
[01:57:07.255 --> 01:57:09.878]  So, you know, these voters vote anyway.
[01:57:09.958 --> 01:57:10.819]  That's the truth of it.
[01:57:11.379 --> 01:57:12.981]  They hold post-grad degrees.
[01:57:13.021 --> 01:57:16.644]  They're typically the overly educated, as we refer to them.
[01:57:16.984 --> 01:57:18.826]  They're going to vote anyway.
[01:57:18.946 --> 01:57:25.451]  So younger voters don't really think about this stuff the way we did in the 80s and the 90s, especially in the 90s.
[01:57:26.152 --> 01:57:32.036]  You know, when the pro-choice designation had massive double-digit leads, that's just not the case anymore.
[01:57:32.076 --> 01:57:35.579]  Month-to-month, pro-life and pro-choice are pretty much split.
[01:57:35.899 --> 01:57:40.983]  And aside from Gallup, I would put our record, you know, second to nobody.
[01:57:41.423 --> 01:57:43.905]  They just, Gallup has a longer track record of doing this.
[01:57:44.225 --> 01:57:52.271]  But we've been pulling this issue in-depth for a very long time, and views on abortion are much more complicated than the media, you know, wants to portray them.
[01:57:52.791 --> 01:58:06.674]  And is it in fact the case that a majority of Americans in pretty much every state favor relimiting abortion until once a baby has a heartbeat and there's brain activity and it's past 12 weeks?
[01:58:07.274 --> 01:58:16.276]  Is there majority support for an abortion at that point, after the 12 week time period, after a heartbeat, after brain development has taken place in America?
[01:58:17.620 --> 01:58:19.041]  Yeah, not at all.
[01:58:19.401 --> 01:58:26.446]  So the more, obviously, different stages, opposition to abortion grows as you get through different stages, the different trimesters.
[01:58:27.366 --> 01:58:31.589]  But with the advent of the heartbeat bill, for instance, in Texas, we started saying that, using that term.
[01:58:31.949 --> 01:58:36.512]  Once a baby, once a heartbeat is able to be detected.
[01:58:36.792 --> 01:58:44.737]  You know, what's interesting about that, and people can go see this on our locals page, they can go find this polling, we'll show you the difference between pro-life and pro-choice voters.
[01:58:44.817 --> 01:58:47.458]   When somebody tells you they're pro-life, They're pro-life.
[01:58:47.899 --> 01:58:57.804]  And when you ask them whether they support or oppose abortion in different varying stages of the pregnancy, their views are much more consistent than somebody who tells you that they're pro-choice.
[01:58:58.224 --> 01:59:10.075]   Somebody can tell you they're pro-choice, and then when you ask them whether they support abortion, After a heartbeat has been detected, they're going to lose about a third of that pro-choice vote right at that period where the heartbeat has been detected.
[01:59:10.095 --> 01:59:13.780]  When you get into the second trimester, they start to lose near majority.
[01:59:13.820 --> 01:59:18.886]  When you get into the third, then they start to lose almost super majorities of their own vote.
[01:59:19.546 --> 01:59:25.952]  So, you know, the truth is science has not been kind to the abortion industry over the last two, three decades.
[01:59:26.332 --> 01:59:27.994]  And people's views on abortion change.
[01:59:28.014 --> 01:59:28.895]  They want it limited.
[01:59:29.415 --> 01:59:33.899]  Even people will tell you they're pro-choice and tell you that it shouldn't be outlawed completely.
[01:59:34.240 --> 01:59:37.783]  What they mean, Robert, is within weeks, like soon.
[01:59:38.223 --> 01:59:40.965]  A Biden voter in Austin, or Dallas, excuse me.
[01:59:41.406 --> 01:59:49.492]  A Biden voter in Dallas, a female, who was, middle age is a pretty good way to explain her, to describe her.
[01:59:50.092 --> 01:59:54.175]  She told us that she still opposed abortion after a heartbeat had been detected.
[01:59:54.295 --> 02:00:01.301]  And when we asked her about it, she said something I've never heard before, but it really, it was, it's going to stick with me because it was profound.
[02:00:01.821 --> 02:00:12.428]  And she said, you know, when we think about it, when we think about, you know, people dying, you're about to enter the death state, and life is over, when the heartbeat stops beating, we associate that with death, right?
[02:00:12.448 --> 02:00:15.991]  Because you're not going to have brain activity after your heart, you know, stops beating.
[02:00:16.371 --> 02:00:24.557]  Just as we think about it with death, you know, then the point that the heart starts beating is why I think of it as the beginning of life.
[02:00:24.697 --> 02:00:29.080]  And, you know, all these years polling, I had not had it explained to me like that.
[02:00:29.800 --> 02:00:35.802]  But that is a supposedly pro-choice woman in a Dallas suburb who voted for Joe Biden.
[02:00:36.342 --> 02:00:41.724]  So she's very indicative of how the modern American voter looks at this issue.
[02:00:42.124 --> 02:00:43.624]  And can you also describe on guns?
[02:00:43.744 --> 02:00:46.385]  Because there's been discussion that the Second Amendment decision of the U.S.
[02:00:46.405 --> 02:00:50.706]  Supreme Court and its ramifications will have this massive political backlash across the country.
[02:00:51.366 --> 02:00:56.868]  Is the Second Amendment a net political winner for Republicans in November?
[02:00:58.405 --> 02:01:05.527]  Yeah, there's only downside risk if you get on board with pushing any kind of gun control measure if you're on the right.
[02:01:05.867 --> 02:01:18.270]  The reason is, all that you can do, you're not going to win the middle of the road voter who is responsible for the temporary rise in polling when an event happens and people start polling and ask about stricter gun control laws.
[02:01:18.590 --> 02:01:21.913]  There's always a temporary increase in people that will say, yes, I support that.
[02:01:22.294 --> 02:01:24.436]  Those people don't vote based on guns.
[02:01:24.476 --> 02:01:28.699]  The only people who vote on gun issues are pro-Second Amendment voters.
[02:01:29.040 --> 02:01:32.523]  And all you'll do is discourage them from voting or tick them off.
[02:01:32.863 --> 02:01:40.350]  If you look at a race like Michigan 3, where we polled out there for the, there's John Gibbs going against the incumbent Peter Mayer, right?
[02:01:41.691 --> 02:01:44.154]  Mayer, the department store guy.
[02:01:44.770 --> 02:01:48.572]  There were people who weren't angry that his first vote was to impeach Donald Trump.
[02:01:48.612 --> 02:01:51.234]  Maybe they didn't like it, but that wasn't a deal breaker for them.
[02:01:51.594 --> 02:01:53.735]  They weren't happy about the January 6th committee.
[02:01:53.776 --> 02:01:58.979]  They don't like it, but that's not, again, what did it for them when we were polling is when he cast that gun vote.
[02:01:59.339 --> 02:02:01.000]  And that's when the bottom fell out from Peter.
[02:02:01.540 --> 02:02:05.885]  So it's a perfect example of all you can do is put yourself at risk.
[02:02:05.945 --> 02:02:10.029]  You can either discourage your voters, but you're not going to win anybody else over.
[02:02:10.090 --> 02:02:12.552]  Those people in the middle, they're going to vote on inflation.
[02:02:12.572 --> 02:02:13.854]  They're going to vote on the economy.
[02:02:13.874 --> 02:02:15.115]  They're going to vote on something else.
[02:02:15.455 --> 02:02:17.838]  And guns, it's just not their priority, Robert.
[02:02:21.777 --> 02:02:29.979]  The little secret of abortion voting, the little secret of Second Amendment voting, is that it is a net winner for the pro-life community.
[02:02:30.399 --> 02:02:33.700]  It is a net winner for the pro-Second Amendment community.
[02:02:33.980 --> 02:02:40.123]   When we come back after the break with Richard, we'll discuss Who is going to win the Arizona Republican primary?
[02:02:40.463 --> 02:02:42.344]  Who is going to prevail in November?
[02:02:42.664 --> 02:02:45.026]  Democrats are saying maybe it's close and competitive.
[02:02:45.186 --> 02:02:45.786]  Is it really?
[02:02:46.186 --> 02:02:49.688]  What would a Trump DeSantis ticket look like in 2024?
[02:02:50.709 --> 02:02:54.651]  And where is there any practical alternative to Joe Biden?
[02:02:55.011 --> 02:03:01.855]  Or are the Democrats going to have to play weekend at Bernie's for two more years with just weekend at Biden's instead?
[02:03:02.355 --> 02:03:05.037]  Now remember everybody, you are the front line.
[02:03:05.397 --> 02:03:09.340]  And if you hold the line, you will keep InfoWars alive and afloat.
[02:03:09.620 --> 02:03:15.864]  You will make sure independent information continues to be accessible and available to you and those you care about.
[02:03:16.184 --> 02:03:23.269]  And you can do so by making yourself healthier, wealthier and wiser by going to InfoWarsStore.com.
[02:03:23.549 --> 02:03:28.592]  We'll be back right after the break with Richard to break down what November elections will look like.
[02:03:30.253 --> 02:03:30.994]  It is surreal.
[02:03:32.239 --> 02:03:34.280]  to actually be living inside the New World Order.
[02:03:35.280 --> 02:03:42.763]  It is bizarre to read all their white papers and battle plans from 50, 60, 70 years ago and now to see it all being implemented.
[02:03:43.824 --> 02:03:50.987]  What's truly horrifying is we know what their battle plans call for in the next phase, a 90% foresty population of the planet.
[02:03:51.907 --> 02:04:00.411]  They have recruited an army of control freaks and pedophiles and scum and criminals of every sort to build their New World Order army.
[02:04:01.562 --> 02:04:05.765]  They have the big private central banks, and they're funding, they have the corporate media, they have most of the courts.
[02:04:05.805 --> 02:04:08.746]  But they don't have our hearts, our minds.
[02:04:09.267 --> 02:04:10.788]  And they don't have control of your soul.
[02:04:12.285 --> 02:04:18.628]  If we simply realize that God is the answer and reach out to God to give us discernment, to lead God and direct us, we are unstoppable together.
[02:04:18.648 --> 02:04:22.070]  Now, InfoWars is under unprecedented globalist attack.
[02:04:22.110 --> 02:04:25.032]  I'm quite frankly proud of it, even though it's very daunting.
[02:04:25.252 --> 02:04:28.394]  But I know I have the living God inside my soul.
[02:04:28.414 --> 02:04:31.635]  I have the power of the overcomer inside of me, and so do you.
[02:04:31.655 --> 02:04:32.416]  We're going to win this.
[02:04:33.536 --> 02:04:43.851]  If we just continue to resist the tyrants, not because we hate these evil people, but because we love our children and we love the innocents that are counting on us to stand up and speak out and fight back.
[02:04:44.152 --> 02:04:45.634]  Now, the cavalry's here.
[02:04:45.714 --> 02:04:47.476]  So many of our best-selling products have been sold out.
[02:04:47.997 --> 02:04:49.559]  They've all come back in the last few weeks.
[02:04:50.020 --> 02:04:52.982]  And it's bringing in funding that was absolutely essential at this point.
[02:04:53.362 --> 02:04:54.262]  So it's a 360 win.
