[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[01:27:01.938 --> 01:27:04.899]  And you've got to get it out on your email list, your text message, by hand.
[01:27:05.260 --> 01:27:06.000]  Take clips of it.
[01:27:06.320 --> 01:27:07.101]  Put it up everywhere else.
[01:27:07.221 --> 01:27:08.421]  This is an information war.
[01:27:11.217 --> 01:27:14.957]  That is about blocking us, about blocking you.
[01:27:14.957 --> 01:27:17.778]  They will not succeed if the signal gets out.
[01:27:17.778 --> 01:27:22.317]   And out of all the amazing signals, InfoWars is right there at the tip of the spear
[01:27:22.317 --> 01:27:24.778]  'cause we have this giant audience of you.
[01:27:24.778 --> 01:27:26.337]  Freedom is powered by you.
[01:27:26.337 --> 01:27:28.717]  You're the reason InfoWars is so powerful.
[01:27:28.717 --> 01:27:31.936]  We'll be right back, stay with us.
[01:27:31.936 --> 01:27:36.936]   If you're gonna have a covert kill system, you wanna be able to give a bunch of people
[01:27:36.936 --> 01:27:42.457]   saltwater placebo and then others, toxic injection.
[01:27:42.371 --> 01:27:44.052]  And that's what I've seen.
[01:27:44.973 --> 01:27:52.538]  I've talked to military people at the grocery store and gas stations and basically all the military that's active that we've had in here.
[01:27:53.319 --> 01:27:55.220]  We had a Green Beret doctor in here a few weeks ago.
[01:27:55.280 --> 01:27:58.362]  He said, my God, he goes, I've had hundreds of shots over the years.
[01:27:58.402 --> 01:28:00.544]  He's 50 something years old, was in the military in the eighties.
[01:28:00.564 --> 01:28:03.566]  And he says, I have brain fog now.
[01:28:03.706 --> 01:28:06.849]  I've never been this sick after they gave me the two shots.
[01:28:06.889 --> 01:28:07.769]  He goes, I probably can't.
[01:28:07.889 --> 01:28:08.530]  We saw him on air.
[01:28:08.550 --> 01:28:09.531]  He sat right here and talked about it.
[01:28:10.390 --> 01:28:14.531]  He was here with his cool dog because he's working in the task force down on the border for the governor.
[01:28:15.972 --> 01:28:16.912]  And so there he was.
[01:28:16.932 --> 01:28:26.155]  Then we have the Greg Reeves report showing out of these databases, I want to see what our guest thinks of this, that certain areas are being targeted with the more toxic lots of this.
[01:28:26.575 --> 01:28:29.696]  Tom Renz, you're right at the tip of the spear on this.
[01:28:29.736 --> 01:28:30.637]  What do you think is going on here?
[01:28:32.357 --> 01:28:34.358]  Well, it's an experiment in my opinion.
[01:28:34.658 --> 01:28:37.159]  OK, so I've got a lot of evidence on this.
[01:28:39.079 --> 01:28:40.600]  And so I don't mind talking about it.
[01:28:40.620 --> 01:28:42.561]  You know, I don't like talking about it unless I can show it.
[01:28:43.422 --> 01:28:50.666]  But the evidence I've seen is very, very strong, in my opinion, that different lots are different formulations.
[01:28:50.886 --> 01:28:56.429]  Now, whether they're different ingredients or not, I don't know for sure, because naturally everything is super secret.
[01:28:56.889 --> 01:29:02.052]  But we're seeing massive increases in side effects in some lots versus others.
[01:29:02.914 --> 01:29:16.424]  And the analysis that's been done on this, I got a few really, really brilliant scientists that have analyzed the heck out of this, and it really strongly indicates that this is what we all know it is, one giant experiment.
[01:29:16.824 --> 01:29:24.910]  Now, I'm going to tell you, Alex, so some of this stuff, you know, we're not arguing in court, but I, again, I've seen enough evidence that I'm comfortable talking about it.
[01:29:26.331 --> 01:29:32.113]   What we see Is the money in this is not going towards the COVID shots.
[01:29:32.173 --> 01:29:41.542]  So right now, if they could, I think they would let the COVID shots go away and then just put the money in the gene therapy, which they're already moving into the flu shots, right?
[01:29:42.483 --> 01:29:44.024]  The money is in the gene therapy.
[01:29:44.064 --> 01:29:45.526]  That's where the investment money is.
[01:29:45.566 --> 01:29:47.027]  That's where the global investment is.
[01:29:47.067 --> 01:29:47.968]  That's where all that's going.
[01:29:48.656 --> 01:29:53.158]  So, gene therapy, if you look historically, there's been a lot of talk about this.
[01:29:53.318 --> 01:29:58.199]  They've been trying to get it handled and get it to become mainstream for a long time, but no one would take it.
[01:29:58.940 --> 01:30:04.802]  So, now with this whole COVID nonsense, they've forced people to take these gene therapies.
[01:30:04.842 --> 01:30:10.704]  By the way, I've got Pfizer and Moderna documents openly admitting that these are gene therapies, so I don't need to get into that.
[01:30:10.864 --> 01:30:13.144]  It's from Pfizer, it's from Moderna, they admit it.
[01:30:13.685 --> 01:30:14.965]  It's not disputable, right?
[01:30:15.851 --> 01:30:19.314]  So, what do you do when you put out something new that's untested?
[01:30:19.374 --> 01:30:20.294]  Well, you've got to test it.
[01:30:20.795 --> 01:30:26.859]  So, to me, it looks like they've got different formulations that are going to different places.
[01:30:27.479 --> 01:30:36.926]  And I think that they're literally testing out to try and figure out how to best create and develop this gene therapy stuff.
[01:30:36.986 --> 01:30:41.529]  Now, we've got evidence that I would say is credible.
[01:30:42.672 --> 01:30:49.635]  Of a lot of other things, but it gets out there far enough that I don't feel comfortable talking about it publicly.
[01:30:49.675 --> 01:30:52.917]  Sure, and I spend all day researching this as well, but you're a lawyer, you've got the documents.
[01:30:53.877 --> 01:31:12.479]   They, as you said before they did this, admitted they were going to do gene therapy, and now they say, oh, make flu shots and make other shots mandatory gene therapy, and they even said in 2019, right before this was launched on C-SPAN, with Fauci, We need a new virus out of China to blow up the old system and make people accept gene therapy.
[01:31:12.719 --> 01:31:15.560]  So you're right, this is all about their revolution of gene therapy.
[01:31:16.880 --> 01:31:18.961]  Yeah, yeah, they've been very clear about that.
[01:31:19.181 --> 01:31:26.422]  I mean, this is really, the money is pushing the gene therapy and you've got to understand that the money and the power is pushing genetic therapy.
[01:31:26.462 --> 01:31:28.063]  Now why is that so important?
[01:31:28.543 --> 01:31:29.543]  That I can't prove.
[01:31:30.123 --> 01:31:33.064]  But what I can tell you is that's where it's going, that's what they're pushing for.
[01:31:33.964 --> 01:31:37.785]  And, you know, they've already tried to integrate this into the flu shot.
[01:31:37.805 --> 01:31:44.147]  So if you're getting the flu shot, I think next year, I don't know if it's in this year or not, there'll be gene therapy in it.
[01:31:44.588 --> 01:31:50.329]  So, you know, they're going to try and quietly have the COVID vaccines, you know, maybe we get justice, maybe they don't.
[01:31:50.429 --> 01:31:53.130]  But what they're going to try and hold on to is the gene therapy.
[01:31:53.550 --> 01:31:56.872]  So just FYI, guys, we'll be suing over that too.
[01:31:57.652 --> 01:31:59.452]  You know, we do know what they're doing.
[01:31:59.472 --> 01:32:01.213]  We're going to fight them every step of the way.
[01:32:02.173 --> 01:32:03.554]  That's why we need your support.
[01:32:03.734 --> 01:32:07.477]  So please do support us at Renz-Law.com and our gifts on GoAndAll.com.
[01:32:07.497 --> 01:32:08.217]  Sir, this is so big.
[01:32:08.297 --> 01:32:10.239]  Join me again tomorrow or on the Sunday show.
[01:32:10.259 --> 01:32:12.060]  I want to do a full hour on this.
[01:32:12.340 --> 01:32:13.721]  Tom Renz, thank you so much.
[01:32:13.861 --> 01:32:15.462]  Incredible information.
[01:32:16.463 --> 01:32:17.223]  And he's totally right.
[01:32:17.343 --> 01:32:17.764]  Thank you, sir.
[01:32:18.204 --> 01:32:20.405]  It is a total genetic corporate takeover.
[01:32:20.665 --> 01:32:21.986]  In their own words, they admit all this.
[01:32:22.527 --> 01:32:23.928]  And thank God he's out there fighting.
[01:32:23.748 --> 01:32:24.748]  Thanks for joining us.
[01:32:24.748 --> 01:32:30.748]  Stay with us.
[01:32:30.748 --> 01:32:35.628]   Experience the next level in high-powered energy nootropics with our latest BrainForce
[01:32:35.628 --> 01:32:37.708]  offering, BrainForce Ultra.
[01:32:37.729 --> 01:32:47.112]  Now it is easier than ever to take in the new liquid form with 8 beneficial super ingredients, BrainForce Ultra is the result of years of enhanced formulation.
[01:32:47.372 --> 01:32:52.695]  Free of toxic additives, each ingredient is specifically selected for its many key properties.
[01:32:53.095 --> 01:33:04.860]  Some of the proprietary super-ingredients behind BrainForce Ultra include Gorana Seed, which is loaded with energy compounds and antioxidants that have been used by Amazonian tribes for centuries.
[01:33:05.180 --> 01:33:10.643]  Alpha-GPC, a natural compound found in the brain that delivers an essential nutrient, Choline.
[01:33:10.983 --> 01:33:15.105]  And Ginkgo Leaf, which is also known for its exceptional antioxidant content.
[01:33:15.365 --> 01:33:21.127]  This product is more than twice the servings of our BrainForce Plus as well, so you know it's packed full of the good stuff.
[01:33:21.467 --> 01:33:30.391]  Destroy that brain fog today and secure your bottle of BrainForce Ultra before it is completely sold out at InfoWarsStore.com.
[01:33:31.111 --> 01:33:34.612]  There is a fight against humanity happening around the world.
[01:33:36.253 --> 01:33:42.475]  And do you want to be on the side of the eugenicists, the death cult, the Nazis 2.0, or do you want to be on the side of humanity?
[01:33:42.495 --> 01:33:51.296]   A couple weeks ago, The co-owner of the NBA's Warriors, we played the clip like five times, we'll play it again coming up next segment.
[01:33:51.777 --> 01:33:56.178]  He said, I don't care about these three million people in death camps being used as slave labor.
[01:33:56.238 --> 01:33:59.499]  I don't care about, they don't even rise to my beautiful mind.
[01:33:59.519 --> 01:34:05.340]  Remember when Herbert Walker Bush's wife said, I don't even care about those dead Iraqis.
[01:34:05.360 --> 01:34:07.941]  They don't even, they don't even rise to my beautiful mind.
[01:34:07.961 --> 01:34:13.122]  Well, he made the same sick, psychotic statement of no empathy.
[01:34:14.594 --> 01:34:18.756]  And then at the time, I said, can you please get Royce White on?
[01:34:19.376 --> 01:34:23.779]  Because he was out there eloquently speaking out against this and even being attacked some places.
[01:34:23.819 --> 01:34:27.821]  Like, how dare you not want slave camps in China?
[01:34:28.777 --> 01:34:29.618]  So he's an author.
[01:34:30.458 --> 01:34:32.560]  He's got, you know, an amazing background.
[01:34:32.861 --> 01:34:34.642]  To go over his whole bio would take a long time.
[01:34:34.962 --> 01:34:41.408]  Been a big successful person in the NBA and now is doing mixed martial arts as well.
[01:34:41.468 --> 01:34:43.249]  He's born and raised in Twin Cities, Minnesota.
[01:34:43.610 --> 01:34:46.792]  He's currently a professional athlete, former NBA player in a professional mixed martial arts.
[01:34:47.273 --> 01:34:51.937]  He's the author, political activist, and he's been outspoken on issues such as mental health, the Uyghurs, the CCP.
[01:34:54.315 --> 01:35:10.628]  Man, it's an honor to be here, and I want to say thank you for all the work you've been doing.
[01:35:11.228 --> 01:35:13.430]  And honestly, man, it's an absolute honor.
[01:35:13.450 --> 01:35:14.351]  I appreciate the time.
[01:35:14.411 --> 01:35:20.636]  And first, we'll get to Chalmers in a second, and I'm glad we got a little bit of time because I want to be able to flesh this out.
[01:35:21.209 --> 01:35:26.352]  A little bit from the ground up of where I'm coming from on this issue and many of these issues.
[01:35:27.453 --> 01:35:32.817]  I know a lot about you, obviously, but but many people in your audience and you probably don't know very much about me.
[01:35:32.857 --> 01:35:35.919]  And that's a deliberate effort on behalf of the establishment.
[01:35:35.939 --> 01:35:43.563]  So I first arrived in the public eye as an All-American athlete, playing basketball.
[01:35:44.384 --> 01:35:51.700]   And I first entered into the public discourse when I was drafted into the NBA and had a huge controversy
[01:35:51.700 --> 01:35:57.680]   with them about mental health and mental health policy, which was non-existent at the
[01:35:57.680 --> 01:35:58.020]  time.
[01:35:58.020 --> 01:36:04.180]   And since then, they have attempted to sort of half-heartedly implement a lot of the suggestions
[01:36:04.180 --> 01:36:07.419]   that I made around mental health and mental health policy and culture and attitude and
[01:36:07.419 --> 01:36:09.419]  so on and so forth.
[01:36:09.419 --> 01:36:17.160]   And at the time, I didn't really want to have a conversation about mental health in terms
[01:36:17.160 --> 01:36:22.539]   of how much treatment, adequate treatment, the players were getting, although that was
[01:36:22.539 --> 01:36:28.660]   lacking and it was in need of some type of addressing in the NBA ecosystem.
[01:36:29.207 --> 01:36:40.531]  But that wasn't the central theme of what I was trying to convey, although the mainstream media took what I was doing, advocating for, and kind of morphed it, as you've seen and as we've all seen the mainstream media do.
[01:36:41.374 --> 01:36:47.818]  And so what I was trying to convey was something more like mental health is the greatest social issue we face.
[01:36:48.118 --> 01:36:55.122]  And there's an epidemic of mental illness that is fast on the rise and going to explode in the years to come.
[01:36:56.023 --> 01:37:03.067]  And also I was trying to say the NBA represents a global corporate community.
[01:37:03.327 --> 01:37:06.529]  Professional sports represents a global corporate community.
[01:37:06.549 --> 01:37:09.951]  It's the watering hole for a global corporate community.
[01:37:10.874 --> 01:37:19.036]  And mental health is a way to say the human condition where mind, body and spirit converge into our perceivable existence.
[01:37:19.716 --> 01:37:28.839]  So how the corporate world feels about the human condition is a great indicator of the overall health of our society, right?
[01:37:29.559 --> 01:37:31.799]  And I was blackballed for that, right?
[01:37:32.220 --> 01:37:45.128]   And ever since I've been fighting the establishment and I guess back then I had this arrogant and naive belief That the troubles I was having in trying to discuss mental health policy with the NBA came from some lack of knowledge on their end.
[01:37:45.488 --> 01:37:58.113]  There were all these doctors and people around in this conversation behind the scenes that were really perplexed at the NBA's resistance towards a mental health policy, because mental health wasn't full-blown in the mainstream yet, but it was on the move, right?
[01:37:58.153 --> 01:37:59.474]  And by the way, I totally agree with you.
[01:37:59.534 --> 01:38:01.155]  The number one issue is mental health.
[01:38:01.355 --> 01:38:02.415]  We can all see it in our lives.
[01:38:03.176 --> 01:38:04.996]  I mean, everybody's disintegrating.
[01:38:05.136 --> 01:38:06.097]  I mean, we are in trouble.
[01:38:07.620 --> 01:38:08.181]  Absolutely.
[01:38:08.361 --> 01:38:15.827]  And so and what I realized in retrospect, this was about five years after this initial scuffle between me and the NBA and around policy.
[01:38:17.008 --> 01:38:25.015]  And again, arrogantly as a 21 year old, I'm sitting there thinking, you know, maybe there's something I can communicate to them that they're just not getting that this is the greatest issue of our time.
[01:38:25.496 --> 01:38:27.738]  And there's a conversation that needed to be had.
[01:38:28.318 --> 01:38:39.224]   But five or six years later, around when big tech started to admit That their growth model was to go after the psychological vulnerability of common people.
[01:38:40.124 --> 01:38:58.171]  It all clicked for me that, of course, the NBA didn't want to have a role in spearheading a genuine mental health conversation because the entire growth model of this global corporatocracy was predicated around them exploiting the vulnerabilities in the human psychology.
[01:38:58.903 --> 01:39:01.025]  And an information warfare.
[01:39:01.385 --> 01:39:06.909]  And here I am today, happy to be on InfoWars, and I've watched you a lot, and I know you've talked about that a lot.
[01:39:07.309 --> 01:39:12.773]  And as I went through that, I started to look out at people who the establishment and the corporatocracy had tried to silence.
[01:39:13.634 --> 01:39:24.061]  Whether it be you, whether it be Minister Louis Farrakhan, whether it be a guy now like Robert Malone, or Steve Bannon, or, you know, Peter McCullough, or whoever these guys are.
[01:39:24.081 --> 01:39:24.321]  Absolutely.
[01:39:24.341 --> 01:39:27.784]  If you go look at who they're shutting down and trying to put in prison, that's the truth tellers.
[01:39:29.033 --> 01:39:30.114]  Those are all the truth tellers.
[01:39:30.154 --> 01:39:36.779]  And I was kind of on that initial wave, although my story never really got a lot of traction.
[01:39:37.079 --> 01:39:40.141]  A lot of people would say, well, you were the Colin Kaepernick before the Colin Kaepernick.
[01:39:40.161 --> 01:39:46.906]  It's like, well, not really, because the issue I was talking about didn't come with all of the conflation, like racism.
[01:39:46.926 --> 01:39:48.327]  It was more straight down the middle.
[01:39:48.407 --> 01:39:51.789]  And they had plans to exploit this more directly.
[01:39:53.230 --> 01:39:54.832]  Yeah, that's kind of the background story.
[01:39:55.092 --> 01:39:55.892]  Exactly.
[01:39:55.932 --> 01:39:58.254]  Kaepernick's a rabbit hole or a rabbit trail.
[01:39:58.495 --> 01:39:59.776]  You're going right at the issue.
[01:39:59.816 --> 01:40:00.696]  Hey, we're falling apart.
[01:40:00.977 --> 01:40:05.880]  And then you learn, as I learned too, Facebook documents come out where they want to make you depressed.
[01:40:06.161 --> 01:40:07.121]  They want to control you.
[01:40:07.141 --> 01:40:08.162]  They want to make you alone.
[01:40:08.423 --> 01:40:09.143]  And they're hitting everybody.
[01:40:09.163 --> 01:40:10.284]  They don't care what color you are.
[01:40:10.504 --> 01:40:12.226]  They're coming after everybody's children.
[01:40:14.007 --> 01:40:14.567]  Absolutely.
[01:40:14.608 --> 01:40:20.192]  I mean, you think of the growth model and, you know, you saw a guy like Chamath who now says, well, we don't care about the Uyghurs.
[01:40:20.692 --> 01:40:22.454]  He's the same guy that was in the clip.
[01:40:23.257 --> 01:40:30.929]  During the I forgot what the documentary was, but it was basically the social media whistleblowers controlled opposition documentary.
[01:40:31.489 --> 01:40:34.454]  And he came right out and said, listen, we went after the dopamine.
[01:40:35.205 --> 01:40:42.651]  So instead of now, and I say now that, you know, a lot of people are concerned about the cartels in South America and the crisis on our Texas border.
[01:40:42.931 --> 01:40:44.152]  And I agree that we have one.
[01:40:44.632 --> 01:40:45.773]  I believe in the nation state.
[01:40:45.813 --> 01:40:48.355]  I believe in borders, but make no mistake about it.
[01:40:48.896 --> 01:40:58.643]  The biggest drug dealers are in Silicon Valley and the biggest drug is produced inside your mind already with the dopamine, you know, sensors and transport.
[01:40:58.683 --> 01:41:04.228]  So, you know, this was all by design and we are now in a full blown mental health crisis.
[01:41:04.810 --> 01:41:19.096]  And you can see it with liberalism, of course, but you can see it across the political spectrum as well, whether it be self-doubt, you know, being timid, being fearful, being faithless, all of these things are what Robert Malone called, you know, mass form psychosis.
[01:41:19.156 --> 01:41:31.261]  So it's really profound for me to be able to look back at my own story and say, man, I entered into this public conversation talking about mental health and now we're in a full-blown mental health crisis.
[01:41:32.622 --> 01:41:33.062]  Well, that's right.
[01:41:33.082 --> 01:41:35.484]  So you instinctively saw the problem and then tried to help.
[01:41:35.544 --> 01:41:37.725]  And then when they oppose you, same thing happened to me.
[01:41:38.025 --> 01:41:41.948]  Then you learned who they were and what they were doing by trying to do good and then being blocked by them.
[01:41:42.008 --> 01:41:43.969]  And then, and then, and then understanding the bigger picture.
[01:41:44.309 --> 01:41:45.030]  Is that what you're saying?
[01:41:46.431 --> 01:41:47.231]  A hundred percent.
[01:41:47.591 --> 01:41:57.618]  And even more so, I think there is a, you know, I think a lot of people miss how evil spirit-ness coalesces.
[01:41:58.374 --> 01:42:03.376]  And the intuition of people who are working on behalf of evil forces, right?
[01:42:03.516 --> 01:42:13.041]  It's did David Stern and the Wall Street crew in DC and Hollywood and all of these different institutions know exactly or the central banks.
[01:42:13.061 --> 01:42:13.921]  There's another example.
[01:42:13.961 --> 01:42:20.444]  Did they know exactly how Facebook and the whole big tech movement plan to to roll out?
[01:42:21.105 --> 01:42:35.433]   Maybe not directly, maybe not every individual, but there is a tilt and an intuition toward evil spiritness and in that They saw it fit to blackball a young man like myself who had the talent and skill to play at the highest level in order to preserve
[01:42:36.117 --> 01:42:40.117]  the effort that they had planned in the future.
[01:42:40.117 --> 01:42:43.796]   Well, Royce White, I've been familiar with your work for years, and I was already impressed
[01:42:43.796 --> 01:42:44.796]  with you, but I'm really impressed.
[01:42:44.796 --> 01:42:47.956]   Now, one other trying to, like you said, blackball you and keep you out.
[01:42:47.956 --> 01:42:48.956]  You're awesome.
[01:42:48.956 --> 01:42:53.596]   You're dead on, and we're going to learn a lot from you here today about all of this,
[01:42:53.596 --> 01:42:56.717]   because we are in a war, and if we're aware of the war, we can beat it.
[01:42:56.717 --> 01:42:58.077]  If we're not aware, we're going to lose.
[01:42:58.077 --> 01:43:01.996]   We're going to come back and talk about this war for the mind, the soul, and this evil
[01:43:01.996 --> 01:43:03.796]  spirit in us when we come back.
[01:43:03.796 --> 01:43:09.396]   All right, former NBA player and current mixed martial arts fighter Royce White is
[01:43:09.871 --> 01:43:13.272]  And I was familiar with his work even though I didn't really follow the NBA in the last 20 plus years.
[01:43:13.312 --> 01:43:15.372]  I'm just focused on what's happening with the New World Order.
[01:43:16.192 --> 01:43:17.053]  I followed it before that.
[01:43:17.073 --> 01:43:18.013]  I was a big sports guy.
[01:43:18.093 --> 01:43:21.314]  I definitely liked basketball and football and golf, baseball, everything.
[01:43:21.334 --> 01:43:24.135]  But I stopped watching it over 20 years ago just to focus on the news.
[01:43:24.175 --> 01:43:24.695]  But he's right.
[01:43:25.154 --> 01:43:29.474]   The real brainwashing, the real political power is in the sports and in Hollywood.
[01:43:29.474 --> 01:43:35.034]   So he tried to do good there and figured out that there was a bigger agenda going on.
[01:43:35.034 --> 01:43:40.314]   And I remember my uncle, my late uncle, was a smart guy, a Vietnam helicopter pilot, then
[01:43:40.314 --> 01:43:44.114]  worked in clandestine stuff in Central and South America.
[01:43:44.114 --> 01:43:45.873]  I remember him, he would always talk about it.
[01:43:45.873 --> 01:43:47.914]  He didn't talk a lot about the mystery of evil.
[01:43:47.914 --> 01:43:53.074]   I guess that's some quote in the Bible about how people that love God have a sixth sense
[01:43:53.074 --> 01:43:56.914]   and we have a connection to each other and discernment, but evil has a discernment and
[01:43:56.914 --> 01:44:02.833]   they're able to network without even talking to each other and it's real synergy, you see.
[01:44:02.833 --> 01:44:04.034]  And so that's really the mystery of evil.
[01:44:04.034 --> 01:44:08.715]   And you were talking about that with your own term, about this wickedness and how they
[01:44:08.715 --> 01:44:10.954]  really have this very evil agenda.
[01:44:10.954 --> 01:44:14.175]   And then finally they can't hide anymore and go, "I don't care about three million people
[01:44:14.175 --> 01:44:15.175]  in death camps.
[01:44:15.175 --> 01:44:17.154]  I don't care if they're killing thousands of people a day."
[01:44:17.154 --> 01:44:20.314]  I mean, they're really showing you who they are.
[01:44:20.314 --> 01:44:22.675]  So please continue on that particular topic.
[01:44:22.675 --> 01:44:29.313]   Yeah, well I mean, I think that evil forces have a way of coalescing.
[01:44:29.235 --> 01:44:29.575]  Right?
[01:44:29.655 --> 01:44:41.081]  And they have a way of building a natural intuition of people who lack metaphysical faith in God and want to move in a direction further away from God.
[01:44:41.681 --> 01:44:46.003]  And I think that the New World Order is largely predicated on that evil force.
[01:44:46.023 --> 01:44:53.907]  Yes, there is direct conspiracy and we should never forget that and never overlook that because the evidence of that is right in front of our face.
[01:44:54.387 --> 01:45:04.081]   But they're also, what I like to say is, When the evidence can't be found, we can look at the metaphysical to understand how evil forces conspire.
[01:45:05.585 --> 01:45:06.828]  Please continue, that's powerful.
[01:45:08.146 --> 01:45:11.929]  Well, yeah, and I think a guy like Chamath, you know, I don't know how high up he is in this.
[01:45:11.969 --> 01:45:18.274]  He doesn't strike me as a huge force, a huge decision-maker in this entire movement.
[01:45:18.694 --> 01:45:24.218]  But his natural just brazen attitude towards the Uyghurs seemed more spiritual to me.
[01:45:25.139 --> 01:45:30.663]  And again, I'm not privy to exactly how involved Chamath is with this New World Order agenda.
[01:45:30.682 --> 01:45:35.783]   But as I see it, the New World Order is a five-headed hybrid of the West.
[01:45:35.783 --> 01:45:41.382]   You got big tech, you got the three industrial complexes, medical, media, military, and you
[01:45:41.382 --> 01:45:43.342]  got the central banks.
[01:45:43.342 --> 01:45:49.462]   And they view the CCP as the perfect engine to bring about an authoritarian, totalitarian,
[01:45:49.462 --> 01:45:52.943]  one government, one currency society.
[01:45:52.943 --> 01:45:59.262]   And you know, it seems that all of them, whether directly involved with people like Klaus Schwab
[01:45:59.262 --> 01:46:07.942]   and all Bill Gates or all of these globalists, you know, outedly, admittedly globalist pushers,
[01:46:07.942 --> 01:46:13.103]   they seem to be privy to try and, you know, shill or cover up for China when the time
[01:46:13.550 --> 01:46:17.572]  And when Chamath is asked about the Uyghurs, he just brazenly says, look, I don't care.
[01:46:17.592 --> 01:46:27.212]   And I don't, again, I don't know if that's direct, him being in collaboration at the highest level of this agenda, or if he's just in spirit You know, moving further and further away from God.
[01:46:28.084 --> 01:46:28.724]  Absolutely.
[01:46:29.025 --> 01:46:34.408]  And in spirit is even more important being inspired by the evil and by that wavelength than even consciously being part of it.
[01:46:34.528 --> 01:46:37.050]  But I think he's been told, shut up, go along with it.
[01:46:37.070 --> 01:46:37.950]  So he decided to love it.
[01:46:38.190 --> 01:46:39.551]  But he shows real hate in his eyes.
[01:46:39.591 --> 01:46:42.433]  His eyes gleam when he's like, I don't care about you.
[01:46:42.473 --> 01:46:45.075]  They don't even rise up to my, like they're trash.
[01:46:45.115 --> 01:46:46.916]  They're not even, they don't even exist.
[01:46:46.936 --> 01:46:48.577]  So that's very evilly spoken.
[01:46:49.277 --> 01:46:51.519]  I mean, he didn't just say, well, that's not my issue.
[01:46:51.559 --> 01:46:55.241]  He, he kind of showed an enjoyment in that they're not human to him.
[01:46:57.266 --> 01:47:12.358]  Troubling coming from a, you know, I said on my Oh My God Jason Whitlock show the other day, we have to be very mindful of these 40 year old, you know, mid 40 year old cosmopolitan, omnisexual, atheist billionaires, right?
[01:47:12.639 --> 01:47:16.822]  And their, their, their incoherence and logic is actually quite profound.
[01:47:16.942 --> 01:47:19.664]   I mean, this guy is He's an immigrant himself.
[01:47:19.704 --> 01:47:23.465]  He comes from a refugee geopolitical situation.
[01:47:23.565 --> 01:47:27.706]  Like, you know, let's just say the same thing about the situation that your people were in.
[01:47:28.306 --> 01:47:30.246]  But that's how they view the world.
[01:47:30.346 --> 01:47:31.106]  It's relative.
[01:47:31.326 --> 01:47:36.247]  It's all a moral selectiveness that they can determine whenever they want to suit their own needs.
[01:47:36.287 --> 01:47:47.309]  And right now, the needs for him are to ride a global agenda which expands market and creates this monopolistic sort of synergy amongst evil forces, amongst atheists.
[01:47:48.224 --> 01:47:50.886]  But then also, right, it's the chips in Taiwan.
[01:47:51.266 --> 01:47:54.989]  So he'll say, we don't care about the Uyghurs, but we are concerned about Taiwan.
[01:47:55.429 --> 01:48:00.572]  There's nothing more assaulting to the intelligence of free people everywhere than when an oligarch says something like that.
[01:48:00.672 --> 01:48:04.635]  And the way you said it, they flip on the morals when they want and flip them off when they want.
[01:48:05.656 --> 01:48:11.519]  And that's what so many of them say, is that I decide when I care, I decide when I don't.
[01:48:11.539 --> 01:48:13.901]  I notice that's a hallmark of these people.
[01:48:15.635 --> 01:48:25.279]  Arbitrary rule changes, arbitrary morality is a hallmark of authoritarianism and it's a hallmark of evil spiritness.
[01:48:27.680 --> 01:48:28.561]  How do we counter that?
[01:48:30.561 --> 01:48:34.483]  Well, I think we have to make a decision right now about American citizenship, to be honest.
[01:48:34.563 --> 01:48:42.616]   I think American citizenship is the first and last line of defense Against tyranny and against evil around the world.
[01:48:43.137 --> 01:48:49.779]  And right now, Americans have really dropped the ball in understanding how our citizenship is being taken from us every day.
[01:48:50.640 --> 01:48:53.381]  It's sort of this quid pro quo, and I see it on the right as well.
[01:48:54.001 --> 01:49:06.666]  To me, the left's political ideology is something like, we have to create a man-made solution to deal with all of our existential anxiety, which ultimately comes from them being too far from God.
[01:49:07.515 --> 01:49:17.162]  On the right, you have a metaphysical anchor in some respects, although all of us who say we're Christian or believers in God aren't necessarily good Christians or firm believers in God.
[01:49:17.583 --> 01:49:23.327]  But the right-wingers do something like they have a hyper-inflated belief in the state.
[01:49:23.367 --> 01:49:32.008]   They don't understand that when lawmakers become corrupt, And the people who enforce the law are also corrupt, and it all undermines the rule of law.
[01:49:32.048 --> 01:49:34.369]  So they have too much belief in the state, i.e.
[01:49:34.789 --> 01:49:44.174]  the situation with police and how there was this, you know, profound police lives matter, thin blue lines, support our police, support our troops.
[01:49:44.634 --> 01:49:54.817]   But we all know when the time comes and authoritarianism is at its peak, The police and the troops who just take marching orders are going to be the ones forcibly vaccinating you and your kids.
[01:49:54.997 --> 01:49:55.477]  Exactly.
[01:49:55.497 --> 01:49:57.358]  That's where you got the Cube Movement as well.
[01:49:57.398 --> 01:49:58.459]  The government can't be bad.
[01:49:58.659 --> 01:50:00.400]  It's got to be a secret magic group.
[01:50:00.780 --> 01:50:05.823]  Everything's really okay because for right-wingers, they had made the state God because we were the Christian country.
[01:50:05.843 --> 01:50:06.484]  We really weren't.
[01:50:06.904 --> 01:50:10.066]  And they'd understand individually they made it the nation that was strong.
[01:50:10.506 --> 01:50:14.148]  And so they had to be delusional because it was too scary to admit, no, the government's captured.
[01:50:14.368 --> 01:50:15.909]  Because then you got to actually do something about it.
[01:50:17.389 --> 01:50:25.855]  Well, yeah, and my point is, you know, and I'll say this here, I led all of the peaceful protests here in Minneapolis after George Floyd was murdered.
