[00:00:00.000 --> 00:00:02.000]  [static]
[00:48:01.778 --> 00:48:08.722]  Millions of people in China are once again under collective quarantine as the country faces the new surge of the COVID-19 virus.
[00:48:09.323 --> 00:48:16.547]  In Beijing, workers in protective suits have installed metal barriers in some neighborhoods where coronavirus cases have been detected.
[00:48:17.148 --> 00:48:23.372]  People can only go out to buy food or receive medical treatment, and to do so they must scan their health QR codes.
[00:48:23.672 --> 00:48:28.797]  The Communist Chinese hellscape is the blueprint for what they plan to bring forward against us.
[00:48:28.857 --> 00:48:37.005]  But I wanted to be specific about where we're at and where they're going to take us with this system and how we can stop it and say no to it.
[00:48:37.465 --> 00:48:41.489]  You have the UN, you have the big corporate mouthpiece, the World Economic Forum.
[00:48:41.870 --> 00:48:47.956]  The Chinese model is certainly a very attractive model for quite a number of countries.
[00:48:48.462 --> 00:49:06.495]  For decades, they've said they want to use a viral scare, and the Rockefeller documents, Operation Lockstep, the list goes on and on, to bring in a world medical ID that will really be the world ID that will have carbon controls, not just viral controls, on where you can go, what you can do.
[00:49:06.856 --> 00:49:10.558]  They'll have digital money, by region, that'll be programmable.
[00:49:10.979 --> 00:49:13.921]  They'll decide where you can spend it, when you can spend it, how you can spend it.
[00:49:14.301 --> 00:49:16.643]  They can devalue it or upvalue it whenever they want.
[00:49:17.261 --> 00:49:27.779]  A Swedish company specialized in microchip implants promotes the use of their device to carry the COVID pass, saying that the chip makes the data more accessible even if a person doesn't have their phone with them.
[00:49:29.175 --> 00:49:38.279]  The chip implant is placed in the arm and programmed so that when the chip is read by a smartphone, it opens up a PDF file which contains a person's COVID passport.
[00:49:38.999 --> 00:49:43.160]  This makes it easier for different entities to check the health status of the individual.
[00:49:43.180 --> 00:49:51.704]  And it's directly tied and administered to the surveillance over in live time by corporations, bureaucracies and criminal think tanks like the ADL.
[00:49:52.404 --> 00:50:04.156]  Who will then reward you or punish you off of your social behavior, and then they will program it and incentivize it to spend it with their companies, their businesses, their systems.
[00:50:04.497 --> 00:50:12.225]  The ultimate brainwashing, the ultimate gaslighting, as they announce all this tyranny, then they say, but we can't talk about it, it doesn't exist, while it publicly exists.
[00:50:12.885 --> 00:50:13.486]  So here it is.
[00:50:13.566 --> 00:50:13.966]  Breaking!
[00:50:14.006 --> 00:50:18.910]  G20 leaders issue joint declaration promoting global health passport to facilitate international travel.
[00:50:19.010 --> 00:50:23.073]  A world ID to buy, sell and travel even outside your house.
[00:50:23.453 --> 00:50:27.796]  The social credit score you will not leave one half foot out of your home unless you're authorized to.
[00:50:28.457 --> 00:50:38.283]   They've now built emergency centers all over the world under UN directives that anyone that does not submit to forced injections and lockdowns in the future ...will be sent to these centers.
[00:50:38.323 --> 00:50:57.607]  They have now admitted in Canada and in Australia, but they're also setting them up here, and the UN is directing it again, that officially the camps aren't just for people they claim have COVID with their fake PCR test, but now it's for anybody protesting the future lockdowns as they gear up for their next big push.
[00:50:58.187 --> 00:51:08.833]   While saying they want amnesty from us and for us to not sue them or organize into groups that are saying no so they can sucker punch us again, Oh, son of a bitch.
[00:51:09.075 --> 00:51:10.364]  We'll be back with hour number two, folks.
[00:51:10.384 --> 00:51:10.767]  Stay with us.
[00:51:11.431 --> 00:51:20.537]  One of the biggest news stories lately has been Elon Musk purchasing Twitter at the hopes for many that free speech would be restored on the platform.
[00:51:20.918 --> 00:51:28.843]  Elon Musk has hinted at this himself, but when he spoke out against returning Alex Jones to the platform, there were obvious concerns.
[00:51:29.304 --> 00:51:39.771]  Now what I think might be going on, Elon Musk is making a business decision knowing that if Alex Jones is allowed back on the platform, Twitter might get removed from the App Store.
[00:51:39.811 --> 00:51:41.851]  "Oh, you can't have it on your iPhone.
[00:51:41.851 --> 00:51:44.371]  "Oh, you can't have it on your Android anymore."
[00:51:44.371 --> 00:51:52.691]   And now that one of the head tech executives and app manufacturers at Apple has removed his account,
[00:51:52.691 --> 00:51:54.670]  could be a sign of things to come.
[00:51:54.670 --> 00:51:59.971]   Now others think it might be a personal choice that Elon Musk made to not let Alex Jones
[00:51:59.971 --> 00:52:01.329]  back on the platform.
[00:52:01.329 --> 00:52:06.891]   Now here was Alex Jones' response to the news of Elon Musk not reinstating his account.
[00:52:06.891 --> 00:52:12.010]   The ADL and the Southern Primary Law Center, the Democratic Party and the European Union
[00:52:12.010 --> 00:52:17.010]   and the Justice Department and CIA moles that Congress had hearings on last week
[00:52:17.010 --> 00:52:25.451]   are inside of his company right now and are literally trying to sabotage it,
[00:52:25.451 --> 00:52:30.911]   not just externally with threats of lawsuits and censorship and criminal charges from the EU,
[00:52:30.911 --> 00:52:36.490]   but they're also threatening to sabotage the company and the actual systems that make it operate.
[00:52:36.490 --> 00:52:38.050]  So--
[00:52:37.745 --> 00:52:53.816]   He hit the panic button and basically came out and attacked me so that he can get the left off of his back and you know that it's it's it's fine to me that he did that except he went too far and compared himself to Jesus and the whole Bring the children to me.
[00:52:54.236 --> 00:52:55.276]  Suffer the children to me.
[00:52:55.857 --> 00:53:01.958]  And if you offend one of these, if you're mean to one of these kids, it's better for you to kill yourself by tying a big bowl to your neck and throwing it in the ocean.
[00:53:02.518 --> 00:53:03.478]  That's just outrageous.
[00:53:03.498 --> 00:53:11.999]  That's absolutely outrageous that I'm supposedly the worst guy in the world because of media hype that massively has misrepresented what I really said about Sandy Hook.
[00:53:12.219 --> 00:53:18.940]  If Elon loves to quote Christ so much in between dressing up like Satan, he should quote Christ's most famous quote.
[00:53:19.701 --> 00:53:22.021]  Let he without sin cast the first stone.
[00:53:22.301 --> 00:53:24.963]  But that story will carry itself out.
[00:53:25.363 --> 00:53:42.675]  What we are appreciative of is you supporting us at InfoWarsStore.com so that we can still speak to you, the audience, and the millions of people, the new viewers, the future viewers, that might visit BandotVideo and InfoWars.com every day.
[00:53:42.995 --> 00:53:51.881]  Now, as a big thank you for that support over the years, we are doing something for the first time that we've ever done here at InfoWars and InfoWarsStore.com.
[00:53:52.601 --> 00:53:56.803]  And that's a free gift for you when you shop at InfoWarsStore.com.
[00:53:56.843 --> 00:53:59.465]  That's right, ladies and gentlemen, it's the Thanksgiving special.
[00:53:59.765 --> 00:54:03.747]  We are thankful, we are grateful for all of your support over the years.
[00:54:04.067 --> 00:54:12.411]  And so right now, every purchase from now till December 1st at InfoWarsStore.com will get a free gift.
[00:54:12.691 --> 00:54:16.393]  And this is a lot of cool stuff that we have, like flags and koozies.
[00:54:16.853 --> 00:54:19.735]  RFID protectors and so much more.
[00:54:19.995 --> 00:54:22.957]  So you go get your favorite supplement at InfoWarsTore.com.
[00:54:22.997 --> 00:54:26.078]  You go get a bottle of Vitamin Mineral Fusion for 50% off.
[00:54:26.358 --> 00:54:30.841]  You get double Patriot Points and now a free gift with every order.
[00:54:31.101 --> 00:54:33.362]  Remember those sunglasses that sold out so quickly?
[00:54:33.642 --> 00:54:34.583]  We've got some left.
[00:54:34.843 --> 00:54:39.486]  Could be coming to you as a free gift, as a token of our appreciation over the years.
[00:54:40.186 --> 00:54:42.547]  Maybe we get back on Twitter, maybe we don't.
[00:54:42.767 --> 00:54:52.712]  But thanks to you in the audience supporting us financially, shopping at InfoWarsStore.com, praying for us, and spreading the links, we're still on air here every day.
[00:54:53.113 --> 00:54:58.776]  And part of our token of appreciation is a free gift to you when you shop at InfoWarsStore.com.
[00:54:58.816 --> 00:55:03.655]   Let's keep supporting InfoWars, keep shopping at InfoWarsStore.com, and we will stay right
[00:55:03.655 --> 00:55:28.416]  here on air every day, just like we have for decades.
[00:55:28.503 --> 00:55:35.626]  Certain details of this legislation are undisclosed and will remain so until the government passes it into law.
[00:55:36.146 --> 00:55:38.507]  But what we do know about Bill C-36 is bad enough.
[00:55:40.788 --> 00:55:48.816]  This bill gives the government of British Columbia the power to mandate vaccines for any illness the government so chooses.
[00:55:49.537 --> 00:56:01.768]  It gives the government the power to censor anyone who challenges their narrative on anything, allowing the government power to seize an individual's property, fine them for up to $200,000, and throw them in jail.
[00:56:04.651 --> 00:56:11.378]  It creates a system of classification wherein the government decides who has good character and who doesn't.
[00:56:12.058 --> 00:56:15.201]  It redefines the meaning of informed consent.
[00:56:15.962 --> 00:56:26.372]  And while it has not been made official yet, the Canadian Psychiatric Association is now targeting everyone who refuses the dangerous mystery vaccines.
[00:56:27.052 --> 00:56:29.315]  Labeling them as mentally insane.
[00:56:29.915 --> 00:56:32.018]  An age-old tactic of tyrants.
[00:56:32.798 --> 00:56:36.282]  Throw the dissidents into mental asylums and medicate them.
[00:56:36.703 --> 00:56:46.093]  And you've talked about how even they recommend, you know, perhaps psychiatric medication or something for people that don't want to take a vaccine.
[00:56:46.633 --> 00:56:50.775]  So this has come out recently out of the College of Physicians and Surgeons of Ontario.
[00:56:51.335 --> 00:57:10.642]  The College sent out a letter or a memo to all the doctors in Ontario suggesting to them, now so far they're not mandating it, they're just suggesting it, that any of their unvaccinated patients that they should consider that they have a mental problem and that they should be put on psychiatric medication.
[00:57:11.082 --> 00:57:18.145]   So far it's just a suggestion But the College of Physicians and Surgeons of Ontario should not be making these kinds of suggestions.
[00:57:18.165 --> 00:57:21.947]  This is extremely unethical and this is a very, very slippery slope.
[00:57:22.767 --> 00:57:34.493]  If they're suggesting that people who wish to have bodily autonomy and don't want an experimental vaccine, that there may be something mentally wrong with them, that is a very, very dangerous, slippery slope that we're on.
[00:57:34.853 --> 00:57:39.677]  This is what the website of the College of Physicians and Surgeons of Ontario says.
[00:57:39.797 --> 00:57:50.987]  It says, quote, it is also important that physicians work with their patients to manage anxieties related to the vaccine and not enable avoidance behavior.
[00:57:51.768 --> 00:58:00.896]  In cases of serious concern, responsible use of prescription medications and or referral to psychotherapy are available options.
[00:58:01.696 --> 00:58:10.923]  Overall, physicians have a responsibility to allow their patients to be properly informed about vaccines and not have those anxieties empowered by an exemption.
[00:58:13.424 --> 00:58:18.488]  So my verdict is, wow, yes, this is in fact a true claim.
[00:58:18.548 --> 00:58:21.990]  This is what the College of Physicians and Surgeons of Ontario is telling doctors.
[00:58:22.351 --> 00:58:30.544]   That if a patient has declined the COVID-19 vaccine, they are not to quote-unquote empower that patient with an exemption,
[00:58:30.544 --> 00:58:35.983]   that the declining of the vaccine is automatically labeled as an irrational anxiety.
[00:58:35.983 --> 00:58:41.743]   And the recourse for that in the eyes of this medical organization is prescription medications
[00:58:41.743 --> 00:58:43.003]  and or psychotherapy.
[00:58:43.003 --> 00:58:47.064]   They wanna drug you to trick you into taking the COVID vaccine.
[00:58:47.064 --> 00:58:49.784]  Reporting for InfoWars, this is Greg Reese.
[00:58:49.784 --> 00:58:53.644]  (upbeat music)
[00:58:53.644 --> 00:58:56.224]  (upbeat music)
[00:58:56.224 --> 00:59:16.444]   Yes, there is a small fringe element in this country that is angry, that doesn't believe in science,
[00:59:19.043 --> 00:59:24.043]  that is lashing out with racist, misogynistic attacks.
[00:59:24.043 --> 00:59:26.644]  attacks?
[00:59:26.644 --> 00:59:29.304]  (water rushing)
[00:59:28.011 --> 00:59:34.435]  But Canadians, the vast majority of Canadians, are not represented by them.
[00:59:36.283 --> 00:59:55.536]  And I know will not allow those voices, those special interest groups, those protesters who can, I don't even want to call them protesters, those anti-vaxxer mobs to dictate how this country gets through this pandemic.
[00:59:56.775 --> 01:00:06.725]  And how we recover our economy free from lockdowns, where people can get back to work and back to doing the things they want to do, and keep our kids safe.
[01:00:08.311 --> 01:00:09.472]  Selling out fast!
[01:00:09.772 --> 01:00:11.292]  Mega blowout sale!
[01:00:11.552 --> 01:00:17.795]  Up to 60% off our top selling items, plus free gifts with each purchase!
[01:00:18.035 --> 01:00:32.725]   For just the second time in InfoWars store history, even though many of our top selling items are in limited supply and won't be back in stock until next year, we're putting them All on sale for up to 60% off!
[01:00:33.065 --> 01:00:36.008]  Brain Force Plus 60% off!
[01:00:36.269 --> 01:00:38.091]  Knockout Sleep Support 50% off!
[01:00:38.211 --> 01:00:39.092]  Alpha Power 50% off!
[01:00:38.912 --> 01:00:45.912]  Alpha Power, 50% off. DNA Force Plus, 50% off.
[01:00:45.912 --> 01:00:51.912]   Free gift items will be chosen at random from our massive inventory and may include but are not limited to
[01:00:51.912 --> 01:00:59.912]   koozies, flags, books, DVDs, stickers, sunglasses, paracords, coasters, RFID protection, and more.
[01:00:59.912 --> 01:01:05.912]   Our thanks to you for supporting the InfoWars and the voice of freedom worldwide.
[01:01:05.912 --> 01:01:10.392]  [Music]
[01:01:10.276 --> 01:01:17.276]   From the front lines of the Information War, it's Alex Jones.
[01:01:17.276 --> 01:01:42.276]  [Music]
[01:01:42.901 --> 01:01:45.343]  Well, the whole world really woke up last week.
[01:01:45.363 --> 01:01:50.528]  When I said the whole world, it was the top story on the internet, from Reddit to Facebook to Twitter.
[01:01:51.869 --> 01:01:53.250]  The Balenciaga story.
[01:01:54.391 --> 01:02:04.620]  One of the top fashion brands in the world with serious, hardcore promotion of child porn, Satanism, and child murder in a photo shoot.
[01:02:05.480 --> 01:02:15.075]   Then they pulled that photo shoot and apologized, and people went and looked at their catalog, And found over half of it, in the last decade, had the same crap in it.
[01:02:16.697 --> 01:02:20.560]  Now I gotta tell you, I did a deep dive this week looking at it, and I'm not gonna show you most of this.
[01:02:21.080 --> 01:02:25.844]  Children being chased down naked, cut up in the woods, Satanists raping them, murdering them.
[01:02:28.746 --> 01:02:39.055]  I told Rob Dew, and I told Greg Rees, who both did reports on it for me this last week, I said, here are the images so you know what I'm talking about, but don't put them in there.
[01:02:41.226 --> 01:02:44.287]  Because they want to hurt your soul showing you this.
[01:02:45.288 --> 01:02:54.492]  So the stuff we show, them chopping up little boys with hatchets, and we blurt out them raping little kids, tip of the iceberg.
[01:02:56.913 --> 01:03:04.037]  And I did look at it, and I realized what they're trying to do.
[01:03:06.258 --> 01:03:07.919]  I understand the psychological warfare.
[01:03:08.039 --> 01:03:08.339]  It's just...
[01:03:09.298 --> 01:03:16.561]  You've got to realize the people we're up against are religiously into being predators, religiously into being deceivers.
[01:03:17.141 --> 01:03:28.306]  It is their religion to hate children, and to hate innocence, and to hate us, and to hate goodness, and to hate prosperity, and to absolutely want to starve us to death and kill us.
[01:03:28.826 --> 01:03:29.767]  Their religion.
[01:03:30.757 --> 01:03:32.098]  Is being anti-human predators.
[01:03:32.819 --> 01:03:37.544]  And I understand that you're a nice person that wants to give a child an ice cream cone.
[01:03:38.144 --> 01:03:43.449]  You're a nice person that just wants to have a good life and be a friendly nice person.
[01:03:43.469 --> 01:03:45.311]  98% of people are like that.
[01:03:48.554 --> 01:03:52.860]   But there's 2% That are a mixture of sociopaths and psychopaths.
[01:03:53.620 --> 01:03:56.423]  Most of that 2% are sociopaths who just want power.
[01:03:56.723 --> 01:04:03.748]  But there's less than 1% that enjoy hurting innocents and they're in control because we won't admit they exist.
[01:04:05.210 --> 01:04:07.832]  Even though history is replete of examples of what they've done.
[01:04:07.932 --> 01:04:12.595]  So, later in the hour I'm going to get to a lot of this.
[01:04:12.635 --> 01:04:16.899]  But right now, let's just talk about cutting our energy off.
[01:04:17.159 --> 01:04:19.361]  As I've hammered this and hammered this.
[01:04:20.896 --> 01:04:27.639]  That they can have fiat currencies, and they can have money laundering, and they can have currency devaluations, and they can do all that crap.
[01:04:28.400 --> 01:04:38.124]  But when they cut off the gas, and the oil, and the diesel, and directly carry that out, they are assaulting you.
[01:04:39.245 --> 01:04:40.605]  They are assaulting their families.
[01:04:40.625 --> 01:04:49.990]  So there's a Tucker Carlson clip I'm going to play that's a minute and a half long, where he talks about all prosperity is tied to energy.
[01:04:51.636 --> 01:05:07.799]  Now, energy for a human is an egg, or a steak, or a squash, or a lettuce, or a broccoli, or a carrot, or milk, or a tomato.
[01:05:09.280 --> 01:05:10.640]  That's the energy we use.
[01:05:10.920 --> 01:05:14.561]  They're attacking that at every level with GMO and poisons and adulterated garbage.
[01:05:15.401 --> 01:05:24.714]   But the energy that runs our machines and our mechanized industrial world is Fossil fuels.
[01:05:27.277 --> 01:05:38.389]  Now, there was a study in 2016, and we're going to get to it coming up next segment, with a whole bunch of different governments and a bunch of universities that found what is known as science.
[01:05:39.858 --> 01:05:47.869]  The carbon dioxide used to be hundreds of times what it is in our atmosphere now from the ice core samples and the mud samples and others they've done.
[01:05:48.469 --> 01:05:52.094]  And that plants were much bigger and grew faster, were healthier and lived longer.
[01:05:52.114 --> 01:05:58.913]   there was more oxygen and animals including humans were healthier.
[01:05:58.913 --> 01:06:08.074]   And just like Mars lost its atmosphere a long time ago, the earth if you look at
[01:06:08.074 --> 01:06:11.673]   the studies, the real science, it's all out there, real scientists know this, it's
[01:06:11.673 --> 01:06:16.673]  not debatable, the earth is losing its atmosphere.
[01:06:16.645 --> 01:06:35.450]   And so by going in and finding those fossil fuels that the Creator put there for us and terraforming them back to the surface, we've gotten a respite And they had studies already looking at the reversal of deserts growing around the world because of increased carbon dioxide, which then increases oxygen, which increases life.
[01:06:38.812 --> 01:06:40.073]  But that's all academic.
[01:06:40.113 --> 01:06:41.113]  We'll hit that next segment.
[01:06:42.394 --> 01:06:59.399]   What I wanted to hit first Was the fact that they are cutting off our oil and our gas and our diesel, which then makes people not be able to ship items or buy items or have heating or have jobs, which kills confidence, which further implodes the economy.
[01:06:59.860 --> 01:07:04.259]   So we had Clyburn, Democrat leader, Gaslights.
[01:07:04.619 --> 01:07:11.428]  He says people in love with Biden's agenda when they look at their bank accounts, despite the fact that U.S.
[01:07:11.488 --> 01:07:16.214]  bank accounts are at the lowest level they've been statistically since the Great Depression.
[01:07:18.697 --> 01:07:19.618]  But like Biden said.
[01:07:21.441 --> 01:07:22.462]  Economy's doing great.
[01:07:26.050 --> 01:07:28.391]  In 2020, the numbers are always about two years old.
[01:07:28.871 --> 01:07:30.532]  They have preliminary numbers that show it's even worse.
[01:07:31.192 --> 01:07:35.754]  The most traded global good was not crude oil, but semiconductors.
[01:07:36.174 --> 01:07:52.021]  So semiconductors, to surveil us and control us, are making more money in gross sales, even though fuel is just something you burn, than all fossil fuels on the planet, because they've been cutting them off.
[01:07:53.083 --> 01:07:56.145]  Diesel crunch is finally causing demand destruction.
[01:07:56.526 --> 01:07:57.907]  People are spending all their money on it.
[01:07:58.207 --> 01:07:59.228]  Stuff is going up in price.
[01:07:59.708 --> 01:08:00.649]  Stuff isn't being delivered.
[01:08:01.069 --> 01:08:08.774]  So with the diesel running out, it's killing demand, which kills the oxygen to the economy.
[01:08:08.935 --> 01:08:10.616]  It's all basic facts.
[01:08:12.057 --> 01:08:21.902]   Meanwhile, UK, head of their economy says, You should turn down your heating, reduce your energy consumption, and get used to paying much higher prices.
[01:08:22.263 --> 01:08:23.523]  This is just the way it is.
[01:08:23.543 --> 01:08:29.828]  And here's the report I mentioned because a new study came out confirming it's better than what they said.
[01:08:31.815 --> 01:08:35.057]  Six years ago, the earth's greening even faster.
[01:08:35.898 --> 01:08:53.690]  In a 2016 paper published by 32 authors from 24 institutions in eight countries, they analyzed satellite data, concluded that there had been a roughly 14% increase in green vegetation over 30 years, and they projected up to a doubling by the end of the century, and now six years later, it's even better than they thought.
[01:08:54.050 --> 01:09:01.515]  Crops need less water, less fertilizer, because they've got more carbon dioxide, they need less nitrogen, they need less water.
[01:09:02.095 --> 01:09:02.995]  They need less sunlight.
[01:09:05.096 --> 01:09:08.437]  Carbon dioxide is the gas, more important than oxygen.
[01:09:09.658 --> 01:09:16.260]  And when plants get it, they put out more oxygen, which the studies show make us live longer and have lower cancer rates.
[01:09:17.360 --> 01:09:22.422]  Our ancestors, just a few thousand years ago, were breathing more carbon dioxide than we are now.
[01:09:24.417 --> 01:09:31.341]  It's crazy we discovered oil right when suddenly the atmosphere had issues and was losing the gases we needed.
[01:09:31.741 --> 01:09:34.363]  Big story on it at Infowars.com.
[01:09:34.423 --> 01:09:37.945]  Green vegetation on earth increased by 40% over 30 years.
[01:09:38.405 --> 01:09:44.529]  Major study finds and now the new study confirms it's happening even faster than the scientists thought.
[01:09:45.829 --> 01:09:51.873]  Meanwhile, Elon Musk owns these giant cobalt mines in Africa where thousands die a year.
[01:09:52.788 --> 01:09:54.049]  And the Chinese do as well.
[01:09:54.529 --> 01:10:01.474]  DR Congo towns that disappear as Chinese-owned cobalt mines swallows it up, French news agency reports.
[01:10:01.494 --> 01:10:05.237]  I want to Tucker Carlson say, we'll play it when we come back.
[01:10:05.897 --> 01:10:09.420]  All prosperity in this country, in the world, depends ultimately on energy.
[01:10:09.960 --> 01:10:15.684]  It's unimaginable that anyone but our enemies would want to raise our energy prices to the point where our economy collapses.
[01:10:15.744 --> 01:10:19.066]  And yet, that is exactly what the Biden administration has decided to do.
[01:10:20.407 --> 01:10:21.068]  That's coming up.
[01:10:22.389 --> 01:10:36.540]  Meanwhile, EV charging stations by 2035 will need more power than a small town per system, using more fossil fuels to create the batteries and to produce the electricity.
[01:10:37.441 --> 01:10:42.946]   You see the famous pictures of diesel generators powering the electric Hookups.
[01:10:43.047 --> 01:10:45.529]  It's all a fraud to destroy the economy.
[01:10:45.589 --> 01:10:47.211]  It's all coming up.
[01:10:47.251 --> 01:10:49.973]  You want to know how much the deep state is out to get you?
[01:10:50.414 --> 01:10:51.435]  How criminal they are?
[01:10:51.455 --> 01:10:54.758]  This is the total proof of all of it.
[01:10:55.018 --> 01:10:58.361]  And we're going to lay it all out on the other side.
[01:10:58.401 --> 01:11:00.443]  They are literally turning off the power.
[01:11:01.164 --> 01:11:03.647]  Turning off the carbon dioxide and oxygen to the planet.
[01:11:03.667 --> 01:11:04.888]  They're turning off the power.
[01:11:05.967 --> 01:11:12.492]  For only the second time in the entirety of the InfoWars store, we are announcing a Selling Out Mega Blowout Sale!
[01:11:12.973 --> 01:11:21.399]  Many of our top selling items are included in this sale and are in limited supply, so once they're out, they will probably not be back in stock until next year.
[01:11:21.780 --> 01:11:31.668]  Everything is listed at deep discounts of up to 60% off market price, plus, if you order now, we will include a free gift from the store for every order, regardless of what you buy.
[01:11:32.248 --> 01:11:38.890]  This item will be chosen at random from a hand-picked selection of our DVDs, books, stickers, and so much more.
[01:11:39.330 --> 01:11:44.151]  This is our gift to you for supporting the InfoWars and the Voice of Freedom worldwide.
[01:11:44.491 --> 01:11:55.274]  After the seemingly never-ending barrage of attacks on us, Alex and the rest of the crew here at InfoWars needs all the help we can get to allow the message of a pro-human future to reach the masses.
[01:11:55.554 --> 01:12:00.233]   Hurry to the store of InfoWars now to check out the Mega Blowout Sale, because some of
[01:12:00.233 --> 01:12:12.953]  these items are already selling out at InfoWarsStore.com.
[01:12:12.953 --> 01:12:17.592]  It's really so incredibly elementary that...
[01:12:17.592 --> 01:12:19.592]  [Music]
[01:12:19.563 --> 01:12:30.725]  Somewhere around a third of the greenhouses in Europe and the United States, I was looking at the numbers up today, at least 25%, pump carbon dioxide into the tents.
[01:12:30.745 --> 01:12:36.346]  And it's fine for humans to go in there, because the plants put off even more oxygen.
[01:12:36.826 --> 01:12:42.927]  And the plants grow up to twice as fast and are more healthy with more carbon dioxide.
[01:12:45.027 --> 01:12:47.868]  The life cycle, sunlight, water, carbon dioxide, and oxygen.
[01:12:49.070 --> 01:12:55.372]  But they know the average person thinks carbon dioxide sounds like carbon monoxide that'll kill you, so they want it banned.
[01:12:55.392 --> 01:12:59.914]  Of course, water's technical name is dihydrogen monoxide.
[01:13:00.574 --> 01:13:03.035]  And we've done this many times, four or five times, man, on the street.
[01:13:03.075 --> 01:13:04.015]  I've done it a couple times.
[01:13:04.475 --> 01:13:06.276]  Leanne McAdoo, when she was a reporter for us, did it.
[01:13:06.796 --> 01:13:08.317]  You go out to a general crowd.
[01:13:08.397 --> 01:13:11.198]  We did it at UT, did it downtown Austin as well.
[01:13:12.898 --> 01:13:15.600]  And you say, hey, there's this thing that's everywhere.
[01:13:15.660 --> 01:13:16.281]  It's a pollutant.
[01:13:16.341 --> 01:13:16.861]  It's a problem.
[01:13:16.901 --> 01:13:18.082]  It's dihydrogen monoxide.
[01:13:18.643 --> 01:13:19.784]  It makes you urinate a lot.
[01:13:20.244 --> 01:13:21.525]  It's in our bodies.
[01:13:21.625 --> 01:13:22.286]  We need to ban it.
[01:13:23.227 --> 01:13:29.032]  And 90 plus percent of people sign a petition to ban dihydrogen monoxide.
[01:13:31.794 --> 01:13:35.357]  We've also done the same man on the street with the name of Salt.
[01:13:36.178 --> 01:13:38.160]  And Salt's technical name sounds really scary.
[01:13:39.033 --> 01:13:48.456]  So, carbon dioxide has this horrible name, but it's the key, along with sunlight, water and oxygen to all life on this planet.
[01:13:49.996 --> 01:14:01.760]  And so they're stopping carbon dioxide that combustion engines put off, because they're burning up captured carbon from life on this planet.
[01:14:04.240 --> 01:14:05.701]  Literal fertilizer to the earth.
[01:14:07.148 --> 01:14:09.530]  By cutting that off, it's a strategic war.
[01:14:09.591 --> 01:14:14.395]  But China, and all these other third world countries, they're making zero cuts, but we are.
[01:14:14.676 --> 01:14:15.937]  This is an act of war.
[01:14:16.237 --> 01:14:18.339]  It's much worse than shutting off the Keystone Pipeline.
[01:14:18.860 --> 01:14:19.581]  Here's Tucker Carlson.
[01:14:20.502 --> 01:14:21.203]  Observation.
[01:14:21.663 --> 01:14:25.546]  All prosperity in this country depends ultimately on energy.
[01:14:26.066 --> 01:14:27.848]  Our consumer economy runs on it.
[01:14:27.888 --> 01:14:30.890]  It takes energy to make things and bring them to your house.
[01:14:31.510 --> 01:14:33.592]  Our tech economy runs on energy too.
[01:14:33.872 --> 01:14:34.453]  A lot of it.
[01:14:34.473 --> 01:14:37.034]  How do you think they keep their server farms running?
[01:14:37.695 --> 01:14:40.897]  Energy is pretty much, in fact, the key to everything that Americans do for a living.
[01:14:40.917 --> 01:14:46.341]  It's the key to health care and agriculture and yes, media and travel and construction, entertainment.
[01:14:47.322 --> 01:14:52.087]  Even finance, which is symbiotic with the real economy, depends, in the end, on energy.
[01:14:52.527 --> 01:14:57.732]  Because you can't lend money to businesses if they no longer exist, and if energy prices go up high enough, they don't exist.
[01:14:58.922 --> 01:15:09.707]  So given how central, very obviously central, energy is to everything that matters in America, it's hard to believe that the Biden administration would intentionally make energy much more expensive.
[01:15:10.287 --> 01:15:17.830]  Because we know for a fact, having seen it repeatedly through history, that high energy prices will crush our economy faster even than the COVID lockdowns did.
[01:15:18.290 --> 01:15:19.871]  People will become poor.
[01:15:20.151 --> 01:15:21.552]  Some of them will die.
[01:15:22.012 --> 01:15:22.672]  That's not a guess.
[01:15:22.732 --> 01:15:23.493]  It will happen.
[01:15:24.153 --> 01:15:31.336]  So given all that, it's unimaginable that anyone but our enemies would want to raise our energy prices to the point where our economy collapses.
[01:15:31.956 --> 01:15:35.138]  And yet that is exactly what the Biden administration has decided to do.
[01:15:35.518 --> 01:15:40.060]  And to do it, they're using twin instruments of climate policy and their war against Russia.
[01:15:41.087 --> 01:15:41.627]  The effect?
[01:15:42.168 --> 01:15:49.412]  In a nation with the largest recoverable oil reserves on planet Earth, many Americans can no longer afford fossil fuels.
[01:15:50.253 --> 01:15:51.814]  And once again, this is not an accident.
[01:15:52.334 --> 01:15:54.055]  It's not a natural cycle we're going through.
[01:15:54.636 --> 01:15:58.978]  Politicians and policy makers are doing it to us on purpose.
[01:16:00.819 --> 01:16:02.921]  So they couldn't get Trump to cut U.S.
[01:16:03.541 --> 01:16:04.262]  energy production.
[01:16:04.302 --> 01:16:11.676]   We went from being number three in the world under Obama Number one in the world within two years of Trump being in for just four years.
[01:16:12.297 --> 01:16:17.499]  But they could trick him to go along with the lockdowns for at least a while, which killed the economy.
[01:16:18.159 --> 01:16:24.802]  But then they brought in, once Biden got in, the energy crackdown, which is why everything costs more, everything's falling apart.
[01:16:25.202 --> 01:16:27.143]  They know exactly what they're doing.
[01:16:27.523 --> 01:16:29.284]  But here's this incredibly important report.
[01:16:29.784 --> 01:16:31.185]  It's up on InfoWars.com.
