[00:00:00.000 --> 00:00:01.000]  [BEEP]
[02:07:55.346 --> 02:08:00.746]   I thought it was up front important to point out the biggest bed and sheet sale ever,
[02:08:00.746 --> 02:08:03.827]  as low as $29.95 for that giant set.
[02:08:03.827 --> 02:08:04.666]  MyPillow.com.
[02:08:04.666 --> 02:08:06.666]  Um...
[02:08:06.474 --> 02:08:08.375]  Sheets, as low as $49.95.
[02:08:08.555 --> 02:08:10.416]  It goes on and on.
[02:08:10.576 --> 02:08:13.978]  Overstock sale, six-piece MyPillow towel set, $39.98.
[02:08:14.838 --> 02:08:16.519]  My goodness, at the store, towels look $30 a piece.
[02:08:16.539 --> 02:08:16.939]  MyPillow sandals, $19.98.
[02:08:17.280 --> 02:08:18.200]  MyPillow's as low as $19.99.
[02:08:22.543 --> 02:08:24.666]  88.
[02:08:23.644 --> 02:08:24.666]  MyPillow beds.
[02:08:24.786 --> 02:08:25.527]  Massive discounts.
[02:08:25.567 --> 02:08:26.969]  Up to 50% off on that.
[02:08:27.309 --> 02:08:28.090]  Towel sale.
[02:08:28.411 --> 02:08:29.873]  MyPillow plush blanket.
[02:08:29.933 --> 02:08:30.714]  As low as $19.98.
[02:08:32.677 --> 02:08:33.778]  Roll and go anywhere.
[02:08:33.838 --> 02:08:35.140]  MyPillows.
[02:08:35.160 --> 02:08:35.140]  $14.98.
[02:08:36.021 --> 02:08:37.463]  Beach blankets and beach towels.
[02:08:37.964 --> 02:08:39.105]  Save 30%.
[02:08:39.485 --> 02:08:40.706]  It goes on and on and on.
[02:08:40.726 --> 02:08:57.200]  Women's sleepwear, longwear, hundreds and hundreds of products, made in America, funding the Second American Revolution, MyPillow.com, MyPillow.com promo code ALEX at checkout and get a massive additional discount.
[02:08:57.300 --> 02:08:58.321]  It's all over the place.
[02:08:58.561 --> 02:08:59.922]  He's got a bunch of other amazing sites.
[02:09:00.222 --> 02:09:05.247]  He'll tell you all about it before he leaves us in like 50 minutes, but I wanted to play a compilation.
[02:09:05.267 --> 02:09:06.528]  He was asking me before he went live.
[02:09:07.068 --> 02:09:09.090]  Right during the break he said, did you see our coverage?
[02:09:09.110 --> 02:09:10.752]  I said, well of course I was watching, everybody is.
[02:09:10.992 --> 02:09:11.933]  You've done the best job.
[02:09:12.173 --> 02:09:12.854]  You've nailed it.
[02:09:13.054 --> 02:09:16.077]  And he said, did you see my crime spikes and live time crime?
[02:09:16.117 --> 02:09:16.697]  I said, of course.
[02:09:17.078 --> 02:09:19.600]  I've got a compilation of some of the best of it.
[02:09:19.780 --> 02:09:21.882]  We'll air a few minutes of it and go to the man.
[02:09:22.123 --> 02:09:23.084]  Mike Lindell, here it is.
[02:09:23.624 --> 02:09:25.985]  What we have here, we have the votes going up.
[02:09:26.045 --> 02:09:27.185]  I'm putting my cursor over it.
[02:09:27.245 --> 02:09:29.465]  Votes going up, staying the same, staying the same.
[02:09:29.485 --> 02:09:35.487]  And then we have, we go from 326,000 votes down to 288,000 votes.
[02:09:36.167 --> 02:09:37.147]  So, where'd they go?
[02:09:37.667 --> 02:09:38.087]  They're gone.
[02:09:38.447 --> 02:09:40.228]  You can't go and reverse everybody.
[02:09:40.268 --> 02:09:45.769]  These are the order, these votes are coming in through the Edison Report, which is one of the biggest monopolies in this country.
[02:09:46.269 --> 02:09:50.530]  Every single vote goes through New Jersey, and then it comes out to us.
[02:09:51.350 --> 02:09:57.954]  I switched over, while you were talking, to the governor race in Pennsylvania, and you'll see it happened there too.
[02:09:58.374 --> 02:10:12.481]  We have a 63,000, we have a 90,000 crime spike, another 90,000 crime spike, a 63,000 crime spike, and then they go, uh oh, the whole world's gonna know that Mastriano's getting, you know, we're cheating by too much.
[02:10:12.521 --> 02:10:13.622]  So what do they do, everybody?
[02:10:13.682 --> 02:10:14.963]  Right there, point to the cursor?
[02:10:15.443 --> 02:10:19.325]  They took away 90,000 votes from the Democrat.
[02:10:20.185 --> 02:10:25.520]  Yeah, if you look, it took the vote total back to where it had been way back here.
[02:10:26.022 --> 02:10:27.987]  These are real-time crime spikes!
[02:10:28.772 --> 02:10:30.332]  Machine manipulation?
[02:10:30.832 --> 02:10:31.313]  Look at that!
[02:10:31.733 --> 02:10:33.413]  See that Democrat going, ding!
[02:10:33.773 --> 02:10:37.514]  Up 150,000 votes because Herschel was taking the lead.
[02:10:37.814 --> 02:10:40.634]  So they just dumped a bunch of votes by computer in there.
[02:10:41.074 --> 02:10:42.615]  Everybody can understand that.
[02:10:42.635 --> 02:10:45.715]  That's something everybody can enjoy, real-time crime.
[02:10:45.755 --> 02:10:47.896]  That's right there in front of ya!
[02:10:47.916 --> 02:10:51.796]  That's 100,000 votes that comes out of nowhere.
[02:10:52.637 --> 02:10:53.957]  That's just not real.
[02:10:54.648 --> 02:10:59.109]  If you took that real spike out, that crime spike, Herschel would be up by 150,000 votes.
[02:10:59.150 --> 02:11:05.712]  Yeah, it looks like about 100,000 votes spike there, if I'm reading that correctly.
[02:11:05.852 --> 02:11:09.913]  Out of nowhere, yes, that one, for Gretchen Widmer.
[02:11:11.674 --> 02:11:15.375]  That has all the indications of a vote dump.
[02:11:16.776 --> 02:11:19.257]  Uh, of likely counterfeit ballots.
[02:11:20.398 --> 02:11:24.541]  Both of these look really, really strange, but in particular... Yeah, this one.
[02:11:24.781 --> 02:11:28.604]  Yeah, that one... Because there was almost hardly any increase in the... Yeah.
[02:11:29.104 --> 02:11:32.767]  That's 22-23, so that's 10-23 p.m.
[02:11:32.867 --> 02:11:34.929]  Eastern Time, if I'm reading that correctly.
[02:11:34.949 --> 02:11:35.149]  Correct.
[02:11:35.749 --> 02:11:40.553]  And so, that is almost beyond belief.
[02:11:41.013 --> 02:11:43.096]  Wow, look at this everybody!
[02:11:43.577 --> 02:11:46.781]  That's a million votes up and a million votes down.
[02:11:48.022 --> 02:11:52.889]  You know, a million votes here and a million votes there and eventually it adds up to a real, you know, real election.
[02:11:52.909 --> 02:11:54.131]  Can you explain this one?
[02:11:55.166 --> 02:11:56.067]  Can you explain this?
[02:11:56.327 --> 02:11:58.249]  Well, I can't really explain it.
[02:11:58.269 --> 02:12:00.851]  I mean, I can't... There is no explanation.
[02:12:00.871 --> 02:12:08.258]  There is no explanation, but you see that you had an update at Eastern Time, what is that, 1042, of about a million votes for...
[02:12:12.222 --> 02:12:15.645]  Duckworth, and pretty much none for the other person.
[02:12:16.046 --> 02:12:18.548]  And then you see, it wasn't like it was something that came right back.
[02:12:18.608 --> 02:12:26.036]  It's like we kept on having little more updates, little more updates, and then suddenly there goes the million votes back down again.
[02:12:26.472 --> 02:12:29.073]  That million person spike there.
[02:12:29.073 --> 02:12:32.672]   We're going to have more of these highlights in the hour, but I got to get to the man himself,
[02:12:32.672 --> 02:12:34.172]  Mike Lindell.
[02:12:34.172 --> 02:12:36.773]  Wow. Incredible time to be alive.
[02:12:36.773 --> 02:12:38.872]   We only got four minutes to break. We'll come back. You'll have the floor.
[02:12:38.872 --> 02:12:43.273]   But just a snapshot to hear the guy literally at the heart of the fight against these people.
[02:12:43.273 --> 02:12:46.073]  What is really going on, Mike Lindell?
[02:12:46.073 --> 02:12:51.273]   About what they're doing is the same thing that they did in the 2020 election and in the primaries, by the way.
[02:12:51.400 --> 02:12:52.720]  What they do is they poll.
[02:12:52.920 --> 02:12:58.022]  That's why we told everybody to vote same day and don't vote early or with the mail and all this stuff.
[02:12:58.322 --> 02:12:59.542]  They're just pulling names.
[02:12:59.922 --> 02:13:05.124]  The computer just pulls names and you get these injections of votes.
[02:13:05.184 --> 02:13:07.084]  So let's use the Os race.
[02:13:09.666 --> 02:13:14.771]  You know, with Fetterman, they did 590,000 vote injections.
[02:13:15.112 --> 02:13:16.814]  So as soon as it gets close, boom, boom.
[02:13:17.094 --> 02:13:28.787]  Now once it's the day of votes, like we're seeing down in Arizona right now, all these day of votes come in, and those votes aren't as corrupted, or might not be at all.
[02:13:29.327 --> 02:13:33.229]  But this is what's happening, and we have to get rid of the machines.
[02:13:34.390 --> 02:13:43.575]  And this time, though, the miracle, everybody, I want to tell everyone the miracle is that when I woke up on Election Day, I'm going, I'm hearing from 32 states.
[02:13:43.635 --> 02:13:50.958]  Remember, I have people in 50 states, Alex, and all 50 states, we have a massive amount of people on the ground.
[02:13:51.499 --> 02:13:55.881]  And it was reported in 32 of the states, machine malfunctioning.
[02:13:56.421 --> 02:14:02.545]  Just like Arizona, which made national news and international news, that they weren't even accepting ballots.
[02:14:02.885 --> 02:14:03.805]  People were getting there.
[02:14:03.825 --> 02:14:05.626]  They're going, oh, you've already voted.
[02:14:05.846 --> 02:14:07.747]  You pull out your little mail-in ballots.
[02:14:07.807 --> 02:14:08.648]  And no, I haven't.
[02:14:08.928 --> 02:14:10.689]  They called their sheriff's departments.
[02:14:11.049 --> 02:14:18.653]  So right away, the awareness that was made around the world about these machines, that was like a divine intervention.
[02:14:18.673 --> 02:14:19.754]  That was a gift from God.
[02:14:20.154 --> 02:14:23.556]  And then now we're seeing what goes on inside the machines.
[02:14:24.356 --> 02:14:32.665]  And we overrun the algorithms, I believe, so far in at least nine races, but obviously we have all the evidence now of all the ones they sold.
[02:14:32.685 --> 02:14:36.730]  They decimated Colorado, Michigan, Pennsylvania.
[02:14:36.990 --> 02:14:38.231]  They just took it all.
[02:14:38.251 --> 02:14:40.414]  They weren't even shy about it this time around.
[02:14:42.079 --> 02:14:49.584]  What's incredible is, even Tucker Carlson, that hasn't really looked at the fraud, now he agrees with you and says they clearly stole it.
[02:14:49.624 --> 02:14:51.025]  So, congratulations.
[02:14:51.065 --> 02:14:54.247]  Nobody deserves more credit than you and your supporters and our supporters.
[02:14:54.267 --> 02:14:55.528]  Because, Mike, you've been through hell.
[02:14:56.289 --> 02:14:56.929]  And you're a winner.
[02:14:56.949 --> 02:14:57.870]  You don't complain about it.
[02:14:58.090 --> 02:14:59.791]  But, buddy, you've been raided by the FBI.
[02:14:59.811 --> 02:15:00.391]  You've been attacked.
[02:15:00.511 --> 02:15:01.512]  You've been deplatformed.
[02:15:01.852 --> 02:15:04.354]  You have been savage, but you seem stronger for it.
[02:15:05.362 --> 02:15:07.884]  Yeah, well, you know, it's my faith in God.
[02:15:07.904 --> 02:15:11.226]  And I'll tell you, Alex, we don't want to be Venezuela.
[02:15:11.586 --> 02:15:15.789]  And we got a perfect example right before this election of what they did to Brazil.
[02:15:17.030 --> 02:15:19.991]  5.1 million votes were stolen from that great President Barsanaro.
[02:15:20.532 --> 02:15:25.235]  And you've seen all the millions of people out there going, this can't be, this can't be.
[02:15:25.735 --> 02:15:26.376]  But you know what?
[02:15:26.416 --> 02:15:28.497]  The mainstream media didn't even cover that.
[02:15:29.210 --> 02:15:30.231]  So you are right.
[02:15:30.371 --> 02:15:36.716]  I am so happy right now that Tucker and other news outlets actually started covering this.
[02:15:37.096 --> 02:15:49.705]  If they start covering the real-time crime and start covering these things, we're going to get there a lot faster to this beautiful place we're going than we could ever think that we'd get there that fast.
[02:15:49.725 --> 02:15:50.826]  All right, Mike Lindell.
[02:15:50.906 --> 02:15:52.748]  Mike Lindell, truly the man in the arena.
[02:15:52.788 --> 02:15:58.332]  I'm going to come back and give you the floor to get into everything because you are, again, absolutely on target.
[02:16:00.174 --> 02:16:34.319]   The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible, What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[02:16:34.400 --> 02:16:49.408]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier and wiser is what keeps InfoWars on the air and what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[02:16:49.568 --> 02:16:51.131]  So continue to do it.
[02:16:51.231 --> 02:16:53.355]  Go to places like InfoWarsStore.com.
[02:16:53.416 --> 02:16:55.179]  Go to the places like Save InfoWars.
[02:16:55.318 --> 02:17:00.359]   Continue to keep Infowars alive, because in the process, you're keeping American liberty alive.
[02:17:00.359 --> 02:17:10.359]  [Music]
[02:17:10.359 --> 02:17:15.358]   Ladies and gentlemen, we are doing the biggest sale in the history of Infowars right now.
[02:17:15.504 --> 02:17:18.026]  Everything is very close to cost.
[02:17:18.086 --> 02:17:20.689]  Some things are lost liters below cost.
[02:17:20.749 --> 02:17:25.954]  We are running a sale up to 60% off at InfoWarsStore.com with promo code 1776.
[02:17:25.994 --> 02:17:27.635]  We have to get the funds in right now.
[02:17:30.578 --> 02:17:38.142]  So, we have the Selling Out Fast Mega Blowout Sale, up to 60% off of all of our best-selling items at InfoWarsTore.com.
[02:17:38.162 --> 02:17:40.823]  And what just sold out in the last three days with this sale?
[02:17:41.283 --> 02:17:43.184]  Survival Shield X3 sold out.
[02:17:43.264 --> 02:17:44.485]  Bio-Tricillinium sold out.
[02:17:44.905 --> 02:17:46.326]  Patriot Blend Coffee sold out.
[02:17:46.346 --> 02:17:47.847]  Immune Support Coffee sold out.
[02:17:48.507 --> 02:17:53.049]  RainForce Plus, 60% off, will sell out soon, but I want you to experience it.
[02:17:53.449 --> 02:17:57.791]  Knockout Sleep Support, 50% off, selling out soon, still keeping it on sale.
[02:17:58.192 --> 02:18:09.937]  Alpha Power, VasoBeat, Bodies, Vitamin Refusion, DNA Force Plus, Vitamin D3 Gummies, Whole Food Multivitamin, Vitamin C with Zinc, RainForce Ultra, Super Melanin Fuel Vitality, Ultimate Creole Oil, all of them.
[02:18:10.478 --> 02:18:17.066]  50 to 60% off with promo code 1776 at Infowarshore.com, despite the fact they're selling out.
[02:18:17.426 --> 02:18:21.812]  It'll be months till we get more of these products in, but we need the funds now, plus these are great products.
[02:18:22.292 --> 02:18:24.956]  So don't fight the lines, don't go all the Christmas shopping coming up next month.
[02:18:25.416 --> 02:18:29.221]  Get great things for your immune system, your libido, your energy, your overall health.
[02:18:29.521 --> 02:18:34.767]  Know you're fighting the M4, get your gift spot, get a backup support for yourself, and keep us on the air.
[02:18:35.207 --> 02:18:40.353]  A lot of folks are taking advantage of this blowout sale, but I'm telling you, by tomorrow, more of this will be sold out.
[02:18:40.874 --> 02:18:42.315]  So this sale's going through Christmas.
[02:18:42.355 --> 02:18:43.457]  This is a total liquidation.
[02:18:44.181 --> 02:18:46.944]  But you won't be able to get most of these products by then.
[02:18:47.384 --> 02:18:57.914]  And we've got my book in stock, unsigned or signed as a fundraiser, The Great Reset and War for the World, also at Infowarsstore.com or 888-253-3139.
[02:18:59.055 --> 02:19:01.358]  And you know who you are that have been buying the products and supporting us.
[02:19:01.438 --> 02:19:02.359]  I salute you and I thank you.
[02:19:02.399 --> 02:19:04.260]  But these really will change your life.
[02:19:04.280 --> 02:19:06.162]  These really are amazing products.
[02:19:07.651 --> 02:19:09.213]  We're going to appeal the fake lawsuits.
[02:19:09.553 --> 02:19:11.495]  We're going to stay on air and defiance their tyranny.
[02:19:11.956 --> 02:19:15.800]  The only people that can take us off air is you if you don't support us.
[02:19:15.840 --> 02:19:16.961]  And I'm not putting a guilt trip on you.
[02:19:17.041 --> 02:19:17.462]  I love you.
[02:19:17.782 --> 02:19:18.283]  I appreciate you.
[02:19:18.323 --> 02:19:18.763]  I thank you.
[02:19:18.863 --> 02:19:19.524]  I trust you.
[02:19:19.864 --> 02:19:20.625]  I'm betting on you.
[02:19:20.945 --> 02:19:22.888]  I'm simply saying you're the only folks.
[02:19:23.368 --> 02:19:24.329]  They can keep us on air.
[02:19:24.349 --> 02:19:34.697]  We got a lot of new projects we're about to launch, a lot of new resistance operations, so much exciting things to happen, and it's all because of you supporting us and what we do that we're still on air.
[02:19:34.816 --> 02:19:40.495]   So please go to InfoWarsTore.com today and take advantage of these sales before they
[02:19:40.495 --> 02:19:45.255]   sell out on Rainforce Plus, Knockout, Alpha Power, Vaseline Beat, Bodies, Vitamineral
[02:19:45.255 --> 02:20:02.655]   Fusion, DNA Force Plus, and so much more all about the sellout at InfoWarsTore.com.
[02:20:02.655 --> 02:20:06.655]  a frontal assault on the lies of the New World Order.
[02:20:06.810 --> 02:20:08.810]  It's Alex Jones.
[02:20:08.810 --> 02:20:15.810]   I think what Mike Lindell said earlier in the last segment on The Alex Jones Show is
[02:20:15.810 --> 02:20:18.810]  so central.
[02:20:18.961 --> 02:20:27.727]  If we hadn't had all the poll watchers, if we hadn't had the massive resistance exposing the fraud, it would have been far worse and we wouldn't even have a shot at the House or the Senate.
[02:20:28.287 --> 02:20:29.228]  But we're on the march.
[02:20:29.888 --> 02:20:33.631]  The vote stealers and their crime spikes are on the run.
[02:20:34.151 --> 02:20:36.533]  And so Mike, you are the encyclopedia on this.
[02:20:37.173 --> 02:20:45.900]  I'm going to try for the rest of the hour to give you the floor to just go through what happened, what's happening currently, what you see coming next and how we're going to peacefully expose this.
[02:20:47.081 --> 02:20:49.283]  Well, we have breaking news just on break here.
[02:20:49.343 --> 02:20:51.385]  I got a I got a text from our lawyers.
[02:20:51.825 --> 02:21:05.277]  I don't know if everybody knew out there, but there was a company CEO called Koenig out of Michigan that got charged with probably the biggest larna data breach in United States history.
[02:21:06.056 --> 02:21:19.219]  Which was during, in our elections, going, and this is out of China everybody, which I've been saying all along, that the CCP combined with the United Party, the Globalists, and the Deep State, this is the attack, this is who's attacking our country.
[02:21:19.559 --> 02:21:21.840]  The Democrat Party just loves to join on in.
[02:21:21.860 --> 02:21:27.641]  Now let me tell you, they just dropped the charges against Koenig.
[02:21:28.461 --> 02:21:30.082]  They're against this CEO.
[02:21:30.502 --> 02:21:31.602]  It's disgusting.
[02:21:32.062 --> 02:21:34.763]  Now you think that China isn't involved in our government?
[02:21:35.323 --> 02:21:38.844]  It's absolutely disgusting what they just happened.
[02:21:39.624 --> 02:21:48.387]  And it says that their office, they took out a press release saying they didn't rely on True2Vote's data, that they did their own investigation.
[02:21:48.407 --> 02:21:49.607]  Lie!
[02:21:49.967 --> 02:21:52.988]  Remember, they put the True2Vote, Catherine and Greg, in jail.
[02:21:53.448 --> 02:21:55.829]  They put them in jail for almost, what, a week?
[02:21:57.240 --> 02:21:58.741]  And that's important to add.
[02:21:58.801 --> 02:21:59.742]  You're getting SWAT teamed.
[02:21:59.762 --> 02:22:03.044]  People are being thrown in jail as you're exposing this and being vindicated.
[02:22:03.344 --> 02:22:08.767]  That's why people need to be praying for you and everybody that's supporting what you're doing, including InfoWars, because folks, you want us to fight.
[02:22:08.947 --> 02:22:09.448]  We're doing it.
[02:22:09.568 --> 02:22:09.928]  Continue.
[02:22:11.129 --> 02:22:14.130]  Yep, you guys are awesome, everybody, with your support.
[02:22:14.570 --> 02:22:15.990]  So this is what we're up against.
[02:22:16.030 --> 02:22:18.390]  But I will tell you some other lawsuits.
[02:22:18.470 --> 02:22:25.091]  There's over 45 lawsuits going on in this country right now that we're fighting for in every state and we're adding to it today.
[02:22:25.692 --> 02:22:27.172]  We have one in Arizona.
[02:22:27.472 --> 02:22:28.892]  I'll give you Arizona here.
[02:22:28.912 --> 02:22:36.914]  We appealed, we just appealed to deny, remember they denied Cochise County in Arizona.
[02:22:37.174 --> 02:22:39.214]  They told them they couldn't hand count the election.
[02:22:39.898 --> 02:22:40.539]  What?
[02:22:40.919 --> 02:22:41.279]  Why?
[02:22:41.539 --> 02:22:45.422]  Why would you come in there and say, and get a ruling from a corrupt judge or something?
[02:22:45.482 --> 02:22:46.003]  I don't know.
[02:22:47.124 --> 02:22:48.745]  He ruled that you can't do a hand count.
[02:22:48.765 --> 02:22:51.747]  Well, we appealed that to the Arizona Supreme Court.
[02:22:51.787 --> 02:22:52.928]  We'll see what comes of that.
[02:22:53.769 --> 02:22:55.950]  Over in Wisconsin, let's move over to Wisconsin.
[02:22:56.591 --> 02:22:58.552]  There, you won't even believe this one.
[02:22:58.592 --> 02:23:00.514]  This is the complaint.
[02:23:01.198 --> 02:23:04.139]  That's compiled against the WEC.
[02:23:04.159 --> 02:23:07.121]  This is the Crooked Wisconsin Election Commission.
[02:23:07.281 --> 02:23:07.601]  Okay?
[02:23:08.101 --> 02:23:10.062]  The Crooked Wisconsin Election Commission.
[02:23:10.662 --> 02:23:20.167]  And there, there's been two-way communication between tabulators that goes out to an unofficial address.
[02:23:20.227 --> 02:23:22.268]  It's called WISCNET.NET.
[02:23:22.608 --> 02:23:24.929]  It goes to this foundation called WISCNET.NET.
[02:23:29.480 --> 02:23:34.244]  And all of our stuff, all the Wisconsin elections and our stuff across the country is going to these guys.
[02:23:34.484 --> 02:23:36.265]  Then it goes out from there all over the place.
[02:23:36.766 --> 02:23:41.229]  So we put a complaint in there, a lawsuit in there, get to the bottom of it.
[02:23:41.349 --> 02:23:43.891]  And I just want everybody to know there's hope everywhere.
[02:23:44.912 --> 02:23:48.155]  And now that we're going to get the House, I believe we'll get the House and the Senate.
[02:23:48.235 --> 02:23:53.339]  I believe right now you've got the stuff going on, which I can tell you about in a minute, an update on that.
[02:23:53.899 --> 02:24:02.694]   But to slow the destruction of our country, But in the meantime, the big smoking gun is getting rid of these electronic computers and voting machines.
[02:24:03.235 --> 02:24:05.700]  We have to get down to elections, not selections.
[02:24:08.194 --> 02:24:25.064]  We've got, there's just so much hope out there, but I know if you're in Michigan or you woke up, you're Michigan, Colorado, Pennsylvania, so many of them have lost hope now, Alex, because they were just decimated by the stolen election, by these elections that were stolen.
[02:24:25.424 --> 02:24:27.645]  But let me tell you, I'll give an example.
[02:24:27.665 --> 02:24:43.894]   Our cyber guys were watching, do you know in Pennsylvania and with Georgia, The same attacks, some of the same IP addresses that did this in 2020 and in a couple of the primaries came from the same place.
[02:24:44.654 --> 02:24:51.960]  So we're getting deeper and deeper into that and there's just so much hope in this country right now.
[02:24:52.940 --> 02:24:53.301]  I'm happy.
[02:24:53.341 --> 02:24:54.942]  I want to say this to everybody too.
[02:24:56.223 --> 02:24:59.205]  Everyone goes, well Mike, we didn't get the red wave we wanted.
[02:24:59.918 --> 02:25:01.999]  You guys, that's a miracle we didn't get that.
[02:25:02.679 --> 02:25:05.400]  We are so blessed that we didn't get that, and here's why.
[02:25:06.220 --> 02:25:12.783]  If we'd have got this big red wave, if I'd have been there, Marcus, I'd have said, don't do anything stupid with the machines.
[02:25:13.123 --> 02:25:17.464]  Let's let this go, and we can take the country later.
[02:25:17.805 --> 02:25:18.565]  They're on to us.
[02:25:19.298 --> 02:25:22.259]  If it had been a big red wave, you know what they would have said to people like me?
[02:25:22.299 --> 02:25:28.160]  They would have said, Mike, it's okay to have all these mail-in ballots from the China virus and all this garbage.
[02:25:28.701 --> 02:25:31.421]  Two months of early voting like my home state of Minnesota.
[02:25:31.661 --> 02:25:32.802]  Mike, it's all okay.
[02:25:32.822 --> 02:25:34.762]  The machines, look at the Republicans won.
[02:25:35.563 --> 02:25:37.123]  This isn't about that, everybody.
[02:25:38.770 --> 02:25:43.571]  The UNA party was there, the CCP, this is what was taking our country.
[02:25:43.651 --> 02:25:46.712]  Over 50 countries have been taken by the machines.
[02:25:47.132 --> 02:25:49.432]  There's my own governor's race, look at this.
[02:25:51.252 --> 02:25:53.833]  He lives in my hometown, Scott Jensen.
[02:25:54.953 --> 02:25:57.334]  Right out of the gate, they just dumped it on Walz.
[02:25:57.354 --> 02:25:59.754]  They gave him a quarter million votes, extra votes.
[02:25:59.994 --> 02:26:00.894]  Here you go, Walz.
[02:26:01.294 --> 02:26:02.554]  And look at that, all the way up.
[02:26:02.754 --> 02:26:04.135]  I mean, it's disgusting.
[02:26:04.595 --> 02:26:05.375]  They stole it.
[02:26:06.027 --> 02:26:08.308]  You know, and this went on across our country.
[02:26:08.608 --> 02:26:11.889]  This is machine manipulation, everybody, and computers.
[02:26:12.389 --> 02:26:14.030]  We cannot have computers.
[02:26:14.330 --> 02:26:15.671]  We're at an apex in history.
[02:26:15.711 --> 02:26:23.053]  We get one chance, one chance for our freedoms to be back and to save our country.
[02:26:25.555 --> 02:26:27.715]  I want to tell you, look at this, look at here in Michigan.
[02:26:27.995 --> 02:26:31.416]  This is when I went to bed on election night, 2 in the morning.
[02:26:31.816 --> 02:26:38.597]  This happened at 1, about 12.58, might have been a little after 1 o'clock in the morning, the traditional Michigan dump.
[02:26:39.057 --> 02:26:41.738]  Look what they gave to Nestle.
[02:26:42.158 --> 02:26:51.160]  They gave Nestle, I think it was 200,000 or more than that, votes, and just took Matt DiPerno's dream and everyone's dream, boom, gone.
[02:26:51.200 --> 02:26:53.400]  That's the Attorney General of Michigan, everybody.
[02:26:54.096 --> 02:26:55.677]  They stole it in real time!
[02:26:56.278 --> 02:27:00.582]  Mike, the graph says it gave them 300,000 plus votes.
[02:27:00.602 --> 02:27:03.104]  300,000 plus votes instantly.
[02:27:04.085 --> 02:27:04.686]  Instantly!
[02:27:04.706 --> 02:27:05.847]  You guys, this came down.
[02:27:06.087 --> 02:27:11.692]  And let me tell you, I'm going to tell you how similar it was to the 2020 election in Michigan.
[02:27:12.276 --> 02:27:13.578]  When they stopped everything.
[02:27:13.818 --> 02:27:16.321]  And by the way, isn't it weird that they stopped everything in 2020?
[02:27:17.342 --> 02:27:18.724]  All the states at the same time?
[02:27:18.744 --> 02:27:20.526]  You think there's not some communication there?
[02:27:20.827 --> 02:27:21.408]  Shut her down!
[02:27:21.428 --> 02:27:22.269]  We got a problem!
[02:27:22.549 --> 02:27:27.055]  Donald Trump's gonna win all these states anyway because he's overrunning the algorithms!
[02:27:27.737 --> 02:27:52.015]  Well, let me tell you, in Michigan, when 106,000 votes came down for Biden at two in the morning in Michigan, and 3,000 for Donald Trump, and everyone said to us, the big lie was, well, you know, those darn inner city, those darn votes from, you know, the Democrats all voted, you know, for those mail-in votes, those darn mail-in votes.
[02:27:52.315 --> 02:28:09.611]   Well, let me tell you, If Fox News or any other news outlet that we had at that time had grown to trust, if they'd have got on there and said, hey everybody, the mail-in votes in Michigan were counted on the morning of the 3rd, not in the middle of the night on the 4th.
[02:28:10.092 --> 02:28:12.193]  Everyone has said, well then where'd they come from?
[02:28:12.814 --> 02:28:18.158]  I'll tell you where they came from, a big white van that pulled in and three fobs and a download of 106,000 votes for Biden.
[02:28:20.419 --> 02:28:22.040]  So this went on again.
[02:28:22.901 --> 02:28:24.202]  Everyone needs to understand.
[02:28:24.642 --> 02:28:27.564]  The same input is going to give you the same output.
[02:28:28.064 --> 02:28:30.626]  We were getting boiled like frogs for two decades.
[02:28:30.926 --> 02:28:33.427]  The Democrats even warned against these machines.
[02:28:33.788 --> 02:28:37.770]  But now that they're on the right side of a fixed game, they don't care.
[02:28:38.170 --> 02:28:39.491]  There it is in Michigan.
[02:28:39.511 --> 02:28:40.712]  It brings back memories.
[02:28:41.392 --> 02:28:42.113]  All the memories.
[02:28:42.493 --> 02:28:43.714]  There they come.
[02:28:43.754 --> 02:28:46.075]  Let's drop 106,000 votes for Biden in the middle of the night.
[02:28:47.629 --> 02:28:50.173]  And, um, which brings up another point.
[02:28:50.454 --> 02:28:52.277]  Remember... Michael and Bill, stay there.
[02:28:52.297 --> 02:28:53.178]  You'll have the floor.
[02:28:53.219 --> 02:28:54.060]  You're on fire.
[02:28:54.360 --> 02:28:58.728]  When we come back on the other side of this break, we'll continue to run the entire field here.
[02:29:00.896 --> 02:29:02.739]  Calling Patriots worldwide.
[02:29:02.959 --> 02:29:08.947]  If you've been waiting for a sale to try out one of our many products at import store .com, then this is the one for you.
[02:29:09.528 --> 02:29:12.412]  Introducing our selling out mega blowout sale.
[02:29:12.592 --> 02:29:24.504]   Almost all of our best items you will find have up to 60% off the base Many of them are in limited supply, too, so once they're gone, you'll probably not have a chance to resupply until next year.
[02:29:24.864 --> 02:29:36.392]  Contained within the sale, you will find things like BrainForce Plus at 60% off or BrainForce Ultra at 50% off, each of which are a great way to try the next level in advanced neural activation.
