[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[01:29:36.159 --> 01:29:52.531]   And again, As in 2020, you're going to have, as we are already seeing, it would seem, you're going to have a massive, massive effort to scam this election because they've lost the people in terms of the majority they have.
[01:29:52.991 --> 01:29:55.833]  And so the only way they can do it is to scam it.
[01:29:56.053 --> 01:30:03.476]  And they'll have had this organization to do so in place for a long time.
[01:30:07.455 --> 01:30:15.942]  And so, yeah, that's what I would say to people in America, that, you know, looking from afar, it's not my country.
[01:30:16.903 --> 01:30:24.469]  If the Democrats continue in power, then it's going to be the end of America.
[01:30:24.769 --> 01:30:26.731]  And David, you're like me, you can go on for an hour.
[01:30:26.811 --> 01:30:31.174]  I stepped away to the printer machine 30 feet away while you were talking to articles I'm printing.
[01:30:31.635 --> 01:30:33.296]  I was listening to you intently with my earpiece.
[01:30:36.610 --> 01:30:39.913]  In closing, this is a human beachhead against tyranny.
[01:30:40.253 --> 01:30:41.214]  There's a global awakening.
[01:30:41.274 --> 01:30:45.557]  Are you overall optimistic with a minute and a half left about humanity's awakening?
[01:30:46.217 --> 01:30:47.478]  And you talked about time frames.
[01:30:48.692 --> 01:30:49.593]  I absolutely do.
[01:30:49.413 --> 01:30:55.332]   years ago, should there be a big election in 2016, a counter strike in 2020, and by
[01:30:55.332 --> 01:30:58.053]  2026 or so we'd know whether we'd beat them or not.
[01:30:58.053 --> 01:31:01.932]   Do you still stand by those numbers that have already come true so far?
[01:31:01.932 --> 01:31:04.053]  I absolutely do.
[01:31:04.053 --> 01:31:07.413]  And you know, it's about perspective too.
[01:31:07.413 --> 01:31:13.413]   I mean, I remember what it was like in 1990, 91, 92, 93, and on through the 90s and across
[01:31:13.413 --> 01:31:20.932]   the millennium, in terms of getting interest in this information and people becoming aware
[01:31:20.932 --> 01:31:23.373]  that actually the world wasn't like they thought it was.
[01:31:23.877 --> 01:31:26.679]  But today it's fantastic.
[01:31:27.259 --> 01:31:29.259]  The number of people who've woken up to it.
[01:31:30.160 --> 01:31:32.460]  And so there's a lot to be optimistic about.
[01:31:32.740 --> 01:31:42.482]  And like I say, it's very important, at least, you know, on this level of politics, that the cult-owned Democrats lose control today.
[01:31:42.502 --> 01:31:50.104]  Well, I gotta tell you, in all the key battleground districts, magically the machines have basically all gone down.
[01:31:51.044 --> 01:31:51.484]  There you go.
[01:31:53.661 --> 01:31:55.461]  Yeah, they've been setting it up, haven't they?
[01:31:55.501 --> 01:31:58.942]  I mean, you know, Biden's said it, this guy Fetterman has said it.
[01:31:59.742 --> 01:32:02.303]  Oh, well, it's going to be a long time before you get the vote.
[01:32:02.403 --> 01:32:02.823]  Why?
[01:32:02.843 --> 01:32:04.203]  Oh, well, we've got to fix it.
[01:32:04.303 --> 01:32:05.784]  Oh, right, gotcha.
[01:32:05.864 --> 01:32:06.904]  That's what it's all about.
[01:32:07.724 --> 01:32:17.186]  The people that control the Democratic Party, this cult, demonic cult, they have no shame.
[01:32:17.406 --> 01:32:18.627]  I know, Damon, great job.
[01:32:18.747 --> 01:32:37.306]  Thank you so much.
[01:32:37.532 --> 01:32:39.153]  The First Amendment is unique in the world.
[01:32:39.414 --> 01:32:40.694]  That's what they want to take away.
[01:32:40.895 --> 01:32:42.256]  Your ability to speak freely.
[01:32:42.396 --> 01:32:43.957]  So they're going to go for Mike Lindell next?
[01:32:44.097 --> 01:32:45.338]  Or are they going to go for Steve Bannon?
[01:32:45.378 --> 01:32:46.779]  Or are they going to go for Tucker Carlson?
[01:32:47.205 --> 01:32:51.707]  I studied the globalists 30 years ago, but on air 28 years, and I knew they were planning all of this.
[01:32:52.047 --> 01:32:53.967]  And I warned the public, as a modern Paul Revere.
[01:32:54.428 --> 01:32:56.128]  But I couldn't have done it without your support.
[01:32:56.448 --> 01:33:03.391]  And now, because we've been so successful warning the population of the planet, honest America, we're public enemy number one when it comes to globalists' agenda.
[01:33:04.031 --> 01:33:08.974]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[01:33:09.434 --> 01:33:18.339]  So I salute you and I thank you and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsTore.com and getting amazing products that keep us on air.
[01:33:18.359 --> 01:33:24.643]  1776 is the promo code, the destination is InfoWarsTore.com and I thank you all for your support.
[01:33:26.044 --> 01:33:37.847]  Alright, I thought it would be 3 o'clock, 4 o'clock, 5 o'clock, 6 o'clock, 7 o'clock, 8 o'clock that we'd see the machines go down and the classic fraud and the key battleground areas where Democrats are losing.
[01:33:38.568 --> 01:33:40.168]  It's happening in the last 3-4 hours.
[01:33:41.048 --> 01:34:00.859]   I have endless videos, endless news reports in Pennsylvania, in Michigan, in Arizona, in Georgia, in With Wisconsin everywhere, where Republicans are winning in massive numbers as the polls showed, the machines are all failing and falling apart.
[01:34:01.360 --> 01:34:02.261]  Here's a short clip.
[01:34:04.130 --> 01:34:09.015]  Out of Maricopa County, that key area that turns the state blue, everybody else is red.
[01:34:09.656 --> 01:34:11.658]  You can vote Democrat, but not Republican.
[01:34:11.718 --> 01:34:12.779]  And this is what they're confirming.
[01:34:13.219 --> 01:34:21.087]  So the glitches are, you can only vote Democrat, you turn the voters away so they go away, then they turn the machines back on, and God knows what they've done.
[01:34:21.127 --> 01:34:21.528]  Here it is.
[01:34:22.609 --> 01:34:24.951]  What did you just say?
[01:34:27.390 --> 01:34:27.670]  Okay.
[01:34:29.092 --> 01:34:32.375]  With this election, you can vote in any precinct.
[01:34:32.435 --> 01:34:34.317]  No, you said the Republican side is not what?
[01:34:34.657 --> 01:34:37.540]  I don't have staff, so we are closed right now.
[01:34:37.660 --> 01:34:39.222]  So for the Democrat, I can vote Democrat?
[01:34:39.262 --> 01:34:40.303]  You can vote Democrat.
[01:34:40.343 --> 01:34:41.163]  But not Republican?
[01:34:41.584 --> 01:34:42.225]  Not Republican.
[01:34:42.265 --> 01:34:42.725]  I'm sorry.
[01:34:42.745 --> 01:34:42.905]  Okay.
[01:34:43.045 --> 01:34:43.666]  All right.
[01:34:43.686 --> 01:34:43.966]  Thank you.
[01:34:45.968 --> 01:34:47.670]  So you can vote Democrat.
[01:34:48.703 --> 01:34:50.044]  But you can't vote Republican.
[01:34:50.064 --> 01:34:51.846]  We have dozens of videos.
[01:34:52.426 --> 01:34:53.327]  Same thing happening.
[01:34:53.627 --> 01:34:55.489]  That's why Biden said, don't get mad.
[01:34:55.589 --> 01:34:56.650]  Don't be a terrorist.
[01:34:56.850 --> 01:34:57.670]  You're going to lose.
[01:34:58.371 --> 01:35:01.093]  And Fetterman said, I don't care if I'm 10 points behind in polls.
[01:35:01.514 --> 01:35:02.534]  I'm going to win tonight.
[01:35:04.316 --> 01:35:10.821]  And their computer system that monitors at the state level to make sure people don't vote multiple times, it went down as well.
[01:35:11.282 --> 01:35:13.423]  So that's coming up after our guest leaves us.
[01:35:13.484 --> 01:35:14.845]  But I pledged here.
[01:35:16.332 --> 01:35:19.436]  And then after this hour, it's going to be all election news right past midnight tonight.
[01:35:19.496 --> 01:35:22.821]  I pledged to myself not to get distracted from the big issues.
[01:35:24.543 --> 01:35:32.713]  And that is, whether you are in Germany, or whether you're in Sweden, or whether you're in the US, or Canada, or Australia, it's all the same numbers.
[01:35:34.695 --> 01:35:40.935]   a whole stack of news on this. Bombshell government reports, COVID shots causing massive infertility,
[01:35:40.935 --> 01:35:47.575]   miscarriages and stillbirths, and the numbers all track the same, whether it's Germany, Sweden,
[01:35:47.575 --> 01:35:55.414]   the United States, and in places like Israel and Australia, where it's even higher uptake of the
[01:35:55.414 --> 01:35:56.455]  shot, the numbers are even higher.
[01:35:56.588 --> 01:36:02.472]  82% of pregnant women who got vaccinated for COVID during the first and second trimesters suffered miscarriages.
[01:36:02.932 --> 01:36:04.633]  New England Journal of Medicine.
[01:36:05.073 --> 01:36:06.594]  It goes on and on.
[01:36:07.034 --> 01:36:12.258]  So joining us is a former member of Parliament in Australia, George Christensen, who's up in the middle of the night.
[01:36:12.658 --> 01:36:17.858]   in Australia valiantly fought against him, just got targeted and removed from office by him.
[01:36:17.858 --> 01:36:22.958]   And he's here with us to talk about the numbers that aren't debatable.
[01:36:22.958 --> 01:36:24.958]  This is all confirmed. It's not a theory.
[01:36:24.958 --> 01:36:28.758]   To talk about the numbers of stillbirths and miscarriages in Australia,
[01:36:28.758 --> 01:36:30.658]  because again, we're all interconnected.
[01:36:30.658 --> 01:36:33.057]  This is happening to everybody where they roll this out.
[01:36:33.057 --> 01:36:35.057]  George, thank you so much for joining us.
[01:36:35.057 --> 01:36:37.458]  Well, thank you very much, Alex.
[01:36:37.458 --> 01:36:42.557]   And we're certainly hoping here in Australia that there's a victory for freedom.
[01:36:42.557 --> 01:36:44.557]  in your midterm elections over there.
[01:36:44.610 --> 01:36:45.691]  I know that's very important.
[01:36:46.752 --> 01:36:51.355]  Well, tell us what you're seeing in Australia with stillbirths and miscarriages.
[01:36:52.856 --> 01:37:00.461]  Look, the Australian Bureau of Statistics collates data on various different things, and one of them that they collate is on births.
[01:37:00.801 --> 01:37:18.569]   And there's a chart which has just come to light in recent days, which shows On average, every month there is between roughly 23,000 to 25,000 births, and that's been going on for a long, long time, Alex, down here.
[01:37:18.629 --> 01:37:31.420]  But interestingly, the data only goes up until November of 2021, December of 2021, and what we see in November and December are two substantial drops.
[01:37:32.100 --> 01:37:43.711]  In November of 2021, the birth rate goes from 23,000, which is ordinary in October, that's sort of on the lower end of normal, but it drops in November of 2021 down to 18,186 births.
[01:37:43.791 --> 01:37:45.873]  Now that's a 25% drop and it's shocking in itself.
[01:37:45.693 --> 01:37:53.572]   186 births. Now that's a 25% drop and it's shocking in itself, but then in December the
[01:37:53.572 --> 01:37:58.693]  record that they've got there is 6,659 births.
[01:37:59.152 --> 01:38:12.576]  So a drop from an ordinary rate of 23 to say 25, 26,000 births per month to 6,659 births as recorded by the Australian Bureau of Statistics.
[01:38:12.896 --> 01:38:15.456]  That's a 72% decrease in births.
[01:38:16.177 --> 01:38:20.378]  And surprise, surprise, I'm seeing nothing about this in the mainstream media.
[01:38:20.818 --> 01:38:22.058]  No discussion around it.
[01:38:23.592 --> 01:38:25.915]  Nothing from the ABS is to explain.
[01:38:25.995 --> 01:38:33.242]  And what's staggering is whether you're in Israel, Australia, Canada, the US, Germany, Sweden, UK, the graphs are almost identical.
[01:38:33.302 --> 01:38:36.606]  I mean, we've never seen a drop in a hundred years in statistics like this.
[01:38:38.328 --> 01:38:38.888]  Well, that's right.
[01:38:38.928 --> 01:38:39.889]  It's extraordinary.
[01:38:40.250 --> 01:38:57.270]   Now, look, I have some people who are statisticians and economists that have Looked over this and they've said to me to be careful with the December data, which is extremely low, but they said that the November data, the 18,186 or 25% drop on the lower end of normal, they said that that is the one to look at.
[01:38:57.090 --> 01:39:04.409]   a 25% drop on the lower end of normal. They said that that is the one to look at. That's
[01:39:04.409 --> 01:39:11.529]   still a massive drop, a 25% reduction in the birth rate in one month. And then we go into
[01:39:11.529 --> 01:39:17.649]   that 72% reduction, which could be, Alex, that there is more data to come in.
[01:39:17.649 --> 01:39:19.649]  Uh...
[01:39:18.742 --> 01:39:37.793]   But I'm a bit suspect about that claim because, you know, we're now here in November 2022, and you would think that the data for December 2021 for births would all be there in the official Statistical agency for the nation of Australia, but that's where we have it.
[01:39:38.853 --> 01:39:47.055]  This goes to other things which I became aware of as a member of Parliament, and it only confirms my suspicions.
[01:39:47.715 --> 01:39:50.075]  I knew of a doctor in Brisbane.
[01:39:50.655 --> 01:39:52.376]  His name was Dr Luke McClendon.
[01:39:53.176 --> 01:39:54.436]  He wasn't just any old doctor.
[01:39:54.496 --> 01:39:56.997]  He was a specialist in fertility health.
[01:39:57.737 --> 01:40:02.878]  In fact, he was the president of the Australian Institute for Restorative Reproductive Medicine.
[01:40:03.827 --> 01:40:10.574]  He was fired from Brisbane's Mater Hospital and there's a lot of questions about why he was fired.
[01:40:10.614 --> 01:40:20.163]  Before he was fired, I actually met with him and he told me that he was doing research into the cohort of women that he works with as a doctor.
[01:40:20.523 --> 01:40:33.854]   And that cohort of women is people who, or women who, if they haven't had a baby and they've been trying to have a baby, For over 12 months, they're put into a particular subset within the sort of fertility health sector.
[01:40:34.794 --> 01:40:40.957]  And that subset normally has a miscarriage rate of around 13 to 15%.
[01:40:41.897 --> 01:40:45.579]  And that's something that's known internationally with this particular subset.
[01:40:46.620 --> 01:40:49.481]  But what is post-vaccination in Australia?
[01:40:49.501 --> 01:40:55.564]  You've got to remember, our vaccination rates were said to be up around 96% for the adult population.
[01:40:56.331 --> 01:41:02.154]  A lot of jabbed people out there and they said, you know, there's no issues, go and get it if you're pregnant.
[01:41:03.094 --> 01:41:13.779]  So he looked at his cohort of patients and he saw that the number had jumped from 15% to almost half of his patients that were having miscarriages.
[01:41:14.319 --> 01:41:26.488]   He dug into the data a bit deeper, Alex, and what he found was when he separated the vaccinated from the non-vaccinated patients, That amongst the unvaccinated, it was the normal 15% miscarriage rate.
[01:41:27.228 --> 01:41:32.773]  Amongst the vaccinated women, that miscarriage rate went up to 75%.
[01:41:33.975 --> 01:41:35.296]  Now, he has the data.
[01:41:35.696 --> 01:41:38.398]  Well, that's what the New England Journal of Medicine showed, 82%.
[01:41:39.479 --> 01:41:42.382]  I mean, this is the biggest naked scandal.
[01:41:42.422 --> 01:41:44.224]  It's not even hidden, they admit it.
[01:41:45.044 --> 01:41:47.607]  How would they think they'd get away with this, George?
[01:41:48.885 --> 01:41:50.026]  Well, just like this guy.
[01:41:50.046 --> 01:41:51.246]  They've fired him.
[01:41:51.286 --> 01:41:52.867]  They've swept it under the carpet.
[01:41:52.887 --> 01:41:58.410]  They've stopped his research and stopped him from being able to publish as a credentialed doctor, I guess.
[01:41:58.471 --> 01:42:01.472]  So, you know, they're trying to sweep it under the carpet.
[01:42:01.492 --> 01:42:10.233]   But as I said, with the data from the ABS, We've heard absolutely nothing about the 25% drop in the birth rate in November 2021.
[01:42:10.673 --> 01:42:15.414]  We've heard nothing about the 72% drop in December 2021.
[01:42:16.374 --> 01:42:18.615]  So it really is bizarre.
[01:42:18.655 --> 01:42:26.557]  And I don't know, Alex, how long this sort of silence from government, from big corporate media, how long it can go on for.
[01:42:27.237 --> 01:42:37.493]   Because with shows like yours, With an array of new independent media coming onto the market, including here in Australia, this information is getting out there.
[01:42:37.533 --> 01:42:38.033]  It is.
[01:42:38.073 --> 01:42:38.834]  Stay right there.
[01:42:39.054 --> 01:42:42.618]  Nation First, nationfirst.substack.com.
[01:42:42.838 --> 01:42:45.460]  You're 18,000 miles away, but we're talking to you all to talk about...
[01:42:46.061 --> 01:42:49.403]  How Australia and Canada were picked as the most draconian lockdown zones.
[01:42:50.044 --> 01:42:52.846]  Australia, and what the awakening's like there and where this is going.
[01:42:52.866 --> 01:42:53.466]  You're going to leave us.
[01:42:53.486 --> 01:42:55.608]  I'm going to hit all the latest election news.
[01:42:55.868 --> 01:42:56.909]  They're trying to steal it again.
[01:42:56.969 --> 01:42:57.769]  It's not debatable.
[01:42:58.070 --> 01:42:59.451]  They're really doing it again.
[01:42:59.471 --> 01:43:01.152]  Now we know what Biden was talking about.
[01:43:02.773 --> 01:43:05.375]  George Christensen is our guest for another segment.
[01:43:05.415 --> 01:43:17.876]   Then we're going to look at the election and The Democrats say it's going to stay open for weeks now and machines failing all over the country and people not able to vote and so much more.
[01:43:19.078 --> 01:43:21.100]  This is a revolution, a peaceful revolution.
[01:43:21.120 --> 01:43:22.021]  They're trying to block it.
[01:43:22.821 --> 01:43:29.548]  George Christensen, 35,000 foot view of Australia, the main battleground, an island prison colony.
[01:43:31.351 --> 01:43:46.423]  Rising from the ashes back to its previous tyranny, from the great decades and decades of freedom you've had to some extent, what has happened since all the draconian forced injections and police beating people up and banning demonstrations?
[01:43:47.004 --> 01:43:51.447]  Are Australians just brushing themselves off and forgetting what happened to them so they can come back and do it again?
[01:43:51.487 --> 01:43:53.089]  Or are they angry?
[01:43:53.129 --> 01:43:55.431]  What's happening to bring the criminals to justice?
[01:43:57.222 --> 01:44:01.926]  Look, there's a large number of people that have just unfortunately brushed themselves off and tried to forget about it.
[01:44:02.726 --> 01:44:11.233]  But on the positive side, I mean, amongst the freedom movement, as we call it here in Australia, amongst that freedom movement, there's been a coalescing.
[01:44:11.553 --> 01:44:14.055]  And this is good to see.
[01:44:14.115 --> 01:44:33.533]   They're out in force now in state elections, which we've got coming up, to try and oust Those leaders, those political leaders that actually rode roughshod over people's rights, such as Victoria's Daniel Andrews, he's definitely in the firing line, so to speak.
[01:44:33.613 --> 01:44:41.480]   He was the one who authorised police officers to go and and shoot projectiles at people, bash little old ladies in
[01:44:41.480 --> 01:44:46.270]   the street, that sort of thing, choke women who weren't wearing masks.
[01:44:46.270 --> 01:44:47.670]  This sort of thing was beyond the pale.
[01:44:47.670 --> 01:44:54.310]   So people are now trying to get their payback at the ballot box and by being active in elections.
[01:44:54.310 --> 01:44:56.229]  So that's really good to see.
[01:44:57.203 --> 01:45:02.985]  But yeah, sadly, there are a lot of people who just tried to put it down the memory hole.
[01:45:03.665 --> 01:45:15.310]  Unfortunately, that sort of attitude has a way of coming back to bite you because in the media just recently, what we've had is speculation that there could be another round of lockdowns before Christmas.
[01:45:15.950 --> 01:45:20.752]  And that was speculated by none other than the Chief Health Officer for Australia.
[01:45:20.812 --> 01:45:23.013]  So here we go again, perhaps.
[01:45:24.148 --> 01:45:32.957]  I think that there will be so much pushback on that if it was to happen, that it might just break the back of the whole Medeco tyranny that's been going on.
[01:45:33.317 --> 01:45:38.122]  And so they probably won't go there because they know that there will be immense pushback.
[01:45:39.383 --> 01:45:47.131]  And you've also got, just like the Netherlands, the WEF agenda of banning cows and sheep because of their evil methane gases they let off.
[01:45:47.451 --> 01:45:48.132]  What's happening there?
[01:45:49.650 --> 01:45:50.851]  Yeah, well, the same.
[01:45:51.152 --> 01:45:57.878]  The government here has signed up completely to the climate change cult.
[01:45:58.579 --> 01:46:05.566]  They have agreed to ban or to significantly lower methane emissions.
[01:46:05.706 --> 01:46:11.491]   That is going to definitely impact On Australian livestock, Australian cattle, Australian sheep, what have you.
[01:46:12.571 --> 01:46:14.672]  The farmers out there are incredibly worried.
[01:46:14.712 --> 01:46:23.354]  The government hasn't said how this is going to happen yet, but we've seen how it's happened in other countries and how it's happened in other countries is by the culling of the herd.
[01:46:24.054 --> 01:46:32.329]   And so whether or not we're going to have farmers have their livestock head limited They'll have to go out and actually shoot those animals or
[01:46:32.329 --> 01:46:34.789]  euthanise them some way.
[01:46:34.789 --> 01:46:36.109]  That potentially is on the cards.
[01:46:36.109 --> 01:46:39.909]   Now the Government's saying they're not going to do that, but I just don't understand how
[01:46:39.909 --> 01:46:41.670]  they're going to meet those methane emissions.
[01:46:41.657 --> 01:46:44.500]  Because they're saying the farts are bad.
[01:46:44.520 --> 01:46:46.462]  Well, that's always been part of our atmosphere.
[01:46:46.482 --> 01:46:48.084]  We've always had bovine, the buffalo.
[01:46:48.564 --> 01:46:51.147]  Every country has its own, you know, animals roaming around.
[01:46:51.647 --> 01:46:58.114]  They're literally just listing what we put off as creatures on the planet as bad to outlaws and regulators and say we're criminals.
[01:46:58.154 --> 01:46:59.876]  I mean, this is preposterous.
[01:47:01.038 --> 01:47:04.921]  Well, they want us to eat bugs, Alex, and down under here we actually are eating bugs.
[01:47:04.982 --> 01:47:14.350]  I mean, in schools, and this wasn't even communicated properly to parents, but there are a whole host of schools where they're... Same thing with the Netherlands, same thing with Canada.
[01:47:14.670 --> 01:47:17.092]  They just feed them bugs at lunch and don't ask the parents.
[01:47:18.173 --> 01:47:18.613]  That's right.
[01:47:18.654 --> 01:47:19.795]  That's what happened down here.
[01:47:19.855 --> 01:47:26.961]  It was exposed a whole heap of schools where the kids through their canteen were being fed bug-based foods.
[01:47:27.601 --> 01:47:28.022]  That is...
[01:47:28.723 --> 01:47:29.303]  Disgusting.
[01:47:29.744 --> 01:47:44.973]  The parents should have been informed, but more than just being disgusting, there's health issues because we know that these bugs are unhealthy, that they have potentially cancer-causing side effects from eating it on a long-term basis.
[01:47:45.013 --> 01:47:50.276]  So the fact that this is being done to school kids just shows the evil intent here.
[01:47:50.296 --> 01:47:54.633]   I mean, they can't do it to the populace, so we'll prep The youngsters in this.
[01:47:54.793 --> 01:47:55.273]  Well, that's right.
[01:47:55.293 --> 01:48:05.137]  For those who don't know, the exoskeleton of bugs is highly carcinogenic and toxic, unless your gut's designed as an insectivore, and not many creatures are.
[01:48:05.437 --> 01:48:07.638]  Humans don't eat bugs because we're not designed to.
[01:48:09.319 --> 01:48:12.300]  We have a revulsion of it because it's toxic.
[01:48:14.042 --> 01:48:15.323]  And they made those kids do it, Alex.
[01:48:15.343 --> 01:48:21.586]  They made innocent kids across Australian schools eat their stuff without their parents knowing.
[01:48:21.646 --> 01:48:25.768]  And yet, we haven't had all hell break loose in the populace.
[01:48:25.848 --> 01:48:31.850]  I'm going to tell you, if it was one of my children that was going to a school where that's happened, the principal probably wouldn't be standing.
[01:48:31.870 --> 01:48:36.072]  So, going back to my previous question, how angry are Australians?
[01:48:36.092 --> 01:48:39.234]  I mean, is there any pushback against the criminals and what they've done?
[01:48:41.201 --> 01:48:43.402]  I think that yes, there is.
[01:48:43.582 --> 01:48:45.003]  I mean, there is a lot of pushback.
[01:48:45.043 --> 01:48:47.965]  There are a lot of people that want to see some form of justice.
[01:48:48.005 --> 01:48:51.347]  Whether we see that or not is yet to be seen.
[01:48:52.067 --> 01:48:55.729]  There was a small inquiry that was held into COVID.
[01:48:56.189 --> 01:49:00.131]  It did find that there was serious government overreach, so that's a good thing.
[01:49:00.672 --> 01:49:02.233]  Are any heads going to roll over it?
[01:49:02.373 --> 01:49:02.653]  No.
[01:49:02.993 --> 01:49:06.575]  So there's been a continual call for a Royal Commission.
[01:49:06.895 --> 01:49:13.434]   Now, a Royal Commission has Wide-ranging powers, they can recommend charges, be put against people.
[01:49:13.894 --> 01:49:17.775]  And so, you know, there's a lot of us that are still pushing for something like that.
[01:49:18.395 --> 01:49:24.077]  But the problem with it is, Alex, that we move away from one problem and then another problem is put before us.
[01:49:24.917 --> 01:49:40.896]   Right now, the government is using a whole spate of very conveniently timed cyber attacks or hacks on big businesses to push for a digital identity system to be introduced in a compulsory way here in Australia.
[01:49:41.056 --> 01:49:44.459]  And so that's the next fight that's looming for freedom here.
[01:49:44.559 --> 01:49:49.042]  And you know, we've had all of these major hacks that have happened in a very short period of time.
[01:49:49.102 --> 01:49:50.543]  It's very strange how that happens.
[01:49:50.983 --> 01:50:00.648]   And of course, the government then stands up and says, we'll be your white knight, we'll protect you Australian public, we'll get all of your data and we'll We'll put it into a hub for safekeeping.
[01:50:01.508 --> 01:50:03.129]  We'll make you do it compulsorily.
[01:50:03.149 --> 01:50:13.372]  And it sort of beggars belief because if they can hack these major companies, I think they can hack the Australian government as well and get all the data that's kept centrally.
[01:50:13.853 --> 01:50:14.813]  So it doesn't make sense.
[01:50:14.873 --> 01:50:16.394]  It's not about protecting people.
[01:50:16.454 --> 01:50:20.972]   This is about Again, trampling over our freedoms, trampling over our privacy.
[01:50:20.992 --> 01:50:23.133]  It's about big government, big brother, Alex.
[01:50:23.153 --> 01:50:24.073]  That's all we can see.
[01:50:24.414 --> 01:50:27.936]  So, to answer your question, the movement is angry.
[01:50:27.956 --> 01:50:30.637]  The movement is out there punching on in elections.
[01:50:30.737 --> 01:50:36.880]  The movement is wanting to take down some of the people responsible for this medico tyranny we saw in Australia.
[01:50:37.421 --> 01:50:43.224]  But the movement's also going to be aware of the challenges that are coming around the corner and they're constantly coming at us, Alex.
[01:50:46.348 --> 01:50:51.890]  Well, I really want to appreciate you, George Christensen, for what you're doing, and we're all Australian, what you've gone through.
[01:50:51.910 --> 01:50:53.510]  It's like we're all North Korean.
[01:50:53.550 --> 01:50:55.711]  Anybody under tyranny is going to be us tomorrow.
[01:50:56.151 --> 01:51:01.753]  We're all communist Chinese, because that really is the model for the planet, and we really appreciate you, sir.
[01:51:01.813 --> 01:51:04.014]  Thank you so much for everything you do.
[01:51:04.034 --> 01:51:12.277]  We'll put your Substack up on screen, because it's so incredibly important, and I hope everybody will visit your site, nationfirst.substack.com.
[01:51:12.297 --> 01:51:12.617]  Thank you.
[01:51:13.197 --> 01:51:15.917]  Well, well, well.
[01:51:15.917 --> 01:51:28.476]   Well, they were running a replay of two years ago using mail-in ballots to steal
[01:51:28.476 --> 01:51:29.716]  the election, and they're doing that.
[01:51:29.716 --> 01:51:39.716]  [BLANK_AUDIO]
[01:51:31.012 --> 01:51:34.153]  But they hit us with the electronic voting machines today.
[01:51:34.173 --> 01:51:36.254]  In Michigan.
[01:51:38.094 --> 01:51:38.974]  In Pennsylvania.
[01:51:39.935 --> 01:51:40.715]  In Wisconsin.
[01:51:42.105 --> 01:51:42.885]  In Arizona.
[01:51:43.826 --> 01:51:44.606]  In New Jersey.
[01:51:45.446 --> 01:51:46.106]  In Texas.
[01:51:46.986 --> 01:51:47.627]  In New York.
[01:51:48.067 --> 01:51:48.967]  In California.
[01:51:49.487 --> 01:51:50.767]  It's all coming in.
[01:51:51.328 --> 01:51:53.808]  We'll have all the clips throughout this hour and into the next hour.
[01:51:54.328 --> 01:51:55.749]  And then we're going to be intense.
[01:51:55.889 --> 01:51:58.330]  Nothing but election coverage starting at 3 p.m.
[01:51:58.370 --> 01:51:59.750]  Central with the Warren, with Owen Schroeder.
[01:52:00.130 --> 01:52:01.290]  I'm back at 6 p.m.
[01:52:01.751 --> 01:52:02.511]  Steve Bannon.
[01:52:04.791 --> 01:52:05.692]  Roger Stone.
[01:52:06.772 --> 01:52:07.712]  Robert Barnes.
[01:52:07.972 --> 01:52:09.613]  Everybody coming up tonight.
[01:52:13.935 --> 01:52:25.050]  I've got all the clips that go along with these headlines in only the key battleground cities and counties where the Republicans are about to take over from Democrats.
[01:52:25.070 --> 01:52:27.693]  That's where all the malfunctions are.
[01:52:29.502 --> 01:52:34.527]  The machines either won't work after people vote, so they leave and all their votes don't count, and they don't even know.
[01:52:34.587 --> 01:52:36.328]  They just leave and don't know it's all not counted.
[01:52:36.949 --> 01:52:38.590]  Oh, you just voted for three hours, four hours.
[01:52:38.751 --> 01:52:39.752]  Oh, sorry, didn't count.
[01:52:40.032 --> 01:52:40.773]  They didn't tell you.
[01:52:40.793 --> 01:52:41.273]  They didn't know.
[01:52:41.293 --> 01:52:42.054]  They just turned off.
[01:52:42.074 --> 01:52:45.137]  They're now saying, come back and vote again.
[01:52:45.337 --> 01:52:46.458]  Well, they don't get that message.
[01:52:46.698 --> 01:52:47.419]  They go back to work.
[01:52:49.423 --> 01:52:59.485]  At the restaurant, or the school, or the police department, or the auto parts store, or the farm, or the ranch, or the psychology office, or the dentist office.
[01:53:00.745 --> 01:53:02.605]  And then, sorry, didn't count!
[01:53:03.205 --> 01:53:04.426]  Ha ha ha ha!
[01:53:05.526 --> 01:53:07.446]  All the machine only called off Democrat votes.
[01:53:07.886 --> 01:53:09.827]  It'll save, it'll delete Republican votes.
[01:53:10.167 --> 01:53:11.587]  It crashes, it's re-uploaded.
[01:53:12.167 --> 01:53:15.968]  It's so liberal, like the PCR test that was 97% fake.
[01:53:18.470 --> 01:53:19.431]  Nothing working!
[01:53:19.551 --> 01:53:23.034]  Arizona poll worker responds to Maricopa County tabulator issues.
[01:53:23.174 --> 01:53:27.138]  Issues with machines are now reported in Wickenburg.
[01:53:28.860 --> 01:53:30.141]  Oh, the New York Times.
[01:53:31.422 --> 01:53:32.223]  Look at this right here.
[01:53:32.743 --> 01:53:37.287]  Voting machine problems in Arizona fuel right-wing fraud claims.
[01:53:37.648 --> 01:53:38.469]  Oh, yes.
[01:53:38.989 --> 01:53:42.993]  But there are problems all over the country, only in key battleground areas.
