[00:00:00.000 --> 00:00:16.000]  (outtro music)
[00:59:35.148 --> 00:59:37.948]  Many of you out there felt it and experienced it yourself.
[00:59:38.708 --> 00:59:45.690]  Called conspiracy theorists, called nuts, called crazies, called anti-science, anti-doctor.
[00:59:46.505 --> 01:00:05.592]  The story was that COVID presented a unique and extraordinary and maybe even existential threat to people around the world at a unique and unusual plague-like level that required reactions and responses and public policy health interventions, as they're called, in ways that we didn't even do during the plague.
[01:00:06.452 --> 01:00:11.694]  And some of us at the time said that COVID did not present that degree of threat to most healthy people.
[01:00:12.463 --> 01:00:12.943]  Number one.
[01:00:13.104 --> 01:00:23.872]  Number two, that the methods being chosen as public health interventions had no history of being successful and were as likely to backfire and cause more problems than they were good.
[01:00:24.572 --> 01:01:02.943]   Third, that our assertion was that any risk-benefit analysis, even if you believe there was a benefit from these public health interventions, and even if you believe the risk was severe from COVID, That if you compared it to the other collateral consequences of these public health interventions, shutting down economies, shutting down societies, shutting down schools, shutting down people's individual autonomy, putting people under mass house arrest for days, then weeks, then months, then years in some cases, that this would have net negative effect on human development and human happiness in ways that would be felt in measurable metrics down the road.
[01:01:03.467 --> 01:01:04.368]  What was our prediction?
[01:01:04.828 --> 01:01:09.871]  Our prediction was you would see school test scores and childhood satisfaction decline.
[01:01:10.412 --> 01:01:13.093]  Our prediction was that you would see addiction rise.
[01:01:13.473 --> 01:01:24.160]  And that would show up in both treatment and health consequences, medical costs, and in deaths, including overdose deaths for drugs and alcoholism.
[01:01:24.601 --> 01:01:27.402]  That you would see child abuse charges rise.
[01:01:27.763 --> 01:01:31.285]  That you would hear issues of all kinds of violent conflict.
[01:01:31.626 --> 01:01:36.186]   increase both within the home and ultimately outside the home when people were finally
[01:01:36.186 --> 01:01:42.106]   released from their home prisons. We said that in fact you would find out that COVID did not present
[01:01:42.106 --> 01:01:48.426]   much imminent great risk to most people of any degree necessary that could even plausibly justify
[01:01:48.426 --> 01:01:52.985]   this. And we said the various public health interventions things like masks, things like
[01:01:52.985 --> 01:01:59.144]   lockdowns, things like prohibitions on public travel, things like shutting down schools,
[01:01:59.144 --> 01:02:04.665]   things like you know having a bunch of plastic everywhere for kids to try to go to class in
[01:02:04.665 --> 01:02:08.186]   or for people to just interact or interface in a wide range of public settings.
[01:02:08.186 --> 01:02:09.186]  things.
[01:02:09.257 --> 01:02:18.660]  Our prediction was that all of these things would not result in actual successful reduction of COVID and would definitely and would have negative consequences.
[01:02:19.744 --> 01:02:23.732]  We also said that the vaccines would not produce the public health benefit.
[01:02:24.294 --> 01:02:28.623]  And why were Alex and I and just a few others at the time saying this from the very get-go?
[01:02:29.326 --> 01:02:30.627]  It is because we knew the history.
[01:02:30.828 --> 01:02:33.250]  We knew the history of public health issues and pandemics.
[01:02:33.670 --> 01:02:37.614]  We knew the history of what worked and did not work in response to those pandemics.
[01:02:38.034 --> 01:02:49.265]  We knew the ulterior agenda of the statist and the globalist and those who wanted to use this to restructure society as Klaus Schwab would ultimately publicly and openly admit and acknowledge.
[01:02:49.987 --> 01:03:03.449]  Uh, saying it was a great opportunity, the pandemic, to restructure society for his great reset agenda that has been, uh, particularly particulated by the Bill Gateses and George Soroses and the Rockefellers of the world.
[01:03:04.484 --> 01:03:08.566]  But it was also a reflection that nobody had done even the basic testing.
[01:03:08.686 --> 01:03:11.907]  It wasn't just a criticism of the content of what was being proposed.
[01:03:12.387 --> 01:03:16.749]  It was a criticism of the methodology and the process of what was being proposed.
[01:03:17.289 --> 01:03:23.471]  In other words, they didn't show any signs that they had ever even done a cost-benefit analysis.
[01:03:24.091 --> 01:03:27.313]  And what have we seen over the last several weeks?
[01:03:27.853 --> 01:03:28.333]  Three things.
[01:03:28.873 --> 01:03:33.375]  First, in Canada, it has publicly come out that they never did a cost-benefit analysis.
[01:03:33.795 --> 01:03:45.659]  Just like it was discovered in the lockdown suits that happened with Judge Stickmin early on in the Western District of Pennsylvania that exposed the Pennsylvania government agencies, weren't even doing a risk-benefit analysis.
[01:03:46.039 --> 01:03:47.760]  Is this going to be better or worse?
[01:03:47.780 --> 01:03:49.700]  Because take, for example, the vaccine.
[01:03:50.161 --> 01:03:57.083]  One of the reasons for our criticism was that there had never been a successful vaccine in the history of coronavirus.
[01:03:57.703 --> 01:03:58.043]  Why?
[01:03:58.403 --> 01:04:00.504]  Because the virus mutates too quickly.
[01:04:00.964 --> 01:04:05.366]  In order to survive, it has to become less lethal and more transmissible.
[01:04:05.807 --> 01:04:09.128]  And in the process, it's the reason why flu shots often don't work.
[01:04:09.648 --> 01:04:14.070]  It transitions too quickly and what you vaccinate against is no longer the disease.
[01:04:14.810 --> 01:04:17.091]  So, the second thing was we just looked at the data.
[01:04:17.452 --> 01:04:23.852]   they were trying to take an mRNA technology that had never been used before and use it on a mass scale.
[01:04:23.852 --> 01:04:30.412]   When mRNA technology, there was a reason it had not been used before, major safety concerns.
[01:04:30.412 --> 01:04:36.032]   Then you could just look at how quickly everything was done and you could fairly infer that they had not had
[01:04:36.032 --> 01:04:38.732]  adequate studies in order to be able to assess.
[01:04:38.732 --> 01:04:43.131]   And if you knew how the FDA really worked in delegating this to big drug companies,
[01:04:43.131 --> 01:04:49.052]   and when big drug companies have special immunity, like you do in the public health context under the PrEP Act,
[01:04:49.052 --> 01:04:55.152]   like you do if you're put on a childhood's vaccination list, like you do if you just relabel your drug vaccine,
[01:04:55.152 --> 01:05:01.252]   all of which the FDA helped facilitate and enable, then the net effect of it is you're going to have a drug
[01:05:01.252 --> 01:05:06.412]   that is uniquely dangerous because the drug company's only skin in the game is to enrich themselves
[01:05:06.412 --> 01:05:07.531]  and empower themselves.
[01:05:07.873 --> 01:05:13.163]  So what have we seen in just the last month, just the last week of information?
[01:05:13.684 --> 01:05:19.234]  Canada did no cost-benefit analysis at all for its various vaccine mandates and travel bans.
[01:05:19.884 --> 01:05:22.265]  Coming out of Europe, similar information and data.
[01:05:22.325 --> 01:05:23.685]  Coming out from various U.S.
[01:05:23.705 --> 01:05:25.185]  governmental sources, the same thing.
[01:05:25.666 --> 01:05:28.927]  No risk-benefit analysis was ever even done.
[01:05:29.407 --> 01:05:49.934]   The United Kingdom, it's being exposed in great detail that all of their lockdown policies, whether it was schools, whether it was masks, whether it was vaccines, whether it was the economy, whether it was travel, whether just being outside of your home, whether it be indoors or outdoors, whether you could go to a game, All of these things, there was no risk-benefit analysis ever even done.
[01:05:50.395 --> 01:05:51.435]  This wasn't science.
[01:05:51.835 --> 01:05:54.657]  This was politics masquerading as math.
[01:05:55.098 --> 01:05:57.699]  This was politics masquerading as science.
[01:05:58.160 --> 01:06:08.907]  Which, if you knew how the globalists operate, and you knew how statists operate, and you knew how governments tend to operate, then you could predict and preview this was exactly what was going to happen.
[01:06:09.327 --> 01:06:19.409]  You didn't have to do a separate deep dive into the toxicology of vaccines, or the nature of COVID as a disease, or the political and public history of pandemics.
[01:06:19.869 --> 01:06:22.630]  All you had to know was their methods was bad or bad.
[01:06:23.070 --> 01:06:26.931]  If your way of reasoning is bad, then the outcome is likely to be bad.
[01:06:27.231 --> 01:06:34.873]  And we're now finding that all of us that were called crackpots and criticized with every name possible, we were right, they were wrong.
[01:06:36.114 --> 01:06:44.183]  The horrifying thing is I would much rather have been wrong because being right means a lot of people died who didn't need to die.
[01:06:44.464 --> 01:06:48.148]  A lot of businesses were crushed and killed that didn't need to be crushed and killed.
[01:06:48.695 --> 01:06:51.418]  And that's why it's important to continue the fight back.
[01:06:51.978 --> 01:06:59.546]  And those who are continuing to do so on the front lines, on the medical context, the political context, the legal context, and every other context, and your context.
[01:06:59.626 --> 01:07:01.227]  You as an ordinary, everyday person.
[01:07:01.768 --> 01:07:05.892]  What was the number one voice exposing the dangers of what they were doing?
[01:07:06.172 --> 01:07:12.118]  What was the number one organizational source for protests that started around America and then traveled around the globe?
[01:07:12.478 --> 01:07:15.141]  What was the number one source for independent information?
[01:07:15.481 --> 01:07:23.009]  Whether it was Pierre Cory, whether it was Dr. Malone, whether it was Peter McCullough, whether it was any of many others that were exposing what was going on.
[01:07:23.029 --> 01:07:24.670]  Who was the first person to tell you?
[01:07:24.931 --> 01:07:31.837]  What was the first network to tell you about Bill Gates and his special little convention on coronaviruses a few months before this leak?
[01:07:32.318 --> 01:07:33.219]  It was InfoWars.
[01:07:33.639 --> 01:07:34.800]  So return the favor.
[01:07:35.080 --> 01:07:36.281]  Keep InfoWars alive.
[01:07:36.582 --> 01:07:38.523]  Make yourself healthier, wealthier, and wiser.
[01:07:38.804 --> 01:07:43.047]  And you can do that by going to InfoWarsStore.com today.
[01:07:43.387 --> 01:07:44.448]  Get something that you like.
[01:07:44.669 --> 01:07:45.669]  Get something that you want.
[01:07:45.809 --> 01:07:46.930]  Get something that you need.
[01:07:47.131 --> 01:07:52.091]   Because the best chance to keep freedom alive is to make sure Paul Revere can continue his ride.
[01:07:52.091 --> 01:07:58.810]  Welcome back to the Alex Jones Show.
[01:07:58.958 --> 01:08:01.681]  This is Robert Barnes, guest hosting.
[01:08:01.861 --> 01:08:06.125]  We've been talking about the various reasons why the Deep State is in a desperate state.
[01:08:06.546 --> 01:08:15.696]  And in the next segment, we'll break down what some of their next steps might be and what their script or where their script has already gone AWOL in recent past.
[01:08:16.376 --> 01:08:18.899]  But let's just look at some of the headlines around the world.
[01:08:19.611 --> 01:08:27.453]  We have a labor market that continues to be unable and incapable of giving us back the same jobs we had just prior to the pandemic.
[01:08:28.233 --> 01:08:33.915]  Now, you might have seen various unemployment reports and job reports and payroll reports that suggest otherwise.
[01:08:34.535 --> 01:08:38.116]  But what they're not telling you is the reason why the payroll is up.
[01:08:38.684 --> 01:08:41.026]  Is because people are taking more jobs.
[01:08:41.606 --> 01:08:46.629]  The payroll of jobs that were a one earner jobs have actually gone down.
[01:08:47.129 --> 01:08:51.412]  The best place to measure this is something called the labor force participation rate.
[01:08:51.872 --> 01:08:56.095]  You can also get a lot more honest data from a site called Shadow Stats.
[01:08:56.675 --> 01:09:04.520]  Shadow Stats tracks the data using the same methods we used to use before we started politically manipulating them in such great lengths in the 1990s and 2000s.
[01:09:06.779 --> 01:09:12.243]  Before they will show you what the unemployment rate would look like if we use the same metric that we previously use.
[01:09:12.283 --> 01:09:15.585]  Same with inflation, same with money supply and other aspects.
[01:09:16.064 --> 01:09:19.305]  But here, the labor force participation rate gives away the story.
[01:09:19.686 --> 01:09:29.450]  The labor force participation rate looks like the Obama years, where it just could never recover to its pre-global financial crisis of 2008 levels.
[01:09:29.850 --> 01:09:31.290]  We're seeing the same thing now.
[01:09:31.811 --> 01:09:36.973]  And not only that, what we're also seeing is dangerous signs in consumer sentiment.
[01:09:37.518 --> 01:09:40.440]  Dangerous signs in the stock market and bond market.
[01:09:40.820 --> 01:09:44.462]  Bond market at one of its worst years in decades.
[01:09:44.902 --> 01:09:47.804]  We're seeing increasing problems in the housing market.
[01:09:48.284 --> 01:10:02.752]  And the housing market matters because what has happened over the years, since the 1990s, but starting heavily in 2000, was people began to use the mere perception of the increased value of their home to spend more, to invest more.
[01:10:03.266 --> 01:10:05.126]  That, in turn, boosted the economy.
[01:10:05.667 --> 01:10:09.767]  When housing falls now, it's not just housing that goes down.
[01:10:09.847 --> 01:10:11.908]  It's not just your net worth that declines.
[01:10:12.448 --> 01:10:16.149]  What happens is people's spending habits substantially decline.
[01:10:16.969 --> 01:10:19.289]  And that becomes its own problem.
[01:10:19.869 --> 01:10:28.711]  And at the same time, while you have organizations like BlackRock buying up various residential homes en masse, you also have the evictions coming back online.
[01:10:28.931 --> 01:10:31.692]  All those moratoriums are gone, finally fading out.
[01:10:32.170 --> 01:10:35.831]  So you're going to have in the next several months mass evictions taking place.
[01:10:36.292 --> 01:10:38.412]  You're going to see rents continue to rise.
[01:10:38.793 --> 01:10:56.119]  You're going to see housing values as finally the housing inventory continues to increase and the supply problem disappears while the price issue prices continue to collapse, which will be further enhanced by the Federal Reserve increasing interest rates that force the mortgage rates to go up.
[01:10:56.659 --> 01:11:00.801]  Indeed, mortgage rates, and you look at the ordinary mortgage, they've more than doubled.
[01:11:01.428 --> 01:11:02.549]  In about five years.
[01:11:03.049 --> 01:11:06.351]  I mean, and wages haven't, ordinary incomes haven't.
[01:11:07.072 --> 01:11:11.014]  So that's a kind of economic reality that's going to create more problems.
[01:11:11.074 --> 01:11:21.441]  Then you compound that with many companies being unhappy with remote working and now trying to demand that all the people who got satisfied with remote working come back and work in person.
[01:11:22.399 --> 01:11:23.961]  Uh, which will raise its own issues.
[01:11:24.021 --> 01:11:32.010]  Now, some companies are doing that to cover up for the fact that they discriminated against people in mandating an unnecessary and dangerous vaccine that they take.
[01:11:32.590 --> 01:11:42.962]  But some of it is also their own corporate interest in preserving corporate real estate that they have various investments in financial and legal and political ties to.
[01:11:43.997 --> 01:11:46.799]  But some of it may be for legitimate independent economic reasons.
[01:11:46.939 --> 01:11:49.580]  But either way, what you're going to have is mass rebellion.
[01:11:50.020 --> 01:11:53.182]  Because a lot of people saw, first of all, they work from home.
[01:11:53.222 --> 01:11:55.824]  That gives them a certain tax deduction that's available to them.
[01:11:56.444 --> 01:11:57.484]  And that might be important.
[01:11:57.585 --> 01:12:03.748]  Like, let's say you're one of those people that got your student loans forgiven by old Joe Biden, by Uncle Joe.
[01:12:04.372 --> 01:12:13.960]  What you may not know is that that's taxed as forgiveness of income, as forgiveness of debt is taxed as ordinary income under most state tax law provisions.
[01:12:14.441 --> 01:12:19.305]  Consequently, and maybe even potentially under federal law provisions, depending on the circumstances.
[01:12:19.787 --> 01:12:30.943]  So a bunch of people who thought that they were actually probably weren't in a position to pay back their tax anyway now got to turn around and write a check for the privileged who couldn't pay back their student loan debt anyway.
[01:12:31.323 --> 01:12:34.348]  Now we're going to have to pay tax that they weren't otherwise going to have to pay.
[01:12:35.054 --> 01:12:38.777]  So all of these issues economically accumulating.
[01:12:38.837 --> 01:12:40.839]  A low labor force participation rate.
[01:12:41.400 --> 01:12:46.985]  A housing collapse of the main form of wealth and main form of spending boost in the United States.
[01:12:47.365 --> 01:13:00.417]  A stock market decline that may in turn trigger a pension decline, which is another second mechanism and method by which people hold up their financial contributions to the economy and consumption and investment.
[01:13:00.897 --> 01:13:13.057]  Not least of which, various tax obligations may rise as the various pensions decline and state governments have to make up the gap in what is not being provided for in their various pension plans.
[01:13:13.658 --> 01:13:32.961]  These are all aggregating in a negative cycle, a dangerous, precarious, perilous negative cycle, that when you put it up against the energy crisis about to rock Europe, the food crisis about to rock the entire globe, you can see why the deep state is gibberish and nervous at the moment.
[01:13:33.541 --> 01:13:35.682]  They are facing unprecedented failure.
[01:13:35.882 --> 01:13:42.943]  Indeed, when people tell me the deep state must have a sophisticated and smart plan for all of this, I remind them of history.
[01:13:43.553 --> 01:13:49.518]  That the in the particular most analogous time in history we face is World War right up to World War One.
[01:13:50.258 --> 01:14:00.166]  In building up to World War One, a bunch of empires thought they could easily and convincingly use martial and military means to finish their imperial conquest of the globe.
[01:14:00.807 --> 01:14:06.451]  This included the British Empire, which famously they said an empire where the sun never set.
[01:14:06.931 --> 01:14:07.792]  What do they mean by that?
[01:14:07.892 --> 01:14:11.635]  That they were present in some part of the world where the sun was still rising and up.
[01:14:12.570 --> 01:14:20.715]  So you had the British Empire, one of the most dominant empires in world history, leading into World War I, the dominant pound, the dominant currency in the globe.
[01:14:21.315 --> 01:14:27.759]  You had aspects of the, you had the various, the rising German would-be empire.
[01:14:28.159 --> 01:14:32.942]  You had the Austro, which was about a century and a half old, that had managed to take out Napoleon.
[01:14:33.442 --> 01:14:41.287]  You had the Russian Empire, which in certain respects dated back over 10 centuries, but at least in just the same family, over three centuries.
[01:14:41.727 --> 01:14:57.518]  You had the Ottoman Empire, which had taken over the Middle East and parts of Europe for centuries and centuries, and the Austro-Hungarian Empire, which was so inbred that by that, you know, generation number 20, that their mouths could barely open because of the way their jaws formed.
[01:14:58.139 --> 01:15:06.405]  But that's how old and ancient and powerful and established and just unlimited these various regimes had been.
[01:15:06.805 --> 01:15:10.768]  The British Empire being one of the younger ones, though one of the more powerful ones.
[01:15:11.181 --> 01:15:24.193]  But the Russian Empire, the Austro-Hungarian Empire, the Turkish Empire, the German Empire, and the British Empire would, by the end of World War I, be mostly gone off the map as empires.
[01:15:24.553 --> 01:15:25.754]  They would politically vanish.
[01:15:25.814 --> 01:15:28.717]  The Brits would take a little bit longer, but not much longer.
[01:15:28.937 --> 01:15:30.458]  Ottoman Empire, gone.
[01:15:30.659 --> 01:15:31.800]  In less than a decade.
[01:15:32.280 --> 01:15:36.324]  The Austro-Hungarian Empire, built for centuries, would be gone in less than 10 years.
[01:15:37.186 --> 01:16:00.105]  A Austro-Hungarian Empire, the Ottoman Empire, Russian Empire, all of these formed and created and lasted for centuries over wide-ranging disputes and conflicts, within less than 10 years would be gone off the face of the planet as political entities, as existing relevant entities, as individuals, as institutions of influence.
[01:16:00.763 --> 01:16:01.844]  That is the same.
[01:16:02.184 --> 01:16:03.164]  So how did they get there?
[01:16:03.344 --> 01:16:07.326]  They got there because they were no longer just morally misdirected.
[01:16:07.346 --> 01:16:10.588]  It wasn't just their moral compass that was broken.
[01:16:11.108 --> 01:16:19.392]  It was their intellectual capacity that was equally blinded, that was equally misguided, that was equally misdirected.
[01:16:20.032 --> 01:16:33.959]   This is why, in part, Vladimir Putin's speech this week laid out all the problems for the future of the deep state and the West and the globalists and how their days are numbered, how their ability to control the world.
[01:16:34.019 --> 01:16:36.160]  They thought they could control the world through finance.
[01:16:36.461 --> 01:16:40.483]  They thought they could control the world through little numbers and digits on a computer screen.
[01:16:40.824 --> 01:16:45.827]  They thought they could control the world through their manipulation of currencies and financial markets.
[01:16:46.287 --> 01:16:48.289]  And his point is that isn't what really runs the world.
[01:16:48.689 --> 01:16:50.070]  What runs the world is food.
[01:16:50.491 --> 01:16:51.912]  What runs the world is fuel.
[01:16:52.272 --> 01:16:54.995]  What runs the world is men with military means.
[01:16:55.635 --> 01:17:00.139]  And that's what governs and directs the world, and to some degree, the ideas that govern us.
[01:17:00.652 --> 01:17:04.395]  But what doesn't run us is little pieces of paper and little numbers on a screen.
[01:17:04.915 --> 01:17:16.003]  And that is why Putin was predicting the decline, the fall, the collapse of the Western deep state and the globalists, which he identified as such in these various speeches he's been giving over the last several weeks.
[01:17:16.543 --> 01:17:19.065]  Now you know why the deep state is obsessed with taking him out.
[01:17:19.625 --> 01:17:22.847]  And now you also know why the Deep State is currently so desperate.
[01:17:23.288 --> 01:17:24.789]  That's why they're raiding presidents.
[01:17:24.889 --> 01:17:30.933]  That's why they're searching, doing a J. Edgar Hoover painting raid of Melania's drawers.
[01:17:31.093 --> 01:17:33.775]  That's why they're looking at Barron Trump's personal room.
[01:17:34.355 --> 01:17:40.659]  We're going to be talking about what the Deep State might be up to next, and ways to resist, and where the script has gone off.
[01:17:43.641 --> 01:17:45.683]  Welcome back to the Alex Jones Show.
[01:17:45.763 --> 01:17:47.724]  This is Robert Barnes, guest hosting.
[01:17:48.519 --> 01:17:49.740]  We live in interesting times.
[01:17:49.880 --> 01:17:54.322]  Just this past week, there was an attempt of an assassination on the Argentinian Vice President.
[01:17:54.922 --> 01:17:56.943]  We had protests rock the globe.
[01:17:57.223 --> 01:18:16.660]   Indeed, since all of this has developed, the combination of the COVID lockdowns with the various fuel and food problems triggered by the globalist attempt to wage economic war against Russia over Russian parts of Ukraine, at least ancestrally and often demographically, We saw protest in Bangladesh.
[01:18:16.800 --> 01:18:23.867]  We've seen protest in Pakistan, where Pakistan they're trying to remove by illegal means the elected president.
[01:18:23.927 --> 01:18:24.328]  They did.
[01:18:24.688 --> 01:18:29.533]  And then now they're trying to threaten to imprison him because of his speeches exposing their corruption.
[01:18:30.033 --> 01:18:30.614]  Sound familiar?
[01:18:31.800 --> 01:18:36.302]  We're seeing various protests from Sri Lanka and throughout Southeast Asia, throughout Europe.
[01:18:36.322 --> 01:18:42.805]  We're seeing farmer protests arise and not only rise but expand, just as the trucker protest of Canada expanded.
[01:18:43.145 --> 01:18:51.529]  We're seeing similar reactions and responses in Germany and Italy and France to the Dutch farmer protests that may also go global.
[01:18:52.049 --> 01:18:54.310]  As people are tired of the globalist agenda.
[01:18:54.730 --> 01:19:09.674]  When you have people like the World Economic Forum talking about using artificial intelligence algorithms on their own website in order to shut down entire industries and how to sweet-talk them into making that feel comfortable and okay, it gives you a sense of how AWOL things have gone.
[01:19:10.174 --> 01:19:18.617]  When they're doing specialized surveys and studies to figure out how they could improve the narrative, improving the narrative won't stop people from mass public protest.
[01:19:19.349 --> 01:19:44.557]  Indeed, we also had a report this week from a Human Rights Commission on human rights for the Uyghurs in China, exposing the degree of abuses that has taken place, abuses that fit within the pattern of against the people of Tibet, of the people of the Falun Gong, of the people in Hong Kong, of people in Taiwan, of labor protesters going back to Harry Wu, Tiananmen Square, etc.
[01:19:45.479 --> 01:19:48.501]  And so it's part of a long-standing extended Chinese tradition.
[01:19:48.581 --> 01:20:08.649]   While their real estate economy is collapsing, while their bank bubble is imploding, and while their zero COVID shutdown policies are permanently impairing potentially their economic activities in such a way, That it is unlikely and improbable that China can continue to restore and keep itself on the same upward trajectory it once was.
[01:20:09.050 --> 01:20:26.993]  Doesn't mean it can't stay in a very competitive state, particularly for taking away American jobs, but it means that China is at a unique precarious risk while Premier Xi is up for re-election as party secretary this coming year, and possible conflict with Taiwan may serve as a convenient excuse to escape into it.
[01:20:27.614 --> 01:20:31.940]  That's the world that the Deep State sees and witnesses and understands.
[01:20:32.481 --> 01:20:36.386]  It's a world which the populist resistance and rebellion is growing around the globe.
[01:20:36.906 --> 01:20:41.052]  It is a place where even China is no longer willing to be its complete subservient servant.
[01:20:41.582 --> 01:20:45.825]  It's a place where China and Xi want to assert their own interest and dominate for their own causes.
[01:20:46.285 --> 01:20:54.610]  They were happy to be the experimental place of the deep state for the purposes of pandemic policy and social credit scores and totalitarian government and cheap labor.
[01:20:55.110 --> 01:21:02.055]  But now that they've decided they don't want to be just the world's factory worker and want to be something else, that is unacceptable to the globalists.
[01:21:02.115 --> 01:21:05.917]  But it poses a unique and extraordinary threat to their power.
[01:21:06.297 --> 01:21:08.799]  They're losing in their war against Russia and Putin.
[01:21:09.479 --> 01:21:17.904]  They're losing their control over China and the Global South while at the same time seeing populist protest against their control mechanisms here in the United States.
[01:21:18.564 --> 01:21:20.325]  So what was the Deep State Plan?
[01:21:20.846 --> 01:21:43.549]   You can see aspects of the Deep State Plan Planted into the QAnon community, maybe even Q himself, was a computer algorithm designed by deep state operators to see whether they could manipulate people through digital means that would be much more difficult to achieve, but that they had spent decades trying in the MK Ultra space, in the informant infiltrator FBI space.
[01:21:44.401 --> 01:21:47.142]  And for this, you could probably just go back to PatCon.
[01:21:47.362 --> 01:21:53.483]  For those that don't know, Operation PatCon was the FBI's attempts to resolve, how are we going to keep power?
[01:21:53.543 --> 01:22:02.245]  How is the deep state going to keep its fat budgets and political influence and control and surveillance now that it no longer had anti-communism as its excuse?
[01:22:02.825 --> 01:22:12.467]  Indeed, anti-communism was used as the pretext for opposing every freedom movement around the globe, whether or not that freedom movement had affiliation or association with communism or not.
[01:22:13.107 --> 01:22:15.988]  Indeed, several of those movements were pushed into communism.
[01:22:16.108 --> 01:22:23.351]  Indeed, what you'll see is a continuous objective of deep state operatives to try to radicalize their opposition.
[01:22:23.851 --> 01:22:26.572]  They need their opposition to resort to violence.
[01:22:26.652 --> 01:22:40.476]  They need their opposition to resort to radical ideologies and the support of radical ideologue in order to embrace and to discredit them in the court of public opinion.
[01:22:40.516 --> 01:22:43.538]   This is what COINTELPRO It was all about.
[01:22:43.798 --> 01:22:46.739]  Deep throat Mark Felt, who took out Nixon.
[01:22:47.040 --> 01:22:48.340]  He wasn't a grand whistleblower.
[01:22:48.660 --> 01:22:55.244]  He was part of the architect and administrator of COINTELPRO, counterintelligence program of the Federal Bureau of Investigation.
[01:22:55.684 --> 01:22:56.985]  Its primary obsession?
[01:22:57.245 --> 01:22:58.366]  The court of public opinion.
[01:22:58.866 --> 01:22:59.386]  Its goal?
[01:22:59.767 --> 01:23:02.488]  Find ways to get people to self-discredit themselves.
[01:23:02.988 --> 01:23:05.750]  How do you get dissident movements to self-discredit themselves?
[01:23:06.252 --> 01:23:08.973]  You do so by getting them to align with violence.
[01:23:09.333 --> 01:23:16.416]  You do so by getting them to align with radical causes or individuals that will be perceived as dangerous to the ordinary person.
[01:23:17.016 --> 01:23:19.537]  This was the whole objective with going after Trump.
[01:23:19.997 --> 01:23:27.860]  The goal was through QAnon to build up a movement that would convince people that violence was the answer and that in fact the legal system wanted them to do so.
[01:23:28.181 --> 01:23:34.103]  That there were white actors within the military and the deep state that were really secretly supportive of them.
[01:23:34.580 --> 01:23:35.440]  That was step one.
[01:23:35.880 --> 01:23:37.321]  Step two was steal the election.
[01:23:37.821 --> 01:23:48.463]  Step three was discredit any challenges to the stealing of the election while inflaming opposition opinion hoping they would do something dumb and dangerous so that they could be discredited in the court of public opinion.
[01:23:48.803 --> 01:23:50.223]  To recreate a militia movement.
[01:23:50.543 --> 01:23:55.724]  Go back to October and study QAnon and QAnon movement was saying you need to take oaths.
[01:23:55.945 --> 01:23:58.085]  You need to record yourself taking this oath.
[01:23:58.607 --> 01:23:59.690]  This oath was a trap.
[01:23:59.850 --> 01:24:08.851]  This was a huge red flag that QAnon was not an independent populist movement, but in fact a deep state infiltrated and driven and directed movement.
[01:24:09.861 --> 01:24:15.044]  As anyone who understood a lot of what the UN world was saying was patently false repeatedly.
[01:24:15.425 --> 01:24:36.557]  But it took a lot of sincere, well-intended people wanting to second-guess and question the system, to be skeptical of institutional narratives, to be derailed and distracted and detoured into a counterproductive, not just unproductive, but counterproductive set of ideas and theories that would preclude them from being effective in the court of public opinion where the deep state is often obsessed.
[01:24:36.997 --> 01:24:40.558]  Because it's the fifth pillar of power that holds up the other four pillars of power.
[01:24:40.818 --> 01:24:42.259]  The perception of power.
[01:24:42.559 --> 01:24:44.279]  The public belief in that power.
[01:24:44.580 --> 01:24:46.240]  The public confidence in that power.
[01:24:46.460 --> 01:24:47.200]  Is that power.
[01:24:47.480 --> 01:24:50.601]  The moment it collapsed, power sooner or later collapses with it.
[01:24:50.982 --> 01:24:52.002]  More often than not.
[01:24:52.637 --> 01:24:55.278]  So that was part, that was part stage one.
[01:24:55.438 --> 01:25:00.241]  Stage two was to be able to try to encourage people to take violent action.
[01:25:00.641 --> 01:25:12.226]  The hope was that on January 6th, people would set off a bunch of bombs, conduct a bunch of kidnapping, do a bunch of violence, and they believed based on the social media language being used that they would achieve it.
[01:25:12.975 --> 01:25:25.286]  The problem is, and then step three, was to get Trump, during this stage, to think the military was secretly aligned with him, through the QAnon movement, to try to do something like have the military intervene in the elections or something else.
[01:25:26.146 --> 01:25:27.528]  Remember, there were a lot of calls for that.
[01:25:27.568 --> 01:25:30.810]  There were calls for him to, you know, declare martial law even, etc.
[01:25:31.411 --> 01:25:34.854]  Of course, we now know, as I said at the time, that was a big backtrack.
[01:25:35.430 --> 01:25:47.683]  General Milley and the top of the Pentagon are anti-Trump, not pro-Trump, as we now know in full robust detail in the information of treasonous and seditious activities that Milley himself was engaged in throughout 2020 and after.
[01:25:49.128 --> 01:25:50.328]  And so that was the goal.
[01:25:50.368 --> 01:25:54.270]  And then the thought process was, well, now we have the perfect basis to impeach Trump.
[01:25:54.650 --> 01:25:56.370]  He invoked martial law.
[01:25:56.430 --> 01:25:58.751]  He tried to get the military to interfere in the election.
[01:25:59.271 --> 01:26:02.152]  Then we're going to prosecute Trump, imprison him.
[01:26:02.492 --> 01:26:10.334]  We're going to do mass arrests across the nation of all the key populist leaders, lock them up on the grounds they're all part of a broader, bigger, bolder conspiracy.
[01:26:11.314 --> 01:26:14.055]  And January 6th was supposed to be sort of the culmination of this.
