[00:00:00.333 --> 00:00:01.674]  So it's all official.
[01:41:13.483 --> 01:41:20.030]  And the head of the UT Biology Department, Dr. Eric Pianka, said, I know I'll be dead soon, but it's best for Earth, the airborne Ebola.
[01:41:20.691 --> 01:41:22.513]  They tend to be obsessed with that.
[01:41:24.867 --> 01:41:28.610]  Well, they're obsessed with anything that's going to lead to the depopulation of the planet.
[01:41:28.670 --> 01:41:38.918]  You know, Alex, I go back the 20 years that we've been talking to each other at various times about this and how you were labeled such a crazy conspiracy theory tinfoil hat guy.
[01:41:39.298 --> 01:41:40.099]  And you've been wrong.
[01:41:40.359 --> 01:41:48.345]  You've been right all along about Prison Planet and Infowars, the war for your mind, because now we're past the war for our minds.
[01:41:48.425 --> 01:41:49.426]  They've got our minds.
[01:41:49.866 --> 01:41:53.289]  Now what we're struggling with is the war for our souls.
[01:41:54.525 --> 01:42:04.470]  Because what we have allowed them to do is intentionally inject messenger RNA and double-stranded DNA into our body that it appears as though that's going to replicate forever.
[01:42:04.850 --> 01:42:08.571]  It's going to destroy our genetics, destroy our immune system.
[01:42:08.932 --> 01:42:18.096]  It's going to kill millions of people, maybe billions, which is what they would like according to the Georgia Guidestones and according to all the depopulation things that they talk about.
[01:42:18.656 --> 01:42:37.669]  And they want to depopulate the planet and those that are left will be chronically sick, which will feed the pharmaceutical industry, or they will be transhumanoid and will be part of the transhumanism movement, the electronics of the Internet of Things and the social credit score system that will just control every area of our lives.
[01:42:37.749 --> 01:42:38.089]  Wow.
[01:42:38.830 --> 01:42:39.490]  Absolutely.
[01:42:39.970 --> 01:42:41.191]  And they're here.
[01:42:41.211 --> 01:42:47.055]  And as you warned years ago and Dr. Yudon did, this spike protein that the vaccine creates never goes away.
[01:42:47.115 --> 01:42:48.056]  It's eating our bodies.
[01:42:49.016 --> 01:42:51.899]  Cutting the DNA double helix, this is just, this is it?
[01:42:52.419 --> 01:42:52.919]  This is it?
[01:42:54.540 --> 01:43:01.666]  This has been what, you know, the Satanists and Luciferians have wanted since the Garden of Eden.
[01:43:02.346 --> 01:43:10.072]  You know, when God cursed the serpent and said that you will bite at her heels but she will strike at your head.
[01:43:10.672 --> 01:43:48.528]   And then as we went past the when we went through the Noah flood and we ended we descended down through Noah through his son Ham and then Cush and then Nimrod and the rise of the Babylonian mystery schools and the child sacrifice and all of the evil things that were happening through human trafficking and child sacrifice and burning children alive after massive orgies that were happening In those days, and the Bible says, you know, as in the days of Noah, which really meant why they destroyed the world, but his son, his grandson, Nimrod, was the resurrection of the Babylonian mystery schools and he was responsible for the Tower of Babel.
[01:43:49.068 --> 01:43:57.134]  And the quantum computers and what we're having now with the artificial intelligence is like the modern day Tower of Babel.
[01:43:57.575 --> 01:44:07.863]  It will bring about the destruction of humanity just like the Tower of Babel did at the period of time when it was built by Nimrod in the Babylonian mystery schools.
[01:44:09.480 --> 01:44:13.302]  Well, Dr. Timpenny, you've always been informative, but you are on fire today.
[01:44:13.342 --> 01:44:17.284]  We're going to come right back and get into what you think is coming next and how we protect ourselves.
[01:44:17.604 --> 01:44:19.204]  Folks, everybody you know, tune in now.
[01:44:20.405 --> 01:44:27.408]  As Christians, as conservatives, as populists, as pro-humans, we don't like to be victims.
[01:44:27.828 --> 01:44:28.989]  But we're not victims.
[01:44:29.609 --> 01:44:30.550]  We're not going to live as victims.
[01:44:30.590 --> 01:44:32.471]  We're overcomers, but we have been victimized.
[01:44:33.511 --> 01:44:50.103]   And everyone in the world In the last 25, 26 months has been the victim of a bioweapon attack and has been and now a victim of a poison GMO gene therapy injection that destroys a double helix of your DNA and cuts right through both of them.
[01:44:50.123 --> 01:44:50.983]  That's on record now.
[01:44:51.932 --> 01:44:57.156]  And so analyzing this, I asked the question of Dr. Tim Penney a year ago and others in the last two years.
[01:44:57.977 --> 01:45:00.398]  How do they get away with launching a bio attack like this?
[01:45:00.438 --> 01:45:02.820]  Well, the answer is war, economic collapse.
[01:45:02.860 --> 01:45:04.582]  We harped on that and here we are.
[01:45:05.302 --> 01:45:07.484]  So you already know tomorrow's news today.
[01:45:08.344 --> 01:45:11.126]  Let's now talk about what's coming next, Dr. Tim Penney.
[01:45:13.148 --> 01:45:18.372]  Well, I think that what we've already talked about a little bit, Alex, is the release of these hemorrhagic viruses.
[01:45:19.309 --> 01:45:24.830]  But I think that what's really important is for people to understand the horizon.
[01:45:24.890 --> 01:45:31.292]  I mean, where are you in your personal life in terms of preparing for what might come?
[01:45:31.312 --> 01:45:33.593]  You know, they're talking about setting up this treaty.
[01:45:33.653 --> 01:45:45.556]  The United Nations has already passed the first part of the General Assembly of 194 countries signing on to this international treaty to protect against future biological warfare.
[01:45:46.116 --> 01:45:57.601]  Which, if this goes through, they will have COVID passes for everybody, they will have mandatory vaccines for everybody, which will be a hook to your QR code, and you won't be able to do much without it.
[01:45:58.061 --> 01:46:00.943]  You'll barely be able to get food, gasoline, and all these things.
[01:46:00.983 --> 01:46:12.328]  And so stopping this treaty that they're trying to get passed at the United Nations to hand over all the sovereignty governments of the world over to the World Health Organization is really a travesty.
[01:46:12.508 --> 01:46:12.928]  That's right.
[01:46:13.268 --> 01:46:14.009]  It's about that treaty.
[01:46:14.049 --> 01:46:14.610]  I've mentioned it.
[01:46:14.650 --> 01:46:15.952]  We should spend more time on it.
[01:46:16.352 --> 01:46:20.518]  There is a treaty right now for all governments to give their authority in an emergency to the UN.
[01:46:22.631 --> 01:46:32.718]  Yes, and the UN and the World Health Organization because they're doing this to keep everyone safe from the next pandemic because we know there's going to be more of them.
[01:46:33.138 --> 01:46:34.479]  Of course there's going to be more!
[01:46:34.759 --> 01:46:48.988]   They got the playbook written now and now that they have written the playbook and everybody fell in line and all masked up and social distanced and Got their Q-tips up their nose and got tested repeatedly over and over and over again.
[01:46:49.409 --> 01:47:02.179]  And many people have gotten this injection, gotten this gene therapy, gene altering, life altering shot that has thousands and thousands of people that have died and millions of people that have become chronically sick.
[01:47:02.999 --> 01:47:05.101]  You know, they just all kind of rolled over and did it.
[01:47:05.481 --> 01:47:09.444]  So now that they've got everybody in the position of where they are, they're going to do it again.
[01:47:09.464 --> 01:47:10.105]  And again.
[01:47:10.125 --> 01:47:10.505]  And again.
[01:47:12.265 --> 01:47:20.089]  And if this treaty passes, and for those that don't really understand treaties, I mean, treaties supersede individual government law.
[01:47:20.649 --> 01:47:21.390]  So if the U.S.
[01:47:21.430 --> 01:47:31.534]  has a treaty with any other country in the world, the things that they sign on to and pass by two-thirds of our Congress, they supposedly have to pass using our Congress.
[01:47:31.554 --> 01:47:32.875]  And again, Doc, do you have that in front of you?
[01:47:32.895 --> 01:47:33.796]  Because I saw the U.N.
[01:47:33.836 --> 01:47:34.716]  treaty a month ago.
[01:47:34.836 --> 01:47:36.777]  I covered it once or twice, but I don't have the name of it.
[01:47:37.017 --> 01:47:40.459]  What's the particular... We need to put that on screen so folks know how real this is.
[01:47:41.750 --> 01:47:43.872]  Gosh, let me, I'll have to look for it.
[01:47:43.892 --> 01:47:45.333]  There it is.
[01:47:45.433 --> 01:47:53.201]  WHO quietly pushes for global pandemic treaty that will give organization precedence over participating nations during pandemics.
[01:47:53.241 --> 01:47:54.382]  Print it, we'll have it next segment.
[01:47:54.702 --> 01:47:56.865]  I just want to give people the actual treaty because it's so incredible.
[01:47:57.085 --> 01:47:57.705]  Please continue.
[01:47:58.486 --> 01:48:05.073]  Okay, so what's really important for this is that it's understanding that treaty law supersedes our Constitution.
[01:48:06.919 --> 01:48:14.145]  It supersedes our government law, supersedes our trade law, that treaties are the highest law of the global world.
[01:48:14.566 --> 01:48:23.133]  So if this gets passed and all 194 countries sign on, I mean, it'll be one of these situations, Alex, where you can run, but you cannot hide.
[01:48:23.453 --> 01:48:39.015]   Because through the World Economic Forum, And through what they have done through the Young Globalist committees and the Young Globalist Forum that they've brought in all of the people from the world, governments, high levels of major multinational companies, even down to state and local governments.
[01:48:39.978 --> 01:48:44.602]  You know, you can cut off the head of the hydra, but the tentacles have run everywhere.
[01:48:45.062 --> 01:48:59.353]  And so it's really important for people to be aware of this treaty, and not only be looking for ways that we can stop this at our state and local government, get our sheriffs involved to protect your particular county, to protect where you live.
[01:48:59.853 --> 01:49:04.975]  But also to do some preparation and some planning, which is kind of what we're doing, we have put together for us.
[01:49:05.015 --> 01:49:13.198]  We did a big survey of all of our former students and all of our email database and our social media people and said, what do you want us to do?
[01:49:13.298 --> 01:49:16.480]  What would you like for us to present for you in our next boot camp?
[01:49:16.920 --> 01:49:19.501]  Because our boot camps have previously been about vaccine things.
[01:49:20.142 --> 01:49:32.240]  And by the way, I didn't even know your next boot camp was this, but I'm like, look, she's got to come on about what's coming next and what she predicts next and how we get ready, but it turns out that's exactly what your boot camp is, because I'm getting that same question from everybody.
[01:49:33.877 --> 01:49:35.158]  Yeah, it's the preparation.
[01:49:35.258 --> 01:49:38.459]  And what's interesting is our past boot camps, we always do two boot camps a year.
[01:49:38.539 --> 01:49:39.699]  One in the spring, one in the fall.
[01:49:40.139 --> 01:49:44.441]  You know, 17, 18, 19 were all about vaccine things.
[01:49:44.461 --> 01:49:46.862]  20 and 21 was all about COVID related stuff.
[01:49:47.342 --> 01:49:52.304]  So we did a big survey of our database and we said, what are you most interested in?
[01:49:52.344 --> 01:49:54.885]  If we could do anything for you, what would that be?
[01:49:55.425 --> 01:50:01.347]  And the number one thing that they asked for was a course on prepping that would all be in one place.
[01:50:01.367 --> 01:50:03.567]  So this is a four-week online course.
[01:50:03.967 --> 01:50:05.368]  It is not U.S.-centric.
[01:50:05.428 --> 01:50:08.549]  It's for anybody in the world that can actually take this course.
[01:50:08.969 --> 01:50:13.170]  And the title of the course is called, Expect to Rescue Yourself.
[01:50:13.737 --> 01:50:14.758]  This is not a movie.
[01:50:14.778 --> 01:50:21.483]  You're not going to have somebody come swinging in and the door like, you know, and taking you out and saving you.
[01:50:21.583 --> 01:50:25.426]  It's expect to rescue yourself.
[01:50:25.446 --> 01:50:26.407]  And you've got to get ready now.
[01:50:26.447 --> 01:50:27.528]  Let me bring this up to you.
[01:50:28.329 --> 01:50:30.010]  First, tell people where they find this information.
[01:50:30.050 --> 01:50:33.573]  And then I want to get to openly China and India leaving the dollar.
[01:50:33.633 --> 01:50:34.173]  It's happened.
[01:50:34.253 --> 01:50:35.074]  Dollar plunging.
[01:50:36.115 --> 01:50:37.055]  Ruble highest ever.
[01:50:37.115 --> 01:50:40.138]  I mean, the globalists are doing this by design.
[01:50:41.092 --> 01:50:43.153]  Yeah, and so this is like a four-week course.
[01:50:43.193 --> 01:50:47.314]  The first one is why you prep, what about security, what about supplies.
[01:50:47.695 --> 01:50:50.916]  The second week is about the psychology of survival.
[01:50:51.456 --> 01:50:56.578]  What to build in your bug-out bag, in your vehicle bag, how to rotate your pantry so you don't waste food.
[01:50:56.958 --> 01:51:06.222]  Week number three is about survival basics, about navigation tools, communication devices, figuring out who it is that you really trust because it may not be your family.
[01:51:06.892 --> 01:51:09.954]  And week four is about your medical bug out bag.
[01:51:10.315 --> 01:51:16.459]  What do you do for special circumstances like for your pets and your children and your senior citizens in your life?
[01:51:16.519 --> 01:51:17.440]  And what about money?
[01:51:17.580 --> 01:51:20.562]  Gold, silver, crypto, just like you were alluding to Alex.
[01:51:20.842 --> 01:51:22.503]  This is a four week online course.
[01:51:22.523 --> 01:51:24.004]  You can find out more of the specifics.
[01:51:24.044 --> 01:51:27.627]  I'm just giving you the cliff notes, but you can go for more of the specifics.
[01:51:27.687 --> 01:51:38.553]   The website is Learning4U, learning the number 4, Y-O-U, learning4u.org, forward slash survive.
[01:51:39.534 --> 01:51:39.834]  All right.
[01:51:39.874 --> 01:51:40.514]  Forward slash survive.
[01:51:40.554 --> 01:51:42.756]  We'll get that out again and we'll also put it on the lower screen.
[01:51:42.776 --> 01:51:48.579]  When we come back with one more segment, I want to talk just big picture with you about what you just said.
[01:51:48.599 --> 01:51:51.641]  A lot of people's families are good, some are bad, but you're right.
[01:51:52.061 --> 01:51:55.563]  In a crisis, having people you trust, I think is the most important asset.
[01:51:56.063 --> 01:51:57.464]  A relationship with God is number one.
[01:51:58.004 --> 01:51:59.326]  Friends and family you can trust.
[01:51:59.727 --> 01:52:03.833]  The food and all that is secondary if you don't have people you can trust around you.
[01:52:04.414 --> 01:52:09.462]  I want to hear a sneak peek of the course because I respect you, how you think people do that.
[01:52:09.502 --> 01:52:11.025]  So again, give them the website one more time.
[01:52:12.028 --> 01:52:21.378]  The website is learning4u, which is learning, the number 4, Y-O-U, learning4u.org, forward slash survive.
[01:52:21.598 --> 01:52:25.262]  Learning4u.org, forward slash survive.
[01:52:25.282 --> 01:52:29.767]  Well, I think my wife and I are going to take this, because even though we know a lot of this, it's good to get refocused and pay attention.
[01:52:29.787 --> 01:52:30.848]  Dr. Sherry Timpani is our guest.
[01:52:30.888 --> 01:52:31.448]  I'm Alex Jones.
[01:52:31.809 --> 01:52:32.790]  Infowars.com.
[01:52:32.810 --> 01:52:33.631]  Tomorrow's news today.
[01:52:35.313 --> 01:52:36.755]  All right, we pulled up some articles.
[01:52:36.795 --> 01:52:38.757]  We have links to the UN and the treaty.
[01:52:38.777 --> 01:52:42.922]  It's the World Pandemic Treaty, where your governments sign over their authority ahead of time.
[01:52:43.423 --> 01:52:46.046]  Here's an InfoWars article that links right to it in the second link.
[01:52:46.446 --> 01:52:52.373]  World Council for Health slams WHO's pandemic treaty, threat to sovereignty and inalienable rights.
[01:52:53.194 --> 01:52:55.775]  Got a bunch of other news articles, different publications.
[01:52:56.716 --> 01:53:03.440]  WHO quietly pushes for global pandemic treaty that would give organization precedence over participating nations during pandemics.
[01:53:04.220 --> 01:53:07.022]  And it just goes on from there with links to the UN website.
[01:53:07.042 --> 01:53:08.823]  So you can see that for yourself.
[01:53:08.863 --> 01:53:09.263]  Incredible.
[01:53:09.643 --> 01:53:10.724]  So Dr. Sherry Tinpenny.
[01:53:12.591 --> 01:53:19.876]  You know, I see their global power grab as having some success for the World ID, World Social Credit Score, their apps.
[01:53:20.496 --> 01:53:21.617]  We can see it all rolled out.
[01:53:21.697 --> 01:53:23.618]  Oh, you don't get menus, you get QR codes.
[01:53:23.658 --> 01:53:25.279]  And oh, now that's the vaccine passport.
[01:53:25.780 --> 01:53:27.661]  But then I see major pushback as a victory.
[01:53:27.681 --> 01:53:30.483]  So they pull it off the table and say, OK, you're winning.
[01:53:30.863 --> 01:53:31.863]  So we go back to sleep.
[01:53:31.924 --> 01:53:32.364]  And I agree.
[01:53:32.384 --> 01:53:33.625]  They're about to come right back with it.
[01:53:33.925 --> 01:53:47.572]   We've seen leaked documents out of Canada, the UK and New York City saying after the election, They're bringing it back, but you were earlier kind of saying we got defeated by this or the test passed, we submitted, so they're going to do it again.
[01:53:48.612 --> 01:53:49.453]  I'm on the fence.
[01:53:49.493 --> 01:53:59.297]  I mean, if this was given a credit card or a report card for The Globalist on how they did with this power grab, would you give them an A, an F, a B?
[01:54:00.017 --> 01:54:00.897]  What do you think really happened?
[01:54:01.838 --> 01:54:04.319]  I think you would have to subcategorize that, Alex.
[01:54:04.878 --> 01:54:07.960]  You know, in terms of if you were going to give them a grade.
[01:54:08.020 --> 01:54:21.709]  I mean, if you gave them a grade on how successful their messaging was with the fear-based messaging to get everyone cowered in the corner, I would give them an A+++.
[01:54:24.448 --> 01:54:30.033]  But with their follow-through, I believe that they thought that they had it all wrapped up, bar none.
[01:54:30.554 --> 01:54:43.284]  And in fact, if you went to the World Economic Forum and you went through that really fancy, complex website that they have with all the different data points that are connected together, they absolutely don't have any backup plan for failure.
[01:54:43.324 --> 01:54:45.266]  So they were so sure that they had won this.
[01:54:45.926 --> 01:54:54.628]  And I also believe that they are so far removed from the liberty-seeking people and the freedom-loving people and the God people on this planet.
[01:54:54.688 --> 01:55:01.890]  They're so far removed from that, that they really had no anticipation of the level of blowback that they were going to receive.
[01:55:02.250 --> 01:55:14.433]  I mean, I think that the things that happened, all the marches, all the different things that were happening in Europe, the truckers and the various different people that revolted to this, I think that they were really surprised by that.
[01:55:15.073 --> 01:55:18.255]  And they didn't have a backup plan.
[01:55:18.295 --> 01:55:19.416]  I totally agree.
[01:55:19.456 --> 01:55:24.199]  So their front end assault and their coordination of lines was very well done.
[01:55:24.539 --> 01:55:28.521]  But just like Hitler starting World War II later, they got bogged down in the mud.
[01:55:28.541 --> 01:55:32.924]  Humanity's rising against them really scared them and made them pull back.
[01:55:33.224 --> 01:55:34.825]  But they're clearly about to strike again.
[01:55:35.908 --> 01:55:36.768]  Oh, absolutely.
[01:55:36.788 --> 01:55:39.009]  I mean, think about it, Alex.
[01:55:40.169 --> 01:55:46.251]  They did SARS, and they did MERS, and then they did H1N1, and they did bird flu in 2005.
[01:55:46.311 --> 01:55:50.272]  And I wrote a book during that time, in real time, about bird flu.
[01:55:50.592 --> 01:55:53.033]  And at that time, I was also going to Washington D.C.
[01:55:53.073 --> 01:55:58.076]   about every six weeks to go to their pandemic planning The committee meetings and seeing what they were setting up.
[01:55:58.396 --> 01:56:08.182]  And at that point in time, the World Health Organization released this elaborate plan on all the different levels, the color-coded levels to announce when pandemics were happening.
[01:56:08.603 --> 01:56:13.426]  And then that was like setting the skeleton, the infrastructure.
[01:56:13.446 --> 01:56:16.508]  And then they did in 2009, then they did H1N1.
[01:56:16.628 --> 01:56:20.310]  And then they put the vaccines out fast and furious.
[01:56:20.550 --> 01:56:22.652]  And they saw how many people were willing to accept it.
[01:56:23.112 --> 01:56:33.485]  So when they did this, the coronavirus, it's the first time ever that they were able to pull the entire world, every country in the world, to their knees at essentially the same time.
[01:56:35.453 --> 01:56:37.915]  At the beginning of it, they didn't get much blowback.
[01:56:38.295 --> 01:56:40.736]  And I think that they sat back and went, wow, look at this.
[01:56:41.257 --> 01:56:44.719]  We are a lot further down the pathway to total tyranny than when we thought.
[01:56:45.199 --> 01:56:45.980]  Hammer down.
[01:56:46.620 --> 01:56:47.261]  And they did.
[01:56:47.281 --> 01:57:07.194]   And so now when we've had some level of what we, the patriots, would call success, in terms of blowback against Fauci that you have up here on the screen, and blowback that we've had against Trudeau, and with some of the things that have happened in Europe, I think that they give us, it's how tyranny works, Alex, you know.
[01:57:07.214 --> 01:57:11.077]  I mean, they crush you, then they come off on the gas a little bit.
[01:57:11.097 --> 01:57:15.441]  Then they crush you again because it's like the, you know, the Stockholm Syndrome.
[01:57:15.861 --> 01:57:16.982]  Oh, it looks like we're winning.
[01:57:17.022 --> 01:57:20.985]  We must be doing the right things for our masters to stop crushing our head.
[01:57:21.326 --> 01:57:24.589]  And it's just giving us a little breath before they go forward with the next thing.
[01:57:25.109 --> 01:57:31.174]  This treaty, I want to go back to this treaty a little bit and what this actually says, because I think it's really important for people to know.
[01:57:32.990 --> 01:57:50.887]  It's like you said, it's called the International Pandemic Treaty, and it says in the first sentence of this, it says on March 3rd, 2020, the Council adopted a decision to authorize the opening for negotiations of an international agreement on pandemic prevention, preparedness, and response.
[01:57:51.007 --> 01:57:52.688]  Response is the key word there.
[01:57:52.828 --> 01:57:55.150]  And for radio listeners, we have it on screen from the UN.
[01:57:55.190 --> 01:57:55.531]  There it is.
[01:57:56.471 --> 01:58:11.355]  Right, and for the international negotiating body that they gave the green light to go ahead and start planning this, that they will be discussing it in August of 2022 with the aim to adopt the full treaty by 2024.
[01:58:11.395 --> 01:58:16.317]  Let me stop you, let me stop you, because what you said is so critical earlier.
[01:58:17.057 --> 01:58:34.659]  You're a medical doctor, you're a researcher, you publish things, you're smart, you go to meetings, you see them preparing this big disease X, salivating for their power grab, all the propaganda, it's clear, Operation Lockstep, Rockefeller Foundation, they're going to do this, they say they're going to use this for global government.
[01:58:34.799 --> 01:58:35.920]  It's not our opinion.
[01:58:37.082 --> 01:58:39.225]  And so everything is bent towards this.
[01:58:39.245 --> 01:58:49.842]  You're saying, we just saw a beta test, they won some, they lost some, but now they're to come back with their new knowledge from their live action war game to hit us with something way, way worse.
[01:58:50.700 --> 01:58:53.982]  Yes, and you said the word exactly right, Alex.
[01:58:54.502 --> 01:58:55.283]  It's a beta test.
[01:58:55.343 --> 01:58:58.264]  It's just like any other marketing thing you do with a new product.
[01:58:58.704 --> 01:59:02.867]  You put it out there, see the response, and then you fall back and analyze.
[01:59:03.247 --> 01:59:08.470]  So they've put it out there, they've watched the response, now they're going to take a little break and fall back and analyze.
[01:59:08.510 --> 01:59:16.774]   And they're going to look for what holes do we need to plug so we don't have these little plebe Sheep revolting again.
[01:59:16.794 --> 01:59:20.295]  You know, we left some doors open that we didn't know that were there.
[01:59:20.675 --> 01:59:28.278]  They've pointed us out, pointed out to us, how they're going to revolt, how they're going to communicate, how they're going to get together, how they're going to organize.
[01:59:28.558 --> 01:59:33.160]  We need to pull back and make sure we close all those doors so they can't do that again.
[01:59:33.880 --> 01:59:37.024]  I mean, that's just what a market test is.
[01:59:37.625 --> 01:59:43.652]  And, you know, there was a quote from Klaus Schwab just the other day who was saying, you know, we've got to get rid of the Internet.
[01:59:43.993 --> 01:59:45.915]  Because the Internet, there's just too much information.
[01:59:45.935 --> 01:59:48.518]  Yeah, he said point blank, we got our ass kicked by this information.
[01:59:48.538 --> 01:59:48.578]  No.
[01:59:49.119 --> 01:59:53.062]  You got your ass kicked despite censorship by humanity just overriding you.
[01:59:53.322 --> 01:59:55.204]  So the message is find other holes.
[01:59:55.644 --> 02:00:02.129]  Attack peacefully on other fronts and keep exposing them now during this period of them wanting us to go back to sleep.
[02:00:02.530 --> 02:00:05.672]  That's the most important thing is attack now more than ever.
[02:00:05.712 --> 02:00:07.314]  We have them on their heels in retreat.
[02:00:07.594 --> 02:00:09.255]  Don't stop now that they're in retreat.
[02:00:09.595 --> 02:00:12.598]  Expose them as war criminals violating the Nuremberg Code.
[02:00:13.835 --> 02:00:14.496]  Absolutely.
[02:00:14.516 --> 02:00:16.597]  And you said it absolutely right.
[02:00:16.957 --> 02:00:21.300]  I mean, every time they let off on the gas a little bit, it's time for us to power down.
[02:00:21.981 --> 02:00:24.803]  And go even further, and expose it even more.
[02:00:24.823 --> 02:00:25.063]  That's right.
[02:00:25.083 --> 02:00:29.726]  And a fight with somebody that starts the fight, when you get a hit in and get them dizzy, they're going to come back at you.
[02:00:29.746 --> 02:00:30.526]  They started the fight.
[02:00:30.586 --> 02:00:32.788]  Now that's when you go in and drive them down.
[02:00:32.868 --> 02:00:34.049]  That's when you make the main move.
[02:00:35.239 --> 02:00:36.760]  And that's what we need to be doing now.
[02:00:36.780 --> 02:00:40.984]  We need to plan and prepare individually, and that's what our course is about.
[02:00:41.004 --> 02:00:43.686]  You know, at learning4u.org forward slash survive.
[02:00:44.027 --> 02:00:47.730]  Plan individually, and then collectively get with your community.
[02:00:47.770 --> 02:00:52.634]  And like we both alluded to, your family members may not be the ones that you can trust.
[02:00:53.034 --> 02:00:54.816]  I mean, think about back in Nazi Germany.
[02:00:54.836 --> 02:01:00.781]  It was your family members that turned in family members for not doing what they were supposed to do in terms of the Nazi movement.
[02:01:01.101 --> 02:01:03.523]  You know, can you really trust your family?
[02:01:03.803 --> 02:01:12.970]  And just because someone is biologically related to you through blood, it doesn't necessarily mean that they are your tribe when things start to fall apart.
[02:01:13.290 --> 02:01:27.360]  You need like-minded people that are spiritually on the same battle with you, physically on the same battle with you, and can rally the troops and get together when the going gets tough, because it most likely will be happening sooner rather than later.
[02:01:27.560 --> 02:01:31.082]  Let's do five more minutes on the other side, then I'm gonna let you go, but what you say is so critical.
[02:01:31.702 --> 02:01:34.263]  Spiritual connection is the real tribe.
[02:01:34.663 --> 02:01:44.768]  Blood is important, but don't override people that you're spiritually connected to more than blood, because they literally use that against us.
[02:01:45.168 --> 02:01:48.390]   What matters is spiritual kinship Even about blood.
[02:01:48.410 --> 02:01:49.752]  That's a very important point.
[02:01:49.792 --> 02:01:51.475]  I'm glad you honed in on that.
[02:01:51.495 --> 02:01:56.723]  A lot of our families are great, but at the same time, we can't go down with a ship just because some of our family's not awake.
[02:01:56.983 --> 02:01:57.564]  We'll be right back.
[02:01:57.584 --> 02:01:57.985]  Stay with us.
[02:02:00.185 --> 02:02:04.506]  Well, I was talking to Dr. Sherry Tinpader in the break and she's like, I love BandDot Video!
[02:02:05.146 --> 02:02:08.367]  We watch it all and I'm like, well then you need a channel on there, it's free!
[02:02:08.387 --> 02:02:13.128]  So we're going to get her hooked up on BandDot Video for her podcast and great shows and what she does.
[02:02:13.528 --> 02:02:14.508]  I'm Alex Jones, your host.
[02:02:14.528 --> 02:02:15.509]  We've got calls coming up.
[02:02:15.889 --> 02:02:17.069]  I'm going to host some of the next hour.
[02:02:17.109 --> 02:02:18.729]  I'm going to host the whole next hour.
[02:02:19.109 --> 02:02:19.790]  Take your calls.
[02:02:19.850 --> 02:02:21.170]  Other guests are going to be in the studio with us.
[02:02:21.610 --> 02:02:24.171]  But Dr. Sherry Timpani, I was asking you what's most important.
[02:02:24.191 --> 02:02:25.792]  You said, man, that's the big question.
[02:02:26.312 --> 02:02:27.213]  And I'm the same way.
[02:02:27.293 --> 02:02:30.214]  I mean, we need to know that the next assault's coming.
[02:02:30.634 --> 02:02:31.735]  They're killing the dollar.
[02:02:31.795 --> 02:02:33.676]  We're in the new world order now.
[02:02:33.996 --> 02:02:34.917]  But that's okay.
[02:02:35.317 --> 02:02:36.717]  We're going to be leaders in this.
[02:02:37.238 --> 02:02:39.839]  And God is stronger than the devil, I think is what you're saying.
[02:02:40.259 --> 02:02:41.480]  And so just get ready.
[02:02:42.898 --> 02:02:47.862]  Well, you know, Alex, the last two years has been, you know, COVID saturated, right?
[02:02:47.902 --> 02:02:50.484]  I mean, I did over 600 interviews in 18 months.
[02:02:51.104 --> 02:02:56.568]  And to put that in context for your listeners, I usually do about 30 a year, usually do, you know, a couple of months.
[02:02:56.628 --> 02:03:06.156]  And I did some days I was doing six and seven interviews in the same day just to like carpet bomb the neighborhood to get people to try, try to get as many people as possible to not take this shot.
[02:03:06.796 --> 02:03:09.678]  And by the way, I want to thank you because I know you gave them hell.
[02:03:10.098 --> 02:03:12.520]  You got targeted by the New York, you got singled out.
[02:03:12.580 --> 02:03:15.802]  I want to thank you because I know it's hard to do that on top of all you do.
[02:03:15.902 --> 02:03:17.763]  Thank you for being such a warrior.
[02:03:17.783 --> 02:03:19.885]  I want everybody to know I saw what you did.
[02:03:19.945 --> 02:03:27.029]  You have really beyond pulled your weight just as much as Dr. Yidan or any of the top people fighting.
[02:03:27.089 --> 02:03:28.230]  You have been the tip of the spear.
[02:03:29.198 --> 02:03:30.700]  Well, thank you so much for that, Alex.
[02:03:30.760 --> 02:03:31.482]  I appreciate it.
[02:03:31.982 --> 02:03:33.545]  It was just what God told me to do.
[02:03:33.605 --> 02:03:35.768]  It's like carpet bomb the neighborhood with the truth.
[02:03:35.828 --> 02:03:41.657]  And so, this year, the talk that I've been giving has been called, The Intentional Destruction of the Temple.
[02:03:42.017 --> 02:03:44.862]  That we have, people have volunteered to take this shot.
[02:03:45.362 --> 02:03:48.324]  And have destroyed the Temple of the Holy Spirit, which is where God lives.
[02:03:48.384 --> 02:04:10.321]   And so, to me, the most important thing is understanding that what these shots have done to destroy humanity and what the Satanist, Luciferians, the globalists, the depopulation agenda, what they've done with pedophilia, everything that they do, the child sacrifice, I mean, you know, in four weeks, the FDA is now voting.
[02:04:10.621 --> 02:04:12.643]  I think it's four weeks from now.
[02:04:13.024 --> 02:04:21.692]  They're voting to put the COVID shots into the pediatric schedule at two, four, six months and a year, as though it were like a flu shot.
[02:04:21.792 --> 02:04:23.054]  And it's absolutely not.
[02:04:23.334 --> 02:04:29.280]  We are watching child sacrifice and child murder right before our eyes, Alex.
[02:04:29.740 --> 02:04:35.101]  And parents have got to wake up to this and not take this shot while they're pregnant.
