[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[01:28:55.190 --> 01:29:06.270]   It is the virtual reality AI weapon system now attacking the United States with traitors
[01:29:06.270 --> 01:29:11.029]   inside the major security agencies blocking Trump's resistance of the program and attempting
[01:29:11.029 --> 01:29:15.990]   to stop us from removing the tentacles of the Qaikom/Big Tech hanging combine emergency
[01:29:15.990 --> 01:29:16.990]  situation.
[01:29:16.990 --> 01:29:20.389]   I have been chosen for destruction because I brought you this information and have been
[01:29:20.389 --> 01:29:23.190]  battering, ramming it out as much as I can.
[01:29:23.231 --> 01:29:31.937]  They want to double use me as they always do in any complex system of mathematical deception, where every angle of my good is turned against us.
[01:29:31.957 --> 01:29:36.860]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[01:29:37.240 --> 01:29:42.123]  I'm a person that cares about life and children, and is against these wars, and so they make me a herder of children.
[01:29:42.563 --> 01:29:50.650]  And then they built me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[01:29:50.670 --> 01:29:57.376]  So even if I didn't sell out to them, they've now used me as an archetype to serve them by being the main distraction.
[01:29:57.496 --> 01:30:03.201]  I have now been captured by the enemy in the information warfare fulcrum and it's being used against you.
[01:30:03.401 --> 01:30:07.805]  Only your full understanding of this key will break you free from this paradigm.
[01:30:07.845 --> 01:30:10.187]  I have given you the transmission!
[01:30:15.033 --> 01:30:25.588]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[01:30:25.748 --> 01:30:26.869]  Thomas Jefferson.
[01:30:26.949 --> 01:30:31.235]  If you are receiving this transmission, you are the resistance.
[01:30:35.216 --> 01:30:42.878]  Well, the Bill of Rights is a stumbling block on the way to shutting down speech that the left doesn't like, at least in government.
[01:30:43.158 --> 01:30:48.860]  But there's a new avenue for those who would like to censor what you say and think, and that's corporations.
[01:30:48.940 --> 01:30:51.101]  The left have wised up to this.
[01:30:51.301 --> 01:30:56.682]  If you want to stop someone from telling the truth, use companies to do it.
[01:30:56.702 --> 01:30:57.783]  The social media giants.
[01:30:58.043 --> 01:30:58.443]  And they are.
[01:30:58.803 --> 01:31:04.484]  For many on the left, the view seems to have become that if you can't beat them, prevent them from speaking.
[01:31:04.524 --> 01:31:09.225]  So far the most prominent casualty of the crusade against free expression has been the radio show host Alex Jones.
[01:31:09.365 --> 01:31:17.047]  There is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices.
[01:31:17.067 --> 01:31:22.948]  There's also guys on CNN that spend their whole day calling Facebook and saying, can you ban this person?
[01:31:23.168 --> 01:31:26.009]  He may be America's best known conspiracy theorist.
[01:31:26.249 --> 01:31:29.871]  But this week, Alex Jones' content will be a little harder to find.
[01:31:30.232 --> 01:31:40.078]  Shame on the mainstream corporate media for not defending the First Amendment, but instead attack-dogging, calling for federal regulators to shut down independent free press working with big tech.
[01:31:40.618 --> 01:31:41.919]  People know what's true.
[01:31:42.139 --> 01:31:42.940]  They can smell it.
[01:31:43.480 --> 01:31:48.344]  InfoWars, the most banned network in the world.
[01:31:48.864 --> 01:31:50.865]  In a free country, everyone can be hurt.
[01:31:50.744 --> 01:31:54.744]  In totalitarian societies, only the powerful can be heard.
[01:31:55.744 --> 01:32:23.744]  [Music]
[01:32:23.744 --> 01:32:25.744]  [Applause]
[01:32:25.744 --> 01:32:33.744]  [Music]
[01:32:33.744 --> 01:32:35.744]  Welcome back to the Alex Jones Show.
[01:32:36.540 --> 01:32:39.803]  This is Robert Barnes guest hosting for this hour.
[01:32:40.403 --> 01:32:57.037]  We're going to be talking about a range of topics, including California's attempts to basically kidnap children from around the country and be able to bring them in for trans treatment, according to a law that they're trying to propose and propound, and the latest inanity and insanity out of California's legislative ranks.
[01:32:57.737 --> 01:32:58.678]  But that's not all.
[01:32:58.958 --> 01:33:22.355]  We'll also talk and discuss the various efforts going around around the globe in terms of Liz Truss, likely to become the next Prime Minister of the United Kingdom, and what that means, or if it means anything, even as The Guardian, one of the most pro-war publications in the United Kingdom, has a front page editorial about how their efforts have failed and the globalists have lost in their battle against Putin and Russia.
[01:33:22.954 --> 01:33:28.854]   But first, everybody should remember that they are the front line that continues to
[01:33:28.854 --> 01:33:36.213]   hold for InfoWars against this extraordinary and exceptional, unparalleled and unprecedented
[01:33:36.213 --> 01:33:43.493]   legal attack on InfoWars and Alex Jones taking place in the show trial in Travis County,
[01:33:43.493 --> 01:33:44.493]  Texas.
[01:33:44.493 --> 01:33:48.055]   What keeps InfoWars on the air, what allows you to continue to access the information
[01:33:48.055 --> 01:33:54.454]   that you want, is making the choice to become healthier, wealthier and wiser by supporting
[01:33:54.454 --> 01:33:59.454]   InfoWarsStore.com, buying products that you like, products that you want, products that
[01:33:59.454 --> 01:34:02.573]  you need, products that you benefit from.
[01:34:02.573 --> 01:34:09.295]   And in the process of doing so, do so at competitive pricing, often priced substantially less than
[01:34:09.295 --> 01:34:13.654]   competitors for comparable quality, while getting goods and ingredients independent
[01:34:13.654 --> 01:34:19.173]   and separate from the big pharma, big retail company machine, directly wholesale, directly
[01:34:19.173 --> 01:34:21.295]  retailed right to you.
[01:34:21.295 --> 01:34:26.414]   And doing so by supporting a network in the process that keeps independent information
[01:34:26.414 --> 01:34:29.414]  accessible and available to people around the globe.
[01:34:29.477 --> 01:34:32.100]  Who was the tip of the spear in fighting lockdowns?
[01:34:32.380 --> 01:34:33.241]  It was InfoWars.
[01:34:33.642 --> 01:34:39.008]  Who was the tip of the spear in exposing the election fornication that took place in November 2020?
[01:34:39.849 --> 01:34:40.850]  It was InfoWars.
[01:34:41.351 --> 01:34:47.858]  Who was the tip of the spear at promoting the candidacy of presidential candidate, then president, Donald J. Trump?
[01:34:48.018 --> 01:34:49.200]  It was InfoWars.
[01:34:49.580 --> 01:35:04.494]  Who was the tip of the spear exposing the Ukraine conflict against the war whores in both Congress and the mainstream press, and exposing it for what it has in fact become an extraordinary boondoggle and exceptional grift for the Biden families of the world.
[01:35:04.994 --> 01:35:05.935]  It was InfoWars.
[01:35:06.496 --> 01:35:07.597]  And this goes all the way back.
[01:35:08.157 --> 01:35:14.822]  Who was it that was exposing that incubator baby story was a false and fake story to get us involved in the first Iraq war?
[01:35:15.262 --> 01:35:16.603]  It was a young Alex Jones.
[01:35:16.984 --> 01:35:18.485]  All the way back in the early 90s.
[01:35:18.845 --> 01:35:20.306]  Who was exposing Ruby Ridge?
[01:35:20.626 --> 01:35:21.967]  Who was exposing Waco?
[01:35:22.248 --> 01:35:25.290]  Who was exposing what really happened in Oklahoma City?
[01:35:25.650 --> 01:35:27.251]  Who was exposing what happened in 9-11?
[01:35:28.152 --> 01:35:30.855]  Who was exposing the first Iraq, the second Iraq war.
[01:35:31.175 --> 01:35:33.257]  Who was exposing the Afghan war debacle.
[01:35:33.557 --> 01:35:39.963]  Who was consistently supporting Edward Snowden, whistleblowers like Julian Assange who published those whistleblowers.
[01:35:40.423 --> 01:35:42.946]  Again, it was InfoWars, it was InfoWars.
[01:35:43.366 --> 01:36:09.446]  The media only wants you to talk about a tiny, tiny, tiny slice of coverage, as Alex Jones put it in his interview with Glenn Greenwald at the premiere of Alex's War, which by the way is now available in cities across America today, and you can get it available and download it today, or you can purchase the DVD to keep it into posterity, given some of the digital copies can disappear overnight, right at InfoWarsTore.com.
[01:36:09.986 --> 01:36:20.491]  That documentary, which again is not even a pro-Alex documentary, it's just, here's who Alex Jones is, here's who's Alex Jones' history, here's both sides of a bunch of the arguments and debate.
[01:36:20.531 --> 01:36:24.292]  It quotes Megyn Kelly throughout the different parts of the documentary.
[01:36:24.592 --> 01:36:30.655]  But it is a fair, impartial view of Alex Jones, not a partial prejudicial view.
[01:36:31.235 --> 01:36:35.358]  Like we are seeing from the joke of a judge in Travis County, Texas.
[01:36:35.398 --> 01:36:44.546]  If you want to see what bad judges look like, if you want to see what judges who lack a judicious temperament look like, then you need to go no further than Travis County, Texas.
[01:36:45.504 --> 01:36:45.965]  Indeed.
[01:36:46.605 --> 01:36:56.035]  If I was down there the other day, and just when I came in the courtroom, the plaintiff's lawyer started hopping around like a bunny rabbit, yipping, Bobby Barnes, Bobby Barnes, Bobby Barnes.
[01:36:56.055 --> 01:36:57.376]  That's how nuts these people are.
[01:36:58.157 --> 01:37:01.440]  They're people that need a straitjacket, not anything else for Christmas.
[01:37:02.021 --> 01:37:03.562]  That's the nature of it.
[01:37:03.583 --> 01:37:08.387]  But what was more striking to me was I was wondering, how is there this case taking place?
[01:37:09.048 --> 01:37:12.591]  That appears to be nothing about what is supposed to be taking place.
[01:37:13.091 --> 01:37:24.500]  Purportedly, this trial in Travis County, Texas is only about damages because, contrary to American legal principles, Alex Jones has been a judge guilty without a trial by jury.
[01:37:24.980 --> 01:37:26.301]  So the only question is damages.
[01:37:26.541 --> 01:37:29.563]  Yet we've heard almost no evidence that's actually about damages.
[01:37:29.984 --> 01:37:35.828]  We've only heard a one-sided presentation of why one side thinks Alex Jones is guilty when he's already been a judge guilty.
[01:37:36.088 --> 01:37:37.770]  So why is any of that evidence coming in?
[01:37:38.470 --> 01:37:39.230]  Well, here's why.
[01:37:39.390 --> 01:37:45.152]  When I walked in, there were three big movie cameras set up in the courthouse.
[01:37:45.652 --> 01:37:46.892]  Three big movie cameras.
[01:37:47.012 --> 01:37:50.033]  One of them, by the way, staring right down at the jury.
[01:37:50.453 --> 01:37:59.075]  So the jury knows they're part of an ongoing future film because they can't avoid it because the big camera is staring at them the entire case.
[01:37:59.795 --> 01:38:01.437]  The, well, what is this about?
[01:38:01.477 --> 01:38:12.147]  This is about the losing Neverland production company getting the rights to film, exclusive rights by the judge, to film this show trial to create their own show trial.
[01:38:12.588 --> 01:38:16.011]  And that is why they're presenting evidence that has nothing at all to do with damages.
[01:38:16.432 --> 01:38:24.959]   Instead, all the evidence they're presenting is a one-sided presentation to keep up the median myth, the median narrative about Alex Jones!
[01:38:25.019 --> 01:38:27.540]  That Alex Jones only ever talked about Sandy Hook.
[01:38:27.560 --> 01:38:30.862]  That Alex Jones is the reason why anybody had doubts about Sandy Hook.
[01:38:31.102 --> 01:38:31.582]  All false!
[01:38:31.662 --> 01:38:32.342]  They know it's false.
[01:38:32.702 --> 01:38:41.506]  There were tens of millions of views of other YouTube shows and other various social media posts that challenged what happened at Sandy Hook long before Alex Jones said anything.
[01:38:42.046 --> 01:38:44.248]  Uh, about that particular subject matter.
[01:38:44.448 --> 01:38:46.230]  Or interviewed any of those particular witnesses.
[01:38:46.430 --> 01:38:47.331]  They were all over the place.
[01:38:47.351 --> 01:38:53.116]  There were media experts, law experts, philosophy experts, a bunch of people raising a whole bunch of different questions.
[01:38:53.416 --> 01:38:55.038]  They were all over the place.
[01:38:55.158 --> 01:38:56.719]  Anybody who remembers it, remembers it.
[01:38:57.120 --> 01:39:03.886]  I was one of the people trying to explain why it was not accurate, some of these theories, at the time, but that clearly the politicians were hiding something.
[01:39:04.466 --> 01:39:07.229]  So why is any of this evidence coming in in such a one-sided way?
[01:39:07.289 --> 01:39:10.331]  Well, it's coming in because this is for a movie!
[01:39:10.431 --> 01:39:13.114]  This is literally a show trial within a show trial!
[01:39:13.414 --> 01:39:15.236]  A show trial for a show trial!
[01:39:15.576 --> 01:39:28.448]  The goal is to basically create a show that's gonna actually be a televised show, and here's the benefit to the production crew, to the future HBO folks, whoever else is making it.
[01:39:29.048 --> 01:39:48.655]  Is that now they can do this one-sided presentation, lead people to falsely believe it was actually an impartial trial on all of the evidence, when it was only a one-sided presentation of one side of the evidence, and because they are filming it in court, they can't be sued for lying.
[01:39:49.375 --> 01:39:59.198]  Because when you produce, when you republish or rebroadcast something that happens in court, then it's not subject to, it is immune from defamation and libel claims.
[01:39:59.559 --> 01:40:11.383]  However, if the judge allowed Alex Jones' side to actually be heard, meaningfully, to present all of the evidence, to present all of the videos, according to the plaintiff's counsels, any editing of videos is altered.
[01:40:11.623 --> 01:40:16.804]  Well, that means all of their evidence in the entire trial is altered evidence by their own definition.
[01:40:17.204 --> 01:40:20.944]   But why do they want that altered evidence for an altered story?
[01:40:20.944 --> 01:40:25.604]   Because the judge wants to be able to afford this production crew to systematically build
[01:40:25.604 --> 01:40:31.765]   a fake narrative, a permanent show documentary of a show trial, a show about a show trial,
[01:40:31.765 --> 01:40:35.264]   in order to get people to believe something that's totally false.
[01:40:35.264 --> 01:40:39.403]   Because if Alex Jones was allowed to present his side of the story, then they would have
[01:40:39.403 --> 01:40:44.805]   to include those aspects in the documentary because it wouldn't be fair reporting of the
[01:40:44.805 --> 01:40:45.684]  court proceeding.
[01:40:46.126 --> 01:40:52.511]  You can't just report one side of a court proceeding and thereby claim immunity if you repeated a false statement.
[01:40:52.891 --> 01:40:58.475]  You can only do that if you impartially and neutrally and fairly reported what happened in court.
[01:40:58.975 --> 01:41:08.803]  So that's why the judge is rigging the court proceeding to make sure that the script, and this is literally a script, a script gets told in a certain way for future audiences.
[01:41:09.144 --> 01:41:15.409]  The goal will be for, particularly people who've never known, never heard about Alex Jones, to say, you can't go to Alex Jones.
[01:41:15.629 --> 01:41:16.250]  He's dangerous.
[01:41:16.270 --> 01:41:17.290]  You can't go to InfoWars.
[01:41:17.310 --> 01:41:17.931]  That's dangerous.
[01:41:18.311 --> 01:41:27.339]  Those are the people that did this horrible thing as found by an impartial independent jury after a full admission of the case where Alex Jones was there to present a defense.
[01:41:27.839 --> 01:41:30.781]  That's the goal of even having any kind of trial at all.
[01:41:31.242 --> 01:41:38.248]  It's to be able to create the perception, the false perception, that there was actually a meaningful trial that occurred here, when there wasn't.
[01:41:38.608 --> 01:41:40.649]  This trial is a joke of a trial.
[01:41:40.910 --> 01:41:50.357]  It does not conform to any constitutional standard, or any rule of law standard, or any even rule of evidence standard about how these cases are supposed to progress and proceed.
[01:41:51.258 --> 01:41:54.961]  And that is why you're witnessing what you are witnessing in Travis County.
[01:41:55.301 --> 01:42:02.367]  That's the same reason, most likely, that the judge is often taking down the videos right after the trial happens.
[01:42:02.567 --> 01:42:04.689]  She doesn't want the world to see the real trial.
[01:42:04.749 --> 01:42:06.671]  She doesn't want the world to see the real evidence.
[01:42:07.011 --> 01:42:10.294]  That's why this is truly a show trial within a show trial.
[01:42:10.814 --> 01:42:18.359]  When we come back we're going to discuss the various latest globalist plans that are either backfiring or maybe backfiring on the rest of us.
[01:42:18.859 --> 01:42:22.001]  That and more after the break here at InfoWars.
[01:42:22.982 --> 01:42:24.703]  Welcome back to the Alex Jones Show!
[01:42:24.763 --> 01:42:26.564]  This is Robert Barnes guest hosting.
[01:42:27.245 --> 01:42:29.246]  Have you heard about SB 107?
[01:42:30.367 --> 01:42:33.249]  A recommended piece of legislation from California?
[01:42:33.989 --> 01:42:39.113]  Well let me give you what their description is according to publications favorable to it.
[01:42:40.109 --> 01:42:46.362]  It's California's trans refuge bill, that's what they're calling it, could create a safe haven for trans youth.
[01:42:48.045 --> 01:42:50.029]  The California is trying to propose a bill.
[01:42:50.993 --> 01:43:05.539]  That the way in which it provides this protection is it would prohibit California from complying with any out-of-state subpoenas concerning medical information or other information about trans youth.
[01:43:05.659 --> 01:43:11.962]  In other words, youth that are undergoing medical experimentation as children to transition into a different gender.
[01:43:12.903 --> 01:43:19.025]  It would also reject out-of-court state judgments that threaten to remove children from their homes.
[01:43:19.325 --> 01:43:20.106]  Now what does that mean?
[01:43:20.885 --> 01:43:29.551]  What all of this really entails is there's a full faith and credit clause of the United States Constitution that requires each state to recognize another state's judgment.
[01:43:29.932 --> 01:43:34.915]  It cannot unilaterally override that state's judgment based on internal legislation.
[01:43:35.516 --> 01:43:42.601]  There's also other provisions, in particular in the family context, that also require respect and recognition of another state's judgment.
[01:43:43.202 --> 01:43:47.185]  This is, in fact, the article goes on to detail, this is focused on Texas particularly.
[01:43:47.805 --> 01:43:59.019]  Texas has made clear, as the Attorney General and others, and the Governor, that attempts to force medical transitioning onto young children is child abuse.
[01:43:59.479 --> 01:44:09.307]   The reason why they have concluded that is based on a wide range of medical evidence That basically challenges and questions whether or not this could be ever a good idea for people.
[01:44:09.707 --> 01:44:14.729]  There are many people already complaining that went through the treatment, saying this treatment was a bad idea.
[01:44:14.929 --> 01:44:16.229]  I wish I never would have gone through it.
[01:44:16.609 --> 01:44:17.870]  I was too young when I took it.
[01:44:18.050 --> 01:44:19.870]  I wasn't in a state of informed consent.
[01:44:20.430 --> 01:44:22.531]  My parents were misguided and misdirected.
[01:44:22.871 --> 01:44:24.912]  My doctor gave me poor information.
[01:44:25.632 --> 01:44:44.433]  And so because of it, they're trying to prohibit it in the state of Texas, or at least punish it and prescribe it as a form of child abuse to force a young child to undergo medical transition, surgeries, or other chemical treatment that could have permanent altering effects on their well-being.
[01:44:45.074 --> 01:44:53.260]  So California's response to this is to try to pass a special law that basically says we're not going to recognize Texas law.
[01:44:53.760 --> 01:45:13.512]   Not only that, if you have a judgment against you as a parent for child abuse, or if you have a judgment against you in terms of custody, or if there's evidence that is in California concerning your abuse, Then now you can escape to California, and California is a welcome kitty abusers state for the whole country.
[01:45:13.532 --> 01:45:26.238]  They're not only a sanctuary for illegal immigration, not only a sanctuary for abortions that would be illegal in a particular state, they're now going to be sanctuaries for child abusers and those who would harm children.
[01:45:26.918 --> 01:45:50.063]  And allow those children to mostly they're not going to be going by themselves unless California plans on just effectively legally kidnapping kids from across the country so that they come without their parents to California and are able to undergo this experimental treatment that has caused so much harm to so many people as has been reported in the literature and by those individuals themselves.
[01:45:51.123 --> 01:46:10.671]  Presumably it is also an encouragement for parents who lose custody battles in Texas or lose or in other states or lose other battles in Texas concerning their efforts to force trans treatment on their children to be able to escape to California without any consequences for that.
[01:46:10.751 --> 01:46:12.851]  Without any legal consequences for that.
[01:46:13.352 --> 01:46:19.274]  This is a flagrant violation of the full faith and credit clause of the United States Constitution.
[01:46:19.954 --> 01:46:25.797]  It is a complete violation of federal law specifically written as part of treaties.
[01:46:26.237 --> 01:46:38.183]  The Uniform Interstate Family Support Act and other legislation like it that I've litigated in the past on behalf of Wesley Snipes and others when it's been misused and abused by jurisdictions previously.
[01:46:38.743 --> 01:46:40.885]  That this is an attempt to violate that as well.
[01:46:40.985 --> 01:47:01.481]   So it's a flagrant ignoring of federal law, flagrant violation of constitutional principle, and a flagrant attempt to interfere with the parent-child relationship and the interfere and create and incentivize children getting these experimental Treatments that again many have complained about later.
[01:47:01.861 --> 01:47:04.503]  That's the state of mind in California.
[01:47:04.543 --> 01:47:10.887]  That is why anybody who stays in California, if you're there, you should only be there because you have no other choice.
[01:47:11.087 --> 01:47:13.809]  This is the direction California is going in.
[01:47:14.449 --> 01:47:19.274]  As City Journal reported today, its educational experiment has been a complete debacle.
[01:47:19.754 --> 01:47:22.317]  Its economic experiment has been a complete debacle.
[01:47:22.697 --> 01:47:26.621]  Here you have a state with some of the most natural beauty in the entire world.
[01:47:27.182 --> 01:47:33.608]  A state that has Hollywood and the movie industry and much of the music industry located within it.
[01:47:34.048 --> 01:47:38.913]  And yet the most common thing you will find in California these days is a U-Haul truck.
[01:47:39.253 --> 01:47:40.374]  For people moving out.
[01:47:40.674 --> 01:47:41.695]  For people getting out.
[01:47:41.895 --> 01:47:52.825]  Indeed, it began to net lose population for the first time in its entire history in the past few years due to the effects of its policies and politics.
[01:47:53.185 --> 01:47:56.047]  And this is despite being a sanctuary state for illegal immigration.
[01:47:56.388 --> 01:48:00.951]  So this means its citizens are really fleeing and trying to get out of California.
[01:48:01.272 --> 01:48:02.853]  Or commie-fornia as I like to call it.
[01:48:03.193 --> 01:48:06.136]  And this latest bit of legislation is a revelation on it.
[01:48:06.616 --> 01:48:12.278]  Similarly, Massachusetts is passing abortion laws that are an attempt to interfere with other states' laws.
[01:48:12.738 --> 01:48:20.001]  Because it's one thing to say, if you come to Massachusetts, we recognize abortion at whatever rate we choose to do so.
[01:48:20.561 --> 01:48:23.382]  That's Massachusetts business, according to the U.S.
[01:48:23.402 --> 01:48:24.483]  Supreme Court's decision.
[01:48:25.123 --> 01:48:40.656]  What it is not Massachusetts business is to try to interfere with Alabama or interfere with Pennsylvania or interfere with Ohio and induce people to violate laws in Ohio by coming to Massachusetts to do certain procedures.
[01:48:41.157 --> 01:48:48.143]  At that point it becomes a conspiracy to commit a crime in the state of Ohio which the state itself is becoming complicit in.
[01:48:48.683 --> 01:48:50.865]  But that is the direction things are going in.
[01:48:50.925 --> 01:48:51.365]  And why?
[01:48:51.425 --> 01:48:59.551]  What is the common theme between this Massachusetts case, the California case, and even what's happening in Austin and Alex Jones' case?
[01:48:59.591 --> 01:49:01.392]  Or what happened to Steve Bannon?
[01:49:01.433 --> 01:49:03.514]  Or what's happening in the January 6th trials?
[01:49:03.554 --> 01:49:12.301]  Or what's happening in the Justice Department trying to weaponize its power against Donald John Trump to prevent him from running for office in 2024 with a bogus indictment?
[01:49:12.401 --> 01:49:15.203]  Or the Fulton County, Georgia's office trying to do the same?
[01:49:15.563 --> 01:49:19.925]  What they all have in common is that the left views the law differently than everybody else.
[01:49:20.386 --> 01:49:23.287]  The left views the law as simply a tool.
[01:49:23.507 --> 01:49:24.908]  As simply a means.
[01:49:25.388 --> 01:49:27.189]  All they care about is the outcome.
[01:49:27.629 --> 01:49:29.650]  They don't care if you have due process of law.
[01:49:29.910 --> 01:49:32.132]  They don't care if constitutional rights are respected.
[01:49:32.392 --> 01:49:36.714]  They don't care if the process is done by trial by jury, trial by judge, or trial by nobody.
[01:49:37.074 --> 01:49:38.736]  They only care about the outcome.
[01:49:39.096 --> 01:49:41.838]  Does the outcome conform to their policy objective?
[01:49:42.139 --> 01:49:47.623]  And they're willing and ready and eager to weaponize everything to get there.
[01:49:48.024 --> 01:49:50.826]  They're willing to ignore compacts between the states.
[01:49:51.127 --> 01:49:52.628]  They're willing to ignore U.S.
[01:49:52.668 --> 01:49:53.909]  constitutional restrictions.
[01:49:54.189 --> 01:49:55.951]  They're willing to ignore federal law.
[01:49:56.211 --> 01:49:58.353]  They're willing to ignore, in some cases, their own state law.
[01:49:58.193 --> 01:50:02.912]   laws applicable to a set of circumstances. They're willing to ignore in some cases their own governor,
[01:50:02.912 --> 01:50:06.993]   as has happened repeatedly in Texas, with the Republic of Austin trying to pretend it's
[01:50:06.993 --> 01:50:09.782]  independent quite frequently throughout the pandemic.
[01:50:09.782 --> 01:50:14.583]   Indeed, the Fifth Circuit Court of Appeals had to reaffirm once again that the state of Texas
[01:50:14.583 --> 01:50:20.092]   has the right to not allow school mask mandates to go into place because lower courts in Texas and
[01:50:20.092 --> 01:50:25.103]   other officials in Texas were ignoring that order. It's all part of a pattern, and it's one we
[01:50:25.103 --> 01:50:30.672]   have to come to terms with and recognize in dealing with the modern-day legal left, which is they do
[01:50:30.672 --> 01:50:32.672]  not believe in the rule of law.
[01:50:32.842 --> 01:50:34.363]  They only believe in the rule of results.
[01:50:34.923 --> 01:50:41.344]  They only believe that he who has the power rules, not that he who rules should rule conscientiously or constitutionally.
[01:50:41.744 --> 01:50:49.646]  And until we accept that and understand that, we won't be able to meaningfully predict what they do or resist what they do, as all of you continue to do.
[01:50:50.186 --> 01:51:02.955]  When we come back into the Court of Public Opinion and other matters, we will be discussing whether or not Trump's indictment could in fact prevent his candidacy in 2024, or whether it will just be a little bump on the road.
[01:51:03.455 --> 01:51:06.638]  Welcome back to the Alex Jones Show, Robert Barnes guest hosting.
[01:51:07.478 --> 01:51:13.360]  Up a little bit later, the effort to unravel who exactly was on that Epstein list.
[01:51:14.020 --> 01:51:23.524]  Efforts are being made in court to finally expose who was on Epstein's list, who was in Epstein's little black book that they hid during the Ghislaine Maxwell trial.
[01:51:24.204 --> 01:51:41.552]  And we'll be discussing that and more, and discuss maybe a little bit of the background of Ghislaine Maxwell, and why Epstein may have actually been recruited into the Maxwell extortion and blackmail ring, rather than be the one who recruited Maxwell into it, involving a little story about her father.
[01:51:42.012 --> 01:51:45.774]  Might even involve a brief little story about Bill Barr and his dad.
[01:51:46.624 --> 01:51:51.786]  But before that, a good article in Compact Magazine today by Michael Anton.
[01:51:51.846 --> 01:52:07.315]   Michael Anton is a great scholar and intellectual associated with both Hillsdale and Claremont, has been one of the key advocates for Trump all the way back to the 2016 campaign, and he wrote a good article entitled They can't let him back in.
[01:52:07.675 --> 01:52:09.516]  This is at Compact Magazine.
[01:52:10.117 --> 01:52:12.338]  And what does Michael Anton mean?
[01:52:12.378 --> 01:52:14.099]  Well, let's read from part of the article.
[01:52:14.719 --> 01:52:27.705]   The people who really run the United States of America have made it clear that they can't and won't If they can help it, allow Donald Trump to be president again.
[01:52:28.325 --> 01:52:32.766]  In fact, they've made this clear many, many, many times.
[01:52:33.346 --> 01:52:40.109]  And he goes through what's really behind all of this, and that it's a real threat, and a plausible threat, and a credible threat to Trump.
[01:52:40.489 --> 01:52:53.762]   Because what you're really seeing, if you want a parallel, go back and look at Axios' article from a couple of weeks ago, where Axios outed that people around Trump are planning and coordinating to take out the deep state
[01:52:53.762 --> 01:52:56.551]   when and if Trump gets back in.
[01:52:56.551 --> 01:53:00.671]  And why is that significant?
[01:53:00.671 --> 01:53:02.032]  That's really a signal.
[01:53:02.032 --> 01:53:04.292]  It isn't Trump's people who are leaking that.
[01:53:04.292 --> 01:53:09.551]   That is a signal to the deep state that Trump is coming for the deep state.
[01:53:09.551 --> 01:53:11.871]  Now why does that matter?
[01:53:11.967 --> 01:53:24.896]  Our interview yesterday with Mark Grobaer went into some details about why it mattered because it parallels what the deep state was up to during the presidential campaign of one Robert Francis Kennedy in 1968.
[01:53:25.237 --> 01:53:25.837]  And how did that end?
[01:53:28.459 --> 01:53:31.763]  So it's the same perilous threat to the President.
[01:53:31.903 --> 01:53:36.508]  An effort first will be made to indict him and to remove him by other legal means.
[01:53:37.009 --> 01:53:40.813]  The other effort that has already been afoot for the last year has been January 6th.
[01:53:40.833 --> 01:53:45.538]  I mean basically what you have had since arguably August of 2016.
[01:53:47.060 --> 01:53:50.641]  Is a continuous effort of a coup against Donald Trump.
[01:53:51.041 --> 01:54:01.264]  First to prevent his campaign from being successful in 2016, then multiple efforts to derail his presidency beginning from the day he got elected.
[01:54:01.684 --> 01:54:03.645]  Indeed, from the day he got nominated.
[01:54:04.085 --> 01:54:05.846]  Some of this goes all the way back to March of 2016.
[01:54:05.906 --> 01:54:11.510]  This has been a continuous effort to destroy the presidency of Donald Trump.
[01:54:12.090 --> 01:54:12.430]  Why?
[01:54:12.691 --> 01:54:14.372]  To protect the deep state.
[01:54:14.752 --> 01:54:23.698]  When Michael Anton talks about those who really run America, you can make a reasonable inference as to who it is he is in fact talking about.
[01:54:24.298 --> 01:54:29.980]  And for people out there that sometimes question what the Deep State is, the Deep State actually has an old history.
[01:54:30.120 --> 01:54:45.966]  It goes back to The Economist, a writer for The Economist in the 19th century, late 1800s, trying to describe what was happening to Britain in the rise of its colonial empire as to how so much of its government could be immune and impervious from public will and public opinion.
[01:54:46.366 --> 01:54:49.828]  And the reason was because a dual state had developed.
[01:54:50.228 --> 01:54:52.329]  One that was elected, one that wasn't.
[01:54:52.769 --> 01:55:04.935]  And this administrative dual state increasingly governed actual well-being of government policies without regard to what the public wanted or insisted upon or whom even they elected.
[01:55:05.695 --> 01:55:24.568]  The same pattern continued, and when the various German philosophers and political scientists escaped Nazi Germany, they tried to understand the rise of fascism in both Italy and Germany, and they concluded it was the same dual state administrative state apparatus that facilitated the rise of Nazism and fascism in Europe.
[01:55:25.248 --> 01:55:45.024]  In the same vein, it was the left historian Peter Dale Scott in the late 1960s who used the phrase, how do you explain the dual state when it has national security power, when it has military power, when it has law enforcement power, when it's at the top of the political hierarchy of our law enforcement and military institutions?
[01:55:45.405 --> 01:55:48.267]  Well, really it's a dual state that is deeply entrenched.
[01:55:48.687 --> 01:55:50.269]  In other words, a deep state.
