[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[01:32:35.409 --> 01:32:38.571]  Well, in the words of John Paul Jones, the founder of the U.S.
[01:32:38.611 --> 01:32:44.055]  Navy, when a British ship twice their size said surrender, he said, I've only begun to fight.
[01:32:44.815 --> 01:32:45.536]  And of course he won.
[01:32:47.370 --> 01:32:52.332]  It does sicken me, though, that America has this much political rot, and these people are that authoritarian.
[01:32:52.812 --> 01:32:57.474]  And I've openly gone to my original radio network that still syndicates the show.
[01:32:57.954 --> 01:33:04.077]  I syndicate two-thirds of it, they syndicate the other third, they carry it, because I didn't want to fully leave GCN right around ten years ago.
[01:33:04.097 --> 01:33:12.880]  Because I liked Ted, and Ted stood up for me when the First Amendment issues, and when I got fired from a local station for free speech, and for what I was saying.
[01:33:13.955 --> 01:33:17.378]  And now they've come to him and said, we want your network, we want it all, period.
[01:33:18.439 --> 01:33:19.420]  They sued him along with me.
[01:33:19.560 --> 01:33:20.781]  They're not suing our radio stations.
[01:33:20.801 --> 01:33:21.422]  They can't do that.
[01:33:21.462 --> 01:33:22.883]  That's not even in the law.
[01:33:23.323 --> 01:33:24.304]  So the stations are fine.
[01:33:24.644 --> 01:33:25.986]  But they want the syndicator.
[01:33:26.026 --> 01:33:27.567]  Well, he wasn't technically the syndicator then.
[01:33:27.607 --> 01:33:28.268]  He was a carrier.
[01:33:28.548 --> 01:33:29.148]  But it doesn't matter.
[01:33:29.168 --> 01:33:33.012]  It's part of the next level of debanking, deplatforming, harassment.
[01:33:33.032 --> 01:33:34.333]  And so people are saying, oh really?
[01:33:35.923 --> 01:33:36.403]  Oh my God!
[01:33:36.423 --> 01:33:42.307]  I mean, part of me wants to just not fight this stuff and shut down, so people actually know how real this was.
[01:33:42.907 --> 01:33:46.149]  And then we'd be flooded with support to start something completely new.
[01:33:46.789 --> 01:33:50.411]  But I'm not going to give up with this great crew and do all this.
[01:33:50.471 --> 01:33:53.953]  I mean, part of me wants to just go, you know, lie on a beach while the world burns.
[01:33:54.013 --> 01:33:57.415]  But we can't do that because we were built for this moment.
[01:33:57.455 --> 01:33:58.276]  We were made for this.
[01:33:58.356 --> 01:33:59.677]  Everything we talked about is happening.
[01:33:59.937 --> 01:34:01.177]  DHS just came out.
[01:34:01.277 --> 01:34:02.738]  Huge article on Infowars.com.
[01:34:02.978 --> 01:34:03.839]  I'll cover it when Ted leaves.
[01:34:04.827 --> 01:34:10.593]  Saying, quote, unsanctioned speech is causing terror and needs to be banned.
[01:34:11.073 --> 01:34:17.680]  That's DHS, like I told you last June, but now it's official, declaring free speech terrorism.
[01:34:19.421 --> 01:34:24.526]  Saying, we're going to have terror attacks as people are questioning open borders, election fraud, and lockdowns.
[01:34:24.706 --> 01:34:28.270]  It now says it in the official bulletin.
[01:34:30.464 --> 01:34:31.645]  Says unsanctioned.
[01:34:32.005 --> 01:34:33.666]  You've got to have sanctioned speech.
[01:34:33.826 --> 01:34:38.889]  And they've got a bill where only approved media is allowed on major platforms.
[01:34:39.469 --> 01:34:41.791]  A law to ban unapproved stuff.
[01:34:42.551 --> 01:34:44.913]  The Democrats are trying to pass it in the House.
[01:34:45.213 --> 01:34:46.714]  It's sponsored by Pelosi.
[01:34:47.294 --> 01:34:48.595]  That's North Korea!
[01:34:49.295 --> 01:34:53.438]  So folks, we are overdone for a peaceful revolution in this country.
[01:34:53.838 --> 01:34:55.179]  We are cooked right now.
[01:34:55.259 --> 01:34:56.520]  This is insane.
[01:34:57.420 --> 01:35:09.465]   And Ted Anderson After spending $300,000, $400,000, $500,000 the last four years being signed onto this lawsuit with us, he gets defaulted, even though he has his own lawyer, gave them all the stuff they wanted.
[01:35:09.765 --> 01:35:11.126]  They just count us all as one.
[01:35:11.806 --> 01:35:12.827]  You didn't give us anything.
[01:35:12.907 --> 01:35:13.487]  Not true.
[01:35:14.148 --> 01:35:18.811]  Then they use all the contacts and info they got to then try to take us down.
[01:35:19.071 --> 01:35:29.098]  And they come to Ted and they say, turn over your old network to us with all those shows and the 700 plus affiliates, and we'll just leave you alone.
[01:35:30.287 --> 01:35:31.487]  Well, what are you going to do with the network?
[01:35:31.507 --> 01:35:32.448]  This is total surrender.
[01:35:32.468 --> 01:35:33.548]  Just surrender it right now.
[01:35:34.189 --> 01:35:46.013]  And so Ted said, well, he told me, like I said, he was planning already to maybe phase out because of talk radio in decline and he's losing money, but he can also get some sponsors for his own products.
[01:35:46.433 --> 01:35:47.114]  He's on the fence.
[01:35:47.194 --> 01:35:47.714]  And now this.
[01:35:49.068 --> 01:35:50.129]  And Ted wants to fight.
[01:35:50.649 --> 01:35:52.530]  And so, folks, he needs you to fight with him.
[01:35:53.351 --> 01:35:54.271]  This is so important.
[01:35:54.291 --> 01:35:57.953]  We need to see explosive giving at SaveGCN.com.
[01:35:58.214 --> 01:36:02.036]  He needs at least $300,000 just through this one trial he's facing in Connecticut.
[01:36:02.814 --> 01:36:03.014]  Okay?
[01:36:03.034 --> 01:36:04.255]  And then he faces the judgment.
[01:36:04.436 --> 01:36:05.557]  He's willing to face that.
[01:36:05.877 --> 01:36:07.799]  He just needs the money for the fight.
[01:36:08.059 --> 01:36:09.540]  So he's a warrior for free speech.
[01:36:09.840 --> 01:36:10.821]  I wouldn't have been syndicated.
[01:36:10.921 --> 01:36:13.924]  Alex Jones wouldn't have had the success I've had if it wasn't for Ted Anderson.
[01:36:14.184 --> 01:36:15.826]  And I appreciate him being a fighter.
[01:36:16.366 --> 01:36:18.568]  So savegcn.com.
[01:36:18.608 --> 01:36:19.689]  Savegcn.com.
[01:36:20.050 --> 01:36:21.511]  And saveinfowars.com.
[01:36:21.791 --> 01:36:22.211]  Go there.
[01:36:22.312 --> 01:36:23.052]  Make a donation.
[01:36:23.132 --> 01:36:24.874]  It takes millions to fight these people.
[01:36:25.394 --> 01:36:36.760]  And if folks would just give us big donations, if people would just support us, if they just step up and support us now, I wouldn't spend 30-40% of my time trying to get money, and plugging, and messing the show up, having to ask for help.
[01:36:36.780 --> 01:36:38.841]  But we won't be here if we don't do this.
[01:36:38.921 --> 01:36:41.002]  So, buy products at InfoWareStore.com.
[01:36:41.302 --> 01:36:45.224]  Get your Scorable Food 25% off from us right now at Preparadox.com.
[01:36:45.664 --> 01:36:49.986]  But the biggest thing we need is, with food we're making, with this discount, normally it's 30%, 25%, 20%.
[01:36:53.007 --> 01:36:55.208]  So yeah, millions of dollars come in, but it's hundreds of thousands of dollars.
[01:36:55.268 --> 01:36:55.568]  Fun things.
[01:36:55.588 --> 01:36:55.969]  Doesn't do it.
[01:36:56.809 --> 01:36:57.950]  Same thing with supplements, okay?
[01:36:57.970 --> 01:37:00.131]  You know, we make 50% or whatever on average.
[01:37:00.991 --> 01:37:02.132]  Other people market up way more.
[01:37:02.672 --> 01:37:04.853]  T-shirts, you know, we might make $5 on them.
[01:37:05.494 --> 01:37:07.755]  But with this, you go give, you donate.
[01:37:08.155 --> 01:37:08.715]  We give 5%.
[01:37:08.755 --> 01:37:09.816]  They don't even ask for it.
[01:37:09.976 --> 01:37:10.856]  Give, send, go, so awesome.
[01:37:10.876 --> 01:37:11.377]  Ask for nothing.
[01:37:11.557 --> 01:37:16.059]  But you can, we opt in to support them, an independent group that now the truckers are using for 5%.
[01:37:17.160 --> 01:37:21.703]   And so they've gotten 5% of the $700,000 we've raised.
[01:37:22.004 --> 01:37:26.845]  Half of that was for Owen's defense, which it cost that to go to DC and have a criminal trial and face all that.
[01:37:26.865 --> 01:37:27.905]  That's about what it costs.
[01:37:27.925 --> 01:37:28.965]  He's got the money he needs now.
[01:37:30.026 --> 01:37:30.926]  But what about Infowars?
[01:37:30.966 --> 01:37:33.467]  It takes us millions at save Infowars to do this.
[01:37:33.687 --> 01:37:34.607]  That's why our goal is $2 million.
[01:37:35.167 --> 01:37:36.788]  We've raised 19% of what we need.
[01:37:37.128 --> 01:37:38.548]  This is a war, people!
[01:37:39.068 --> 01:37:40.489]  Ted Anderson, we got five minutes left.
[01:37:40.509 --> 01:37:41.369]  I really appreciate you.
[01:37:41.829 --> 01:37:43.349]  Just again, you said great things earlier.
[01:37:43.369 --> 01:37:45.690]  Other comments you'd like to impart to folks?
[01:37:46.792 --> 01:37:54.975]  Well, first of all, just think, if you raise $9 million in this Trucker thing, and the global elite come in and they say, hey, you've got to shut this down.
[01:37:55.075 --> 01:37:56.115]  And they shut it down.
[01:37:56.395 --> 01:37:58.796]  And these people were going to keep the money for themselves.
[01:37:59.896 --> 01:38:01.416]  Thank God they were down in Florida.
[01:38:01.457 --> 01:38:02.717]  It seemed like the Santas gave them the money.
[01:38:02.757 --> 01:38:03.157]  That's right.
[01:38:03.177 --> 01:38:06.938]  GoFundMe said, we're keeping the money for leftist groups, until the Santas said that's criminal.
[01:38:06.978 --> 01:38:08.419]  I mean, that's how criminal the left is.
[01:38:09.839 --> 01:38:10.739]  Yeah, I know.
[01:38:10.779 --> 01:38:11.560]  So what?
[01:38:11.700 --> 01:38:15.881]  So they're going to come in, and they're going to take the money, and they're going to keep it for themselves?
[01:38:16.591 --> 01:38:19.413]  I mean, that's what cancel culture is all about.
[01:38:20.017 --> 01:38:22.138]  That's why you have to support the Infowars.
[01:38:22.458 --> 01:38:28.419]  That's why you have to go to this SaveGCN.com and make your donation.
[01:38:28.979 --> 01:38:31.000]  I mean, this is an expensive fight.
[01:38:31.300 --> 01:38:33.301]  It takes money to go to court.
[01:38:33.941 --> 01:38:35.341]  You have to have attorneys.
[01:38:35.381 --> 01:38:36.441]  You have to go in.
[01:38:36.702 --> 01:38:38.182]  And you have to do the depositions.
[01:38:38.242 --> 01:38:39.942]  And you have all these things that are happening.
[01:38:40.262 --> 01:38:43.683]  And by the time you hit the end, it costs a lot of money.
[01:38:44.003 --> 01:38:49.305]  Not to mention the fact you have to have employees in order just to keep the whole show on air.
[01:38:49.785 --> 01:38:55.750]  So yeah, without a question, if you can do that now at this point in time, go to SaveInfoWars.com.
[01:38:55.770 --> 01:38:58.612]  That's SaveInfoWars.com.
[01:38:58.912 --> 01:38:59.833]  Make a donation.
[01:39:00.294 --> 01:39:04.897]  And if you can do it, go to SaveGCNLive.com and do it as well.
[01:39:05.017 --> 01:39:05.918]  We'll take your prayers.
[01:39:06.158 --> 01:39:07.239]  We need your donations.
[01:39:07.619 --> 01:39:08.800]  We need to fight this fight.
[01:39:09.221 --> 01:39:12.083]  If we don't fight, they're going to roll over us like steamrollers.
[01:39:12.143 --> 01:39:19.290]   Why would you want us to Absolutely, and that's why InfoWars has built its own satellite links, its own servers, its own infrastructure.
[01:39:19.210 --> 01:39:34.649]  shut down by cancel culture anyways.
[01:39:34.724 --> 01:39:37.885]  We're now the model of how to survive under these attacks.
[01:39:38.005 --> 01:39:40.086]  And now, I mean, look at all the depositions.
[01:39:40.126 --> 01:39:41.647]  It's radio networks, satellites.
[01:39:41.947 --> 01:39:43.028]  Who is your satellite provider?
[01:39:43.068 --> 01:39:43.708]  Who are you on?
[01:39:43.768 --> 01:39:45.669]  And it's all about targeting.
[01:39:46.009 --> 01:39:50.611]  Just like in Empire Strikes Back, when they get, they go, target, shield generator, maximum firepower.
[01:39:51.011 --> 01:39:54.393]  And that's what they want is to literally take us off air.
[01:39:54.433 --> 01:39:54.953]  They admit it.
[01:39:55.253 --> 01:39:57.554]  And it's a military operation for them.
[01:39:57.854 --> 01:39:59.555]  They are conquering America right now.
[01:40:01.530 --> 01:40:12.333]  Yeah, and without a question, if something isn't done at this point, there won't be hope for free speech in the future, as far as I'm concerned.
[01:40:12.693 --> 01:40:16.114]  You can't go to YouTube and post a video unless you follow their rules.
[01:40:16.454 --> 01:40:20.255]  You can't go to Facebook and post a posting unless you follow the rules.
[01:40:20.655 --> 01:40:27.457]  I mean, you do have to have your own servers, you have to have your own platforms, and both you and I have done that to start with.
[01:40:27.897 --> 01:40:31.358]  These guys weren't even available for us to use their platforms.
[01:40:31.658 --> 01:40:39.201]  When YouTube came out and you were able to post videos, it wasn't too long before they threw you off the air and that audience was not even able to find you.
[01:40:39.661 --> 01:40:42.502]  Thank God you have the services that you have now.
[01:40:42.822 --> 01:40:44.563]  The servers and everything you need.
[01:40:44.843 --> 01:40:46.024]  But that takes engineering.
[01:40:46.084 --> 01:40:46.604]  It takes staff.
[01:40:46.624 --> 01:40:47.004]  That's right.
[01:40:47.024 --> 01:40:50.246]  George Soros and Bloomberg, on record, have ordered us to be taken off the air.
[01:40:50.266 --> 01:40:52.647]  And they've got armies of mercenaries trying to do it.
[01:40:52.927 --> 01:40:55.728]  And we don't have George Soros or Bloomberg or Senator Blumenthal.
[01:40:56.088 --> 01:40:57.909]  We have you, listeners.
[01:40:58.229 --> 01:40:59.810]  So thank you so much for your support.
[01:41:00.210 --> 01:41:05.613]  SaveGCN.com or SaveInfoWars, ladies and gentlemen.
[01:41:06.013 --> 01:41:09.835]  And that is how you support us because this is a major, major fight.
[01:41:09.855 --> 01:41:13.598]   I want to thank Brad Stuckey and all the folks that we see doing it.
[01:41:13.678 --> 01:41:16.020]  You are the tip of the spear and you are in this fight.
[01:41:16.260 --> 01:41:17.200]  This isn't just talk radio.
[01:41:17.241 --> 01:41:18.161]  This is entertainment.
[01:41:18.462 --> 01:41:22.845]  This is hardcore battling with the globalist, with the new world order.
[01:41:23.245 --> 01:41:24.687]  Ted Anderson, thank you so much.
[01:41:24.707 --> 01:41:26.068]  We'll get an update from you next week.
[01:41:26.328 --> 01:41:28.810]  And I really appreciate you standing up for us.
[01:41:29.050 --> 01:41:29.631]  I guess I've been what?
[01:41:29.651 --> 01:41:30.852]  I've been working with you 26 years.
[01:41:30.892 --> 01:41:31.372]  How long is it?
[01:41:32.613 --> 01:41:33.054]  Oh, gosh.
[01:41:33.114 --> 01:41:33.894]  It's been, yeah, about 26 years.
[01:41:35.302 --> 01:41:37.062]  What a wonderful 26 years, too.
[01:41:37.603 --> 01:41:38.543]  Great fight, I gotta tell you.
[01:41:38.823 --> 01:41:41.043]  Hey, we changed the world already with our listeners helping us.
[01:41:41.063 --> 01:41:41.724]  We did it together.
[01:41:41.764 --> 01:41:42.124]  Thank you.
[01:41:42.564 --> 01:41:44.004]  Save at GCN.com.
[01:41:44.304 --> 01:41:45.324]  Ted's not backing down.
[01:41:45.745 --> 01:41:46.545]  He's rolling the dice.
[01:41:46.585 --> 01:41:47.645]  He may get a big judgment on him.
[01:41:47.845 --> 01:41:49.826]  He just wants to be able to fight and tell the truth.
[01:41:49.866 --> 01:41:51.466]  He did nothing wrong but be an American.
[01:41:51.706 --> 01:41:52.286]  We'll be right back.
[01:41:52.105 --> 01:42:03.385]  Stay with us.
[01:42:03.951 --> 01:42:10.295]  With the globalists plotting their next big lockdown, or the next phase of the Great Reset, being a staged cyber attack.
[01:42:10.716 --> 01:42:16.780]  With the deep state pushing a civil war, not just here, but in Europe, and war with Russia.
[01:42:17.220 --> 01:42:29.048]  With the massive inflation and all the other garbage that's taking place, like supply chain breakdowns, you need to get prepared now with high quality, storable food that is ready to ship.
[01:42:29.488 --> 01:42:37.695]   And it's been four years since my Patriot Supply at preparewithalex.com has offered the restorable food at 25% off.
[01:42:37.995 --> 01:42:39.216]  Four years!
[01:42:39.496 --> 01:42:43.880]  But right now, it's 25% off until February 13th, 2022.
[01:42:44.401 --> 01:42:53.729]  A little over two weeks from the time I'm cutting this to get 25% off at preparewithalex.com on the entire catalog of My Patriot Supply.
[01:42:54.190 --> 01:42:54.630]  Act now.
[01:42:54.930 --> 01:42:55.871]  Get prepared now.
[01:42:56.172 --> 01:42:59.575]  This is absolutely essential for everybody that wants to be self-sufficient.
[01:43:01.055 --> 01:43:01.736]  All right, folks.
[01:43:01.896 --> 01:43:08.721]  Joel Skousen, the editor over at World Affairs Brief, is with us, and I really appreciate him coming on today.
[01:43:08.821 --> 01:43:10.963]  This has gotten almost no coverage in the Western media.
[01:43:11.643 --> 01:43:17.488]  We already played this several times in the first hour, but if Skousen wants, we can reread this on air.
[01:43:18.188 --> 01:43:20.470]  But my interpretation of it is what it says.
[01:43:21.090 --> 01:43:27.575]  He said, if NATO declares Article 5 and basically takes in Ukraine, then we're going to invade.
[01:43:27.836 --> 01:43:30.738]  And then if NATO overwhelms us, we're going to use nuclear weapons.
[01:43:31.582 --> 01:43:32.485]  And that's what he said.
[01:43:33.507 --> 01:43:34.570]  Very, very chilling.
[01:43:35.332 --> 01:43:37.216]  And we went and found the video.
[01:43:37.236 --> 01:43:38.961]  I didn't just believe the Daily Mail when I saw it.
[01:43:40.262 --> 01:43:43.024]  I went and actually found the video of Putin indeed saying that.
[01:43:43.624 --> 01:43:48.848]  And then you look at the backdrop of this, a bunch of other news broke today that just is staggering on its own.
[01:43:49.508 --> 01:43:57.053]  This is just an acceleration of events that I'll get to later in the hour with Joel Skousen of worldaffairsbrief.com.
[01:43:57.233 --> 01:44:01.876]  And again, I'm not going to go over his whole bio, but he was a Marine Corps officer and a naval aviator.
[01:44:02.376 --> 01:44:19.221]  But more importantly, an engineer and the top secure home builder and also, of course, his family goes way back at the very start of discovering the globalist conspiracy with Cleon Skousen, who you can say is like basically the first guy to basically crack the code.
[01:44:19.601 --> 01:44:21.482]  And so he's here with us now.
[01:44:22.062 --> 01:44:23.722]  Joel Skousen, thank you for joining us.
[01:44:24.302 --> 01:44:26.803]  What in the world's really going on with this Russia situation?
[01:44:28.604 --> 01:44:35.423]   Well, Alex, There's a lot of posturing going on, especially by Putin and that particular statement.
[01:44:36.722 --> 01:44:40.305]  He knows that the United States is not going to invade.
[01:44:40.826 --> 01:44:42.587]  Biden has already said it's off the table.
[01:44:42.607 --> 01:44:45.469]  There are going to be no troops coming into Ukraine.
[01:44:46.670 --> 01:44:48.452]  When it's attacked, they're going to let it fall.
[01:44:48.512 --> 01:44:49.753]  They're going to wring their hands.
[01:44:49.773 --> 01:44:50.814]  They're going to do sanctions.
[01:44:52.135 --> 01:45:04.885]  But I doubt if he's even going to be able to stop the pipeline, the gas pipeline coming in from Russia, because the Germans are wedded to it and there's simply no way to handle their future gas needs.
[01:45:06.616 --> 01:45:12.399]  I'm still don't believe that this is going to lead to nuclear war because the U.S.
[01:45:12.259 --> 01:45:15.618]  will not go to war with Russia over Ukraine.
[01:45:15.618 --> 01:45:21.958]   And that's good news, but on the other side, I remember you, at least 20 years ago,
[01:45:21.958 --> 01:45:27.378]   with your long-term strategic research, that's really borne out to be true,
[01:45:27.378 --> 01:45:32.399]   that the West would feign weakness and also have provocations with China and Russia
[01:45:32.399 --> 01:45:36.838]   to drive them together to do a joint attack on the United States, which will be used
[01:45:36.838 --> 01:45:41.219]   to wipe out the political opposition here and have the underground deep state emerge
[01:45:41.219 --> 01:45:44.738]  with its weapons and then form the fascist world government.
[01:45:44.218 --> 01:45:46.058]  And I remember you predicting right around 2022, 2023, 2025.
[01:45:46.138 --> 01:45:47.398]  I know years later you moved it up a little to 2026, 2027.
[01:45:47.278 --> 01:45:54.318]   I know years later you moved it up a little, 2026, 2027, but my goodness, nobody, I'm not
[01:45:54.318 --> 01:45:57.037]  just praising you here, you're the only guy that did it.
[01:45:56.982 --> 01:46:02.606]  You laid out the scenario we're seeing now, but now you're saying it's not as bad, or what's happening?
[01:46:03.546 --> 01:46:05.127]  No, I'm not saying it's not as bad.
[01:46:05.207 --> 01:46:09.450]  I'm just saying that in my military analysis, Russia and China aren't quite ready yet.
[01:46:10.422 --> 01:46:17.824]  And, you know, they're just beginning to field their hypersonic weapons, and that's going to take a few more years to get it.
[01:46:17.864 --> 01:46:25.107]  They're still building their Blue Water Navy, which they have to do to control a global government that they intend to do so after they strike the West.
[01:46:25.947 --> 01:46:36.230]  But the reason I was able to key into the globalist plan is because the Presidential Decision Directive 60 signed in 1997.
[01:46:36.850 --> 01:46:38.691]  I started writing the World Affairs Brief in the year 2000.
[01:46:40.407 --> 01:46:52.235]  But I went on the Art Bell Show and exposed that, where it instructs our military forces to absorb a nuclear first strike, and then to retaliate afterwards.
[01:46:52.255 --> 01:46:57.278]  This got General Butch Neal to say, retaliate with what?
[01:46:57.318 --> 01:46:59.520]  You know, you got half of our submarines available.
[01:46:59.560 --> 01:47:00.220]  And why half?
[01:47:00.300 --> 01:47:07.405]  Because in that same year, Clinton instructed by executive order, 50% of our submarines have to be imported any one time.
[01:47:07.465 --> 01:47:15.588]   And he clearly said, To make the Soviets understand that we are not a threat, we are going to make ourselves more vulnerable.
[01:47:16.209 --> 01:47:20.392]  I mean, that's the kind of mentality that the globalists had during the Clinton administration.
[01:47:20.832 --> 01:47:24.315]  So they're trying to lure Russia and China into a sneak attack?
[01:47:25.476 --> 01:47:29.019]  Not only lure, but they've been building these two enemies.
[01:47:29.159 --> 01:47:35.444]  I mean, during the Nixon administration, we gave the Russians the miniature ball-bearing technology so they could MIRV their missiles.
[01:47:35.864 --> 01:47:42.993]   They couldn't do multiple independent missile or warheads before because they couldn't do the
[01:47:42.993 --> 01:47:47.432]   miniature gyros that are required to do the targeting.
[01:47:47.432 --> 01:47:51.693]  And Henry Kissinger told Nixon, "This isn't strategic.
[01:47:51.693 --> 01:47:53.773]  We can give it to the Russians."
[01:47:53.773 --> 01:47:57.474]   Just like we gave them the plans to the nuclear weapons that they couldn't steal from the
[01:47:57.474 --> 01:48:01.353]   Manhattan Project, we gave them the first shipment of enriched uranium.
[01:48:01.353 --> 01:48:03.514]  We brought China to power.
[01:48:03.514 --> 01:48:04.753]  We've allowed them to steal.
[01:48:05.000 --> 01:48:15.844]  We allowed them to have access to use aircraft and top secret military plans during the Clinton administration, so they could steal things and they've been stealing things ever since.
[01:48:16.305 --> 01:48:19.466]  Now, what I'm just saying is the threat is not diminished.
[01:48:20.046 --> 01:48:24.428]  I'm just saying, I don't think Ukraine is going to be a trigger event for World War III.
[01:48:26.369 --> 01:48:38.320]   Putin is clearly going to try to reconstitute the Soviet Union by taking back Starting with Ukraine, the former Soviet states, and Ukraine has been the subject of a lot of puppets.
[01:48:38.840 --> 01:48:46.987]  Timoshenko was a puppet, Poroshenko, Yanukovych, all of these prime ministers were puppets of Putin.
[01:48:47.528 --> 01:48:53.313]  The only one that isn't is a puppet of another oligarch is Zelensky, the current president.
[01:48:53.373 --> 01:49:01.879]   And that's why he's primed to take over Ukraine now, to put it under the You know, the growing Soviet ages.
[01:49:02.220 --> 01:49:06.821]  Remember, the Soviet Union faked their own collapse in 1990.
[01:49:07.961 --> 01:49:12.943]  They gave orders to, you know, let the wall come down, to let the riots go forward.
[01:49:13.603 --> 01:49:16.804]  They even gave orders for the communist dictators to step down.
[01:49:17.324 --> 01:49:22.185]  Ceausescu of Romania was the only one who refused, and he and his wife were killed.
[01:49:22.205 --> 01:49:23.386]  Well, that's right.
[01:49:23.426 --> 01:49:25.546]  It's come out that 100% they staged that.
[01:49:29.017 --> 01:49:33.163]  Why is Biden fleeing out of Afghanistan and doing such a bad job?
[01:49:33.264 --> 01:49:34.505]  Why is he acting so weak?
[01:49:34.786 --> 01:49:38.932]  How does that help the globals to have such a embarrassing puppet in there?
[01:49:38.972 --> 01:49:39.433]  What does that do?
[01:49:41.508 --> 01:49:45.131]  Well, in the first place, Afghanistan was essentially turned over to the Chinese.
[01:49:45.171 --> 01:49:52.976]  This is part of allowing the Chinese to make inroads and also to threaten Russia from its southern border.
[01:49:53.056 --> 01:50:03.343]  I mean, China is in control now of Afghanistan, including the essential minerals that are there, the oil and gas fields, and a lot of military equipment that we left behind.
[01:50:03.363 --> 01:50:08.176]   So it's It's a little bit difficult.
[01:50:08.216 --> 01:50:16.320]  I mean, as a military analyst to say, you know, why would you close down Bagram Air Force Base before you'd ever evacuated everyone?
[01:50:16.360 --> 01:50:19.041]  It's just insane to do that.
[01:50:19.101 --> 01:50:28.925]  They clearly wanted to have a, you know, and Biden wouldn't know any difference if the military told him, you know, let's go ahead and pull out this way.
[01:50:29.305 --> 01:50:31.306]  He doesn't know anything about military strategy.
[01:50:31.346 --> 01:50:36.128]  And so he wouldn't protest this, but it's the globalist military leaders that did this to us.
[01:50:36.673 --> 01:50:46.458]  And I think the secret plan behind it was to give more territory to China, which they already control Pakistan next door.
[01:50:46.898 --> 01:50:48.339]  And they've already into Iran.
[01:50:48.359 --> 01:50:50.280]  They're the primary supplier of Iran.
[01:50:50.300 --> 01:50:52.882]  So they've got the underbelly of Russia surrounded.
[01:50:52.922 --> 01:50:55.223]  Now, they aren't enemies right now.
[01:50:55.283 --> 01:50:57.644]  They're in temporary alliance to take down the West.
[01:50:58.384 --> 01:51:01.526]  But believe me, they're going to go after Russia eventually.
[01:51:01.726 --> 01:51:10.728]   And this positions China To be able to pressure Russia during the next or the outcome of the World War III, which they intend to succeed at.
[01:51:11.776 --> 01:51:16.819]  Exactly, and then China's making alliances with the Islamists, which they'll use in the Russian underbelly.
[01:51:17.139 --> 01:51:20.320]  We'll be right back with Joel Scalzin at WorldAffairsBrief.com.
[01:51:20.661 --> 01:51:22.421]  I'm Alex Jones with InfoWars.com.
[01:51:22.742 --> 01:51:23.982]  Visit and share those links.
[01:51:24.022 --> 01:51:24.442]  Stay with us.
[01:51:25.183 --> 01:51:29.545]  So, I've been accurate, no exaggeration, on the big issues about 95% of the time.
[01:51:30.005 --> 01:51:32.887]  Joel Scalzin, I'd say, has been right about 98% of the time.
[01:51:33.327 --> 01:51:37.309]  But he thought we were going to have war with North Korea, and it didn't happen.
[01:51:38.607 --> 01:51:40.788]  And I was glad he was wrong about that, but it came very close.
[01:51:41.168 --> 01:51:45.510]  I know folks that were actually involved at high level and mid-level, and they were told it was go as well.
[01:51:46.511 --> 01:51:57.456]  And those same people in the military now I talk to say they've been told, and I talked about this back six months ago, that by February we would see major escalations in Ukraine, because they were already getting ready back then.
[01:51:57.956 --> 01:52:05.900]  So I hope Joel Skousen is right when he says he doesn't think that there's about to be some type of escalation of the conflict or a war.
[01:52:07.525 --> 01:52:23.052]  But when I see Putin saying, please listen to me, the media won't listen to me, you need to quote what I'm saying, and he says, yes, NATO can defeat us, but we have nuclear weapons, and by the time you can blink your eye, this is basically what he says, I'm paraphrasing it, that you'll be in a nuclear war.
[01:52:23.253 --> 01:52:24.133]  We're a nuclear power.
[01:52:24.413 --> 01:52:27.194]  So what is the point of that statement then, Joel?
[01:52:27.234 --> 01:52:28.415]  It sounds very desperate.
[01:52:30.442 --> 01:52:36.446]  No, it's to ensure that Biden won't go back on his pledge to not put US troops in Ukraine.
[01:52:36.506 --> 01:52:38.668]  It's to up the threat to a nuclear threat.
[01:52:38.688 --> 01:52:42.411]  But there's a couple of indications that what Putin said was absolutely wrong.
[01:52:42.451 --> 01:52:45.753]  In the first place, NATO cannot defeat Russia in a conventional war.
[01:52:47.094 --> 01:53:07.799]   I'm going to publish in next week's World Affairs Brief on Friday, an article by Scott Ritter, a very good military analyst from Europe that he's actually American, but He's done a lot of analysis over there and he points out very, very clearly how Russian conventional forces are far superior to US now in terms of both tanks and especially artillery.
[01:53:08.499 --> 01:53:10.141]  And aren't they more cohesive as well?
[01:53:11.262 --> 01:53:11.722]  That's right.
[01:53:11.842 --> 01:53:13.924]  And they're up to our level in ECM.
[01:53:14.345 --> 01:53:17.047]  That's why they won't use their S-400 in Syria.
[01:53:17.067 --> 01:53:21.511]  They don't want us to get the radar signatures from their S-400 systems, etc.
[01:53:22.111 --> 01:53:24.080]   But here's what It's interesting.
[01:53:24.521 --> 01:53:25.681]  Let me just correct one thing.
[01:53:26.322 --> 01:53:28.243]  I haven't yet predicted war with Korea.
[01:53:28.303 --> 01:53:33.565]  What I've said is that that will be the trigger event for World War III, and that still holds.
[01:53:34.326 --> 01:53:38.448]  And the reason I say that is because we've got 47,000 troops there.
[01:53:39.508 --> 01:53:40.389]  South Korea's got about 53,000.
[01:53:40.529 --> 01:53:43.150]  By the way, I wasn't trying to put you down.
