[00:00:00.129 --> 00:00:01.752]  Emergency Friday broadcast.
[01:22:34.374 --> 01:22:41.882]   And Jennifer Bridges told a man Absolutely extraordinary.
[01:22:41.902 --> 01:22:43.784]  Again, I could guide the discussion, but you're the expert here.
[01:22:43.884 --> 01:22:47.243]   and how she lost her job because she couldn't take the vaccine.
[01:22:47.243 --> 01:22:48.844]  She couldn't medically take the vaccine.
[01:22:48.844 --> 01:22:50.923]  I mean, this was stunning testimony.
[01:22:50.923 --> 01:22:51.682]  It was five hours.
[01:22:51.682 --> 01:22:53.043]  There's no break.
[01:22:53.043 --> 01:22:55.003]  And it was it was extraordinary.
[01:22:55.003 --> 01:22:57.923]  Absolutely extraordinary.
[01:22:57.923 --> 01:23:00.722]   Again, I could guide the discussion, but you're the expert here.
[01:23:00.722 --> 01:23:04.363]   What else do you want to get to the viewers mind out there so they're aware
[01:23:04.363 --> 01:23:04.963]  of what's happening?
[01:23:04.963 --> 01:23:12.082]   Well, the very important updates now are that it's becoming fundamentally clear
[01:23:12.484 --> 01:23:15.043]  that there's little or no interest in our seniors.
[01:23:15.079 --> 01:23:21.743]  You never hear our public health agencies talk about our seniors, but our seniors still are where the action are.
[01:23:21.763 --> 01:23:26.826]  There still are going to be some seniors who get hospitalized or worse with Omicron.
[01:23:26.846 --> 01:23:27.746]  There's no mention of them.
[01:23:28.467 --> 01:23:30.788]  There's an incredible focus on children.
[01:23:30.828 --> 01:23:35.371]  We've now heard about trying to vaccinate children below age five.
[01:23:35.971 --> 01:23:38.254]  Remember, children, there's been no school outbreaks.
[01:23:38.294 --> 01:23:39.516]  The kids are back at school.
[01:23:40.537 --> 01:23:44.061]  There's no credible student-to-teacher spread with serious illness.
[01:23:44.742 --> 01:23:47.886]  We know the transmission is within the household, usually adult-to-child.
[01:23:47.926 --> 01:23:53.013]  When it happens, a majority of children probably are actually already immune.
[01:23:53.653 --> 01:24:04.461]  That the focus now on children under age 5 and here it would be Pfizer giving 5 micrograms of messenger RNA and the trials actually failed to raise immunity.
[01:24:04.501 --> 01:24:08.524]  The children's bodies were pretty adept at fighting off the messenger RNA.
[01:24:08.565 --> 01:24:12.788]  Now there's some recalculation of trying to push forward even though they're not efficacious.
[01:24:13.348 --> 01:24:16.269]  You know, these are things that parents need to understand.
[01:24:16.289 --> 01:24:22.733]  When I gave my presentation on the steps of the Lincoln Memorial, I said, really, the decision is in everyone's hands.
[01:24:22.793 --> 01:24:27.715]  If everyone tomorrow worldwide said no, this entire program crumbles.
[01:24:28.035 --> 01:24:38.866]   And you know, while we were having a rally in Washington, there were dozens and dozens of rallies and marches occurring over the Leading up to this all over the world.
[01:24:39.147 --> 01:24:44.208]  And then shortly afterwards was this massive Canadian convoy that converged on Ottawa.
[01:24:44.248 --> 01:24:45.149]  It's really made the news.
[01:24:45.469 --> 01:24:47.749]  Heroes like Paul Alexander were there.
[01:24:48.009 --> 01:24:49.030]  Roger Hodkinson.
[01:24:49.490 --> 01:24:50.270]  Dr. Pines.
[01:24:50.730 --> 01:24:53.671]  These were absolutely terrific Canadian heroes.
[01:24:53.971 --> 01:24:56.972]  Many Americans can't get across the border because they haven't taken the vaccine.
[01:24:57.012 --> 01:25:00.394]  But I tell you, our Canadians have really made us proud.
[01:25:00.794 --> 01:25:01.714]  They're basically shocked.
[01:25:03.157 --> 01:25:09.978]  Dr. Peter McCullough, you're absolutely right, and a point you raised, because you're the doctor, but I've looked at the studies, that's what I gleaned from them, but you can correct me if I'm wrong.
[01:25:10.599 --> 01:25:27.342]  The children are so powerful, they're fighting off the attempt by the GMO injection to take over their cells, so it's not working, and they even admit in the headlines, doesn't work, but still let's do it, just to have that pretext to own children's bodies, I guess.
[01:25:29.191 --> 01:25:30.272]  It's going to cause harm.
[01:25:30.493 --> 01:25:31.594]  There's no doubt about it.
[01:25:31.634 --> 01:25:33.876]  If there's no benefit, then there's only harm.
[01:25:34.497 --> 01:25:37.500]  The data do not look good on safety across the board.
[01:25:37.780 --> 01:25:44.608]  You know, I've said from the very beginning, young people should not take the vaccine because more harm than good.
[01:25:47.851 --> 01:25:49.693]  We're going to cover a lot of news in the next 30 minutes.
[01:25:49.713 --> 01:25:50.454]  What are we going to cover next?
[01:25:52.328 --> 01:26:03.751]  Well, I'd like to pick up on the whole issue of the erosion of the mandates and the data that are coming forward on masking, social distancing, lockdowns.
[01:26:04.312 --> 01:26:08.373]  And it's a real indictment that just came out of Johns Hopkins.
[01:26:08.993 --> 01:26:15.835]  And Marty Macri, who's also one of my colleagues from Johns Hopkins, frequent contributor on Fox News, it's become clear now.
[01:26:16.463 --> 01:26:24.589]  That the virus wasn't impacted at all by social distancing, wearing masks, or lockdowns, and they've caused irreparable harm.
[01:26:25.429 --> 01:26:33.395]  Harm on an individual psychological level, from a sociological level, economic, you know, this is irrecoverable.
[01:26:33.435 --> 01:26:41.840]  We can't go backwards now because children have been impacted, families have been fractured, there are suicides we can't get back.
[01:26:42.120 --> 01:26:50.006]   You know, there's more suicides in the military Then military actually getting serious COVID-19 or dying with COVID-19.
[01:26:50.506 --> 01:26:53.506]  The same thing would be true in teenagers.
[01:26:53.506 --> 01:26:54.506]  So they...
[01:26:54.506 --> 01:26:55.506]  Dr. McCullough, stay right there.
[01:26:55.506 --> 01:26:58.026]  We're going to come back with 30 more minutes with you.
[01:26:58.026 --> 01:27:00.105]  We really appreciate your time today.
[01:27:00.105 --> 01:27:01.985]   And by the way, I'm going to ask you about this when we come back.
[01:27:01.985 --> 01:27:06.506]   You saw the headline, "Denver won't make adults take the shot or wear masks, but children
[01:27:06.506 --> 01:27:07.506]  have to."
[01:27:07.506 --> 01:27:10.626]   Because that's the little prisoners they've got with the National Education Association
[01:27:10.626 --> 01:27:11.905]  trying to create a cult.
[01:27:11.905 --> 01:27:13.746]  This is a true war crime against humanity.
[01:27:13.746 --> 01:27:18.506]   Ladies and gentlemen, we can't fund ourselves without your support and your word of mouth.
[01:27:18.585 --> 01:27:19.726]  Thank you for keeping us on the air.
[01:27:19.947 --> 01:27:23.390]  Now we're entering the most important fight ever, not just for InfoWars, but everybody.
[01:27:23.430 --> 01:27:26.632]  But I want to thank everybody that visits InfoWarsTore.com.
[01:27:27.793 --> 01:27:36.260]  And I want to encourage you all to go to InfoWarsTore.com and get amazing supplements that boost your immune system and amazing products that are 40 to 50% off right now.
[01:27:36.841 --> 01:27:39.183]  We've extended our vitamin C, rose hips, and zinc.
[01:27:40.545 --> 01:27:45.326]  40% off the Whole Foods multivitamin from Whole Foods, very high quality, that's 40% off.
[01:27:45.666 --> 01:27:52.108]  Our X3, all three types of iodine, that is also 50% off, back in stock, sold out for months.
[01:27:52.768 --> 01:28:01.330]  And we are selling high quality, storable food, ready to ship, for the first time in four years, for my Patriot Supply, for 25% off.
[01:28:01.350 --> 01:28:02.090]  Nobody else has that.
[01:28:01.909 --> 01:28:08.628]   off nobody else has that 25% off info or store.com you know prepare with Alex
[01:28:08.628 --> 01:28:11.509]   calm that takes you right to the sub page and they're ready to ship to you
[01:28:11.942 --> 01:28:14.144]  That sale's only going until February 13th.
[01:28:14.164 --> 01:28:14.844]  We've got to stop it.
[01:28:14.884 --> 01:28:21.650]  So, get prepared, get ready with all the supply chain breakdowns, the crazy world, and just know you've got insurance you can actually eat.
[01:28:22.031 --> 01:28:28.977]  Regular insurance, most of you don't use, but with food insurance, especially with inflation, it is the winning bet, and it supports the InfoWar.
[01:28:29.277 --> 01:28:33.396]   Infowarsstore.com, 25% off the entire system of swearable food.
[01:28:33.396 --> 01:28:44.036]  With all the craziness going on in the world.
[01:28:44.602 --> 01:28:50.926]  With the globalists plotting their next big lockdown, or the next phase of the Great Reset, being a staged cyber attack.
[01:28:51.367 --> 01:28:57.431]  With the deep state pushing a civil war, not just here, but in Europe, and war with Russia.
[01:28:57.851 --> 01:29:09.679]  With the massive inflation and all the other garbage that's taking place, like supply chain breakdowns, you need to get prepared now with high quality storable food that is ready to ship.
[01:29:10.119 --> 01:29:18.326]   And it's been four years since my Patriot Supply at preparewithalex.com has offered the restorable food at 25% off.
[01:29:18.646 --> 01:29:19.847]  Four years!
[01:29:20.127 --> 01:29:24.511]  But right now it's 25% off until February 13th, 2022.
[01:29:25.032 --> 01:29:34.400]  A little over two weeks from the time I'm cutting this to get 25% off at preparewithalex.com on the entire catalog of My Patriot Supply.
[01:29:34.821 --> 01:29:36.502]  Act now, get prepared now.
[01:29:36.803 --> 01:29:40.206]  This is absolutely essential for everybody that wants to be self-sufficient.
[01:29:42.119 --> 01:29:42.939]  All right, welcome back.
[01:29:43.060 --> 01:29:45.881]  A lot of stations carry the first five minutes, but some don't.
[01:29:46.521 --> 01:30:05.992]  So I want to ask Dr. Peter McCullough, board-certified cardiologist and one of the main experts out there exposing all this insanity, who's been totally vindicated, to hit some other important subjects so that next segment, when a bunch of stations join us, we can get into the mandates, the lockdowns, the John Hopkins report that broke over a week ago and has gotten almost no coverage.
[01:30:06.032 --> 01:30:06.792]  It's been blacked out.
[01:30:07.192 --> 01:30:08.573]  So that's coming up here in about six minutes.
[01:30:08.593 --> 01:30:10.434]  But what else is on your radar screen, Doc?
[01:30:12.341 --> 01:30:27.813]  Well, I think the big news is that lead attorney Tom Rents and co-counsel Lee Dundas came to the table at the historic Senate panel held on Monday, January 24th, Ron Johnson, COVID-19, a second opinion.
[01:30:27.933 --> 01:30:34.898]  And what Rents and Dundas presented was data from three Department of Defense whistleblowers.
[01:30:35.879 --> 01:30:40.242]  And they gave the Department of Defense data, which is very important.
[01:30:40.845 --> 01:30:49.657]  Because this is clinical data, it's not VAERS, it's not self-reported, where they knew vaccine administration and they knew the diseases that occurred after the vaccine.
[01:30:50.298 --> 01:31:03.923]   And there were several fold increases in neurologic, cardiac, including myocarditis, miscarriages, hematologic disease. Alex, the disclosure was
[01:31:03.923 --> 01:31:08.804]   stunning. Senator Ron Johnson said that those data and reports have been subpoenaed. He
[01:31:08.804 --> 01:31:13.595]   actually took action swiftly to subpoena it to make sure they didn't fudge the numbers
[01:31:13.595 --> 01:31:21.105]   afterwards. So all this basically is out in the open. And that's why when I see Fauci and I
[01:31:21.105 --> 01:31:28.061]   see the head of Pfizer on TV, They don't look as arrogant as they used to look.
[01:31:28.101 --> 01:31:29.843]  They look like the air has been let out of them.
[01:31:31.784 --> 01:31:32.164]  It's true.
[01:31:32.204 --> 01:31:40.367]  I think they know they have a giant safety problem on their hands that, you know, in the Open VAERS system, and they've now clarified this.
[01:31:40.507 --> 01:31:44.248]  I've had some personal communication with a group that runs the Open VAERS system.
[01:31:44.288 --> 01:31:46.369]  It's an overlay, and I've done my own queries.
[01:31:46.549 --> 01:31:48.710]  I've done my own VAERS queries to validate this.
[01:31:49.350 --> 01:31:54.252]  About 90% of what we see in domestic reports, 10% are actually U.S.
[01:31:54.292 --> 01:31:55.072]  that report through.
[01:31:55.092 --> 01:32:01.672]   The vast majority are actually reported by the pharmaceutical companies and then by doctors or other health care workers
[01:32:01.672 --> 01:32:07.872]   to VAERS. Sadly, we're over 21,000 people have lost their lives, about 50%
[01:32:07.872 --> 01:32:13.573]   within two days, 80% within a week. The deaths are very quick. We know that 86%
[01:32:13.573 --> 01:32:17.943]   of the time by McLaughlin and colleagues showed this, that the only cause
[01:32:17.943 --> 01:32:24.413]   is the vaccine. It's a giant signal. We're approaching 400,000 hospitalizations,
[01:32:24.413 --> 01:32:28.752]   ER visits, and office visits for vaccine injuries.
[01:32:28.452 --> 01:32:35.615]  Sadly, we've topped 40,000 now permanently disabled Americans because they've taken a COVID-19 vaccine.
[01:32:35.835 --> 01:32:39.137]  So the sentiment that I'm hearing Alex is that people are furious.
[01:32:39.477 --> 01:32:42.498]  They feel like they've been duped because they took the vaccine.
[01:32:42.778 --> 01:32:44.079]  They got COVID anyway.
[01:32:44.339 --> 01:32:45.679]  They took enormous risks.
[01:32:46.020 --> 01:32:52.502]  They've seen family members, friends, church members and others be injured or even worse die after the vaccine.
[01:32:52.903 --> 01:32:55.904]  Americans are becoming furious over the vaccine program.
[01:32:56.826 --> 01:32:58.206]  Well, that was actually my next question.
[01:32:59.387 --> 01:33:00.867]  How are they going to get away with this?
[01:33:01.027 --> 01:33:04.228]  And it's just crazy, because what you're saying is true.
[01:33:04.288 --> 01:33:05.008]  I see it online.
[01:33:05.048 --> 01:33:05.728]  I see it in person.
[01:33:06.028 --> 01:33:09.249]  I know a lot of people took two or three shots, and now they're mad because they got even sicker.
[01:33:09.649 --> 01:33:14.270]  And so they're really angry now that Fauci and others are saying, take four, take five, take six.
[01:33:14.290 --> 01:33:15.031]  Look at Israel.
[01:33:15.371 --> 01:33:16.111]  I mean, it's crazy.
[01:33:17.737 --> 01:33:20.118]  You know, the WHO is advising against it now.
[01:33:20.178 --> 01:33:24.939]  The WHO is basically questioned the utility of any further boosters.
[01:33:24.959 --> 01:33:33.822]  And in fact, there's some statements let out by the European Medical Association, European Health Association, saying that the vaccines actually may weaken the immunity.
[01:33:33.842 --> 01:33:38.803]  And there's a good rationale for that because the body continues to be loaded with the spike protein.
[01:33:39.203 --> 01:33:41.504]  So the immune system is basically taxed.
[01:33:41.904 --> 01:33:44.187]  We're trying to clear out this foreign protein.
[01:33:44.207 --> 01:33:48.291]  It gets distributed into the brain, the heart, blood vessels, all through the body.
[01:33:48.772 --> 01:33:55.940]  And then recently, Stephanie Senoff, who's a PhD scientist at MIT, was on Laura Ingram.
[01:33:56.420 --> 01:33:58.282]  And Stephanie and I are publishing together.
[01:33:58.322 --> 01:34:02.607]  She's discovered that the messenger RNA itself travels in exosomes.
[01:34:02.967 --> 01:34:11.432]  And the messenger RNA itself, you know, may be and probably does have direct toxicity in alone and separate from the spike protein.
[01:34:11.852 --> 01:34:20.557]  Clearly exosomes can travel along neurons into the brain and we certainly have a risk of a neurologic injury from the spike protein and the messenger RNA.
[01:34:20.577 --> 01:34:23.899]  I want to talk more about that and then the big news, the lockdown straight ahead.
[01:34:24.639 --> 01:34:29.442]  Dr. Peter McCullough is right up there.
[01:34:32.637 --> 01:34:40.803]  Exposing and fighting the biomedical, world government, world ID, world social credit score, vaccine passport takeover.
[01:34:41.163 --> 01:34:42.745]  Because even if these shots work, great!
[01:34:43.675 --> 01:34:48.958]  I'd be taking them, but I wouldn't want the vaccine passport to control and track where I go and what I do.
[01:34:49.038 --> 01:34:51.399]  That's really the big scandal.
[01:34:52.020 --> 01:34:56.622]  And the big corporations admit this is just their power move to get total control over our lives.
[01:34:57.063 --> 01:34:58.163]  They consolidate control.
[01:34:58.203 --> 01:35:04.467]  But you were getting into, and I'm glad you bring this up, because I've been making this point all week long, and so did Paul Watson when he was on yesterday.
[01:35:06.064 --> 01:35:08.367]  I read this whole thing when it came out a week ago or so.
[01:35:08.908 --> 01:35:27.515]   It's only 60-something pages long, and a lot of it I've seen in the news, I've heard from you and others, but it's outrageous to have John Hopkins, one of the most respected medical university systems in the world, that actually quarterbacked a lot of the whole COVID tyranny, coming out from the belly of the beast and saying this didn't help
[01:35:27.515 --> 01:35:31.755]   anybody and this caused mass suicide and depression and death and
[01:35:31.755 --> 01:35:37.036]   not to mention destroyed the economy and amidst that and consolidated power but all the big billionaires on
[01:35:37.036 --> 01:35:41.155]   average doubled their wealth so now we see
[01:35:41.155 --> 01:35:44.435]   where this is all going. Why did so many American mainstream media
[01:35:44.435 --> 01:35:49.676]   outlets ignore the reputable university study that lockdowns didn't work?
[01:35:49.676 --> 01:35:53.414]   John Hopkins study, lockdowns did not reduce COVID deaths but had devastating
[01:35:53.414 --> 01:35:56.916]   effects close quote on society
[01:35:56.916 --> 01:36:01.515]   that's another headline. New John Hopkins study, lockdowns have had
[01:36:01.515 --> 01:36:06.328]   little to no public health health effects, close quoted, imposed enormous economic and
[01:36:06.328 --> 01:36:06.929]  social costs.
[01:36:06.929 --> 01:36:08.050]  Those are quotes.
[01:36:08.050 --> 01:36:15.489]   And so when you read InfoWars, you have to believe me, we link to the actual study here right now.
[01:36:15.489 --> 01:36:17.929]  So, Dr. Peter McCullough, you've read this.
[01:36:17.929 --> 01:36:19.609]  This is a huge story.
[01:36:19.609 --> 01:36:20.688]  Why is it so big?
[01:36:20.688 --> 01:36:22.809]  And please go over it for us.
[01:36:22.809 --> 01:36:24.130]  Alex, it's cohesive.
[01:36:24.130 --> 01:36:28.449]   I think the main thing I want your audience to understand is cohesive.
[01:36:28.449 --> 01:36:34.130]   So Jay Bhattacharya, who testified in the Senate panel by video, presented the principles
[01:36:34.130 --> 01:36:38.849]   of the Great Barrington Declaration, which was signed in mid-2020.
[01:36:38.818 --> 01:36:46.282]  And it was clear the Great Barrington Declaration, of which had thousands and thousands of experts signed, said, listen, no lockdowns.
[01:36:46.462 --> 01:36:46.963]  Don't do it.
[01:36:47.383 --> 01:36:48.483]  It's going to cause harm.
[01:36:49.264 --> 01:36:57.386]   Scott Atlas, who was on the White House task force, going to cause harm.
[01:36:57.386 --> 01:37:00.985]   We had Paul Alexander, advisor to President Trump and then the WHO.
[01:37:00.985 --> 01:37:02.226]  Paul testified at the Senate.
[01:37:02.226 --> 01:37:03.746]  Paul showed all the data.
[01:37:03.746 --> 01:37:08.266]   There was no benefit to public masking, no benefit to lockdowns from all the
[01:37:08.266 --> 01:37:11.945]   studies, Paul has tabulated this in the Brownstone Institute.
[01:37:11.945 --> 01:37:16.505]   And then this paper comes out from Johns Hopkins, really a meta-analysis
[01:37:16.505 --> 01:37:18.305]  synthesizing all the information.
[01:37:18.305 --> 01:37:19.664]  It's conclusive.
[01:37:19.664 --> 01:37:22.226]  It's not just one person.
[01:37:24.386 --> 01:37:28.386]   It is clear that it was a colossal mistake to ever put a mask
[01:37:28.386 --> 01:37:29.744]  on somebody without symptoms.
[01:37:29.744 --> 01:37:32.226]   It was a colossal mistake to have people stay in their homes
[01:37:32.226 --> 01:37:33.466]  who didn't have COVID-19.
[01:37:33.466 --> 01:37:36.305]   The only people who needed to quarantine was the small fraction of people who
[01:37:36.305 --> 01:37:37.945]  are sick at any given time.
[01:37:37.945 --> 01:37:41.626]   And we only quarantine when we give early treatment in order to basically
[01:37:41.626 --> 01:37:44.226]  make the syndrome resolve.
[01:37:44.745 --> 01:37:53.887]  So we have a situation here where the social and psychological and economic impact is disastrous.
[01:37:54.207 --> 01:38:05.669]  And now there are three more analyses, one by Subramanian, Kampff and Beattie, all showing from a medical perspective, the mass vaccination program was a colossal disaster.
[01:38:05.969 --> 01:38:12.470]  So everywhere where there's a greater intensity of vaccination, there are more and more COVID-19 cases.
[01:38:13.630 --> 01:38:14.511]  And there's more deaths.
[01:38:15.112 --> 01:38:23.259]  So it's clear that from the very beginning there wasn't a single step that was taken from a public health perspective that turned out to be a correct step.
[01:38:25.161 --> 01:38:25.922]  We've got a clip.
[01:38:25.942 --> 01:38:27.803]  I know you're familiar with him talking about it.
[01:38:27.823 --> 01:38:30.566]  A lot of scientists and epidemiologists and virologists have talked about it.
[01:38:30.606 --> 01:38:48.644]   But what about what Malone keeps pointing out a year ago and now currently has been proven, at least by what I've seen as a layperson, That when you give a bunch of so-called vaccines or gene therapies to people, while a virus is in the middle of a big blow-up, you're going to put evolutionary stress on it, and you're going to make super viruses come out.
[01:38:48.664 --> 01:38:59.534]  So, whereas normally viruses get less lethal over time, that actually doing a mass injection program, a vaccine during it, can actually create even more deadly ones and cause all sorts of problems.
[01:39:00.114 --> 01:39:00.955]  What is your view of that?
[01:39:02.252 --> 01:39:10.558]  You know, I think to unpack it, now I'm an internist and cardiologist, I'm a trained epidemiologist, and I've been focusing on this for two years now, Alex.
[01:39:10.598 --> 01:39:17.523]  I basically have a fellowship in at least COVID-19 infectious disease, and I see and examine patients and I treat them.
[01:39:18.463 --> 01:39:28.527]   My view on this is that it's clear in analyses by Nissen, Venkata, Krishnan and others, including the original report on the
[01:39:28.527 --> 01:39:36.617]   border of Botswana of Omicron, is clear that mass vaccination has promoted the advancement
[01:39:36.617 --> 01:39:43.146]   of super dominant mutants. We went from a blend of wild type alpha, beta, gamma into a super
[01:39:43.146 --> 01:39:49.466]   dominant delta as a result of mass vaccination and then super dominant delta right into super
[01:39:49.466 --> 01:39:54.117]   dominant Omicron. Literally, it just changed within a few weeks. The only thing that can do that
[01:39:54.117 --> 01:39:58.957]   is mass vaccination because the immunity is so narrow. What the virus is doing is it's
[01:39:58.957 --> 01:40:01.326]  taking advantage of the nasal cavity.
[01:40:01.537 --> 01:40:06.138]  So with Omicron, it replicates 70 times faster than that of Delta in the nasal cavity.
[01:40:06.258 --> 01:40:11.500]  It closes the immunologic door on Omicron by forming immunity against Delta.
[01:40:11.600 --> 01:40:13.820]  I'm sorry, so Omicron forms immunity against Delta.
[01:40:13.840 --> 01:40:17.021]  Omicron obviously forms great immunity against itself.
[01:40:17.761 --> 01:40:27.997]   So what we're seeing is the virus is climbing Call it a bottleneck and then it finds a way to innovate and survive.
[01:40:28.017 --> 01:40:34.841]  If we didn't have the vaccine program, it's my estimation that the whole pandemic would have been closed by this time.
[01:40:35.061 --> 01:40:43.466]  We haven't seen the specter of what Van der Bosch and Malone have implicated, that we have a hyperdominant strain that's more lethal.
[01:40:43.526 --> 01:40:45.587]  Thank goodness that hasn't happened yet.
[01:40:46.568 --> 01:40:55.497]  But we must stop vaccination now in order to let diversity in natural immunity and diversity in the viral strains come back into play.
[01:40:55.778 --> 01:40:56.258]  What about ADE?
[01:40:58.499 --> 01:41:06.645]  You know, outside of a paper by Li Yu and colleagues, I looked at that carefully, that from a preclinical perspective suggests it could happen.
[01:41:06.925 --> 01:41:12.209]  And then the burst of cases we see after shot number one with the messenger RNA vaccines.
[01:41:12.629 --> 01:41:14.330]  This is the Pfizer briefing booklet, by the way.
[01:41:14.671 --> 01:41:17.693]  I think that's the only manifestation of ADE we've seen.
[01:41:17.933 --> 01:41:24.997]   Remember, antibody-dependent enhancement means the disease is enhanced or more More severe, and so far we haven't seen that.
[01:41:25.258 --> 01:41:30.640]  I can tell you, Alex, and you probably can attest to this yourself, Omicron's a far milder syndrome.
[01:41:30.680 --> 01:41:32.321]  Oh yeah, I was not even worried about cold at all.
[01:41:32.341 --> 01:41:33.682]  Yeah.
[01:41:33.862 --> 01:41:36.483]  Yeah, but Delta, man, I felt like that was rough.
[01:41:37.464 --> 01:41:37.644]  Right.
[01:41:38.464 --> 01:41:40.025]  It was definitely not the flu or a cold.
[01:41:40.045 --> 01:41:41.005]  I've never been sick like that.
[01:41:41.045 --> 01:41:42.126]  You can tell, like, this is new.
[01:41:43.795 --> 01:41:44.535]  Yeah, that's true.
[01:41:44.615 --> 01:41:49.696]  I think most people, and by the way, I was on Fox News, Marty McAleer was on the week this came out.
[01:41:50.456 --> 01:41:53.337]  Omicron is basically acting like a natural booster.
[01:41:53.717 --> 01:41:59.338]  It's boosting the immunity of someone who's COVID recovered, but it's also boosting the immunity of the vaccinated.
[01:41:59.378 --> 01:42:02.398]  So I tell many of my vaccinated patients, listen, it's not a bad thing.
[01:42:02.998 --> 01:42:04.218]  It's a very mild syndrome.
[01:42:04.258 --> 01:42:11.780]  Well, I know you don't like to speculate, but a lot of scientists have looked at it and said it looks like it was built to counter what was built by what looks like Fauci.
[01:42:13.260 --> 01:42:14.121]  How do we speculate?
[01:42:14.161 --> 01:42:17.043]  How do we know, looking at what happened with Omicron?
[01:42:18.024 --> 01:42:18.884]  It's hard to know.
[01:42:18.924 --> 01:42:23.368]  Remember, most mutations are either deletions or substitutions.
[01:42:23.808 --> 01:42:26.890]  The unique thing with Omicron, it actually had an insertion.
[01:42:27.411 --> 01:42:31.174]  So it actually had some new code inserted into the receptor binding domain.
[01:42:31.214 --> 01:42:33.215]  So, I mean, that's what's raised the speculation.
[01:42:34.556 --> 01:42:41.942]  I mean, again, I'm not a genetic engineer, but like a lot of the big institutions even said, wow, what, it's like 20 plus changes just in the spike protein?
[01:42:43.166 --> 01:42:48.132]  I was actually 30 in the spike protein, but it's peppered around the receptor binding domain.
[01:42:48.172 --> 01:42:51.195]  I showed your audience that diagram from Venkata Krishnan.
[01:42:51.215 --> 01:42:54.719]  You know, there's a company in Boston called Inference, and they're doing great work.
[01:42:55.039 --> 01:42:57.943]  They're doing great sequencing work using modeling.
[01:42:58.503 --> 01:43:01.545]  And you know, there's actually a lot of great science out there, Alex.
[01:43:01.605 --> 01:43:02.605]  It's not all bad.
[01:43:03.145 --> 01:43:08.348]  And you know, the medical field is advancing in its understanding of COVID-19.
[01:43:09.048 --> 01:43:15.531]  It's just that I think at this point, Tom, we need to drop the mandates, pull the vaccines off the market, and then let us treat the final cases.
[01:43:15.711 --> 01:43:16.871]  I want to be clear.
[01:43:17.092 --> 01:43:17.772]  It's like a gun.
[01:43:18.352 --> 01:43:25.480]  A gun can be used to hunt food, or defend yourself, or it can be used to rob people, or a tractor can be used to pull houses down, or, you know, plow fields.
[01:43:25.760 --> 01:43:33.268]  So I'm all for science, I just don't want the bad guys having control of it, and then silencing us, because isn't science about second and third opinions and open debate?
[01:43:33.528 --> 01:43:36.552]  Isn't the idea that don't question science, isn't that the opposite of science?
[01:43:37.885 --> 01:43:38.165]  It is.
[01:43:38.386 --> 01:43:41.609]  Science is all about discourse and debate.
[01:43:41.829 --> 01:43:43.110]  This happened in the Senate panel.
[01:43:43.130 --> 01:43:43.871]  People disagreed.
[01:43:43.931 --> 01:43:45.332]  I pointed it out to Senator Ron Johnson.
[01:43:45.653 --> 01:43:48.576]  Disagreement is normal for us to advance the field.
[01:43:49.456 --> 01:43:49.737]  Wow.
[01:43:50.217 --> 01:43:51.699]  Dr. Peter McCullough, final segment.
[01:43:52.039 --> 01:43:52.860]  So much to hit.
[01:43:52.900 --> 01:43:53.460]  Stay with us.
[01:43:53.480 --> 01:43:54.862]  And I got big breaking news after he goes.
[01:43:55.102 --> 01:43:56.223]  We're so thankful for him being here.
[01:43:56.243 --> 01:44:01.168]  I want to thank Dr. Peter McCullough for his tireless service to truth.
[01:44:02.106 --> 01:44:12.469]  And to freedom and to my family and your family everybody's family because it wasn't for integrity of people like him and just the Armies of good doctors and scientists the vast majority of them.
[01:44:12.509 --> 01:44:15.690]  It's very few That'll actually even get up there and chill.
[01:44:15.750 --> 01:44:21.211]  That's why there's like 10 or 15 you see internationally Up there and they're loathed and they're hated.
[01:44:21.271 --> 01:44:23.752]  I mean humanity is really seeing through them.
[01:44:23.812 --> 01:44:29.542]   So he will always tends to win up front, but very soon people turn against it.
[01:44:29.542 --> 01:44:33.221]   And that's why I love Dr. Peter McCullough, because I'm a factoid obsessed person.
[01:44:33.221 --> 01:44:35.221]  I read news constantly. I'm addicted to it.
[01:44:35.221 --> 01:44:37.141]  And I don't just read news because I want to believe it.
[01:44:37.141 --> 01:44:38.621]  I go research it, try to find out the truth.
[01:44:38.621 --> 01:44:39.862]  And most of the time I'm right.
[01:44:39.862 --> 01:44:43.461]   Sometimes I'm wrong, but we're always finding out more.
[01:44:43.461 --> 01:44:47.702]   He just mentioned last segment real fast as he rattles off all this data to you
[01:44:47.702 --> 01:44:50.101]  for you to go check that, oh.
[01:44:50.101 --> 01:44:54.542]  The senator in this hearing, they had put him on notice.
[01:44:54.542 --> 01:44:56.820]  Do not destroy the data. Do not change the data.
[01:44:56.820 --> 01:45:00.302]  And here's the letter he just mentioned.
[01:45:00.302 --> 01:45:01.662]  Honorable Lloyd J.
[01:45:01.662 --> 01:45:08.782]   Austin, Secretary of Defense, from the senator saying, do not destroy this information.
[01:45:08.782 --> 01:45:10.302]  And then sure enough.
[01:45:10.996 --> 01:45:30.307]  Within 24 hours of that happening, the articles on Infowars.com by Don Salazar, with links to the Defense Department's own site, DOD claims glitch in database after attorney exposes skyrocketing military vaccine injuries, and now the FDA suddenly scrubs Moderna document from website after reporters ask question.
[01:45:30.628 --> 01:45:33.932]   This is what guilty people Do.
