[00:00:14.190 --> 00:00:16.991]  It's time for you men to stand up in the info form.
[00:53:54.287 --> 00:54:02.393]  If they do, though, please have plenty of video cameras there to catch it on tape because everybody out there in YouTube land, you know, we need more evidence.
[00:54:03.174 --> 00:54:14.163]  As if there isn't enough evidence, we need more evidence that these people are tyrannical, you know, jerks, essentially, and that we just have to keep pointing it out every step of the way as we reclaim our rights.
[00:54:14.403 --> 00:54:16.745]  We will be live streaming the day of the event.
[00:54:16.785 --> 00:54:20.269]  We will also be live streaming the Rights Workshop the evening before.
[00:54:21.250 --> 00:54:24.633]  And people are welcome to come and join us and watch us on live stream.
[00:54:24.933 --> 00:54:26.775]  It's on both of those websites I mentioned.
[00:54:26.795 --> 00:54:30.639]  Yeah, we'd love to have people involved in that.
[00:54:30.799 --> 00:54:31.299]  Oh, that's right.
[00:54:31.320 --> 00:54:33.402]  You're going to tell people about their rights?
[00:54:34.326 --> 00:54:48.641]  Yeah, we're having a rights workshop on Friday before the event and just a basic training course for people so they understand, like, a history of peaceful non-compliance and how to stand up for your rights and what to do in the case of conflict, how to maintain peace.
[00:54:49.301 --> 00:54:49.922]  Well, excellent.
[00:54:50.262 --> 00:54:53.706]  Positive, positive change going out there for the people.
[00:54:53.726 --> 00:54:55.107]  Appreciate you coming on.
[00:54:55.167 --> 00:54:55.748]  Tell us about it.
[00:54:55.788 --> 00:54:56.769]  Good luck with your event.
[00:54:57.866 --> 00:55:00.867]  On, it's August 17th and 18th, I believe.
[00:55:00.887 --> 00:55:01.327]  Is that right?
[00:55:01.627 --> 00:55:02.167]  That's correct.
[00:55:02.468 --> 00:55:02.948]  All right.
[00:55:03.388 --> 00:55:10.370]  Well, you can check more out about it at farmfoodfreedom.org or rawmilkfreedomwriters.com.
[00:55:10.610 --> 00:55:11.490]  Thank you, Liz Reitzig.
[00:55:11.950 --> 00:55:12.351]  Thanks, Rob.
[00:55:12.651 --> 00:55:13.211]  You have a good day.
[00:55:13.631 --> 00:55:13.971]  You too.
[00:55:15.111 --> 00:55:15.512]  All right.
[00:55:15.612 --> 00:55:17.112]  And that is our show for today.
[00:55:17.392 --> 00:55:21.813]  I finished my glass of milk, my evil al-Qaeda milk, while I was talking to Liz.
[00:55:21.874 --> 00:55:22.474]  It was great.
[00:55:22.614 --> 00:55:23.714]  I feel nourished.
[00:55:23.794 --> 00:55:24.474]  I feel healthy.
[00:55:24.494 --> 00:55:25.735]  And you know what I like about the raw milk?
[00:55:27.315 --> 00:55:35.884]  They tell you the day it was pumped out of the cow or milked out of the cow, which was, in this case, it was August 3rd.
[00:55:37.365 --> 00:55:41.950]  Unlike the milk you buy at the regular stores, which it tells you the date it's good until.
[00:55:42.630 --> 00:55:45.173]  And I like to know when my milk actually comes out of the cow.
[00:55:45.433 --> 00:55:46.174]  I appreciate that.
[00:55:47.518 --> 00:55:52.061]  I'm not making light of the things here by drinking milk on camera and doing this stuff like that.
[00:55:52.121 --> 00:55:55.683]  Actually, we have a movie that really goes in depth to this problem.
[00:55:55.703 --> 00:56:00.166]  It's called Farmageddon, and if you haven't seen it, it is really an amazing movie.
[00:56:00.206 --> 00:56:02.548]  It's done by first-time director Kristen Canty.
[00:56:03.468 --> 00:56:05.929]  And it explores, I'm just going to read the back here.
[00:56:06.009 --> 00:56:10.271]  Americans' right to access fresh, healthy foods of their choice is under attack.
[00:56:10.771 --> 00:56:25.536]  Farmageddon tells the story of small family farms that were providing safe, healthy foods to their communities and were forced to stop, sometimes through violent action, by agents of misguided government bureaucracies and seeks to figure out why.
[00:56:26.797 --> 00:56:32.559]  This is a really good movie, and if you haven't seen it, you can get it at Infowarshop.com.
[00:56:33.131 --> 00:56:34.212]  You can go to our online store.
[00:56:34.793 --> 00:56:37.577]  It's another way to support us, and we really appreciate it.
[00:56:38.077 --> 00:56:43.825]  And we can always use the support, so check out Pharmageddon at InfoWarsShop.com.
[00:56:44.673 --> 00:56:45.634]  That's our show for today.
[00:56:45.674 --> 00:56:50.359]  Thanks to Paul Joseph Watson and David Knight for both stepping up and doing the news portion.
[00:56:50.839 --> 00:56:51.520]  I'm Rob Dew.
[00:56:51.600 --> 00:56:56.565]  Don't forget, if you're not a member of PrisonPlanet.TV, it's the way we make this happen.
[00:56:57.325 --> 00:56:57.846]  This is it.
[00:56:57.906 --> 00:57:04.012]  PrisonPlanet.TV gets the reporters here, pays for the cameras, pays for the lights, pays for the light bulbs.
[00:57:05.004 --> 00:57:06.145]  We've got all kinds of stuff.
[00:57:06.165 --> 00:57:14.890]  You can watch the nightly news, you can watch the daily show, we have all of Alex's movies, plus some other movies other people have given us permission to host on there.
[00:57:15.550 --> 00:57:21.733]  Both of Alex's, Alex's book and Paul Joseph Watson's books, Alex's rant section, lots of stuff there.
[00:57:21.913 --> 00:57:23.354]  We have a 15-day free trial.
[00:57:23.874 --> 00:57:27.356]  If you're watching this on YouTube for free right now, please consider becoming a member.
[00:57:27.396 --> 00:57:28.537]  It really does support us.
[00:57:28.953 --> 00:57:35.459]  And we are not funded by George Soros or Time Warner or GE or any other military industrial complex out there.
[00:57:35.499 --> 00:57:37.381]  We are funded by you out there.
[00:57:37.882 --> 00:57:40.925]  So please consider becoming a member of PrisonPlanet.tv.
[00:57:41.385 --> 00:57:42.526]  And with that, that's our show.
[00:57:42.926 --> 00:57:43.967]  We'll see you again tomorrow.
[00:57:45.349 --> 00:57:46.510]  Keep fighting for freedom!
