[00:00:22.233 --> 00:00:24.815]  Welcome, it's Wednesday, February 22nd, 2012.
[00:50:53.905 --> 00:50:54.566]  Ron Paul.
[00:50:54.706 --> 00:50:55.386]  Ron Paul.
[00:50:55.486 --> 00:50:57.088]  Is the one we've been looking for.
[00:50:57.108 --> 00:50:59.570]  I'm Ron Paul and I approve this message.
[00:51:02.918 --> 00:51:04.740]  Greetings, fellow InfoWarriors.
[00:51:05.381 --> 00:51:13.109]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:51:13.409 --> 00:51:23.320]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:51:23.740 --> 00:51:27.482]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:51:27.762 --> 00:51:29.143]  What makes them tick and how to defeat them.
[00:51:29.443 --> 00:51:31.845]  So I'm titling this key speech I'm going to give.
[00:51:32.345 --> 00:51:34.046]  It'll run around two hours long.
[00:51:34.647 --> 00:51:36.428]  Blueprint to Defeat the New World Order.
[00:51:36.708 --> 00:51:42.451]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:51:42.892 --> 00:51:45.013]  First off, I'm going to be going to Dallas, Texas.
[00:51:45.413 --> 00:51:46.974]  Sunday, February 19th, 2012.
[00:51:47.294 --> 00:51:49.836]  To the historic Lakewood Theater.
[00:51:50.416 --> 00:51:54.621]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:51:55.262 --> 00:52:00.929]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:52:01.889 --> 00:52:05.331]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:52:05.951 --> 00:52:09.833]  So get your tickets early at InfoWars.com forward slash events.
[00:52:10.153 --> 00:52:12.114]  There's a lot of crazy stuff going on in this world.
[00:52:12.815 --> 00:52:15.356]  The craziest of all is this explosive awakening.
[00:52:16.036 --> 00:52:17.797]  I can't wait to meet you and shake your hand.
[00:52:18.237 --> 00:52:20.218]  I'll see you in Dallas and I'll see you in Orlando.
[00:52:20.879 --> 00:52:22.820]  InfoWars.com forward slash events.
[00:52:36.257 --> 00:52:37.198]  And we're back from break.
[00:52:37.238 --> 00:52:46.643]  We're joined now by a guest who really needs no introduction for our audience, but he is the former sheriff of Graham County, Arizona, and you know him better as Sheriff Richard Mack.
[00:52:46.683 --> 00:52:47.544]  Thanks for joining us, sir.
[00:52:47.584 --> 00:52:48.024]  Hey, Eric.
[00:52:48.604 --> 00:52:49.725]  Good to see you again.
[00:52:49.925 --> 00:52:51.706]  Yeah, so no Alex, huh?
[00:52:52.167 --> 00:52:53.347]  Well, Alex is on the road.
[00:52:53.647 --> 00:52:57.670]  He just spoke in Dallas last Sunday, and then he's going to be speaking in Orlando this Sunday.
[00:52:57.970 --> 00:52:59.851]  Well, I'm glad he's keeping busy, you know?
[00:53:00.072 --> 00:53:02.994]  Yeah, he's reaching out, and we're trying to make this awakening happen.
[00:53:03.014 --> 00:53:06.496]  I'm going to tell you right now, I'm going to be shocked if he's busier than I am.
[00:53:06.817 --> 00:53:07.177]  Yes, sir.
[00:53:08.598 --> 00:53:09.619]  But I'm glad he's busy.
[00:53:09.699 --> 00:53:11.981]  Well, tell us what all you're up to, because it's quite a bit.
[00:53:12.381 --> 00:53:15.543]  Well, as you know, we just completed our first
[00:53:16.684 --> 00:53:26.170]  Constitutional Sheriff Convention in Las Vegas and that was January 30th and I'm going to tell you it was just an absolute resounding success.
[00:53:27.230 --> 00:53:28.171]  It couldn't have been better.
[00:53:28.191 --> 00:53:34.915]  I guess the only way it could have been better is if instead of having 90 sheriffs that we would have had 150 or 200.
[00:53:38.917 --> 00:53:42.381]  We did a grassroots effort to raise the money for this event.
[00:53:42.441 --> 00:53:45.764]  We paid for all the sheriff's travel expenses.
[00:53:46.104 --> 00:53:47.045]  We paid for the hotel.
[00:53:47.105 --> 00:53:47.946]  We paid for the food.
[00:53:48.787 --> 00:53:51.310]  And the people all across America made that happen for us.
[00:53:52.291 --> 00:53:56.975]  And now, absolutely, we want to have another one and we're planning to have another one.
[00:53:59.217 --> 00:54:06.221]  What this convention did for all of us, including the sheriffs that were there, it proved this works.
[00:54:07.201 --> 00:54:11.423]  It absolutely proved that what we're doing is legitimate.
[00:54:12.183 --> 00:54:16.786]  And, I mean, here we have the Denver Post article about it, and what is the headline?
[00:54:17.346 --> 00:54:23.109]  Emerging movement encourages sheriffs to act as a shield against federal tyranny.
[00:54:24.522 --> 00:54:27.284]  And people want to call that crazy or radical.
[00:54:27.504 --> 00:54:28.825]  Couldn't be more constitutional.
[00:54:28.985 --> 00:54:30.926]  It's absolutely constitutional.
[00:54:31.007 --> 00:54:33.328]  It's American, for God's sakes.
[00:54:34.889 --> 00:54:37.491]  Nobody should do anything about tyranny.
[00:54:37.611 --> 00:54:40.132]  Just let the federal government do whatever they're going to do.
[00:54:40.673 --> 00:54:42.114]  Right now, we have
[00:54:42.754 --> 00:54:48.040]  The EPA shutting down land, and this was part of our presentation.
[00:54:48.460 --> 00:54:53.866]  The Sackett family in Idaho was fined $32,500 a day.
[00:54:54.227 --> 00:54:54.888]  And you know why?
[00:54:55.548 --> 00:55:00.193]  Because they were making a foundation to build a home on their own property.
[00:55:01.112 --> 00:55:03.613]  Building a home on their own property.
[00:55:04.313 --> 00:55:13.736]  And now we have Amish farmers in Indiana, and Ohio, and Pennsylvania, Maryland, and where I just came back from, Wisconsin.
[00:55:14.777 --> 00:55:24.000]  And I was talking to one sheriff about it, and another reporter, he says, well, one of those guys you were talking about, you called Amish, he's not Amish anymore.
[00:55:25.000 --> 00:55:28.702]  And I said, well, his fundamental beliefs are, but I don't care if he's atheist!
[00:55:29.062 --> 00:55:29.322]  Right.
[00:55:29.542 --> 00:55:32.564]  You know, it doesn't matter what church you belong to.
[00:55:33.424 --> 00:55:48.732]  The thing that I'd like to bring up about that some of them are Amish, that they're going after, and indeed the FDA was going after David Hostetler in Indiana because he wouldn't pasteurize his milk.
[00:55:49.652 --> 00:55:53.034]  I find it so astonishingly hypocritical and corrupt.
[00:55:53.792 --> 00:56:00.956]  That our country, our government brags, we don't arrest you anymore for failing to get to the back of the bus.
[00:56:01.316 --> 00:56:04.878]  We don't arrest you anymore for not giving your seat to a white man.
[00:56:05.398 --> 00:56:09.060]  Oh yeah, but we will arrest you for not pasteurizing your milk.
[00:56:10.031 --> 00:56:13.312]  You know, and again, I don't care what religion any American is.
[00:56:14.372 --> 00:56:17.733]  I don't care what your personal beliefs are.
[00:56:18.353 --> 00:56:19.573]  In America, we don't do that.
[00:56:20.493 --> 00:56:23.094]  And that you don't get the proper license.
[00:56:23.134 --> 00:56:33.556]  But the problem with, part of this is, is that one of the Amish farmers had allowed the FDA to come on his property and do an inspection.
[00:56:34.396 --> 00:56:35.196]  Several times!
[00:56:35.876 --> 00:56:38.197]  And he passed the inspection with flying colors!
[00:56:38.777 --> 00:56:41.320]  You know, we've got this here just to bring up as a bypass.
[00:56:41.380 --> 00:56:45.764]  The Queen has been caught loving raw milk but she won't let Canadians drink it.
[00:56:46.085 --> 00:56:47.366]  We're not supposed to drink it here.
[00:56:47.787 --> 00:56:48.788]  I've been drinking raw milk.
[00:56:48.828 --> 00:56:49.869]  I think it's really good for you.
[00:56:49.889 --> 00:56:51.871]  It's got all the amino acids in there.
[00:56:52.111 --> 00:56:57.076]  It is really good for you and the thing of it is, I flew out to Madison, Wisconsin.
[00:56:57.717 --> 00:57:01.661]  To drink milk with Max Cain and Vernon Hershberger.
[00:57:02.322 --> 00:57:08.709]  Max Cain is not Amish, but Vernon Hershberger grew up Amish, and he's left some of the Amish traditions.
[00:57:09.149 --> 00:57:13.053]  Like, he will drive a car, and he does have a computer, and stuff like that.
[00:57:13.093 --> 00:57:15.215]  But his fundamental beliefs are still Amish.
[00:57:16.076 --> 00:57:18.957]  And he has a wonderful family, and I went to his farm.
[00:57:20.218 --> 00:57:24.760]  But as I said, I went all the way out from Arizona, and I live in Texas now, as you know.
[00:57:25.580 --> 00:57:27.961]  But this was a year and a half ago, and I still lived in Arizona.
[00:57:28.021 --> 00:57:39.586]  Flew all the way out, had never met Vernon Hershberger or Max Kane, went to the state capitol steps, and drank illegal contraband.
[00:57:39.666 --> 00:57:40.947]  We've got it on screen right now.
[00:57:41.027 --> 00:57:41.727]  There it is!
[00:57:41.867 --> 00:57:43.588]  There I am, drinking my milk.
[00:57:44.369 --> 00:57:48.855]  With Vernon Hershberger and Max Cain and breaking the law!
[00:57:49.972 --> 00:57:51.293]  On the state capitol steps.
[00:57:52.134 --> 00:57:57.778]  And I went all the way from Arizona to Wisconsin to drink raw milk.
[00:57:57.858 --> 00:57:58.478]  And you know what?
[00:57:59.339 --> 00:57:59.939]  I hate milk.
[00:58:00.920 --> 00:58:01.981]  I don't even like milk.
[00:58:02.041 --> 00:58:02.521]  Never have.
[00:58:02.861 --> 00:58:11.868]  This is the first time my children, who are all adults, my oldest is 36, and this is the first time ever my kids have seen me drink a glass of milk.
[00:58:12.688 --> 00:58:14.770]  But I will tell you, you are correct.
[00:58:16.145 --> 00:58:19.586]  Raw milk tastes better than store-bought milk than pasteurized milk.
[00:58:19.666 --> 00:58:20.186]  Oh, there's no question.
[00:58:20.206 --> 00:58:22.027]  And it's ten times better for you.
[00:58:22.787 --> 00:58:23.647]  Yeah.
[00:58:24.367 --> 00:58:30.909]  But of course the FDA now wants to shut them down and actually the one in Wisconsin is the state government.
[00:58:31.369 --> 00:58:39.751]  The state government is now trying to put Vernon Hershberger in jail because he will not pasteurize his milk.
[00:58:40.371 --> 00:58:42.992]  This is a farm that's been in their family for a long time
[00:58:43.952 --> 00:58:49.197]  And all this is, is they feed cows grass.
[00:58:49.437 --> 00:58:49.837]  That's it.
[00:58:50.177 --> 00:58:50.658]  Grass.
[00:58:51.378 --> 00:58:52.059]  Only grass.
[00:58:52.139 --> 00:58:52.479]  That's it.
[00:58:52.499 --> 00:58:53.000]  Very dangerous.
[00:58:53.020 --> 00:58:53.640]  Not corn.
[00:58:53.740 --> 00:58:54.281]  Oh yeah, I know.
[00:58:54.921 --> 00:59:06.411]  And then they take the milk and put it in some containers, right from the cows, and they provide it to some of their friends and family members and neighbors.
[00:59:06.751 --> 00:59:08.052]  You know, friends and neighbors.
[00:59:10.345 --> 00:59:11.686]  We want to put him in jail for that.
[00:59:11.946 --> 00:59:16.389]  But that's why we had to bring back the conversation about the Constitution, because it's Alice in Wonderland otherwise.
[00:59:16.749 --> 00:59:18.850]  I mean, what do you think about the whole GMO issue?
[00:59:18.870 --> 00:59:31.177]  They're doing all this lab-made food so-called, and they won't even label it, and they're fast-tracking that stuff, but they're shutting down organic food conventions in Nevada, because it's not an isolated case with the Amish.
[00:59:31.197 --> 00:59:32.218]  It's lemonade stands.
[00:59:32.278 --> 00:59:32.938]  It's everything.
[00:59:33.379 --> 00:59:34.841]  Lemonade stands, exactly.
[00:59:34.861 --> 00:59:44.094]  You know, the seven-year-old girl in California got arrested or something or charged or fined, ticketed by cops because she wasn't licensed to do lemonade.
[00:59:44.694 --> 00:59:48.420]  And I'm going to tell you right now, every chance I get, I drink
[00:59:49.450 --> 00:59:55.051]  Raw milk, and use raw cheese and other raw dairy products.
[00:59:55.831 --> 01:00:09.494]  And when I was out in Wisconsin, I'm just talking two weeks ago, I was out there on the Hershberger farm, and I had an entire mill, twice, with products just from his farm.
[01:00:10.015 --> 01:00:11.175]  Everything right from his farm.
[01:00:12.967 --> 01:00:19.014]  His family, all his children, help with the processing of the farm, work on the farm.
[01:00:19.374 --> 01:00:29.626]  I've never seen more well-adjusted children, happier children, healthier children, a good American family, and what are they getting?
[01:00:30.487 --> 01:00:33.030]  Threats from our government to go to jail.
[01:00:34.111 --> 01:00:40.517]  And we're going to destroy their farm, we're going to destroy their land, we're going to destroy their family as much as we possibly can.
[01:00:41.157 --> 01:00:46.862]  And quite frankly, a lot of what my book is about is that very issue, the magic of gun control.
[01:00:46.922 --> 01:00:53.288]  It sounds like I'm only talking about gun control, but quite frankly, I'm talking about all the abuses going on.
[01:00:53.828 --> 01:00:55.449]  There's magic in our government.
[01:00:55.630 --> 01:00:57.691]  Only our government can keep us safe.
[01:00:57.831 --> 01:00:59.573]  Only gun control can keep us safe.
[01:01:00.974 --> 01:01:11.600]  World history has taught us that all that is a big farce, so you have to believe, if you're going to believe today's politicians, you have to believe that there's magic.
[01:01:12.080 --> 01:01:18.644]  And quite frankly, the book points out, I invented a new word for the book, polymagician.
[01:01:19.184 --> 01:01:19.364]  Yeah.
[01:01:19.984 --> 01:01:24.186]  And a poly-magician is, of course, an illusionist and a politician put together.
[01:01:24.546 --> 01:01:25.746]  So, poly-magician.
[01:01:26.166 --> 01:01:28.747]  So, you gotta go to SheriffMac.com to get the book.
[01:01:28.787 --> 01:01:30.848]  An illusionist for the many or the masses.
[01:01:30.908 --> 01:01:32.629]  Yeah.
[01:01:32.689 --> 01:01:35.950]  So, it talks about the food freedom.
[01:01:36.690 --> 01:01:41.312]  And everybody should be just simply saying, let's live and let live in this country.
[01:01:41.453 --> 01:01:44.714]  I don't know why our government doesn't go by that one simple rule.
[01:01:45.335 --> 01:01:46.055]  Live and let live.
[01:01:46.395 --> 01:01:51.678]  If I'm not hurting anybody else, and of course these Amish farmers would never hurt anybody.
[01:01:51.718 --> 01:01:55.760]  They're completely the most peaceful people on the face of the planet.
[01:01:56.580 --> 01:01:58.121]  Good, honest American people.
[01:01:58.761 --> 01:02:00.242]  And of course, what does our government do?
[01:02:01.243 --> 01:02:05.025]  Our government hasn't got one simple thing straight for a long time.
[01:02:05.994 --> 01:02:08.136]  Leave people alone.
[01:02:09.097 --> 01:02:13.500]  Government has to leave me alone unless I'm hurting someone else.
[01:02:14.641 --> 01:02:21.206]  Which brings us to, when I say polymagician, I naturally think of Lamar Smith.
[01:02:22.947 --> 01:02:24.488]  And there's going to be an interesting race there.
[01:02:24.508 --> 01:02:25.389]  Why don't you tell us about it?
[01:02:28.786 --> 01:02:31.627]  Now I moved to Texas not even quite a year ago.
[01:02:32.588 --> 01:02:37.230]  And as I told Alex before on our last show, I didn't move to Texas to run for anything.
[01:02:37.310 --> 01:02:41.692]  I just wanted to move to Texas to concentrate on the constitutional sheriff movement.
[01:02:42.353 --> 01:02:45.174]  And as the Denver Post pointed out, it is a movement.
[01:02:45.234 --> 01:02:46.735]  It's an emerging movement.
[01:02:47.455 --> 01:02:47.935]  And it is.
[01:02:48.375 --> 01:02:50.156]  And it is a successful one.
[01:02:50.617 --> 01:02:51.877]  And it is a powerful one.
[01:02:52.517 --> 01:03:03.703]  And one of the sheriffs from Oregon said that some of the sheriffs out in the West, in Oregon, told him not to attend because our convention was going to be too radical.
[01:03:04.403 --> 01:03:10.686]  And this sheriff came up and shook my hand and said, hey, you know, I was told not to come to this because it was too radical.
[01:03:10.746 --> 01:03:12.987]  And he said, there's nothing radical here.
[01:03:13.629 --> 01:03:14.670]  This is just America.
[01:03:14.850 --> 01:03:25.097]  Yeah, the Denver Post, it wasn't really a bad article, but they kind of made it sound like, oh, it's scary that citizens are asking their sheriffs to attend this event and telling them they're not going to vote for them if they don't want to be constitutional.
[01:03:25.437 --> 01:03:26.878]  Oh man, you don't want to do that.
[01:03:27.179 --> 01:03:29.500]  You see, a constituent doesn't have the right to do that.
[01:03:29.660 --> 01:03:31.662]  And we've got some of the photos on the screen, by the way.
[01:03:32.122 --> 01:03:36.185]  Now that's Peggy Littleton and her county sheriff.
[01:03:36.825 --> 01:03:39.927]  Peggy Littleton is a county commissioner from Colorado.
[01:03:40.928 --> 01:03:44.710]  Sheriff Makita is standing there next to her and he's her county sheriff.
[01:03:45.130 --> 01:03:51.653]  They are working together to oppose and nullify the NDAA.
[01:03:52.213 --> 01:03:56.095]  Actually trying to protect their citizens in tandem.
[01:03:56.716 --> 01:03:59.637]  Which in my book I say, there's an equation in my book.
[01:04:00.317 --> 01:04:07.681]  A constitutional county commissioner plus a constitutional sheriff equals liberty.
[01:04:08.837 --> 01:04:10.700]  And that's exactly, that's all we're talking about.
[01:04:10.740 --> 01:04:12.884]  And let's make a point very clear here.
[01:04:15.509 --> 01:04:19.756]  I have never advocated violence against the federal government.
[01:04:20.458 --> 01:04:20.778]  Of course.
[01:04:20.958 --> 01:04:21.720]  And I will never.
[01:04:22.694 --> 01:04:28.639]  And now I'm suing the Southern Poverty Law Center, as you're very much aware, because they said I did.
[01:04:29.420 --> 01:04:46.515]  And that has caused a great deal of damage towards me and what I'm trying to do, because all their publications get out all over the country to law enforcement agencies, and in fact Time Magazine even said that I said that, and I guess they were quoting the Southern Poverty Law Center.
[01:04:47.276 --> 01:04:50.659]  Well, I'm plain and simply not going to put up with it anymore.
[01:04:50.719 --> 01:04:55.204]  The Southern Poverty Law Center is such a dishonest organization and they've lied about me since 1994.
[01:04:56.965 --> 01:05:10.698]  When all of a sudden I'm so shocked that I'm in these books from Morris Deas and the Southern Poverty Law Center that I'm some horrible threat and terrorist and you know all that I did to gain that
[01:05:13.112 --> 01:05:14.193]  You didn't believe in the magic.
[01:05:15.375 --> 01:05:16.717]  I did not believe in the magic.
[01:05:17.719 --> 01:05:25.571]  All I did was file a lawsuit against the Clinton administration to stop the Brady Bill because the federal government wanted to force me into
[01:05:27.035 --> 01:05:32.678]  Compliance and to go along with their idiotic, stupid mandates to comply with the Brady Bill.
[01:05:33.278 --> 01:05:36.620]  And I just simply said the federal government can't tell me what to do.
[01:05:37.140 --> 01:05:37.840]  Is that so hard?
[01:05:37.901 --> 01:05:38.601]  Is that so wrong?
[01:05:38.921 --> 01:05:47.985]  That makes me a terrorist because I don't want to go along with the Clinton administration and this ridiculous violation of the Constitution known as the Brady Bill.
[01:05:48.046 --> 01:05:49.966]  And that went all the way to the Supreme Court and you beat him.
[01:05:50.167 --> 01:05:50.647]  And I beat him.
[01:05:51.287 --> 01:05:59.190]  And so Lamar Smith better know you're a fighter, and people know about his tyranny, people are waking up, and it's those kind of people in Congress whose time has come, I think.
[01:05:59.410 --> 01:06:03.091]  Yeah, and you know, quite frankly, let's look at all the things that Lamar Smith has done.
[01:06:03.131 --> 01:06:04.392]  He voted for the Patriot Act.
[01:06:04.752 --> 01:06:06.372]  He voted for the NDAA.
[01:06:07.233 --> 01:06:13.055]  In fact, as a Republican, he has given the ultimate power
[01:06:13.840 --> 01:06:19.102]  To the worst president in American history, to Barack Obama, and has taken us full circle.
[01:06:19.782 --> 01:06:22.183]  That's exactly what King George III was doing.
[01:06:23.204 --> 01:06:35.028]  So we've come full circle, and who gave Barack Obama now the power to use military against American citizens without any recourse, no habeas corpus, no Bill of Rights, no nothing, no trials,
[01:06:37.489 --> 01:06:37.930]  I don't know.
[01:06:54.012 --> 01:06:54.573]  I don't think so.
[01:07:10.544 --> 01:07:11.725]  And you know why they want to do that.
[01:07:11.765 --> 01:07:16.027]  They want to tax it to death and tax it out of existence, but they can't balance the budget.
[01:07:16.287 --> 01:07:18.268]  This is another thing Congress has failed at.
[01:07:18.909 --> 01:07:25.753]  They've now gone over a thousand days without establishing a budget, so they've broken the law there, haven't done their job.
[01:07:26.713 --> 01:07:27.874]  And isn't it amazing?
[01:07:29.083 --> 01:07:30.964]  Remember Martha Stewart, why she went to prison?
[01:07:31.544 --> 01:07:32.405]  Insider trading.
[01:07:32.605 --> 01:07:33.505]  Insider trading!
[01:07:33.525 --> 01:07:34.766]  She must have been really bad.
[01:07:34.966 --> 01:07:36.026]  Oh my gosh!
[01:07:36.246 --> 01:07:43.409]  Went to prison for six months and yet now the newspapers report that Lamar Smith has done the exact same thing.
[01:07:43.969 --> 01:07:44.970]  In fact, even worse.
[01:07:45.610 --> 01:07:52.713]  He actually worked on a committee in Washington DC to get a company, a private company, a contract with the federal government.
[01:07:53.193 --> 01:07:56.975]  A few days before that was official, he invested in that company.
[01:07:58.255 --> 01:07:59.096]  I wouldn't say anything.
[01:07:59.176 --> 01:08:00.117]  I didn't make any of this up.
[01:08:00.197 --> 01:08:02.379]  I just read the newspapers, just like anybody else can do.
[01:08:03.240 --> 01:08:07.744]  And so the newspaper asked him about that and he said, well, my broker did it.
[01:08:08.405 --> 01:08:09.486]  It was just a coincidence.
[01:08:10.387 --> 01:08:11.248]  All five times.
[01:08:12.188 --> 01:08:14.270]  Five times he invested in that same company.
[01:08:14.290 --> 01:08:19.535]  Now he's making thousands using his position, my dear friends, using his position
[01:08:20.492 --> 01:08:23.776]  To make money off the backs of these kinds of deals.
[01:08:23.816 --> 01:08:24.617]  Well, insider trading.
[01:08:24.637 --> 01:08:25.298]  Insider trading.
[01:08:25.458 --> 01:08:27.260]  Doesn't that come closer to racketeering?
[01:08:27.841 --> 01:08:28.181]  It is.
[01:08:28.542 --> 01:08:29.703]  It should be illegal.
[01:08:30.683 --> 01:08:36.706]  And they even suggested that they should make it illegal, and of course, Lamar Smith opposed that.
[01:08:37.186 --> 01:08:39.627]  This is what happens when we have career politicians.
[01:08:39.947 --> 01:08:42.369]  This is what happens when people stay in Washington, D.C.
[01:08:42.389 --> 01:08:42.869]  too long.
[01:08:43.369 --> 01:08:44.510]  And I will not do that.
[01:08:44.910 --> 01:08:46.891]  First of all, my record speaks for itself.
[01:08:47.111 --> 01:08:52.913]  I will follow the Constitution, and anybody who wants to help out with this campaign, we really need your help.
[01:08:53.274 --> 01:08:55.455]  Just go to, and this is a great one, I love this line.
[01:08:56.315 --> 01:08:59.098]  SheriffMacForCongress.com.
[01:08:59.438 --> 01:09:04.482]  And I love telling Lamar Smith, hey, I'm coming to Washington.
[01:09:04.863 --> 01:09:06.124]  There's a new sheriff in town.
[01:09:08.005 --> 01:09:09.427]  The tagline's ready to go.
[01:09:09.527 --> 01:09:10.407]  Yeah, exactly.
[01:09:10.447 --> 01:09:14.771]  And I feel like saying, Mr. Smith, instead of going to Washington, Mr. Smith goes to Washington.
[01:09:15.252 --> 01:09:17.694]  Mr. Smith, get out of Washington.
[01:09:17.714 --> 01:09:18.855]  And I'm a go candidate.
[01:09:20.136 --> 01:09:21.137]  Get out of our house.
[01:09:21.457 --> 01:09:21.677]  Yeah.
[01:09:21.817 --> 01:09:22.858]  Yeah, get out of our house.
[01:09:22.878 --> 01:09:23.959]  Well, he's not the only one.
[01:09:23.979 --> 01:09:25.781]  There's a lot of people who need to leave Washington.
[01:09:25.801 --> 01:09:27.582]  Well, and GO is trying to go after a lot of them.
[01:09:27.843 --> 01:09:31.166]  And I'm glad you said that because, yeah, we need to get rid of all the incumbents.
[01:09:31.366 --> 01:09:33.828]  I have a bumper sticker that says re-elect no one.
[01:09:34.448 --> 01:09:35.529]  And that's really how I feel.
[01:09:36.330 --> 01:09:40.934]  And I'm here to tell you and everybody else, I will not stay over eight years.
[01:09:41.274 --> 01:09:41.595]  That's it.
[01:09:42.115 --> 01:09:43.877]  Eight years was good enough for George Washington.
[01:09:44.497 --> 01:09:47.179]  It should be good enough for Lamar Smith and everybody else.
[01:09:47.639 --> 01:09:54.464]  The Founding Fathers never intended that we'd have career politicians destroying our country, and I do mean that.
[01:09:54.625 --> 01:10:11.077]  Now, James Madison, in my book, I quote Madison, and he says that the American people will lose more freedom from those in power than by any sudden war or attack from a foreign enemy.
[01:10:12.267 --> 01:10:13.368]  This is where we're at today.
[01:10:14.068 --> 01:10:21.492]  Our own government, and our own leaders, destroying our Constitution, trampling the principles of freedom that our country was founded upon.
[01:10:22.312 --> 01:10:23.973]  Why don't we hold them accountable for this?
[01:10:24.793 --> 01:10:30.876]  You know, and quite frankly, it's not a political thing, it's not a Democrat thing, it's not a Republican thing.
[01:10:31.296 --> 01:10:33.497]  We've got to stand on principle in this country.
[01:10:33.958 --> 01:10:35.738]  We've got to stand for the Constitution.
[01:10:36.139 --> 01:10:40.561]  If we're not going to do that, then what makes us any better than anybody else that's in jail?
[01:10:41.366 --> 01:10:44.869]  And Sheriff, let's talk more about the NDAA, because I know you've studied history.
[01:10:44.889 --> 01:10:49.292]  You know about Soviet Russia and China and the Stasi in East Germany.
[01:10:49.392 --> 01:10:55.236]  And isn't Homeland Security and the NDAA moving us all dangerously close to those trends?
[01:10:55.276 --> 01:10:59.058]  It's just classical tyranny, and they think they're going to bring that down on this country.
[01:10:59.539 --> 01:11:05.883]  And I don't know if people are talking enough about NDAA, but we've got states saying no, passing bills, saying they're not going to go along with it.
[01:11:06.263 --> 01:11:08.465]  You've already talked about the people at the county level.
[01:11:08.485 --> 01:11:10.446]  Let's talk some more about that.
[01:11:10.526 --> 01:11:13.387]  Well, it was a big part of our Constitutional Sheriff Convention.
[01:11:13.427 --> 01:11:24.812]  The NDA came up frequently, and our federal government could be so blatant and open about such a horrible violation of the Constitution.
[01:11:25.332 --> 01:11:30.994]  This is basically our own government declaring war on our own Bill of Rights.
[01:11:31.675 --> 01:11:33.295]  Declaring war on freedom and liberty.
[01:11:33.836 --> 01:11:34.716]  And it all falls in.
[01:11:34.776 --> 01:11:36.217]  I mean, you're talking about GMOs.
[01:11:36.557 --> 01:11:39.478]  I mean, all the corn in this country right now is GMO.
[01:11:40.158 --> 01:11:40.939]  Yeah.
[01:11:40.979 --> 01:11:42.240]  Genetically modified corn.
[01:11:42.720 --> 01:11:43.080]  All of it.
[01:11:43.781 --> 01:11:47.704]  And I've even had farmers who aren't really too concerned about that.
[01:11:47.724 --> 01:11:55.710]  He says, oh yeah, Monsanto owns all our corn and all our farms and they tell us how to do this GMO corn and that's what we do.
[01:11:56.150 --> 01:11:59.833]  So, Agenda 21 was another big thing that we talked about at our convention.
[01:12:00.473 --> 01:12:08.920]  And I have to tell you, too, though, the entire convention started with a film that I put together that simply showed all the abuses going on in America.
[01:12:09.460 --> 01:12:14.023]  Then we went right into Michael Badnerik's one-hour review of the Bill of Rights.
[01:12:14.744 --> 01:12:22.510]  And then I did a half-hour deal on my Supreme Court case that you were just talking about, and how that restores the Tenth Amendment and state sovereignty.
[01:12:23.618 --> 01:12:32.146]  And so, right after that, we went to a break and I had a sheriff from Texas come up to me and he said, Sheriff, I've got to tell you something.
[01:12:32.947 --> 01:12:35.029]  I was really wondering about coming to this convention.
[01:12:36.170 --> 01:12:41.395]  And he put his hands up to his face and goes like this, you got me.
[01:12:42.441 --> 01:12:45.424]  And you know, I was so thrilled with that, and I said, you know what?
[01:12:45.704 --> 01:13:00.199]  The spirit of freedom was so strong in that room, you could cut it with a knife, and it was obvious that this sheriff felt it, he knew what he was talking about, he knew what he had felt, and here he comes now with a complete, almost like a testimonial.
[01:13:01.440 --> 01:13:02.862]  Saying, you got me.
[01:13:03.243 --> 01:13:03.724]  It worked.
[01:13:04.064 --> 01:13:04.986]  Whatever you had here.
[01:13:05.346 --> 01:13:07.950]  And we'd only been into the conference two and a half hours.
[01:13:08.251 --> 01:13:09.373]  This thing went all day.
[01:13:09.793 --> 01:13:12.678]  It started at 7.30 in the morning and went till 9.30 at night.
[01:13:12.858 --> 01:13:15.262]  Now could people not in law enforcement see these films too?
[01:13:15.282 --> 01:13:16.624]  Because this sounds like a good resource.
[01:13:16.684 --> 01:13:28.450]  Yes, yes, you can and you can get all this at countysheriffproject.org or go to sheriffmack.com and again, sheriffmack.com is where you can get the new book, The Magic of Gun Control.
[01:13:28.970 --> 01:13:35.153]  But really, and anybody who would like to help with the campaign, if you want to see me get this
[01:13:37.674 --> 01:13:38.314]  What would you call him?
[01:13:38.394 --> 01:13:42.635]  A rhino Republican or unconstitutional congressman out of office.
[01:13:43.976 --> 01:13:46.736]  The guy who helped get the NDAA in.
[01:13:47.277 --> 01:13:50.117]  And Mr. Lamar Sopa-Smith, that's what we call him now.
[01:13:50.557 --> 01:13:54.158]  Lamar Sopa-Smith, who wants the federal government to regulate the internet.
