[00:00:00.029 --> 00:00:01.213]  Correct from Austin.
[00:52:53.475 --> 00:52:54.617]  We aired some of it last Sunday.
[00:52:55.477 --> 00:52:59.762]  And he said, we're going under world government, run by private banks, who pay no taxes.
[00:52:59.962 --> 00:53:04.147]  You can go read the transcripts online or just type in Ron Paul's farewell address.
[00:53:05.708 --> 00:53:06.950]  It's got millions of views online.
[00:53:09.432 --> 00:53:09.993]  On C-SPAN.
[00:53:11.857 --> 00:53:15.658]  John Bowne's doing a project where we're putting documents, articles, news clips to everything he says.
[00:53:15.678 --> 00:53:16.379]  We're going to be airing it.
[00:53:16.639 --> 00:53:18.259]  You should be ready, what John, by the end of this week?
[00:53:20.240 --> 00:53:23.661]  I know you've been pulling double duty, but I want to, yeah, that's great.
[00:53:24.022 --> 00:53:25.942]  So Wednesday or Thursday, but take your time on this though.
[00:53:26.903 --> 00:53:40.368]  The point is, is that all of this is going on, and he says it is a group of organized, premeditated, these are quotes, authoritarian psychopaths.
[00:53:41.411 --> 00:53:41.831]  That's right.
[00:53:42.372 --> 00:53:43.573]  And he is a real scholar.
[00:53:43.633 --> 00:54:02.206]  He's done the research, so have I. And man, that's what's so chilling about this is, when you realize what this planet really is, and what we're really in the middle of, and the facades, and the stores, and all of it is just window dressing, folks, for groups that are spiking the food, the water, the air, everything.
[00:54:03.391 --> 00:54:04.713]  Our DNA is changing.
[00:54:05.113 --> 00:54:14.604]  I was listening yesterday to 590 AM, driving in the car, and they had some doctors on, different group of doctors, going, yeah, about hormone replacement for women.
[00:54:14.644 --> 00:54:17.207]  It's interesting shows on the weekend, almost better than the weekdays.
[00:54:17.247 --> 00:54:23.775]  The point is I tune in to different shows, Kenny Romeyer, you name it, but I was tuning in for local people listening on our local affiliate.
[00:54:24.945 --> 00:54:27.166]  And I listened to it for about 30 minutes.
[00:54:27.206 --> 00:54:32.709]  I got home and I was still listening in the car after, you know, sitting there for 10 minutes with my kids wanting to finish it.
[00:54:33.409 --> 00:54:44.415]  And the doctors were going, yeah, we used to do hormone replacement with progesterone and stuff, you know, for older women, but now it's young women's hairs falling out and thyroid problems.
[00:54:44.495 --> 00:54:47.476]  And we're seeing increases in cancer and stuff.
[00:54:47.517 --> 00:54:49.798]  So on and on and on.
[00:54:50.258 --> 00:54:52.059]  Well, yeah, of course you are.
[00:54:52.599 --> 00:54:54.140]  Again, go look at the real numbers.
[00:54:58.072 --> 00:55:05.873]  I mean, if you don't take this stuff serious, if you don't understand what's going on, folks, you better find out real fast.
[00:55:07.034 --> 00:55:15.455]  If you don't know what eugenics is, in the name of whatever god you pray to, or if you don't, if you pray to yourself, you know, you're a materialist, well, then I can't help you.
[00:55:16.095 --> 00:55:22.516]  All I can say is, man, this is so heavy, it's above my pay grade.
[00:55:23.176 --> 00:55:27.157]  And I'll tell you right now, I feel like a pile of garbage, because
[00:55:29.361 --> 00:55:34.102]  I know how hardcore this information is and I don't, I can't come up with words.
[00:55:34.942 --> 00:55:36.683]  I can't come up with the energy.
[00:55:36.883 --> 00:55:48.045]  I can't come up with the oratory flirtishes strong enough to properly convey to you the magnitude of what we face.
[00:55:48.365 --> 00:55:50.385]  And a lot of people say, well, Alex, that's fear mongering.
[00:55:50.405 --> 00:55:51.206]  You're trying to scare people.
[00:55:51.546 --> 00:55:53.306]  No, I think you're like I am.
[00:55:54.881 --> 00:56:04.228]  If a guy's coming to rob my house at night and I see somebody walking around out by my cars, I don't want to hide under the bed and wish somebody wasn't trying to break into my cars or break into my house.
[00:56:04.728 --> 00:56:10.232]  I'm not happy about it, but I'm going to go to the instant access safe and I'm going to pull out my shotgun.
[00:56:13.195 --> 00:56:17.878]  And I'm going to reach in and grab my holster and clip it on with two handguns.
[00:56:19.219 --> 00:56:22.742]  And I'm going to open the door and I'm going to tell you, put your hands up.
[00:56:23.655 --> 00:56:25.216]  And if you don't, I'm gonna kill you!
[00:56:29.881 --> 00:56:31.542]  Not because I live in fear, I live in power!
[00:56:31.562 --> 00:56:34.665]  I mean, I'm a throwback.
[00:56:34.705 --> 00:56:35.866]  I'm an old-fashioned guy.
[00:56:36.387 --> 00:56:37.227]  I'm looking for trouble.
[00:56:38.268 --> 00:56:38.849]  But you know what?
[00:56:38.889 --> 00:56:39.870]  Will you start something with me?
[00:56:39.910 --> 00:56:40.611]  I'm not afraid.
[00:56:40.631 --> 00:56:43.073]  I'm... I'm instinctive.
[00:56:44.691 --> 00:56:45.271]  And you know what?
[00:56:45.371 --> 00:56:49.292]  I've learned all this information and I would think you'd want to know this.
[00:56:49.872 --> 00:56:54.433]  I think you'd want to know foreign banks conquered us and are bragging about it in literally hundreds of publications a month.
[00:56:54.953 --> 00:57:01.755]  I think you'd want to know there's probably a hundred books back there on our bookshelf for the globalists brag they're poisoning our food and water and call us dumb animals.
[00:57:03.795 --> 00:57:05.856]  I think you'd want to know there's hundreds of textbooks published.
[00:57:05.876 --> 00:57:10.717]  They teach it right here at the University of Texas for the social workers that the family's a disease that has to be gotten rid of.
[00:57:11.676 --> 00:57:12.617]  I thought you'd want to know.
[00:57:13.378 --> 00:57:14.920]  I thought you'd want to stand up for yourself.
[00:57:15.181 --> 00:57:16.182]  I thought you'd want to live.
[00:57:16.723 --> 00:57:17.884]  But a lot of you don't.
[00:57:19.166 --> 00:57:19.907]  A lot of you don't.
[00:57:20.027 --> 00:57:22.590]  You're going to sign your wife, your children, everything over to evil.
[00:57:23.391 --> 00:57:27.797]  And you're just going to go watch another football game and act manly and strut around and try to sound mainstream.
[00:57:28.658 --> 00:57:28.998]  Okay!
[00:57:29.977 --> 00:57:32.439]  But let me tell you, the facade is about to disappear.
[00:57:32.999 --> 00:57:35.481]  And things are going to get worse and worse very, very quickly.
[00:57:36.041 --> 00:57:38.202]  Know that, and understand that.
[00:57:38.743 --> 00:57:43.966]  Coming up, we got a key Ron Paul clip backing my call for secession against the globalists.
[00:57:44.546 --> 00:57:47.548]  Not the secession the globalists told you about, but the real secession.
[00:57:47.949 --> 00:57:49.430]  Your phone calls and a lot more.
[00:57:49.470 --> 00:57:50.270]  I'll give the number out.
[00:57:50.350 --> 00:57:53.472]  A ton of news on the economy and the military and so much more.
[00:57:53.512 --> 00:57:54.433]  Second hour coming up.
[00:57:58.032 --> 00:58:03.036]  We just had a terrible storm in the east, but we are all still in the eye of the perfect storm.
[00:58:03.416 --> 00:58:11.283]  We have the most devastating economic conditions since the Great Depression, America's worst drought in agricultural history, and what about the presidential election?
[00:58:11.563 --> 00:58:15.246]  This perfect storm is a huge threat to everyone's food supply.
[00:58:15.546 --> 00:58:19.409]  eFoods Direct is preparing for the shortages, and you had better do the same.
[00:58:19.849 --> 00:58:21.811]  I can warn you, but I can't feed you.
[00:58:22.151 --> 00:58:25.453]  You know that eFoods is the best tasting and safest food on the planet.
[00:58:25.694 --> 00:58:28.876]  We all need a bunch of storable and usable food from eFoods Direct.
[00:58:29.236 --> 00:58:32.838]  None of us wants to be standing in a bread line trading our freedom for food.
[00:58:33.299 --> 00:58:37.401]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts.
[00:58:38.302 --> 00:58:39.983]  Go to efoodsdirect.com slash Alex.
[00:58:40.223 --> 00:58:48.106]  Starting Thursday, November 22nd at midnight through Monday, November 26th, you can save 25 to 30 percent on the Black Friday specials.
[00:58:48.366 --> 00:58:50.066]  Give the gift of food security.
[00:58:50.206 --> 00:58:53.728]  Would you rather prepare six months too early or one day too late?
[00:58:53.928 --> 00:58:56.409]  Go to efoodsdirect.com slash Alex.
[00:58:57.029 --> 00:58:59.812]  Have you ever wanted to generate your own supply of electrical power?
[00:59:00.092 --> 00:59:01.774]  Even save money on your electric bill?
[00:59:02.054 --> 00:59:05.377]  If so, this could be one of the most important messages you will ever hear.
[00:59:05.697 --> 00:59:07.759]  Solar power generators are now available.
[00:59:07.899 --> 00:59:11.343]  These emergency backup systems provide life-saving electrical power.
[00:59:11.543 --> 00:59:17.348]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:59:17.629 --> 00:59:20.992]  It's like having an electrical power plant running quietly in your own home.
[00:59:21.312 --> 00:59:25.913]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:59:26.053 --> 00:59:31.775]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[00:59:32.035 --> 00:59:33.095]  And here's the best news.
[00:59:33.315 --> 00:59:36.256]  A remarkable fall truckload sale is going on right now.
[00:59:36.476 --> 00:59:40.277]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:59:40.397 --> 00:59:42.978]  To find out why these solar generators are the best generators,
[00:59:43.178 --> 00:59:45.480]  You're listening to the Alex Jones Broadcasting Network.
[01:00:08.755 --> 01:00:14.777]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:15.377 --> 01:00:18.439]  It's Alex Jones and the GCN Radio Network.
[01:00:25.261 --> 01:00:28.262]  We are in the midst of the great animating contest of life.
[01:00:29.523 --> 01:00:30.103]  The struggle.
[01:00:31.723 --> 01:00:33.144]  And in this age of wickedness,
[01:00:34.619 --> 01:00:36.720]  We struggle for our immortal souls.
[01:00:36.840 --> 01:00:38.841]  Make no mistake about that fact.
[01:00:39.681 --> 01:00:41.522]  Make no mistake about good and evil.
[01:00:41.762 --> 01:00:44.284]  Make no mistake that evil is real.
[01:00:45.104 --> 01:00:51.267]  Make no mistake that a dark force in the universe is real that animates those that serve death and destruction.
[01:00:53.028 --> 01:00:55.489]  As for me and my house, I choose life.
[01:00:57.930 --> 01:01:01.792]  And I choose to be what God created me to be, not what the New World Order
[01:01:03.055 --> 01:01:13.001]  who wants to counterfeit and play the part of God has laid out and planned for me and my family.
[01:01:13.801 --> 01:01:23.067]  None of us are perfect, but the New World Order tries to keep us from legitimate suffering and seeks to steal our ultimate future.
[01:01:24.367 --> 01:01:27.149]  Because to do the right thing sometimes is painful.
[01:01:27.529 --> 01:01:29.570]  In the end, there's always a much greater reward.
[01:01:30.871 --> 01:01:32.052]  Evil is quicker, it's easier.
[01:01:34.588 --> 01:01:36.108]  What's the quote about Darth Vader?
[01:01:36.169 --> 01:01:36.869]  The dark side?
[01:01:37.369 --> 01:01:39.089]  Is the dark side stronger?
[01:01:39.650 --> 01:01:41.490]  No, quicker, easier, more seductive.
[01:01:42.931 --> 01:01:45.391]  And it's in children's parables that we do find the truth.
[01:01:56.295 --> 01:02:00.816]  Life is such an amazing adventure and one of the greatest lies is that it isn't an adventure.
[01:02:02.497 --> 01:02:03.297]  I look at people
[01:02:04.929 --> 01:02:24.640]  Who are so unhappy because they say the world is an interesting when there is explosive life and creativity and opportunities to challenge yourself and others and opportunities to inform others, opportunities to build up others.
[01:02:26.481 --> 01:02:30.263]  But instead, in the modern world, you're supposed to get ahead by pulling others down.
[01:02:32.464 --> 01:02:34.145]  And I guess we're all guilty of that.
[01:02:36.479 --> 01:02:38.020]  To some extent or another.
[01:02:46.769 --> 01:02:47.990]  But life is a journey.
[01:02:49.832 --> 01:02:52.134]  And we are meant to develop throughout our life.
[01:02:52.174 --> 01:03:01.623]  We are meant to develop and build ourselves to a point
[01:03:03.382 --> 01:03:06.083]  And go through those trials and tribulations when we're young.
[01:03:07.464 --> 01:03:12.926]  But through that process become a true, developed, sentient being.
[01:03:19.188 --> 01:03:29.993]  That through space and time existed and stood for something good and helped pass on experiences and ideas and inventions to the next group.
[01:03:32.463 --> 01:03:42.008]  Instead, humans have failed to evolve and have instead devolved.
[01:03:44.190 --> 01:03:54.596]  And I don't use the word devolve or evolve in the politically charged and limited terms of someone like Charles Darwin.
[01:03:55.656 --> 01:04:00.159]  I mean evolve in that humans have a predatory side.
[01:04:01.462 --> 01:04:05.825]  To go out and catch fish or kill a deer.
[01:04:07.045 --> 01:04:11.328]  But that's limited to simply acquiring protein and fat.
[01:04:14.830 --> 01:04:28.598]  But taking our own species and developing high-tech systems of predatory activity, and then building the whole society around a giant dumbed-down
[01:04:30.450 --> 01:04:36.853]  Reservoir of people to be fed on culturally, militarily, physically, spiritually.
[01:04:37.634 --> 01:04:53.642]  The social engineers must know that to even make that decision to consciously do that, that's always going on at one level or another, is the ultimate act of dehumanizing themselves and the fact that they can consciously make that decision.
[01:04:55.424 --> 01:05:05.761]  Was not about their survival or their ultimate enlightenment, but was based solely on their stunted, malfunctioning, destructive failure.
[01:05:07.133 --> 01:05:17.304]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[01:05:17.765 --> 01:05:27.976]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[01:05:28.897 --> 01:05:36.242]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[01:05:36.462 --> 01:05:43.327]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[01:05:43.667 --> 01:05:48.091]  This product was designed to be an invaluable part of your vital preparations.
[01:05:48.471 --> 01:05:55.776]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[01:05:55.956 --> 01:06:05.838]  Please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[01:06:12.880 --> 01:06:15.060]  He aligns himself with the truth.
[01:06:15.400 --> 01:06:17.861]  And it's time for you to choose a side.
[01:06:18.181 --> 01:06:20.521]  You're listening to Alex Jones.
[01:06:21.101 --> 01:06:23.762]  My love isn't bleak, there's a freeway.
[01:06:43.302 --> 01:06:44.443]  How do you know the enemy?
[01:06:45.544 --> 01:06:47.906]  How do you know who seeks to enslave you?
[01:06:48.606 --> 01:06:51.428]  And ultimately suck out your life force and kill you?
[01:06:53.410 --> 01:06:54.531]  Anyone who tells you
[01:06:56.533 --> 01:06:59.114]  That humanity is inherently bad.
[01:07:00.554 --> 01:07:02.775]  That humanity is inherently ugly.
[01:07:04.035 --> 01:07:05.756]  That you should stand down.
[01:07:05.836 --> 01:07:09.397]  That you should give in to a collective.
[01:07:09.497 --> 01:07:16.619]  That we should live in 200 square foot boxes for the planet.
[01:07:16.679 --> 01:07:19.520]  That we should pay Al Gore carbon taxes.
[01:07:20.814 --> 01:07:23.595]  That we should go under UN Agenda 21.
[01:07:24.135 --> 01:07:25.736]  I know who these people are.
[01:07:25.836 --> 01:07:30.958]  They are eugenicists who believe they are gods and that you are animals.
[01:07:31.078 --> 01:07:34.319]  And they have engineered you to act like dumb animals.
[01:07:34.379 --> 01:07:40.041]  And even though I get upset at the trance-like dumbed-down zombie population sometimes.
[01:07:41.710 --> 01:07:42.851]  They are not the enemy.
[01:07:42.931 --> 01:07:50.015]  They are the socially targeted, engineered, with high-tech systems of social control, victims.
[01:07:50.836 --> 01:08:01.762]  And those of us that are aware of this, and that understand what's happening, must get aggressive with our deeds and our actions.
[01:08:02.102 --> 01:08:09.327]  And that means when the system tries to henpeck us, and the system tries to social engineer us, we need to get back in its face.
[01:08:11.021 --> 01:08:31.226]  And we need to be at the County Commissioners meetings, and the City Council meetings, and the State House meetings, and we need to be at the Congressional meetings, and we need to be going to the corporate meetings, and we need to be getting involved, because all that evil needs to triumph is when good men and women do nothing.
[01:08:32.807 --> 01:08:37.148]  We have gotten to this point as a society by not being involved,
[01:08:38.038 --> 01:08:44.281]  And by thinking that we can just worry about our job and worry about entertainment and somebody else will handle it.
[01:08:44.501 --> 01:08:45.101]  Well, you know what?
[01:08:45.181 --> 01:08:46.421]  Somebody else did handle it.
[01:08:48.342 --> 01:08:51.864]  And the people that handled it are not stupid in the classical sense.
[01:08:51.884 --> 01:08:54.565]  They're very smart, but they're smart like a wolf.
[01:08:55.385 --> 01:08:56.806]  They're not smart long term.
[01:08:57.086 --> 01:08:59.006]  They can think a few steps down the road, not 10, 20, 30.
[01:09:00.967 --> 01:09:02.588]  They don't care what happens to their kids.
[01:09:03.168 --> 01:09:04.849]  They don't care what happens to the species.
[01:09:05.169 --> 01:09:10.712]  They don't care if humanity makes it to the nearest star systems and it goes beyond a type 1 civilization.
[01:09:11.512 --> 01:09:12.333]  They don't care.
[01:09:12.593 --> 01:09:17.195]  They want to feel good and exercise dominant power over people now.
[01:09:17.936 --> 01:09:27.681]  And if that means they got to bankrupt the economy to make you dependent on them, there is only one God and it's the government and Obama is his prophet.
[01:09:29.304 --> 01:09:30.845]  If they have to do that, they will.
[01:09:32.027 --> 01:09:33.868]  And that's only the best of the globalists.
[01:09:34.289 --> 01:09:38.612]  The worst of them, I've read their literature, I've seen their art, I know their culture.
[01:09:38.953 --> 01:09:40.334]  And let me tell you, it's indescribable.
[01:09:42.216 --> 01:09:51.444]  You ever had to clean a dead possum out of your heating and cooling vents, your central air, and you know what, that's evil.
[01:09:52.245 --> 01:09:53.266]  That smell is evil.
[01:09:53.286 --> 01:09:54.427]  It's as close as I can get to it.
[01:09:55.987 --> 01:09:58.188]  They just, it's like a button they gotta push.
[01:09:58.228 --> 01:10:06.251]  The raw power to kill, the raw power to take things away from people because they're inherently weak and they hate the weakness.
[01:10:06.751 --> 01:10:09.772]  Those that have inherent power are embarrassed by power.
[01:10:10.092 --> 01:10:19.075]  Those that have inherent grace and strength and honor know that we are imperfect and twisted and so we are ashamed of our power.
[01:10:20.095 --> 01:10:24.617]  Well, let me tell you, you better get over that shame, ladies and gentlemen, and you better get on the field
[01:10:26.994 --> 01:10:30.917]  And you better stop second-guessing yourself.
[01:10:32.499 --> 01:10:34.340]  Because let me tell you, we don't have long.
[01:10:36.963 --> 01:10:48.412]  Speaking of solutions, you know, I called a week and a half ago for real secession via the Declaration of Independence, that it is our right, our duty, the state's made the federal government, it's our right and duty.
[01:10:48.432 --> 01:10:54.518]  When the federal government's run by foreign banks, brags it's been hijacked, says it'll secretly arrest us, says it's gonna...
[01:10:54.918 --> 01:11:01.465]  Pass VAT and carbon taxes to give it to foreign banks while holding us hostage with the fiscal cliff and increasing spending.
[01:11:01.505 --> 01:11:02.206]  That's their answer.
[01:11:02.466 --> 01:11:07.952]  Borrow, borrow, borrow more fiat from foreign banks who then get our real infrastructure for nothing.
[01:11:09.198 --> 01:11:12.081]  Their answer is just go into the night with them.
[01:11:12.421 --> 01:11:27.214]  My answer is have the states reorganize and from that position of constitutional authority and lawfulness, rebuke the out-of-control federal government, not to fully dissolve it, but to remove the globalists and restore the republic.
[01:11:27.694 --> 01:11:30.556]  A re-upload of the Bill of Rights, Constitution, Declaration of Independence.
[01:11:30.876 --> 01:11:32.377]  No constitutional convention needed.
[01:11:32.737 --> 01:11:34.298]  Ron Paul's written an editorial.
[01:11:34.358 --> 01:11:35.718]  It's at InfoWars.com.
[01:11:36.219 --> 01:11:36.819]  Secession.
[01:11:36.919 --> 01:11:37.819]  Are we free to go?
[01:11:37.840 --> 01:11:41.041]  And here is his talk earlier this week.
[01:11:41.061 --> 01:11:45.083]  A little four-minute report where I've talked to his office and talked to his crew.
[01:11:45.404 --> 01:11:46.704]  We've had his top advisors on.
[01:11:46.744 --> 01:11:48.385]  They concur with my basic analysis.
[01:11:49.306 --> 01:11:50.967]  Constitutional lawyer Bruce Fine.
[01:11:51.027 --> 01:11:51.887]  Constitutional lawyer.
[01:11:51.947 --> 01:11:52.908]  Both advisors to him.
[01:11:53.288 --> 01:11:53.928]  Edwin Vieira.
[01:11:53.948 --> 01:11:55.349]  We were on again last week, as you know.
[01:11:58.499 --> 01:12:01.021]  And by the way, YouTube erased those videos today.
[01:12:01.041 --> 01:12:04.243]  20 plus videos just disappeared and said removed by user.
[01:12:04.644 --> 01:12:06.465]  We're going to have to re-upload those.
[01:12:06.685 --> 01:12:08.366]  Those were going viral with millions of views.
[01:12:09.007 --> 01:12:10.588]  They did not want people seeing that info.
[01:12:11.669 --> 01:12:14.131]  So we're going to re-upload those interviews and make sure people get them.
[01:12:14.451 --> 01:12:15.732]  But here is Ron Paul.
[01:12:15.992 --> 01:12:19.054]  Again, don't think you'll always just turn on the radio and get this.
[01:12:19.414 --> 01:12:22.497]  There are powerful forces that don't want you to hear this, okay?
[01:12:23.658 --> 01:12:26.239]  Here's Ron Paul on Right to Revolt.
[01:12:26.280 --> 01:12:26.600]  Here it is.
[01:12:27.199 --> 01:12:30.480]  Hello, this is Ron Paul with your Weekly Update for November 19th.
[01:12:32.361 --> 01:12:37.643]  Is all the recent talk of secession mere sour grapes over the election or perhaps something deeper?
[01:12:38.503 --> 01:12:46.546]  Currently there are active petitions in support of secession for all 50 states, with Texas taking the lead in number of signatures.
[01:12:47.226 --> 01:12:52.328]  Texas has well over the number of signatures needed to generate a response from the administration.
[01:12:52.748 --> 01:12:56.890]  And while I wouldn't hold my breath on Texas actually seceding, I believe these
[01:12:57.423 --> 01:13:01.445]  Petitions raise a lot of worthwhile questions about the nature of our union.
[01:13:02.905 --> 01:13:05.706]  Is it treasonous to want to secede from the United States?
[01:13:06.347 --> 01:13:09.628]  Many think the question of secession was settled by our Civil War.
[01:13:10.288 --> 01:13:16.411]  On the contrary, the principles of self-governance and voluntary association are at the core of our founding.
[01:13:17.471 --> 01:13:22.053]  Clearly, Thomas Jefferson believed secession was proper, albeit as a last resort.
[01:13:22.850 --> 01:13:41.158]  Writing to William Giles in 1825, he concluded that states, quote, should separate from our companions only when the sole alternatives left are the dissolution of our union with them, or submission to a government without limitation of powers, close quote.
[01:13:42.339 --> 01:13:51.783]  Keep in mind that the first and third paragraphs of the Declaration of Independence expressly contemplate the dissolution of a political union when the underlying government,
[01:13:52.208 --> 01:13:53.609]  becomes tyrannical.
[01:13:55.129 --> 01:13:58.730]  Do we have a government without limitation of powers yet?
[01:13:58.750 --> 01:14:07.213]  The federal government kept the union together through violence and force in the Civil War, but did, might, really, make, right?
[01:14:07.233 --> 01:14:11.075]  Secession is deeply an American principle.
[01:14:11.095 --> 01:14:13.976]  This country was born through secession.
[01:14:14.516 --> 01:14:20.938]  Some felt it was treasonous to secede from England, but those traitors became our country's greatest patriots.
[01:14:22.028 --> 01:14:28.893]  There is nothing treasonous or unpatriotic about wanting a federal government that is more responsive to the people it represents.
[01:14:29.834 --> 01:14:40.121]  That is what our Revolutionary War was all about, and today, our own federal government is vastly overstepping its constitutional bounds with no signs of reform.
[01:14:41.822 --> 01:14:45.485]  In fact, the recent election only further entrenched the status quo.
[01:14:46.201 --> 01:14:57.350]  If the possibility of secession is completely off the table, there is nothing to stop the federal government from continuing to encroach on our liberties and no recourse for those who are sick and tired of it.
[01:14:58.631 --> 01:15:03.435]  Consider the ballot measures that passed in Colorado and Washington State regarding marijuana laws.
[01:15:04.608 --> 01:15:11.954]  The people in those states have clearly indicated that they are ready to try something different where drug policy is concerned.
[01:15:12.094 --> 01:15:15.537]  Alright, hit pause, we'll come back and play the last few minutes of the next segment.
[01:15:16.477 --> 01:15:19.360]  And again, it's a much more powerful article that he wrote.
[01:15:19.460 --> 01:15:22.962]  It's at InfoWars.com, Secession, Are We Free to Go?
[01:15:22.982 --> 01:15:27.326]  And he just breaks down the fact that you're not in a free country if you can't leave.
[01:15:27.386 --> 01:15:30.068]  It's the states that created the federal government.
[01:15:30.508 --> 01:15:32.710]  The federal government was taken over by foreign banks.
[01:15:32.830 --> 01:15:33.611]  Read my article.
[01:15:35.196 --> 01:15:37.058]  Banks bragged they've conquered the U.S.
[01:15:37.098 --> 01:15:43.263]  and Europe for the dozens and dozens of quotes by the private mega banks bragging about it.
[01:15:44.824 --> 01:15:51.790]  And so we've got to have the states stand up and point this out or there's no hope.
[01:15:51.830 --> 01:15:55.292]  We can't keep rearranging deck chairs on the Titanic forever.
[01:15:55.873 --> 01:16:00.216]  And then I'll give out the number for your take on this and a lot more coming up in the next segment.
[01:16:00.677 --> 01:16:03.119]  And I will also get into the big economic news straight ahead.
[01:16:07.350 --> 01:16:12.614]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:16:12.855 --> 01:16:15.056]  Start purifying your water with ProPure.
[01:16:15.277 --> 01:16:24.224]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[01:16:24.384 --> 01:16:27.567]  Its filters are silver impregnated to prevent bacterial growth.
[01:16:27.827 --> 01:16:29.248]  There's no priming required.
[01:16:29.508 --> 01:16:31.550]  It's NSF-42 certified.
[01:16:31.790 --> 01:16:34.272]  Optional fluoride filters can reduce fluoride up to 95%.
[01:16:35.333 --> 01:16:36.674]  Easy to set up and use.
[01:16:36.874 --> 01:16:38.155]  Doesn't require electricity.
[01:16:38.295 --> 01:16:41.138]  Purify water from lakes, streams, ponds, and wells.
[01:16:41.458 --> 01:16:44.620]  This filter system leaves in beneficial minerals, which is key.
[01:16:44.840 --> 01:16:48.824]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[01:16:48.984 --> 01:16:51.586]  ProPure is the best gravity-fed filter out there.
[01:16:51.726 --> 01:16:53.027]  It's what my family uses.
[01:16:53.287 --> 01:16:56.489]  Infowars.com already has the lowest price on ProPure.
[01:16:56.590 --> 01:17:02.214]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:17:02.414 --> 01:17:03.615]  You can also call to order.
[01:17:04.876 --> 01:17:04.996]  888-253-3139.
[01:17:06.037 --> 01:17:09.819]  Have you ever wanted to generate your own supply of electrical power?
[01:17:10.080 --> 01:17:11.761]  Even save money on your electric bill?
[01:17:12.061 --> 01:17:15.384]  If so, this could be one of the most important messages you will ever hear.
[01:17:15.684 --> 01:17:17.765]  Solar power generators are now available.
[01:17:17.885 --> 01:17:21.308]  These emergency backup systems provide life-saving electrical power.
[01:17:21.508 --> 01:17:27.333]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[01:17:27.613 --> 01:17:30.996]  It's like having an electrical power plant running quietly in your own home.
[01:17:31.316 --> 01:17:35.920]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[01:17:36.060 --> 01:17:41.785]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[01:17:42.045 --> 01:17:43.026]  And here's the best news.
[01:17:43.046 --> 01:17:43.426]  We're good to go.
[01:18:06.989 --> 01:18:11.032]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[01:18:11.112 --> 01:18:12.213]  Don't be one of them!
[01:18:12.333 --> 01:18:17.878]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[01:18:18.038 --> 01:18:27.646]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[01:18:27.826 --> 01:18:34.511]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[01:18:34.611 --> 01:18:35.992]  We're good to go.
[01:18:55.549 --> 01:19:01.823]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[01:19:01.944 --> 01:19:05.412]  That's SupernaturalSilver.com and like us on Facebook.
[01:19:07.443 --> 01:19:12.446]  We just had a terrible storm in the east, but we are all still in the eye of the perfect storm.
[01:19:12.846 --> 01:19:20.690]  We have the most devastating economic conditions since the Great Depression, America's worst drought in agricultural history, and what about the presidential election?
[01:19:20.990 --> 01:19:24.672]  This perfect storm is a huge threat to everyone's food supply.
[01:19:24.993 --> 01:19:28.835]  eFoods Direct is preparing for the shortages, and you had better do the same.
[01:19:29.275 --> 01:19:31.236]  I can warn you, but I can't feed you.
[01:19:31.576 --> 01:19:34.878]  You know that eFoods is the best tasting and safest food on the planet.
[01:19:35.118 --> 01:19:38.299]  We all need a bunch of storable and usable food from eFoods Direct.
[01:19:38.660 --> 01:19:42.261]  None of us wants to be standing in a bread line trading our freedom for food.
[01:19:42.722 --> 01:19:46.824]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts.
