[00:00:21.587 --> 00:00:22.688]  Welcome to the program.
[01:01:34.402 --> 01:01:38.765]  You know, every single person who voted for something like that, I don't care what, should be thrown out.
[01:01:39.025 --> 01:01:39.965]  I mean, end of story!
[01:01:40.005 --> 01:02:05.792]  You know, I can't believe it, you know, and that's become, you know, there's only one time in history that this happened, where someone accepted something before they read it, and that was when the Jews were at Mount Sinai, and the legend goes that God offered the Torah to many nations, and he said, we kind of like to see what's in it before we decide to accept it, and when he came to Moses, and Moses is a sharp guy,
[01:02:06.192 --> 01:02:09.415]  He said, no, no, no, we will agree to it, then we'll read what's in it.
[01:02:09.715 --> 01:02:16.840]  So I suppose if you're doing something like that, it's worthwhile, you know, but short of that, I can't see the value to it.
[01:02:17.581 --> 01:02:19.542]  Yeah, but now it's almost commonplace.
[01:02:20.002 --> 01:02:27.328]  Similar things happen with Patriarchs 1 and 2, and I guess it's just a new thing in Congress not to read the text that you're passing into law.
[01:02:27.908 --> 01:02:28.629]  Yeah, exactly.
[01:02:28.729 --> 01:02:31.631]  And unfortunately, there's a lot of evil.
[01:02:31.691 --> 01:02:33.793]  I mean, I'd love to believe there's no evil in this world.
[01:02:34.113 --> 01:02:57.873]  But what happens in all these acts, they have little things hidden into the thousands of pages of these bills, which are, in fact, in Obamacare, they actually have in there that if you don't vaccinate your child, the enforcement bodies, the child and family services can come to your house and forcibly take your children away.
[01:02:58.434 --> 01:02:58.834]  Frightening.
[01:02:58.974 --> 01:02:59.655]  Absolutely frightening.
[01:02:59.675 --> 01:03:00.635]  You know, just the idea.
[01:03:00.655 --> 01:03:02.217]  I mean, this is America.
[01:03:02.577 --> 01:03:04.658]  I mean, what's wrong with these people?
[01:03:04.999 --> 01:03:05.699]  Why would they?
[01:03:05.719 --> 01:03:09.381]  They have no interest in protecting the people.
[01:03:10.482 --> 01:03:12.724]  It's very, very sad.
[01:03:13.424 --> 01:03:23.170]  I don't even know what the answer is, but as long as your voice is there, and Alex's voice is there, as long as our flames are flickering a little bit, we can become a roaring fire.
[01:03:23.210 --> 01:03:26.733]  And I think when it comes to the vaccine issue, we're becoming a roaring fire.
[01:03:27.253 --> 01:03:36.020]  Well, Doctor, let's talk about that, too, because you had the case in California where they at least attempted to go door-to-door and force-vaccinate students they were calling truant.
[01:03:36.620 --> 01:03:41.364]  You've got the cases where pediatricians are refusing patients who won't vaccinate.
[01:03:41.944 --> 01:03:55.635]  You've got the case, we had the person on the show last week, I hope I didn't butcher her name, Patricia Finn, she was a lawyer representing parents who wouldn't vaccinate, and they tried to threaten her with taking away her bar agreements and tried to get her client's list.
[01:03:56.275 --> 01:03:57.297]  Yeah, let me tell you something.
[01:03:57.317 --> 01:03:58.879]  You know, I've spoken to her.
[01:03:58.919 --> 01:04:00.983]  I haven't spoken to her recently, but I'm very proud of her.
[01:04:01.023 --> 01:04:02.825]  I mean, she suffers one thing.
[01:04:02.866 --> 01:04:03.747]  She's too attractive.
[01:04:04.087 --> 01:04:07.593]  And that really gets, riles the left wing.
[01:04:08.034 --> 01:04:11.098]  You know, because they believe that pretty women don't have a place in the...
[01:04:12.000 --> 01:04:13.161]  I think so.
[01:04:29.463 --> 01:04:30.884]  We're good to go.
[01:04:54.437 --> 01:05:08.507]  If the families know the law, and all they have to do is hand that person, I would not let them get in the house, you just slide through the paper, through the opening of your door, your philosophical exemption.
[01:05:08.927 --> 01:05:12.529]  I think that's kind of really, really important, you know, in California right now.
[01:05:12.589 --> 01:05:21.115]  You don't even, and that's one that's, you know, so that's why it's funny how they're going from, unfortunately, many of us don't know our rights, but even better,
[01:05:22.896 --> 01:05:27.599]  If you have someone knock on your door, you slide them a car and tell them that I'm going to have my attorney call you.
[01:05:28.080 --> 01:05:31.862]  That's, I think, the most important thing.
[01:05:31.882 --> 01:05:35.725]  And I've spoken to many, many of these, and I feel bad for the people enforcing it.
[01:05:35.945 --> 01:05:36.886]  They aren't bad people.
[01:05:36.906 --> 01:05:38.167]  It's just a job to them.
[01:05:38.607 --> 01:05:44.091]  You know, usually when I talk to them, you know, that usually resolves it way before it gets past any type of issue.
[01:05:45.542 --> 01:05:47.503]  Let me bring this up, shifting gears.
[01:05:47.583 --> 01:05:53.385]  You've got David Rockefeller, his family, among other things, really obsessed with the population issue over the past century.
[01:05:53.885 --> 01:06:05.269]  And he gave that speech in 1995, basically showing what you showed on the chart, that the decline in diseases has kind of contributed to the exposure of population, suggesting that it's almost
[01:06:06.729 --> 01:06:20.742]  A negligible thing, a negative thing I mean, that so many people are living now that the birth rate, excuse me, the infant mortality rate has dropped and thus they are pushing vaccines worldwide, globally, with people like the Gates Foundation.
[01:06:21.302 --> 01:06:23.224]  How do we combat that agenda?
[01:06:23.837 --> 01:06:24.937]  Well, let me tell you something.
[01:06:25.397 --> 01:06:26.497]  I tell you how we combat it.
[01:06:26.537 --> 01:06:31.558]  We just go back to Genesis, right in the beginning, and the world wasn't big enough for Cain and Abel.
[01:06:31.618 --> 01:06:33.859]  You know, the two of them couldn't survive together.
[01:06:33.919 --> 01:06:41.120]  And so I think we've had these problems of the world is too small for a long, long time.
[01:06:41.500 --> 01:06:44.180]  But on a more serious note, these are evil people.
[01:06:44.721 --> 01:06:45.161]  I don't mind.
[01:06:45.481 --> 01:06:48.761]  Tell them, every one of them, to exercise birth control and have no family.
[01:06:48.981 --> 01:06:49.781]  That's fine with me.
[01:06:50.081 --> 01:06:51.082]  I have no problem with that.
[01:06:53.742 --> 01:07:08.131]  I mean, I remember when I first got married 40 years ago, in the late 60s, there was this talk about ZPG, zero... Population growth.
[01:07:08.171 --> 01:07:09.512]  Population growth, thank you.
[01:07:10.192 --> 01:07:12.433]  And let me tell you, we're 40 years later.
[01:07:12.453 --> 01:07:13.094]  It's just incredible.
[01:07:21.563 --> 01:07:22.123]  It's frightening.
[01:07:22.364 --> 01:07:31.469]  I mean, these are the one world alliance that they want you to, you know, I tell you, I'll give you a perfect example.
[01:07:31.870 --> 01:07:36.933]  Like Buffett, who talks about rich people should pay more taxes.
[01:07:37.153 --> 01:07:38.614]  I don't see him paying more taxes.
[01:07:39.074 --> 01:07:42.216]  You know, it's like they're telling you what you should do.
[01:07:42.756 --> 01:07:43.497]  It's no different.
[01:07:43.517 --> 01:07:47.519]  You know, you know, get out of my life, you know, get a life yourself, you know.
[01:07:49.260 --> 01:07:52.182]  And I think that these are evil people.
[01:07:52.202 --> 01:07:56.444]  And how do we combat it?
[01:07:56.604 --> 01:07:57.885]  By just saying no.
[01:07:58.245 --> 01:07:58.985]  We're not going to do that.
[01:07:59.265 --> 01:08:00.906]  I think that's the way to combat it.
[01:08:00.946 --> 01:08:05.068]  I find it just kind of really interesting.
[01:08:06.349 --> 01:08:10.011]  They essentially want unwholesome life.
[01:08:10.291 --> 01:08:12.332]  And even this whole issue of
[01:08:15.434 --> 01:08:25.024]  Contraception, you know, to be put into Obamacare and trying to force a religious organization to mandate paying for contraception.
[01:08:25.484 --> 01:08:26.745]  I tell you why it's so phony.
[01:08:26.765 --> 01:08:34.533]  The cost of birth control bills, which I have never dispensed in my life, not because of religious reasons, because they're way too dangerous, $9 a month.
[01:08:36.815 --> 01:08:37.155]  $9 a month.
[01:08:38.856 --> 01:08:43.856]  And so the issue has nothing to do with that it's not available.
[01:08:44.437 --> 01:08:52.818]  In fact, all the Planned Parenthoods, which give me the creeps, the whole organization, you can get it free.
[01:08:54.358 --> 01:08:57.719]  If all you have to do is get a pink card or a green card, I don't know what the number is.
[01:08:58.079 --> 01:09:00.519]  And so this is just control.
[01:09:00.539 --> 01:09:02.180]  They want control, control, control.
[01:09:02.200 --> 01:09:02.460]  Very scary.
[01:09:04.588 --> 01:09:04.888]  It is.
[01:09:05.028 --> 01:09:14.452]  And you were talking about other ways that the government's losing credibility, cases that are being overturned, showing that prominent vaccine critics were proven right, or at least not proven wrong.
[01:09:14.752 --> 01:09:17.153]  Let's get into a little bit of that and anything else you want to bring up.
[01:09:17.573 --> 01:09:18.114]  Yeah, thank you.
[01:09:18.734 --> 01:09:24.076]  That's many of you, because I know he's been a guest many times with you and Alex.
[01:09:24.356 --> 01:09:25.817]  That's Dr. Andrew Wakefield.
[01:09:26.917 --> 01:09:31.000]  He wrote a paper in 1998 or 1999.
[01:09:31.040 --> 01:09:32.681]  He saw a connection.
[01:09:32.721 --> 01:09:41.627]  He's a prominent pediatric gastroenterologist, which means he deals with issues of the intestines in children.
[01:09:42.047 --> 01:09:47.251]  And he noticed a correlation between children who had regressive autism
[01:09:48.271 --> 01:09:56.216]  And those who had measles, mumps, and rubella virus in their intestine.
[01:09:56.717 --> 01:10:00.319]  And he surmised that maybe that was one of the causes.
[01:10:00.699 --> 01:10:07.884]  And he wrote a paper along with one of the most prominent world gastroenterologists, Dr. Walker.
[01:10:08.524 --> 01:10:08.804]  Yeah.
[01:10:24.122 --> 01:10:27.966]  The courts in England overturned it and said it was pure bias.
[01:10:28.387 --> 01:10:31.590]  There was no evidence of any malfeasance done here.
[01:10:31.610 --> 01:10:42.502]  The families who they alleged, the committee, who were upset by the research that was done, every one of them came in the defense of these doctors.
[01:10:42.882 --> 01:10:44.965]  And so, you know, it's kind of very interesting that, you know,
[01:10:47.567 --> 01:10:52.388]  It was just an agenda by someone, maybe the drug industry.
[01:10:53.349 --> 01:10:56.970]  Well, you know, it's frightening, but it's exciting.
[01:10:57.010 --> 01:11:10.756]  This is a very big victory, because Dr. Walker must be in his late 70s or early 80s, and he's already retired, so it was more for his reputation than anything else.
[01:11:11.216 --> 01:11:15.658]  But this bodes very well for Dr. Wakefield, who now has a suit against all the people who brought
[01:11:16.478 --> 01:11:19.000]  The suit against him would cause him to lose his license in England.
[01:11:19.900 --> 01:11:28.425]  Doctor, it's so important that you're doing this seminar on how to allow people to understand better, to write their own exemptions, to write them from a point where it's going to stand.
[01:11:28.986 --> 01:11:33.228]  At the same time, we've got all the stuff going on in government, so much corruption.
[01:11:33.608 --> 01:11:42.794]  Even if you just started with the H1N1 vaccine and all the dangerous stuff they allowed to go in there with the false pandemic, at what point does it become a case of criminal negligence?
[01:11:43.314 --> 01:11:44.595]  Oh, I think it's 100% correct.
[01:11:44.635 --> 01:11:46.436]  I think vaccines are criminal right now.
[01:11:47.157 --> 01:11:48.317]  Let's take the flu vaccine.
[01:11:48.337 --> 01:11:50.899]  There's 25 micrograms of mercury.
[01:11:52.860 --> 01:11:57.343]  Mercury is one of the, if not the most toxic substance known.
[01:11:57.824 --> 01:12:04.868]  And it's far, I mean, the President's worried about doing a pipeline from Canada to bring gas here.
[01:12:05.129 --> 01:12:12.774]  He's worried about that, but he's not worried about injecting pregnant women, injecting children with a vaccine, the flu vaccine,
[01:12:14.035 --> 01:12:22.522]  It doesn't work anyway, but even if it did work, it's got mercury, and every drop of mercury causes neurotoxicity, just a matter of how much.
[01:12:23.443 --> 01:12:27.367]  And so we're dealing with scandalous type of stuff.
[01:12:27.587 --> 01:12:33.913]  And that's just one example, because the amount of toxins in vaccines... But let's go another way.
[01:12:34.093 --> 01:12:37.135]  Let's assume they remove all the toxins from the vaccine.
[01:12:37.495 --> 01:12:39.617]  The vaccines themselves don't do any good.
[01:12:40.037 --> 01:12:45.161]  And so, you know, it's really, in my sight, a losing argument.
[01:12:45.181 --> 01:12:50.925]  It's just a matter of time before all of the public realize that the emperor is wearing no clothes.
[01:12:51.265 --> 01:12:52.866]  And once you realize that, you can't go back.
[01:12:52.906 --> 01:12:55.248]  Tell us one more time about the webinar you're going to give.
[01:12:55.268 --> 01:12:57.069]  And that's in two days from now, correct?
[01:12:57.469 --> 01:13:04.673]  Right, it's this Sunday night, March 11th, 7 to 8 o'clock at Central Time, and it's going to be a How to Write a Legal Waiver on Vaccines.
[01:13:04.753 --> 01:13:12.138]  I gave a little bit of the opening right now, but I will go specifically into how to write it, and also I will answer as many questions as I can.
[01:13:12.158 --> 01:13:24.245]  All you have to do is type your questions, and to go there, just go to HomeFirst.com, that's my website, H-O-M-E-F-I-R-S-T dot com, and all you have to do is click on the webinar button, and you can
[01:13:25.906 --> 01:13:26.907]  You can sign up for it.
[01:13:28.428 --> 01:13:32.652]  Or you can give our office a call at 866-395-1881.
[01:13:32.672 --> 01:13:34.033]  It's 866-395-1881.
[01:13:34.053 --> 01:13:38.957]  Doctor, it was very interesting speaking with you, and we appreciate you joining us.
[01:13:39.518 --> 01:13:40.199]  My pleasure.
[01:13:40.239 --> 01:13:41.019]  Thank you very much.
[01:13:41.059 --> 01:13:42.100]  Have a wonderful evening.
[01:13:42.240 --> 01:13:42.581]  You too.
[01:13:43.221 --> 01:13:45.403]  And hopefully everyone will check out that webinar.
[01:13:45.443 --> 01:13:48.906]  It is important to know where we're coming from and have our bases intact.
[01:13:49.366 --> 01:13:51.989]  At any rate, that is it for tonight's InfoWars Nightly News.
[01:13:52.009 --> 01:13:53.230]  We'll be back again next week.
