[00:00:22.839 --> 00:00:24.646]  It's Thursday, September 27.
[00:53:20.494 --> 00:53:23.335]  And again, like I say, no one is monitoring this money whatsoever.
[00:53:24.660 --> 00:53:30.282]  And I've noticed that some of the big mega banks, the same guys that have been caught laundering drug money and things, they're all in this as well.
[00:53:30.642 --> 00:53:41.565]  I mean, if you've got hundreds of millions of dollars going around, obviously the establishment is running this whole deal, and that's why they're having taxpayers pay for more of the gladiatorial whorehouses.
[00:53:42.799 --> 00:53:43.500]  Oh, I would agree.
[00:53:43.540 --> 00:53:45.541]  I mean, this is huge money.
[00:53:45.601 --> 00:53:48.704]  I mean, it's like the illegal drug underground.
[00:53:49.064 --> 00:53:52.547]  There's vast amounts of money to be made on all different aspects of this.
[00:53:53.107 --> 00:54:01.955]  And nobody, the scary thing is, like I say, is I've investigated sports bribery, which I literally have over 400 FBI files I obtained through the Freedom of Information Act on this.
[00:54:02.475 --> 00:54:07.798]  But yet today, you know, the major leagues don't investigate potential gambling problems.
[00:54:08.579 --> 00:54:10.700]  The media doesn't investigate them at all.
[00:54:10.760 --> 00:54:13.222]  And even the FBI basically has given up the chase.
[00:54:13.262 --> 00:54:15.163]  So I mean, this is just a free-for-all out there.
[00:54:16.989 --> 00:54:17.869]  How bad is it?
[00:54:17.889 --> 00:54:21.631]  You talk about seeing over 400 files, having to dead reckon this.
[00:54:21.651 --> 00:54:25.792]  I mean, you're probably one of the foremost experts in media because you've been studying it for years.
[00:54:26.512 --> 00:54:28.013]  I mean, how bad is it?
[00:54:28.073 --> 00:54:34.095]  I mean, is every big game, or even just regular season games, are they all rigged one way or another?
[00:54:34.835 --> 00:54:36.196]  The scary part is nobody knows.
[00:54:36.936 --> 00:54:38.437]  That's really what frightens me.
[00:54:39.497 --> 00:54:41.958]  And I think fixing occurs perhaps on two different levels.
[00:54:41.998 --> 00:54:47.221]  I think it can occur on the gambling level, on the organized crime level, where they get to a player
[00:54:47.608 --> 00:54:48.168]  We're good to go.
[00:55:06.682 --> 00:55:11.843]  And perhaps allow those teams and players to win more often than they should because they recognize the profit.
[00:55:11.883 --> 00:55:17.824]  In the NFL, they make nearly $10 billion a season, yet 80% of that money is equally shared among the teams.
[00:55:18.264 --> 00:55:28.726]  So even when the New Orleans Saints are doing great, a team that's going 1-15 like the Detroit Lions are basically making the exact same amount of money because of so much revenue being shared.
[00:55:29.166 --> 00:55:32.246]  So they have an incentive to do this, to fix their own games.
[00:55:32.546 --> 00:55:35.667]  And again, they can do this legally, and nobody can stop them.
[00:55:36.898 --> 00:55:41.020]  I think the answer is boycott professional sports until it's cleaned up.
[00:55:41.460 --> 00:55:45.262]  Until they stop using our taxpayer money to build their coliseums.
[00:55:45.742 --> 00:55:50.804]  Until they basically clean it up.
[00:55:50.885 --> 00:55:52.745]  But then I don't think that's ever going to happen.
[00:55:53.005 --> 00:55:55.287]  So all I know is I'm boycotting it myself.
[00:55:55.667 --> 00:55:58.988]  I will have nothing to do with organized professional sports.
[00:55:59.388 --> 00:56:01.589]  I'm all about going out and seeing a high school football game.
[00:56:01.629 --> 00:56:03.750]  I'm all about going and seeing my children at an event.
[00:56:05.091 --> 00:56:10.292]  But I am not going to be part of any of the college or professional level garbage.
[00:56:11.633 --> 00:56:12.293]  I don't blame you.
[00:56:12.393 --> 00:56:16.635]  I mean, I think if fans want to watch these games, they should look at it as watching a movie.
[00:56:16.675 --> 00:56:19.916]  You know, if you want to spend three hours watching a football game, that's fine.
[00:56:19.936 --> 00:56:31.921]  But I think what they have to remember is, and why part of this is not illegal if the leagues are fixing their own, is there's a lawsuit where New England Patriots got sued by a New York Jets fan over the whole Spygate scandal.
[00:56:32.061 --> 00:56:35.202]  And this went to the Third Circuit Court of Appeals in the United States.
[00:56:36.161 --> 00:56:44.184]  And they ruled that if you buy a ticket for an NFL game, all the team is legally obligated to do is to provide you with a football game.
[00:56:44.264 --> 00:56:46.185]  It doesn't mean it has to be played by any certain rules.
[00:56:46.625 --> 00:56:48.525]  It doesn't mean that they can't cheat.
[00:56:48.905 --> 00:56:50.566]  It doesn't mean that the game can't be fixed.
[00:56:50.726 --> 00:56:53.027]  If you see a football game and you pay it for a football game,
[00:56:53.587 --> 00:56:54.328]  They're obligated.
[00:56:54.488 --> 00:56:56.270]  They fulfilled their obligation.
[00:56:56.310 --> 00:56:58.032]  There's nothing more the league has to do.
[00:56:58.573 --> 00:57:00.675]  You can't even sue these leagues for fraud if you wanted to.
[00:57:00.715 --> 00:57:05.100]  Like what happened with the last Monday Night Football between the Packers and the Seahawks.
[00:57:05.120 --> 00:57:06.282]  You can't sue the league.
[00:57:06.302 --> 00:57:10.547]  You can't sue anybody over that outcome even though it's 100% incompletely wrong.
[00:57:11.457 --> 00:57:17.403]  What's some of the other corruption when it comes to drugs, when it comes to, you know, coaches saying, hurt that guy?
[00:57:17.423 --> 00:57:22.468]  I mean, I wasn't even a good football player, but they were, I mean, they liked people in high school that hurt people.
[00:57:23.428 --> 00:57:28.613]  I mean, how naive are the fans when I hear them criticizing the Saints and people saying, go hurt that guy?
[00:57:28.954 --> 00:57:31.977]  I mean, what planet are these fans living on?
[00:57:32.017 --> 00:57:33.318]  I guess they haven't played sports.
[00:57:33.638 --> 00:57:35.280]  They haven't played full contact sports then.
[00:57:36.468 --> 00:57:37.389]  No, apparently not.
[00:57:37.429 --> 00:57:46.438]  I mean, I think fans have to recognize that even like this New Orleans Saints bounty program, this whole investigation by the league, the league has, each league has their own security division.
[00:57:46.478 --> 00:57:54.887]  And this is basically their private police force, which is literally staffed with members of the CIA, FBI, Secret Service, DEA, and local law enforcement.
[00:57:55.467 --> 00:58:08.278]  And yet, you cannot find examples out there, and I've looked for them, you cannot find examples where league security has informed, you know, law enforcement of some sort of, you know, dirty business going on within the league.
[00:58:08.298 --> 00:58:14.163]  The only thing that's ever come out lately in the NFL from the security division is this bounty program and yet we know
[00:58:15.024 --> 00:58:17.827]  That, you know, bounties go on all the time in professional sports.
[00:58:17.907 --> 00:58:18.767]  It's not nothing new.
[00:58:19.008 --> 00:58:20.169]  Why did they do that then?
[00:58:20.209 --> 00:58:21.370]  Why did they go after the Saints?
[00:58:21.410 --> 00:58:24.673]  Was it just kind of like a Martha Stewart thing to act like they're doing something?
[00:58:25.233 --> 00:58:25.614]  Exactly.
[00:58:25.654 --> 00:58:29.637]  I think what it came from was this concussion lawsuits that are against them.
[00:58:29.657 --> 00:58:35.042]  They have literally about 1,500 ex-NFL players who are suing the league over these concussions.
[00:58:35.562 --> 00:58:43.187]  Because they say the league lied to them about the, you know, effects of head injuries and head trauma in years worth of NFL play.
[00:58:43.567 --> 00:58:50.211]  And I think the league now is really concerned about this because it can affect not only their bottom line, but really the future of football in itself.
[00:58:50.911 --> 00:58:57.216]  And I think they said, hey, we came out now against these bounties as soon as we found out about it, which I don't think is true, but that's what they say.
[00:58:57.756 --> 00:58:58.797]  And we clamped down on them.
[00:58:58.817 --> 00:58:59.537]  We stamped it out.
[00:58:59.577 --> 00:59:01.859]  And I think now it's all about player safety.
[00:59:01.899 --> 00:59:06.562]  It's all about, you know, worried about concussions and high school football players and that sort of thing.
[00:59:06.582 --> 00:59:07.823]  But I think it's just a ruse.
[00:59:07.963 --> 00:59:08.984]  I think they really don't care.
[00:59:09.004 --> 00:59:15.629]  I think they see the players as replaceable cogs in the big machine and that they're going to profit off them no matter what occurs.
[00:59:16.049 --> 00:59:16.269]  I'm kidding.
[00:59:16.289 --> 00:59:17.290]  Look how they treat the troops.
[00:59:17.610 --> 00:59:20.913]  Well, that's what I thought just watching it kind of, you know, halfway was.
[00:59:21.273 --> 00:59:22.774]  You got all this concussion stuff coming up.
[00:59:22.814 --> 00:59:24.355]  It's like, well, that was bounties.
[00:59:24.696 --> 00:59:27.598]  People only got hurt because it was rogue groups out there.
[00:59:27.618 --> 00:59:29.299]  I mean, this is a gladiatorial sport.
[00:59:29.579 --> 00:59:31.721]  And by the way, those guys know what they're signing up to.
[00:59:32.141 --> 00:59:33.022]  So, I mean, you know.
[00:59:33.382 --> 00:59:35.484]  People that are playing hockey, people that are doing all this.
[00:59:35.824 --> 00:59:39.227]  Look, man, you're getting paid five million dollars a year because you're a gladiator.
[00:59:39.727 --> 00:59:41.508]  And I think the whole thing's become immoral.
[00:59:41.829 --> 00:59:42.989]  I'm not even endorsing it.
[00:59:43.310 --> 00:59:51.996]  But then the fact that you're going to act like you don't know being a running back or you don't know being a linebacker or you don't know being a quarterback and get your brain damaged.
[00:59:52.016 --> 00:59:53.137]  I mean, that's just ridiculous.
[00:59:53.457 --> 00:59:55.399]  Well, look, I'm impressed with your book, Brian.
[00:59:55.699 --> 00:59:57.300]  I look forward to getting you on the radio show.
[00:59:57.541 --> 01:00:03.265]  In the five minutes we've got left, you've got the floor to make any other key points that you think is important for the viewers out
[01:00:04.866 --> 01:00:14.009]  I think the main thing, like I said, is the fact that you have to realize that this potential fixing of the leagues by themselves, fixing their own games, is not against the law.
[01:00:14.590 --> 01:00:18.551]  And I think you have to really concern yourself with what is going on out in the field.
[01:00:18.611 --> 01:00:24.834]  You have to wonder what sort of reach these leagues have because, again, they lie to us about things that surround the game.
[01:00:25.394 --> 01:00:28.455]  Why wouldn't they, you know, manipulate their own product?
[01:00:28.515 --> 01:00:30.176]  Because if McDonald's, for example,
[01:00:30.956 --> 01:00:36.482]  If McDonald's could alter the taste of their hamburger while you're consuming it to make it more enjoyable, they would do that.
[01:00:36.942 --> 01:00:38.624]  Well, professional sports can do just that.
[01:00:39.024 --> 01:00:43.268]  They can manipulate their own games to make them more enjoyable as you consume them.
[01:00:43.969 --> 01:00:46.091]  But yet, we don't think that happens.
[01:00:46.191 --> 01:00:49.814]  But there's nothing that protects us from this, besides the leagues themselves.
[01:00:49.874 --> 01:00:51.016]  They are their own oversight.
[01:00:51.656 --> 01:00:59.762]  And I think that's a very scary fact, that if it's not against the law for the leagues to fix their own games, what is preventing them from doing so?
[01:00:59.822 --> 01:01:01.443]  And I don't think there's a single thing there is.
[01:01:02.784 --> 01:01:03.624]  Wow.
[01:01:03.985 --> 01:01:07.167]  So like you said, the courts have said, hey, it's entertainment purposes only.
[01:01:07.567 --> 01:01:16.614]  And then you've got all these little naive, full-grown men in their little jerseys who are in arrested development, who aren't involved politically, aren't involved with their kids.
[01:01:16.674 --> 01:01:18.255]  All they do is watch football all day.
[01:01:18.875 --> 01:01:19.375]  And then they have
[01:01:20.296 --> 01:01:28.378]  I mean, I've found most fans I've talked to, if you tell them stuff's rigged, a lot of them just think you're a conspiracy theorist, but it's admitted that a lot of it's rigged.
[01:01:28.638 --> 01:01:30.079]  I mean, that's my last question.
[01:01:30.139 --> 01:01:44.683]  Talking to different sports fans out there, doing hundreds of radio and TV interviews, talking to the New York Times, you know, being part of all these other interviews, are you finding people are more apt to be skeptical now, or what percentage of people are skeptical?
[01:01:45.856 --> 01:01:51.278]  A lot of people are skeptical of what I have to say, but again, you know, when you think about the sports media, they have to be skeptical.
[01:01:51.498 --> 01:01:55.559]  Because if I tell everybody that sports is a big lie, well, you know, you're out of a job.
[01:01:55.819 --> 01:01:57.920]  It doesn't matter that you cover these sports anymore.
[01:01:57.960 --> 01:02:00.821]  You have nothing to cover because you're basically covering, you know, Hollywood.
[01:02:01.481 --> 01:02:03.782]  And the hardest thing, though, with all this is proving it.
[01:02:03.882 --> 01:02:05.743]  Everybody goes, well, prove it, prove it, prove it.
[01:02:06.243 --> 01:02:15.126]  Well, the problem is, again, I have 400 files from the FBI where they investigated, you know, fixed boxing matches, horse races, college games, professional games.
[01:02:15.976 --> 01:02:20.358]  And the FBI couldn't prove these things, because there's no concrete evidence of a fix.
[01:02:20.758 --> 01:02:22.179]  That's the genius of the plan.
[01:02:22.239 --> 01:02:23.859]  It's all an under-the-table deal.
[01:02:23.879 --> 01:02:25.800]  There's nothing written like on League letterhead.
[01:02:26.120 --> 01:02:29.942]  There's nothing written on, you know, John Gotti's letterhead that says, hey, fix this game.
[01:02:30.722 --> 01:02:34.384]  It's just a very basic agreement that says, we'll pay you this, you do this.
[01:02:34.944 --> 01:02:35.685]  And it's all done.
[01:02:35.845 --> 01:02:46.591]  And the problem is, for sports fans, is you can't pick up when a player has a bad game, whether that was a bad game done intentionally or a bad game done just because it was a bad game he had an off day.
[01:02:47.052 --> 01:02:52.095]  And that's the problem, is proving this is nearly impossible, which makes it even easier to get away with.
[01:02:52.175 --> 01:02:53.676]  Because no one's looking for it.
[01:02:53.836 --> 01:02:55.097]  No one's looking for the fix.
[01:02:55.457 --> 01:02:58.058]  They just assume so-and-so had a bad game, so be it.
[01:02:58.118 --> 01:03:00.320]  But nobody says, well, why did he have a bad game?
[01:03:00.921 --> 01:03:01.462]  What occurred?
[01:03:01.662 --> 01:03:02.564]  What made that happen?
[01:03:02.584 --> 01:03:09.037]  How did the guy, all he does all day is throw a football, all day he catches a baseball, suddenly not be able to throw a football or not catch a baseball?
[01:03:09.558 --> 01:03:12.523]  I mean, could it be some sort of outside influence that nobody's looking for?
[01:03:13.419 --> 01:03:28.571]  Well, I mean, that's how corruption in government works, where they all have these boards, and then they have plausible deniability, and then the payoffs are all happening, but they just act like it's legal, and then everybody acts dumb at the end of the day, and then society just degenerates and degenerates.
[01:03:28.591 --> 01:03:33.635]  I think the answer is, turn away from all of this, stop giving it your money, stop giving it your time.
[01:03:34.316 --> 01:03:36.017]  Brian, look forward to talking to you on the radio.
[01:03:36.057 --> 01:03:37.278]  We'll take calls when we do that.
[01:03:37.578 --> 01:03:38.819]  Thank you so much for coming on with us.
[01:03:39.640 --> 01:03:39.940]  Thank you.
[01:03:39.960 --> 01:03:41.121]  I appreciate you having me on today.
[01:03:41.421 --> 01:03:41.621]  All right.
[01:03:41.641 --> 01:03:42.001]  Amazing.
[01:03:42.021 --> 01:03:43.041]  Can't wait to finish the book.
[01:03:43.622 --> 01:03:46.222]  And by the way, guys, let's get this in the Info Wars store.
[01:03:46.823 --> 01:03:54.325]  Really important for people to read this because sports has become an absolute just sickening spectacle in this country.
[01:03:54.646 --> 01:03:56.866]  Why don't you go out and get involved in a sport?
[01:03:58.347 --> 01:04:00.728]  I mean, you know, even if it's a 2K run or something.
[01:04:01.528 --> 01:04:05.852]  Sports is about you and your family being healthy and competitive, which is great.
[01:04:06.372 --> 01:04:11.417]  Notice public schools have banned dodgeball, banned tag, banned recess running.
[01:04:11.757 --> 01:04:13.338]  But sports is all okay.
[01:04:13.418 --> 01:04:15.600]  Again, it's absolute crap.
[01:04:15.980 --> 01:04:18.182]  Kids can't play outside in their own backyard now.
[01:04:18.242 --> 01:04:20.084]  Mama gets arrested or in the front yard.
[01:04:20.284 --> 01:04:23.707]  But you can go watch people run into each other at high velocity and get brain damaged.
[01:04:24.288 --> 01:04:25.569]  I mean, it's ridiculous.
[01:04:26.701 --> 01:04:32.485]  Thanks to Paul Watson, doing another fabulous job on InfoWars news section tonight.
[01:04:33.546 --> 01:04:36.228]  And I will be back, Lord willing, tomorrow on the radio, 11 a.m.
[01:04:36.508 --> 01:04:43.353]  to 2 p.m., and I'm doing the news and doing the interview tomorrow on InfoWars Nightly News, 7 o'clock Central, 8 o'clock Eastern.
[01:04:44.233 --> 01:04:52.679]  Don't forget, we've hired six new reporters, we're getting more graphics people, we are moving forward against the New World Order, and we couldn't do this without your support.
[01:04:53.060 --> 01:04:59.464]  So if you're not a PrisonPlanet.TV subscriber, there's a two-week, well, 15-day free trial, more than two-week free trial,
[01:05:00.775 --> 01:05:03.638]  One membership, six username and passcodes work with it.
[01:05:04.099 --> 01:05:09.624]  So you create a username and passcode that's unique to the site, share it with your friends and family, give it as a gift.
[01:05:10.065 --> 01:05:16.431]  Give yourself the gift, $5.95, and five other, actually six people simultaneously can log on.
[01:05:16.471 --> 01:05:20.535]  That's a dollar a month per person, and then that funds our bandwidth and the crew.
[01:05:21.776 --> 01:05:22.876]  And it just funds it.
[01:05:23.117 --> 01:05:25.757]  So we're here to get the word out and have our own platform.
[01:05:25.877 --> 01:05:29.719]  It also then leaks out to YouTube and other channels, millions of viewers a week.
[01:05:29.999 --> 01:05:34.720]  We're going to the next level soon to put it up on the satellite and reach people in other ways.
[01:05:34.760 --> 01:05:37.381]  Some cable systems are already downloading it each night and re-airing it.
[01:05:37.401 --> 01:05:38.201]  We're thankful to them.
[01:05:38.922 --> 01:05:44.424]  So we're reaching millions of people with this new operation, now a year old, getting ready to go into high gear here.
[01:05:45.344 --> 01:05:47.885]  But again, if you're not a PrisonPlanet.tv subscriber,
[01:05:49.025 --> 01:05:50.185]  Become one today.
[01:05:50.285 --> 01:05:52.946]  Look what we've been able to do so far, thanks to your support.
[01:05:53.146 --> 01:06:00.728]  And don't forget, it's selling out quickly, because I've got to hold back quite a few of these for the next 12 months, people that have signed up for subscriptions.
[01:06:01.168 --> 01:06:09.411]  So if you're buying these in bulk, in 10 packs up to 100 packs, at cost, to give to friends and family, the new issue is even more powerful than the first.
[01:06:10.111 --> 01:06:15.195]  Be sure and get your bulk orders in now at infowarestore.com or you won't be able to.
[01:06:15.615 --> 01:06:18.537]  We printed 100,000 of these and they are going very, very quickly.
[01:06:18.557 --> 01:06:20.298]  We sold out in 36 hours last time.
[01:06:20.598 --> 01:06:27.223]  And again, we're holding back quite a few of them, I think about 10,000 or so, maybe more because we're getting so many yearly subscriptions right now.
[01:06:28.264 --> 01:06:30.125]  $59.95 for a yearly subscription.
[01:06:30.425 --> 01:06:33.087]  That includes shipping.
[01:06:33.107 --> 01:06:33.527]  13 issues.
[01:06:33.587 --> 01:06:34.628]  The first issue and the next 12. $59.95.
[01:06:37.370 --> 01:06:42.136]  All that goes into this, it breaks down the technocracy, the new world order, the financial collapse, all of it.
[01:06:42.496 --> 01:06:46.481]  InfoWars Magazine, DARPA, The Real Skynet, The End of Humanity, Rise of the Robots.
[01:06:46.521 --> 01:06:48.022]  This is an emergency transmission.
[01:06:48.403 --> 01:06:50.926]  This is our answer to the internet kill switch.
[01:06:50.966 --> 01:06:52.007]  You can physically hold it.
[01:06:52.467 --> 01:06:53.869]  InfoWarsStore.com
[01:06:54.910 --> 01:07:01.795]  Or, if you don't want to order online, 888-253-3139.
[01:07:01.815 --> 01:07:01.935]  888-253-3139.
[01:07:01.955 --> 01:07:06.217]  24 hours a day, the InfoWars crew is here answering your calls and your orders.
[01:07:06.458 --> 01:07:18.866]  And again, we're not like George Soros getting banker bailout money or MSNBC getting a half billion bucks in stimulus taxpayer money to then tell you your guns and your family are scum and the world government's good.
[01:07:19.426 --> 01:07:20.286]  And that freedom's bad.
[01:07:20.727 --> 01:07:22.327]  They take your money and use it against you.
[01:07:22.527 --> 01:07:23.688]  This is free association.
[01:07:23.948 --> 01:07:31.411]  Spread the word about the shows, about the radio shows, about PrisonPlanet.com, about InfoWars.com, about our local AM and FM affiliates.
[01:07:31.711 --> 01:07:33.412]  Spread the word about the books, the videos.
[01:07:33.752 --> 01:07:35.573]  I had that guy on to promote what he's doing.
[01:07:36.133 --> 01:07:40.855]  It's all of us in this together, voting with our dollars and voting with our word of mouth.
[01:07:41.355 --> 01:07:42.558]  Alright, great job to the crew.
[01:07:42.839 --> 01:07:48.471]  We'll see you back tomorrow night for more teleprompter-free real news and analysis.
[01:07:49.092 --> 01:07:50.575]  Not for entertainment purposes.
