[00:00:21.673 --> 00:00:26.738]  Hello and welcome to InfoWars Nightly News on this February 23rd edition.
[01:00:22.017 --> 01:00:22.297]  Why?
[01:00:22.417 --> 01:00:26.778]  Because before, when you're impoverished, you need a large family to take care of you when you're old.
[01:00:27.459 --> 01:00:32.960]  If you get wealthy, you don't want that because it's a drain on your finances and so forth.
[01:00:33.120 --> 01:00:46.304]  And most nations that have become more wealthy over a period of a generation or so have seen their growth rate plummet dramatically because people don't want as many children as they used to have.
[01:00:46.824 --> 01:00:48.885]  So I think if we were to create wealth,
[01:00:49.502 --> 01:01:00.011]  For these people, it would actually do more to create a stable population than by the methods that you're talking about, fertility control and that type of thing.
[01:01:00.711 --> 01:01:13.041]  And much faster as well, because there's a natural incentive then for people not to have large families, rather than the punishment or the bootstrap approach that they're taking now in these third world nations.
[01:01:13.541 --> 01:01:18.666]  The other thing that I have to really recognize, and I can't say I can address it to any great
[01:01:19.685 --> 01:01:21.006]  is the eugenics side of it.
[01:01:22.187 --> 01:01:27.251]  These people have always been big on eugenics and creating the perfect human being and all the rest.
[01:01:27.952 --> 01:01:38.881]  And as a consequence, if you have population control, you can begin to introduce eugenics into it and keep certain people from reproducing while allowing other people to reproduce.
[01:01:39.402 --> 01:01:45.747]  That's a pretty hard statement to make, I know, but it is part of their background and I think it needs to be recognized.
[01:01:47.375 --> 01:01:49.598]  No, I mean, that's exactly what we've documented.
[01:01:49.618 --> 01:02:02.617]  Of course, Hitler got his eugenicist ideas from the British before the whole Nazi Germany thing about, you know, infanticiding babies, disabled people, etc, etc.
[01:02:02.637 --> 01:02:03.739]  It didn't start with Hitler.
[01:02:04.099 --> 01:02:18.230]  And as you said, I mean, Brazil, India, their economies are rapidly developing, and as a result, the birth rate is naturally decreasing, which shows, as you said, if you give these countries wealth, property and prosperity, the problem ceases to exist.
[01:02:20.174 --> 01:02:25.419]  I think we got a taste of what life under Agenda 21 would be like.
[01:02:25.499 --> 01:02:26.640]  I don't know if you saw this.
[01:02:27.040 --> 01:02:35.227]  There was a group, this was last year, it was called Forum for the Future, and it was this charitable organisation linked with the British government.
[01:02:35.928 --> 01:02:45.756]  And they put out a video called Plannedopolis, and this was basically a nightmare technocratic future scenario, which they were basically advocating.
[01:02:46.437 --> 01:03:02.604]  And it showed where, you know, only the super-rich elite would be allowed to drive cars in cities, meat would be rationed by a global food council, and it was just this horrible dystopian future which they were actually advocating under this Agenda 21 system.
[01:03:04.165 --> 01:03:13.389]  How will our experience of life be characterized under Agenda 21 in the future if this plan is allowed to be fully implemented?
[01:03:14.707 --> 01:03:15.948]  You know, that's a very good question.
[01:03:16.008 --> 01:03:21.312]  I just finished a novel by James Patterson called Toys, T-O-Y-S.
[01:03:22.913 --> 01:03:30.158]  I wasn't really enthused about going into it, but the more I read on it, the more I realized that this is exactly where Agenda 21 is taking us.
[01:03:30.658 --> 01:03:41.646]  I don't know if Mr. Patterson had any kind of insight as to where Agenda 21 is going to do, but it basically sets up a society of elites and the peasantry.
[01:03:42.282 --> 01:03:48.527]  And basically, the elites had anything they wanted, and the peasants were basically just the providers.
[01:03:48.587 --> 01:03:53.090]  They just provided the materials and so forth that the elites needed to have.
[01:03:55.392 --> 01:04:02.497]  One of the things that is very interesting about this whole concept, if you develop an elite class, the elite class can do nothing.
[01:04:03.218 --> 01:04:07.841]  I mean, they're not capable of doing hardly anything in a practical sense.
[01:04:08.379 --> 01:04:13.441]  Because they depend upon everyone else to provide them all the goods and services that they want.
[01:04:14.041 --> 01:04:24.425]  And once that's entrenched into a society, they have to depend upon the peasantry to keep them under control in order to provide them on a continuous basis all the goods and services that they want.
[01:04:25.125 --> 01:04:30.227]  And that particular book was astonishing from the standpoint and the insights of how this could happen.
[01:04:30.267 --> 01:04:36.009]  I'm not saying it's going to happen that way, but if you want to see one version of what could happen with Agenda 21,
[01:04:37.628 --> 01:04:39.929]  Read Patterson's Toys book.
[01:04:40.750 --> 01:04:45.692]  It is entertaining and very illuminating in the sense of what could happen.
[01:04:46.813 --> 01:05:01.900]  The other thing that I kind of want to mention here is that in some ways there are several places in this country that we've already seen some of the restrictions of Agenda 21, at least with land rights or land use aspects of it.
[01:05:04.821 --> 01:05:07.642]  Upstate New York, the Adirondack State Park.
[01:05:08.222 --> 01:05:24.308]  The Adirondack State Park Commission was created in 1971, implemented in 1973, and it's a horror story because in this six million acre park, a little more than half is owned by private property individuals.
[01:05:24.848 --> 01:05:29.470]  The rest of it's owned by the government, and they now have a commission that decides
[01:05:30.200 --> 01:05:33.963]  Everything that these private landowners can do, literally everything.
[01:05:34.343 --> 01:05:43.249]  How much they can build, where they can build, how many acres is required, and all the rest that goes into living on a piece of land.
[01:05:44.049 --> 01:05:51.835]  And you could drive through the Adirondack State Park today, and it's like driving through the 1960s, because nothing has changed.
[01:05:52.635 --> 01:05:54.897]  This is the future of Agenda 21.
[01:05:55.017 --> 01:05:56.498]  In fact, it is so pronounced
[01:05:57.335 --> 01:06:14.062]  That we believe that Agenda 21, much of the property or land use restrictions that are built into Agenda 21, came from the success story of government basically squashing the rights of private property rights in the Adirondack State Park in upstate New York.
[01:06:14.542 --> 01:06:15.903]  It is literally astonishing.
[01:06:16.583 --> 01:06:25.307]  And that's a classic example of where we're going, at least with the land use side of it, in the future if we don't stop this massive effort.
[01:06:25.851 --> 01:06:34.718]  Here in the United States, for those who are listening that are part of the United States, recognize that we're not implementing Agenda 21 per se here in this country.
[01:06:35.118 --> 01:06:37.760]  We're implementing what's called Sustainable America.
[01:06:38.380 --> 01:06:49.789]  Sustainable America was created by Bill Clinton, the President's Council on Sustainable Development, back in the mid-1990s in order to fulfill the requirements of Agenda 21.
[01:06:50.309 --> 01:06:55.113]  So we are actually implementing Agenda 21 through this Sustainable America program
[01:06:55.760 --> 01:07:00.981]  In which every federal agency now has as its operating goals.
[01:07:01.801 --> 01:07:19.384]  And if there's any kind of grant given to a state agency or a local community, it always has these kinds of restrictions attached to it because that is now, their goal is no longer to serve the American people, but to protect the environment from the American people.
[01:07:19.984 --> 01:07:23.025]  And I'm sure that's starting to happen in other parts of the world as well.
[01:07:25.532 --> 01:07:26.473]  I mean, it's frightening.
[01:07:27.273 --> 01:07:35.918]  Obviously it's not got this bad yet, but you can look through history at every classical tyranny, particularly in the East with the communist system.
[01:07:36.298 --> 01:07:46.624]  I mean, that's the first thing that the Maoist cultural revolution did, was seize people's property and turn it all over to the state and make people, you know, work for the state on these collectivized farms.
[01:07:47.024 --> 01:07:51.187]  So while it's far from that situation yet, that's the kind of
[01:07:51.667 --> 01:07:55.991]  It's one of the things that has been very active here in this country because of the so-called Tea Party movement.
[01:08:16.912 --> 01:08:22.896]  The Tea Party movement have gotten a hold of Agenda 21 and realized what's happening, and they have made it a primary focus.
[01:08:23.656 --> 01:08:26.918]  And I would hope that this is happening in other parts of the world, too.
[01:08:27.458 --> 01:08:45.849]  In the case of global warming and alternative energy there in Britain and Germany and Denmark and France and Italy and so forth, Spain, all of these people, all of these countries, if you can organize into groups that will fight legislation and so forth at the local and
[01:08:46.941 --> 01:08:51.545]  Intermediate as well as the national level, you're going to start having some influence.
[01:08:51.605 --> 01:08:53.626]  It is already happening here in this country.
[01:08:54.207 --> 01:08:57.429]  It's amazing what's happened in the last year.
[01:08:57.830 --> 01:09:13.542]  I've been fighting Agenda 21 since it was first created in 1992, and it wasn't until last year that it started to spread to enough groups around the United States that it's really starting to have an impact now in local communities, in comprehensive planning.
[01:09:13.582 --> 01:09:15.003]  I don't know what they call it in Europe.
[01:09:15.509 --> 01:09:18.209]  But here it's called smart growth or comprehensive planning.
[01:09:18.229 --> 01:09:21.870]  And basically, I don't disagree with planning.
[01:09:21.910 --> 01:09:25.631]  I think we need to plan for utility lines and all the rest that goes along with it.
[01:09:26.291 --> 01:09:27.891]  But this goes far beyond this.
[01:09:27.931 --> 01:09:30.812]  This goes to social issues kind of planning.
[01:09:31.032 --> 01:09:34.772]  And once you start getting into the social issues, you're losing your freedoms.
[01:09:34.812 --> 01:09:44.934]  Because the only way a community can provide services like that to all of the members of the community is by taking them away from individual members of the community.
[01:09:45.359 --> 01:09:48.841]  That should otherwise have them exclusively to their private property rights.
[01:09:50.943 --> 01:10:01.089]  And of course that ties into states taking people to prison or attempting to simply for growing vegetables in their own back garden and so forth.
[01:10:01.149 --> 01:10:01.369]  Yes.
[01:10:01.429 --> 01:10:11.816]  I mean we've had this massive revolution not just in America but across Europe of people turning back to the land to grow their own vegetables and I guess that's a key part of what you're saying there.
[01:10:12.981 --> 01:10:13.401]  Yes it is.
[01:10:13.881 --> 01:10:31.585]  In fact, we've had legislation in this last year at the federal level that is going to prohibit the sale of anything grown locally that is not served, first has a permit by either the federal or the state governments in order to be able to sell their produce and so forth.
[01:10:31.805 --> 01:10:32.905]  Otherwise they'll go to jail.
[01:10:33.265 --> 01:10:34.745]  Now that hasn't been implemented yet.
[01:10:34.765 --> 01:10:37.466]  There's been a lot of backlash against it.
[01:10:37.966 --> 01:10:38.426]  However,
[01:10:38.931 --> 01:10:42.733]  It is one of those issues that, just as you're saying here, it is creeping in.
[01:10:42.813 --> 01:10:47.135]  And this is what is so disturbing, is that it's not happening all at once.
[01:10:47.315 --> 01:10:51.798]  If it happened all at once, you would have a tremendous backlash on the part of the population.
[01:10:52.298 --> 01:10:53.999]  But it's gradually being implemented.
[01:10:54.039 --> 01:11:01.563]  We're now going into Year 30, since the Agenda 21 was first introduced in the world in 1992.
[01:11:02.403 --> 01:11:07.906]  And basically, what we're seeing is a gradual, excuse me, implementation
[01:11:08.925 --> 01:11:14.809]  Slowly so that people like a frog in a gradually warming pot of water doesn't notice what's happening until it's too late.
[01:11:15.449 --> 01:11:27.236]  And the best way to try to get this out is what we've done here in this country is education of those people who are concerned about it, organized into groups, and are willing to take action.
[01:11:27.296 --> 01:11:34.701]  Because it requires us to take action, to go to town meetings and that sort of thing, to voice your concerns
[01:11:35.234 --> 01:11:42.638]  And to protest, if necessary, certain actions being taken by the community government right up to the national government.
[01:11:43.258 --> 01:11:45.519]  And it's starting to happen here.
[01:11:45.599 --> 01:11:52.243]  It's a long ways from what it needs to be, but at least it's starting to happen in the first time that I've seen in over 25 years.
[01:11:54.304 --> 01:12:01.888]  And finally, Doctor, tell people about your website and where people can go to get your material and more information on Agenda 21.
[01:12:04.363 --> 01:12:11.187]  Well, one of the things that I have now is an actual website called epi-us.com.
[01:12:11.207 --> 01:12:20.293]  That's E as in Edward, P as in Paul, I as in intelligent, dash, US, like United States, dot com.
[01:12:20.754 --> 01:12:26.637]  There I have all of my products and services and so forth listed for people to be able to see.
[01:12:26.757 --> 01:12:30.920]  More specifically, I have a website called emergingscience.us.
[01:12:32.901 --> 01:12:35.663]  That goes into the global warming issues.
[01:12:36.263 --> 01:12:45.430]  Tremendous website in the sense of finding out information as to what really is behind global warming by DVD called Global Warming Emerging Science.
[01:12:46.230 --> 01:12:53.055]  Basically interviews two dozen different scientists from around the world explaining why man cannot be causing global warming.
[01:12:53.896 --> 01:13:01.001]  And we have a news page on that particular site that goes into what's happening currently.
[01:13:01.576 --> 01:13:12.040]  In the news on this particular issue, my recent book called Rescuing a Broken America is on rescuedamericabook.com.
[01:13:13.180 --> 01:13:19.342]  That has been a powerful book this last year in helping people understand what's happening in this country.
[01:13:20.122 --> 01:13:31.046]  I'm not so sure how useful it might be around the world, but we have had orders from Australia, even England, for that particular book because it does reveal so much about the global agenda
[01:13:31.519 --> 01:13:36.243]  That it helps even those who are not necessarily part of this country and under its legal system.
[01:13:36.884 --> 01:13:47.073]  So those are the primary websites, epi-us.com, emergingscience.us, and rescuingamericabook.com.
[01:13:47.633 --> 01:13:55.921]  I think if you were able to go to those, you would see most of what we have available to help provide the information that you need to be more effective.
[01:13:58.288 --> 01:13:59.870]  Okay, that's gonna wrap it up then.
[01:13:59.910 --> 01:14:06.578]  Dr. Michael Koffman, we really appreciate you joining us on InfoWars Nightly News and we look forward to speaking with you again.
[01:14:06.618 --> 01:14:07.359]  Thank you very much.
[01:14:07.899 --> 01:14:08.160]  Great.
[01:14:08.700 --> 01:14:09.141]  Thank you.
[01:14:09.741 --> 01:14:10.142]  Thank you.
[01:14:10.162 --> 01:14:10.723]  Bye now.
[01:14:11.203 --> 01:14:14.667]  Okay folks, thanks for tuning in once again to InfoWars Nightly News.
[01:14:14.707 --> 01:14:16.249]  We'll see you on the next edition.
[01:14:16.329 --> 01:14:16.830]  Take care.
