[00:00:02.011 --> 00:00:03.131]  We've got it better.
[00:49:11.804 --> 00:49:23.515]  Of the two guests, on the two Franks, I call it like the two Jakes, it was the two Franks, Frank Wuko was the one that, without exception, people who bothered to send an email to comment said, this man is a mouthpiece for the establishment.
[00:49:23.775 --> 00:49:30.502]  This is Oliver North with his Dennis the Menace haircut, talking about doing his duty and totally towing the line of the status quo.
[00:49:31.508 --> 00:49:36.389]  Whereas the second Frank was, he said, no, we're the American people, we'll overcome, even if it gets rough.
[00:49:36.489 --> 00:49:37.250]  I'm paraphrasing here.
[00:49:37.270 --> 00:49:39.070]  We say, even if it gets rough, we'll find a way.
[00:49:39.150 --> 00:49:39.910]  We'll find our way through.
[00:49:39.970 --> 00:49:40.871]  We will groom leaders.
[00:49:40.891 --> 00:49:41.711]  We will go forward.
[00:49:42.151 --> 00:49:44.272]  After I suggested maybe that's what we ought to start doing.
[00:49:44.752 --> 00:49:50.553]  So, when you're in a position like this, we are alternately, let's not, I won't even drag you all into it.
[00:49:50.573 --> 00:49:59.316]  I'll just say, I am alternately a bringer of the truth, a traitor, a Zionist, a Nazi,
[00:50:00.300 --> 00:50:12.002]  A liberal left-wing nut and a radical right-wing nut, depending on which piece of what sentence offended this particular person who decided to send an email.
[00:50:12.623 --> 00:50:29.046]  So, the biggest problem with all of this is that because of our individuality and our innate desire to cling to it, we cannot become this Borg that those who envision an advanced civilization perhaps would like us
[00:50:29.963 --> 00:50:30.743]  We're good to go.
[00:50:59.930 --> 00:51:04.576]  So, just because I allow somebody to state their opinion doesn't mean I embrace it.
[00:51:04.756 --> 00:51:05.317]  Sure, yeah.
[00:51:05.617 --> 00:51:07.419]  Well, let me ask this though.
[00:51:07.880 --> 00:51:12.786]  What is the strangest incident that you've had with a guest on Coast to Coast AM?
[00:51:12.866 --> 00:51:15.650]  I'm curious about your experience as the host there.
[00:51:16.836 --> 00:51:36.390]  When I brought on Susan Lindauer, the ex-CIA asset that was, you know, she alleged she was taken to a Carswell Air Force Base right out by Fort Worth, Texas, which is now a joint base of some sort, and there's been, we'll get into that later, a few black triangles have been spotted as far back as the 70s headed that base's direction.
[00:51:37.471 --> 00:51:40.794]  When she began to talk about how she'd been tipped off and went to
[00:51:41.835 --> 00:51:43.015]  To pretty much the inner circle.
[00:51:43.816 --> 00:51:48.197]  One of her relatives even was inside the White House and said, hey, we got a problem.
[00:51:48.257 --> 00:51:51.637]  It's coming and it looks like an attack on buildings by airliners.
[00:51:52.558 --> 00:51:54.058]  She wound up drugged and everything else.
[00:51:54.078 --> 00:52:01.960]  And I'm telling you, I experienced, you know, some people would send an email, you know, you get a thousand compliments and you get one ugly one and that's the one you, you know, everybody knows that, right?
[00:52:02.720 --> 00:52:07.882]  This guy gave a baccalaureate one time and said, as you go through life, remember the compliments and try to forget the insults.
[00:52:07.942 --> 00:52:11.423]  And if you'd figure out a way to do this, please write me and let me know what it is.
[00:52:11.483 --> 00:52:12.023]  It can't be done.
[00:52:12.604 --> 00:52:22.507]  But seriously, every time a guest like that comes on, coast to coast, I begin getting the activity wheel on the apples and the freezing on the PCs.
[00:52:22.547 --> 00:52:25.928]  And it's just, if it was once or twice, it'd be a coincidence.
[00:52:26.008 --> 00:52:29.870]  But when it happens every time there's a controversial guest on, then
[00:52:31.281 --> 00:52:35.382]  It makes one think maybe somebody's stuffing some tissue in the pipe.
[00:52:36.043 --> 00:52:39.564]  Well, you think maybe they're interfering with your operations?
[00:52:39.624 --> 00:52:50.327]  I mean, because there was a DDoS attack recently, a cyber warfare attack on RT for covering Julian Assange, and that was by what looks to be a CIA front group.
[00:52:51.247 --> 00:52:59.870]  Do you think that there are teams that run around the country just basically electronically assaulting all of us who are engaged in questioning the status quo?
[00:53:01.385 --> 00:53:01.765]  Yes.
[00:53:02.425 --> 00:53:04.566]  The short answer is yes, they have nothing else to do.
[00:53:04.646 --> 00:53:13.949]  And going back to that psychology, the people who would come and interview me, they do things that we, they think about things we don't think about.
[00:53:15.150 --> 00:53:23.393]  They're first, when you ask what do you anticipate their biggest fear as far as response from the public is concerned, well, in our minds it's probably some sort of
[00:53:24.747 --> 00:53:30.154]  You know, torches and pitchforks and marching to the palace kind of a scenario.
[00:53:30.354 --> 00:53:32.056]  But it might not be that.
[00:53:32.617 --> 00:53:35.481]  They might worry more about a run on the banks.
[00:53:35.961 --> 00:53:38.164]  They might worry more about a run on arms.
[00:53:38.264 --> 00:53:39.806]  Or maybe a run out of the country.
[00:53:40.587 --> 00:53:40.928]  Or a...
[00:53:41.989 --> 00:53:45.531]  Currency conversions, they worry about things that we don't even think about.
[00:53:46.031 --> 00:53:52.695]  In fact, actually, as much as I am a little reluctant to say this, it seems to be true.
[00:53:52.835 --> 00:53:56.096]  We're at the very bottom, the very end of the data chain.
[00:53:56.156 --> 00:54:02.740]  By the time we hear about it, whatever we're talking about is, you know, several miles down the road from where we went, hey, what was that?
[00:54:03.260 --> 00:54:05.481]  Oh no, we're just now getting wise to it.
[00:54:06.081 --> 00:54:08.983]  It's underway and has been, so we're always slightly behind.
[00:54:09.571 --> 00:54:16.874]  Yeah, and sometimes, you know, I thank God that I'm not getting secrets leaked to me like Julian Assange.
[00:54:16.914 --> 00:54:22.977]  I mean, it's nice to be at the end of the data chain where a lot of times we don't have a super clear picture about what's going on.
[00:54:23.277 --> 00:54:30.760]  I think if someone was dumping straight, you know, state secrets to you or to me or to Alex Jones, we'd all be dead by now, for sure.
[00:54:31.340 --> 00:54:31.941]  Well, absolutely.
[00:54:31.961 --> 00:54:38.366]  I mean, when somebody sends me a big hard drive, I give it to somebody else who gives it to somebody else who gives it to somebody else to see what's on it.
[00:54:38.386 --> 00:54:38.986]  I don't want to say it.
[00:54:39.207 --> 00:54:40.087]  Yeah, right.
[00:54:40.648 --> 00:54:41.889]  Just because I picked it up at the P.O.
[00:54:41.929 --> 00:54:43.050]  box doesn't mean I'm going to look at it.
[00:54:43.070 --> 00:54:46.012]  I have people sending me samples of things to drink.
[00:54:46.293 --> 00:54:46.793]  Like, really?
[00:54:46.813 --> 00:54:49.335]  You think I'm just going to drink something that shows up in a box?
[00:54:49.635 --> 00:54:50.936]  Yeah, let's swing it down.
[00:54:50.956 --> 00:54:51.697]  See what happens.
[00:54:51.937 --> 00:54:52.738]  Yeah, right.
[00:54:52.758 --> 00:54:52.838]  Okay.
[00:54:55.515 --> 00:54:59.700]  It's funny, I mean people send stuff to the InfoWars offices here for people to try.
[00:54:59.720 --> 00:55:02.784]  I'm like, come on, that's a little too simple.
[00:55:02.804 --> 00:55:04.927]  But I don't mean to get carried away, John.
[00:55:04.947 --> 00:55:05.888]  No worries.
[00:55:06.489 --> 00:55:06.809]  What's that?
[00:55:07.430 --> 00:55:08.832]  No worries, I do it all the time.
[00:55:09.112 --> 00:55:12.196]  Yeah, well, you know, it's stream of consciousness sometimes, but...
[00:55:13.337 --> 00:55:21.380]  You mentioned, it's interesting because, so you're the host of what is, you know, the largest radio show in the country.
[00:55:22.281 --> 00:55:24.102]  I don't know if it's the largest overall.
[00:55:24.162 --> 00:55:25.442]  What do the ratings say?
[00:55:25.982 --> 00:55:34.886]  It's supposed to, my understanding is it's the highest rated, most listened to, late night talk show in the history of the business.
[00:55:36.027 --> 00:55:38.388]  I could be inflating it, but I think that's probably true.
[00:55:38.788 --> 00:55:41.129]  Guys like Limbaugh, they're much bigger.
[00:55:41.949 --> 00:55:42.990]  But that's daytime, yeah.
[00:55:43.010 --> 00:55:45.731]  Yeah, that's daylight hours, so... So, anytime... I'm sorry.
[00:55:46.131 --> 00:55:46.651]  No, no, go ahead.
[00:55:47.012 --> 00:55:51.074]  Well, I was just going to say, anytime you have this huge audience, you're going to get a massive amount of feedback.
[00:55:51.494 --> 00:55:58.978]  Have you noticed that the quality of the thought behind the feedback of the public has sharply dropped in the last five years?
[00:56:01.199 --> 00:56:04.421]  What, are you talking about the quality of the content of their messaging?
[00:56:04.521 --> 00:56:06.262]  Yeah, or just their thought processes.
[00:56:06.282 --> 00:56:08.743]  You can tell that most of them are insane, even.
[00:56:08.803 --> 00:56:10.744]  They can't even... There's no logic anymore.
[00:56:11.636 --> 00:56:15.740]  You know, Mike, I would have to dispute that just on the basis of personal experience.
[00:56:15.800 --> 00:56:21.645]  I find that most of the people that send emails, I mean, there's a you bleep-loving bleep pig, you know?
[00:56:21.726 --> 00:56:29.012]  It's like, really, when I upset a liberal, a person with a liberal bend, you know, who do I talk to when they send me a message like this?
[00:56:30.073 --> 00:56:32.195]  Actually, I find that, yeah, there's a certain...
[00:56:34.113 --> 00:56:36.715]  There's a certain radical factor there.
[00:56:36.975 --> 00:56:42.939]  However, I find that if you just communicate with them and go, wait a minute, do you really think that a message like this is necessary?
[00:56:43.659 --> 00:56:44.780]  What's eating you, really?
[00:56:45.600 --> 00:56:49.763]  And I'm telling you, nine times out of ten, they'll come back and go, thank you for responding.
[00:56:49.823 --> 00:56:50.743]  No one ever does.
[00:56:51.384 --> 00:56:53.205]  Wow, you respond to them.
[00:56:53.365 --> 00:56:55.186]  Oh, I absolutely respond, you know.
[00:56:55.206 --> 00:56:56.287]  How do you find the time?
[00:56:57.139 --> 00:57:02.222]  Well, you know, I can't respond to all of them, but I read as many of them as possible.
[00:57:02.582 --> 00:57:06.644]  Because they come in, you know, 1,800 of them per show, so that's a lot of reading.
[00:57:07.045 --> 00:57:07.905]  That's incredible, John.
[00:57:07.965 --> 00:57:13.788]  Well, good job responding to them, and I'm glad that you're seeing some light of awakening in those responses.
[00:57:14.649 --> 00:57:16.330]  Maybe I've been reading Facebook too much.
[00:57:16.970 --> 00:57:17.350]  Well, good.
[00:57:19.173 --> 00:57:20.354]  We're about to go to break, John.
[00:57:20.374 --> 00:57:21.614]  Again?
[00:57:23.114 --> 00:57:23.975]  Come on, you know the drill.
[00:57:25.415 --> 00:57:27.036]  We'll be back with John B. Wells, everybody.
[00:57:27.076 --> 00:57:29.436]  This is Mike Adams on the Alex Jones Show.
[00:57:29.456 --> 00:57:36.239]  We've got a lot more straight ahead, more about preparedness and what may be a coming crisis or collapse of some sort.
[00:57:36.279 --> 00:57:39.740]  We'll talk to John about that when we return right here on the Alex Jones Show.
[00:57:39.760 --> 00:57:40.240]  Stay with us.
[00:57:51.789 --> 00:57:57.774]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:57:57.954 --> 00:58:00.697]  78% of the Midwest corn belt is in drought conditions.
[00:58:00.917 --> 00:58:06.001]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:58:06.301 --> 00:58:11.005]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:58:11.266 --> 00:58:18.552]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods or meat foods direct now.
[00:58:18.852 --> 00:58:19.372]  We're good to go!
[00:58:41.698 --> 00:58:44.524]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:58:44.725 --> 00:58:49.075]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:58:49.235 --> 00:58:51.039]  You can bet your life on efoods direct.
[00:58:52.461 --> 00:58:58.447]  Alex Jones here with a great way to beat the blackouts, get off the grid, and generate your own supply of electrical power.
[00:58:58.787 --> 00:59:03.731]  Folks, with what's been going on in this country, I don't have to tell you about the power grid and just how vulnerable it is.
[00:59:04.052 --> 00:59:05.833]  That's in the mainstream news every day.
[00:59:06.294 --> 00:59:13.781]  Millions of people have lost their power in the last few weeks because of dangerous storms and killer heat that's pushing the grid beyond its capacity.
[00:59:14.281 --> 00:59:17.704]  I've always said that every family needs to be ready for blackouts.
[00:59:18.084 --> 00:59:22.047]  And if you don't have a backup system in place, I've got a great opportunity for you.
[00:59:22.427 --> 00:59:28.492]  Right now, our good friends at Solutions from Science are offering huge savings on their best-selling Power Hub unit.
[00:59:29.292 --> 00:59:31.913]  In fact, I think it's the best deal I've ever seen them make.
[00:59:32.333 --> 00:59:34.894]  It's literally thousands of dollars in savings.
[00:59:35.435 --> 00:59:38.876]  Remember, these backup systems don't need gas because they're solar-powered.
[00:59:39.156 --> 00:59:41.697]  That means there's no dangerous fumes and no noise.
[00:59:42.198 --> 00:59:47.020]  InfoWars listeners can get all the details at BeatTheBlackouts.com.
[00:59:47.300 --> 00:59:49.041]  That's BeatTheBlackouts.com.
[00:59:52.714 --> 00:59:55.597]  Coast to coast, direct from Austin.
[00:59:56.297 --> 00:59:59.600]  You're listening to the Alex Jones Broadcasting Network.
[01:00:03.324 --> 01:00:09.349]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:09.970 --> 01:00:12.933]  It's Alex Jones and the GCN Radio Network.
[01:00:19.266 --> 01:00:24.987]  We are into the second hour here on August 19th, this Sunday, here on the Alex Jones Show.
[01:00:25.007 --> 01:00:25.887]  Thank you for joining us.
[01:00:25.947 --> 01:00:29.528]  This is Mike Adams, the Health Ranger, filling in for Alex today.
[01:00:29.568 --> 01:00:33.289]  And we are joined by our featured guest, John B. Wells.
[01:00:33.409 --> 01:00:36.450]  His website is also jbwells.com.
[01:00:36.470 --> 01:00:40.550]  I encourage you to check that out, as well as caravan2midnight.com.
[01:00:41.050 --> 01:00:43.211]  And we've been discussing a number of interesting topics.
[01:00:44.771 --> 01:00:49.033]  Let's get into the preparedness issue if you're up for that, John.
[01:00:49.053 --> 01:00:50.273]  Absolutely.
[01:00:50.453 --> 01:00:51.053]  All right, man.
[01:00:51.073 --> 01:01:04.458]  So let me lead that off by saying, well, you know, Max Keiser predicted here on the Alex Jones Show last week that there's going to be a financial crisis, a big one, like a global derivatives meltdown of some sort by April of 2013.
[01:01:04.658 --> 01:01:09.440]  Now, I know you and I are both reluctant to put our necks on the line with a specific date.
[01:01:10.040 --> 01:01:13.842]  But what do you think are the possibilities of what might happen in the next couple of years?
[01:01:15.683 --> 01:01:18.425]  In the next couple of years, that's a little bit of a stretch.
[01:01:18.785 --> 01:01:20.626]  Next couple of months, I might take a poke at it.
[01:01:20.686 --> 01:01:23.407]  Next couple of years, I just have no idea.
[01:01:23.427 --> 01:01:24.208]  I wish I did.
[01:01:24.228 --> 01:01:25.108]  And you go for it.
[01:01:25.769 --> 01:01:31.612]  And you know, nobody likes to make a prediction and have it not, you know, make them look like an idiot.
[01:01:31.632 --> 01:01:33.773]  But yeah, you predicted and nothing happened.
[01:01:34.706 --> 01:01:39.391]  I predict nothing will happen on December 21st 2012 except a lot of drinking, okay?
[01:01:39.511 --> 01:01:39.912]  There you go.
[01:01:40.492 --> 01:01:51.364]  But now as far as this economic collapse, I'm trying to think outside the box that we have been put in mostly through mainstream media.
[01:01:52.545 --> 01:01:58.851]  An example of which might be an ad, and thanks very much for mentioning CaravanToMidnight.com.
[01:01:59.292 --> 01:02:05.558]  Going to the Fukushima thing, it's like the real tragedy of Fukushima, according to an article I just saw today from the Wall Street Journal.
[01:02:06.218 --> 01:02:07.920]  That's mainstream media, if I ever heard it.
[01:02:08.541 --> 01:02:08.961]  Or read it.
[01:02:10.743 --> 01:02:13.926]  That, well, the biggest tragedy is that everybody's so worried about it.
[01:02:15.815 --> 01:02:17.536]  We're going to cause it by thinking about it.
[01:02:17.977 --> 01:02:22.940]  Yeah, that might cause some real ripples in the nuclear power industry, you think?
[01:02:23.200 --> 01:02:25.982]  And maybe that's why that's the only article I've seen.
[01:02:26.002 --> 01:02:28.784]  They get more radiation in Denver than Fukushima.
[01:02:29.225 --> 01:02:35.989]  And we attribute the fact they have the lowest cancer rate in the country to lifestyle as opposed to radiation levels.
[01:02:36.670 --> 01:02:37.130]  Oh, really?
[01:02:37.150 --> 01:02:40.392]  Well, you know, the thing about it is the experts are baffled.
[01:02:40.412 --> 01:02:42.734]  And when the experts are baffled, that means they're not experts.
[01:02:45.504 --> 01:03:02.352]  As far as the preparedness is concerned and what to expect over the next couple of years, this whole thing that we've been brought into, since debt and interest and all of that, these huge loans that are written, really don't constitute actual physical cash, only technically.
[01:03:02.372 --> 01:03:04.873]  They're actually created with the stroke of a pen.
[01:03:05.453 --> 01:03:12.877]  Then I wonder, we're at almost 17 trillion dollars in debt, that's a 17 with 12 zeros to the right of it.
[01:03:13.542 --> 01:03:15.483]  There's not enough money on earth to pay that down.
[01:03:15.843 --> 01:03:22.747]  I wonder how much of that is actually principle and how much of it is interest that's been rolled over and rolled over and rolled over.
[01:03:23.347 --> 01:03:30.231]  So now the big buzzword is, I mean, just like SARS, swine flu, mad cow disease,
[01:03:30.891 --> 01:03:31.992]  Blah, blah, blah, blah.
[01:03:32.032 --> 01:03:35.714]  They just sprayed over half of Texas with insecticide.
[01:03:35.734 --> 01:03:36.994]  That's right, West Nile.
[01:03:37.454 --> 01:03:38.775]  Over a West Nile mosquito.
[01:03:38.815 --> 01:03:41.136]  So, what is the calamity du jour?
[01:03:41.196 --> 01:03:48.740]  Well, right now, the war we have going on is another nine year, ten year affair in the Middle East.
[01:03:48.901 --> 01:03:58.966]  And the big problem that threatens us all is not an ongoing war that involves our volunteer army in an undeclared conflict, which makes them mercenaries.
[01:03:59.326 --> 01:04:01.287]  Whether they like it or not, I don't like it.
[01:04:01.727 --> 01:04:03.127]  I don't want them used that way.
[01:04:04.708 --> 01:04:07.308]  But now we have the threat of economic collapse.
[01:04:09.229 --> 01:04:16.992]  Simultaneously, as a matter of fact, it was on Alex Jones' InfoWars site, which I visit every day, that the FBI is saying, turn in your bin Laden's cash.
[01:04:17.072 --> 01:04:21.473]  Cash is the currency of terrorists and drug dealers.
[01:04:22.313 --> 01:04:24.094]  I'm beginning to wonder if this whole economic
[01:04:26.169 --> 01:04:28.972]  Crisis is nothing but a bloody fabrication.
[01:04:29.433 --> 01:04:29.773]  Really?
[01:04:30.354 --> 01:04:30.654]  Yes.
[01:04:31.395 --> 01:04:37.841]  Well, how would they use that fabrication, then, has got to be the operative question.
[01:04:38.022 --> 01:04:39.563]  I'll tell you how, my brother.
[01:04:39.583 --> 01:04:41.746]  Hold that thought then, John, when we come back.
[01:04:43.347 --> 01:04:43.748]  Again?
[01:04:43.768 --> 01:04:44.569]  Yeah, yeah.
[01:04:45.349 --> 01:04:46.431]  We have another quick break.
[01:04:46.471 --> 01:04:47.492]  This is a very short one.
[01:04:47.712 --> 01:04:48.173]  One minute.
[01:04:48.213 --> 01:04:53.099]  We'll be right back to answer that question with John B. Wells, who's kind enough to stick with us.
[01:04:53.720 --> 01:04:54.601]  And thanks for joining us.
[01:04:54.681 --> 01:04:57.265]  We'll be right back after this break, right here on the Alex Jones Show.
[01:05:02.844 --> 01:05:06.485]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:05:06.805 --> 01:05:14.927]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:05:15.667 --> 01:05:19.708]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:05:20.288 --> 01:05:31.110]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:05:31.750 --> 01:05:40.752]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[01:05:41.252 --> 01:05:46.293]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:05:46.694 --> 01:05:53.855]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:05:54.175 --> 01:05:56.936]  That's www.SilverLungs.com
[01:06:06.892 --> 01:06:12.465]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:06:12.946 --> 01:06:15.472]  You're listening to the Alex Jones Show!
[01:06:20.612 --> 01:06:39.798]  We're continuing right here on the Alex Jones Show with our guest John B. Wells, the Saturday night host of Coast to Coast AM, who was just theorizing that, hey, perhaps some of this or all of this financial crisis talk is actually a trick to be used against us in some way that he's about to describe right before we went to break.
[01:06:39.838 --> 01:06:41.399]  So, John, the floor is yours.
[01:06:41.459 --> 01:06:41.799]  Go ahead.
[01:06:42.918 --> 01:06:51.843]  There was this movie once upon a time called Three Days of the Condor and Robert Redford couldn't figure out why the guy with the Mac-10 and the suppressor on it, the mailman, was after him.
[01:06:52.724 --> 01:07:06.572]  I hate to ruin the movie for anybody who hasn't seen it, it's from the Stone Age, but in the end it was because he read books and he had discovered a storyline in there that absolutely positively correlated identically to something that was actually happening.
[01:07:07.404 --> 01:07:09.165]  So I wouldn't want to be that guy.
[01:07:09.185 --> 01:07:14.167]  I don't want to see the mailman unless he's got a nice check for me, which I find myself in continuous need of.
[01:07:14.247 --> 01:07:20.249]  But in any case, I think it's all in furtherance of a different kind of monetary system.
[01:07:20.309 --> 01:07:22.370]  I think it's in furtherance of an electronic system.
[01:07:22.870 --> 01:07:26.172]  A quick example would be someone that I know well and have for many years.
[01:07:27.455 --> 01:07:34.138]  Is in the retail business and now the parent company wants to pay every two weeks instead of every week.
[01:07:34.218 --> 01:07:41.200]  But what they really want them to do is take it on this card and use this debit card for all of their expenses.
[01:07:41.641 --> 01:07:48.903]  Now imagine all of the people at the top who really have, they have these actual assets, they have gold, they have actual cash.
[01:07:50.848 --> 01:08:01.830]  They position themselves however those at the top deem would be the most appropriate way to protect that wealth and then flip over to an electronic system.
[01:08:01.870 --> 01:08:06.851]  I mean there's more and more electronic funds transfer for us happening all the time under the guise of going green.
[01:08:06.971 --> 01:08:17.933]  Okay I can understand saving postage and paper but imagine if it's so easy to steal now how much easier would it be to steal if all of the money was just a one or a zero going down a
[01:08:18.793 --> 01:08:21.916]  An internet pipeline somewhere from one computer terminal to the next.
[01:08:22.476 --> 01:08:26.019]  What this means is that you protest, your money is gone.
[01:08:26.479 --> 01:08:28.881]  You don't pay a ticket, your money is gone.
[01:08:29.361 --> 01:08:32.324]  You've got a $5,000 tax bill but you've got $15,000 in the bank?
[01:08:32.384 --> 01:08:35.086]  That whole $15,000 is gone because you may have done something else.
[01:08:35.906 --> 01:08:41.569]  It is an ongoing, rolling attempt at total control and total oppression, and that's just how I see it.
[01:08:41.829 --> 01:08:43.150]  I'm sorry, but that's how it is.
[01:08:43.390 --> 01:08:45.671]  And an old relative of mine, a writer named H.G.
[01:08:45.691 --> 01:08:52.955]  Wells, I'm paraphrasing, said, a lot of people are going to be upset over this New World Order, and many will die protesting it.
[01:08:53.973 --> 01:08:54.673]  Wow, wow.
[01:08:54.693 --> 01:09:03.398]  Well, I think you're right on the money with the money issue and they're already starting to describe cash as sort of a tool for terrorism.
[01:09:03.638 --> 01:09:05.960]  You know, like people who have cash must be bad people.
[01:09:06.480 --> 01:09:13.124]  Oh, if you even buy your coffee at the same place and you're observed doing this and you do it all the time with cash, this could make you suspect.
[01:09:13.652 --> 01:09:31.299]  Oh yeah, that was the FBI announcement, what, a few months ago they put out these warnings to cafes and internet cafes, different kind of retail establishments to say, oh if people show up and pay with cash, or if they have a tattoo, or if they look like this or act like that, they might be a terrorist.
[01:09:31.339 --> 01:09:33.340]  And these are just normal everyday activities.
[01:09:34.369 --> 01:09:35.370]  I can't really.
[01:09:35.530 --> 01:09:43.557]  I appreciate the opportunity to be with you on your program because it allows me to rant a little bit more than I would do on coast because that's a slightly different deal.
[01:09:43.597 --> 01:09:52.425]  We get into these heavy subjects but, you know, we also cover, you know, garden fairies and Bigfoot and flying saucers and paranormal and, you know, electronic voice recordings and all that stuff.
[01:09:55.256 --> 01:09:55.916]  I'm sick of it.
[01:09:56.877 --> 01:10:09.885]  Ever since I have been literally a child, it's either been hiding under a desk during a drill, like that's going to help you in the case of an atomic bomb being dropped on you, to the Vietnam thing that went on interminably.
[01:10:09.925 --> 01:10:17.050]  I mean, I was a kid in elementary school when the Vietnam War started, and I was a voting age when it was over.
[01:10:18.249 --> 01:10:23.274]  And so we have a little bit of a lull, and then the Russians go into Afghanistan for nine years.
[01:10:23.334 --> 01:10:28.779]  In the meantime, we're sort of killing Russians by supplying the Mujahideen.
[01:10:28.799 --> 01:10:36.926]  Oh, yeah, and our CIA trained bin Laden, and now they leave, and there's some people here and there.
[01:10:37.066 --> 01:10:38.627]  Now we're there for nine, ten years.
[01:10:39.528 --> 01:10:40.129]  I'm sick of it.
[01:10:40.988 --> 01:10:45.450]  I really don't know personally what to do to stop it, but at least I can complain about it.
[01:10:45.470 --> 01:10:48.552]  It's like General Patton said, if you run out of bolts in your rifle, use your pistol.
[01:10:48.572 --> 01:10:51.313]  If you run out of pistol, throw your helmet at it.
[01:10:51.393 --> 01:10:52.114]  Throw your gun at it.
[01:10:52.134 --> 01:10:52.674]  And if you can't...
[01:10:54.735 --> 01:10:56.196]  Urinate at it as it goes by.
[01:10:56.256 --> 01:10:56.896]  Do something.
[01:10:56.956 --> 01:10:57.977]  Throw something at it.
[01:10:58.057 --> 01:11:01.379]  So all I can do right now, I can't start a political action committee.
[01:11:01.419 --> 01:11:04.240]  I don't have the kind of money to throw around to start some sort of a movement.
[01:11:04.700 --> 01:11:09.042]  But at least I can come on the public airwaves and complain about it and try and raise some awakening.
[01:11:09.123 --> 01:11:18.147]  I asked a young woman the other day, about 30 years old, I said, but does your generation want freedom?
[01:11:18.787 --> 01:11:19.448]  Oh, good question.
[01:11:19.668 --> 01:11:20.608]  What did she say?
[01:11:21.489 --> 01:11:23.690]  She said, well, yes, but
[01:11:25.339 --> 01:11:26.439]  I don't want to start a war.
[01:11:26.459 --> 01:11:30.360]  So what, they want freedom handed to them?
[01:11:30.660 --> 01:11:31.060]  What is that?
[01:11:31.580 --> 01:11:35.381]  I don't know what it means, but my response to her was, I do.
[01:11:36.962 --> 01:11:41.243]  Because what has happened is, let me wax theological just for a moment.
[01:11:41.443 --> 01:11:48.844]  My favorite Southern Baptist preacher, I'm not really Southern or Baptist, but anyway, I like him.
[01:11:48.864 --> 01:11:51.785]  I had a sermon, I just happened to catch it at a friend's house walking through and it's on.
[01:11:52.964 --> 01:11:55.606]  And he was saying, you pray and you pray and you pray and you pray.
[01:11:55.626 --> 01:11:57.588]  And you're in dire straits.
[01:11:57.648 --> 01:11:58.068]  It's terrible.
[01:11:58.969 --> 01:12:00.710]  And then you pray, oh God, please help me.
[01:12:01.791 --> 01:12:02.632]  Your prayer is answered.
[01:12:04.133 --> 01:12:05.054]  Your problem is gone.
[01:12:06.054 --> 01:12:07.536]  And you don't really need God anymore.
[01:12:09.577 --> 01:12:10.598]  Because the problem is gone.
[01:12:11.419 --> 01:12:11.959]  Thank you, God.
[01:12:12.099 --> 01:12:13.380]  And then just forget about him.
[01:12:13.700 --> 01:12:14.961]  That's the end of your piety.
[01:12:15.001 --> 01:12:16.242]  That's the end of your devotion.
[01:12:16.262 --> 01:12:17.604]  You just go back to business as usual.
[01:12:18.044 --> 01:12:19.265]  That's what we've done in this country.
[01:12:20.630 --> 01:12:30.155]  We had a long propaganda campaign of, you know, the red, white, and blue, and mom, and apple pie, and the girl next door, and we're going to defend our homes, and defend our way of life, and all of that.
[01:12:30.556 --> 01:12:34.758]  There were lots of little cartoons, even, about the evils of socialism creeping in.
[01:12:34.778 --> 01:12:44.003]  Guy looks like Snyder Whiplash, you know, and he shows up and he's trying to get the American people, one person here, one person there, to kind of go along with his way of thinking.
[01:12:44.023 --> 01:12:47.925]  And in the end, they sent him packing, because socialism was not for
[01:12:48.769 --> 01:12:50.030]  The American way of life.
[01:12:50.131 --> 01:12:51.212]  It was just not going to work.
[01:12:51.272 --> 01:12:57.258]  Well, now people have been comfortable for so long that they're like, well, you know, maybe we should try it.
[01:12:57.678 --> 01:12:59.740]  Yeah, we we came here to get away from Europe.
[01:12:59.780 --> 01:13:05.005]  And now the first person said was was Bill Clinton with the well in Germany, they do such and such.
[01:13:05.065 --> 01:13:06.347]  It's like in Germany.
