[00:00:22.415 --> 00:00:25.816]  Greetings, it's InfoWars Nightly News, it's your Friday edition.
[00:50:23.573 --> 00:50:42.105]  It's not even an issue of whether we're going to succeed or fail, but it's an issue of what does a good person do when they're confronted with the government demanding that they drink poison, that the government demanding that their kids be groped and spied on when they're in the bathroom.
[00:50:43.606 --> 00:50:47.309]  That the government demands that we acquiesce to their tyranny.
[00:50:49.070 --> 00:51:01.619]  Well, you're right, Fritz, and we've been talking here about 15 minutes, and I've got a lot of questions and comments about the Illuminati and things that are happening in the news, but what's on your mind today?
[00:51:01.659 --> 00:51:02.720]  What's on your heart today?
[00:51:02.780 --> 00:51:05.762]  I mean, you've got the floor for the next 15 minutes, Fritz.
[00:51:05.782 --> 00:51:10.546]  I'm going to let you roll on key issues of understanding that you think people should know.
[00:51:17.445 --> 00:51:30.771]  I think, along the lines that we've been talking about, I'll just reiterate that where we're going, people don't even see as a problem.
[00:51:30.811 --> 00:51:35.834]  They're just naturally going along with the flow of things, and that is
[00:51:36.494 --> 00:51:51.216]  To tie everything, every activity of our life is going to be tied in to the beast's computer through their internet system where you don't do anything in life without it being connected to the internet.
[00:51:51.816 --> 00:51:54.357]  And we're all going along with that.
[00:51:54.838 --> 00:52:07.363]  Even this program is, you know, they have made things so easy for us by use of the internet, but we have to understand that there's a catch to all of this.
[00:52:08.023 --> 00:52:17.828]  We have to have our guard up because they're not giving us this technology and allowing us to use this without taking something away from us.
[00:52:18.848 --> 00:52:30.016]  They're giving with one hand and taking away with the other and and so we have to have our eyes wide open that there is an agenda of control just like you've been describing.
[00:52:31.978 --> 00:52:39.783]  When it comes to the book I was going to one of the things that came to my mind was is address
[00:52:42.293 --> 00:52:50.502]  One of the criticisms over the years, people have said, oh, Springmeier got the names wrong on the families.
[00:52:51.984 --> 00:52:53.105]  Well, that's interesting.
[00:52:54.150 --> 00:53:00.153]  How did I come about knowing what were the primary Illuminati families?
[00:53:00.233 --> 00:53:08.436]  Well, I started working in 1991 with some people that had been teamed together in the Illuminati that were trying to come out.
[00:53:09.076 --> 00:53:16.259]  And I gave them a list, a printout, of powerful families and said, would you circle the top 13?
[00:53:17.360 --> 00:53:21.522]  And they circled one, I mean, this wasn't even on the list to circle,
[00:53:22.182 --> 00:53:24.164]  For instance, the Van Dyne family.
[00:53:24.664 --> 00:53:27.566]  Well, the Van Dyne name didn't mean anything to me.
[00:53:28.287 --> 00:53:34.671]  I had heard of Van Dyne candy, but beyond that, it didn't mean anything to me.
[00:53:35.492 --> 00:53:45.720]  But when they tipped me off about this, then I discovered that yes, if you go back in Dutch history, the Dutch had something called the Ritterschap.
[00:53:46.560 --> 00:53:59.554]  Ridership was a group of nobility that met periodically and one of the few families that had been powerful down through many centuries was the Van der Dyn family.
[00:54:00.035 --> 00:54:04.419]  So the kind of information that they passed to me
[00:54:06.782 --> 00:54:10.084]  I started confirming in some incredible ways.
[00:54:11.865 --> 00:54:34.460]  Therapists, for instance, I think of one therapist in California, but there were others, called me up and said, Fritz, we are so appreciative that you exposed the Van Dyne family because I have a client that's coming to me that said that they were
[00:54:35.780 --> 00:54:45.805]  in the Van Dyne Illuminati family and I had nothing to make any sense of what they were saying until I saw your book.
[00:54:46.545 --> 00:55:02.412]  So, while there's people out there saying, wow, this is wild stuff that Springmeier is saying, I can assure you that the information that you're going to read in that book has been verified many times over in
[00:55:04.333 --> 00:55:07.134]  By just so much feedback that I've gotten.
[00:55:07.194 --> 00:55:31.541]  That book came out originally in 1995 and so I've had 15 years of feedback from people out there and you've heard Alex Jones talk about how you know he got the book and initially was like the impression was wow this is like way out there and then
[00:55:32.854 --> 00:55:43.881]  Once you're aware of the possibilities of things, you start realizing, okay, here's the proof of this, here's the proof of that, okay, I'm seeing that for myself.
[00:55:44.881 --> 00:55:48.423]  And so, there's been a lot of years for
[00:55:50.427 --> 00:56:03.520]  Me to see that the information that I was researched back in, this book was researched back in about 91 to 93, so it's almost 20 years.
[00:56:04.060 --> 00:56:07.484]  This information has stood the test of time.
[00:56:07.924 --> 00:56:11.706]  Sure, and I would say generally it's all in the right direction.
[00:56:12.126 --> 00:56:13.987]  We know and confirm most of it's true.
[00:56:14.228 --> 00:56:16.649]  Nobody's perfect, but it's a really important work.
[00:56:16.989 --> 00:56:19.070]  Now, looking at this, I just want to interrupt once.
[00:56:19.871 --> 00:56:23.393]  On page 35, the Fabian Society of Communism.
[00:56:24.073 --> 00:56:45.109]  I remember reading, oh, you know, Fritz says that their crest, their royal crest, this is like the heart of the New World Order as you know, the Rhodes Scholars, all of it, socialism for the elite to make us dependent, a form of feudalism, and then later I separately saw in a mainline publication that indeed, again, that their crest really is a wolf in sheep's clothing.
[00:56:45.549 --> 00:56:48.351]  I mean, wow, what a wicked crest.
[00:56:48.671 --> 00:56:49.472]  Tell us about that.
[00:56:51.175 --> 00:57:05.619]  Yeah, the Fabian Socialists tie in with, for instance, the Astor family was big into that, and you start seeing connections between the Fabian Socialists and a lot of things.
[00:57:06.139 --> 00:57:07.400]  People like H.G.
[00:57:07.480 --> 00:57:07.920]  Wells,
[00:57:09.601 --> 00:57:13.145]  George Orwell and so forth.
[00:57:13.345 --> 00:57:21.995]  We think of them as being against the New World Order because HG Wells wrote so much that seems to expose it.
[00:57:22.395 --> 00:57:26.760]  No, these people are actually socialists, you know, Fabian socialist types.
[00:57:28.462 --> 00:57:39.634]  We're in favor of it, and in contrast with us thinking that they're writing these things to expose it, they're writing these things how it can come about.
[00:57:40.315 --> 00:57:45.821]  They're conditioning us to accept what's coming down the line, really.
[00:57:48.864 --> 00:57:56.151]  It's a weird dynamic, the way they oftentimes tell us what they're going to do before they do it to us.
[00:57:57.092 --> 00:58:10.064]  It's their little power play, you know, the master telling the slave, OK, I'm going to kick your rear end, I'm going to whip you 50 lashes, and you're going to stand there and take it and ask for more.
[00:58:12.446 --> 00:58:18.393]  Yesterday we showed some of the Rothschilds wearing Baphomet necklaces and balls.
[00:58:18.893 --> 00:58:23.899]  Dressed in fine gowns with big chains around their neck with Baphomet, you know, horn devils.
[00:58:24.620 --> 00:58:28.084]  And, you know, they're with a bunch of people in tuxedos and they're wearing big devil necklaces.
[00:58:28.264 --> 00:58:30.527]  I mean, they really wear this on their sleeve.
[00:58:32.318 --> 00:58:59.904]  Yes, and I've been down there in Napa Valley and taken a tour of the different mansions, Mondavis, Rothschilds next door, and occasionally they'll give tours, and when you take a tour of the Rothschild place, you will see, it's not real blatant right in your face, but right here, right there, will be one of these, these occultic knick-knacks, and the whole thing is really creepy.
[00:59:02.929 --> 00:59:05.090]  That's it in a nutshell.
[00:59:05.390 --> 00:59:05.850]  Creepy.
[00:59:05.990 --> 00:59:07.390]  Now it's the Russell Trust.
[00:59:07.450 --> 00:59:09.051]  They set up Skull and Bones, didn't they?
[00:59:10.091 --> 00:59:10.451]  Yes.
[00:59:11.311 --> 00:59:21.214]  Interestingly, the logo of Skull and Bones, we generally associate that with pirates, but back in the 17th, 18th century, masons
[00:59:25.775 --> 00:59:32.121]  Mason's used that logo, and if you were buried, they put a skull and bones.
[00:59:32.221 --> 00:59:35.404]  It looked like what we think of on a pirate flag.
[00:59:35.825 --> 00:59:39.628]  They put that skull and bones on a Masonic graveyard.
[00:59:40.749 --> 00:59:45.013]  The point I'm making is the interconnections between all these things.
[00:59:45.854 --> 00:59:55.105]  When you start seeing them, it starts blowing your mind, and you start realizing it's all one big slimy gooey mess that's interconnected, you know?
[00:59:55.445 --> 01:00:02.573]  You start looking at one thing, and you start seeing some other... Exactly!
[01:00:05.281 --> 01:00:07.042]  It all ties together.
[01:00:07.282 --> 01:00:18.546]  Fritz, I was just thumbing through your book here for people watching on TV, and I remember reading this in the late nineties and thinking it is ridiculous to claim that the royal family is German in England.
[01:00:18.566 --> 01:00:33.692]  I mean, I knew that was true, but it's ridiculous, because I knew they were German, and then the main line for all the other royal families, because they killed off all the other lines on record, to say that they were connected to Dracula, and that the other royal lines, the Merovingians themselves, so they went back to Dracula.
[01:00:35.195 --> 01:00:38.777]  And then now that's all over mainstream news for about five years.
[01:00:38.957 --> 01:00:40.278]  MSNBC, you name it.
[01:00:40.719 --> 01:00:46.483]  Prince Charles now admits, yes I go back to Dracula and he's got a house there and hangs out in Transylvania.
[01:00:47.463 --> 01:00:49.905]  I mean it is just in the Carpathian Mountains.
[01:00:51.206 --> 01:00:53.687]  How did you stumble upon this in your book?
[01:00:53.707 --> 01:00:58.808]  And then I want the guys to search engine Prince Charles, royal family, Dracula, and show people.
[01:00:58.828 --> 01:01:02.469]  I mean, again, I remember reading this in like 1998 or so and going, oh, come on.
[01:01:02.809 --> 01:01:04.890]  Royal families, a bunch of Dracula.
[01:01:05.130 --> 01:01:05.690]  Give me a break.
[01:01:05.730 --> 01:01:08.891]  And sure enough, they're not even a German royal family.
[01:01:09.231 --> 01:01:12.992]  And it turns out they're not even really from that area around Romania today.
[01:01:13.392 --> 01:01:15.372]  It turns out they're even more ancient family.
[01:01:15.392 --> 01:01:17.453]  And it's just wild.
[01:01:19.912 --> 01:01:26.262]  Yeah, I was looking for their heritage is the way I came across it.
[01:01:29.215 --> 01:01:40.281]  It's because I had quite a bit of informants that were telling me how the center of power for the Illuminati is headquartered in London.
[01:01:41.222 --> 01:01:47.545]  MI6 is used by the Illuminati to daily send messages throughout their empire.
[01:01:47.945 --> 01:01:52.508]  They use the secret societies and the
[01:01:53.783 --> 01:02:00.050]  the intelligence agencies to communicate with their far-flung worldwide empire.
[01:02:00.150 --> 01:02:05.756]  A lot of things are actually communicated using human messengers, surprisingly.
[01:02:07.885 --> 01:02:25.597]  So, I was trying to understand the British royalty better, because I began to realize that they played an enormous big role in this whole thing, and it wasn't by accident that the British ended up with this huge worldwide empire.
[01:02:26.057 --> 01:02:26.958]  You know, people who
[01:02:27.848 --> 01:02:39.241]  Who don't realize that there's a hidden hand behind history would think, well, it just happened that this little island ended up owning, controlling a third of the world.
[01:02:39.681 --> 01:02:42.784]  Well, actually, it didn't just happen.
[01:02:44.887 --> 01:02:59.838]  International bankers in Venice, the Venetian bankers, intentionally gave the English some technologies, cutting-edge military technologies.
[01:03:00.299 --> 01:03:06.144]  The Lantean sail, they provided them with the money to get special longbows.
[01:03:06.644 --> 01:03:12.609]  The longbows that the English used were a superior weapon, far superior to the muskets
[01:03:13.169 --> 01:03:14.811]  That Napoleon's army...
[01:03:31.668 --> 01:03:37.389]  The Masons and others back to Egypt and now they've proven it with the Jade and the genetics in Mexico and other areas.
[01:03:37.589 --> 01:03:39.389]  There was worldwide trade before that.
[01:03:41.210 --> 01:03:45.371]  It turns out Columbus was given maps and they already knew all that.
[01:03:45.731 --> 01:03:50.271]  That they had just in the Dark Ages purposefully given everyone false information.
[01:03:50.571 --> 01:03:54.012]  And we're now ready to create the new Atlantis in North America.
[01:03:54.432 --> 01:03:55.952]  And now that's all coming out.
[01:03:56.393 --> 01:03:58.713]  And they're digging up Vikings all over North America.
[01:04:00.642 --> 01:04:01.543]  Yeah, exactly.
[01:04:03.545 --> 01:04:18.661]  The Greeks, the mathematicians, had a very simple way, using very simple high school level geometry, using high school level geometry and angles
[01:04:19.401 --> 01:04:25.986]  It's very easy to figure out what the diameter of the Earth is.
[01:04:27.428 --> 01:04:28.548]  And they had.
[01:04:28.588 --> 01:04:30.590]  They had figured it out fairly accurately.
[01:04:30.610 --> 01:04:32.832]  Yeah, they taught everybody it was flat as a joke.
[01:04:32.892 --> 01:04:37.976]  I mean, it's like telling everybody fluoride's good for you, or Cass Sunstein saying the sun's bad for you.
[01:04:38.436 --> 01:04:40.738]  I mean, you know, it's all part of their enjoyment.
[01:04:40.758 --> 01:04:44.861]  I mean, they could tell people monkeys can fly and they'd believe it.
[01:04:44.921 --> 01:04:45.462]  It was trendy.
[01:04:47.594 --> 01:04:47.834]  Yeah.
[01:04:48.434 --> 01:04:52.877]  Well, they told us that the Apollo spacecraft went to the moon.
[01:04:53.337 --> 01:05:08.125]  And then I went to Washington DC to the Air and Space Museum there, and I looked at that Apollo spacecraft that supposedly went there, and the thing's not protected from the Van Allen radiation belt.
[01:05:08.825 --> 01:05:10.286]  The guys would have been fried!
[01:05:10.326 --> 01:05:15.048]  I mean, the whole... Once I started trying to put the pieces together, they didn't come together.
[01:05:15.109 --> 01:05:15.389]  I'm like,
[01:05:16.289 --> 01:05:16.569]  Huh.
[01:05:16.950 --> 01:05:17.770]  This is bizarre.
[01:05:18.030 --> 01:05:28.238]  But the intel I've got, Fritz, is they show us a fake space program because, as we know now, they've got 30 years advanced technology at least and they don't want you seeing what they really got.
[01:05:30.032 --> 01:05:30.953]  Exactly.
[01:05:31.653 --> 01:05:32.173]  Exactly.
[01:05:32.213 --> 01:05:33.794]  You are right on track with that.
[01:05:34.235 --> 01:05:35.776]  It's all just a big show.
[01:05:37.597 --> 01:05:38.798]  It's really a magic trick.
[01:05:38.858 --> 01:05:40.078]  These guys are magicians.
[01:05:40.679 --> 01:05:42.100]  Watch my hand over here.
[01:05:44.201 --> 01:05:51.585]  What I'm really doing is with my right hand, but watch my magic trick over here and you won't see it over here.
[01:05:54.191 --> 01:06:02.818]  So we're all distracted with the bread and circus here, meanwhile they carry out the reality over here.
[01:06:02.838 --> 01:06:05.300]  Encourage everybody to love life.
[01:06:11.833 --> 01:06:31.185]  To love reality, don't let them traumatize you to the point where you give up on reality and take one of these alternatives like spending the rest of your life in front of the boob tube, or turning to drugs, or all the other crazy alternatives to check out from reality.
[01:06:31.526 --> 01:06:32.566]  Love life, people!
[01:06:32.967 --> 01:06:36.329]  And that right there would make a big difference if people would
[01:06:37.029 --> 01:06:42.752]  Not allow the traumas that they inflict upon us to beat us down.
[01:06:43.512 --> 01:06:46.833]  Well, I'm glad you said that because it's not even about material wealth.
[01:06:46.853 --> 01:06:49.675]  They want to make us poor so that we're dependent on them.
[01:06:49.995 --> 01:06:57.678]  They don't want us to have that basic sustenance so that we are strong because then we can worry about higher things and then try to help others.
[01:06:57.718 --> 01:06:59.259]  They want us so desperate on the treadmill.
[01:07:00.279 --> 01:07:07.247]  But I'm glad you, you know, at the end of this interview bring up this point because so many people hear my show and they say, this is all scary.
[01:07:07.267 --> 01:07:08.268]  Are you trying to scare us?
[01:07:08.308 --> 01:07:08.989]  It's the opposite.
[01:07:09.389 --> 01:07:11.452]  I believe in people's passion, their courage.
[01:07:12.573 --> 01:07:15.736]  And that is, as Patrick Henry says, if you know the whole truth, you want to make.
[01:07:16.687 --> 01:07:17.608]  Preparation for it.
[01:07:17.968 --> 01:07:22.711]  Whether I was here telling you this or not, whether Fritz was here telling you this or not, reality's still there.
[01:07:23.712 --> 01:07:26.193]  And so, yeah, we all grow, we all learn.
[01:07:26.233 --> 01:07:31.557]  I mean, I read this book 14 years ago and thought, this is crazy, Prince Charles is not a secret bloodline to Dracula.
[01:07:32.077 --> 01:07:40.603]  And then I went to later, you know, a decade later, Ancestry.com comes out and turns out they're all a bunch of Transylvanians that then connect in to Egypt before that.
[01:07:40.983 --> 01:07:41.924]  I mean, it's incredible.
[01:07:42.344 --> 01:07:44.666]  And then now I learned the Queen even says that.
[01:07:45.106 --> 01:07:47.147]  So it is beyond bizarro.
[01:07:48.028 --> 01:07:49.289]  It is beyond crazy.
[01:07:49.369 --> 01:07:50.870]  Reality is so much stranger.
[01:07:50.930 --> 01:07:53.072]  And I know that when we're covering these scary things,
[01:07:54.173 --> 01:07:55.254]  There's robbers out there.
[01:07:55.274 --> 01:07:55.914]  There's killers.
[01:07:55.955 --> 01:07:56.795]  There's home invaders.
[01:07:57.156 --> 01:07:58.898]  So you lock your door at night and you got a gun.
[01:07:58.918 --> 01:07:59.919]  Not because you're in fear.
[01:08:00.179 --> 01:08:00.900]  You're in power.
[01:08:01.421 --> 01:08:04.244]  You're standing up and saying, I'm not going to be a victim.
[01:08:04.304 --> 01:08:06.346]  And so we're here risking our lives.
[01:08:06.887 --> 01:08:08.529]  I've been threatened with prison, attacked.
[01:08:08.589 --> 01:08:09.630]  They tried to set me up.
[01:08:09.890 --> 01:08:10.611]  They got you.
[01:08:10.631 --> 01:08:11.832]  I read the case.
[01:08:11.892 --> 01:08:13.935]  Just cartoon level.
[01:08:14.295 --> 01:08:15.275]  You know, how ridiculous.
[01:08:15.355 --> 01:08:20.056]  Known informants, felons, lying on a guy years after the fact, sending you to jail.
[01:08:20.396 --> 01:08:27.937]  No witnesses, except for these people, of robbing a bank when you had, you know, 17, 18, 19 books, speaking to thousands.
[01:08:28.438 --> 01:08:29.958]  I mean, you know, hotter than a firecracker.
[01:08:29.978 --> 01:08:32.738]  And you're supposedly, while this is going on, robbing banks.
[01:08:33.078 --> 01:08:42.360]  I know they'd raided your house, tried to say you were growing marijuana, but couldn't find proof, and said you had extremist books in your house, because they were pulling some... Of course, you're reading things.
[01:08:42.760 --> 01:08:53.647]  I mean, it's amazing, Fritz, but here you are back, and it's just a testament that we're risking our lives to bring people this, and I wish it wasn't true, but we can't be like children and live in make-believe.
[01:08:53.948 --> 01:08:55.569]  Reality's what we must face.
[01:08:56.069 --> 01:08:58.731]  And, Fritz, we're going to end the interview here in a moment.
[01:08:58.771 --> 01:09:09.878]  I hope folks get the book at Infowars.com, and of course, my two films that are on one DVD, Dark Secrets Inside Bohemian Grove and Order of Death, that combo this, are also available at Infowars.com.
[01:09:14.982 --> 01:09:20.345]  Wow, love life, keep your hope, don't get beat down in life.
[01:09:21.446 --> 01:09:33.433]  We all have to go through problems, but use your problems for the best and keep on truckin' and find the positives.
[01:09:33.513 --> 01:09:35.054]  We gotta take the good with the bad.
[01:09:37.495 --> 01:09:44.943]  And that's, I guess, my final bottom line is I want to give everybody hope and encouragement.
[01:09:46.505 --> 01:09:53.732]  I'm not without having to go through my own problems, as you heard right at the beginning of this interview.
[01:09:53.752 --> 01:09:59.658]  I had to deal with them taking everything I had in the bank and just taking it.
[01:10:00.279 --> 01:10:01.480]  Without any explanation.
[01:10:01.500 --> 01:10:02.661]  They wouldn't even tell me why.
[01:10:03.501 --> 01:10:06.583]  But it's turned out that they returned it.
[01:10:08.265 --> 01:10:13.228]  But these are the things that we have to deal with and not let them intimidate us.
[01:10:14.429 --> 01:10:14.849]  Thank you.
[01:10:15.310 --> 01:10:19.012]  Well, well said, Fritz, and stay safe, and we'll pray for you, pray for us.
[01:10:19.032 --> 01:10:19.873]  We'll talk to you soon.
[01:10:21.223 --> 01:10:21.583]  Thank you.
[01:10:41.398 --> 01:10:41.839]  I think?
[01:10:56.015 --> 01:10:56.275]  Thank you.
[01:11:15.464 --> 01:11:16.365]  Great job to the crew.
[01:11:16.405 --> 01:11:19.186]  Don't forget we're running a 15-day free trial deal.
[01:11:19.226 --> 01:11:30.253]  If you're watching this out there later, free on the web, want to become a subscriber, see it first, along with the films and so much more, nine years of material at PrisonPlanet.tv and support alternative growing media, then please do so.
[01:11:30.394 --> 01:11:40.300]  And we're running for one more week that early bird special that is 44% off a year membership, also at PrisonPlanet.tv or InfoWarsNews.com.
[01:11:40.620 --> 01:11:42.401]  Great job to the crew, dedicated folks.
[01:11:42.681 --> 01:11:45.583]  Couldn't do it without them and you, the viewers and supporters.
[01:11:46.024 --> 01:11:47.645]  Please spread the word about everything we do.
[01:11:47.965 --> 01:11:54.630]  Check out our Twitter at twitter.com forward slash RealAlexJones and also the Facebook as well and the YouTube channel.
[01:11:54.970 --> 01:11:58.012]  Just one of our YouTube channels is right at 180 million views.
[01:11:58.512 --> 01:11:59.393]  Alright, God bless you all.
