[00:00:00.229 --> 00:00:01.151]  Welcome to GCN.
[01:33:53.610 --> 01:33:55.031]  So that's coming up.
[01:33:55.712 --> 01:34:02.797]  I'm also going to get into some of the economic news and police state news.
[01:34:03.337 --> 01:34:04.338]  Everyone in the U.S.
[01:34:04.438 --> 01:34:08.020]  under total surveillance, NSA whistleblower says, that's already come out.
[01:34:08.841 --> 01:34:13.785]  Hacker locates John McAfee through smartphone tracks.
[01:34:14.765 --> 01:34:15.185]  I don't know.
[01:34:33.775 --> 01:34:38.217]  I think he's getting into this James Bond stuff a little bit too much and is a pretty eccentric person.
[01:34:38.957 --> 01:34:40.958]  That's my breakdown on that fellow.
[01:34:41.678 --> 01:34:44.239]  And of course, a lot of analysts say they don't believe he killed him either.
[01:34:44.279 --> 01:34:48.361]  A lot of police analysts are saying that and the Belizean government is famously corrupt.
[01:34:48.741 --> 01:34:53.243]  Also, doctor says genetically modified wheat, a perfect chronic poison.
[01:34:53.263 --> 01:35:03.007]  I want to get into 20 shocking examples of how sadistic and cruel people have become and tie it into this dehumanization that's going on.
[01:35:04.341 --> 01:35:06.923]  But before I do that, let me just give out the number here.
[01:35:07.523 --> 01:35:12.146]  On any of the issues I've covered, or whatever you'd like to talk about, what do you think about Bob Costas?
[01:35:13.727 --> 01:35:19.411]  The toll-free number to join us is 800-259-9231.
[01:35:19.431 --> 01:35:20.352]  800-259-9231.
[01:35:20.372 --> 01:35:25.455]  The reason I want to hear from you on this again is we had a lot of people calling the office and stuff wanting to get on air.
[01:35:25.475 --> 01:35:29.498]  You can tell people are really hyped when that's happening, going, I want to make a point, I want to make a point.
[01:35:30.442 --> 01:35:32.605]  And obviously we've heard a lot of logic out there.
[01:35:32.645 --> 01:35:41.136]  What would have happened if Nicole Simpson and Ron Goldman would have had a gun when whoever came out of the dark with that knife was there?
[01:35:42.258 --> 01:35:46.543]  What would have, you know, happened in Nazi Germany if people hadn't been disarmed?
[01:35:46.563 --> 01:35:48.506]  I mean, the examples go on and on.
[01:35:49.173 --> 01:35:49.333]  I don't
[01:36:08.683 --> 01:36:12.926]  And by the way, it's a lie that people grew up earlier because they didn't live as long.
[01:36:14.327 --> 01:36:31.897]  There was double to triple, depending on which era and which time, of infant mortality and child mortality worldwide, from the equatorial areas to northern Europe, it's pretty much the same throughout history, that around 30 to 40 percent on the low end of children die before the age of 10.
[01:36:33.118 --> 01:36:34.279]  And most of it when they're babies.
[01:36:35.340 --> 01:36:36.942]  A lot of women died in childbirth.
[01:36:37.462 --> 01:36:38.363]  I've got ancestors.
[01:36:38.383 --> 01:36:43.107]  We've done the genealogies because it's very interesting that family that's done them all in detail on both sides.
[01:36:45.009 --> 01:36:46.850]  My family genealogy is actually a lot of books.
[01:36:46.950 --> 01:36:49.232]  So my mother's got a lot of those and I've read some of them.
[01:36:50.454 --> 01:36:54.757]  And I mean, I had like great, great, great grandpas who had like four lives.
[01:36:55.578 --> 01:36:57.059]  And 40-something kids.
[01:36:57.139 --> 01:36:58.361]  I mean, they would just wear them out.
[01:36:58.821 --> 01:37:00.683]  And it wasn't that the women were being abused.
[01:37:00.703 --> 01:37:01.743]  It was just what humans did.
[01:37:01.763 --> 01:37:03.945]  You know, had one wife, had seven kids.
[01:37:04.005 --> 01:37:05.246]  Had another, had 12 kids.
[01:37:05.527 --> 01:37:06.868]  Had another, had nine kids.
[01:37:06.888 --> 01:37:07.248]  I don't know.
[01:37:07.268 --> 01:37:08.930]  I mean, you know, just armies of children.
[01:37:08.950 --> 01:37:12.012]  You know, living to 90-something years old.
[01:37:13.200 --> 01:37:22.366]  So if you take out women dying in childbirth and children dying, people lived over 80 on average, and they've got major historical breakdowns of this, okay?
[01:37:23.407 --> 01:37:26.589]  Our life expectancy is lowering, and they now officially admit that, okay?
[01:37:26.809 --> 01:37:27.489]  Let's get that straight.
[01:37:28.390 --> 01:37:35.094]  People live on average less, even with the worst infant mortality, from the 17th and 18th century, okay?
[01:37:35.354 --> 01:37:37.136]  If you made it past 10, folks, you were tough as nails.
[01:37:38.211 --> 01:37:41.433]  All right, and that's how it is.
[01:37:41.953 --> 01:37:50.959]  Okay, so there's all these lies about this stuff, and I don't know how I got off into all that, but just how my brain works.
[01:37:51.319 --> 01:37:56.603]  What was I talking about to get off into mortality and life expectancy and lifespan and all the rest of it?
[01:37:58.001 --> 01:37:58.962]  The age of gun owners.
[01:37:59.002 --> 01:37:59.322]  Well, yeah.
[01:37:59.602 --> 01:37:59.802]  No, no.
[01:38:00.123 --> 01:38:06.707]  People were being sent when they were 10 if they showed the aptitude and were serious.
[01:38:07.168 --> 01:38:09.369]  More than intelligence, it was steadfastness and seriousness.
[01:38:09.529 --> 01:38:11.451]  People were being sent when they were 10 as couriers.
[01:38:11.691 --> 01:38:12.872]  They were being used in war.
[01:38:13.172 --> 01:38:19.176]  They were being used as trusted 10-year-old assassins, culture-wide, all cultures.
[01:38:19.937 --> 01:38:21.999]  Kids are some of the best fighters there are out there.
[01:38:23.179 --> 01:38:28.502]  And the whole issue is you're supposed to grow up and just get more and more manly.
[01:38:29.003 --> 01:38:30.223]  More and more knowledge.
[01:38:30.343 --> 01:38:31.384]  More and more strong.
[01:38:32.104 --> 01:38:32.485]  Okay?
[01:38:34.826 --> 01:38:42.870]  And instead, you know, you're supposed to be a kid until you're 20 and, well, I'm gonna have fun in college now and getting all this debt and then, oh, I'm just working to make money now.
[01:38:42.910 --> 01:38:43.791]  I'm working for retirement.
[01:38:43.811 --> 01:38:44.691]  Well, now I'm retired.
[01:38:44.711 --> 01:38:45.432]  I don't want to be involved.
[01:38:45.672 --> 01:38:49.174]  It's all a lie stealing your humanity from you.
[01:38:50.817 --> 01:38:58.885]  And I'm just thankful that my parents basically said there's two ways to raise somebody.
[01:38:59.466 --> 01:39:01.708]  You can either totally shelter them or throw them to the wind.
[01:39:02.088 --> 01:39:03.049]  And I was thrown to the wind.
[01:39:03.930 --> 01:39:04.751]  And that was a good thing.
[01:39:06.237 --> 01:39:12.522]  It was good for me, because nature puts out a lot of stuff to quote KRS-One, looking for the one.
[01:39:12.542 --> 01:39:20.267]  And I'm not saying I'm the one, but obviously all of us out there have been successful, generally it's because you've actually seen some things.
[01:39:21.228 --> 01:39:25.351]  And I look back on growing up, the things I saw, the things I've, it's been a giant adventure.
[01:39:25.811 --> 01:39:29.114]  This stuff I've done and seen, I'll never say on air because no one would believe it.
[01:39:29.844 --> 01:39:35.991]  You know, and people see what I've done the last 17 years on air, and our exploits, and our adventures, and they don't think that's real.
[01:39:36.292 --> 01:39:42.920]  Because they're living these catatonic lives in their basement, never getting out, scared of everything.
[01:39:44.041 --> 01:39:47.725]  And I've lived a primitive life, not compared to...
[01:39:48.729 --> 01:39:52.290]  Navy SEALs that do 300 missions a year or people like that.
[01:39:52.350 --> 01:40:00.871]  See, that's why even though we're a corrupt empire and what those guys are doing on average is evil and bad, you still have to respect it because it's real.
[01:40:01.852 --> 01:40:08.013]  You see, they're actually out there seeing real things, doing real things, and that's what makes you a human.
[01:40:09.773 --> 01:40:13.474]  Is the adversity, is getting past your fear, is taking action.
[01:40:15.208 --> 01:40:27.713]  I mean, 99.9% of people aren't going to march into a federal building, you know, a closed secretive shop, and get into the building through the fence, and then get in, and then confront them.
[01:40:28.493 --> 01:40:29.633]  And those feds were like, what?
[01:40:30.014 --> 01:40:33.095]  Is this a one-eyed, one-horned, flying purple people leader?
[01:40:33.655 --> 01:40:35.376]  Same thing when we stormed the Capitol twice.
[01:40:35.436 --> 01:40:36.336]  That's not a big deal.
[01:40:36.636 --> 01:40:37.656]  That's what you're supposed to do.
[01:40:38.477 --> 01:40:39.177]  Or you're a slave.
[01:40:41.042 --> 01:40:42.863]  So, I'm not exceptional.
[01:40:43.003 --> 01:40:46.003]  The general public is incredibly unexceptional.
[01:40:47.304 --> 01:40:47.604]  Okay?
[01:40:48.064 --> 01:40:50.804]  I mean, I go back and research my ancestors, just all of them.
[01:40:50.864 --> 01:40:52.925]  It just goes on and on and on.
[01:40:53.305 --> 01:41:04.488]  The adventures, and the shootouts, and the wars, and the fighting bandits to deliver cotton to Houston, and just unending stuff.
[01:41:04.608 --> 01:41:07.869]  And, you know, somebody's rude to you at church?
[01:41:07.909 --> 01:41:09.509]  Well, let's go outside and get your gun, buddy.
[01:41:10.910 --> 01:41:13.392]  And there wasn't actually a lot of that going on because people were polite.
[01:41:13.572 --> 01:41:16.074]  Because if you cross somebody, they'd be real nice to you.
[01:41:16.094 --> 01:41:17.915]  But you crossed them, okay, let's go outside.
[01:41:19.356 --> 01:41:22.778]  You want to handle this with fists or swords or guns?
[01:41:25.199 --> 01:41:26.580]  Hollywood popularized guns.
[01:41:26.620 --> 01:41:27.781]  Most of the time people just went outside.
[01:41:27.801 --> 01:41:28.481]  Let's go outside.
[01:41:30.102 --> 01:41:31.503]  Only a coward would use a gun.
[01:41:32.104 --> 01:41:34.545]  That was in the cases where it was bad guys, bandits.
[01:41:34.585 --> 01:41:38.368]  They wanted to use a gun because they didn't want to get in a fight with some Frontiers person.
[01:41:40.112 --> 01:41:42.994]  Don't you understand where you come from, no matter what color you are?
[01:41:43.494 --> 01:41:45.516]  Every culture's gone through incredible adventures.
[01:41:45.676 --> 01:41:47.117]  Every culture's gone through adversity.
[01:41:47.337 --> 01:41:52.100]  And we have become these decadent blobs in this artificial civilization.
[01:41:52.840 --> 01:41:54.681]  I'm not defending this civilization.
[01:41:54.901 --> 01:41:56.342]  The globalists say they want to replace it.
[01:41:56.522 --> 01:41:58.284]  They want to replace it with something worse.
[01:41:59.324 --> 01:42:03.067]  They want to make it more decadent, more controlled, more stratified.
[01:42:05.028 --> 01:42:06.669]  I'm ranting and I said I'd go to your calls.
[01:42:06.709 --> 01:42:08.190]  The issue is that
[01:42:10.453 --> 01:42:12.695]  Now, you can't have a gun when you're 20 to 30?
[01:42:13.155 --> 01:42:14.036]  Quote from Costas.
[01:42:15.718 --> 01:42:20.862]  Guys in their 20s and 30s, aggressive young men, subject to impulse, without something bad happening.
[01:42:22.483 --> 01:42:26.927]  Well, they haven't had the life experiences up to that point.
[01:42:26.967 --> 01:42:30.550]  Now they've got 20 million dollars, and now there's people getting in their face.
[01:42:30.610 --> 01:42:36.355]  In fact, I'm reading what football players are saying, how they get robbed, how people try to carjack them, because they're big targets.
[01:42:39.574 --> 01:42:42.295]  Like Luke Scott believes guns are necessary for the safety of athletes.
[01:42:42.335 --> 01:42:42.995]  Well, no kidding.
[01:42:43.876 --> 01:42:48.917]  I mean, most people that are wealthy or are celebrities are scared to go out and take bodyguards with them.
[01:42:49.218 --> 01:43:02.382]  I mean, I bet every Hollywood person I've known has to take two or three bodyguards out, you know, who stand there in the bushes while you sit there and eat hot dogs or whatever, because people will run up and throw themselves on you.
[01:43:02.402 --> 01:43:06.264]  Schizophrenic women will run up, jump on you, and then say you raped them.
[01:43:08.484 --> 01:43:13.128]  And so of course the athletes have guns, and then some of them are decadent, they're on drugs, there's gonna be problems.
[01:43:13.348 --> 01:43:14.709]  Don't take my guns because of that.
[01:43:14.789 --> 01:43:15.710]  I know I'm ranting here.
[01:43:17.591 --> 01:43:19.112]  And so that's why I went off into all that.
[01:43:19.453 --> 01:43:22.135]  People need to grow up younger.
[01:43:23.356 --> 01:43:34.985]  People need to be in sports, but I mean full contact, mixed martial arts, boxing, all of it.
[01:43:35.045 --> 01:43:37.327]  People need to get in the ring and fight.
[01:43:38.430 --> 01:43:41.872]  My children have been in some of it, but I'm going to put them into everything.
[01:43:42.333 --> 01:43:44.954]  Because I know all the stuff and I don't even put it into function.
[01:43:45.475 --> 01:43:47.336]  People need to be in fights.
[01:43:47.416 --> 01:43:49.938]  They need to, to, to, to.
[01:43:50.658 --> 01:43:55.662]  But instead now, people don't fight and all of a sudden somebody just pulls a gun out and shoots somebody because they're such cowards.
[01:43:56.702 --> 01:43:57.803]  They want to act like a gangster.
[01:43:57.823 --> 01:43:58.824]  They start a fight with somebody.
[01:43:58.844 --> 01:44:00.825]  Oops, this person is going to beat me down.
[01:44:00.845 --> 01:44:01.646]  Let me just pull a gun out.
[01:44:03.976 --> 01:44:05.117]  Anyways, I'm ranting about this.
[01:44:05.137 --> 01:44:06.657]  They need to be in controlled combat.
[01:44:07.077 --> 01:44:10.079]  They need to be in that so they have respect for it.
[01:44:11.339 --> 01:44:14.340]  But instead, no wonder the left wants people's guns.
[01:44:14.581 --> 01:44:29.487]  They want to enslave us in controls at the top, but the average left jellyfish literally walks around like a self-propelled stomach, talks in a cowardly voice on purpose, is absolutely scared of everything, and kind of just sneaks around everywhere.
[01:44:32.402 --> 01:44:34.804]  And we need to not let these people run our culture.
[01:44:34.864 --> 01:44:36.865]  We need to rediscover testosterone.
[01:44:36.885 --> 01:44:38.306]  We need to rediscover strength.
[01:44:38.326 --> 01:44:40.127]  We need to rediscover the frontier spirit.
[01:44:40.347 --> 01:44:43.248]  We need to rediscover respect as well.
[01:44:44.269 --> 01:44:46.991]  And that's my 500 cents on it, because I've made a lot of points here.
[01:44:47.671 --> 01:44:50.873]  Let's go to Wes in Ohio on the NFL issue.
[01:44:51.433 --> 01:44:52.594]  Thank you for calling today, Wes.
[01:44:52.634 --> 01:44:53.234]  What's on your mind?
[01:44:53.254 --> 01:44:54.075]  On the NFL?
[01:44:54.115 --> 01:44:54.335]  Yes, sir.
[01:44:54.815 --> 01:44:55.696]  How are you doing today?
[01:44:55.736 --> 01:44:55.936]  Good.
[01:44:56.690 --> 01:44:56.930]  Good.
[01:44:57.471 --> 01:45:08.739]  I heard you earlier say something about Bob Costas come out with this garbage about he can't find one example of an NFL player that had a firearm could defend himself.
[01:45:08.799 --> 01:45:12.762]  Does anybody remember Sean Taylor 2007 when a shooter broke into his home and shot and killed him?
[01:45:12.782 --> 01:45:15.144]  If he had a firearm he could have defended himself.
[01:45:15.344 --> 01:45:16.065]  Very simple math.
[01:45:18.049 --> 01:45:20.511]  Well that's right, but Benny, we found a bunch of cases.
[01:45:21.132 --> 01:45:26.056]  Here we're going to have Paul Watson, or one of our other great writers, do a report on it.
[01:45:26.517 --> 01:45:27.918]  But, I mean, it's not just NFL.
[01:45:27.958 --> 01:45:29.719]  We're finding all sorts of athletes.
[01:45:29.760 --> 01:45:34.043]  Folks, send us golf, baseball, shocker, basketball.
[01:45:36.348 --> 01:45:44.415]  I mean, I've seen so many cases of professional athletes running intruders off or hands up, you know, catching people robbing their houses.
[01:45:44.455 --> 01:45:51.081]  I mean, you're crazy if you live in some five, $10 million house in a wealthy neighborhood and you're a celebrity and you don't have a gun.
[01:45:51.101 --> 01:45:52.683]  I mean, I don't have bodyguards.
[01:45:52.763 --> 01:45:53.383]  I got guns.
[01:45:53.824 --> 01:45:54.804]  I got a gun in my car.
[01:45:54.845 --> 01:45:56.266]  I got a gun right here in my desk.
[01:45:56.686 --> 01:45:57.447]  I got guns.
[01:45:57.607 --> 01:45:59.369]  And I mean, it's like a tool like this pen.
[01:46:00.117 --> 01:46:03.220]  You know, anybody who tries to come after me, I mean, you know, I don't live in fear.
[01:46:03.240 --> 01:46:04.781]  They can walk up behind me and kill me, you know.
[01:46:05.061 --> 01:46:06.242]  They just turn me into a martyr.
[01:46:06.762 --> 01:46:13.528]  But the point is, I don't live in fear, but at least if I see it coming, you know, you better hope I don't see you coming.
[01:46:14.128 --> 01:46:14.749]  Anything else, sir?
[01:46:17.511 --> 01:46:18.732]  You made a great point and hung up.
[01:46:18.792 --> 01:46:20.994]  Alright, Bryce in Missouri, you're on the air.
[01:46:22.779 --> 01:46:24.202]  Thanks Alex for taking my call.
[01:46:24.222 --> 01:46:32.496]  Yeah, I just want to make a comment about the gun control issue and then at the beginning of the show you talked about revelation unfolding and
[01:46:34.086 --> 01:46:38.788]  I think I need some clarification on that, but I kindly disagree with you on that.
[01:46:39.488 --> 01:46:51.813]  But on the gun control, I used to be an actual person who didn't like guns and I thought they should be outlawed and we don't have a need for them because it would, you know, that whole Kool-Aid bit.
[01:46:53.098 --> 01:47:01.944]  And the history teacher told us in high school that the reason why nobody's taking over this country, whether it be domestic or foreign, is because we have the right to bear arms.
[01:47:02.484 --> 01:47:03.645]  So I'm thinking, domestic?
[01:47:03.705 --> 01:47:04.886]  What's domestic?
[01:47:05.326 --> 01:47:08.489]  We don't have any domestic enemies unless somebody tried to invade the country.
[01:47:09.409 --> 01:47:21.315]  He explained that, you know, in case of government has too much power and wants to enslave humanity, etc., you're not able to do that with 145 million people with guns.
[01:47:21.395 --> 01:47:23.756]  So, I thought that was very interesting.
[01:47:23.776 --> 01:47:25.777]  And that was, you know, 20 years ago.
[01:47:25.877 --> 01:47:30.299]  Now, you know, you talk about gun, it's such a loaded word, no pun intended, that
[01:47:31.189 --> 01:47:42.274]  You know, it's like, you know, you don't want to even talk about gun because if you talk about gun, oh, that means, you know, all these things come up, all this propaganda and Kool-Aid that's thrown in your face on a daily basis today comes up.
[01:47:42.354 --> 01:47:48.537]  So, you know, I hope people can teach the truth in the public schools out there for any public teachers and stuff.
[01:47:48.597 --> 01:47:49.598]  But, Alex?
[01:47:50.640 --> 01:47:51.640]  No, no, I agree with you.
[01:47:51.901 --> 01:47:57.463]  Listen, I'm not going to get into the religious debates because it's all been scrambled up one side and down the other to deceive the people.
[01:47:58.524 --> 01:48:02.806]  But my Bible says that the rapture happens after the devil is defeated.
[01:48:02.866 --> 01:48:04.987]  It's clearly a five-year-old can read it and see that.
[01:48:05.407 --> 01:48:07.288]  And then that's all how that's interpreted.
[01:48:07.548 --> 01:48:15.672]  But the Bible has become a giant, and it's distortion, a giant cop-out with Romans 13 and Revelation to say, praise the Lord, they're trying to put chips in people.
[01:48:15.952 --> 01:48:17.813]  That means Jesus is coming back next week.
[01:48:17.853 --> 01:48:18.814]  We'll be out of here.
[01:48:19.574 --> 01:48:24.518]  And all these cultures, when they're being massacred, you know, the Tootsies by the Hooters, they were Christians.
[01:48:24.538 --> 01:48:25.860]  They thought they were about to be raptured.
[01:48:25.900 --> 01:48:29.002]  Or Christians in Germany thought they were going to be raptured.
[01:48:29.503 --> 01:48:32.445]  And it's just Chinese under Mao thought they were going to be raptured.
[01:48:32.545 --> 01:48:34.327]  And it is a demonic cop-out.
[01:48:35.188 --> 01:48:40.993]  And God's not going to... Christians out there, do you think you're just going to lay around all day and let evil take over?
[01:48:41.813 --> 01:48:44.375]  And just go to your church and feel good about yourself.
[01:48:44.515 --> 01:48:45.656]  God's going to say, I don't know you.
[01:48:46.057 --> 01:48:46.357]  Go.
[01:48:47.157 --> 01:48:47.758]  Get out of here.
[01:48:47.818 --> 01:48:48.518]  Go away from me.
[01:48:48.539 --> 01:48:49.659]  I don't know you.
[01:48:50.140 --> 01:48:52.782]  Because what you do to the least of these, you do to me.
[01:48:53.222 --> 01:48:55.284]  But I don't want to get into a debate, okay?
[01:48:55.584 --> 01:48:58.686]  I just know, as a creator of the universe, I have a spiritual connection.
[01:48:58.867 --> 01:48:59.847]  I know what I need to do.
[01:49:00.328 --> 01:49:04.431]  And there's a bunch of Pharisees talking about, don't listen to music, or don't do this or that.
[01:49:04.531 --> 01:49:06.392]  But they're not out protesting abortion clinics.
[01:49:06.412 --> 01:49:08.853]  They're not out speaking about cancer viruses and the vaccines.
[01:49:09.133 --> 01:49:13.656]  They're just a bunch of Pharisees, the same ones telling Christ, don't hang out with that prostitute.
[01:49:13.676 --> 01:49:15.036]  Don't hang out with the tax collector.
[01:49:15.296 --> 01:49:16.397]  Don't hang out with these people.
[01:49:16.677 --> 01:49:18.158]  Why do you think he was hanging out with them?
[01:49:18.398 --> 01:49:19.819]  To bring them the information.
[01:49:21.075 --> 01:49:24.577]  I mean, I've been friends with Joe Rogan since, I guess, 14 years.
[01:49:24.597 --> 01:49:24.957]  Since about 98.
[01:49:25.517 --> 01:49:26.078]  Smart guy.
[01:49:26.098 --> 01:49:26.498]  I like him.
[01:49:26.578 --> 01:49:26.858]  Funny.
[01:49:26.898 --> 01:49:29.139]  Don't agree with some of the things he says or what he stands for.
[01:49:29.600 --> 01:49:31.220]  Don't particularly like some of the worldliness.
[01:49:31.281 --> 01:49:32.001]  Not that I'm perfect.
[01:49:32.321 --> 01:49:32.741]  But, man.
[01:49:33.162 --> 01:49:34.042]  Plus, I like him.
[01:49:34.102 --> 01:49:35.683]  Plus, having him on.
[01:49:35.703 --> 01:49:37.564]  We're going to air a big thing with him tomorrow.
[01:49:38.364 --> 01:49:39.825]  A big interview I did this weekend.
[01:49:40.626 --> 01:49:42.687]  Gets his entire audience to tune in here.
[01:49:43.027 --> 01:49:43.507]  Duh!
[01:49:43.827 --> 01:49:46.469]  Now we're waking them up to the cancer viruses and the vaccines.
[01:49:48.270 --> 01:49:50.411]  Now we're... I mean, I was on Chicago TV this morning.
[01:49:51.075 --> 01:49:54.457]  Talking about the cancer viruses and the vaccines and reading over documents.
[01:49:54.497 --> 01:49:57.358]  I mean, I want to warn people about cancer viruses.
[01:49:57.778 --> 01:49:58.779]  I want to reach them.
[01:49:58.899 --> 01:50:01.480]  I want to reach the worldly people.
[01:50:02.420 --> 01:50:03.641]  I want to affect them.
[01:50:04.821 --> 01:50:09.763]  Yeah, I remember Doug Stanhope when I first met him about 11 years ago, you know, right after 9-11.
[01:50:09.803 --> 01:50:11.583]  He didn't believe it was, you know, thought it was wrong.
[01:50:11.903 --> 01:50:13.224]  Now he says it's an inside job.
[01:50:13.884 --> 01:50:15.705]  Now he says the bin Laden raid's totally fake.
[01:50:16.265 --> 01:50:23.347]  Doug Stanhope, incredibly funny, incredibly profane, very, you know, eugenics-based, doesn't understand that.
[01:50:23.947 --> 01:50:31.010]  But by being friends with him, and that's not why I do it, I learn how it turned into something good, I then can reach out to all his huge fans.
[01:50:31.590 --> 01:50:33.252]  And now I'm changing him.
[01:50:33.752 --> 01:50:34.153]  You see?
[01:50:34.453 --> 01:50:36.736]  Doesn't mean I fully changed him, but I'm changing him.
[01:50:37.056 --> 01:50:37.877]  I'm changing him.
[01:50:38.618 --> 01:50:39.379]  Do you understand that?
[01:50:40.980 --> 01:50:41.160]  Hello?
[01:50:41.621 --> 01:50:42.462]  Yes, do you understand that?
[01:50:43.280 --> 01:50:44.321]  Oh yeah, no, I agree.
[01:50:44.401 --> 01:50:47.302]  No, hey, I don't want to talk about the rapture, that's not the point.
[01:50:47.782 --> 01:50:56.207]  It's that the revelation, we're talking about the end times, there's a lot of conspiracy theorists out there that think all this stuff is pointing towards the end times and that's not the point.
[01:50:56.227 --> 01:50:56.727]  No, I understand.
[01:50:56.747 --> 01:51:02.030]  Listen, I don't believe the end of the world or revelation was 70 AD and the sacking of Jerusalem by Titus.
[01:51:02.550 --> 01:51:04.491]  Believe me, I know all this information, sir.
[01:51:06.092 --> 01:51:08.813]  Making the right decisions is a challenge to investors.
[01:51:09.053 --> 01:51:12.995]  Are we going to see economic growth slide into a recession or at worst depression?
[01:51:13.195 --> 01:51:15.276]  Hi, Ted Anderson from Midas Resources.
[01:51:15.477 --> 01:51:20.499]  We all know when a company acts irresponsibly, divesting ourselves in a move towards safety is prudent.
[01:51:20.639 --> 01:51:22.380]  When the market becomes volatile, U.S.
[01:51:22.460 --> 01:51:23.801]  Treasuries are a safe haven.
[01:51:24.001 --> 01:51:25.441]  But what do you do when the U.S.
[01:51:25.481 --> 01:51:28.523]  government overextends itself and spends beyond its means?
[01:51:28.843 --> 01:51:33.887]  Many investors are turning toward gold as a common-sense alternative to traditional paper investments.
[01:51:34.227 --> 01:51:43.355]  Midas Resources has put together a powerful book titled Ten Reasons to Own Gold, discussing costs, benefits, risks, featuring full-color illustrations, weights, and measures.
[01:51:43.555 --> 01:51:45.877]  The book is free and can be yours by calling 800-686-2237.
[01:51:45.917 --> 01:51:47.618]  Paper investments are dwarfed by gold's 6,000-year history.
[01:51:52.202 --> 01:51:58.629]  Discover how gold may be right for you and your IRA by calling 800-686-2237.
[01:51:58.769 --> 01:52:01.912]  Whether buying or it's time for you to sell, the book is free.
[01:52:02.092 --> 01:52:02.473]  Call 800-686-2237.
[01:52:02.513 --> 01:52:05.736]  Hi there.
[01:52:06.337 --> 01:52:07.398]  My name is Frank Bates.
[01:52:07.858 --> 01:52:11.042]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[01:52:11.702 --> 01:52:20.488]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[01:52:20.849 --> 01:52:26.873]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[01:52:27.573 --> 01:52:29.135]  Some have called this a conspiracy.
[01:52:29.755 --> 01:52:34.839]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[01:52:35.599 --> 01:52:42.683]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[01:52:43.543 --> 01:52:48.445]  Watch the controversial video that thousands of other smart patrons have already seen in the last three months.
[01:52:49.126 --> 01:52:55.009]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[01:52:55.629 --> 01:53:01.012]  Go watch my video now at 123coverup.com before they force me to shut it down.
[01:53:01.392 --> 01:53:02.552]  Again, that's 123coverup.com.
[01:53:05.188 --> 01:53:07.309]  So it's off to Grandma's house for the holidays, eh?
[01:53:07.729 --> 01:53:08.390]  That's great!
[01:53:09.310 --> 01:53:16.034]  But, while you're going over the river and through the woods, professional burglars are choosing easy targets to break into.
[01:53:16.414 --> 01:53:17.975]  Don't be an easy target.
[01:53:18.295 --> 01:53:19.956]  Plug in fake TV.
[01:53:20.356 --> 01:53:23.998]  Fool criminals into believing someone's home at your house watching TV.
[01:53:24.398 --> 01:53:29.501]  Fake TV works a bit like a light on a timer, but fake TV is far more convincing.
[01:53:29.781 --> 01:53:34.364]  Fake TV plugs into any outlet and simulates the light and colors of a real TV.
[01:53:34.964 --> 01:53:38.906]  Burglars will likely move on to easier targets and leave your house alone.
[01:53:39.346 --> 01:53:44.268]  Fake TV costs less than a month of most alarm monitoring plans and makes a great Christmas gift.
[01:53:44.689 --> 01:53:47.590]  Or it's perfect if you're traveling over the holidays or any time.
[01:53:47.990 --> 01:53:51.192]  Order your Fake TV by calling 877-5-FAKE-TV or go to Faketv.com.
[01:53:51.272 --> 01:53:52.732]  That's 877-532-5388 or Faketv.com.
[01:53:52.812 --> 01:53:54.553]  Fake TV, the burglar deterrent.
[01:54:07.610 --> 01:54:19.116]  We have examples of professional athletes and NFL people protecting themselves with guns everywhere.
[01:54:19.576 --> 01:54:20.817]  And Bob Costas knows that.
[01:54:21.598 --> 01:54:26.740]  He just thinks his audience is so stupid he'll go, there's not one example of them ever doing something good with a gun.
[01:54:27.081 --> 01:54:29.342]  You know, these athletes, they're young, they're out of control.
[01:54:29.642 --> 01:54:30.783]  He means they're black.
[01:54:31.550 --> 01:54:32.050]  They can't be.
[01:54:32.070 --> 01:54:34.892]  I mean, it's such condescending racism.
[01:54:35.172 --> 01:54:38.434]  Yeah, is there some gangbanger culture across the board in professional sports?
[01:54:38.454 --> 01:54:38.794]  Yeah.
[01:54:39.235 --> 01:54:41.116]  But that is a minority.
[01:54:41.336 --> 01:54:42.376]  The whole thing's decadent.
[01:54:42.556 --> 01:54:43.117]  I don't like it.
[01:54:43.597 --> 01:54:44.057]  You know that.
[01:54:44.358 --> 01:54:46.399]  It's turned into a gladiatorial Rome diversion.
[01:54:47.800 --> 01:54:51.602]  But, you know, this statement, well, these 20- and 30-year-olds, you know, they can't have guns.
[01:54:51.682 --> 01:54:54.964]  I can't see any good going on, Bob Costas.
[01:54:56.889 --> 01:54:59.770]  And that's what the left did, the handgun control group did.
[01:54:59.790 --> 01:55:02.631]  A white guy brought in two black guys in, what was it, 99.
[01:55:02.851 --> 01:55:05.793]  It was in the cover of the Statesman, Metro and State.
