[00:00:07.008 --> 00:00:07.548]  Be heard.
[00:51:45.059 --> 00:51:48.242]  This filter system leaves in beneficial minerals, which is key.
[00:51:48.462 --> 00:51:50.263]  Save money by not buying bottled water.
[00:51:50.383 --> 00:51:52.445]  And avoid BPA that leaches from the plastic.
[00:51:52.625 --> 00:51:55.228]  ProPure is the best gravity-fed filter out there.
[00:51:55.368 --> 00:51:56.710]  It's what my family uses.
[00:51:56.970 --> 00:52:00.194]  Infowars.com already has the lowest price on ProPure.
[00:52:00.294 --> 00:52:05.981]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:52:06.181 --> 00:52:07.362]  You can also call to order.
[00:52:07.382 --> 00:52:07.422]  888-253-3139.
[00:52:11.434 --> 00:52:14.655]  Have you been to InfoWarsShop.com lately?
[00:52:15.135 --> 00:52:19.677]  Express your inner patriot with these brand new InfoWars t-shirts.
[00:52:20.257 --> 00:52:23.018]  Say it loud with the InfoWars Bullhorn shirt.
[00:52:23.458 --> 00:52:26.379]  Or educate the sheeple with the Bill of Rights shirt.
[00:52:27.199 --> 00:52:30.581]  Grope the public's mind with the TSA shirt.
[00:52:31.221 --> 00:52:35.502]  And with this shirt, you can let the dark side know of the Rebel Alliance's power.
[00:52:36.863 --> 00:52:39.984]  All available at InfoWarsShop.com.
[00:52:47.042 --> 00:52:47.582]  Be heard.
[00:52:47.982 --> 00:52:48.642]  Be active.
[00:52:48.943 --> 00:52:49.623]  Be social.
[00:52:50.683 --> 00:52:56.805]  InfoWarriors worldwide are logging on to the newest activist social network, PlanetInfoWars.com.
[00:52:57.545 --> 00:52:58.485]  I'm Christy Hightower.
[00:52:58.866 --> 00:53:06.448]  This week on Planet InfoWars, follow Alex Jones in the official Bilderberg 2012 InfoWarriors official site.
[00:53:07.208 --> 00:53:16.840]  You can watch up-to-the-minute news, information, and live streams, all covering the globalist clandestine convention going on this week in Chantilly, Virginia.
[00:53:17.581 --> 00:53:22.126]  Create your own sites of activists and information on planetinfowars.com.
