[00:00:21.795 --> 00:00:23.555]  Welcome, it is February 21st, 2012.
[00:55:47.182 --> 00:55:55.265]  And we hope this is something that's going to spread because unfortunately the press has not taken on this issue as a major controversy the way it did the Patriot Act.
[00:55:55.305 --> 00:56:02.328]  Even though the Patriot Act was not effectively slowed, at least people were aware of the issue and I don't see that with NDAA.
[00:56:02.428 --> 00:56:05.709]  People on the street do not seem to even know what's going on with this.
[00:56:06.519 --> 00:56:10.082]  Yeah, they've been really effective at keeping it quiet.
[00:56:10.142 --> 00:56:15.245]  And of course you've got these information gatekeepers now that decide what Americans get to know about.
[00:56:15.265 --> 00:56:18.808]  And that's not how it was supposed to be in the first place either.
[00:56:19.208 --> 00:56:21.730]  But regardless, this is where we're at right now.
[00:56:22.410 --> 00:56:29.174]  And many states have already realized that the only way they're going to stop this is to do it at the state line.
[00:56:29.194 --> 00:56:32.276]  And I might add, it's not restricted to states right now.
[00:56:33.077 --> 00:56:42.563]  We have three counties in Colorado that have already passed resolutions against the NDAA, and we have four cities that have done the same.
[00:56:43.802 --> 00:57:00.016]  In Fremont, California, for example, that city, their NDAA legislation also says outright that they will be imprisoning or levying fines against federal agents that are kidnapping people in that city.
[00:57:01.226 --> 00:57:01.446]  Right.
[00:57:02.286 --> 00:57:05.667]  And, you know, we had the TSA issue here in Texas.
[00:57:06.268 --> 00:57:16.811]  The House overwhelmingly voted to bar the TSA from basically doing things that would be considered molestation, a violation of not only privacy but of the private parts, if you will.
[00:57:17.311 --> 00:57:25.334]  And we saw the Feds come down, really intimidate the whole system, and work with some of their cronies to get it thrown out to make sure it didn't become an example to the country.
[00:57:25.894 --> 00:57:38.925]  And then on the opposite side of that we see countries like Australia passing what may prove to be model legislation telling people that if they don't go through the body scanners they can't fly and that's a really dangerous precedent in my eyes.
[00:57:39.826 --> 00:57:48.513]  What do you see happening or what did you think anyway of the situation with Texas and the TSA and are states going to continue to fight on those fronts as well?
[00:57:49.594 --> 00:57:50.895]  Well in Texas you had
[00:57:51.733 --> 00:57:59.099]  David Simpson introducing pretty strong TSA legislation last session that said, no, you can't do that.
[00:57:59.119 --> 00:58:00.000]  You can't grab people.
[00:58:00.180 --> 00:58:02.302]  You can't have these scanners operating.
[00:58:02.782 --> 00:58:04.324]  They just wanted to get rid of the whole thing.
[00:58:04.344 --> 00:58:08.667]  And of course, the federal government shot back with, OK, we won't allow planes to fly in Texas.
[00:58:09.228 --> 00:58:13.111]  If you guys pass this, we're just going to shut down all air travel in Texas.
[00:58:13.743 --> 00:58:15.445]  And that was their intimidation tactic.
[00:58:16.346 --> 00:58:31.762]  Last year, the Texas Legislature stood alone and the House, I think they unanimously passed the TSA bill, but the Senate was bullied into not doing it.
[00:58:31.782 --> 00:58:32.803]  This year we've already got
[00:58:33.303 --> 00:58:36.847]  I think three or four different states who have TSA bills.
[00:58:37.528 --> 00:58:39.290]  And that also continues to be a theme.
[00:58:40.551 --> 00:58:43.755]  But it's not nearly as hot as the NDAA issue right now.
[00:58:44.075 --> 00:58:44.295]  Right.
[00:58:44.836 --> 00:58:49.321]  Yeah, so with respect to the NDAA, is nullification the only viable route?
[00:58:49.401 --> 00:58:51.724]  Is there also room for people to file lawsuits?
[00:58:52.605 --> 00:58:54.487]  And who would that be filed against, do you know?
[00:58:55.802 --> 00:59:03.286]  I've heard that there's some action that's taking place right now in terms of a multi-plaintiff lawsuit against the federal government over the NDAA.
[00:59:03.806 --> 00:59:06.468]  But you've always got to come back to what's going to happen with that.
[00:59:08.569 --> 00:59:10.670]  Let's just assume it goes all the way to the Supreme Court.
[00:59:11.310 --> 00:59:17.033]  Is the federal Supreme Court going to take such a hard line against the rest of the federal government?
[00:59:17.073 --> 00:59:22.956]  I just don't see that happening and there's not really a track record to suggest that that's what would happen.
[00:59:23.016 --> 00:59:24.137]  So yes, I believe that
[00:59:24.537 --> 00:59:29.919]  This is where we have to draw the line in our communities, in our states, if we have a decent statehouse.
[00:59:30.860 --> 00:59:31.960]  The county level is great.
[00:59:32.981 --> 00:59:43.666]  If you get a good constitutional sheriff involved in your county, get the county commissioner on board like Peggy Littleton in El Paso County, Colorado, recognize the threat, immediately act it.
[00:59:43.706 --> 00:59:46.527]  They had something passed, I think, first out of anybody, any state.
[00:59:47.067 --> 00:59:48.208]  Any county, any city.
[00:59:48.868 --> 00:59:50.788]  And this is what we can do on the local level.
[00:59:51.389 --> 00:59:52.789]  This is what the 10th Amendment says.
[00:59:53.349 --> 01:00:04.413]  When the federal government does something that's outside of their carefully set parameters, we as the top of the government totem pole in this country have a right to say no.
[01:00:06.601 --> 01:00:11.146]  Yeah, and I think obviously we have to step up and say no, because it's clear this tyranny is not going to stop.
[01:00:11.226 --> 01:00:15.911]  It's on that slippery slope, and it's accelerating towards full steam ahead.
[01:00:16.392 --> 01:00:23.340]  And so, I feel like if we don't stop these kinds of bills from being accepted, we may never have another chance.
[01:00:24.591 --> 01:00:25.171]  Oh yeah, yeah.
[01:00:25.251 --> 01:00:40.696]  I mean, when I talked to Stuart Rhodes about this the other day, he said point blank, this is what he studied when he was at Yale finishing his law degree, was the turning of the domestic homeland into a war zone and applying warfare parameters
[01:00:41.236 --> 01:00:42.517]  To your own people.
[01:00:42.557 --> 01:00:44.317]  This is what you saw with Germany.
[01:00:44.337 --> 01:00:58.503]  This is what you saw with with the USSR This was a very common tactic for them to to apply pressure to activists to dissidents to anybody that they wanted out of the way And that's exactly how it happened
[01:00:59.540 --> 01:01:00.601]  Yeah, classic tyranny.
[01:01:01.461 --> 01:01:03.563]  You know, I'm not an expert on nullification.
[01:01:03.583 --> 01:01:08.065]  I've always been a little foggy on it, and I feel like it's kind of a very scholarly term.
[01:01:08.085 --> 01:01:20.053]  Could you break it down, just totally simplify it for the total average listener, for the lowest common denominator of people who understand probably the basic constitution of the Bill of Rights, but maybe not what nullification is all about?
[01:01:20.771 --> 01:01:26.141]  Sure, well essentially you can look to Thomas Jefferson as the one who fleshed out the doctrine.
[01:01:26.181 --> 01:01:30.650]  He worked with James Madison to produce the Kentucky and Virginia Resolutions in 1798.
[01:01:32.299 --> 01:01:45.965]  And at that time you had a federal government that was jailing newspaper editors for writing things that were, you know, stuff that they didn't like about the executive branch or the presidency at that time.
[01:01:46.005 --> 01:01:48.706]  They were literally, 24 newspaper editors were behind bars.
[01:01:49.386 --> 01:01:52.868]  And Thomas Jefferson, who was the vice president at the time, said this is not
[01:01:53.388 --> 01:01:54.809]  This is not what we set up.
[01:01:54.829 --> 01:01:57.031]  This is not what all those men fought and died for.
[01:01:57.672 --> 01:02:09.683]  And he said that the nullification of the Act is the rightful remedy anytime the federal government goes outside of the carefully lined boundaries of the Constitution.
[01:02:11.064 --> 01:02:18.511]  I guess it also gets back to the basic Marbury vs. Madison, all laws which are repugnant to the Constitution are null and void on their face.
[01:02:19.898 --> 01:02:22.899]  Yeah, that's another reference right there.
[01:02:23.399 --> 01:02:37.402]  The bottom line is we've been moved into a place in our zeitgeist where too many people consider the Supreme Court to be the final arbiter of what is constitutional and what is not constitutional.
[01:02:37.762 --> 01:02:40.483]  And that was not the system that we were given by the founders.
[01:02:41.163 --> 01:02:46.844]  We, the people of the several states, are the ones who made an agreement with the federal government, created the federal government,
[01:02:47.444 --> 01:02:56.648]  And when it gets out of line, we really need to treat it as an employee or as a servant rather than as this overlord, which is the way people see it right now.
[01:02:57.748 --> 01:03:00.830]  This is what we have walked away from as a people.
[01:03:01.250 --> 01:03:08.693]  The responsibility falls squarely on the shoulders of the American people for us being in this position right now, and it's up to us to turn it around.
[01:03:09.414 --> 01:03:12.815]  Bruce Shonko, obviously NDAA has to be a line in the sand.
[01:03:12.875 --> 01:03:13.776]  How could people help?
[01:03:14.376 --> 01:03:17.457]  Do they need to contact their county and state representatives?
[01:03:17.497 --> 01:03:22.379]  What's the best way to get full momentum on this issue and get it spreading to as many states as possible?
[01:03:23.268 --> 01:03:25.289]  First off, go to 10thAmendmentCenter.com.
[01:03:25.509 --> 01:03:30.090]  Up at the top, there's a Model Legislation button that will show you all of our different bills that we have.
[01:03:31.431 --> 01:03:33.611]  Go ahead and grab the Liberty Preservation Act.
[01:03:33.671 --> 01:03:34.431]  Grab the text.
[01:03:35.212 --> 01:03:37.012]  Share it with anybody you want to.
[01:03:37.092 --> 01:03:38.153]  Show it to your legislators.
[01:03:38.513 --> 01:03:39.693]  Get people talking about it.
[01:03:39.773 --> 01:03:42.774]  Get people to realize that this is an option.
[01:03:42.814 --> 01:03:48.716]  This is the recourse that we have when they do something like give themselves the power to kidnap people.
[01:03:50.156 --> 01:03:59.040]  Get a good look at that bill and then take it to your statehouse, take it to your county commissioner, take it to your sheriff, and say this is what we want, this is what we demand.
[01:03:59.100 --> 01:04:00.201]  Talk to your neighbors about it.
[01:04:00.601 --> 01:04:05.883]  Get a group of people, get a bunch of people writing emails and demanding this thing.
[01:04:06.243 --> 01:04:07.664]  That's what it will take.
[01:04:08.304 --> 01:04:13.567]  Again, Peggy Littleton, the county commissioner in El Paso County, Colorado, the first county to do this.
[01:04:15.067 --> 01:04:19.189]  Her response to me when I asked her about it was, this is what the people wanted.
[01:04:20.050 --> 01:04:20.730]  This isn't me.
[01:04:21.171 --> 01:04:23.212]  I'm just facilitating.
[01:04:24.092 --> 01:04:33.838]  And if you've got good representatives at the local level, and you've got enough people together saying, we're rejecting this kidnapping provision, then it will happen.
[01:04:35.138 --> 01:04:39.200]  And people can of course find that at 10thamendmentcenter.com?
[01:04:39.641 --> 01:04:39.981]  That's right.
[01:04:40.221 --> 01:04:41.762]  And your work is at what website?
[01:04:43.927 --> 01:04:44.748]  Uh, sorry?
[01:04:45.329 --> 01:04:48.532]  What was your other website where you have your work posted and your articles?
[01:04:49.052 --> 01:04:54.097]  I also edit for thelibertyvoice.com, which is just an independent news website.
[01:04:54.137 --> 01:04:56.519]  We have some news and commentary on there.
[01:04:57.120 --> 01:04:59.322]  We've been reporting on this and a variety of other issues.
[01:04:59.902 --> 01:05:07.889]  Well, let's hope people take this issue to the streets and to the representatives we still have, because of course we can do things at the state level still.
[01:05:08.330 --> 01:05:09.011]  Thanks for joining us.
[01:05:09.790 --> 01:05:10.370]  Thank you Aaron.
[01:05:10.731 --> 01:05:11.571]  Alright, good night.
[01:05:12.011 --> 01:05:14.353]  And that's all for tonight on the InfoWars Nightly News.
[01:05:14.413 --> 01:05:18.775]  We'll be back again tomorrow and Alex will continue to fill in from the road.
[01:05:19.736 --> 01:05:22.998]  Join us then and please consider subscribing to support this broadcast.
[01:05:23.018 --> 01:05:24.659]  Help us reach as many people as possible.
[01:05:25.099 --> 01:05:25.899]  Turn this back around.
[01:05:26.300 --> 01:05:26.520]  Good night.
