[00:00:21.880 --> 00:00:25.526]  Good evening, this is InfoWars Nightly News, and I'm David Ortiz.
[00:55:31.326 --> 00:55:38.769]  That's where we can, as a consumer, do something, because we can demand that we don't use the pesticides on the food.
[00:55:44.804 --> 00:55:49.668]  The laws can be changed, but there again, it comes down to personal activism.
[00:55:49.708 --> 00:55:53.552]  You can vote with your money or be active with what you buy.
[00:55:55.713 --> 00:56:00.397]  Now, in your opinion, I don't know how much you would know about this, but do you think this could have been orchestrated?
[00:56:00.558 --> 00:56:07.944]  I mean, do you think this is, you know, there's a system behind this that's possibly making this happen?
[00:56:10.626 --> 00:56:11.547]  There sure seems to be.
[00:56:12.996 --> 00:56:24.262]  There sure seems to be, because with these patents that are coming out lately, I mean they even have genetically modified bees now.
[00:56:25.063 --> 00:56:33.607]  They have pesticides that have been created in a fashion to affect not only the plants, but the pollinators too.
[00:56:33.947 --> 00:56:40.451]  They have plants that actually create their own pesticide within the plant to kill insects.
[00:56:41.653 --> 00:56:42.733]  Well, bees are insects.
[00:56:43.834 --> 00:56:45.614]  So, could it be?
[00:56:45.814 --> 00:56:46.714]  It sure appears to be.
[00:56:46.734 --> 00:56:57.137]  There could be a plot or a plan or something in the shadows, if you will, conspiratorially, but it's affecting the bees regardless.
[00:56:58.258 --> 00:57:01.199]  Now, you talked about other instincts just briefly just now.
[00:57:01.499 --> 00:57:08.741]  I know you focus mostly on bees, but is a similar occurrence happening with other insects that you know of?
[00:57:09.542 --> 00:57:25.813]  I'm finding yes, like right here in Texas I've noticed, just inquiring with people, they notice that the local pollinators, the wasps, the other types of bees that are just naturally in the environment that pollinate the crops, they're not here.
[00:57:28.415 --> 00:57:37.861]  Several states, Tennessee, Pennsylvania, I've been asking and you know the local insects, they're not as populated as they used to be.
[00:57:38.461 --> 00:57:39.242]  They're just not there.
[00:57:40.137 --> 00:57:50.845]  People have said in their gardens they actually have to go out with a q-tip to pollinate their own garden because there's no bees, there's no wasps, there's no other natural pollinators at all around.
[00:57:51.805 --> 00:57:54.707]  And you have to have pollination to have food.
[00:57:55.628 --> 00:58:02.373]  At least 70 to 80 percent of our food chain requires pollination, and if there's nothing pollinating the flowers, we don't get food.
[00:58:03.714 --> 00:58:04.975]  So this could be far-reaching.
[00:58:05.515 --> 00:58:06.716]  This is huge-reaching.
[00:58:07.777 --> 00:58:07.957]  Yes.
[00:58:09.326 --> 00:58:11.127]  Now, you've talked a little bit about solutions.
[00:58:11.187 --> 00:58:14.908]  I know that you were talking to me briefly about, you know, you're part of solutions.
[00:58:14.928 --> 00:58:18.910]  You offer products where, you know, it contributes to the solution.
[00:58:18.990 --> 00:58:20.111]  Tell me a little bit about that.
[00:58:21.571 --> 00:58:21.992]  Well, yes.
[00:58:22.072 --> 00:58:25.193]  It started with my own beehives and my own research.
[00:58:25.893 --> 00:58:27.974]  So my endeavors were selfish in the beginning.
[00:58:28.534 --> 00:58:36.518]  But I've been working in bioremediation or helping the environment heal using natural things.
[00:58:37.307 --> 00:58:46.752]  And I've just applied some simple principles to the beehives because my beehives became extremely toxic and then the bees died, or they left.
[00:58:47.593 --> 00:58:52.955]  So we're just using simple remedies applied in a different fashion to the beehive.
[00:58:53.616 --> 00:59:06.583]  So we're decontaminating the beehive, we're helping the bees' digestion increase, and we're feeding the bees food that's missing from their natural diet, the elements that are missing.
[00:59:07.242 --> 00:59:26.034]  So the bee then is gaining immunity, their beehive is becoming cleaner, so their house is clean, and their overall health is impacted greatly for the positive, so they can actually exist in this chemical environment that they have to work and live in to do their job.
[00:59:27.635 --> 00:59:30.297]  Now I have a lot of other experts who work with bees.
[00:59:31.517 --> 00:59:33.779]  Do you have any success stories with them?
[00:59:35.345 --> 00:59:38.606]  I have quite a few success stories with beekeepers that are using our products.
[00:59:40.487 --> 00:59:46.268]  We've had a couple of beekeepers that, one is a fairly large one, he has over 2,000 hives.
[00:59:47.149 --> 00:59:53.771]  He was experiencing really big losses, like 40 to 50 percent loss annually.
[00:59:54.751 --> 01:00:04.834]  And using our products, he's virtually cut his losses completely in regards to colony collapse loss.
[01:00:05.720 --> 01:00:10.823]  Because when the bee is healthy, it's able to repel the bacteria and fungal problems.
[01:00:12.104 --> 01:00:17.687]  When the bee is healthy and the immune system is up, it's able to clean the hive and keep the hive clean.
[01:00:18.427 --> 01:00:25.171]  When the bee is healthy, it doesn't lose its homing instincts and it can find its home and its hive.
[01:00:26.371 --> 01:00:33.635]  When the bee is healthy, they can lay eggs, they can multiply and do their job much more swiftly and much more
[01:00:36.356 --> 01:00:37.256]  Well, just better.
[01:00:39.257 --> 01:00:42.480]  Well, Doctor, it's great to see that you're fighting the good fight on this.
[01:00:43.220 --> 01:00:47.083]  Is there any last message that you would like to tell the viewers?
[01:00:48.243 --> 01:00:52.766]  Well, just get to know your local beekeepers and be supportive and be active.
[01:00:53.527 --> 01:01:00.852]  Because without consumers buying the produce and the honey and the products,
[01:01:02.212 --> 01:01:07.395]  That's the backbone of the food chain, and the bees are extremely important.
[01:01:07.615 --> 01:01:14.359]  So just be active and get to know your local beekeeper and support any way that you can.
[01:01:14.379 --> 01:01:15.599]  Okay.
[01:01:16.120 --> 01:01:19.261]  Well, Doctor, thank you so much for joining us here on InfoWars Nightly News.
[01:01:19.301 --> 01:01:20.582]  We really, really appreciate it.
[01:01:20.762 --> 01:01:21.463]  Thank you very much.
[01:01:21.903 --> 01:01:22.203]  Thank you.
[01:01:23.149 --> 01:01:25.351]  And thank you once again for joining us this evening.
[01:01:25.411 --> 01:01:31.436]  Remember to continue supporting our operation, continue fighting the good fight, and there's many ways that you can do that.
[01:01:31.597 --> 01:01:41.926]  One way is by going to Infowarsstore.com and purchasing some of our wonderful products, whether it be our new magazine that's come out.
[01:01:42.486 --> 01:01:45.889]  It comes out every month, but pretty soon it's going to be unveiled.
[01:01:45.929 --> 01:01:49.853]  Later on this week, this month's episode, we're going to focus on zombies.
[01:01:50.553 --> 01:01:56.038]  And remember, you can also become a member of PrisonPlanet.tv for less than $6 a month.
[01:01:56.979 --> 01:01:57.979]  You'll get a lot of goodies.
[01:01:57.999 --> 01:02:12.071]  You'll be able to see Alex's radio show daily, check out some of his rants, have access to wonderful e-books, documentaries, all in high def, and it's less than $6 a month, and that also helps to fund our operation.
[01:02:13.072 --> 01:02:22.696]  And once again, remember the magazine, it should be coming out later on this week as well, the InfoWars magazine, and you can get those also as well on our website.
[01:02:23.396 --> 01:02:24.837]  Well, we'll see you tomorrow evening.
[01:02:24.897 --> 01:02:27.698]  Until then, have a wonderful, wonderful evening.
