[00:00:22.682 --> 00:00:23.262]  It's October 24, 2012.
[00:55:10.647 --> 00:55:11.828]  Now, I know a lot of people
[00:55:12.748 --> 00:55:22.995]  are afraid that if they vote on a computer machine that someone somewhere is going to muck with the software so that your vote will change from one candidate to another.
[00:55:23.015 --> 00:55:25.376]  You know, it's possible to hack these things.
[00:55:25.416 --> 00:55:27.217]  I've watched them hack pretty easily.
[00:55:27.718 --> 00:55:29.099]  But that's the least problem.
[00:55:29.579 --> 00:55:35.743]  Because there is a very, very, very easy way to steal votes by computer.
[00:55:36.283 --> 00:55:38.285]  It's called unplugging the computer.
[00:55:39.105 --> 00:55:46.472]  What we have in the U.S., in fact, my new book, Billionaires and Ballot Banners, it's called How to Steal an Election in Nine Easy Steps.
[00:55:47.193 --> 00:55:50.896]  One of the steps we call prestidigitizing, like presto change-o.
[00:55:51.136 --> 00:55:52.478]  It's just, you know, poof!
[00:55:52.518 --> 00:55:53.118]  It's not there.
[00:55:53.539 --> 00:55:57.563]  So one of the big tricks, one of the things that's happening with voting machines,
[00:55:58.203 --> 00:56:02.367]  Is that computers tend to lose more votes than any other method of voting.
[00:56:03.007 --> 00:56:06.931]  They cost five times as much as any other method of voting, and yet they lose more votes.
[00:56:06.951 --> 00:56:08.552]  When I say lose them, they just disappear.
[00:56:09.173 --> 00:56:20.883]  For example, in Sarasota, Florida, we had one election in which 18,000 votes in brand new computer machines just went poof!
[00:56:22.065 --> 00:56:24.807]  Now, the election was won by 500 votes.
[00:56:25.467 --> 00:56:26.608]  Now, here's the question.
[00:56:27.048 --> 00:56:28.870]  Whose 18,000 votes were they?
[00:56:29.190 --> 00:56:33.513]  Well, it ends up being in the precincts of one party, for the most part.
[00:56:33.853 --> 00:56:38.937]  People vote like their neighbors vote, so that you don't have to switch a particular vote.
[00:56:38.977 --> 00:56:44.340]  If someone says, I want Romney, switch to Obama or Obama to Romney, that's a lot of work for a hacker.
[00:56:44.380 --> 00:56:46.382]  The easiest thing to do is have the machine glitch.
[00:56:46.762 --> 00:56:47.603]  It doesn't record.
[00:56:47.923 --> 00:56:49.104]  That leaves no fingerprints.
[00:56:49.784 --> 00:56:50.305]  It didn't work.
[00:56:50.325 --> 00:56:51.005]  Gee, we're sorry.
[00:56:51.025 --> 00:56:52.607]  The memory sticks don't hold the stuff.
[00:56:53.308 --> 00:56:54.288]  That's a typical thing.
[00:56:54.328 --> 00:56:55.129]  We're losing.
[00:56:56.010 --> 00:57:01.876]  And you'll love this number, or you'll hate it, depending on whether you're an oligarch or not.
[00:57:02.176 --> 00:57:03.858]  1.4 million votes were lost.
[00:57:05.302 --> 00:57:10.486]  Spoiled, as they call them in the biz, through these so-called glitches in the last election.
[00:57:10.986 --> 00:57:11.767]  1.4 million.
[00:57:12.087 --> 00:57:13.147]  That's from the U.S.
[00:57:14.508 --> 00:57:18.211]  Office of Elections Assistance, our Elections Assistance Commission in D.C.
[00:57:18.231 --> 00:57:23.094]  They keep raw data on the votes that are counted, but also votes that aren't counted.
[00:57:23.234 --> 00:57:23.815]  That is amazing.
[00:57:23.835 --> 00:57:24.595]  1.4 million votes.
[00:57:24.896 --> 00:57:25.796]  That is amazing.
[00:57:25.876 --> 00:57:27.357]  And no one makes a big stink out of it.
[00:57:27.397 --> 00:57:30.880]  That sounds like a story that we should have heard, but of course we never do.
[00:57:31.547 --> 00:57:33.248]  You may stink out of it.
[00:57:33.869 --> 00:57:38.832]  I'm trying to tell you, like, if it weren't for Alex Jones, how do these stories come out?
[00:57:39.072 --> 00:57:41.914]  There are very few places which are going to touch a story.
[00:57:41.934 --> 00:57:43.475]  They say, oh, we're conspiracy nuts.
[00:57:43.776 --> 00:57:45.137]  Well, I'm a conspiracy expert.
[00:57:45.157 --> 00:57:46.157]  That is, I was a U.S.
[00:57:46.177 --> 00:57:47.919]  government racketeering investigator.
[00:57:48.459 --> 00:57:54.723]  I report these stories on the top of the nightly news for BBC and big papers all over the planet.
[00:57:55.084 --> 00:57:56.384]  I can't get it into the U.S.
[00:57:56.685 --> 00:58:01.268]  If I say, look, 1.4 million votes were cast and not counted in the last
[00:58:01.808 --> 00:58:02.248]  We have that.
[00:58:02.268 --> 00:58:04.329]  That's your official United States government statistic.
[00:58:05.190 --> 00:58:06.630]  Oh, you're a conspiracy nut!
[00:58:08.151 --> 00:58:09.392]  You know, I'm sorry.
[00:58:09.432 --> 00:58:14.414]  I guess that always gets, you know, you just call someone a conspiracy nut and it always gets a laugh from the conspirators.
[00:58:15.375 --> 00:58:16.915]  None of this happens by accident.
[00:58:17.676 --> 00:58:18.276]  It really doesn't.
[00:58:18.316 --> 00:58:21.317]  Yeah, I mean, there's accidents, but it's what I call vulture opportunism.
[00:58:22.438 --> 00:58:23.458]  The machine glitches.
[00:58:23.979 --> 00:58:24.999]  They know it's going to glitch.
[00:58:25.419 --> 00:58:26.340]  They don't fix it.
[00:58:27.113 --> 00:58:28.974]  You know, there's simple gimmicks.
[00:58:29.034 --> 00:58:33.655]  They don't hand out passwords in certain precincts, so it takes hours to open the machines.
[00:58:34.476 --> 00:58:35.936]  The machine gets unplugged.
[00:58:36.496 --> 00:58:42.939]  Certain areas, they know that they put in bad computers in areas like Dustin, New Mexico, and Pueblo.
[00:58:42.959 --> 00:58:46.720]  If you're a Native American, your vote so seldom actually gets counted.
[00:58:46.760 --> 00:58:47.500]  It's ridiculous.
[00:58:48.300 --> 00:58:52.382]  And because they know, they don't give Natives, you know, blankets with smallpox anymore.
[00:58:52.402 --> 00:58:54.803]  They give them these crap machines that won't work.
[00:58:55.663 --> 00:59:01.566]  In dusty conditions, or they don't work in humid conditions in the South, they know where this stuff is going.
[00:59:01.586 --> 00:59:05.248]  Because I've had election supervisors say, we scream and holler, why are you giving us these machines?
[00:59:05.268 --> 00:59:06.509]  We know that they're going to break down.
[00:59:07.629 --> 00:59:10.491]  You know, how many times has your Windows computer crashed?
[00:59:10.851 --> 00:59:14.193]  And Windows is something which thousands of people work on debugging.
[00:59:14.963 --> 00:59:17.164]  Here you have thousands of people who seem to work on bugging them.
[00:59:17.184 --> 00:59:17.884]  Bugging them, yeah.
[00:59:18.224 --> 00:59:22.066]  And we saw this during the Republican primary, especially in Iowa.
[00:59:22.106 --> 00:59:24.407]  There were, votes didn't even come in.
[00:59:24.727 --> 00:59:32.451]  They say, we got the guy driving around with the votes, and then they disappear, lights go out in other places, and then when they turn back on, well, here's the results now.
[00:59:32.471 --> 00:59:35.092]  I mean, magical stuff happens during these elections.
[00:59:35.812 --> 00:59:36.972]  It's very fascinating.
[00:59:37.012 --> 00:59:44.514]  Mr. Romney would not be the nominee right now if he hadn't won Iowa, which he didn't, because votes went missing.
[00:59:44.955 --> 00:59:47.695]  And then, interestingly, it was not Republicans who blew the whistle.
[00:59:47.735 --> 00:59:51.536]  It was patriots and others who started screaming about it.
[00:59:51.696 --> 00:59:52.276]  Mainly Ron Paul people.
[00:59:52.296 --> 00:59:53.537]  It was the New England Republican Party.
[00:59:54.197 --> 00:59:56.678]  And they said, wait, these votes aren't adding up.
[00:59:56.738 --> 00:59:57.558]  Their votes are missing.
[00:59:58.218 --> 01:00:01.360]  And so, you know, Santorum, whether you like him or not, was the winner.
[01:00:01.821 --> 01:00:04.322]  But I guess ripping the sleeves off his sweater wasn't enough.
[01:00:04.342 --> 01:00:06.644]  They had to rip the votes off, too.
[01:00:06.904 --> 01:00:12.748]  So that was a dry run to what's going to happen in a couple weeks.
[01:00:12.868 --> 01:00:15.130]  So you think they're going to throw it for Romney in this case?
[01:00:15.740 --> 01:00:16.161]  I don't know.
[01:00:16.281 --> 01:00:19.325]  I think that a lot of votes are going to be stolen by the millions.
[01:00:19.365 --> 01:00:25.154]  In fact, I can give you a pretty solid number, about at least 5.9 million, because I'm a statistician.
[01:00:25.194 --> 01:00:27.557]  I work from the government's raw data.
[01:00:27.577 --> 01:00:29.740]  About 5.9 million votes are going to go kapoof.
[01:00:31.923 --> 01:00:32.984]  Would it be enough for Romney?
[01:00:33.024 --> 01:00:33.364]  I don't know.
[01:00:33.404 --> 01:00:37.466]  I don't think that even his backers who are pulling this game off are really trying to steal it from Romney.
[01:00:37.826 --> 01:00:42.968]  There are a lot of close Senate races that are really the deepest concern.
[01:00:43.388 --> 01:00:45.449]  And we've got two big databases.
[01:00:46.490 --> 01:00:54.053]  Themis, which is owned by the Koch brothers, and Datatrust, which is operated by Karl Rove.
[01:00:54.233 --> 01:00:59.556]  There's these vulture hedge fund managers that are behind him and building something called Datatrust.
[01:01:00.572 --> 01:01:04.815]  And you have to understand, this is not about a Republican winning or a Democrat winning.
[01:01:04.855 --> 01:01:11.460]  These are very rich guys who are basically trying to bend elections and get in politicians that make them happy.
[01:01:11.480 --> 01:01:14.702]  For example, I'll give you a good example of how this works.
[01:01:17.819 --> 01:01:46.192]  uh... who is who's funding give a million dollars to fund this uh... data trust data mining system which will be used to challenge voters that's this time it's going to use to challenge voters for obama they're gonna knock out hundreds of thousands of voters say oh that guy's from a false address he's a felon that's a glitch vote that's a wrong address uh... that's what he's going to do last time in two thousand eight the same dan lobe was the richest biggest donor to uh... barack obama
[01:01:46.952 --> 01:01:50.536]  Because there's certain things he wanted from Obama, which he got.
[01:01:50.556 --> 01:01:52.038]  He got a big piece of the auto bailout.
[01:01:52.438 --> 01:01:56.503]  But now, Omni's coming up with a plan for him to get the money back into the country for free.
[01:01:56.963 --> 01:01:59.406]  So, there's nothing to do with politics.
[01:01:59.426 --> 01:02:01.268]  They don't care whether it's Romney or Obama.
[01:02:01.468 --> 01:02:01.868]  Oh, I know.
[01:02:01.908 --> 01:02:07.675]  They just need a certain, you know, they have to choose which hand puppet to stick their hand in.
[01:02:08.035 --> 01:02:08.456]  Exactly.
[01:02:08.496 --> 01:02:18.446]  Well, I think it's funny, in a country like Venezuela, we had one of our computer IT guys went down to vote in the election, and they get a little piece of paper after they vote.
[01:02:18.466 --> 01:02:19.527]  It says who they voted for.
[01:02:19.828 --> 01:02:24.493]  And then they hand it to a person, and it's tabulated with the electronic results.
[01:02:24.873 --> 01:02:27.113]  And they say, all right, all right, this is corroborated.
[01:02:27.193 --> 01:02:28.174]  These results are good.
[01:02:28.214 --> 01:02:28.894]  They're going to go on.
[01:02:29.214 --> 01:02:34.255]  So you have to really do a lot of vote losing or vote stealing, vote changing, whatever you're going to do.
[01:02:34.835 --> 01:02:37.456]  It would it would take a lot more effort to get a piece of paper.
[01:02:37.476 --> 01:02:40.656]  And these machines were designed by Diebold, which is a company that makes ATMs.
[01:02:41.316 --> 01:02:45.237]  And boom, you know, we don't know how to make pieces of paper appear, apparently.
[01:02:45.477 --> 01:02:47.017]  Look, we're saving trees.
[01:02:47.317 --> 01:02:49.278]  I actually talked to Hugo Chavez about that.
[01:02:50.260 --> 01:03:01.117]  One of the reasons he got into these improving voting machines is that he thought he could get a more sympathetic government in Washington if he helped Americans vote properly.
[01:03:01.197 --> 01:03:02.239]  That's how it began.
[01:03:02.279 --> 01:03:04.442]  It began with a conversation I had with Chavez.
[01:03:05.363 --> 01:03:10.145]  But what he found out quickly is that no one wants the votes to count in America.
[01:03:10.165 --> 01:03:11.846]  It doesn't matter whether they're Democrats or Republicans.
[01:03:12.426 --> 01:03:15.908]  There's an oligarchy that run this system.
[01:03:16.868 --> 01:03:25.292]  And at the moment, this election is going to be mostly supporters of Romney who are going to be doing the vote hacking and chopping and unplugging of the computers.
[01:03:25.612 --> 01:03:27.333]  Because that's where the billionaires are at this time.
[01:03:28.291 --> 01:03:37.516]  Before they backed other people like Penny Pritzker, the billionaire rogue banker from Chicago, the person who actually created Barack Obama's career.
[01:03:38.377 --> 01:03:40.858]  Well, his first election he lost for Congress.
[01:03:40.878 --> 01:03:43.600]  The second election he ran unopposed.
[01:03:43.740 --> 01:03:44.060]  Why?
[01:03:44.641 --> 01:03:46.382]  Because Penny Pritzker and her gang
[01:03:47.262 --> 01:03:59.427]  Uh, put in a bunch of money and basically disenfranchised thousands of black voters on the south side of Chicago, in Barack Obama's district, and knocked out, knocked his opponent, the incumbent state senator, off the ballot.
[01:03:59.767 --> 01:04:03.009]  So, Obama's very used to knocking off black voters off the voter rolls.
[01:04:04.369 --> 01:04:09.411]  Now, he's finding out that, you know... When you haven't placed that game, they've got bigger computers, buddy!
[01:04:10.532 --> 01:04:11.912]  They've got, folks have Femus!
[01:04:12.092 --> 01:04:13.733]  You're still playing with your floppy disks!
[01:04:15.426 --> 01:04:20.529]  It's so disgusting because, you know, we know most of the people out there are asleep.
[01:04:21.049 --> 01:04:23.531]  They're still fighting this two-party system, which is a sham.
[01:04:24.091 --> 01:04:30.996]  And, you know, but it would still be nice to just have the will of the people, even though they are asleep, at least see what the real will of the people is.
[01:04:31.116 --> 01:04:32.757]  Let's get an honest election for once.
[01:04:32.797 --> 01:04:33.678]  Why can't we have that?
[01:04:34.198 --> 01:04:34.879]  Why can't we have that?
[01:04:35.475 --> 01:04:39.940]  Because there's too much money to be made in bending the system.
[01:04:40.620 --> 01:04:45.665]  There's too much at stake to let the people decide.
[01:04:45.685 --> 01:04:54.615]  The point of putting billionaires with ballot banners in this book is for the purpose of explaining that people don't steal votes to steal elections, they steal votes to steal the money.
[01:04:54.915 --> 01:04:56.497]  These are billionaires in both parties.
[01:04:57.097 --> 01:05:07.086]  Right now, in 2008, the big banker billionaires are with Obama, now they're kind of sloshed over to Romney, but more the Republican Party in hopes of stealing the Senate.
[01:05:08.568 --> 01:05:12.632]  But it's all about what they want, the financial rules.
[01:05:13.834 --> 01:05:14.835]  That they want to start.
[01:05:14.875 --> 01:05:16.476]  That's the big, big deal here.
[01:05:16.677 --> 01:05:20.480]  And that's why this time they're going with Mr. Mitt.
[01:05:20.960 --> 01:05:21.481]  Right.
[01:05:21.841 --> 01:05:23.983]  Because they made their money under Obama.
[01:05:24.423 --> 01:05:28.066]  He didn't crush down the banks, as they feared.
[01:05:28.327 --> 01:05:32.731]  They named Timmy Geithner their Secretary of Treasury.
[01:05:33.431 --> 01:05:36.654]  They named, remember Larry Summers, the economic czar?
[01:05:36.894 --> 01:05:38.335]  Oh yeah.
[01:05:38.936 --> 01:05:39.677]  He worked with Clinton.
[01:05:41.938 --> 01:05:54.724]  Well, yeah, these are big investment bankers that they all worked with Clinton's boy Robert Rubin, the co-chairman of Citibank and previous CEO of Goldman Sachs.
[01:05:55.124 --> 01:05:58.606]  So it wasn't really Secretary of the Treasury, it was Secretary of Goldman Sachs.
[01:05:59.006 --> 01:06:07.390]  In fact, one member of Clinton's cabinet who spoke to me, Joe Stiglitz, who won a Nobel Prize in Economics, he was in the cabinet.
[01:06:08.132 --> 01:06:17.697]  As head of Council of Economic Advisors, he said that during Clinton's cabinet meetings, Rubin and Summers would sit there and say, what did Goldman think of this?
[01:06:17.737 --> 01:06:18.717]  What did Goldman think of this?
[01:06:18.977 --> 01:06:23.639]  And finally Stiglitz said, well, I didn't know we were supposed to be setting policy based on what Goldman thinks.
[01:06:24.180 --> 01:06:24.880]  Goldman Sachs.
[01:06:25.000 --> 01:06:27.881]  And they looked at him like, what, did he just fill off a watermelon truck?
[01:06:28.142 --> 01:06:29.342]  You don't know how it's played?
[01:06:29.622 --> 01:06:30.903]  And who let this guy in the room?
[01:06:31.603 --> 01:06:32.424]  Who is this guy?
[01:06:32.484 --> 01:06:33.044]  Get him out of here.
[01:06:33.584 --> 01:06:38.827]  And he's got a Nobel Prize in economics, but he thought, you know, there's all these economic rules, and DAAAAMN!
[01:06:38.888 --> 01:06:39.568]  Economic rules!
[01:06:40.068 --> 01:06:45.272]  And then, but this time, those boys have run off to the Republican side this time.
[01:06:45.712 --> 01:06:46.632]  And next time, we don't know.
[01:06:47.353 --> 01:06:51.776]  Maybe the Democrats will feel punished enough to go crawling back to their billionaires.
[01:06:52.676 --> 01:06:55.978]  You know, Hillary will suck back up to them and run.
[01:06:56.379 --> 01:06:56.979]  We don't know yet.
[01:06:57.279 --> 01:07:02.463]  But all I do know is that this is about not Republicans stealing the election, not Democrats stealing the election.
[01:07:03.443 --> 01:07:06.746]  Billionaires stealing an election, and these guys are not nice.
[01:07:07.527 --> 01:07:11.851]  And if they had our country's welfare in mind, maybe.
[01:07:11.971 --> 01:07:13.632]  Maybe we can have a plutocracy.
[01:07:14.353 --> 01:07:16.555]  But I would really like to count the votes this time.
[01:07:16.595 --> 01:07:17.816]  Let's just try it out, America!
[01:07:17.996 --> 01:07:19.458]  Yeah, see what happens.
[01:07:19.858 --> 01:07:26.344]  Well, what rules do you see, or what trends do you see, that they're going to be bending in their favor after this election?
[01:07:26.384 --> 01:07:27.405]  What do you see coming down the pike?
[01:07:28.033 --> 01:07:28.874]  There's two things.
[01:07:29.034 --> 01:07:33.336]  There's taxes and there's international financial flows, which are the big thing.
[01:07:34.697 --> 01:07:42.681]  I had mentioned when I was talking with Alex, and now it's become a big, giant story, millions of hits, that I wrote this piece for.
[01:07:42.721 --> 01:07:45.223]  That's the last chapter of Billionaires and Ballot Banners.
[01:07:45.663 --> 01:07:53.048]  Mitt Romney made about $115 million on the auto bailout through buying up the auto parts company Delphi.
[01:07:54.529 --> 01:07:58.752]  And then they moved every single production job, union job, to China.
[01:07:58.992 --> 01:08:03.015]  25,000 UAW workers lost their jobs in the U.S.
[01:08:03.035 --> 01:08:04.035]  25,000 were hired in China.
[01:08:04.095 --> 01:08:05.797]  So Romney is a job creator.
[01:08:05.817 --> 01:08:07.518]  I don't want to take that away from him.
[01:08:07.558 --> 01:08:09.019]  Just the Chinese jobs, right?
[01:08:09.539 --> 01:08:14.943]  But the big thing is that they moved the corporate headquarters of Delphi, the old Delco GM's part unit,
[01:08:15.783 --> 01:08:22.770]  They moved it from Troy, Michigan to an island off the coast of France, the Isle of Jersey.
[01:08:22.810 --> 01:08:26.053]  Not like Bruce Springsteen Jersey, but off the coast of France, Jersey.
[01:08:26.433 --> 01:08:28.395]  It's a notorious tax haven.
[01:08:29.363 --> 01:08:44.752]  But, so Romney moved, and his vulture capital buddies, moved Delphi from Troy, Michigan, the auto parts division of GM, to the production to China, but the money profits to this tax haven.
[01:08:45.473 --> 01:08:56.820]  So, Romney said that if he gets elected, the first thing he's going to do is allow companies to repatriate, mean bring back their profit from offshore to the United States.
[01:08:57.060 --> 01:08:58.301]  Oh, that's an awful nice of him.
[01:08:58.641 --> 01:09:06.646]  Yeah, awful nice of him, and he himself will personally save about $30 million in taxes on just one deal.
[01:09:07.406 --> 01:09:17.312]  He sends the work to China, the company's made about $1.25 billion, his take, he will then save about $30 million personally if he does that.
[01:09:17.613 --> 01:09:20.334]  And his buddies will save billions and billions and billions.
[01:09:20.654 --> 01:09:22.936]  In fact, Obama brought up another gimmick.
[01:09:22.976 --> 01:09:24.637]  When he made that money on Delphi,
[01:09:26.337 --> 01:09:33.579]  His backers, Romney's backers, three big donors, shared a $4.2 billion gain.
[01:09:33.619 --> 01:09:35.400]  Three guys, $4.2 billion.
[01:09:35.740 --> 01:09:37.081]  Now they don't pay taxes on that.
[01:09:37.761 --> 01:09:38.501]  You're saying, what?
[01:09:40.182 --> 01:09:42.902]  It's a gimmick called carried interest.
[01:09:43.423 --> 01:09:50.285]  And when Obama was doing that, I think it was the first debate when he seemed to be dead asleep, but he suddenly said, wait.
[01:09:51.648 --> 01:09:55.292]  Um, no, no, maybe it was Biden who brought up carrier interest.
[01:09:55.312 --> 01:09:59.416]  I don't think most Americans watching had any idea what he was talking about.
[01:09:59.796 --> 01:10:06.202]  This is a tax break that basically applies just to billionaire hedge fund speculators like Romney and his buddies.
[01:10:06.923 --> 01:10:11.648]  That is worth easily $2 billion to these guys.
[01:10:12.694 --> 01:10:13.254]  So why not?
[01:10:13.835 --> 01:10:14.935]  So of course they're going to back me.
[01:10:14.955 --> 01:10:16.276]  They backed Obama to get the money.
[01:10:16.296 --> 01:10:18.457]  Now they have to back Romney so it doesn't get taxed.
[01:10:18.917 --> 01:10:19.377]  So there you go.
[01:10:19.397 --> 01:10:19.937]  So they switch.
[01:10:20.217 --> 01:10:25.200]  First you back Obama, who's for big government and therefore says, I'll write big checks for the auto bailout.
[01:10:25.620 --> 01:10:28.981]  Then you get the checks and you send it offshore and the job's offshore.
[01:10:29.501 --> 01:10:33.103]  Then you have to elect Romney so that you get to keep the money and doesn't get taxed.
[01:10:33.463 --> 01:10:35.204]  So, you know, it has nothing to do with politics.
[01:10:35.224 --> 01:10:36.344]  It's a long-term plan.
[01:10:36.404 --> 01:10:37.485]  Long-term financial plan.
[01:10:37.765 --> 01:10:38.566]  These guys are good!
[01:10:38.606 --> 01:10:44.890]  You know, I have to say, Paul Singer, who's known as the Vulture, I didn't give him that name, but you'll meet him in Billionaires and Ballot Banners.
[01:10:45.631 --> 01:10:52.536]  Singer, really, truly, is one of the most brilliant men I've ever investigated or come across.
[01:10:52.596 --> 01:10:54.758]  I mean, I'm not going to say these guys aren't smart.
[01:10:55.879 --> 01:10:59.641]  And they're too smart, too smart to join a political party.
[01:11:00.482 --> 01:11:00.742]  No, no.
[01:11:01.002 --> 01:11:01.923]  They just don't do that.
[01:11:01.943 --> 01:11:03.024]  It doesn't happen.
[01:11:03.644 --> 01:11:05.025]  They have no politics.
[01:11:05.045 --> 01:11:06.026]  They only have profit centers.
[01:11:06.046 --> 01:11:06.687]  They don't have parties.
[01:11:07.861 --> 01:11:08.581]  He said profits.
[01:11:08.981 --> 01:11:09.301]  That's it.
[01:11:10.461 --> 01:11:21.163]  In fact, Ken Langone, one of the billionaires, who is an expert at vote heists, because he's the guy that came up with the fake felon list for Florida back in 2000 that elected George Bush.
[01:11:21.443 --> 01:11:23.644]  He says, I don't donate to candidates.
[01:11:24.424 --> 01:11:25.384]  I make investments.
[01:11:25.744 --> 01:11:27.144]  Romney walked into my office.
[01:11:27.184 --> 01:11:28.365]  I'm really telling you the truth.
[01:11:28.385 --> 01:11:29.045]  This really happened.
[01:11:29.165 --> 01:11:30.005]  This is what Langone said.
[01:11:30.445 --> 01:11:34.786]  Romney walked into my office and I evaluated his campaign like I would any other investment.
[01:11:34.806 --> 01:11:35.846]  You know, what's my return?
[01:11:37.096 --> 01:11:40.399]  Whoa!
[01:11:40.419 --> 01:11:40.479]  Wow.
[01:11:40.559 --> 01:11:42.121]  What's his rate of return on the president?
[01:11:42.161 --> 01:11:42.441]  I don't know.
[01:11:42.481 --> 01:11:44.082]  He gave Romney a million.
[01:11:44.123 --> 01:11:46.084]  So what did Romney promise to return?
[01:11:46.625 --> 01:11:48.446]  That's what I'd like to know, Mr. Romney.
[01:11:48.547 --> 01:11:49.327]  What's the return?
[01:11:49.447 --> 01:11:50.709]  And am I paying for it or you?
[01:11:51.874 --> 01:11:52.735]  That's my problem.
[01:11:52.875 --> 01:11:54.677]  No, we all know we're going to pay for it in the end.
[01:11:54.977 --> 01:12:02.725]  We're going to pay for this with our blood, sweat, tears, our money, our savings, the 401Ks, anything else they haven't taken already, it's going to happen.
[01:12:03.626 --> 01:12:06.349]  What are your sources telling you on a financial collapse?
[01:12:06.369 --> 01:12:12.815]  Do you think they're going to keep this Ponzi scheme running, with the Fed just buying $40 billion each month in these securities?
[01:12:13.116 --> 01:12:14.157]  When is this going to run out?
[01:12:14.858 --> 01:12:17.399]  That's a big fight, by the way, within this elite.
[01:12:18.079 --> 01:12:19.199]  That's what's happening now.
[01:12:20.320 --> 01:12:27.342]  The JP Morgan, Citibank, United Bank of Switzerland, Bank of America, they're backing Obama.
[01:12:27.942 --> 01:12:29.163]  Because they're really afraid.
[01:12:29.203 --> 01:12:31.163]  Now, why would these big banks back Obama?
[01:12:31.603 --> 01:12:32.724]  They're really afraid.
[01:12:33.504 --> 01:12:46.768]  That the guys, that these hedge fund guys, like the Singer, the Vulture, Snake Paulson, Iceman Simmons, Koch Brothers, that these guys really have no respect for the dangers of the cliff edge.
[01:12:47.208 --> 01:12:51.050]  You know, that these guys are really pushing the entire world economy right to the edge.
[01:12:51.630 --> 01:12:58.012]  You know, like these guys, you know, that Singer threatened to blow up the entire bailout of the Euro.
[01:12:58.652 --> 01:13:02.593]  He bought up a bunch of Greek bonds with Romney, by the way.
[01:13:02.613 --> 01:13:04.133]  He's his quiet, silent partner.
[01:13:04.233 --> 01:13:05.034]  Romney got a little piece.
[01:13:05.554 --> 01:13:11.135]  Singer bought up a bunch of bonds and said, no, there's no bailout in the Eurozone unless you pay me big time.
[01:13:11.155 --> 01:13:12.975]  And he held up the whole bailout for ransom.
[01:13:13.015 --> 01:13:13.475]  He got it.
[01:13:14.116 --> 01:13:16.096]  But you know, the bankers totally flipped out.
[01:13:16.356 --> 01:13:19.537]  They can't have some guy holding up a massive bailout.
[01:13:20.637 --> 01:13:23.618]  A trillion dollar bailout of the Eurozone.
[01:13:24.557 --> 01:13:26.679]  You know, cranking it for a few extra bucks.
[01:13:26.859 --> 01:13:28.781]  So they are really upset.
[01:13:28.921 --> 01:13:30.983]  They've gone crazy over this stuff.
[01:13:31.243 --> 01:13:41.972]  There's a huge split now between, in the finance circles, with the establishment banks backing Obama and the hedge fund cowboys who are really pushing it to the edge.
[01:13:42.833 --> 01:13:45.235]  Really pushing it to the edge, backing Romney.
[01:13:45.695 --> 01:13:46.736]  So there is a split.
[01:13:46.776 --> 01:13:48.338]  I've never seen a split like this, by the way.
[01:13:48.638 --> 01:13:49.659]  It wasn't split in 08.
[01:13:50.660 --> 01:13:51.400]  And it wasn't split in 04.
[01:13:53.328 --> 01:13:54.689]  They backed Bush in 2004.
[01:13:54.729 --> 01:13:56.511]  They backed Obama in 2008.
[01:13:56.872 --> 01:13:57.533]  Now they're split.
[01:13:58.073 --> 01:13:58.734]  Kind of interesting.
[01:13:59.976 --> 01:14:02.519]  For a reporter, it's a very interesting story.
[01:14:03.004 --> 01:14:06.825]  Seeing the two management teams actually fight over the powers instead of working together.
[01:14:06.845 --> 01:14:07.945]  Yeah, it's got to be.
[01:14:07.985 --> 01:14:14.626]  You know, they're not like, you know, like when we talk about the 1% or something, it's like there's this idea that they all are one solid group.
[01:14:14.726 --> 01:14:26.749]  And it's true, they all belong to the same clubs and, you know, they all hang out together and go to each other's daughters' weddings, but there's a certain point at which there's a lot of blood on the floor at this moment, like with Argentina, for example.
[01:14:28.149 --> 01:14:31.939]  The hedge funds are going to take down Argentina and bring it to its knees.
[01:14:32.019 --> 01:14:34.284]  They see $200 billion that they can grab.
[01:14:34.324 --> 01:14:35.367]  It's a very rich place.
[01:14:36.337 --> 01:14:44.740]  On the other hand, the banks, who are getting money every year from Argentina from their old debts, and have a piece of Argentina, they don't want to kill the golden goose.
[01:14:45.580 --> 01:14:53.002]  They've got Obama going into court saying, shut down the hedge funds, and the big banks are going, losing, pulling their hair out.
[01:14:53.502 --> 01:14:55.243]  So you've got this fight over Argentina.
[01:14:55.563 --> 01:14:59.344]  You know that ship that was seized off the coast of Africa?
[01:14:59.885 --> 01:15:01.145]  You know that's Romney's company?
[01:15:02.239 --> 01:15:02.559]  Really?
[01:15:02.779 --> 01:15:03.660]  I didn't see that anywhere!
[01:15:03.700 --> 01:15:06.661]  There was a ship that looked like an old pirate ship, an old square rigger.
[01:15:07.521 --> 01:15:09.062]  Owned by the Argentine Navy.
[01:15:09.082 --> 01:15:12.404]  They sail around in it as kind of a PR diplomacy gimmick.
[01:15:14.425 --> 01:15:16.105]  And these hedge fund sharks grabbed it.
[01:15:16.145 --> 01:15:17.566]  Well, that's Romney's money!
[01:15:17.586 --> 01:15:20.727]  Romney, I think, he owns a little piece of it, a tiny piece.
[01:15:20.747 --> 01:15:21.708]  I think he gets the parrot.
[01:15:22.387 --> 01:15:23.648]  Yeah, yeah.
[01:15:23.709 --> 01:15:24.930]  I'm looking at the story right now.
[01:15:24.950 --> 01:15:25.871]  They're like pirates!
