[00:00:28.908 --> 00:00:30.789]  Good evening and welcome, ladies and gentlemen.
[00:53:05.482 --> 00:53:10.784]  And then it builds up and pushes out and flows as ice flows towards the sea.
[00:53:11.384 --> 00:53:15.205]  And always during the spring and summer, the glaciers are falling into the water.
[00:53:15.505 --> 00:53:16.246]  But they say, look!
[00:53:16.306 --> 00:53:19.887]  It's collapsing in the summer!
[00:53:21.946 --> 00:53:25.670]  Look, there's sea lions on the rocks where it was ice.
[00:53:26.071 --> 00:53:27.232]  Give Al Gore money!
[00:53:27.312 --> 00:53:28.554]  Give Rothschild money!
[00:53:30.676 --> 00:53:31.577]  World government!
[00:53:32.178 --> 00:53:34.240]  Look, polar bears can't swim!
[00:53:35.882 --> 00:53:37.604]  They can only swim 200, 300 miles.
[00:53:38.445 --> 00:53:40.087]  They say the polar bears are almost all dead.
[00:53:41.325 --> 00:53:42.647]  I keep saying their numbers have doubled.
[00:53:42.687 --> 00:53:43.789]  That's a conservative estimate.
[00:53:43.829 --> 00:53:45.392]  In many areas, there's five-fold.
[00:53:46.313 --> 00:53:46.734]  Look it up.
[00:53:47.295 --> 00:53:49.137]  Look up polar bear numbers exploding.
[00:53:50.019 --> 00:53:51.862]  They are the biggest liars.
[00:53:51.882 --> 00:53:53.104]  You know, I was in a pizza place.
[00:53:54.088 --> 00:53:54.868]  A few years ago.
[00:53:54.888 --> 00:54:03.832]  And they had children's local art projects for the environment in the entryway to this pizza place in Port Aransas, Texas.
[00:54:03.872 --> 00:54:05.092]  I was down there at the beach.
[00:54:05.992 --> 00:54:13.815]  And it was all penguins crying because there was no ice left, and polar bears who were in the water and couldn't swim, who were drowned.
[00:54:13.835 --> 00:54:17.677]  And it was all these horrified children
[00:54:19.392 --> 00:54:23.853]  Being terrified, and this is the type of garbage that we deal with.
[00:54:24.313 --> 00:54:31.615]  All right, that said, this is part of InfoWars Nightly News that goes out to our subscribers, airs on some cable systems around the United States.
[00:54:32.975 --> 00:54:41.917]  We reach on the radio 3 million people a day, 15 million a week, all total with podcasts, YouTube videos, shortwave, XM.
[00:54:43.617 --> 00:54:46.178]  It's going to be hard for them to shut me down, but they're trying.
[00:54:47.358 --> 00:54:54.901]  And I'm going to take this video right now, we normally wait a day or so before we upload it to YouTube, and I'm going to upload this InfoWars Nightly News special report right now.
[00:54:55.521 --> 00:55:16.048]  Because regardless of what you think about me and my views and my ideas, the fact that they're censoring the videos that we did and banning them and about to shut down our channel, the fact that they're doing this, and the fact that it's like the Soviet Union where some little commissar complains and they say, we agree, it's offensive,
[00:55:17.830 --> 00:55:20.731]  I can't even put videos up criticizing the TSA now.
[00:55:21.031 --> 00:55:21.791]  They take those down.
[00:55:24.352 --> 00:55:25.592]  You're like, well, go somewhere else.
[00:55:25.832 --> 00:55:28.853]  YouTube's over half the video views in the world every day.
[00:55:29.334 --> 00:55:30.254]  It's where the fight is.
[00:55:31.594 --> 00:55:34.895]  And it's a rigged game, just like Ron Paul really won those first states, they cheated him.
[00:55:35.555 --> 00:55:39.897]  We're still winning with the moral authority, but we're not going to be here if you don't support us.
[00:55:41.017 --> 00:55:43.718]  I mean, have I even told you about the dirty tricks behind the scenes?
[00:55:44.517 --> 00:55:47.779]  You know, the stuff that goes on here, you wouldn't believe it.
[00:55:47.959 --> 00:55:51.762]  I don't spend my time complaining about what's going on behind the scenes here.
[00:55:54.203 --> 00:56:00.167]  The death threats, the slap suits, all of it.
[00:56:01.328 --> 00:56:02.689]  Because I expect that.
[00:56:02.749 --> 00:56:03.570]  I'm over the target.
[00:56:03.990 --> 00:56:06.972]  And let me tell you something, as I get more and more over the target,
[00:56:08.319 --> 00:56:12.041]  You know, my grandfather, like so many other people's grandfathers, was in World War II.
[00:56:12.741 --> 00:56:18.143]  He always told my dad and my uncle, he said, oh, I was a cook in the Army Air Corps.
[00:56:19.384 --> 00:56:21.585]  And he was a cook after his 22 missions.
[00:56:22.305 --> 00:56:22.806]  That's true.
[00:56:24.466 --> 00:56:25.567]  But after he died,
[00:56:26.980 --> 00:56:35.206]  Many years after he died, they finally got into the storage there at the old farmhouse, got in the attic, and there were his annuals and letters and medals and awards.
[00:56:35.827 --> 00:56:39.690]  Because, you know, to people that have actually been in a bunch of combat, it's something they don't want to talk about.
[00:56:39.710 --> 00:56:42.131]  They're not proud of it, even if it was for a good cause.
[00:56:44.513 --> 00:56:47.916]  And I just think about
[00:56:49.141 --> 00:57:00.029]  The fact that there's that old saying, when you were going over Europe, that you knew when you got over the factories, you knew when you got over the military, you know when you got over the forces, that you were over them, because that's when you're getting the flak.
[00:57:01.510 --> 00:57:05.753]  You know, the big anti-aircraft, toon, toon, toon, toon, shooting at you.
[00:57:06.413 --> 00:57:09.416]  And then flying through all that debris and metal.
[00:57:09.716 --> 00:57:17.721]  That's what flak does, it shoots up to the altitude of the aircraft, usually about a thousand feet above, explodes with a bunch of shrapnel
[00:57:18.683 --> 00:57:24.946]  That's now moving at, you know, 500 miles an hour, and then that just rains into the aircraft as they fly through it.
[00:57:26.046 --> 00:57:34.791]  And so, it's not fun, but as we get more flack, it lets us know we're over the target.
[00:57:38.432 --> 00:57:41.614]  The issue is, though, we need support.
[00:57:42.554 --> 00:57:43.855]  We need you to buy war bonds.
[00:57:45.554 --> 00:57:50.144]  And war bonds here, we're not fun about George Soros and the New World Order, we're fun about you, the viewer, the listener.
[00:57:50.405 --> 00:57:52.630]  We know the bankers are trying to impoverish.
[00:57:52.670 --> 00:57:54.695]  You know, I've talked to Jim Tucker and others.
[00:57:56.587 --> 00:57:58.527]  And every year at Bilderberg, they throw fits.
[00:57:58.587 --> 00:58:05.069]  They say, how can there be 500 protesters outside when we're the middle of Switzerland, up in the mountains?
[00:58:05.569 --> 00:58:08.109]  It must have cost them thousands of dollars to get here.
[00:58:08.989 --> 00:58:10.510]  Shut down the economies now.
[00:58:10.650 --> 00:58:12.610]  Make them so poor they can't protest.
[00:58:13.250 --> 00:58:15.831]  Feudal lords, going back thousands of years, get that.
[00:58:16.271 --> 00:58:26.173]  Make people so poor that they're so busy trying to get an existence, claw out an existence, that they can't resist you.
[00:58:27.332 --> 00:58:28.293]  And that's what this is all about.
[00:58:28.373 --> 00:58:33.718]  That's what globalism and fake environmentalism and eugenics and Agenda 21 is all about.
[00:58:34.599 --> 00:58:41.825]  Maury Strong says, post-industrial world make you so poor that you can't resist them.
[00:58:44.408 --> 00:58:45.068]  I understand that.
[00:58:45.368 --> 00:58:47.550]  That's why we're fighting to cut taxes, we're fighting to
[00:58:48.666 --> 00:58:52.611]  Put fair tariffs on China that the globalists have teamed up with to shut down our country.
[00:58:53.172 --> 00:58:57.076]  That's why I'm working so hard to defeat these people and risking my life.
[00:58:57.617 --> 00:58:59.740]  Because I realize there's no future if we don't beat them.
[00:59:01.570 --> 00:59:13.262]  But when you do buy the high-quality water filters at Infowars.com like ProPure and get a 10% discount with the promo code WATER, when you buy the books, the videos, you get tools to wake others up, but you also financially support us.
[00:59:13.683 --> 00:59:20.510]  When you get a 15-cent-a-day membership or take the 15-day free trial and then decide to sign up at PrisonPlanet.tv, you're financing us.
[00:59:23.348 --> 00:59:33.073]  I have to deal with a lot of stuff behind the scenes, and it is the fact that you have supported us, that you've bought the books, the videos, the t-shirts over the years that has allowed us to do what we do.
[00:59:33.133 --> 00:59:38.996]  You know, we fund ourselves, good old-fashioned American way, free market, promoting things we believe in.
[00:59:39.596 --> 00:59:43.938]  Subscriptions, advertisers, books, videos, water filters, stuff like that.
[00:59:46.379 --> 00:59:47.440]  But it's not that easy.
[00:59:47.480 --> 00:59:50.902]  You know, when I get a slap suit, if I don't get the right lawyer,
[00:59:52.790 --> 00:59:53.690]  I just got one today.
[00:59:54.511 --> 01:00:02.933]  And if I don't get the right lawyer, and if I don't handle it right and deal with it just right, even though it's pure bull, they're going to win and shut us down.
[01:00:04.114 --> 01:00:10.456]  And I never come out here and basically yell and scream and whine and even tell you what's going on.
[01:00:11.716 --> 01:00:15.698]  Because we're dealing with all the attacks on the back end.
[01:00:16.378 --> 01:00:18.539]  It's just you need to understand, folks, we're getting a lot more flack.
[01:00:18.939 --> 01:00:19.779]  It's daily now.
[01:00:20.159 --> 01:00:21.600]  It's not monthly like it used to be.
[01:00:22.765 --> 01:00:22.985]  Yes.
[01:00:44.588 --> 01:00:49.811]  Becomes evident to people we become even more dangerous to the system because we've been proven right.
[01:00:50.551 --> 01:00:53.413]  Our credibility is going straight up right now.
[01:00:54.914 --> 01:00:59.316]  And the more famous I get, the more powerful I get, the more renowned I get.
[01:01:00.845 --> 01:01:05.007]  The more danger I'm in, the more danger my family's in, the more danger my crew is in.
[01:01:05.788 --> 01:01:13.952]  So, when I ask you to support us, I ask you to support us so we can give the enemy the biggest fight possible, no matter where this leads.
[01:01:14.212 --> 01:01:20.316]  Because I don't mind being killed or set up or put in prison and the FBI circling around my office as we speak right now.
[01:01:21.576 --> 01:01:32.045]  All I ask is that you empower me and get behind us spreading the word, financially supporting us, so that we can slam them as hard as we can.
[01:01:32.306 --> 01:01:34.648]  Because I don't want to fight these people in half measures.
[01:01:35.028 --> 01:01:38.251]  That's why I feel like a sack of crap most of the time.
[01:01:38.291 --> 01:01:41.994]  Because I realize that I'm the best there is, even though I'm terrible.
[01:01:42.535 --> 01:01:44.476]  That I'm on the very front lines, tip of the spear.
[01:01:45.427 --> 01:01:52.892]  That I have got an incredible responsibility and opportunity for humanity here, and I feel every second like I'm squandering it.
[01:01:53.112 --> 01:01:54.033]  But you know what?
[01:01:54.073 --> 01:01:57.075]  I can't get down on myself because I'm doing the best I can.
[01:01:57.095 --> 01:01:59.176]  So I'm going to ask you to do three things for us.
[01:01:59.717 --> 01:02:00.697]  I want you to pray for us.
[01:02:01.198 --> 01:02:04.140]  That's number one, what we rely on.
[01:02:05.460 --> 01:02:07.542]  We don't believe in miracles, we rely on them.
[01:02:08.766 --> 01:02:09.267]  Providence.
[01:02:09.327 --> 01:02:12.570]  Pray for Providence, for InfoWars, the crew and everything we do.
[01:02:12.670 --> 01:02:15.593]  They put a hedge of protection up around us while the enemy attacks us.
[01:02:16.454 --> 01:02:17.375]  We got the Devil's attention.
[01:02:17.415 --> 01:02:18.356]  We got Sauron's attention.
[01:02:18.376 --> 01:02:19.517]  We got the Great Eye's attention.
[01:02:20.418 --> 01:02:21.019]  Pray for us.
[01:02:21.940 --> 01:02:25.504]  Spread the word about what we're doing so it's not pearls before swine.
[01:02:26.745 --> 01:02:29.168]  And realize that we won't always be here if we don't defeat this.
[01:02:30.068 --> 01:02:31.170]  And financially support us.
[01:02:33.318 --> 01:02:43.693]  That said, I'm feeling really good, because I've done my best, and I realize that, you know, it is what it is, but this is the real deal.
[01:02:44.514 --> 01:02:45.836]  Toe-to-toe with the New World Order.
[01:02:46.617 --> 01:02:48.620]  And I don't want you behind me, I want you right beside me.
[01:02:49.423 --> 01:03:01.251]  All right, we're going to go to break here and come back with Jason Burmess and Aaron Dykes getting into the incredible surveillance grid, the vampire of the New World Order we're inviting into our house, the Kinect system, and more.
[01:03:01.732 --> 01:03:03.833]  Straight ahead with Aaron Dykes and Jason Burmess.
[01:03:04.133 --> 01:03:08.656]  Another extended transmission because we've got the passion and the love of liberty.
[01:03:09.057 --> 01:03:10.798]  It's InfoWars Nightly News.
[01:03:18.783 --> 01:03:21.505]  I'm announcing our biggest contest ever.
[01:03:22.545 --> 01:03:28.689]  And we're looking for people who love freedom and who want to be all in in the resistance to tyrants.
[01:03:32.451 --> 01:03:34.693]  So you say you want to fight the new world order.
[01:03:35.473 --> 01:03:41.577]  Why, if you were on the radio, if you were Alex Jones, you'd really kick some globalist ass.
[01:03:42.947 --> 01:03:43.987]  Well, here's your chance.
[01:03:44.808 --> 01:03:55.812]  We're hiring not one, but two new reporters whose reports are going to be on the radio, whose reports are going to be on the nightly news, who will even anchor the show.
[01:03:57.020 --> 01:04:04.002]  If you're ready, here's your chance to step into my shoes, and I hope you surpass what I've done.
[01:04:04.962 --> 01:04:13.525]  Two winners, $10,000 in prizes, and a shot to be a reporter inside the InfoWars.com command center.
[01:04:14.125 --> 01:04:18.146]  We're looking to hire one male reporter and one female reporter.
[01:04:19.392 --> 01:04:35.604]  And when you win, you win $5,000, your video gets seen by hundreds of thousands if not millions of people on YouTube, and you get put into the very front of the running to be hired as a reporter slash anchor right here in our operation.
[01:04:37.964 --> 01:04:40.386]  Do you have what it takes to be the next Info Warrior?
[01:04:41.287 --> 01:04:45.450]  The rules are posted below me here and at InfoWars.com.
[01:04:45.771 --> 01:04:46.791]  This is a big deal.
[01:04:47.412 --> 01:04:49.954]  You know, the globalists are expanding their global empire.
[01:04:50.354 --> 01:04:53.237]  But at the same time, the people are waking up all over the world.
[01:04:54.438 --> 01:04:56.580]  We've expanded our operations in the last year.
[01:04:56.920 --> 01:04:58.802]  We've added the nightly news five nights a week.
[01:04:59.122 --> 01:05:00.543]  We're making more special reports.
[01:05:00.963 --> 01:05:03.966]  We're reaching 15 million people every week.
[01:05:04.707 --> 01:05:06.168]  In a year, I want that to be 30 million.
[01:05:07.711 --> 01:05:09.352]  This is your chance to join the team.
[01:05:10.012 --> 01:05:11.532]  I want to see what you can do.
[01:05:12.273 --> 01:05:13.573]  But a big hint is this.
[01:05:14.313 --> 01:05:16.834]  Can your news piece make the news?
[01:05:18.135 --> 01:05:20.796]  Does it get people's attention?
[01:05:21.116 --> 01:05:22.436]  Does it educate people?
[01:05:22.656 --> 01:05:24.017]  Does it open minds?
[01:05:24.637 --> 01:05:30.879]  That's more important than being beautiful or speaking with perfect eloquence as an orator.
[01:05:32.119 --> 01:05:33.660]  All of that is important.
[01:05:34.793 --> 01:05:39.695]  But we're looking for people that have that magic spark, that fire of liberty in their heart.
[01:05:40.435 --> 01:05:42.136]  Because I want you to join our team.
[01:05:42.536 --> 01:05:47.738]  I want to give you a launch pad so you can really take off and engage the globalists.
[01:05:48.278 --> 01:05:54.180]  And if this works, we'll have contests all the time and we'll continue to build this operation.
[01:05:54.680 --> 01:06:01.803]  I'm involved in a talent search looking for people who have the fires of liberty burning in their hearts and their minds.
[01:06:03.041 --> 01:06:06.127]  You've got until April 30th to complete your news report.
[01:06:06.768 --> 01:06:09.012]  And then we'll announce the winners one week later.
[01:06:09.873 --> 01:06:11.977]  Are you gonna join the InfoWar?
[01:06:12.598 --> 01:06:13.940]  Do you have what it takes?
[01:06:15.062 --> 01:06:15.724]  It's up to you.
[01:06:18.107 --> 01:06:21.510]  All serious entries will be posted on InfoWars.com.
[01:06:22.251 --> 01:06:23.131]  So everybody wins.
[01:06:23.872 --> 01:06:27.235]  You're getting the message of liberty out, and that's what really matters.
[01:06:27.975 --> 01:06:31.478]  But in the final equation, it's not about showing Alex Jones what you got.
[01:06:31.878 --> 01:06:38.804]  It's about showing the world and the globalist that no army can stop an idea whose time has come.
[01:06:39.685 --> 01:06:41.366]  Join me in the InfoWar.
[01:06:47.265 --> 01:06:49.566]  So you say you want to fight the Infowar?
[01:06:50.406 --> 01:06:53.128]  You say you want to go head up against the New World Order?
[01:06:53.868 --> 01:06:55.649]  You can do a better job than Alex Jones?
[01:06:56.709 --> 01:06:57.569]  I know you can.
[01:06:58.450 --> 01:07:01.151]  And here's your chance to prove your mettle.
[01:07:20.526 --> 01:07:21.128]  Yeah.
[01:07:31.294 --> 01:07:32.855]  And we are back from break.
[01:07:32.875 --> 01:07:35.956]  We've discussed the shocking information about YouTube censoring us.
[01:07:35.996 --> 01:07:40.638]  We've discussed how the NSA is just building clouds of data on all Americans.
[01:07:40.978 --> 01:07:50.483]  And now we are joined by Jason Bermas to discuss how Kinect and other gaming consoles are being trolled by government agencies to collect even more data.
[01:07:51.083 --> 01:07:53.944]  Joining us now, Jason, thanks for coming on the show.
[01:07:54.625 --> 01:07:55.665]  Well, thanks for having me, Aaron.
[01:07:56.445 --> 01:07:59.427]  So break this down for us and talk about what's most important here.
[01:08:00.350 --> 01:08:14.088]  Well obviously I've been covering the Kinect device since it was Project Natal on the InfoWarrior program over at InfoWars.com almost three and a half years ago, Aaron, and now it's developed into a device that is literally in over 10 million
[01:08:15.350 --> 01:08:15.810]  I think so.
[01:08:39.955 --> 01:08:47.999]  Partners, and one of the articles that came out right around the launch of this thing was ConnectsFuture, a game controller and everything.
[01:08:48.019 --> 01:09:02.146]  And the lead developer there, Alex Kipman, kind of bragged and said that he was getting daily phone calls from the military, the healthcare industry, and the mobile phone industry on how they could utilize this technology as well.
[01:09:02.206 --> 01:09:04.888]  And in my mind right there, alarm bells
[01:09:06.028 --> 01:09:13.551]  We've already had Google brazenly come out and say that they're going to listen to our phone conversations to better advertise to us.
[01:09:13.591 --> 01:09:26.637]  They've come out with a new terms of service basically for all of their operating systems, their web browsers, their Android devices, where they can pretty much do whatever they like whether it's legal or not.
[01:09:27.177 --> 01:09:33.940]  And even, you know, a leviathan like the European Union, who I'm no fan of, has come out and said, no, Google, you can't do that.
[01:09:34.000 --> 01:09:34.980]  This is still illegal.
[01:09:35.701 --> 01:09:38.482]  So, you know, these types of things are continuing to occur.
[01:09:38.802 --> 01:09:48.186]  It was not a shock to me when just last week the military actually announced a program in which they would be hacking video game consoles.
[01:09:48.226 --> 01:09:50.587]  And of course, this spread through the web like wildfire.
[01:09:51.307 --> 01:09:55.111]  On top of that, the next day it came out that they would only be hacking foreign consoles.
[01:09:55.351 --> 01:09:56.833]  We should trust our government, Aaron.
[01:09:56.853 --> 01:09:59.776]  They've both been so honest and open with us before.
[01:10:00.336 --> 01:10:09.465]  And in doing research into seeing who they gave this contract to, it's a company called Obscure Technologies, and they are extremely obscure indeed.
[01:10:09.646 --> 01:10:12.809]  They had no website, no email contact.
[01:10:12.869 --> 01:10:13.890]  It was very difficult.
[01:10:14.210 --> 01:10:31.525]  For me to even find a phone number, and when I did call them, as you'll see in the upcoming report I did for InfoWars.com, they immediately redirected me to the Naval Postgraduate Institute, where the first response of the woman I had called said, that story's not true.
[01:10:31.785 --> 01:10:35.208]  And then when I pursued that and said, well, what about the story isn't true?
[01:10:35.248 --> 01:10:39.492]  She said, oh, well, the blogs just got a hold of it and it ran wild on the internet.
[01:10:39.512 --> 01:10:39.632]  And I
[01:10:39.872 --> 01:10:40.232]  It's
[01:10:59.178 --> 01:11:05.283]  So nothing's going on, but then of course it's run by the Naval Graduate School on behalf of Homeland Security, in other words.
[01:11:05.563 --> 01:11:06.964]  But they just want to blame the bloggers.
[01:11:07.264 --> 01:11:15.411]  And of course they've got this whole Kinect technology to make the conditioning of being watched in your living room fun and interactive, and like you're part of this game.
[01:11:15.751 --> 01:11:18.974]  And down the line, it's used for what we all know it's used for, surveillance.
[01:11:20.049 --> 01:11:22.312]  Absolutely, and I'd just like to make this clear.
[01:11:22.332 --> 01:11:24.414]  You know, technology is a double-edged sword.
[01:11:24.434 --> 01:11:26.316]  Some would say even a multifaceted sword.
[01:11:26.556 --> 01:11:29.980]  But it can be used to both empower and enslave.
[01:11:30.040 --> 01:11:32.883]  You know, it can be used to entrap or entertain.
[01:11:33.284 --> 01:11:34.986]  And sure, this device is entertaining.
[01:11:35.006 --> 01:11:37.809]  You know, doing this story, I actually borrowed my friend's Kinect.
[01:11:37.889 --> 01:11:39.291]  I used it for the very first time.
[01:11:39.651 --> 01:11:40.472]  It was rather
[01:11:40.712 --> 01:11:41.312]  I think so.
[01:12:03.237 --> 01:12:20.843]  Let it be active whatsoever, because you are literally inviting a leviathan of a corporation like Google into your home to not only better sell to you, but possibly spy on you for the NSA, for the CIA, for the FBI, sometime down the line.
[01:12:20.903 --> 01:12:28.266]  Especially when you have somebody like General Petraeus, the head of the CIA, openly saying they're now going to spy on us through our dishwashers!
[01:12:29.608 --> 01:12:44.915]  Yeah, and of course it parallels Alex Jones' warning for a decade that computers, TVs, all kinds of things were being used with hidden microphones, the available onboard microphones, the attached microphones, and other external devices to spy on us.
[01:12:44.955 --> 01:12:53.560]  He was ridiculed, it was denied, and now you have these open monitoring devices and people have enough Orwellian double think to deny that as well.
[01:12:54.240 --> 01:12:55.341]  Of course you realize that.
[01:12:55.401 --> 01:12:58.162]  Let's go to your report right now and then we'll come back with more comments.
[01:13:02.500 --> 01:13:19.232]  Hey everybody, Jason Burmess here reporting for InfoWars.com and we're going to be taking a look at one of the most intrusive and technologically advanced consumer devices that's out there today on the heels
[01:13:20.112 --> 01:13:30.376]  Of our military openly saying that they will now hack video game systems through a company called Obscure Technologies.
[01:13:30.676 --> 01:13:34.197]  And we'll get into Obscure Technologies in just a moment.
[01:13:34.778 --> 01:13:37.759]  But the Kinect device by Microsoft
[01:13:38.679 --> 01:13:43.802]  is one in which three cameras are placed on this front plate device.
[01:13:43.922 --> 01:13:48.965]  One of which is an RGB camera which sees much like you and I do.
[01:13:48.985 --> 01:13:51.907]  640 by 480 in resolution.
[01:13:52.447 --> 01:13:55.509]  It can obviously take pictures and video.
[01:13:56.289 --> 01:14:08.518]  And on top of that you have a monochrome CMOS sensor and an infrared laser projector which gets both facial recognition and motion recognition.
[01:14:09.098 --> 01:14:17.584]  Now on top of that the device also has a multi-array microphone for multiple voice recognition.
[01:14:18.024 --> 01:14:21.545]  And of course, ambient noise reduction.
[01:14:21.965 --> 01:14:35.650]  Now, this device broke all sorts of records upon its launch and right now holds the Guinness Book of World Record for the fastest selling electronic device in history.
[01:14:35.970 --> 01:14:37.451]  So essentially what you have in your living room
[01:14:52.310 --> 01:15:09.088]  is a spy device not only capable of tracking your motion, of taping your activities, but tracking, tracing, databasing, and even profiling yourself and other family members that may not even be using the device.
[01:15:09.648 --> 01:15:13.572]  In fact, I'd like to harken back to an article called Connect
[01:15:14.398 --> 01:15:16.421]  A controller in everything.
[01:15:17.202 --> 01:15:28.338]  And in this article, one of the developers, the main developer, Alex Kipman, discusses how he would like the device to be the first step in a holodeck type experience.
[01:15:29.361 --> 01:15:34.344]  And eventually, have this device be able to recognize what kind of t-shirt you're wearing.
[01:15:34.384 --> 01:15:44.490]  For instance, if you were to wear a Cincinnati Bengals t-shirt, then they would take that information and then advertise to you based along those lines.
[01:15:44.611 --> 01:15:54.317]  What sports you enjoy, what teams you follow, what other activities are in your interest, so you can be a better slave and consumer.
[01:15:55.077 --> 01:16:08.172]  Kipman also discusses in the article how the military and big business calls him almost on a daily basis to see how they can implement this technology in their arena.
[01:16:08.473 --> 01:16:10.935]  And of course this has now come into fruition.
[01:16:11.636 --> 01:16:16.800]  With the military now openly hacking video game systems everywhere.
[01:16:16.840 --> 01:16:20.483]  And let's not forget, it's not just limited to the Kinect.
[01:16:20.543 --> 01:16:25.687]  They're going to be hacking Playstations, Nintendo Wiis, and beyond folks.
[01:16:26.267 --> 01:16:28.169]  So we have to be very aware of this.
[01:16:29.329 --> 01:16:36.111]  And let's not just stop there, because the Kinect has a future even beyond the Microsoft Xbox.
[01:16:36.591 --> 01:16:43.273]  In fact, it's going to be used to control the next operating system on PCs, Windows 8.
[01:16:43.934 --> 01:16:47.635]  In fact, I was actually able to demo the controls
[01:16:48.115 --> 01:16:49.976]  About three weeks ago, in the mall.
[01:16:50.456 --> 01:16:57.020]  Now, it's already launched, but there's going to be a second Kinect, a Kinect 1.5 that launches this May.
[01:16:57.481 --> 01:17:02.924]  And again, your mouse, your keyboard, they're going to start becoming a thing of the past.
[01:17:03.877 --> 01:17:07.318]  Now, Microsoft has already foreseen this and bought in Skype.
[01:17:07.818 --> 01:17:14.439]  Now, by buying Skype up, they now have a way for people to communicate through video conferencing.
[01:17:14.699 --> 01:17:23.861]  Of course, this is built into the Kinect, and as it expands its audience, look for it to be used with other accounts like Skype.
[01:17:24.241 --> 01:17:31.662]  Let's talk about Obscure Technologies, the company that has gotten the government contract to hack video game consoles.
[01:17:32.236 --> 01:17:41.183]  When I went online to try to find out more about this company, it had no website and two very obscure addresses.
[01:17:42.504 --> 01:17:45.246]  This is what happened when I tried to call the company.
[01:17:48.789 --> 01:17:50.330]  Hi, my name is Jason Burmas.
[01:17:50.371 --> 01:17:55.815]  I'm doing a story for Infowars.com and I was trying to get a hold of somebody from Obscure Technologies.
[01:17:57.920 --> 01:18:04.393]  Yeah, we have been asked for a press request to the NPS Office for Public Affairs.
[01:18:04.914 --> 01:18:09.062]  Okay, so who would I contact for a press request?
[01:18:19.178 --> 01:18:26.380]  Now just to take it a little bit further, open source users have already really hacked the Kinect on levels never seen before.
[01:18:27.060 --> 01:18:33.041]  It's already being used to control things like Windows 7 and Google Earth and even Androids.
[01:18:33.361 --> 01:18:42.984]  And I'm not talking about your phone folks, I'm talking about actual robotics that now mimic your movement based on the motion sensors in Kinect.
[01:18:43.384 --> 01:18:46.985]  So the sky is the limit for this device, but
[01:18:48.152 --> 01:19:04.623]  Are you prepared to have a device in your home, plugged in to the internet, 24-7, 365, that could be easily hacked by not only malicious hackers out there, but your government as well.
[01:19:04.903 --> 01:19:12.348]  Especially when you have the CIA director, General Petraeus, saying that they will spy on you through your dishwasher.
[01:19:13.598 --> 01:19:18.841]  Therefore, your video game system is something they're probably already using.
[01:19:19.422 --> 01:19:36.913]  And we know through announcements from companies like Google, who now say that they're actually going to be listening in on your phone conversations, background ambient noise, to better advertise to you, that they've said that they'll use information from your webcam on your laptop.
[01:19:38.240 --> 01:19:57.925]  So I'd like this to be a warning to those out there with this device or thinking about purchasing this device that when it is not in use that you unplug it from your Xbox and unplug it from the power source because you are literally putting a multi-faceted spy device in your homes.
[01:19:59.405 --> 01:20:05.466]  Be sure to check out InfoWars.com for the latest in tech news that affects your life today.
[01:20:05.726 --> 01:20:06.607]  I'm Jason Bermes.
[01:20:06.867 --> 01:20:07.567]  Thanks for listening.
[01:20:08.851 --> 01:20:13.134]  Well, Burmish, first of all, great job on an exclusive report for InfoWars there.
[01:20:13.154 --> 01:20:14.516]  A lot of information packed in.
[01:20:14.836 --> 01:20:20.500]  The first thing that comes to mind is that Aldous Huxley Brave New World concept of people loving their servitude.
[01:20:20.520 --> 01:20:25.704]  The fact that the Kinect was the fastest selling, I guess, video game device in history.
[01:20:26.525 --> 01:20:29.387]  Opened the gates at 8 million sales in, what, two months.
[01:20:29.788 --> 01:20:31.769]  Now at over 18 million sales.
[01:20:31.849 --> 01:20:36.153]  People are really eager to sort of share that information and try to enter
[01:20:36.613 --> 01:20:38.814]  More and more into that online world.
[01:20:39.574 --> 01:20:40.934]  So that's one major theme.
[01:20:41.234 --> 01:20:45.936]  The other major theme is the overall blurring between the military and these corporate interests.
[01:20:46.296 --> 01:20:58.819]  It harkens back to the early days when the CIA first began to become unleashed and you saw really huge conflicts of interest like CIA coups in Guatemala and other Latin American countries.
[01:20:59.199 --> 01:20:59.479]  Thank you.
[01:21:16.013 --> 01:21:18.436]  Absolutely, Aaron, and they're going to continue to expand.
[01:21:18.456 --> 01:21:27.765]  And not only was the Kinect the fastest selling video game device, we're talking electronic device in history, bar none, whether it's a cell phone or any of these things.
[01:21:28.246 --> 01:21:30.028]  And let's talk about that expansion.
[01:21:30.048 --> 01:21:30.989]  You know, we talked a little bit about
[01:21:31.349 --> 01:21:40.136]  Google has a thing called Google Goggles that kind of made some pretty big headway three or four weeks ago.
[01:21:40.156 --> 01:21:43.278]  People were like, oh, augmented reality goggles, this looks really neat.
[01:21:43.298 --> 01:21:49.202]  Well, they've changed this to call it Project Glass and they've actually put out their first demo video.
[01:21:49.242 --> 01:21:49.903]  Forget about
[01:21:50.183 --> 01:21:56.366]  The fact that we now have cell phones with two high-definition cameras on them that can easily be hacked.
[01:21:56.586 --> 01:22:06.950]  There are countless YouTube videos of people being able to gain access to the audio even when the phone is not in use as long as the battery's in, as you and I are well aware.
[01:22:07.250 --> 01:22:14.133]  Well, these augmented reality glasses are literally a virtual window into your life every time you're wearing them.
[01:22:14.674 --> 01:22:17.175]  They have video capability outside.
