[00:02:32.947 --> 00:02:33.527]  Pull this over.
[02:03:57.751 --> 02:04:00.972]  And that's what we're going to do, and uphold the laws of the country.
[02:04:01.032 --> 02:04:06.713]  And if the laws are changed, we'll then change our behavior to match the laws, and we'll do so.
[02:04:06.733 --> 02:04:11.435]  And we also can only match the laws in other countries, because sometimes people will say, well, why don't you do
[02:04:12.339 --> 02:04:12.560]  Yeah.
[02:04:28.988 --> 02:04:33.691]  What about the other factors, Elon, before going to General Flynn?
[02:04:33.891 --> 02:04:39.235]  You've got, obviously, laws, but you've got the revenues for running a business, and you've got external pressure.
[02:04:39.655 --> 02:04:42.237]  How do you balance all these when fighting for free speech?
[02:04:43.158 --> 02:04:47.421]  Well, we're going to, obviously, favour free speech.
[02:04:47.461 --> 02:04:55.687]  I believe my action has been very clear in this regard, that if it is a choice between money and freedom, we will pick freedom.
[02:04:58.746 --> 02:05:01.668]  I say this, I mean it from the very bottom of my heart.
[02:05:02.789 --> 02:05:06.912]  I want to say thank you to all the viewers and listeners for supporting the broadcast over the years.
[02:05:07.392 --> 02:05:13.877]  We together have changed the world at an incredible level and I want to salute the crew as well and all of our sponsors and supporters.
[02:05:14.317 --> 02:05:18.340]  Ladies and gentlemen, wow, the fight has really been joined with a globalist.
[02:05:19.370 --> 02:05:26.875]  And as we go into 2024, the most important election in world history, it is now more important than ever to get around the censors and override the globalists.
[02:05:26.895 --> 02:05:28.556]  So keep spreading the word about the broadcast.
[02:05:28.996 --> 02:05:30.157]  Keep sharing the article's videos.
[02:05:30.557 --> 02:05:33.439]  Keep praying for the broadcast and our reporters and the crew.
[02:05:33.820 --> 02:05:35.501]  And shop at infowarestore.com.
[02:05:36.221 --> 02:05:36.982]  We're for Christmas.
[02:05:37.002 --> 02:05:38.503]  We have the biggest sales of the year.
[02:05:38.943 --> 02:05:39.984]  Double Patriot points.
[02:05:40.044 --> 02:05:41.005]  Storewide free shipping.
[02:05:41.325 --> 02:05:45.248]  Up to 60% off on products like Brain Force Plus, Brain Force Ultra.
[02:05:45.548 --> 02:05:46.909]  Turbo Force is back in stock.
[02:05:47.329 --> 02:05:48.390]  X2 is back in stock.
[02:05:48.691 --> 02:05:50.152]  Vazzo Beats is back in stock.
[02:05:50.692 --> 02:05:51.953]  Body's Ultimate Turmeric Formula.
[02:05:52.053 --> 02:05:52.694]  It's all there.
[02:05:53.054 --> 02:05:54.735]  My new book, The Great Awakening.
[02:05:54.955 --> 02:05:56.156]  Do your Christmas shopping there.
[02:05:56.196 --> 02:05:57.737]  Get great products and fund the Info War.
[02:05:57.958 --> 02:05:58.298]  Thank you.
[02:06:01.044 --> 02:06:03.185]  Waging war on corruption.
[02:06:03.706 --> 02:06:08.909]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:06:09.950 --> 02:06:13.592]  Well, Don McRae reaches tens of millions of people a day.
[02:06:13.612 --> 02:06:15.994]  He's been around for a long time and been big, but he's exploding.
[02:06:16.394 --> 02:06:19.636]  He's a 29-year-old veteran who is an independent journalist.
[02:06:19.656 --> 02:06:22.377]  He's a Christian, was born in North Augusta, South Carolina.
[02:06:22.858 --> 02:06:27.240]  Dom used to be vice president of the hip-hop record label and started speaking out in politics in 2020.
[02:06:27.300 --> 02:06:31.483]  He started posting on Twitter in November of last year and has since gained a lot of traction.
[02:06:31.803 --> 02:06:36.045]  He's at Dom underscore Lucre, L-U-C-R-E.
[02:06:36.486 --> 02:06:38.927]  And here's just a few clips he's been talking about in the last few weeks.
[02:06:39.227 --> 02:06:40.628]  This guy nails it.
[02:06:43.260 --> 02:06:47.865]  Everything that Democrats are doing to white Americans, they tested on the black community first.
[02:06:48.765 --> 02:06:51.088]  They destroyed our economy with riots and fire.
[02:06:51.801 --> 02:06:54.682]  They destroyed our birth control rates with policy.
[02:06:55.062 --> 02:06:58.023]  They destroyed our monuments under the skies of political correctness.
[02:06:58.383 --> 02:07:01.665]  They influenced our use to embrace homosexuality through music.
[02:07:02.265 --> 02:07:04.325]  They influenced our use to rebel through music.
[02:07:04.606 --> 02:07:07.106]  They refused to give us representation in Hollywood.
[02:07:07.567 --> 02:07:09.027]  They told us we weren't victims.
[02:07:09.427 --> 02:07:10.928]  They forced vaccines on us.
[02:07:11.548 --> 02:07:13.889]  And they called us conspiracy theorists when we said no.
[02:07:15.029 --> 02:07:19.871]  What's even worse, they changed our nationality through the Census Bureau more than four times.
[02:07:20.999 --> 02:07:25.661]  They assassinated our real leaders and left us with controlled opposition, such as Al Sharpton.
[02:07:26.521 --> 02:07:29.742]  They changed the color of our historical figures and ignored our outcry.
[02:07:30.623 --> 02:07:34.084]  They told the entire nation that we were a problem because we were black.
[02:07:34.624 --> 02:07:36.005]  Same thing they're doing to whites today.
[02:07:36.885 --> 02:07:38.165]  Yes, it's a cold, hard truth.
[02:07:38.746 --> 02:07:43.668]  The Democrats mastered the ability to control a race, and now they are doing the same thing to white Americans.
[02:07:44.768 --> 02:07:46.268]  This is where it truly gets worse.
[02:07:46.288 --> 02:07:50.070]  America is aware that this happened to us.
[02:07:51.389 --> 02:07:58.812]  Most of us will embrace the new propaganda and white Americans will view it as ignorant and racist the same way we did to white Americans in the past.
[02:07:59.332 --> 02:08:09.917]  So when Netflix replaced every white actor with a black one, the black community will view it as finally being represented and not notice that every white person was taken out.
[02:08:10.896 --> 02:08:17.120]  White America will notice the replacement and will rightfully speak out, but black Americans will only see the outcry.
[02:08:17.460 --> 02:08:19.942]  They will think that white Americans don't want them to have anything.
[02:08:20.502 --> 02:08:22.984]  We are living in the most powerful sign up of all time.
[02:08:24.386 --> 02:08:28.390]  The only reason that history repeats is because they remove it.
[02:08:28.450 --> 02:08:34.075]  ABC played guilty to sex trafficking charges, pedophilia charges, gruesome pedophilia.
[02:08:34.515 --> 02:08:36.977]  I gotta find his name specifically so I don't say quote it wrong.
[02:08:37.658 --> 02:08:45.245]  But he specifically fantasized about impregnating a woman simply to sexually abuse the child as soon as it was born.
[02:08:45.265 --> 02:08:46.306]  We're talking about infants.
[02:08:46.866 --> 02:08:50.508]  Very, very, very small infants that this man was fantasizing, sexualizing over.
[02:08:50.948 --> 02:08:57.812]  He was a top ABC News reporter, and not only that, what made him special was he was the specific reporter that debunked Pizzagate.
[02:08:58.313 --> 02:09:02.095]  I found that odd that he was just so personally attached to the story.
[02:09:02.635 --> 02:09:04.757]  A pedophile himself was the debunked Pizzagate.
[02:09:05.377 --> 02:09:11.801]  You know, it's kind of hard to believe a snake when you don't have their perception on the story when it's about people like him.
[02:09:13.446 --> 02:09:17.048]  The fact that there's such an outcry in the media and ABC didn't blast that story.
[02:09:17.128 --> 02:09:30.076]  So the thing is with this, if they are willing to blast the debunking of Pizzagate by the pedophile and the media calls everyone else conspiracy theorists, why can't they at least validate that they had a pedophile that was working for them?
[02:09:30.636 --> 02:09:33.318]  And this pedophile specifically had a conflict of interest.
[02:09:33.798 --> 02:09:37.501]  Now, had it been Republican, they would have pointed that out and it would have been stressed everywhere.
[02:09:39.345 --> 02:09:42.746]  Thanks to the social media, people can't sweep this stuff under the cover anymore.
[02:09:44.286 --> 02:09:49.867]  Yeah, there's been a whole bunch of reporters, one of their senior reporters got arrested trying to rape children, child porn, all of it.
[02:09:50.548 --> 02:09:52.088]  It's just absolutely out of control.
[02:09:52.228 --> 02:09:54.548]  So Dom, Lucre, I've been wanting to get you on for a while.
[02:09:55.209 --> 02:09:57.089]  Everything you say I think is dead on.
[02:09:57.169 --> 02:10:00.490]  You're really helping unify people against the globalists.
[02:10:00.510 --> 02:10:02.550]  I want to invite you back for a full hour soon.
[02:10:02.570 --> 02:10:06.551]  We've got you for about 35 minutes here today, but just God bless you because I see you.
[02:10:07.091 --> 02:10:13.500]  You know, long before I got back on Twitter, even when you first got on there a couple years ago, when I was totally censored, you were blasting us out.
[02:10:13.520 --> 02:10:15.042]  So I also want to thank you, sir.
[02:10:15.102 --> 02:10:15.723]  God bless you.
[02:10:16.403 --> 02:10:18.086]  Where do you want to start with this crazy world?
[02:10:18.126 --> 02:10:18.626]  What's going on?
[02:10:18.666 --> 02:10:20.329]  What other great knowledge you got to lay on us?
[02:10:23.248 --> 02:10:29.231]  Well, um, outside of like what I stated in the video, we're living in the greatest life, in my opinion, of all time.
[02:10:29.471 --> 02:10:36.335]  So, you know, just to start off with that and welcome back, you know, welcome back to you for leading the way and leading for the front for so many years.
[02:10:37.055 --> 02:10:43.018]  And even doing it without the support, you really are a true icon to all of us that is out there trying to present the truth.
[02:10:43.358 --> 02:10:49.001]  You do it with extremely, extremely calculated ambition and you're the role model to be.
[02:10:49.804 --> 02:10:50.684]  Well, God bless you, brother.
[02:10:50.704 --> 02:10:51.865]  Well, you're my role model.
[02:10:51.905 --> 02:10:52.785]  You nail it every time.
[02:10:53.325 --> 02:10:54.326]  Where do you want to start?
[02:10:54.506 --> 02:10:55.686]  Are we in the great awakening?
[02:10:55.746 --> 02:10:56.566]  Are we winning the war?
[02:10:56.586 --> 02:10:57.787]  Are we starting to just fight back?
[02:10:58.227 --> 02:10:59.687]  I mean, all the craziness going on.
[02:10:59.707 --> 02:11:00.648]  There's so much.
[02:11:00.668 --> 02:11:04.129]  Oh, I'm sorry.
[02:11:04.149 --> 02:11:04.349]  Yeah.
[02:11:04.589 --> 02:11:05.029]  We're winning.
[02:11:05.309 --> 02:11:06.170]  We're winning the war.
[02:11:06.550 --> 02:11:07.030]  You're back.
[02:11:07.110 --> 02:11:07.990]  We got Trump back.
[02:11:08.130 --> 02:11:09.731]  They brought Kanye West back.
[02:11:09.771 --> 02:11:14.753]  They brought so many different other creators and influential people back during this era.
[02:11:15.073 --> 02:11:17.874]  And we just see TCM with Tucker Carlson Network just launched.
[02:11:18.667 --> 02:11:22.329]  We have remnants and echoes of wins all around this year.
[02:11:22.369 --> 02:11:26.132]  Just comparing this year to last year, I feel like momentum is at an all-time high.
[02:11:27.613 --> 02:11:27.893]  I agree.
[02:11:27.913 --> 02:11:32.475]  So I got a thousand questions, but I want to give you the floor to just lay it on us what you think is front and center.
[02:11:35.998 --> 02:11:37.158]  So, what is it?
[02:11:37.178 --> 02:11:38.299]  I'm sorry, I couldn't hear the last part.
[02:11:38.459 --> 02:11:39.540]  I was saying lay it on us.
[02:11:39.580 --> 02:11:40.680]  What do you think is front and center?
[02:11:40.720 --> 02:11:41.381]  What do we do next?
[02:11:43.422 --> 02:11:50.785]  Oh, at this point really, in my opinion, is to pay attention of the division that they're going to try to start laying out.
[02:11:51.325 --> 02:11:56.187]  You know, the thing is they like to really go for race every time the election season is on the way.
[02:11:56.807 --> 02:12:00.169]  We're entering probably the most important election of our lifetime.
[02:12:00.989 --> 02:12:07.712]  I can expect a lot of propaganda that they're going to utilize with the blacks and the whites to just try to keep us divided and most importantly, keep us distracted.
[02:12:08.582 --> 02:12:10.683]  I would say we need to start looking out for distractions.
[02:12:10.743 --> 02:12:17.947]  We need to start focusing on what our electors are doing and start paying attention to when they're meeting in private and what those subjects are on.
[02:12:20.048 --> 02:12:20.608]  Absolutely.
[02:12:21.328 --> 02:12:25.730]  I know you've been concerned about an assassination of Trump and then talking about racial divisions.
[02:12:25.770 --> 02:12:26.591]  What do you think they're going to pull?
[02:12:26.611 --> 02:12:31.373]  I think they're going to do massive racial attacks with white people against black people, vice versa.
[02:12:31.673 --> 02:12:32.814]  They've been pre-programming that.
[02:12:34.835 --> 02:12:35.315]  I believe that.
[02:12:35.535 --> 02:12:36.356]  I believe that as well.
[02:12:36.836 --> 02:12:46.840]  And the thing is, they aren't doing just too, too well with it because right now President Trump, in my opinion, he has the most support that I've seen from the black community since I've been watching the entire movement.
[02:12:47.040 --> 02:12:51.682]  But outside of that, I could see them trying to plaster some
[02:12:52.242 --> 02:12:53.802]  Different type of division through race.
[02:12:54.362 --> 02:12:55.883]  A lot of things a lot of people don't know.
[02:12:56.863 --> 02:13:08.865]  They like to infiltrate black culture and black Americans and they'll infiltrate them by inserting Africans that are immigrants into America and say they represent black America and they typically are the ones that scream the loudest about racism.
[02:13:09.345 --> 02:13:12.025]  Have nothing to do with American policies or history.
[02:13:12.065 --> 02:13:12.846]  Know nothing about it.
[02:13:12.866 --> 02:13:15.766]  They're just simply saying yes, you know, to their handlers.
[02:13:16.326 --> 02:13:20.567]  So I do expect to see a whole lot of that coming up into the next year.
[02:13:21.530 --> 02:13:23.171]  You've talked a lot about Trump assassination.
[02:13:23.191 --> 02:13:24.011]  Give us your view on that.
[02:13:25.972 --> 02:13:28.552]  I don't see no one being able to actually touch President Trump.
[02:13:28.612 --> 02:13:30.133]  I do see assassination attempts.
[02:13:30.193 --> 02:13:30.793]  I do see that.
[02:13:30.893 --> 02:13:35.055]  I definitely see them trying to take him out, but I don't see anything happening to President Trump.
[02:13:35.635 --> 02:13:36.595]  I just don't see it happening.
[02:13:36.795 --> 02:13:42.457]  I don't see any knife, any bullet, any type of weapon touching him, in my opinion.
[02:13:42.737 --> 02:13:46.038]  I hope you're right, but we are winning hearts and minds.
[02:13:46.078 --> 02:13:50.720]  We are winning the war, but when you... Do you ever sit back and war game in your mind?
[02:13:51.730 --> 02:13:55.154]  What the bad guys are going to do?
[02:13:55.594 --> 02:13:59.399]  Yeah, I strategically plan every day, like even when I'm presenting my content.
[02:13:59.759 --> 02:14:02.782]  I don't present my content in the perception of what I think is real.
[02:14:03.163 --> 02:14:06.006]  I present it in those that I consider normies and what they think is real.
[02:14:06.906 --> 02:14:11.088]  So I'm constantly thinking of what the opposition is doing and how they're thinking.
[02:14:11.408 --> 02:14:12.289]  They're constantly planning.
[02:14:12.549 --> 02:14:14.490]  I'm constantly thinking of what the next move is.
[02:14:14.590 --> 02:14:15.470]  What's the globalist move?
[02:14:15.790 --> 02:14:16.691]  What's the great agenda?
[02:14:16.751 --> 02:14:24.694]  Every time there's a news piece that's posted out, I'm constantly searching to see if this is what everyone should be focused on, or is this something else that they're taking our attention from?
[02:14:26.595 --> 02:14:29.777]  Probably more than I should, I'm constantly thinking about what's the next move.
[02:14:31.727 --> 02:14:37.152]  I also saw a video you did, Elon, Alex and Klaus Schwab, Gates Debate and Duel.
[02:14:37.853 --> 02:14:43.278]  That got brought up to Elon yesterday and he said he would, oh I forgot that clip guys, find that, I didn't see it on my list.
[02:14:43.979 --> 02:14:45.601]  Try to find that before the show ends.
[02:14:45.681 --> 02:14:50.485]  Elon Musk says he will debate Klaus Schwab and I don't think Klaus Schwab would show up with that.
[02:14:50.525 --> 02:14:50.946]  What do you think?
[02:14:52.253 --> 02:14:52.793]  He wouldn't.
[02:14:53.013 --> 02:14:54.074]  No, he wouldn't show up for that.
[02:14:54.134 --> 02:14:58.417]  Him showing up for that is probably similar to Mark Zuckerberg showing up for the fight that he had with Elon Musk.
[02:14:58.457 --> 02:15:02.819]  So, I don't see Schwab showing up to answer for his crimes against humanity.
[02:15:04.180 --> 02:15:05.601]  But you brought that up first.
[02:15:05.641 --> 02:15:06.962]  What made you think of that?
[02:15:07.222 --> 02:15:08.283]  Kind of recap your video.
[02:15:08.363 --> 02:15:11.465]  Elon, Alex versus Klaus Schwab and Bill Gates.
[02:15:11.745 --> 02:15:13.746]  Because that got brought up yesterday.
[02:15:15.047 --> 02:15:16.828]  Yeah, it was, in my opinion, I think
[02:15:18.166 --> 02:15:20.568]  It would just be very interesting just to see you.
[02:15:20.628 --> 02:15:21.569]  We had a video of you.
[02:15:21.809 --> 02:15:26.072]  I think there was a meme they made of you seem like you crashed Klaus Schwab when his meetings.
[02:15:26.892 --> 02:15:30.415]  So just a discussion between all of you I think would be really interesting.
[02:15:31.936 --> 02:15:38.281]  Elon Musk, in my opinion, has more access to more data and especially through Starlink with his maps.
[02:15:39.342 --> 02:15:42.944]  I think he would be one of the best people to interview Klaus Schwab just for that alone.
[02:15:44.045 --> 02:15:45.186]  It's international information.
[02:15:46.530 --> 02:15:58.355]  You know, when I see videos, even if it's on Facebook, that's censored, that are Bill Gates or Klaus Schwab, 99% of the comments, sometimes like 10,000, and I'll read for like an hour and not find one comment for them, and people are so informed.
[02:15:58.755 --> 02:16:01.576]  Do you think Bill Gates and Klaus Schwab and them know how much they're hated?
[02:16:03.357 --> 02:16:04.257]  That's a great question.
[02:16:04.697 --> 02:16:05.697]  That's an excellent question.
[02:16:05.717 --> 02:16:07.598]  I actually do believe that, yeah.
[02:16:07.898 --> 02:16:08.879]  You know, that's great.
[02:16:08.919 --> 02:16:10.079]  I actually do believe they do.
[02:16:10.759 --> 02:16:11.260]  They know it.
[02:16:12.300 --> 02:16:14.301]  And I do believe the hate that they're given,
[02:16:15.274 --> 02:16:21.155]  It might kind of send them a little bit farther into being the radicals that they are because they feel like, well, I'm already so far gone.
[02:16:21.655 --> 02:16:23.676]  You know, these people, they've ruined their name so much.
[02:16:23.756 --> 02:16:26.876]  Klaus Schwab could legitimately attempt to cure hunger.
[02:16:27.357 --> 02:16:31.057]  Everyone's going to raise the eyebrow and question, you know, even if his tensions were to be good.
[02:16:31.877 --> 02:16:33.218]  No one would believe it to be so.
[02:16:33.458 --> 02:16:37.359]  So there's no way they've reached such a position of hate that I haven't really seen.
[02:16:37.699 --> 02:16:39.259]  There's no way they could be oblivious to it.
[02:16:40.339 --> 02:16:41.459]  Well, that's why I like you.
[02:16:41.539 --> 02:16:43.680]  You're being humble here on the show, but I watch you all the time.
[02:16:44.796 --> 02:16:48.498]  You just read my mind, because that was my next question, was your answer.
[02:16:49.419 --> 02:16:58.124]  I worry sometimes they are super evil and deserve it, but us getting on their ass, which we gotta do, just to be done with Abbott's fall, is going to make them more radical because they're cornered.
[02:16:58.384 --> 02:17:02.207]  Because the real reason they want to get rid of most of us is they already know we hated them 20 years ago.
[02:17:02.787 --> 02:17:06.910]  And now that we know what they're doing, they really know they're in trouble, which makes them even more radical.
[02:17:07.170 --> 02:17:09.772]  So now Biden's threatening World War III if we don't elect him.
[02:17:09.792 --> 02:17:13.254]  I mean, this is getting, I can't even believe how crazy this has gotten, Tom.
[02:17:14.537 --> 02:17:15.697]  Yeah, I agree.
[02:17:15.837 --> 02:17:16.238]  I agree.
[02:17:17.898 --> 02:17:21.059]  Biden's going into full totalitarian at this point, it seems.
[02:17:21.599 --> 02:17:30.583]  And one thing I do want people to pay attention to is, if they look at the control that the Democrats have for these last few years, look at the way they lashing out as if they lost control of their children or their slaves.
[02:17:31.463 --> 02:17:35.244]  They absolutely demand power, authority, and respect.
[02:17:35.424 --> 02:17:42.747]  If it dwindles by any small fraction, they lash out on the people, the same ones that they were told to help.
[02:17:43.476 --> 02:17:50.242]  I'd like to say about the Democrats with black, they don't necessarily really try to help black people, but they convince black people that they're in need of help.
[02:17:50.723 --> 02:17:52.264]  Like, that's just their thing.
[02:17:52.485 --> 02:17:53.866]  That's what their profession is at.
[02:17:54.246 --> 02:18:01.413]  It's convincing people that they need the help of not just a government official, but of the Democratic Party specifically, that only their party could solve their problems.
[02:18:01.940 --> 02:18:07.608]  Well, I want to be clear, because the media always twists everything, I'm not comparing humans, black, white, anything to a mouse.
[02:18:08.349 --> 02:18:12.215]  But, yeah, they'll give us something free, like a piece of cheese on a mouse trap.
[02:18:12.876 --> 02:18:18.184]  All this so-called free crap they're offering folks, they're going to get all that money, because now they know they're carbon taxed.
[02:18:18.584 --> 02:18:25.088]  They're global warming scams, so now it's reparations globally that the IMF, World Bank, and UN are going to handle.
[02:18:25.528 --> 02:18:39.297]  And then you know with whatever amount of money they're going to quote give people, it's going to come with strings attached, universal basic income, which they then separately say, we're going to test it out on black people, like OTIP Jesus points out, in Africa and America first.
[02:18:39.357 --> 02:18:41.759]  Man, it's because they love black people, Dom.
[02:18:43.723 --> 02:18:44.363]  Yeah, they do.
[02:18:44.383 --> 02:18:45.264]  They absolutely do.
[02:18:45.404 --> 02:18:46.784]  A lot of people aren't aware of it.
[02:19:00.094 --> 02:19:08.777]  Because the Oklahoma bombing, a lot of people like to talk about Oklahoma bombing, black people got bombed for being black and having their own civilization, whatever, this and that.
[02:19:09.198 --> 02:19:16.340]  But you know, something that the Democrats failed to mention is that the governor that ordered for the National Guard to do the bombing was a Democrat, James B.A.
[02:19:16.421 --> 02:19:18.341]  Robertson, and he served from 1919 to 1923.
[02:19:20.422 --> 02:19:23.744]  He was actually the individual that called for all those blacks to get bombed.
[02:19:24.264 --> 02:19:29.246]  Seneca Village used to be, well Central Park in New York used to be Seneca Village, used to be a black village.
[02:19:43.172 --> 02:19:44.034]  It's in the history books.
[02:19:44.074 --> 02:19:45.556]  My dad saw it growing up in East Texas.
[02:19:45.856 --> 02:19:50.704]  Black people had hotels and restaurants as nice as the white people's and there was elite jealousy.
[02:19:50.864 --> 02:19:51.065]  Yes.
[02:19:52.307 --> 02:19:52.507]  Yes.
[02:19:53.127 --> 02:19:55.408]  It was only jealousy by those as jealous as the Democrats.
[02:19:55.449 --> 02:20:06.114]  The conservative-minded people, the conservative-minded Americans, they had no reason to be jealous because they understood that blacks attained that by taking advantage of capitalism, by believing in the conservative ideologies.
[02:20:06.434 --> 02:20:08.735]  The liberals, they believed in these socialist ideologies.
[02:20:08.775 --> 02:20:10.255]  They felt like they needed a piece of the pie.
[02:20:10.516 --> 02:20:11.516]  It was them that was burning.
[02:20:11.676 --> 02:20:12.797]  It was them that was riding.
[02:20:13.077 --> 02:20:14.778]  They felt like they were the ones that was deserving.
[02:20:15.418 --> 02:20:19.660]  And so for those that don't know history, tell them about the sabotage of black civilization.
[02:20:21.886 --> 02:20:31.170]  So, right before segregation and everything, we actually had the Civil Rights Act of 1964.
[02:20:31.871 --> 02:20:39.094]  Now, the thing about the Civil Rights Act of 1964 was introduced with LBJ, which is conveniently after JFK was assassinated.
[02:20:39.114 --> 02:20:40.675]  Now, the problem with that is
[02:20:41.488 --> 02:20:48.810]  There are FBI documents that somewhat validate that LBJ was a Klans member, a Kegel of the Klans.
[02:20:49.410 --> 02:20:51.230]  That's neither here nor there, if that's true or not.
[02:20:51.270 --> 02:20:53.411]  He's done a lot of racism throughout his history.
[02:20:53.931 --> 02:21:03.393]  But prior to 1964, every census from 1890 to 1950 showed that the black labor force participation rates was higher than any of those of the rights.
[02:21:03.433 --> 02:21:05.173]  So there were more black people that was working.
[02:21:05.873 --> 02:21:08.514]  1950, 70% of all black men and 18% of all black women had been married.
[02:21:10.535 --> 02:21:16.905]  Pregnancies had been decreasing, both poverty and dependency were declining, and black income was raised in both absolute and relative terms.
[02:21:17.385 --> 02:21:19.789]  In 1965, 76.4% of black children were born to married women.
[02:21:24.378 --> 02:21:25.299]  And that's just 1965.
[02:21:26.139 --> 02:21:26.860]  And it's strange to me.
[02:21:26.920 --> 02:21:28.861]  I mean, these facts, I could keep going on with that.
[02:21:29.141 --> 02:21:31.963]  But just those enough is enough to destroy an entire civilization.
[02:21:32.363 --> 02:21:34.564]  And they introduced that with the Democrats.
[02:21:34.584 --> 02:21:36.686]  That's why the Democrats like to throw it in everyone's face at school.
[02:21:37.166 --> 02:21:38.046]  Oh, we did civil rights.
[02:21:38.086 --> 02:21:38.947]  Oh, we did civil rights.
[02:21:39.027 --> 02:21:42.249]  But why were we better prior to you and your civil rights movement?
[02:21:43.007 --> 02:21:47.210]  Why were blacks doing better prior to the Democrats infiltrated it with the civil rights movement?
[02:21:47.550 --> 02:21:49.151]  And why did they utilize LBJ?
[02:21:49.511 --> 02:21:51.213]  Why didn't JFK introduce it?
[02:21:51.673 --> 02:21:54.235]  You know, why wasn't this implemented?
[02:21:54.275 --> 02:22:02.700]  Because it wasn't that civil rights was bad, within it became the welfare state, the control, which is the global social credit score for everybody now, which is what?
[02:22:02.801 --> 02:22:07.404]  Get rid of civilization and industrial society now for everybody.
[02:22:08.064 --> 02:22:11.347]  So it's 2.0 and people can read the LBJ letters.
[02:22:11.387 --> 02:22:13.068]  Just type in racist LBJ letters.
[02:22:13.448 --> 02:22:15.790]  They're at the University of Texas at his library.
[02:22:16.231 --> 02:22:17.171]  There's hundreds of them.
[02:22:17.652 --> 02:22:21.375]  And he says these, I'm not going to even quote it, it's going to be taken out of context, say I said it.
[02:22:21.675 --> 02:22:24.117]  He says these uppity black people, we're going to have control of them.
[02:22:24.137 --> 02:22:26.239]  We're going to have them voting Democrat for 100 years.
[02:22:26.259 --> 02:22:26.959]  We'll show them.
[02:22:26.979 --> 02:22:29.862]  I mean, and now they're going to show us all.
[02:22:32.456 --> 02:22:33.597]  They just copied and pasted.
[02:22:33.617 --> 02:22:34.738]  They copied and pasted everything.
[02:22:35.299 --> 02:22:38.562]  Every single thing that they did to the blacks, they said that we can do it to everyone else.
[02:22:38.943 --> 02:22:39.863]  And it's done with propaganda.
[02:22:39.883 --> 02:22:41.565]  I like something that you said in the space yesterday.
[02:22:42.026 --> 02:22:43.907]  And it made a lot of sense to me, just in case.
[02:22:43.967 --> 02:22:47.050]  I mean, just with the division we had for a while, you say, hey, they wasn't really after me.
[02:22:47.491 --> 02:22:50.554]  They were after the fact of seeing if they attacked me, who would defend me or not.
[02:22:51.134 --> 02:22:52.215]  And they psyoped us.
[02:22:52.335 --> 02:22:53.515]  They psyoped conservatives.
[02:22:53.555 --> 02:22:55.656]  They psyoped liberals to not stamp Alex Jones.
[02:22:55.717 --> 02:22:56.537]  He's the crazy nut.
[02:22:56.877 --> 02:22:57.698]  He's this and he's that.
[02:22:58.058 --> 02:23:02.900]  They did the same thing similar to black people by telling people not to pay them no mind when they were complaining about the syphilis shot.
[02:23:03.180 --> 02:23:05.682]  Telling people not to pay them no mind when they said the government was doing them wrong.
[02:23:05.922 --> 02:23:08.563]  That the police and the laws could be against them and it could be weaponized.
[02:23:08.943 --> 02:23:12.045]  They psyoped America into thinking that these were the criminals.
[02:23:12.525 --> 02:23:13.586]  They were speaking truth then.
[02:23:13.886 --> 02:23:15.026]  Same thing like Alex Jones.
[02:23:15.086 --> 02:23:18.068]  Now, they just copy and pasted strategies of the vision.
[02:23:18.760 --> 02:23:23.345]  They first slander the person, assassinate the character, and then they go for the assassination.
[02:23:25.087 --> 02:23:25.427]  That's right.
[02:23:25.487 --> 02:23:27.229]  First they kill your name, then they kill you.
[02:23:27.289 --> 02:23:27.710]  Keep going.
[02:23:29.494 --> 02:23:33.336]  But yeah, it's just truthfully, that's just what I've seen that's going on in America.
[02:23:33.396 --> 02:23:38.079]  And I think that's exactly what we're seeing right now through white America, because he went homosexuality.
[02:23:38.119 --> 02:23:40.961]  You got Dylan Mulvaney, and they're pushing the guy really hard.
[02:23:41.001 --> 02:23:42.582]  I mean, you know, it is what it is.
[02:23:42.602 --> 02:23:46.204]  You want to be gay, you want to be gay, but it's undeniable that he's being pushed hard.
[02:23:46.624 --> 02:23:54.149]  And they did that in the black community, putting dresses on our rappers, making our rappers have homosexual slang, you know, the sagging of the pants.
[02:23:54.449 --> 02:23:56.770]  It was a lot of things that they eased into.
[02:23:56.971 --> 02:23:58.972]  It's a lot of things that they eased into slowly over time.
[02:23:59.792 --> 02:24:02.934]  And we're starting to see that also with the white Americans or even with the crime state.
[02:24:02.954 --> 02:24:06.896]  We can see that the crime rates are going up higher for the Caucasians in America as well.
[02:24:06.996 --> 02:24:09.677]  And I feel like it's a lot of things that we've seen in the black families first.
[02:24:10.277 --> 02:24:11.238]  Even the replacement.
[02:24:11.558 --> 02:24:12.238]  There's no doubt.
[02:24:12.298 --> 02:24:15.740]  You go to Netflix or you go to any of these large networks.
[02:24:16.100 --> 02:24:21.082]  It's a large representation of black and they're not doing that to give black people any type of representation.
[02:24:21.323 --> 02:24:25.965]  They're simply doing that to piss everyone else off because they make sure that they over ratio.
[02:24:26.345 --> 02:24:28.346]  The amount of white people that's there for black people.
[02:24:28.406 --> 02:24:28.806]  It's simple.
[02:24:28.826 --> 02:24:29.287]  It's simple.
