[00:00:00.129 --> 00:00:01.929]  It's Alex Jones.
[00:45:19.862 --> 00:45:24.808]  And then we wonder why people are so dumb and why society is falling apart all around us.
[00:45:25.469 --> 00:45:29.475]  Ladies and gentlemen, we have the cleanest, best, highest quality iodine.
[00:45:29.935 --> 00:45:39.986]  We have all three types, nascent, deep earth crystal, pure atomic iodine, and then two other types that help synergistically boost that, according to the experts that we did the research with.
[00:45:40.527 --> 00:45:47.574]  This product's been sold out for more than six months, but it's finally back in stock at InfoWarsStore.com or call toll-free, 888-253-3139.
[00:45:49.977 --> 00:45:57.846]  But whatever you do, please look into the iodine deficiency, please research it for yourself, and please find out how important it is.
[00:45:58.086 --> 00:46:00.989]  Because no one else has this iodine that we have.
[00:46:01.170 --> 00:46:06.476]  But some Himalayan salts that are billions of years old do actually have the triiodine in it.
[00:46:06.796 --> 00:46:08.178]  So wherever you get it, get it now.
[00:46:10.905 --> 00:46:14.246]  Best-selling author Kent Hecking Lively and a really smart guy is here in studio.
[00:46:14.666 --> 00:46:21.968]  I'm trying to convince him to change his flight from tomorrow morning to tomorrow evening back to the beautiful place he lives there in California wine country.
[00:46:22.428 --> 00:46:24.688]  But I have been unable to get him to do that.
[00:46:24.988 --> 00:46:25.528]  We'll see.
[00:46:25.849 --> 00:46:27.229]  He's told me an incredible story behind the scenes.
[00:46:27.249 --> 00:46:28.369]  I understand why he probably has to go.
[00:46:28.629 --> 00:46:30.470]  But you're welcome to stay and come on for an hour tomorrow.
[00:46:30.710 --> 00:46:33.910]  And I'm sure you can get on Owen's show and on Harrison Smith's show.
[00:46:33.930 --> 00:46:35.951]  But you did a great plug for Brain Force.
[00:46:36.352 --> 00:46:41.031]   plus but you got cut off by the break so we'll actually run it as an ad but maybe
[00:46:41.031 --> 00:46:44.031]   spend a minute two minutes your experience with this new trophy.
[00:46:44.031 --> 00:46:53.656]   Yeah so I've published 12 books I've got four in press now coming out in the next year.
[00:46:54.357 --> 00:46:58.980]  And what I always need is I always need some sort of boost in the morning.
[00:46:59.000 --> 00:47:02.903]  And so, you know, I try to exercise, eat well, take good vitamins.
[00:47:02.943 --> 00:47:08.166]  But the one thing that I have really found that makes a difference is brain force.
[00:47:08.507 --> 00:47:14.671]  I'll take brain force in the morning, right before I go to my computer, and I'm good for the next four or five hours.
[00:47:17.033 --> 00:47:30.144]  Well, it's just a good stable base for energy that won't conflict with coffee or tea or other things.
[00:47:30.164 --> 00:47:32.065]  It won't conflict with people's medications in most cases.
[00:47:32.366 --> 00:47:37.750]  It's a good, safe, natural, nootropic with other key vitamins and minerals and amino acids that are known to boost thought.
[00:47:38.131 --> 00:47:39.251]  Then we've got brain force.
[00:47:40.350 --> 00:47:45.857]  Ultra, that is super fast acting within 15 minutes, and it only lasts about 2-3 hours.
[00:47:45.877 --> 00:47:54.708]  I said, I want some super fast acting, clean thing, but I've got to stay up late, I'm tired, say at 8 o'clock, take it to an interview, be done at midnight, and go right to sleep.
[00:47:54.968 --> 00:47:55.909]  That's what Ultra does.
[00:47:56.970 --> 00:48:04.053]  And then there's TurboForce that's 10 hours of clean energy, 5 different natural stimulants, that time release, and a bunch of amino acids and other compounds.
[00:48:04.313 --> 00:48:08.355]  So it's like the flame-breathing dragon, you know, crazy time deal.
[00:48:08.575 --> 00:48:12.116]  If you've got to put on, say, a 5-hour rock concert, you've got to get ready for 5 hours before.
[00:48:12.917 --> 00:48:15.838]  But then BrainForce Plus is just the base.
[00:48:16.258 --> 00:48:23.832]   And then BrainForce Ultra is that literal special thing that has I mean, I see it as a almost like a psychotropic.
[00:48:23.852 --> 00:48:26.434]  It doesn't make you get high or anything, but it's it's amazing.
[00:48:26.474 --> 00:48:30.738]  So get them all at info war store dot com or call toll free.
[00:48:30.858 --> 00:48:32.179]  Triple 82533139.
[00:48:33.501 --> 00:48:35.002]  People say, Why do you have three new tropics?
[00:48:35.022 --> 00:48:37.204]  Well, because there's different genres.
[00:48:37.224 --> 00:48:37.684]  There's different.
[00:48:39.395 --> 00:48:43.938]  There's the hydrogen bomb, there's the sniper rifle, and then there's the sword.
[00:48:44.298 --> 00:48:46.620]  But there are a lot of different things, different ways.
[00:48:46.940 --> 00:48:47.640]  We take them together.
[00:48:47.820 --> 00:48:48.261]  Look out.
[00:48:48.401 --> 00:48:53.221]  available info or store dot com or triple 8 2 5 3 3 1 3 9.
[00:48:53.221 --> 00:48:58.590]   Now can't we're in this little no man's land before we Before we go to break and bring in Judy a Michael. It's
[00:48:58.590 --> 00:49:09.561]   just such a patron such a hero Spend a minute and a half or so, because we're going to run this as well, explain to people what this new book that I'm writing with you is going to break down.
[00:49:09.601 --> 00:49:13.266]  The Great Awakening, Defeating the Globalist, and Launching the Next Great Renaissance.
[00:49:13.868 --> 00:49:18.592]  Well, you know, Alex, I think that what people really need is some hope.
[00:49:19.513 --> 00:49:24.858]  They need to understand what's going on with the world, but then they want to read something positive.
[00:49:25.418 --> 00:49:37.020]   And time and time again, in every chapter that I'm working on, I find the hand of God Moving our world in a positive direction.
[00:49:37.460 --> 00:49:40.984]  I mean, I look at what's happening in the political world.
[00:49:41.044 --> 00:49:44.688]  I mean, you have Trump staying strong against the other rhinos.
[00:49:45.148 --> 00:49:46.730]  You have RFK Jr.
[00:49:47.010 --> 00:49:54.118]  rescuing the Democratic Party and returning it to the honor of people like Harry Truman and John F. Kennedy.
[00:49:54.688 --> 00:50:01.118]  And then you've got the new generation, Vivek Ramaswamy, showing that the American Dream is still alive.
[00:50:01.698 --> 00:50:18.370]   And in every aspect of when I think I'm going into a chapter and I'm wondering if it's going to be dark, I find this incredible light, like when I was going into the fact that you've all know a Harari talks about useless eaters, okay?
[00:50:18.670 --> 00:50:23.853]  And I hear the dog whistle of genocide when he says- That's a Hitler statement!
[00:50:23.953 --> 00:50:24.694]  Yeah, yeah.
[00:50:25.474 --> 00:50:27.076]  The useless eaters.
[00:50:27.836 --> 00:50:35.643]  And, you know, the way he's selling it is he's selling it as, well, what we're going to have to do with people is we're going to have to give them drugs and computer games.
[00:50:36.003 --> 00:50:38.605]  So Mark Zuckerberg comes around with meta.
[00:50:38.865 --> 00:50:39.686]  Well, what does he do?
[00:50:39.946 --> 00:50:40.587]  He loses!
[00:50:40.967 --> 00:50:42.109]  Billions on it!
[00:50:42.189 --> 00:50:43.511]  People totally reject it.
[00:50:43.351 --> 00:50:48.550]   If you go back to Why the Future Didn't Need Us, a big article in Wire magazine by the
[00:50:48.550 --> 00:50:53.269]   head of Sunt Microsystems 23 years ago, they met at a big computer meeting and decided
[00:50:53.269 --> 00:51:12.590]  to give us computer games and drugs instead of killing us.
[00:51:12.590 --> 00:51:15.671]  Breaking news, the president declaring a national emergency.
[00:51:15.686 --> 00:51:17.447]  The new stay-at-home order.
[00:51:17.947 --> 00:51:18.988]  We will shut you down.
[00:51:19.048 --> 00:51:21.449]  Don't think you can get on a plane or a train.
[00:51:21.549 --> 00:51:24.291]  This is a pandemic of the unvaccinated.
[00:51:24.411 --> 00:51:26.192]  And we will take you to jail.
[00:51:26.232 --> 00:51:27.893]  We've got to get them vaccinated.
[00:51:29.334 --> 00:51:31.235]  Or we will keep you in a facility longer.
[00:51:31.255 --> 00:51:40.360]  As the world was descending into synchronized tyranny, I began to ask myself, how did they get everyone to go along with this?
[00:51:41.544 --> 00:51:42.485]  Oh, it feels so good.
[00:51:42.505 --> 00:51:42.705]  I know.
[00:51:44.446 --> 00:51:52.249]  Obsessed with finding the answer, I began studying every moment in recorded history where masses of people acted against their own self-interest.
[00:51:54.070 --> 00:51:57.672]  The only mechanism that could explain what was happening in society.
[00:51:59.193 --> 00:52:03.193]   Freedom, is a schmuck, was what is usually referred to as mass formation.
[00:52:03.193 --> 00:52:08.273]   Here we are now with an economy in crisis, but with an incredible opportunity, unprecedented
[00:52:08.273 --> 00:52:10.112]  opportunity for a reset.
[00:52:10.112 --> 00:52:14.994]   The Royal Highnesses, distinguished heads of state and government, the future is built
[00:52:14.994 --> 00:52:15.994]  by us.
[00:52:15.994 --> 00:52:18.913]  We need a great reset.
[00:52:18.913 --> 00:52:26.114]   When they say you'll be happy, what they mean is you'll be enslaved.
[00:52:26.114 --> 00:52:30.994]   Today we have the technology to hack human beings on a massive scale.
[00:52:31.200 --> 00:52:35.301]  Who masters those technologies will be the master of the world.
[00:52:36.642 --> 00:52:43.723]  Those who control the data control the future, not just of humanity, but the future of life itself.
[00:52:46.104 --> 00:52:51.065]  Every aspect of our life has been infiltrated by people that do not have our best interests at heart.
[00:52:51.533 --> 00:52:55.755]  There are forces using fear and isolation to induce mass psychosis.
[00:52:55.835 --> 00:52:57.255]  I don't want you to be hopeful.
[00:52:57.275 --> 00:52:57.895]  Climinal doom.
[00:52:57.955 --> 00:52:58.316]  Fires.
[00:52:58.456 --> 00:52:59.296]  I want you to panic.
[00:52:59.316 --> 00:52:59.816]  Storms.
[00:52:59.876 --> 00:53:00.917]  It will kill your children.
[00:53:00.937 --> 00:53:03.518]  I want you to feel the fear I feel every day.
[00:53:03.538 --> 00:53:04.818]  People are starting to wake up.
[00:53:04.838 --> 00:53:05.759]  They're starting to wake up.
[00:53:05.799 --> 00:53:06.799]  Across the world.
[00:53:09.784 --> 00:53:15.546]  I'm seeing people come together from all walks of life, finally saying enough is enough.
[00:53:15.586 --> 00:53:16.887]  We didn't come here for no reason.
[00:53:16.927 --> 00:53:17.647]  We have a voice.
[00:53:17.667 --> 00:53:18.507]  We're here to share it.
[00:53:18.567 --> 00:53:19.728]  We have to be the solution.
[00:53:19.768 --> 00:53:23.569]  We cannot rely on the media, the president, or whoever to fix these problems.
[00:53:23.829 --> 00:53:29.131]  I would rather pick up cans on the side of the highway than to live out of alignment with my truth.
[00:53:29.291 --> 00:53:31.352]  We're all being driven back to the dream.
[00:53:32.466 --> 00:53:42.711]  As you see in the audience, Democrats, Republicans, white, black, everyone all in between, this is the example that they do not want to see, but they have no choice.
[00:53:42.911 --> 00:53:46.792]  The masses of humanity have been slapped awake.
[00:53:47.293 --> 00:53:48.213]  Open your eyes.
[00:53:48.673 --> 00:53:50.134]  It's time to wake up.
[00:53:55.056 --> 00:53:57.277]  This is The Great Awakening.
[00:53:59.710 --> 00:54:02.399]  People cannot go back into the Matrix now.
[00:54:03.844 --> 00:54:04.947]  A lot of people are trying to.
[00:54:06.252 --> 00:54:08.252]  They can't.
[00:54:08.252 --> 00:54:11.252]  Psst. Pass it on.
[00:54:11.252 --> 00:54:14.252]  [Train whistle]
[00:54:14.252 --> 00:54:33.252]   Well, we're now into hour number two of this live Sunday worldwide broadcast
[00:54:33.252 --> 00:54:35.812]  that the establishments battle to keep off the air.
[00:54:35.850 --> 00:54:38.071]  But evil's not the only force in the universe.
[00:54:38.111 --> 00:54:40.013]  Good is there because of you, the viewers and listeners.
[00:54:40.653 --> 00:54:44.655]  Because of your support, your word of mouth, and prayers, we're still here in many ways stronger than ever, though scarred.
[00:54:46.678 --> 00:54:47.718]  Certainly stronger than ever.
[00:54:48.238 --> 00:54:49.939]  Dr. Judy Minkovits is here with us.
[00:54:50.659 --> 00:54:52.599]  She's got an incredible bio.
[00:54:52.619 --> 00:54:57.520]  She's a former political prisoner put in prison by Fauci for exposing his plans.
[00:54:58.221 --> 00:55:00.101]  The real DrJudy.com.
[00:55:00.641 --> 00:55:08.503]  And it was Kent who's here and was her co-author at Heckin Lively that helped get the first what became best-selling book out.
[00:55:09.977 --> 00:55:20.839]  There have now been several he's written with her, that then inspired Mickey Willis, who was already a very successful Hollywood director, but who'd woken up to make the first plan, and now the second, now the third.
[00:55:20.859 --> 00:55:23.839]  They've all been powerful, but the third one is incredible.
[00:55:24.339 --> 00:55:27.080]  So, Dr. Judy Mikovits, I really appreciate you.
[00:55:27.100 --> 00:55:28.240]  It was amazing last night.
[00:55:28.280 --> 00:55:32.161]  You feel like we're winning and we've turned the corner, even though the enemy's planning new attacks.
[00:55:32.481 --> 00:55:34.801]  Give us your take on the film and why it's so important.
[00:55:35.421 --> 00:55:37.382]  The last film's been seen by hundreds of millions of people.
[00:55:37.762 --> 00:55:40.743]   This one is destined to reach Tens of millions, bare minimum.
[00:55:41.805 --> 00:55:42.405]  Probably more.
[00:55:42.946 --> 00:55:46.290]  You seem very, very upbeat right now that the enemy's in a lot of trouble.
[00:55:46.650 --> 00:55:48.412]  And we see evidence of this all over the news.
[00:55:48.953 --> 00:55:54.379]  Even MSNBC and CNBC reporting that, okay, Jamie Foxx took the shot that might kill him.
[00:55:54.459 --> 00:55:56.282]  I mean, the dam has broken.
[00:55:56.362 --> 00:55:57.363]  Where do you see this going?
[00:55:57.403 --> 00:55:58.264]  Where are we in history?
[00:55:59.286 --> 00:56:01.268]  Well, we are at that renaissance.
[00:56:01.428 --> 00:56:03.190]  We are at that great awakening.
[00:56:03.330 --> 00:56:05.152]  And I did just buy the book, by the way.
[00:56:05.993 --> 00:56:06.574]  Thank you.
[00:56:06.934 --> 00:56:12.380]  We are at that renaissance and at that great awakening that we have won this.
[00:56:12.500 --> 00:56:13.601]  It's not we're winning.
[00:56:14.162 --> 00:56:16.885]  It's when we can talk to each other and see the perspective.
[00:56:16.985 --> 00:56:21.490]  And it was really interesting why I am so upbeat about the film last night.
[00:56:21.909 --> 00:56:29.151]  Was how Mickey did it in the rough cut formats and then listened to the audience and looked at the audience perspective.
[00:56:29.431 --> 00:56:32.931]  So he was panning the audience as they were watching real time.
[00:56:33.291 --> 00:56:38.552]  What G. Edward Griffin was telling us in the 1960s, 70s, 80s.
[00:56:38.933 --> 00:56:45.014]  So it goes back to HIV AIDS and it shows you COVID and it shows you same playbook.
[00:56:45.234 --> 00:56:46.594]  And they killed the director's brother.
[00:56:46.634 --> 00:56:50.035]  I mean, you start getting, he starts coming home how bad they've hurt us.
[00:56:51.016 --> 00:56:53.560]  My grandmother paralyzed her daughter, told her, from the polio.
[00:56:54.741 --> 00:56:54.922]  Oral.
[00:56:55.450 --> 00:57:09.461]  But what we showed was, even through the injury, even through the censor, if we keep talking to each other and we keep looking at the perspective, you said right there and then, Mickey Willis, you know, his brother died of AIDS.
[00:57:10.122 --> 00:57:10.502]  AZT.
[00:57:10.722 --> 00:57:11.303]  AZT.
[00:57:11.623 --> 00:57:20.750]  But when Mickey and I sat down and talked about our story, this whole story through Plague of Corruption, it was supposed to be a promotional video.
[00:57:21.071 --> 00:57:25.474]   And we sat for weeks and I talked about my arrest and my jailing and nothing Hit him.
[00:57:25.534 --> 00:57:29.219]  And then one day he said, you know, my brother died of AZT.
[00:57:29.919 --> 00:57:32.743]  And I said, without missing a beat, I said, don't you mean AIDS?
[00:57:33.103 --> 00:57:36.487]  And we looked up at each other and we looked up at each other and we both just.
[00:57:37.288 --> 00:57:42.073]  And then I stopped myself and I said, oh, no, he was an antibody positive.
[00:57:42.533 --> 00:57:43.475]  He wasn't immune.
[00:57:43.935 --> 00:57:46.458]  He wasn't injected when he was already infected.
[00:57:47.425 --> 00:57:51.048]  And Mickey's just slowly shaking his head.
[00:57:51.068 --> 00:57:53.690]  So here he was, hired to make a promotional video for the book.
[00:57:53.770 --> 00:57:54.411]  That's what he does.
[00:57:54.491 --> 00:57:55.091]  He makes movies.
[00:57:55.592 --> 00:57:57.053]  And all of a sudden, he knows you're telling the truth.
[00:57:57.073 --> 00:57:57.753]  This happened to his brother.
[00:57:57.773 --> 00:57:59.294]  And then he starts sharing with you.
[00:57:59.315 --> 00:58:01.096]  And then it becomes films.
[00:58:01.376 --> 00:58:02.157]  It becomes all this.
[00:58:02.217 --> 00:58:03.358]  It's reached hundreds of millions of people.
[00:58:03.638 --> 00:58:06.040]  Boy, I bet Fauci isn't feeling too good right now.
[00:58:06.560 --> 00:58:09.042]  Yeah, and what's important about that is showing the perspective.
[00:58:09.062 --> 00:58:09.843]  Brilliantly in the show last night.
[00:58:09.663 --> 00:58:13.663]   and put in prison. But regardless, he's been convicted in the court of global public opinion
[00:58:13.663 --> 00:58:19.342]   as a mass murdering Joseph Mingala 2.0. Yeah, and what's important about that is showing
[00:58:19.342 --> 00:58:24.543]   the perspective brilliantly in the show last night. Watch it when you show it again in
[00:58:24.543 --> 00:58:33.742]   an hour because Fauci is only portrayed is what he did in AIDS and then compared to 1986
[00:58:34.221 --> 00:58:36.943]  The same playbook.
[00:58:37.584 --> 00:58:44.549]  Any criminologist will tell you, particularly the higher functioning psychopaths, follow exact crimes and do them over and over again exactly the same.
[00:58:45.309 --> 00:58:48.752]  And nowhere could you say this is an anti-vaxxer meeting.
[00:58:49.352 --> 00:58:57.276]  You don't, he doesn't show any of the doctors, not Dr. Tenpenny, not Paul Thomas, not Andy Wakefield, not Judy Mikevitz.
[00:58:57.596 --> 00:58:59.057]  He doesn't show any of that.
[00:58:59.457 --> 00:59:11.783]  And the Robert Malone's or the Frank Rossetti's, our book, Ending Plague, the staunch NCI, all of a sudden are coming through and saying, yeah, when they can hear us, when they can listen.
[00:59:12.104 --> 00:59:13.764]  So it wasn't that they could see us.
[00:59:14.225 --> 00:59:16.346]  It's that they could hear us.
[00:59:16.866 --> 00:59:20.308]  We have been silent so long, censored so long.
[00:59:20.528 --> 00:59:28.873]  You know what has been so exciting for me in this journey with Judy, is Judy was the original gangster, okay?
[00:59:29.174 --> 00:59:35.177]  She was the first one out there, 2014, when our book came out and we went after Fauci in it.
[00:59:35.758 --> 00:59:37.999]  Nobody was hearing us about Fauci.
[00:59:38.439 --> 00:59:40.601]  Now the whole world knows about Fauci.
[00:59:40.921 --> 00:59:44.464]   With our second book together, Robert F. Kennedy Jr.
[00:59:44.624 --> 00:59:50.791]  writes the foreword for it, and he's running for president, and he is looking to- And he's tied against Biden.
[00:59:50.971 --> 01:00:04.064]   And he's tied against Biden, so how much do I see the hand of God working in our world that brave people like Judy are standing up Like you, Alex.
[01:00:04.165 --> 01:00:21.471]  I mean, I am so incredibly proud to have my name on the book with you because I feel like I am making the decision to get in that plane with you, fly through the flack and get destroyed the target of the deep state.
[01:00:21.552 --> 01:00:28.794]  And I appreciate you going next level skin in the game, but getting into Judy and you because I mean, it's not about praise here, but it's about victory.
[01:00:29.175 --> 01:00:30.215]  You write the book with her.
[01:00:30.275 --> 01:00:31.355]  It gets turned into films.
[01:00:32.976 --> 01:00:37.739]  I mean, there's five or 10 things that really helped devastate the globalist operation and their whole New World Order rollout.
[01:00:37.839 --> 01:00:39.020]  It's been Judy and you.
[01:00:39.380 --> 01:00:50.006]  So how good does that feel, just from not a pride position, but a satisfaction of knowing that you guys have really torn up the New World Order and saved hundreds of millions of lives?
[01:00:54.124 --> 01:00:55.144]  Yeah, we just skipped a break.
[01:00:55.285 --> 01:00:57.385]  We just skipped a break, so we are now back.
[01:00:57.425 --> 01:01:02.007]  Some stations jumped away from us for a minute, so I wanted to come back for the few stations that cover that up.
[01:01:02.027 --> 01:01:02.668]  Most of them don't.
[01:01:02.928 --> 01:01:06.589]  Most of them will skip the break, go with us, because that's a network break that I was just skipping.
[01:01:06.930 --> 01:01:08.490]  Please continue with what it was like.
[01:01:08.510 --> 01:01:14.153]  Yeah, I want to tell you the next thing, because there's another piece of God in it that was so brilliant in the film last night.
[01:01:14.773 --> 01:01:19.096]  Because nowhere in that film is there an anti-vaxxer scientist of any kind.
[01:01:19.436 --> 01:01:20.477]  Especially not me.
[01:01:20.697 --> 01:01:20.857]  Yeah.
[01:01:20.897 --> 01:01:21.858]  And all you have to do.
[01:01:22.138 --> 01:01:24.479]  So you can't say Bobby Kennedy's an anti-vaxxer.
[01:01:24.739 --> 01:01:26.300]  He's environmental safety.
[01:01:26.580 --> 01:01:32.004]   He's true wellness and health and keeping water, air, No, no, I know.
[01:01:32.024 --> 01:01:33.464]  They call everybody anti-vaxxers.
[01:01:33.824 --> 01:01:38.666]  It's that these vaccines have just become a way to put something secret in our bodies.
[01:01:39.046 --> 01:01:41.927]  It has nothing to do with even the original science of, quote, inoculation.
[01:01:42.287 --> 01:01:50.130]  Why not, as a scientist and a vaccine expert, explain to them what this cult of scientism is, which is a real term, folks.
[01:01:50.550 --> 01:01:54.692]  The cult of people claiming they're scientists and saying, don't question them, versus the real scientific method.
[01:01:54.992 --> 01:01:57.793]  Well, it's the whole, you know, you believe us.
[01:01:57.973 --> 01:01:59.374]  You believe the consensus.
[01:01:59.834 --> 01:02:00.894]  It's we decide.
[01:02:00.994 --> 01:02:02.455]  Science isn't democratic.
[01:02:02.795 --> 01:02:03.996]  Science is data.
[01:02:04.416 --> 01:02:12.259]  And so they put statistics to data, and if it doesn't match a certain power, or when they review the journals, everything about it is fraud.
[01:02:12.639 --> 01:02:16.720]   Because if you have an idea, That is that jump.
[01:02:16.720 --> 01:02:20.599]   They have a consensus that you're then supposed to then agree and always have your research
[01:02:20.599 --> 01:02:22.940]  agree with the consensus put up with the corporations.
[01:02:22.940 --> 01:02:26.019]   So then they keep promoting you and giving you money because you've given them control.
[01:02:26.019 --> 01:02:27.519]  Or it's not funded.
[01:02:27.519 --> 01:02:32.800]   So if your idea isn't among the consensus, no matter how much data you have or the papers
[01:02:32.800 --> 01:02:36.960]  aren't published, and if you don't publish, you perish.
[01:02:36.960 --> 01:02:43.860]   It's just in and Fauci set up that whole system in the 90s, right after 1993 with with the
[01:02:43.860 --> 01:02:47.660]  peer review. Here's an example.
[01:02:45.981 --> 01:02:56.427]  Take zero point energy, which thousands of universities and tens of thousands of regular people have done with magnets on a low scale and proved you can do it.
[01:02:56.707 --> 01:02:59.609]  Now, wide scale, will it work?
[01:02:59.989 --> 01:03:02.630]  Well, I'm sure we can develop a way, but certainly it's real.
[01:03:02.910 --> 01:03:10.815]  The physics show it's real, but because they put out a story 30 years ago saying it wasn't true, the consensus is you can't have that energy.
[01:03:11.095 --> 01:03:12.656]  Then it just totally suppresses that whole area.
[01:03:12.836 --> 01:03:13.356]  Right.
[01:03:13.416 --> 01:03:20.260]  And in medicine, it's take a drug, use it in the wrong person, at the wrong dose, in the wrong time, in the wrong formulation.
[01:03:20.660 --> 01:03:28.383]  As Frank Ricetti writes in Ending Plague, run a big expensive trial if you're a company, it becomes dog shit, and they never use it again right.
[01:03:28.664 --> 01:03:29.444]  That was Sermon.
[01:03:29.944 --> 01:03:31.825]  That was a 100-year-old essential medicine.
[01:03:32.085 --> 01:03:38.348]  They use it at such high a dose, they didn't appreciate the mechanism of it, and maybe we couldn't have because our technology was advanced.
[01:03:38.608 --> 01:03:45.932]  But Bob Navio did a double-blind placebo-controlled study, 2015, and I consented the kids into it.
[01:03:47.153 --> 01:03:49.074]  25 kids, and we found the needle in a haystack.
[01:03:49.354 --> 01:03:55.457]  When we see the biology, and you have true biology, we can teach this and we can heal everybody from nothing.
[01:03:55.797 --> 01:03:57.618]  That's why I'm so optimistic.
[01:03:57.638 --> 01:03:59.459]  So what they're doing is suppressing all the real treatments.
[01:03:59.699 --> 01:04:01.940]  Right, and now people know they've suppressed.
[01:04:02.040 --> 01:04:03.260]  Well, we just saw it.
[01:04:03.541 --> 01:04:06.242]  They were rating doctors and giving people vitamin C IVs.
[01:04:06.282 --> 01:04:08.402]  Now vitamin C is bad during the pandemic.
[01:04:08.743 --> 01:04:12.164]  Well, but vitamin C IVs are loaded with glyphosate.
[01:04:13.024 --> 01:04:16.906]  And you can't infuse things because that's not how God presents it.
[01:04:17.186 --> 01:04:18.987]  So you actually have feedback loops.
[01:04:19.047 --> 01:04:20.047]  It's a scientific term.
[01:04:20.187 --> 01:04:26.587]   to turn down the sensors. So you hurt yourself just like giving a black person liquid vitamin D.
[01:04:26.587 --> 01:04:30.667]   His sensors act like resistors and will turn right down and they get sicker fast.
[01:04:30.667 --> 01:04:32.827]   So what do black people need to do because they're low on vitamin D?
[01:04:32.827 --> 01:04:33.626]  Go out in the sun.
[01:04:33.626 --> 01:04:38.267]  Amazing what God provides to us, right?
[01:04:38.267 --> 01:04:39.866]  Yeah.
[01:04:39.866 --> 01:04:43.706]   You know, and when the pandemic was starting, I was saying this is crazy.
[01:04:43.922 --> 01:04:54.865]  From what I've understood with my work with Dr. Judy is, you know, what you need to do is you need to go out in the sun, you need to exercise, you need to be healthy, you need to have good social relations.
[01:04:55.185 --> 01:05:04.128]  And every single thing they did to us in the pandemic was designed to affect our immune system and suppress our immune system.
[01:05:04.448 --> 01:05:08.149]  So whatever this virus is going to do to you, it was going to do it in space.
[01:05:08.169 --> 01:05:09.149]  Well, that's my next question.
[01:05:09.915 --> 01:05:11.796]  We've talked about the past and what's currently happening.
[01:05:11.816 --> 01:05:15.039]  I want to play the Niels deGrasse Tyson clip where he says, I am science.
[01:05:15.059 --> 01:05:16.500]  I don't care how many prestigious people you have.
[01:05:17.020 --> 01:05:17.600]  I am science.
[01:05:17.680 --> 01:05:23.224]  I am the consensus, meaning the big corporations, the intelligence agencies we now know worldwide that actually suppress the truth.
[01:05:23.284 --> 01:05:24.105]  We've been vindicated.
[01:05:24.425 --> 01:05:25.466]  They've been proven totally wrong.
[01:05:25.486 --> 01:05:28.068]  I want to talk some about that with you guys next segment.
[01:05:28.088 --> 01:05:35.212]   But while we still have time on the other subject, Judy, Dr. Mikovits, what is coming next?
[01:05:35.272 --> 01:05:36.973]  We know the shots lower immunity.
[01:05:37.413 --> 01:05:38.614]  We know they're full of spike protein.
[01:05:38.634 --> 01:05:43.477]  We know they're causing infertility, massive increases in cancer, massive blood clots.
[01:05:44.077 --> 01:05:49.381]  That was warned about before they ever gave the shot by Dr. Michael Giedon and others, and you.
[01:05:49.881 --> 01:05:51.702]  So what was their endgame?
[01:05:51.762 --> 01:05:53.463]  What were they really planning with this?
[01:05:53.924 --> 01:05:58.827]  How do they think they would cover up the fact that it erases your immune system the more of the shots you take?
[01:05:59.387 --> 01:06:03.929]  And I even saw Pfizer execs brag, oh, after three shots, you have no immune system, you'll need our shots forever.
[01:06:03.989 --> 01:06:06.250]  I mean, why are they giving interviews saying this?
[01:06:07.211 --> 01:06:08.971]  You've been around these people, what's wrong with them?
[01:06:09.492 --> 01:06:10.512]  Well, that was the goal.
[01:06:11.252 --> 01:06:24.581]   COVID was premeditated murder of, you know, 35 years of unchecked, untastetested Unsafe weaponization, bioweapons, monkey, mouse, kidney, aborted fetal, you know, all of those viruses.
[01:06:24.881 --> 01:06:27.243]  But what's next is never another shot.
[01:06:27.664 --> 01:06:28.925]  None of them were ever tested.
[01:06:29.165 --> 01:06:30.286]  They're fermented products.
[01:06:30.626 --> 01:06:31.987]  Never another shot.
[01:06:32.488 --> 01:06:34.489]  And go back to God-given immunity.
[01:06:34.770 --> 01:06:35.650]  We have the patents.
[01:06:35.710 --> 01:06:37.272]  We have the drugs developed.
[01:06:37.512 --> 01:06:40.734]  You know, we know how to use things like natokinase, natural products.
[01:06:40.975 --> 01:06:43.036]  We know nitric oxide, cardiomiracle.
[01:06:43.056 --> 01:06:43.777]  We've got formula.
[01:06:43.797 --> 01:06:45.459]  Sure, but I'm asking, what are they going to do next?
[01:06:45.540 --> 01:06:48.584]  What was their plan for the people that took two, three, four of the shots?
[01:06:48.604 --> 01:06:53.511]  Because you got Borla wearing masks, saying they had a Pfizer, science will win.
[01:06:53.531 --> 01:06:57.697]  You got Fauci saying, I am science, I am the Senate, like Emperor Palpatine.
[01:06:57.998 --> 01:06:59.320]  I mean, these guys are ridiculous.
[01:06:59.580 --> 01:07:00.861]  And the plan was to kill you.
[01:07:00.961 --> 01:07:10.584]  But we've told you, with a couple of nutrients, with a couple of nutrients and things, we can absolutely put back down the foundation to detox.
[01:07:10.744 --> 01:07:13.165]  We don't count calories, we count chemicals.
[01:07:13.485 --> 01:07:15.546]  We're being poisoned.
[01:07:15.846 --> 01:07:18.907]  But we can't, we have no nutrition because our food is poison.
[01:07:19.227 --> 01:07:20.268]  Our food is GMO.
[01:07:20.308 --> 01:07:21.728]  We have to end the food.
